
					Hê-bơ-rơ 1				|
Khi Đức Chúa Trời hứa cùng Ap-ra-ham, và vì không thể chỉ Đấng nào lớn hơn, nên Ngài chỉ chính mình Ngài mà thề với người rằng:|當 初 　 神 應 許 亞 伯 拉 罕 的 時 候 、 因 為 沒 有 比 自 己 更 大 可 以 指 著 起 誓 的 、 就 指 著 自 己 起 誓 、 說 、
Chắc ta sẽ ban phước cho ngươi nhiều, và khiến hậu tự ngươi sanh sản đông thêm.|『 論 福 、 我 必 賜 大 福 給 你 ． 論 子 孫 、 我 必 叫 你 的 子 孫 多 起 來 。 』
Ay, Ap-ra-ham đã nhịn nhục đợi chờ như vậy, rồi mới được điều đã hứa.|這 樣 、 亞 伯 拉 罕 既 恆 久 忍 耐 、 就 得 了 所 應 許 的 。
Người ta thường mượn danh một Đấng lớn hơn mình mà thề, phàm có cãi lẫy điều gì, thì lấy lời thề mà định.|人 都 是 指 著 比 自 己 大 的 起 誓 ． 並 且 以 起 誓 為 實 據 、 了 結 各 樣 的 爭 論 。
Đức Chúa Trời cũng vậy, muốn càng tỏ ra cho những kẻ hưởng lời hứa biết ý định Ngài là chắc chắn không thay đổi, thì dùng lời thề;|照 樣 、 　 神 願 意 為 那 承 受 應 許 的 人 、 格 外 顯 明 他 的 旨 意 是 不 更 改 的 、 就 起 誓 為 證 ．
hầu cho nhờ hai điều chẳng thay đổi đó, và về hai điều ấy Đức Chúa Trời chẳng có thể nói dối, mà chúng ta tìm được sự yên ủi lớn mạnh, là kẻ đã trốn đến nơi ẩn náu, mà cầm lấy sự trông cậy đã đặt trước mặt chúng ta.|藉 這 兩 件 不 更 改 的 事 、 　 神 決 不 能 說 謊 、 好 叫 我 們 這 逃 往 避 難 所 、 持 定 擺 在 我 們 前 頭 指 望 的 人 、 可 以 大 得 勉 勵 ．
Chúng ta giữ điều trông cậy nầy như cái neo của linh hồn, vững vàng bền chặt, thấu vào phía trong màn,|我 們 有 這 指 望 如 同 靈 瑰 的 錨 、 又 堅 固 又 牢 靠 、 且 通 入 幔 內 。
trong nơi thánh mà Đức Chúa Jêsus đã vào như Đấng đi trước của chúng ta, vì đã trở nên thầy tế lễ thượng phẩm đời đời, theo ban Mên-chi-xê-đéc.|作 先 鋒 的 耶 穌 、 既 照 著 麥 基 洗 德 的 等 次 、 成 了 永 遠 的 大 祭 司 、 就 為 我 們 進 入 幔 內 。

					Hê-bơ-rơ 7				|
						希伯來書 7					
Vua, Mên-chi-xê-đéc đó là vua của Sa-lem, thầy tế lễ của Đức Chúa Trời rất cao, đã đi rước Ap-ra-ham và chúc phước cho, trong khi người thắng trận các vua trở về;|這 麥 基 洗 德 、 就 是 撒 冷 王 、 又 是 至 高 　 神 的 祭 司 、 本 是 長 遠 為 祭 司 的 ． 他 當 亞 伯 拉 罕 殺 敗 諸 王 回 來 的 時 候 、 就 迎 接 他 、 給 他 祝 福 。
Ap-ra-ham đã lấy một phần mười về mọi của cải mình mà dâng cho vua; theo nghĩa đen tên vua ấy, trước hết là vua sự công bình, lại là vua của Sa-lem nữa, nghĩa là vua bình an;|亞 伯 拉 罕 也 將 自 己 所 得 來 的 、 取 十 分 之 一 給 他 ． 他 頭 一 個 名 繙 出 來 、 就 是 仁 義 王 、 他 又 名 撒 冷 王 、 就 是 平 安 王 的 意 思 ．
người không cha, không mẹ, không gia phổ; không có ngày đầu mới sanh, cũng không có ngày rốt qua đời, như vậy là giống Con Đức Chúa Trời, Mên-chi-xê-đéc nầy làm thầy tế lễ đời đời vô cùng.|他 無 父 、 無 母 、 無 族 譜 、 無 生 之 始 、 無 命 之 終 、 乃 是 與 　 神 的 兒 子 相 似 。
Hãy nghĩ xem, chính tiên tổ là Ap-ra-ham đã lấy một phần mười trong những vật rất tốt của mình chiếm được mà dâng cho vua, thì vua tôn trọng là dường nào.|你 們 想 一 想 、 先 祖 亞 伯 拉 罕 、 將 自 己 所 擄 來 上 等 之 物 取 十 分 之 一 給 他 、 這 人 是 何 等 尊 貴 呢 。
Nhưng con cháu họ Lê-vi chịu chức tế lễ, theo luật, có phép thâu lấy một phần mười của dân, nghĩa là của anh em mình, vì chính họ cũng từ Ap-ra-ham mà ra.|那 得 祭 司 職 任 的 利 未 子 孫 、 領 命 照 例 向 百 姓 取 十 分 之 一 、 這 百 姓 是 自 己 的 弟 兄 、 雖 是 從 亞 伯 拉 罕 身 中 生 的 、 〔 身 原 文 作 腰 〕 還 是 照 例 取 十 分 之 一 ．
Nhưng vua vốn không phải đồng họ, cũng lấy một phần mười của Ap-ra-ham và chúc phước cho kẻ được lời hứa.|獨 有 麥 基 洗 德 、 不 與 他 們 同 譜 、 倒 收 納 亞 伯 拉 罕 的 十 分 之 一 、 為 那 蒙 應 許 的 亞 伯 拉 罕 祝 福 。
Vả, người bực cao chúc phước cho kẻ bực thấp, ấy là điều không cãi được.|從 來 位 分 大 的 給 位 分 小 的 祝 福 、 這 是 駁 不 倒 的 理 。
Lại, đằng nầy, những kẻ thâu lấy một phần mười đều là người hay chết: còn đằng kia, ấy là kẻ mà có lời làm chứng cho là người đang sống.|在 這 裡 收 十 分 之 一 的 都 是 必 死 的 人 ． 但 在 那 裡 收 十 分 之 一 的 、 有 為 他 作 見 證 的 說 、 他 是 活 的 。
Lại có thể nói rằng Lê-vi là kẻ thâu lấy một phần mười đó, chính mình người cũng bởi Ap-ra-ham mà đóng một phần mười;|並 且 可 說 、 那 受 十 分 之 一 的 利 未 、 也 是 藉 著 亞 伯 拉 罕 納 了 十 分 之 一 ．
vì lúc Mên-chi-xê-đéc đi đón tiên tổ, thì Lê-vi còn ở trong lòng tổ phụ.|因 為 麥 基 洗 德 迎 接 亞 伯 拉 罕 的 時 候 、 利 未 已 經 在 他 先 祖 的 身 中 。 〔 身 原 文 作 腰 〕
Nếu có thể được sự trọn vẹn bởi chức tế lễ của người Lê-vi , thì cớ sao còn cần phải dấy lên một thầy tế lễ khác, lập theo ban Mên-chi-xê-đéc, không theo ban A-rôn?|從 前 百 姓 在 利 未 人 祭 司 職 任 以 下 受 律 法 、 倘 若 藉 這 職 任 能 得 完 全 、 又 何 用 另 外 興 起 一 位 祭 司 、 照 麥 基 洗 德 的 等 次 、 不 照 亞 倫 的 等 次 呢 。
Chức tế lễ đã thay đổi thì luật pháp cũng cần phải thay đổi.|祭 司 的 職 任 既 已 更 改 、 律 法 也 必 須 更 改 。
Vả, Đấng mà những lời đó chỉ về, thuộc một chi phái khác, trong chi phái đó chưa từng có ai dự việc nơi bàn thờ.|因 為 這 話 所 指 的 人 、 本 屬 別 的 支 派 、 那 支 派 裡 從 來 沒 有 一 人 伺 候 祭 壇 。
Vì thật rõ ràng Chúa chúng ta ra từ Giu-đa về chi phái ấy, Môi-se không nói điều chi về chức tế lễ.|我 們 的 主 分 明 是 從 猶 大 出 來 的 ． 但 這 支 派 、 摩 西 並 沒 有 題 到 祭 司 。
Mọi điều đó càng thêm rõ hơn nữa, khi chúng ta thấy một thầy tế lễ khác dấy lên, giống như Mên-chi-xê-đéc,|倘 若 照 麥 基 洗 德 的 樣 式 、 另 外 興 起 一 位 祭 司 來 、 我 的 話 更 是 顯 而 易 見 的 了 ．
lập nên không theo luật lệ của điều răn xác thịt, nhưng theo quyền phép của sự sống chẳng hay hư hay hết.|他 成 為 祭 司 、 並 不 是 照 屬 肉 體 的 條 例 、 乃 是 照 無 窮 之 生 命 的 大 能 ． 〔 無 窮 原 文 作 不 能 毀 壞 〕
Vả, nầy là lời làm chứng cho Ngài rằng: Con làm thầy tế lễ đời đời Theo ban Mên-chi-xê-đéc.|因 為 有 給 他 作 見 證 的 說 、 『 你 是 照 著 麥 基 洗 德 的 等 次 永 遠 為 祭 司 。 』
Như vậy, điều răn trước kia vì không quyền không ích nên đã bị bỏ rồi;|先 前 的 條 例 、 因 軟 弱 無 益 、 所 以 廢 掉 了 ．
bởi chưng luật pháp không làm trọn chi hết, lại có một sự trông cậy hay hơn đem vào thay cho luật pháp, và bởi sự trông cậy đó chúng ta đến gần Đức Chúa Trời.|（ 律 法 原 來 一 無 所 成 ） 就 引 進 了 更 美 的 指 望 、 靠 這 指 望 我 們 便 可 以 進 到 　 神 面 前 。
Vả lại, sự thay đổi nầy chẳng phải là không có lời thề mà được làm ra. Những thầy tế lễ khác không bởi lời thề mà được lập lên,|再 者 、 耶 穌 為 祭 司 、 並 不 是 不 起 誓 立 的 。
nhưng Ngài đã được lập lên bằng lời thề, bởi Đấng đã phải cùng Ngài rằng: Chúa đã thề rồi, và không hối lời thề ấy đâu; Con làm thầy tế lễ đến đời đời.|至 於 那 些 祭 司 、 原 不 是 起 誓 立 的 、 只 有 耶 穌 是 起 誓 立 的 ． 因 為 那 立 他 的 對 他 說 、 『 主 起 了 誓 決 不 後 悔 、 你 是 永 遠 為 祭 司 。 』
Vì thế, Đức Chúa Jêsus đã trở nên Đấng bảo lãnh cho một cái giao ước rất tôn trọng hơn cái trước.|既 是 起 誓 立 的 、 耶 穌 就 作 了 更 美 之 約 的 中 保 。
Vả lại, số thầy tế lễ rất nhiều, vì sự chết nên không giữ luôn được chức vụ.|那 些 成 為 祭 司 的 、 數 目 本 來 多 、 是 因 為 有 死 阻 隔 不 能 長 久 ．
Nhưng Ngài, vì hằng có đời đời, nên giữ lấy chức tế lễ không hề đổi thay.|這 位 既 是 永 遠 常 存 的 、 他 祭 司 的 職 任 、 就 長 久 不 更 換 。
Bởi đó Ngài có thể cứu toàn vẹn những kẻ nhờ Ngài mà đến gần Đức Chúa Trời, vì Ngài hằng sống để cầu thay cho những kẻ ấy.|凡 靠 著 他 進 到 　 神 面 前 的 人 、 他 都 能 拯 救 到 底 ． 因 為 他 是 長 遠 活 著 、 替 他 們 祈 求 。
Ay đó thật là thầy tế lễ thượng phẩm mà chúng ta có cần dùng, thánh khiết, không tội, không ô uế, biệt khỏi kẻ có tội, được cất lên cao hơn các từng trời:|像 這 樣 聖 潔 、 無 邪 惡 、 無 玷 污 、 遠 離 罪 人 、 高 過 諸 天 的 大 祭 司 、 原 是 與 我 們 合 宜 的 。
không như những thầy tế lễ thượng phẩm khác, cần phải hằng ngày dâng tế lễ, trước vì tội mình, sau vì tội dân; Ngài làm việc đó một lần thì đủ cả, mà dâng chính mình Ngài làm tế lễ.|他 不 像 那 些 大 祭 司 、 每 日 必 須 先 為 自 己 的 罪 、 後 為 百 姓 的 罪 獻 祭 、 因 為 他 只 一 次 將 自 己 獻 上 、 就 把 這 事 成 全 了 。
Vì luật pháp lập những người vốn yếu đuối làm thầy tế lễ thượng phẩm; nhưng lời thề có sau luật pháp thì lập Con, là Đấng đã nên trọn lành đời đời.|律 法 本 是 立 軟 弱 的 人 為 大 祭 司 ． 但 在 律 法 以 後 起 誓 的 話 、 是 立 兒 子 為 大 祭 司 、 乃 是 成 全 到 永 遠 的 。

					Hê-bơ-rơ 8				|
						希伯來書 8					
Đại ý điều chúng ta mới nói đó, là chúng ta có một thầy tế lễ thượng phẩm, ngồi bên hữu ngai của Đấng tôn nghiêm trong các từng trời,|我 們 所 講 的 事 、 其 中 第 一 要 緊 的 、 就 是 我 們 有 這 樣 的 大 祭 司 、 已 經 坐 在 天 上 至 大 者 的 右 邊 、
làm chức việc nơi thánh và đền tạm thật, bởi Chúa dựng lên, không phải bởi một người nào.|在 聖 所 、 就 是 真 帳 幕 裡 、 作 執 事 ． 這 帳 幕 是 主 所 支 的 、 不 是 人 所 支 的 。
Phàm thầy tế lễ thượng phẩm đã được lập lên là để dâng lễ vật và hi sinh; vậy thì Đấng nầy cũng cần phải dâng vật gì.|凡 大 祭 司 都 是 為 獻 禮 物 和 祭 物 設 立 的 ． 所 以 這 位 大 祭 司 也 必 須 有 所 獻 的 。
Nếu Ngài còn ở thế gian, thì Ngài chẳng phải là thầy tế lễ, vì ở thế gian có những thầy tế lễ dâng lễ vật theo luật pháp dạy,|他 若 在 地 上 、 必 不 得 為 祭 司 、 因 為 已 經 有 照 律 法 獻 禮 物 的 祭 司 。
và giữ sự thờ phượng, sự thờ phượng đó chẳng qua là hình và bóng của những sự trên trời mà thôi, cũng như khi Môi-se gần dựng đền tạm, thì Đức Chúa Trời phán bảo rằng: Hãy cẩn thận, làm mọi việc theo như kiểu mẫu đã chỉ cho ngươi tại trên núi.|他 們 供 奉 的 事 、 本 是 天 上 事 的 形 狀 和 影 像 、 正 如 摩 西 將 要 造 帳 幕 的 時 候 、 蒙 　 神 警 戒 他 、 說 、 『 你 要 謹 慎 、 作 各 樣 的 物 件 、 都 要 照 著 在 山 上 指 示 你 的 樣 式 。 』
Nhưng thầy tế lễ thượng phẩm chúng ta đã được một chức vụ rất tôn trọng hơn, vì Ngài là Đấng trung bảo của giao ước tốt hơn, mà giao ước ấy lập lên trên lời hứa tốt hơn.|如 今 耶 穌 所 得 的 職 任 是 更 美 的 、 正 如 他 作 更 美 之 約 的 中 保 ． 這 約 原 是 憑 更 美 之 應 許 立 的 。
Vì nếu ước thứ nhứt không thiếu gì, thì chẳng có chỗ nào lập ước thứ hai.|那 前 約 若 沒 有 瑕 疪 、 就 無 處 尋 求 後 約 了 。
Vả, trong những lời nầy thật có ý trách, là lời Đức Chúa Trời phán cùng dân Giu-đa rằng: Chúa phán: kìa, nhựt kỳ đến, Khi đó ta sẽ cùng nhà Y-sơ-ra-ên và nhà Giu-đa lập một ước mới,|所 以 主 指 著 他 的 百 姓 說 、 〔 或 作 所 以 主 指 前 約 的 缺 欠 說 〕 『 日 子 將 到 、 我 要 與 以 色 列 家 、 和 猶 大 家 、 另 立 新 約 ．
Không phải như ước ta đã lập với tổ tiên chúng nó, Trong ngày ta cầm tay họ dẫn ra khỏi xứ Ê-díp-tô. Vì họ không bền giữ lời ước ta, Nên ta không đoái xem họ, ấy là lời Chúa phán.|不 像 我 拉 著 他 們 祖 宗 的 手 、 領 他 們 出 埃 及 的 時 候 、 與 他 們 所 立 的 約 ． 因 為 他 們 不 恆 心 守 我 的 約 、 我 也 不 理 他 們 ． 這 是 主 說 的 。 』
Chúa lại phán: Nầy là lời ước mà ta sẽ lập với nhà Y-sơ-ra-ên Sau những ngày đó: Ta sẽ để luật pháp ta trong trí họ Và ghi tạc vào lòng; Ta sẽ làm Đức Chúa Trời họ, Họ sẽ làm dân ta.|主 又 說 、 『 那 些 日 子 以 後 、 我 與 以 色 列 家 所 立 的 約 乃 是 這 樣 ． 我 要 將 我 的 律 法 放 在 他 們 裡 面 、 寫 在 他 們 心 上 、 我 要 作 他 們 的 　 神 、 他 們 要 作 我 的 子 民 ．
Trong vòng họ sẽ chẳng có ai dạy bảo công dân mình Và anh em mình, rằng: Hãy nhìn biết Chúa; Vì hết thảy trong vòng họ, Từ kẻ rất nhỏ cho đến kẻ rất lớn đều sẽ biết ta,|他 們 不 用 各 人 教 導 自 己 的 鄉 鄰 、 和 自 己 的 弟 兄 、 說 、 你 該 認 識 主 ． 因 為 他 們 從 最 小 的 到 至 大 的 、 都 必 認 識 我 。
Nhơn ta sẽ tha sự gian ác của họ, Và không nhớ đến tội lỗi họ nữa.|我 要 寬 恕 他 們 的 不 義 、 不 再 記 念 他 們 的 罪 愆 。 』
Gọi ước đó là ước mới, thì đã xưng ước trước là cũ; vả, điều chi đã cũ đã già, thì gần tiêu mất đi.|既 說 新 約 。 就 以 前 約 為 舊 了 。 但 那 漸 舊 漸 衰 的 、 就 必 快 歸 無 有 了 。

					Hê-bơ-rơ 9				|
						希伯來書 9					
Ước trước cũng có những luật về việc thờ phượng và một nơi thánh dưới đất.|原 來 前 約 有 禮 拜 的 條 例 、 和 屬 世 界 的 聖 幕 。
Vả, một đền tạm đã dựng lên: phần thứ nhứt gọi là nơi thánh, có chơn đèn, bàn và bánh bày ra;|因 為 有 豫 備 的 帳 幕 、 頭 一 層 叫 作 聖 所 ． 裡 面 有 燈 臺 、 桌 子 、 和 陳 設 餅 。
rồi đến phía trong màn thứ hai, tức là phần gọi là nơi rất thánh,|第 二 幔 子 後 、 又 有 一 層 帳 幕 、 叫 作 至 聖 所 ．
có lư hương bằng vàng và hòm giao ước, toàn bọc bằng vàng. Trong hòm có một cái bình bằng vàng đựng đầy ma-na, cây gậy trổ hoa của A-rôn, và hai bảng giao ước;|有 金 香 爐 、 〔 爐 或 作 壇 〕 有 包 金 的 約 櫃 、 櫃 裡 有 盛 嗎 哪 的 金 罐 、 和 亞 倫 發 過 芽 的 杖 、 並 兩 塊 約 版 ．
phía trên có hai chê-ru-bin vinh hiển, bóng nó che phủ nơi chuộc tội. Nhưng đây không phải dịp kể các điều đó cho rõ ràng.|櫃 上 面 有 榮 耀 ? ? ? 的 影 罩 著 施 恩 座 ． 〔 施 恩 原 文 作 蔽 罪 〕 這 幾 件 我 現 在 不 能 一 一 細 說 。
Các vật đã sắp đặt như vậy, hằng ngày những thầy tế lễ vào phần thứ nhứt trong đền tạm, đặng làm trọn việc tế lễ;|這 些 物 件 既 如 此 豫 備 齊 了 、 眾 祭 司 就 常 進 頭 一 層 帳 幕 、 行 拜 　 神 的 禮 ．
nhưng, phần thứ hai, thì mỗi năm một lần chỉ một mình thầy tế lễ thượng phẩm vào, chẳng bao giờ mà không đem huyết dâng vì chính mình và vì sự lầm lỗi dân chúng.|至 於 第 二 層 帳 幕 、 惟 有 大 祭 司 一 年 一 次 獨 自 進 去 、 沒 有 不 帶 著 血 、 為 自 己 和 百 姓 的 過 錯 獻 上 ．
Đức Thánh Linh lấy đó chỉ ra rằng hễ đền tạm thứ nhứt đương còn, thì đường vào nơi rất thánh chưa mở.|聖 靈 用 此 指 明 、 頭 一 層 帳 幕 仍 存 的 時 候 、 進 入 至 聖 所 的 路 還 未 顯 明 ．
Ay là một hình bóng chỉ về đời bây giờ, để tỏ rằng các lễ vật và hi sinh dâng đó, không có thể làm cho kẻ thờ phượng được vẹn lành về lương tâm.|那 頭 一 層 帳 幕 作 現 今 的 一 個 表 樣 、 所 獻 的 禮 物 和 祭 物 、 就 著 良 心 說 、 都 不 能 叫 禮 拜 的 人 得 以 完 全 ．
Đó chẳng qua là mạng lịnh của xác thịt, cũng như các kỳ ăn, uống rửa sạch, chỉ lập cho đến kỳ hoán cải vậy.|這 些 事 連 那 飲 食 和 諸 般 洗 濯 的 規 矩 、 都 不 過 是 屬 肉 體 的 條 例 、 命 定 到 振 興 的 時 候 為 止 。
Nhưng Đấng Christ đã hiện đến làm thầy tế lễ thượng phẩm của những sự tốt lành sau nầy; Ngài đã vượt qua đền tạm lớn hơn và trọn vẹn hơn, không phải tay người dựng ra, nghĩa là không thuộc về đời nầy.|但 現 在 基 督 已 經 來 到 、 作 了 將 來 美 事 的 大 祭 司 、 經 過 那 更 大 更 全 備 的 帳 幕 、 不 是 人 手 所 造 也 不 是 屬 乎 這 世 界 的 ．
Ngài đã vào nơi rất thánh một lần thì đủ hết, không dùng huyết của dê đực và của bò con, nhưng dùng chính huyết mình, mà được sự chuộc tội đời đời.|並 且 不 用 山 羊 和 牛 犢 的 血 、 乃 用 自 己 的 血 、 只 一 次 進 入 聖 所 、 成 了 永 遠 贖 罪 的 事 。
Vì nếu huyết của dê đực cùng tro bò cái tơ mà người ta rưới trên kẻ ô uế còn làm sạch được phần xác thịt họ và nên thánh thay,|若 山 羊 和 公 牛 的 血 、 並 母 牛 犢 的 灰 、 灑 在 不 潔 的 人 身 上 、 尚 且 叫 人 成 聖 、 身 體 潔 淨 ．
huống chi huyết của Đấng Christ, là Đấng nhờ Đức Thánh Linh đời đời, dâng chính mình không tì tích cho Đức Chúa Trời, thì sẽ làm sạch lương tâm anh em khỏi công việc chết, đặng hầu việc Đức Chúa Trời hằng sống, là dường nào!|何 況 基 督 藉 著 永 遠 的 靈 、 將 自 己 無 瑕 無 疵 獻 給 　 神 、 他 的 血 豈 不 更 能 洗 淨 你 們 的 心 〔 原 文 作 良 心 〕 除 去 你 們 的 死 行 、 使 你 們 事 奉 那 永 生 　 神 麼 。
Nhơn đó, Ngài là Đấng trung bảo của giao ước mới, để khi Ngài chịu chết mà chuộc tội đã phạm dưới giao ước cũ, thì những kẻ được kêu gọi nhận lãnh cơ nghiệp đời đời đã hứa cho mình.|為 此 他 作 了 新 約 的 中 保 ． 既 然 受 死 贖 了 人 在 前 約 之 時 所 犯 的 罪 過 、 便 叫 蒙 召 之 人 得 著 所 應 許 永 遠 的 產 業 。
Vì khi có chúc thơ, thì cần phải đợi đến kẻ trối chết đã hứa cho mình.|凡 有 遺 命 、 必 須 等 到 留 遺 命 的 人 死 了 ． 〔 遺 命 原 文 與 約 字 同 〕
Chúc thơ chỉ có giá trị sau khi chết, và hễ kẻ trối còn sống thì nó không có quyền gì.|因 為 人 死 了 、 遺 命 纔 有 效 力 、 若 留 遺 命 的 尚 在 、 那 遺 命 還 有 用 處 麼 。
Ay vậy, chính giao ước trước nào chẳng phải là không dùng máu mà lập.|所 以 前 約 也 不 是 不 用 血 立 的 。
Lúc Môi-se phán mọi điều răn của luật pháp cho dân chúng, có lấy máu của bò con và dê đực, với nước, dây nhung đỏ tía và nhành ngưu tất rảy trên sách cùng trên cả dân chúng,|因 為 摩 西 當 日 照 著 律 法 、 將 各 樣 誡 命 傳 給 眾 百 姓 、 就 拿 朱 紅 色 絨 和 牛 膝 草 、 把 牛 犢 山 羊 的 血 和 水 、 灑 在 書 上 、 又 灑 在 眾 百 姓 身 上 、 說 、
mà nó rằng: Nầy là huyết của sự giao ước mà Đức Chúa Trời đã dạy lập với các ngươi.|『 這 血 就 是 　 神 與 你 們 立 約 的 憑 據 。 』
Đoạn, người cũng lấy huyết rảy đền tạm cùng mọi đồ thờ.|他 又 照 樣 把 血 灑 在 帳 幕 、 和 各 樣 器 皿 上 。
Theo luật pháp thì hầu hết mọi vật đều nhờ huyết mà được sạch: không đổ huyết thì không có sự tha thứ.|按 著 律 法 、 凡 物 差 不 多 都 是 用 血 潔 淨 的 、 若 不 流 血 、 罪 就 不 得 赦 免 了 。
Vậy, nếu những tượng chỉ về các vật trên trời đã phải nhờ cách ấy mà được sạch, thì chính các vật trên trời phải nhờ của lễ càng quí trọng hơn nữa để được sạch.|照 著 天 上 樣 式 作 的 物 件 、 必 須 用 這 些 祭 物 去 潔 淨 ． 但 那 天 上 的 本 物 、 自 然 當 用 更 美 的 祭 物 去 潔 淨 。
Vả Đấng Christ chẳng phải vào nơi thánh bởi tay người làm ra, theo kiểu mẫu nơi thánh thật, bèn là vào chính trong trời, để bây giờ vì chúng ta hiện ra trước mặt Đức Chúa Trời.|因 為 基 督 並 不 是 進 了 人 手 所 造 的 聖 所 、 （ 這 不 過 是 真 聖 所 的 影 像 ） 乃 是 進 了 天 堂 、 如 今 為 我 們 顯 在 　 神 面 前 ．
Ay chẳng phải là dâng chính mình Ngài nhiều lần, như thầy tế lễ thượng phẩm mỗi năm vào trong nơi rất thánh mà dâng huyết không phải là huyết mình;|也 不 是 多 次 將 自 己 獻 上 、 像 那 大 祭 司 每 年 帶 著 牛 羊 的 血 進 入 聖 所 ． 〔 牛 羊 的 血 原 文 作 不 是 自 己 的 血 〕
bằng chẳng vậy, thì từ buổi sáng thế đến nay, Ngài đã phải chịu khổ nhiều lần rồi. Nhưng hiện nay đến cuối cùng các thời đại, Ngài đã hiện ra chỉ một lần, dâng mình làm tế lễ để cất tội lỗi đi.|如 果 這 樣 、 他 從 創 世 以 來 、 就 必 多 次 受 苦 了 ． 但 如 今 在 這 末 世 顯 現 一 次 、 把 自 己 獻 為 祭 、 好 除 掉 罪 。
Theo như đã định cho loài người phải chết một lần, rồi chịu phán xét,|按 著 定 命 、 人 人 都 有 一 死 、 死 後 且 有 審 判 ．
cũng vậy, Đấng Christ đã dâng mình chỉ một lần đặng cất tội lỗi của nhiều người; Ngài lại sẽ hiện ra lần thứ hai, không phải để cất tội lỗi đi nữa, nhưng để ban sự cứu rỗi cho kẻ chờ đợi Ngài.|像 這 樣 、 基 督 既 然 一 次 被 獻 、 擔 當 了 多 人 的 罪 、 將 來 要 向 那 等 候 他 的 人 第 二 次 顯 現 、 並 與 罪 無 關 、 乃 是 為 拯 救 他 們 。

					Hê-bơ-rơ 10				|
						希伯來書 10					
Vả, luật pháp chỉ là bóng của sự tốt lành ngày sau, không có hình thật của các vật, nên không bao giờ cậy tế lễ mỗi năm hằng dâng như vậy, mà khiến kẻ đến gần Đức Chúa Trời trở nên trọn lành được.|律 法 既 是 將 來 美 事 的 影 兒 、 不 是 本 物 的 真 像 、 總 不 能 藉 著 每 年 常 獻 一 樣 的 祭 物 、 叫 那 近 前 來 的 人 得 以 完 全 。
Nếu được, thì những kẻ thờ phượng đã một lần được sạch rồi, lương tâm họ không còn biết tội nữa, nhơn đó, há chẳng thôi dâng tế lễ hay sao?|若 不 然 、 獻 祭 的 事 豈 不 早 已 止 住 了 麼 ． 因 為 禮 拜 的 人 、 良 心 既 被 潔 淨 、 就 不 再 覺 得 有 罪 了 。
Trái lại, những tế lễ đó chẳng qua là mỗi năm nhắc cho nhớ lại tội lỗi.|但 這 些 祭 物 是 叫 人 每 年 想 起 罪 來 。
Vì huyết của bò đực và dê đực không thể cất tội lỗi đi được.|因 為 公 牛 和 山 羊 的 血 、 斷 不 能 除 罪 。
Bởi vậy cho nên, Đấng Christ khi vào thế gian, phán rằng: Chúa chẳng muốn hy sinh, cũng chẳng muốn lễ vật, Nhưng Chúa đã sắm sửa một thân thể cho tôi.|所 以 基 督 到 世 上 來 的 時 候 、 就 說 、 『 　 神 阿 、 祭 物 和 禮 物 是 你 不 願 意 的 、 你 曾 給 我 豫 備 了 身 體 ．
Chúa chẳng nhậm của lễ thiêu, cũng chẳng nhậm của lễ chuộc tội.|燔 祭 和 贖 罪 祭 是 你 不 喜 歡 的 ．
Tôi bèn nói: Hỡi Đức Chúa Trời, nầy tôi đến Trong sách có chép về tôi Tôi đến để làm theo ý muốn Chúa.|那 時 我 說 、 　 神 阿 、 我 來 了 為 要 照 你 的 旨 意 行 ． 我 的 事 在 經 卷 上 已 經 記 載 了 。 』
Trước đã nói: Chúa chẳng muốn, chẳng nhậm những hi sinh, lễ vật, của lễ thiêu, của lễ chuộc tội, đó là theo luật pháp dạy; sau lại nói: Đây nầy, tôi đến để làm theo ý muốn Chúa.|以 上 說 、 祭 物 和 禮 物 、 燔 祭 和 贖 罪 祭 、 是 你 不 願 意 的 、 也 是 你 不 喜 歡 的 、 （ 這 都 是 按 著 律 法 獻 的 ）
Vậy thì, Chúa đã bỏ điều trước, đặng lập điều sau.|後 又 說 、 我 來 了 為 要 照 你 的 旨 意 行 ． 可 見 他 是 除 去 在 先 的 、 為 要 立 定 在 後 的 。
Ay là theo ý muốn đó mà chúng ta được nên thánh nhờ sự dâng thân thể của Đức Chúa Jêsus Christ một lần đủ cả.|我 們 憑 這 旨 意 、 靠 耶 穌 基 督 只 一 次 獻 上 他 的 身 體 、 就 得 以 成 聖 。
Phàm thầy tế lễ mỗi ngày đứng hầu việc và năng dâng của lễ đồng một thức, là của lễ không bao giờ cất tội lỗi được,|凡 祭 司 天 天 站 著 事 奉 　 神 、 屢 次 獻 上 一 樣 的 祭 物 ． 這 祭 物 永 不 能 除 罪 。
còn như Đấng nầy, đã vì tội lỗi dâng chỉ một của lễ, rồi ngồi đời đời bên hữu Đức Chúa Trời.|但 基 督 獻 了 一 次 永 遠 的 贖 罪 祭 、 就 在 　 神 的 右 邊 坐 下 了 ．
từ rày về sau đương đợi những kẻ thù nghịch Ngài bị để làm bệ dưới chơn Ngài vậy.|從 此 等 候 他 仇 敵 成 了 他 的 腳 凳 。
Vì nhờ dâng chỉ một của tế lễ, Ngài làm cho những kẻ nên thánh được trọn vẹn đời đời.|因 為 他 一 次 獻 祭 、 便 叫 那 得 以 成 聖 的 人 永 遠 完 全 。
