
					Ga-la-ti 1				|
Hỡi các con, vì các con mà ta lại chịu đau đớn của sự sanh nở, cho đến chừng nào Đấng Christ thành hình trong các con,|我 小 子 阿 、 我 為 你 們 再 受 生 產 之 苦 、 直 等 到 基 督 成 形 在 你 們 心 裡 ．
ta muốn ở cùng các con và thay đổi cách nói; vì về việc các con, ta rất là bối rối khó xử.|我 巴 不 得 現 今 在 你 們 那 裡 、 改 換 口 氣 、 因 我 為 你 們 心 裡 作 難 。
Hãy nói cho tôi, anh em là kẻ ưa phục dưới luật pháp, há không nghe luật pháp sao?|你 們 這 願 意 在 律 法 以 下 的 人 、 請 告 訴 我 、 你 們 豈 沒 有 聽 見 律 法 麼 。
Vì có chép rằng Ap-ra-ham có hai con trai: một là con của người nữ tôi mọi, một là con của người nữ tự chủ.|因 為 律 法 上 記 著 、 亞 伯 拉 罕 有 兩 個 兒 子 、 一 個 是 使 女 生 的 、 一 個 是 自 主 之 婦 人 生 的 。
Nhưng con của người nữ tôi mọi sanh ra theo xác thịt, con của người nữ tự chủ sanh ra theo lời hứa.|然 而 那 使 女 所 生 的 、 是 按 著 血 氣 生 的 ． 那 自 主 之 婦 人 所 生 的 、 是 憑 著 應 許 生 的 。
Cả điều đó có một nghĩa bóng: hai người nữ đó tức là hai lời giao ước, một là lời giao ước tại núi Si-na -i, sanh con ra để làm tôi mọi ấy là nàng A-ga.|這 都 是 比 方 ． 那 兩 個 婦 人 、 就 是 兩 約 ． 一 約 是 出 於 西 乃 山 、 生 子 為 奴 、 乃 是 夏 甲 。
Vả, A-ga, ấy là núi Si-na -i, trong xứ A-ra-bi; khác nào như thành Giê-ru-sa-lem bây giờ, thành đó với con cái mình đều làm tôi mọi.|這 夏 甲 二 字 是 指 著 亞 拉 伯 的 西 乃 山 、 與 現 在 的 耶 路 撒 冷 同 類 ． 因 耶 路 撒 冷 和 他 的 兒 女 都 是 為 奴 的 。
Nhưng thành Giê-ru-sa-lem ở trên cao là tự do, và ấy là mẹ chúng ta.|但 那 在 上 的 耶 路 撒 冷 是 自 主 的 、 他 是 我 們 的 母 。
Vì có lời chép: Hỡi đờn bà son, ngươi là kẻ chẳng sanh nở chi hết, hãy vui mừng; Ngươi là kẻ chẳng từng chịu đau đớn sanh đẻ, hãy nức lòng mừng rỡ và bựt tiếng reo cười, Vì của cải của vợ bị để sẽ đông hơn con cái của người nữ có chồng.|因 為 經 上 記 著 、 『 不 懷 孕 不 生 養 的 、 你 要 歡 樂 ． 未 曾 經 過 產 難 的 、 你 要 高 聲 歡 呼 、 因 為 沒 有 丈 夫 的 、 比 有 丈 夫 的 兒 女 更 多 。 』
Hỡi anh em, về phần chúng ta, chúng ta cũng như Y-sác, là con của lời hứa.|弟 兄 們 、 我 們 是 憑 著 應 許 作 兒 女 、 如 同 以 撒 一 樣 。
Nhưng, như bây giờ, kẻ sanh ra theo xác thịt bắt bớ kẻ sanh ra theo Thánh Linh, thì hiện nay cũng còn là thể ấy.|當 時 那 按 著 血 氣 生 的 、 逼 迫 了 那 按 著 聖 靈 生 的 ． 現 在 也 是 這 樣 。
Song Kinh Thánh, có nói gì? Hãy đuổi người nữ tôi mọi và con trai nó; vì con trai của người nữ tôi mọi sẽ không được kế tự với con trai của người nữ tự chủ.|然 而 經 上 是 怎 麼 說 的 呢 ． 是 說 、 『 把 使 女 和 他 兒 子 趕 出 去 ． 因 為 使 女 的 兒 子 、 不 可 與 自 主 婦 人 的 兒 子 一 同 承 受 產 業 。 』
Ay vậy, hỡi anh em, chúng ta chẳng phải là con cái của người nữ tôi mọi, bèn là người nữ tự chủ.|弟 兄 們 、 這 樣 看 來 、 我 們 不 是 使 女 的 兒 女 、 乃 是 自 主 婦 人 的 兒 女 了 。

					Ga-la-ti 5				|
						加拉太書 5					
Đấng Christ đã buông tha chúng ta cho được tự do; vậy hãy đứng vững, chớ lại để mình dưới ách tôi mọi nữa.|基 督 釋 放 了 我 們 、 叫 我 們 得 以 自 由 、 所 以 要 站 立 得 穩 、 不 要 再 被 奴 僕 的 軛 挾 制 。
Tôi là Phao-lô nói với anh em rằng, nếu anh em chịu làm phép cắt bì, thì Đấng Christ không bổ ích chi cho anh em hết.|我 保 羅 告 訴 你 們 、 若 受 割 禮 、 基 督 就 與 你 們 無 益 了 。
Tôi lại rao cho mọi người chịu cắt bì rằng, họ buộc phải vâng giữ trọn cả luật pháp.|我 再 指 著 凡 受 割 禮 的 人 確 實 的 說 、 他 是 欠 著 行 全 律 法 的 債 。
Anh em thảy đều muốn cậy luật pháp cho được xưng công bình, thì đã lìa khỏi Đấng Christ, mất ân điển rồi.|你 們 這 要 靠 律 法 稱 義 的 、 是 與 基 督 隔 絕 、 從 恩 典 中 墜 落 了 。
Về phần chúng ta, ấy là bởi đức tin và nhờ Thánh Linh mà chúng ta được nhận lãnh sự trông cậy của sự công bình.|我 們 靠 著 聖 靈 、 憑 著 信 心 、 等 候 所 盼 望 的 義 。
Vì trong Đức Chúa Jêsus Christ, cái điều có giá trị, không phải tại chịu phép cắt bì hoặc không chịu phép cắt bì, nhưng tại đức tin hay làm ra bởi sự yêu thương vậy.|原 來 在 基 督 耶 穌 裡 、 受 割 禮 不 受 割 禮 、 全 無 功 效 ． 惟 獨 使 人 生 發 仁 愛 的 信 心 、 纔 有 功 效 。
Anh em chạy giỏi; ai đã ngăn trở anh em đặng không cho vâng phục lẽ thật?|你 們 向 來 跑 得 好 ． 有 誰 攔 阻 你 們 、 叫 你 們 不 順 從 真 理 呢 。
Sự xui giục đó không phải đến từ Đấng gọi anh em.|這 樣 的 勸 導 、 不 是 出 於 那 召 你 們 的 。
Một ít men làm cho dậy cả đống bột.|一 點 麵 酵 能 使 全 團 都 發 起 來 。
Trong Chúa, tôi đối với anh em có lòng tin cậy nầy, là anh em chắc không có ý khác; nhưng kẻ làm rối trí anh em, bất luận người nào, sẽ chịu hình phạt về điều đó.|我 在 主 裡 很 信 你 們 必 不 懷 別 樣 的 心 ． 但 攪 擾 你 們 的 、 無 論 是 誰 、 必 擔 當 他 的 罪 名 。
Hỡi anh em, về phần tôi, nếu tôi còn giảng phép cắt bì, thì sao tôi còn bị bắt bớ nữa? Sự vấp phạm về thập tự giá há chẳng phải bỏ hết rồi sao?|弟 兄 們 、 我 若 仍 舊 傳 割 禮 、 為 甚 麼 還 受 逼 迫 呢 ． 若 是 這 樣 、 那 十 字 架 討 厭 的 地 方 就 沒 有 了 。
Nguyền cho kẻ gieo sự rối loạn trong anh em thà họ tự chặt mình là hơn!|恨 不 得 那 攪 亂 你 們 的 人 、 把 自 己 割 絕 了 。
Hỡi anh em, anh em đã được gọi đến sự tự do, song chớ lấy sự tự do đó làm dịp cho anh em ăn ở theo tánh xác thịt, nhưng hãy lấy lòng yêu thương làm đầy tớ lẫn nhau.|弟 兄 們 、 你 們 蒙 召 、 是 要 得 自 由 ． 只 是 不 可 將 你 們 的 自 由 當 作 放 縱 情 慾 的 機 會 ． 總 要 用 愛 心 互 相 服 事 。
Vì cả luật pháp chỉ tóm lại trong một lời nầy: Ngươi hãy yêu kẻ lân cận như mình.|因 為 全 律 法 都 包 在 愛 人 如 己 這 一 句 話 之 內 了 。
Nhưng nếu anh em cắn nuốt nhau, thì hãy giữ, kẻo kẻ nầy bị diệt mất bởi kẻ khác.|你 們 要 謹 慎 ． 若 相 咬 相 吞 、 只 怕 要 彼 此 消 滅 了 。
Vậy tôi nói rằng: Hãy bước đi theo Thánh Linh, chớ hề làm trọn những điều ưa muốn của xác thịt.|我 說 、 你 們 當 順 著 聖 靈 而 行 、 就 不 放 縱 肉 體 的 情 慾 了 。
Vì xác thịt có những điều ưa muốn trái với của Thánh Linh, Thánh Linh có những điều ưa muốn trái với của xác thịt; hai bên trái nhau dường ấy, nên anh em không làm được điều mình muốn làm.|因 為 情 慾 和 聖 靈 相 爭 、 聖 靈 和 情 慾 相 爭 ． 這 兩 個 是 彼 此 相 敵 、 使 你 們 不 能 作 所 願 意 作 的 。
Nhưng, ví bằng anh em nhờ Thánh Linh chỉ dẫn, thì chẳng hề ở dưới luật pháp.|但 你 們 若 被 聖 靈 引 導 、 就 不 在 律 法 以 下 。
Vả, các việc làm của xác thịt là rõ ràng lắm: ấy là gian dâm, ô uế, luông tuồng,|情 慾 的 事 、 都 是 顯 而 易 見 的 ． 就 如 姦 淫 、 污 穢 、 邪 蕩 、
thờ hình tượng, phù phép, thù oán, tranh đấu, ghen ghét, buồn giận, cãi lẫy, bất bình, bè đảng,|拜 偶 像 、 邪 術 、 仇 恨 、 爭 競 、 忌 恨 、 惱 怒 、 結 黨 、 紛 爭 、 異 端 、
ganh gổ, say sưa, mê ăn uống, cùng các sự khác giống như vậy. Tôi nói trước cho anh em, như tôi đã nói rồi: hễ ai phạm những việc thể ấy thì không được hưởng nước Đức Chúa Trời.|嫉 妒 、 〔 有 古 卷 在 此 有 兇 殺 二 字 〕 醉 酒 、 荒 宴 等 類 、 我 從 前 告 訴 你 們 、 現 在 又 告 訴 你 們 、 行 這 樣 事 的 人 、 必 不 能 承 受 　 神 的 國
Nhưng trái của Thánh Linh, ấy là lòng yêu thương, sự vui mừng, bình an, nhịn nhục, nhơn từ, hiền lành, trung tín, mềm mại, tiết độ:|聖 靈 所 結 的 果 子 、 就 是 仁 愛 、 喜 樂 、 和 平 、 忍 耐 、 恩 慈 、 良 善 、 信 實 、
không có luật pháp nào cấm các sự đó.|溫 柔 、 節 制 ． 這 樣 的 事 、 沒 有 律 法 禁 止 。
Vả, những kẻ thuộc về Đức Chúa Jêsus Christ đã đóng đinh xác thịt với tình dục và dâm dục mình trên thập tự giá rồi.|凡 屬 基 督 耶 穌 的 人 、 是 已 經 把 肉 體 、 連 肉 體 的 邪 情 私 慾 、 同 釘 在 十 字 架 上 了 。
Nếu chúng ta nhờ Thánh Linh mà sống, thì cũng hãy bước theo Thánh Linh vậy.|我 們 若 是 靠 聖 靈 得 生 、 就 當 靠 聖 靈 行 事 。
Chớ tìm kiếm danh vọng giả dối mà trêu chọc nhau và ghen ghét nhau.|不 要 貪 圖 虛 名 、 彼 此 惹 氣 、 互 相 嫉 妒 。

					Ga-la-ti 6				|
						加拉太書 6					
Hỡi anh em, vì bằng có người nào tình cờ phạm lỗi gì, anh em là kẻ có Đức Chúa Trời, hãy lấy lòng mềm mại mà sửa họ lại; chính mình anh em lại phải giữ, e cũng bị dỗ dành chẳng.|弟 兄 們 、 若 有 人 偶 然 被 過 犯 所 勝 、 你 們 屬 靈 的 人 、 就 當 用 溫 柔 的 心 、 把 他 挽 回 過 來 ． 又 當 自 己 小 心 、 恐 怕 也 被 引 誘 。
Hãy mang lấy gánh nặng cho nhau, như vậy anh em sẽ làm trọn luật pháp của Đấng Christ.|你 們 各 人 的 重 擔 要 互 相 擔 當 、 如 此 、 就 完 全 了 基 督 的 律 法 。
Vì, nếu có ai, dầu mình không ra chi hết, mà cũng tưởng mình ra chi ấy là mình dối lấy mình.|人 若 無 有 、 自 己 還 以 為 有 、 就 是 自 欺 了 。
Mỗi người phải thử xét việc làm của mình, thì sự khoe mình chỉ tại mình thôi, chớ chẳng phải tại kẻ khác.|各 人 應 當 察 驗 自 己 的 行 為 、 這 樣 、 他 所 誇 的 就 專 在 自 己 、 不 在 別 人 了 。
Vì ai sẽ gánh lấy riêng phần nấy.|因 為 各 人 必 擔 當 自 己 的 擔 子 。
Kẻ nào mà người ta dạy đạo cho, phải lấy trong hết thảy của cải mình mà chia cho người dạy đó.|在 道 理 上 受 教 的 、 當 把 一 切 需 用 的 供 給 施 教 的 人 。
Chớ hề dối mình; Đức Chúa Trời không chịu khinh dể đâu; vì ai gieo giống chi, lại gặt giống ấy.|不 要 自 欺 、 　 神 是 輕 慢 不 得 的 ． 人 種 的 是 甚 麼 、 收 的 也 是 甚 麼 。
Kẻ gieo cho xác thịt, sẽ bởi xác thịt mà gặt sự hư nát; song kẻ gieo cho Thánh Linh, sẽ bởi Thánh Linh mà gặt sự sống đời đời.|順 著 情 慾 撒 種 的 、 必 從 情 慾 收 敗 壞 ． 順 著 聖 靈 撒 種 的 、 必 從 聖 靈 收 永 生 。
Chớ mệt nhọc về sự làm lành, vì nếu chúng ta không trễ nải, thì đến kỳ chúng ta sẽ gặt.|我 們 行 善 、 不 可 喪 志 ． 若 不 灰 心 、 到 了 時 候 、 就 要 收 成 。
Vậy, đương lúc có dịp tiện, hãy làm điều thiện cho mọi người, nhứt là cho anh em chúng ta trong đức tin.|所 以 有 了 機 會 、 就 當 向 眾 人 行 善 ． 向 信 徒 一 家 的 人 更 當 這 樣 。
Hãy xem chính tay tôi viết thơ nầy cho anh em, chữ lớn là dường nào.|請 看 我 親 手 寫 給 你 們 的 字 、 是 何 等 的 大 呢 。
Hết thảy những kẻ muốn cho mình đẹp lòng người theo phần xác, ép anh em chịu cắt bì, hầu cho họ khỏi vì thập tự giá của Đấng Christ mà bị bắt bớ đó thôi.|凡 希 圖 外 貌 體 面 的 人 、 都 勉 強 你 們 受 割 禮 ． 無 非 是 怕 自 己 為 基 督 的 十 字 架 受 逼 迫 。
Vì chính những kẻ đó đã chịu cắt bì, không vâng giữ luật pháp đâu, nhưng họ muốn anh em chịu cắt bì, hầu để khoe mình trong phần xác của anh em.|他 們 那 些 受 割 禮 的 、 連 自 己 也 不 守 律 法 ． 他 們 願 意 你 們 受 割 禮 、 不 過 要 藉 著 你 們 的 肉 體 誇 口 。
Còn như tôi, tôi hẳn chẳng khoe mình, trừ ra khoe về thập tự giá của Đức Chúa Jêsus Christ chúng ta, bởi thập tự giá ấy, thế gian đối với tôi đã bị đóng đinh, và tôi đối với thế gian cũng vậy!|但 我 斷 不 以 別 的 誇 口 、 只 誇 我 們 主 耶 穌 基 督 的 十 字 架 ． 因 這 十 字 架 、 就 我 而 論 、 世 界 已 經 釘 在 十 字 架 上 ． 就 世 界 而 論 、 我 已 經 釘 在 十 字 上 架 上 。
Vì điều yếu cần, chẳng phải sự chịu cắt bì, hay là sự chẳng chịu cắt bì, bèn là trở nên người mới.|受 割 禮 不 受 割 禮 、 都 無 關 緊 要 、 要 緊 的 就 是 作 新 造 的 人 。
Nguyền xin sự bình an và sự thương xót giáng trên hết thảy những kẻ noi theo mẫu mực nầy, lại giáng trên dân Y-sơ-ra-ên của Đức Chúa Trời nữa!|凡 照 此 理 而 行 的 、 願 平 安 憐 憫 加 給 他 們 、 和 　 神 的 以 色 列 民 。
Ước gì từ nay về sau, chẳng ai làm khó cho tôi, vì trong mình tôi có đốt dấu vết của Đức Chúa Jêsus vậy.|從 今 以 後 、 人 都 不 要 攪 擾 我 ． 因 為 我 身 上 帶 著 耶 穌 的 印 記 。
Hỡi anh em, nguyền xin ân điển của Đức Chúa Jêsus Christ chúng ta ở với tâm thần anh em! A-men.|弟 兄 們 、 願 我 主 耶 穌 基 督 的 恩 常 在 你 們 心 裡 。 阿 們 。
