
					Các Thủ Lãnh 1				|
Thiên sứ của Đức Giê-hô-va hiện đến cùng người mà rằng: Hỡi người dõng sĩ! Đức Giê-hô-va ở cùng người.|耶 和 華 的 使 者 向 基 甸 顯 現 、 對 他 說 、 大 能 的 勇 士 阿 、 耶 和 華 與 你 同 在 。
Ghê-đê-ôn thưa rằng: Oi! Chúa, nếu Đức Giê-hô-va ở cùng chúng tôi, sao các điều nầy xảy đến cho chúng tôi? Các phép lạ kia ở đâu mà tổ phụ chúng tôi đã thuật lại rằng: Đức Giê-hô-va há chẳng có đem chúng ta ra khỏi xứ Ê-díp-tô sao? Vì bây giờ Đức Giê-hô-va từ bỏ chúng tôi, và phó chúng tôi vào tay dân Ma-đi-an.|基 甸 說 、 主 阿 、 耶 和 華 若 與 我 們 同 在 、 我 們 何 至 遭 遇 這 一 切 事 呢 ． 我 們 的 列 祖 不 是 向 我 們 說 、 耶 和 華 領 我 們 從 埃 及 上 來 麼 ． 他 那 樣 奇 妙 的 作 為 在 那 裡 呢 ． 現 在 他 卻 丟 棄 我 們 、 將 我 們 交 在 米 甸 人 手 裡 。
Đức Giê-hô-va xây lại cùng người mà phán rằng: Hãy dùng sức của ngươi vẫn có mà đi giải cứu Y-sơ-ra-ên khỏi tay dân Ma-đi-an. Ta há chẳng sai ngươi đi sao?|耶 和 華 觀 看 基 甸 、 說 、 你 靠 著 你 這 能 力 去 從 米 甸 人 手 裡 拯 救 以 色 列 人 ． 不 是 我 差 遣 你 去 的 麼 。
Người thưa rằng: Than ôi! hỡi Chúa, tôi sẽ lấy chi giải cứu Y-sơ-ra-ên? Kìa, trong chi phái Ma-na-se, họ tôi vốn nghèo hơn hết; còn tôi là nhỏ hơn hết trong nhà cha tôi.|基 甸 說 、 主 阿 、 我 有 何 能 拯 救 以 色 列 人 呢 ． 我 家 在 瑪 拿 西 支 派 中 、 是 至 貧 窮 的 ． 我 在 我 父 家 是 至 微 小 的 。
Đức Giê-hô-va phán rằng: Ta sẽ ở cùng ngươi, và ngươi sẽ đánh bại dân Ma-đi-an như đánh một người vậy.|耶 和 華 對 他 說 、 我 與 你 同 在 、 你 就 必 擊 打 米 甸 人 、 如 擊 打 一 人 一 樣 。
Ghê-đê-ôn thưa lại rằng: Nếu tôi được ơn trước mặt Chúa, xin ban cho tôi một dấu rằng chính Chúa phán cùng tôi.|基 甸 說 、 我 若 在 你 眼 前 蒙 恩 、 求 你 給 我 一 個 證 據 、 使 我 知 道 與 我 說 話 的 就 是 主 ．
Xin chớ dan khỏi đây cho đến khi tôi trở lại cùng Ngài, đem của lễ tôi, để trước mặt Ngài. Ngài đáp: Ta sẽ ở đây cho đến khi ngươi trở lại.|求 你 不 要 離 開 這 裡 、 等 我 歸 回 、 將 禮 物 帶 來 供 在 你 面 前 ． 主 說 、 我 必 等 你 回 來 。
Ghê-đê-ôn bèn đi vô, dọn sẵn một con dê con, lấy một ê-pha bột làm những bánh nhỏ không men. Người để thịt trong rổ, đổ nước thịt vào nồi, rồi đem ra dâng các món ấy cho Ngài ở dưới cây thông.|基 甸 去 豫 備 了 一 隻 山 羊 羔 、 用 一 伊 法 細 麵 作 了 無 酵 餅 、 將 肉 放 在 筐 內 、 把 湯 盛 在 壺 中 、 帶 到 橡 樹 下 、 獻 在 使 者 面 前 。
Thiên sứ của Đức Chúa Trời phán rằng: Hãy lấy thịt và bánh nhỏ không men, để trên hòn đá nầy, rồi đổ nước thịt ra. Ghê-đê-ôn bèn làm như vậy.|　 神 的 使 者 吩 咐 基 甸 說 、 將 肉 和 無 酵 餅 放 在 這 磐 石 上 、 把 湯 倒 出 來 ． 他 就 這 樣 行 了 。
Bấy giờ, thiên sứ của Đức Giê-hô-va giơ đầu gậy Ngài đương cầm nơi tay mình ra, đụng đến thịt và bánh nhỏ không men. Lửa từ hòn đá bốc lên, thiêu hóa thịt và bánh nhỏ không men; đoạn, thiên sứ của Đức Giê-hô-va biến đi khỏi mắt người.|耶 和 華 的 使 者 伸 出 手 內 的 杖 、 杖 頭 挨 了 肉 和 無 酵 餅 、 就 有 火 從 磐 石 中 出 來 、 燒 盡 了 肉 和 無 酵 餅 ． 耶 和 華 的 使 者 也 就 不 見 了 。
Ghê-đê-ôn thấy rằng ấy là thiên sứ của Đức Giê-hô-va, bèn la rằng: Oi, Chúa Giê-hô-va! khốn nạn cho tôi, vì tôi thấy đối diện thiên sứ của Đức Giê-hô-va!|基 甸 見 他 是 耶 和 華 的 使 者 、 就 說 、 哀 哉 、 主 耶 和 華 阿 、 我 不 好 了 、 因 為 我 覿 面 看 見 耶 和 華 的 使 者 。
Nhưng Đức Giê-hô-va phán cùng người rằng: Khá yên lòng, chớ sợ chi, ngươi sẽ không chết đâu.|耶 和 華 對 他 說 、 你 放 心 、 不 要 懼 怕 、 你 必 不 至 死 。
Ghê-đê-ôn bèn lập tại đó một cái bàn thờ cho Đức Giê-hô-va, và đặt tên là Giê-hô-va-Sa-lam. Tại Op-ra, thành của người A-bi-ê-xê-rít, cái bàn thờ ấy vẫn còn đến ngày nay.|於 是 基 甸 在 那 裡 為 耶 和 華 築 了 一 座 壇 、 起 名 叫 耶 和 華 沙 龍 〔 就 是 耶 和 華 賜 平 安 的 意 思 〕 這 壇 在 亞 比 以 謝 族 的 俄 弗 拉 直 到 如 今 。
Trong cũng một đêm ấy, Đức Giê-hô-va phán cùng Ghê-đê-ôn rằng: Hãy bắt con bò đực tơ của cha ngươi, và một con bò đực thứ nhì bảy tuổi, rồi phá dỡ bàn thờ thần Ba-anh tại nhà cha ngươi, và đánh hạ hình tượng A-sê-ra ở trên đó.|當 那 夜 耶 和 華 吩 咐 基 甸 說 、 你 取 你 父 親 的 牛 來 、 就 是 〔 或 作 和 〕 那 七 歲 的 第 二 隻 牛 、 並 拆 毀 你 父 親 為 巴 力 所 築 的 壇 、 砍 下 壇 旁 的 木 偶 。
Đoạn, tại nơi chót hòn đá nầy, ngươi sẽ lập một bàn thờ cho Giê-hô-va Đức Chúa Trời ngươi, và sắp đặt mọi việc; rồi hãy bắt con bò đực thứ nhì, dâng làm của lễ thiêu với gỗ hình tượng A-sê-ra mà ngươi đã đánh hạ.|在 這 磐 石 〔 原 文 作 保 障 〕 上 、 整 整 齊 齊 地 為 耶 和 華 你 的 　 神 築 一 座 壇 、 將 第 二 隻 牛 獻 為 燔 祭 、 用 你 所 砍 下 的 木 偶 作 柴 。
Ghê-đê-ôn chọn lấy mười người trong bọn đầy tớ mình, và làm theo điều Đức Giê-hô-va đã phán dặn; và vì người sợ nhà cha mình cùng kẻ trong thành, nên không dám làm theo lịnh ấy ban ngày, bèn làm ban đêm.|基 甸 就 從 他 僕 人 中 挑 了 十 個 人 、 照 著 耶 和 華 吩 咐 他 的 行 了 ． 他 因 怕 父 家 和 本 城 的 人 、 不 敢 在 白 晝 行 這 事 、 就 在 夜 間 行 了 。
Sớm mai, khi dân trong thành thức giấc, thấy bàn thờ của thần Ba-anh đã bị phá dỡ, hình tượng A-sê-ra ở trên bị đánh hạ, và con bò đực thứ nhì đã dâng làm của lễ thiêu trên bàn thờ mới lập đó.|城 裡 的 人 清 早 起 來 、 見 巴 力 的 壇 拆 毀 、 壇 旁 的 木 偶 砍 下 、 第 二 隻 牛 獻 在 新 築 的 壇 上 、
Chúng hỏi nhau rằng: Ai làm điều đó? Đoạn, hỏi thăm và tra xét. Có người nói cùng chúng rằng: Ay là Ghê-đê-ôn, con trai Giô-ách, đã làm điều đó.|就 彼 此 說 、 這 事 是 誰 作 的 呢 ． 他 們 訪 查 之 後 、 就 說 、 這 是 約 阿 施 的 兒 子 基 甸 作 的 。
Dân trong thành bèn nói cùng Giô-ách rằng: Hãy biểu con ngươi ra, nó phải chết, vì nó đã phá dỡ bàn thờ thần Ba-anh, và đánh hạ hình tượng A-sê-ra ở trên.|城 裡 的 人 對 約 阿 施 說 、 將 你 兒 子 交 出 來 、 好 治 死 他 、 因 為 他 拆 毀 了 巴 力 的 壇 、 砍 下 壇 旁 的 木 偶 。
Giô-ách đáp với những kẻ dấy nghịch cùng mình rằng: Các ngươi há có ý binh vực Ba-anh sao? Há có phải các ngươi muốn tiếp cứu nó ư? Ai theo phe của Ba-anh sẽ bị xử tử kể từ sáng nay. Nếu hắn là chúa, thì chính hắn hãy tranh luận lấy chớ, bởi vì người ta đã phá dỡ bàn thờ của hắn.|約 阿 施 回 答 站 著 攻 擊 他 的 眾 人 說 、 你 們 是 為 巴 力 爭 論 麼 ． 你 們 要 救 他 麼 ． 誰 為 他 爭 論 、 趁 早 將 誰 治 死 ． 巴 力 若 果 是 神 、 有 人 拆 毀 他 的 壇 、 讓 他 為 自 己 爭 論 罷 。
Vậy, trong ngày đó người ta gọi Ghê-đê-ôn là Giê-ru-ba-anh mà rằng: Ba-anh phải tranh luận cùng người, vì Ghê-đê-ôn có phá dỡ bàn thờ của hắn!|所 以 當 日 人 稱 基 甸 為 耶 路 巴 力 、 意 思 說 、 他 拆 毀 巴 力 的 壇 、 讓 巴 力 與 他 爭 論 。
Hết thảy dân Ma-đi-an, dân A-ma-léc, và người phương Đông đều hiệp lại, đi ngang qua sông Giô-đanh, và đóng trại tại trũng Gít-rê-ên.|那 時 米 甸 人 亞 瑪 力 人 和 東 方 人 、 都 聚 集 過 河 、 在 耶 斯 列 平 原 安 營 。
Thần của Đức Giê-hô-va cảm hóa Ghê-đê-ôn; người thổi kèn, các người A-bi-ê-xê-rít bèn hiệp lại đặng theo người.|耶 和 華 的 靈 降 在 基 甸 身 上 、 他 就 吹 角 ． 亞 比 以 謝 族 都 聚 集 跟 隨 他 。
Người cũng sai sứ giả đi khắp Ma-na-se; người Ma-na-se bèn nhóm hiệp đặng theo người. Đoạn, người sai sứ giả đến chi phái A-se, Sa-bu-lôn và Nép-ta-li; họ cũng đi lên mà hiệp với người nữa.|他 打 發 人 走 遍 瑪 拿 西 地 、 瑪 拿 西 人 也 聚 集 跟 隨 他 ． 又 打 發 人 去 見 亞 設 人 、 西 布 倫 人 、 拿 弗 他 利 人 他 們 也 都 出 來 與 他 們 會 合 。
Ghê-đê-ôn thưa cùng Đức Chúa Trời rằng: Nếu Chúa muốn dùng tay tôi giải cứu Y-sơ-ra-ên, y như lời Chúa đã phán,|基 甸 對 　 神 說 、 你 若 果 照 著 所 說 的 話 、 藉 我 手 拯 救 以 色 列 人 、
thì tôi sẽ để một lốt chiên trong sân đạp lúa; nếu sương chỉ đóng trên lốt chiên, còn đất lại khô ráo, thì tôi sẽ nhận biết Chúa dùng tay tôi giải cứu Y-sơ-ra-ên, y như Chúa đã hứa vậy.|我 就 把 一 團 羊 毛 放 在 禾 場 上 、 若 但 是 羊 毛 上 有 露 水 、 別 的 地 方 都 是 乾 的 、 我 就 知 道 你 必 照 著 所 說 的 話 、 藉 我 手 拯 救 以 色 列 人 。
Việc bèn xảy ra như vậy: ngày mai Ghê-đê-ôn dậy sớm, ép vắt lốt chiên, thì sương chảy ra đầy một chén nước.|次 日 早 晨 基 甸 起 來 、 見 果 然 是 這 樣 ． 將 羊 毛 擠 一 擠 、 從 羊 毛 中 擰 出 滿 盆 的 露 水 來 。
Ghê-đê-ôn lại thưa cùng Đức Chúa Trời rằng: Xin cơn thạnh nộ Chúa chớ nổi phừng cùng tôi, tôi chỉ sẽ nói lần nầy thôi. Xin Chúa để tôi làm thử với lốt chiên chỉ một lần nầy thôi: Xin cho một mình lốt chiên phải khô, còn sương lại đóng khắp trên đất.|基 甸 又 對 　 神 說 、 求 你 不 要 向 我 發 怒 、 我 再 說 這 一 次 ． 讓 我 將 羊 毛 再 試 一 次 ． 但 願 羊 毛 是 乾 的 、 別 的 地 方 都 有 露 水 。
Trong đêm đó, Đức Chúa Trời bèn làm như vậy; chỉ một mình lốt chiên thì khô, còn khắp trên đất lại bị sương phủ.|這 夜 　 神 也 如 此 行 ． 獨 羊 毛 上 是 乾 的 、 別 的 地 方 都 有 露 水 。

					Các Thủ Lãnh 7				|
						士師記 7					
Qua ngày sau, Giê-ru-ba-anh, tức là Ghê-đê-ôn, và cả dân sự đồng theo người đều dậy sớm, đi đến đóng trại gần bên suối Ha-rốt. Dinh của Ma-đi-an ở phía bắc về lối nổng Mô-rê, trong trũng.|耶 路 巴 力 、 就 是 基 甸 、 他 和 一 切 跟 隨 的 人 、 早 晨 起 來 、 在 哈 律 泉 旁 安 營 ． 米 甸 營 在 他 們 北 邊 的 平 原 、 靠 近 摩 利 岡 。
Đức Giê-hô-va phán cùng Ghê-đê-ôn rằng: Đạo binh đi theo ngươi lấy làm đông quá, ta chẳng phó dân Ma-đi-an vào tay nó đâu, e Y-sơ-ra-ên đối cùng ta tự khoe mà rằng: Tay tôi đã cứu tôi.|耶 和 華 對 基 甸 說 、 跟 隨 你 的 人 過 多 、 我 不 能 將 米 甸 人 交 在 他 們 手 中 、 免 得 以 色 列 人 向 我 誇 大 、 說 、 是 我 們 自 己 的 手 救 了 我 們 。
Vậy bây giờ, hãy truyền lịnh nầy cho bá tánh nghe: Ai là người sợ hãi run rẩy, khá trở về khỏi núi Ga-la-át! Hai vạn hai ngàn người bèn trở về, còn một vạn người ở lại.|現 在 你 要 向 這 些 人 宣 告 說 、 凡 懼 怕 膽 怯 的 、 可 以 離 開 基 列 山 回 去 ． 於 是 有 二 萬 二 千 人 回 去 ． 只 剩 下 一 萬 。
Đức Giê-hô-va phán cùng Ghê-đê-ôn rằng: Dân hãy còn đông quá, phải biểu chúng xuống nơi mé nước, rồi ta sẽ vì ngươi thử chúng nó tại đó. Hễ kẻ nào ta phán với ngươi rằng: "Nó khá đi với ngươi," thì nó sẽ đi theo ngươi; còn kẻ nào ta phán cùng ngươi rằng: "Nó chớ đi với ngươi," thì kẻ đó không đi.|耶 和 華 對 基 甸 說 、 人 還 是 過 多 ． 你 要 帶 他 們 下 到 水 旁 、 我 好 在 那 裡 為 你 試 試 他 們 ． 我 指 點 誰 說 、 這 人 可 以 同 你 去 、 他 就 可 以 同 你 去 ． 我 指 點 誰 說 、 這 人 不 可 同 你 去 、 他 就 不 可 同 你 去 。
Vậy, người biểu dân sự xuống mé nước; rồi Đức Giê-hô-va phán cùng Ghê-đê-ôn rằng: Phàm kẻ nào dùng lưỡi liếm nước như chó, và kẻ nào quì gối cúi xuống mà uống, thì ngươi phải để riêng ra.|基 甸 就 帶 他 們 下 到 水 旁 ． 耶 和 華 對 基 甸 說 、 凡 用 舌 頭 餂 水 、 像 狗 餂 的 、 要 使 他 單 站 在 一 處 ． 凡 跪 下 喝 水 的 、 也 要 使 他 單 站 在 一 處 。
Số người bụm nước trong tay rồi kê miệng liếm là ba trăm, còn lại bao nhiêu đều quì gối cúi xuống mà uống.|於 是 用 手 捧 著 餂 水 的 有 三 百 人 ． 其 餘 的 都 跪 下 喝 水 。
Bấy giờ, Đức Giê-hô-va bèn phán cùng Ghê-đê-ôn rằng: Ta sẽ dùng ba trăm người đã liếm nước đó mà giải cứu các ngươi, và ta sẽ phó dân Ma-đi-an vào tay ngươi. Còn dân sự khác, ai nấy đều phải trở về nhà mình!|耶 和 華 對 基 甸 說 、 我 要 用 這 餂 水 的 三 百 人 拯 救 你 們 、 將 米 甸 人 交 在 你 手 中 ． 其 餘 的 人 、 都 可 以 各 歸 各 處 去 。
Ghê-đê-ôn cho cả người Y-sơ-ra-ên, ai trở về trại nấy, nhưng giữ lại ba trăm người kia; chúng lấy lương thực và cây kèn trong tay. Vả, dinh Ma-đi-an ở thân dưới người, tại trong trũng.|這 三 百 人 就 帶 著 食 物 和 角 ． 其 餘 的 以 色 列 人 、 基 甸 都 打 發 他 們 各 歸 各 的 帳 棚 、 只 留 下 這 三 百 人 。 米 甸 營 在 他 下 邊 的 平 原 裡 。
Xảy trong đêm đó, Đức Giê-hô-va phán cùng Ghê-đê-ôn rằng: Hãy chổi dậy, đi xuống hãm dinh Ma-đi-an, vì ta đã phó nó vào tay ngươi.|當 那 夜 耶 和 華 吩 咐 基 甸 說 、 起 來 、 下 到 米 甸 營 裡 去 ． 因 我 已 將 他 們 交 在 你 手 中 。
Còn nếu ngươi sợ hãm nó, thì hãy đi xuống đó với Phu-ra, đầy tớ ngươi.|倘 若 你 怕 下 去 、 就 帶 你 的 僕 人 普 拉 下 到 那 營 裡 去 ．
Người sẽ nghe điều chúng nó nói, rồi ngươi sẽ cảm biết rằng mình có sức mạnh mà hãm dinh chúng nó. Vậy, Ghê-đê-ôn đi xuống cùng Phu-ra, đầy tớ mình, đến gần nơi lính canh ở đầu dinh.|你 必 聽 見 他 們 所 說 的 、 然 後 你 就 有 膽 量 下 去 攻 營 ． 於 是 基 甸 帶 著 僕 人 普 拉 下 到 營 旁 。
Vả, dân Ma-đi-an, dân A-ma-léc, và hết thảy người phương Đông bủa ra trong trũng đông như cào cào, còn lạc đà của chúng nó thì đông vô số, khác nào cát nơi bờ biển.|米 甸 人 亞 瑪 力 人 和 一 切 東 方 人 、 都 布 散 在 平 原 、 如 同 蝗 蟲 那 樣 多 ． 他 們 的 駱 駝 無 數 、 多 如 海 邊 的 沙 。
Trong lúc Ghê-đê-ôn đến, có một người thuật điềm chiêm bao cho bạn mình nghe, rằng: Nầy, tôi có một điềm chiêm bao, thấy một cái bánh nhỏ bẳng bột lúa mạch lăn vào trại quân Ma-đi-an: nó lăn đến một trại, đụng làm cho trại ngã, lật ngược trên lộn dưới, nên trại bị đánh đổ.|基 甸 到 了 、 就 聽 見 一 人 將 夢 告 訴 同 伴 說 、 我 作 了 一 夢 、 夢 見 一 個 大 麥 餅 輥 入 米 甸 營 中 、 到 了 帳 幕 、 將 帳 幕 撞 倒 、 帳 幕 就 翻 轉 傾 覆 了 。
Bọn người đáp rằng: Đó nào khác hơn là gươm của Ghê-đê-ôn, con trai Giô-ách, người Y-sơ-ra-ên. Đức Chúa Trời đã phó Ma-đi-an và cả trại quân vào tay người.|那 同 伴 說 、 這 不 是 別 的 、 乃 是 以 色 列 人 約 阿 施 的 兒 子 基 甸 的 刀 ． 　 神 已 將 米 甸 、 和 全 軍 、 都 交 在 他 的 手 中 。
Khi Ghê-đê-ôn nghe lời thuật điềm chiêm bao nầy và sự bàn điềm đó, thì thờ lạy Đức Chúa Trời; rồi trở về trại quân Y-sơ-ra-ên, mà rằng: Hãy chổi dậy, vì Đức Giê-hô-va đã phó trại quân Ma-đi-an vào tay các ngươi!|基 甸 聽 見 這 夢 、 和 夢 的 講 解 、 就 敬 拜 　 神 、 回 到 以 色 列 營 中 、 說 、 起 來 罷 ． 耶 和 華 已 將 米 甸 的 軍 隊 交 在 你 們 手 中 了 。
Đoạn, người chia ba trăm người làm ba đội, phát cho mỗi tên những kèn, bình không, và đuốc ở trong bình,|於 是 基 甸 將 三 百 人 分 作 三 隊 、 把 角 和 空 瓶 交 在 各 人 手 裡 、 瓶 內 都 藏 著 火 把 ．
mà dặn rằng: Hãy ngó ta, và làm y như ta làm; khi ta đến đầu trại quân, các ngươi sẽ làm theo điều ta làm.|吩 咐 他 們 說 、 你 們 要 看 我 行 事 ． 我 到 了 營 的 旁 邊 怎 樣 行 、 你 們 也 要 怎 樣 行 。
Khi ta và những kẻ theo ta thổi kèn, thì các ngươi cũng sẽ thổi kèn ở khắp xung quanh trại quân, và reo lên rằng: Vì Đức Giê-hô-va và vì Ghê-đê-ôn!|我 和 一 切 跟 隨 我 的 人 吹 角 的 時 候 、 你 們 也 要 在 營 的 四 圍 吹 角 、 喊 叫 說 、 耶 和 華 和 基 甸 的 刀 。
Ghê-đê-ôn và một trăm quân theo người đi đến đầu trại quân vào lúc canh ba, hồi mới giao canh. Chúng thổi kèn, và đập bể bình cầm nơi tay.|基 甸 和 跟 隨 他 的 一 百 人 、 在 三 更 之 初 、 纔 換 更 的 時 候 、 來 到 營 旁 、 就 吹 角 、 打 破 手 中 的 瓶 。
Bấy giờ, ba đội quân thổi kèn, và đập bể bình, tay tả cầm đuốc, tay hữu nắm kèn đặng thổi; đoạn cất tiếng reo lên rằng: Gươm của Đức Giê-hô-va và của Ghê-đê-ôn!|三 隊 的 人 、 就 都 吹 角 、 打 破 瓶 子 、 左 手 拿 著 火 把 、 右 手 拿 著 角 、 喊 叫 說 、 耶 和 華 和 基 甸 的 刀 。
Chúng đứng vây quanh trại quân, ai cứ chỗ nấy; cả trại quân bèn vỡ chạy, cất tiếng la và trốn đi.|他 們 在 營 的 四 圍 各 站 各 的 地 方 ． 全 營 的 人 都 亂 竄 ． 三 百 人 吶 喊 、 使 他 們 逃 跑 。
Ba trăm người cứ thổi kèn, và khắp trại quân, Đức Giê-hô-va khiến trở gươm của mỗi người chém lẫn bạn mình. Đạo-binh chạy trốn đến Bết-si-ta, về hướng Xê-rê-ra, cho đến bờ cõi A-bên-Mê-hô-la gần Ta-bát.|三 百 人 就 吹 角 ． 耶 和 華 使 全 營 的 人 用 刀 互 相 擊 殺 、 逃 到 西 利 拉 的 伯 哈 示 他 、 直 逃 到 靠 近 他 巴 的 亞 伯 米 何 拉 。
Người Y-sơ-ra-ên, tức những người chi phái Nép-ta-li, A-se và Ma-na-se hiệp lại mà đuổi theo dân Ma-đi-an.|以 色 列 人 就 從 拿 弗 他 利 、 亞 設 、 和 瑪 拿 西 全 地 聚 集 來 追 趕 米 甸 人 。
Bấy giờ, Ghê-đê-ôn sai sứ vào khắp núi Ep-ra-im đặng nói rằng: Hãy xuống đón dân Ma-đi-an, chận đường chúng nó qua sông, cho đến Bết-Ba-ra và các chỗ cạn của Giô-đanh. Vậy, các người Ep-ra-im hiệp lại, chiếm các bến cho đến Bết-Ba-ra, cùng những chỗ cạn của Giô-đanh.|基 甸 打 發 人 走 遍 以 法 蓮 山 地 、 說 、 你 們 下 來 攻 擊 米 甸 人 、 爭 先 把 守 約 但 河 的 渡 口 、 直 到 伯 巴 拉 。 於 是 以 法 蓮 的 眾 人 聚 集 、 把 守 約 但 河 的 渡 口 、 直 到 伯 巴 拉 ．
Chúng cũng bắt được hai quan trưởng của dân Ma-đi-an, là Ô-rép và Xê-ép; giết Ô-rép tại nơi hòn đá Ô-rép, và Xê-ép tại nơi máy ép rượu Xê-ép. Đoạn, họ đuổi theo dân Ma-đi-an, cùng đem đầu Ô-rép và đầu Xê-ép đến Ghê-đê-ôn ở phía bên kia sông Giô-đanh.|捉 住 了 米 甸 人 的 兩 個 首 領 、 一 名 俄 立 、 一 名 西 伊 伯 ． 將 俄 立 殺 在 俄 立 磐 石 上 ． 將 西 伊 伯 殺 在 西 伊 伯 酒 醡 那 裡 、 又 追 趕 米 甸 人 、 將 俄 立 和 西 伊 伯 的 首 級 帶 過 約 但 河 、 到 基 甸 那 裡 。

					Các Thủ Lãnh 8				|
						士師記 8					
Người Ep-ra-im bèn nói cùng Ghê-đê-ôn rằng: Vì sao ông đã đãi chúng tôi như vậy? Khi ông đi giao chiến cùng dân Ma-đi-an, sao không gọi chúng tôi đi với? Chúng cãi cùng người cách dữ dội.|以 法 蓮 人 對 基 甸 說 、 你 去 與 米 甸 人 爭 戰 、 沒 有 招 我 們 同 去 、 為 甚 麼 這 樣 待 我 們 呢 ． 他 們 就 與 基 甸 大 大 地 爭 吵 。
Nhưng người đáp cùng chúng rằng: Sánh với anh em, tôi há có làm được điều chi? Sự mót nho của Ep-ra-im há chẳng hơn mùa gặt nho của A-bi-ê-xe sao?|基 甸 對 他 們 說 、 我 所 行 的 豈 能 比 你 們 所 行 的 呢 ． 以 法 蓮 拾 取 剩 下 的 葡 萄 、 不 強 過 亞 比 以 謝 所 摘 的 葡 萄 麼 。
Đức Chúa Trời đã phó Ô-rép và Xê-ép là hai quan trưởng dân Ma-đi-an, vào tay anh em. Đem sánh với anh em, tôi nào có làm được điều gì? Khi người nói lời ấy rồi, cơn giận của chúng bèn nguôi.|　 神 已 將 米 甸 人 的 兩 個 首 領 、 俄 立 和 西 伊 伯 、 交 在 你 們 手 中 ． 我 所 行 的 、 豈 能 比 你 們 所 行 的 呢 ． 基 甸 說 了 這 話 、 以 法 蓮 人 的 怒 氣 就 消 了 。
Ghê-đê-ôn đi tới sông Giô-đanh, sang qua cùng ba trăm nguời đồng theo mình; dẫu mệt nhọc, họ cũng cứ rượt theo quân nghịch.|基 甸 和 跟 隨 他 的 三 百 人 、 到 約 但 河 過 渡 、 雖 然 疲 乏 、 還 是 追 趕 。
Người bèn nói cùng dân Su-cốt rằng: Ta xin các ngươi hãy cấp một vài ổ bánh cho dân theo ta, vì chúng mệt nhọc; ta đương đuổi theo Xê-bách và Xanh-mu-na, hai vua Ma-đi-an.|基 甸 對 疏 割 人 說 、 求 你 們 拿 餅 來 給 跟 隨 我 的 人 喫 ． 因 為 他 們 疲 乏 了 、 我 們 追 趕 米 甸 人 的 兩 個 王 西 巴 和 撒 慕 拿 。
Nhưng các quan trưởng Su-cốt đáp rằng: Chớ thì ông đã cầm nơi tay mình cườm tay của Xê-bách và Xanh-mu-na chưa, nên chúng tôi phải cấp bánh cho đạo binh ông?|疏 割 人 的 首 領 回 答 說 、 西 巴 和 撒 慕 拿 已 經 在 你 手 裡 、 你 使 我 們 將 餅 給 你 的 軍 兵 麼 ．
Ghê-đê-ôn la lên rằng: Thế thì, khi Đức Giê-hô-va đã phó Xê-bách và Xanh-mu-na vào tay ta, ta sẽ lấy chông đồng vắng và nhánh gai mà đánh thịt các ngươi!|基 甸 說 、 耶 和 華 將 西 巴 和 撒 慕 拿 交 在 我 手 之 後 、 我 就 用 野 地 的 荊 條 和 枳 棘 打 傷 你 們 。
Từ đó, người đi lên đến Phê-nu-ên và cũng nói một cách ấy với dân Phê-nê-ên. Dân Phê-nu-ên đáp cùng người y như dân Su-cốt đã đáp.|基 甸 從 那 裡 上 到 毘 努 伊 勒 、 對 那 裡 的 人 也 是 這 樣 說 ． 毘 努 伊 勒 人 也 與 疏 割 人 回 答 他 的 話 一 樣 。
Vậy, người cũng nói với dân Phê-nu-ên rằng: Khi ta trở về bình an, ắt sẽ phá hủy cái tháp nầy.|他 向 毘 努 伊 勒 人 說 、 我 平 平 安 安 回 來 的 時 候 、 我 必 拆 毀 這 樓 。
Xê-bách và Xanh-mu-na ở lại Cạt-cô với quân binh mình, số chừng mười lăm ngàn người, là kẻ còn sót lại trong đạo binh của các người phương Đông; vì một trăm hai mươi ngàn người có tài cầm gươm đã bị giết.|那 時 西 巴 和 撒 慕 拿 、 並 跟 隨 他 們 的 軍 隊 都 在 加 各 、 約 有 一 萬 五 千 人 、 就 是 東 方 人 全 軍 所 剩 下 的 ． 已 經 被 殺 約 有 十 二 萬 拿 刀 的 。
Ghê-đê-ôn đi lên theo đường của những dân ở dưới trại, tại hướng đông Nô-bách và Giô-bê-ha, đánh bại đạo binh vẫn tưởng rằng mình bình an vô-sự.|基 甸 就 由 挪 巴 和 約 比 哈 東 邊 、 從 住 帳 棚 人 的 路 上 去 、 殺 敗 了 米 甸 人 的 軍 兵 ． 因 為 他 們 坦 然 無 懼 。
Khi Xê-bách và Xanh-mu-na chạy trốn, người đuổi theo bắt được hai vua Ma-đi-an, là Xê-bách và Xanh-mu-na, và đánh cả đạo binh vỡ chạy.|西 巴 和 撒 慕 拿 逃 跑 ． 基 甸 追 趕 他 們 、 捉 住 米 甸 的 二 王 西 巴 和 撒 慕 拿 、 驚 散 全 軍 。
Đoạn, Ghê-đê-ôn, con trai Giô-ách, ở trận trở về qua dốc Hê-re,|約 阿 施 的 兒 子 基 甸 、 由 希 列 斯 坡 從 陣 上 回 來 、
bắt một đứa con trai trẻ ở Su-cốt, tra hỏi nó, rồi nó viết khai tên những quan trưởng và trưởng lão của Su-cốt, số được bảy mươi bảy người.|捉 住 疏 割 的 一 個 少 年 人 、 問 他 疏 割 的 首 領 長 老 是 誰 ． 他 就 將 首 領 長 老 七 十 七 個 人 的 名 字 寫 出 來 。
