
					Xuất Hành 1				|
Môi-se bèn lui ra khỏi Pha-ra-ôn, và cầu nguyện Đức Giê-hô-va;|於 是 摩 西 離 開 法 老 去 求 耶 和 華 。
Ngài làm y như lời Môi-se, ruồi mòng lìa xa Pha-ra-ôn, quần thần, và dân sự người, không còn lại một con nào.|耶 和 華 就 照 摩 西 的 話 行 、 叫 成 群 的 ? 蠅 離 開 法 老 、 和 他 的 臣 僕 、 並 他 的 百 姓 、 一 個 也 沒 有 留 下 。
Nhưng lần nầy, Pha-ra-ôn lại cứng lòng nữa, không cho dân sự đi.|這 一 次 法 老 又 硬 著 心 、 不 容 百 姓 去 。

					Xuất Hành 9				|
						出埃及記 9					
Đức Giê-hô-va bèn phán cùng Môi-se rằng: Hãy đi ra mắt Pha-ra-ôn mà tâu rằng: Giê-hô-va, là Đức Chúa Trời của dân Hê-bơ-rơ, có phán như vầy: Hãy tha dân ta đi, đặng chúng nó hầu việc ta;|耶 和 華 吩 咐 摩 西 說 、 你 進 去 見 法 老 、 對 他 說 、 耶 和 華 希 伯 來 人 的 　 神 這 樣 說 、 容 我 的 百 姓 去 、 好 事 奉 我 。
vì nếu ngươi từ chối không tha đi, còn cầm lại nữa,|你 若 不 肯 容 他 們 去 、 仍 舊 強 留 他 們 、
nầy tay của Đức Giê-hô-va sẽ tra vào các súc vật của người ngoài đồng, vào ngựa, lừa, lạc đà, bò và chiên: sẽ có dịch lệ rất lớn.|耶 和 華 的 手 加 在 你 田 間 的 牲 畜 上 、 就 是 在 馬 、 驢 、 駱 駝 、 牛 群 、 羊 群 上 、 必 有 重 重 的 瘟 疫 。
Đức Giê-hô-va sẽ phân biệt súc vật của dân Y-sơ-ra-ên cùng súc vật của người Ê-díp-tô, sẽ chẳng có một con nào của dân Y-sơ-ra-ên bị chết.|耶 和 華 要 分 別 以 色 列 的 牲 畜 和 埃 及 的 牲 畜 、 凡 屬 以 色 列 人 的 、 一 樣 都 不 死 。
Đức Giê-hô-va định kỳ mà rằng: Đến mai, Đức Giê-hô-va sẽ làm sự đó tại trong xứ.|耶 和 華 就 定 了 時 候 、 說 、 明 天 耶 和 華 必 在 此 地 行 這 事 。
Vừa đến mai, Đức Giê-hô-va làm sự đó, hết thảy súc vật của người Ê-díp-tô đều chết; nhưng của dân Y-sơ-ra-ên chẳng chết một con nào.|第 二 天 耶 和 華 就 行 這 事 、 埃 及 的 牲 畜 幾 乎 都 死 了 、 只 是 以 色 列 人 的 牲 畜 一 個 都 沒 有 死 。
Pha-ra-ôn sai người đi xét, thấy chẳng có một con súc vật nào của dân Y-sơ-ra-ên chết hết. Nhưng Pha-ra-ôn rắn lòng, chẳng cho dân sự đi.|法 老 打 發 人 去 看 、 誰 知 、 以 色 列 人 的 牲 畜 連 一 個 都 沒 有 死 ． 法 老 的 心 卻 是 固 執 、 不 容 百 姓 去 。
Đức Giê-hô-va bèn phán cùng Môi-se và A-rôn rằng: Hãy hốt trong trong lò đầy tay các ngươi, rồi tại trước mặt Pha-ra-ôn, Môi-se sẽ vải tro đó lên trời.|耶 和 華 吩 咐 摩 西 亞 倫 說 、 你 們 取 幾 捧 爐 灰 、 摩 西 要 在 法 老 面 前 向 天 揚 起 來 。
Tro sẽ hóa thành bụi khắp cả xứ Ê-díp-tô, và sanh nhiều ghẻ chốc cương mủ trên mình người và súc vật trong khắp cả xứ Ê-díp-tô.|這 灰 要 在 埃 及 全 地 變 作 塵 土 、 在 人 身 上 和 牲 畜 身 上 、 成 了 起 泡 的 瘡 。
Vậy, hai người hốt tro trong lò, đứng trước mặt Pha-ra-ôn, rồi Môi-se vải tro lên trời, thì sanh ra ghẻ chốc cương mủ trên mình người ta và súc vật.|摩 西 亞 倫 取 了 爐 灰 、 站 在 法 老 面 前 ． 摩 西 向 天 揚 起 來 、 就 在 人 身 上 和 牲 畜 身 上 、 成 了 起 泡 的 瘡 。
Các thuật sĩ đứng trước mặt Môi-se không được, vì cớ ghẻ chốc đã sanh trên mình các thuật sĩ như trên mình của hết thảy người Ê-díp-tô.|行 法 術 的 在 摩 西 面 前 站 立 不 住 、 因 為 在 他 們 身 上 、 和 一 切 埃 及 人 身 上 、 都 有 這 瘡 。
Đức Giê-hô-va làm cho Pha-ra-ôn cứng lòng, không nghe Môi-se và A-rôn chút nào, y như lời Đức Giê-hô-va đã phán cùng Môi-se.|耶 和 華 使 法 老 的 心 剛 硬 、 不 聽 他 們 、 正 如 耶 和 華 對 摩 西 所 說 的 。
Đoạn, Đức Giê-hô-va phán cùng Môi-se rằng: Ngươi hãy thức dậy sớm, ra mắt Pha-ra-ôn mà tâu rằng: Giê-hô-va, là Đức Chúa Trời của dân Hê-bơ-rơ, có phán như vầy: Hãy tha dân ta đi, để chúng nó hầu việc ta;|耶 和 華 對 摩 西 說 、 你 清 早 起 來 、 站 在 法 老 面 前 、 對 他 說 、 耶 和 華 希 伯 來 人 的 　 神 、 這 樣 說 、 容 我 的 百 姓 去 、 好 事 奉 我 。
vì lần nầy ta sẽ giáng các tai nạn cho lòng ngươi, quần thần, và dân sự ngươi, hầu cho ngươi biết rằng khắp thế gian chẳng có ai bằng ta.|因 為 這 一 次 我 要 叫 一 切 的 災 殃 臨 到 你 、 和 你 臣 僕 、 並 你 百 姓 的 身 上 、 叫 你 知 道 在 普 天 下 沒 有 像 我 的 。
Nếu bây giờ, ta đã giơ tay ra hành hại ngươi bịnh dịch, thì ngươi cùng dân ngươi đều đã bị diệt khỏi đất rồi.|我 若 伸 手 用 瘟 疫 攻 擊 你 和 你 的 百 姓 、 你 早 就 從 地 上 除 滅 了 。
Nhưng vì cớ nầy ta để ngươi còn sống, là cho ngươi thấy quyền năng của ta, hầu cho danh ta đồn khắp cả thiên hạ.|其 實 我 叫 你 存 立 、 是 特 要 向 你 顯 我 的 大 能 、 並 要 使 我 的 名 傳 遍 天 下 。
Nếu ngươi còn cản trở, không để cho dân ta đi,|你 還 向 我 的 百 姓 自 高 、 不 容 他 們 去 麼 。
thì mai, tại giờ nầy, ta sẽ làm một đám mưa đá lớn, đến đỗi tại xứ Ê-díp-tô từ khi khai sáng cho đến ngày nay chẳng có đám mưa nào giống như vậy.|到 明 天 約 在 這 時 候 、 我 必 叫 重 大 的 冰 雹 降 下 、 自 從 埃 及 開 國 以 來 、 沒 有 這 樣 的 冰 雹 。
Thế thì, bây giờ hãy sai đem lục súc và mọi vật thuộc về ngươi ở ngoài đồng vào, cho khỏi hiểm nghèo. Mưa đá sẽ rớt xuống trên mọi người và vật đang ở ngoài đồng không vào nhà, thì sẽ chết hết.|現 在 你 要 打 發 人 把 你 的 牲 畜 、 和 你 田 間 一 切 所 有 的 催 進 來 、 凡 在 田 間 不 收 回 家 的 、 無 論 是 人 是 牲 畜 、 冰 雹 必 降 在 他 們 身 上 、 他 們 就 必 死 。
Những kẻ nào trong quần thần Pha-ra-ôn có lòng kính sợ lời Đức Giê-hô-va, lật đật rút đầy tớ và súc vật mình về nhà;|法 老 的 臣 僕 中 懼 怕 耶 和 華 這 話 的 、 便 叫 他 的 奴 僕 和 牲 畜 、 跑 進 家 來 。
còn kẻ nào chẳng chú ý về lời Đức Giê-hô-va, thì để đầy tớ và súc vật mình ở ngoài đồng.|但 那 不 把 耶 和 華 這 話 放 在 心 上 的 、 就 將 他 的 奴 僕 和 牲 畜 、 留 在 田 裡 。
Đức Giê-hô-va bèn phán cùng Môi-se rằng: Hãy giơ tay ngươi lên trời, làm mưa đá rớt xuống trên cả xứ Ê-díp-tô, trên mình người, súc vật, và khắp rau cỏ ngoài đồng.|耶 和 華 對 摩 西 說 、 你 向 天 伸 杖 、 使 埃 及 遍 地 的 人 身 上 、 和 牲 畜 身 上 、 並 田 間 各 樣 菜 蔬 上 、 都 有 冰 雹 。
Môi-se bèn giơ gậy mình lên trời, Đức Giê-hô-va làm cho sấm động, mưa đá sa, lửa chạy trên mặt đất. Vậy, Đức Giê-hô-va khiến mưa đá sa trên xứ Ê-díp-tô.|摩 西 向 天 伸 杖 、 耶 和 華 就 打 雷 下 雹 、 有 火 閃 到 地 上 、 耶 和 華 下 雹 在 埃 及 地 上 。
Vả, có mưa đá sa xuống và lửa cháy rất mạnh pha lộn với, đến nỗi từ khi xứ Ê-díp-tô lập quốc đến giờ, chẳng có giống như vậy.|那 時 、 雹 與 火 攙 雜 、 甚 是 利 害 、 自 從 埃 及 成 國 以 來 、 遍 地 沒 有 這 樣 的 。
Thế thì, trong cả xứ Ê-díp-tô, mưa đá làm hại mọi vật ở ngoài đồng, nào người ta, nào súc vật, nào rau-cỏ, và làm gãy cây cối nữa.|在 埃 及 遍 地 、 雹 擊 打 了 田 間 所 有 的 人 和 牲 畜 、 並 一 切 的 菜 蔬 、 又 打 壞 田 間 一 切 的 樹 木 。
Chỉ đất Gô-sen, là nơi dân Y-sơ-ra-ên ở, chẳng có mưa đá mà thôi.|惟 獨 以 色 列 人 所 住 的 歌 珊 地 、 沒 有 冰 雹 。
Pha-ra-ôn bèn truyền đòi Môi-se và A-rôn mà phán rằng: Lần nầy trẫm đã phạm tội; Đức Giê-hô-va là công bình; trẫm cùng dân sự trẫm là kẻ phạm tội.|法 老 打 發 人 召 摩 西 亞 倫 來 、 對 他 們 說 、 這 一 次 我 犯 了 罪 了 、 耶 和 華 是 公 義 的 、 我 和 我 的 百 姓 是 邪 惡 的 。
Hãy cầu nguyện Đức Giê-hô-va, hầu cho tan sấm sét và mưa đá; rồi trẫm sẽ tha các ngươi đi, không đợi lâu nữa đâu.|這 雷 轟 和 冰 雹 已 經 彀 了 、 請 你 們 求 耶 和 華 、 我 就 容 你 們 去 、 不 再 留 住 你 們 。
Môi-se bèn đáp rằng: Vừa khi tôi ra khỏi thành, tôi sẽ giơ tay lên Đức Giê-hô-va, sấm sét sẽ lặng, mưa đá sẽ tan, hầu cho bệ hạ biết rằng trái đất thuộc về Đức Giê-hô-va.|摩 西 對 他 說 、 我 一 出 城 、 就 要 向 耶 和 華 舉 手 禱 告 、 雷 必 止 住 、 也 不 再 有 冰 雹 、 叫 你 知 道 全 地 都 是 屬 耶 和 華 的 。
Nhưng tôi biết rằng bệ hạ và quần thần chưa kính sợ Giê-hô-va Đức Chúa Trời.|至 於 你 和 你 的 臣 僕 、 我 知 道 你 們 還 是 不 懼 怕 耶 和 華 　 神 。
Vả, trong lúc đó, lúa mạch trổ bông, cây gai có hoa, nên lúa mạch và gai bị đập nát;|那 時 、 麻 和 大 麥 被 雹 擊 打 、 因 為 大 麥 已 經 吐 穗 、 麻 也 開 了 花 。
còn lúa mì và tiểu mạch trổ muộn, nên không bị đập.|只 是 小 麥 和 粗 麥 沒 有 被 擊 打 、 因 為 還 沒 有 長 成 。
Vậy, Môi-se lui khỏi Pha-ra-ôn, đi ra thành, giơ tay lên Đức Giê-hô-va, sấm sét và mưa đá tạnh, mưa bèn ngớt hột trên mặt đất.|摩 西 離 了 法 老 出 城 、 向 耶 和 華 舉 手 禱 告 、 雷 和 雹 就 止 住 、 雨 也 不 再 澆 在 地 上 了 。
Khi Pha-ra-ôn thấy mưa, mưa đá và sấm sét đã tạnh rồi, người và quần thần lại rắn lòng, cứ phạm tội nữa.|法 老 見 雨 和 雹 與 雷 止 住 、 就 越 發 犯 罪 、 他 和 他 的 臣 僕 都 硬 著 心 。
Vậy Pha-ra-ôn cứng lòng, không tha dân Y-sơ-ra-ên đi, y như lời Đức Giê-hô-va đã cậy Môi-se mà phán.|法 老 的 心 剛 硬 、 不 容 以 色 列 人 去 、 正 如 耶 和 華 藉 著 摩 西 所 說 的 。

					Xuất Hành 10				|
						出埃及記 10					
Đức Giê-hô-va phán cùng Môi-se rằng: Hãy đi đến Pha-ra-ôn, vì ta đã làm rắn lòng người và lòng quần thần, để làm cho các dấu lạ của ta tỏ ra giữa họ,|耶 和 華 對 摩 西 說 、 你 進 去 見 法 老 、 我 使 他 和 他 臣 僕 的 心 剛 硬 、 為 要 在 他 們 中 間 顯 我 這 些 神 蹟 ．
hầu cho ngươi thuật cùng con và cháu mình những công việc to tát ta đã làm trên dân Ê-díp-tô, các dấu lạ ta đã làm giữa vòng họ, đặng các ngươi biết rằng ta là Đức Giê-hô-va.|並 要 叫 你 將 我 向 埃 及 人 所 作 的 事 、 和 在 他 們 中 間 所 行 的 神 蹟 、 傳 於 你 兒 子 和 你 孫 子 的 耳 中 、 好 叫 你 們 知 道 我 是 耶 和 華 。
Môi-se và A-rôn bèn đi đến Pha-ra-ôn mà tâu rằng: Giê-hô-va là Đức Chúa Trời dân Hê-bơ-rơ, có phán như vầy: Ngươi không chịu hạ mình trước mặt ta cho đến chừng nào? Hãy tha dân ta đi, để chúng nó hầu việc ta.|摩 西 亞 倫 就 進 去 見 法 老 、 對 他 說 、 耶 和 華 希 伯 來 人 的 　 神 、 這 樣 說 、 你 在 我 面 前 不 肯 自 卑 、 要 到 幾 時 呢 、 容 我 的 百 姓 去 、 好 事 奉 我 。
Nếu từ chối, không cho dân ta đi, nầy, ngày mai ta sẽ sai cào cào đến địa phận ngươi;|你 若 不 肯 容 我 的 百 姓 去 、 明 天 我 要 使 蝗 蟲 進 入 你 的 境 內 、
nó sẽ phủ rợp trên mặt đất, người ta chẳng còn thấy đất nữa; nó sẽ cắn xả những vật chi còn lại, tức vật nào trận mưa đá còn chừa lại; nó cũng cắn xả những cây mọc ngoài đồng ruộng các ngươi,|遮 滿 地 面 、 甚 至 看 不 見 地 、 並 且 喫 那 冰 雹 所 剩 的 、 和 田 間 所 長 的 一 切 樹 木 。
vào đầy cung điện ngươi, dinh thất của quần thần ngươi, và nhà cửa của người Ê-díp-tô: ấy là một điều tổ phụ ngươi, đến nỗi thỉ tổ ngươi, cũng chẳng bao giờ thấy từ khi họ đã có trên mặt đất cho đến ngày nay. Đoạn, Môi-se xây mặt lui ra khỏi Pha-ra-ôn.|你 的 宮 殿 和 你 眾 臣 僕 的 房 屋 、 並 一 切 埃 及 人 的 房 屋 、 都 要 被 蝗 蟲 佔 滿 了 、 自 從 你 祖 宗 和 你 祖 宗 的 祖 宗 在 世 以 來 、 直 到 今 日 、 沒 有 見 過 這 樣 的 災 。 摩 西 就 轉 身 離 開 法 老 出 去 。
Quần thần Pha-ra-ôn tâu rằng: Đến chừng nào người nầy mới thôi gài bẫy ta? Hãy tha dân ấy đi, để chúng nó hầu việc Giê-hô-va Đức Chúa Trời chúng nó! Bệ hạ chưa biết rằng nước Ê-díp-tô đã bị nguy vong sao?|法 老 的 臣 僕 對 法 老 說 、 這 人 為 我 們 的 網 羅 、 要 到 幾 時 呢 、 容 這 些 人 去 、 事 奉 耶 和 華 他 們 的 　 神 罷 ． 埃 及 已 經 敗 壞 了 、 你 還 不 知 道 麼 。
Họ bèn truyền đòi Môi-se và A-rôn trở lại cùng Pha-ra-ôn; người nói rằng: Hãy đi hầu việc Giê-hô-va Đức Chúa Trời các ngươi. Hết thảy những ai là người phải đi?|於 是 摩 西 亞 倫 被 召 回 來 見 法 老 、 法 老 對 他 們 說 、 你 們 去 事 奉 耶 和 華 你 們 的 　 神 、 但 那 要 去 的 是 誰 呢 。
Môi-se tâu rằng: Chúng tôi đi, sẽ đem nam phụ lão ấu và chiên bò theo, vì về phần chúng tôi, ấy là một lễ của Đức Giê-hô-va.|摩 西 說 、 我 們 要 和 我 們 老 的 少 的 、 兒 子 女 兒 同 去 、 且 把 羊 群 牛 群 一 同 帶 去 、 因 為 我 們 務 要 向 耶 和 華 守 節 。
Pha-ra-ôn nói rằng: Cầu xin Đức Giê-hô-va ở cùng các ngươi! Hồ dễ ta cho các ngươi cùng con cái đều đi sao! Không! quả thật không cho đâu, vì các ngươi có mưu ác!|法 老 對 他 們 說 、 我 容 你 們 和 你 們 婦 人 孩 子 去 的 時 候 、 耶 和 華 與 你 們 同 在 罷 ． 你 們 要 謹 慎 、 因 為 有 禍 在 你 們 眼 前 、 〔 或 作 你 們 存 著 惡 意 〕
Không được vậy đâu, chỉ các ngươi, là đàn ông, phải đi hầu việc Đức Giê-hô-va, vì là điều các ngươi đã xin. Đoạn, họ bèn đuổi Môi-se và A-rôn khỏi trước mặt Pha-ra-ôn.|不 可 都 去 、 你 們 這 壯 年 人 去 事 奉 耶 和 華 罷 、 因 為 這 是 你 們 所 求 的 ． 於 是 把 他 們 從 法 老 面 前 攆 出 去 。
Đức Giê-hô-va bèn phán cùng Môi-se rằng: Hãy giơ tay ngươi ra trên xứ Ê-díp-tô, đặng khiến cào cào tràn lên xứ đó, cắn xả rau cỏ và mọi vật chi trên đất mưa đá còn chừa lại.|耶 和 華 對 摩 西 說 、 你 向 埃 及 地 伸 杖 、 使 蝗 蟲 到 埃 及 地 上 來 、 喫 地 上 一 切 的 菜 蔬 、 就 是 冰 雹 所 剩 的 。
Vậy, Môi-se bèn giơ gậy mình ra trên xứ Ê-díp-tô, thì Đức Giê-hô-va dẫn ngọn gió đông thổi trên xứ sòng ngày và đêm đó; qua sáng mai gió đông đã dẫn cào cào đến.|摩 西 就 向 埃 及 地 伸 杖 、 那 一 晝 一 夜 、 耶 和 華 使 東 風 颳 在 埃 及 地 上 、 到 了 早 晨 、 東 風 把 蝗 蟲 颳 了 來 。
Cào cào tràn lên khắp cả xứ Ê-díp-tô, và sa xuống trong địa hạt xứ ấy nhiều vô số. Trước kia chẳng bao giờ có bằng số đó, sau nầy cũng chẳng hề sẽ có bằng như vậy.|蝗 蟲 上 來 、 落 在 埃 及 的 四 境 、 甚 是 利 害 、 以 前 沒 有 這 樣 的 、 以 後 也 必 沒 有 。
Cào cào bao phủ khắp mặt đất của cả xứ, và xứ thành ra tối tăm, cắn xả các rau cỏ ngoài đồng cùng trái cây mà mưa đá còn chừa lại; trong khắp xứ Ê-díp-tô chẳng còn chút xanh tươi chi cho cây cối hay là cho cỏ rau ở ngoài đồng ruộng nữa.|因 為 這 蝗 蟲 遮 滿 地 面 、 甚 至 地 都 黑 暗 了 、 又 喫 地 上 一 切 的 菜 蔬 、 和 冰 雹 所 剩 樹 上 的 果 子 。 埃 及 遍 地 、 無 論 是 樹 木 、 是 田 間 的 菜 蔬 、 連 一 點 青 的 也 沒 有 留 下 。
Pha-ra-ôn vội đòi Môi-se và A-rôn đến mà phán rằng: Trẫm đã phạm tội cùng Giê-hô-va Đức Chúa Trời các ngươi, và cùng các ngươi nữa.|於 是 法 老 急 忙 召 了 摩 西 亞 倫 來 、 說 、 我 得 罪 耶 和 華 你 們 的 　 神 、 又 得 罪 了 你 們 。
Nhưng bây giờ, xin xá tội cho trẫm lần nầy; và hãy cầu giùm Giê-hô-va Đức Chúa Trời các ngươi, hầu cho ít nữa Ngài khiến xa trẫm cái vạ chết nầy.|現 在 求 你 、 只 這 一 次 、 饒 恕 我 的 罪 、 求 耶 和 華 你 們 的 　 神 、 使 我 脫 離 這 一 次 的 死 亡 。
Môi-se bèn lui ra khỏi Pha-ra-ôn, và khẩn nguyện Đức Giê-hô-va.|摩 西 就 離 開 法 老 去 求 耶 和 華 。
Đức Giê-hô-va dẫn ngọn gió tây đến rất mạnh, đem cào cào đi đuổi xuống Biển đỏ; khắp địa hạt Ê-díp-tô chẳng còn một con cào cào nào.|耶 和 華 轉 了 極 大 的 西 風 、 把 蝗 蟲 颳 起 、 吹 入 紅 海 、 在 埃 及 的 四 境 連 一 個 也 沒 有 留 下 。
Nhưng Đức Giê-hô-va làm cho Pha-ra-ôn cứng lòng: người chẳng tha dân Y-sơ-ra-ên đi.|但 耶 和 華 使 法 老 的 心 剛 硬 、 不 容 以 色 列 人 去 。
Đức Giê-hô-va bèn phán cùng Môi-se rằng: Hãy giơ tay ngươi lên trời, hầu cho trên xứ Ê-díp-tô có sự tối tăm dày đến nỗi người ta rờ đụng đến được.|耶 和 華 對 摩 西 說 、 你 向 天 伸 杖 、 使 埃 及 地 黑 暗 、 這 黑 暗 似 乎 摸 得 著 。
Vậy, Môi-se giơ tay mình lên trời, bèn có sự tối tăm rất dày trong ba ngày tại xứ Ê-díp-tô;|摩 西 向 天 伸 杖 、 埃 及 遍 地 就 烏 黑 了 三 天 。
trong ba ngày đó người ta không thấy nhau được, không ai nhớm khỏi chỗ mình được. Nhưng trong chốn dân Y-sơ-ra-ên ở thì có ánh sáng cho họ.|三 天 之 久 、 人 不 能 相 見 、 誰 也 不 敢 起 來 離 開 本 處 、 惟 有 以 色 列 人 家 中 都 有 亮 光 。
Pha-ra-ôn bèn đòi Môi-se mà phán rằng: Hãy đi hầu việc Đức Giê-hô-va; con trẻ các ngươi đi theo nữa; chỉ bầy chiên và bò ở lại thôi.|法 老 就 召 摩 西 來 、 說 、 你 們 去 事 奉 耶 和 華 、 只 是 你 們 的 羊 群 牛 群 要 留 下 、 你 們 的 婦 人 孩 子 可 以 和 你 們 同 去 。
Nhưng Môi-se tâu rằng: Chính bệ hạ hãy cấp cho chúng tôi các con sinh và vật chi dùng làm của lễ thiêu để dâng cho Giê-hô-va Đức Chúa Trời chúng tôi.|摩 西 說 、 你 總 要 把 祭 物 和 燔 祭 牲 交 給 我 們 、 使 我 們 可 以 祭 祀 耶 和 華 我 們 的 　 神 。
Các bầy lục súc sẽ theo chúng tôi nữa, không còn để lại một móng chân nào; vì chúng tôi sẽ dùng mấy con thú đó mà hầu việc Giê-hô-va Đức Chúa Trời chúng tôi. Chúng tôi biết vật chi dùng để thờ phượng Đức Giê-hô-va, chỉ khi nào sẽ đến nơi đó.|我 們 的 牲 畜 也 要 帶 去 、 連 一 蹄 也 不 留 下 、 因 為 我 們 要 從 其 中 取 出 來 、 事 奉 耶 和 華 我 們 的 　 神 ． 我 們 未 到 那 裡 、 還 不 知 道 用 甚 麼 事 奉 耶 和 華 。
Nhưng Đức Giê-hô-va làm cho Pha-ra-ôn cứng lòng, nên người không khứng cho dân Y-sơ-ra-ên đi.|但 耶 和 華 使 法 老 的 心 剛 硬 、 不 肯 容 他 們 去 。
Pha-ra-ôn nói rằng: Hãy lui ra khỏi ta cho rảnh! Khá giữ mình đừng thấy mặt ta nữa, vì ngày nào ngươi thấy mặt ta thì sẽ chết!|法 老 對 摩 西 說 、 你 離 開 我 去 罷 、 你 要 小 心 、 不 要 再 見 我 的 面 、 因 為 你 見 我 面 的 那 日 、 你 就 必 死 。
Môi-se bèn nói rằng: Bệ hạ nói phải lắm; tôi chẳng hề thấy mặt bệ hạ nữa đâu.|摩 西 說 、 你 說 得 好 、 我 必 不 再 見 你 的 面 了 。

					Xuất Hành 11				|
						出埃及記 11					
Vả, Đức Giê-hô-va có phán cùng Môi-se rằng: Ta sẽ giáng cho Pha-ra-ôn và xứ Ê-díp-tô một tai vạ nữa; đoạn, người sẽ tha các ngươi đi khỏi đây. Khi người định tha đi, thì sẽ đuổi các ngươi ra khỏi đây.|耶 和 華 對 摩 西 說 、 我 再 使 一 樣 的 災 殃 臨 到 法 老 和 埃 及 、 然 後 他 必 容 你 們 離 開 這 地 ． 他 容 你 們 去 的 時 候 、 總 要 催 逼 你 們 都 從 這 地 出 去 。
Vậy, hãy nói cùng dân sự và dặn rằng mỗi người bất luận nam hay nữ phải xin kẻ lân cận mình những đồ bằng bạc và bằng vàng.|你 要 傳 於 百 姓 的 耳 中 、 叫 他 們 男 女 各 人 向 鄰 舍 要 金 器 銀 器 。
Đức Giê-hô-va làm cho dân sự được ơn trước mặt người Ê-díp-tô; Môi-se cũng là một người rất tôn trọng trong xứ Ê-díp-tô, trước mắt quần thần của Pha-ra-ôn và trước mắt dân ấy.|耶 和 華 叫 百 姓 在 埃 及 人 眼 前 蒙 恩 、 並 且 摩 西 在 埃 及 地 法 老 臣 僕 、 和 百 姓 的 眼 中 、 看 為 極 大 。
Môi-se nói: Đức Giê-hô-va có phán như vầy: Chừng giữa đêm ta sẽ ra tuần hành xứ Ê-díp-tô.|摩 西 說 、 耶 和 華 這 樣 說 、 約 到 半 夜 我 必 出 去 巡 行 埃 及 遍 地 、
Hết thảy con trưởng nam trong xứ Ê-díp-tô sẽ chết, từ thái tử của Pha-ra-ôn ngồi trên ngai mình, cho đến con cả của người đòi ở sau cối, và luôn mọi con đầu lòng của súc vật nữa.|凡 在 埃 及 地 、 從 坐 寶 座 的 法 老 、 直 到 磨 子 後 的 婢 女 所 有 的 長 子 、 以 及 一 切 頭 生 的 牲 畜 、 都 必 死 。
Trong cả xứ Ê-díp-tô sẽ có tiếng kêu la inh ỏi, cho đến đỗi chưa hề có, và cũng sẽ chẳng bao giờ có giống như vậy nữa.|埃 及 遍 地 必 有 大 哀 號 、 從 前 沒 有 這 樣 的 、 後 來 也 必 沒 有 。
Nhưng, trong cả dân Y-sơ-ra-ên dầu đến một con chó cũng sẽ chẳng sủa hoặc người, hoặc vật; hầu cho các ngươi biết rằng Đức Giê-hô-va phân biệt dân Y-sơ-ra-ên cùng người Ê-díp-tô là dường nào.|至 於 以 色 列 中 、 無 論 是 人 是 牲 畜 、 連 狗 也 不 敢 向 他 們 搖 舌 、 好 叫 你 們 知 道 耶 和 華 是 將 埃 及 人 和 以 色 列 人 分 別 出 來 。
Nầy, quần thần của bệ hạ sẽ xuống cùng tôi, sấp mình trước mặt tôi mà rằng: Ngươi và cả dân sự theo ngươi hãy đi đi! Đoạn, tôi sẽ đi ra. Môi-se bèn lui ra khỏi Pha-ra-ôn lấy làm giận lắm.|你 這 一 切 臣 僕 都 要 俯 伏 來 見 我 、 說 、 求 你 和 跟 從 你 的 百 姓 都 出 去 、 然 後 我 要 出 去 ． 於 是 摩 西 氣 忿 忿 地 離 開 法 老 出 去 了 。
Vả, Đức Giê-hô-va có phán cùng Môi-se rằng: Pha-ra-ôn chẳng khứng nghe ngươi đâu, hầu cho các dấu lạ ta thêm lên trong xứ Ê-díp-tô.|耶 和 華 對 摩 西 說 、 法 老 必 不 聽 你 們 、 使 我 的 奇 事 在 埃 及 地 多 起 來 。
Môi-se và A-rôn bèn làm các dấu lạ trước mặt Pha-ra-ôn; nhưng Đức Giê-hô-va làm cho Pha-ra-ôn cứng lòng, nên người chẳng tha dân Y-sơ-ra-ên đi khỏi xứ mình.|摩 西 亞 倫 在 法 老 面 前 行 了 這 一 切 奇 事 、 耶 和 華 使 法 老 的 心 剛 硬 、 不 容 以 色 列 人 出 離 他 的 地 。

					Xuất Hành 12				|
						出埃及記 12					
Tại xứ Ê-díp-tô, Đức Giê-hô-va phán cùng Môi-se rằng:|耶 和 華 在 埃 及 地 曉 諭 摩 西 亞 倫 說 、
Tháng nầy định làm tháng đầu cho các ngươi, tức là tháng giêng trong quanh năm.|你 們 要 以 本 月 為 正 月 、 為 一 年 之 首 。
Hãy nói cho toàn hội chúng Y-sơ-ra-ên rằng: Đến ngày mồng mười tháng nầy, mỗi gia trưởng tùy theo nhà mình phải bắt một con chiên con.|你 們 吩 咐 以 色 列 全 會 眾 說 、 本 月 初 十 日 、 各 人 要 按 著 父 家 取 羊 羔 、 一 家 一 隻 。
Nếu nhà ít người quá ăn không hết một chiên con, hãy chung cùng người rất lân cận mình, tùy theo số người; và hãy tính cho mỗi chiên con tùy sức người ăn hết.|若 是 一 家 的 人 太 少 、 喫 不 了 一 隻 羊 羔 、 本 人 就 要 和 他 隔 壁 的 鄰 舍 共 取 一 隻 、 你 們 豫 備 羊 羔 、 要 按 著 人 數 和 飯 量 計 算 。
Các ngươi hãy bắt hoặc trong bầy chiên, hoặc trong bầy dê, chiên con đực hay là dê con đực, tuổi giáp niên, chẳng tì vít chi,|要 無 殘 疾 一 歲 的 公 羊 羔 、 你 們 或 從 綿 羊 裡 取 、 或 從 山 羊 裡 取 、 都 可 以 ．
