
					Rô-ma 1				|
Ay vậy, vua Đa-vít cũng tỏ ra cái phước của người mà Đức Chúa Trời kể cho là công bình chẳng bởi việc làm, mà rằng:|正 如 大 衛 稱 那 在 行 為 以 外 、 蒙 　 神 算 為 義 的 人 是 有 福 的 。
Phước thay cho kẻ, lỗi mình được tha thứ, Tội mình được che đậy!|他 說 、 『 得 赦 免 其 過 、 遮 蓋 其 罪 的 、 這 人 是 有 福 的 。
Phước thay cho người mà Chúa chẳng kể tội lỗi cho!|主 不 算 為 有 罪 的 、 這 人 是 有 福 的 。 』
Vậy, lời luận về phước đó chỉ chuyên về kẻ chịu cắt bì mà thôi sao? Cũng cho kẻ không chịu cắt bì nữa. Vả, chúng ta nói rằng đức tin của Ap-ra-ham được kể là công bình cho người.|如 此 看 來 、 這 福 是 單 加 給 那 受 割 禮 的 人 麼 ． 不 也 是 加 給 那 未 受 割 禮 的 人 麼 ． 因 我 們 所 說 、 亞 伯 拉 罕 的 信 、 就 算 為 他 的 義 。
Nhưng được kể thế nào? Khi người đã chịu cắt bì rồi, hay là khi người chưa chịu cắt bì? Ay không phải sau khi người chịu cắt bì, bèn là trước.|是 怎 麼 算 的 呢 ． 是 在 他 受 割 禮 的 時 候 呢 ． 是 在 他 未 受 割 禮 的 時 候 呢 ． 不 是 在 受 割 禮 的 時 候 、 乃 是 在 未 受 割 禮 的 時 候 。
Vậy, người đã nhận lấy dấu cắt bì, như dấu ấn của sự công bình mà người đã được bởi đức tin, khi chưa chịu cắt bì; hầu cho làm cha hết thảy những kẻ tin mà không chịu cắt bì, đặng họ được kể là công bình,|並 且 他 受 了 割 禮 的 記 號 、 作 他 未 受 割 禮 的 時 候 因 信 稱 義 的 印 證 、 叫 他 作 一 切 未 受 割 禮 而 信 之 人 的 父 、 使 他 們 也 算 為 義 ．
và cũng làm cha những kẻ chịu cắt bì, tức là cha những kẻ không những chịu cắt bì thôi, lại cũng noi theo dấu đức tin mà Ap-ra-ham, tổ phụ chúng ta, đã có trước khi chưa chịu cắt bì vậy.|又 作 受 割 禮 之 人 的 父 、 就 是 那 些 不 但 受 割 禮 、 並 且 按 我 們 的 祖 宗 亞 伯 拉 罕 、 未 受 割 禮 而 信 之 蹤 跡 去 行 的 人 。
Vả, ấy chẳng phải bởi luật pháp mà có lời hứa cho Ap-ra-ham hoặc dòng dõi người lấy thế gian làm gia nghiệp, bèn là bởi sự công bình của đức tin.|因 為 　 神 應 許 亞 伯 拉 罕 和 他 後 裔 、 必 得 承 受 世 界 、 不 是 因 律 法 、 乃 是 因 信 而 得 的 義 。
Vì, nếu bởi luật pháp mà được hưởng gia nghiệp, thì đức tin ra vô ích, lời hứa cũng bỏ rồi,|若 是 屬 乎 律 法 的 人 、 纔 得 為 後 嗣 、 信 就 歸 於 虛 空 、 應 許 也 就 廢 棄 了 。
vì luật pháp sanh ra sự giận; song đâu không có luật pháp, thì đó cũng không có sự phạm luật pháp.|因 為 律 法 是 惹 動 忿 怒 的 ． 〔 或 作 叫 人 受 刑 的 〕 那 裡 沒 有 律 法 、 那 裡 就 沒 有 過 犯 。
Vậy nên, bởi đức tin mà người ta trở nên kẻ ăn gia tài, hầu cho sự ấy được bởi ân điển, và cho lời hứa được chắc chắn cho cả dòng dõi Ap-ra-ham, chẳng những cho dòng dõi dưới quyền luật pháp, mà cũng cho dòng dõi có đức tin của Ap-ra-ham, là tổ phụ hết thảy chúng ta,|所 以 人 得 為 後 嗣 是 本 乎 信 ． 因 此 就 屬 乎 恩 ． 叫 應 許 定 然 歸 給 一 切 後 裔 ． 不 但 歸 給 那 屬 乎 律 法 的 、 也 歸 給 那 效 法 亞 伯 拉 罕 之 信 的 。
y như lời chép rằng: Ta đã lập ngươi làm cha nhiều dân tộc, thật người là cha chúng ta trước mặt Đức Chúa Trời, tức là Đấng người đã tin, là Đấng ban sự sống cho kẻ chết, gọi những sự không có như có rồi.|亞 伯 拉 罕 所 信 的 、 是 那 叫 死 人 復 活 使 無 變 為 有 的 　 神 、 他 在 主 面 前 作 我 們 世 人 的 父 ． 如 經 上 所 記 、 『 我 已 經 立 你 作 多 國 的 父 。 』
Người cậy trông khi chẳng còn lẽ trông cậy, cứ tin, và trở nên cha của nhiều dân tộc, theo lời đã phán cho người rằng: Dòng dõi ngươi sẽ như thể ấy.|他 在 無 可 指 望 的 時 候 、 因 信 仍 有 指 望 、 就 得 以 作 多 國 的 父 、 正 如 先 前 所 說 、 『 你 的 後 裔 將 要 如 此 。 』
Người thấy thân thể mình hao mòn, vì đã gần đầy trăm tuổi, và thấy Sa-ra không thể sanh đẻ được nữa, song đức tin chẳng kém.|他 將 近 百 歲 的 時 候 、 雖 然 想 到 自 己 的 身 體 如 同 已 死 、 撒 拉 的 生 育 已 經 斷 絕 、 他 的 信 心 還 是 不 軟 弱 ．
Người chẳng có lưỡng lự hoặc hoài nghi về lời hứa Đức Chúa Trời, nhưng càng mạnh mẽ trong đức tin, và ngợi khen Đức Chúa Trời,|並 且 仰 望 　 神 的 應 許 、 總 沒 有 因 不 信 、 心 裡 起 疑 惑 ． 反 倒 因 信 、 心 裡 得 堅 固 、 將 榮 耀 歸 給 　 神 。
vì tin chắc rằng điều chi Đức Chúa Trời đã hứa, Ngài cũng có quyền làm trọn được.|且 滿 心 相 信 、 　 神 所 應 許 的 必 能 作 成 ．
Cho nên đức tin của người được kể cho là công bình.|所 以 這 就 算 為 他 的 義 。
Vả, ấy chẳng phải chỉ vì một mình người mà có chép rằng đức tin người đã được kể cho là công bình,|算 為 他 義 的 這 句 話 、 不 是 單 為 他 寫 的 、
nhưng cũng vì chúng ta nữa, đức tin sự được kể là công bình cho chúng ta, là kẻ tin Đấng đã làm cho Đức Chúa Jêsus, Chúa chúng ta, sống lại từ trong kẻ chết,|也 是 為 我 們 將 來 得 算 為 義 之 人 寫 的 ． 就 是 我 們 這 信 　 神 使 我 們 的 主 耶 穌 從 死 裡 復 活 的 人 。
Ngài đã bị nộp vì tội lỗi chúng ta, và sống lại vì sự xưng công bình của chúng ta.|耶 穌 被 交 給 人 、 是 為 我 們 的 過 犯 、 復 活 、 是 為 叫 我 們 稱 義 。 〔 或 作 耶 穌 是 我 們 的 過 犯 交 付 了 是 為 我 們 稱 義 復 活 了 〕

					Rô-ma 5				|
						羅馬書 5					
Vậy chúng ta đã được xưng công bình bởi đức tin, thì được hòa thuận với Đức Chúa Trời, bởi Đức Chúa Jêsus Christ chúng ta,|我 們 既 因 信 稱 義 、 就 藉 著 我 們 的 主 耶 穌 基 督 、 得 與 　 神 相 和 。
là Đấng đã làm cho chúng ta cậy đức tin vào trong ơn nầy là ơn chúng ta hiện đương đứng vững; và chúng ta khoe mình trong sự trông cậy về vinh hiển Đức Chúa Trời.|我 們 又 藉 著 他 、 因 信 得 進 入 現 在 所 站 的 這 恩 典 中 、 並 且 歡 歡 喜 喜 盼 望 　 神 的 榮 耀 。
Nào những thế thôi, nhưng chúng ta cũng khoe mình trong hoạn nạn nữa, vì biết rằng hoạn nạn sanh sự nhịn nhục,|不 但 如 此 、 就 是 在 患 難 中 、 也 是 歡 歡 喜 喜 的 ． 因 為 知 道 患 難 生 忍 耐 ．
sự nhịn nhục sanh sự rèn tập, sự rèn tập sanh sự trông cậy.|忍 耐 生 老 練 ． 老 練 生 盼 望 ．
Vả, sự trông cậy không làm cho hổ thẹn, vì sự yêu thương của Đức Chúa Trời rải khắp trong lòng chúng ta bởi Đức Thánh Linh đã được ban cho chúng ta.|盼 望 不 至 於 羞 恥 ． 因 為 所 賜 給 我 們 的 聖 靈 、 將 　 神 的 愛 澆 灌 在 我 們 心 裡 。
Thật vậy, khi chúng ta còn yếu đuối, Đấng Christ đã theo kỳ hẹn chịu chết vì kẻ có tội.|因 我 們 還 軟 弱 的 時 候 、 基 督 就 按 所 定 的 日 期 為 罪 人 死 。
Vả, họa mới có kẻ chịu chết vì người nghĩa; dễ thường cũng có kẻ bằng lòng chết vì người lành.|為 義 人 死 、 是 少 有 的 、 為 仁 人 死 、 或 者 有 敢 作 的 。
Nhưng Đức Chúa Trời tỏ lòng yêu thương Ngài đối với chúng ta, khi chúng ta còn là người có tội, thì Đấng Christ vì chúng ta chịu chết.|惟 有 基 督 在 我 們 還 作 罪 人 的 時 候 為 我 們 死 、 　 神 的 愛 就 在 此 向 我 們 顯 明 了 。
Huống chi nay chúng ta nhờ huyết Ngài được xưng công bình, thì sẽ nhờ Ngài được cứu khỏi cơn thạnh nộ là dường nào!|現 在 我 們 既 靠 著 他 的 血 稱 義 、 就 更 要 藉 著 他 免 去 　 神 的 忿 怒 。
Vì nếu khi chúng ta còn là thù nghịch cùng Đức Chúa Trời, mà đã được hòa thuận với Ngài bởi sự chết của Con Ngài, thì huống chi nay đã hòa thuận rồi, chúng ta sẽ nhờ sự sống của Con ấy mà được cứu là dường nào!|因 為 我 們 作 仇 敵 的 時 候 、 且 藉 著 　 神 兒 子 的 死 、 得 與 　 神 和 好 、 既 已 和 好 、 就 更 要 因 他 的 生 得 救 了 。
Nào những thế thôi, chúng ta lại còn khoe mình trong Đức Chúa Trời bởi Đức Chúa Jêsus Christ chúng ta, nhờ Ngài mà chúng ta hiện nay đã được sự hòa thuận.|不 但 如 此 、 我 們 既 藉 著 我 主 耶 穌 基 督 、 得 與 　 神 和 好 、 也 就 藉 著 他 、 以 　 神 為 樂 。
Cho nên, như bởi một người mà tội lỗi vào trong thế gian, lại bởi tội lỗi mà có sự chết, thì sự chết đã trải qua trên hết thảy mọi người như vậy, vì mọi người đều phạm tội.|這 就 如 罪 是 從 一 人 入 了 世 界 、 死 又 是 從 罪 來 的 、 於 是 死 就 臨 到 眾 人 、 因 為 眾 人 都 犯 了 罪 。
Vì, trước khi chưa có luật pháp, tội lỗi đã có trong thế gian, song chưa có luật pháp, thì cũng không kể là tội lỗi.|沒 有 律 法 之 先 、 罪 已 經 在 世 上 ． 但 沒 有 律 法 、 罪 也 不 算 罪 。
Nhưng từ A-đam cho đến Môi-se, sự chết đã cai trị cả đến những kẻ chẳng phạm tội giống như tội của A-đam, là người làm hình bóng của Đấng phải đến.|然 而 從 亞 當 到 摩 西 死 就 作 了 王 、 連 那 些 不 與 亞 當 犯 一 樣 罪 過 的 、 也 在 他 的 權 下 ． 亞 當 乃 是 那 以 後 要 來 之 人 的 豫 像 。
Song tội lỗi chẳng phải như sự ban cho của ân điển. Vì nếu bởi tội lỗi của chỉ một người mà mọi kẻ khác đều phải chết, thì huống chi ơn của Đức Chúa Trời và sự ban cho trong ơn Ngài tỏ ra bởi một người là Đức Chúa Jêsus Christ, chan chứa cho hết thảy mọi người khác là dường nào!|只 是 過 犯 不 如 恩 賜 ． 若 因 一 人 的 過 犯 、 眾 人 都 死 了 、 何 況 　 神 的 恩 典 、 與 那 因 耶 穌 基 督 一 人 恩 典 中 的 賞 賜 、 豈 不 更 加 倍 的 臨 到 眾 人 麼 。
Lại sự ban cho nầy chẳng phải như việc xảy đến bởi một người phạm tội đâu: sự phán xét bởi chỉ một tội mà làm nên đoán phạt; nhưng sự ban cho của ân điển thì sau nhiều tội rồi, dẫn đến sự xưng công bình.|因 一 人 犯 罪 就 定 罪 、 也 不 如 恩 賜 ． 原 來 番 判 是 由 一 人 而 定 罪 、 恩 賜 乃 是 由 許 多 過 犯 而 稱 義 。
Vả, nếu bởi tội một người mà sự chết đã cai trị bởi một người ấy, thì huống chi những kẻ nhận ân điển và sự ban cho của sự công bình cách dư dật, họ sẽ nhờ một mình Đức Chúa Jêsus Christ mà cai trị trong sự sống là dường nào!|若 因 一 人 的 過 犯 、 死 就 因 這 一 人 作 了 王 、 何 況 那 些 受 洪 恩 又 蒙 所 賜 之 義 的 、 豈 不 更 要 因 耶 穌 基 督 一 人 在 生 命 中 作 王 麼 。
Vậy, như bởi chỉ một tội mà sự đoán phạt rải khắp hết thảy mọi người thể nào, thì bởi chỉ một việc công bình mà sự xưng công bình, là sự ban sự sống, cũng rải khắp cho mọi người thể ấy.|如 此 說 來 、 因 一 次 的 過 犯 、 罪 人 都 被 定 罪 、 照 樣 、 因 一 次 的 義 行 、 眾 人 也 就 被 稱 義 得 生 命 了 。
Vì, như bởi sự không vâng phục của một người mà mọi người khác đều thành ra kẻ có tội, thì cũng một lẽ ấy, bởi sự vâng phục của một người mà mọi người khác sẽ đều thành ra công bình.|因 一 人 的 悖 逆 、 眾 人 成 為 罪 人 、 照 樣 、 因 一 人 的 順 從 、 眾 人 也 成 為 義 了 。
Vả, luật pháp đã xen vào, hầu cho tội lỗi gia thêm; nhưng nơi nào tội lỗi đã gia thêm, thì ân điển lại càng dư dật hơn nữa,|律 法 本 是 外 添 的 、 叫 過 犯 顯 多 ． 只 是 罪 在 那 裡 顯 多 、 恩 典 就 更 顯 多 了 。
hầu cho tội lỗi đã cai trị làm nên sự chết thể nào, thì ân điển cũng cai trị bởi sự công bình thể ấy, đặng ban cho sự sống đời đời bởi Đức Chúa Jêsus Christ, là Chúa chúng ta.|就 如 罪 作 王 叫 人 死 、 照 樣 、 恩 典 也 藉 著 義 作 王 、 叫 人 因 我 們 的 主 耶 穌 基 督 得 永 生 。

					Rô-ma 6				|
						羅馬書 6					
Vậy chúng ta sẽ nói làm sao? Chúng ta phải cứ ở trong tội lỗi, hầu cho ân điển được dư dật chăng?|這 樣 、 怎 麼 說 呢 ． 我 們 可 以 仍 在 罪 中 、 叫 恩 典 顯 多 麼 。
Chẳng hề như vậy! Chúng ta đã chết về tội lỗi, lẽ nào còn sống trong tội lỗi nữa?|斷 乎 不 可 ． 我 們 在 罪 上 死 了 的 人 、 豈 可 仍 在 罪 中 活 著 呢 。
Hay là, anh em chẳng biết rằng chúng ta thảy đều đã chịu phép báp tem trong Đức Chúa Jêsus Christ, tức là chịu phép báp tem trong sự chết Ngài sao?|豈 不 知 我 們 這 受 洗 歸 入 基 督 耶 穌 的 人 、 是 受 洗 歸 入 他 的 死 麼 。
Vậy chúng ta đã bị chôn với Ngài bởi phép báp tem trong sự chết Ngài, hầu cho Đấng Christ nhờ vinh hiển của Cha được từ kẻ chết sống lại thể nào, thì chúng ta cũng sống trong đời mới thể ấy.|所 以 我 們 藉 著 洗 禮 歸 入 死 、 和 他 一 同 埋 葬 ． 原 是 叫 我 們 一 舉 一 動 有 新 生 的 樣 式 、 像 基 督 藉 著 父 的 榮 耀 、 從 死 裡 復 活 一 樣 。
Vì nếu chúng ta làm một cùng Ngài bởi sự chết giống như sự chết của Ngài, thì chúng ta cũng sẽ làm một cùng Ngài bởi sự sống lại giống nhau:|我 們 若 在 他 死 的 形 狀 上 與 他 聯 合 、 也 要 在 他 復 活 的 形 狀 上 與 他 聯 合 ．
vì biết rõ rằng người cũ của chúng ta đã bị đóng đinh trên thập tự giá với Ngài, hầu cho thân thể của tội lỗi bị tiêu diệt đi, và chúng ta không phục dưới tội lỗi nữa.|因 為 知 道 我 們 的 舊 人 、 和 他 同 釘 十 字 架 、 使 罪 身 滅 絕 、 叫 我 們 不 再 作 罪 的 奴 僕 ．
Vì ai đã chết thì được thoát khỏi tội lỗi.|因 為 已 死 的 人 、 是 脫 離 了 罪 。
Vả, nếu chúng ta đã cùng chết với Đấng Christ, thì chúng ta tin rằng mình cũng sẽ sống lại với Ngài,|我 們 若 是 與 基 督 同 死 、 就 信 必 與 他 同 活 ．
bởi biết rằng Đấng Christ đã từ kẻ chết sống lại, thì chẳng chết nữa; sự chết không còn cai trị trên Ngài.|因 為 知 道 基 督 既 從 死 裡 復 活 、 就 不 再 死 、 死 也 不 再 作 他 的 主 了 。
Vì nếu Ngài đã chết, ấy là chết cho tội lỗi một lần đủ cả; nhưng hiện nay Ngài sống, ấy là sống cho Đức Chúa Trời.|他 死 是 向 罪 死 了 、 只 有 一 次 ． 他 活 是 向 　 神 活 著 。
Vậy anh em cũng hãy coi mình như chết về tội lỗi và như sống cho Đức Chúa Trời trong Đức Chúa Jêsus Christ.|這 樣 、 你 們 向 罪 也 當 看 自 己 是 死 的 ． 向 　 神 在 基 督 耶 穌 裡 、 卻 當 看 自 己 是 活 的 。
Vậy, chớ để tội lỗi cai trị trong xác hay chết của anh em, và chớ chiều theo tư dục nó.|所 以 不 要 容 罪 在 你 們 必 死 的 身 上 作 王 、 使 你 門 順 從 身 子 的 私 慾 ．
Chớ nộp chi thể mình cho tội lỗi, như là đồ dùng gian ác, nhưng hãy phó chính mình anh em cho Đức Chúa Trời, dường như đã chết mà nay trở nên sống, và dâng chi thể mình cho Đức Chúa Trời như là đồ dùng về sự công bình.|也 不 要 將 你 們 的 肢 體 獻 給 罪 作 不 義 的 器 具 ． 倒 要 像 從 死 裡 復 活 的 人 、 將 自 己 獻 給 　 神 ． 並 將 肢 體 作 義 的 器 具 獻 給 　 神 。
Vì tội lỗi không cai trị trên anh em đâu; bởi anh em chẳng thuộc dưới luật pháp, mà thuộc dưới ân điển.|罪 必 不 能 作 你 們 的 主 ． 因 你 們 不 在 律 法 之 下 、 乃 在 恩 典 之 下 。
Vậy thì làm sao! Vì chúng ta không thuộc dưới luật pháp, nhưng thuộc dưới ân điển, thì chúng ta sẽ phạm tội hay sao? Chẳng hề như vậy!|這 卻 怎 麼 樣 呢 ． 我 們 在 恩 典 之 下 、 不 在 律 法 之 下 、 就 可 以 犯 罪 麼 ． 斷 乎 不 可 。
Anh em há chẳng biết rằng nếu anh em đã nộp mình làm tôi mọi đặng vâng phục kẻ nào, thì là tôi mọi của kẻ mình vâng phục, hoặc của tội lỗi đến sự chết, hoặc của sự vâng phục để được nên công bình hay sao?|豈 不 曉 得 你 們 獻 上 自 己 作 奴 僕 、 順 從 誰 、 就 作 誰 的 奴 僕 麼 ． 或 作 罪 的 奴 僕 、 以 至 於 死 ． 或 作 順 命 的 奴 僕 、 以 至 成 義 。
Nhưng, tạ ơn Đức Chúa Trời, vì sau khi anh em làm tôi mọi tội lỗi, thì đã từ lòng vâng phục đạo lý là sự đã ban làm mực thước cho mình!|感 謝 　 神 、 因 為 你 們 從 前 雖 然 作 罪 的 奴 僕 、 現 今 卻 從 心 裡 順 服 了 所 傳 給 你 們 道 理 的 模 範 。
Vậy, anh em đã được buông tha khỏi tội lỗi, trở nên tôi mọi của sự công bình rồi.|你 們 既 從 罪 裡 得 了 釋 放 、 就 作 了 義 的 奴 僕 。
Tôi nói theo cách loài người, vì xác thịt của anh em là yếu đuối. Vậy, anh em từng đặt chi thể mình làm tôi sự ô uế gian ác đặng làm tội ác thể nào, thì bây giờ, hãy đặt chi thể mình làm tôi sự công bình đặng làm nên thánh cũng thể ấy.|我 因 你 們 肉 體 的 軟 弱 、 就 照 人 的 常 話 對 你 們 說 、 你 們 從 前 怎 樣 將 肢 體 獻 給 不 潔 不 法 作 奴 僕 、 以 至 於 不 法 ． 現 今 也 要 照 樣 將 肢 體 獻 給 義 作 奴 僕 、 以 至 於 成 聖 ．
Vả, khi anh em còn làm tôi mọi tội lỗi, thì đối với sự công bình anh em được tự do.|因 為 你 們 作 罪 之 奴 僕 的 時 候 、 就 不 被 義 約 束 了 。
Thế thì anh em đã được kết quả gì? Ay là quả mà anh em hiện nay đương hổ thẹn; vì sự cuối cùng của những điều đó tứ là sự chết.|你 們 現 今 所 看 為 羞 恥 的 事 、 當 日 有 甚 麼 果 子 呢 ． 那 些 事 的 結 局 就 是 死 。
Nhưng bây giờ đã được buông tha khỏi tội lỗi và trở nên tôi mọi của Đức Chúa Trời rồi, thì anh em được lấy sự nên thánh làm kết quả, và sự sống đời đời làm cuối cùng.|但 現 今 你 們 既 從 罪 裡 得 了 釋 放 、 作 了 　 神 的 奴 僕 、 就 有 成 聖 的 果 子 、 那 結 局 就 是 永 生 。
Vì tiền công của tội lỗi là sự chết; nhưng sự ban cho của Đức Chúa Trời là sự sống đời đời trong Đức Chúa Jêsus Christ, Chúa chúng ta.|因 為 罪 的 工 價 乃 是 死 ． 惟 有 　 神 的 恩 賜 、 在 我 們 的 主 基 督 耶 穌 裡 、 乃 是 永 生 。

					Rô-ma 7				|
						羅馬書 7					
Hỡi anh em , vậy anh em há chẳng biết rằng luật pháp chỉ cai trị người ta khi còn sống hay sao?|弟 兄 們 、 我 現 在 對 明 白 律 法 的 人 說 、 你 們 豈 不 曉 得 律 法 管 人 是 在 活 著 的 時 候 麼 。
Cho nên, đờn bà có chồng, hễ chồng còn sống bao lâu, thì luật pháp buộc phải theo chồng bấy lâu; nhưng nếu chồng chết, thì người vợ được thoát khỏi luật pháp đã buộc mình với chồng.|就 如 女 人 有 了 丈 夫 、 丈 夫 還 活 著 、 就 被 律 法 約 束 ． 丈 夫 若 死 了 、 就 脫 離 了 丈 夫 的 律 法 。
Vậy nếu đương lúc chồng còn sống, mà vợ đi lấy người khác, thì phải bị kêu là đờn bà ngoại tình; nhưng nếu chồng chết, thì vợ được buông tha khỏi luật pháp, dầu lấy người khác cũng chẳng phải là đờn bà ngoại tình vậy.|所 以 丈 夫 活 著 、 他 若 歸 於 別 人 、 便 叫 淫 婦 ． 丈 夫 若 死 了 、 他 就 脫 離 了 丈 夫 的 律 法 、 雖 然 歸 於 別 人 、 也 不 是 淫 婦 。
Hỡi anh em ta, anh em cũng như vậy, bởi thân thể của Đấng Christ, anh em đã chết về luật pháp, đặng thuộc về người khác, tức là người đã từ kẻ chết sống lại, hầu cho chúng ta được kết quả cho Đức Chúa Trời.|我 的 弟 兄 們 、 這 樣 說 來 、 你 們 藉 著 基 督 的 身 體 、 在 律 法 上 也 是 死 了 ． 叫 你 們 歸 於 別 人 、 就 是 歸 於 那 從 死 裡 復 活 的 、 叫 我 們 結 果 子 給 　 神 。
Vì khi chúng ta còn sống theo xác thịt, thì các tình dục xấu xa bị luật pháp xui khiến, hành động trong chi thể chúng ta và kết quả cho sự chết.|因 為 我 們 屬 肉 體 的 時 候 、 那 因 律 法 而 生 的 惡 慾 、 就 在 我 們 肢 體 中 發 動 、 以 致 結 成 死 亡 的 果 子 ．
Nhưng bây giờ chúng ta đã chết về luật pháp, là điều bắt buộc mình, thì được buông tha khỏi luật pháp đặng hầu việc Đức Chúa Trời theo cách mới của Thánh Linh, chớ không theo cách cũ của văn tự.|但 我 們 既 然 在 捆 我 們 的 律 法 上 死 了 、 現 今 就 脫 離 了 律 法 ． 叫 我 們 服 事 主 、 要 按 著 心 靈 的 新 樣 、 不 按 著 儀 文 的 舊 樣 。 〔 心 靈 或 作 聖 靈 〕
Vậy chúng ta sẽ nói làm sao? Luật pháp há là tội lỗi sao? Chẳng hề như vậy! Nhưng tôi chỉ bởi luật pháp mà biết tội lỗi; vì nếu luật pháp không nói: Người chớ tham lam, thì tôi đã không biết sự tham lam.|這 樣 、 我 們 可 說 甚 麼 呢 ． 律 法 是 罪 麼 ． 斷 乎 不 是 ． 只 是 非 因 律 法 、 我 就 不 知 何 為 罪 ． 非 律 法 說 、 『 不 可 起 貪 心 。 』 我 就 不 知 何 為 貪 心 。
Ay là tội lỗi đã nhơn dịp, bởi điều răn mà sanh ra mọi thứ ham muốn trong lòng tôi: vì không có luật pháp thì tội lỗi chết đi.|然 而 罪 趁 著 機 會 、 就 藉 著 誡 命 叫 諸 般 的 貪 心 在 我 裡 頭 發 動 ． 因 為 沒 有 律 法 罪 是 死 的 。
Ngày xưa tôi không có luật pháp mà tôi sống; như khi điều răn đến, thì tội lỗi lại sống,|我 以 前 沒 有 律 法 是 活 著 的 、 但 是 誡 命 來 到 、 罪 又 活 了 、 我 就 死 了 。
còn tôi thì chết; vậy thì té ra điều răn vốn nên làm cho tôi sống, đã dắt tôi đến sự chết.|那 本 來 叫 人 活 的 誡 命 、 反 倒 叫 我 死 ．
Vì tội lỗi đã nhơn dịp, dùng điều răn dỗ dành tôi và nhơn đó làm cho tôi chết.|因 為 罪 趁 著 機 會 、 就 藉 著 誡 命 引 誘 我 、 並 且 殺 了 我 。
Ay vậy, luật pháp là thánh, điều răn cũng là thánh, công bình và tốt lành.|這 樣 看 來 、 律 法 是 聖 潔 的 、 誡 命 也 是 聖 潔 、 公 義 、 良 善 的 。
Vậy thì điều lành trở làm cớ cho tôi chết sao? Chẳng hề như vậy! Nhưng ấy là tội lỗi đã làm cho tôi chết, hầu khi nó nhơn điều lành làm chết tôi, tự bày ra nói là tội lỗi; đến nỗi tội lỗi nhơn điều răn trở nên cực ác.|既 然 如 此 、 那 良 善 的 是 叫 我 死 麼 ． 斷 乎 不 是 ． 叫 我 死 的 乃 是 罪 。 但 罪 藉 著 那 良 善 的 叫 我 死 、 就 顯 出 真 是 罪 ． 叫 罪 因 著 誡 命 更 顯 出 是 惡 極 了 。
Vả, chúng ta biết luật pháp là thiêng liêng; nhưng tôi là tánh xác thịt đã bị bán cho tội lỗi.|我 們 原 曉 得 律 法 是 屬 乎 靈 的 、 但 我 是 屬 乎 肉 體 的 、 是 已 經 賣 給 罪 了 。
Vì tôi không hiểu điều mình làm: tôi chẳng làm điều mình muốn, nhưng làm điều mình ghét.|因 為 我 所 作 的 、 我 自 己 不 明 白 ． 我 所 願 意 的 、 我 並 不 作 ． 我 所 恨 惡 的 、 我 倒 去 作 。
Song nếu tôi làm điều mình chẳng muốn, thì bởi đó nhận biết luật pháp là tốt lành.|若 我 所 作 的 、 是 我 所 不 願 意 的 、 我 就 應 承 律 法 是 善 的 。
Bấy giờ chẳng phải tôi làm điều đó nữa, nhưng ấy là tội lỗi ở trong tôi.|既 是 這 樣 、 就 不 是 我 作 的 、 乃 是 住 在 我 裡 頭 的 罪 作 的 。
Vả, tôi biết điều lành chẳng ở trong tôi đâu, nghĩa là trong xác thịt tôi, bởi tôi có ý muốn làm điều lành, nhưng không có quyền làm trọn;|我 也 知 道 、 在 我 裡 頭 、 就 是 我 肉 體 之 中 、 沒 有 良 善 ． 因 為 立 志 為 善 由 得 我 、 只 是 行 出 來 由 不 得 我 。
vì tôi không làm điều lành mình muốn, nhưng làm điều dữ mình không muốn.|故 此 、 我 所 願 意 的 善 、 我 反 不 作 ． 我 所 不 願 意 的 惡 、 我 倒 去 作 。
Ví bằng tôi làm điều mình không muốn, ấy chẳng phải là tôi làm điều đó nữa, nhưng là tội lỗi ở trong tôi vậy.|若 我 去 作 所 不 願 意 作 的 、 就 不 是 我 作 的 、 乃 是 住 在 我 裡 頭 的 罪 作 的 。
Vậy tôi thấy có luật nầy trong tôi: khi tôi muốn làm điều lành, thì điều dữ dính dấp theo tôi.|我 覺 得 有 個 律 、 就 是 我 願 意 為 善 的 時 候 、 便 有 惡 與 我 同 在 。
Vì theo người bề trong, tôi vẫn lấy luật pháp Đức Chúa Trời làm đẹp lòng;|因 為 按 著 我 裡 面 的 意 思 。 〔 原 文 作 人 〕 我 是 喜 歡 　 神 的 律 ．
nhưng tôi cảm biết trong chi thể mình có một luật khác giao chiến với luật trong trí mình, bắt mình phải làm phu tù cho luật của tội lỗi, tức là luật ở trong chi thể tôi vậy.|但 我 覺 得 肢 體 中 另 有 個 律 、 和 我 心 中 的 律 交 戰 、 把 我 擄 去 叫 我 附 從 那 肢 體 中 犯 罪 的 律 。
Khốn nạn cho tôi! Ai sẽ cứu tôi thoát khỏi thân thể hay chết nầy?|我 真 是 苦 阿 、 誰 能 救 我 脫 離 這 取 死 的 身 體 呢 。
Cảm tạ Đức Chúa Trời, nhờ Đức Chúa Jêsus Christ, là Chúa chúng ta! Như vậy, thì chính mình tôi lấy trí khôn phục luật pháp của Đức Chúa Trời, nhưng lấy xác thịt phục luật pháp của tội lỗi.|感 謝 　 神 、 靠 著 我 們 的 主 耶 穌 基 督 就 能 脫 離 了 。 這 樣 看 來 、 我 以 內 心 順 服 　 神 的 律 ． 我 肉 體 卻 順 服 罪 的 律 了 。

					Rô-ma 8				|
						羅馬書 8					
