
					Nhã Ca 1				|
Dầu ở trên mình nàng khác nào núi Cạt-mên, Và tóc đầu nàng như sắc tía; Một vì vua bị lọn tóc nàng vấn vít.|你 的 頭 在 你 身 上 好 像 迦 密 山 ． 你 頭 上 的 髮 是 紫 黑 色 ． 王 的 心 因 這 下 垂 的 髮 綹 繫 住 了 。
Hỡi ái tình ta, mình xinh đẹp thay, Hạp ý dường bao, khiến cho người ta được khoái chí!|我 所 愛 的 、 你 何 其 美 好 ． 何 其 可 悅 。 使 人 歡 暢 喜 樂 ．
Hình dung mình giống như cây chà là, Và nương long mình tợ chùm nó.|你 的 身 量 、 好 像 棕 樹 ． 你 的 兩 乳 如 同 其 上 的 果 子 、 纍 纍 下 垂 。
Ta nói rằng: Ta sẽ trèo lên cây chà là, Vin lấy các tàu nó; Nguyên hai nương long mình như chùm nho, Mùi thơm mũi mình như trái bình bát,|我 說 我 要 上 這 棕 樹 、 抓 住 枝 子 ． 願 你 的 兩 乳 、 好 像 葡 萄 纍 纍 下 垂 、 你 鼻 子 的 氣 味 香 如 蘋 果 、
Và ổ gà mình như rượu ngon. Chảy vào dễ dàng cho lương nhơn tôi, Và tuôn nơi môi kẻ nào ngủ.|你 的 口 如 上 好 的 酒 、 女 子 說 、 為 我 的 良 人 下 咽 舒 暢 、 流 入 睡 覺 人 的 嘴 中 。
Tôi thuộc về lương nhơn tôi, Sự ước ao người hướng về tôi.|我 屬 我 的 良 人 ． 他 也 戀 慕 我 。
Hỡi lương nhơn tôi, hãy đến, chúng ta sẽ đi ra ngoài đồng, Ở đêm nơi hương thôn.|我 的 良 人 、 來 罷 、 你 我 可 以 往 田 間 去 ． 你 我 可 以 在 村 莊 住 宿 。
Vừa sớm mai, chúng ta sẽ thức dậy, Đi đến vườn nho, đặng xem thể nho có nứt đọt, Hoa có trổ, thạch lựu có nở bông chăng: Tại đó tôi sẽ tỏ ái tình tôi cho chàng.|我 們 早 晨 起 來 往 葡 萄 園 去 看 看 葡 萄 發 芽 開 花 沒 有 、 石 榴 放 蕊 沒 有 ． 我 在 那 裡 要 將 我 的 愛 情 給 你 。
Trái phong già xông mùi thơm nó; Và tại cửa chúng ta có những thứ trái ngon mới và cũ; Hỡi lương nhơn tôi, tôi đã để dành trái ấy cho chàng!|風 茄 放 香 ． 在 我 們 的 門 內 有 各 樣 新 陳 佳 美 的 果 子 ． 我 的 良 人 、 這 都 是 我 為 你 存 留 的 。

					Nhã Ca 8				|
						雅歌 8					
Ồ! chớ chi chàng làm anh em tôi, Kẻ đã bú mớm vú của mẹ tôi! Nếu tôi gặp chàng ngoài, At tôi sẽ hôn chàng, không ai khinh bỉ tôi được.|巴 不 得 你 像 我 的 兄 弟 、 像 喫 我 母 親 奶 的 兄 弟 ． 我 在 外 頭 遇 見 你 、 就 與 你 親 嘴 ． 誰 也 不 輕 看 我 。
Tôi sẽ dẫn chàng vào nhà mẹ tôi; Tại đó chàng sẽ dạy dỗ tôi; Tôi sẽ cho chàng uống rượu thơm, Nước ngọt của trái thạch lựu tôi.|我 必 引 導 你 、 領 你 進 我 母 親 的 家 、 我 可 以 領 受 教 訓 、 也 就 使 你 喝 石 榴 汁 釀 的 香 酒 。
Tay tả người sẽ kẻ dưới đầu tôi, Còn tay hữu người ôm lấy tôi.|他 的 左 手 必 在 我 頭 下 、 他 的 右 手 必 將 我 抱 住 。
Hỡi các con gái Giê-ru-sa-lem, ta ép nài các ngươi, Chớ kinh động, chớ làm tỉnh thức ái tình ta Cho đến khi nó muốn.|耶 路 撒 冷 的 眾 女 子 阿 、 我 囑 咐 你 們 、 不 要 驚 動 、 不 要 叫 醒 我 所 親 愛 的 、 等 他 自 己 情 願 。 〔 不 要 叫 醒 云 云 或 作 不 要 激 動 愛 情 等 他 自 發 〕
Người nữ nầy là ai, từ đồng vắng đi lên, Nương dựa lương nhơn của nàng? Ta đã đánh thức mình tại dưới cây bình bát: Ở đó mẹ bị đau đớn mà sanh mình ra, Ở đó người mà đã sanh đẻ mình bị cơn lao khổ.|那 靠 著 良 人 從 曠 野 上 來 的 、 是 誰 呢 。 我 在 蘋 果 樹 下 叫 醒 你 ． 你 母 親 在 那 裡 為 你 劬 勞 、 生 養 你 的 在 那 裡 為 你 劬 勞 。
Hãy để tôi như một cái ấy nơi lòng chàng, Như một cái ấn trên cánh tay chàng; Vì ái tình mạnh như sự chết, Lòng ghen hung dữ như âm phủ; Sự nóng nó là sự nóng của lửa, Thật một ngọn lửa của Đức Giê-hô-va.|求 你 將 我 放 在 你 心 上 如 印 記 、 帶 在 你 臂 上 如 戳 記 ． 因 為 愛 情 如 死 之 堅 強 ． 嫉 恨 如 陰 間 之 殘 忍 ． 所 發 的 電 光 、 是 火 焰 的 電 光 、 是 耶 和 華 的 烈 焰 。
Nước nhiều không tưới tắt được ái tình, Các sông chẳng nhận chìm nó được; Nếu người nào đem hết tài sản nhà mình, Đặng mua lấy ái tình, At người ta sẽ khinh dể nó đến điều.|愛 情 、 眾 水 不 能 息 滅 、 大 水 也 不 能 淹 沒 ． 若 有 人 拿 家 中 所 有 的 財 寶 要 換 愛 情 、 就 全 被 藐 視 。
Chúng tôi có một em gái nhỏ, chưa có nương long. Phải làm gì cho em gái chúng tôi, Trong ngày người ta hỏi nó?|我 們 有 一 小 妹 、 他 的 兩 乳 尚 未 長 成 ． 人 來 提 親 的 日 子 、 我 們 當 為 他 怎 樣 辦 理 。
Nếu nó là một vách thành, Chúng tôi sẽ xây tháp bạc trên nó; Nếu nó là một cái cửa, Chúng tôi sẽ đóng bít lại bằng ván hương nam.|他 若 是 牆 、 我 們 要 在 其 上 建 造 銀 塔 ． 他 若 是 門 、 我 們 要 用 香 柏 木 板 圍 護 他 。
Tôi là một tường thành, Hai nương long tôi như những ngọn tháp; Bấy giờ tôi ở trước mắt người như kẻ đã được bình an.|我 是 牆 、 我 兩 乳 像 其 上 的 樓 ． 那 時 我 在 他 眼 中 像 得 平 安 的 人 。
Sa-lô-môn có một vườn nho tại Ba-anh Ha-môn: Người giao vườn ấy cho kẻ canh giữ, Mỗi người ấy phải đem nộp một ngàn miếng bạc về hoa lợi nó.|所 羅 門 在 巴 力 哈 們 有 一 葡 萄 園 ． 他 將 這 葡 萄 園 交 給 看 守 的 人 、 為 其 中 的 果 子 必 交 一 千 舍 客 勒 銀 子 。
Vườn nho của tôi trước mặt tôi. Hỡi Sa-lô-môn, một ngàn miếng bạc sẽ về phần ông, Còn hai trăm về những kẻ giữ hoa lợi nó.|我 自 己 的 葡 萄 園 在 我 面 前 ． 所 羅 門 哪 、 一 千 舍 客 勒 歸 你 、 二 百 舍 客 勒 歸 看 守 果 子 的 人 。
Hỡi kẻ ở trong vườn, các bạn đều lắng tai nghe tiếng nàng! Xin hỡi cho ta nghe tiếng nàng!|你 這 住 在 園 中 的 、 同 伴 都 要 聽 你 的 聲 音 ． 求 你 使 我 也 得 聽 見 。
Hỡi lương nhơn tôi, hãy vội đến, Khá giống như con hoàng dương hay là như con nai con Ở trên các núi thuốc thơm.|我 的 良 人 哪 、 求 你 快 來 、 如 羚 羊 或 小 鹿 在 香 草 山 上 。
