
					II Các Vua 1				|
Đoạn, Ê-li-sê cầu nguyện mà rằng: Đức Giê-hô-va ôi, xin mở mắt kẻ tôi tớ tôi, để nó thấy được. Đức Giê-hô-va mở mắt người ra, thì người thấy núi đầy những ngựa và xe bằng lửa ở chung quanh Ê-li-sê.|以 利 沙 禱 告 說 、 耶 和 華 阿 、 求 你 開 這 少 年 人 的 眼 目 、 使 他 能 看 見 。 耶 和 華 開 他 的 眼 目 、 他 就 看 見 滿 山 有 火 車 火 馬 圍 繞 以 利 沙 。
Quân Sy-ri kéo xuống nơi Ê-li-sê; người cầu nguyện Đức Giê-hô-va rằng: Xin Chúa khiến mắt quân ấy bị đui mù. Đức Chúa Trời bèn khiến chúng đui mù, theo như lời cầu nguyện của Ê-li-sê.|敵 人 下 到 以 利 沙 那 裡 、 以 利 沙 禱 告 耶 和 華 說 、 求 你 使 這 些 人 的 眼 目 昏 迷 。 耶 和 華 就 照 以 利 沙 的 話 、 使 他 們 的 眼 目 昏 迷 。
Đoạn, Ê-li-sê nói với chúng nó rằng; Đây không phải là đường, đây chẳng phải là thành. Hãy theo ta, ta sẽ dẫn các ngươi đến người mà các ngươi tìm kiếm. Rồi người dẫn chúng nó đến Sa-ma-ri.|以 利 沙 對 他 們 說 、 這 不 是 那 道 、 也 不 是 那 城 ． 你 們 跟 我 去 、 我 必 領 你 們 到 所 尋 找 的 人 那 裡 。 於 是 領 他 們 到 了 撒 瑪 利 亞 。
Khi chúng nó đã vào trong Sa-ma-ri rồi, Ê-li-sê cầu rằng: Lạy Đức Giê-hô-va, xin mở mắt cho chúng nó thấy. Đức Giê-hô-va bèn mở mắt họ, họ thấy mình ở giữa Sa-ma-ri.|他 們 進 了 撒 瑪 利 亞 、 以 利 沙 禱 告 說 、 耶 和 華 阿 、 求 你 開 這 些 人 的 眼 目 、 使 他 們 能 看 見 。 耶 和 華 開 他 們 的 眼 目 、 他 們 就 看 見 了 ． 不 料 、 是 在 撒 瑪 利 亞 的 城 中 。
Vua Y-sơ-ra-ên thấy chúng nó, thì nói với Ê-li-sê rằng: Hỡi cha! phải đánh chúng nó chăng? phải đánh chúng nó chăng.|以 色 列 王 見 了 他 們 、 就 問 以 利 沙 說 、 我 父 阿 、 我 可 以 擊 殺 他 們 麼 。
Ê-li-sê đáp rằng: Chớ đánh. Những người vua dùng gươm và cung mà bắt làm phu tù, vua há đánh sao? Hãy dọn trước mặt chúng bánh và rượu, để cho chúng ăn và uống, rồi trở về cùng chủ mình.|回 答 說 、 不 可 擊 殺 他 們 ． 就 是 你 用 刀 用 弓 擄 來 的 、 豈 可 擊 殺 他 們 麼 。 〔 或 作 也 不 可 擊 殺 何 況 這 些 人 呢 〕 當 在 他 們 面 前 設 擺 飲 食 、 使 他 們 喫 喝 回 到 他 們 的 主 人 那 裡 。
Người bèn bày tiệc lớn cho chúng nó; khi chúng nó đã ăn uống rồi, người tha cho chúng nó đi; chúng nó bèn trở về cùng chủ mình. Từ đó về sau, những toán quân Sỵ-ri không còn loán đến địa phận Y-sơ-ra-ên nữa.|王 就 為 他 們 豫 備 了 許 多 食 物 ． 他 們 喫 喝 完 了 、 打 發 他 們 回 到 他 們 主 人 那 裡 。 從 此 、 亞 蘭 軍 不 再 犯 以 色 列 境 了 。
Sau các điều đó, Bên-Ha-đát, vua Sy-ri, nhóm cả đạo binh mình, đi lên vây thành Sa-ma-ri.|此 後 、 亞 蘭 王 便 哈 達 聚 集 他 的 全 軍 、 上 來 圍 困 撒 瑪 利 亞 。
Trongsa-ma-ri đương có sự đói kém lớn lắm, thành bị vây hãm lâu ngày, đến đỗi một cái đầu lừa bán tám mươi siếc lơ bạc, và một góc tư ô phân bò câu bán năm siếc lơ bạc.|於 是 撒 瑪 利 亞 被 圍 困 ． 有 饑 荒 、 甚 至 一 個 驢 頭 值 銀 八 十 舍 客 勒 、 二 升 鴿 子 糞 值 銀 五 舍 客 勒 。
Khi vua Y-sơ-ra-ên đi ngang qua trên tường thành, có một người đàn bà kêu người rằng: Oi vua chúa tôi, xin cứu tôi!|一 日 、 以 色 列 王 在 城 上 經 過 、 有 一 個 婦 人 向 他 呼 叫 說 、 我 主 、 我 王 阿 、 求 你 幫 助 。
Vua nói: Nếu Đức Giê-hô-va không cứu ngươi, thì ta lấy đâu đặng cứu ngươi? Bởi sân đạp lúa hay là bởi nơi ép rượu sao?|王 說 、 耶 和 華 不 幫 助 你 、 我 從 何 處 幫 助 你 ． 是 從 禾 場 、 是 從 酒 醡 呢 。
Vua lại rằng: Ngươi có chi? Nàng thưa rằng: Đờn bà này nói với tôi rằng: Hãy cho con trai chị, hầu ngày nay chúng ta ăn thịt nó; ngày mai chúng ta sẽ ăn thịt con trai ta.|王 問 婦 人 說 、 你 有 甚 麼 苦 處 。 他 回 答 說 、 這 婦 人 對 我 說 、 將 你 的 兒 子 取 來 、 我 們 今 日 可 以 喫 、 明 日 可 以 喫 我 的 兒 子 。
Vậy, chúng tôi có nấu thịt con trai tôi và ăn. Ngày mai tôi có nói với người rằng: Hãy cho con trai chị, hầu chúng ta ăn nó. Nhưng người có giấu con trai mình.|我 們 就 煮 了 我 的 兒 子 喫 了 。 次 日 我 對 他 說 、 要 將 你 的 兒 子 取 來 、 我 們 可 以 喫 ． 他 卻 將 他 的 兒 子 藏 起 來 了 。
Khi vua nghe lời của người đờn bà này, thì xé quần áo mình. Bấy giờ, người đang đi ngang qua trên tường thành, dân sự xem thấy người phía trong mặc cái bao sát vào thịt mình.|王 聽 見 婦 人 的 話 、 就 撕 裂 衣 服 ． （ 王 在 城 上 經 過 ） 百 姓 看 見 王 貼 身 穿 著 麻 衣 。
Vua la lên rằng: Nếu ngày nay đầu của Ê-li-sê, con trai của Sa-phát, hãy còn ở trên vai nó, nguyện Đức Chúa Trời xử ta cách nặng nề!|王 說 、 我 今 日 若 容 沙 法 的 兒 子 以 利 沙 的 頭 仍 在 他 項 上 、 願 　 神 重 重 的 降 罰 與 我 。
Ê-li-sê đương ngồi trong nhà mình, và các trưởng lão ngồi chung quanh người, thì vua sai một sứ giả đi trước mình đến cùng tiên tri. Nhưng khi sứ giả chưa đến, Ê-li-sê nói với các trưởng lão rằng: Kìa, hãy xem, con kẻ sát nhơn kia sai người đến đặng cắt đầu ta. Khá coi chừng: vừa khi sứ giả đến, hãy đóng cửa lại, dùng cửa xô đuổi nó đi. Các ngươi há chẳng nghe tiếng bước của chủ nó sau lưng nó sao?|那 時 以 利 沙 正 坐 在 家 中 、 長 老 也 與 他 同 坐 ． 王 打 發 一 個 伺 候 他 的 人 去 ． 他 還 沒 有 到 、 以 利 沙 對 長 老 說 、 你 們 看 這 兇 手 之 子 、 打 發 人 來 斬 我 的 頭 ． 你 們 看 著 使 者 來 到 、 就 關 上 門 、 用 門 將 他 推 出 去 ． 在 他 後 頭 不 是 有 他 主 人 腳 步 的 響 聲 麼 。
Người còn đương nói, chúng thấy sứ giả đến. Vua cũng đến, nói với Ê-li-sê rằng: Tai nạn này đến bởi Đức Giê-hô-va. Vậy, ta còn trông cậy nơi Đức Giê-hô-va làm chi?|正 說 話 的 時 候 、 使 者 來 到 ． 王 也 到 了 、 說 、 這 災 禍 是 從 耶 和 華 那 裡 來 的 ． 我 何 必 再 仰 望 耶 和 華 呢 。

					II Các Vua 7				|
						列王紀下 7					
Ê-li-sê bèn nói rằng: Hãy nghe lời của Đức Giê-hô-va: Đức Giê-hô-va phán như vầy: Ngày mai, tại giờ này, nơi cửa thành Sa-ma-ri, một đấu bột lọc sẽ bán một siếc lơ, và hai đấu lúa mạch sẽ bán một siếc lơ.|以 利 沙 說 、 你 們 要 聽 耶 和 華 的 話 ． 耶 和 華 如 此 說 明 日 約 到 這 時 候 、 在 撒 瑪 利 亞 城 門 口 、 一 細 亞 細 麵 要 賣 銀 一 舍 客 勒 、 二 細 亞 大 麥 也 要 賣 銀 一 舍 客 勒 。
Quan cai nâng đỡ vua, đáp với người Đức Chúa Trời rằng: Dầu cho Đức Giê-hô-va mở các cửa sổ trên trời, điều đó há có được sao? Ê-li-sê đáp: Chính mắt ngươi sẽ thấy, nhưng ngươi không đặng ăn đến.|有 一 個 攙 扶 王 的 軍 長 、 對 神 人 說 、 即 便 耶 和 華 使 天 開 了 窗 戶 、 也 不 能 有 這 事 。 以 利 沙 說 、 你 必 親 眼 看 見 、 卻 不 得 喫 。
Tại cửa thành có bốn người phung nói với nhau rằng: Chúng ta ngồi đây đến chừng chết mà làm chi?|在 城 門 那 裡 有 四 個 長 大 痲 瘋 的 人 ． 他 們 彼 此 說 、 我 們 為 何 坐 在 這 裡 等 死 呢 。
Nếu chúng ta nhất định vào thành, thì ở đó có đói kém, và chúng ta sẽ chết đói: bằng chúng ta cứ ngồi đây, thì chúng ta cũng sẽ chết. Vậy, chúng ta hãy qua trại quân Sy-ri: Nếu họ dung thứ ta, thì ta sẽ sống; bằng họ giết đi, dẫu thế nào, chúng ta cũng sẽ chết đó thôi.|我 們 若 說 、 進 城 去 罷 、 城 裡 有 饑 荒 、 必 死 在 那 裡 ． 若 在 這 裡 坐 著 不 動 、 也 必 是 死 。 來 罷 、 我 們 去 投 降 亞 蘭 人 的 軍 隊 ． 他 們 若 留 我 們 的 活 命 、 就 活 著 ． 若 殺 我 們 、 就 死 了 罷 。
Vậy, lúc chạng vạng, các người phung chổi dậy đặng đi đến trại quân của sân Sy-ri; khi tới đầu trại quân, họ chẳng thấy ai ở đó hết.|黃 昏 的 時 候 、 他 們 起 來 往 亞 蘭 人 的 營 盤 去 ． 到 了 營 邊 、 不 見 一 人 在 那 裡 。
Vì Chúa đã khiến trại quân Sy-ri nghe tiếng xe, ngựa và tiếng đạo binh lớn; nên nỗi dân Sy-ri nói với nhau rằng: Kìa, vua Y-sơ-ra-ên đã mướn vua dân Hê-tít và vua Ê-díp-tô đặng hãm đánh chúng ta.|因 為 主 使 亞 蘭 人 的 軍 隊 聽 見 車 馬 的 聲 音 、 是 大 軍 的 聲 音 ． 他 們 就 彼 此 說 、 這 必 是 以 色 列 王 賄 買 赫 人 的 諸 王 、 和 埃 及 人 的 諸 王 、 來 攻 擊 我 們 。
Chúng liền chổi dậy, chạy trốn lúc chạng vạng, bỏ các trại, ngựa, và lừa mình, để trại quân mình như cũ; chúng trốn đặng cứu mạng sống mình.|所 以 在 黃 昏 的 時 候 他 們 起 來 逃 跑 、 撇 下 帳 棚 、 馬 、 驢 、 營 盤 照 舊 、 只 顧 逃 命 。
Khi các người phung kia đến đầu trại quân, bèn vào trong một trại, ăn và uống; đoạn họ lấy bạc, vàng, và quần áo đem đi giấu. Chúng trở lại, vào trong một trại khác, ở đó, cũng lấy những của cải mà đem đi giấu luôn.|那 些 長 大 痲 瘋 的 到 了 營 邊 、 進 了 帳 棚 、 喫 了 、 喝 了 、 且 從 其 中 拿 出 金 銀 、 和 衣 服 來 、 去 收 藏 了 ． 回 來 、 又 進 了 一 座 帳 棚 、 從 其 中 拿 出 財 物 來 、 去 收 藏 了 。
Bấy giờ, họ bèn nói với nhau rằng: Chúng ta làm chẳng phải; ngày nay là ngày có tin lành, và chúng ta nín lặng sao! Nếu chúng ta đợi đến rạng đông, thì sự hình phạt chắc sẽ lâm vào chúng ta. Vậy, ta hãy đi báo tin này cho nhà vua.|那 時 他 們 彼 此 說 、 我 們 所 作 的 不 好 ． 今 日 是 有 好 信 息 的 日 子 、 我 們 竟 不 作 聲 ． 若 等 到 天 亮 、 罪 必 臨 到 我 們 ． 來 罷 、 我 們 與 王 家 報 信 去 。
Chúng liền đi, gọi quân canh cửa thành, thuật cho họ rằng: Chúng tôi có đi đến trại quân Sy-ri, thấy chẳng có ai hết, cũng không nghe tiếng người nào; chỉ thấy những ngựa và lừa đương cột và những trại bỏ lại như cũ.|他 們 就 去 叫 守 城 門 的 、 告 訴 他 們 說 、 我 們 到 了 亞 蘭 人 的 營 、 不 見 一 人 在 那 裡 、 也 無 人 聲 、 只 有 拴 著 的 馬 、 和 驢 、 帳 棚 都 照 舊 。
Quân canh cửa bèn gọi người đi báo tin ấy vào trong đền vua.|守 城 門 的 、 叫 了 眾 守 門 的 人 來 ． 他 們 就 進 去 、 與 王 家 報 信 。
Vua chổi dậy ban đêm, nói với các tôi tớ mình rằng: Ta sẽ bày tỏ cho các ngươi điều dân Sy-ri toan làm cho chúng ta. Chúng nó biết chúng ta đói nên chi họ đã ra khỏi trại quân mình đặng phục trong đồng. Chúng nó đã nói nhau rằng: Khi dân Y-sơ-ra-ên ra khỏi thành, chúng ta sẽ bắt sống chúng nó, rồi chúng ta sẽ vào trong thành.|王 夜 間 起 來 、 對 臣 僕 說 、 我 告 訴 你 們 亞 蘭 人 向 我 們 如 何 行 。 他 們 知 道 我 們 飢 餓 、 所 以 離 營 、 埋 伏 在 田 野 、 說 、 以 色 列 人 出 城 的 時 候 、 我 們 就 活 捉 他 們 、 得 以 進 城 。
Một người tôi tớ của vua thưa rằng: Kìa, ngựa còn sót lại cũng hao mòn như đoàn dân Y-sơ-ra-ên còn lại ở trong thành; về sau nó quả sẽ đồng số phận cùng đoàn dân đông đã chết mất. Vì vậy, ta hãy truyền lịnh cho người nào bắt năm con ngựa trong số còn lại đặng đi dò thám.|有 一 個 臣 僕 對 王 說 、 我 們 不 如 用 城 裡 剩 下 之 馬 中 的 五 匹 馬 、 （ 馬 和 城 裡 剩 下 的 以 色 列 人 都 是 一 樣 、 快 要 滅 絕 ） 打 發 人 去 窺 探 。
Vậy, chúng lấy hai cái xe thắng ngựa vào, rồi vua sai người đi theo đạo quân Sy-ri, mà rằng: Hãy đi xem.|於 是 取 了 兩 輛 車 和 馬 ． 王 差 人 去 追 尋 亞 蘭 軍 、 說 、 你 們 去 窺 探 窺 探 。
Chúng đi theo họ cho đến Giô-đanh, thấy khắp dọc đường đầy những quần áo và đồ đạc mà quân Sy-ri đã quăng trong lúc chạy trốn hối hả. Các sứ giả trở về thuật lại cho vua hay.|他 們 就 追 尋 到 約 但 河 、 看 見 滿 道 上 都 是 亞 蘭 人 急 跑 時 丟 棄 的 衣 服 器 具 。 使 者 就 回 來 報 告 王 。
Dân sự bèn kéo ra, cướp lấy trại quân Sy-ri, đến đỗi một đấu bột lọc bán một siếc lơ, và hai đấu lúc mạch cũng bán một siếc lơ, y như lời Đức Giê-hô-va đã phán.|眾 人 就 出 去 、 擄 掠 亞 蘭 人 的 營 盤 。 於 是 一 細 亞 細 麵 賣 銀 一 舍 客 勒 、 二 細 亞 大 麥 也 賣 銀 一 舍 客 勒 、 正 如 耶 和 華 所 說 的 。
Vua cắt quan cai nâng đỡ mình canh giữ cửa thành; nhưng dân chúng đạp dẹp người tại nơi cửa thành, và người chết, y như người của Đức Chúa Trời đã nói trước khi vua đến kiếm người.|王 派 攙 扶 他 的 那 軍 長 、 在 城 門 口 彈 壓 ． 眾 人 在 那 裡 將 他 踐 踏 、 他 就 死 了 、 正 如 神 人 在 王 下 來 見 他 的 時 候 所 說 的 。
Vả lại, việc xảy ra như lời người của Đức Chúa Trời đã nói với vua rằng: Ngày mai, tại giờ này, nơi cửa thành Sa-ma-ri, hai đấu lúa mạch sẽ bán một siếc lơ, và một đấu bột lọc cũng bán một siếc lơ;|神 人 曾 對 王 說 、 明 日 約 到 這 時 候 、 在 撒 瑪 利 亞 城 門 口 、 二 細 亞 大 麥 要 賣 銀 一 舍 客 勒 、 一 細 亞 細 麵 也 要 賣 銀 一 舍 客 勒 ． 　
rồi quan cai có đáp với người của Đức Chúa Trời rằng: Dẫu cho Đức Giê-hô-va mở các cửa sổ trên trời, điều đó há có được sao? Ê-li-sê bèn tiếp rằng: Mắt ngươi sẽ thấy điều đó, song ngươi không ăn đến.|那 軍 長 對 神 人 說 、 即 便 耶 和 華 使 天 開 了 窗 戶 、 也 不 能 有 這 事 。 神 人 說 、 你 必 親 眼 看 見 、 卻 不 得 喫 。
Ay là điều xảy đến; vì dân chúng đạp dẹp người dưới chơn tại cửa thành, và người chết.|這 話 果 然 應 驗 在 他 身 上 ． 因 為 眾 人 在 城 門 口 將 他 踐 踏 、 他 就 死 了 。

					II Các Vua 8				|
						列王紀下 8					
Ê-li-sê nói với người đờn bà, là mẹ của đứa trai mà người đã khiến sống lại, rằng: Hãy chổi dậy, đi với người nhà ngươi, ở ngụ nơi nào ngươi ở được vì Đức Giê-hô-va đã định dẫn cơn đói đến; kìa nó sẽ đến trong xứ bảy năm.|以 利 沙 曾 對 所 救 活 之 子 的 那 婦 人 說 、 你 和 你 的 全 家 、 要 起 身 往 你 可 住 的 地 方 去 住 ． 因 為 耶 和 華 命 饑 荒 降 在 這 地 七 年 。
Vậy, người đờn bà ấy đứng dậy, vâng theo lời của người Đức Chúa Trời, cùng người nhà mình đi kiều ngụ bảy năm trong xứ Phi-li-tin.|婦 人 就 起 身 、 照 神 人 的 話 、 帶 著 全 家 往 非 利 士 地 去 、 住 了 七 年 。
Cuối bảy năm, người đờn bà ấy ở xứ Phi-li-tin trở về, đi đến kêu nài vua về việc nhà và đồng ruộng mình.|七 年 完 了 、 那 婦 人 從 非 利 士 地 回 來 ． 就 出 去 為 自 己 的 房 屋 田 地 哀 告 王 。
Vả, vua đương nói chuyện với Ghê-ha-xi, tôi tớ của người Đức Chúa Trời, mà rằng: Ngươi hãy thuật cho ta hết các công việc lớn mà Ê-li-sê đã làm xong.|那 時 王 正 與 神 人 的 僕 人 基 哈 西 說 、 請 你 將 以 利 沙 所 行 的 一 切 大 事 告 訴 我 。
Ghê-ha-xi đang thuật cho vua hay thế nào Ê-li-sê đã khiến một kẻ chết sống lại, kìa có người đàn bà là mẹ của đứa con trai mà Ê-li-sê đã khiến cho sống lại, đến kêu nài vua về việc nhà và đồng ruộng mình. Ghê-ha-xi tâu rằng: Oi vua chúa tôi! kìa là người đờn bà ấy, và này là con trai nàng mà Ê-li-sê đã làm cho sống lại.|基 哈 西 告 訴 王 以 利 沙 如 何 使 死 人 復 活 、 恰 巧 以 利 沙 所 救 活 他 兒 子 的 那 婦 人 、 為 自 己 的 房 屋 田 地 來 哀 告 王 。 基 哈 西 說 、 我 主 我 王 、 這 就 是 那 婦 人 、 這 是 他 的 兒 子 、 就 是 以 利 沙 所 救 活 的 。
Vua bèn hỏi nàng, thì nàng thuật công việc cho người. Đoạn, vua cắt một quan hoạn theo nàng, mà rằng: Hãy bắt trả lại cho nàng mọi món nào thuộc về nàng, và hết thảy huê lợi của đồng ruộng nàng từ ngày nàng lìa khỏi xứ cho đến ngày nay.|王 問 那 婦 人 、 他 就 把 那 事 告 訴 王 。 於 是 王 為 他 派 一 個 太 監 、 說 、 凡 屬 這 婦 人 的 、 都 還 給 他 、 自 從 他 離 開 本 地 、 直 到 今 日 、 他 田 地 的 出 產 、 也 都 還 給 他 。
Ê-li-sê đi đến Đa-mách. Bấy giờ, Bên-Ha-đát, vua Sy-ri, đau. Có người nói với vua rằng: Người của Đức Chúa Trời mới đến đây.|以 利 沙 來 到 大 馬 色 ． 亞 蘭 王 便 哈 達 正 患 病 ． 有 人 告 訴 王 說 、 神 人 來 到 這 裡 了 。
Vua bảo Ha-xa-ên rằng: Hãy lấy đem theo một lễ vật, đi đón người của Đức Chúa Trời, cậy người cầu vấn Đức Giê-hô-va rằng: Ta sẽ được lành bịnh này chăng?|王 就 吩 咐 哈 薛 說 、 你 帶 著 禮 物 去 見 神 人 、 託 他 求 問 耶 和 華 、 我 這 病 能 好 不 能 好 。
Vậy, Ha-xa-ên đi đón người của Đức Chúa Trời, dẫn theo mình bốn mươi lạc đà, chở mọi món tốt nhất có tại Đa-mách, đặng làm của lễ cho người của Đức Chúa Trời. Người đến ra mắt Ê-li-sê, mà thưa rằng: Con trai ông là Bên-Ha-đát, vua Sy-ri, đã sai tôi đến ông đặng hỏi rằng: Tôi sẽ được lành bịnh này chăng?|於 是 哈 薛 用 四 十 個 駱 駝 、 馱 著 大 馬 色 的 各 樣 美 物 為 禮 物 、 去 見 以 利 沙 ． 到 了 他 那 裡 、 站 在 他 面 前 、 說 、 你 兒 子 亞 蘭 王 便 哈 達 、 打 發 我 來 見 你 ． 他 問 說 、 我 這 病 能 好 不 能 好 。
Ê-li-sê đáp rằng: Hãy đi nói với người rằng: Vua sẽ được lành bịnh. Dầu vậy, Đức Giê-hô-va đã tỏ cho ta biết người hẳn sẽ chết.|以 利 沙 對 哈 薛 說 、 你 回 去 告 訴 他 說 、 這 病 必 能 好 ． 但 耶 和 華 指 示 我 他 必 要 死 。
Người của Đức Chúa Trời ngó chăm Ha-xa-ên lâu đến đỗi người phải hổ thẹn, rồi cất tiếng lên khóc.|神 人 定 睛 看 著 哈 薛 、 甚 致 他 慚 愧 ． 神 人 就 哭 了 。
Ha-xa-ên hỏi rằng: Cớ sao chúa tôi khóc? Ê-li-sê đáp rằng: Bởi ta biết ngươi sẽ làm thiệt hại cho dân Y-sơ-ra-ên. Ngươi sẽ châm lửa các thành kiên cố của chúng nó, giết các kẻ trai trẻ bằng gươm, chà nát con nhỏ, và mổ bụng đờn bà có nghén của chúng nó.|哈 薛 說 、 我 主 為 甚 麼 哭 ． 回 答 說 、 因 為 我 知 道 你 必 苦 害 以 色 列 人 ． 用 火 焚 燒 他 們 的 保 障 、 用 刀 殺 死 他 們 的 壯 丁 、 摔 死 他 們 的 嬰 孩 、 剖 開 他 們 的 孕 婦 。
Ha-xa-ên tiếp: Nhưng kẻ tôi tớ ông là ai, chẳng qua là một con chó đó thôi; sao làm nổi công sự lớn dường ấy? Ê-li-sê đáp rằng: Đức Giê-hô-va đã tỏ cho ta biết rằng ngươi sẽ làm vua Sy-ri.|哈 薛 說 、 你 僕 人 算 甚 麼 、 不 過 是 一 條 狗 ． 焉 能 行 這 大 事 呢 。 以 利 沙 回 答 說 、 耶 和 華 指 示 我 、 你 必 作 亞 蘭 王 。
Ha-xa-ên bèn lìa khỏi Ê-li-sê, và trở về cùng chủ mình; chủ hỏi rằng: Ê-li-sê nói với ngươi sao? Ngươi thưa: Ê-li-sê nói với tôi rằng chúa chắc sẽ lành mạnh.|哈 薛 離 開 以 利 沙 、 回 去 見 他 的 主 人 ． 主 人 問 他 說 、 以 利 沙 對 你 說 甚 麼 ． 回 答 說 、 他 告 訴 我 你 必 能 好 。
Ngày mai, Ha-xa-ên lấy cái mền nhúng nước, đắp trện mặt Bên-Ha-đát, thì người chết. Rồi Ha-xa-ên làm vua thế cho người.|次 日 哈 薛 拿 被 窩 、 浸 在 水 中 、 蒙 住 王 的 臉 、 王 就 死 了 ． 於 是 哈 薛 篡 了 他 的 位 。
Năm thứ năm về đời Giô-ram, con trai A-háp, vua Y-sơ-ra-ên, thì Giô-ram, con trai Giô-sa-phát, vua Giu-đa, lên ngôi làm vua Giu-đa đương khi Giô-sa-phát còn trị vì.|以 色 列 王 亞 哈 的 兒 子 約 蘭 第 五 年 、 猶 大 王 約 沙 法 還 在 位 的 時 候 、 約 沙 法 的 兒 子 約 蘭 登 基 、 作 了 猶 大 王 。
Lúc lên ngôi, người đã được ba mươi hai tuổi; người cai trị tám năm tại Giê-ru-sa-lem.|約 蘭 登 基 的 時 候 、 年 三 十 二 歲 ． 在 耶 路 撒 冷 作 王 八 年 。
Người đi theo con đường của các vua Y-sơ-ra-ên, y như nhà A-háp đã làm; vì con gái của A-háp là vợ người. Vậy, người làm điều ác trước mặt Đức Giê-hô-va.|他 行 以 色 列 諸 王 所 行 的 、 與 亞 哈 家 一 樣 ． 因 為 他 娶 了 亞 哈 的 女 兒 為 妻 、 行 耶 和 華 眼 中 看 為 惡 的 事 。
Song Đức Giê-hô-va nhân vì Đa-vít, tôi tớ của Ngài, không muốn tuyệt diệt Giu-đa, bởi Ngài đã hứa để dành một ngọn đèn cho Đa-vít và cho dòng dõi người mãi mãi.|耶 和 華 卻 因 他 僕 人 大 衛 的 緣 故 、 仍 不 肯 滅 絕 猶 大 、 照 他 所 應 許 大 衛 的 話 、 永 遠 賜 燈 光 與 他 的 子 孫 。
Trong đời Giô-ram, dân Ê-đôm phản nghịch cùng Giu-đa, và lập vua lên cho mình.|約 蘭 年 間 、 以 東 人 背 叛 猶 大 、 脫 離 他 的 權 下 、 自 己 立 王 。
Bấy giờ, Giô-ram qua Xai-rơ, đem theo hết thảy xe binh mình. Người chổi dậy ban đêm, hãm đánh quân Ê-đôm, và các quan cai xe lính họ vẫn vây chung quanh người. Quân lính người thoát khỏi về trại mình.|約 蘭 率 領 所 有 的 戰 車 、 往 撒 益 去 ． 夜 間 起 來 、 攻 打 圍 困 他 的 以 東 人 和 車 兵 長 ． 猶 大 兵 就 逃 跑 、 各 回 各 家 去 了 。
Ay vậy, dân Ê-đôm phản nghịch, chẳng suy phục dân Giu-đa cho đến ngày nay. Đồng một lúc ấy, Líp-na cũng phản nghịch.|這 樣 、 以 東 人 背 叛 猶 大 、 脫 離 他 的 權 下 、 直 到 今 日 。 那 時 立 拿 人 也 背 叛 了 。
Các truyện khác của Giô-ram, mọi việc người làm, điều đã chép trong sách sử ký về các vua Giu-đa.|約 蘭 其 餘 的 事 、 凡 他 所 行 的 都 寫 在 猶 大 列 王 記 上 。
Giô-ram an giấc cùng tổ phụ mình, được chôn với họ tại trong thành Đa-vít. A-cha-xia, con trai người, kế vị người.|約 蘭 與 他 列 祖 同 睡 、 葬 在 大 衛 城 、 他 列 祖 的 墳 地 裡 ． 他 兒 子 亞 哈 謝 接 續 他 作 王 。
Năm thứ mười hai, đời Giô-ram, con trai A-háp, vua Y-sơ-ra-ên, thì A-cha-xia, con trai Giô-ram, vua Giu-đa, lên ngôi trị vì.|以 色 列 王 亞 哈 的 兒 子 約 蘭 十 二 年 、 猶 大 王 約 蘭 的 兒 子 亞 哈 謝 登 基 。
A-cha-xia được hai mươi hai tuổi khi người lên làm vua, và cai trị một năm tại Giê-ru-sa-lem. Mẹ người tên là A-tha-li, cháu gái của Om-ri, vua Y-sơ-ra-ên.|他 登 基 的 時 候 、 年 二 十 二 歲 、 在 耶 路 撒 冷 作 王 一 年 ． 他 母 親 名 叫 亞 他 利 雅 、 是 以 色 列 王 暗 利 的 孫 女 。
Người đi theo con đường của nhà A-háp, làm điều ác trước mặt Đức Giê-hô-va, y như nhà ấy đã làm. Vì người là rể của nhà A-háp.|亞 哈 謝 效 法 亞 哈 家 行 耶 和 華 眼 中 看 為 惡 的 事 、 與 亞 哈 家 一 樣 ． 因 為 他 是 亞 哈 家 的 女 婿 。
Người đi với Giô-ram, con trai A-háp, đến Ra-mốt tại Ga-la-át đặng giao chiến cùng Ha-xa-ên, vua Sy-ri. Nhưng quân Sy-ri làm cho vua Giô-ram bị thương.|他 與 亞 哈 的 兒 子 約 蘭 、 同 往 基 列 的 拉 末 去 、 與 亞 蘭 王 哈 薛 爭 戰 ． 亞 蘭 人 打 傷 了 約 蘭 。
Người bèn trở về Gít-rê-ên đặng chữa lành những vít thương người bị bởi quân Sy-ri tại Ra-mốt, khi đánh giặc cùng Ha-xa-ên, vua Sy-ri. A-cha-xia, con trai Giô-ram, vua Giu-đa, đi xuống Gít-rê-ên, đặng thăm Giô-ram, con trai A-háp, vẫn đau liệt nằm tại đó.|約 蘭 王 回 到 耶 斯 列 、 醫 治 在 拉 末 與 亞 蘭 王 哈 薛 打 仗 的 時 候 所 受 的 傷 。 猶 大 王 約 蘭 的 兒 子 亞 哈 謝 、 因 為 亞 哈 的 兒 子 約 蘭 病 了 、 就 下 到 耶 斯 列 望 看 他 。

					II Các Vua 9				|
						列王紀下 9					
