
					Ê-xơ-tê 1				|
vì nếu ngươi làm thinh trong lúc nầy, dân Giu-đa hẳn sẽ được tiếp trợ và giải cứu bởi cách khác, còn ngươi và nhà cha ngươi đều sẽ bị hư mất; song nào ai biết rằng chẳng phải vì cớ cơ hội hiện lúc nầy mà ngươi được vị hoàng hậu sao?|此 時 你 若 閉 口 不 言 、 猶 大 人 必 從 別 處 得 解 脫 、 蒙 拯 救 、 你 和 你 父 家 、 必 致 滅 亡 ． 焉 知 你 得 了 王 后 的 位 分 、 不 是 為 現 今 的 機 會 麼 。
Bà Ê-xơ-tê bèn biểu đáp lại cùng Mạc-đô-chê rằng:|以 斯 帖 就 吩 咐 人 回 報 末 底 改 說 、
Hãy đi nhóm hiệp các người Giu-đa ở tại Su-sơ, rồi hãy vì tôi mà kiêng cữ ăn trong ba ngày và đêm, chớ ăn hay uống gì hết; tôi và các nàng hầu của tôi cũng sẽ kiêng cữ ăn nữa; như vậy, tôi sẽ vào cùng vua, là việc trái luật pháp; nếu tôi phải chết thì tôi chết.|你 當 去 招 聚 書 珊 城 所 有 的 猶 大 人 、 為 我 禁 食 三 晝 三 夜 、 不 喫 不 喝 ． 我 和 我 的 宮 女 、 也 要 這 樣 禁 食 ． 然 後 我 違 例 進 去 見 王 ． 我 若 死 就 死 罷 。
Mạc-đô-chê bèn đi, và làm theo mọi điều bà Ê-xơ-tê đã dặn biểu mình.|於 是 末 底 改 照 以 斯 帖 一 切 所 吩 咐 的 去 行 。

					Ê-xơ-tê 5				|
						以斯帖記 5					
Ngày thứ ba, bà Ê-xơ-tê mặc đồ triều-phục, và ra chầu đứng tại nội viện, đối trước cung điện vua. Vua đương ngự trên ngôi tại trong cung điện trước cửa đền.|第 三 日 、 以 斯 帖 穿 上 朝 服 、 進 王 宮 的 內 院 、 對 殿 站 立 ． 王 在 殿 裡 坐 在 寶 座 上 、 對 著 殿 門 ．
Vừa khi vua thấy hoàng hậu Ê-xơ-tê đứng chầu nơi nội viện, thì bà được ơn trước mặt vua; vua giơ ra cho bà Ê-xơ-tê cây phủ việt vàng ở nơi tay mình. Bà Ê-xơ-tê lại gần và rờ cây phủ việt.|王 見 王 后 以 斯 帖 站 在 院 內 、 就 施 恩 於 他 、 向 他 伸 出 手 中 的 金 杖 ． 以 斯 帖 便 向 前 摸 杖 頭 。
Vua nói với bà rằng: Hỡi hoàng hậu Ê-xơ-tê, ngươi muốn chi? Cầu xin điều gì? Dầu xin đến phân nửa nước, cũng sẽ ban cho ngươi.|王 對 他 說 、 王 后 以 斯 帖 阿 、 你 要 甚 麼 、 你 求 甚 麼 ． 就 是 國 的 一 半 、 也 必 賜 給 你 。
Ê-xơ-tê nói: Nếu nhiệm ý vua, xin vua và Ha-man ngày nay hãy đến dự tiệc yến mà tôi đã dọn cho vua.|以 斯 帖 說 、 王 若 以 為 美 、 就 請 王 帶 著 哈 曼 今 日 赴 我 所 豫 備 的 筵 席 。
Vua bèn bảo rằng: Hãy kíp vời Ha-man đến, đặng làm y như hoàng hậu đã nói. Đoạn, vua và Ha-man đi đến dự tiệc yến của bà Ê-xơ-tê đã dọn.|王 說 、 叫 哈 曼 速 速 照 以 斯 帖 的 話 去 行 ． 於 是 王 帶 著 哈 曼 赴 以 斯 帖 所 豫 備 的 筵 席 ．
Trong lúc dự tiệc rượu, vua hỏi bà Ê-xơ-tê rằng: Nàng xin điều gì? tất ta sẽ nhậm cho. Nàng cầu khẩn việc gì? Dầu đến phân nửa nước, cũng sẽ ban cho.|在 酒 席 筵 前 、 王 又 問 以 斯 帖 說 、 你 要 甚 麼 、 我 必 賜 給 你 、 你 求 甚 麼 、 就 是 國 的 一 半 、 也 必 為 你 成 就 。
Bà Ê-xơ-tê đáp rằng: Nầy điều tôi cầu xin và sự tôi ước ao:|以 斯 帖 回 答 說 、 我 有 所 要 、 我 有 所 求 、
Nếu tôi được ơn trước mặt vua, nếu vua lấy làm thiện mà nhậm lời tôi cầu xin và làm điều tôi ao ước, xin vua và Ha-man hãy đến dự tiệc yến mà tôi sẽ dọn, rồi ngày mai tôi sẽ làm theo lời vua dạy biểu.|我 若 在 王 眼 前 蒙 恩 、 王 若 願 意 賜 我 所 要 的 、 准 我 所 求 的 、 就 請 王 帶 著 哈 曼 再 赴 我 所 要 豫 備 的 筵 席 ． 明 日 我 必 照 王 所 問 的 說 明 。
Trong ngày đó, Ha-man đi ra vui vẻ và lòng hớn hở. Nhưng khi Ha-man thấy Mạc-đô-chê ở nơi cửa vua không đứng dậy, cũng không chuyển động vì mình, bèn đầy dẫy lòng giận dữ Mạc-đô-chê.|那 日 哈 曼 心 中 快 樂 、 歡 歡 喜 喜 地 出 來 ． 但 見 末 底 改 在 朝 門 不 站 起 來 、 連 身 也 不 動 、 就 滿 心 惱 怒 末 底 改 ．
Dẫu vậy, Ha-man nín giận lại, trở về nhà mình, sai người gọi đến các bạn hữu và Xê-rết là vợ mình.|哈 曼 暫 且 忍 耐 回 家 、 叫 人 請 他 朋 友 和 他 妻 子 細 利 斯 來 。
Ha-man thuật lại cho chúng sự giàu có sang trọng mình. số đông con cái mình, và mọi sự vua làm cho mình được sang cả, thể nào vua cất mình cao hơn các quan trưởng và thần bộc của vua.|哈 曼 將 他 富 厚 的 榮 耀 、 眾 多 的 兒 女 、 和 王 抬 舉 他 使 他 超 乎 首 領 臣 僕 之 上 、 都 述 說 給 他 們 聽 。
Ha-man cũng nói: Trừ ra một mình ta, hoàng hậu Ê-xơ-tê chẳng vời ai cùng vua đến dự tiệc yến của bà đã dọn; và ngày mai ta lại được mời dự nơi nhà người với vua.|哈 曼 又 說 、 王 后 以 斯 帖 豫 備 筵 席 、 除 了 我 之 外 不 許 別 人 隨 王 赴 席 ． 明 日 王 后 又 請 我 隨 王 赴 席 ．
Song mọi điều đó chẳng ích gì cho ta cả hễ lâu chừng nào ta thấy Mạc-đô-chê, người Giu-đa, ngồi tại cửa vua.|只 是 我 見 猶 大 人 末 底 改 坐 在 朝 門 、 雖 有 這 一 切 榮 耀 、 也 與 我 無 益 。
Xê-rết, vợ người, và các bạn hữu người đều nói rằng: Hãy biểu dựng một mộc hình, cao năm mươi thước; rồi sớm mai, hãy cầu vua khiến cho người ta treo Mạc-đô-chê tại đó; đoạn ông hãy khoái lạc đi dự yến tiệc cùng vua. Điều đó lấy làm đẹp lòng Ha-man; người bèn truyền dựng cây mộc hình.|他 的 妻 細 利 斯 和 他 一 切 的 朋 友 對 他 說 、 不 如 立 一 個 五 丈 高 的 木 架 、 明 早 求 王 將 末 底 改 挂 在 其 上 、 然 後 你 可 以 歡 歡 喜 喜 地 隨 王 赴 席 ． 哈 曼 以 這 話 為 美 、 就 叫 人 作 了 木 架 。

					Ê-xơ-tê 6				|
						以斯帖記 6					
Đêm đó, vua không ngủ được; nên truyền đem sách sử ký, đọc tại trước mặt vua.|那 夜 王 睡 不 著 覺 、 就 吩 咐 人 取 歷 史 來 、 念 給 他 聽 。
Người ta thấy có chép rằng Mạc-đô-chê đã tỏ ra mưu của Bích-than và Thê-rết, hai hoạn quan của vua, trong bọn kẻ giữ cửa, toan tra tay vào vua A-suê-ru.|正 遇 見 書 上 寫 著 說 、 王 的 太 監 中 有 兩 個 守 門 的 辟 探 和 提 列 想 要 下 手 害 亞 哈 隨 魯 王 ． 末 底 改 將 這 事 告 訴 王 后 。
Vua nói: Vì công sự ấy, Mạc-đô-chê có được sự vinh hiển và tước vị gì chăng? Các người cận thần của vua đáp rằng: Người chẳng được gì hết.|王 說 、 末 底 改 行 了 這 事 、 賜 他 甚 麼 尊 榮 爵 位 沒 有 ． 伺 候 王 的 臣 僕 回 答 說 、 沒 有 賜 他 甚 麼 。
Vua hỏi: Ai ở nơi viện trung? Vả, Ha-man đến ngoài viện của cung vua, đặng cầu vua truyền treo cổ Mạc-đô-chê nơi mộc hình, mà người đã dựng cho Mạc-đô-chê.|王 說 、 誰 在 院 子 裡 ． （ 那 時 哈 曼 正 進 王 宮 的 外 院 、 要 求 王 將 末 底 改 挂 在 他 所 豫 備 的 木 架 上 ）
Các thần bộc của vua thưa rằng: Kìa, Ha-man đứng nơi viện trung. Vua bèn nói: Người hãy vào.|臣 僕 說 、 哈 曼 站 在 院 內 ． 王 說 、 叫 他 進 來 。
Ha-man bèn vào. Vua nói với người rằng: Phải làm chi cho người nào vua muốn tôn trọng? Ha-man nghĩ thầm rằng: Vua há muốn tôn trọng người nào khác hơn ta sao?|哈 曼 就 進 去 ． 王 問 他 說 、 王 所 喜 悅 尊 榮 的 人 、 當 如 何 待 他 呢 ． 哈 曼 心 裡 說 、 王 所 喜 悅 尊 榮 的 不 是 我 是 誰 呢 。
Vậy, Ha-man bèn tâu rằng: Hễ người nào vua muốn tôn trọng,|哈 曼 就 回 答 說 、 王 所 喜 悅 尊 榮 的 人 、
khá đem cho áo triều của vua mặc, ngựa của vua cỡi, và đội mão triều thiên vua trên đầu người đó;|當 將 王 常 穿 的 朝 服 、 和 戴 冠 的 御 馬 、
áo triều và ngựa thì hãy giao vào tay của một triều thần tối tôn của vua, để mặc cho người mà vua muốn tôn trọng, dẫn người cỡi ngựa dạo chơi các đường phố của thành nội, và la lên rằng: Người mà vua muốn tôn trọng được đãi như vậy.|都 交 給 王 極 尊 貴 的 一 個 大 臣 、 命 他 將 衣 服 給 王 所 喜 悅 尊 榮 的 人 穿 上 、 使 他 騎 上 馬 走 遍 城 裡 的 街 市 、 在 他 面 前 宣 告 說 、 王 所 喜 悅 尊 榮 的 人 、 就 如 此 待 他 。
Vua nói với Ha-man rằng: Hãy mau mau đem áo triều và ngựa, y như lời ngươi nói, mà mặc cho Mạc-đô-chê, người Giu-đa, đương ngồi tại nơi cửa vua; chớ bỏ qua gì hết về mọi điều người đã nói.|王 對 哈 曼 說 、 你 速 速 將 這 衣 服 和 馬 、 照 你 所 說 的 、 向 坐 在 朝 門 的 猶 大 人 末 底 改 去 行 、 凡 你 所 說 的 、 一 樣 不 可 缺 。
Ha-man bèn lấy áo triều và ngựa, mặc cho Mạc-đô-chê, rồi dẫn người cỡi ngựa dạo qua các đường phố của thành nội, mà hô lên trước mặt người rằng: Người mà vua muốn tôn trọng được đãi như vậy!|於 是 哈 曼 將 朝 服 給 末 底 改 穿 上 、 使 他 騎 上 馬 走 遍 城 裡 的 街 市 、 在 他 面 前 宣 告 說 、 王 所 喜 悅 尊 榮 的 人 、 就 如 此 待 他 。
Đoạn, Mạc-đô-chê trở về cửa vua. Còn Ha-man lật đật trở về nhà mình, thảm buồn và trùm đầu lại.|末 底 改 仍 回 到 朝 門 ． 哈 曼 卻 憂 憂 悶 悶 地 蒙 著 頭 、 急 忙 回 家 去 了 ．
Ha-man thuật lại cho Xê-rết, vợ mình, và các bạn hữu mình hay mọi điều đã xảy đến cho mình. Khi ấy các người khôn ngoan và Xê-rết, vợ người, nói rằng: Ong đã khởi mòi sa bại trước mặt Mạc-đô-chê rồi; nếu hắn quả thuộc về dòng dõi Giu-đa, thì ông sẽ chẳng thắng hẳn được đâu, nhưng sẽ sa bại quả hẳn trước mặt người.|將 所 遇 的 一 切 事 、 詳 細 說 給 他 的 妻 細 利 斯 和 他 的 眾 朋 友 聽 ． 他 的 智 慧 人 和 他 的 妻 細 利 斯 對 他 說 、 你 在 末 底 改 面 前 始 而 敗 落 、 他 如 果 是 猶 大 人 、 你 必 不 能 勝 他 、 終 必 在 他 面 前 敗 落 。
Khi chúng còn đương nói chuyện với người, các hoạn quan của vua đến, lật đật đưa Ha-man đến dự tiệc yến mà bà Ê-xơ-tê đã dọn.|他 們 還 與 哈 曼 說 話 的 時 候 、 王 的 太 監 來 催 哈 曼 快 去 赴 以 斯 帖 所 豫 備 的 筵 席 。

					Ê-xơ-tê 7				|
						以斯帖記 7					
Vậy, vua và Ha-man đến dự tiệc rượu với hoàng hậu Ê-xơ-tê.|王 帶 著 哈 曼 來 赴 王 后 以 斯 帖 的 筵 席 ．
Ngày thứ hai, trong khi dự tiệc rượu, vua cũng nói với bà Ê-xơ-tê rằng: Hỡi hoàng hậu Ê-xơ-tê, người muốn xin sự gì? tất sẽ ban cho ngươi; muốn cầu gì? dầu cho đến phân nửa nước, tất cũng ban cho.|這 第 二 次 在 酒 席 筵 前 、 王 又 問 以 斯 帖 說 、 王 后 以 斯 帖 阿 、 你 要 甚 麼 、 我 必 賜 給 你 、 你 求 甚 麼 、 就 是 國 的 一 半 、 也 必 為 你 成 就 。
Hoàng hậu Ê-xơ-tê thưa lại rằng: Oi vua! nếu tôi được ơn trước mặt vua, và nếu vua vừa ý, xin vua hãy nhậm lời cầu khẩn tôi mà ban mạng sống cho tôi, và theo sự nài xin tôi mà ban cho tôi dân tộc tôi.|王 后 以 斯 帖 回 答 說 、 我 若 在 王 眼 前 蒙 恩 、 王 若 以 為 美 、 我 所 願 的 、 是 願 王 將 我 的 性 命 賜 給 我 、 我 所 求 的 、 是 求 王 將 我 的 本 族 賜 給 我 ．
Vì tôi và dân tộc tôi đã bị bán để hủy diệt, giết chết, và làm cho hư mất đi. Vả, nếu chúng tôi bị bán để làm nô lệ, tất tôi đã nín lặng, mặc dầu kẻ thù nghịch chẳng bồi thường sự thiệt hại cho vua lại được.|因 我 和 我 的 本 族 被 賣 了 、 要 剪 除 殺 戮 滅 絕 我 們 ． 我 們 若 被 賣 為 奴 為 婢 、 我 也 閉 口 不 言 、 但 王 的 損 失 、 敵 人 萬 不 能 補 足 。
Vua A-suê-ru nói với hoàng hậu Ê-xơ-tê rằng: Kẻ dám toan lòng làm như vậy là ai, và nó ở đâu?|亞 哈 隨 魯 王 問 王 后 以 斯 帖 說 、 擅 敢 起 意 如 此 行 的 是 誰 、 這 人 在 哪 裡 呢 。
Bà Ê-xơ-tê thưa: Kẻ cừu thù, ấy là Ha-man độc ác kia. Ha-man bèn lấy làm khiếp vía trước mặt vua và hoàng hậu.|以 斯 帖 說 、 仇 人 敵 人 就 是 這 惡 人 哈 曼 ． 哈 曼 在 王 和 王 后 面 前 就 甚 驚 惶 。
Vua nổi thạnh nộ, đứng dậy khỏi bữa tiệc, đi ra nơi ngự viện. Còn Ha-man vì thấy rõ vua nhất định giáng họa cho mình, bèn ở lại nài khẩn hoàng hậu Ê-xơ-tê cứu sanh mạng mình.|王 便 大 怒 、 起 來 離 開 酒 席 往 御 園 去 了 ． 哈 曼 見 王 定 意 要 加 罪 與 他 、 就 起 來 、 求 王 后 以 斯 帖 救 命 。
Khi vua ở ngoài ngự viện trở vào nhà tiệc, thì Ha-man đã phục dưới ghế dài nơi bà Ê-xơ-tê đương ngồi. Vua bèn nói: Trong cung tại trước mặt ta, nó còn dám lăng nhục hoàng hậu sao? Lời vừa ra khỏi miệng vua, người ta liền che mặt Ha-man lại.|王 從 御 園 回 到 酒 席 之 處 、 見 哈 曼 伏 在 以 斯 帖 所 靠 的 榻 上 ． 王 說 、 他 竟 敢 在 宮 內 、 在 我 面 前 、 凌 辱 王 后 麼 ． 這 話 一 出 王 口 、 人 就 蒙 了 哈 曼 的 臉 。
Hạt-bô-na, một hoạn quan chầu chực vua, rằng: Kìa, cây mộc hình, cao năm mươi thước, mà Ha-man đã sắm dựng tại trong nhà mình cho Mạc-đô-chê, là người đã nói trung tín để cứu vua. Vua rằng: Hãy treo nó lên đó!|伺 候 王 的 一 個 太 監 、 名 叫 哈 波 拿 、 說 、 哈 曼 為 那 救 王 有 功 的 末 底 改 、 作 了 五 丈 高 的 木 架 、 現 今 立 在 哈 曼 家 裡 ． 王 說 、 把 哈 曼 挂 在 其 上 。
Người ta bèn treo Ha-man nơi mộc hình mà hắn đã dựng lên cho Mạc-đô-chê. Rồi cơn giận của vua bèn nguôi đi.|於 是 人 將 哈 曼 挂 在 他 為 末 底 改 所 豫 備 的 木 架 上 ． 王 的 忿 怒 這 纔 止 息 。

					Ê-xơ-tê 8				|
						以斯帖記 8					
Ngày đó, vua A-suê-ru ban cho hoàng hậu Ê-xơ-tê cái nhà của Ha-man, kẻ ức hiếp dân Giu-đa. Còn Mạc-đô-chê đi vào trước mặt vua; vì bà Ê-xơ-tê đã bày tỏ người là thân thuộc mình.|當 日 亞 哈 隨 魯 王 把 猶 大 人 仇 敵 哈 曼 的 家 產 賜 給 王 后 以 斯 帖 。 末 底 改 也 來 到 王 面 前 、 因 為 以 斯 帖 已 經 告 訴 王 末 底 改 是 他 的 親 屬 。
Vua cổi chiếc nhẫn mà người đã lấy nơi Ha-man và ban cho Mạc-đô-chê. Bà Ê-xơ-tê đặt Mạc-đô-chê trên nhà Ha-man.|王 摘 下 自 己 的 戒 指 、 就 是 從 哈 曼 追 回 的 、 給 了 末 底 改 ． 以 斯 帖 派 末 底 改 管 理 哈 曼 的 家 產 。
Bà Ê-xơ-tê lại nói trước mặt vua, và phục xuống dưới chơn người mà khóc lóc, cầu xin vua diệt mưu ác mà Ha-man, người A-gát, đã toan ý hại dân Giu-đa.|以 斯 帖 又 俯 伏 在 王 腳 前 、 流 淚 哀 告 、 求 他 除 掉 亞 甲 族 哈 曼 害 猶 大 人 的 惡 謀 。
Vua đưa cây phủ việt vàng ra cho bà Ê-xơ-tê. Đoạn, bà chổi dậy và đứng trước mặt vua,|王 向 以 斯 帖 伸 出 金 杖 ． 以 斯 帖 就 起 來 、 站 在 王 前 、
mà rằng: Nếu vừa ý vua, nếu tôi được ơn trước mặt vua, nếu vua lấy việc ấy làm tiện ích, và tôi được đẹp ý vua, thì xin vua hãy hạ chiếu đặng bãi các thơ mưu mẹo của Ha-man, con trai Ham-mê-đa-tha, người A-gát, viết thư đặng truyền giết những dân Giu-đa ở trong các tỉnh của vua.|說 、 亞 甲 族 哈 米 大 他 的 兒 子 哈 曼 、 設 謀 傳 旨 、 要 殺 滅 在 王 各 省 的 猶 大 人 ． 現 今 王 若 願 意 、 我 若 在 王 眼 前 蒙 恩 、 王 若 以 為 美 、 若 喜 悅 我 、 請 王 另 下 旨 意 廢 除 哈 曼 所 傳 的 那 旨 意 。
Vì nỡ nào tôi thấy được tai nạn xảy đến cho dân tộc tôi, và lòng nào nỡ xem được sự hủy diệt dòng dõi tôi?|我 何 忍 見 我 本 族 的 人 受 害 、 何 忍 見 我 同 宗 的 人 被 滅 呢 。
Vua A-suê nói với hoàng hậu Ê-xơ-tê và Mạc-đô-chê, người Giu-đa, rằng: Nầy ta đã ban cho bà Ê-xơ-tê nhà của Ha-man, còn hắn, người ta đã xử treo mộc hình, bởi vì hắn đã tra tay ra làm hại người Giu-đa.|亞 哈 隨 魯 王 對 王 后 以 斯 帖 和 猶 大 人 末 底 改 說 、 因 哈 曼 要 下 手 害 猶 大 人 、 我 已 將 他 的 家 產 賜 給 以 斯 帖 、 人 也 將 哈 曼 挂 在 木 架 上 。
Vậy, hai ngươi cũng hãy nhơn danh vua mà viết về dân Giu-đa điều gì vừa ý hai ngươi, rồi lấy chiếc nhẫn của vua mà ấn dấu. Vì một tờ chiếu chỉ nào viết nhơn danh vua và ấn dấu với chiếc nhẫn của vua không thể bãi được.|現 在 你 們 可 以 隨 意 奉 王 的 名 寫 諭 旨 給 猶 大 人 、 用 王 的 戒 指 蓋 印 ． 因 為 奉 王 名 所 寫 用 王 戒 指 蓋 印 的 諭 旨 、 人 都 不 能 廢 除 。
Bấy giờ, nhằm tháng ba, là tháng Si-van, ngày hai mươi ba; những thầy thơ ký được gọi vào, họ y theo mọi điều Mạc-đô-chê dạy biểu mà viết cho dân Giu-đa, các quan trấn thủ, các quan cai quản và những đầu trưởng của các tỉnh, từ An-độ cho đến Ê-thi-ô-bi, tức một trăm hai mươi bảy tỉnh, viết cho tỉnh nào dùng chữ nấy, cho dân tộc nào theo thổ âm nấy, và cho dân Giu-đa, thì theo chữ và tiếng của họ.|三 月 、 就 是 西 彎 月 、 二 十 三 日 、 將 王 的 書 記 召 來 、 按 著 末 底 改 所 吩 咐 的 用 各 省 的 文 字 、 各 族 的 方 言 、 並 猶 大 人 的 文 字 方 言 寫 諭 旨 、 傳 給 那 從 印 度 直 到 古 實 一 百 二 十 七 省 的 猶 大 人 、 和 總 督 省 長 首 領 。
Mạc-đô-chê viết nhơn danh vua A-suê-ru và ấn dấu bằng chiếc nhẫn của vua; rồi sai lính trạm đem thơ đi cỡi ngựa hăng và ngựa nòi, bởi ngựa để giống sanh ra.|末 底 改 奉 亞 哈 隨 魯 王 的 名 寫 諭 旨 、 用 王 的 戒 指 蓋 印 、 交 給 騎 御 馬 圈 快 馬 的 驛 卒 傳 到 各 處 。
Chiếu chỉ ấy tỏ rằng vua ban phép cho dân Giu-đa ở trong các tỉnh các thành của nước A-suê-ru hiệp lại|諭 旨 中 王 准 各 省 各 城 的 猶 大 人 在 一 日 之 間 、 十 二 月 、 就 是 亞 達 月 、 十 三 日 、 聚 集 保 護 性 命 、 剪 除 殺 戮 滅 絕 那 要 攻 擊 猶 大 人 的 一 切 仇 敵 、 和 他 們 的 妻 子 兒 女 、 奪 取 他 們 的 財 為 掠 物 。
nội trong một ngày, là ngày mười ba tháng mười hai, tức là tháng A-đa, đặng binh vực sanh mạng mình, tuyệt diệt, đánh giết, và làm cho hư mất quyền năng của dân cừu địch toan hãm hiếp mình, vợ và con cái mình, cùng cho phép đoạt lấy tài sản của chúng nó.|見 上 節
Để cho chiếu chỉ được công bố trong mỗi tỉnh, một tờ sao lục chiếu đem rao cho các dân tộc biết, hầu cho người Giu-đa sẵn sàng về ngày đó, mà trả thù các cừu địch mình.|抄 錄 這 諭 旨 、 頒 行 各 省 、 宣 告 各 族 、 使 猶 大 人 豫 備 等 候 那 日 、 在 仇 敵 身 上 報 仇 。
Vậy những lính trạm cỡi ngựa hăng và ngựa nòi, vâng mạng vua thúc giục lật đật đi. Đoạn chiếu chỉ ấy được truyền ra trong kinh đô Su-sơ.|於 是 騎 快 馬 的 驛 卒 、 被 王 命 催 促 、 急 忙 起 行 ． 諭 旨 也 傳 遍 書 珊 城 。
Mạc-đô-chê từ trước mặt vua trở ra, mặc đồ triều phục xanh và trắng, đội một các mão triều thiên lớn bằng vàng, và mặc một cái áo dài bằng bố gai mịn màu tím; thành Su-sơ cất tiếng reo mừng và hớn hở.|末 底 改 穿 著 藍 色 白 色 的 朝 服 、 頭 戴 大 金 冠 冕 、 又 穿 紫 色 細 麻 布 的 外 袍 、 從 王 面 前 出 來 ． 書 珊 城 的 人 民 、 都 歡 呼 快 樂 。
Về phần dân Giu-đa, thì có sự sáng sủa, vui vẻ, khoái lạc và vinh hiển.|猶 大 人 有 光 榮 歡 喜 快 樂 而 得 尊 貴 。
Trong mỗi tỉnh mỗi thành, phàm nơi nào có mạng lịnh và chiếu chỉ của vua thấu đến, thì có sự vui mừng và sự khoái lạc cho dân Giu-đa, bữa tiệc yến và một ngày ăn lễ. Có nhiều kẻ trong các dân tộc của xứ nhập bọn lại với dân Giu-đa; bởi vì chúng nó bắt sợ hãi dân Giu-đa lắm.|王 的 諭 旨 所 到 的 各 省 各 城 、 猶 大 人 都 歡 喜 快 樂 、 設 擺 筵 宴 、 以 那 日 為 吉 日 。 那 國 的 人 民 、 有 許 多 因 懼 怕 猶 大 人 、 就 入 了 猶 大 籍 。

					Ê-xơ-tê 9				|
						以斯帖記 9					
Tháng mười hai là tháng A-đa, ngày mười ba, khi hầu gần ngày giờ phải thi hành mạng lịnh và chiếu chỉ của vua, tức nhằm ngày ấy mà kẻ cừu địch dân Giu-đa ham hố lấn lướt họ ,|十 二 月 、 乃 亞 達 月 、 十 三 日 、 王 的 諭 旨 將 要 舉 行 、 就 是 猶 大 人 的 仇 敵 盼 望 轄 制 他 們 的 日 子 、 猶 大 人 反 倒 轄 制 恨 他 們 的 人 ．
thì dân Giu-đa hiệp lại tại các thành, trong khắp các tỉnh của vua A-suê-ru, đặng tra tay vào những kẻ tìm làm hại mình; chẳng có ai chống trả nổi chúng, bởi vì các dân tộc bắt sợ hãi dân Giu-đa lắm.|猶 大 人 在 亞 哈 隨 魯 王 各 省 的 城 裡 聚 集 、 下 手 擊 殺 那 要 害 他 們 的 人 ． 無 人 能 敵 擋 他 們 、 因 為 各 族 都 懼 怕 他 們 。
Các đầu trưởng của những tỉnh, các quan trấn thủ, các quan cai quản, cùng những người coi việc vua, đều giúp đỡ dân Giu-đa, vì họ kính sợ Mạc-đô-chê.|各 省 的 首 領 總 督 省 長 和 辦 理 王 事 的 人 、 因 懼 怕 末 底 改 、 就 都 幫 助 猶 大 人 。
Vì Mạc-đô-chê vốn cao trọng trong cung vua, danh tiếng người đồn ra khắp các tỉnh, bởi người Mạc-đô-chê càng ngày càng cao trọng.|末 底 改 在 朝 中 為 大 、 名 聲 傳 遍 各 省 、 日 漸 昌 盛 。
Dân Giu-đa hãm đánh các thù nghịch mình bằng mũi gươm, giết chết và tuyệt diệt chúng nó; phàm kẻ nào ghét họ, thì họ đãi theo mặc ý mình muốn.|猶 大 人 用 刀 擊 殺 一 切 仇 敵 、 任 意 殺 滅 恨 他 們 的 人 ．
Tại kinh đô Su-sơ, dân Giu-đa đánh giết năm trăm người,|在 書 珊 城 、 猶 大 人 殺 滅 了 五 百 人 ．
và họ cũng giết Phạt-san-đa-tha, Đanh-phông, A-ba-tha,|又 殺 巴 珊 大 他 、 達 分 、 亞 斯 帕 他 、
Phô-ra-tha, A-đa-lia, A-ri-đa-tha,|破 拉 他 、 亞 大 利 雅 、 亞 利 大 他 、
Phạt-ma-sa-ta, A-ri-sai, A-ri-đai, và Va-giê-xa-tha,|帕 瑪 斯 他 、 亞 利 賽 、 亞 利 代 、 瓦 耶 撒 他 ．
tức là mười người con trai của Ha-man, cháu Ham-mê-đa-tha, là kẻ hãm hiếp dân Giu-đa; nhưng chúng không tra tay vào hóa tài.|這 十 人 都 是 哈 米 大 他 的 孫 子 、 猶 大 人 仇 敵 哈 曼 的 兒 子 ． 猶 大 人 卻 沒 有 下 手 奪 取 財 物 。
Trong ngày đó, người ta đem cho vua hay số những kẻ bị giết trong kinh đô Su-sơ.|當 日 將 書 珊 城 被 殺 的 人 數 、 呈 在 王 前 ．
Vua nói với hoàng hậu Ê-xơ-tê rằng: Dân Giu-đa đã giết chết tại trong kinh đô Su-sơ năm trăm người, và mười người con trai của Ha-man thay; lại trong các tỉnh của vua chúng còng đã làm chi nữa! Bây giờ nàng xin gì? Tất ta sẽ ban cho. Nàng còn cầu chi nữa, tất sẽ làm cho.|王 對 王 后 以 斯 帖 說 、 猶 大 人 在 書 珊 城 殺 滅 了 五 百 人 、 又 殺 了 哈 曼 的 十 個 兒 子 ． 在 王 的 各 省 不 知 如 何 呢 ． 現 在 你 要 甚 麼 、 我 必 賜 給 你 、 你 還 求 甚 麼 、 也 必 為 你 成 就 。
Bà Ê-xơ-tê thưa rằng: Nếu đẹp ý vua; xin hãy nhậm cho ngày mai dân Giu-đa ở tại Su-sơ cũng làm như chiếu chỉ về ngày nay; và cho phép treo nơi mộc hình mười con trai của Ha-man.|以 斯 帖 說 、 王 若 以 為 美 、 求 你 准 書 珊 的 猶 大 人 、 明 日 也 照 今 日 的 旨 意 行 、 並 將 哈 曼 十 個 兒 子 的 屍 首 、 挂 在 木 架 上 。
Vua bèn truyền lịnh làm như vậy; có hạ chiếu chỉ truyền ra trong Su-sơ, và người ta treo mười con trai của Ha-man.|王 便 允 准 如 此 行 ． 旨 意 傳 在 書 珊 ． 人 就 把 哈 曼 十 個 兒 子 的 屍 首 挂 起 來 了 。
Dân Giu-đa ở tại Su-sơ cũng hiệp lại trong ngày mười bốn thánh của A-đa, và giết ba trăm người tại Su-sơ; nhưng chúng không tra tay vào hóa tài.|亞 達 月 十 四 日 、 書 珊 的 猶 大 人 又 聚 集 在 書 珊 、 殺 了 三 百 人 ． 卻 沒 有 下 手 奪 取 財 物 。
