
					II Sa-mu-ên 1				|
Đa-vít và cả nhà Y-sơ-ra-ên đều múa hát trước mặt Đức Giê-hô-va với đủ thứ nhạc khí bằng gỗ bá hương, đờn cầm, đờn sắt, trống, bạt, và mã la.|大 衛 和 以 色 列 的 全 家 、 在 耶 和 華 面 前 用 松 木 製 造 的 各 樣 樂 器 、 和 琴 、 瑟 、 鼓 、 鈸 、 鑼 、 作 樂 跳 舞 。
Khi đến sân đạp lúc của Na-côn, U-xa giơ tay lên nắm hòm của Đức Chúa Trời, bởi vì những con bò vấp ngã.|到 了 拿 艮 的 禾 場 、 因 為 牛 失 前 蹄 、 〔 或 作 驚 跳 〕 烏 撒 就 伸 手 扶 住 　 神 的 約 櫃 。
Cơn thạnh nộ của Đức Giê-hô-va bèn nổi phừng cùng U-xa; Đức Chúa Trời hành hại người vì cớ lầm lỗi người, và người chết tại đó, gần bên hòm của Đức Chúa Trời.|　 神 耶 和 華 向 烏 撒 發 怒 、 因 這 錯 誤 擊 殺 他 、 他 就 死 在 　 神 的 約 櫃 旁 。
Đa-vít lấy làm buồn thảm, vì Đức Giê-hô-va đã hành hại U-xa, và người ta gọi chỗ ấy là Hành hại U-xa cho đến ngày nay.|大 衛 因 耶 和 華 擊 殺 〔 原 文 作 闖 殺 〕 烏 撒 、 心 裡 愁 煩 、 就 稱 那 地 方 為 毘 列 斯 烏 撒 、 直 到 今 日 。
Trong ngày đó, Đa-vít sợ Đức Giê-hô-va và nói rằng: Hòm của Đức Giê-hô-va sẽ thế nào vào nhà ta được?|那 日 大 衛 懼 怕 耶 和 華 、 說 、 耶 和 華 的 約 櫃 怎 可 運 到 我 這 裡 來 。
Vậy Đa-vít không muốn để hòm của Đức Giê-hô-va đến nhà mình tại trong thành Đa-vít; bèn biểu dẫn vào trong nhà Ô-bết-Ê-đôm, là người Gát.|於 是 大 衛 不 肯 將 耶 和 華 的 約 櫃 運 進 大 衛 的 城 、 卻 運 到 迦 特 人 、 俄 別 以 東 的 家 中 。
Như vậy, hòm của Đức Giê-hô-va ở ba tháng trong nhà Ô-bết-Ê-đôm, người Gát; Đức Giê-hô-va ban phước cho Ô-bết-Ê-đôm và cả nhà người.|耶 和 華 的 約 櫃 在 迦 特 人 俄 別 以 東 家 中 三 個 月 ． 耶 和 華 賜 福 給 俄 別 以 東 和 他 的 全 家 。
Người ta đến nói cùng vua Đa-vít rằng: Đức Giê-hô-va đã ban phước cho nhà Ô-bết-Ê-đôm và mọi vật thuộc về người, vì cớ hòm của Đức Chúa Trời. Đa-vít bèn đi thỉnh hòm của Đức Chúa Trời ở nhà Ô-bết-Ê-đôm đến trong thành Đa-vít cách rất vui mừng.|有 人 告 訴 大 衛 王 說 、 耶 和 華 因 為 約 櫃 、 賜 福 給 俄 別 以 東 的 家 、 和 一 切 屬 他 的 ． 大 衛 就 去 、 歡 歡 喜 喜 的 將 　 神 的 約 櫃 、 從 俄 別 以 東 家 中 抬 到 大 衛 的 城 裡 。
Khi những người khiêng hòm của Đức Chúa Trời đã đi sáu bước, thì Đa-vít tế một con bò đực và một con thú mập béo.|抬 耶 和 華 約 櫃 的 人 走 了 六 步 、 大 衛 就 獻 牛 、 與 肥 羊 為 祭 。
Đa-vít mặc áo ê-phót vải gai, nhảy múa hết sức tại trước mặt Đức Giê-hô-va.|大 衛 穿 著 細 麻 布 的 以 弗 得 、 在 耶 和 華 面 前 極 力 跳 舞 。
Ay Đa-vít và cả nhà Y-sơ-ra-ên lấy tiếng vui mừng và tiếng kèn thổi mà thỉnh hòm của Đức Giê-hô-va lên là như vậy.|這 樣 、 大 衛 和 以 色 列 的 全 家 、 歡 呼 吹 角 、 將 耶 和 華 的 約 櫃 抬 上 來 。
Nhưng khi hòm của Đức Giê-hô-va vào thành Đa-vít, thì Mi-canh, con gái của Sau-lơ, dòm ngang qua cửa sổ, thấy Đa-vít múa nhảy trước mặt Đức Giê-hô-va, thì trong lòng khinh bỉ người.|耶 和 華 的 約 櫃 進 了 大 衛 城 的 時 候 、 掃 羅 的 女 兒 米 甲 、 從 窗 戶 裡 觀 看 、 見 大 衛 王 在 耶 和 華 面 前 踴 躍 跳 舞 、 心 裡 就 輕 視 他 。
Vậy, chúng đem hòm của Đức Giê-hô-va vào, đặt tại chỗ, giữa trại Đa-vít đã dựng cho hòm đó; rồi Đa-vít dâng của lễ thiêu và của lễ thù ân tại trước mặt Đức Giê-hô-va.|眾 人 將 耶 和 華 的 約 櫃 請 進 去 、 安 放 在 所 豫 備 的 地 方 、 就 是 在 大 衛 所 搭 的 帳 幕 裡 ． 大 衛 在 耶 和 華 面 前 、 獻 燔 祭 和 平 安 祭 。
Khi Đa-vít đã dâng của lễ thiêu và các của lễ thù ân, thì người nhơn danh Đức Giê-hô-va vạn quân mà chúc phước cho dân sự;|大 衛 獻 完 了 燔 祭 和 平 安 祭 、 就 奉 萬 軍 之 耶 和 華 的 名 給 民 祝 福 ．
người phát cho hết thảy dân chúng Y-sơ-ra-ên, bất luận nam hay nữ, mỗi người một ổ bánh, một miếng thịt, và một bánh nho. Đoạn, hết thảy ai về nhà nấy.|並 且 分 給 以 色 列 眾 人 、 無 論 男 女 、 每 人 一 個 餅 、 一 塊 肉 、 一 個 葡 萄 餅 ． 眾 人 就 各 回 各 家 去 了 。
Đa-vít cũng trở về đặng chúc phước cho nhà mình; nhưng Mi-canh, con gái của Sau-lơ, đến đón người, mà nói rằng: Hôm nay vua Y-sơ-ra-ên được vinh hiển thay, mà ở trần trước mặt các con đòi của tôi tớ vua, làm như một kẻ không ra gì vậy!|大 衛 回 家 要 給 眷 屬 祝 福 。 掃 羅 的 女 兒 米 甲 、 出 來 迎 接 他 、 說 、 以 色 列 王 今 日 在 臣 僕 的 婢 女 眼 前 露 體 、 如 同 一 個 輕 賤 人 無 恥 露 體 一 樣 、 有 好 大 的 榮 耀 阿 。
Đa-vít đáp với Mi-canh rằng: Ay tại trước mặt Đức Giê-hô-va, là Đấng đã chọn lấy ta làm hơn cha nàng và cả nhà người, lập ta làm vua chúa Y-sơ-ra-ên, là dân của Đức Giê-hô-va; phải, trước mặt Đức Giê-hô-va, ta có hát múa.|大 衛 對 米 甲 說 、 這 是 在 耶 和 華 面 前 ． 耶 和 華 已 揀 選 我 、 廢 了 你 父 和 你 父 的 全 家 、 立 我 作 耶 和 華 民 以 色 列 的 君 、 所 以 我 必 在 耶 和 華 面 前 跳 舞 。
Ta sẽ hạ mình xuống nhiều hơn nữa, tự xem mình là hèn mạt; dầu vậy, những con đòi nàng nói đó lại sẽ tôn kính ta.|我 也 必 更 加 卑 微 、 自 己 看 為 輕 賤 ． 你 所 說 的 那 些 婢 女 、 他 們 倒 要 尊 敬 我 。
Vì vậy, Mi-canh, con gái Sau-lơ, không sanh con cho đến ngày nàng thác.|掃 羅 的 女 兒 米 甲 、 直 到 死 日 、 沒 有 生 養 兒 女 。

					II Sa-mu-ên 7				|
						撒母耳記下 7					
Khi vua đã ngự trong cung mình, và Đức Giê-hô-va đã giải cứu người khỏi các kẻ thù nghịch chung quanh mình, khiến cho người được bình an,|王 住 在 自 己 宮 中 、 耶 和 華 使 他 安 靖 、 不 被 四 圍 的 仇 敵 擾 亂 。
thì vua nói cùng tiên tri Na-than rằng: Hãy xem, ta ngự trong cái cung bằng bá hương, còn hòm của Đức Chúa Trời lại ở dưới màn trướng.|那 時 、 王 對 先 知 拿 單 說 、 看 哪 、 我 住 在 香 柏 木 的 宮 中 、 　 神 的 約 櫃 反 在 幔 子 裡 。
Na-than thưa cùng vua rằng: Hễ trong lòng vua có ý làm gì, thì hãy làm, vì Đức Giê-hô-va ở cùng vua.|拿 單 對 王 說 、 你 可 以 照 你 的 心 意 而 行 、 因 為 耶 和 華 與 你 同 在 。
Nhưng trong lúc ban đêm, có lời của Đức Giê-hô-va phán cùng Na-than rằng:|當 夜 耶 和 華 的 話 臨 到 拿 單 說 、
Hãy đi nói cùng Đa-vít, tôi tớ ta, rằng: Đức Giê-hô-va phán như vầy: Người há sẽ xây cho ta một cái đền để ta ngự tại đó sao?|你 去 告 訴 我 僕 人 大 衛 說 、 耶 和 華 如 此 說 、 你 豈 可 建 造 殿 宇 給 我 居 住 呢 。
Ngươi biết từ ngày ta đưa dân Y-sơ-ra-ên ra khỏi xứ Ê-díp-tô cho đến ngày nay, ta chẳng có ngự trong đền nào, nhưng hằng đi đó đây dưới trại và nhà tạm.|自 從 我 領 以 色 列 人 出 埃 及 直 到 今 日 、 我 未 曾 住 過 殿 宇 、 常 在 會 幕 和 帳 幕 中 行 走 。
Khắp nơi nào ta ngự qua với dân Y-sơ-ra-ên, ta há có phán lời gì cùng một trưởng nào trong các chi phái Y-sơ-ra-ên, là kẻ ta dặn chăn dân sự ta, sao? Ta há có phán cùng chúng nó rằng: Cớ sao các ngươi không dựng cho ta một đền thờ bằng gỗ bá hương?|凡 我 同 以 色 列 人 所 走 的 地 方 、 我 何 曾 向 以 色 列 一 支 派 的 士 師 、 就 是 我 吩 咐 牧 養 我 民 以 色 列 的 、 說 、 你 們 為 何 不 給 我 建 造 香 柏 木 的 殿 宇 呢 。
Vậy bây giờ, ngươi hãy nói cùng Đa-vít, kẻ tôi tớ ta, như vầy: Đức Giê-hô-va vạn quân có phán như vầy: Ta đã gọi ngươi từ giữa đồng cỏ, từ nơi ngươi chăn chiên, đặng lập ngươi làm kẻ dẫn dắt dân Y-sơ-ra-ên của ta.|現 在 你 要 告 訴 我 僕 人 大 衛 說 、 萬 軍 之 耶 和 華 如 此 說 、 我 從 羊 圈 中 將 你 召 來 、 叫 你 不 再 跟 從 羊 群 、 立 你 作 我 民 以 色 列 的 君 。
Ta đã ở cùng ngươi trong mọi công việc ngươi làm, tuyệt diệt các kẻ thù nghịch ngươi khỏi trước mặt ngươi, khiến cho ngươi được danh lớn như danh người sang trọng của thế gian.|你 無 論 往 那 裡 去 、 我 常 與 你 同 在 、 剪 除 你 的 一 切 仇 敵 ． 我 必 使 你 得 大 名 、 好 像 世 上 大 大 有 名 的 人 一 樣 。
Ta đã sắm sẵn một chỗ cho dân Y-sơ-ra-ên ta, làm cho nó châm rễ tại đó, và nó sẽ ở nơi mình, chẳng còn bị quấy rối nữa; các con loài ác sẽ chẳng hà hiếp nó nữa như ngày xưa,|我 必 為 我 民 以 色 列 選 定 一 個 地 方 、 栽 培 他 們 、 使 他 們 住 自 己 的 地 方 、 不 再 遷 移 ． 兇 惡 之 子 、 也 不 像 從 前 擾 害 他 們 ．
tức là như lúc lúc ta lập quan xét trị dân Y-sơ-ra-ên ta. Ta đã giải cứu ngươi khỏi các thù nghịch ngươi mà ban bình an cho ngươi. Rốt lại, Đức Giê-hô-va phán hứa rằng Ngài sẽ dựng cho ngươi một cái nhà.|並 不 像 我 命 士 師 治 理 我 民 以 色 列 的 時 候 一 樣 ． 我 必 使 你 安 靖 、 不 被 一 切 仇 敵 擾 亂 ． 並 且 我 耶 和 華 應 許 你 、 必 為 你 建 立 家 室 。
Khi các ngày ngươi đã mãn, và ngươi ngủ với các tổ phụ ngươi, thì ta sẽ lập dòng giống ngươi kế vị ngươi, là dòng giống do ngươi sanh ra, và ta sẽ khiến cho nước nó bền vững.|你 壽 數 滿 足 、 與 你 列 祖 同 睡 的 時 候 、 我 必 使 你 的 後 裔 接 續 你 的 位 、 我 也 必 堅 定 他 的 國 。
Nó sẽ xây một đền thờ cho danh ta, và ta sẽ khiến cho ngôi cùng nước nó bền đổ đời đời.|他 必 為 我 的 名 建 造 殿 宇 、 我 必 堅 定 他 的 國 位 、 直 到 永 遠 。
Ta sẽ làm cha nó, nó sẽ làm con ta. Nếu nó phạm tội ác, tất ta sẽ sửa phạt nó bằng roi và thương vít loài người;|我 要 作 他 的 父 、 他 要 作 我 的 子 、 他 若 犯 了 罪 、 我 必 用 人 的 杖 責 打 他 、 用 人 的 鞭 責 罰 他 。
nhưng ta sẽ không rút ân điển ta khỏi nó như ta rút khỏi Sau-lơ, là kẻ ta đã trừ diệt khỏi trước mặt ngươi.|但 我 的 慈 愛 仍 不 離 開 他 、 像 離 開 在 你 面 前 所 廢 棄 的 掃 羅 一 樣 。
Như vậy, nhà ngươi và nước ngươi được bền đổ trước mặt ngươi đời đời; ngôi ngươi sẽ được vững lập đến mãi mãi.|你 的 家 和 你 的 國 、 必 在 我 〔 原 文 作 你 〕 面 前 永 遠 堅 立 ． 你 的 國 位 也 必 堅 定 、 直 到 永 遠 。
Na-than đến thuật lại cho Đa-vít mọi lời nầy và sự mặc thị nầy.|拿 單 就 按 這 一 切 話 、 照 這 默 示 、 告 訴 大 衛 。
Vua Đa-vít bèn đi đến hầu trước mặt Đức Giê-hô-va, mà nói rằng: Lạy Chúa Giê-hô-va, tôi là ai, họ hàng tôi là gì, mà Chúa đã đem tôi đến nơi nầy?|於 是 大 衛 王 進 去 、 坐 在 耶 和 華 面 前 、 說 主 耶 和 華 阿 、 我 是 誰 、 我 的 家 算 甚 麼 、 你 竟 使 我 到 這 地 步 呢 。
Lạy Chúa Giê-hô-va, điều đó Chúa há còn cho là nhỏ mọn sao, nên Chúa lại nói về nhà của tôi tớ Chúa trong buổi lâu về sau? Lạy Chúa Giê-hô-va, điều nầy há theo cách thường của loài người sao?|主 耶 和 華 阿 、 這 在 你 眼 中 還 看 為 小 、 又 應 許 你 僕 人 的 家 至 於 久 遠 。 主 耶 和 華 阿 、 這 豈 是 人 所 常 遇 的 事 麼 。
Đa-vít còn nói thêm được lời chi nữa? Oi Chúa Giê-hô-va! Chúa biết kẻ tôi tớ Chúa.|主 耶 和 華 阿 、 我 還 有 何 言 可 以 對 你 說 呢 、 因 為 你 知 道 你 的 僕 人 。
Ay vì lời Chúa và tùy theo lòng Ngài mà Chúa đã làm những việc lớn nầy, và tỏ cho kẻ tôi tớ Chúa biết.|你 行 這 大 事 使 僕 人 知 道 、 是 因 你 所 應 許 的 話 、 也 是 照 你 的 心 意 。
Vì vậy, Giê-hô-va Đức Chúa Trời ôi! Ngài là rất lớn, chẳng có ai giống như Ngài, và chẳng có Đức Chúa Trời nào khác hơn Ngài, như lỗ tai chúng tôi đã nghe.|主 耶 和 華 阿 、 你 本 為 大 ． 照 我 們 耳 中 聽 見 沒 有 可 比 你 的 ． 除 你 以 外 再 無 　 神 。
Chớ thì trên khắp thế gian có dân tộc nào giống như dân của Chúa, là Y-sơ-ra-ên, một dân tộc mà Đức Chúa Trời đã đi chuộc lại đặng làm dân của Ngài? Hầu cho Chúa được danh lớn, nên Chúa nhơn vì chúng tôi, nhơn vì xứ của Ngài, mà làm việc lớn lao đáng sợ nầy: Chúa đã đuổi những dân tộc và thần tượng chúng nó khỏi trước mặt dân sự mà Chúa đã chuộc ra khỏi xứ Ê-díp-tô, đặng nó thuộc riêng về Ngài.|世 上 有 何 民 能 比 你 的 民 以 色 列 呢 。 你 從 埃 及 救 贖 他 們 作 自 己 的 子 民 、 又 在 你 贖 出 來 的 民 面 前 行 大 而 可 畏 的 事 、 驅 逐 列 邦 人 和 他 們 的 神 、 顯 出 你 的 大 名 。
Vì Chúa đã lập dân Y-sơ-ra-ên làm dân của Chúa đời đời; còn Chúa, ôi Đức Giê-hô-va! làm Đức Chúa Trời của dân đó.|你 曾 堅 立 你 的 民 以 色 列 、 作 你 的 子 民 直 到 永 遠 ． 你 耶 和 華 也 作 了 他 們 的 　 神 。
Vậy, bây giờ, Giê-hô-va Đức Chúa Trời ôi! xin hãy làm cho vững chắc đến đời đời những lời Chúa đã phán về kẻ tôi tớ Chúa và về nhà nó, cùng làm y như Chúa đã phán vậy.|耶 和 華 　 神 阿 、 你 所 應 許 僕 人 、 和 僕 人 家 的 話 、 求 你 堅 定 直 到 永 遠 ． 照 你 所 說 的 而 行 。
Nguyện danh Chúa được ngợi khen mãi mãi, và người ta nói rằng: Giê-hô-va vạn quân là Đức Chúa Trời của Y-sơ-ra-ên. Nguyện nhà Đa-vít, là kẻ tôi tớ Chúa, được vững bền trước mặt Chúa!|願 人 永 遠 尊 你 的 名 為 大 、 說 萬 軍 之 耶 和 華 是 治 理 以 色 列 的 　 神 ． 這 樣 、 你 僕 人 大 衛 的 家 必 在 你 面 前 堅 立 。
Vả lại, hỡi Giê-hô-va vạn quân! là Đức Chúa Trời của Y-sơ-ra-ên, chính Chúa đã phán lời hứa nầy cùng kẻ tôi tớ Chúa rằng: Ta sẽ dựng nhà cho ngươi. Bởi cớ đó, kẻ tôi tớ Chúa nói dạn dĩ mà cầu xin Chúa mấy lời nầy.|萬 軍 之 耶 和 華 以 色 列 的 　 神 阿 、 因 你 啟 示 你 的 僕 人 、 說 、 我 必 為 你 建 立 家 室 、 所 以 僕 人 大 膽 向 你 如 此 祈 禱 。
Vậy bây giờ, hỡi Chúa Giê-hô-va! Ngài là Đức Chúa Trời, và các lời của Ngài là chơn thật; Chúa đã hứa cùng kẻ tôi tớ Chúa làm cho nó những ơn phước nầy.|主 耶 和 華 阿 、 惟 有 你 是 　 神 ． 你 的 話 是 真 實 的 、 你 也 應 許 將 這 福 氣 賜 給 僕 人 。
Vậy, xin Chúa ban phước cho nhà kẻ tôi tớ Chúa, để nó còn tại trước mặt Chúa đến đời đời; vì, hỡi Chúa Giê-hô-va! ấy là Chúa đã phán; nguyện nhà kẻ tôi tớ Chúa được hưởng phước của Chúa đến mãi mãi.|現 在 求 你 賜 福 與 僕 人 的 家 、 可 以 永 存 在 你 面 前 ． 主 耶 和 華 阿 、 這 是 你 所 應 許 的 、 願 你 永 遠 賜 福 與 僕 人 的 家 。

					II Sa-mu-ên 8				|
						撒母耳記下 8					
Sau điều đó, Đa-vít đánh bại dân Phi-li-tin, bắt phục chúng nó, và cất quyền kinh đô khỏi chúng nó.|此 後 大 衛 攻 打 非 利 士 人 、 把 他 們 治 服 ． 從 他 們 手 下 奪 取 了 京 城 的 權 柄 。 〔 原 文 作 母 城 的 嚼 環 〕
Người cũng đánh dân Mô-áp, bắt chúng nằm dài trên đất mà lấy dây đo: đo hai dây để giết, rồi đo một dây để sống. Như vậy, dân Mô-áp phải phục Đa-vít và đóng thuế cho người.|又 攻 打 摩 押 人 、 使 他 們 躺 臥 在 地 上 、 用 繩 量 一 量 、 量 二 繩 的 殺 了 、 量 一 繩 的 存 留 ． 摩 押 人 就 歸 服 大 衛 、 給 他 進 貢 。
Đa-vít cũng đánh Ha-đa-đê-xe, con trai của Rê-hốp, vua Xô-ba, đương khi người đi đặng lấy lại quyền quản hạt trên sông Ơ-phơ-rát.|瑣 巴 王 利 合 的 兒 子 哈 大 底 謝 、 往 大 河 去 、 要 奪 回 他 的 國 權 、 大 衛 就 攻 打 他 、
Đa-vít bắt của người một ngày bảy trăm lính kị và hai mươi ngày lính bộ, cắt nhượng ngựa của các xe, chỉ để dành cho chúng nó một trăm cổ xe mà thôi.|擒 拿 了 他 的 馬 兵 一 千 七 百 、 步 兵 二 萬 ． 將 拉 戰 車 的 馬 砍 斷 蹄 筋 、 但 留 下 一 百 輛 車 的 馬 。
Dân Sy-ri ở Đa-mách đến tiếp trợ Ha-đa-đê-xe, vua Xô-ba; Đa-vít bèn giết chúng nó hai mươi hai ngàn ngươi.|大 馬 色 的 亞 蘭 人 來 幫 助 瑣 巴 王 哈 大 底 謝 、 大 衛 就 殺 了 亞 蘭 人 二 萬 二 千 。
Kế đó, người lập đồn trong Đa-mách xứ Sy-ri; dân Sy-ri phục dịch Đa-vít và nộp thuế. Hễ nơi nào Đa-vít đi đến, thì Đức Giê-hô-va cho người được thắng.|於 是 大 衛 在 大 馬 色 的 亞 蘭 地 設 立 防 營 ． 亞 蘭 人 就 歸 服 他 給 他 進 貢 。 大 衛 無 論 往 那 裡 去 、 耶 和 華 都 使 他 得 勝 。
Đa-vít lấy những thuẫn bằng vàng của các đầy tớ Ha-đa-đê-xe mang, mà gởi đến Giê-ru-sa-lem.|他 奪 了 哈 大 底 謝 臣 僕 所 拿 的 金 盾 牌 、 帶 到 耶 路 撒 冷 。
Ở Bê-tách và Bê-rô-tôi, hai thành của Ha-đa-đê-xe, vua cũng đoạt lấy đồng rất nhiều.|大 衛 王 又 從 屬 哈 大 底 謝 的 比 他 、 和 比 羅 他 城 中 、 奪 取 了 許 多 的 銅 。
Thôi, vua Ha-mát, hay rằng vua Đa-vít đánh bại cả đạo binh của Ha-đa-đê-xe,|哈 馬 王 陀 以 聽 見 大 衛 殺 敗 哈 大 底 謝 的 全 軍 、
bèn sai Giô-ram, con trai mình, đến vua Đa-vít đặng chào mừng, và tặng khen người đã đánh bại Ha-đa-đê-xe. Vì Ha-đa-đê-xe hằng đánh giặc cùng Thôi. Giô-ra đem dâng những chậu bằng bạc, bằng vàng và bằng đồng.|就 打 發 他 兒 子 約 蘭 去 見 大 衛 王 、 問 他 的 安 、 為 他 祝 福 、 因 為 他 殺 敗 了 哈 大 底 謝 、 原 來 陀 以 與 哈 大 底 謝 常 常 爭 戰 。 約 蘭 帶 了 金 銀 銅 的 器 皿 來 。
Vua Đa-vít cũng biệt các món nầy riêng ra thánh cho Đức Giê-hô-va, y như người đã biệt riêng ra thánh bạc và vàng của các dân tộc mà người đã bắt phục:|大 衛 王 將 這 些 器 皿 、 和 他 治 服 各 國 所 得 來 的 金 銀 、 都 分 別 為 聖 獻 給 耶 和 華 ．
tức là dân Sy-ri, dân Mô-áp, dân Am-môn, dân Phi-li-tin, và dân A-ma-léc. Người cũng làm như vậy về của giặc, lấy nơi Ha-đa-đê-xe, con trai của Rê-hốp, vua xứ Xô-ba.|就 是 從 亞 蘭 、 摩 押 、 亞 捫 、 非 利 士 、 亞 瑪 力 人 所 得 來 的 、 以 及 從 瑣 巴 王 利 合 的 兒 子 哈 大 底 謝 所 掠 之 物 。
Sau khi thắng dân Sy-ri trở về, Đa-vít lại nổi danh tiếng, vì đánh giết một vạn tám ngàn dân Ê-đôm trong trũng muối.|大 衛 在 鹽 谷 擊 殺 了 亞 蘭 〔 或 作 以 東 見 詩 篇 六 十 篇 詩 題 〕 一 萬 八 千 人 回 來 、 就 得 了 大 名 。
Người lập đồn trong khắp xứ Ê-đôm, và cả xứ Ê-đôm phải phục Đa-vít. Như vậy, Đức Giê-hô-va khiến cho Đa-vít được thắng khắp nơi nào người đi đến.|又 在 以 東 全 地 設 立 防 營 ． 以 東 人 就 都 歸 服 大 衛 。 大 衛 無 論 往 那 裡 去 、 耶 和 華 都 使 他 得 勝 。
Đa-vít làm vua trên cả Y-sơ-ra-ên, cai trị cả dân sự mình cách ngay thẳng và công bình.|大 衛 作 以 色 列 眾 人 的 王 ． 又 向 眾 民 秉 公 行 義 。
Giô-áp, con trai Xê-ru-gia, làm quan tổng binh; Giô-sa-phát, con trai A-hi-lút, làm quan thái sử;|洗 魯 雅 的 兒 子 約 押 作 元 帥 ． 亞 希 律 的 兒 子 約 沙 法 作 史 官 ．
Xa-đốc, con trai A-bia-tha, làm thầy tế lễ; và Se-ra-gia làm ký lục;|亞 希 突 的 兒 子 撒 督 、 和 亞 比 亞 他 的 兒 子 亞 希 米 勒 、 作 祭 司 長 、 西 萊 雅 作 書 記 ．
Bê-na-gia, con trai Giê-hô-gia-đa, làm quan trưởng dân Kê-rê-thít và dân Phê-lê-thít; còn các con trai Đa-vít làm tể tướng vua.|耶 何 耶 大 的 兒 子 比 拿 雅 、 統 轄 基 利 提 人 、 和 比 利 提 人 、 大 衛 的 眾 子 都 作 領 袖 。

					II Sa-mu-ên 9				|
						撒母耳記下 9					
Bấy giờ, Đa-vít nói rằng: Có người nào của nhà Sau-lơ còn sống chăng? Ta muốn vì cớ Giô-na-than mà làm ơn cho người.|大 衛 問 說 、 掃 羅 家 還 有 剩 下 的 人 沒 有 、 我 要 因 約 拿 單 的 緣 故 向 他 施 恩 。
Vả, có một tôi tớ của nhà Sau-lơ, tên là Xíp-ba; người ta gọi nó đến cùng Đa-vít. Vua hỏi: Ngươi là Xíp-ba chăng? Người thưa: Phải, ấy là tôi, kẻ đầy tớ vua.|掃 羅 家 有 一 個 僕 人 、 名 叫 洗 巴 、 有 人 叫 他 來 見 大 衛 、 王 問 他 說 、 你 是 洗 巴 麼 、 回 答 說 、 僕 人 是 。
Vua tiếp rằng: Chẳng còn có người nào về nhà Sau-lơ sao? Ta muốn lấy ơn của Đức Chúa Trời mà đãi người. Xíp-ba thưa cùng vua rằng: Còn một người con trai của Giô-na-than bị tật hai chơn.|王 說 、 掃 羅 家 還 有 人 沒 有 、 我 要 照 　 神 的 慈 愛 恩 待 他 ． 洗 巴 對 王 說 、 還 有 約 拿 單 的 一 個 兒 子 、 是 瘸 腿 的 。
Vua hỏi rằng: Người ở đâu? Xíp-ba thưa rằng: Người ở trong nhà Ma-ki, con trai A-mi-ên, tại Lô-đê-ba.|王 說 、 他 在 那 裡 ． 洗 巴 對 王 說 、 他 在 羅 底 巴 亞 米 利 的 兒 子 瑪 吉 家 裡 。
Vua Đa-vít bèn sai tới nhà Ma-ki, con trai A-mi-ên, tại Lô-đê-ba, mà đòi người đến.|於 是 大 衛 王 打 發 人 去 、 從 羅 底 巴 亞 米 利 的 兒 子 瑪 吉 家 裡 召 了 他 來 。
Khi Mê-phi-bô-sết, con trai của Giô-na-than, cháu Sau-lơ, đã đến bên Đa-vít, thì sấp mình xuống đất và lạy. Đa-vít nói: Ớ Mê-phi-bô-sết! Người thưa: Có tôi tớ vua đây.|掃 羅 的 孫 子 約 拿 單 的 兒 子 米 非 波 設 來 見 大 衛 、 伏 地 叩 拜 ． 大 衛 說 、 米 非 波 設 ． 米 非 波 設 說 、 僕 人 在 此 。
Đa-vít nói cũng người rằng: Chớ sợ; ta muốn làm ơn cho ngươi vì cớ Giô-na-than, cha ngươi; ta sẽ trả lại cho ngươi những đất của Sau-lơ, ông nội ngươi, và ngươi sẽ ăn chung bàn ta luôn luôn.|大 衛 說 、 你 不 要 懼 怕 、 我 必 因 你 父 親 約 拿 單 的 緣 故 施 恩 與 你 、 將 你 祖 父 掃 羅 的 一 切 田 地 都 歸 還 你 、 你 也 可 以 常 與 我 同 席 喫 飯 。
Mê-phi-bô-sết bèn lạy, mà nói rằng: Kẻ tôi tớ vua là gì, mà vua lại đoái mắt đến một con chó chết, như tôi đây?|米 非 波 設 又 叩 拜 說 、 僕 人 算 甚 麼 、 不 過 如 死 狗 一 般 、 竟 蒙 王 這 樣 眷 顧 。
Vua bèn gọi Xíp-ba, tôi tớ của Sau-lơ, mà nói rằng: Ta đã ban cho con trai chủ ngươi mọi tài sản thuộc về Sau-lơ và nhà người.|王 召 了 掃 羅 的 僕 人 洗 巴 來 、 對 他 說 、 我 已 將 屬 掃 羅 和 他 的 一 切 家 產 、 都 賜 給 你 主 人 的 兒 子 了 。
Vậy, ngươi cùng các con trai và tôi tớ ngươi phải cày đất đó cho người, rồi nộp hoa lợi đất sanh sản, hầu cho con trai chủ ngươi có bánh ăn. Mê-phi-bô-sết, con trai chủ ngươi, sẽ ăn chung bàn ta luôn luôn. Vả Xíp-ba có mười lăm con trai và hai mươi tôi tớ.|你 和 你 的 眾 子 、 僕 人 、 要 為 你 主 人 的 兒 子 米 非 波 設 耕 種 田 地 、 把 所 產 的 拿 來 供 他 食 用 ． 他 卻 要 常 與 我 同 席 喫 飯 。 洗 巴 有 十 五 個 兒 子 、 二 十 個 僕 人 。
Xíp-ba thưa cùng vua rằng: Kẻ tôi tớ vua sẽ làm mọi điều vua chúa tôi dặn biểu. Ay vậy, Mê-phi-bô-sết ăn chung bàn Đa-vít như một con trai của vua vậy.|洗 巴 對 王 說 、 凡 我 主 我 王 吩 咐 僕 人 的 、 僕 人 都 必 遵 行 。 王 又 說 、 米 非 波 設 必 與 我 同 席 喫 飯 、 如 王 的 兒 子 一 樣 。
