
					Ru-tơ 1				|
Như vậy, Bô-ô lấy Ru-tơ làm vợ, người đi lại cùng nàng; Đức Giê-hô-va làm cho nàng được thọ thai và sanh một con trai.|於 是 波 阿 斯 娶 了 路 得 為 妻 、 與 他 同 房 、 耶 和 華 使 他 懷 孕 生 了 一 個 兒 子 。
Các người đờn bà nói cùng Na-ô-mi rằng: Đáng ngợi khen Đức Giê-hô-va chẳng từ chối cho bà một người có quyền chuộc lại; nguyện danh của người trở nên sang trọng nơi Y-sơ-ra-ên!|婦 人 們 對 拿 俄 米 說 、 耶 和 華 是 應 當 稱 頌 的 ． 因 為 今 日 沒 有 撇 下 你 使 你 無 至 近 的 親 屬 ． 願 這 孩 子 在 以 色 列 中 得 名 聲 ．
Nó sẽ an ủi lòng bà, dưỡng già bà; vì ấy là dân bà vẫn thương bà, đã sanh nó cho bà; nàng quí cho bà hơn bảy con trai.|他 必 提 起 你 的 精 神 、 奉 養 你 的 老 、 因 為 是 愛 慕 你 的 那 兒 婦 所 生 的 、 有 這 兒 婦 比 有 七 個 兒 子 還 好 。
Na-ô-mi bồng đứa trẻ, để vào lòng mình, và nuôi nó.|拿 俄 米 就 把 孩 子 抱 在 懷 中 、 作 他 的 養 母 。
Những người nữ lân cận đặt tên cho nó là Ô-bết, mà rằng: Một đứa trai đã sanh cho Na-ô-mi. Ô-bết là cha của Y-sai, ông của Đa-vít.|鄰 舍 的 婦 人 說 、 拿 俄 米 得 孩 子 了 ． 就 給 孩 子 起 名 叫 俄 備 得 、 這 俄 備 得 是 耶 西 的 父 、 耶 西 是 大 衛 的 父 。
Nầy là dòng dõi của Pha-rết: Pha-rết sanh Hết-rôn.|法 勒 斯 的 後 代 記 在 下 面 ． 法 勒 斯 生 希 斯 崙 、
Hết-rôn sanh Ram; Ram sanh A-mi-na-đáp;|希 斯 崙 生 蘭 、 蘭 生 亞 米 拿 達 、
A-mi-na-đáp sanh Na-ha-sôn; Na-ha-sôn sanh Sanh-môn;|亞 米 拿 達 生 拿 順 、 拿 順 生 撒 門 、
Sanh-môn sanh Bô-ô; Bô-ô sanh Ô-bết;|撒 門 生 波 阿 斯 、 波 阿 斯 生 俄 備 得 、
Ô-bết sanh Y-sai, và Y-sai sanh Đa-vít.|俄 備 得 生 耶 西 、 耶 西 生 大 衛 。
