
					Công Vụ Các Sứ đồ 1				|
Người chờ dậy và đi. Kìa, có một hoạn quan Ê-thi-ô-bi, làm quan hầu của Can-đác, nữ vương nước Ê-thi-ô-bi, coi sóc hết cả kho tàng bà, đã đến thành Giê-ru-sa-lem để thờ phượng,|腓 利 就 起 身 去 了 ． 不 料 、 有 一 個 埃 提 阿 伯 〔 即 古 實 見 以 賽 亞 十 八 章 一 節 〕 人 、 是 個 有 大 權 的 太 監 、 在 埃 提 阿 伯 女 王 干 大 基 的 手 下 總 管 銀 庫 、 他 上 耶 路 撒 冷 禮 拜 去 了 ．
khi trở về, ngồi trên xe mà đọc sách tiên tri Ê-sai.|現 在 回 來 、 在 車 上 坐 著 、 念 先 知 以 賽 亞 的 書 。
Đức Thánh Linh phán cùng Phi-líp rằng: Hãy lại gần và theo kịp xe đó.|聖 靈 對 腓 利 說 、 你 去 貼 近 那 車 走 。
Phi-líp chạy đến, nghe người Ê-thi-ô-bi đọc sách tiên tri Ê-sai, thì nói rằng: Ong hiểu lời mình đọc đó chăng?|腓 利 就 跑 到 太 監 那 裡 、 聽 見 他 念 先 知 以 賽 亞 的 書 、 便 問 他 說 、 你 所 念 的 、 你 明 白 麼 。
Hoạn quan trả lời rằng: Nếu chẳng ai dạy cho tôi, thể nào tôi hiểu được? Người bèn mời Phi-líp lên xe ngồi kề bên.|他 說 、 沒 有 人 指 教 我 、 怎 能 明 白 呢 。 於 是 請 腓 利 上 車 、 與 他 同 坐 。
Vả, chỗ người đọc trong Kinh Thánh là đoạn nầy: Người đã bị kéo đi như con chiên đến hàng làm thịt, Lại như chiên con câm trước mặt kẻ hớt lông, người chẳng mở miệng.|他 所 念 的 那 段 經 、 說 、 『 他 像 羊 被 牽 到 宰 殺 之 地 、 又 像 羊 羔 在 剪 毛 的 人 手 下 無 聲 、 他 也 是 這 樣 不 開 口 。
Trong khi người hèn hạ thì sự đoán xét Người đã bị cất đi. Còn ai sẽ kể đời của Người? Vì sự sống Người đã bị rút khỏi đất rồi.|他 卑 微 的 時 候 、 人 不 按 公 義 審 判 他 ． 〔 原 文 作 他 的 審 判 被 奪 去 〕 誰 能 述 說 他 的 世 代 、 因 為 他 的 生 命 從 地 上 奪 去 。 』
Hoạn quan cất tiếng nói cùng Phi-líp rằng: Tôi xin hỏi ông, đấng tiên tri đã nói điều đó về ai? Có phải nói về chính mình người chăng, hay là về người nào khác?|太 監 對 腓 利 說 、 請 問 、 先 知 說 這 話 、 是 指 著 誰 、 是 指 著 自 己 呢 、 是 指 著 別 人 呢 。
Phi-líp bèn mở miệng, bắt đầu từ chỗ Kinh Thánh đó mà rao giảng Đức Chúa Jêsus cho người.|腓 利 就 開 口 從 這 經 上 起 、 對 他 傳 講 耶 穌 。
Hai người đương đi dọc đường, gặp chỗ có nước, hoạn quan nói rằng: Nầy, nước đây, có sự gì ngăn cấm tôi chịu phép báp-tem chăng?|二 人 正 往 前 走 、 到 了 有 水 的 地 方 ． 太 監 說 、 看 哪 、 這 裡 有 水 、 我 受 洗 有 甚 麼 妨 礙 呢 。 〔 有 古 卷 在 此 有 若 是 一 心 相 信 〕
Phi-líp nói: Nếu ông hết lòng tin, điều đó có thể được. Hoạn quan trả lời rằng: Tôi tin rằng Đức Chúa Jêsus Christ là Con Đức Chúa Trời.|〔 腓 利 說 你 可 以 他 回 答 說 我 信 耶 穌 基 督 是 　 神 的 兒 子 〕
Người biểu dừng xe lại; rồi cả hai đều xuống nước, và Phi-líp làm phép báp-tem cho hoạn quan.|於 是 吩 咐 車 站 住 、 腓 利 和 太 監 二 人 同 下 水 裡 去 、 腓 利 就 給 他 施 洗 。
Khi ở dưới nước lên, thì Thánh Linh của Chúa đem Phi-líp đi; hoạn quan chẳng thấy người nữa, cứ hớn hở đi đường.|從 水 裡 上 來 、 主 的 靈 把 腓 利 提 了 去 、 太 監 也 不 再 見 他 了 、 就 歡 歡 喜 喜 的 走 路 。
Còn Phi-líp thì người ta thấy ở trong thành A-xốt; từ đó người đi đến thành Sê-sa-rê, cũng giảng Tin Lành khắp những thành nào mình đã ghé qua.|後 來 有 人 在 亞 鎖 都 遇 見 腓 利 、 他 走 遍 那 地 方 、 在 各 城 宣 傳 福 音 、 直 到 該 撒 利 亞 。

					Công Vụ Các Sứ đồ 9				|
						使徒行傳 9					
Bấy giờ, Sau-lơ chỉ hằng ngăm đe và chém giết môn đồ của Chúa không thôi, đến cùng thầy cả thượng phẩm,|掃 羅 仍 然 向 主 的 門 徒 、 口 吐 威 嚇 兇 殺 的 話 、 去 見 大 祭 司 、
xin người những bức thơ để gởi cho các nhà hội thành Đa-mách, hầu cho hễ gặp người nào thuộc về đạo bất kỳ đờn ông đờn bà, thì trói giải về thành Giê-ru-sa-lem.|求 文 書 給 大 馬 色 的 各 會 堂 、 若 是 找 著 信 奉 這 道 的 人 、 無 論 男 女 、 都 准 他 捆 綁 帶 到 耶 路 撒 冷 。
Nhưng Sau-lơ đang đi đường gần đến thành Đa-mách, thình lình có ánh sáng từ trời soi sáng chung quanh người.|掃 羅 行 路 、 將 到 大 馬 色 、 忽 然 從 天 上 發 光 、 四 面 照 著 他 ．
Người té xuống đất, và nghe có tiếng phán cùng mình rằng: Hỡi Sau-lơ, Sau-lơ, sao ngươi bắt bớ ta?|他 就 仆 倒 在 地 、 聽 見 有 聲 音 對 他 說 、 掃 羅 、 掃 羅 、 你 為 甚 麼 逼 迫 我 。
Người thưa rằng: Lạy Chúa, Chúa là ai? Chúa phán rằng: Ta là Jêsus mà ngươi bắt bớ;|他 說 、 主 阿 、 你 是 誰 。 主 說 、 我 就 是 你 所 逼 迫 的 耶 穌 ．
nhưng hãy đứng dậy, vào trong thành, người ta sẽ nói cho ngươi mọi điều phải làm.|起 來 、 進 城 去 、 你 所 當 作 的 事 、 必 有 人 告 訴 你 。
Những kẻ cùng đi với người đều đứng lại sững sờ, nghe tiếng nói, mà chẳng thấy ai hết.|同 行 的 人 、 站 在 那 裡 、 說 不 出 話 來 、 聽 見 聲 音 、 卻 看 不 見 人 。
Sau-lơ chờ dậy khỏi đất, mắt dẫu mở, nhưng không thấy chi cả; người ta bèn cầm tay dắt người đến thành Đa-mách;|掃 羅 從 地 上 起 來 、 睜 開 眼 睛 、 竟 不 能 看 見 甚 麼 ． 有 人 拉 他 的 手 、 領 他 進 了 大 馬 色 ．
người ở đó trong ba ngày chẳng thấy, chẳng ăn và cũng chẳng uống.|三 日 不 能 看 見 、 也 不 喫 、 也 不 喝 。
Vả, tại Đa-mách có một môn đồ tên là A-na-nia. Chúa phán cùng người trong sự hiện thấy rằng: Hỡi A-na-nia! Người thưa rằng: Lạy Chúa, có tôi đây.|當 下 在 大 馬 色 、 有 一 個 門 徒 、 名 叫 亞 拿 尼 亞 ． 主 在 異 象 中 對 他 說 、 亞 拿 尼 亞 ． 他 說 、 主 、 我 在 這 裡 。
Chúa phán rằng: Hãy chờ dậy, đi lên đường gọi là đường Ngay thẳng, tìm tên Sau-lơ, người Tạt-sơ, ở nhà Giu-đa; vì người đương cầu nguyện,|主 對 他 說 、 起 來 、 往 直 街 去 、 在 猶 大 的 家 裡 、 訪 問 一 個 大 數 人 名 叫 掃 羅 ． 他 正 禱 告 ．
và đã thấy một người, tên là A-na-nia, bước vào đặt tay trên mình, để cho người được sáng mắt lại.|又 看 見 了 一 個 人 、 名 叫 亞 拿 尼 亞 、 進 來 按 手 在 他 身 上 、 叫 他 能 看 見 。
A-na-nia thưa rằng: Lạy Chúa, tôi có nghe nhiều kẻ nói người nầy đã làm hại biết bao các đấng thánh của Chúa trong thành Giê-ru-sa-lem.|亞 拿 尼 亞 回 答 說 、 主 阿 、 我 聽 見 許 多 人 說 、 這 人 怎 樣 在 耶 路 撒 冷 多 多 苦 害 你 的 聖 徒 ．
Bây giờ người ở đây, có trọn quyền của các thầy tế lễ cả phó cho, đặng bắt trói hết thảy mọi người cầu khẩn đến danh Ngài.|並 且 他 在 這 裡 有 從 祭 司 長 得 來 的 權 柄 捆 綁 一 切 求 告 你 名 的 人 。
Nhưng Chúa phán rằng: Hãy đi, vì ta đã chọn người nầy làm một đồ dùng ta, để đem danh ta đồn ra trước mặt các dân ngoại, các vua, và con cái Y-sơ-ra-ên;|主 對 亞 拿 尼 亞 說 、 你 只 管 去 ． 他 是 我 所 揀 選 的 器 皿 、 要 在 外 邦 人 和 君 王 並 以 色 列 人 面 前 、 宣 揚 我 的 名 。
ta lại sẽ tỏ ra cho người biết phải chịu đau đớn vì danh ta là bao nả.|我 也 要 指 示 他 、 為 我 的 名 必 須 受 許 多 的 苦 難 。
A-na-nia bèn đi, vào nhà, rồi đặt tay trên mình Sau-lơ mà nói rằng: Hỡi anh Sau-lơ, Chúa là Jêsus nầy, đã hiện ra cùng anh trên con đường anh đi tới đây, đã sai tôi đến, hầu cho anh được sáng mắt lại và đầy Đức Thánh Linh.|亞 拿 尼 亞 就 去 了 、 進 入 那 家 、 把 手 按 在 掃 羅 身 上 說 、 兄 弟 掃 羅 、 在 你 來 的 路 上 、 向 你 顯 現 的 主 、 就 是 耶 穌 、 打 發 我 來 、 叫 你 能 看 見 、 又 被 聖 靈 充 滿 。
Tức thì có cái chi như cái vảy từ mắt người rớt xuống, thì người được sáng mắt; rồi chờ dậy và chịu phép báp-tem.|掃 羅 的 眼 睛 上 、 好 像 有 鱗 立 刻 掉 下 來 、 他 就 能 看 見 、 於 是 起 來 受 了 洗 ．
Khi người ăn uống rồi, thì được mạnh khỏe lại. Sau-lơ ở lại một vài ngày với các môn đồ tại thành Đa-mách.|喫 過 飯 就 健 壯 了 。 掃 羅 和 大 馬 色 的 門 徒 同 住 了 些 日 子 ．
Người liền giảng dạy trong các nhà hội rằng Đức Chúa Jêsus là Con Đức Chúa Trời.|就 在 各 會 堂 裡 宣 傳 耶 穌 、 說 他 是 　 神 的 兒 子 。
Phàm những người nghe điều lấy làm lạ, mà nói rằng: Há chẳng phải chính người đó đã bắt bớ tại thành Giê-ru-sa-lem những kẻ cầu khẩn danh nầy, lại đến đây để trói họ điệu về cho các thầy tế lễ cả hay sao?|凡 聽 見 的 人 、 都 驚 奇 說 、 在 耶 路 撒 冷 殘 害 求 告 這 名 的 、 不 是 這 人 麼 ． 並 且 他 到 這 裡 來 、 特 要 捆 綁 他 們 帶 到 祭 司 長 那 裡 。
Còn Sau-lơ lần lần càng thêm vững chí, bắt bẻ những người Giu-đa ở tại thành Đa-mách, mà nói rõ rằng Đức Chúa Jêsus là Đấng Christ.|但 掃 羅 越 發 有 能 力 、 駁 倒 住 大 馬 色 的 猶 太 人 、 證 明 耶 穌 是 基 督 。
Cách lâu ngày, người Giu-đa mưu với nhau để giết Sau-lơ.|過 了 好 些 日 子 、 猶 太 人 商 議 要 殺 掃 羅 。
Nhưng có người báo tin cho Sau-lơ về cơ mưu chúng nó. Người ta lại giữ các cửa cả ngày và đêm đặng giết Sau-lơ.|但 他 們 的 計 謀 、 被 掃 羅 知 道 了 。 他 們 又 晝 夜 在 城 門 守 候 要 殺 他 ．
Song lúc ban đêm, các môn đồ lấy thúng dòng người xuống ngoài vách thành.|他 的 門 徒 就 在 夜 間 、 用 筐 子 把 他 從 城 牆 上 縋 下 去 。
Sau-lơ tới thành Giê-ru-sa-lem rồi, muốn hiệp với các môn đồ; nhưng hết thảy đều nghi sợ người, không tin là môn đồ.|掃 羅 到 了 耶 路 撒 冷 、 想 與 門 徒 結 交 ． 他 們 卻 都 怕 他 、 不 信 他 是 門 徒 。
Ba-na-ba bèn đem người đi, đưa đến các sứ đồ và thuật lại cho biết thể nào dọc đường Chúa đã hiện ra và phải cùng người, lại thể nào người đã giảng dạy cách bạo dạn về danh Đức Chúa Jêsus tại thành Đa-mách.|惟 有 巴 拿 巴 接 待 他 、 領 去 見 使 徒 、 把 他 在 路 上 怎 麼 看 見 主 、 主 怎 麼 向 他 說 話 、 他 在 大 馬 色 、 怎 麼 奉 耶 穌 的 名 放 膽 傳 道 、 都 述 說 出 來 。
Từ đó, Sau-lơ tới lui với môn đồ tại thành Giê-ru-sa-lem,|於 是 掃 羅 在 耶 路 撒 冷 、 和 門 徒 出 入 來 往 、
và nhơn danh Chúa mà nói cách dạn dĩ. Người cũng nói và cãi với những người Hê-lê-nít; nhưng bọn nầy tìm thế để hại mạng người.|奉 主 的 名 、 放 膽 傳 道 ． 並 與 說 希 利 尼 話 的 猶 太 人 、 講 論 辯 駁 ． 他 們 卻 想 法 子 要 殺 他 。
Các anh em hay điều đó, thì đem người đến thành Sê-sa-rê, và sai đi đất Tạt-sơ.|弟 兄 們 知 道 了 就 送 他 下 該 撒 利 亞 、 打 發 他 往 大 數 去 。
Ay vậy, Hội-thánh trong cả xứ Giu-đê, xứ Ga-li-lê và xứ Sa-ma-ri được hưởng sự bình an, gây dựng và đi trong đường kính sợ Chúa, lại nhờ Đức Thánh Linh vùa giúp, thì số của hội được thêm lên.|那 時 猶 太 、 加 利 利 、 撒 瑪 利 亞 、 各 處 的 教 會 都 得 平 安 、 被 建 立 ． 凡 事 敬 畏 主 、 蒙 聖 靈 的 安 慰 、 人 數 就 增 多 了 。
Vả, Phi -e-rơ đi khắp các xứ, cũng đến cùng các thánh đồ ở tại thành Ly-đa.|彼 得 周 流 四 方 的 時 候 、 也 到 了 居 住 呂 大 的 聖 徒 那 裡 。
Tại đó, Phi -e-rơ gặp một người đau bại tên là Ê-nê, nằm trên giường đã tám năm rồi.|遇 見 一 個 人 、 名 叫 以 尼 雅 、 得 了 癱 瘓 、 在 褥 子 上 躺 臥 八 年 。
Phi -e-rơ nói với người rằng: Hỡi Ê-nê, Đức Chúa Jêsus-Christ chữa cho ngươi được lành, hãy chờ dậy, dọn đẹp lấy giường ngươi. Tức thì, người vùng dậy.|彼 得 對 他 說 、 以 尼 雅 、 耶 穌 基 督 醫 好 你 了 ． 起 來 、 收 拾 你 的 褥 子 ． 他 就 立 刻 起 來 了 。
hết thảy dân ở Ly-đa và Sa-rôn thấy vậy đều trở về cùng Chúa.|凡 住 呂 大 和 沙 崙 的 人 、 都 看 見 了 他 、 就 歸 服 主 。
Tại thành Giốp-bê, trong đám môn đồ, có một người đờn bà tên là Ta-bi-tha, nghĩa là Đô-ca; người làm nhiều việc lành và hay bố thí.|在 約 帕 有 一 個 女 徒 、 名 叫 大 比 大 、 繙 希 利 尼 話 、 就 是 多 加 ． 〔 多 加 就 是 羚 羊 的 意 思 〕 他 廣 行 善 事 、 多 施 賙 濟 。
Trong lúc đó, người đau và chết. Người ta tắm rửa xác người, rồi để yên trong một phòng cao.|當 時 、 他 患 病 而 死 ． 有 人 把 他 洗 了 、 停 在 樓 上 。
Môn đồ nghe Phi -e-rơ đương ở tại Ly-đa, gần thành Giốp-bê, bèn sai hai người đi mời người đến chớ chậm trễ.|呂 大 原 與 約 帕 相 近 ． 門 徒 聽 見 彼 得 在 那 裡 、 就 打 發 兩 個 人 去 見 他 、 央 求 他 說 、 快 到 我 們 那 裡 去 、 不 要 耽 延 。
Phi -e-rơ đứng dậy đi với hai người. Khi tới nơi, người ta dẫn Phi -e-rơ đến chỗ phòng cao; hết thảy các đờn bà góa đều đến cùng người mà khóc, và giơ cho người xem bao nhiêu áo xống và áo ngoài, lúc Đô-ca còn sống ở với mình đã may cho.|彼 得 就 起 身 和 他 們 同 去 ． 到 了 、 便 有 人 領 他 上 樓 ． 眾 寡 婦 都 站 在 彼 得 旁 邊 哭 、 拿 多 加 與 他 們 同 在 時 、 所 做 的 裡 衣 外 衣 給 他 看 。
Phi -e-rơ biểu người ta ra ngoài hết, rồi quì gối mà cầu nguyện; đoạn, xây lại với xác, mà rằng: Hỡi Ta-bi-tha, hãy chờ dậy! Người mở mắt, thấy Phi -e-rơ, bèn ngồi dậy liền.|彼 得 叫 他 們 都 出 去 、 就 跪 下 禱 告 、 轉 身 對 著 死 人 說 、 大 比 大 、 起 來 、 他 就 睜 開 眼 睛 、 見 了 彼 得 、 便 坐 起 來 。
Phi -e-rơ đưa tay ra đỡ cho đứng dậy; đoạn gọi các thánh đồ và đờn bà góa đến, cho họ thấy người sống.|彼 得 伸 手 扶 他 起 來 、 叫 眾 聖 徒 和 寡 婦 進 去 、 把 多 加 活 活 的 交 給 他 們 。
Việc đó đồn ra khắp thành Giốp-bê; nên có nhiều người tin theo Chúa.|這 事 傳 遍 了 約 帕 、 就 有 許 多 人 信 了 主 。
Còn Phi -e-rơ ở tại nhà người thợ thuộc da, tên là Si-môn.|此 後 彼 得 在 約 帕 一 個 硝 皮 匠 西 門 的 家 裡 、 住 了 多 日 。

					Công Vụ Các Sứ đồ 10				|
						使徒行傳 10					
Trong thành Sê-sa-rê, có một người tên là Cọt-nây, làm đội trưởng của đội binh gọi là Y-ta-li.|在 該 撒 利 亞 有 一 個 人 、 名 叫 哥 尼 流 、 是 義 大 利 營 的 百 夫 長 。
Người vẫn là đạo đức, cùng cả nhà mình đều kính sợ Đức Chúa Trời, người hay bố thí cho dân, và cầu nguyện Đức Chúa Trời luôn không thôi.|他 是 個 虔 誠 人 、 他 和 全 家 都 敬 畏 　 神 、 多 多 賙 濟 百 姓 、 常 常 禱 告 　 神 。
Đương ban ngày, nhằm giờ thứ chín, người thấy rõ ràng trong sự hiện thấy có một vị thiên sứ của Đức Chúa Trời vào nhà mình và truyền rằng: Hỡi Cọt-nây!|有 一 天 、 約 在 申 初 、 他 在 異 象 中 、 明 明 看 見 　 神 的 一 個 使 者 進 去 、 到 他 那 裡 、 說 、 哥 尼 流 。
Đôi mắt người ngó chăm thiên sứ và run sợ lắm, thưa rằng: Lạy Chúa, có việc chi? Thiên sứ nói: Lời cầu nguyện cùng sự bố thí ngươi đã lên thấu Đức Chúa Trời, và Ngài đã ghi nhớ lấy.|哥 尼 流 定 睛 看 他 、 驚 怕 說 、 主 阿 、 甚 麼 事 呢 。 天 使 說 、 你 的 禱 告 、 和 你 的 賙 濟 、 達 到 　 神 面 前 已 蒙 記 念 了 。
Vậy, bây giờ hãy sai người đến thành Giốp-bê, mời Si-môn nào đó, cũng gọi là Phi -e-rơ.|現 在 你 當 打 發 人 往 約 帕 去 、 請 那 稱 呼 彼 得 的 西 門 來 ．
Người hiện trọ nơi Si-môn, là thợ thuộc da, nhà ở gần biển.|他 住 在 海 邊 一 個 硝 皮 匠 西 門 的 家 裡 ． 房 子 在 海 邊 上 。
Khi thiên sứ, là đấng truyền cho người, đã trở lui, thì Cọt-nây gọi hai người trong đám đầy tớ mình và một tên lính tin kính trong những lính thuộc về mình,|向 他 說 話 的 天 使 去 後 、 哥 尼 流 叫 了 兩 個 家 人 、 和 常 伺 候 他 的 一 個 虔 誠 兵 來 ．
mà thuật lại mọi điều cho họ nghe, rồi sai đến thành Giốp-bê.|把 這 事 都 述 說 給 他 們 聽 、 就 打 發 他 們 往 約 帕 去 。
Bữa sau, trong lúc ba người ấy đương đi đường và đã đến gần thành, vừa nhằm giờ thứ sáu Phi -e-rơ leo lên mái nhà để cầu nguyện.|第 二 天 、 他 們 行 路 將 近 那 城 、 彼 得 約 在 午 正 、 上 房 頂 去 禱 告 ．
người đói và thèm ăn; khi người ta đương dọn cho ăn, thì người bị ngất trí đi.|覺 得 餓 了 、 想 要 喫 ． 那 家 的 人 正 豫 備 飯 的 時 候 、 彼 得 魂 遊 象 外 ．
Người thấy trời mở ra, và có vật chi giống như một bức khăn lớn níu bốn chéo lên, giáng xuống và sa đến đất:|看 見 天 開 了 、 有 一 物 降 下 、 好 像 一 塊 大 布 ． 繫 著 四 角 、 縋 在 地 上 ．
thấy trong đó có những thú bốn cẳng, đủ mọi loài, côn trùng bò trên đất, và chim trên trời.|裡 面 有 地 上 各 樣 四 足 的 走 獸 、 和 昆 蟲 、 並 天 上 的 飛 鳥 。
Lại có tiếng phán cùng người rằng: Hỡi Phi -e-rơ, hãy dậy, làm thịt và ăn.|又 有 聲 音 向 他 說 、 彼 得 、 起 來 、 宰 了 喫 。
Song Phi -e-rơ thưa rằng: Lạy Chúa, chẳng vậy; vì tôi chẳng ăn giống gì dơ dáy chẳng sạch bao giờ.|彼 得 卻 說 、 主 阿 、 這 是 不 可 的 、 凡 俗 物 、 和 不 潔 淨 的 物 、 我 從 來 沒 有 喫 過 。
Tiếng đó lại phải cùng người lần thứ hai rằng: Phàm vật chi Đức Chúa Trời đã làm cho sạch, thì chớ cầm bằng dơ dáy.|第 二 次 有 聲 音 向 他 說 、 　 神 所 潔 淨 的 、 你 不 可 當 作 俗 物 。
Lời đó lặp lại ba lần; rồi vật ấy liền bị thâu lên trên trời.|這 樣 一 連 三 次 、 那 物 隨 即 收 回 天 上 去 了 。
Phi -e-rơ đương nghi ngờ về ý nghĩa của sự hiện thấy mình đã thấy, thì các người mà Cọt-nây sai đi đã hỏi thăm được nhà Si-môn, và tới đứng tận cửa.|彼 得 心 裡 正 在 猜 疑 之 間 、 不 知 所 看 見 的 異 象 是 甚 麼 意 思 、 哥 尼 流 所 差 來 的 人 、 已 經 訪 問 到 西 門 的 家 、 站 在 門 外 、
Họ kêu và hỏi đây có phải là nơi Si-môn tức Phi -e-rơ ở chăng.|喊 著 問 、 有 稱 呼 彼 得 的 西 門 住 在 這 裡 沒 有 。
Phi -e-rơ còn đương ngẫm nghĩ về sự hiện thấy đó, thì Đức Thánh Linh phán cùng người rằng: Kìa, có ba người đương tìm ngươi.|彼 得 還 思 想 那 異 象 的 時 候 、 聖 靈 向 他 說 、 有 三 個 人 來 找 你 ．
Vậy, hãy đứng dậy, xuống mà đi với họ, chớ hồ nghi, vì ta đã sai họ đó.|起 來 、 下 去 、 和 他 們 同 往 、 不 要 疑 惑 ． 因 為 是 我 差 他 們 來 的 。
Phi -e-rơ bèn xuống cùng họ mà nói rằng: Ta đây, là người các ngươi đương tìm; các người đến đây có việc gì?|於 是 彼 得 下 去 見 那 些 人 、 說 、 我 就 是 你 們 所 找 的 人 ． 你 們 來 是 為 甚 麼 緣 故 。
Họ trả lời rằng: Đội trưởng Cọt-nây là người công bình, kính sợ Đức Chúa Trời, cả dân Giu-đa đều làm chứng tốt về người, người đó đã bởi một thiên sứ thánh mà chịu mạng lịnh từ nơi cao rằng phải mời ông về nhà và nghe lời ông.|他 們 說 、 百 夫 長 哥 尼 流 是 個 義 人 、 敬 畏 　 神 、 為 猶 太 通 國 所 稱 讚 、 他 蒙 一 位 聖 天 使 指 示 、 叫 他 請 你 到 他 家 裡 去 、 聽 你 的 話 。
Phi -e-rơ bèn mời họ vào nhà và cho trọ tại đó. Ngày mai, Phi -e-rơ chờ dậy đi với họ, có một vài người trong hàng anh em từ Giốp-bê cùng đi với.|彼 得 就 請 他 們 進 去 、 住 了 一 宿 。 次 日 起 身 和 他 們 同 去 、 還 有 約 帕 的 幾 個 弟 兄 同 著 他 去 。
Bữa sau, đến thành Sê-sa-rê. Cọt-nây với bà con và bạn thiết đương chờ đợi.|又 次 日 、 他 們 進 入 該 撒 利 亞 。 哥 尼 流 已 經 請 了 他 的 親 屬 密 友 、 等 候 他 們 。
Phi -e-rơ vừa vào, thì Cọt-nây ra rước, phục xuống dưới chơn người mà lạy.|彼 得 一 進 去 、 哥 尼 流 就 迎 接 他 、 俯 伏 在 他 腳 前 拜 他 。
Nhưng Phi -e-rơ đỡ người dậy, nói rằng: Ngươi hãy đứng dậy, chính ta cũng chỉ là người mà thôi.|彼 得 卻 拉 他 說 、 你 起 來 ． 我 也 是 人 。
Phi -e-rơ đương nói chuyện với Cọt-nây, bước vào, thấy có nhiều người nhóm lại.|彼 得 和 他 說 著 話 進 去 、 見 有 好 些 人 在 那 裡 聚 集 、
Người nói cùng chúng rằng: người Giu-đa vốn không được phép giao thông với người ngoại quốc hay là tới nhà họ; nhưng Đức Chúa Trời đã tỏ cho ta biết chẳng nên coi một người nào là ô uế hay chẳng sạch.|就 對 他 們 說 、 你 們 知 道 猶 太 人 、 和 別 國 的 人 親 近 來 往 、 本 是 不 合 例 的 ． 但 　 神 已 經 指 示 我 、 無 論 甚 麼 人 、 都 不 可 看 作 俗 而 不 潔 淨 的 ．
Nên khi các ngươi đã sai tìm, thì ta chẳng ngại gì mà đến đây. Vậy ta hỏi vì việc chi mà các ngươi mời ta đến.|所 以 我 被 請 的 時 候 、 就 不 推 辭 而 來 ． 現 在 請 問 、 你 們 叫 我 來 有 甚 麼 意 思 呢 。
Cọt-nây trả lời rằng: Đã bốn ngày nay, nhằm giờ thứ chín, tôi đương nhà cầu nguyện, thình lình có một người mặc áo sáng lòa, hiện ra trước mặt tôi,|哥 尼 流 說 、 前 四 天 這 個 時 候 、 我 在 家 中 守 著 申 初 的 禱 告 、 忽 然 有 一 個 人 、 穿 著 光 明 的 衣 裳 、 站 在 我 面 前 、
mà phán rằng: Hỡi Cọt-nây, lời cầu nguyện ngươi đã được nhậm, Đức Chúa Trời đã ghi nhớ việc bố thí của ngươi.|說 、 哥 尼 流 、 你 的 禱 告 、 已 蒙 垂 聽 、 你 的 賙 濟 、 達 到 　 神 面 前 已 蒙 記 念 了 。
Vậy, ngươi hãy sai đến thành Giốp-bê, mời Si-môn, là Phi -e-rơ đến đây: người đương tại nhà Si-môn, thợ thuộc da, gần biển.|你 當 打 發 人 往 約 帕 去 、 請 那 稱 呼 彼 得 的 西 門 來 、 他 住 在 海 邊 一 個 硝 皮 匠 西 門 的 家 裡 。
Tức thì tôi sai tìm ông, mà ông đến đây là rất phải. Vậy bây giờ, thay thảy chúng tôi đang ở trước mặt Đức Chúa Trời, để nghe mọi điều Chúa đã dặn ông nói cho chúng tôi.|所 以 我 立 時 打 發 人 去 請 你 、 你 來 了 很 好 ． 現 今 我 們 都 在 　 神 面 前 、 要 聽 主 所 吩 咐 你 的 一 切 話 。
Phi -e-rơ bèn mở miệng nói rằng: Quả thật, ta biết Đức Chúa Trời chẳng vị nể ai,|彼 得 就 開 口 說 、 我 真 看 出 　 神 是 不 偏 待 人 ．
nhưng trong các dân, hễ ai kính sợ Ngài và làm sự công bình, thì nấy được đẹp lòng Chúa.|原 來 各 國 中 、 那 敬 畏 主 行 義 的 人 、 都 為 主 所 悅 納 。
Ay là lời Ngài đã phán cùng con cái Y-sơ-ra-ên, khi rao giảng tin lành về sự bình an bởi Đức Chúa Jêsus-Christ, tức là Chúa của loài người.|　 神 藉 著 耶 穌 基 督 （ 他 是 萬 有 的 主 ） 傳 和 平 的 福 音 、 將 這 道 賜 給 以 色 列 人 。
Việc đã bắt đầu từ xứ Ga-li-lê rồi tràn ra trong cả xứ Giu-đê, kế sau Giăng đã giảng ra phép báp-tem, thì các ngươi biết rồi;|這 話 在 約 翰 宣 傳 洗 禮 以 後 、 從 加 利 利 起 、 傳 遍 了 猶 太 ．
thể nào Đức Chúa Trời đã xức cho Đức Chúa Jêsus ở Na-xa-rét bằng Đức Thánh Linh và quyền phép, rồi Ngài đi từ nơi nọ qua chỗ kia làm phước và chữa lành hết thảy những người bị ma quỉ ức hiếp; vì Đức Chúa Trời ở cùng Ngài.|　 神 怎 樣 以 聖 靈 和 能 力 、 膏 拿 撒 勒 人 耶 穌 、 這 都 是 你 們 知 道 的 ． 他 周 流 四 方 行 善 事 、 醫 好 凡 被 魔 鬼 壓 制 的 人 ． 因 為 　 神 與 他 同 在 。
Chúng ta từng chứng kiến về mọi điều Ngài đã làm trong xứ người Giu-đa và tại thành Giê-ru-sa-lem. Chúng đã treo Ngài trên cây gỗ mà giết đi.|他 在 猶 太 人 之 地 、 並 耶 路 撒 冷 、 所 行 的 一 切 事 、 有 我 們 作 見 證 ． 他 們 竟 把 他 掛 在 木 頭 上 殺 了 。
Nhưng ngày thứ ba, Đức Chúa Trời đã khiến Ngài sống lại, lại cho Ngài được tỏ ra,|第 三 日 　 神 叫 他 復 活 、 顯 現 出 來 、
