
					Mác 1				|
Đức Chúa Jêsus lại khởi sự giảng dạy nơi bờ biển; có một đoàn dân đông lắm nhóm lại xung quanh Ngài, Ngài bước lên trong một chiếc thuyền và ngồi đó, còn cả đoàn dân thì ở trên đất nơi mé biển.|耶 穌 又 在 海 邊 教 訓 人 ． 有 許 多 人 到 他 那 裡 聚 集 、 他 只 得 上 船 坐 下 ． 船 在 海 裡 、 眾 人 都 靠 近 海 站 在 岸 上 。
Ngài lấy thí dụ dạy dỗ họ nhiều điều, và trong khi dạy, Ngài phán rằng:|耶 穌 就 用 比 喻 教 訓 他 們 許 多 道 理 ． 在 教 訓 之 間 、 對 他 們 說 、
Hãy nghe. Có người gieo giống đi ra đặng gieo.|你 們 聽 阿 ． 有 一 個 撒 種 的 ． 出 去 撒 種 。
Khi đương gieo, một phần giống rơi dọc đường, chim đến ăn hết.|撒 的 時 候 、 有 落 在 路 旁 的 、 飛 鳥 來 喫 盡 了 。
Một phần khác rơi nhằm nơi đất đá sỏi, chỉ có ít đất thịt, tức thì mọc lên, vì bị lấp không sâu;|有 落 在 土 淺 石 頭 地 上 的 、 土 既 不 深 、 發 苗 最 快 ．
nhưng khi mặt trời đã mọc, thì bị đốt, và bởi không có rễ, nên phải héo.|日 頭 出 來 一 曬 、 因 為 沒 有 根 、 就 枯 乾 了 。
Một phần khác rơi nhằm bụi gai; gai mọc lên làm cho nghẹt ngòi, và không kết quả.|有 落 在 荊 棘 裡 的 、 荊 棘 長 起 來 、 把 他 擠 住 了 、 就 不 結 實 。
Một phần khác nữa rơi nhằm nơi đất tốt, thì kết quả, lớn lên và nẩy nở ra; một hột ra ba chục, hột khác sáu chục, hột khác một trăm.|又 有 落 在 好 土 裡 的 、 就 發 生 長 大 、 結 實 有 三 十 倍 的 、 有 六 十 倍 的 、 有 一 百 倍 的 。
Ngài lại phán rằng: Ai có tai mà nghe, hãy nghe.|又 說 、 有 耳 可 聽 的 、 就 應 當 聽 。
Khi Đức Chúa Jêsus ở một mình, những kẻ xung quanh Ngài cùng mười hai sứ đồ hỏi Ngài về các lời thí dụ.|無 人 的 時 候 、 跟 隨 耶 穌 的 人 、 和 十 二 個 門 徒 、 問 他 這 比 喻 的 意 思 。
Ngài phán rằng: Sự mầu nhiệm của nước Đức Chúa Trời đã tỏ ra cho các ngươi; nhưng về phần người ngoài, thì dùng thí dụ để dạy mọi sự,|耶 穌 對 他 們 說 、 　 神 國 的 奧 秘 、 只 叫 你 們 知 道 、 若 是 對 外 人 講 、 凡 事 就 用 比 喻 ．
hầu cho họ xem thì xem mà không thấy, nghe thì nghe mà không hiểu; e họ hối cải mà được tha tội chăng.|叫 他 們 看 是 看 見 、 卻 不 曉 得 ． 聽 是 聽 見 、 卻 不 明 白 ． 恐 怕 他 們 回 轉 過 來 、 就 得 赦 免 。
Đoạn, Ngài phán rằng: Các ngươi không hiểu thí dụ ấy sao? Vậy thì thế nào hiểu mọi thí dụ được?|又 對 他 們 說 、 你 們 不 明 白 這 比 喻 麼 ． 這 樣 怎 能 明 白 一 切 的 比 喻 呢 。
Người gieo giống ấy là gieo đạo.|撒 種 之 人 所 撒 的 、 就 是 道 。
Những kẻ ở dọc đường là kẻ đã chịu đạo gieo nơi mình; nhưng vừa mới nghe đạo, tức thì quỉ Sa-tan đến, cướp lấy đạo đã gieo trong lòng họ đi.|那 撒 在 路 旁 的 、 就 是 人 聽 了 道 、 撒 但 立 刻 來 、 把 撒 在 他 心 裡 的 道 奪 了 去 。
Cũng vậy, những người chịu giống gieo nơi đất đá sỏi, là những kẻ nghe đạo, liền vui mừng chịu lấy;|那 撒 在 石 頭 地 上 的 、 就 是 人 聽 了 道 、 立 刻 歡 喜 領 受 ．
song vì trong lòng họ không có rễ, chỉ tạm thời mà thôi, nên nỗi gặp khi vì cớ đạo mà xảy ra sự cực khổ, bắt bớ, thì liền vấp phạm.|但 他 心 裡 沒 有 根 、 不 過 是 暫 時 的 、 及 至 為 道 遭 了 患 難 、 或 是 受 了 逼 迫 、 立 刻 就 跌 倒 了 。
Còn những kẻ chịu giống gieo nơi bụi gai, là kẻ đã nghe đạo;|還 有 那 撒 在 荊 棘 裡 的 、 就 是 人 聽 了 道 ．
song sự lo lắng về đời nầy, sự mê đắm về giàu sang, và các sự tham muốn khác thấu vào lòng họ, làm cho nghẹt ngòi đạo, và trở nên không trái.|後 來 有 世 上 的 思 慮 、 錢 財 的 迷 惑 、 和 別 樣 的 私 慾 、 進 來 把 道 擠 住 了 、 就 不 能 結 實 。
Nhưng, những người chịu giống gieo vào nơi đất tốt, là kẻ nghe đạo, chịu lấy và kết quả, một hột ra ba chục, hột khác sáu chục, hột khác một trăm.|那 撒 在 好 地 上 的 、 就 是 人 聽 道 、 又 領 受 、 並 且 結 實 、 有 三 十 倍 的 、 有 六 十 倍 的 、 有 一 百 倍 的 。
Ngài lại phán cùng họ rằng: Có ai đem đèn để dưới cái thùng hoặc dưới cái giường chăng? Há chẳng phải để trên chơn đèn sao?|耶 穌 又 對 他 們 說 、 人 拿 燈 來 、 豈 是 要 放 在 斗 底 下 、 床 底 下 、 不 放 在 燈 臺 上 麼 。
Vì chẳng có điều chi kín mà không phải lộ ra, chẳng có điều chi giấu mà không phải rõ ràng.|因 為 掩 藏 的 事 、 沒 有 不 顯 出 來 的 ． 隱 瞞 的 事 、 沒 有 不 露 出 來 的 。
Nếu ai có tai mà nghe, hãy nghe!|有 耳 可 聽 的 、 就 應 當 聽 。
Ngài lại phán rằng: Hãy cẩn thận về điều mình nghe. Người ta sẽ đong cho các ngươi bằng lường các ngươi đã đong cho, và thêm vào đó nữa.|又 說 、 你 們 所 聽 的 要 留 心 ． 你 們 用 甚 麼 量 器 量 給 人 、 也 必 用 甚 麼 量 器 量 給 你 們 、 並 且 要 多 給 你 們 。
Vì sẽ ban thêm cho kẻ nào có; nhưng kẻ nào không có, sẽ bị cất lấy điều mình đã có.|因 為 有 的 、 還 要 給 他 ． 沒 有 的 、 連 他 所 有 的 也 要 奪 去 。
Ngài lại phán rằng: Nước Đức Chúa Trời cũng như một người vải giống xuống đất;|又 說 、 　 神 的 國 、 如 同 人 把 種 撒 在 地 上 、
người ngủ hay dậy, đêm và ngày, giống cứ nẩy chồi mọc lên, mà người không biết thể nào.|黑 夜 睡 覺 、 白 日 起 來 、 這 種 就 發 芽 漸 長 、 那 人 卻 不 曉 得 如 何 這 樣 。
Vì đất tự sanh ra hoa lợi: ban đầu là cây, kế đến bông, đoạn bông kết thành hột.|地 生 五 穀 是 出 於 自 然 的 ． 先 發 苗 、 後 長 穗 、 再 後 穗 上 結 成 飽 滿 的 子 粒 。
Khi hột đã chín, người ta liền tra lưỡi hái vào, vì mùa gặt đã đến.|穀 既 熟 了 、 就 用 鐮 刀 去 割 、 因 為 收 成 的 時 候 到 了 。
Ngài lại phán rằng: Chúng ta sánh nước Đức Chúa Trời với chi, hay lấy thí dụ nào mà tỏ ra?|又 說 、 　 神 的 國 、 我 們 可 用 甚 麼 比 較 呢 ． 可 用 甚 麼 比 喻 表 明 呢 。
Nước ấy giống như một hột cải: khi người ta gieo, nó nhỏ hơn hết các hột giống trên đất;|好 像 一 粒 芥 菜 種 、 種 在 地 裡 的 時 候 、 雖 比 地 上 的 百 種 都 小 、
song khi gieo rồi, nó mọc lên, trở lớn hơn mọi thứ rau, và nứt ra nhành lớn, đến nỗi chim trời núp dưới bóng nó được.|但 種 上 以 後 、 就 長 起 來 、 比 各 樣 的 菜 都 大 、 又 長 出 大 枝 來 ． 甚 至 天 上 的 飛 鳥 、 可 以 宿 在 他 的 蔭 下 。
Ay bởi nhiều lời thí dụ như cách ấy mà Ngài giảng đạo cho họ, tùy theo sức họ nghe được.|耶 穌 用 許 多 這 樣 的 比 喻 、 照 他 們 所 能 聽 的 、 對 他 們 講 道 ．
Ngài chẳng hề giảng cho chúng mà không dùng thí dụ; nhưng, khi ở riêng, Ngài cắt nghĩa hết cho môn đồ mình.|若 不 用 比 喻 、 就 不 對 他 們 講 ． 沒 有 人 的 時 侯 、 就 把 一 切 的 道 講 給 門 徒 聽 。
Đến chiều ngày ấy, Ngài phán cùng môn đồ rằng: Chúng ta hãy qua bờ bên kia.|當 那 天 晚 上 、 耶 穌 對 門 徒 說 、 我 們 渡 到 那 邊 去 罷 。
Khi cho dân chúng tan về rồi, Đức Chúa Jêsus cứ ở trong thuyền, và môn đồ đưa Ngài đi; cũng có các thuyền khác cùng đi nữa.|門 徒 離 開 眾 人 、 耶 穌 仍 在 船 上 、 他 們 就 把 他 一 同 帶 去 ． 也 有 別 的 船 和 他 同 行 。
Vả, có cơn bão lớn nổi lên, sóng tạt vào thuyền, đến nỗi gần đầy nước;|忽 然 起 了 暴 風 、 波 浪 打 入 船 內 、 甚 至 船 要 滿 了 水 。
nhưng Ngài đương ở đằng sau lái, dựa gối mà ngủ. Môn đồ thức Ngài dậy mà thưa rằng: Thầy ôi, thầy không lo chúng ta chết sao?|耶 穌 在 船 尾 上 、 枕 著 枕 頭 睡 覺 ． 門 徒 叫 醒 了 他 、 說 、 夫 子 、 我 們 喪 命 、 你 不 顧 麼 。
Ngài bèn thức dậy, quở gió và phán cùng biển rằng: Hãy êm đi, lặng đi! Gió liền dứt và đều yên lặng như tờ.|耶 穌 醒 了 ． 斥 責 風 、 向 海 說 、 住 了 罷 、 靜 了 罷 ． 風 就 止 住 、 大 大 的 平 靜 了 。
Đoạn, Ngài phán cùng môn đồ rằng: Sao các ngươi sợ? Chưa có đức tin sao?|耶 穌 對 他 們 說 、 為 甚 麼 膽 怯 ． 你 們 還 沒 有 信 心 麼 。
Môn đồ kinh hãi lắm, nói với nhau rằng: Vậy thì người nầy là ai, mà gió và biển đều vâng lịnh người?|他 們 就 大 大 的 懼 怕 、 彼 此 說 、 這 到 底 是 誰 、 連 風 和 海 也 聽 從 他 了 。

					Mác 5				|
						馬可福音 5					
Đức Chúa Jêsus cùng môn đồ qua đến bờ biển bên kia, trong miền Giê-ra-sê.|他 們 來 到 海 那 邊 、 格 拉 森 人 的 地 方 。
Ngài mới ở trên thuyền bước xuống, tức thì có một người bị tà ma ám từ nơi mồ mả đi ra đến trước mặt Ngài.|耶 穌 一 下 船 、 就 有 一 個 被 污 鬼 附 著 的 人 、 從 墳 塋 裡 出 來 迎 著 他 。
Người thường ở nơi mồ mả, dẫu dùng xiềng sắt cũng chẳng ai cột trói được nữa;|那 人 常 住 在 墳 塋 裡 、 沒 有 人 能 捆 住 他 、 就 是 用 鐵 鍊 也 不 能 ．
vì nhiều lần người bị cùm chơn hoặc bị xiềng, rồi bẻ xiềng tháo cùm, không ai có sức trị được.|因 為 人 屢 次 用 腳 鐐 和 鐵 鍊 捆 鎖 他 、 鐵 鍊 竟 被 他 掙 斷 了 、 腳 鐐 也 被 他 弄 碎 了 ． 總 沒 有 人 能 制 伏 他 。
Người cứ ở nơi mồ mả và trên núi, ngày đêm kêu la và lấy đá đánh bầm mình.|他 晝 夜 常 在 墳 塋 裡 和 山 中 喊 叫 、 又 用 石 頭 砍 自 己 。
Người thấy Đức Chúa Jêsus ở đằng xa, chạy lại sấp mình xuống trước mặt Ngài,|他 遠 遠 的 看 見 耶 穌 、 就 跑 過 去 拜 他 ．
mà kêu lớn rằng: Hỡi Đức Chúa Jêsus, Con Đức Chúa Trời rất cao, tôi với Ngài có sự gì chăng? Tôi nhơn danh Đức Chúa Trời mà khẩn cầu Ngài, xin đừng làm khổ tôi.|大 聲 呼 叫 說 、 至 高 　 神 的 兒 子 耶 穌 、 我 與 你 有 甚 麼 相 干 ． 我 指 著 　 神 懇 求 你 、 不 要 叫 我 受 苦 。
Vì Đức Chúa Jêsus vừa phán cùng nó rằng: Hỡi tà ma, phải ra khỏi người nầy.|是 因 耶 穌 曾 吩 咐 他 說 、 污 鬼 阿 、 從 這 人 身 上 出 來 罷 。
Ngài lại hỏi rằng: Mầy tên gì? Thưa rằng: Tên tôi là Quân đội; vì chúng tôi đông.|耶 穌 問 他 說 、 你 名 叫 甚 麼 ． 回 答 說 、 我 名 叫 群 、 因 為 我 們 多 的 緣 故 。
Nó lại van xin Ngài đừng đuổi chúng nó ra khỏi miền đó.|就 再 三 的 求 耶 穌 、 不 要 叫 他 們 離 開 那 地 方 。
Vả, chỗ đó, tại trên núi, có một bầy heo đông đương ăn.|在 那 裡 山 坡 上 、 有 一 大 群 豬 喫 食 。
Các quỉ cầu xin Ngài rằng: Xin khiến chúng tôi đến với bầy heo ấy, để chúng tôi nhập vào chúng nó. Đức Chúa Jêsus cho phép.|鬼 就 央 求 耶 穌 說 、 求 你 打 發 我 們 往 豬 群 裡 附 著 豬 去 。
Các tà ma ra khỏi người đó, bèn nhập vào bầy heo từ trên bực cao vụt đâm đầu xuống biển. Có độ hai ngàn con heo chết chìm cả dưới biển.|耶 穌 准 了 他 們 ． 污 鬼 就 出 來 、 進 入 豬 裡 去 ． 於 是 那 群 豬 闖 下 山 崖 、 投 在 海 裡 、 淹 死 了 ． 豬 的 數 目 、 約 有 二 千 。
Nhưng kẻ chăn heo trốn, đồn tin nầy ra khắp trong thành và trong nhà quê;|放 豬 的 就 逃 跑 了 、 去 告 許 城 裡 和 鄉 下 的 人 ． 眾 人 就 來 要 看 是 甚 麼 事 。
dân sự đổ ra đặng xem điều đã xảy đến. Vậy, chúng đến cùng Đức Chúa Jêsus, thấy người đã bị nhiều quỉ ám, đang ngồi, mặc quần áo, trí khôn bình tĩnh, thì sợ hãi lắm.|他 們 來 到 耶 穌 那 裡 、 看 見 那 被 鬼 附 著 的 人 、 就 是 從 前 被 群 鬼 所 附 的 、 坐 著 、 穿 上 衣 服 、 心 裡 明 白 過 來 ． 他 們 就 害 怕 。
Những người đã thấy việc đó, thuật cho họ nghe chuyện đã xảy đến cho kẻ bị quỉ ám và bầy heo.|看 見 這 事 的 、 便 將 鬼 附 之 人 所 遇 見 的 、 和 那 群 豬 的 事 、 都 告 訴 了 眾 人 。
Chúng bèn xin Ngài ra khỏi địa phận mình.|眾 人 就 央 求 耶 穌 離 開 他 們 的 境 界 。
Lúc Ngài đương bước vào thuyền, người trước đã bị quỉ ám xin ở lại với Ngài.|耶 穌 上 船 的 時 侯 、 那 從 前 被 鬼 附 著 的 人 、 懇 求 和 耶 穌 同 在 。
Nhưng Đức Chúa Jêsus không cho, phán rằng: Hãy về nhà ngươi, nơi bạn hữu ngươi, mà thuật lại cho họ điều lớn lao thể nào Chúa đã làm cho ngươi, và Ngài đã thương xót ngươi cách nào.|耶 穌 不 許 、 卻 對 他 說 、 你 回 家 去 、 到 你 的 親 屬 那 裡 、 將 主 為 你 所 作 的 、 是 何 等 大 的 事 、 是 怎 樣 憐 憫 你 、 都 告 訴 他 們 。
Vậy, người đi, đồn ra trong xứ Đê-ca-bô-lơ những điều lớn lao thể nào mà Đức Chúa Jêsus đã làm cho mình; ai nấy đều lấy làm lạ.|那 人 就 走 了 、 在 低 加 波 利 、 傳 揚 耶 穌 為 他 作 了 何 等 大 的 事 、 眾 人 就 都 希 奇 。
Khi Đức Chúa Jêsus lại xuống thuyền qua bờ bên kia, có đoàn dân đông nhóm họp chung quanh Ngài. Ngài đứng trên bờ biển.|耶 穌 坐 船 又 渡 到 那 邊 去 、 就 有 許 多 人 到 他 那 裡 聚 集 ． 他 正 在 海 邊 上 。
Bấy giờ, có một người trong những người cai nhà hội, tên là Giai ru, đến, thấy Đức Chúa Jêsus, bèn gieo mình nơi chơn Ngài;|有 一 個 管 會 堂 的 人 、 名 叫 睚 魯 、 來 見 耶 穌 、 就 俯 伏 在 他 腳 前 、
nài xin mà rằng: Con gái nhỏ tôi gần chết; xin Chúa đến, đặt tay trên nó, đặng nó lành mạnh và sống.|再 三 的 求 他 說 、 我 的 小 女 兒 快 要 死 了 、 求 你 去 按 手 在 他 身 上 、 使 他 痊 愈 、 得 以 活 了 。
Đức Chúa Jêsus đi với người; đoàn dân đông cùng đi theo và lấn ép Ngài.|耶 穌 就 和 他 同 去 、 有 許 多 人 跟 隨 擁 擠 他 。
vả, tại đó có một người đờn bà bị bịnh mất huyết đã mười hai năm,|有 一 個 女 人 、 患 了 十 二 年 的 血 漏 、
bấy lâu chịu khổ sở trong tay nhiều thầy thuốc, hao tốn hết tiền của, mà không thấy đỡ gì; bịnh lại càng nặng thêm.|在 好 些 醫 生 手 裡 、 受 了 許 多 的 苦 ． 又 花 盡 了 他 所 有 的 、 一 點 也 不 見 好 、 病 勢 反 倒 更 重 了 。
Người đã nghe tin về Đức Chúa Jêsus, bèn lẩn vào đằng sau giữa đám đông, mà rờ áo Ngài.|他 聽 見 耶 穌 的 事 、 就 從 後 頭 來 、 雜 在 眾 人 中 間 、 摸 耶 穌 的 衣 裳 ．
Vì người nói rằng: Nếu ta chỉ rờ đến áo Ngài mà thôi, thì ta sẽ được lành.|意 思 說 、 我 只 摸 他 的 衣 裳 、 就 必 痊 愈 。
Cùng một lúc ấy, huyết lậu liền cầm lại; người nghe trong mình đã được lành bịnh.|於 是 他 血 漏 的 源 頭 、 立 刻 乾 了 ． 他 便 覺 得 身 上 的 災 病 好 了 。
Tức thì Đức Chúa Jêsus tự biết có sức mạnh đã ra từ mình, bèn xây lại giữa đám đông mà hỏi rằng: Ai đã rờ áo ta?|耶 穌 頓 時 心 裡 覺 得 有 能 力 從 自 己 身 上 出 去 、 就 在 眾 人 中 間 轉 過 來 、 說 、 誰 摸 我 的 衣 裳 。
Môn đồ thưa rằng: Thầy thấy đám đông lấn ép thầy, thầy còn hỏi rằng: Ai rờ đến ta?|門 徒 對 他 說 、 你 看 眾 人 擁 擠 你 、 還 說 誰 摸 我 麼 。
Ngài nhìn chung quanh mình để xem người đã làm điều đó.|耶 穌 周 圍 觀 看 、 要 見 作 這 事 的 女 人 。
Người đờn bà biết sự đã xảy đến cho mình, bèn run sợ đến gieo mình dưới chơn Ngài, tỏ hết tình thật.|那 女 人 知 道 在 自 己 身 上 所 成 的 事 、 就 恐 懼 戰 兢 、 來 俯 伏 在 耶 穌 跟 前 、 將 實 情 全 告 訴 他 。
Đức Chúa Jêsus phán rằng: Hỡi con gái ta, đức tin con đã cứu con; hãy đi cho bình an và được lành bịnh.|耶 穌 對 他 說 、 女 兒 、 你 的 信 救 了 你 、 平 平 安 安 的 回 去 罷 ． 你 的 災 病 痊 愈 了 。
Đương khi Ngài còn phán, có kẻ đến từ nhà người cai nhà hội mà nói với người rằng: Con gái ông đã chết rồi; còn phiền Thầy làm chi?|還 說 話 的 時 候 、 有 人 從 管 會 堂 的 家 裡 來 說 、 你 的 女 兒 死 了 、 何 必 還 勞 動 先 生 呢 。
Nhưng Đức Chúa Jêsus chẳng màng đến lời ấy, phán cùng cai nhà hội rằng: Đừng sợ, chỉ tin mà thôi.|耶 穌 聽 見 所 說 的 話 、 就 對 管 會 堂 的 說 、 不 要 怕 ． 只 要 信 。
Ngài chẳng cho ai theo mình, trừ ra Phi -e-rơ, Gia-cơ, và Giăng là em là Gia-cơ.|於 是 帶 著 彼 得 、 雅 各 、 和 雅 各 的 兄 弟 約 翰 同 去 、 不 許 別 人 跟 隨 他 。
Khi đã đến nhà người cai nhà hội, Ngài thấy chúng làm om sòm, kẻ khóc người kêu lớn tiếng.|他 們 來 到 管 會 堂 的 家 裡 、 耶 穌 看 見 那 裡 亂 嚷 、 並 有 人 大 大 的 哭 泣 哀 號 。
Vào nhà rồi, Ngài phán cùng chúng rằng: Sao các ngươi làm ồn ào và khóc lóc vậy? Đứa trẻ chẳng phải chết, song nó ngủ.|進 到 裡 面 、 就 對 他 們 說 、 為 甚 麼 亂 嚷 哭 泣 呢 、 孩 子 不 是 死 了 、 是 睡 著 了 。
Chúng nhạo báng Ngài. Ngài bèn đuổi chúng ra hết, đem cha mẹ đứa trẻ với những kẻ theo Ngài, cùng vào chỗ nó nằm.|他 們 就 嗤 笑 耶 穌 ． 耶 穌 把 他 們 都 攆 出 去 、 就 帶 著 孩 子 的 父 母 、 和 跟 隨 的 人 進 了 孩 子 所 在 的 地 方 ．
Ngài nắm tay nó mà phán rằng: Ta-li-tha Cu-mi; nghĩa là: Hỡi con gái nhỏ, ta truyền cho mầy, hãy chờ dậy.|就 拉 著 孩 子 的 手 、 對 他 說 、 大 利 大 吉 米 ． 繙 出 來 、 就 是 說 、 閏 女 、 我 吩 咐 你 起 來 。
Tức thì đứa gái chờ dậy mà bước đi, vì đã lên mười hai tuổi. Chúng rất lấy làm lạ.|那 閨 女 立 時 起 來 走 ． 他 們 就 大 大 驚 奇 ． 閨 女 己 經 十 二 歲 了 。
Ngài cấm ngặt chúng đừng cho ai biết sự ấy, và truyền cho đứa trẻ ăn.|耶 穌 切 切 的 囑 咐 他 們 、 不 要 叫 人 知 道 這 事 ． 又 咐 咐 給 他 東 西 喫 。

					Mác 6				|
						馬可福音 6					
Đức Chúa Jêsus đi khỏi đó, đến quê hương mình, có các môn đồ cùng đi theo.|耶 穌 離 開 那 裡 、 來 到 自 己 的 家 鄉 ． 門 徒 也 跟 從 他 。
Đến ngày Sa-bát, Ngài bắt đầu dạy dỗ trong nhà hội; thiên hạ nghe Ngài, lấy làm lạ mà nói rằng: Người bởi đâu được những điều nầy? Sự khôn sáng mà người được ban cho là gì, và thể nào tay người làm được những phép lạ dường ấy?|到 了 安 息 日 、 他 在 會 堂 裡 教 訓 人 ． 眾 人 聽 見 、 就 甚 希 奇 、 說 、 這 人 從 那 裡 有 這 些 事 呢 、 所 賜 給 他 的 是 甚 麼 智 慧 、 他 手 所 作 的 是 何 等 的 異 能 呢 。
Có phải người là thợ mộc, con trai Ma-ri, anh em với Gia-cơ, Giô-sê, Giu-đê, và Si-môn chăng? Chị em người há chẳng phải ở giữa chúng ta đây ư? Chúng bèn vấp phạm vì cớ Ngài.|這 不 是 那 木 匠 麼 ． 不 是 馬 利 亞 的 兒 子 、 雅 各 約 西 猶 大 西 門 的 長 兄 麼 ． 他 妹 妹 們 不 也 是 在 我 們 這 裡 麼 ． 他 們 就 厭 棄 他 。 〔 厭 棄 他 原 文 作 因 他 跌 倒 〕
Song Đức Chúa Jêsus phán cùng họ rằng: Đấng tiên tri chỉ bị quê hương mình, bà con mình và trong nhà mình khinh dể mà thôi.|耶 穌 對 他 們 說 、 大 凡 先 知 、 除 了 本 地 親 屬 本 家 之 外 、 沒 有 不 被 人 尊 敬 的 。
Ở đó, Ngài không làm phép lạ nào được, chỉ đặt tay chữa lành một vài người đau ốm;|耶 穌 就 在 那 裡 不 得 行 甚 麼 異 能 、 不 過 按 手 在 幾 個 病 人 身 上 、 治 好 他 們 。
và Ngài lấy làm lạ vì chúng chẳng tin. Rồi Ngài đi khắp các làng gần đó mà giảng dạy.|他 也 詫 異 他 們 不 信 、 就 往 周 圍 鄉 村 教 訓 人 去 了 。
Ngài bèn kêu mười hai sứ đồ, bắt đầu sai đi từng đôi, ban quyền phép trừ tà ma.|耶 穌 叫 了 十 二 門 徒 來 、 差 遣 他 們 兩 個 兩 個 的 出 去 ． 也 賜 給 他 們 權 柄 、 制 伏 污 鬼 ．
Ngài truyền cho sứ đồ đi đường đừng đem chi theo hết, hoặc bánh, hoặc bao, hoặc tiền bạc trong dây lưng, chỉ đem một cây gậy mà thôi;|並 且 囑 咐 他 們 、 行 路 的 時 候 、 不 要 帶 食 物 和 口 袋 、 腰 袋 裡 也 不 要 帶 錢 、 除 了 柺 杖 以 外 、 甚 麼 都 不 要 帶 ．
chỉ mang dép, đừng mặc hai áo.|只 要 穿 鞋 ． 也 不 要 穿 兩 件 掛 子 。
Ngài phán cùng sứ đồ rằng: Hễ nhà nào các ngươi sẽ vào, hãy cứ ở đó, cho đến khi đi.|又 對 他 們 說 、 你 們 無 論 到 何 處 、 進 了 人 的 家 、 就 住 在 那 裡 、 直 到 離 開 那 地 方 。
Nếu có chỗ nào, người ta không chịu tiếp các ngươi, và cũng không nghe các ngươi nữa, thì hãy đi khỏi đó, và phủi bụi đã dính chơn mình, để làm chứng cho họ.|何 處 的 人 、 不 接 待 你 們 、 不 聽 你 們 、 你 們 離 開 那 裡 的 時 候 、 就 把 腳 上 的 塵 土 跺 下 去 、 對 他 們 作 見 證 。
Vậy, các sứ đồ đi ra, giảng cho người ta phải ăn năn;|門 徒 就 出 去 、 傳 道 叫 人 悔 改 。
đuổi ma quỉ, xức dầu cho nhiều kẻ bịnh và chữa cho được lành.|又 趕 出 許 多 的 鬼 、 用 油 抹 了 許 多 病 人 、 治 好 他 們 。
Vả, vua Hê-rốt nghe nói về Đức Chúa Jêsus , thì nói rằng: Giăng, là người làm phép báp-tem, đã từ kẻ chết sống lại; cho nên tự người làm ra các phép lạ.|耶 穌 的 名 聲 傳 揚 出 來 ． 希 律 王 聽 見 了 、 就 說 、 施 洗 的 約 翰 從 死 裡 復 活 了 、 所 以 這 些 異 能 由 他 裡 面 發 出 來 。
Người thì nói: Ay là Ê-li; kẻ thì nói: Ay là đấng tiên tri, như một trong các đấng tiên tri đời xưa.|但 別 人 說 、 是 以 利 亞 ． 又 有 人 說 、 是 先 知 、 正 像 先 知 中 的 一 位 。
Nhưng Hê-rốt nghe vậy, thì nói rằng: Ay là Giăng mà ta đã truyền chém, người đã sống lại.|希 律 聽 見 、 卻 說 、 是 我 所 斬 的 約 翰 、 他 復 活 了 。
Số là, Hê-rốt đã sai người bắt Giăng, và truyền xiềng lại cầm trong ngục, bởi cớ Hê-đô-đia, vợ Phi-líp em vua, vì vua đã cưới nàng,|先 是 希 律 為 他 兄 弟 腓 力 的 妻 子 希 羅 底 的 緣 故 、 差 人 去 拿 住 約 翰 、 鎖 在 監 裡 ． 因 為 希 律 已 經 娶 了 那 婦 人 。
và Giăng có can vua rằng: Vua không nên lấy vợ em mình.|約 翰 曾 對 希 律 說 、 你 娶 你 兄 弟 的 妻 子 是 不 合 理 的 。
Nhơn đó, Hê-rô-đia căm Giăng, muốn giết đi.|於 是 希 羅 底 懷 恨 他 、 想 要 殺 他 ． 只 是 不 能 ．
Nhưng không thể giết, vì Hê-rốt sợ Giăng, biết là một người công bình và thánh. Vua vẫn gìn giữ người, khi nghe lời người rồi, lòng hằng bối rối, mà vua bằng lòng nghe.|因 為 希 律 知 道 約 翰 是 義 人 、 是 聖 人 、 所 以 敬 畏 他 、 保 護 他 ． 聽 他 講 論 、 就 多 照 著 行 ． 並 且 樂 意 聽 他 。 〔 多 照 著 行 有 古 卷 作 游 移 不 定 〕
Nhưng, vừa gặp dịp tiện, là ngày sanh nhựt Hê-rốt, vua đãi tiệc các quan lớn trong triều, các quan võ, cùng các ngươi tôn trưởng trong xứ Ga-li-lê.|有 一 天 、 恰 巧 是 希 律 的 生 日 、 希 律 擺 設 筵 席 、 請 了 大 臣 和 千 夫 長 、 並 加 利 利 作 首 領 的 。
Chính con gái Hê-rô-đia vào, nhảy múa, đẹp lòng Hê-rốt và các ngươi dự tiệc nữa. Vua nói cùng người con gái ấy rằng: Hãy xin ta điều chi ngươi muốn, ta sẽ cho.|希 羅 底 的 女 兒 進 來 跳 舞 、 使 希 律 和 同 席 的 人 都 歡 喜 ． 王 就 對 女 子 說 、 你 隨 意 向 我 求 甚 麼 、 我 必 給 你 。
Vua lại thề cùng nàng rằng: Bất kỳ ngươi xin điều chi, ta cũng sẽ cho, dầu xin phân nửa nước ta cũng vậy.|又 對 他 起 誓 說 、 隨 你 向 我 求 甚 麼 、 就 是 我 國 的 一 半 、 我 也 必 給 你 。
Nàng ra khỏi đó, nói với mẹ rằng: Tôi nên xin điều chi? Mẹ rằng: Cái đầu của Giăng Báp-tít.|他 就 出 去 、 對 他 母 親 說 、 我 可 以 求 甚 麼 呢 ． 他 母 親 說 、 施 洗 約 翰 的 頭 。
