
					Giảng Sư 1				|
Kìa, ta đã nhìn thấy rằng ăn, uống, và hưởng phải của sự lao khổ mình làm ở dưới mặt trời trọn trong những ngày mà Đức Chúa Trời ban cho, ấy thật là tốt và hay; vì đó là kỷ phần mình.|我 所 見 為 善 為 美 的 、 就 是 人 在 　 神 賜 他 一 生 的 日 子 喫 喝 、 享 受 日 光 之 下 勞 碌 得 來 的 好 處 ． 因 為 這 是 他 的 分 。
Hễ Đức Chúa Trời ban cho người nào giàu có, của cải, làm cho người có thế ăn lấy, nhận lãnh kỷ phần, và vui vẻ trong công lao của mình, ấy là một sự ban cho của Đức Chúa Trời;|　 神 賜 人 貲 財 豐 富 、 使 他 能 以 喫 用 、 能 取 自 己 的 分 、 在 他 勞 碌 中 喜 樂 ． 這 乃 是 　 神 的 恩 賜 。
nhân người sẽ ít nhớ những ngày của đời mình; vì Đức Chúa Trời ứng đáp người bằng sự vui mừng trong lòng người.|他 不 多 思 念 自 己 一 生 的 年 日 ． 因 為 　 神 應 他 的 心 使 他 喜 樂 。

					Giảng Sư 6				|
						傳道書 6					
Có một tai nạn khác mà ta đã thấy dưới mặt trời, thường làm nặng nề cho loài người.|我 見 日 光 之 下 有 一 宗 禍 患 、 重 壓 在 人 身 上 ．
Kìa có một người mà Đức Chúa Trời đã ban cho sự giàu có, của cải, va sang trọng, đến đỗi mọi sự lòng người ước ao, chẳng thiếu gì hết; nhưng Đức Chúa Trời không cho người có thể ăn lấy, bèn là một người khác được ăn. Ay là một sự hư không, một tai nạn cực khổ.|就 是 人 蒙 　 神 賜 他 貲 財 、 豐 富 、 尊 榮 、 以 致 他 心 裡 所 願 的 一 樣 都 不 缺 、 只 是 　 神 使 他 不 能 喫 用 、 反 有 外 人 來 喫 用 ． 這 是 虛 空 、 也 是 禍 患 。
Nếu một người sanh trăm con trai, và sống nhiều năm cho đến cao niên trường thọ, mà lòng chẳng được hưởng phước, và chết chẳng được chôn; ta nói đứa con sảo còn hơn người ấy;|人 若 生 一 百 個 兒 子 、 活 許 多 歲 數 、 以 致 他 的 年 日 甚 多 、 心 裡 卻 不 得 滿 享 福 樂 、 又 不 得 埋 葬 ． 據 我 說 、 那 不 到 期 而 落 的 胎 比 他 倒 好 ．
vì đứa con sảo ra hư không, lại trở về sự tối tăm, và tên nó bị sự u ám vùi lấp.|因 為 虛 虛 而 來 、 暗 暗 而 去 、 名 字 被 黑 暗 遮 蔽 ．
Nó không thấy mặt trời, cũng không biết đến; nó có được phần an nghỉ hơn người kia.|並 且 沒 有 見 過 天 日 、 也 毫 無 知 覺 ． 這 胎 、 比 那 人 倒 享 安 息 。
Người dầu sống đến hai ngàn năm, mà không hưởng được chút phước nào, cuối cùng cả thảy há chẳng về chung một chỗ sao?|那 人 雖 然 活 千 年 、 再 活 千 年 、 卻 不 享 福 、 眾 人 豈 不 都 歸 一 個 地 方 去 麼 。
Mọi sự lao khổ của loài người là vì miệng mình, song không hề được thỏa nguyện.|人 的 勞 碌 都 為 口 腹 、 心 裡 卻 不 知 足 。
Người khôn ngoan hơn chi kẻ ngu muội? Người nghèo biết đạo ăn ở trước mặt người ta, nào có ích chi?|這 樣 看 來 、 智 慧 人 比 愚 昧 人 有 甚 麼 長 處 呢 ． 窮 人 在 眾 人 面 前 知 道 如 何 行 、 有 甚 麼 長 處 呢 。
Sự gì thấy bằng mắt hơn là sự tham muốn buông tuồng; điều đó lại là một sự hư không, theo luồng gió thổi.|眼 睛 所 看 的 、 比 心 裡 妄 想 的 倒 好 ． 這 也 是 虛 空 、 也 是 捕 風 。
Phàm điều gì có trước thì đã được đặt tên từ lâu rồi; loài người sẽ ra thể nào, thì đã biết từ trước rồi; người không thể cãi trả với Đấng mạnh hơn mình.|先 前 所 有 的 、 早 已 起 了 名 ． 並 知 道 何 為 人 ． 他 也 不 能 與 那 比 自 己 力 大 的 相 爭 。
Có nhiều điều gia thêm sự hư không; vậy, người ta được ích chi hơn;|加 增 虛 浮 的 事 既 多 、 這 與 人 有 甚 麼 益 處 呢 。
vả, trong những ngày của đời hư không mà loài người trải qua như bóng, ai biết điều gì là ích cho mình? Vì ai có thể nói trước cho người nào về điều sẽ xảy ra sau mình dưới mặt trời?|人 一 生 虛 度 的 日 子 、 就 如 影 兒 經 過 ． 誰 知 道 甚 麼 與 他 有 益 呢 ． 誰 能 告 訴 他 身 後 在 日 光 之 下 有 甚 麼 事 呢 。

					Giảng Sư 7				|
						傳道書 7					
Danh tiếng hơn dầu quí giá; ngày chết hơn ngày sanh.|名 譽 強 如 美 好 的 膏 油 ． 人 死 的 日 子 、 勝 過 人 生 的 日 子 。
Đi đến nhà tang chế hơn là đến nhà yến tiệc; vì tại đó thấy sự cuối cùng của mọi người; và người sống để vào lòng.|往 遭 喪 的 家 去 、 強 如 往 宴 樂 的 家 去 、 因 為 死 是 眾 人 的 結 局 ． 活 人 也 必 將 這 事 放 在 心 上 。
Buồn rầu hơn vui vẻ; vì nhờ mặt buồn, lòng được vui.|憂 愁 強 如 喜 笑 、 因 為 面 帶 愁 容 終 必 使 心 喜 樂 。
Lòng người khôn ngoan ở trong nhà tang chế, còn lòng kẻ ngu muội ở tại nhà vui sướng.|智 慧 人 的 心 、 在 遭 喪 之 家 ． 愚 昧 人 的 心 、 在 快 樂 之 家 。
Thà nghe lời quở trách của người khôn ngoan, còn hơn là câu hát của kẻ ngu muội.|聽 智 慧 人 的 責 備 、 強 如 聽 愚 昧 人 的 歌 唱 。
Vì tiếng cười của kẻ ngu muội giống như tiếng gai nhọn nổ dưới nồi. Điều đó cũng là sự hư không.|愚 昧 人 的 笑 聲 、 好 像 鍋 下 燒 荊 棘 的 爆 聲 、 這 也 是 虛 空 。
Phải, sự sách thủ tiền tài làm cho kẻ khôn ra ngu, và của hối lộ khiến cho hư hại lòng.|勒 索 使 智 慧 人 變 為 愚 妄 ． 賄 賂 能 敗 壞 人 的 慧 心 。
Cuối cùng của một việc hơn sự khởi đầu nó; lòng kiên nhẫn hơn lòng kiêu ngạo.|事 情 的 終 局 、 強 如 事 情 的 起 頭 ． 存 心 忍 耐 的 、 勝 過 居 心 驕 傲 的 。
Chớ vội giận; vì sự giận ở trong lòng kẻ ngu muội.|你 不 要 心 裡 急 躁 惱 怒 、 因 為 惱 怒 存 在 愚 昧 人 的 懷 中 。
Chớ nói rằng: Nhơn sao ngày trước tốt hơn ngày bây giờ? Vì hỏi vậy là chẳng khôn.|不 要 說 、 先 前 的 日 子 強 過 如 今 的 日 子 、 是 甚 麼 緣 故 呢 ． 你 這 樣 問 、 不 是 出 於 智 慧 。
Sự khôn ngoan cũng tốt bằng cơ nghiệp; nó có ích cho những người thấy mặt trời.|智 慧 和 產 業 並 好 ． 而 且 見 天 日 的 人 、 得 智 慧 更 為 有 益 。
Vì sự khôn ngoan che thân cũng như tiền bạc che thân vậy; nhưng sự khôn ngoan thắng hơn, vì nó giữ mạng sống cho người nào đã được nó.|因 為 智 慧 護 庇 人 、 好 像 銀 錢 護 庇 人 一 樣 ． 惟 獨 智 慧 能 保 全 智 慧 人 的 生 命 、 這 就 是 知 識 的 益 處 。
Hãy xem xét công việc của Đức Chúa Trời; vì vật gì Ngài đã đánh cong, ai có thể làm ngay lại được?|你 要 察 看 　 神 的 作 為 、 因 　 神 使 為 曲 的 、 誰 能 變 為 直 呢 。
Trong ngày thới thạnh hãy vui mừng, trong ngày tai nạn hay coi chừng; vì Đức Chúa Trời đặt ngày nầy đối với ngày kia, hầu cho người đời chẳng thấy trước đặng điều xảy ra sau mình.|遇 亨 通 的 日 子 、 你 當 喜 樂 ． 遭 患 難 的 日 子 、 你 當 思 想 ． 因 為 　 神 使 這 兩 樣 並 列 、 為 的 是 叫 人 查 不 出 身 後 有 甚 麼 事 。
Trong những người hư không của ta, ta đã thấy cả điều nầy: Người công bình tuy công bình cũng phải hư mất; và kẻ hung ác tuy hung ác lại được trường thọ.|有 義 人 行 義 、 反 致 滅 亡 ． 有 惡 人 行 惡 、 倒 享 長 壽 ． 這 都 是 我 在 虛 度 之 日 中 所 見 過 的 。
Chớ công bình quá, cũng đừng làm ra mình khôn ngoan quá; cớ sao làm thiệt hại cho mình?|不 要 行 義 過 分 ． 也 不 要 過 於 自 逞 智 慧 ． 何 必 自 取 敗 亡 呢 。
Cũng chớ nên hung hăng quá, và đừng ăn ở như kẻ ngu muội; cớ sao ngươi chết trước kỳ định?|不 要 行 惡 過 分 ． 也 不 要 為 人 愚 昧 ． 何 必 不 到 期 而 死 呢 。
Ngươi giữ được điều nầy, ấy là tốt; mà lại cũng đừng nới tay khỏi điều kia; vì ai kính sợ Đức Chúa Trời ắt tránh khỏi mọi điều đó.|你 持 守 這 個 為 美 ． 那 個 也 不 要 鬆 手 ． 因 為 敬 畏 　 神 的 人 、 必 從 這 兩 樣 出 來 。
Sự khôn ngoan khiến cho người khôn có sức mạnh hơn là mười kẻ cai trị ở trong thành.|智 慧 使 有 智 慧 的 人 、 比 城 中 十 個 官 長 更 有 能 力 。
Thật, chẳng có người công bình ở trên đất làm điều thiện, mà không hề phạm tội.|時 常 行 善 而 不 犯 罪 的 義 人 、 世 上 實 在 沒 有 。
Chớ để lòng về mọi lời người ta nói, e ngươi nghe kẻ tôi tớ mình chưởi rủa mình chăng.|人 所 說 的 一 切 話 、 你 不 要 放 在 心 上 、 恐 怕 聽 見 你 的 僕 人 咒 詛 你 。
Vì thường khi lòng ngươi cũng biết mình đã rủa kẻ khác.|因 為 你 心 裡 知 道 、 自 己 也 曾 屢 次 咒 詛 別 人 。
Ta đã lấy sự khôn ngoan nghiệm xét mọi sự ấy; ta nói rằng: Ta sẽ ở khôn ngoan; nhưng sự khôn ngoan cách xa ta.|我 曾 用 智 慧 試 驗 這 一 切 事 ． 我 說 、 要 得 智 慧 、 智 慧 卻 離 我 遠 。
Vả, điều chi xa quá, điều chi sâu thẩm lắm, ai có thể tìm được?|萬 事 之 理 、 離 我 甚 遠 、 而 且 最 深 、 誰 能 測 透 呢 。
Ta lại hết lòng chuyên lo cho hiểu biết, xét nét, kiếm tìm sự khôn ngoan và chánh lý muôn vật, lại cho biết rằng gian ác là dại dột và sự dại dột là điên cuồng.|我 轉 念 、 一 心 要 知 道 、 要 考 察 、 要 尋 求 智 慧 、 和 萬 事 的 理 由 ． 又 要 知 道 邪 惡 為 愚 昧 、 愚 昧 為 狂 妄 。
Ta tìm thấy một điều cay đắng hơn sự chết, ấy là một người đờn bà có lòng giống như lưới bẫy, tay tợ như dây tói: ai ở đẹp lòng Đức Chúa Trời sẽ thoát khỏi nó; còn kẻ có tội sẽ bị nó vấn lấy.|我 得 知 有 等 婦 人 、 比 死 還 苦 、 他 的 心 是 網 羅 、 手 是 鎖 鍊 ． 凡 蒙 　 神 喜 悅 的 人 、 必 能 躲 避 他 ． 有 罪 的 人 、 卻 被 他 纏 住 了 。
Kẻ truyền đạo nói: Sau khi xem xét muôn sự từng điều từng vật, đặng tìm chánh lý, thì nầy là điều ta tìm được;|傳 道 者 說 、 看 哪 、 一 千 男 子 中 、 我 找 到 一 個 正 直 人 ． 但 眾 女 子 中 、 沒 有 找 到 一 個 ． 我 將 這 事 一 一 比 較 、 要 尋 求 其 理 、 我 心 仍 要 尋 找 、 卻 未 曾 找 到 。
ấy là lòng ta hãy còn tìm mà chưa tìm ra: trong một ngàn người đờn ông ta đã tìm được một người; còn trong cả thảy người đờn bà ta chẳng tìm được một ai hết.|見 上 節
Nhưng nầy là điều ta tìm được: Đức Chúa Trời đã dựng nên người ngay thẳng; song loài người có tìm kiếm ra lắm mưu kế.|我 所 找 到 的 、 只 有 一 件 、 就 是 　 神 造 人 原 是 正 直 、 但 他 們 尋 出 許 多 巧 計 。

					Giảng Sư 8				|
						傳道書 8					
Ai sánh được với người khôn ngoan? Ai biết giải nghĩa các vật? Sự khôn ngoan làm cho sáng sủa mắt người, và đổi sắc nghiêm trang đi.|誰 如 智 慧 人 呢 ． 誰 知 道 事 情 的 解 釋 呢 ． 人 的 智 慧 使 他 的 臉 發 光 、 並 使 他 臉 上 的 暴 氣 改 變 。
Ta khuyên rằng: Vì cớ lời thề cùng Đức Chúa Trời, khá gìn giữ mạng vua.|我 勸 你 遵 守 王 的 命 令 ． 既 指 　 神 起 誓 、 理 當 如 此 。
Chớ vội lui ra khỏi trước mặt người; đừng ghì mài trong sự ác, vì vua làm điều chi đẹp lòng mình.|不 要 急 躁 離 開 王 的 面 前 ． 不 要 固 執 行 惡 ． 因 為 他 凡 事 都 隨 自 己 的 心 意 而 行 。
Vả lại, lời vua có quyền; ai dám nói với người rằng: Ngươi làm chi?|王 的 話 本 有 權 力 、 誰 敢 問 他 說 、 你 作 甚 麼 呢 。
Ai tuân theo lịnh người thì chẳng biết sự tai nạn, và lòng người khôn ngoan biết thì thế và phép lệ.|凡 遵 守 命 令 的 、 必 不 經 歷 禍 患 ． 智 慧 人 的 心 、 能 辨 明 時 候 和 定 理 。 〔 原 文 作 審 判 下 節 同 〕
Vì tuy loài người bị sự tai nạn bối rối nhiều, phàm sự gì cũng có thì thế và phép lệ.|各 樣 事 務 成 就 、 都 有 時 候 和 定 理 ． 因 為 人 的 苦 難 、 重 壓 在 他 身 上 。
Vì người chẳng biết điều chi sẽ xảy đến; ai có thế nói trước được các việc được xảy ra làm sao?|他 不 知 道 將 來 的 事 、 因 為 將 來 如 何 、 誰 能 告 訴 他 呢 。
Chẳng có ai cai trị được sanh khí để cầm sanh khí lại; lại chẳng ai có quyền về ngày chết; trong khi tranh chiến chẳng có sự miễn thứ; sự gian ác nào cứu được kẻ làm ra nó.|無 人 有 權 力 掌 管 生 命 、 將 生 命 留 住 ． 也 無 人 有 權 力 掌 管 死 期 ． 這 場 爭 戰 、 無 人 能 免 ． 邪 惡 也 不 能 救 那 好 行 邪 惡 的 人 。
Ta có thấy các điều đó; ta chuyên lòng suy nghĩ về mọi việc làm ra ở dưới mặt trời. Có khi người nầy cai trị trên người kia mà làm tai hại cho người ấy.|這 一 切 我 都 見 過 ． 也 專 心 查 考 日 光 之 下 所 作 的 一 切 事 ． 有 時 這 人 管 轄 那 人 、 令 人 受 害 。
Ta cùng thấy những kẻ gian ác qua đời, và được chôn bình yên; còn những người làm lành lại phải lìa khỏi nơi thánh, bị người đồng thành quên đi. Ay cũng là sự hư không.|我 見 惡 人 埋 葬 、 歸 入 墳 墓 ． 又 見 行 正 直 事 的 、 離 開 聖 地 、 在 城 中 被 人 忘 記 ． 這 也 是 虛 空 。
Bởi chẳng thi hành ngay án phạt những việc ác, nên lòng con loài người chuyên làm điều ác.|因 為 斷 定 罪 名 、 不 立 刻 施 刑 、 所 以 世 人 滿 心 作 惡 。
Vì kẻ có tội làm ác một trăm lần vẫn được trường thọ; dầu vậy, ta biết rằng kẻ kính sợ trước mặt Đức Chúa Trời, sau rất ắt được phước.|罪 人 雖 然 作 惡 百 次 、 倒 享 長 久 的 年 日 ． 然 而 我 準 知 道 、 敬 畏 　 神 的 、 就 是 在 他 面 前 敬 畏 的 人 、 終 久 必 得 福 樂 。
Nhưng kẻ ác chẳng sẽ được phước; cũng sẽ không được sống lâu, vì đời nó giống như bóng qua; ấy tại nó không kính sợ trước mặt Đức Chúa Trời.|惡 人 卻 不 得 福 樂 、 也 不 得 長 久 的 年 日 ． 這 年 日 好 像 影 兒 、 因 他 不 敬 畏 　 神 。
Lại còn có một sự hư không khác trên thế gian: lắm người công bình bị đãi theo công việc kẻ ác, và lắm kẻ ác lại được đãi theo công việc người công bình. Ta nói rằng điều đó cũng là sự hư không.|世 上 有 一 件 虛 空 的 事 、 就 是 義 人 所 遭 遇 的 、 反 照 惡 人 所 行 的 ． 又 有 惡 人 所 遭 遇 的 、 反 照 義 人 所 行 的 ． 我 說 、 這 也 是 虛 空 。
Ta bèn khen sự vui mừng, bởi vì dưới mặt trời chẳng có điều gì tốt cho loài người hơn là ăn, uống, và vui sướng; vì ấy là điều còn lại cho mình về công lao trọn trong các ngày của đời mình, mà Đức Chúa Trời ban cho mình dưới mặt trời.|我 就 稱 讚 快 樂 、 原 來 人 在 日 光 之 下 、 莫 強 如 喫 喝 快 樂 ． 因 為 他 在 日 光 之 下 、 　 神 賜 他 一 生 的 年 日 、 要 從 勞 碌 中 、 時 常 享 受 所 得 的 。
Khi ta chuyên lòng để học biết sự khôn ngoan, để hiểu mọi việc làm ra trên đất, thì ta thấy có người ngày và đêm không cho mắt ngủ,|我 專 心 求 智 慧 、 要 看 世 上 所 作 的 事 ． （ 有 晝 夜 不 睡 覺 、 不 合 眼 的 ）
cũng thấy mọi công việc Đức Chúa Trời, và hiểu biết người ta không thể dò được mọi việc làm ra dưới mặt trời, dầu chịu cực nhọc ngần nào đặng tìm biết, cũng chẳng tìm được; và dầu cho người khôn ngoan tưởng rằng sẽ chắc biết, thì cũng chẳng tìm được.|我 就 看 明 　 神 一 切 的 作 為 ． 知 道 人 查 不 出 日 光 之 下 所 作 的 事 ． 任 憑 他 費 多 少 力 尋 查 、 都 查 不 出 來 ． 就 是 智 慧 人 雖 想 知 道 、 也 是 查 不 出 來 。

					Giảng Sư 9				|
						傳道書 9					
Nầy là các việc khác mà ta đã suy nghĩ và chuyên lòng hiểu rõ ràng: ta thấy người công bình và khôn ngoan, luôn với việc làm của họ, đều ở trong tay Đức Chúa Trời; hoặc sự yêu hay là sự ghét, loài người chẳng biết rõ: thảy đều thuộc về cuộc tương lai.|我 將 這 一 切 事 放 在 心 上 、 詳 細 考 究 、 就 知 道 義 人 和 智 慧 人 、 並 他 們 的 作 為 、 都 在 　 神 手 中 ． 或 是 愛 、 或 是 恨 、 都 在 他 們 的 前 面 、 人 不 能 知 道 。
Mọi sự xảy đến cho mọi người như nhau: người công bình hay là kẻ hung ác, người hiền lành, thanh sạch, người dâng của tế lễ hay là người không dâng, người thiện hay là kẻ có tội, kẻ phát thề hay là người sợ lời thề, cả thảy đều đồng hưởng một số phận.|凡 臨 到 眾 人 的 事 、 都 是 一 樣 ． 義 人 和 惡 人 、 都 遭 遇 一 樣 的 事 ． 好 人 、 潔 淨 人 和 不 潔 淨 人 、 獻 祭 的 與 不 獻 祭 的 、 也 是 一 樣 ． 好 人 如 何 、 罪 人 也 如 何 ． 起 誓 的 如 何 、 怕 起 誓 的 也 如 何 。
Tai nạn lớn hơn dưới mặt trời, ấy là mọi người đồng gặp một số phận, lòng loài người đầy dẫy sự hung ác, và sự điên cuồng choán trong lòng họ đương khi sống, rồi họ đi về cùng kẻ chết.|在 日 光 之 下 所 行 的 一 切 事 上 、 有 一 件 禍 患 、 就 是 眾 人 所 遭 遇 的 、 都 是 一 樣 ． 並 且 世 人 的 心 、 充 滿 了 惡 ． 活 著 的 時 候 心 裡 狂 妄 、 後 來 就 歸 死 人 那 裡 去 了 。
Một người ở trong hội kẻ sống, còn có sự trông mong; vì con chó sống hơn là sư tử chết.|與 一 切 活 人 相 連 的 、 那 人 還 有 指 望 ． 因 為 活 著 的 狗 、 比 死 了 的 獅 子 更 強 。
Kẻ sống biết mình sẽ chết; nhưng kẻ chết chẳng biết chi hết, chẳng được phần thưởng gì hết; vì sự kỷ niệm họ đã bị quên đi.|活 著 的 人 、 知 道 必 死 ． 死 了 的 人 、 毫 無 所 知 ． 也 不 再 得 賞 賜 、 他 們 的 名 無 人 記 念 ．
Sự yêu, sự ghét, sự ganh gỗ của họ thảy đều tiêu mất từ lâu; họ chẳng hề còn có phần nào về mọi điều làm ra dưới mặt trời.|他 們 的 愛 、 他 們 的 恨 、 他 們 的 嫉 妒 、 早 都 消 滅 了 ． 在 日 光 之 下 所 行 的 一 切 事 上 、 他 們 永 不 再 有 分 了 。
Hãy đi ăn bánh cách vui mừng, và uống rượu cách hớn hở; vì Đức Chúa Trời đã nhận các công việc ngươi.|你 只 管 去 歡 歡 喜 喜 喫 你 的 飯 ． 心 中 快 樂 喝 你 的 酒 ． 因 為 　 神 已 經 悅 納 你 的 作 為 。
Khá hằng mặc áo trắng, chớ thiếu dầu thơm trên đầu ngươi.|你 的 衣 服 當 時 常 潔 白 ． 你 頭 上 也 不 要 缺 少 膏 油 。
Trọn các ngày của đời hư không ngươi, mà Đức Chúa Trời ban cho ngươi dưới mặt trời, hãy ở vui vẻ cùng vợ yêu dấu; vì đó là phần của ngươi trong đời nầy, và là điều ngươi được bởi công lao mình làm ở dưới mặt trời.|在 你 一 生 虛 空 的 年 日 、 就 是 　 神 賜 你 在 日 光 之 下 虛 空 的 年 日 、 當 同 你 所 愛 的 妻 、 快 活 度 日 ． 因 為 那 是 你 生 前 、 在 日 光 之 下 勞 碌 的 事 上 所 得 的 分 。
Mọi việc tay ngươi làm được, hãy làm hết sức mình; vì dưới âm phủ, là nơi ngươi đi đến, chẳng có việc làm, chẳng có mưu kế, cũng chẳng có tri thức, hay là sự khôn ngoan.|凡 你 手 所 當 作 的 事 、 要 盡 力 去 作 ． 因 為 在 你 所 必 去 的 陰 間 、 沒 有 工 作 、 沒 有 謀 算 、 沒 有 知 識 、 也 沒 有 智 慧 。
Ta xây lại thấy dưới mặt trời có kẻ lẹ làng chẳng được cuộc chạy đua, người mạnh sức chẳng được thắng trận, kẻ khôn ngoan không đặng bánh, kẻ thông sáng chẳng hưởng của cải, và người khôn khéo chẳng được ơn; vì thời thế và cơ hội xảy đến cho mọi người.|我 又 轉 念 、 見 日 光 之 下 、 快 跑 的 未 必 能 贏 、 力 戰 的 未 必 得 勝 、 智 慧 的 未 必 得 糧 食 、 明 哲 的 未 必 得 貲 財 、 靈 巧 的 未 必 得 喜 悅 ． 所 臨 到 眾 人 的 、 是 在 乎 當 時 的 機 會 。
Lại, loài người chẳng hiểu biết thời thế của mình: như cá mắc lưới, chỉ phải bẫy dò thể nào, thì loài người cũng bị vấn vương trong thời tai họa xảy đến thình lình thể ấy.|原 來 人 也 不 知 道 自 己 的 定 期 ． 魚 被 惡 網 圈 住 、 鳥 被 網 羅 捉 住 、 禍 患 忽 然 臨 到 的 時 候 、 世 人 陷 在 其 中 、 也 是 如 此 。
Ta cũng đã thấy sự khôn ngoan nầy dưới mặt trời, thật lấy làm cả thể.|我 見 日 光 之 下 有 一 樣 智 慧 、 據 我 看 乃 是 廣 大 、
Có thành nhỏ kia được một ít dân sự, một vua cường thạnh đến vây hãm nó, đắp những lũy cao lớn cùng nó.|就 是 有 一 小 城 、 其 中 的 人 數 稀 少 、 有 大 君 王 來 攻 擊 、 修 築 營 壘 、 將 城 圍 困 ．
Vả, trong thành ấy có một người nghèo mà khôn, dùng sự khôn ngoan mình giải cứu thành ấy; song về sau không ai nhớ đến người nghèo đó.|城 中 有 一 個 貧 窮 的 智 慧 人 、 他 用 智 慧 救 了 那 城 、 卻 沒 有 人 記 念 那 窮 人 ．
Ta bèn nói rằng: Sự khôn ngoan hơn sức mạnh; nhưng mà sự khôn ngoan của người nghèo bị khinh dể, và lời nói của người không ai nghe.|我 就 說 、 智 慧 勝 過 勇 力 ． 然 而 那 貧 窮 人 的 智 慧 、 被 人 藐 視 、 他 的 話 也 無 人 聽 從 。
Lời của người khôn ngoan được nghe tại nơi êm lặng còn hơn tiếng kỳ lạ của kẻ cai trị trong đám dại dột.|寧 可 在 安 靜 之 中 聽 智 慧 人 的 言 語 、 不 聽 掌 管 愚 昧 人 的 喊 聲 。
Sự khôn ngoan hơn đồ binh khí; nhưng chỉ một người có tội phá hủy được nhiều sự lành.|智 慧 勝 過 打 仗 的 兵 器 ． 但 一 個 罪 人 、 能 敗 壞 許 多 善 事 。

					Giảng Sư 10				|
						傳道書 10					
Con ruồi chết làm cho thúi dầu thơm của thợ hòa hương; cũng vậy, một chút điên dại làm nhẹ danh một người khôn ngoan sang trọng.|死 ? 蠅 、 使 作 香 的 膏 油 發 出 臭 氣 ． 這 樣 、 一 點 愚 昧 、 也 能 敗 壞 智 慧 和 尊 榮 。
Trái tim của người khôn ở bên hữu; còn trái tim của kẻ dại ở bên tả.|智 慧 人 的 心 居 右 ． 愚 昧 人 的 心 居 左 。
Lại khi kẻ dại đi đường, rõ ra là thiếu mất lẽ phải; nó nói cho mọi người rằng mình là kẻ dại.|並 且 愚 昧 人 行 路 、 顯 出 無 知 ． 對 眾 人 說 、 他 是 愚 昧 人 。
Nếu người cai quản nổi giận cùng ngươi, chớ lìa khỏi chỗ mình; vì sự mềm mại ngăn ngừa được tội lỗi lớn.|掌 權 者 的 心 、 若 向 你 發 怒 、 不 要 離 開 你 的 本 位 、 因 為 柔 和 能 免 大 過 。
Có một tai nạn ta đã thấy dưới mặt trời, như một sự lỗi lầm do quan trưởng phạm:|我 見 日 光 之 下 、 有 一 件 禍 患 、 似 乎 出 於 掌 權 的 錯 誤 、
ấy là kẻ ngu muội được đặt ở nơi cao, còn người giàu lại ngồi chỗ thấp.|就 是 愚 昧 人 立 在 高 位 ． 富 足 人 坐 在 低 位 。
Ta đã thấy kẻ tôi tớ đi ngựa, còn quan trưởng đi bộ như tôi tớ vậy.|我 見 過 僕 人 騎 馬 、 王 子 像 僕 人 在 地 上 步 行 。
Kẻ nào đào hầm sẽ sa xuống đó, còn kẻ phá vách tường phải bị rắn cắn.|挖 陷 坑 的 、 自 己 必 掉 在 其 中 ． 拆 牆 垣 的 、 必 為 蛇 所 咬 。
Ai lăn đã khỏi chỗ nó, sẽ bị thương; kẻ bửa củi có khi phải hiểm nghèo.|鑿 開 〔 或 作 挪 移 〕 石 頭 的 、 必 受 損 傷 ． 劈 開 木 頭 的 、 必 遭 危 險 。
Cái rìu lụt mà không mài lưỡi nó lại, ắt phải rán sức còng nhiều; nhưng sự khôn ngoan có ích đặng dẫn dắt.|鐵 器 鈍 了 、 若 不 將 刃 磨 快 、 就 必 多 費 氣 力 ． 但 得 智 慧 指 教 、 便 有 益 處 。
Nếu rắn cắn trước khi bị ếm chú, thì thầy ếm chú chẳng làm ích gì.|未 行 法 術 以 先 、 蛇 若 咬 人 、 後 行 法 術 也 是 無 益 。
Lời của miệng người khôn ngoan có ơn; nhưng môi của kẻ khờ dại lại nuốt lấy nó.|智 慧 人 的 口 、 說 出 恩 言 ． 愚 昧 人 的 嘴 、 吞 滅 自 己 。
Lời nói của miệng nó, khởi đầu là ngược đãi, cuối cùng vẫn điên cuồng nguy hiểm.|他 口 中 的 言 語 、 起 頭 是 愚 昧 ． 他 話 的 末 尾 、 是 奸 惡 的 狂 妄 。
Kẻ ngu muội hay nói nhiều lời; dầu vậy, người ta chẳng biết điều sẽ xảy đến; và ai là kẻ tỏ ra được cho nó sự sẽ có sau mình?|愚 昧 人 多 有 言 語 、 人 卻 不 知 將 來 有 甚 麼 事 ． 他 身 後 的 事 、 誰 能 告 訴 他 呢 。
Công lao kẻ ngu muội làm cho mệt nhọc chúng nó, vì chẳng biết phải bắt đường nào đặng đi đến thành.|凡 愚 昧 人 、 他 的 勞 碌 使 自 己 困 乏 ． 因 為 連 進 城 的 路 他 也 不 知 道 。
Hỡi xứ, khốn thay cho mầy khi có vua còn thơ ấu, và các quan trưởng mầy ăn từ lúc buổi sáng.|邦 國 阿 、 你 的 王 若 是 孩 童 、 你 的 群 臣 早 晨 宴 樂 、 你 就 有 禍 了 。
Hỡi xứ, phước cho mầy khi có vua là dòng cao sang, và các quan trưởng mầy ăn theo giờ xứng đáng, để bổ sức lại, chớ chẳng phải để đắm say!|邦 國 阿 、 你 的 王 若 是 貴 冑 之 子 、 你 的 群 臣 按 時 喫 喝 、 為 要 補 力 、 不 為 酒 醉 、 你 就 有 福 了 。
Tại tay làm biếng nên rường nhà sụp; vì tay nhác nhớn nên nhà dột.|因 人 懶 惰 、 房 頂 塌 下 ． 因 人 手 懶 、 房 屋 滴 漏 。
