
					II Cô-rinh-tô 1				|
Vả, hoặc chúng tôi cuồng, ấy là vì Đức Chúa Trời; hoặc chúng tôi dè giữ, ấy là vì anh em.|我 們 若 果 顛 狂 、 是 為 　 神 ． 若 果 謹 守 、 是 為 你 們 。
Vì tình yêu thương của Đấng Christ cảm động chúng tôi, và chúng tôi tưởng rằng nếu có một người chết vì mọi người, thì mọi người đều chết,|原 來 基 督 的 愛 激 勵 我 們 ． 因 我 們 想 一 人 既 替 眾 人 死 、 眾 人 就 都 死 了 ．
lại Ngài đã chết vì mọi người, hầu cho những kẻ còn sống không vì chính mình mà sống nữa, nhưng sống vì Đấng đã chết và sống lại cho mình.|並 且 他 替 眾 人 死 、 是 叫 那 些 活 著 的 人 、 不 再 為 自 己 活 、 乃 為 替 他 們 死 而 復 活 的 主 活 。
Bởi đó, từ rày về sau, chúng tôi không theo xác thịt mà nhận biết ai nữa; và, dẫu chúng tôi từng theo xác thịt mà nhận biết Đấng Christ, song cũng chẳng còn nhận biết Ngài cách ấy đâu.|所 以 我 們 從 今 以 後 、 不 憑 著 外 貌 〔 原 文 作 內 體 本 節 同 〕 認 人 了 ． 雖 然 憑 著 外 貌 認 過 基 督 、 如 今 卻 不 再 這 樣 認 他 了 。
Vậy, nếu ai ở trong Đấng Christ, thì nấy là người dựng nên mới; những sự cũ đã qua đi, nầy mọi sự đều trở nên mới.|若 有 人 在 基 督 裡 、 他 就 是 新 造 的 人 ． 舊 事 已 過 、 都 變 成 新 的 了 。
Mọi điều đó đến bởi Đức Chúa Trời, Ngài đã làm cho chúng ta nhờ Đấng Christ mà được hòa thuận lại cùng Ngài, và giao chức vụ giảng hòa cho chúng ta.|一 切 都 是 出 於 　 神 、 他 藉 著 基 督 使 我 們 與 他 和 好 、 又 將 勸 人 與 他 和 好 的 職 分 賜 給 我 們 ．
Vì chưng Đức Chúa Trời vốn ở trong Đấng Christ, làm cho thế gian lại hòa với Ngài, chẳng kể tội lỗi cho loài người, và đã phó đạo giảng hòa cho chúng tôi.|這 就 是 　 神 在 基 督 裡 、 叫 世 人 與 自 己 和 好 、 不 將 他 們 的 過 犯 歸 到 他 們 身 上 ． 並 且 將 這 和 好 的 道 理 託 付 了 我 們 。
Vậy chúng tôi làm chức khâm sai của Đấng Christ, cũng như Đức Chúa Trời bởi chúng tôi mà khuyên bảo. Chúng tôi nhơn danh Đấng Christ mà nài xin anh em: hãy hòa thuận lại với Đức Chúa Trời.|所 以 我 們 作 基 督 的 使 者 、 就 好 像 　 神 藉 我 們 勸 你 們 一 般 ． 我 們 替 基 督 求 你 們 與 　 神 和 好 。
Đức Chúa Trời đã làm cho Đấng vốn chẳng biết tội lỗi trở nên tội lỗi vì chúng ta, hầu cho chúng ta nhờ Đấng đó mà được trở nên sự công bình của Đức Chúa Trời.|　 神 使 那 無 罪 的 、 〔 無 罪 原 文 作 不 知 罪 〕 替 我 們 成 為 罪 ． 好 叫 我 們 在 他 裡 面 成 為 　 神 的 義 。

					II Cô-rinh-tô 6				|
						哥林多後書 6					
Ay vậy, vì chúng tôi làm việc với Chúa, nên xin anh em chớ chịu ơn Đức Chúa Trời luống không.|我 們 與 　 神 同 工 的 、 也 勸 你 們 、 不 可 徒 受 他 的 恩 典 ．
Vì Ngài phán rằng: Ta đã nhậm lời ngươi trong thì thuận tiện, Ta đã phù hộ ngươi trong ngày cứu rỗi. Kìa, hiện nay là thì thuận tiện; kìa, hiện nay là ngày cứu rỗi!|因 為 他 說 、 『 在 悅 納 的 時 候 、 我 應 允 了 你 ． 在 拯 救 的 子 、 我 搭 救 了 你 。 』 看 哪 、 現 在 正 是 悅 納 的 時 候 、 現 在 正 是 拯 救 的 日 子 。
Chúng tôi chẳng làm cho ai vấp phạm, hầu cho chức vụ của mình khỏi bị một tiếng chê bai nào.|我 們 凡 事 都 不 叫 人 有 妨 礙 、 免 得 這 職 分 被 人 毀 謗 ．
Nhưng chúng tôi làm cho mình đáng trượng trong mọi sự, như kẻ hầu việc Đức Chúa Trời, bởi lòng nhịn nhục lắm trong những sự hoạn nạn, thiếu thốn, khốn khổ,|反 倒 在 各 樣 的 事 上 、 表 明 自 己 是 　 神 的 用 人 、 就 如 在 許 多 的 忍 耐 、 患 難 、 窮 乏 、 困 苦 、
đòn vọt, lao tù, rối loạn, khó nhọc, tỉnh thức, kiêng ăn;|鞭 打 、 監 禁 、 擾 亂 、 勤 勞 、 儆 醒 、 不 食 、
bởi sự thanh sạch, thông biết, khoan nhẫn, nhơn từ, bởi Đức Thánh Linh, bởi lòng yêu thương thật tình,|廉 潔 、 知 識 、 恆 忍 、 恩 慈 、 聖 靈 的 感 化 、 無 偽 的 愛 心 、
bởi lời chơn thật, bởi quyền phép Đức Chúa Trời, cầm những khí giới công bình ở tay hữu và tay tả;|真 實 的 道 理 、 　 神 的 大 能 ． 仁 義 的 兵 器 在 左 在 右 ．
dầu vinh dầu nhục, dầu mang tiếng xấu, dầu được tiếng tốt;|榮 耀 羞 辱 、 惡 名 美 名 ． 似 乎 是 誘 惑 人 的 、 卻 是 誠 實 的 ．
ngó như kẻ phỉnh dỗ, nhưng là kẻ thật thà; ngó như kẻ xa lạ, nhưng là kẻ quen biết lắm; ngó như gần chết, mà nay vẫn sống; ngó như bị sửa phạt, mà không đến chịu giết;|似 乎 不 為 人 所 知 、 卻 是 人 所 共 知 的 ． 似 乎 要 死 、 卻 是 活 著 的 ． 似 乎 受 責 罰 、 卻 是 不 至 喪 命 的 ．
ngó như buồn rầu, mà thường được vui mừng; ngó như nghèo ngặt, mà thật làm cho nhiều người được giàu có ngó như không có gì cả, mà có đủ mọi sự!|似 乎 憂 愁 、 卻 是 常 常 快 樂 的 ． 似 乎 貧 窮 、 卻 是 叫 許 多 人 富 足 的 ． 似 乎 一 無 所 有 、 卻 是 樣 樣 都 有 的 。
Hỡi người Cô-rinh-tô, miệng chúng tôi hả ra vì anh em, lòng chúng tôi mở rộng.|哥 林 多 人 哪 、 我 們 向 你 們 、 口 是 張 開 的 、 心 是 寬 宏 的 。
Chẳng phải chúng tôi hẹp hòi đãi anh em, nhưng ấy là lòng anh em tự làm nên hẹp hòi.|你 們 狹 窄 、 原 不 在 乎 我 們 、 是 在 乎 自 己 的 心 腸 狹 窄 。
Hãy báo đáp chúng tôi như vậy, tôi nói với anh em như nói với con cái mình, cũng hãy mở rộng lòng anh em!|你 們 也 要 照 樣 用 寬 宏 的 心 報 答 我 ． 我 這 話 正 像 對 自 己 的 孩 子 說 的 。
Chớ mang ách chung với kẻ chẳng tin. Bởi vì công bình với gian ác có hòa hiệp nhau được chăng? Sự sáng với sự tối có thông đồng nhau được chăng?|你 們 和 不 信 的 原 不 相 配 、 不 要 同 負 一 軛 ． 義 和 不 義 有 甚 麼 相 交 呢 ． 光 明 和 黑 暗 有 甚 麼 相 通 呢 ．
Đấng Christ và Bê-li-an nào có hòa hiệp chi, hay là kẻ tin có phần gì với kẻ chẳng tin?|基 督 和 彼 列 〔 彼 列 就 是 撒 但 的 別 名 〕 有 甚 麼 相 和 呢 ． 信 主 的 和 不 信 主 的 有 甚 麼 相 干 呢 ．
Có thể nào hiệp đền thờ Đức Chúa Trời lại với hình tượng tà thần? Vì chúng ta là đền thờ của Đức Chúa Trời hằng sống, như Đức Chúa Trời đã phán rằng: Ta sẽ ở và đi lại giữa họ; ta sẽ làm Đức Chúa Trời của họ, và họ làm dân ta.|　 神 的 殿 和 偶 像 有 甚 麼 相 同 呢 ． 因 為 我 們 是 永 生 　 神 的 殿 ． 就 如 　 神 曾 說 、 『 我 要 在 他 們 中 間 居 住 、 在 他 們 中 間 來 往 ． 我 要 作 他 們 的 　 神 、 他 們 要 作 我 的 子 民 。 』
Bởi vậy Chúa phán rằng: Hãy ra khỏi giữa chúng nó, hãy phân rẽ ra khỏi chúng nó, đừng đá động đến đồ ô uế, Thì ta sẽ tiếp nhận các ngươi:|又 說 、 『 你 們 務 要 從 他 們 中 間 出 來 、 與 他 們 分 別 、 不 要 沾 不 潔 淨 的 物 、 我 就 收 納 你 們 。
Ta sẽ làm Chúa các ngươi, Các ngươi làm con trai con gái ta, Chúa Toàn năng phán như vậy.|我 要 作 你 們 的 父 、 你 們 要 作 我 的 兒 女 。 』 這 是 全 能 的 主 說 的 。

					II Cô-rinh-tô 7				|
						哥林多後書 7					
Hỡi những kẻ rất yêu dấu của tôi, chúng ta đã có lời hứa dường ấy, thì hãy làm cho mình sạch khỏi mọi sự dơ bẩn phần xác thịt và phần thần linh, lại lấy sự kính sợ Đức Chúa Trời mà làm cho trọn việc nên thánh của chúng ta.|親 愛 的 弟 兄 阿 、 我 們 既 有 這 等 應 許 、 就 當 潔 淨 自 己 、 除 去 身 體 靈 魂 一 切 的 污 穢 、 敬 畏 　 神 、 得 以 成 聖 。
Hãy mở lòng anh em cho chúng tôi: chúng tôi chẳng có làm hại ai, lừa dối ai; thủ lợi ai.|你 們 要 心 地 寬 大 收 納 我 們 ． 我 們 未 曾 虧 負 誰 、 未 曾 敗 壞 誰 、 未 曾 佔 誰 的 便 宜 。
Tôi chẳng nói điều đó để buộc tội anh em; vì tôi đã nói rằng lòng chúng tôi thuộc về anh em, dầu sống hay chết cũng vậy.|我 說 這 話 、 不 是 要 定 你 們 的 罪 ． 我 已 經 說 過 、 你 們 常 在 我 們 心 裡 、 情 願 與 你 們 同 生 同 死 。
Tôi nói với anh em cách bạo dạn; tôi được đầy sự yên ủi, tôi được vui mừng quá bội ở giữa mọi sự khó khăn.|我 大 大 的 放 膽 、 向 你 們 說 話 ． 我 因 你 們 多 多 誇 口 、 滿 得 安 慰 ． 我 們 在 一 切 患 難 中 分 外 的 快 樂 。
Vả, khi chúng tôi đến trong xứ Ma-xê-đoan, xác thịt chẳng được yên nghỉ chút nào. Chúng tôi khốn đốn đủ mọi cách: ngoài thì có sự chiến trận, trong thì có sự lo sợ.|我 們 從 前 就 是 到 了 馬 其 頓 的 時 候 、 身 體 也 不 得 著 安 寧 、 周 圍 遭 患 難 、 外 有 爭 戰 、 內 有 懼 怕 ．
Nhưng Đức Chúa Trời là Đấng yên ủi kẻ ngã lòng, đã yên ủi tôi bởi Tít đến nơi;|但 那 安 慰 喪 氣 之 人 的 　 神 、 藉 著 提 多 來 安 慰 了 我 們 ．
không những bởi người đến mà thôi, nhưng lại bởi sự yên ủi người đã nhận lãnh nơi anh em nữa: người có nói cho chúng tôi biết anh em rất ao ước, khóc lóc, và có lòng sốt sắng đối với tôi, điều đó làm cho tôi càng vui mừng thêm.|不 但 藉 著 他 來 、 也 藉 著 他 從 你 們 所 得 的 安 慰 、 安 慰 了 我 們 ． 因 他 把 你 們 的 想 念 、 哀 慟 、 和 向 我 的 熱 心 、 都 告 訴 了 我 、 叫 我 更 加 歡 喜 。
Dầu nhơn bức thơ tôi, đã làm cho anh em buồn rầu, thì tôi chẳng lấy làm phàn nàn; mà nếu trước đã phàn nàn ,|我 先 前 寫 信 叫 你 們 憂 愁 ． 我 後 來 雖 然 懊 悔 、 如 今 卻 不 懊 悔 ． 因 我 知 道 那 信 叫 你 們 憂 愁 、 不 過 是 暫 時 的 。
nay tôi lại mừng, không phải mừng về sự anh em đã phải buồn rầu, song mừng về sự buồn rầu làm cho anh em sanh lòng hối cải. Thật, anh em đã buồn rầu theo ý Đức Chúa Trời, đến nỗi chưa chịu thiệt hại bởi chúng tôi chút nào.|如 今 我 歡 喜 、 不 是 因 你 們 憂 愁 、 是 因 你 們 從 憂 愁 中 生 出 懊 悔 來 ． 你 們 依 著 　 神 的 意 思 憂 愁 、 凡 事 就 不 至 於 因 我 們 受 虧 損 了 。
Vì sự buồn rầu theo ý Đức Chúa Trời sanh ra sự hối cải, và sự hối cải dẫn đến sự rỗi linh hồn; về sự đó người ta chẳng hề ăn năn, còn sự buồn rầu theo thế gian sanh ra sự chết.|因 為 依 著 　 神 的 意 思 憂 愁 、 就 生 出 沒 有 後 悔 的 懊 悔 來 、 以 致 得 救 ． 但 世 俗 的 憂 愁 、 是 叫 人 死 。
Vậy, hãy xem, sự buồn rầu theo ý Đức Chúa Trời sanh ra sự ân cần trong anh em là dường nào! Lại có sự chữa chối, buồn giận, răn sợ, sốt sắng, nông nả, trách phạt là dường nào! Anh em đã tỏ ra cho ai nấy đều biết rằng mình vốn là thanh sạch trong việc đó.|你 看 、 你 們 依 著 　 神 的 意 思 憂 愁 、 從 此 就 生 出 何 等 的 慇 懃 、 自 訴 、 自 恨 、 恐 懼 、 想 念 、 熱 心 、 責 罰 ． 〔 或 作 自 責 〕 在 這 一 切 事 上 你 們 都 表 明 自 己 是 潔 淨 的 。
Lại còn, nếu tôi đã viết thơ cho anh em, ấy không phải vì cớ kẻ làm sự trái nghịch, cũng không phải vì cớ kẻ chịu sự trái nghịch; nhưng hầu cho lòng anh em yêu chuộng chúng tôi được tỏ ra giữa anh em ở trước mặt Đức Chúa Trời.|我 雖 然 從 前 寫 信 給 你 們 、 卻 不 是 為 那 虧 負 人 的 、 也 不 是 為 那 受 人 虧 負 的 、 乃 要 在 　 神 面 前 、 把 你 們 顧 念 我 們 的 熱 心 、 表 明 出 來 。
Ay là điều đã yên ủi chúng tôi. Nhơn sự yên ủi đó chúng tôi lại được sự vui mừng càng lớn hơn nữa, khi thấy sự vui mừng của Tít; vì anh em thảy đều đã để cho tâm thần người được yên lặng.|故 此 我 們 得 了 安 慰 、 並 且 在 安 慰 之 中 、 因 你 們 眾 人 使 提 多 心 裡 暢 快 歡 喜 、 我 們 就 更 加 歡 喜 了 。
Nếu tôi đã khoe mình với Tít về anh em trong sự gì, thì tôi cũng chẳng hổ thẹn; nhưng vì chúng tôi đã thường nói điều thật với anh em, nên lời khen về anh em mà chúng tôi khoe với Tít cũng thấy là thật.|我 若 對 提 多 誇 獎 了 你 們 甚 麼 、 也 覺 得 沒 有 慚 愧 ． 因 我 對 提 多 誇 獎 你 們 的 話 、 成 了 真 的 ． 正 如 我 對 你 們 所 說 的 話 、 也 都 是 真 的 。
Khi người nhớ đến sự vâng lời của anh em hết thảy, và anh em tiếp người cách sợ sệt run rẩy dường nào, thì tình yêu thương của người đối với anh em càng bội lên.|並 且 提 多 想 起 你 們 眾 人 的 順 服 、 是 怎 樣 恐 懼 戰 兢 的 接 待 他 、 他 愛 你 們 的 心 腸 就 越 發 熱 了 。
Tôi vui mừng vì có thể tin cậy anh em trong mọi sự.|我 如 今 歡 喜 、 能 在 凡 事 上 為 你 們 放 心 。

					II Cô-rinh-tô 8				|
						哥林多後書 8					
Hỡi anh em, chúng tôi muốn anh em biết ơn Đức Chúa Trời đã làm cho các Hội thánh ở xứ Ma-xê-đoan:|弟 兄 們 、 我 把 　 神 賜 給 馬 其 頓 眾 教 會 的 恩 告 訴 你 們 ．
đang khi họ chịu nhiều hoạn nạn thử thách, thì lòng quá vui mừng, và cơn rất nghèo khó của họ đã rải rộng ra sự dư dật của lòng rộng rãi mình.|就 是 他 們 在 患 難 中 受 大 試 煉 的 時 候 、 仍 有 滿 足 的 快 樂 、 在 極 窮 之 間 、 還 格 外 顯 出 他 們 樂 捐 的 厚 恩 。
Vì tôi làm chứng cho họ rằng họ đã tự ý quyên tiền theo sức mình, hoặc cũng quá sức nữa,|我 可 以 證 明 他 們 是 按 著 力 量 、 而 且 也 過 了 力 量 、 自 己 甘 心 樂 意 的 捐 助 ．
và nài xin chúng tôi làm ơn cho họ có phần vào sự giùm giúp các thánh đồ.|再 三 的 求 我 們 、 准 他 們 在 這 供 給 聖 徒 的 恩 情 上 有 分 ．
Họ lại làm quá lòng trông cậy của chúng tôi, vì trước hết đã dâng chính mình cho Chúa, và sau lại cho chúng tôi, theo ý muốn Đức Chúa Trời.|並 且 他 們 所 作 的 、 不 但 照 我 們 所 想 望 的 、 更 照 　 神 的 旨 意 、 先 把 自 己 獻 給 主 、 又 歸 附 了 我 們 。
Vậy nên chúng tôi đã khuyên Tít đi đến nơi anh em để làm trọn việc nhơn đức nầy, như người đã khởi sự làm.|因 此 我 勸 提 多 、 既 然 在 你 們 中 間 開 辦 這 慈 惠 的 事 、 就 當 辦 成 了 。
Vậy thì, như anh em đều trổi hơn về mọi việc, tức là về đức tin, về lời giảng, về sự vâng lời, về mọi sự sốt sắng, về tình yêu chúng tôi, thì cũng hãy chủ ý làm cho trổi hơn về việc nhơn đức nầy.|你 們 既 然 在 信 心 、 口 才 、 知 識 、 熱 心 、 和 待 我 們 的 愛 心 上 、 都 格 外 顯 出 滿 足 來 、 就 當 在 這 慈 惠 的 事 上 、 也 格 外 顯 出 滿 足 來 。
Tôi nói điều đó chẳng phải truyền dạy anh em; nhưng bởi kẻ khác làm gương sốt sắng, thì tôi cũng muốn thử xem sự thành thực của lòng yêu thương anh em là thể nào.|我 說 這 話 、 不 是 吩 咐 你 們 、 乃 是 藉 著 別 人 的 熱 心 、 試 驗 你 們 愛 心 的 實 在 。
Vì anh em biết ơn của Đức Chúa Jêsus Christ chúng ta, Ngài vốn giàu, vì anh em mà tự làm nên nghèo, hầu cho bởi sự nghèo của Ngài, anh em được nên giàu.|你 們 知 道 我 們 主 耶 穌 基 督 的 恩 典 、 他 本 來 富 足 、 卻 為 你 們 成 了 貧 窮 、 叫 你 們 因 他 的 貧 窮 、 可 以 成 為 富 足 。
Ay là ý tôi ngỏ cho anh em; ý đó có ích cho anh em, vì từ năm trước, anh em đã là người thứ nhứt, chẳng người ra tay làm việc nầy, lại vui lòng mà làm nữa.|我 在 這 事 上 把 我 的 意 見 告 訴 你 們 、 是 與 你 們 有 益 ． 因 為 你 們 下 手 辦 這 事 ． 而 且 起 此 心 意 、 已 經 有 一 年 了 。
Vậy bây giờ, hãy làm trọn công việc của anh em, hầu cho như anh em đã sẵn lòng thể nào thì làm cho trọn theo tài năng mình.|如 今 就 當 辦 成 這 事 ． 既 有 願 作 的 心 、 也 當 照 你 們 所 有 的 去 辦 成 。
Vì nếu mình lấy lòng tốt mà làm, thì được đẹp ý theo điều mình có, chớ chẳng theo điều mình không có.|因 為 人 若 有 願 作 的 心 、 必 蒙 悅 納 、 乃 是 照 他 所 有 的 、 並 不 是 照 他 所 無 的 。
Tôi chẳng khuyên bảo anh em chịu túng tíu để giúp đỡ kẻ khác, nhưng tôi muốn có sự bằng nhau.|我 原 不 是 要 別 人 輕 省 、 你 們 受 累 、
Theo cảnh bây giờ, anh em có dư thì bù cho họ lúc túng thiếu, hầu cho họ có dư cũng bù lại lúc túng thiếu cho anh em, như vậy là bằng nhau,|乃 要 均 平 ． 就 是 要 你 們 的 富 餘 、 現 在 可 以 補 他 們 的 不 足 、 使 他 們 的 富 餘 、 將 來 也 可 以 補 你 們 的 不 足 、 這 就 均 平 了 。
theo lời chép rằng: Kẻ đã thâu nhiều cũng chẳng dư, kẻ thâu ít cũng chẳng thiếu chi.|如 經 上 所 記 、 『 多 收 的 也 沒 有 餘 、 少 收 的 也 沒 有 缺 。 』
Tạ ơn Đức Chúa Trời về sự Ngài đã xui lòng Tít cũng ân cần với anh em thể ấy;|多 謝 　 神 、 感 動 提 多 的 心 、 叫 他 待 你 們 殷 勤 、 像 我 一 樣 。
vì người nghe lời tôi khuyên, và cũng bởi sốt sắng, thì người tự ý đi đến thăm anh em.|他 固 然 是 聽 了 我 的 勸 ． 但 自 己 更 是 熱 心 、 情 願 往 你 們 那 裡 去 。
Chúng tôi có sai một người anh em cùng đi, là người có tiếng khen đồn khắp trong các Hội thánh, tại những điều người đã làm vì đạo Tin Lành.|我 們 還 打 發 一 位 弟 兄 和 他 同 去 ． 這 人 在 福 音 上 得 了 眾 教 會 的 稱 讚 ．
Vả lại, người đã được các Hội thánh chọn lựa, để làm bạn đi đường cùng chúng tôi trong việc nhơn đức nầy, là việc chúng tôi làm trọn để tỏ vinh hiển chính mình Chúa ra, và để làm chứng về ý tốt của chúng tôi.|不 但 這 樣 、 他 也 被 眾 教 會 挑 選 、 和 我 們 同 行 、 把 所 託 與 付 我 們 的 這 捐 貲 送 到 了 、 可 以 榮 耀 主 、 又 表 明 我 們 樂 意 的 心 。
Chúng tôi nhờ đó tránh khỏi tiếng trách móc về sự dùng tiền góp nhiều như vậy;|這 就 免 得 有 人 因 我 們 收 的 捐 銀 很 多 、 就 挑 我 們 的 不 是 。
vì chúng tôi tìm tòi điều lành, chẳng những ở trước mặt Chúa, mà cũng ở trước mặt người ta nữa.|我 們 留 心 行 光 明 的 事 、 不 但 在 主 面 前 、 就 在 人 面 前 、 也 是 這 樣 。
Chúng tôi lại sai một người trong anh em chúng tôi đi với họ, là người có lòng sốt sắng mà đòi phen chúng tôi đã thử thách trong nhiều dịp; lần nầy, vì cớ người có lòng rất tin cậy anh em, thì chắc là càng sốt sắng hơn.|我 們 又 打 發 一 位 兄 弟 同 去 ． 這 人 的 熱 心 、 我 們 在 許 多 事 上 、 屢 次 試 驗 過 、 現 在 他 因 為 深 信 你 們 、 就 更 加 熱 心 了 。
Ay vậy, nói về Tít, thì là bạn bè tôi, và là người cùng làm việc với tôi ở nơi anh em; còn như hai anh em kia, là sứ giả của các Hội thánh, tức là sự vinh hiển của Đấng Christ.|論 到 提 多 、 他 是 我 的 同 伴 、 一 同 為 你 們 勞 碌 的 ． 論 到 那 兩 位 弟 兄 、 他 們 是 眾 教 會 的 使 者 、 是 基 督 的 榮 耀 。
Vậy, anh em ở trước mặt các Hội thánh, hãy tỏ chứng cớ của sự yêu thương mình, và bày ra cho họ biết chúng tôi có cớ khoe mình nơi họ vì anh em.|所 以 你 們 務 要 在 眾 教 會 面 前 、 顯 明 你 們 愛 心 的 憑 據 、 並 我 所 誇 獎 你 們 的 憑 據 。

					II Cô-rinh-tô 9				|
						哥林多後書 9					
Vả lại, về sự giúp đỡ thánh đồ, thì không cần viết thêm cho anh em nữa.|論 到 供 給 聖 徒 的 事 、 我 不 必 寫 信 給 你 們 ．
Vì tôi biết anh em sẵn lòng, và tôi khoe mình về anh em với người Ma-xê-đoan, nói rằng người A-chai đã sắm sẵn từ năm ngoái; lòng sốt sắng của anh em lại đã giục lòng nhiều người khác.|因 為 我 知 道 你 們 樂 意 的 心 、 常 對 馬 其 頓 人 誇 獎 你 們 、 說 亞 該 亞 人 豫 備 好 了 、 已 經 有 一 年 了 ． 並 且 你 們 的 熱 心 激 動 了 許 多 人 。
Song tôi đã sai các anh em kia đến cùng anh em, hầu cho lời tôi khen anh em khỏi ra vô ích trong điều nầy, và hầu cho anh em sẵn sàng như lời tôi đã nói.|但 我 打 發 那 幾 位 弟 兄 去 、 要 叫 你 們 照 我 的 話 豫 備 妥 當 ． 免 得 我 們 在 這 事 上 誇 獎 你 們 的 話 落 了 空 。
Tôi e rằng nếu người Ma-xê-đoan đến với tôi, thấy anh em không sẵn, thì sự tin cậy đó đổi nên điều hổ thẹn cho chúng tôi chăng, còn anh em không kể đến.|萬 一 有 馬 其 頓 人 與 我 們 同 去 、 見 你 們 沒 有 豫 備 、 就 叫 我 們 所 確 信 的 、 反 成 了 羞 愧 ． 你 們 的 羞 愧 、 更 不 用 說 了 。
Vậy tôi nghĩ cần phải xin các anh em kia đi trước chúng tôi đến cùng anh em, và cần phải sắm sẵn của bố thí mà anh em đã hứa, hầu cho của ấy sẵn sàng như một việc bởi lòng thành, chẳng phải bởi ý gắng gượng.|因 此 、 我 想 不 得 不 求 那 幾 位 弟 兄 、 先 到 你 們 那 裡 去 、 把 從 前 所 應 許 的 捐 貲 、 豫 備 妥 當 、 就 顯 出 你 們 所 捐 的 、 是 出 於 樂 意 、 不 是 出 於 勉 強 ．
Hãy biết rõ điều đó, hễ ai gieo ít thì gặt ít, ai gieo nhiều thì gặt nhiều.|少 種 的 少 收 、 多 種 的 多 收 ． 這 話 是 真 的 。
Mỗi người nên tùy theo lòng mình đã định mà quyên ra, không phải phàn nàn hay vì ép uổng; vì Đức Chúa Trời yêu kẻ thí của cách vui lòng.|各 人 要 隨 本 心 所 酌 定 的 ． 不 要 作 難 、 不 要 勉 強 ． 因 為 捐 得 樂 意 的 人 、 是 　 神 所 喜 愛 的 。
Đức Chúa Trời có quyền ban cho anh em đủ mọi thứ ơn đầy dẫy, hầu cho anh em hằng đủ điều cần dùng trong mọi sự, lại còn có rời rộng nữa để làm các thứ việc lành,|　 神 能 將 各 樣 的 恩 惠 、 多 多 的 加 給 你 們 ． 使 你 們 凡 事 常 常 充 足 、 能 多 行 各 樣 善 事 ．
như có chép rằng: Người đã rải ra, đã thí cho kẻ nghèo; Sự công bình của người có đời đời.|如 經 上 所 記 、 『 他 施 捨 錢 財 、 賙 濟 貧 窮 ． 他 的 仁 義 存 到 永 遠 。 』
Đấng phát hột giống cho kẻ gieo giống và bánh để nuôi mình, cũng sẽ phát hột giống cho anh em và làm cho sanh hóa ra nhiều, Ngài lại sẽ thêm nhiều trái của sự công bình anh em nữa.|那 賜 種 給 撒 種 的 、 賜 糧 給 人 喫 的 、 必 多 多 加 給 你 們 種 地 的 種 子 、 又 增 添 你 們 仁 義 的 果 子 ．
Như vậy, anh em được giàu trong mọi sự, để làm đủ mọi cách bố thí, hầu cho người khác bởi chúng tôi mà tạ ơn Đức Chúa Trời.|叫 你 們 凡 事 富 足 、 可 以 多 多 施 捨 、 就 藉 著 我 們 使 感 謝 歸 於 　 神 。
Vì việc phát tiền bố thí dường ấy chẳng những dỡ ngặt cho các thánh đồ mà thôi, lại xui nhiều người càng thêm lòng tạ ơn Đức Chúa Trời.|因 為 辦 這 供 給 的 事 、 不 但 補 聖 徒 的 缺 乏 、 而 且 叫 許 多 人 越 發 感 謝 　 神 。
Bởi việc đó họ đã biết lòng rộng rãi của anh em, thì ngợi khen Đức Chúa Trời vì anh em từng vâng phục trong sự làm chứng về đạo Tin Lành của Đấng Christ, và vì cớ lòng rộng rãi về sự bố thí của anh em đối với họ cùng với mọi người.|他 們 從 這 供 給 的 事 上 得 了 憑 據 、 知 道 你 們 承 認 基 督 順 服 他 的 福 音 、 多 多 的 捐 錢 給 他 們 和 眾 人 、 便 將 榮 耀 歸 與 　 神 ．
Họ lại cầu nguyện cho anh em, yêu anh em cách âu yếm, vì cớ Đức Chúa Trời đã ban cho anh em ân điển quá đỗi.|他 們 也 因 　 神 極 大 的 恩 賜 、 顯 在 你 們 心 裡 、 就 切 切 的 想 念 你 們 、 為 你 們 祈 禱 。
Tạ ơn Đức Chúa Trời, vì sự ban cho của Ngài không xiết kể!|感 謝 　 神 、 因 他 有 說 不 盡 的 恩 賜 。

					II Cô-rinh-tô 10				|
						哥林多後書 10					
Tôi là Phao-lô, bởi sự nhu mì, nhơn từ của Đấng Christ mà xin anh em, tôi là người hèn hạ lắm trong khi gặp mặt giữa anh em nhưng lúc vắng mặt, đối với anh em, tỏ ra biết bao là dạn dĩ!|我 保 羅 、 就 是 與 你 們 見 面 的 時 候 是 謙 卑 的 、 不 在 你 們 那 裡 的 時 候 向 你 們 是 勇 敢 的 、 如 今 親 自 藉 著 基 督 的 溫 柔 和 平 、 勸 你 們 。
tôi nài xin anh em chớ ép tôi, khi tôi sẽ có mặt, phải dùng sự dạn dĩ mà tôi toan dùng nghịch cùng mấy kẻ kia tưởng chúng tôi ăn ở theo xác thịt.|有 人 以 為 我 是 憑 著 血 氣 行 事 、 我 也 以 為 必 須 用 勇 敢 待 這 等 的 人 、 求 你 們 不 要 叫 我 在 你 們 那 裡 的 時 候 、 有 這 樣 的 勇 敢 。
Vì chúng tôi dầu sống trong xác thịt, chớ chẳng tranh chiến theo xác thịt.|因 為 我 們 雖 然 在 血 氣 中 行 事 、 卻 不 憑 著 血 氣 爭 戰 ．
