
					Nê-hê-mi-a 1				|
Song dân Giu-đa ở giữa họ, đến mười lần báo cáo chúng tôi rằng: Thù nghịch bởi bốn phương chạy đến.|那 靠 近 敵 人 居 住 的 猶 大 人 、 十 次 從 各 處 來 見 我 們 說 、 你 們 必 要 回 到 我 們 那 裡 。
Tôi bèn lập những đồn trong các nơi thấp ở phía sau vách thành, và tại những nơi trống trải; tôi đặt dân sự từng họ hàng tại đó, có cầm gươm, giáo và cung.|所 以 我 使 百 姓 各 按 宗 族 、 拿 刀 、 拿 槍 、 拿 弓 站 在 城 牆 後 邊 低 窪 的 空 處 。
Tôi xem xét, chổi dậy, và nói với các người tước vị, quan tướng, và dân sự còn sót lại rằng: Chớ sợ chúng; khá đánh kinh, hãy chiến đấu cho anh em mình, cho con trai con gái mình, cho vợ và nhà của mình.|我 察 看 了 、 就 起 來 對 貴 冑 、 官 長 、 和 其 餘 的 人 說 、 不 要 怕 他 們 、 當 記 念 主 是 大 而 可 畏 的 ． 你 們 要 為 弟 兄 、 兒 女 、 妻 子 、 家 產 爭 戰 。
Khi các thù nghịch chúng tôi hay rằng chúng tôi đã được báo tin, và Đức Chúa Trời có bại mưu của chúng nó, thì hết thảy chúng tôi đều trở lại nơi vách thành, ai nấy về làm công việc mình.|仇 敵 聽 見 我 們 知 道 他 們 的 心 意 、 見 　 神 也 破 壞 他 們 的 計 謀 、 就 不 來 了 。 我 們 都 回 到 城 牆 那 裡 、 各 作 各 的 工 。
Từ ngày đó, phân nửa số đầy tớ tôi làm công việc, còn phân nửa kia cầm cây giáo, khiên, cung, và giáp; các quan trưởng đều đứng ở sau cả nhà Giu-đa.|從 那 日 起 、 我 的 僕 人 一 半 作 工 、 一 半 拿 槍 、 拿 盾 牌 、 拿 弓 、 穿 鎧 甲 ． 〔 穿 或 作 拿 〕 官 長 都 站 在 猶 大 眾 人 的 後 邊 。
Những kẻ xây sửa vách thành, những kẻ khiêng gánh, và những kẻ chất lên, một tay thì làm công việc, còn một tay thì cầm binh khí mình.|修 造 城 牆 的 、 扛 抬 材 料 的 、 都 一 手 作 工 、 一 手 拿 兵 器 。
Những kẻ xây sửa, ai nấy đều có cây gươm mình đeo nơi lưng, rồi xây sửa; còn kẻ thổi kèn thì ở bên tôi.|修 造 的 人 、 都 腰 間 佩 刀 修 造 、 吹 角 的 人 在 我 旁 邊 。
Tôi nói với các người tước vị, các quan trưởng, và dân sự còn sót lại, mà rằng: Công việc thì lớn và dài, còn chúng ta làm rải rác ở trên vách, người này cách xa người kia.|我 對 貴 冑 、 官 長 、 和 其 餘 的 人 說 、 這 工 程 浩 大 、 我 們 在 城 牆 上 相 離 甚 遠 ．
Tại nơi nào các ngươi nghe tiếng kèn, thì hãy nhóm lại cùng chúng ta ở đó; Đức Chúa Trời của chúng ta sẽ chiến đấu cho chúng ta.|你 們 聽 見 角 聲 在 那 裡 、 就 聚 集 到 我 們 那 裡 去 ． 我 們 的 　 神 必 為 我 們 爭 戰 。
Chúng tôi làm công việc là như vậy; phân nửa họ cầm cây giáo từ lúc rạng đông cho đến khi sao mọc.|於 是 我 們 作 工 、 一 半 拿 兵 器 、 從 天 亮 直 到 星 宿 出 現 的 時 候 。
Trong lúc ấy, tôi cũng nói với dân sự rằng: Mỗi người hãy cùng tôi tớ mình ngủ đêm chúng phòng giữ, và ban ngày làm công việc.|那 時 、 我 又 對 百 姓 說 、 各 人 和 他 的 僕 人 當 在 耶 路 撒 冷 住 宿 、 好 在 夜 間 保 守 我 們 、 白 晝 作 工 。
Nào tôi, nào anh em tôi, nào các người đầy tớ tôi, nào những lính canh theo tôi, chẳng có ai cởi áo mình ra, mỗi người đều đeo binh khí nơi bên hữu mình.|這 樣 、 我 和 弟 兄 僕 人 、 並 跟 從 我 的 護 兵 、 都 不 脫 衣 服 、 出 去 打 水 也 帶 兵 器 。

					Nê-hê-mi-a 5				|
						尼希米記 5					
Khi ấy có tiếng kêu la lớn của dân sự và vợ họ về người Giu-đa, là anh em mình.|百 姓 和 他 們 的 妻 大 大 呼 號 、 埋 怨 他 們 的 弟 兄 猶 大 人 。
Có người nói rằng: Chúng tôi, con trai và con gái chúng tôi, đông đảo, và chúng tôi phải có lúa mì để ăn cho sống.|有 的 說 、 我 們 和 兒 女 人 口 眾 多 ． 要 去 得 糧 食 度 命 。
Cũng có người nói rằng: Trong khi đói kém, chúng tôi cầm ruộng, vườn nho và nhà chúng tôi hầu cho có lúa mì ăn.|有 的 說 、 我 們 典 了 田 地 、 葡 萄 園 、 房 屋 ． 要 得 糧 食 充 飢 ．
Lại có người khác nói rằng: Chúng tôi có cầm ruộng và vườn nho chúng tôi, mà vay bạc đặng đóng thuế cho vua.|有 的 說 、 我 們 已 經 指 著 田 地 、 葡 萄 園 、 借 了 錢 、 給 王 納 稅 。
Vả, thân của chúng tôi vốn như của anh em chúng tôi, các con trai chúng tôi khác nào các con trai họ; này chúng tôi phải bắt các con trai và con gái chúng tôi làm tôi mọi, và đã có đứa con gái chúng tôi làm tôi mọi rồi; không còn thuộc nơi quyền tay chúng tôi chuộc nó lại; vì đồng ruộng và vườn nho chúng tôi đã thuộc về kẻ khác.|我 們 的 身 體 、 與 我 們 弟 兄 的 身 體 一 樣 、 我 們 的 兒 女 與 他 們 的 兒 女 一 般 ． 現 在 我 們 將 要 使 兒 女 作 人 的 僕 婢 、 我 們 的 女 兒 已 有 為 婢 的 ． 我 們 並 無 力 拯 救 ． 因 為 我 們 的 田 地 、 葡 萄 園 、 已 經 歸 了 別 人 。
Khi tôi nghe các lời này và tiếng kêu la của họ, bèn lấy làm giận lắm.|我 聽 見 他 們 呼 號 、 說 這 些 話 、 便 甚 發 怒 。
Lòng tôi bàn tính về điều đó, cãi lẫy với những người tước vị và các quan trưởng, mà rằng: Các ngươi buộc tiền lời cho mỗi người anh em mình! Tôi nhóm lại một hội đông đảo đối nghịch chúng,|我 心 裡 籌 畫 、 就 斥 責 貴 冑 、 和 官 長 、 說 、 你 們 各 人 向 弟 兄 取 利 。 於 是 我 招 聚 大 會 攻 擊 他 們 。
mà nói rằng: Cứ theo quyền chúng ta có chuộc lại anh em chúng ta, là người Giu-đa, mà đã bị bán cho các dân tộc, và các ngươi lại muốn bán anh em mình sao? Chớ thì họ sẽ bị bán cho chúng ta sao? Chúng bèn làm thinh chẳng biết nói chi nữa.|我 對 他 們 說 、 我 們 盡 力 贖 回 我 們 弟 兄 、 就 是 賣 與 外 邦 的 猶 大 人 、 你 們 還 要 賣 弟 兄 、 使 我 們 贖 回 來 麼 。 他 們 就 靜 默 不 語 、 無 話 可 答 。
Tôi lại nói: Điều anh em làm chẳng được tốt. Anh em há chẳng đáng lẽ ăn ở cách kính sợ Đức Chúa Trời, e bị sỉ nhục giữa các dân tộc, là thù nghịch của chúng ta, sao?|我 又 說 、 你 們 所 行 的 不 善 ． 你 們 行 事 不 當 敬 畏 我 們 的 　 神 麼 ． 不 然 、 難 免 我 們 的 仇 敵 外 邦 人 毀 謗 我 們 。
Tôi, anh em tôi, và các đầy tớ tôi cũng có cho họ vay mượn bạc và lúa mì vậy. Nhưng tôi xin anh em hãy bỏ cái ăn lời này.|我 和 我 的 弟 兄 、 與 僕 人 、 也 將 銀 錢 糧 食 借 給 百 姓 ． 我 們 大 家 都 當 免 去 利 息 。
Tôi xin anh em chánh ngày nay, hãy trả lại cho họ đồng ruộng, vườn nho, vườn ô-li-ve, và nhà cửa của họ, cùng lời một phần trăm về bạc lúa mì, rượu, và dầu, mà anh em đã bắt họ nộp.|如 今 我 勸 你 們 將 他 們 的 田 地 、 葡 萄 園 、 橄 欖 園 、 房 屋 、 並 向 他 們 所 取 的 銀 錢 、 糧 食 、 新 酒 、 和 油 、 百 分 之 一 的 利 息 都 歸 還 他 們 。
Chúng nói rằng: Chúng tôi sẽ trả lại, và không đòi họ chi hết; chúng tôi sẽ làm như vậy y ông đã nói. Tôi đòi những thầy tế lễ, bắt chúng thề phải làm theo như lời hứa đó.|眾 人 說 、 我 們 必 歸 還 、 不 再 向 他 們 索 要 、 必 照 你 的 話 行 ． 我 就 召 了 祭 司 來 、 叫 眾 人 起 誓 、 必 照 著 所 應 許 的 而 行 。
Tôi cũng giũ vạt áo tôi, mà rằng: Phàm ai không giữ làm theo lời hứa này, nguyện Đức Chúa Trời hãy giũ hắn khỏi nhà và khỏi hoa lợi của công lao hắn; nguyện hắn bị giũ sạch không như vậy! Cả hội chúng đồng nói: A-men! Chúng ngợi khen Đức Giê-hô-va. Đoạn, dân sự đều làm theo lời hứa ấy.|我 也 抖 著 胸 前 的 衣 襟 說 、 凡 不 成 就 這 應 許 的 、 願 　 神 照 樣 抖 他 離 開 家 產 和 他 勞 碌 得 來 的 、 直 到 抖 空 了 。 會 眾 都 說 、 阿 們 、 又 讚 美 耶 和 華 。 百 姓 就 照 著 所 應 許 的 去 行 。
Vả lại, từ ngày tôi được lập làm tổng trấn trong xứ Giu-đa, tức từ năm thứ hai mươi cho đến năm thứ ba mươi hai đời vua At-ta-xét-xe, cộng trong mười hai năm, tôi hoặc anh em tôi chẳng ăn lương lộc thường cấp cho quan tổng trấn.|自 從 我 奉 派 作 猶 大 地 的 省 長 、 就 是 從 亞 達 薛 西 王 二 十 年 、 直 到 三 十 二 年 、 共 十 二 年 之 久 、 我 與 我 弟 兄 都 沒 有 喫 省 長 的 俸 祿 。
Nhưng các quan tổng trấn đã đến nhậm trước tôi, bắt dân sự cấp dưỡng, lấy cho mình lượng thực, và rượu, trừ ra bốn mươi siếc lơ bạc; đến đỗi các đầy tớ họ cũng lấn lướt trên dân sự nữa. Nhưng tôi không có làm như vậy; vì cớ kính sợ Đức Chúa Trời.|在 我 以 前 的 省 長 、 加 重 百 姓 的 擔 子 、 每 日 索 要 糧 食 和 酒 、 並 銀 子 四 十 舍 客 勒 、 就 是 他 們 的 僕 人 也 轄 制 百 姓 ． 但 我 因 敬 畏 　 神 、 不 這 樣 行 。
Lại tôi cũng giữ bền vững trong công việc xây sửa vách này, chẳng có mua đồng ruộng nào; và các đầy tớ tôi đều hội hiệp lại đó đặng làm công việc.|並 且 我 恆 心 修 造 城 牆 、 並 沒 有 置 買 田 地 ． 我 的 僕 人 也 都 聚 集 在 那 裡 作 工 。
Nơi bàn ăn tôi cũng có một trăm năm mươi người Giu-đa và quan trưởng, ngoại trừ những kẻ ở giữa các dân tộc chung quanh chúng tôi đi đến.|除 了 從 四 圍 外 邦 中 來 的 猶 大 人 以 外 、 有 猶 大 平 民 和 官 長 、 一 百 五 十 人 在 我 席 上 喫 飯 。
Vả, người ta dọn ăn cho mỗi ngày một con bò, sáu con chiên chọn lựa; người ta cũng dọn những gà vịt, và mỗi mười ngày đủ các thứ rượu rất nhiều. Dầu như vậy, tôi cũng không đòi lương lộc của phần tổng trấn, vì công dịch lấy làm nặng nề cho dân sự này.|每 日 豫 備 一 隻 公 牛 、 六 隻 肥 羊 ． 又 豫 備 些 飛 禽 、 每 十 日 一 次 、 多 豫 備 各 樣 的 酒 ． 雖 然 如 此 、 我 並 不 要 省 長 的 俸 祿 ． 因 為 百 姓 服 役 甚 重 。
Hỡi Đức Chúa Trời tôi ôi! nguyện Chúa nhớ lại tôi về các điều tôi đã làm cho dân sự này, và làm ơn cho tôi.|我 的 　 神 阿 、 求 你 記 念 我 為 這 百 姓 所 行 的 一 切 事 、 施 恩 與 我 。

					Nê-hê-mi-a 6				|
						尼希米記 6					
Xảy khi San-ba-lát, Tô-bi-gia, Ghê-sem, là người A rạp, và các thù nghịch chúng tôi khác, hay rằng tôi đã xây sửa vách thành rồi, không còn nơi hư lũng nào nữa, dầu cho đến lúc ấy tôi chưa tra cánh cửa,|參 巴 拉 、 多 比 雅 、 亞 拉 伯 人 基 善 、 和 我 們 其 餘 的 仇 敵 、 聽 見 我 已 經 修 完 了 城 牆 、 其 中 沒 有 破 裂 之 處 （ 那 時 我 還 沒 有 安 門 扇 ）
thì San-ba-lát và Ghê-sem, sai đến nói với tôi rằng: Hãy đến, ta sẽ gặp nhau trong một làng nào tại trũng Ô-nô. Nhưng chúng có ý làm hại tôi.|參 巴 拉 和 基 善 就 打 發 人 來 見 我 、 說 、 請 你 來 、 我 們 在 阿 挪 平 原 的 一 個 莊 村 相 會 。 他 們 卻 想 害 我 。
Tôi sai sứ giả đến nói cùng chúng rằng: Ta mắc làm công việc lớn, xuống không đặng. Lẽ nào để công việc dứt trong khi bỏ nó đặng đi xuống với các ngươi?|於 是 我 差 遣 人 去 見 他 們 說 、 我 現 在 辦 理 大 工 、 不 能 下 去 ． 焉 能 停 工 、 下 去 見 你 們 呢 。
Chúng sai nói với tôi bốn lượt như vậy; song tôi đáp lại với chúng cũng y nhau.|他 們 這 樣 四 次 打 發 人 來 見 我 、 我 都 如 此 回 答 他 們 。
Lần thứ năm, San-ba-lát sai kẻ tôi tớ người, cũng như cách cũ, có cầm thơ không niêm nơi tay;|參 巴 拉 第 五 次 打 發 僕 人 來 見 我 、 手 裡 拿 著 未 封 的 信 、
trong thơ có viết rằng: Trong các dân tộc người ta nghe đồn và Gát-mu nói rằng: Ong và người Giu-đa toan nhau dấy loạn; tại cớ ấy, nên ông mới xây sửa vách thành; và cứ theo lời đồn đó, tất ông muốn lên làm vua của chúng.|信 上 寫 著 說 、 外 邦 人 中 有 風 聲 、 迦 施 慕 〔 就 是 基 善 見 二 章 十 九 節 〕 也 說 、 你 和 猶 大 人 謀 反 修 造 城 牆 、 你 要 作 他 們 的 王 。
Lại ông có lặp những tiên tri đặng truyền giảng về ông tại trong Giê-ru-sa-lem rằng: Có một vua trong xứ Giu-đa! Bây giờ người ta chắc sẽ tâu cho vua nghe cũng các việc ấy; vậy, hãy đến, để chúng ta nghị luận với nhau.|你 又 派 先 知 在 耶 路 撒 冷 指 著 你 宣 講 、 說 、 在 猶 大 有 王 ． 現 在 這 話 必 傳 與 王 知 ． 所 以 請 你 來 、 與 我 們 彼 此 商 議 。
Tôi sai nói với người ta rằng: Những điều ngươi nói, chẳng có ai làm chút nào; nhưng chánh trong lòng ngươi có đặt nó ra.|我 就 差 遣 人 去 見 他 說 、 你 所 說 的 這 事 、 一 概 沒 有 、 是 你 心 裡 捏 造 的 。
Vì chúng nó muốn nhát cho chúng tôi hết thảy đều sợ hãi; chúng nó rằng: Tay của chúng nó sẽ bị mỏi mệt, không làm công việc nữa. Vậy bây giờ, hỡi Chúa, hãy làm cho tay tôi mạnh mẽ.|他 們 都 要 使 我 們 懼 怕 、 意 思 說 、 他 們 的 手 必 軟 弱 、 以 致 工 作 不 能 成 就 。 　 神 阿 、 求 你 堅 固 我 的 手 。
Đoạn, tôi đi đến nhà của Sê-ma-gia, con trai của Đê-la-gia, cháu của Mê-hê-ta-bê-ên ; người nói rằng: Chúng ta hãy gặp nhau tại trong nhà của Đức Chúa Trời, chánh giữa đền thờ, rồi chúng ta sẽ đóng các cửa đền thờ lại; vì chúng nó sẽ đến giết ông; ấy lúc ban đêm mà chúng nó toan đến giết ông.|我 到 了 米 希 大 別 的 孫 子 第 來 雅 的 兒 子 示 瑪 雅 家 裡 ． 那 時 、 他 閉 門 不 出 ． 他 說 、 我 們 不 如 在 　 神 的 殿 裡 會 面 、 將 殿 門 關 鎖 ． 因 為 他 們 要 來 殺 你 、 就 是 夜 裡 來 殺 你 。
Tôi nói: một người như tôi đây sẽ chạy trốn ư? Người nào như tôi đây vào trong đền thờ mà lại được sống sao? Tôi không vào đâu.|我 說 、 像 我 這 樣 的 人 、 豈 要 逃 跑 呢 ． 像 我 這 樣 的 人 、 豈 能 進 入 殿 裡 保 全 生 命 呢 ． 我 不 進 去 。
Tôi nhìn biết chẳng phải Đức Chúa Trời có sai người đến, vì người nói lời tiên tri đó nghịch với tôi. Tô-bi-gia và San-ba-lát đã mướn người vậy.|我 看 明 　 神 沒 有 差 遣 他 、 是 他 自 己 說 這 話 攻 擊 我 ． 是 多 比 雅 和 參 巴 拉 賄 買 了 他 。
Vì tại đó, người được trả tiền công đặng khiến tôi sợ hãi, dụ tôi phạm tội, hầu cho chúng nó có cớ đồn tiếng xấu xa, và làm sỉ nhục tôi.|賄 買 他 的 緣 故 、 是 要 叫 我 懼 怕 、 依 從 他 犯 罪 、 他 們 好 傳 揚 惡 言 毀 謗 我 。
Đức Chúa Trời tôi ôi! Xin hãy nhớ Tô-bi-gia và San-ba-lát, tùy theo các công việc này mà hai người đã làm; xin cũng nhớ đến Nô -a-đia, nữ tiên tri, và các tiên tri khác đã muốn làm cho tôi sợ hãi!|我 的 　 神 阿 、 多 比 雅 、 參 巴 拉 、 女 先 知 挪 亞 底 、 和 其 餘 的 先 知 、 要 叫 我 懼 怕 、 求 你 記 念 他 們 所 行 的 這 些 事 。
Vậy, ngày hai mươi tháng Ê-lun, vách thành sửa xong, hết năm mươi hai ngày.|以 祿 月 二 十 五 日 城 牆 修 完 了 、 共 修 了 五 十 二 天 。
Khi những thù nghịch chúng tôi hay được điều đó, thì các dân tộc chung quanh chúng tôi đều sợ hãi và lấy làm ngã lòng; vì chúng nó nhìn biết rằng công việc này thành được bởi Đức Chúa Trời của chúng tôi.|我 們 一 切 仇 敵 、 四 圍 的 外 邦 人 、 聽 見 了 便 懼 怕 、 愁 眉 不 展 ． 因 為 見 這 工 作 完 成 、 是 出 乎 我 們 的 　 神 。
Cũng trong những ngày ấy, có các người tước vị của xứ Giu-đa gởi lắm thơ từ cho Tô-bi-gia và Tô-bi-gia đáp thơ gởi lại cho chúng.|在 那 些 日 子 猶 大 的 貴 冑 屢 次 寄 信 與 多 比 雅 、 多 比 雅 也 來 信 與 他 們 。
Vì tại Giu-đa có nhiều kẻ đã thề kết hiệp với người, bởi người là rể của Sê-ca-nia, con trai của A-ra; và Giô-ha-nan, con trai người, đã cưới con gái của Mê-su-lam, là con trai của Bê-rê-kia.|在 猶 大 有 許 多 人 與 多 比 雅 結 盟 、 因 他 是 亞 拉 的 兒 子 、 示 迦 尼 的 女 婿 ． 並 且 他 的 兒 子 約 哈 難 娶 了 比 利 迦 兒 子 米 書 蘭 的 女 兒 為 妻 。
Chúng cũng nói trước mặt tôi những việc tốt lành của người và chúng học lại cho người các lời của tôi. Còn Tô-bi-gia gởi thơ để làm cho tôi sợ hãi.|他 們 常 在 我 面 前 說 多 比 雅 的 善 行 、 也 將 我 的 話 傳 與 他 。 多 比 雅 又 常 寄 信 來 、 要 叫 我 懼 怕 。

					Nê-hê-mi-a 7				|
						尼希米記 7					
Khi vách thành đã xây xong, và tôi đã tra các cánh cửa, lập những người giữ cửa, kẻ ca hát, và người Lê-vi trong chức việc của họ,|城 牆 修 完 、 我 安 了 門 扇 、 守 門 的 、 歌 唱 的 、 和 利 未 人 、 都 已 派 定 。
thì tôi giao phó việc cai trị Giê-ru-sa-lem cho Ha-na-ni, em tôi, và cho Ha-na-nia, quan tể cung; vì là một người trung tín và kính sợ Đức Chúa Trời hơn nhiều kẻ khác.|我 就 派 我 的 弟 兄 哈 拿 尼 、 和 營 樓 的 宰 官 哈 拿 尼 雅 、 管 理 耶 路 撒 冷 ． 因 為 哈 拿 尼 雅 是 忠 信 的 、 又 敬 畏 　 神 過 於 眾 人 。
Tôi dặn chúng rằng: Chớ mở các cửa Giê-ru-sa-lem trước khi mặt trời nắng nóng; người ta phải đóng cánh cửa, và gài then lại trong lúc kẻ giữ cửa còn ở tại đó; lại phải đặt người trong dân Giê-ru-sa-lem theo phiên mà canh giữ, mỗi người đứng canh nơi đối ngang nhà mình.|我 吩 咐 他 們 說 、 等 到 太 陽 上 升 、 纔 可 開 耶 路 撒 冷 的 城 門 ． 人 尚 看 守 的 時 候 、 就 要 關 門 、 上 閂 、 也 當 派 耶 路 撒 冷 的 居 民 、 各 按 班 次 、 看 守 自 己 房 屋 對 面 之 處 。
Vả, thành thì rộng rãi lớn lao, còn dân sự ở trong nó lại ít, và nhà mới thì chưa có cất.|城 是 廣 大 、 其 中 的 民 卻 稀 少 、 房 屋 還 沒 有 建 造 。
Đức Chúa Trời tôi có cảm động lòng tôi chiêu tập những người tước vị, các quan trưởng, và dân sự, đặng đem chúng vào sổ từng gia phổ. Tôi có tìm đặng một cuốn bộ gia phổ của những người đã trở lên lần đầu, và trong đó tôi thấy có ghi rằng:|我 的 　 神 感 動 我 心 、 招 聚 貴 冑 、 官 長 、 和 百 姓 、 要 照 家 譜 計 算 。 我 找 著 第 一 次 上 來 之 人 的 家 譜 、 其 上 寫 著 ．
Này là các người tỉnh Giu-đa từ nơi làm phu tù được trở lên, tức những kẻ thuộc trong bọn bị Nê-bu-ca-nết-sa bắt dẫn từ; chúng trở lại Giê-ru-sa-lem và xứ Giu-đa, ai nấy đều về bổn thành mình;|巴 比 倫 王 尼 布 甲 尼 撒 從 前 擄 去 猶 大 省 的 人 、 現 在 他 們 的 子 孫 、 從 被 擄 到 之 地 回 耶 路 撒 冷 、 和 猶 大 各 歸 本 城 ．
chúng trở về với Xô-rô-ba-bên, Giê-sua, Nê-hê-mi, A-xa-ria, Ra -a-mia, Na-ha-ma-ni, Mạc-đô-chê, Binh-san, Mích-bê-rết, Biết-vai, Bê-hum, và Ba -a-na. Nầy là số tu bộ những người nam của dân Y-sơ-ra-ên;|他 們 是 同 著 所 羅 巴 伯 、 耶 書 亞 、 尼 希 米 、 亞 撒 利 雅 、 拉 米 、 拿 哈 瑪 尼 、 末 底 改 、 必 珊 、 米 斯 毘 列 、 比 革 瓦 伊 、 尼 宏 、 巴 拿 回 來 的 。
Về con cháu Pha-rốt, hai ngàn một trăm bảy mươi hai người;|以 色 列 人 民 的 數 目 、 記 在 下 面 ． 巴 錄 的 子 孫 、 二 千 一 百 七 十 二 名 。
về con cháu Sê-pha-tia, ba trăm bảy mươi hai người.|示 法 提 雅 的 子 孫 、 三 百 七 十 二 名 。
Về con cháu A-ra, sáu trăm năm mươi hai người.|亞 拉 的 子 孫 、 六 百 五 十 二 名 。
Về co cháu Pha-hát-Mô-áp, con cháu của Giê-sua và Giô-áp, có hai ngàn tám trăm mười tám người.|巴 哈 摩 押 的 後 裔 、 就 是 耶 書 亞 和 約 押 的 子 孫 、 二 千 八 百 一 十 八 名 。
Về co cháu Ê-lam, một ngàn hai trăm năm mươi bốn người.|以 攔 的 子 孫 、 一 千 二 百 五 十 四 名 。
Về con cháu Xát-tu, tám trăm bốn mươi lăm người.|薩 土 的 子 孫 、 八 百 四 十 五 名 。
Về con cháu Xác-cai, bảy trăm sáu mươi người.|薩 改 的 子 孫 、 七 百 六 十 名 。
Về con cháu Bin-nui, sáu trăm bốn mươi tám người.|賓 內 的 子 孫 、 六 百 四 十 八 名 。
Về con cháu Bê-bai, sáu trăm hai mươi tám người.|比 拜 的 子 孫 、 六 百 二 十 八 名 。
Về con cháu A-gát, hai ngàn ba trăm hai mươi hai người.|押 甲 的 子 孫 、 二 千 三 百 二 十 二 名 。
Về con cháu A-đô-ni-cam, sáu trăm sáu mươi bảy người.|亞 多 尼 干 的 子 孫 、 六 百 六 十 七 名 。
Về con cháu Biết-vai, hai ngàn sáu mươi bảy người.|比 革 瓦 伊 的 子 孫 、 二 千 零 六 十 七 名 。
Về con cháu A-đin, sáu trăm năm mươi lăm người.|亞 丁 的 子 孫 、 六 百 五 十 五 名 。
Con cháu A-te, về dòng dõi Ê-xê-chia, có chín mươi tám người.|亞 特 的 後 裔 、 就 是 希 西 家 的 子 孫 、 九 十 八 名 ．
Về con cháu Ha-sum, ba trăm hai mươi tám người.|哈 順 的 子 孫 、 三 百 二 十 八 名 。
Về con cháu Bết-sai, ba trăm hai mươi bốn người.|比 賽 的 子 孫 、 三 百 二 十 四 名 。
Về con cháu Ha-ríp, một trăm mười hai người.|哈 拉 的 子 孫 、 一 百 一 十 二 名 。
Về con cháu Ga-ba-ôn, chín mươi lăm người.|基 遍 人 、 九 十 五 名 。
Về những người Bết-lê-hem và Nê-tô-pha, một trăm tám mươi tám người.|伯 利 恆 人 和 尼 陀 法 人 、 共 一 百 八 十 八 名 。
Về những người A-na-tốt, một trăm hai mươi tám người.|亞 拿 突 人 、 一 百 二 十 八 名 。
Về những người Bết -A-ma-vết, bốn mươi hai người.|伯 亞 斯 瑪 弗 人 、 四 十 二 名 。
Về những người Ki-ri-át-Giê-ê-rốt, bảy trăm bốn mươi ba người.|基 列 耶 琳 人 、 基 非 拉 人 、 比 錄 人 、 共 七 百 四 十 三 名 。
Về những người Ra-ma và Ghê-ba, sáu trăm hai mươi mốt người.|拉 瑪 人 和 迦 巴 人 、 共 六 百 二 十 一 名 ．
Về những người Mích-ma, một trăm hai mươi hai người,|默 瑪 人 、 一 百 二 十 二 名 。
Về những người Bê-tên và A-hi, một trăm hai mươi ba người.|伯 特 利 人 和 艾 人 、 共 一 百 二 十 三 名 。
Về những người Nê-bô khác, năm mươi hai người.|別 的 尼 波 人 、 五 十 二 名 。
Về con cháu Ê-lam khác, một ngàn hai trăm năm mươi bốn người.|別 的 以 攔 子 孫 、 一 千 二 百 五 十 四 名 。
Về con cháu Ha-rim, ba trăm hai mươi người.|哈 琳 的 子 孫 、 三 百 二 十 名 。
Về con cháu Giê-ri-cô, ba trăm bốn mươi lăm người.|耶 利 哥 人 、 三 百 四 十 五 名 。
Về con cháu của Lô-đơ, của Ha-sít, và của Ô-nô, bảy trăm hai mươi mốt người.|羅 德 人 、 哈 第 人 、 阿 挪 人 、 共 七 百 二 十 一 名 。
Về con cháu Sê-na, ba ngàn chín trăm ba mươi người.|西 拿 人 、 三 千 九 百 三 十 名 。
Những thầy tế lễ: Về con cháu Giê-đa-gia, nhà Giê-sua, chín trăm bảy mươi ba người.|祭 司 ． 耶 書 亞 家 、 耶 大 雅 的 子 孫 、 九 百 七 十 三 名 。
Về con cháu Y-mê, một ngàn năm mươi hai người.|音 麥 的 子 孫 、 一 千 零 五 十 二 名 。
Về con cháu Pha-ru-sơ, một ngàn hai trăm bốn mươi bảy người.|巴 施 戶 珥 的 子 孫 、 一 千 二 百 四 十 七 名 。
Về con cháu Ha-rim, một ngàn mười bảy người.|哈 琳 的 子 孫 、 一 千 零 一 十 七 名 。
Người Lê-vi: Con cháu của Giê-sua và của Cát-mi-ên, về dòng dõi Hô-đê-va, bảy mươi bốn người.|利 未 人 ． 何 達 威 的 後 裔 、 就 是 耶 書 亞 和 甲 篾 的 子 孫 、 七 十 四 名 。
Người ca hát: Về con cháu A-sáp, một trăm bốn mươi tám người.|歌 唱 的 ． 亞 薩 的 子 孫 、 一 百 四 十 八 名 。
Kẻ giữ cửa: Về con cháu Sa-lum, con cháu A-te, con cháu Tanh-môn, con cháu A-cúp, con cháu Ha-ti-la, và con cháu Sô-bai, một trăm ba mươi tám người.|守 門 的 ． 沙 龍 的 子 孫 、 亞 特 的 子 孫 、 達 們 的 子 孫 、 亞 谷 的 子 孫 、 哈 底 大 的 子 孫 、 朔 拜 的 子 孫 、 共 一 百 三 十 八 名 。
Người Nê-thi-nim: Con cháu Xi-ha, con cháu Ha-su-pha, con cháu Ta-ba-ốt,|尼 提 寧 ． 〔 就 是 殿 役 〕 西 哈 的 子 孫 、 哈 蘇 巴 的 子 孫 、 答 巴 俄 的 子 孫 、
con cháu Kê-rốt, con cháu Sia, con cháu Pha-đôn,|基 綠 的 子 孫 、 西 亞 的 子 孫 、 巴 頓 的 子 孫 、
con cháu Lê-ba-na, con cháu Ha-ga-ba, con cháu Sanh-mai,|利 巴 拿 的 子 孫 、 哈 迦 巴 的 子 孫 、 薩 買 的 子 孫 、
con cháu Ha-nan, con cháu Ghi-đên, con cháu Ga-ha;|哈 難 的 子 孫 、 吉 德 的 子 孫 、 迦 哈 的 子 孫 、
