
					Giăng 1				|
Giăng là đuốc đã thắp và sáng, các ngươi bằng lòng vui tạm nơi ánh sáng của người.|約 翰 是 點 著 的 明 燈 ． 你 們 情 願 暫 時 喜 歡 他 的 光 。
Nhưng ta có một chứng lớn hơn chứng của Giăng; vì các việc Cha đã giao cho ta làm trọn, tức là các việc ta làm đó, làm chứng cho ta rằng Cha đã sai ta.|但 我 有 比 約 翰 更 大 的 見 證 ． 因 為 父 交 給 我 要 我 成 就 的 事 、 就 是 我 所 作 的 事 、 這 便 見 證 我 是 父 所 差 來 的 。
Chính Cha, là Đấng đã sai ta, cũng làm chứng về ta. Các ngươi chưa hề nghe tiếng Ngài, chưa hề thấy mặt Ngài,|差 我 來 的 父 也 為 我 作 過 見 證 。 你 們 從 來 沒 有 聽 見 他 的 聲 音 、 也 沒 有 看 見 他 的 形 像 。
và đạo Ngài không ở trong các ngươi, vì các ngươi không tin Đấng mà Ngài đã sai đến.|你 們 並 沒 有 他 的 道 存 在 心 裡 ． 因 為 他 所 差 來 的 、 你 們 不 信 。
Các ngươi dò xem Kinh Thánh, vì tưởng bởi đó được sự sống đời đời: ấy là Kinh Thánh làm chứng về ta vậy.|你 們 查 考 聖 經 ． 〔 或 作 應 當 查 考 聖 經 〕 因 你 們 以 為 內 中 有 永 生 ． 給 我 作 見 證 的 就 是 這 經 。
Các ngươi không muốn đến cùng ta để được sự sống!|然 而 你 們 不 肯 到 我 這 裡 來 得 生 命 。
Ta chẳng cầu vinh hiển bởi người ta mà đến đâu;|我 不 受 從 人 來 的 榮 耀 。
nhưng ta biết rằng các ngươi chẳng có sự yêu mến Đức Chúa Trời ở trong các ngươi.|但 我 知 道 你 們 心 裡 、 沒 有 　 神 的 愛 。
Ta nhơn danh Cha ta mà đến, các ngươi không nhận lấy ta. Nếu có kẻ khác lấy danh riêng mình mà đến, thì các ngươi sẽ nhận lấy.|我 奉 我 父 的 名 來 、 你 們 並 不 接 待 我 ． 若 有 別 人 奉 自 己 的 名 來 、 你 們 倒 要 接 待 他 。
Các ngươi vẫn chịu vinh hiển lẫn của nhau, không tìm kiếm vinh hiển bởi một mình Đức Chúa Trời đến, thì thể nào các ngươi tin được?|你 們 互 相 受 榮 耀 、 卻 不 求 從 獨 一 之 　 神 來 的 榮 耀 、 怎 能 信 我 呢 。
Chớ ngờ rằng ấy là ta sẽ tố cáo các ngươi trước mặt Cha, người sẽ tố cáo các ngươi là Môi-se, là người mà các ngươi trông cậy.|不 要 想 我 在 父 面 前 要 告 你 們 ． 有 一 位 告 你 們 的 、 就 是 你 們 所 仰 賴 的 摩 西 。
Vì nếu các ngươi tin Môi-se, cũng sẽ tin ta; bởi ấy là về ta mà người đã chép.|你 們 如 果 信 摩 西 、 也 必 信 我 ． 因 為 他 書 上 有 指 著 我 寫 的 話 。
Nhưng nếu các ngươi chẳng tin những lời người chép, các ngươi há lại tin lời ta sao?|你 們 若 不 信 他 的 書 、 怎 能 信 我 的 話 呢 。

					Giăng 6				|
						約翰福音 6					
Rồi đó, Đức Chúa Jêsus qua bờ bên kia biển Ga-li-lê, là biển Ti-bê-ri-át.|這 事 以 後 、 耶 穌 渡 過 加 利 利 海 、 就 是 提 比 哩 亞 海 。
Một đoàn dân đông theo Ngài, vì từng thấy các phép lạ Ngài làm cho những kẻ bịnh.|有 許 多 人 、 因 為 看 見 他 在 病 人 身 上 所 行 的 神 蹟 、 就 跟 隨 他 。
Nhưng Đức Chúa Jêsus lên trên núi, ngồi đó với môn đồ.|耶 穌 上 了 山 、 和 門 徒 一 同 坐 在 那 裡 。
Vả, lễ Vượt Qua, là lễ của đến Giu-đa gần tới.|那 時 猶 太 人 的 逾 越 節 近 了 。
Đức Chúa Jêsus ngước mắt lên, thấy một đoàn dân đông đến cùng mình, bèn phán với Phi-líp rằng: Chúng ta sẽ mua bánh ở đâu, để cho dân nầy có mà ăn?|耶 穌 舉 目 看 見 許 多 人 來 、 就 對 腓 力 說 、 我 們 從 那 裡 買 餅 叫 這 些 人 喫 呢 。
Ngài phán điều đó đặng thử Phi-líp, chớ Ngài đã biết điều Ngài sẽ làm rồi.|他 說 這 話 、 是 要 試 驗 腓 力 ． 他 自 己 原 知 道 要 怎 樣 行 。
Phi-líp thưa rằng: Hai trăm đơ-ni-ê bánh không đủ phát cho mỗi người một ít.|腓 力 回 答 說 、 就 是 二 十 兩 銀 子 的 餅 、 叫 他 們 各 人 喫 一 點 、 也 是 不 彀 的 。
Một môn đồ, là Anh-rê, em của Si-môn Phi -e-rơ, thưa rằng:|有 一 個 門 徒 、 就 是 西 門 彼 得 的 兄 弟 安 得 烈 、 對 耶 穌 說 、
Đây có một đứa con trai, có năm cái bánh mạch nha và hai con cá; nhưng đông người dường nầy, thì ngằn ấy có thấm vào đâu?|在 這 裡 有 一 個 孩 童 、 帶 著 五 個 大 麥 餅 、 兩 條 魚 ． 只 是 分 給 這 許 多 人 、 還 算 甚 麼 呢 。
Đức Chúa Jêsus bèn phán rằng: Hãy truyền cho chúng ngồi xuống. Vả, trong nơi đó có nhiều cỏ. Vậy, chúng ngồi xuống, số người ước được năm ngàn.|耶 穌 說 、 你 們 叫 眾 人 坐 下 。 原 來 那 地 方 的 草 多 、 眾 人 就 坐 下 、 數 目 約 有 五 千 。
Đức Chúa Jêsus lấy bánh, tạ ơn rồi, bèn phân phát cho những kẻ đã ngồi; Ngài cũng lấy cá phát cho chúng nữa, ai muốn bao nhiêu mặc ý.|耶 穌 拿 起 餅 來 、 祝 謝 了 、 就 分 給 那 坐 著 的 人 ． 分 魚 也 是 這 樣 、 都 隨 著 他 們 所 要 的 。
Khi chúng đã ăn được no nê, Ngài phán với môn đồ rằng: Hãy lượm những miếng còn thừa, hầu cho không mất chút nào.|他 們 喫 飽 了 、 耶 穌 對 門 徒 說 、 把 剩 下 的 零 碎 、 收 拾 起 來 、 免 得 有 蹧 蹋 的 。
Vậy, môn đồ lượm những miếng thừa của năm cái bánh mạch nha, sau khi người ta đã ăn rồi, chứa đầy mười hai giỏ.|他 們 便 將 那 五 個 大 麥 餅 的 零 碎 、 就 是 眾 人 喫 了 剩 下 的 、 收 拾 起 來 、 裝 滿 了 十 二 個 籃 子 。
Những người đó thấy phép lạ Đức Chúa Jêsus đã làm, thì nói rằng: Người nầy thật là Đấng tiên tri phải đến thế gian.|眾 人 看 見 耶 穌 所 行 的 神 蹟 、 就 說 、 這 真 是 那 要 到 世 間 來 的 先 知 。
Bấy giờ Đức Chúa Jêsus biết chúng có ý đến ép Ngài để tôn làm vua, bèn lui ở một mình trên núi.|耶 穌 既 知 道 眾 人 要 來 強 逼 他 作 王 、 就 獨 自 又 退 到 山 上 去 了 。
Đến chiều, môn đồ xuống nơi bờ biển,|到 了 晚 上 、 他 的 門 徒 下 海 邊 去 、
và vào trong một chiếc thuyền, sang thẳng bờ bên kia, hướng về thành Ca-bê-na-um. Trời chợt tối, mà Đức Chúa Jêsus còn chưa đến cùng các môn đồ.|上 了 船 、 要 過 海 往 迦 百 農 去 。 天 已 經 黑 了 、 耶 穌 還 沒 有 來 到 他 們 那 裡 。
Gió thổi ào ào, đến nỗi biển động dữ dội.|忽 然 狂 風 大 作 、 海 就 翻 騰 起 來 。
Khi các môn đồ đã chèo ra độ chừng hai mươi lăm hay là ba mươi ếch-ta-đơ, thấy Đức Chúa Jêsus đi trên mặt biển, gần tới chiếc thuyền, thì sợ hãi.|門 徒 搖 櫓 約 行 了 十 里 多 路 、 看 見 耶 穌 在 海 面 上 走 、 漸 漸 近 了 船 、 他 們 就 害 怕 。
Nhưng Ngài phán rằng: Ay là ta đây, đừng sợ chi!|耶 穌 對 他 們 說 、 是 我 ． 不 要 怕 。
Bấy giờ, môn đồ muốn rước Ngài vào thuyền; tức thì chiếc thuyền đậu vào bờ, là nơi định đi.|門 徒 就 喜 歡 接 他 上 船 、 船 立 時 到 了 他 們 所 要 去 的 地 方 。
Đoàn dân ở bờ biển bên kia, đã nhận rằng ở đó chỉ có một chiếc thuyền với môn đồ Ngài, chỉ một mình môn đồ đi mà thôi.|第 二 日 、 站 在 海 那 邊 的 眾 人 、 知 道 那 裡 沒 有 別 的 船 、 只 有 一 隻 小 船 、 又 知 道 耶 穌 沒 有 同 他 的 門 徒 上 船 、 乃 是 門 徒 自 己 去 的 ．
Qua ngày sau, có mấy chiếc thuyền khác từ thành Ti-bê-ri-át lại gần nơi chúng đã ăn bánh khi Chúa tạ ơn rồi,|然 而 有 幾 隻 小 船 從 提 比 哩 亞 來 、 靠 近 主 祝 謝 後 分 餅 給 人 喫 的 地 方 。
đoàn dân thấy Đức Chúa Jêsus không ở đó môn đồ cũng không, bèn vào mấy thuyền kia mà đi qua thành Ca-bê-na-um để tìm Đức Chúa Jêsus.|眾 人 見 耶 穌 和 門 徒 都 不 在 那 裡 、 就 上 了 船 、 往 迦 百 農 去 找 耶 穌 。
Chúng vừa tìm được Ngài tại bờ bên kia biển, bèn thưa rằng: Lạy thầy, thầy đến đây bao giờ?|既 在 海 那 邊 找 著 了 、 就 對 他 說 、 拉 比 、 是 幾 時 到 這 裡 來 的 。
Đức Chúa Jêsus đáp rằng: Quả thật, quả thật, ta nói cùng các ngươi, các ngươi tìm ta chẳng phải vì đã thấy mấy phép lạ, nhưng vì các ngươi đã ăn bánh và được no.|耶 穌 回 答 說 、 我 實 實 在 在 的 告 訴 你 們 、 你 們 找 我 、 並 不 是 因 見 了 神 蹟 、 乃 是 因 喫 餅 得 飽 。
Hãy làm việc, chớ vì đồ ăn hay hư nát, nhưng vì đồ ăn còn lại đến sự sống đời đời, là thứ Con người sẽ ban cho các ngươi; vì ấy là Con, mà Cha, tức là chính Đức Chúa Trời, đã ghi ấn tín của mình.|不 要 為 那 必 壞 的 食 物 勞 力 、 要 為 那 存 到 永 生 的 食 物 勞 力 、 就 是 人 子 要 賜 給 你 們 的 ． 因 為 人 子 是 父 　 神 所 印 證 的 。
Chúng thưa rằng: Chúng tôi phải làm chi cho được làm công việc Đức Chúa Trời?|眾 人 問 他 說 、 我 們 當 行 甚 麼 、 纔 算 作 　 神 的 工 呢 。
Đức Chúa Jêsus đáp rằng: Các ngươi tin Đấng mà Đức Chúa Trời đã sai đến, ấy đó là công việc Ngài.|耶 穌 回 答 說 、 信 　 神 所 差 來 的 、 這 就 是 作 　 神 的 工 。
Chúng bèn nói rằng: Thế thì thầy làm phép lạ gì, để cho chúng tôi thấy và tin? Thầy làm công việc gì?|他 們 又 說 、 你 行 甚 麼 神 蹟 、 叫 我 們 看 見 就 信 你 ． 你 到 底 作 甚 麼 事 呢 。
Tổ phụ chúng ta đã ăn ma-na trong đồng vắng, theo như lời chép rằng: Ngài đã ban cho họ ăn bánh từ trên trời xuống.|我 們 的 祖 宗 在 曠 野 喫 過 嗎 哪 、 如 經 上 寫 著 說 、 『 他 從 天 上 賜 下 糧 來 給 他 們 喫 。 』
Đức Chúa Jêsus đáp rằng: Quả thật, quả thật, ta nói cùng các ngươi, Môi-se chưa hề cho các ngươi bánh từ trên trời đâu; nhưng Cha ta ban cho các ngươi bánh thật, là bánh từ trên trời xuống.|耶 穌 說 、 我 實 實 在 在 的 告 訴 你 們 、 那 從 天 上 來 的 糧 、 不 是 摩 西 賜 給 你 們 的 、 乃 是 我 父 將 天 上 來 的 真 糧 賜 給 你 們 。
Bởi chưng bánh Đức Chúa Trời là bánh từ trên trời giáng xuống, ban sự sống cho thế gian.|因 為 　 神 的 糧 、 就 是 那 從 天 上 降 下 來 賜 生 命 給 世 界 的 。
Chúng thưa rằng: Lạy Chúa, xin ban bánh đó cho chúng tôi luôn luôn!|他 們 說 、 主 阿 、 常 將 這 糧 賜 給 我 們 。
Đức Chúa Jêsus phán rằng: Ta là bánh của sự sống; ai đến cùng ta chẳng hề đói, và ai tin ta chẳng hề khát.|耶 穌 說 、 我 就 是 生 命 的 糧 ． 到 我 這 裡 來 的 、 必 定 不 餓 ． 信 我 的 、 永 遠 不 渴 。
Nhưng ta đã nói: Các ngươi đã thấy ta, mà chẳng tin.|只 是 我 對 你 們 說 過 、 你 們 已 經 看 見 我 、 還 是 不 信 。
Phàm những kẻ Cha cho ta sẽ đến cùng ta, kẻ đến cùng ta thì ta không bỏ ra ngoài đâu.|凡 父 所 賜 給 我 的 人 、 必 到 我 這 裡 來 ． 到 我 這 裡 來 的 、 我 總 不 丟 棄 他 。
Vì ta từ trên trời xuống, chẳng phải để làm theo ý ta, nhưng làm theo ý Đấng đã sai ta đến.|因 為 我 從 天 上 降 下 來 、 不 是 要 按 自 己 的 意 思 行 、 乃 是 要 按 那 差 我 來 者 的 意 思 行 。
Vả, ý muốn của Đấng đã sai ta đến là hễ sự gì Ngài đã ban cho ta, thì ta chớ làm mất, nhưng ta phải làm cho sống lại nơi ngày sau rốt.|差 我 來 者 的 意 思 、 就 是 他 所 賜 給 我 的 、 叫 我 一 個 也 不 失 落 、 在 末 日 卻 叫 他 復 活 。
Đây là ý muốn của Cha ta, phàm ai nhìn Con và tin Con, thì được sự sống đời đời; còn ta, ta sẽ làm cho kẻ ấy sống lại nơi ngày sau rốt.|因 為 我 父 的 意 思 、 是 叫 一 切 見 子 而 信 的 人 得 永 生 ． 並 且 在 末 日 我 要 叫 他 復 活 。
Nhưng vì Ngài đã phán: Ta là bánh từ trên trời xuống, nên các ngươi Giu-đa lằm bằm về Ngài,|猶 太 人 因 為 耶 穌 說 、 我 是 從 天 上 降 下 來 的 糧 、 就 私 下 議 論 他 ．
mà rằng: Ay chẳng phải là Jêsus, con của Giô-sép, mà chúng ta đều biết cha mẹ người chăng? Vậy, thể nào người nói được rằng: Ta đã từ trên trời mà xuống?|說 、 這 不 是 約 瑟 的 兒 子 耶 穌 麼 ． 他 的 父 母 我 們 豈 不 認 得 麼 ． 他 如 今 怎 麼 說 、 我 是 從 天 上 降 下 來 的 呢 。
Đức Chúa Jêsus đáp rằng: Các ngươi chớ lằm bằm với nhau.|耶 穌 回 答 說 、 你 們 不 要 大 家 議 論 。
Ví bằng Cha, là Đấng sai ta, không kéo đến, thì chẳng có ai được đến cùng ta, và ta sẽ làm cho người đó sống lại nơi ngày sau rốt.|若 不 是 差 我 來 的 父 吸 引 人 、 就 沒 有 能 到 我 這 裡 來 的 ． 到 我 這 裡 來 的 、 在 末 日 我 要 叫 他 復 活 。
Các sách tiên tri có chép rằng: Ai nấy đều sẽ được Đức Chúa Trời dạy dỗ. Hễ ai đã nghe Cha và học theo Ngài thì đến cùng ta.|在 先 知 書 上 寫 著 說 、 『 他 們 都 要 蒙 　 神 的 教 訓 。 』 凡 聽 見 父 之 教 訓 又 學 習 的 、 就 到 我 這 裡 來 。
Ay chẳng phải kẻ nào đã từng thấy Cha, trừ ra Đấng từ Đức Chúa Trời mà đến; Đấng ấy đã thấy Cha.|這 不 是 說 、 有 人 看 見 過 父 、 惟 獨 從 　 神 來 的 、 他 看 見 過 父 。
Quả thật, quả thật, ta nói cùng các ngươi, hễ ai tin thì được sự sống đời đời.|我 實 實 在 在 的 告 訴 你 們 、 信 的 人 有 永 生 。
Ta là bánh của sự sống.|我 就 是 生 命 的 糧 。
Tổ phụ các ngươi đã ăn ma-na trong đồng vắng, rồi cũng chết.|你 們 的 祖 宗 在 曠 野 喫 過 嗎 哪 、 還 是 死 了 。
Đây là bánh từ trời xuống, hầu cho ai ăn chẳng hề chết.|這 是 從 天 上 降 下 來 的 糧 、 叫 人 喫 了 就 不 死 。
Ta là bánh từ trên trời xuống; nếu ai ăn bánh ấy, thì sẽ sống vô cùng; và bánh mà ta sẽ ban cho vì sự sống của thế gian tức là thịt ta.|我 是 從 天 上 降 下 來 生 命 的 糧 ． 人 若 喫 這 糧 、 就 必 永 遠 活 著 ． 我 所 要 賜 的 糧 、 就 是 我 的 肉 、 為 世 人 之 生 命 所 賜 的 。
Bởi đó, các ngươi Giu-đa cãi lẽ với nhau, mà rằng: Lẽ nào người nầy lấy thịt mình cho chúng ta ăn sao?|因 此 、 猶 太 人 彼 此 爭 論 說 、 這 個 人 怎 能 把 他 的 肉 、 給 我 們 喫 呢 。
Đức Chúa Jêsus bèn phán cùng họ rằng: Quả thật, quả thật, ta nói cùng các ngươi, nếu các ngươi không ăn thịt của Con người, cùng không uống huyết Ngài, thì chẳng có sự sống trong các ngươi đâu.|耶 穌 說 、 我 實 實 在 在 的 告 訴 你 們 、 你 們 若 不 喫 人 子 的 肉 、 不 喝 人 子 的 血 、 就 沒 有 生 命 在 你 們 裡 面 。
Ai ăn thịt và uống huyết ta thì được sự sống đời đời; nơi ngày sau rốt, ta sẽ khiến người đó sống lại.|喫 我 肉 喝 我 血 的 人 就 有 永 生 ． 在 末 日 我 要 叫 他 復 活 。
Vì thịt ta thật là đồ ăn, huyết ta thật là đồ uống.|我 的 肉 真 是 可 喫 的 、 我 的 血 真 是 可 喝 的 。
Người nào ăn thịt ta và uống huyết ta, thì ở trong ta, và ta ở trong người.|喫 我 肉 喝 我 血 的 人 、 常 在 我 裡 面 、 我 也 常 在 他 裡 面 。
Như Cha, là Đấng hằng sống, đã sai ta đến, và ta sống bởi Cha; cũng một thể ấy, người nào ăn ta, sẽ sống bởi ta vậy.|永 活 的 父 怎 樣 差 我 來 、 我 又 因 父 活 著 、 照 樣 、 喫 我 肉 的 人 、 也 要 因 我 活 著 。
Đây là bánh từ trên trời xuống. Bánh đó chẳng phải như ma-na mà tổ phụ các ngươi đã ăn, rồi cũng sẽ chết; kẻ nào ăn bánh nầy sẽ sống đời đời.|這 就 是 從 天 上 降 下 來 的 糧 ． 喫 這 糧 的 人 、 就 永 遠 活 著 、 不 像 你 們 的 祖 宗 喫 過 嗎 哪 、 還 是 死 了 。
Đức Chúa Jêsus phán những điều đó lúc dạy dỗ trong nhà hội tại thành Ca-bê-na-um.|這 些 話 是 耶 穌 在 迦 百 農 會 堂 裡 教 訓 人 說 的 。
Có nhiều môn đồ nghe Ngài, thì nói rằng: Lời nầy thật khó; ai nghe được?|他 的 門 徒 中 有 好 些 人 聽 見 了 、 就 說 、 這 話 甚 難 、 誰 能 聽 呢 。
Nhưng Đức Chúa Jêsus tự mình biết môn đồ lằm bằm về việc đó, bèn phán rằng: Điều đó xui cho các ngươi vấp phạm sao?|耶 穌 心 裡 知 道 門 徒 為 這 話 議 論 、 就 對 他 們 說 、 這 話 是 叫 你 們 厭 棄 麼 。 〔 厭 棄 原 文 作 跌 倒 〕
Vậy, nếu các ngươi thấy Con người lên nơi Ngài vốn ở khi trước thì thể nào?|倘 或 你 們 看 見 人 子 升 到 他 原 來 所 在 之 處 、 怎 麼 樣 呢 。
Ay là thần linh làm cho sống, xác thịt chẳng ích chi. Những lời ta phán cùng các ngươi đều là thần linh và sự sống.|叫 人 活 著 的 乃 是 靈 、 肉 體 是 無 益 的 ． 我 對 你 們 所 說 的 話 、 就 是 靈 、 就 是 生 命 。
Song trong vòng các ngươi có kẻ không tin. Vì Đức Chúa Jêsus biết từ ban đầu, ai là kẻ không tin, ai là kẻ sẽ phản Ngài.|只 是 你 們 中 間 有 不 信 的 人 。 耶 穌 從 起 頭 就 知 道 、 誰 不 信 他 、 誰 要 賣 他 。
Ngài lại phán rằng: Chính vì cớ đó, mà ta đã nói cùng các ngươi rằng nếu Cha chẳng ban cho, thì chẳng ai tới cùng ta được.|耶 穌 又 說 、 所 以 我 對 你 們 說 過 、 若 不 是 蒙 我 父 的 恩 賜 、 沒 有 人 能 到 我 這 裡 來 。
Từ lúc ấy, có nhiều môn đồ Ngài trở lui, không đi với Ngài nữa.|從 此 他 門 徒 中 多 有 退 去 的 、 不 再 和 他 同 行 。
Đức Chúa Jêsus phán cùng mười hai sứ đồ rằng: Còn các ngươi, cũng muốn lui chăng?|耶 穌 就 對 那 十 二 個 門 徒 說 、 你 們 也 要 去 麼 。
Si-môn Phi -e-rơ thưa rằng: Lạy Chúa, chúng tôi đi theo ai? Chúa có những lời của sự sống đời đời;|西 門 彼 得 回 答 說 、 主 阿 、 你 有 永 生 之 道 、 我 們 還 歸 從 誰 呢 。
chúng tôi đã tin và nhận biết rằng Chúa là Đấng thánh của Đức Chúa Trời.|我 們 已 經 信 了 、 又 知 道 你 是 　 神 的 聖 者 。
Đức Chúa Jêsus đáp rằng: Ta há chẳng đã chọn các ngươi là mười hai sứ đồ sao? Mà một người trong các ngươi là quỉ!|耶 穌 說 、 我 不 是 揀 選 了 你 們 十 二 個 門 徒 麼 ． 但 你 們 中 間 有 一 個 是 魔 鬼 。
Vả, Ngài nói về Giu-đa con Si-môn Ích-ca-ri-ốt; vì chính hắn là một trong mười hai sứ đồ, sau sẽ phản Ngài.|耶 穌 這 話 是 指 著 加 略 人 西 門 的 兒 子 猶 大 說 的 ． 他 本 是 十 二 個 門 徒 裡 的 一 個 、 後 來 要 賣 耶 穌 的 。

					Giăng 7				|
						約翰福音 7					
