
					II Sử Ký 1				|
Như vậy, Sa-lô-môn làm xong đền Đức Giê-hô-va và cung vua; phàm công việc gì Sa-lô-môn rắp lòng làm trong đền Đức Giê-hô-va và trong cung vua, đều xong cả.|所 羅 門 造 成 了 耶 和 華 殿 和 王 宮 ． 在 耶 和 華 殿 和 王 宮 凡 他 心 中 所 要 作 的 、 都 順 順 利 利 地 作 成 了 。
Ban đêm Đức Giê-hô-va hiện đến cùng Sa-lô-môn, mà rằng: Ta có nghe lời cầu nguyện ngươi, và đã chọn nơi này làm một nhà tế lễ.|夜 間 耶 和 華 向 所 羅 門 顯 現 、 對 他 說 、 我 已 聽 了 你 的 禱 告 、 也 選 擇 這 地 方 作 為 祭 祀 我 的 殿 宇 。
Nếu ta đóng các từng trời lại, không cho mưa xuống, khiến cào cào phá hại thổ sản, và giáng ôn dịch giữa dân sự ta;|我 若 使 天 閉 塞 不 下 雨 、 或 使 蝗 蟲 喫 這 地 的 出 產 、 或 使 瘟 疫 流 行 在 我 民 中 ．
và nhược bằng dân sự ta, là dân gọi bằng danh ta, hạ mình xuống, cầu nguyện, tìm kiếm mặt ta, và trở lại, bỏ con đường tà, thì ta ở trên trời sẽ nghe, tha thứ tội chúng nó, và cứu xứ họ khỏi tai vạ.|這 稱 為 我 名 下 的 子 民 、 若 是 自 卑 、 禱 告 、 尋 求 我 的 面 、 轉 離 他 們 的 惡 行 ． 我 必 從 天 上 垂 聽 、 赦 免 他 們 的 罪 醫 治 他 們 的 地 。
Bấy giờ, mắt ta sẽ đoái xem, lỗ tai ta sẽ lắng nghe lời nào cầu nguyện tại nơi này;|我 必 睜 眼 看 、 側 耳 聽 、 在 此 處 所 獻 的 禱 告 。
vì bây giờ, ta đã chọn và khiến cho cái nhà này ra thánh, hầu cho danh ta ngự đó đời đời: mắt cùng lòng ta sẽ ở đó luôn luôn.|現 在 我 已 選 擇 這 殿 、 分 別 為 聖 、 使 我 的 名 永 在 其 中 ． 我 的 眼 我 的 心 也 必 常 在 那 裡 。
Còn ngươi, nếu ngươi khứng đi trước mặt ta như Đa-vít, cha ngươi đã làm, làm theo mọi điều ta phán dạy ngươi, gìn giữ luật lệ và giới mạng ta,|你 若 在 我 面 前 效 法 你 父 大 衛 所 行 的 、 遵 行 我 一 切 所 吩 咐 你 的 、 謹 守 我 的 律 例 典 章 ．
thì ta sẽ lập ngôi nước ngươi được bền vững, y theo lời ước ta đã kết với Đa-vít, cha ngươi, mà rằng: Ngươi sẽ chẳng hề thiếu người quản trị Y-sơ-ra-ên.|我 就 必 堅 固 你 的 國 位 、 正 如 我 與 你 父 大 衛 所 立 的 約 、 說 、 你 的 子 孫 必 不 斷 人 作 以 色 列 的 王 。
Nhưng nếu các ngươi bội nghịch, bỏ các luật lệ và giới mạng ta đã đặt trước mặt các ngươi, đi hầu việc những tà thần và thờ lạy chúng nó,|倘 若 你 們 轉 去 丟 棄 我 指 示 你 們 的 律 例 誡 命 、 去 事 奉 敬 拜 別 神 ．
thì ta sẽ rứt nhổ các ngươi khỏi đất ta đã ban cho các ngươi; còn cái nhà này mà ta đã biệt riêng ra thánh cho danh ta, ta sẽ bỏ nó đi, làm cho nó nên một câu tục ngữ, một việc nhạo cười giữa các dân tộc.|我 就 必 將 以 色 列 人 從 我 賜 給 他 們 的 地 上 拔 出 根 來 、 並 且 我 為 己 名 所 分 別 為 聖 的 殿 、 也 必 捨 棄 不 顧 、 使 他 在 萬 民 中 作 笑 談 、 被 譏 誚 。
Cái nhà này dẫu cao dường nào, hễ ai đi qua gần nó cũng sẽ lấy làm lạ mà nói rằng: Cớ sao Đức Giê-hô-va có xử xứ này và đền này như thế?|這 殿 雖 然 甚 高 、 將 來 經 過 的 人 必 驚 訝 說 、 耶 和 華 為 何 向 這 地 和 這 殿 如 此 行 呢 ．
Thì người ta sẽ đáp rằng: Bởi vì họ lìa bỏ Giê-hô-va Đức Chúa Trời của tổ phụ họ, là Đấng đã dẫn họ ra khỏi xứ Ê-díp-tô, và vì họ đeo đuổi theo các tà thần, thờ lạy và hầu việc chúng nó, nên Ngài đã giáng trên họ các tai vạ này.|人 必 回 答 說 、 是 因 此 地 的 人 離 棄 耶 和 華 他 們 列 祖 的 　 神 、 就 是 領 他 們 出 埃 及 地 的 　 神 、 去 親 近 別 神 、 敬 拜 事 奉 他 ． 所 以 耶 和 華 使 這 一 切 災 禍 臨 到 他 們 。

					II Sử Ký 8				|
						歷代志下 8					
Cuối hai mươi năm, sau khi Sa-lô-môn đã xây cất xong cái đền của Đức Giê-hô-va và cái cung mình,|所 羅 門 建 造 耶 和 華 殿 和 王 宮 、 二 十 年 纔 完 畢 了 ．
thì Sa-lô-môn cũng sửa xây lại các thành mà vua Hu-ram đã nhường cho người, và khiến cho dân Y-sơ-ra-ên ở đó.|以 後 所 羅 門 重 新 修 築 希 蘭 送 給 他 的 那 些 城 邑 、 使 以 色 列 人 住 在 那 裡 。
Sa-lô-môn đi đến Ha-mát-Xô-ba và thắng được.|所 羅 門 往 哈 馬 瑣 巴 去 、 攻 取 了 那 地 方 。
Người xây thành Tát-mốt trong đồng vắng, và xây các thành dùng làm kho tàng tại xứ Ha-mát.|所 羅 門 建 造 曠 野 裡 的 達 莫 、 又 建 造 、 哈 馬 所 有 的 積 貨 城 。
Người cũng xây Bết-Hô-rôn trên và Bết-Hô-rôn dưới, là những thành bền vững, có vách tường, cửa và then khóa;|又 建 造 上 伯 和 崙 下 伯 和 崙 、 作 為 保 障 、 都 有 牆 、 有 門 、 有 閂 ．
lại xây thành Ba-lát và các thành làm kho tàng của Sa-lô-môn, các thành để chứa xe, và các thành cho lính kỵ người ở; phàm điều gì Sa-lô-môn ước ao xây cất, hoặc tại Giê-ru-sa-lem, trên Li-ban, hay là trong khắp xứ phục dưới quyền người, thì đều xây cất cả.|又 建 造 巴 拉 和 所 有 的 積 貨 城 、 並 屯 車 輛 馬 兵 的 城 、 與 耶 路 撒 冷 利 巴 嫩 以 及 自 己 治 理 的 全 國 中 所 願 意 建 造 的 。
Hết thảy những người còn sống sót lại trong dân Hê-tít, dân A-mô-rít, dân Phê-rê-sít, dân Hê-vít, và dân Giê-bu-sít, không thuộc về Y-sơ-ra-ên,|至 於 國 中 所 剩 下 不 屬 以 色 列 人 的 赫 人 、 亞 摩 利 人 、 比 利 洗 人 、 希 未 人 、 耶 布 斯 人 、
tức là những con cháu chúng nó hãy còn lại trong xứ, mà dân Y-sơ-ra-ên không diệt hết, thì trong chúng nó Sa-lô-môn bắt kẻ làm xâu cho đến ngày nay.|就 是 以 色 列 人 未 曾 滅 絕 的 、 所 羅 門 挑 取 他 們 的 後 裔 作 服 苦 的 奴 僕 、 直 到 今 日 。
Nhưng về dân Y-sơ-ra-ên, Sa-lô-môn không bắt ai làm xâu hết, vì họ làm quân lính, quan tướng, quan cai xe, và lính kỵ của người.|惟 有 以 色 列 人 、 所 羅 門 不 使 他 們 當 奴 僕 作 工 、 乃 是 作 他 的 戰 士 、 軍 長 的 統 領 、 車 兵 長 、 馬 兵 長 ．
Còn về quan trưởng của Sa-lô-môn đặt lên để quản đốc dân sự làm công việc, số là hai trăm năm mươi người.|所 羅 門 王 有 二 百 五 十 督 工 的 、 監 管 工 人 。
Sa-lô-môn sai rước công chúa Pha-ra-ôn ở thành Đa-vít lên cung mà người đã cất cho nàng; vì người nói rằng: Vợ ta chẳng nên ở trong cung Đa-vít, vua Y-sơ-ra-ên, vì nơi nào hòm của Đức Giê-hô-va đến, thì đã nên thánh rồi.|所 羅 門 將 法 老 的 女 兒 帶 出 大 衛 城 、 上 到 為 他 建 造 的 宮 裡 ． 因 所 羅 門 說 、 耶 和 華 約 櫃 所 到 之 處 、 都 為 聖 地 、 所 以 我 的 妻 不 可 住 在 以 色 列 王 大 衛 的 宮 裡 。
Bấy giờ, Sa-lô-môn dâng của lễ thiêu cho Đức Giê-hô-va tại trên bàn thờ của Giê-hô-va mà người đã xây trước hiên cửa;|所 羅 門 在 耶 和 華 的 壇 上 、 就 是 在 廊 子 前 他 所 築 的 壇 上 、 與 耶 和 華 獻 燔 祭 、
lại tùy theo lệ luật của Môi-se, người dâng mỗi ngày của lễ phải dâng, cùng trong các ngày sa-bát, ngày mồng một, và hằng năm nhằm ba lễ trọng thể, tức lễ bánh không men, lễ các tuần lễ, và lễ lều tạm.|又 遵 著 摩 西 的 吩 咐 在 安 息 日 、 月 朔 、 並 一 年 三 節 、 就 是 除 酵 節 、 七 七 節 、 住 棚 節 、 獻 每 日 所 當 獻 的 祭 。
Tùy theo lịnh truyền của Đa-vít, cha mình, người phân định ban thứ của những thầy tế lễ trong phần việc họ, và lập người Lê-vi trong chức sự họ, đặng ngợi khen Chúa và hầu việc tại trước mặt những thầy tế lễ, cứ công việc ngày nào theo ngày nấy; tại mỗi cửa cũng đặt kẻ giữ cửa, cứ theo phiên mình, vì Đa-vít, người của Đức Chúa Trời, đã truyền lịnh như vậy.|所 羅 門 照 著 他 父 大 衛 所 定 的 例 、 派 定 祭 司 的 班 次 、 使 他 們 各 供 己 事 、 又 使 利 未 人 各 盡 其 職 、 讚 美 耶 和 華 、 在 祭 司 面 前 作 每 日 所 當 作 的 、 又 派 守 門 的 按 著 班 次 看 守 各 門 ． 因 為 神 人 大 衛 是 這 樣 吩 咐 的 ．
Phàm điều gì vua đã phán dạy hững thầy tế lễ và người Lê-vi, hoặc về kho tàng hay là về việc khác, thì họ chẳng bỏ bê chút nào.|王 所 吩 咐 眾 祭 司 和 利 未 人 的 、 無 論 是 管 府 庫 、 或 辦 別 的 事 、 他 們 都 不 違 背 。
Vả, các tài liệu mà Sa-lô-môn dùng về việc cất đền của Đức Giê-hô-va, đều đã sắm sửa từ ngày đặt nền cho đến khi công việc xong. Đền của Đức Giê-hô-va đã cất xong là như vậy.|所 羅 門 建 造 耶 和 華 的 殿 、 從 立 根 基 直 到 成 功 的 日 子 、 工 料 俱 備 。 這 樣 、 耶 和 華 的 殿 全 然 完 畢 。
Khi ấy Sa-lô-môn đi đến Ê-xi-ôn-Ghê-be và Ê-lốt, tại trên mé biển, trong xứ Ê-đôm.|那 時 所 羅 門 往 以 東 地 靠 海 的 以 旬 迦 別 和 以 祿 去 。
Hu-ram bởi tay các tôi tớ mình, gởi đến cho người những tàu và các thủy thủ thạo nghề đi biển; chúng đi với các tôi tớ của Sa-lô-môn đến Ô-phia, lấy tại đó bốn trăm năm mươi ta lâng vàng, và chở về cho vua Sa-lô-môn.|希 蘭 差 遣 他 的 臣 僕 、 將 船 隻 和 熟 悉 泛 海 的 僕 人 、 送 到 所 羅 門 那 裡 ． 他 們 同 著 所 羅 門 的 僕 人 到 了 俄 斐 、 得 了 四 百 五 十 他 連 得 金 子 、 運 到 所 羅 門 王 那 裡 。

					II Sử Ký 9				|
						歷代志下 9					
Khi nữ vương nước Sê-ba nghe đồn danh tiếng của Sa-lô-môn, bèn đi đến Giê-ru-sa-lem, lấy những câu đố mà thử người, bà có hầu hạ theo rất đông, có những lạc đà chở thuốc thơm, rất nhiều vàng, và đá quí; bà đến cùng Sa-lô-môn, nói với người mọi điều có ở trong lòng mình.|示 巴 女 王 聽 見 所 羅 門 的 名 聲 、 就 來 到 耶 路 撒 冷 要 用 難 解 的 話 試 問 所 羅 門 ． 跟 隨 他 的 人 甚 多 、 又 有 駱 駝 馱 著 香 料 、 寶 石 、 和 許 多 金 子 ． 他 來 見 了 所 羅 門 、 就 把 心 裡 所 有 的 、 對 所 羅 門 都 說 出 來 ．
Sa-lô-môn đáp các câu hỏi của bà, chẳng câu nào ẩn bí quá cho Sa-lô-môn mà người không giải nghĩa nổi cho bà.|所 羅 門 將 他 所 問 的 都 答 上 了 、 沒 有 一 句 不 明 白 、 不 能 答 的 。
Khi nữ vương Sê-ba thấy sự khôn ngoan của Sa-lô-môn, cung điện người đã xây cất,|示 巴 女 王 見 所 羅 門 的 智 慧 、 和 他 所 建 造 的 宮 室 、
những món ăn trên bàn người, nhà cửa các tôi tớ, thứ tự công việc của các quan, và đồ mặc của họ, các quan chước tửu và áo xống của họ, cùng các của lễ thiêu người dâng trong đền Đức Giê-hô-va, thì mất vía,|席 上 的 珍 饈 美 味 、 群 臣 分 列 而 坐 、 僕 人 兩 旁 侍 立 、 以 及 他 們 的 衣 服 裝 飾 、 酒 政 和 酒 政 的 衣 服 裝 飾 、 又 見 他 上 耶 和 華 殿 的 臺 階 、 就 詫 異 得 神 不 守 舍 ．
bèn nói với vua rằng: Điều tôi nghe nói trong xứ tôi về các lời nói và sự khôn ngoan của vua, thì thật lắm.|對 王 說 、 我 在 本 國 裡 所 聽 見 論 到 你 的 事 、 和 你 的 智 慧 、 實 在 是 真 的 ．
Song trước khi tôi chưa đến đây và chưa thấy tận mắt những điều này, thì tôi chẳng tin lời họ; và kìa, người ta chẳng thuật cho tôi nghe đến phân nửa sự khôn ngoan lớn lao của vua; vua thật trổi hơn tiếng đồn tôi đã nghe.|我 先 不 信 那 些 話 、 及 至 我 來 親 眼 見 了 、 纔 知 道 你 的 大 智 慧 、 人 所 告 訴 我 的 、 還 不 到 一 半 ． 你 的 實 跡 、 越 過 我 所 聽 見 的 名 聲 ．
Các quần thần của vua thật có phước thay! Các tôi tớ vua, hằng đứng chầu trước mặt vua, nghe sự khôn ngoan của vua, thật có phước thay!|你 的 群 臣 、 你 的 僕 人 、 常 侍 立 在 你 面 前 、 聽 你 智 慧 的 話 、 是 有 福 的 。
Đáng ngợi khen thay Giê-hô-va Đức Chúa Trời của vua, vì Ngài vui thích vua, đặt vua ngồi trên ngôi của Ngài đặng làm vua cho Giê-hô-va Đức Chúa Trời của vua! Bởi vì Đức Chúa Trời của vua yêu mến Y-sơ-ra-ên, đặng làm cho chúng vững bền đến đời đời, nên Ngài đã lập vua làm vua trên chúng, để làm theo sự ngay thẳng và sự công bình.|耶 和 華 你 的 　 神 是 應 當 稱 頌 的 、 他 喜 悅 你 、 使 你 坐 他 的 國 位 、 為 耶 和 華 你 的 　 神 作 王 、 因 為 你 的 　 神 愛 以 色 列 人 、 要 永 遠 堅 立 他 們 、 所 以 立 你 作 他 們 的 王 、 使 你 秉 公 行 義 。
Đoạn, bà dâng cho vua một trăm hai mươi ta lâng vàng, và rất nhiều thuốc thơm, cùng đá quí; chẳng hề có thuốc thơm nào giống như thuốc thơm của nữ vương nước Sê-ba dâng cho vua Sa-lô-môn.|於 是 示 巴 女 王 將 一 百 二 十 他 連 得 金 子 、 和 寶 石 、 與 極 多 的 香 料 送 給 所 羅 門 王 ． 他 送 給 王 的 香 料 、 以 後 再 沒 有 這 樣 的 。
(Các tôi tớ của Hu-ram và tôi tớ của Sa-lô-môn từ Ô-phia chở vàng đến, cũng có chở về gỗ bạch đàn hương và đá quí.|希 蘭 的 僕 人 、 和 所 羅 門 的 僕 人 、 從 俄 斐 運 了 金 子 來 、 也 運 了 檀 香 木 〔 或 作 烏 木 下 同 〕 和 寶 石 來 ．
Vua dùng gỗ bạch đàn hương ấy mà làm cái thang trong đền của Đức Giê-hô-va, và trong cung điện vua, cùng những đờn cầm đờn sắt cho con hát: trước khi trong nước Giu-đa, người ta chẳng hề thấy có giống như vậy).|王 用 檀 香 木 為 耶 和 華 殿 和 王 宮 作 臺 、 又 為 歌 唱 的 人 作 琴 瑟 ． 猶 大 地 從 來 沒 有 見 過 這 樣 的 。
Vua Sa-lô-môn tặng cho nữ vương nước Sê-ba mọi đồ bà ước ao và xin, gấp nhiều hơn đồ bà đã đem dâng cho vua. Đoạn, bà và các đầy tớ bà trở về xứ mình.|所 羅 門 王 按 示 巴 女 王 所 帶 來 的 還 他 禮 物 、 另 外 照 他 一 切 所 要 所 求 的 、 都 送 給 他 ． 於 是 女 王 和 他 臣 僕 轉 回 本 國 去 了 。
Vàng mà vua Sa-lô-môn nhận được mỗi năm cân đến sáu trăm bảy mươi ta lâng,|所 羅 門 每 年 所 得 的 金 子 、 共 有 六 百 六 十 六 他 連 得 ．
không kể vàng mà các nhà buôn bán, kẻ buôn bán dong đem vào, cùng vàng và bạc mà các vua A-ra-bi và quan tổng trấn của xứ đem nộp cho Sa-lô-môn.|另 外 還 有 商 人 所 進 的 金 子 ． 並 且 亞 拉 伯 諸 王 、 與 屬 國 的 省 長 、 都 帶 金 銀 給 所 羅 門 。
Sa-lô-môn làm hai trăm cái khiên lớn bằng vàng đánh giát cứ mỗi cái dùng sáu trăm siếc lơ vàng đánh giát,|所 羅 門 王 用 錘 出 來 的 金 子 打 成 擋 牌 二 百 面 、 每 面 用 金 子 六 百 舍 客 勒 ．
và ba trăm cái khiên nhỏ bằng vàng đánh giát, cứ mỗi cái dùng ba trăm siếc lơ vàng; đoạn vua để các khiên ấy nơi cung rừng Li-ban.|又 用 錘 出 來 的 金 子 打 成 盾 牌 三 百 面 、 每 面 用 金 子 三 百 舍 客 勒 ． 都 放 在 利 巴 嫩 林 宮 裡 。
Vua cũng làm một cái ngai lớn bằng ngà, và bọc vàng ròng;|王 用 象 牙 製 造 一 個 大 寶 座 、 用 精 金 包 裹 ．
cái ngai có sáu nấc lên, và một cái bệ bằng vàng liền với cái ngai; cũng có thanh nâng tay bên này và bên kia của chỗ ngồi, gần thanh nâng tay có hai con sư tử.|寶 座 有 六 層 臺 階 、 又 有 金 腳 凳 、 與 寶 座 相 連 、 寶 座 兩 旁 有 扶 手 、 靠 近 扶 手 有 兩 個 獅 子 站 立 ．
Lại có mười hai con sư tử đứng trên sáu nấc, bên hữu và bên tả: chẳng có nước nào làm ngai giống như vậy.|六 層 臺 階 上 有 十 二 個 獅 子 站 立 、 每 層 有 兩 個 、 左 邊 一 個 、 右 邊 一 個 ． 在 列 國 中 沒 有 這 樣 作 的 。
Các đồ dùng để uống của vua Sa-lô-môn đều bằng vàng, và những khí dụng của cung rừng Li-ban cũng đều bằng vàng ròng: trong đời Sa-lô-môn, chẳng kể bạc ra gì,|所 羅 門 王 一 切 的 飲 器 都 是 金 的 、 利 巴 嫩 林 宮 裡 的 一 切 器 皿 都 是 精 金 的 ． 所 羅 門 年 間 、 銀 子 算 不 了 甚 麼 ．
vì vua có đoàn tàu vượt sang Ta-rê-si với các tôi tớ của Hi-ram: mỗi ba năm một lần đoàn tàu Ta-rê-si chở đến vàng, bạc ngà voi, con khỉ và con công.|因 為 王 的 船 隻 與 希 蘭 的 僕 人 一 同 往 他 施 去 ． 他 施 船 隻 三 年 一 次 裝 載 金 、 銀 、 象 牙 、 猿 猴 、 孔 雀 回 來 。
Ay vậy, vua Sa-lô-môn trổi hơn các vua trên đất về sự khôn ngoan.|所 羅 門 王 的 財 寶 與 智 慧 勝 過 天 下 的 列 王 ．
Các vua trên đất đều cầu thấy mặt Sa-lô-môn, đặng nghe sự khôn ngoan của người mà Đức Chúa Trời đã để trong lòng người.|普 天 下 的 王 都 求 見 所 羅 門 、 要 聽 　 神 賜 給 他 智 慧 的 話 ．
Cứ hằng năm theo lệ định, chúng đều đem đến vật mình tiến cống, nào những khí dụng bằng bạc, bằng vàng, nào áo xống, binh khí, nào thuốc thơm, ngựa và la.|他 們 各 帶 貢 物 、 就 是 金 器 、 銀 器 、 衣 服 、 軍 械 、 香 料 、 騾 馬 、 每 年 有 一 定 之 例 。
Vua Sa-lô-môn có được bốn ngàn tàu ngựa và xe, cùng một vạn hai ngàn lính kỵ, để trong các thành chứa xe, và gần bên vua, tại Giê-ru-sa-lem.|所 羅 門 有 套 車 的 馬 四 千 棚 、 有 馬 兵 一 萬 二 千 、 安 置 在 屯 車 的 城 邑 和 耶 路 撒 冷 、 就 是 王 那 裡 。
Người quản trị trên các vua, từ sông cái cho đến xứ Phi-li-tin, và cho đến bờ cõi Ê-díp-tô.|所 羅 門 統 管 諸 王 、 從 大 河 到 非 利 士 地 直 到 埃 及 的 邊 界 。
Tại Giê-ru-sa-lem, vua làm cho bạc ra thường như đá sỏi, và cây bá hương nhiều như cây sung mọc ở nơi đồng bằng.|王 在 耶 路 撒 冷 使 銀 子 多 如 石 頭 、 香 柏 木 多 如 高 原 的 桑 樹 。
Có người đem cho Sa-lô-môn những ngựa từ xứ Ê-díp-tô và từ các nước mà đến. Sa-lô-môn qua đời|有 人 從 埃 及 和 各 國 為 所 羅 門 趕 馬 群 來 。
Các công việc khác của Sa-lô-môn làm từ đầu đến cuối đều chép trong sách truyện Na-than, là đấng tiên tri, và trong sách tiên tri của A-hi-gia, người Si-lô, cùng trong sách dị tượng của Giê-đô, đấng tiên kiến luận về việc Giê-rô-bô-am, con trai của Nê-bát.|所 羅 門 其 餘 的 事 、 自 始 至 終 、 不 都 寫 在 先 知 拿 單 的 書 上 、 和 示 羅 人 亞 希 雅 的 豫 言 書 上 、 並 先 見 易 多 論 尼 八 兒 子 耶 羅 波 安 的 默 示 書 上 麼 。
Sa-lô-môn trị vì trên cả Y-sơ-ra-ên trong bốn mươi năm tại Giê-ru-sa-lem.|所 羅 門 在 耶 路 撒 冷 作 以 色 列 眾 人 的 王 、 共 四 十 年 ．
Sa-lô-môn an giấc cùng tổ phụ mình, được chôn trong thành của Đa-vít, là cha người; Rô-bô-am, con trai người, cai trị thế cho người.|所 羅 門 與 他 列 祖 同 睡 、 葬 在 他 父 大 衛 城 裡 ． 他 兒 子 羅 波 安 接 續 他 作 王 。

					II Sử Ký 10				|
						歷代志下 10					
Rô-bô-am đi đến Si-chem, vì cả Y-sơ-ra-ên đều đã tới Si-chem đặng tôn người làm vua.|羅 波 安 往 示 劍 去 、 因 為 以 色 列 人 都 到 了 示 劍 、 要 立 他 作 王 ．
Khi Giê-rô-bô-am, con trai Nê-bát, hay điều đó, thì còn ở Ê-díp-tô, là nơi người đã trốn, để thoát khỏi mặt Sa-lô-môn; người bèn từ Ê-díp-tô trở về.|尼 八 的 兒 子 耶 羅 波 安 先 前 躲 避 所 羅 門 王 、 逃 往 埃 及 、 住 在 那 裡 ． 他 聽 見 這 事 、 就 從 埃 及 回 來 ．
Người ta sai kẻ đi gọi người về; đoạn Giê-rô-bô-am và cả Y-sơ-ra-ên đều đến tâu với Rô-bô-am rằng:|以 色 列 人 打 發 人 去 請 他 ． 他 就 和 以 色 列 眾 人 來 見 羅 波 安 、 對 他 說 、
Thân phụ vua đã gán ách nặng cho chúng tôi, vậy bây giờ, hãy giảm nhẹ sự phục dịch khó nhọc này và cái ách nặng nề mà thân phụ vua đã gán trên chúng tôi, thì chúng tôi sẽ phục sự vua.|你 父 親 使 我 們 負 重 軛 作 苦 工 ． 現 在 求 你 使 我 們 作 的 苦 工 負 的 重 軛 輕 鬆 些 、 我 們 就 事 奉 你 ．
Người đáp với chúng rằng: Khỏi ba ngày, các ngươi hãy trở lại cùng ta. Dân sự bèn lui về.|羅 波 安 對 他 們 說 、 第 三 日 再 來 見 我 罷 ． 民 就 去 了 。
Vua Rô-bô-am bàn nghị cùng các trưởng lão đã chầu trước mặt Sa-lô-môn, cha người, trong lúc Sa-lô-môn còn sống, mà rằng: Các ngươi bàn luận cho ta phải trả lời với dân sự này làm sao?|羅 波 安 之 父 所 羅 門 在 世 的 日 子 、 有 侍 立 在 他 面 前 的 老 年 人 、 羅 波 安 王 和 他 們 商 議 、 說 、 你 們 給 我 出 個 甚 麼 主 意 、 我 好 回 覆 這 民 ．
Các trưởng lão thưa lại với vua rằng: Nếu vua đãi dân sự này tử tế, ăn ở vui lòng cùng chúng nó, và lấy lời hiền lành nói với chúng nó, ắt chúng nó sẽ làm tôi tớ vua mãi mãi.|老 年 人 對 他 說 、 王 若 恩 待 這 民 、 使 他 們 喜 悅 、 用 好 話 回 覆 他 們 、 他 們 就 永 遠 作 王 的 僕 人 。
Song Rô-bô-am chẳng theo mưu của các trưởng lão đã bàn cho mình, bèn hội nghị với các người trai trẻ đã đồng sanh trưởng với mình, và chầu trước mặt mình,|王 卻 不 用 老 年 人 給 他 出 的 主 意 、 就 和 那 些 與 他 一 同 長 大 、 在 他 面 前 侍 立 的 少 年 人 商 議 、
mà rằng: Dân sự này đã tâu với ta rằng: Hãy giảm nhẹ cái ách mà thân phụ vua đã gán cho chúng tôi; vậy các ngươi bàn luận cho ta phải đáp với chúng nó làm sao?|說 、 這 民 對 我 說 、 你 父 親 使 我 們 負 重 軛 、 求 你 使 我 們 輕 鬆 些 ． 你 們 給 我 出 個 甚 麼 主 意 、 我 好 回 覆 他 們 ．
Các gã trai trẻ đồng lớn lên với người thưa rằng: Dân sự đã thưa với vua rằng: Thân phụ vua khiến cho ách chúng tôi nặng nề; vua hãy làm cho nó ra nhẹ; vua phải đáp lại cùng chúng như vầy: Ngón tay út ta lớn hơn lưng của cha ta.|那 同 他 長 大 的 少 年 人 說 、 這 民 對 王 說 、 你 父 親 使 我 們 負 重 軛 、 求 你 使 我 們 輕 鬆 些 ． 王 要 對 他 們 如 此 說 、 我 的 小 拇 指 比 我 父 親 的 腰 還 粗 ．
Vậy, bây giờ, cha ta đã gán một cái ách nặng trên các ngươi, ắt ta sẽ làm cho ách các ngươi thêm nặng hơn; cha ta đã sửa phạt các ngươi bằng roi, còn ta sẽ sửa phạt các ngươi bằng roi bò cạp.|我 父 親 使 你 們 負 重 軛 、 我 必 使 你 們 負 更 重 的 軛 ． 我 父 親 用 鞭 子 責 打 你 們 、 我 要 用 蠍 子 鞭 責 打 你 們 。
Ngày thứ ba, Giê-rô-bô-am và cả dân sự đều đến cùng Rô-bô-am y như vua đã biểu rằng: Hãy trở lại cùng ta trong ngày thứ ba.|耶 羅 波 安 和 眾 百 姓 遵 著 羅 波 安 王 所 說 、 你 們 第 三 日 再 來 見 我 的 那 話 ． 第 三 日 他 們 果 然 來 了 。
Vua Rô-bô-am đáp với dân sự cách xẳng xớm, bỏ mưu của các trưởng lão đã bàn,|羅 波 安 王 用 嚴 厲 的 話 回 覆 他 們 、 不 用 老 年 人 所 出 的 主 意 ．
theo lời bàn của những kẻ trai trẻ, và đáp cùng chúng rằng: Cha ta khiến cho ách các ngươi nặng nề; ta sẽ làm cho ách các ngươi thêm nặng hơn; cha ta sửa phạt các ngươi bằng roi, ta sẽ sửa phạt các ngươi bằng roi bò cạp.|照 著 少 年 人 所 出 的 主 意 對 他 們 說 、 我 父 親 使 你 們 負 重 軛 、 我 必 使 你 們 負 更 重 的 軛 ． 我 父 親 用 鞭 子 責 打 你 們 、 我 要 用 蠍 子 鞭 責 打 你 們 。
Như vậy, vua không nghe lời dân sự, vì ấy là bởi Đức Chúa Trời dẫn đến, hầu cho Đức Giê-hô-va làm ứng nghiệm lời của Ngài đã nhờ A-hi-gia, người Si-lô, mà phán cùng Giê-rô-bô-am, con trai của Nê-bát.|王 不 肯 依 從 百 姓 ． 這 事 乃 出 於 　 神 、 為 要 應 驗 耶 和 華 藉 示 羅 人 亞 希 雅 對 尼 八 兒 子 耶 羅 波 安 所 說 的 話 。
Khi cả Y-sơ-ra-ên thấy vua không nghe lời họ, bèn đáp cùng người, mà rằng: Chúng ta có phần gì với Đa-vít? Chúng ta chẳng có cơ nghiệp gì với con trai Y-sai. Hỡi Y-sơ-ra-ên! mỗi người hãy trở về trại mình đi. Ớ Đa-vít! từ rày khá coi chừng nhà của ngươi. Cả Y-sơ-ra-ên bằn trở về trại mình.|以 色 列 眾 民 見 王 不 依 從 他 們 、 就 對 王 說 、 我 們 與 大 衛 有 甚 麼 分 兒 呢 、 與 耶 西 的 兒 子 並 沒 有 關 涉 ． 以 色 列 人 哪 、 各 回 各 家 去 罷 ． 大 衛 家 阿 、 自 己 顧 自 己 罷 ． 於 是 、 以 色 列 眾 人 都 回 自 己 家 裡 去 了 。
Nhưng còn dân Y-sơ-ra-ên ở tại các thành Giu-đa thì Rô-bô-am cai trị trên chúng.|惟 獨 住 在 猶 大 城 邑 的 以 色 列 人 、 羅 波 安 仍 作 他 們 的 王 。
