
					Giô-sua 1				|
Giô-suê nói: Oi! Chúa Giê-hô-va, sao Ngài đem dân này qua sông Giô-đanh đặng phó chúng tôi vào tay dân A-mô-rít mà làm cho diệt đi? Oi! chớ chi chúng tôi chọn phần ở lại bên kia sông Giô-đanh!|約 書 亞 說 、 哀 哉 、 主 耶 和 華 阿 、 你 為 甚 麼 竟 領 這 百 姓 過 約 但 河 、 將 我 們 交 在 亞 摩 利 人 的 手 中 、 使 我 們 滅 亡 呢 ． 我 們 不 如 住 在 約 但 河 那 邊 倒 好 。
Than ôi! hỡi Chúa, sau khi Y-sơ-ra-ên đã xây lưng trước mặt kẻ thù nghịch mình, tôi còn nói làm sao?|主 阿 、 以 色 列 人 既 在 仇 敵 面 前 轉 背 逃 跑 、 我 還 有 甚 麼 可 說 的 呢 ．
Dân Ca-na-an và cả dân ở xứ này sẽ hay điều đó, sẽ vây chúng tôi, và diệt danh chúng tôi khỏi đất; rồi Chúa sẽ làm sao cho danh lớn Chúa?|迦 南 人 和 這 地 一 切 的 居 民 聽 見 了 、 就 必 圍 困 我 們 、 將 我 們 的 名 從 地 上 除 滅 ． 那 時 你 為 你 的 大 名 要 怎 樣 行 呢 。
Bấy giờ, Đức Giê-hô-va phán cùng Giô-suê rằng: Hãy đứng dậy; sao ngươi sấp mặt xuống đất như vậy?|耶 和 華 吩 咐 約 書 亞 說 、 起 來 、 你 為 何 這 樣 俯 伏 在 地 呢 ．
Y-sơ-ra-ên có phạm tội; chúng nó bội nghịch giao ước ta đã truyền cho đến nỗi dám lấy vật đáng diệt, ăn cắp vật đó, làm dối trá, và để trong bao mình.|以 色 列 人 犯 了 罪 、 違 背 了 我 所 吩 咐 他 們 的 約 、 取 了 當 滅 的 物 ． 又 偷 竊 、 又 行 詭 詐 、 又 把 那 當 滅 的 放 在 他 們 的 家 具 裡 。
Bởi cớ đó, dân Y-sơ-ra-ên không thế chống cự nổi trước mặt kẻ thù nghịch mình, phải xây lưng trước mặt chúng nó, vì Y-sơ-ra-ên đã trở nên kẻ bị rủa sả. Nếu các ngươi không cất khỏi giữa mình vật đáng diệt ấy, thì ta không còn ở cùng các ngươi nữa.|因 此 、 以 色 列 人 在 仇 敵 面 前 站 立 不 住 ． 他 們 在 仇 敵 面 前 轉 背 逃 跑 、 是 因 成 了 被 咒 詛 的 ． 你 們 若 不 把 當 滅 的 物 、 從 你 們 中 間 除 掉 、 我 就 不 再 與 你 們 同 在 了 。
Hãy đứng dậy làm cho dân sự nên thánh, và hãy nói rằng: Các ngươi khá làm cho mình nên thánh về ngày mai; vì Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên có phán như vầy: Hỡi Y-sơ-ra-ên, ngươi có vật đáng diệt tại giữa ngươi! ngươi không thế chống cự nổi trước mặt kẻ thù nghịch mình cho đến chừng nào các ngươi đã cất khỏi giữa mình vật đáng diệt ấy.|你 起 來 、 叫 百 姓 自 潔 、 對 他 們 說 、 你 們 要 自 潔 豫 備 明 天 ． 因 為 耶 和 華 以 色 列 的 　 神 這 樣 說 、 以 色 列 阿 、 你 們 中 間 有 當 滅 的 物 ． 你 們 若 不 除 掉 、 在 仇 敵 面 前 、 必 站 立 不 住 。
Vậy, sáng mai các ngươi sẽ đi đến gần từng chi phái; chi phái nào mà Đức Giê-hô-va chỉ ra sẽ đến gần từng họ hàng; họ hàng nào mà Đức Giê-hô-va chỉ ra sẽ đến gần từng nhà; nhà nào mà Đức Giê-hô-va chỉ ra sẽ đến gần từng người.|到 了 早 晨 、 你 們 要 按 著 支 派 近 前 來 ． 耶 和 華 所 取 的 支 派 、 要 按 著 宗 族 近 前 來 ． 耶 和 華 所 取 的 宗 族 、 要 按 著 家 室 近 前 來 ． 耶 和 華 所 取 的 家 室 、 要 按 著 人 丁 、 一 個 一 個 地 近 前 來 。
Người nào bị chỉ ra là kẻ có của đáng diệt đó, sẽ bị thiêu nơi lửa, cùng các món thuộc về người; vì người đã bội giao ước của Đức Giê-hô-va, và phạm sự xấu hổ trong Y-sơ-ra-ên.|被 取 的 人 有 當 滅 的 物 在 他 那 裡 、 他 和 他 所 有 的 、 必 被 火 焚 燒 ． 因 他 違 背 了 耶 和 華 的 約 、 又 因 他 在 以 色 列 中 、 行 了 愚 妄 的 事 。
Vậy, Giô-suê dậy sớm, biểu Y-sơ-ra-ên đến gần từng chi phái; và chi phái Giu-đa bị chỉ ra.|於 是 約 書 亞 清 早 起 來 、 使 以 色 列 人 按 著 支 派 近 前 來 ． 取 出 來 的 、 是 猶 大 支 派 ．
Đoạn, người biểu các họ hàng Giu-đa đến gần; và họ hàng Xê-rách bị chỉ ra. Đoạn, người biểu họ hàng Xê-rách lại gần từng gia trưởng; và Xáp-đi bị chỉ ra.|使 猶 大 支 派 〔 原 文 作 宗 族 〕 近 前 來 、 就 取 了 謝 拉 的 宗 族 ． 使 謝 拉 的 宗 族 、 按 著 家 室 人 丁 、 一 個 一 個 地 近 前 來 ． 取 出 來 的 、 是 撒 底 ．
Người biểu nhà Xáp-đi đến gần từng người; thì A-can, con trai của Cạt-ni, cháu của Xáp-đi, bị chỉ ra.|使 撒 底 的 家 室 、 按 著 人 丁 、 一 個 一 個 地 近 前 來 、 就 取 出 猶 大 支 派 的 人 謝 拉 的 曾 孫 、 撒 底 的 孫 子 、 迦 米 的 兒 子 亞 干 。
Giô-suê bèn nói cùng A-can rằng: Hỡi con, xin hãy tôn vinh Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên, và ngợi khen Ngài; hãy thú thật cho ta điều con đã làm, chớ giấu chút nào.|約 書 亞 對 亞 干 說 、 我 兒 、 我 勸 你 將 榮 耀 歸 給 耶 和 華 以 色 列 的 　 神 、 在 他 面 前 認 罪 將 你 所 作 的 事 告 訴 我 ． 不 要 向 我 隱 瞞 。
A-can thưa cùng Giô-suê rằng: Phải, tôi đã phạm tội cùng Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên, và này là điều tôi đã làm:|亞 干 回 答 約 書 亞 說 、 我 實 在 得 罪 了 耶 和 華 以 色 列 的 　 神 ． 我 所 作 的 事 、 如 此 如 此 。
Tôi có thấy trong của cướp một cái áo choàng Si-nê -a tốt đẹp, hai trăm siếc lơ bạc, và một ném vàng nặng năm mươi siếc lơ; tôi tham muốn các món đó, và lấy nó; kìa, các vật ấy đã giấu dưới đất giữa trại tôi, còn bạc thì ở dưới.|我 在 所 奪 的 財 物 中 、 看 見 一 件 美 好 的 示 拿 衣 服 、 二 百 舍 客 勒 銀 子 、 一 條 金 子 、 重 五 十 舍 客 勒 、 我 就 貪 愛 這 些 物 件 、 便 拿 去 了 ． 現 今 藏 在 我 帳 棚 內 的 地 裡 、 銀 子 在 衣 服 底 下 。
Giô-suê bèn sai người chạy đến trại, thấy áo choàng giấu tại đó, và bạc thì ở dưới.|約 書 亞 就 打 發 人 跑 到 亞 干 的 帳 棚 裡 ． 那 件 衣 服 果 然 藏 在 他 帳 棚 內 、 銀 子 在 底 下 。
Họ lấy các vật đó giữa trại, đem về cho Giô-suê và cho hết thảy dân Y-sơ-ra-ên, rồi để trước mặt Đức Giê-hô-va.|他 們 就 從 帳 棚 裡 取 出 來 、 拿 到 約 書 亞 和 以 色 列 眾 人 那 裡 、 放 在 耶 和 華 面 前 。
Bấy giờ, Giô-suê và cả Y-sơ-ra-ên bắt A-can, con cháu Xê-rách, cùng lấy bạc, áo choàng, nén vàng, con trai, con gái của người, bò, lừa, chiên, trại, và mọi vật chi thuộc về người, mà dẫn đến trong trũng A-cô.|約 書 亞 和 以 色 列 眾 人 、 把 謝 拉 的 曾 孫 亞 干 、 和 那 銀 子 、 那 件 衣 服 、 那 條 金 子 、 並 亞 干 的 兒 女 、 牛 、 驢 、 羊 、 帳 棚 、 以 及 他 所 有 的 、 都 帶 到 亞 割 谷 去 。
Giô-suê nói: Sao ngươi có khuấy rối chúng ta? Đức Giê-hô-va chắc sẽ khuấy rối ngươi ngày nay. Rồi cả Y-sơ-ra-ên ném đá người; họ thiêu các người ấy trong lửa, và lấy đá lấp chúng nó lại.|約 書 亞 說 、 你 為 甚 麼 連 累 我 們 呢 ． 今 日 耶 和 華 必 叫 你 受 連 累 。 於 是 以 色 列 眾 人 用 石 頭 打 死 他 、 將 石 頭 扔 在 其 上 ． 又 用 火 焚 燒 他 所 有 的 。 〔 他 所 有 的 原 文 作 他 們 〕
Kế ấy, chúng chất trên thây người một đống đá lớn, hãy còn cho đến ngày nay. Đức Giê-hô-va bèn nguôi cơn thạnh nộ Ngài. Bởi cớ đó, người ta gọi chỗ này là A-cô cho đến ngày nay.|眾 人 在 亞 干 身 上 堆 成 一 大 堆 石 頭 、 直 存 到 今 日 ． 於 是 耶 和 華 轉 意 、 不 發 他 的 烈 怒 。 因 此 那 地 方 名 叫 亞 割 谷 、 直 到 今 日 。 〔 亞 割 就 是 連 累 的 意 思 〕

					Giô-sua 8				|
						約書亞記 8					
Kế đó, Đức Giê-hô-va phán cùng Giô-suê rằng: Ngươi chớ sợ, chớ ái ngại. Hãy đem theo mình hết thảy quân lính, chổi dậy đi lên hãm đánh thành A-hi. Kìa, ta đã phó vào tay ngươi vua A-hi, dân sự, thành, và xứ của người.|耶 和 華 對 約 書 亞 說 、 不 要 懼 怕 、 也 不 要 驚 惶 ． 你 起 來 率 領 一 切 兵 丁 、 上 艾 城 去 ． 我 已 經 把 艾 城 的 王 、 和 他 的 民 、 他 的 城 、 並 他 的 地 、 都 交 在 你 手 裡 。
Ngươi phải đãi A-hi và vua nó như ngươi đã đãi Giê-ri-cô và vua nó; nhưng các ngươi sẽ đoạt lấy hóa tài và súc vật cho mình. Hãy phục binh sau thành.|你 怎 樣 待 耶 利 哥 、 和 耶 利 哥 的 王 、 也 當 照 樣 待 艾 城 、 和 艾 城 的 王 ． 只 是 城 內 所 奪 的 財 物 、 和 牲 畜 、 你 們 可 以 取 為 自 己 的 掠 物 ． 你 要 在 城 後 設 下 伏 兵 。
Vậy, Giô-suê đứng dậy cùng các quân lính đặng lên đánh A-hi. Người chọn ba muôn người mạnh dạn, sai đi ban đêm,|於 是 約 書 亞 、 和 一 切 兵 丁 、 都 起 來 、 要 上 艾 城 去 ． 約 書 亞 選 了 三 萬 大 能 的 勇 士 、 夜 間 打 發 他 們 前 往 ．
và truyền lịnh này rằng: Hãy coi, các ngươi sẽ phục binh sau thành; chớ dang ra xa thành quá, hãy dàn cho sẵn.|吩 咐 他 們 說 、 你 們 要 在 城 後 埋 伏 ． 不 可 離 城 太 遠 、 都 要 各 自 準 備 。
Còn ta với cả dân sự theo ta, sẽ đi gần lại thành. Khi chúng nó ra đón đánh chúng ta như lần trước, thì chúng ta sẽ chạy trốn trước mặt chúng nó.|我 與 我 所 帶 領 的 眾 民 、 要 向 城 前 往 ． 城 裡 的 人 像 初 次 出 來 攻 擊 我 們 的 時 候 、 我 們 就 在 他 們 面 前 逃 跑 ．
Chúng nó sẽ rượt theo chúng ta cho đến chừng chúng ta dụ chúng nó ra cách xa khỏi thành; vì họ nói rằng: Chúng nó chạy trốn ta như lần trước. Trong lúc chúng ta chạy trốn trước mặt chúng nó,|他 們 必 出 來 追 趕 我 們 、 直 到 我 們 引 誘 他 們 離 開 城 ． 因 為 他 們 必 說 、 這 些 人 像 初 次 在 我 們 面 前 逃 跑 ． 所 以 我 們 要 在 他 們 面 前 逃 跑 ．
thì các ngươi sẽ ra khỏi nơi phục binh mà hãm lấy thành; Giê-hô-va Đức Chúa Trời các ngươi sẽ phó thành vào tay các ngươi.|你 們 就 從 埋 伏 的 地 方 起 來 、 奪 取 那 城 ． 因 為 耶 和 華 你 們 的 　 神 、 必 把 城 交 在 你 們 手 裡 。
Khi các ngươi chiếm thành rồi, thì phải phóng hỏa nó; hãy làm theo lời của Đức Giê-hô-va. Hãy coi, này là lịnh ta truyền cho các ngươi.|你 們 奪 了 城 以 後 、 就 放 火 燒 城 ． 要 照 耶 和 華 的 話 行 ． 這 是 我 吩 咐 你 們 的 。
Vậy, Giô-suê sai các người đó đi; họ phục giữa khoảng Bê-tên và A-hi, về phía tây của A-hi; còn Giô-suê đêm đó ngủ tại giữa dân sự.|約 書 亞 打 發 他 們 前 往 ． 他 們 就 上 埋 伏 的 地 方 去 、 住 在 伯 特 利 和 艾 城 的 中 間 ． 就 是 在 艾 城 的 西 邊 ． 這 夜 約 書 亞 卻 在 民 中 住 宿 。
Kế ấy, Giô-suê dậy sớm, điểm dân sự; người cùng các trưởng lão đi lên trước mặt dân đến thành A-hi.|約 書 亞 清 早 起 來 、 點 齊 百 姓 、 他 和 以 色 列 的 長 老 在 百 姓 前 面 上 艾 城 去 。
Hết thảy quân lính theo người đi lên đến gần trước mặt thành, và đóng trại về phía bắc A-hi: có cái trũng chạy dài giữa họ và thành A-hi.|眾 民 就 是 他 所 帶 領 的 兵 丁 都 上 去 、 向 前 直 往 、 來 到 城 前 、 在 艾 城 北 邊 安 營 ． 在 約 書 亞 和 艾 城 中 間 有 一 山 谷 。
Giô-suê bèn đem chừng năm ngàn lính phục giữa khoảng Bê-tên và A-hi, về phía tây của thành.|他 挑 了 約 有 五 千 人 、 使 他 們 埋 伏 在 伯 特 利 和 艾 城 的 中 間 、 就 是 在 艾 城 的 西 邊 。
Khi dân sự đã đóng trại nơi phía bắc của thành, và phục binh về phía tây rồi, thì đêm đó Giô-suê đi xớm tới trong trũng.|於 是 安 置 了 百 姓 、 就 是 城 北 的 全 軍 、 和 城 西 的 伏 兵 ． 這 夜 約 書 亞 進 入 山 谷 之 中 。
Vua thành ấy vừa thấy điều đó, người ta bèn lật đật dậy sớm, vua và cả dân sự người đều đi ra đón Y-sơ-ra-ên tại nơi đã chỉ bảo, về phía đồng bằng, đặng giao chiến; song vua không biết rằng có một đạo binh phục ở phía sau thành.|艾 城 的 王 看 見 這 景 況 、 就 和 全 城 的 人 、 清 早 急 忙 起 來 、 按 所 定 的 時 候 、 出 到 亞 拉 巴 前 、 要 與 以 色 列 人 交 戰 ． 王 卻 不 知 道 在 城 後 有 伏 兵 。
Giô-suê và cả Y-sơ-ra-ên để cho chúng nó đánh bại mình, và chạy trốn về phía đồng vắng.|約 書 亞 和 以 色 列 眾 人 在 他 們 面 前 裝 敗 、 往 那 通 曠 野 的 路 逃 跑 。
Hết thảy dân sự trong thành đều hiệp lại đặng đuổi theo. Vậy chúng rượt theo Giô-suê và bị dụ cách xa khỏi thành;|城 內 的 眾 民 、 都 被 招 聚 、 追 趕 他 們 ． 艾 城 人 追 趕 的 時 候 、 就 被 引 誘 離 開 城 。
chẳng có một ai ở thành A-hi hay là ở Bê-tên mà không ra đuổi theo Y-sơ-ra-ên; họ bỏ thành trống không để đuổi theo Y-sơ-ra-ên.|艾 城 、 和 伯 特 利 城 、 沒 有 一 人 不 出 來 追 趕 以 色 列 人 的 、 撇 了 敞 開 的 城 門 、 去 追 趕 以 色 列 人 。
Bấy giờ, Đức Giê-hô-va phán cùng Giô-suê rằng: Hãy giơ giáo ngươi cầm nơi tay ra về hướng thành A-hi, vì ta sẽ phó thành vào tay ngươi. Giô-suê bèn giơ giáo mình cầm nơi tay ra về hướng thành.|耶 和 華 吩 咐 約 書 亞 說 、 你 向 艾 城 伸 出 手 裡 的 短 鎗 、 因 為 我 要 將 城 交 在 你 手 裡 ． 約 書 亞 就 向 城 伸 出 手 裡 的 短 鎗 。
Vừa giơ tay lên, binh phục lập tức đứng dậy khỏi chỗ mình núp mà chạy vào thành, chiếm lấy và phóng hỏa nó.|他 一 伸 手 、 伏 兵 就 從 埋 伏 的 地 方 急 忙 起 來 、 奪 了 城 、 跑 進 城 去 、 放 火 焚 燒 。
Người thành A-hi quay lại, nhìn thấy khói đốt thành bay lên trời; họ chẳng một phương thế nào đặng trốn về phía này hay là phía kia. Vả, dân sự chạy trốn về phía đồng vắng trở lộn lại đánh những kẻ rượt đuổi theo mình.|艾 城 的 人 回 頭 一 看 、 不 料 、 城 中 煙 氣 沖 天 、 他 們 就 無 力 向 左 向 右 逃 跑 ． 那 往 曠 野 逃 跑 的 百 姓 、 便 轉 身 攻 擊 追 趕 他 們 的 人 。
Khi Giô-suê và cả Y-sơ-ra-ên thấy binh phục đã lấy thành, và khói đốt thành bay lên, bèn trở về đánh người A-hi.|約 書 亞 和 以 色 列 眾 人 見 伏 兵 已 經 奪 了 城 、 城 中 煙 氣 飛 騰 、 就 轉 身 回 去 、 擊 殺 艾 城 的 人 。
Các binh khác cũng ra khỏi thành đón đánh dân A-hi; như vậy chúng nó bị dân Y-sơ-ra-ên vây phủ, bên này có đạo này, bên kia có quân kia. Người ta đánh chúng nó đến đỗi không còn để lại kẻ nào sống hay là cho ai thoát được.|伏 兵 也 出 城 迎 擊 艾 城 人 ． 艾 城 人 就 困 在 以 色 列 人 中 間 、 前 後 都 是 以 色 列 人 ． 於 是 以 色 列 人 擊 殺 他 們 、 沒 有 留 下 一 個 、 也 沒 有 一 個 逃 脫 的 ．
Binh bắt sống vua A-hi, và dẫn đến cùng Giô-suê.|生 擒 了 艾 城 的 王 、 將 他 解 到 約 書 亞 那 裡 。
Khi dân Y-sơ-ra-ên đã giết xong hết thảy người thành A-hi, hoặc trong đồng ruộng hay là trong đồng vắng, là nơi chúng nó bị đuổi theo, và khi hết thảy, đến đỗi người chót, đã ngã rạp dưới lưỡi gươm rồi, thì dân Y-sơ-ra-ên trở về A-hi và giết bằng lưỡi gươm những kẻ còn ở tại đó.|以 色 列 人 在 田 間 和 曠 野 殺 盡 所 追 趕 一 切 艾 城 的 居 民 ． 艾 城 人 倒 在 刀 下 、 直 到 滅 盡 、 以 色 列 眾 人 就 回 到 艾 城 、 用 刀 殺 了 城 中 的 人 。
Trong ngày đó, hết thảy người A-hi, nam và nữ, đều bị ngã chết, số là mười hai ngàn người.|當 日 殺 斃 的 人 、 連 男 帶 女 、 共 有 一 萬 二 千 、 就 是 艾 城 所 有 的 人 。
Giô-suê chẳng rút lại tay mình đã cầm giơ thẳng ra với cây giáo, cho đến chừng nào người ta đã diệt hết thảy người thành A-hi.|約 書 亞 沒 有 收 回 手 裡 所 伸 出 來 的 短 鎗 、 直 到 把 艾 城 的 一 切 居 民 、 盡 行 殺 滅 。
Song dân Y-sơ-ra-ên cướp cho mình những súc vật và hóa tài của thành này, y như Đức Giê-hô-va đã phán dặn Giô-suê.|惟 獨 城 中 的 牲 畜 、 和 財 物 、 以 色 列 人 都 取 為 自 己 的 掠 物 、 是 照 耶 和 華 所 吩 咐 約 書 亞 的 話 。
Vậy, Giô-suê phóng hỏa thành A-hi, và làm cho nó ra một đống hư tàn đời đời, y như hãy còn đến ngày nay.|約 書 亞 將 艾 城 焚 燒 、 使 城 永 為 高 堆 、 荒 場 、 直 到 今 日 。
Người biểu treo vua A-hi lên trên một cây và để đó cho đến chiều; nhưng khi mặt trời lặn, Giô-suê biểu người ta hạ thây xuống khỏi cây. Người ta đem liệng thây đó nơi cửa thành, và chất lên trên một đống đá lớn, hãy còn đến ngày nay.|又 將 艾 城 王 掛 在 樹 上 、 直 到 晚 上 。 日 落 的 時 候 、 約 書 亞 吩 咐 人 把 屍 首 從 樹 上 取 下 來 、 丟 在 城 門 口 、 在 屍 首 上 堆 成 一 大 堆 石 頭 、 直 存 到 今 日 。
Bấy giờ, Giô-suê lập một bàn thờ cho Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên tại trên núi Ê-banh,|那 時 約 書 亞 在 以 巴 路 山 上 、 為 耶 和 華 以 色 列 的 　 神 、 築 一 座 壇 ．
y như Môi-se, tôi tớ của Đức Giê-hô-va, đã dặn biểu dân Y-sơ -r-ên, và đã có chép trong sách luật pháp Môi-se: ấy là một bàn thờ bằng đá nguyên khối, sắt chưa đụng đến. Ở đó dân sự dâng của lễ thiêu cho Đức Giê-hô-va, và dâng của lễ thù ân.|是 用 沒 有 動 過 鐵 器 的 整 石 頭 築 的 、 照 著 耶 和 華 僕 人 摩 西 所 吩 咐 以 色 列 人 的 話 、 正 如 摩 西 律 法 書 上 所 寫 的 ． 眾 人 在 這 壇 上 給 耶 和 華 奉 獻 燔 祭 、 和 平 安 祭 。
Tại đó Giô-suê cũng khắc trên đá một bản luật pháp mà Môi-se đã chép trước mặt dân Y-sơ-ra-ên.|約 書 亞 在 那 裡 、 當 著 以 色 列 人 面 前 、 將 摩 西 所 寫 的 律 法 抄 寫 在 石 頭 上 。
Cả Y-sơ-ra-ên, các trưởng lão, các quan cai, và các quan xét đứng hai bên hòm trước mặt những thầy tế lễ, người Lê-vi, là người khiêng hòm giao ước ủa Đức Giê-hô-va. Những khách lạ luôn với dân Y-sơ-ra-ên đều có mặt tại đó, phân nửa này ở về phía núi Ga-ri-xim, và phân nửa kia ở về phía núi Ê-banh, tùy theo lịnh mà Môi-se, tôi tớ của Đức Giê-hô-va, trước đã truyền cho chúc phước dân Y-sơ-ra-ên.|以 色 列 眾 人 、 無 論 是 本 地 人 、 是 寄 居 的 、 和 長 老 、 官 長 、 並 審 判 官 、 都 站 在 約 櫃 兩 旁 、 在 抬 耶 和 華 約 櫃 的 祭 司 利 未 人 面 前 、 一 半 對 著 基 利 心 山 、 一 半 對 著 以 巴 路 山 、 為 以 色 列 民 祝 福 、 正 如 耶 和 華 僕 人 摩 西 先 前 所 吩 咐 的 。
Đoạn, Giô-suê đọc hết các lời luật pháp, sự chúc lành và sự chúc dữ, y như đã chép trong sách luật pháp.|隨 後 約 書 亞 將 律 法 上 祝 福 咒 詛 的 話 、 照 著 律 法 書 上 一 切 所 寫 的 、 都 宣 讀 了 一 遍 。
Chẳng có lời nào về mọi điều Môi-se đã truyền dặn mà Giô-suê không đọc tại trước mặt cả hội chúng Y-sơ-ra-ên, trước mặt đờn bà, con nít, và khách lạ ở giữa họ.|摩 西 所 吩 咐 的 一 切 話 、 約 書 亞 在 以 色 列 全 會 眾 、 和 婦 女 、 孩 子 、 並 他 們 中 間 寄 居 的 外 人 面 前 、 沒 有 一 句 不 宣 讀 的 。

					Giô-sua 9				|
						約書亞記 9					
Khi hay được việc này, hết thảy các vua ở bên này sông Giô-đanh, hoặc ở trong núi, dưới đồng bằng, hay là dọc bãi biển lớn đối ngang Li-ban, tức là các vua dân Hê-tít, dân A-mô-rít, dân Ca-na-an, dân Phê-rê-sít, và dân Giê-bu-sít,|約 但 河 西 住 山 地 、 高 原 、 並 對 著 利 巴 嫩 山 沿 大 海 一 帶 的 諸 王 、 就 是 赫 人 、 亞 摩 利 人 、 迦 南 人 、 比 利 洗 人 、 希 未 人 、 耶 布 斯 人 的 諸 王 、 聽 見 這 事 、
đều rập một ý hiệp với nhau đặng giao chiến với Giô-suê và Y-sơ-ra-ên.|就 都 聚 集 、 同 心 合 意 的 、 要 與 約 書 亞 和 以 色 列 人 爭 戰 。
Khi dân Ga-ba-ôn đã hay điều Giô-suê làm cho Giê-ri-cô và A-hi,|基 遍 的 居 民 聽 見 約 書 亞 向 耶 利 哥 和 艾 城 所 行 的 事 、
bèn tính dùng mưu kế. Chúng nó giả bộ đi sứ, lấy bao cũ chất cho lừa mình, và bầu chứa rượu cũ rách vá lại,|就 設 詭 計 。 假 充 使 者 、 拿 舊 口 袋 、 和 破 裂 縫 補 的 舊 皮 酒 袋 、 馱 在 驢 上 、
dưới chơn mang giày cũ vá, và trên mình quần áo cũ mòn; hết thảy bánh về lương bị họ đều khô và miếng vụn.|將 補 過 的 舊 鞋 穿 在 腳 上 、 把 舊 衣 服 穿 在 身 上 、 他 們 所 帶 的 餅 都 是 乾 的 、 長 了 霉 了 。
Chúng nó đi đến gần Giô-suê tại trại quân Ghinh-ganh, mà nói cùng người và dân Y-sơ-ra-ên rằng: Chúng tôi ở xứ xa đến; vậy bây giờ, hãy lập giao ước cùng chúng tôi.|他 們 到 吉 甲 營 中 見 約 書 亞 、 對 他 和 以 色 列 人 說 、 我 們 是 從 遠 方 來 的 ． 現 在 求 你 與 我 們 立 約 。
Dân Y-sơ-ra-ên đáp cùng dân Hê-vít rằng: Có lẽ các ngươi ở giữa chúng ta chăng; vậy làm thế nào lập giao ước đặng?|以 色 列 人 對 這 些 希 未 人 說 、 只 怕 你 們 是 住 在 我 們 中 間 的 ． 若 是 這 樣 、 怎 能 和 你 們 立 約 呢 。
Nhưng chúng nó nói cùng Giô-suê rằng: Chúng tôi là tôi tớ của ông. Giô-suê hỏi: Các ngươi là ai, ở đâu đến?|他 們 對 約 書 亞 說 、 我 們 是 你 的 僕 人 。 約 書 亞 問 他 們 說 、 你 們 是 甚 麼 人 、 是 從 那 裡 來 的 ．
Đáp rằng: Tôi tớ của ông ở từ xứ rất xa đến để tôn trọng danh Giê-hô-va là Đức Chúa Trời của ông; vì chúng tôi có nghe nói về Ngài, và mọi điều Ngài đã làm trong xứ Ê-díp-tô;|他 們 回 答 說 、 僕 人 從 極 遠 之 地 而 來 、 是 因 聽 見 耶 和 華 你 　 神 的 名 聲 、 和 他 在 埃 及 所 行 的 一 切 事 、
lại cũng nghe về mọi điều Ngài đã làm cho hai vua A-mô-rít ở bên kia sông Giô-đanh, là Si-hôn, vua Hết-bôn, và Oc, vua Ba-san, ở tại Ach-ta-rốt.|並 他 向 約 但 河 東 的 兩 個 亞 摩 利 王 、 就 是 希 實 本 王 西 宏 、 和 在 亞 斯 他 錄 的 巴 珊 王 噩 、 一 切 所 行 的 事 ．
Các trưởng lão và hết thảy dân sự ở xứ chúng tôi có nói cùng chúng tôi rằng: Hãy lấy lương thực dùng dọc đường, đi đến trước mặt dân đó, mà nói rằng: Chúng tôi là tôi tớ các ông; và bây giờ, hãy lập giao ước cùng chúng tôi.|我 們 的 長 老 和 我 們 那 地 的 一 切 居 民 對 我 們 說 、 你 們 手 裡 要 帶 著 路 上 用 的 食 物 、 去 迎 接 以 色 列 人 、 對 他 們 說 、 我 們 是 你 們 的 僕 人 ． 現 在 求 你 們 與 我 們 立 約 。
Kìa, bánh của chúng tôi; ngày chúng tôi ra khỏi nhà đặng đi đến cùng các ông, chúng tôi lấy nó đem theo làm lương thực vẫn nóng hổi, mà ngày nay đã khô và bể vụn.|我 們 出 來 要 往 你 們 這 裡 來 的 日 子 、 從 家 裡 帶 出 來 的 這 餅 還 是 熱 的 ． 看 哪 、 現 在 都 乾 了 。 長 了 霉 了 。
Những bầu rượu này chúng tôi đổ đầy rượu hãy còn mới tinh, kìa nay đã rách; còn quần áo và giày chúng tôi đã cũ mòn, bởi vì đi đường xa.|這 皮 酒 袋 、 我 們 盛 酒 的 時 候 還 是 新 的 ． 看 哪 、 現 在 已 經 破 裂 ． 我 們 這 衣 服 和 鞋 、 因 為 道 路 甚 遠 、 也 都 穿 舊 了 。
Người Y-sơ-ra-ên bèn nhậm lương thực chúng nó, không cầu hỏi Đức Giê-hô-va.|以 色 列 人 受 了 他 們 些 食 物 、 並 沒 有 求 問 耶 和 華 。
Giô-suê lập hòa cùng chúng nó, và kết ước cho chúng nó sống; rồi các trưởng lão của hội chúng bèn thề cùng chúng nó.|於 是 約 書 亞 與 他 們 講 和 、 與 他 們 立 約 、 容 他 們 活 著 ． 會 眾 的 首 領 、 也 向 他 們 起 誓 。
Nhưng ba ngày sau khi đã lập giao ước cùng chúng nó, dân Y-sơ-ra-ên hay rằng các người này vốn lân cận mình, và ở tại giữa mình.|以 色 列 人 與 他 們 立 約 之 後 、 過 了 三 天 、 纔 聽 見 他 們 是 近 鄰 、 住 在 以 色 列 人 中 間 的 。
Dân Y-sơ-ra-ên lên đường, và ngày thứ ba đến thành chúng nó. Vả, các thành của chúng nó là Ga-ba-ôn, Kê-phi-ra, Bê-ê-rốt, và Ki-ri-át-Giê -a-rim.|以 色 列 人 起 行 、 第 三 天 到 了 他 們 的 城 邑 、 就 是 基 遍 、 基 非 拉 、 比 錄 、 基 列 耶 琳 。
