
					Dân Số 1				|
tức là cho mọi người tùy theo chức phận mình.|你 要 收 下 這 些 、 好 作 會 幕 的 使 用 、 都 要 照 利 未 人 所 辦 的 事 交 給 他 們 。
Vậy, Môi-se bèn nhận lấy các xe cộ và những bò đực, giao cho người Lê-vi.|於 是 摩 西 收 了 車 和 牛 、 交 給 利 未 人 。
Người giao cho con cháu Ghẹt-sôn hai xe cộ và bốn con bò đực, tùy theo chức phận của họ.|把 兩 輛 車 、 四 隻 牛 、 照 革 順 子 孫 所 辦 的 事 交 給 他 們 。
Người giao cho con cháu Mê-ra-ri bốn xe cộ và tám con bò đực, tùy theo chức phận của họ, có Y-tha-ma, con trai thầy tế lễ A-rôn, làm quản lý.|又 把 四 輛 車 、 八 隻 牛 、 照 米 拉 利 子 孫 所 辦 的 事 交 給 他 們 ． 他 們 都 在 祭 司 亞 倫 的 兒 子 以 他 瑪 手 下 。
Nhưng người không có giao chi cho con cháu Kê-hát, vì họ mắc phần công việc về những vật thánh, và gánh vác những vật đó trên vai mình.|但 車 與 牛 都 沒 有 交 給 哥 轄 子 孫 、 因 為 他 們 辦 的 是 聖 所 的 事 、 在 肩 頭 上 抬 聖 物 。
Trong ngày bàn thờ được xức dầu, các quan trưởng dâng lễ vật mình trước bàn thờ về cuộc khánh thành nó.|用 膏 抹 壇 的 日 子 、 首 領 都 來 行 奉 獻 壇 的 禮 、 眾 首 領 就 在 壇 前 獻 供 物 。
Đức Giê-hô-va phán cùng Môi-se rằng: Các quan trưởng phải đem lễ vật mình về cuộc khánh thành bàn thờ, người nầy thì ngày nay, người kia thì ngày kia.|耶 和 華 對 摩 西 說 、 眾 首 領 為 行 奉 獻 壇 的 禮 、 要 每 天 一 個 首 領 來 獻 供 物 。
Người dâng lễ vật mình ngày đầu, là Na-ha-sôn, con trai của A-mi-na-đáp, thuộc về chi phái Giu-đa.|頭 一 日 獻 供 物 的 、 是 猶 大 支 派 的 亞 米 拿 達 的 兒 子 拿 順 。
Lễ-vật người là một cái đĩa bạc nặng một trăm ba mươi siếc-lơ, một cái chậu bạc nặng bảy chục siếc-lơ, theo siếc-lơ của nơi thánh; cả hai cái đều đầy bột lọc nhồi dầu, dùng về của lễ chay;|他 的 供 物 是 一 個 銀 盤 子 、 重 一 百 三 十 舍 客 勒 、 一 個 銀 碗 、 重 七 十 舍 客 勒 、 都 是 按 聖 所 的 平 、 也 都 盛 滿 了 調 油 的 細 麵 、 作 素 祭 。
một cái chén vàng nặng mười siếc-lơ, đầy thuốc thơm;|一 個 金 盂 、 重 十 舍 客 勒 、 盛 滿 了 香 。
một con bò đực tơ, một con chiên đực, một con chiên con giáp năm, dùng về của lễ thiêu;|一 隻 公 牛 犢 、 一 隻 公 綿 羊 、 一 隻 一 歲 的 公 羊 羔 、 作 燔 祭 。
một con dê đực dùng về của lễ chuộc tội;|一 隻 公 山 羊 作 贖 罪 祭 。
và về của lễ thù ân, hai con bò đực, năm con chiên đực, năm con dê đực, và năm con chiên con giáp năm. Đó là lễ vật của Na-ha-sôn, con trai A-mi-na-đáp.|兩 隻 公 牛 、 五 隻 公 綿 羊 、 五 隻 公 山 羊 、 五 隻 一 歲 的 公 羊 羔 、 作 平 安 祭 ． 這 是 亞 米 拿 達 兒 子 拿 順 的 供 物 。
Ngày thứ hai, Na-tha-na-ên, con trai của Xu -a, quan trưởng Y-sa-ca, dâng lễ vật mình.|第 二 日 來 獻 的 是 以 薩 迦 子 孫 的 首 領 、 蘇 押 的 兒 子 拿 坦 業 。
Người dâng một cái đĩa bạc nặng một trăm ba mươi siếc-lơ, một cái chậu bạc nặng bảy chục siếc-lơ, theo siếc-lơ của nơi thánh, cả hai cái đều đầy bột lọc nhồi dầu, dùng về của lễ chay;|他 獻 為 供 物 的 是 一 個 銀 盤 子 、 重 一 百 三 十 舍 客 勒 一 個 銀 碗 、 重 七 十 舍 客 勒 、 都 是 按 聖 所 的 平 、 也 都 盛 滿 了 調 油 的 細 麵 作 素 祭 。
một cái chén vàng nặng mười siếc-lơ, đầy thuốc thơm;|一 個 金 盂 、 重 十 舍 客 勒 、 盛 滿 了 香 。
một con bò đực tơ, một con chiên đực, một con chiên con giáp năm, dùng về của lễ thiêu;|一 隻 公 牛 犢 、 一 隻 公 綿 羊 、 一 隻 一 歲 的 公 羊 羔 、 作 燔 祭 。
một con dê đực dùng về của lễ chuộc tội;|一 隻 公 山 羊 作 贖 罪 祭 ．
và về của lễ thù ân, hai con bò đực, năm con chiên đực, năm con dê đực, và năm con chiên con giáp năm. Đó là lễ vật của Na-tha-na-ên. con trai Xu -a.|兩 隻 公 牛 、 五 隻 公 綿 羊 、 五 隻 公 山 羊 、 五 隻 一 歲 的 公 羊 羔 、 作 平 安 祭 ． 這 是 蘇 押 兒 子 拿 坦 業 的 供 物 。
Ngày thứ ba, đến quan trưởng của con cháu Sa-bu-lôn, là Ê-li-áp, con trai của Hê-lôn.|第 三 日 來 獻 的 是 西 布 倫 子 孫 的 首 領 、 希 倫 的 兒 子 以 利 押 。
Lễ-vật của người là một cái dĩa bạc nặng một trăm ba mươi siếc-lơ, một cái chậu bạc nặng bảy chục siếc-lơ, theo siếc-lơ của nơi thánh; cả hai cái đều đầy bột lọc nhồi dầu, dùng về của lễ chay;|他 的 供 物 是 一 個 銀 盤 子 、 重 一 百 三 十 舍 客 勒 、 一 個 銀 碗 、 重 七 十 舍 客 勒 、 都 是 按 聖 所 的 平 、 也 都 盛 滿 了 調 油 的 細 麵 、 作 素 祭 。
một cái chén vàng nặng mười siếc-lơ, đầy thuốc thơm;|一 個 金 盂 、 重 十 舍 客 勒 、 盛 滿 了 香 。
một con bò đực tơ, một con chiên đực, một con chiên con giáp năm, dùng về của lễ thiêu;|一 隻 公 牛 犢 、 一 隻 公 綿 羊 、 一 隻 一 歲 的 公 羊 羔 、 作 燔 祭 。
một con dê đực dùng về của lễ chuộc tội;|一 隻 公 山 羊 作 贖 罪 祭 。
và về của lễ thù ân, hai con bò đực, năm con chiên đực, năm con dê đực, và năm con chiên con giáp năm. Đó là lễ vật của Ê-li-áp, con trai Hê-lôn.|兩 隻 公 牛 、 五 隻 公 綿 羊 、 五 隻 公 山 羊 、 五 隻 一 歲 的 公 羊 羔 、 作 平 安 祭 ． 這 是 希 倫 兒 子 以 利 押 的 供 物 。
Ngày thứ tư, đến quan trưởng của con cháu Ru-bên, là Ê-lít-su, con trai Sê-đêu.|第 四 日 來 獻 的 、 是 流 便 子 孫 的 首 領 、 示 丟 珥 的 兒 子 以 利 蓿 。
Lễ-vật của người là một cái đĩa bạc nặng một trăm ba mươi siếc-lơ, một cái chậu bạc nặng bảy chục siếc-lơ, theo siếc-lơ của nơi thánh; cả hai cái đều đầy bột lọc nhồi dầu, dùng về của lễ chay;|他 的 供 物 是 一 個 銀 盤 子 、 重 一 百 三 十 舍 客 勒 、 一 個 銀 碗 、 重 七 十 舍 客 勒 、 都 是 按 聖 所 的 平 、 也 都 盛 滿 了 調 油 的 細 麵 、 作 素 祭 。
một cái chén vàng nặng mười siếc-lơ, đầy thuốc thơm;|一 個 金 盂 、 重 十 舍 客 勒 、 盛 滿 了 香 。
một con bò đực tơ, một con chiên đực, một con chiên con giáp năm, dùng về của lễ thiêu;|一 隻 公 牛 犢 、 一 隻 公 綿 羊 、 一 隻 一 歲 的 公 羊 羔 、 作 燔 祭 。
một con dê đực dùng về của lễ chuộc tội;|一 隻 公 山 羊 作 贖 罪 祭 。
và về của lễ thù ân, hai con bò đực, năm con chiên đực, năm con dê đực, và năm con chiên con giáp năm. Đó là lễ vật của Ê-lít-su, con trai Sê-đêu.|兩 隻 公 牛 、 五 隻 公 綿 羊 、 五 隻 公 山 羊 、 五 隻 一 歲 的 公 羊 羔 作 平 安 祭 ． 這 是 示 丟 珥 的 兒 子 以 利 蓿 的 供 物 。
Ngày thứ năm, đến quan trưởng của con cháu Si-mê-ôn, là Sê-lu-mi-ên, con trai Xu-ri-ha-đai.|第 五 日 來 獻 的 是 西 緬 子 孫 的 首 領 蘇 利 沙 代 的 兒 子 示 路 蔑 。
Lễ-vật của người là một cái đĩa bạc nặng một trăm ba mươi siếc-lơ, một cái chậu bạc nặng bảy chục siếc-lơ, theo siếc-lơ của nơi thánh; cả hai cái đều đầy bột lọc nhồi dầu, dùng về của lễ chay;|他 的 供 物 是 一 個 銀 盤 子 、 重 一 百 三 十 舍 客 勒 、 一 個 銀 碗 、 重 七 十 舍 客 勒 、 都 是 按 聖 所 的 平 、 也 都 盛 滿 了 調 油 的 細 麵 、 作 素 祭 。
một cái chén vàng nặng mười siếc-lơ, đầy thuốc thơm;|一 個 金 盂 、 重 十 舍 客 勒 、 盛 滿 了 香 。
một con bò đực tơ, một con chiên đực, một con chiên con giáp năm, dùng về của lễ thiêu;|一 隻 公 牛 犢 、 一 隻 公 綿 羊 、 一 隻 一 歲 的 公 羊 羔 、 作 燔 祭 。
một con dê đực dùng về của lễ chuộc tội;|一 隻 公 山 羊 作 贖 罪 祭 。
và về của lễ thù ân, hai con bò đực, năm con chiên đực, năm con dê đực, và năm con chiên con giáp năm. Đó là lễ vật của Sê-lu-mi-ên, con trai Xu-ri-ha-đai.|兩 隻 公 牛 、 五 隻 公 綿 羊 、 五 隻 公 山 羊 、 五 隻 一 歲 的 公 羊 羔 、 作 平 安 祭 。 這 是 蘇 利 沙 代 兒 子 示 路 蔑 的 供 物 。
Ngày thứ sáu, đến quan trưởng của con cháu Gát, là Ê-li -a-sáp, con trai Đê -u-ên.|第 六 日 來 獻 的 、 是 迦 得 子 孫 的 首 領 、 丟 珥 的 兒 子 以 利 雅 薩 。
Lễ-vật của người là một cái đĩa bạc nặng một trăm ba mươi siếc-lơ, một cái chậu bạc nặng bảy chục siếc-lơ, theo siếc-lơ của nơi thánh, cả hai cái đều đầy bột lọc nhồi dầu, dùng về của lễ chay;|他 的 供 物 是 一 個 銀 盤 子 、 重 一 百 三 十 舍 客 勒 、 一 個 銀 碗 、 重 七 十 舍 客 勒 、 都 是 按 聖 所 的 平 、 也 都 盛 滿 了 調 油 的 細 麵 、 作 素 祭 。
một cái chén vàng nặng mười siếc-lơ, đầy thuốc thơm;|一 個 金 盂 、 重 十 舍 客 勒 、 盛 滿 了 香 。
một con bò đực tơ, một con chiên đực, một con chiên con giáp năm, dùng về của lễ thiêu;|一 隻 公 牛 犢 、 一 隻 公 綿 羊 、 一 隻 一 歲 的 公 羊 羔 、 作 燔 祭 。
một con dê đực dùng về của lễ chuộc tội;|一 隻 公 山 羊 作 贖 罪 祭 。
và về của lễ thù ân, hai con bò đực, năm con chiên đực, năm con dê đực, và năm con chiên con giáp năm. Đó là lễ vật của Ê-li -a-sáp, con trai Đê -u-ên.|兩 隻 公 牛 、 五 隻 公 綿 羊 、 五 隻 公 山 羊 、 五 隻 一 歲 的 公 羊 羔 、 作 平 安 祭 ． 這 是 丟 珥 的 兒 子 以 利 雅 薩 的 供 物 。
Ngày thứ bảy, đến quan trưởng của con cháu Ep-ra-im, là Ê-li-sa-ma, con trai A-mi-hút.|第 七 日 來 獻 的 、 是 以 法 蓮 子 孫 的 首 領 亞 米 忽 的 兒 子 以 利 沙 瑪 。
Lễ-vật của người là một cái đĩa bạc nặng một trăm ba mươi siếc-lơ, một cái chậu bạc nặng bảy chục siếc-lơ, theo siếc-lơ của nơi thánh, cả hai cái đều đầy bột lọc nhồi dầu, dùng về của lễ chay;|他 的 供 物 是 一 個 銀 盤 子 、 重 一 百 三 十 舍 客 勒 、 一 個 銀 碗 、 重 七 十 舍 客 勒 、 都 是 按 聖 所 的 平 、 也 都 盛 滿 了 調 油 的 細 麵 、 作 素 祭 。
một cái chén vàng nặng mười siếc-lơ, đầy thuốc thơm;|一 個 金 盂 、 重 十 舍 客 勒 、 盛 滿 了 香 。
một con bò đực tơ, một con chiên đực, một con chiên con giáp năm, dùng về của lễ thiêu;|一 隻 公 牛 犢 、 一 隻 公 綿 羊 、 一 隻 一 歲 的 公 羊 羔 、 作 燔 祭 。
một con dê đực dùng về của lễ chuộc tội;|一 隻 公 山 羊 作 贖 罪 祭 。
và về của lễ thù ân, hai con bò đực, năm con chiên đực, năm con dê đực, và năm con chiên con giáp năm. Đó là lễ vật của Ê-li-sa-ma, con trai A-mi-hút.|兩 隻 公 牛 、 五 隻 公 綿 羊 、 五 隻 公 山 羊 、 五 隻 一 歲 的 公 羊 羔 、 作 平 安 祭 ． 這 是 亞 米 忽 兒 子 以 利 沙 瑪 的 供 物 。
Ngày thứ tám, đến quan trưởng của con cháu Ma-na-se, là Ga-ma-li-ên, con trai Phê-đát-su.|第 八 日 來 獻 的 、 是 瑪 拿 西 子 孫 的 首 領 比 大 蓿 的 兒 子 迦 瑪 列 。
Lễ-vật của người là một cái đĩa bạc nặng một trăm ba mươi siếc-lơ, một cái chậu bạc nặng bảy chục siếc-lơ, theo siếc-lơ của nơi thánh, cả hai cái đều đầy bột lọc nhồi dầu, dùng về của lễ chay;|他 的 供 物 是 一 個 銀 盤 子 、 重 一 百 三 十 舍 客 勒 、 一 個 銀 碗 、 重 七 十 舍 客 勒 、 都 是 按 聖 所 的 平 、 也 都 盛 滿 了 調 油 的 細 麵 、 作 素 祭 。
một cái chén vàng nặng mười siếc-lơ, đầy thuốc thơm;|一 個 金 盂 、 重 十 舍 客 勒 、 盛 滿 了 香 。
một con bò đực tơ, một con chiên đực, một con chiên con giáp năm, dùng về của lễ thiêu;|一 隻 公 牛 犢 、 一 隻 公 綿 羊 、 一 隻 一 歲 的 公 羊 羔 、 作 燔 祭 。
một con dê đực dùng về của lễ chuộc tội;|一 隻 公 山 羊 作 贖 罪 祭 。
và về của lễ thù ân, hai con bò đực, năm con chiên đực, năm con dê đực, và năm con chiên con giáp năm. Đó là lễ vật của Ga-ma-li-ên, con trai Phê-đát-su.|兩 隻 公 牛 、 五 隻 公 綿 羊 、 五 隻 公 山 羊 、 五 隻 一 歲 的 公 羊 羔 作 平 安 祭 ． 這 是 比 大 蓿 兒 子 迦 瑪 列 的 供 物 。
Ngày thứ chín, đến quan trưởng của con cháu Bên-gia-min, là A-bi-đan, con trai Ghi-đeo-ni.|第 九 日 來 獻 的 、 是 便 雅 憫 子 孫 的 首 領 基 多 尼 的 兒 子 亞 比 但 。
Lễ-vật của người là một cái đĩa bạc nặng một trăm ba mươi siếc-lơ, một cái chậu bạc nặng bảy chục siếc-lơ, theo siếc-lơ của nơi thánh, cả hai cái đều đầy bột lọc nhồi dầu, dùng về của lễ chay;|他 的 供 物 是 一 個 銀 盤 子 、 重 一 百 三 十 舍 客 勒 、 一 個 銀 碗 、 重 七 十 舍 客 勒 、 都 是 按 聖 所 的 平 、 也 都 盛 滿 了 調 油 的 細 麵 、 作 素 祭 。
một cái chén vàng nặng mười siếc-lơ, đầy thuốc thơm;|一 個 金 盂 、 重 十 舍 客 勒 、 盛 滿 了 香 。
một con bò đực tơ, một con chiên đực, một con chiên con giáp năm, dùng về của lễ thiêu;|一 隻 公 牛 犢 、 一 隻 公 綿 羊 、 一 隻 一 歲 的 公 羊 羔 作 燔 祭 。
một con dê đực dùng về của lễ chuộc tội;|一 隻 公 山 羊 作 贖 罪 祭 。
và về của lễ thù ân, hai con bò đực, năm con chiên đực, năm con dê đực, và năm con chiên con giáp năm. Đó là lễ vật của A-bi-đan, con trai Ghi-đeo-ni.|兩 隻 公 牛 、 五 隻 公 綿 羊 、 五 隻 公 山 羊 、 五 隻 一 歲 的 公 羊 羔 、 作 平 安 祭 ． 這 是 基 多 尼 兒 子 亞 比 但 的 供 物 。
Ngày thứ mười, đến quan trưởng của con cháu Đan, là A-hi-ê-xe, con trai A-mi-sa-đai.|第 十 日 來 獻 的 、 是 但 子 孫 的 的 首 領 亞 米 沙 代 的 兒 子 亞 希 以 謝 。
Lễ-vật của người là một cái đĩa bạc nặng một trăm ba mươi siếc-lơ, một cái chậu bạc nặng bảy chục siếc-lơ, theo siếc-lơ của nơi thánh, cả hai cái đều đầy bột lọc nhồi dầu, dùng về của lễ chay;|他 的 供 物 是 一 個 銀 盤 子 、 重 一 百 三 十 舍 客 勒 、 一 個 銀 碗 重 七 十 舍 客 勒 、 都 是 按 聖 所 的 平 、 也 都 盛 滿 了 調 油 的 細 麵 、 作 素 祭 。
một cái chén vàng nặng mười siếc-lơ, đầy thuốc thơm;|一 個 金 盂 、 重 十 舍 客 勒 、 盛 滿 了 香 。
một con bò đực tơ, một con chiên đực, một con chiên con giáp năm, dùng về của lễ thiêu;|一 隻 公 牛 犢 、 一 隻 公 綿 羊 、 一 隻 一 歲 的 公 羊 羔 、 作 燔 祭 。
một con dê đực dùng về của lễ chuộc tội;|一 隻 公 山 羊 作 贖 罪 祭 。
và về của lễ thù ân, hai con bò đực, năm con chiên đực, năm con dê đực và năm con chiên con giáp năm. Đó là lễ vật của A-hi-ê-xe, con trai A-mi-sa-đai.|兩 隻 公 牛 、 五 隻 公 綿 羊 、 五 隻 公 山 羊 、 五 隻 一 歲 的 公 羊 羔 、 作 平 安 祭 ． 這 是 亞 米 沙 代 兒 子 亞 希 以 謝 的 供 物 。
Ngày thứ mười một, đến quan trưởng của con cháu A-se, là Pha-ghi-ên, con trai của Oc-ran.|第 十 一 日 來 獻 的 、 是 亞 設 子 孫 的 首 領 俄 蘭 的 兒 子 帕 結 。
Lễ-vật của người là một cái đĩa bạc nặng một trăm ba mười siếc-lơ, một cái chậu bạc nặng bảy chục siếc-lơ, theo siếc-lơ của nơi thánh, cả hai cái đều đầy bột lọc nhồi dầu, dùng về của lễ chay;|他 的 供 物 是 一 個 銀 盤 子 、 重 一 百 三 十 舍 客 勒 、 一 個 銀 碗 、 重 七 十 舍 客 勒 、 都 是 按 聖 所 的 平 、 也 都 盛 滿 了 調 油 的 細 麵 、 作 素 祭 。
một cái chén vàng nặng mười siếc-lơ, đầy thuốc thơm;|一 個 金 盂 、 重 十 舍 客 勒 、 盛 滿 了 香 。
một con bò đực tơ, một con chiên đực, một con chiên con giáp năm, dùng về của lễ thiêu;|一 隻 公 牛 犢 、 一 隻 公 綿 羊 、 一 隻 一 歲 的 公 羊 羔 、 作 燔 祭 。
một con dê đực dùng về của lễ chuộc tội;|一 隻 公 山 羊 作 贖 罪 祭 。
và về của lễ thù ân, hai con bò đực, năm con chiên đực, năm con dê đực, và năm con chiên con giáp năm. Đó là lễ vật của Pha-ghi-ên, con trai Oc-ran.|兩 隻 公 牛 、 五 隻 公 綿 羊 、 五 隻 公 山 羊 、 五 隻 一 歲 的 公 羊 羔 、 作 平 安 祭 ． 這 是 俄 蘭 兒 子 帕 結 的 供 物 。
Ngày thứ mười hai, đến quan trưởng của con cháu Nép-ta-li, là A-hi-ra, con trai Ê-nan.|第 十 二 日 來 獻 的 、 是 拿 弗 他 利 子 孫 的 首 領 以 南 兒 子 亞 希 拉 。
Lễ-vật của người là một cái đĩa bạc nặng một trăm ba mươi siếc-lơ, một cái chậu bạc nặng bảy chục siếc-lơ, theo siếc-lơ của nơi thánh, cả hai cái đều đầy bột lọc nhồi dầu, dùng về của lễ chay;|他 的 供 物 是 一 個 銀 盤 子 、 重 一 百 三 十 舍 客 勒 、 一 個 銀 碗 重 七 十 舍 客 勒 、 都 是 按 聖 所 的 平 、 也 都 盛 滿 了 調 油 的 細 麵 、 作 素 祭 ．
một cái chén vàng nặng mười siếc-lơ, đầy thuốc thơm;|一 個 金 盂 、 重 十 舍 客 勒 、 盛 滿 了 香 。
một con bò đực tơ, một con chiên đực, một con chiên con giáp năm, dùng về của lễ thiêu;|一 隻 公 牛 犢 、 一 隻 公 綿 羊 、 一 隻 一 歲 的 公 羊 羔 作 燔 祭 。
một con dê đực dùng về của lễ chuộc tội;|一 隻 公 山 羊 作 贖 罪 祭 。
và về của lễ thù ân, hai con bò đực, năm con chiên đực, năm con dê đực, và năm con chiên con giáp năm. Đó là lễ vật của A-hi-ra, con trai Ê-nan.|兩 隻 公 牛 、 五 隻 公 綿 羊 、 五 隻 公 山 羊 、 五 隻 一 歲 的 公 羊 羔 、 作 平 安 祭 ． 這 是 以 南 兒 子 亞 希 拉 的 供 物 。
Ay là những lễ vật của các quan trưởng dân Y-sơ-ra-ên dâng về cuộc khánh thành bàn thờ, khi bàn thờ được xức dầu: Mười hai đĩa bạc, mười hai chậu bạc, mười hai chén vàng;|用 膏 抹 壇 的 日 子 、 以 色 列 的 眾 首 領 為 行 獻 壇 之 禮 所 獻 的 、 是 銀 盤 子 十 二 個 、 銀 碗 十 二 個 、 金 盂 十 二 個 。
mỗi cái đĩa bạc nặng một trăm ba mươi siếc-lơ, và mỗi cái chậu bạc nặng bảy chục siếc-lơ. Tổng cộng số bạc của các đĩa và chậu là hai ngàn bốn trăm siếc-lơ, theo siếc-lơ của nơi thánh.|每 盤 子 重 一 百 三 十 舍 客 勒 、 每 碗 重 七 十 舍 客 勒 、 一 切 器 皿 的 銀 子 、 按 聖 所 的 平 、 共 有 二 千 四 百 舍 客 勒 。
Mười hai cái chén vàng đầy thuốc thơm, mỗi cái mười siếc-lơ, theo siếc-lơ của nơi thánh; tổng cộng số vàng của chén nặng được một trăm hai mươi siếc-lơ.|十 二 個 金 盂 盛 滿 了 香 、 按 聖 所 的 平 、 每 盂 重 十 舍 客 勒 ． 所 有 的 金 子 共 一 百 二 十 舍 客 勒 。
Tổng cộng số bò đực về của lễ thiêu là mười hai con, với mười hai con chiên đực, mười hai con chiên con giáp năm cùng những của lễ chay cặp theo, và mười hai con dê đực dùng về của lễ chuộc tội.|作 燔 祭 的 、 共 有 公 牛 十 二 隻 、 公 羊 十 二 隻 、 一 歲 的 公 羊 羔 十 二 隻 、 並 同 獻 的 素 祭 作 贖 罪 祭 的 公 山 羊 十 二 隻 。
Tổng cộng số bò đực về của lễ thù ân là hai mươi bốn con với sáu mươi con chiên đực, sáu mươi con dê đực, sáu mươi con chiên con giáp năm. Ay là lễ vật dâng về cuộc khánh thành bàn thờ, sau khi bàn thờ được xức dầu rồi.|作 平 安 祭 的 、 共 有 公 牛 二 十 四 隻 、 公 綿 羊 六 十 隻 、 公 山 羊 六 十 隻 、 一 歲 的 公 羊 羔 六 十 隻 ． 這 就 是 用 膏 抹 壇 之 後 、 為 行 奉 獻 壇 之 禮 所 獻 的 。
Khi Môi-se vào hội mạc đặng hầu chuyện cùng Đức Giê-hô-va, thì người nghe Tiếng nói cùng mình từ trên nắp thi ân để trên hòm bảng chứng, ở giữa hai chê-ru-bin, người hầu chuyện cùng Đức Giê-hô-va vậy.|摩 西 進 會 幕 要 與 耶 和 華 說 話 的 時 候 、 聽 見 法 櫃 的 施 恩 座 以 上 、 二 ? ? ? 中 間 、 有 與 他 說 話 的 聲 音 、 就 是 耶 和 華 與 他 說 話 。

					Dân Số 8				|
						民數記 8					
Đức Giê-hô-va cũng phán cùng Môi-se rằng:|耶 和 華 曉 諭 摩 西 說 、
Hãy nói cùng A-rôn: Khi nào người đặt các đèn, thì bảy ngọn đèn phải chiếu trên phía trước chân đèn.|你 告 訴 亞 倫 說 、 點 燈 的 時 候 、 七 盞 燈 都 要 向 燈 臺 前 面 發 光 。
A-rôn bèn làm như vậy; đặt bảy ngọn đèn trên phía trước chân đèn, y như Đức Giê-hô-va đã phán dặn Môi-se.|亞 倫 便 這 樣 行 ． 他 點 燈 臺 上 的 燈 、 使 燈 向 前 發 光 、 是 照 耶 和 華 所 吩 咐 摩 西 的 。
Vả, chân đèn đã làm theo cách nầy; làm bằng vàng đánh giát, cho đến cái chân và những cái hoa đều đánh giát. Ay vậy, người ta làm chân đèn theo như kiểu mà Đức Giê-hô-va đã chỉ cho Môi-se xem.|這 燈 臺 的 作 法 、 是 用 金 子 錘 出 來 的 、 連 座 帶 花 都 是 錘 出 來 的 ． 摩 西 製 造 燈 臺 、 是 照 耶 和 華 所 指 示 的 樣 式 。
Đoạn, Đức Giê-hô-va phán cùng Môi-se rằng:|耶 和 華 曉 諭 摩 西 說 、
Hãy chọn lấy người Lê-vi ở trong vòng dân Y-sơ-ra-ên và dọn cho họ được sạch.|你 從 以 色 列 人 中 選 出 利 未 人 來 、 潔 淨 他 們 。
Nầy là điều ngươi phải làm cho họ được sạch: Ngươi phải rảy nước rửa tội trên mình họ; họ phải cạo hết thảy cùng mình, giặt quần áo, và dọn cho mình được sạch.|潔 淨 他 們 當 這 樣 行 、 用 除 罪 水 彈 在 他 們 身 上 、 又 叫 他 們 用 剃 頭 刀 刮 全 身 、 洗 衣 服 潔 淨 自 己 。
Đoạn, họ phải bắt một con bò đực với của lễ chay bằng bột lọc nhồi dầu cặp theo; còn ngươi bắt một con bò đực tơ thứ nhì dùng về của lễ chuộc tội;|然 後 叫 他 們 取 一 隻 公 牛 犢 、 並 同 獻 的 素 祭 、 就 是 調 油 的 細 麵 ． 你 要 另 取 一 隻 公 牛 犢 作 贖 罪 祭 。
rồi biểu người Lê-vi đến gần trước hội mạc và nhóm cả hội chúng Y-sơ-ra-ên.|將 利 未 人 奉 到 會 幕 前 、 招 聚 以 色 列 全 會 眾 ．
Vậy, người phải biểu người Lê-vi đến gần trước mặt Đức Giê-hô-va, rồi dân Y-sơ-ra-ên sẽ đặt tay trên mình người Lê-vi.|將 利 未 人 奉 到 耶 和 華 面 前 、 以 色 列 人 要 按 手 在 他 們 頭 上 。
A-rôn sẽ dâng người Lê-vi làm của lễ do phần dân Y-sơ-ra-ên mà đưa qua đưa lại trước mặt Đức Giê-hô-va, và họ sẽ được phần làm công việc của Đức Giê-hô-va.|亞 倫 也 將 他 們 奉 到 耶 和 華 面 前 、 為 以 色 列 人 當 作 搖 祭 、 使 他 們 好 辦 耶 和 華 的 事 。
Đoạn, người Lê-vi sẽ đặt tay trên đầu hai con bò đực, và ngươi phải dâng con nầy làm của lễ chuộc tội và con kia làm của lễ thiêu cho Đức Giê-hô-va, để làm lễ chuộc tội cho người Lê-vi.|利 未 人 要 按 手 在 那 兩 隻 牛 的 頭 上 ． 你 要 將 一 隻 作 贖 罪 祭 、 一 隻 作 燔 祭 、 獻 給 耶 和 華 、 為 利 未 人 贖 罪 。
Kế đó, ngươi phải biểu người Lê-vi đứng trước mặt A-rôn và các con trai người, rồi dâng họ như một của lễ đưa qua đưa lại cho Đức Giê-hô-va.|你 也 要 使 利 未 人 站 在 亞 倫 和 他 兒 子 面 前 、 將 他 們 當 作 搖 祭 奉 給 耶 和 華 。
Như vậy ngươi sẽ biệt riêng ra người Lê-vi với dân Y-sơ-ra-ên, và người Lê-vi sẽ thuộc về ta.|這 樣 、 你 從 以 色 列 人 中 將 利 未 人 分 別 出 來 、 利 未 人 便 要 歸 我 。
Sau việc ấy, người Lê-vi sẽ đến đặng làm công việc của hội mạc. Ay, ngươi sẽ làm cho họ được sạch và dâng như của lễ đưa qua đưa lại vậy.|此 後 利 未 人 要 進 去 辦 會 幕 的 事 ． 你 要 潔 淨 他 們 、 將 他 們 當 作 搖 祭 奉 上 ．
Bởi vì, giữa dân Y-sơ-ra-ên người Lê-vi ban trọn cho ta; ta đã chọn lấy họ về ta thế cho hết thảy con đầu lòng của dân Y-sơ-ra-ên.|因 為 他 們 是 從 以 色 列 人 中 全 然 給 我 的 、 我 揀 選 他 們 歸 我 、 是 代 替 以 色 列 人 中 一 切 頭 生 的 。
Vì chưng hết thảy con đầu lòng trong dân Y-sơ-ra-ên đều thuộc về ta, bất luận người hay vật; ta đã biệt chúng nó riêng ra cho ta trong ngày ta hành hại mọi con đầu lòng tại xứ Ê-díp-tô,|以 色 列 人 中 一 切 頭 生 的 、 連 人 帶 牲 畜 、 都 是 我 的 、 我 在 埃 及 地 擊 殺 一 切 頭 生 的 那 天 、 將 他 們 分 別 為 聖 歸 我 。
