
					Deuteronomy 1				|
Who gave you manna for your food in the waste land, a food which your fathers had never seen; so that your pride might be broken and your hearts tested for your good in the end;|lại trong đồng vắng, Ngài ban cho ngươi ăn ma-na mà tổ phụ chưa hề biết, để hạ ngươi xuống và thử ngươi, hầu về sau làm ơn cho ngươi.
Say not then, in your hearts, My power and the strength of my hands have got me this wealth.|Vậy, khá coi chừng, chớ nói trong lòng rằng: Ay nhờ quyền năng ta và sức lực của tay ta mà đoạt được những sản nghiệp nầy.
But keep in mind the Lord your God: for it is he who gives you the power to get wealth, so that he may give effect to the agreement which he made by his oath with your fathers, as at this day.|Hãy nhớ lại Giê-hô-va Đức Chúa Trời ngươi, vì ấy là Ngài ban cho ngươi sức lực đoạt được những sản nghiệp, để làm trọn sự giao ước Ngài đã thề cùng tổ phụ ngươi, y như Ngài đã làm ngày nay.
And it is certain that if at any time you are turned away from the Lord your God, and go after other gods, to be their servants and to give them worship, destruction will overtake you.|Nếu ngươi quên Giê-hô-va Đức Chúa Trời ngươi mà theo các thần khác, hầu việc và quì lạy trước các thần ấy, thì ngày nay ta cáo quyết rằng: Các ngươi hẳn sẽ bị diệt mất!
Like the nations which the Lord is cutting off before you, so you will be cut off; because you would not give ear to the voice of the Lord your God.|Các ngươi sẽ bị diệt mất như những dân tộc kia mà Đức Giê-hô-va tuyệt diệt trước mặt các ngươi, bởi vì không nghe theo tiếng Giê-hô-va, Đức Chúa Trời của các ngươi.

					Deuteronomy 9				|
						Phục Truyền Luật Lệ 9					
Give ear, O Israel: today you are to go over Jordan, to take the heritage of nations greater and stronger than yourselves, and towns of great size with walls as high as heaven;|Hỡi Y-sơ-ra-ên, hãy nghe! ngày nay ngươi sẽ đi ngang qua sông Giô-đanh, đặng chiếm lấy các dân tộc lớn và mạnh hơn ngươi, những thành lớn và tường cao đến trời,
A people great and tall, the sons of the Anakim, of whom you have knowledge and of whom it has been said, All are forced to give way before the sons of Anak.|một dân to lớn và tác cao, là con cháu A-na-kim, mà ngươi đã biết, và có nghe mói rằng: "Ai sẽ đương địch nổi trước mặt con cháu A-nác?"
Be certain then today that it is the Lord your God who goes over before you like an all-burning fire; he will send destruction on them, crushing them before you; and you will send them in flight, putting an end to them quickly, as the Lord has said.|Vậy, ngày nay phải biết rằng Giê-hô-va Đức Chúa Trời ngươi đi trước ngươi, như một đám lửa hừng, sẽ tiêu diệt và hạ xuống các dân nầy trước mặt ngươi; ngươi sẽ đuổi ra và diệt chúng nó cách mau, y như Đức Giê-hô-va đã phán cùng ngươi.
And after the Lord has sent them in flight from before you, say not in your heart, Because of my righteousness the Lord has given me this land; when it is because of their evil-doing that the Lord is driving these nations out before you.|Khi Giê-hô-va Đức Chúa Trời ngươi đã đuổi chúng nó khỏi trước mặt ngươi, chớ nói trong lòng rằng: Ay vì cớ sự công bình tôi mà Đức Giê-hô-va khiến tôi vào nhận lấy xứ nầy; thật là bởi sự gian ác của các dân tộc đó, nên Đức Giê-hô-va mới đuổi chúng nó ra khỏi trước mặt ngươi.
Not for your righteousness or because your hearts are upright are you going in to take their land; but because of the evil-doing of these nations the Lord your God is driving them out from before you, and to give effect to his oath to your fathers, Abraham, Isaac, and Jacob.|Ngươi vào nhận lấy xứ của các dân tộc ấy, chẳng phải vì cớ sự công bình ngươi, hay là lòng chánh trực của ngươi đâu, nhưng vì cớ sự gian ác của chúng nó, nên Giê-hô-va Đức Chúa Trời ngươi sẽ đuổi chúng nó ra khỏi trước mặt ngươi, để làm cho ứng nghiệm lời hứa Ngài đã thề cùng các tổ phụ người, là Ap-ra-ham, Y-sác và Gia-cốp.
Be certain then that the Lord your God is not giving you this good land as a reward for your righteousness; for you are a stiff-necked people.|Vậy, khá biết rằng chẳng phải vì cớ sự công bình ngươi mà Giê-hô-va Đức Chúa Trời ngươi cho ngươi nhận lấy xứ tốt tươi nầy đâu; bởi ngươi vẫn là một dân cứng cổ.
Keep well in mind how you made the Lord your God angry in the waste land; from the day when you went out of Egypt till you came to this place, you have gone against the orders of the Lord.|Hãy nhớ lại, chớ quên rằng, trong đồng vắng ngươi đã chọc giận Giê-hô-va Đức Chúa Trời ngươi. Từ ngày ra khỏi xứ Ê-díp-tô cho đến chốn nầy, ngươi thường phản nghịch cùng Đức Giê-hô-va.
Again in Horeb you made the Lord angry, and in his wrath he would have put an end to you.|Tại Hô-rếp, các ngươi cũng đã chọc giận Đức Giê-hô-va; nên Ngài nổi thạnh nộ toan diệt các ngươi.
When I had gone up into the mountain to be given the stones on which was recorded the agreement which the Lord made with you, I was on the mountain for forty days and forty nights without taking food or drinking water.|Khi ta đi lên núi đặng lãnh hai bảng đá, tức là hai bảng về sự giao ước mà Đức Giê-hô-va đã lập cùng các ngươi, ta ở trên núi bốn mươi ngày và bốn mươi đêm, không ăn bánh, chẳng uống nước;
And the Lord gave me the two stones with writing on them done by the finger of God: on them were recorded all the words which the Lord said to you on the mountain out of the heart of the fire, on the day of the great meeting.|và Đức Giê-hô-va trao cho ta hai bảng đá, bởi ngón tay Đức Chúa Trời viết ra, có đủ những lời mà Đức Giê-hô-va từ giữa lửa, tại trên núi, có phán ra cùng các ngươi, trong ngày nhóm hiệp.
Then at the end of forty days and forty nights the Lord gave me those stones, the stones of the agreement.|Xảy khi bốn mươi ngày và bốn mươi đêm mãn rồi, Đức Giê-hô-va ban cho ta hai bảng đá, tức là hai bảng về sự giao ước.
And the Lord said to me, Get up now, and go down quickly from this place; for the people you have taken out of Egypt have given themselves over to evil; they have quickly been turned from the way in which I gave them orders to go; they have made themselves a metal image.|Đoạn, Đức Giê-hô-va phán cùng ta rằng: Hãy đứng dậy, mau mau xuống khỏi đây, vì dân mà ngươi đem ra khỏi xứ Ê-díp-tô đã tự bại hoại, vội bỏ đạo của ta đã truyền cho, mà chế cho mình một tượng đúc.
And then the Lord said to me, I have seen that this people is stiff-necked:|Đức Giê-hô-va lại phán cùng ta rằng: Ta nhìn xem dân nầy, kìa là một dân cứng cổ.
Let me send destruction on them till their very name is cut off; and I will make of you a nation greater and stronger than they.|Hãy để mặc ta diệt chúng nó, và xóa tên chúng nó khỏi dưới trời, rồi ta sẽ làm cho ngươi thành một dân tộc mạnh và lớn hơn dân ấy.
So turning round I came down from the mountain, and the mountain was burning with fire; and the two stones of the agreement were in my hands.|Vậy, ta bèn xây lại đi xuống núi, cả núi vẫn có lửa cháy: hai tay ta cầm hai bảng đá về sự giao ước.
And I saw that you had done evil against the Lord, and had made for yourselves a metal image of a young ox: you had quickly been turned from the way in which the Lord had given you orders to go.|Bấy giờ, ta nhìn xem, kìa các ngươi đã phạm tội cùng Giê-hô-va. Đức Chúa Trời các ngươi, rất vội bỏ đạo Ngài đã truyền cho, mà làm cho mình một con bò con đúc.
And I let the stones go from my hands, and they were broken before your eyes.|Ta bèn nắm hai bảng đá, liệng ra khỏi tay, đập bể trước mặt các ngươi.
And I went down on my face before the Lord, as at the first, for forty days and forty nights, without taking food or drinking water, because of all your sin, in doing evil in the eyes of the Lord and moving him to wrath.|Đoạn, vì cớ các ngươi làm dữ, phạm tội trọng trước mắt Đức Giê-hô-va, chọc cho Ngài giận, nên ta lại sấp mình xuống trước mặt Đức Giê-hô-va, trong bốn mươi ngày và bốn mươi đêm như lần trước, không ăn bánh và chẳng uống nước.
For I was full of fear because of the wrath of the Lord which was burning against you, with your destruction in view. But again the Lord's ear was open to my prayer.|Vì ta sợ cơn thạnh nộ và tức giận của Đức Giê-hô-va đã nổi phừng lên, đặng diệt các ngươi; nhưng Đức Giê-hô-va còn nhậm lời ta lần nầy nữa.
And the Lord, in his wrath, would have put Aaron to death: and I made prayer for Aaron at the same time.|Đức Giê-hô-va cũng nổi nóng phừng cùng A-rôn, đến đỗi muốn giết người; song ta cũng cầu nguyện cho A-rôn trong lúc đó.
And I took your sin, the image which you had made, and put it in the fire and had it hammered and crushed very small till it was only dust: and the dust I put in the stream flowing down from the mountain.|Đoạn, ta lấy vật tội lỗi của các ngươi, tức là con bò con mà các ngươi đã làm, đem đốt trong lửa, đập bể ra từng miếng, nghiền cho đến đỗi nó tan ra bụi, rồi đổ bụi ấy nơi khe ở trên núi chảy xuống.
Again at Taberah and at Massah and at Kibroth-hattaavah you made the Lord angry.|Các ngươi cũng có chọc giận Đức Giê-hô-va tại Tha-bê-ra, tại Ma-sa, và tại Kíp-rốt-Ha-tha-va.
And when the Lord sent you from Kadesh-barnea, saying, Go up and take the land which I have given you; you went against the orders of the Lord your God, and had no faith in him, and would not give ear to his voice.|Khi Đức Giê-hô-va sai các ngươi đi từ Ca-đe-Ba-nê -a, có dặn rằng: Hãy đi lên nhận lấy xứ ta ban cho các ngươi, thì các ngươi đã bội nghịch mạng của Giê-hô-va Đức Chúa Trời các ngươi, không tin Ngài và không nghe theo tiếng Ngài.
From the day when I first had knowledge of you, you have gone against the word of the Lord.|Từ ngày ta biết các ngươi cho đến bây giờ, các ngươi thường phản nghịch cùng Đức Giê-hô-va.
So I went down on my face in prayer before the Lord for forty days and forty nights as I did at first; because the Lord had said that he would put an end to you.|Vậy, vì cớ Đức Giê-hô-va có phán rằng Ngài toan diệt các ngươi, nên ta cứ sấp mình xuống trước mặt Đức Giê-hô-va trong bốn mươi ngày và bốn mươi đêm,
And I made prayer to the Lord and said, O Lord God, do not send destruction on your people and your heritage, to whom, by your great power, you have given salvation, whom you have taken out of Egypt by the strength of your hand.|cầu khẩn Ngài mà rằng: Chúa Giê-hô-va ôi! xin chớ diệt dân sự của Chúa, là cơ nghiệp của Chúa, mà Chúa đã lấy sự oai nghiêm Ngài chuộc lại, và nhờ tay quyền năng rút ra khỏi xứ Ê-díp-tô.
Keep in mind your servants, Abraham, Isaac, and Jacob, not looking at the hard heart of this people, or their evil-doing and their sin:|Xin hãy nhớ đến những tôi tớ của Chúa là Ap-ra-ham, Y-sác, và Gia-cốp, chớ chấp sự cứng lòng, hung dữ, và tội ác của dân nầy,
Or it may be said in the land from which you have taken them, Because the Lord was not able to take them into the land which he said he would give them, and because of his hate for them, he has taken them out to put them to death in the waste land.|e dân của xứ mà Chúa đã đem chúng tôi ra khỏi đó, nói rằng: Bởi vì Đức Giê-hô-va không thế đem dân ấy vào xứ Ngài đã hứa, và vì Ngài ghét chúng nó, nên dẫn chúng nó ra khỏi xứ đặng giết đi trong đồng vắng.
But still they are your people and your heritage, whom you took out by your great power and by your stretched-out arm.|Song chúng vốn là dân sự và cơ nghiệp của Chúa, mà Chúa đã dùng quyền năng lớn và cánh tay giơ thẳng ra, rút ra khỏi xứ Ê-díp-tô.

					Deuteronomy 10				|
						Phục Truyền Luật Lệ 10					
At that time the Lord said to me, Make two other stones, cut like the first two, and come up to me on the mountain, and make an ark of wood.|Trong lúc đó, Đức Giê-hô-va phán cùng ta rằng: Hãy đục bai bảng đá như hai bảng trước, và hãy lên đến ta trên núi; ngươi cũng phải đóng một cái hòm bằng cây.
And I will put on the stones the words which were on the first stones which were broken by you, and you are to put them into the ark.|Ta sẽ viết trên hai bảng nầy những lời đã có trên hai bảng trước mà ngươi đã đập bể, rồi để hai bảng nầy trong hòm.
So I made an ark of hard wood, and had two stones cut like the others, and went up the mountain with the stones in my hands.|Vậy, ta đóng một cái hòm bằng cây si-tim, đục hai bảng đá, y như hai bảng trước, rồi đi lên trên núi, cầm hai bảng đó trong tay.
And he put on the stones, as in the first writing, the ten rules which the Lord gave you on the mountain out of the fire on the day of the great meeting: and the Lord gave the stones to me.|Ngài viết trên hai bảng nầy lời Ngài đã viết lần trước, tức là mười điều răn mà Đức Giê-hô-va từ giữa lửa tại trên núi, có phán cùng các ngươi, trong ngày nhóm hiệp; rồi Đức Giê-hô-va trao cho ta.
And turning round I came down from the mountain and put the stones in the ark which I had made; and there they are as the Lord gave me orders.|Ta trở đi xuống núi, để hai bảng vào hòm mà ta đã đóng, và hai bảng ấy còn ở tại đó, y như Đức Giê-hô-va đã phán dặn ta vậy.
(And the children of Israel went on from Beeroth Bene-jaakan to Moserah: there death came to Aaron and he was put to rest in the earth; and Eleazar, his son, took his place as priest.|Vả, dân Y-sơ-ra-ên đi từ Bê-rốt Bê-nê-Gia-can đến Mô-sê-ra. A-rôn qua đời và được chôn tại đó; Ê-lê -a-sa, con trai người, làm chức tế lễ thế cho người.
From there they went on to Gudgodah, and from Gudgodah to Jotbathah, a land of streams of water.|Từ đó, dân Y-sơ-ra-ên đi đến Gút-gô-đa, rồi từ Gút-gô-đa đến Dốt-ba-tha, là xứ có nhiều sông rạch.
At that time the Lord had the tribe of Levi marked out to take up the ark of the Lord's agreement, to be before the Lord and to do his work and to give blessings in his name, to this day.|Trong lúc ấy, Đức Giê-hô-va biệt chi phái Lê-vi riêng ra, đặng khiêng hòm giao ước của Đức Giê-hô-va, chầu chực trước mặt Đức Giê-hô-va, phục sự Ngài, và nhân danh Ngài chức phước, cho đến ngày nay.
For this reason Levi has no part or heritage for himself among his brothers: the Lord is his heritage, as the Lord your God said to him.)|Bởi cớ đó, Lê-vi không phần, không nghiệp với anh em mình; Đức Giê-hô-va là cơ nghiệp của ngươi y như Giê-hô-va Đức Chúa Trời ngươi đã phán cùng người.
And I was in the mountain, as at the first time, for forty days and forty nights; and again the ears of the Lord were open to my prayer, and he did not send destruction on you.|Vậy, ta ở trên núi trong bốn mươi ngày và bốn mươi đêm như lần đầu, và lần nầy Đức Giê-hô-va lại nhậm lời ta, bằng lòng không diệt ngươi.
Then the Lord said to me, Get up and go on your journey before the people, so that they may go in and take the land which I said in my oath to their fathers that I would give them.|Nhưng Đức Giê-hô-va phán cùng ta rằng: Hãy đứng dậy, đi đầu dân sự, đặng chúng nó vào nhận lấy xứ mà ta đã thề cùng tổ phụ chúng nó, để ban cho chúng nó.
And now, Israel, what would the Lord your God have you do, but to go in the fear of the Lord your God, walking in all his ways and loving him and doing his pleasure with all your heart and all your soul,|Vậy, hỡi Y-sơ-ra-ên, bây giờ Giê-hô-va Đức Chúa Trời ngươi đòi ngươi điều chi? há chẳng phải đòi ngươi kính sợ Giê-hô-va, Đức Chúa Trời ngươi, đi theo các đạo Ngài, hết lòng hết ý kính mến và phục sự Giê-hô-va Đức Chúa Trời ngươi,
Doing the orders of the Lord and keeping his laws which I give you this day for your good?|giữ các điều răn và luật lệ của Đức Giê-hô-va, mà ta truyền cho ngươi ngày nay, để ngươi được phước?
The Lord your God is ruler of heaven, of the heaven of heavens, and of the earth with everything in it.|Kìa, trời và các từng trời cao hơn trời, đất và mọi vật ở nơi đất đều thuộc về Giê-hô-va Đức Chúa Trời ngươi.
But the Lord had delight in your fathers and love for them, marking out for himself their seed after them, even you, from all peoples, as at this day.|Chỉn Đức Giê-hô-va ưa-đẹp các tổ phụ ngươi và yêu mến; rồi trong muôn dân, Ngài đã chọn dòng dõi họ, tức là các ngươi, y như các ngươi thấy ngày nay.
Let your circumcision be of the heart, and put away your pride.|Vậy, hãy trừ sự ô uế của lòng mình đi, chớ cứng cổ nữa;
For the Lord your God is God of gods and Lord of lords, the great God, strong in power and greatly to be feared, who has no respect for any man's position and takes no rewards:|vì Giê-hô-va Đức Chúa Trời các ngươi là Đức Chúa Trời của các thần, và Chúa của các chúa, tức là Đức Chúa Trời rất lớn, có quyền năng và đáng sợ, không thiên vị ai, chẳng nhận của hối lộ,
Judging uprightly in the cause of the widow and of the child who has no father, and giving food and clothing in his mercy to the man from a strange country.|bào chữa công bình cho kẻ mồ côi và người góa bụa, thương người khách lạ, ban đồ ăn và áo xống cho người.
So be kind to the man from a strange country who is living among you, for you yourselves were living in a strange country in the land of Egypt.|Vậy, các ngươi phải thương người khách lạ, vì các ngươi đã làm khách trong xứ Ê-díp-tô.
Let the fear of the Lord your God be before you, give him worship and be true to him at all times, taking your oaths in his name.|Ngươi phải kính sợ Giê-hô-va Đức Chúa Trời ngươi, phục sự Ngài, tríu mến Ngài, và chỉ danh Ngài mà thề.
He is your God, the God of your praise, your God who has done for you all these works of power which your eyes have seen.|Ay chính Ngài là sự vinh quang ngươi và là Đức Chúa Trời ngươi, Đấng đã làm những việc lớn lao và đáng kính nầy, mà mắt ngươi đã thấy.
Your fathers went down into Egypt with seventy persons; and now the Lord your God has made you like the stars of heaven in number.|Khi tổ phụ ngươi xuống xứ Ê-díp-tô, số có bảy mươi người; còn bây giờ, Giê-hô-va Đức Chúa Trời ngươi đã làm cho ngươi nhiều bằng số sao trên trời vậy.

					Deuteronomy 11				|
						Phục Truyền Luật Lệ 11					
So have love for the Lord your God, and give him worship, and keep his laws and his decisions and his orders at all times.|Ngươi phải kính mến Giê-hô-va Đức Chúa Trời ngươi, và hằng gìn giữ điều Ngài truyền ngươi phải gìn giữ, tức là luật lệ, mạng lịnh, và điều răn của Ngài.
And be certain in your minds this day; for these words are not said to your children, who have had no experience of the training of the Lord your God, and who have not seen his great power or his strong hand and his stretched-out arm,|Ngày nay, các ngươi hãy nhìn biết  những lời răn dạy của Giê-hô-va Đức Chúa Trời các ngươi, sự oai nghiêm Ngài, cánh tay quyền năng giơ thẳng ra của Ngài,
Or his signs and wonders which he did in Egypt, to Pharaoh, king of Egypt, and all his land;|những phép lạ và công việc Ngài làm ra giữa xứ Ê-díp-tô mà hại Pha-ra-ôn, vua Ê-díp-tô, và toàn xứ người.
And what he did to the army of Egypt, to their horses and their war-carriages; how he made the waters of the Red Sea come up over them when they went after you, and how the Lord put an end to them even to this day;|Hãy nhận biết điều Ngài làm cho đạo binh Ê-díp-tô, ngựa và xe Ê-díp-tô, trong khi chúng đuổi theo các ngươi, bị Đức Giê-hô-va lấp nước Biển đỏ lại, và hủy diệt chúng nó đến ngày nay;
And what he did for you in the waste land, till you came to this place;|việc Ngài đã làm cho các ngươi trong đồng vắng cho đến khi tới chốn nầy;
And what he did to Dathan and Abiram, the sons of Eliab, the son of Reuben; when they went down into the open mouth of the earth, with their families and their tents and every living thing which was theirs, before the eyes of all Israel:|và cũng hãy nhận biết điều Ngài làm cho Đa-than, A-bi-ram, con trai Ê-li-áp, cháu Ru-bên, khi đất tại giữa cả Y-sơ-ra-ên hả miệng nuốt hai người, gia quyến, luôn với trại và mọi vật chi theo họ.
But your eyes have seen all the great works of the Lord which he has done.|Vì tận mắt các ngươi đã thấy hết thảy những việc lớn mà Đức Giê-hô-va đã làm.
So keep all the orders which I give you today, so that you may be strong, and go in and take the land which is to be your heritage;|Vậy, phải gìn giữ hết thảy điều răn mà ta truyền cho các ngươi ngày nay, để các ngươi được mạnh mẽ, vào nhận lấy xứ mà mình sẽ chiếm được,
And that your days may be long in the land which the Lord gave by an oath to your fathers and to their seed after them, a land flowing with milk and honey.|hầu cho các ngươi sống lâu ngày trên đất mà Đức Giê-hô-va đã thề ban cho tổ phụ các ngươi và cho dòng dõi của họ, tức là xứ đượm sữa và mật.
For the land where you are going is not like the land of Egypt from which you have come, where you put in your seeds, watering them with your foot, like a planted garden:|Vì xứ ngươi sẽ vào nhận lấy chẳng phải như xứ Ê-díp-tô, là nơi mình đã ra khỏi; tại nơi ấy ngươi gieo mạ và phải nhờ lấy chân mình mà tuới, như một vườn rau cỏ;
But the land where you are going is a land of hills and valleys, drinking in the rain of heaven:|nhưng xứ các ngươi sẽ đi vào nhận lấy đó, là một xứ có núi và trũng, nhờ mưa trời mà được thấm tưới.
A land cared for by the Lord your God: the eyes of the Lord your God are on it at all times from one end of the year to the other.|Ay là một xứ Giê-hô-va Đức Chúa Trời ngươi săn sóc, mắt Ngài hằng đoái xem nó từ đầu năm đến cuối.
And it will be that if you truly give ear to the orders which I put before you this day, loving the Lord your God and worshipping him with all your heart and all your soul,|Vậy, nếu các ngươi chăm chỉ nghe các điều răn ta truyền cho các ngươi ngày nay, hết lòng, hết ý kính mến Giê-hô-va Đức Chúa Trời ngươi, và phục sự Ngài,
Then I will send rain on your land at the right time, the early rains and the late rains, so that you may get in your grain and your wine and your oil.|thì ta sẽ cho mưa mùa thu và mưa mùa xuân xuống thuận thì tại trong xứ các ngươi; ngươi sẽ thâu góp ngũ cốc, rượu, và dầu của ngươi.
And I will give grass in your fields for your cattle, so that you may have food in full measure.|Ta cũng sẽ khiến đồng ruộng ngươi sanh cỏ cho súc vật ngươi; ngươi sẽ ăn và được no nê.
But take care that your hearts are not turned to false ways so that you become servants and worshippers of other gods;|Các ngươi khá cẩn thận, kẻo lòng mình bị dụ dỗ, xây bỏ Chúa, mà hầu việc các thần khác, và quì lạy trước mặt chúng nó chăng;
For if you do so, the wrath of the Lord will be burning against you, and the heaven will be shut up so that there is no rain and the land will give no fruit; and in a very little time you will be cut off from the good land which the Lord is giving you.|e cơn thạnh nộ của Đức Giê-hô-va sẽ phừng lên cùng các ngươi, Ngài đóng các từng trời lại, nên nỗi chẳng có mưa nữa, đất không sanh sản: như vậy, các ngươi sẽ vội chết mất trong xứ tốt tươi nầy, là xứ mà Đức Giê-hô-va ban cho các ngươi.
So keep these words deep in your heart and in your soul, and have them fixed on your hand for a sign and marked on your brow;|Vậy, hãy cất để trong lòng và trong trí mình những lời ta nói cùng các ngươi, đeo nó như một dấu nơi tay, như một ấn chí giữa hai con mắt.
Teaching them to your children, and talking of them when you are at rest in your house or walking by the way, when you go to sleep and when you get up:|Hãy dạy nó lại cho con cái mình, nói đến hoặc khi ngươi ngồi ở trong nhà hay là đi đường, hoặc khi ngươi nằm hay là khi chổi dậy.
Writing them on the pillars of your houses and over the doors of your towns:|Cũng phải ghi các lời ấy trên cột nhà và trên cửa mình,
So that your days, and the days of your children, may be long in the land which the Lord by his oath to your fathers said he would give them, like the days of the eternal heavens.|hầu cho những ngày của các ngươi và của con cái các ngươi được nhiều thêm trong xứ mà Đức Giê-hô-va đã thề ban cho tổ phụ các ngươi, y như những ngày của trời ở trên đất.
For if you take care to keep all the orders which I give you, and to do them; loving the Lord your God and walking in all his ways and being true to him:|Vì nhược bằng các ngươi cẩn thận gìn giữ hết thảy điều răn nầy mà ta truyền cho các ngươi phải làm lấy, kính mến Giê-hô-va Đức Chúa Trời các ngươi, đi theo các đạo Ngài, và tríu mến Ngài,
Then the Lord will send these nations in flight before you, and you will take the lands of nations greater and stronger than yourselves.|thì Đức Giê-hô-va sẽ đuổi những dân tộc nầy ra khỏi trước mặt các ngươi, khiến các ngươi thắng được dân tộc lớn và mạnh hơn mình.
Every place where you put your foot will be yours: from the waste land and Lebanon, from the river, the river Euphrates as far as the Great Sea, will be the limits of your land.|Phàm nơi nào bàn chân các ngươi sẽ đạp đến, đều thuộc về các ngươi. Giới hạn các ngươi sẽ chạy từ đồng vắng tới Li-ban, từ sông Ơ-phơ-rát đến biển tây.
All people will give way before you: for the Lord your God will put the fear of you on all the land through which you go, as he has said.|Chẳng ai đứng nổi được trước mặt các ngươi; Giê-hô-va Đức Chúa Trời các ngươi sẽ rải sự kinh khủng và sợ hãi trong khắp xứ các ngươi sẽ đạp chân lên, y như Ngài đã phán.
Today I put before you a blessing and a curse:|Kìa, ngày nay ta đặt trước mặt các ngươi sự phước lành và sự rủa sả:
The blessing if you give ear to the orders of the Lord your God, which I give you this day:|sự phước lành, nếu các ngươi nghe theo các điều răn của Giê-hô-va Đức Chúa Trời các ngươi, mà ta truyền cho ngày nay;
And the curse if you do not give ear to the orders of the Lord your God, but let yourselves be turned from the way which I have put before you this day, and go after other gods which are not yours.|sự rủa sả, nếu các ngươi không nghe theo các điều răn của Giê-hô-va Đức Chúa Trời các ngươi, nhưng xây bỏ đường ta chỉ cho ngày nay, đặng đi theo các thần khác mà các ngươi không hề biết.
And when the Lord your God has taken you into the land of your heritage, you are to put the blessing on Mount Gerizim and the curse on Mount Ebal.|Khi Giê-hô-va Đức Chúa Trời ngươi khiến ngươi vào xứ đặng nhận lấy, thì phải rao sự chúc lành trên núi Ga-ri-xim, và sự chúc dữ trên núi Ê-banh.
Are they not on the other side of Jordan, looking west, in the land of the Canaanites living in the Arabah, opposite Gilgal, by the holy tree of Moreh?|Hai núi nầy há chẳng phải ở bên kia sông Giô-đanh, qua khỏi đường tây, tại đất dân Ca-na-an ở trong đồng ruộng, đối ngang Ghinh-ganh, gần những cây dẻ bộp của Mô-rê sao?
For you are about to go over Jordan to take the heritage which the Lord your God is giving you, and it will be your resting-place.|Vì các ngươi sẽ đi ngang qua sông Giô-đanh, đặng vào nhận lấy xứ mà Giê-hô-va Đức Chúa Trời các ngươi ban cho; các ngươi sẽ lấy xứ làm sản nghiệp và ở tại đó.
And you are to take care to keep all the laws and the decisions which I put before you today.|Vậy, phải cẩn thận làm theo hết thảy những luật lệ và mạng lịnh mà ngày nay ta đặt trước mặt các ngươi.

					Deuteronomy 12				|
						Phục Truyền Luật Lệ 12					
These are the laws and the decisions which you are to keep with care in the land which the Lord, the God of your fathers, has given you to be your heritage all the days of your life on earth.|Nầy là những luật lệ và mạng lịnh mà trọn đời mình sống trên đất các ngươi phải gìn giữ làm theo trong xứ mà Giê-hô-va Đức Chúa Trời của tổ phụ ngươi đã ban cho ngươi nhận lấy.
You are to give up to the curse all those places where the nations, whom you are driving out, gave worship to their gods, on the high mountains and the hills and under every green tree:|Phàm nơi nào những dân tộc, mà các ngươi sẽ đuổi đi, đã hầu việc các thần chúng nó, hoặc trên núi cao, hoặc trên nổng hay là dưới cây xanh, thì các ngươi phải hủy diệt sạch hết đi.
Their altars and their pillars are to be broken down, and their holy trees burned with fire, and the images of their gods cut down; you are to take away their names out of that place.|Phải phá đổ bàn thờ, đập bể pho tượng, và thiêu những trụ A-sê-ra của chúng nó trong lửa; lại làm tan nát những tượng chạm về các thần chúng nó, và xóa tên các thần ấy cho khỏi chỗ đó.
Do not so to the Lord your God.|Chớ tùy tục chúng nó mà phục sự Giê-hô-va Đức Chúa Trời các ngươi;
But let your hearts be turned to the place which will be marked out by the Lord your God, among your tribes, to put his name there;|song nơi nào trong những chi phái các ngươi, mà Giê-hô-va Đức Chúa Trời các ngươi sẽ chọn, đặng đặt danh Ngài, tức là nơi ngự của Ngài, thì các ngươi phải tìm đi đến đó,
And there you are to take your burned offerings and other offerings, and the tenth part of your goods, and the offerings to be lifted up to the Lord, and the offerings of your oaths, and those which you give freely from the impulse of your hearts, and the first births among your herds and your flocks;|đem dâng tại đó những của lễ thiêu, các hi sinh, thuế một phần mười, lễ vật dâng giơ lên, của lễ hoàn nguyện, của lễ lạc ý và các con đầu lòng của bầy bò và chiên;
There you and all your families are to make a feast before the Lord your God, with joy in everything to which you put your hand, because the Lord has given you his blessing.|rồi các ngươi sẽ ăn tại đó, trước mặt Giê-hô-va Đức Chúa Trời các ngươi, vui vẻ cùng gia quyến mình, vì mọi việc tay mình làm đã được Giê-hô-va Đức Chúa Trời ngươi ban phước cho.
You are not to do things then in the way in which we now do them here, every man as it seems right to him:|Chớ làm như chúng ta làm ngày nay đây, là mỗi người làm tùy ý mình tưởng là phải;
For you have not come to the rest and the heritage which the Lord your God is giving you.|vì các ngươi chưa vào nơi an nghỉ, và chưa hưởng lấy cơ nghiệp mà Giê-hô-va Đức Chúa Trời ngươi ban cho ngươi.
But when you have gone over Jordan and are living in the land which the Lord your God is giving you as your heritage, and when he has given you rest from all those on every side who are fighting against you, and you are living there safely;|Vậy, các ngươi sẽ đi ngang qua sông Giô-đanh, ở trong xứ mà Giê-hô-va Đức Chúa Trời các ngươi ban cho làm sản nghiệp. Ngài sẽ ban sự bình an cho các ngươi, không để kẻ thù nghịch xung quanh hãm áp, và khiến cho các ngươi được ở yên ổn.
