
					II Kings 1				|
And such was his fate; for he was crushed to death under the feet of the people, in the doorway into the town.|Ay là điều xảy đến; vì dân chúng đạp dẹp người dưới chơn tại cửa thành, và người chết.

					II Kings 8				|
						II Các Vua 8					
Now Elisha had said to the woman whose son he had given back to life, Go now, with all the people of your house, and get a living-place for yourselves wherever you are able; for by the word of the Lord, there will be great need of food in the land; and this will go on for seven years.|Ê-li-sê nói với người đờn bà, là mẹ của đứa trai mà người đã khiến sống lại, rằng: Hãy chổi dậy, đi với người nhà ngươi, ở ngụ nơi nào ngươi ở được vì Đức Giê-hô-va đã định dẫn cơn đói đến; kìa nó sẽ đến trong xứ bảy năm.
So the woman got up and did as the man of God said; and she and the people of her house were living in the land of the Philistines for seven years.|Vậy, người đờn bà ấy đứng dậy, vâng theo lời của người Đức Chúa Trời, cùng người nhà mình đi kiều ngụ bảy năm trong xứ Phi-li-tin.
And when the seven years were ended, the woman came back from the land of the Philistines and went to the king with a request for her house and her land.|Cuối bảy năm, người đờn bà ấy ở xứ Phi-li-tin trở về, đi đến kêu nài vua về việc nhà và đồng ruộng mình.
Now the king was talking with Gehazi, the servant of the man of God, saying, Now, give me an account of all the great things Elisha has done.|Vả, vua đương nói chuyện với Ghê-ha-xi, tôi tớ của người Đức Chúa Trời, mà rằng: Ngươi hãy thuật cho ta hết các công việc lớn mà Ê-li-sê đã làm xong.
And while he was giving the king the story of how Elisha had given life to the dead, the woman whose son had come back to life came to the king with a request for her house and her land. And Gehazi said, My lord king, this is the woman and this is her son, whose life Elisha gave back to him.|Ghê-ha-xi đang thuật cho vua hay thế nào Ê-li-sê đã khiến một kẻ chết sống lại, kìa có người đàn bà là mẹ của đứa con trai mà Ê-li-sê đã khiến cho sống lại, đến kêu nài vua về việc nhà và đồng ruộng mình. Ghê-ha-xi tâu rằng: Oi vua chúa tôi! kìa là người đờn bà ấy, và này là con trai nàng mà Ê-li-sê đã làm cho sống lại.
And in answer to the king's questions, the woman gave him all the story. So the king gave orders to one of his unsexed servants, saying, Give her back all her property, and all the produce of her fields from the day when she went away from the land up till now.|Vua bèn hỏi nàng, thì nàng thuật công việc cho người. Đoạn, vua cắt một quan hoạn theo nàng, mà rằng: Hãy bắt trả lại cho nàng mọi món nào thuộc về nàng, và hết thảy huê lợi của đồng ruộng nàng từ ngày nàng lìa khỏi xứ cho đến ngày nay.
And Elisha came to Damascus; and Ben-hadad, king of Aram, was ill; and they said to him, The man of God has come.|Ê-li-sê đi đến Đa-mách. Bấy giờ, Bên-Ha-đát, vua Sy-ri, đau. Có người nói với vua rằng: Người của Đức Chúa Trời mới đến đây.
Then the king said to Hazael, Take an offering with you, and go to see the man of God and get directions from the Lord by him, saying, Am I going to get better from my disease?|Vua bảo Ha-xa-ên rằng: Hãy lấy đem theo một lễ vật, đi đón người của Đức Chúa Trời, cậy người cầu vấn Đức Giê-hô-va rằng: Ta sẽ được lành bịnh này chăng?
So Hazael went to see him, taking with him forty camels with offerings on their backs of every sort of good thing from Damascus; and when he came before him, he said, Your son Ben-hadad, king of Aram, has sent me to you, saying, Will I get better from this disease?|Vậy, Ha-xa-ên đi đón người của Đức Chúa Trời, dẫn theo mình bốn mươi lạc đà, chở mọi món tốt nhất có tại Đa-mách, đặng làm của lễ cho người của Đức Chúa Trời. Người đến ra mắt Ê-li-sê, mà thưa rằng: Con trai ông là Bên-Ha-đát, vua Sy-ri, đã sai tôi đến ông đặng hỏi rằng: Tôi sẽ được lành bịnh này chăng?
And Elisha said to him, Go, say to him, You will certainly get better; but the Lord has made it clear to me that only death is before him.|Ê-li-sê đáp rằng: Hãy đi nói với người rằng: Vua sẽ được lành bịnh. Dầu vậy, Đức Giê-hô-va đã tỏ cho ta biết người hẳn sẽ chết.
And he kept his eyes fixed on him till he was shamed, and the man of God was overcome with weeping.|Người của Đức Chúa Trời ngó chăm Ha-xa-ên lâu đến đỗi người phải hổ thẹn, rồi cất tiếng lên khóc.
And Hazael said, Why is my lord weeping? Then he said in answer, Because I see the evil which you will do to the children of Israel: burning down their strong towns, putting their young men to death with the sword, smashing their little ones against the stones, and cutting open the women who are with child.|Ha-xa-ên hỏi rằng: Cớ sao chúa tôi khóc? Ê-li-sê đáp rằng: Bởi ta biết ngươi sẽ làm thiệt hại cho dân Y-sơ-ra-ên. Ngươi sẽ châm lửa các thành kiên cố của chúng nó, giết các kẻ trai trẻ bằng gươm, chà nát con nhỏ, và mổ bụng đờn bà có nghén của chúng nó.
And Hazael said, How is it possible that your servant, who is only a dog, will do this great thing? And Elisha said, The Lord has made it clear to me that you will be king over Aram.|Ha-xa-ên tiếp: Nhưng kẻ tôi tớ ông là ai, chẳng qua là một con chó đó thôi; sao làm nổi công sự lớn dường ấy? Ê-li-sê đáp rằng: Đức Giê-hô-va đã tỏ cho ta biết rằng ngươi sẽ làm vua Sy-ri.
Then he went away from Elisha and came in to his master, who said to him, What did Elisha say to you? And his answer was, He said that you would certainly get well.|Ha-xa-ên bèn lìa khỏi Ê-li-sê, và trở về cùng chủ mình; chủ hỏi rằng: Ê-li-sê nói với ngươi sao? Ngươi thưa: Ê-li-sê nói với tôi rằng chúa chắc sẽ lành mạnh.
Now on the day after, Hazael took the bed-cover, and making it wet with water, put it over Ben-hadad's face, causing his death: and Hazael became king in his place.|Ngày mai, Ha-xa-ên lấy cái mền nhúng nước, đắp trện mặt Bên-Ha-đát, thì người chết. Rồi Ha-xa-ên làm vua thế cho người.
In the fifth year of Joram, the son of Ahab, king of Israel, Jehoram, the son of Jehoshaphat, king of Judah, became king.|Năm thứ năm về đời Giô-ram, con trai A-háp, vua Y-sơ-ra-ên, thì Giô-ram, con trai Giô-sa-phát, vua Giu-đa, lên ngôi làm vua Giu-đa đương khi Giô-sa-phát còn trị vì.
He was thirty-two years old when he became king; and he was ruling in Jerusalem for eight years.|Lúc lên ngôi, người đã được ba mươi hai tuổi; người cai trị tám năm tại Giê-ru-sa-lem.
He went in the ways of the kings of Israel, as the family of Ahab did: for the daughter of Ahab was his wife; and he did evil in the eyes of the Lord.|Người đi theo con đường của các vua Y-sơ-ra-ên, y như nhà A-háp đã làm; vì con gái của A-háp là vợ người. Vậy, người làm điều ác trước mặt Đức Giê-hô-va.
But it was not the Lord's purpose to send destruction on Judah, because of David his servant, to whom he had given his word that he would have a light for ever.|Song Đức Giê-hô-va nhân vì Đa-vít, tôi tớ của Ngài, không muốn tuyệt diệt Giu-đa, bởi Ngài đã hứa để dành một ngọn đèn cho Đa-vít và cho dòng dõi người mãi mãi.
In his time, Edom made themselves free from the rule of Judah, and took a king for themselves.|Trong đời Giô-ram, dân Ê-đôm phản nghịch cùng Giu-đa, và lập vua lên cho mình.
Then Joram went over to Zair, with all his war-carriages; ... made an attack by night on the Edomites, whose forces were all round him, ... the captains of the war-carriages; and the people went in flight to their tents.|Bấy giờ, Giô-ram qua Xai-rơ, đem theo hết thảy xe binh mình. Người chổi dậy ban đêm, hãm đánh quân Ê-đôm, và các quan cai xe lính họ vẫn vây chung quanh người. Quân lính người thoát khỏi về trại mình.
So Edom made themselves free from the rule of Judah to this day. And at the same time, Libnah made itself free.|Ay vậy, dân Ê-đôm phản nghịch, chẳng suy phục dân Giu-đa cho đến ngày nay. Đồng một lúc ấy, Líp-na cũng phản nghịch.
Now the rest of the acts of Joram, and all he did, are they not recorded in the book of the history of the kings of Judah?|Các truyện khác của Giô-ram, mọi việc người làm, điều đã chép trong sách sử ký về các vua Giu-đa.
And Joram went to rest with his fathers and was put into the earth with his fathers in the town of David: and Ahaziah his son became king in his place.|Giô-ram an giấc cùng tổ phụ mình, được chôn với họ tại trong thành Đa-vít. A-cha-xia, con trai người, kế vị người.
In the twelfth year that Joram, the son of Ahab, was king of Israel, Ahaziah, the son of Jehoram, king of Judah, became king;|Năm thứ mười hai, đời Giô-ram, con trai A-háp, vua Y-sơ-ra-ên, thì A-cha-xia, con trai Giô-ram, vua Giu-đa, lên ngôi trị vì.
Ahaziah was twenty-two years old when he became king, and he was ruling in Jerusalem for one year. His mother's name was Athaliah, the daughter of Omri, king of Israel.|A-cha-xia được hai mươi hai tuổi khi người lên làm vua, và cai trị một năm tại Giê-ru-sa-lem. Mẹ người tên là A-tha-li, cháu gái của Om-ri, vua Y-sơ-ra-ên.
He went in the ways of the family of Ahab, and did evil in the eyes of the Lord as the family of Ahab did, for he was a son-in-law of the family of Ahab.|Người đi theo con đường của nhà A-háp, làm điều ác trước mặt Đức Giê-hô-va, y như nhà ấy đã làm. Vì người là rể của nhà A-háp.
He went with Joram, the son of Ahab, to make war on Hazael, king of Aram, at Ramoth-gilead: and Joram was wounded by the Aramaeans.|Người đi với Giô-ram, con trai A-háp, đến Ra-mốt tại Ga-la-át đặng giao chiến cùng Ha-xa-ên, vua Sy-ri. Nhưng quân Sy-ri làm cho vua Giô-ram bị thương.
So King Joram went back to Jezreel to get well from the wounds which the bowmen had given him at Ramah, when he was fighting against Hazael, king of Aram. And Ahaziah, the son of Jehoram, king of Judah, went down to see Joram, the son of Ahab, in Jezreel, because he was ill.|Người bèn trở về Gít-rê-ên đặng chữa lành những vít thương người bị bởi quân Sy-ri tại Ra-mốt, khi đánh giặc cùng Ha-xa-ên, vua Sy-ri. A-cha-xia, con trai Giô-ram, vua Giu-đa, đi xuống Gít-rê-ên, đặng thăm Giô-ram, con trai A-háp, vẫn đau liệt nằm tại đó.

					II Kings 9				|
						II Các Vua 9					
And Elisha the prophet sent for one of the sons of the prophets, and said to him, Make yourself ready for a journey, and take this bottle of oil in your hand, and go to Ramoth-gilead.|Đấng tiên tri Ê-li-sê gọi một người trong bọn môn đồ của những tiên tri, mà nói rằng: Hãy thắt lưng, đem ve dầu này theo ngươi, và hãy đi đến Ra-mốt tại Ga-la-át.
And when you get there, go in search of Jehu, the son of Jehoshaphat, the son of Nimshi; and go in and make him get up from among his brothers, and take him to an inner room.|Khi ngươi đã đến đó, hãy kiếm Giê-hu là con trai của Giô-sa-phát, cháu Nim-si, ở đâu; đoạn ngươi sẽ vào, khiến người chổi dậy khỏi anh em mình, và dẫn người vào trong một phòng kín.
Then take the bottle and put the oil on his head, and say, The Lord says, I have put the holy oil on you to make you king over Israel. Then, opening the door, go in flight, without waiting.|Bấy giờ, ngươi sẽ lấy ve dầu, đổ trên đầu người, và nói rằng: Đức Giê-hô-va phán như vầy: Ta xức dầu cho ngươi làm vua trên Y-sơ-ra-ên. Đoạn, hãy mở cửa ra và trốn đi, chớ hưởn đãi.
So the young prophet went to Ramoth-gilead.|Như vậy, người tôi tớ trai trẻ của đấng tiên tri đi đến Ra-mốt tại Ga-la-át.
And when he came, he saw the captains of the army seated together; and he said, I have something to say to you, O captain. And Jehu said, To which of us? And he said, To you, O captain.|Khi người đến, các quan tướng đạo quân đương ngồi. Người nói với Giê-hu rằng: Hỡi quan tướng, tôi có chuyện nói với ông. Giê-hu đáp rằng: Có chuyện nói với ai trong chúng ta? Người trai trẻ đáp: Hỡi quan tướng, với ông.
And he got up and went into the house; then he put the holy oil on his head and said to him, The Lord, the God of Israel, says, I have made you king over the people of the Lord, over Israel.|vậy, Giê-hu đứng dậy, và đi vào trong nhà. người trai trẻ bèn đổ dầu trên đầu người, và nói rằng: Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên phán như vầy: Ta xức dầu cho ngươi làm vua trên Y-sơ-ra-ên, là dân sự của Đức Giê-hô-va.
You are to see that the family of Ahab your master is cut off, so that I may take from Jezebel payment for the blood of my servants the prophets, and for the blood of all the servants of the Lord.|Ngươi sẽ đánh giết nhà A-háp, chủ ngươi; và ta sẽ báo Giê-sa-bên về huyết của các tiên tri, tôi tớ ta, cùng huyết của hết thảy tôi tớ của Đức Giê-hô-va.
For the family of Ahab will come to an end; every male of Ahab's family will be cut off, he who is shut up and he who goes free in Israel.|Cả nhà A-háp sẽ bị diệt hết; các người nam của nhà A-háp, vô luận kẻ nô lệ hay là người được tự do ta sẽ giết khỏi trong Y-sơ-ra-ên;
I will make the family of Ahab like that of Jeroboam, the son of Nebat, and Baasha, the son of Ahijah.|và ta sẽ làm cho nhà A-háp giống như nhà Giê-rô-bô-am, con trai của Nê-bát, và giống như nhà Ba-ê-sa, con trai của A-hi-gia.
And Jezebel will become food for the dogs in the heritage of Jezreel, and there will be no one to put her body into the earth. Then, opening the door, he went in flight.|Chó sẽ ăn thịt Giê-sa-bên trong đồng Gít-rê-ên, chẳng có ai chôn người. Đoạn, người trai trẻ mở cửa ra và chạy trốn.
Then Jehu came out again to the servants of his lord, and one said to him, Is all well? why did this man, who is off his head, come to you? And he said to them, You have knowledge of the man and of his talk.|Giê-hu bèn đi ra, đến cùng các tôi tớ của chủ mình. Chúng nó hỏi rằng: Mọi sự bình an chớ? Kẻ điên này đến kiếm anh mà chi? Người đáp với chúng nó rằng: Các ngươi biết người và lời của người nói.
And they said, That is not true; now give us his story. Then he said, This is what he said to me: The Lord says, I have made you king over Israel.|Nhưng chúng nó đáp rằng: Nói dối! Hãy nói cho chúng ta. Vậy, người nói với chúng rằng: Người có nói với ta cách này cách kia, rằng: Đức Giê-hô-va phán như vầy: Ta xức dầu cho ngươi làm vua trên Y-sơ-ra-ên.
Then straight away everyone took his robe and put it under him on the top of the steps, and, sounding the horn, they said, Jehu is king.|Ai nấy liền lật đật lấy quần áo mình, trải xuống dưới chơn người trên các nấc thang. Đoạn, chúng nó thổi kèn, và tung hô rằng: Giê-hu làm vua!
So Jehu, the son of Jehoshaphat, the son of Nimshi, made designs against Joram. (Now Joram and all the army of Israel were keeping watch on Ramoth-gilead because of Hazael, king of Aram:|Ay vậy, Giê-hu, con trai Giô-sa-phát, cháu Nim-si, làm phản Giô-ram. Vả, vì cớ Ha-xa-ên, vua Sy-ri, Giô-ram và cả quân Y-sơ-ra-ên đều binh vực Ra-mốt tại Ga-la-át,
But King Joram had gone back to Jezreel to get well from the wounds which the Aramaeans had given him when he was fighting against Hazael, king of Aram.) And Jehu said, If this is your purpose, then let no one get away and go out of the town to give news of it in Jezreel.|nhưng vua Giô-ram đã trở về Gít-rê-ên đặng chữa lành những vít thương mà người đã bị bởi quân Sy-ri, khi người đánh giặc với Ha-xa-ên vua Sy-ri. Giê-hu bèn nói rằng: Nếu các ngươi vừa ý, chớ để một ai thoát khỏi thành đi thông tin cho Gít-rê-ên.
So Jehu got into his carriage and went to Jezreel, for Joram was ill in bed there; and Ahaziah, king of Judah, had come down to see Joram.|Vậy, Giê-hu lên xe, qua Gít-rê-ên, vì Giô-ram đau liệt nằm tại đó. A-cha-xia, vua Giu-đa, cũng đi xuống đó đặng thăm Giô-ram.
And the watchman on the tower in Jezreel saw Jehu and his band coming, and said, I see a band of people. And Joram said, Send out a horseman to them, and let him say, Is it peace?|Lính canh đứng trên tháp Gít-rê-ên, thấy đạo quân của Giê-hu đến, bèn la lên rằng: Tôi thấy những đạo quân đến. Giô-ram liền bảo rằng: Hãy sai một người lính kỵ đi đón họ, và hỏi rằng: Bình yên chăng?
So a horseman went out to them and said, The king says, Is it peace? And Jehu said, What have you to do with peace? come after me. And the watchman gave them word, saying, The horseman went up to them, but has not come back.|Vậy, có người lính kỵ đi đón Giê-hu đáp: Sự bình yên có can hệ chi ngươi? Hãy lui sau ta. Tên lính canh báo tin rằng: Sứ giả đã đi đến nơi quân ấy rồi, nhưng không trở về.
Then he sent out a second horseman, who came up to them and said, The king says, Is it peace? And Jehu said in answer, What have you to do with peace? come after me.|Người lại sai một người lính kỵ thứ nhì, cũng đến cùng chúng nó, và nói: Vua hỏi: Bình yên chăng? Giê-hu đáp: Sự bình yên có can hệ chi ngươi? Hãy lui sau ta.
And the watchman gave them word, saying, He went up to them and has not come back again; and the driving is like the driving of Jehu, son of Nimshi, for he is driving violently.|Lính canh lại báo tin rằng: Sứ giả đã đến nơi chúng nó rồi, nhưng người không trở về. Vả, cách dẫn xe giống như cách của Giê-hu, con trai Nim-si, vì người dẫn cách hung hăng.
Then Joram said, Make ready. So they made his carriage ready; and Joram, king of Israel, with Ahaziah, king of Judah, went out in their carriages for the purpose of meeting Jehu; and they came face to face with him at the field of Naboth the Jezreelite.|Giô-ram bèn nói rằng: Hãy thắng xe. Người ta thắng xe người. Đoạn Giô-ram, vua Y-sơ-ra-ên, và A-cha-xia, vua Giu-đa, mỗi người đều lên xe mình, kéo ra đón Giê-hu, gặp người trong đồng ruộng của Na-bốt, người Gít-rê-ên.
Now when Joram saw Jehu he said, Is it peace, Jehu? And he said in answer, What peace is possible while all the land is full of the disgusting sins of your mother Jezebel, and her secret arts?|Vừa khi Giô-ram thấy Giê-hu thì nói rằng: Hỡi Giê-hu, bình yên chăng? Nhưng Giê-hu đáp rằng: Chi! Hễ sự gian dâm sự tà thuật của Giê-sa-bên mẹ vua, còn nhiều dừng ấy, thì bình yên sao đặng?
Then Joram, turning his horses in flight, said to Ahaziah, Broken faith, O Ahaziah!|Giô-ram bèn trở tay mình, chạy trốn, nói với A-cha-xia rằng: Ớ A-cha-xia, có mưu phản!
Then Jehu took his bow in his hand, and with all his strength sent an arrow, wounding Joram between the arms; and the arrow came out at his heart, and he went down on his face in his carriage.|Giê-hu nắm lấy cung mình bắn, tên trúng nhằm Giô-ram giữa hai vai, thấu ngang trái tim, và người ngã xuống trong xe mình.
Then Jehu said to Bidkar, his captain, Take him up, and put him in the field of Naboth the Jezreelite: for is not that day in your memory when you and I together on our horses were going after Ahab, his father, and the Lord put this fate on him, saying:|Đoạn, Giê-hu nói với Bích-ca, quan tướng mình rằng: Hãy đem liệng hắn trong đồng ruộng của Na-bốt, người Gít-rê-ên; vì khá nhớ lại một lần kia ta và ngươi đồng cỡi ngựa theo sau A-háp, cha hắn, thì Đức Giê-hô-va có phán về người lời lý đoán này:
I saw the blood of Naboth and of his sons yesterday; and I will give you full payment in this field, says the Lord? So now, take him and put him in this field, as the Lord said.|Quả thật, hôm qua ta đã thấy huyết của Na-bốt và của các con trai người; ta cũng sẽ báo ngươi lại tại chánh nơi đồng ruộng này. Bởi có đó, hãy đem liệng hắn trong đồng ruộng này, y như lời của Đức Giê-hô-va đã phán.
Now when Ahaziah, king of Judah, saw this, he went in flight by the way of the garden house. And Jehu came after him and said, Put him to death in the same way; and they gave him a death-wound in his carriage, on the slope up to Gur, by Ibleam; and he went in flight to Megiddo, where death came to him.|Khi A-cha-xia, vua Giu-đa, thấy việc này, bèn chạy trốn về lối lầu vườn. Nhưng Giê-hu đuổi theo người, và biểu rằng: Cũng hãy đánh chết hắn trên xe hắn nữa. Họ bèn hãm đánh người, tại nơi dốc Gu-rơ, gần Gíp-lê-am. Đoạn, A-cha-xia trốn đến Mê-ghi-đô, và chết tại đó.
And his servants took him in a carriage to Jerusalem, and put him into the earth with his fathers in the town of David.|Các tôi tớ người để thây người trên một cái xe chở về Giê-ru-sa-lem, và chôn trong mồ người, chung cùng các tổ phụ người, tại thành Đa-vít.
(In the eleventh year of the rule of Joram, the son of Ahab, Ahaziah became king over Judah.)|A-cha-xia lên ngôi làm vua Giu-đa nhằm năm thứ mười một đời Giô-ram, con trai A-háp.
And when Jehu came to Jezreel, Jezebel had news of it; and, painting her eyes and dressing her hair with ornaments, she put her head out of the window.|Giê-hu liền đến tại Gít-rê-ên. Giô-sa-bên hay, bèn giồi phấn mặt mình, trang điểm đầu, và đứng trông nơi cửa sổ.
And when Jehu was coming into the town, she said, Is all well, O Zimri, taker of your master's life?|Giê-hu đi qua cửa thành, nàng nói rằng: Hỡi Xim-ri, kẻ giết chúa mình! Bình yên chăng?
Then, looking up to the window, he said, Who is on my side, who? and two or three unsexed servants put out their heads.|Giê-hu ngước mắt lên về hướng cửa sổ, nói rằng: Trên cao kia, ai thuộc về ta? Ai? Hai ba quan hoạn bèn ngó ra về hướng người.
And he said, Take her and put her out of the window. So they sent her down with force, and her blood went in a shower on the wall and on the horses; and she was crushed under their feet.|Người kêu chúng rằng: Vậy, hãy ném nó xuống đất! Chúng ném nàng xuống đất, và huyết vọt lại trên tường và trên ngựa, rồi ngựa giày đạp nàng dưới chơn.
And he came in, and took food and drink; then he said, Now see to this cursed woman, and put her body into the earth, for she is a king's daughter.|Giê-hu vào, ăn và uống xong, đoạn nói rằng: Vậy, hãy đi xem đờn bà khốn nạn và lo chôn nó, vì nó là con gái của vua.
And they went out to put her body into the earth, but nothing of her was to be seen, only the bones of her head, and her feet, and parts of her hands.|Vậy, các tôi tớ đi đặng chôn nàng; nhưng chúng chỉ còn thấy cái sọ, hai chơn, và lòng bàn tay nàng mà thôi.
So they came back and gave him word of it. And he said, This is what the Lord said by his servant Elijah the Tishbite, saying, In the heritage of Jezreel the flesh of Jezebel will become food for dogs;|Chúng trở về cho chủ mình hay điều đó. Giê-hu bèn nói: Ay là lời của Đức Giê-hô-va đã cậy miệng Ê-li, người Thi-sê-be, tôi tớ Ngài, mà phán rằng: Chó sẽ ăn thịt Giê-sa-bên;
And the dead body of Jezebel will be like waste dropped on the face of the earth in the heritage of Jezreel; so that they will not be able to say, This is Jezebel.|và thấy nàng sẽ như phân trên mặt đất, trong ruộng Gít-rê-ên, đến đỗi người ta không thể nói rằng: Này là Giê-sa-bên.

					II Kings 10				|
						II Các Vua 10					
Now there were in Samaria seventy of Ahab's sons. And Jehu sent letters to Samaria, to the rulers of the town, and to the responsible men, and to those who had the care of the sons of Ahab, saying,|Vả, tại Sa-ma-ri, có bảy mươi con trai của A-háp, Giê-hu viết thơ gởi đến các đầu mục của Gít-rê-ên tại Sa-ma-ri, tức là các trưởng lão, và các giáo sư của những con trai A-háp, mà rằng:
Straight away, when you get this letter, seeing that your master's sons are with you, and that you have carriages and horses and a walled town and arms;|Tại nơi các ngươi các ngươi có những con trai của chủ các ngươi, lại có xe, ngựa binh khí, và thành kiên cố. Ay vậy, hễ các ngươi tiếp được thơ nầy,
Take the best and most upright of your master's sons, and make him king in his father's place, and put up a fight for your master's family.|hãy chọn trong các con trai chủ mình, ai là người tử tế nhất, có tài năng hơn hết, lập người ấy trên ngôi của cha người, rồi tranh chiến vì nhà chủ của các ngươi.
But they were full of fear, and said, The two kings have gone down before him: how may we keep our place?|Chúng bèn sợ hãi lắm, và nói rằng: Hai vua không thế đứng nổi trước mặt người, còn chúng ta, chống cự với người sao nổi?
So the controller of the king's house, with the ruler of the town, and the responsible men, and those who had the care of Ahab's sons, sent to Jehu, saying, We are your servants and will do all your orders; we will not make any man king; do whatever seems best to you.|Quan cai đền và quan cai thành, cùng các trưởng lão và các giáo sư của các con trai A-háp, sai nói với Giê-hu rằng: Chúng tôi là tôi tớ ông; chúng tôi sẽ làm mọi điều ông biểu chúng tôi. Chúng tôi chẳng muốn chọn ai làm vua, ông khá làm điều gì theo ý ông cho là phải.
Then he sent them a second letter, saying, If you are on my side, and if you will do my orders, come to me at Jezreel by this time tomorrow, with the heads of your master's sons. Now the king's seventy sons were with the great men of the town, who had the care of them.|Người viết thơ cho chúng lần thứ nhì, mà rằng: Nếu các ngươi thuộc về ta, và khứng nghe theo mạng lịnh ta, thì khá cắt đầu những con trai chủ các ngươi; rồi ngày mai, tại giờ này, hãy đến cùng ta ở nơi Gít-rê-ên. Vả, các con trai của vua, số là bảy mươi người, đều ở tại nhà những người sang trọng của thành, lo giáo dục chúng nó.
And when the letter came to them, they took the king's sons and put them to death, all the seventy, and put their heads in baskets and sent them to him at Jezreel.|Chúng vừa tiếp được bức thơ ấy, bèn bắt đi, đoạn để thủ cấp họ trong những thùng, gởi đến cho Giê-hu, tại Gít-rê-ên.
And a man came and said to him, They have come with the heads of the king's sons. And he said, Put them down in two masses at the doorway of the town till the morning.|Có sứ giả đến báo tin cho người, rằng: Người ta có đem đến thủ cấp các con trai của vua. Giê-hu đáp: Hãy chất làm hai đống tại nơi cửa thành cho đến sáng mai.
And in the morning he went out and, stopping, said to all the people there, You are upright men: it is true that I made designs against my master, and put him to death; but who is responsible for the death of all these?|Sáng mai, người đi ra, đứng trước mặt cả dân sự, mà nói rằng: Các ngươi vẫn công bình. Kìa, ta đã phản nghịch chủ ta, và có giết người; nhưng còn các kẻ này, ai đã giết họ?
You may be certain that nothing which the Lord has said about the family of Ahab will be without effect; for the Lord has done what he said by his servant Elijah.|Vậy, bây giờ, hãy nhìn biết rằng: trong các lời Đức Giê-hô-va đã phán về nhà A-háp sẽ chẳng có lời nào sa xuống đất; vì Đức Giê-hô-va đã làm điều Ngài cậy miệng Ê-li, tôi tớ Ngài, mà phán ra.
So Jehu put to death all the rest of the seed of Ahab in Jezreel, and all his relations and his near friends and his priests, till there were no more of them.|Giê-hu cũng giết hết thảy những người còn sót lại trong nhà A-háp ở Gít-rê-ên, luôn các đại thần, các bạn hữu thiết, và những thầy cả của người, chẳng để còn lại một ai hết.
Then he got up and came to Samaria. And he was at the meeting-place of the keepers of sheep, by the way,|Đoạn, Giê-hu đứng dậy, đi đến Sa-ma-ri. Khi người đến gần chòi kẻ chăn chiên ở dọc đường,
When he came across the brothers of Ahaziah, king of Judah, and said, Who are you? And they said, We are the brothers of Ahaziah, king of Judah; we are going down to see the children of the king and of the queen.|gặp các anh em A-cha-xia vua Giu-đa, thì nói rằng: Các ngươi là ai? Chúng nó đáp: Chúng tôi là anh em của A-cha-xia, đi xuống chào các con trai của vua và của hoàng hậu.
And he said, Take them living. So they took them living, and put them to death in the water-hole of Beth-eked; of the forty-two men he put every one to death;|Giê-hu bèn truyền lịnh rằng: Hãy bắt sống chúng nó. Người ta bắt sống chúng nó, số là bốn mươi hai người; rồi giết họ gần giếng của chòi kẻ chăn chiên. Người ta chẳng để sống một ai.
And when he had gone away from there, he came across Jehonadab, the son of Rechab: and he said good-day to him, and said to him, Is your heart true to mine, as mine is to yours? And Jehonadab in answer said, It is; and Jehu said, If it is, give me your hand. And he gave him his hand, and he made him come up into his carriage.|Đi khỏi đó, Giê-hu gặp Giô-na-đáp, con trai Rê-cáp, đương đi đến đón người. Người chào Giô-na-đáp, và nói rằng: Lòng ngươi có chơn thành cùng tôi, như lòng tôi đã chơn thành với ngươi chăng? Giô-na-đáp đáp rằng: Phải, chơn thành. Giê-hu tiếp: Thế thì, nếu chơn thành, hãy giơ tay cho tôi. Giô-na-đáp bèn giơ tay cho người. Giê-hu biểu người lên xe với mình,
And he said, Come with me and see how I am on fire for the Lord's cause. So he made him go with him in his carriage.|và nói rằng: Hãy đến cùng tôi, xem lòng sốt sắng tôi đối với Đức Giê-hô-va. Vậy, Giê-hu dẫn người lên xe mình.
And when he came to Samaria, he put to death all those of Ahab's family who were still in Samaria, till there were no more of them, as the Lord had said to Elijah.|Khi đã vào Sa-ma-ri rồi, người giết hết thảy những người còn sót lại của nhà A-háp tại Sa-ma-ri, đến đỗi đã diệt sạch nhà ấy, y như lời của Đức Giê-hô-va đã phán cùng Ê-li vậy.
Then Jehu got all the people together and said to them, Ahab was Baal's servant in a small way, but Jehu will be his servant on a great scale.|Giê-hu nhóm hết thảy dân sự, và nói cùng chúng rằng: A-háp ít hầu việc Ba-anh; Giê-hu sẽ hầu việc nhiều.
Now send for all the prophets of Baal and all his servants and all his priests, to come to me; let no one keep away: for I have a great offering to make to Baal; anyone who is not present, will be put to death. This Jehu did with deceit, his purpose being the destruction of the servants of Baal.|Vậy bây giờ, hãy nhóm lại cho ta các tiên tri của Ba-anh, các đầy tớ người, và hết thảy thầy cả người. Chớ thiếu một ai, vì ta có ý dâng một của tế lễ lớn cho Ba-anh. Hễ ai không đến, ắt sẽ không sống. Vả, Giê-hu dùng mưu trí, toan diệt các kẻ hầu việc thần Ba-anh.
And Jehu said, Let there be a special holy meeting for the worship of Baal. So a public statement was made.|Giê-hu lại ra lịnh rằng: Hãy rao một lễ trọng thể để cúng thờ thần Ba-anh. Người bèn rao lễ ấy,
