
					Nehemiah 1				|
And I said, What you are doing is not good: is it not the more necessary for you to go in the fear of our God, because of the shame which the nations may put on us?|Tôi lại nói: Điều anh em làm chẳng được tốt. Anh em há chẳng đáng lẽ ăn ở cách kính sợ Đức Chúa Trời, e bị sỉ nhục giữa các dân tộc, là thù nghịch của chúng ta, sao?
Even I and my servants have been taking interest for the money and the grain we have let them have. So now, let us give up this thing.|Tôi, anh em tôi, và các đầy tớ tôi cũng có cho họ vay mượn bạc và lúa mì vậy. Nhưng tôi xin anh em hãy bỏ cái ăn lời này.
Give back to them this very day their fields, their vine-gardens, their olive-gardens, and their houses, as well as a hundredth part of the money and the grain and the wine and the oil which you have taken from them.|Tôi xin anh em chánh ngày nay, hãy trả lại cho họ đồng ruộng, vườn nho, vườn ô-li-ve, và nhà cửa của họ, cùng lời một phần trăm về bạc lúa mì, rượu, và dầu, mà anh em đã bắt họ nộp.
Then they said, We will give them back, and take nothing for them; we will do as you say. Then I sent for the priests and made them take an oath that they would keep this agreement.|Chúng nói rằng: Chúng tôi sẽ trả lại, và không đòi họ chi hết; chúng tôi sẽ làm như vậy y ông đã nói. Tôi đòi những thầy tế lễ, bắt chúng thề phải làm theo như lời hứa đó.
And shaking out the folds of my robe, I said, So may God send out from his house and his work every man who does not keep this agreement; even so let him be sent out and made as nothing. And all the meeting of the people said, So be it, and gave praise to the Lord. And the people did as they had said.|Tôi cũng giũ vạt áo tôi, mà rằng: Phàm ai không giữ làm theo lời hứa này, nguyện Đức Chúa Trời hãy giũ hắn khỏi nhà và khỏi hoa lợi của công lao hắn; nguyện hắn bị giũ sạch không như vậy! Cả hội chúng đồng nói: A-men! Chúng ngợi khen Đức Giê-hô-va. Đoạn, dân sự đều làm theo lời hứa ấy.
Now from the time when I was made ruler of the people in the land of Judah, from the twentieth year till the thirty-second year of Artaxerxes the king, for twelve years, I and my servants have never taken the food which was the right of the ruler.|Vả lại, từ ngày tôi được lập làm tổng trấn trong xứ Giu-đa, tức từ năm thứ hai mươi cho đến năm thứ ba mươi hai đời vua At-ta-xét-xe, cộng trong mười hai năm, tôi hoặc anh em tôi chẳng ăn lương lộc thường cấp cho quan tổng trấn.
But earlier rulers who were before me made the people responsible for their upkeep, and took from them bread and wine at the rate of forty shekels of silver; and even their servants were lords over the people: but I did not do so, because of the fear of God.|Nhưng các quan tổng trấn đã đến nhậm trước tôi, bắt dân sự cấp dưỡng, lấy cho mình lượng thực, và rượu, trừ ra bốn mươi siếc lơ bạc; đến đỗi các đầy tớ họ cũng lấn lướt trên dân sự nữa. Nhưng tôi không có làm như vậy; vì cớ kính sợ Đức Chúa Trời.
And I kept on with the work of this wall, and we got no land for ourselves: and all my servants were helping with the work.|Lại tôi cũng giữ bền vững trong công việc xây sửa vách này, chẳng có mua đồng ruộng nào; và các đầy tớ tôi đều hội hiệp lại đó đặng làm công việc.
And more than this, a hundred and fifty of the Jews and the rulers were guests at my table, in addition to those who came to us from the nations round about us.|Nơi bàn ăn tôi cũng có một trăm năm mươi người Giu-đa và quan trưởng, ngoại trừ những kẻ ở giữa các dân tộc chung quanh chúng tôi đi đến.
Now the food made ready for one day was one ox and six fat sheep, as well as fowls; and once in ten days a store of all sorts of wine: but all the same, I did not take the food to which the ruler had a right, because the people were crushed under a hard yoke.|Vả, người ta dọn ăn cho mỗi ngày một con bò, sáu con chiên chọn lựa; người ta cũng dọn những gà vịt, và mỗi mười ngày đủ các thứ rượu rất nhiều. Dầu như vậy, tôi cũng không đòi lương lộc của phần tổng trấn, vì công dịch lấy làm nặng nề cho dân sự này.
Keep in mind, O my God, for my good, all I have done for this people.|Hỡi Đức Chúa Trời tôi ôi! nguyện Chúa nhớ lại tôi về các điều tôi đã làm cho dân sự này, và làm ơn cho tôi.

					Nehemiah 6				|
						Nê-hê-mi-a 6					
Now when word was given to Sanballat and Tobiah and to Geshem the Arabian and to the rest of our haters, that I had done the building of the wall and that there were no more broken places in it (though even then I had not put up the doors in the doorways);|Xảy khi San-ba-lát, Tô-bi-gia, Ghê-sem, là người A rạp, và các thù nghịch chúng tôi khác, hay rằng tôi đã xây sửa vách thành rồi, không còn nơi hư lũng nào nữa, dầu cho đến lúc ấy tôi chưa tra cánh cửa,
Sanballat and Geshem sent to me saying, Come, let us have a meeting in one of the little towns in the lowland of Ono. But their purpose was to do me evil.|thì San-ba-lát và Ghê-sem, sai đến nói với tôi rằng: Hãy đến, ta sẽ gặp nhau trong một làng nào tại trũng Ô-nô. Nhưng chúng có ý làm hại tôi.
And I sent men to them saying, I am doing a great work, so that it is not possible for me to come down: is the work to be stopped while I go away from it and come down to you?|Tôi sai sứ giả đến nói cùng chúng rằng: Ta mắc làm công việc lớn, xuống không đặng. Lẽ nào để công việc dứt trong khi bỏ nó đặng đi xuống với các ngươi?
And four times they sent to me in this way, and I sent them the same answer.|Chúng sai nói với tôi bốn lượt như vậy; song tôi đáp lại với chúng cũng y nhau.
Then Sanballat sent his servant to me a fifth time with an open letter in his hand;|Lần thứ năm, San-ba-lát sai kẻ tôi tớ người, cũng như cách cũ, có cầm thơ không niêm nơi tay;
And in it these words were recorded: It is said among the nations, and Geshem says so, that you and the Jews are hoping to make yourselves free from the king's authority; and that this is why you are building the wall: and they say that it is your purpose to be their king;|trong thơ có viết rằng: Trong các dân tộc người ta nghe đồn và Gát-mu nói rằng: Ong và người Giu-đa toan nhau dấy loạn; tại cớ ấy, nên ông mới xây sửa vách thành; và cứ theo lời đồn đó, tất ông muốn lên làm vua của chúng.
And that you have prophets preaching about you in Jerusalem, and saying, There is a king in Judah: now an account of these things will be sent to the king. So come now, and let us have a discussion.|Lại ông có lặp những tiên tri đặng truyền giảng về ông tại trong Giê-ru-sa-lem rằng: Có một vua trong xứ Giu-đa! Bây giờ người ta chắc sẽ tâu cho vua nghe cũng các việc ấy; vậy, hãy đến, để chúng ta nghị luận với nhau.
Then I sent to him, saying, No such things as you say are being done, they are only a fiction you have made up yourself.|Tôi sai nói với người ta rằng: Những điều ngươi nói, chẳng có ai làm chút nào; nhưng chánh trong lòng ngươi có đặt nó ra.
For they were hoping to put fear in us, saying, Their hands will become feeble and give up the work so that it may not get done. But now, O God, make my hands strong.|Vì chúng nó muốn nhát cho chúng tôi hết thảy đều sợ hãi; chúng nó rằng: Tay của chúng nó sẽ bị mỏi mệt, không làm công việc nữa. Vậy bây giờ, hỡi Chúa, hãy làm cho tay tôi mạnh mẽ.
And I went to the house of Shemaiah, the son of Delaiah, the son of Mehetabel, who was shut up; and he said, Let us have a meeting in the house of God, inside the Temple, and let the doors be shut: for they will come to put you to death; truly, in the night they will come to put you to death.|Đoạn, tôi đi đến nhà của Sê-ma-gia, con trai của Đê-la-gia, cháu của Mê-hê-ta-bê-ên ; người nói rằng: Chúng ta hãy gặp nhau tại trong nhà của Đức Chúa Trời, chánh giữa đền thờ, rồi chúng ta sẽ đóng các cửa đền thờ lại; vì chúng nó sẽ đến giết ông; ấy lúc ban đêm mà chúng nó toan đến giết ông.
And I said, Am I the sort of man to go in flight? what man, in my position, would go into the Temple to keep himself safe? I will not go in.|Tôi nói: một người như tôi đây sẽ chạy trốn ư? Người nào như tôi đây vào trong đền thờ mà lại được sống sao? Tôi không vào đâu.
Then it became clear to me that God had not sent him: he had given this word of a prophet against me himself: and Tobiah and Sanballat had given him money to do so.|Tôi nhìn biết chẳng phải Đức Chúa Trời có sai người đến, vì người nói lời tiên tri đó nghịch với tôi. Tô-bi-gia và San-ba-lát đã mướn người vậy.
For this reason they had given him money, in order that I might be overcome by fear and do what he said and do wrong, and so they would have reason to say evil about me and put shame on me.|Vì tại đó, người được trả tiền công đặng khiến tôi sợ hãi, dụ tôi phạm tội, hầu cho chúng nó có cớ đồn tiếng xấu xa, và làm sỉ nhục tôi.
Keep in mind, O my God, Tobiah and Sanballat and what they did, and Noadiah, the woman prophet, and the rest of the prophets whose purpose was to put fear into me.|Đức Chúa Trời tôi ôi! Xin hãy nhớ Tô-bi-gia và San-ba-lát, tùy theo các công việc này mà hai người đã làm; xin cũng nhớ đến Nô -a-đia, nữ tiên tri, và các tiên tri khác đã muốn làm cho tôi sợ hãi!
So the wall was complete on the twenty-fifth day of the month Elul, in fifty-two days.|Vậy, ngày hai mươi tháng Ê-lun, vách thành sửa xong, hết năm mươi hai ngày.
And when our haters had news of this, all the nations round about us were full of fear and were greatly shamed, for they saw that this work had been done by our God.|Khi những thù nghịch chúng tôi hay được điều đó, thì các dân tộc chung quanh chúng tôi đều sợ hãi và lấy làm ngã lòng; vì chúng nó nhìn biết rằng công việc này thành được bởi Đức Chúa Trời của chúng tôi.
And further, in those days the chiefs of Judah sent a number of letters to Tobiah, and his letters came to them.|Cũng trong những ngày ấy, có các người tước vị của xứ Giu-đa gởi lắm thơ từ cho Tô-bi-gia và Tô-bi-gia đáp thơ gởi lại cho chúng.
For in Judah there were a number of people who had made an agreement by oath with him, because he was the son-in-law of Shecaniah, the son of Arah; and his son Jehohanan had taken as his wife the daughter of Meshullam, the son of Berechiah.|Vì tại Giu-đa có nhiều kẻ đã thề kết hiệp với người, bởi người là rể của Sê-ca-nia, con trai của A-ra; và Giô-ha-nan, con trai người, đã cưới con gái của Mê-su-lam, là con trai của Bê-rê-kia.
And they said much before me of the good he had done, and gave him accounts of my words. And Tobiah sent letters with the purpose of causing me fear.|Chúng cũng nói trước mặt tôi những việc tốt lành của người và chúng học lại cho người các lời của tôi. Còn Tô-bi-gia gởi thơ để làm cho tôi sợ hãi.

					Nehemiah 7				|
						Nê-hê-mi-a 7					
Now when the building of the wall was complete and I had put up the doors, and the door-keepers and the music-makers and the Levites had been given their places,|Khi vách thành đã xây xong, và tôi đã tra các cánh cửa, lập những người giữ cửa, kẻ ca hát, và người Lê-vi trong chức việc của họ,
I made my brother Hanani, and Hananiah, the ruler of the tower, responsible for the government of Jerusalem: for he was a man of good faith, fearing God more than most.|thì tôi giao phó việc cai trị Giê-ru-sa-lem cho Ha-na-ni, em tôi, và cho Ha-na-nia, quan tể cung; vì là một người trung tín và kính sợ Đức Chúa Trời hơn nhiều kẻ khác.
And I said to them, Do not let the doors of Jerusalem be open till the sun is high; and while the watchmen are in their places, let the doors be shut and locked: and let the people of Jerusalem be put on watch, every one in his watch, opposite his house.|Tôi dặn chúng rằng: Chớ mở các cửa Giê-ru-sa-lem trước khi mặt trời nắng nóng; người ta phải đóng cánh cửa, và gài then lại trong lúc kẻ giữ cửa còn ở tại đó; lại phải đặt người trong dân Giê-ru-sa-lem theo phiên mà canh giữ, mỗi người đứng canh nơi đối ngang nhà mình.
Now the town was wide and great: but the people in it were only a small number, and the houses had not been put up.|Vả, thành thì rộng rãi lớn lao, còn dân sự ở trong nó lại ít, và nhà mới thì chưa có cất.
And my God put it into my heart to get together the rulers and the chiefs and the people so that they might be listed by families. And I came across a record of the names of those who came up at the first, and in it I saw these words:|Đức Chúa Trời tôi có cảm động lòng tôi chiêu tập những người tước vị, các quan trưởng, và dân sự, đặng đem chúng vào sổ từng gia phổ. Tôi có tìm đặng một cuốn bộ gia phổ của những người đã trở lên lần đầu, và trong đó tôi thấy có ghi rằng:
These are the people of the divisions of the kingdom, among those who had been made prisoners by Nebuchadnezzar, the king of Babylon, and taken away by him, who went back to Jerusalem and Judah, every one to his town;|Này là các người tỉnh Giu-đa từ nơi làm phu tù được trở lên, tức những kẻ thuộc trong bọn bị Nê-bu-ca-nết-sa bắt dẫn từ; chúng trở lại Giê-ru-sa-lem và xứ Giu-đa, ai nấy đều về bổn thành mình;
Who came with Zerubbabel, Jeshua, Nehemiah, Azariah, Raamiah, Nahamani, Mordecai, Bilshan, Mispereth, Bigvai, Nehum, Baanah. The number of the men of the people of Israel:|chúng trở về với Xô-rô-ba-bên, Giê-sua, Nê-hê-mi, A-xa-ria, Ra -a-mia, Na-ha-ma-ni, Mạc-đô-chê, Binh-san, Mích-bê-rết, Biết-vai, Bê-hum, và Ba -a-na. Nầy là số tu bộ những người nam của dân Y-sơ-ra-ên;
The children of Parosh, two thousand, one hundred and seventy-two.|Về con cháu Pha-rốt, hai ngàn một trăm bảy mươi hai người;
The children of Shephatiah, three hundred and seventy-two.|về con cháu Sê-pha-tia, ba trăm bảy mươi hai người.
The children of Arah, six hundred and fifty-two.|Về con cháu A-ra, sáu trăm năm mươi hai người.
The children of Pahath-moab, of the children of Jeshua and Joab, two thousand, eight hundred and eighteen.|Về co cháu Pha-hát-Mô-áp, con cháu của Giê-sua và Giô-áp, có hai ngàn tám trăm mười tám người.
The children of Elam, a thousand, two hundred and fifty-four.|Về co cháu Ê-lam, một ngàn hai trăm năm mươi bốn người.
The children of Zattu, eight hundred and forty-five.|Về con cháu Xát-tu, tám trăm bốn mươi lăm người.
The children of Zaccai, seven hundred and sixty.|Về con cháu Xác-cai, bảy trăm sáu mươi người.
The children of Binnui, six hundred and forty-eight.|Về con cháu Bin-nui, sáu trăm bốn mươi tám người.
The children of Bebai, six hundred and twenty-eight.|Về con cháu Bê-bai, sáu trăm hai mươi tám người.
The children of Azgad, two thousand, three hundred and twenty-two.|Về con cháu A-gát, hai ngàn ba trăm hai mươi hai người.
The children of Adonikam, six hundred and sixty-seven.|Về con cháu A-đô-ni-cam, sáu trăm sáu mươi bảy người.
The children of Bigvai, two thousand and sixty-seven.|Về con cháu Biết-vai, hai ngàn sáu mươi bảy người.
The children of Adin, six hundred and fifty-five.|Về con cháu A-đin, sáu trăm năm mươi lăm người.
The children of Ater, of Hezekiah, ninety-eight.|Con cháu A-te, về dòng dõi Ê-xê-chia, có chín mươi tám người.
The children of Hashum, three hundred and twenty-eight.|Về con cháu Ha-sum, ba trăm hai mươi tám người.
The children of Bezai, three hundred and twenty-four.|Về con cháu Bết-sai, ba trăm hai mươi bốn người.
The children of Hariph, a hundred and twelve.|Về con cháu Ha-ríp, một trăm mười hai người.
The children of Gibeon, ninety-five.|Về con cháu Ga-ba-ôn, chín mươi lăm người.
The men of Beth-lehem and Netophah, a hundred and eighty-eight.|Về những người Bết-lê-hem và Nê-tô-pha, một trăm tám mươi tám người.
The men of Anathoth, a hundred and twenty-eight.|Về những người A-na-tốt, một trăm hai mươi tám người.
The men of Beth-azmaveth, forty-two.|Về những người Bết -A-ma-vết, bốn mươi hai người.
The men of Kiriath-jearim, Chephirah, and Beeroth, seven hundred and forty-three.|Về những người Ki-ri-át-Giê-ê-rốt, bảy trăm bốn mươi ba người.
The men of Ramah and Geba, six hundred and twenty-one.|Về những người Ra-ma và Ghê-ba, sáu trăm hai mươi mốt người.
The men of Michmas, a hundred and twenty-two.|Về những người Mích-ma, một trăm hai mươi hai người,
The men of Beth-el and Ai, a hundred and twenty-three.|Về những người Bê-tên và A-hi, một trăm hai mươi ba người.
The men of the other Nebo, fifty-two.|Về những người Nê-bô khác, năm mươi hai người.
The children of the other Elam, a thousand, two hundred and fifty-four.|Về con cháu Ê-lam khác, một ngàn hai trăm năm mươi bốn người.
The children of Harim, three hundred and twenty.|Về con cháu Ha-rim, ba trăm hai mươi người.
The children of Jericho, three hundred and forty-five.|Về con cháu Giê-ri-cô, ba trăm bốn mươi lăm người.
The children of Lod, Hadid, and Ono, seven hundred and twenty-one.|Về con cháu của Lô-đơ, của Ha-sít, và của Ô-nô, bảy trăm hai mươi mốt người.
The children of Senaah, three thousand, nine hundred and thirty.|Về con cháu Sê-na, ba ngàn chín trăm ba mươi người.
The priests: the children of Jedaiah, of the family of Jeshua, nine hundred and seventy-three.|Những thầy tế lễ: Về con cháu Giê-đa-gia, nhà Giê-sua, chín trăm bảy mươi ba người.
The children of Immer, a thousand and fifty-two.|Về con cháu Y-mê, một ngàn năm mươi hai người.
The children of Pashhur, a thousand, two hundred and forty-seven.|Về con cháu Pha-ru-sơ, một ngàn hai trăm bốn mươi bảy người.
The children of Harim, a thousand and seventeen.|Về con cháu Ha-rim, một ngàn mười bảy người.
The Levites: the children of Jeshua, of Kadmiel, of the children of Hodevah, seventy-four.|Người Lê-vi: Con cháu của Giê-sua và của Cát-mi-ên, về dòng dõi Hô-đê-va, bảy mươi bốn người.
The music-makers: the children of Asaph, a hundred and forty-eight.|Người ca hát: Về con cháu A-sáp, một trăm bốn mươi tám người.
The door-keepers: the children of Shallum, the children of Ater, the children of Talmon, the children of Akkub, the children of Hatita, the children of Shobai, a hundred and thirty-eight.|Kẻ giữ cửa: Về con cháu Sa-lum, con cháu A-te, con cháu Tanh-môn, con cháu A-cúp, con cháu Ha-ti-la, và con cháu Sô-bai, một trăm ba mươi tám người.
The Nethinim: the children of Ziha, the children of Hasupha, the children of Tabbaoth,|Người Nê-thi-nim: Con cháu Xi-ha, con cháu Ha-su-pha, con cháu Ta-ba-ốt,
The children of Keros, the children of Sia, the children of Padon,|con cháu Kê-rốt, con cháu Sia, con cháu Pha-đôn,
The children of Lebana, the children of Hagaba, the children of Salmai,|con cháu Lê-ba-na, con cháu Ha-ga-ba, con cháu Sanh-mai,
The children of Hanan, the children of Giddel, the children of Gahar,|con cháu Ha-nan, con cháu Ghi-đên, con cháu Ga-ha;
The children of Reaiah, the children of Rezin, the children of Nekoda,|con cháu Rê -a-gia, con cháu Rê-xin, con cháu Nê-cô-đa,
The children of Gazzam, the children of Uzza, the children of Paseah,|con cháu Ga-xam, con cháu U-xa, con cháu Pha-sê -a,
The children of Besai, the children of Meunim, the children of Nephushesim,|con cháu Bê-sai, con cháu Mê -u-nim, con cháu Nê-phi-sê-nim,
The children of Bakbuk, the children of Hakupha, the children of Harhur,|con cháu Bác-búc, con cháu Ha-cu-pha, con cháu Ha-rua,
The children of Bazlith, the children of Mehida, the children of Harsha,|con cháu Bát-tít, con cháu Mê-hi-đa, con cháu Hạt-sa,
The children of Barkos, the children of Sisera, the children of Temah,|con cháu Bạt-cô, con cháu Si-sê-ra, con cháu Tha-mác,
The children of Neziah, the children of Hatipha.|con cháu Nê-xia, con cháu Ha-ti-pha.
The children of Solomon's servants: the children of Sotai, the children of Sophereth, the children of Perida,|Dòng dõi các đầy tớ của Sa-lô-môn: Con cháu Sô-tai, con cháu Sô-phê-rết, con cháu Phê-ri-đa,
The children of Jaala, the children of Darkon, the children of Giddel,|con cháu Gia -a-la, con cháu Đạt-côn, con cháu Ghi-đên,
The children of Shephatiah, the children of Hattil, the children of Pochereth-hazzebaim, the children of Amon.|con cháu Sê-pha-tia, con cháu Hát-tinh, con cháu Phô-kế-rết Hát-xê-ba-im, con cháu A-mon.
All the Nethinim and the children of Solomon's servants were three hundred and ninety-two.|Tổng cộng các người Nê-thi-nim và con cháu các đầy tớ của Sa-lô-môn, là ba trăm chín mươi hai người.
All these were the people who went up from Tel-melah, Tel-harsha, Cherub, Addon, and Immer; but because they had no knowledge of their fathers' families or offspring, it was not certain if they were Israelites:|Nầy là những người ở Tên-Mê-la, Tên-Hạt-sa, Kê-rúp, A-đôn, và từ Y-mê mà đi lên; nhưng chúng nó không thể chỉ ra nhà của tổ phụ mình và gốc gác của họ, hoặc thuộc về Y-sơ-ra-ên hay chăng:
The children of Delaiah, the children of Tobiah, the children of Nekoda, six hundred and forty-two.|con cháu Đê-la-gia, con cháu Tô-bi-gia, và con cháu Nê-cô-đa, đều sáu trăm bốn mươi hai người.
And of the priests: the children of Hobaiah, the children of Hakkoz, the children of Barzillai, who was married to one of the daughters of Barzillai the Gileadite, and took their name.|Về những thầy tế lễ: Con cháu Ha-ba-gia, con cháu Ha-cốt, con cháu Bạt-xi-lai, là người lấy vợ trong vòng con gái của Bạt-xi-lai, người Ga-la-át, và được gọi bằng tên của họ.
They made search for their record among the lists of families, but their names were nowhere to be seen, so they were looked on as unclean and no longer priests.|Các người ấy tìm kiếm gia phổ mình, nhưng không thấy, bèn bị trừ ra chức tế lễ, kể cho là ô uế.
And the Tirshatha said that they were not to have the most holy things for their food, till a priest came to give decision by the Urim and Thummim.|Quan tổng trấn cấm chúng ăn những vật chí thánh cho đến chừng có một thầy tế lễ dấy lên dùng U-rim và Thu-nim mà cầu hỏi Đức Chúa Trời.
The number of all the people together was forty-two thousand, three hundred and sixty;|Cả hội chúng hiệp lại được bốn vạn hai ngàn ba trăm sáu mươi người,
As well as their men-servants and their women-servants, of whom there were seven thousand, three hundred and thirty-seven; and they had two hundred and forty-five men and women to make music.|không kể những tôi trai tớ gái của dân, số được bảy ngàn ba trăm ba mơi bảy người; cũng có hai trăm bốn mươi lăm kẻ hát, nam và nữ.
They had seven hundred and thirty-six horses, two hundred and forty-five transport beasts;|Chúng có bảy trăm ba mươi sáu con ngựa, hai trăm bốn mươi lăm con la,
Four hundred and thirty-five camels, six thousand, seven hundred and twenty asses.|bốn trăm ba mươi lăm con lạc đà, và sáu ngàn bảy trăm hai mươi con lừa.
And some of the heads of families gave money for the work. The Tirshatha gave into the store a thousand darics of gold, fifty basins, five hundred and thirty priests' robes.|Có mấy trưởng tộc đem của cung tiến đặng giúp làm công việc. Quan tổng trấn dâng cho kho một ngàn đa-riếc vàng, năm mươi cái chậu, và năm trăm ba mươi cái áo thầy tế lễ.
And some of the heads of families gave into the store for the work twenty thousand darics of gold, and two thousand, two hundred pounds of silver.|Có mấy trưởng tộc dâng vào kho tạo tác hai vạn đa-riếc vàng, và hai ngàn hai trăm min bạc.
And that which the rest of the people gave was twenty thousand darics of gold, and two thousand pounds of silver, and sixty-seven priests' robes.|Còn vật dân sự khác dâng, được hai vạn đa-riếc vàng, hai ngàn min bạc, và sáu mươi bảy cái áo thầy tế lễ.
So the priests and the Levites and the door-keepers and the music-makers and some of the people and the Nethinim, and all Israel, were living in their towns.|Ay vậy, những thầy tế lễ, người Lê-vi, kẻ giữ cửa, kẻ ca hát, mấy người trong dân, và người Nê-thi-nim, cùng cả Y-sơ-ra-ên, đều ở trong các thành của mình. Khi tháng bảy đến, thì dân Y-sơ-ra-ên đều ở trong các thành của mình.

					Nehemiah 8				|
						Nê-hê-mi-a 8					
And when the seventh month came, the children of Israel were in their towns. And all the people came together like one man into the wide place in front of the water-doorway; and they made a request to Ezra the scribe that he would put before them the book of the law of Moses which the Lord had given to Israel.|Bấy giờ, dân sự đều nhóm hiệp như thể một người, tại phố ở trước cửa Nước. Chúng nói với E-xơ-ra là thầy thông giáo, xin người đem quyển sách luật pháp của Môi-se mà Đức Giê-hô-va đã truyền dạy cho Y-sơ-ra-ên.
And Ezra the priest put the law before the meeting of the people, before the men and women and all those who were able to take it in, on the first day of the seventh month.|Ngày mồng một tháng bảy, thầy tế lễ E-xơ-ra đem luật pháp đến trước mặt hội chúng, người nam và nữ, cùng những người có thông sáng nghe hiểu được.
He was reading it in the wide place in front of the water-doorway, from early morning till the middle of the day, in the hearing of all those men and women whose minds were able to take it in; and the ears of all the people were open to the book of the law.|Người đứng tại phố ở trước cửa Nước, đọc trong quyển ấy từ rạng đông cho đến trưa, có mặt các người nam và nữ, cùng những kẻ có thể hiểu được. Cả dân sự lắng tai nghe đọc sách luật pháp.
And Ezra the scribe took his place on a tower of wood which they had made for the purpose; and by his side were placed Mattithiah and Shema and Anaiah and Uriah and Hilkiah and Maaseiah on the right; and on the left, Pedaiah and Mishael and Malchijah and Hashum and Hashbaddanah, Zechariah and Meshullam.|Thầy thông giáo E-xơ-ra đứng trên một cái sạp bằng gỗ mà người ta làm nhơn dịp ấy; Ma-ti-thia, Sê-ma, A-na-gia, U-ri, Hinh-kia, và Ma -a-xê-gia, đứng gần người ở bên hữu; còn bên tả người thì có Phê-đa-gia, Mi-sa-ên, Manh-ki-gia, Ha-sum, Hách-ba-đa-na, Xa-cha-ri, và Mê-su-lam.
And Ezra took the book, opening it before the eyes of all the people (for he was higher than the people); and when it was open, all the people got to their feet:|E-xơ-ra dở sách ra trước mặt cả dân sự, vì người đứng cao hơn chúng; khi người dở sách ra, thì dân sự đều đứng dậy.
And Ezra gave praise to the Lord, the great God. And all the people in answer said, So be it, so be it; lifting up their hands; and with bent heads they gave worship to the Lord, going down on their faces to the earth.|E-xơ-ra ngợi khen Giê-hô-va Đức Chúa Trời cao cả; cả dân sự bèn giơ tay lên, mà đáp lại rằng: A-men, A-men! rồi chúng cúi đầu, sấp mặt xuống đất mà thờ lạy Đức Giê-hô-va.
And Jeshua and Bani and Sherebiah and Jamin, Akkub, Shabbethai, Hodiah, Maaseiah, Kelita, Azariah, Jozabad, Hanan, Pelaiah, and the Levites made the law clear to the people: and the people kept in their places.|Giê-sua, Ba-ni, Sê-rê-bia, Giô-xa-bát, Ha-nan, Bê-la-gia, và người Lê-vi, đều giải cho dân sự hiểu luật pháp; và dân sự đứng tại chỗ mình.
And they gave out the words of the book the law of God, clearly, and gave the sense of it, so that their minds were able to take it in.|Họ đọc rõ ràng trong sách luật pháp của Đức Chúa Trời, rồi giải nghĩa nó ra, làm cho người ta hiểu lời họ đọc.
And Nehemiah, who was the Tirshatha, and Ezra, the priest and scribe, and the Levites who were the teachers of the people, said to all the people, This day is holy to the Lord your God; let there be no sorrow or weeping; for all the people were weeping on hearing the words of the law.|Nê-hê-mi, quan tổng trấn, E-xơ-ra, thầy tế lễ và thầy thông giáo, cùng người Lê-vi mà dạy dỗ dân sự, bèn nói với cả Y-sơ-ra-ên rằng: Ngày nay là thánh cho Giê-hô-va Đức Chúa Trời của các ngươi; chớ để tang, cũng đừng khóc lóc. Vì cả dân sự đều khóc khi nghe đọc các luật pháp.
Then he said to them, Go away now, and take the fat for your food and the sweet for your drink, and send some to him for whom nothing is made ready: for this day is holy to our Lord: and let there be no grief in your hearts; for the joy of the Lord is your strong place.|Nê-hê-mi nói với chúng rằng: Hãy đi ăn vật gì béo, uống đồ gì ngọt, và hãy gởi phần cho những người không có sắm sửa gì hết; vì ngày nay là thánh, biệt riêng ra cho Chúa của chúng ta. Chớ buồn thảm, vì sự vui vẻ của Đức Giê-hô-va là sức lực của các ngươi.
So the Levites made all the people quiet, saying, Be quiet, for the day is holy; and do not give way to grief.|Vậy, người Lê-vi làm cho cả dân sự đều được yên ổn, mà rằng: Khá nín đi, vì ngày nay là thánh, đừng sầu thảm chi.
And all the people went away to take food and drink, and to send food to others, and to be glad, because the words which were said to them had been made clear.|Cả dân sự bèn đi đặng ăn và uống, gởi cho những phần, cùng vui vẻ lắm; vì chúng có hiểu các lời người ta đã truyền dạy cho mình.
And on the second day the heads of families of all the people and the priests and the Levites came together to Ezra the scribe, to give attention to the words of the law.|Qua ngày thứ hai, các trưởng tộc của cả dân sự, những thầy tế lễ, và người Lê-vi, đều nhóm lại bên E-xơ-ra, là người thông giáo, đặng chú ý nghe các lời của luật pháp.
And they saw that it was recorded in the law that the Lord had given orders by Moses, that the children of Israel were to have tents for their living-places in the feast of the seventh month:|Chúng thấy có chép trong luật pháp rằng Đức Giê-hô-va cậy Môi-se phán rằng dân Y-sơ-ra-ên phải ở trong nhà lều đương lúc lễ tháng bảy;
And that they were to give out an order, and make it public in all their towns and in Jerusalem, saying, Go out to the mountain and get olive branches and branches of field olives and of myrtle, and palm branches and branches of thick trees, to make tents, as it says in the book.|và chúng phải hô truyền trong các thành và tại Giê-ru-sa-lem nghe, rằng: Hãy đi kiếm trong núi những nhánh ô-li-ve và ô-li-ve rừng, những nhánh cây sim, những tầu lá kè, và những nhánh cây rậm, đặng làm những nhà lều, y như đã chép.
And the people went out and got them and made themselves tents, every one on the roof of his house, and in the open spaces and in the open squares of the house of God, and in the wide place of the water-doorway, and the wide place of the doorway of Ephraim.|Dân sự bèn đi ra đem các lá ấy về, mỗi người đều làm nhà lều trên nóc nhà mình, ngoài sân mình, trong hành lang của đền Đức Chúa Trời, nơi phố của cửa Nước, và nơi phố của cửa Ep-ra-im.
