
					Numbers 1				|
And this is the law for him who is separate, when the necessary days are ended: he is to come to the door of the Tent of meeting,|Nầy là luật lệ về người Na-xi-rê: Khi nào những ngày Na-xi-rê mình đã mãn, người ta phải đem người đến tại cửa hội mạc;
And make his offering to the Lord; one he-lamb of the first year, without a mark, for a burned offering, and one female lamb of the first year, without a mark, for a sin-offering, and one male sheep, without a mark, for peace-offerings,|người phải dâng của lễ mình cho Đức Giê-hô-va, tức là một con chiên con giáp năm không tì vít, làm của lễ thiêu, một con chiên cái giáp năm không tì vít, làm của lễ chuộc tội, và một con chiên đực không tì vít, làm của lễ thù ân;
And a basket of unleavened bread, cakes of the best meal mixed with oil, and thin unleavened cakes covered with oil, with their meal offering and drink offerings.|một giỏ bánh không men bằng bột lọc, bánh nhỏ tưới dầu, bánh tráng không men thoa dầu, luôn với của lễ chay và lễ quán cặp theo các lễ kia.
And the priest will take them before the Lord, and make his sin-offering and his burned offering;|Thầy tế lễ sẽ đem những của lễ nầy đến trước mặt Đức Giê-hô-va, và dâng của lễ chuộc tội cùng của lễ thiêu của người;
Giving the sheep of the peace-offerings, with the basket of unleavened bread; and at the same time, the priest will make his meal offering and his drink offering.|rồi ngoại trừ giỏ bánh không men, dâng luôn con chiên đực làm của lễ thù ân, cùng dâng của lễ chay và lễ quán của người.
Then let his long hair, the sign of his oath, be cut off at the door of the Tent of meeting, and let him put it on the fire on which the peace-offerings are burning.|Tại cửa hội mạc, người Na-xi-rê phải cạo đầu mình đã biệt riêng ra, lấy tóc bỏ vào lửa dưới của lễ thù ân.
And the priest will take the cooked leg of the sheep and one unleavened cake and one thin cake out of the basket, and put them on the hands of the separate one after his hair has been cut,|Sau khi người Na-xi-rê cạo đầu rồi, thầy tế lễ sẽ lấy cái vai chín của chiên đực, một cái bánh nhỏ không men trong giỏ, một bánh tráng không men và để trong lòng hai bàn tay người,
Waving them for a wave offering before the Lord; this is holy for the priest, together with the waved breast and the leg which is lifted up; after that, the man may take wine.|rồi đưa qua đưa lại trước mặt Đức Giê-hô-va: ấy là một vật thánh về thầy tế lễ với cái o đưa qua đưa lại và cái giò dâng giơ lên. Kế đó, người Na-xi-rê được phép uống rượu.
This is the law for him who takes an oath to keep himself separate, and for his offering to the Lord on that account, in addition to what he may be able to get; this is the law of his oath, which he will have to keep.|Đó là luật lệ về người Na-xi-rê đã hứa nguyện, và đây là của lễ người phải dâng cho Đức Giê-hô-va về nguyện Na-xi-rê mình, ngoại trừ của lễ nào người có thể dâng thêm. Người phải theo luật lệ về sự Na-xi-rê mình mà làm theo lời hứa nguyện của mình vậy.
And the Lord said to Moses,|Đức Giê-hô-va phán cùng Môi-se rằng:
Say to Aaron and his sons, These are the words of blessing which are to be used by you in blessing the children of Israel; say to them,|Hãy nói cùng A-rôn và các con trai người mà rằng: Các ngươi phải chúc phước cho dân Y-sơ-ra-ên như vầy:
May the Lord send his blessing on you and keep you:|Cầu xin Đức Giê-hô-va ban phước cho ngươi và phù hộ ngươi!
May the light of the Lord's face be shining on you in grace:|Cầu xin Đức Giê-hô-va chiếu sáng mặt Ngài trên ngươi, và làm ơn cho ngươi!
May the Lord's approval be resting on you and may he give you peace.|Cầu xin Đức Giê-hô-va đoái xem ngươi và ban bình an cho ngươi!
So they will put my name on the children of Israel, and I will give them my blessing.|Họ phải đặt danh ta trên dân Y-sơ-ra-ên như vầy, thì ta đây sẽ ban phước cho dân đó.

					Numbers 7				|
						Dân Số 7					
And when Moses had put up the House completely, and had put oil on it and made it holy, with all the things in it, and had made the altar and all its vessels holy with oil;|Khi Môi-se đã dựng xong đền tạm, và đã xức dầu cùng biệt riêng ra thánh hết thảy đồ đạc của đền tạm, xức dầu và biệt riêng ra thánh bàn thờ và hết thảy đồ đạc của bàn thờ rồi,
Then the chiefs of Israel, the heads of their fathers' houses, made offerings; these were the chiefs of the tribes, who were over those who were numbered.|thì các trưởng tộc của Y-sơ-ra-ên, tức là các quan trưởng về những chi phái mà đã cai trị cuộc tu bộ dân, đều đem dâng lễ vật của mình.
And they came with their offerings before the Lord, six covered carts and twelve oxen; a cart for every two of the chiefs, and for every one an ox.|Vậy, các quan trưởng dẫn lễ vật mình đến trước mặt Đức Giê-hô-va: Sáu xe cộ, hình như cái kiệu, và mười hai con bò đực, nghĩa là mỗi hai quan trưởng đồng dâng một xe cộ, và mỗi một người dâng một con bò đực; họ dâng lễ vật đó trước đền tạm.
And the Lord said to Moses,|Đức Giê-hô-va bèn phán cùng Môi-se rằng: Hãy thâu nhận các lễ vật của những người nầy, để dùng vào công việc hội mạc; và hãy giao cho người Lê-vi,
Take the things from them, to be used for the work of the Tent of meeting; and give them to the Levites, to every man what is needed for his work.|tức là cho mọi người tùy theo chức phận mình.
So Moses took the carts and the oxen and gave them to the Levites.|Vậy, Môi-se bèn nhận lấy các xe cộ và những bò đực, giao cho người Lê-vi.
Two carts and four oxen he gave to the sons of Gershon for their work;|Người giao cho con cháu Ghẹt-sôn hai xe cộ và bốn con bò đực, tùy theo chức phận của họ.
And four carts and eight oxen he gave to the sons of Merari for their work, under the direction of Ithamar, the son of Aaron the priest.|Người giao cho con cháu Mê-ra-ri bốn xe cộ và tám con bò đực, tùy theo chức phận của họ, có Y-tha-ma, con trai thầy tế lễ A-rôn, làm quản lý.
But to the sons of Kohath he gave nothing; because they had the care of the holy place, taking it about on their backs.|Nhưng người không có giao chi cho con cháu Kê-hát, vì họ mắc phần công việc về những vật thánh, và gánh vác những vật đó trên vai mình.
And the chiefs gave an offering for the altar on the day when the holy oil was put on it; they made their offering before the altar.|Trong ngày bàn thờ được xức dầu, các quan trưởng dâng lễ vật mình trước bàn thờ về cuộc khánh thành nó.
And the Lord said to Moses, Let every chief on his day give his offering to make the altar holy.|Đức Giê-hô-va phán cùng Môi-se rằng: Các quan trưởng phải đem lễ vật mình về cuộc khánh thành bàn thờ, người nầy thì ngày nay, người kia thì ngày kia.
And he who made his offering on the first day was Nahshon, the son of Amminadab, of the tribe of Judah:|Người dâng lễ vật mình ngày đầu, là Na-ha-sôn, con trai của A-mi-na-đáp, thuộc về chi phái Giu-đa.
And his offering was one silver plate, a hundred and thirty shekels in weight, one silver basin of seventy shekels, by the scale of the holy place; the two of them full of the best meal mixed with oil for a meal offering;|Lễ-vật người là một cái đĩa bạc nặng một trăm ba mươi siếc-lơ, một cái chậu bạc nặng bảy chục siếc-lơ, theo siếc-lơ của nơi thánh; cả hai cái đều đầy bột lọc nhồi dầu, dùng về của lễ chay;
One gold spoon of ten shekels, full of spice for burning;|một cái chén vàng nặng mười siếc-lơ, đầy thuốc thơm;
One young ox, one male sheep, one he-lamb of the first year, for a burned offering;|một con bò đực tơ, một con chiên đực, một con chiên con giáp năm, dùng về của lễ thiêu;
One male of the goats for a sin-offering;|một con dê đực dùng về của lễ chuộc tội;
And for the peace-offerings, two oxen, five male sheep, five he-goats, five he-lambs of the first year: this was the offering of Nahshon, the son of Amminadab.|và về của lễ thù ân, hai con bò đực, năm con chiên đực, năm con dê đực, và năm con chiên con giáp năm. Đó là lễ vật của Na-ha-sôn, con trai A-mi-na-đáp.
On the second day Nethanel, the son of Zuar, chief of Issachar, made his offering:|Ngày thứ hai, Na-tha-na-ên, con trai của Xu -a, quan trưởng Y-sa-ca, dâng lễ vật mình.
He gave one silver plate, a hundred and thirty shekels in weight, one silver basin of seventy shekels, by the scale of the holy place; the two of them full of the best meal mixed with oil for a meal offering;|Người dâng một cái đĩa bạc nặng một trăm ba mươi siếc-lơ, một cái chậu bạc nặng bảy chục siếc-lơ, theo siếc-lơ của nơi thánh, cả hai cái đều đầy bột lọc nhồi dầu, dùng về của lễ chay;
One gold spoon of ten shekels, full of spice;|một cái chén vàng nặng mười siếc-lơ, đầy thuốc thơm;
One young ox, one male sheep, one he-lamb of the first year, for a burned offering;|một con bò đực tơ, một con chiên đực, một con chiên con giáp năm, dùng về của lễ thiêu;
One male of the goats for a sin-offering;|một con dê đực dùng về của lễ chuộc tội;
And for the peace-offerings, two oxen, five male sheep, five he-goats, five he-lambs of the first year: this was the offering of Nethanel, the son of Zuar.|và về của lễ thù ân, hai con bò đực, năm con chiên đực, năm con dê đực, và năm con chiên con giáp năm. Đó là lễ vật của Na-tha-na-ên. con trai Xu -a.
On the third day Eliab, the son of Helon, chief of the children of Zebulun:|Ngày thứ ba, đến quan trưởng của con cháu Sa-bu-lôn, là Ê-li-áp, con trai của Hê-lôn.
His offering was one silver plate, a hundred and thirty shekels in weight, one silver basin of seventy shekels, by the scale of the holy place; the two of them full of the best meal mixed with oil for a meal offering;|Lễ-vật của người là một cái dĩa bạc nặng một trăm ba mươi siếc-lơ, một cái chậu bạc nặng bảy chục siếc-lơ, theo siếc-lơ của nơi thánh; cả hai cái đều đầy bột lọc nhồi dầu, dùng về của lễ chay;
One gold spoon of ten shekels, full of spice;|một cái chén vàng nặng mười siếc-lơ, đầy thuốc thơm;
One young ox, one male sheep, one he-lamb of the first year, for a burned offering;|một con bò đực tơ, một con chiên đực, một con chiên con giáp năm, dùng về của lễ thiêu;
One male of the goats for a sin-offering;|một con dê đực dùng về của lễ chuộc tội;
And for the peace-offerings, two oxen, five male sheep, five he-goats, five he-lambs of the first year: this was the offering of Eliab, the son of Helon.|và về của lễ thù ân, hai con bò đực, năm con chiên đực, năm con dê đực, và năm con chiên con giáp năm. Đó là lễ vật của Ê-li-áp, con trai Hê-lôn.
On the fourth day Elizur, the son of Shedeur, chief of the children of Reuben:|Ngày thứ tư, đến quan trưởng của con cháu Ru-bên, là Ê-lít-su, con trai Sê-đêu.
His offering was one silver plate, a hundred and thirty shekels in weight, one silver basin of seventy shekels, by the scale of the holy place; the two of them full of the best meal mixed with oil for a meal offering;|Lễ-vật của người là một cái đĩa bạc nặng một trăm ba mươi siếc-lơ, một cái chậu bạc nặng bảy chục siếc-lơ, theo siếc-lơ của nơi thánh; cả hai cái đều đầy bột lọc nhồi dầu, dùng về của lễ chay;
One gold spoon of ten shekels, full of spice;|một cái chén vàng nặng mười siếc-lơ, đầy thuốc thơm;
One young ox, one male sheep, one he-lamb of the first year, for a burned offering;|một con bò đực tơ, một con chiên đực, một con chiên con giáp năm, dùng về của lễ thiêu;
One male of the goats for a sin-offering;|một con dê đực dùng về của lễ chuộc tội;
And for the peace-offerings, two oxen, five male sheep, five he-goats, five he-lambs of the first year: this was the offering of Elizur, the son of Shedeur.|và về của lễ thù ân, hai con bò đực, năm con chiên đực, năm con dê đực, và năm con chiên con giáp năm. Đó là lễ vật của Ê-lít-su, con trai Sê-đêu.
On the fifth day Shelumiel, the son of Zurishaddai, chief of the children of Simeon:|Ngày thứ năm, đến quan trưởng của con cháu Si-mê-ôn, là Sê-lu-mi-ên, con trai Xu-ri-ha-đai.
His offering was one silver plate, a hundred and thirty shekels in weight, one silver basin of seventy shekels, by the scale of the holy place; the two of them full of the best meal mixed with oil for a meal offering;|Lễ-vật của người là một cái đĩa bạc nặng một trăm ba mươi siếc-lơ, một cái chậu bạc nặng bảy chục siếc-lơ, theo siếc-lơ của nơi thánh; cả hai cái đều đầy bột lọc nhồi dầu, dùng về của lễ chay;
One gold spoon of ten shekels, full of spice;|một cái chén vàng nặng mười siếc-lơ, đầy thuốc thơm;
One young ox, one male sheep, one he-lamb of the first year, for a burned offering;|một con bò đực tơ, một con chiên đực, một con chiên con giáp năm, dùng về của lễ thiêu;
One male of the goats for a sin-offering;|một con dê đực dùng về của lễ chuộc tội;
And for the peace-offerings, two oxen, five male sheep, five he-goats, five he-lambs of the first year: this was the offering of Shelumiel, the son of Zurishaddai.|và về của lễ thù ân, hai con bò đực, năm con chiên đực, năm con dê đực, và năm con chiên con giáp năm. Đó là lễ vật của Sê-lu-mi-ên, con trai Xu-ri-ha-đai.
On the sixth day Eliasaph, the son of Reuel, chief of the children of Gad:|Ngày thứ sáu, đến quan trưởng của con cháu Gát, là Ê-li -a-sáp, con trai Đê -u-ên.
His offering was one silver plate, a hundred and thirty shekels in weight, one silver basin of seventy shekels, by the scale of the holy place; the two of them full of the best meal mixed with oil for a meal offering;|Lễ-vật của người là một cái đĩa bạc nặng một trăm ba mươi siếc-lơ, một cái chậu bạc nặng bảy chục siếc-lơ, theo siếc-lơ của nơi thánh, cả hai cái đều đầy bột lọc nhồi dầu, dùng về của lễ chay;
One gold spoon of ten shekels, full of spice;|một cái chén vàng nặng mười siếc-lơ, đầy thuốc thơm;
One young ox, one male sheep, one he-lamb of the first year, for a burned offering;|một con bò đực tơ, một con chiên đực, một con chiên con giáp năm, dùng về của lễ thiêu;
One male of the goats for a sin-offering;|một con dê đực dùng về của lễ chuộc tội;
And for the peace-offerings, two oxen, five male sheep, five he-goats, five he-lambs of the first year: this was the offering of Eliasaph, the son of Reuel|và về của lễ thù ân, hai con bò đực, năm con chiên đực, năm con dê đực, và năm con chiên con giáp năm. Đó là lễ vật của Ê-li -a-sáp, con trai Đê -u-ên.
On the seventh day Elishama, the son of Ammihud, chief of the children of Ephraim:|Ngày thứ bảy, đến quan trưởng của con cháu Ep-ra-im, là Ê-li-sa-ma, con trai A-mi-hút.
His offering was one silver plate, a hundred and thirty shekels in weight, one silver basin of seventy shekels, by the scale of the holy place; the two of them full of the best meal mixed with oil for a meal offering;|Lễ-vật của người là một cái đĩa bạc nặng một trăm ba mươi siếc-lơ, một cái chậu bạc nặng bảy chục siếc-lơ, theo siếc-lơ của nơi thánh, cả hai cái đều đầy bột lọc nhồi dầu, dùng về của lễ chay;
One gold spoon of ten shekels, full of spice;|một cái chén vàng nặng mười siếc-lơ, đầy thuốc thơm;
One young ox, one male sheep, one he-lamb of the first year, for a burned offering;|một con bò đực tơ, một con chiên đực, một con chiên con giáp năm, dùng về của lễ thiêu;
One male of the goats for a sin-offering;|một con dê đực dùng về của lễ chuộc tội;
And for the peace-offerings, two oxen, five male sheep, five he-goats, five he-lambs of the first year: this was the offering of Elishama, the son of Ammihud.|và về của lễ thù ân, hai con bò đực, năm con chiên đực, năm con dê đực, và năm con chiên con giáp năm. Đó là lễ vật của Ê-li-sa-ma, con trai A-mi-hút.
On the eighth day Gamaliel, the son of Pedahzur, chief of the children of Manasseh:|Ngày thứ tám, đến quan trưởng của con cháu Ma-na-se, là Ga-ma-li-ên, con trai Phê-đát-su.
His offering was one silver plate, a hundred and thirty shekels in weight, one silver basin of seventy shekels, by the scale of the holy place; the two of them full of the best meal mixed with oil for a meal offering;|Lễ-vật của người là một cái đĩa bạc nặng một trăm ba mươi siếc-lơ, một cái chậu bạc nặng bảy chục siếc-lơ, theo siếc-lơ của nơi thánh, cả hai cái đều đầy bột lọc nhồi dầu, dùng về của lễ chay;
One gold spoon of ten shekels, full of spice;|một cái chén vàng nặng mười siếc-lơ, đầy thuốc thơm;
One young ox, one male sheep, one he-lamb of the first year, for a burned offering;|một con bò đực tơ, một con chiên đực, một con chiên con giáp năm, dùng về của lễ thiêu;
One male of the goats for a sin-offering;|một con dê đực dùng về của lễ chuộc tội;
And for the peace-offerings, two oxen, five male sheep, five he-goats, five he-lambs of the first year: this was the offering of Gamaliel, the son of Pedahzur.|và về của lễ thù ân, hai con bò đực, năm con chiên đực, năm con dê đực, và năm con chiên con giáp năm. Đó là lễ vật của Ga-ma-li-ên, con trai Phê-đát-su.
On the ninth day Abidan, the son of Gideoni, chief of the children of Benjamin:|Ngày thứ chín, đến quan trưởng của con cháu Bên-gia-min, là A-bi-đan, con trai Ghi-đeo-ni.
His offering was one silver plate, a hundred and thirty shekels in weight, one silver basin of seventy shekels, by the scale of the holy place; the two of them full of the best meal mixed with oil for a meal offering;|Lễ-vật của người là một cái đĩa bạc nặng một trăm ba mươi siếc-lơ, một cái chậu bạc nặng bảy chục siếc-lơ, theo siếc-lơ của nơi thánh, cả hai cái đều đầy bột lọc nhồi dầu, dùng về của lễ chay;
One gold spoon of ten shekels, full of spice;|một cái chén vàng nặng mười siếc-lơ, đầy thuốc thơm;
One young ox, one male sheep, one he-lamb of the first year for a burned offering;|một con bò đực tơ, một con chiên đực, một con chiên con giáp năm, dùng về của lễ thiêu;
One male of the goats for a sin-offering;|một con dê đực dùng về của lễ chuộc tội;
And for the peace-offerings, two oxen, five male sheep, five he-goats, five he-lambs of the first year: this was the offering of Abidan, the son of Gideoni.|và về của lễ thù ân, hai con bò đực, năm con chiên đực, năm con dê đực, và năm con chiên con giáp năm. Đó là lễ vật của A-bi-đan, con trai Ghi-đeo-ni.
On the tenth day Ahiezer; the son of Ammishaddai, chief of the children of Dan:|Ngày thứ mười, đến quan trưởng của con cháu Đan, là A-hi-ê-xe, con trai A-mi-sa-đai.
His offering was one silver plate, a hundred and thirty shekels in weight, one silver basin of seventy shekels, by the scale of the holy place; the two of them full of the best meal mixed with oil for a meal offering;|Lễ-vật của người là một cái đĩa bạc nặng một trăm ba mươi siếc-lơ, một cái chậu bạc nặng bảy chục siếc-lơ, theo siếc-lơ của nơi thánh, cả hai cái đều đầy bột lọc nhồi dầu, dùng về của lễ chay;
One gold spoon of ten shekels, full of spice;|một cái chén vàng nặng mười siếc-lơ, đầy thuốc thơm;
One young ox, one male sheep, one he-lamb of the first year, for a burned offering;|một con bò đực tơ, một con chiên đực, một con chiên con giáp năm, dùng về của lễ thiêu;
One male of the goats for a sin-offering;|một con dê đực dùng về của lễ chuộc tội;
And for the peace-offerings, two oxen, five male sheep, five he-goats, five he-lambs of the first year: this was the offering of Ahiezer, the son of Ammishaddai.|và về của lễ thù ân, hai con bò đực, năm con chiên đực, năm con dê đực và năm con chiên con giáp năm. Đó là lễ vật của A-hi-ê-xe, con trai A-mi-sa-đai.
On the eleventh day Pagiel, the son of Ochran, chief of the children of Asher:|Ngày thứ mười một, đến quan trưởng của con cháu A-se, là Pha-ghi-ên, con trai của Oc-ran.
His offering was one silver plate; a hundred and thirty shekels in weight, one silver basin of seventy shekels, by the scale of the holy place; the two of them full of the best meal mixed with oil for a meal offering;|Lễ-vật của người là một cái đĩa bạc nặng một trăm ba mười siếc-lơ, một cái chậu bạc nặng bảy chục siếc-lơ, theo siếc-lơ của nơi thánh, cả hai cái đều đầy bột lọc nhồi dầu, dùng về của lễ chay;
One gold spoon of ten shekels, full of spice;|một cái chén vàng nặng mười siếc-lơ, đầy thuốc thơm;
One young ox, one male sheep, one he-lamb of the first year, for a burned offering;|một con bò đực tơ, một con chiên đực, một con chiên con giáp năm, dùng về của lễ thiêu;
One male of the goats for a sin-offering;|một con dê đực dùng về của lễ chuộc tội;
And for the peace-offerings, two oxen, five male sheep, five he-goats, five he-lambs of the first year: this was the offering of Pagiel, the son of Ochran.|và về của lễ thù ân, hai con bò đực, năm con chiên đực, năm con dê đực, và năm con chiên con giáp năm. Đó là lễ vật của Pha-ghi-ên, con trai Oc-ran.
On the twelfth day Ahira, the son of Enan, chief of the children of Naphtali:|Ngày thứ mười hai, đến quan trưởng của con cháu Nép-ta-li, là A-hi-ra, con trai Ê-nan.
His offering was one silver plate, a hundred and thirty shekels in weight, one silver basin of seventy shekels, by the scale of the holy place; the two of them full of the best meal mixed with oil for a meal offering;|Lễ-vật của người là một cái đĩa bạc nặng một trăm ba mươi siếc-lơ, một cái chậu bạc nặng bảy chục siếc-lơ, theo siếc-lơ của nơi thánh, cả hai cái đều đầy bột lọc nhồi dầu, dùng về của lễ chay;
One gold spoon of ten shekels, full of spice;|một cái chén vàng nặng mười siếc-lơ, đầy thuốc thơm;
One young ox, one male sheep, one he-lamb of the first year, for a burned offering;|một con bò đực tơ, một con chiên đực, một con chiên con giáp năm, dùng về của lễ thiêu;
One male of the goats for a sin-offering;|một con dê đực dùng về của lễ chuộc tội;
And for the peace-offerings, two oxen, five male sheep, five he-goats, five he-lambs of the first year: this was the offering of Ahira, the son of Enan.|và về của lễ thù ân, hai con bò đực, năm con chiên đực, năm con dê đực, và năm con chiên con giáp năm. Đó là lễ vật của A-hi-ra, con trai Ê-nan.
These were the offerings given for the altar by the chiefs of Israel, when the holy oil was put on it: twelve silver plates, twelve silver basins, twelve gold spoons;|Ay là những lễ vật của các quan trưởng dân Y-sơ-ra-ên dâng về cuộc khánh thành bàn thờ, khi bàn thờ được xức dầu: Mười hai đĩa bạc, mười hai chậu bạc, mười hai chén vàng;
The weight of every silver plate was a hundred and thirty shekels, and of every basin seventy; the weight of all the silver of the vessels was two thousand and four hundred shekels, by the scale of the holy place;|mỗi cái đĩa bạc nặng một trăm ba mươi siếc-lơ, và mỗi cái chậu bạc nặng bảy chục siếc-lơ. Tổng cộng số bạc của các đĩa và chậu là hai ngàn bốn trăm siếc-lơ, theo siếc-lơ của nơi thánh.
The weight of the twelve gold spoons of spice for burning was ten shekels for every one, by the scale of the holy place; all the gold of the spoons was a hundred and twenty shekels;|Mười hai cái chén vàng đầy thuốc thơm, mỗi cái mười siếc-lơ, theo siếc-lơ của nơi thánh; tổng cộng số vàng của chén nặng được một trăm hai mươi siếc-lơ.
All the oxen, for the burned offering were twelve, the male sheep twelve, the he-lambs of the first year twelve, with their meal offering; and the males of the goats for sin-offering twelve;|Tổng cộng số bò đực về của lễ thiêu là mười hai con, với mười hai con chiên đực, mười hai con chiên con giáp năm cùng những của lễ chay cặp theo, và mười hai con dê đực dùng về của lễ chuộc tội.
And all the oxen for the peace-offerings, twenty-four oxen, the male sheep sixty, and the he-goats sixty, the he-lambs of the first year sixty. This was given for the altar after the holy oil was put on it.|Tổng cộng số bò đực về của lễ thù ân là hai mươi bốn con với sáu mươi con chiên đực, sáu mươi con dê đực, sáu mươi con chiên con giáp năm. Ay là lễ vật dâng về cuộc khánh thành bàn thờ, sau khi bàn thờ được xức dầu rồi.
And when Moses went into the Tent of meeting to have talk with him, then the Voice came to his ears from over the cover which was on the ark of witness, from between the two winged ones. And he had talk with him.|Khi Môi-se vào hội mạc đặng hầu chuyện cùng Đức Giê-hô-va, thì người nghe Tiếng nói cùng mình từ trên nắp thi ân để trên hòm bảng chứng, ở giữa hai chê-ru-bin, người hầu chuyện cùng Đức Giê-hô-va vậy.

					Numbers 8				|
						Dân Số 8					
And the Lord said to Moses,|Đức Giê-hô-va cũng phán cùng Môi-se rằng:
Say to Aaron, When you put the lights in their places, the seven lights will give light in front of the support.|Hãy nói cùng A-rôn: Khi nào người đặt các đèn, thì bảy ngọn đèn phải chiếu trên phía trước chân đèn.
And Aaron did so; he put the lights in their places so that they gave light in front of the support, as the Lord gave orders to Moses.|A-rôn bèn làm như vậy; đặt bảy ngọn đèn trên phía trước chân đèn, y như Đức Giê-hô-va đã phán dặn Môi-se.
The support for the lights was of hammered gold work, from its base to its flowers it was of hammered work; from the design which the Lord had given to Moses, he made the support for the lights.|Vả, chân đèn đã làm theo cách nầy; làm bằng vàng đánh giát, cho đến cái chân và những cái hoa đều đánh giát. Ay vậy, người ta làm chân đèn theo như kiểu mà Đức Giê-hô-va đã chỉ cho Môi-se xem.
And the Lord said to Moses,|Đoạn, Đức Giê-hô-va phán cùng Môi-se rằng:
Take the Levites out from among the children of Israel and make them clean.|Hãy chọn lấy người Lê-vi ở trong vòng dân Y-sơ-ra-ên và dọn cho họ được sạch.
And this is how you are to make them clean: let the holy water which takes away sin be put on them, and let the hair all over their bodies be cut off with a sharp blade, and let their clothing be washed and their bodies made clean.|Nầy là điều ngươi phải làm cho họ được sạch: Ngươi phải rảy nước rửa tội trên mình họ; họ phải cạo hết thảy cùng mình, giặt quần áo, và dọn cho mình được sạch.
Then let them take a young ox and its meal offering, crushed grain mixed with oil, and take another ox for a sin-offering.|Đoạn, họ phải bắt một con bò đực với của lễ chay bằng bột lọc nhồi dầu cặp theo; còn ngươi bắt một con bò đực tơ thứ nhì dùng về của lễ chuộc tội;
And make the Levites come forward in front of the Tent of meeting, and let all the children of Israel come together:|rồi biểu người Lê-vi đến gần trước hội mạc và nhóm cả hội chúng Y-sơ-ra-ên.
And you are to take the Levites before the Lord: and the children of Israel are to put their hands on them:|Vậy, người phải biểu người Lê-vi đến gần trước mặt Đức Giê-hô-va, rồi dân Y-sơ-ra-ên sẽ đặt tay trên mình người Lê-vi.
And Aaron is to give the Levites to the Lord as a wave offering from the children of Israel, so that they may do the Lord's work.|A-rôn sẽ dâng người Lê-vi làm của lễ do phần dân Y-sơ-ra-ên mà đưa qua đưa lại trước mặt Đức Giê-hô-va, và họ sẽ được phần làm công việc của Đức Giê-hô-va.
And the Levites are to put their hands on the heads of the oxen, and one of the oxen is to be offered for a sin-offering and the other for a burned offering to the Lord to take away the sin of the Levites.|Đoạn, người Lê-vi sẽ đặt tay trên đầu hai con bò đực, và ngươi phải dâng con nầy làm của lễ chuộc tội và con kia làm của lễ thiêu cho Đức Giê-hô-va, để làm lễ chuộc tội cho người Lê-vi.
Then the Levites are to be put before Aaron and his sons, to be offered as a wave offering to the Lord.|Kế đó, ngươi phải biểu người Lê-vi đứng trước mặt A-rôn và các con trai người, rồi dâng họ như một của lễ đưa qua đưa lại cho Đức Giê-hô-va.
So you are to make the Levites separate from the children of Israel, and the Levites will be mine.|Như vậy ngươi sẽ biệt riêng ra người Lê-vi với dân Y-sơ-ra-ên, và người Lê-vi sẽ thuộc về ta.
After that, the Levites will go in to do whatever has to be done in the Tent of meeting; you are to make them clean and give them as a wave offering.|Sau việc ấy, người Lê-vi sẽ đến đặng làm công việc của hội mạc. Ay, ngươi sẽ làm cho họ được sạch và dâng như của lễ đưa qua đưa lại vậy.
For they have been given to me from among the children of Israel; in place of every mother's first son, the first to come to birth in Israel, I have taken them for myself.|Bởi vì, giữa dân Y-sơ-ra-ên người Lê-vi ban trọn cho ta; ta đã chọn lấy họ về ta thế cho hết thảy con đầu lòng của dân Y-sơ-ra-ên.
For every mother's first son among the children of Israel is mine, the first male birth of man or beast: on the day when I sent death on all the first sons in the land of Egypt, I made them mine.|Vì chưng hết thảy con đầu lòng trong dân Y-sơ-ra-ên đều thuộc về ta, bất luận người hay vật; ta đã biệt chúng nó riêng ra cho ta trong ngày ta hành hại mọi con đầu lòng tại xứ Ê-díp-tô,
And in place of the first sons among the children of Israel, I have taken the Levites.|và ta đã chọn lấy người Lê-vi thế cho mọi con đầu lòng của dân Y-sơ-ra-ên.
And I have given them to Aaron and to his sons, from among the children of Israel, to undertake for them all the work of the Tent of meeting, and to take away sin from the children of Israel so that no evil may come on them when they come near the holy place.|Bởi trong dân Y-sơ-ra-ên ta đã chọn người Lê-vi ban trọn cho A-rôn và các con trai người, đặng làm công việc của dân Y-sơ-ra-ên ở trong hội mạc, cùng làm lễ chuộc tội cho dân Y-sơ-ra-ên, hầu cho khi họ đến gần nơi thánh, chẳng có tai hại chi trong dân Y-sơ-ra-ên.
All these things Moses and Aaron and the children of Israel did to the Levites; as the Lord gave orders to Moses about the Levites, so the children of Israel did.|Vậy, Môi-se, A-rôn, và cả hội dân Y-sơ-ra-ên, đối cùng người Lê-vi làm hết mọi điều Đức Giê-hô-va đã phán dặn Môi-se về họ; dân Y-sơ-ra-ên đối cùng người Lê-vi đều làm như vậy.
And the Levites were made clean from sin, and their clothing was washed, and Aaron gave them for a wave offering before the Lord; and Aaron took away their sin and made them clean.|Người Lê-vi bèn làm cho mình được sạch khỏi tội, và giặt áo xống mình; rồi A-rôn dâng họ như của lễ đưa qua đưa lại trước mặt Đức Giê-hô-va, và làm lễ chuộc tội cho, để dọn họ được sạch.
And then the Levites went in to do their work in the Tent of meeting before Aaron and his sons: all the orders which the Lord had given Moses about the Levites were put into effect.|Sau rồi, người Lê-vi đến đặng làm công việc mình trong hội mạc trước mặt A-rôn và trước mặt các con trai người. Đối cùng người Lê-vi, người ta làm y như Đức Giê-hô-va đã phán dặn Môi-se về họ.
And the Lord said to Moses,|Đoạn, Đức Giê-hô-va phán cùng Môi-se rằng:
