
					Amos 1				|
You whose joy is in a thing of no value, who say, Have we not taken for ourselves horns by the strength which is ours?|Các ngươi ưa thích sự hư không, và nói rằng: Há chẳng phải nhờ sức mạnh cẩu thả mà chúng ta đã được sừng sao?
For see, I will send against you a nation, O Israel, says the Lord, the God of armies, ruling you cruelly from the way into Hamath as far as the stream of the Arabah.|Giê-hô-va Đức Chúa Trời vạn quân phán: Nầy, hỡi nhà Y-sơ-ra-ên, ta sẽ dấy lên một nước nghịch cùng các ngươi, nó sẽ hà hiếp các ngươi, từ lối vào Ha-mát cho đến khe A-ra-ba.

					Amos 7				|
						A-mốt 7					
This is what the Lord God let me see: and I saw that, when the growth of the late grass was starting, he made locusts; it was the late growth after the king's cutting was done.|Nầy là điều mà Chúa Giê-hô-va khiến ta xem thấy: Nầy, Ngài làm nên những cào cào trong lúc cỏ bắt đầu mọc lại; ấy là cỏ mọc lại sau các kỳ cắt cỏ của vua.
And it came about that after they had taken all the grass of the land, I said, O Lord God, have mercy: how will Jacob be able to keep his place? for he is small.|Khi cào cào đã cắn nuốt cỏ trong đất rồi, ta nói rằng: Hỡi Chúa Giê-hô-va, tôi cầu xin Ngài hãy tha thứ! Gia-cốp há có thể đứng được sao? vì nó là nhỏ.
The Lord, changing his purpose about this, said, It will not be.|Đức Giê-hô-va bèn ăn năn về việc nầy. Đức Giê-hô-va phán rằng: Điều đó sẽ không xảy ra đâu.
This is what the Lord let me see: and I saw that the Lord God sent for a great fire to be the instrument of his punishment; and, after burning up the great deep, it was about to put an end to the Lord's heritage.|Chúa Giê-hô-va cho ta xem thấy như sau nầy: Nầy, Chúa Giê-hô-va khiến lấy lửa mà chống trả. Lửa ấy thiêu nuốt vực lớn, đoạn hầu ăn nuốt đất.
Then said I, O Lord God, let there be an end: how will Jacob be able to keep his place? for he is small.|Bấy giờ ta nói rằng: Hỡi Chúa Giê-hô-va, tôi cầu xin Ngài hãy thôi đi! Gia-cốp há có thể đứng được sao? vì nó là nhỏ.
The Lord, changing his purpose about this, said, And this will not be.|Đức Giê-hô-va bèn ăn năn việc nầy. Chúa Giê-hô-va phán rằng: Điều đó cũng sẽ không xảy đến.
This is what he let me see: and I saw the Lord stationed by a wall made straight by a weighted line, and he had a weighted line in his hand.|Ngài bèn cho ta xem thấy như sau nầy: Nầy, Chúa đứng trên một bức tường thẳng nảy mực, và tay Ngài cầm một dây chuẩn mực.
And the Lord said to me, Amos, what do you see? And I said, A weighted line. Then the Lord said, See, I will let down a weighted line among my people Israel; never again will my eyes be shut to their sin:|Đức Giê-hô-va phán cùng ta rằng: A-mốt, ngươi thấy gì? Ta thưa rằng: Một dây chuẩn mực. Chúa bèn phán: Nầy, ta sẽ đặt dây chuẩn mực giữa dân Y-sơ-ra-ên ta; ta sẽ không còn đi qua nó nữa.
And the high places of Isaac will be unpeopled, and the holy places of Israel will be made waste; and I will come up against the family of Jeroboam with the sword.|Các nơi cao của Y-sác sẽ bị hoang vu, các nơi thánh của Y-sơ-ra-ên sẽ bị hủy phá, và ta sẽ dấy lên dùng gươm đánh nhà Giê-rô-bô-am.
Then Amaziah, the priest of Beth-el, sent to Jeroboam, king of Israel, saying, Amos has made designs against you among the people of Israel: the land is troubled by his words.|Bấy giờ, A-ma-xia, thầy tế lễ của Bê-tên, khiến nói cùng Giê-rô-bô-am là vua Y-sơ-ra-ên rằng: A-mốt tập lập nghịch cùng vua, ở giữa nhà Y-sơ-ra-ên; đất chẳng chịu nổi mọi lời của nó.
For Amos has said, Jeroboam will be put to the sword, and Israel will certainly be taken away as a prisoner out of his land.|Thật vậy, nầy, A-mốt nói rằng: Giê-rô-bô-am sẽ chết bởi gươm, và Y-sơ-ra-ên chắc sẽ bị đày đi làm phu tù khỏi đất mình!
And Amaziah said to Amos, O seer, go in flight into the land of Judah, and there get your living by working as a prophet:|A-ma-xia nói cùng A-mốt rằng: Hỡi kẻ tiên kiến, khá đi khỏi đây. Hãy trốn trong đất Giu-đa, tại đó ăn bánh và nói tiên tri.
But be a prophet no longer at Beth-el: for it is the holy place of the king, and the king's house.|Nhưng chớ cứ nói tiên tri tại Bê-tên nữa; vì ấy là một nơi thánh của vua, và ấy là nhà vua.
Then Amos in answer said to Amaziah, I am no prophet, or one of the sons of the prophets; I am a herdman and one who takes care of sycamore-trees:|A-mốt trả lời cho A-ma-xia rằng: Ta không phải là đấng tiên tri, cũng không phải con đấng tiên tri; nhưng ta là một kẻ chăn, sửa soạn những cây vả rừng.
And the Lord took me from the flock, and the Lord said to me, Go, be a prophet to my people Israel.|Đức Giê-hô-va đã bắt lấy ta từ sau bầy, và Đức Giê-hô-va phán cùng ta rằng: Hãy đi nói tiên tri cho dân Y-sơ-ra-ên ta.
Now then, give ear to the word of the Lord: You say, Be no prophet to Israel, and say not a word against the people of Isaac.|Vả, hãy nghe lời của Đức Giê-hô-va: Ngươi nói rằng: Chớ nói tiên tri nghịch cùng Y-sơ-ra-ên, và đừng nhỏ lời xuống nghịch cùng nhà Y-sác.
So this is what the Lord has said: Your wife will be a loose woman in the town, and your sons and your daughters will be put to the sword, and your land will be cut up into parts by a line; and you yourself will come to your end in an unclean land, and Israel will certainly be taken away a prisoner out of his land.|Cho nên Đức Giê-hô-va phán như vầy: Vợ ngươi sẽ buông dâm trong thành; con trai và con gái ngươi sẽ ngã bởi gươm; đất ngươi sẽ bị chia bởi dây, còn ngươi, ngươi sẽ chết trong một đất ô uế, và Y-sơ-ra-ên chắc sẽ bị đày đi làm phu tù khỏi đất mình.

					Amos 8				|
						A-mốt 8					
This is what the Lord God let me see: and I saw a basket of summer fruit.|Nầy là điều mà Chúa Giê-hô-va cho ta xem thấy: Nầy, có một giỏ trái mùa hạ.
And he said, Amos, what do you see? And I said, A basket of summer fruit. Then the Lord said to me, The end has come to my people Israel; never again will my eyes be shut to their sin.|Bấy giờ Ngài phán rằng: A-mốt, ngươi thấy gì? Ta thưa rằng: Một giỏ trái mùa hạ. Đức Giê-hô-va lại phán cùng ta rằng: Sự cuối cùng đã đến trên dân Y-sơ-ra-ên ta; ta sẽ không vượt qua nó nữa.
And the songs of the king's house will be cries of pain in that day, says the Lord God: great will be the number of the dead bodies, and everywhere they will put them out without a word.|Trong ngày đó, những bài hát trong cung đền sẽ là tiếng khóc than, Chúa Giê-hô-va phán vậy. Sẽ có nhiều xác chết mà người ta làm thinh quăng ra mọi nơi.
Give ear to this, you who are crushing the poor, and whose purpose is to put an end to those who are in need in the land,|Các ngươi là người nuốt những kẻ nghèo nàn, làm hao mòn những kẻ khốn cùng trong đất, hãy nghe điều nầy.
Saying, When will the new moon be gone, so that we may do trade in grain? and the Sabbath, so that we may put out in the market the produce of our fields? making the measure small and the price great, and trading falsely with scales of deceit;|Các ngươi nói rằng: Khi nào trăng mới sẽ qua, cho chúng ta có thể bán lúa miến, và ngày sa-bát qua, đặng chúng ta mở kho lúa mì, mà bớt ê-pha, thêm nặng siếc-lơ, và dùng cân dối giả đặng phỉnh gạt;
Getting the poor for silver, and him who is in need for the price of two shoes, and taking a price for the waste parts of the grain.|đặng chúng ta lấy bạc mua kẻ khốn nạn, lấy một đôi dép mua kẻ nghèo nàn, và bán cho đến lép lừng của lúa mì?
The Lord has taken an oath by the pride of Jacob, Truly I will ever keep in mind all their works.|Đức Giê-hô-va lấy sự vinh hiển của Gia-cốp mà phán lời thề nầy: Ta chắc sẽ chẳng hề quên những việc làm của chúng nó!
Will not the land be shaking with fear because of this, and everyone in it have sorrow? and all of it will be overflowing like the River; and it will be troubled and go down again like the River of Egypt.|Đất há chẳng rúng động về việc đó, hết thảy dân cư nó há chẳng than khóc sao? Trọn cả đất sẽ dậy lên như Sông cái, nó sẽ lung lay và lún xuống như Sông của Ê-díp-tô vậy.
And it will come about in that day, says the Lord God, that I will make the sun go down in the middle of the day, and I will make the earth dark in daylight:|Chúa Giê-hô-va phán: Sẽ xảy ra trong ngày đó, ta sẽ khiến mặt trời lặn đi trong lúc giữa trưa, và khiến đất tối tăm trong giữa ban ngày.
Your feasts will be turned into sorrow and all your melody into songs of grief; everyone will be clothed with haircloth, and the hair of every head will be cut; I will make the weeping like that for an only son, and the end of it like a bitter day.|Ta sẽ đổi ngày lễ các ngươi ra sầu thảm, và hết thảy bài ca tụng các ngươi ra ca thương. Ta sẽ thắt bao gai trên mọi lưng, và làm cho mọi đầu đều sói. Ta sẽ đặt đất nầy trong sự sầu thảm, như là mất con trai một, và sự cuối cùng nó sẽ như ngày đắng cay.
See, the days are coming, says the Lord God, when I will send times of great need on the land, not need of food or desire for water, but for hearing the words of the Lord.|Chúa Giê-hô-va phán: Nầy, những ngày sẽ đến, là khi ta khiến sự đói kém đến trong đất, chẳng phải là đói về bánh, cũng chẳng phải khát về nước, bèn là về nghe lời của Đức Giê-hô-va.
And they will go wandering from sea to sea, and from the north even to the east, running here and there in search of the word of the Lord, and they will not get it.|Bấy giờ chúng nó sẽ đi dông dài từ biển nầy đến biển khác, từ phương bắc đến phương đông; chạy đi đây đi đó đặng tìm lời Đức Giê-hô-va mà không tìm được.
In that day the fair virgins and the young men will be feeble from need of water.|Trong ngày đó, những gái đồng trinh đẹp đẽ và những trai trẻ sẽ mòn mỏi vì khát.
Those who make their oaths by the sin of Samaria and say, By the life of your God, O Dan; and, By the living way of Beer-sheba; even they will go down, never again to be lifted up.|Hết thảy những kẻ chỉ tội lỗi của Sa-ma-ri mà thề rằng: Hỡi Đan, thật như thần ngươi sống! hết thảy những kẻ ấy sẽ ngã xuống, và không dậy được nữa.

					Amos 9				|
						A-mốt 9					
I saw the Lord stationed by the side of the altar, giving blows to the tops of the pillars so that the doorsteps were shaking: and he said, I will let all of them be broken with earth-shocks; I will put the last of them to the sword: if any one of them goes in flight he will not get away, not one of them will be safe.|Ta thấy Chúa đứng gần bàn thờ và phán rằng: Hãy đánh các đầu cột, hầu cho những ngạch cửa bị rúng động; hãy đập bể ra trên đầu hết thảy chúng nó! Kẻ nào sót lại trong chúng nó thì ta sẽ giết bằng gươm, không một người nào trốn được, không một người nào lánh khỏi.
Even if they go deep into the underworld, my hand will take them up from there; if they go up to heaven, I will get them down:|Dầu chúng nó đào đến âm phủ, tay ta cũng sẽ móc chúng nó ra; dầu chúng nó trèo lên trên trời, ta cũng sẽ làm cho chúng nó từ đó xuống.
Though they take cover on the top of Carmel, I will go in search of them and get them out; though they keep themselves from my eyes in the bed of the sea, I will give orders to the great snake there and he will give them a bite:|Dầu chúng nó ẩn mình nơi chót núi Cạt-mên, ta cũng sẽ đi tìm đặng kéo chúng nó ra; dầu chúng nó lánh khuất mắt ta nơi đáy biển, ta cũng sẽ rắn cắn chúng nó tại đó.
And though they are taken away as prisoners by their attackers, even there will I give orders to the sword to put them to death: my eyes will be fixed on them for evil and not for good.|Ví bằng chúng nó đi làm phu tù trước mặt kẻ thù nghịch mình, ở đó ta cũng sẽ sai gươm giết chúng nó đi. Thật, ta để mắt trên chúng nó đặng làm họa cho, chẳng phải để làm phước cho.
For the Lord, the God of armies, is he at whose touch the land is turned to water, and everyone in it will be given up to sorrow; all of it will be overflowing like the River, and will go down again like the River of Egypt;|Vì Chúa, Đức Giê-hô-va vạn quân, là Đấng rờ đến đất thì đất liền tan chảy, hết thảy dân cư nó khóc than; trọn cả đất dậy lên như Sông cái và lún xuống như Sông của Ê-díp-tô.
It is he who makes his rooms in the heaven, basing his arch on the earth; whose voice goes out to the waters of the sea, and sends them flowing over the face of the earth; the Lord is his name.|Chúa đã xây dựng cung đền Ngài trong các từng trời, đã lập vòng khung Ngài trên đất. Ngài kêu gọi nước biển và đổ ra trên mặt đất. Danh Ngài là Đức Giê-hô-va.
Are you not as the children of the Ethiopians to me, O children of Israel? says the Lord. Have I not taken Israel up out of the land of Egypt, and the Philistines from Caphtor, and the Aramaeans from Kir?|Đức Giê-hô-va có phán: Hỡi con cái Y-sơ-ra-ên, ta há chẳng coi các ngươi như con cái của Ê-thi-ô-bi sao? Ta há chẳng từng đem Y-sơ-ra-ên ra khỏi đất Ê-díp-tô, người Phi-li-tin khỏi Cáp-tô, và người Sy-ri khỏi Ki-rơ, hay sao?
See, the eyes of the Lord are on the evil kingdom, and I will put an end to it in all the earth; but I will not send complete destruction on Jacob, says the Lord.|Nầy, con mắt Chúa Giê-hô-va để trên nước có tội nầy, và ta sẽ hủy phá nó khỏi mặt đất; nhưng ta sẽ không diệt sạch nhà Gia-cốp, Đức Giê-hô-va phán vậy.
For see, I will give orders, and I will have Israel moved about among all the nations, as grain is moved about by the shaking of the tray, but not the smallest seed will be dropped on the earth.|Vì nầy, ta sẽ truyền lịnh, và sẽ rải tan nhà Y-sơ-ra-ên ra giữa mọi dân, như lúa mì bị rải tan trong cái sàng, mà không có một hột nào rơi xuống đất.
All those sinners among my people will be put to the sword who say, Evil will not overtake us or come face to face with us.|Phải, phàm những kẻ có tội trong dân ta, phàm những kẻ nói rằng: Hoạn nạn sẽ không gần chúng ta, cũng không kịp đến chúng ta, thì chúng nó sẽ chết bởi gươm.
In that day I will put up the tent of David which has come down, and make good its broken places; and I will put up again his damaged walls, building it up as in the past;|Trong ngày đó, ta sẽ dựng lại nhà tạm của Đa-vít, là nhà đã đổ, và tu bổ lại những chỗ rách nát của nó. Ta sẽ dựng lại những nơi đổ nát và xây nó lại như ngày xưa;
So that the rest of Edom may be their heritage, and all the nations who have been named by my name, says the Lord, who is doing this.|đến nỗi chúng nó sẽ thâu được những dân sót của Ê-đôm và hết thảy các nước được xưng bởi danh ta, Đức Giê-hô-va là Đấng làm trọn mọi điều ấy phán vậy.
See, the days will come, says the Lord, when the ploughman will overtake him who is cutting the grain, and the crusher of the grapes him who is planting seed; and sweet wine will be dropping from the mountains, and the hills will be turned into streams of wine.|Đức Giê-hô-va phán: Nầy, những ngày đến, kẻ cày sẽ theo kịp kẻ gặt, kẻ đạp nho theo kịp kẻ gieo giống. Các núi sẽ nhỏ rượu ngọt ra và mọi đồi sẽ tan chảy.
And I will let the fate of my people Israel be changed, and they will be building up again the waste towns and living in them; they will again be planting vine-gardens and taking the wine for their drink; and they will make gardens and get the fruit of them.|Ta sẽ đem phu tù của dân Y-sơ-ra-ên ta trở về; chúng nó sẽ lập lại các thành bị phá, và ở đó. Chúng nó sẽ trồng vườn nho và uống rượu nó, sẽ cày cấy vườn mình và ăn trái nó.
And I will have them planted in their land, and never again will they be uprooted from their land which I have given them, says the Lord your God.|Ta sẽ lại trồng chúng nó trên đất chúng nó, và chúng nó sẽ không hề bị nhổ khỏi đất mình mà ta đã ban cho, Đức Giê-hô-va là Đức Chúa Trời ngươi phán vậy.
