
					I Kings 1				|
He it was who made the two brass pillars; the first pillar was eighteen cubits high, and a line of twelve cubits went round it; and the second was the same.|Người làm hai cây trụ bằng đồng, cây thứ nhất cao mười tám thước, và một sợi dây mười hai thước đo bề tròn của cây thứ nhì.
And he made the two crowns to be put on the tops of the pillars, of brass made soft in the fire; the crowns were five cubits high.|Người đúc hai đầu trụ bằng đồng, đặt nó trên chót trụ, bề cao đầu trụ này là năm thước.
There were nets of open-work for the crowns on the tops of the pillars, a net of open-work for one and a net of open-work for the other.|Những mặt võng xe lại và những dây hoa trèo như chuyền nhỏ trang điểm đầu trụ đặt ở trên chót trụ; có bảy dây hoa cho đầu trụ này, và bảy dây hoa cho đầu trụ kia.
And he made ornaments of apples; and two lines of apples all round over the network, covering the crowns of the pillars, the two crowns in the same way.|Hi-ram vấn chung quanh mặt võng này hai hàng trái lựu đặng trang sức cho đầu trụ này, và cũng làm như vậy cho đầu kia.
The crowns on the tops of the pillars were ornamented with a design of flowers, and were four cubits across.|Những đầu trụ ở trên các cây trụ trong hiên cửa, đều có hoa huệ ở chót, cao bốn thước.
And there were crowns on the two pillars near the round part by the network, and there were two hundred apples in lines round every crown.|Những đầu trụ ở trên trụ nẩy ra liền thân trên nơi hầu bên phía kia mặt võng: có hai trăm trái lựu sắp hai hàng vòng chung quanh hai đầu trụ.
He put up the pillars at the doorway of the Temple, naming the one on the right Jachin, and that on the left Boaz.|Hi-ram dựng những cây trụ trong hiên cửa đền thờ. Người dựng cây trụ bên hữu, và đặt tên là Gia-kin; đoạn dựng cây trụ bên tả, đặt tên là Bô-ách.
The tops of the pillars had a design of flowers; and the work of making the pillars was complete.|Trên chót trụ, thì chế hình hoa huệ. Công việc làm những cây trụ đều hoàn thành là như vậy.
And he made a great metal water-vessel ten cubits across from edge to edge, five cubits high and thirty cubits round.|Người cũng làm biển đúc, hình tròn, cao năm thước; từ mép này đến mép kia có mười thước, một sợi dây ba mươi thước đo vòng tròn của nó.
And under the edge of it, circling it all round for ten cubits, were two lines of flower buds, made together with it from liquid metal.|Dưới mép biển có hai hàng dưa ác vây chung quanh, cứ mỗi thước mười trái, đúc liền một với biển.
It was supported on twelve oxen, with their back parts turned to the middle of it, three of them facing to the north, three to the west, three to the south, and three to the east; the vessel was resting on top of them.|Biển để kê trên mười hai con bò, ba con hướng về bắc, ba con hướng về tây, ba con hướng về nam, và ba con hướng về đông. Biển thì đặt trên lưng các con bò ấy, và phía sau thân con bò đều xây vào trong.
It was as thick as a man's open hand, and was curved like the edge of a cup, like the flower of a lily: it would take two thousand baths.|Biển đầy một gang tay và mép làm giống mép chén và cách như bông huệ; nó đựng hai ngàn bát.
And he made ten wheeled bases of brass; every one four cubits long, four cubits wide, and three cubits high.|Người cũng làm mười viên táng đồng, mỗi viên bốn thước bề dài, bốn thước bề ngang, và ba thước bề cao.
And the bases were made in this way; their sides were square, fixed in a framework;|Các viên táng làm cách này: Có những miếng trám đóng vào khuông.
And on the square sides between the frames were lions, oxen, and winged ones; and the same on the frame; and over and under the lions and the oxen and the winged ones were steps.|Trên các trám đóng vào khuông này có hình sư tử, bò, và chê-ru-bin; nơi triêng trên, cũng có như vậy. Còn nơi triêng dưới sư tử và bò, có những dây hoa thòng.
Every base had four wheels of brass, turning on brass rods, and their four angles had angle-plates under them; the angle-plates under the base were of metal, and there were ornaments at the side of every one.|Mỗi viên táng có bốn bánh xe đồng với cốt đồng, và nơi bốn góc có những cái đế đúc để chịu cái chậu và những dây hoa ở bên mỗi cái đế.
The mouth of it inside the angle-plate was one cubit across; it was round like a pillar, a cubit and a half across; it had designs cut on it; the sides were square, not round.|Giữa viên táng trên đầu trụ có một miệng tròn sâu một thước, và rộng một thước rưỡi. Cái miệng này cũng có hình chạm trổ. Còn các miếng trám thì vuông, chớ không phải tròn.
The four wheels were under the frames, and the rods on which the wheels were fixed were in the base; the wheels were a cubit and a half high.|Bốn bánh xe đều ở dưới những miếng trám; và xác cốt bánh xe thì đóng vào viên táng. Mỗi bánh xe cao một thước rưỡi.
The wheels were made like carriage-wheels, the rods on which they were fixed, the parts forming their edges, their rods and the middle points of them, were all formed out of liquid metal.|Bánh làm như bánh của cái cộ: Trục, vành, căm, và tum nó, đều đúc cả.
And there were four angle-plates at the four angles of every base, forming part of the structure of the base.|Có bốn con bọ ở nơi bốn góc của mỗi viên táng và liền với táng.
And at the top of the base there was a round vessel, half a cubit high;|Đầu viên táng hình tròn nhọn, và cao nửa thước; nó cũng có biên và trám.
In the spaces of the flat sides and on the frames of them, he made designs of winged ones, lions, and palm-trees, with ornamented edges all round.|Trên mặt biên và trám của đế, tại nơi trống của mỗi biên và trám chừa ra, Hi-ram chạm những chê-ru-bin, sư tử, cây chà là, và dây hoa chung quanh.
All the ten bases were made in this way, after the same design, of the same size and form.|Người theo kiểu này mà làm mười viên táng, đúc một thứ, một cỡ, và một dáng với nhau.
And he made ten brass washing-vessels, everyone taking forty baths, and measuring four cubits; one vessel was placed on every one of the ten bases.|Người cũng làm mười cái thùng bằng đồng, mỗi cái chứa bốn mươi bát. Mỗi thùng có bốn thước và để trên một táng của mười cái thùng bằng đồng, mỗi cái chứa bốn mươi bát. Mỗi thùng có bốn thước và để trên một táng của mười cái táng.
And he put the bases by the house, five on the right side and five on the left; and he put the great water-vessel on the right side of the house, to the east, facing south.|Người sắp đặt táng như vầy: băm cái về bên hữu đền, và năm cái về bên tả. Còn biển, người để nơi bên hữu đền, về hướng nam đông.
And Hiram made the pots and spades and the basins. So Hiram came to the end of all the work he did for King Solomon in the house of the Lord:|Người cũng làm chảo, vá, và ảng. Vậy, Hi-ram làm xong mọi công việc cho Sa-lô-môn trong đền của Đức Giê-hô-va:
The two pillars and the two cups of the crowns which were on the tops of the two pillars; and the network covering the two cups of the crowns on the tops of the pillars,|tức là hai cây trụ, hai đầu trụ tròn trên đỉnh trụ, hai tấm mặt võng bao hai đầu trụ tròn, luôn với đỉnh trụ;
And the four hundred apples for the network, two lines of apples for every network, covering the two cups of the crowns on the pillars;|bốn trăm trái lựu sắp hai hàng vòng chung quanh mặt võng bao hai đầu trụ tròn nơi đỉnh trụ;
And the ten bases, with the ten washing-vessels on them;|mười viên táng và mười cái bồn trên táng;
And the great water-vessel, with the twelve oxen under it;|biển đúc nguyên miếng một và mười hai con bò để dưới biển;
And the pots and the spades and the basins; all the vessels which Hiram made for King Solomon, for the house of the Lord, were of polished brass.|chảo, vá, và ảng. Các khí dụng này mà Hi-ram làm cho Sa-lô-môn trong đền Đức Giê-hô-va, đều bằng đồng đánh bóng.
He made them of liquid metal in the lowland of Jordan, at the way across the river, at Adama, between Succoth and Zarethan.|Vua biểu đúc các vật đó tại đống bằng Giô-đanh, trong một nơi đất sét, giữa Su-cốt, và Sát-than.
The weight of all these vessels was not measured, because there was such a number of them; it was not possible to get the weight of the brass.|Sa-lô-môn không cân một món nào trong các khí dụng ấy, bởi vì nhiều quá; người không xét sự nặng của đồng.
And Solomon had all the vessels made for use in the house of the Lord: the altar of gold and the gold table on which the holy bread was placed;|Sa-lô-môn lại làm những khí dụng cho đền Đức Giê-hô-va: là bàn thờ vàng, những bàn bằng vàng, để bánh trần thiết;
And the supports for the lights, five on the right side and five on the left before the inmost room, of clear gold; and the flowers and the lights and all the instruments of gold;|chơn đèn bằng vàng ròng đặt trước nơi chí thánh, năm cái ở bên hữu và năm cái ở bên tả cùng hoa, thếp đèn, và cái nỉa bằng vàng;
And the cups and the scissors and the basins and the spoons and the fire-trays, all of gold; and the pins on which the doors were turned, the doors of the inner house, the most holy place, and the doors of the Temple, all of gold.|những chén, dao, muỗng, và đồ đựng tro bằng vàng ròng; những chốt cửa hoặc dùng cho cửa của nhà phía trong, hoặc nơi chí thánh, hay là dùng cho cửa của đền thờ, thì đều bằng vàng.
So all the work King Solomon had done in the house of the Lord was complete. Then Solomon took the holy things which David his father had given, the silver and the gold and all the vessels, and put them in the store-houses of the house of the Lord.|Các công việc mà Sa-lô-môn làm cho nhà Đức Giê-hô-va, đều được hoàn thành là như vậy. Đoạn, Sa-lô-môn sai đem các vật mà Đa-vít, ca người, đã biệt ra thánh, tức là bạc, vàng, các thứ khí dụng, và để trong kho tàng của đền Đức Giê-hô-va.

					I Kings 8				|
						I Các Vua 8					
Then Solomon sent for all the responsible men of Israel, and all the chiefs of the tribes, and the heads of families of the children of Israel, to come to him in Jerusalem to take the ark of the Lord's agreement up out of the town of David, which is Zion.|Bấy giờ, Sa-lô-môn vời đến mình, ở tại Giê-ru-sa-lem, các trưởng lão Y-sơ-ra-ên, hết thảy các quan trưởng của chi phái, và những trưởng tộc của Y-sơ-ra-ên, đặng rước hòm giao ước của Đức Giê-hô-va từ thành của Đa-vít, tức là Si-ôn.
And all the men of Israel came together to King Solomon at the feast, in the month Ethanim, the seventh month.|Trong lúc lễ, nhằm tháng Ê-tha-ninh, là tháng bảy, hết thảy người nam của Y-sơ-ra-ên đều nhóm lại cùng vua Sa-lô-môn.
And all the responsible men of Israel came, and the priests took up the ark.|Khi các trưởng lão Y-sơ-ra-ên đã đến, thì những thầy tế lễ lấy hòm của Đức Giê-hô-va,
They took up the ark of the Lord, and the Tent of meeting, and all the holy vessels which were in the Tent; all these the priests and the Levites took up.|dời đi luôn với Đền tạm. Những thầy tế lễ và người Lê-vi khiêng các đồ đó lên.
And King Solomon and all the men of Israel who had come together there, were with him before the ark, making offerings of sheep and oxen more than might be numbered.|Vua Sa-lô-môn và cả hội chúng Y-sơ-ra-ên đã hiệp với người, và đứng trước hòm, giết bò và chiên làm của lễ rất nhiều, không thế đếm được.
And the priests took the ark of the agreement of the Lord and put it in its place in the inner room of the house, in the most holy place, under the wings of the winged ones.|Những thầy tế lễ đem hòm giao ước của Đức Giê-hô-va đến nơi nó, trong nơi chí thánh, dưới cánh chê-ru-bin.
For their wings were outstretched over the place where the ark was, covering the ark and its rods.|Vì các chê-ru-bin giương cánh ra trên nơi để hòm, che thân trên hòm và các đòn khiêng.
The rods were so long that their ends were seen from the holy place, in front of the inmost room; but they were not seen from outside: and there they are to this day.|Các đòn khiêng dài, đến nỗi người ta, từ nơi thánh ở trước nơi chí thánh, có thể thấy được, nhưng ở ngoài thì chẳng thấy. Các đòn ấy ở đó cho đến ngày nay.
There was nothing in the ark but the two flat stones which Moses put there at Horeb, where the Lord made an agreement with the children of Israel when they came out of the land of Egypt.|Trong hòm chỉ có hai bảng đá mà Môi-se đã để, tại núi Hô-rếp, khi Đức Giê-hô-va lập giao ước với dân Y-sơ-ra-ên, lúc họ ra khỏi xứ Ê-díp-tô.
Now when the priests had come out of the holy place, the house of the Lord was full of the cloud,|Xảy ra khi những thầy tế lễ đã ra khỏi nơi thành, bèn có mây đầy dẫy nhà của Đức Giê-hô-va,
So that the priests were not able to keep their places to do their work because of the cloud, for the house of the Lord was full of the glory of the Lord.|đến nỗi những thầy tế lễ vì có mây ấy không thể đứng đó mà hầu việc được, vì sự vinh quang của Đức Giê-hô-va đầy dẫy đền của Đức Giê-hô-va.
Then Solomon said, O Lord, to the sun you have given the heaven for a living-place, but your living-place was not seen by men;|Bấy giờ, Sa-lô-môn nguyện rằng: Đức Giê-hô-va có phán rằng Ngài ngự trong nơi tối tăm mờ mịt.
So I have made for you a living-place, a house in which you may be for ever present.|Hỡi Đức Chúa Trời! tôi đã cất xong một cái đền dùng làm nơi ngự của Ngài, tức một nơi Ngài ở đời đời.
Then, turning his face about, the king gave a blessing to all the men of Israel; and they were all on their feet together.|Đoạn, vua xây lại, và chúc phước cho hội chúng Y-sơ-ra-ên. Cả hội chúng Y-sơ-ra-ên đều đứng.
And he said, Praise be to the Lord, the God of Israel, who himself gave his word to David my father, and with his strong hand has made his word come true, saying,|Người nói rằng: Đáng ngợi khen Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên, vì từ miệng Ngài có phán hứa với Đa-vít, cha ta, và bởi tay Ngài đã làm ứng nghiệm lời ấy; Ngài phán rằng:
From the day when I took my people Israel out of Egypt, no town in all the tribes of Israel has been marked out by me for the building of a house for the resting-place of my name; but I made selection of David to be king over my people Israel.|Từ ngày ta đã đem Y-sơ-ra-ên ta ra khỏi Ê-díp-tô, ta không chọn thành nào trong các chi phái Y-sơ-ra-ên đặng cất tại đó một cái nhà cho danh ta ngự; nhưng ta đã chọn Đa-vít để người trị vì dân Y-sơ-ra-ên ta.
Now it was in the heart of David my father to put up a house for the name of the Lord, the God of Israel.|Vả, Đa-vít, cha ta, có ý cất một cái đền cho danh Giê-hô-va, là Đức Chúa Trời của Y-sơ-ra-ên.
But the Lord said to David my father, You did well to have in your heart the desire to make a house for my name;|Nhưng Đức Giê-hô-va có phán với Đa-vít, cha ta, rằng: Khi ngươi có ý xây đền cho danh ta, thì lấy làm thậm phải;
But you yourself will not be the builder of my house; but your son, the offspring of your body, he it is who will put up a house for my name.|song ngươi sẽ chẳng cất đền ấy đâu, bèn là con trai ngươi, do lòng ngươi sanh ra, sẽ cất đền cho danh ta.
And the Lord has made his word come true; for I have taken my father David's place on the seat of the kingdom of Israel, as the Lord gave his word; and I have made a house for the name of the Lord, the God of Israel.|Vậy, Đức Giê-hô-va đã làm ứng nghiệm lời Ngài phán; vì ta kế vị Đa-vít, cha ta, ngồi trên ngôi Y-sơ-ra-ên, y như Đức Giê-hô-va đã hứa, và ta đã cất đền này cho danh Giê-hô-va, là Đức Chúa Trời của Y-sơ-ra-ên.
In it I have made a place for the ark, in which is the agreement which the Lord made with our fathers, when he took them out of the land of Egypt.|Tại đó, ta đã dọn một chỗ để hòm; trong hòm có sự giao ước mà Ngài đã lập với tổ phụ chúng ta, khi Ngài đem họ ra khỏi xứ Ê-díp-tô.
Then Solomon took his place before the altar of the Lord, all the men of Israel being present, and stretching out his hands to heaven,|Kế đó, Sa-lô-môn đứng trước bàn thờ của Đức Giê-hô-va, đối mặt cả hội chúng Y-sơ-ra-ên, bèn giơ tay lên trời, mà rằng:
Said, O Lord, the God of Israel, there is no God like you in heaven or on the earth; keeping faith and mercy unchanging for your servants, while they go in your ways with all their hearts.|Lạy Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên! hoặc trên trời cao kia, hoặc dưới đất thấp này, chẳng có một thần nào giống như Chúa. Chúa giữ sự giao ước và lòng nhơn từ với kẻ tôi tớ Chúa, là kẻ nào hết lòng đi ở trước mặt Chúa.
And you have kept the word which you gave to your servant David, my father; with your mouth you said it and with your hand you have made it come true this day.|Đối cùng tôi tớ Chúa, là Đa-vít, cha tôi, Chúa có giữ lời Ngài đã hứa với người. Thật, hễ điều chi miệng Chúa phán, thì tay Chúa đã làm hoàn thành, y như chúng tôi thấy ngày nay.
So now, O Lord, the God of Israel, let your word to your servant David, my father, come true, when you said, You will never be without a man to take his place on the seat of the kingdom of Israel before me, if only your children give attention to their ways, walking before me as you have done.|Vậy, hỡi Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên! ngày nay xin làm trọn lời Chúa đã hứa cùng tôi tớ Chúa, là Đa-vít, cha tôi, rằng: Nếu con cháu ngươi cẩn thận các đường lối mình, đi ở trước mặt ta, y như ngươi đã đi, thì trước mặt ta sẽ chẳng hề thiếu một kẻ hậu tự ngươi đặng ngồi trên ngôi nước Y-sơ-ra-ên đâu.
So now, O God of Israel, it is my prayer that you will make your word come true which you said to your servant David, my father.|Hỡi Đức Chúa Trời của Y-sơ-ra-ên! xin hãy làm cho ứng nghiệm lời Chúa đã hứa cùng kẻ tôi tớ Chúa, là Đa-vít, cha tôi.
But is it truly possible that God may be housed on earth? see, heaven and the heaven of heavens are not wide enough to be your resting-place; how much less this house which I have made!|Nhưng quả thật rằng Đức Chúa Trời ngự trên đất này chăng? Kìa, trời, dầu đến đỗi trời của các từng trời chẳng có thể chứa Ngài được thay, phương chi cái đền này tôi đã cất!
Still, let your heart be turned to the prayer of your servant, O Lord God, and to his prayer for grace; give ear to the cry and the prayer which your servant sends up to you this day;|Dầu vậy, hỡi Giê-hô-va Đức Chúa Trời tôi! xin hãy đoái đến lời cầu nguyện và sự nài xin của kẻ tôi tớ Chúa. đặng nghe tiếng kêu cầu và khẩn nguyện mà kẻ tôi tớ Chúa cầu trước mặt Chúa ngày nay.
That your eyes may be open to this house night and day, to this place of which you have said, My name will be there; hearing the prayer which your servant may make, turning to this place.|Nguyện mắt của Chúa ngày và đêm đoái xem nhà nầy, là chỗ mà Chúa đã phán rằng: Danh ta sẽ ngự tại đó, đặng nghe lời cầu nguyện của tôi tớ Chúa hướng nơi này mà cầu.
Give ear to the prayers of your servant, and the prayers of your people Israel, when they make their prayers, turning to this place; give ear in heaven your living-place, and hearing, have mercy.|Phàm điều gì tôi tớ Chúa và dân Y-sơ-ra-ên của Chúa sẽ hướng về nơi này mà khẩn cầu, xin Chúa hãy dủ nghe; phải, ở nơi ngự của Chúa, tại trên các từng trời, xin Chúa dủ nghe, nhậm lời, và tha thứ cho.
If a man does wrong to his neighbour, and has to take an oath, and comes before your altar to take his oath in this house:|Khi ai phạm tội cùng kẻ lân cận mình, và người ta bắt đi đó phải thề, nếu người đến thề trước bàn thờ của Chúa, tại trong đền này,
Then let your ear be open in heaven, and be the judge of your servants, giving your decision against the wrongdoer, so that punishment for his sins may come on his head; and, by your decision, keeping from evil him who has done no wrong.|thì xin Chúa ở trên trời hãy nghe, đối đãi và xét đoán tôi tớ Chúa, mà lên án cho kẻ dữ, khiến đường lối nó đổ lại trên đầu nó, và xưng công bình cho người công bình, và thưởng ngươi tùy theo sự công bình của người.
When your people Israel are overcome in war, because of their sin against you; if they are turned to you again, honouring your name, making prayers to you and requesting your grace in this house:|Khi dân Y-sơ-ra-ên của Chúa, vì cớ phạm tội với Chúa, bị kẻ tù nghịch đánh được; nếu chúng nó trở lại với Chúa, nhận biết danh Ngài và cầu nguyện nài xin với Chúa trong đền này,
Then give ear in heaven, and let the sin of your people Israel have forgiveness, and take them back again into the land which you gave to their fathers.|thì xin Chúa ở trên trời hãy dủ nghe, tha tội cho dân Y-sơ-ra-ên của Chúa, và khiến họ trở về đất mà Chúa đã ban cho tổ phụ họ.
When heaven is shut up and there is no rain, because of their sin against you; if they make prayers with their faces turned to this place, honouring your name and turning away from their sin when you send trouble on them:|Nếu các từng trời bị đóng chặt, không có mưa, bởi vì chúng nó đã phạm tội với Chúa, nếu chúng nó hướng về nơi này mà cầu nguyện, nhận biết danh Chúa, xây bỏ tội lỗi mình, sau khi Chúa đã đoán phạt họ,
Then give ear in heaven, so that the sin of your servants, and of your people Israel, may have forgiveness, when you make clear to them the good way in which they are to go; and send rain on your land which you have given to your people for their heritage.|thì xin Chúa ở trên trời hãy dủ nghe, tha tội cho các tôi tớ Chúa, và cho dân Y-sơ-ra-ên của Ngài. Xin hãy chỉ cho họ con đường thiện mà họ phải đi, và giáng mưa trên đất của Chúa đã ban cho dân Ngài làm sản nghiệp.
If there is no food in the land, or if there is disease, or if the fruits of the earth are damaged through heat or water, locust or worm; if their towns are shut in by their attackers; whatever trouble, whatever disease there may be:|Khi trong xứ xảy có đói kém, ôn dịch, hạn hán, ten sét, cào cào, châu chấu, hoặc có quân thù nghịch vây các thành của địa phận họ, hay là có tai vạ chi, tật bịnh gì;
Whatever prayer or request for your grace is made by any man, or by all your people Israel, whatever his trouble may be, whose hands are stretched out to this house:|nếu có một người hoặc cả dân Y-sơ-ra-ên của Chúa, ai nấy đã nhận biết tai họa của lòng mình, mà giơ tay ra hướng về đền này, và cầu nguyện, khẩn xin vô luận điều gì,
Give ear in heaven your living-place, acting in mercy; and give to every man whose secret heart is open to you, the reward of all his ways; for you, and you only, have knowledge of the hearts of all the children of men:|thì xin Chúa ở trên trời, là nơi Chúa ngự, dủ nghe, và tha thứ cho, đối đãi, báo ứng mỗi người tùy theo công việc họ, vì Chúa thông biết lòng của họ ,
So that they may give you worship all the days of their life in the land which you gave to our fathers.|để khiến họ kính sợ Chúa trọn đời họ sống ở trên đất mà Chúa đã ban cho tổ phụ chúng tôi.
And as for the man from a strange land, who is not of your people Israel; when he comes from a far country because of the glory of your name:|Vả lại, về khách lạ, là người chẳng thuộc về dân Y-sơ-ra-ên của Chúa, nhưng vì danh Ngài từ xứ xa đến
(For they will have news of your great name and your strong hand and your out-stretched arm;) when he comes to make his prayer, turning to this house:|, khi người đến cầu nguyện trong nhà này,
Give ear in heaven your living-place, and give him his desire, whatever it may be; so that all the peoples of the earth may have knowledge of your name, worshipping you as do your people Israel, and that they may see that this house which I have put up is truly named by your name.|xin Chúa ở trên trời, là nơi Chúa ngự, dủ nghe và làm theo mọi điều người khách lạ sẽ cầu xin Chúa để cho muôn dân của thế gian nhận biết danh Chúa, kính sợ Chúa, y như dân Y-sơ-ra-ên của Ngài, và cho biết rằng danh Chúa xưng ra trên đền này mà tôi đã xây cất.
If your people go out to war against their attackers, by whatever way you may send them, if they make their prayer to the Lord, turning their faces to this town of yours and to this house which I have made for your name:|Khi dân của Chúa đi chiến trận cùng quân thù nghịch mình, theo con đường Chúa đã sai đi, nếu họ cầu khẩn Đức Giê-hô-va xây mặt hướng về thành Chúa đã chọn, và về đền tôi đã cất cho danh Ngài,
Give ear in heaven to their prayer and their cry for grace, and see right done to them.|thì xin Chúa ở trên trời, hãy dủ nghe các lời cầu nguyện nài xin của chúng, và binh vực quyền lợi cho họ.
If they do wrong against you, (for no man is without sin,) and you are angry with them and give them up into the power of those who are fighting against them, so that they take them away as prisoners into a strange land, far off or near;|Khi chúng nó phạm tội cùng Chúa  và Chúa nổi giận, phó chúng nó cho kẻ thù nghịch; khi họ bị bắt làm phu tù đến xứ của kẻ thù nghịch, hoặc xa hoặc gần,
And if they take thought, in the land where they are prisoners, and are turned again to you, crying out in prayer to you in that land, and saying, We are sinners, we have done wrong, we have done evil;|ví bằng trong xứ mà họ bị tù, họ nghĩ lại, ăn năn, và nài xin Chúa mà rằng: "Chúng tôi có phạm tội, làm điều gian ác, và cư xử cách dữ tợn;"
And with all their heart and soul are turned again to you, in the land of those who took them prisoners, and make their prayer to you, turning their eyes to this land which you gave to their fathers, and to the town which you took for yourself, and the house which I made for your name:|nhược bằng tại trong xứ mà thù nghịch đã dẫn họ đến làm phu tù, họ hết lòng hết ý trở lại cùng Chúa, cầu nguyện cùng Ngài, mặt hướng về xứ mà Chúa đã ban cho tổ phụ họ, về thành mà Chúa đã chọn, và về đền mà tôi đã xây cất cho danh Chúa,
Then give ear to their prayer and to their cry in heaven your living-place, and see right done to them;|thì xin Chúa ở trên trời, tức nơi Chúa ngự, hãy dủ nghe lời cầu nguyện nài xin của họ, và binh vực quyền nài xin của họ, và binh vực quyền lợi cho họ;
Answering with forgiveness the people who have done wrong against you, and overlooking the evil which they have done against you; let those who made them prisoners be moved with pity for them, and have pity on them;|tha cho dân Chúa tội lỗi và các sự trái mạng mà họ đã phạm cùng Ngài; xin Chúa khiến những kẻ bắt họ làm phu tù có lòng thương xót họ,
For they are your people and your heritage, which you took out of Egypt, out of the iron fireplace;|vì dân Y-sơ-ra-ên vốn là dân sự Chúa, cơ nghiệp của Chúa, mà Chúa đã đem ra khỏi Ê-díp-tô, tức khỏi giữa lò sắt.
Let your eyes be open to your servant's prayer for grace and to the prayer of your people Israel, hearing them when their cry comes to you.|Nguyện Chúa đoái xem kẻ tôi tớ Chúa và dân Y-sơ-ra-ên của Ngài, dủ nghe lời cầu nguyện nài xin của họ, mỗi lần họ kêu cầu cùng Chúa.
For you made them separate from all the peoples of the earth, to be your heritage, as you said by Moses your servant, when you took our fathers out of Egypt, O Lord God.|Hỡi Chúa Giê-hô-va ôi! Chúa đã phân cách họ khỏi các dân tộc trên đất, để họ làm cơ nghiệp Chúa, y như Chúa đã phán bởi miệng Môi-se, là tôi tớ Chúa, khi Chúa đem tổ phụ chúng tôi ra khỏi Ê-díp-tô.
Then Solomon, after making all these prayers and requests for grace to the Lord, got up from his knees before the altar of the Lord, where his hands had been stretched out in prayer to heaven;|Khi Sa-lô-môn đã cầu với Đức Giê-hô-va những lời khẩn nguyện nài xin này xong, bèn đứng dậy trước bàn thờ Đức Giê-hô-va, khỏi nơi người đã quì, tay giơ lên trời.
And, getting on his feet, he gave a blessing to all the men of Israel, saying with a loud voice,|Người đứng chúc phước lớn tiếng cho cả hội chúng Y-sơ-ra-ên, mà rằng:
Praise be to the Lord who has given rest to his people Israel, as he gave them his word to do; every word of all his oath, which he gave by the hand of Moses his servant, has come true.|Đáng khen ngợi Đức Giê-hô-va, là Đấng đã ban sự bình yên cho dân Y-sơ-ra-ên của Ngài, tùy theo các lời Ngài đã hứa! Về các lời tốt lành mà Ngài đã cậy miệng Môi-se, kẻ tôi tớ Ngài, phán ra, chẳng có một lời nào không ứng nghiệm.
Now may the Lord our God be with us as he was with our fathers; let him never go away from us or give us up;|Nguyện Giê-hô-va Đức Chúa Trời chúng tôi ở với chúng tôi, như Ngài đã ở cùng tổ phụ chúng tôi, chớ lìa, chớ bỏ chúng tôi;
Turning our hearts to himself, guiding us to go in all his ways, to keep his orders and his laws and his decisions, which he gave to our fathers.|nguyện Ngài giục lòng chúng tôi hướng về Ngài, hầu chúng tôi đi trong mọi đường lối Ngài, giữ những điều răn, luật pháp, và mạng lịnh của Ngài đã truyền cho tổ phụ chúng tôi.
And may these my words, the words of my prayer to the Lord, be before the Lord our God day and night, so that he may see right done to his servant and to his people Israel, day by day as we have need.|Ước gì Giê-hô-va Đức Chúa Trời chúng ta ngày đêm dủ lòng nhớ đến các lời ta đã nài xin trước mặt Ngài, hầu cho tùy việc cần ngày nào theo ngày nấy, Đức Giê-hô-va binh vực quyền lợi của tôi tớ Ngài và của dân Y-sơ-ra-ên;
So that all the peoples of the earth may see that the Lord is God, and there is no other.|hầu cho muôn dân của thế gian biết rằng Giê-hô-va là Đức Chúa Trời, chớ chẳng có ai khác.
Then let your hearts be without sin before the Lord our God, walking in his laws and keeping his orders as at this day.|Vậy, các ngươi khá lấy lòng trọn lành đối với Giê-hô-va Đức Chúa Trời chúng ta, để đi theo luật lệ Ngài và giữ gìn điều răn của Ngài, y như các ngươi đã làm ngày nay.
Now the king, and all Israel with him, were making offerings before the Lord.|Vua và cả Y-sơ-ra-ên đều dâng các của lễ tại trước mặt Đức Giê-hô-va.
And Solomon gave to the Lord for peace-offerings, twenty-two thousand oxen and a hundred and twenty thousand sheep. So the king and all the children of Israel kept the feast of the opening of the Lord's house.|Sa-lô-môn dâng của lễ thù ân cho Đức Giê-hô-va, hai muôn hai ngàn con bò đực và mười hai muôn con chiên. Vua và cả dân Y-sơ-ra-ên đều dự lễ khánh thành đền của Đức Giê-hô-va là như vậy.
The same day the king made holy the middle of the open square in front of the house of the Lord, offering there the burned offering and the meal offering and the fat of the peace-offerings; for there was not room on the brass altar of the Lord for the burned offerings and the meal offerings and the fat of the peace-offerings.|Trong ngày đó, vua biệt riêng ra nơi chính giữa của hành lang ở trước đền thờ của Đức Giê-hô-va, vì tại đó người dâng các của lễ thiêu, của lễ chay, và mỡ về của lễ thù ân; bởi vì bàn thờ bằng đồng để trước đền của Đức Giê-hô-va là nhỏ quá, đựng các của lễ thù ân không đặng.
So Solomon and all Israel with him, a very great meeting, (for the people had come together from the way into Hamath to the river of Egypt,) kept the feast at that time before the Lord our God, for two weeks, even fourteen days.|Trong lúc đó, Sa-lô-môn và cả dân Y-sơ-ra-ên, một hội chúng rất lớn, ở từ miền Ha-mát cho đến khe Ê-díp-tô, hiệp tại trước mặt Giê-hô-va Đức Chúa Trời chúng ta, mà giữ lễ trong bảy ngày, lại bảy ngày khác nữa, cộng mười bốn ngày.
