
					Ecclesiastes 1				|
There is no man on earth of such righteousness that he does good and is free from sin all his days.|Thật, chẳng có người công bình ở trên đất làm điều thiện, mà không hề phạm tội.
Do not give ear to all the words which men say, for fear of hearing the curses of your servant.|Chớ để lòng về mọi lời người ta nói, e ngươi nghe kẻ tôi tớ mình chưởi rủa mình chăng.
Your heart has knowledge how frequently others have been cursed by you.|Vì thường khi lòng ngươi cũng biết mình đã rủa kẻ khác.
All this I have put to the test by wisdom; I said, I will be wise, but it was far from me.|Ta đã lấy sự khôn ngoan nghiệm xét mọi sự ấy; ta nói rằng: Ta sẽ ở khôn ngoan; nhưng sự khôn ngoan cách xa ta.
Far off is true existence, and very deep; who may have knowledge of it?|Vả, điều chi xa quá, điều chi sâu thẩm lắm, ai có thể tìm được?
I gave my mind to knowledge and to searching for wisdom and the reason of things, and to the discovery that sin is foolish, and that to be foolish is to be without one's senses.|Ta lại hết lòng chuyên lo cho hiểu biết, xét nét, kiếm tìm sự khôn ngoan và chánh lý muôn vật, lại cho biết rằng gian ác là dại dột và sự dại dột là điên cuồng.
And I saw a thing more bitter than death, even the woman whose heart is full of tricks and nets, and whose hands are as bands. He with whom God is pleased will get free from her, but the sinner will be taken by her.|Ta tìm thấy một điều cay đắng hơn sự chết, ấy là một người đờn bà có lòng giống như lưới bẫy, tay tợ như dây tói: ai ở đẹp lòng Đức Chúa Trời sẽ thoát khỏi nó; còn kẻ có tội sẽ bị nó vấn lấy.
Look! this I have seen, said the Preacher, taking one thing after another to get the true account,|Kẻ truyền đạo nói: Sau khi xem xét muôn sự từng điều từng vật, đặng tìm chánh lý, thì nầy là điều ta tìm được;
For which my soul is still searching, but I have it not; one man among a thousand have I seen; but a woman among all these I have not seen.|ấy là lòng ta hãy còn tìm mà chưa tìm ra: trong một ngàn người đờn ông ta đã tìm được một người; còn trong cả thảy người đờn bà ta chẳng tìm được một ai hết.
This only have I seen, that God made men upright, but they have been searching out all sorts of inventions.|Nhưng nầy là điều ta tìm được: Đức Chúa Trời đã dựng nên người ngay thẳng; song loài người có tìm kiếm ra lắm mưu kế.

					Ecclesiastes 8				|
						Giảng Sư 8					
Who is like the wise man? and to whom is the sense of anything clear? A man's wisdom makes his face shining, and his hard face will be changed.|Ai sánh được với người khôn ngoan? Ai biết giải nghĩa các vật? Sự khôn ngoan làm cho sáng sủa mắt người, và đổi sắc nghiêm trang đi.
I say to you, Keep the king's law, from respect for the oath of God.|Ta khuyên rằng: Vì cớ lời thề cùng Đức Chúa Trời, khá gìn giữ mạng vua.
Be not quick to go from before him. Be not fixed in an evil design, because he does whatever is pleasing to him.|Chớ vội lui ra khỏi trước mặt người; đừng ghì mài trong sự ác, vì vua làm điều chi đẹp lòng mình.
The word of a king has authority; and who may say to him, What is this you are doing?|Vả lại, lời vua có quyền; ai dám nói với người rằng: Ngươi làm chi?
Whoever keeps the law will come to no evil: and a wise man's heart has knowledge of time and of decision.|Ai tuân theo lịnh người thì chẳng biết sự tai nạn, và lòng người khôn ngoan biết thì thế và phép lệ.
For every purpose there is a time and a decision, because the sorrow of man is great in him.|Vì tuy loài người bị sự tai nạn bối rối nhiều, phàm sự gì cũng có thì thế và phép lệ.
No one is certain what is to be, and who is able to say to him when it will be?|Vì người chẳng biết điều chi sẽ xảy đến; ai có thế nói trước được các việc được xảy ra làm sao?
No man has authority over the wind, to keep the wind; or is ruler over the day of his death. In war no man's time is free, and evil will not keep the sinner safe.|Chẳng có ai cai trị được sanh khí để cầm sanh khí lại; lại chẳng ai có quyền về ngày chết; trong khi tranh chiến chẳng có sự miễn thứ; sự gian ác nào cứu được kẻ làm ra nó.
All this have I seen, and have given my heart to all the work which is done under the sun: there is a time when man has power over man for his destruction.|Ta có thấy các điều đó; ta chuyên lòng suy nghĩ về mọi việc làm ra ở dưới mặt trời. Có khi người nầy cai trị trên người kia mà làm tai hại cho người ấy.
And then I saw evil men put to rest, taken even from the holy place; and they went about and were praised in the town because of what they had done. This again is to no purpose.|Ta cùng thấy những kẻ gian ác qua đời, và được chôn bình yên; còn những người làm lành lại phải lìa khỏi nơi thánh, bị người đồng thành quên đi. Ay cũng là sự hư không.
Because punishment for an evil work comes not quickly, the minds of the sons of men are fully given to doing evil.|Bởi chẳng thi hành ngay án phạt những việc ác, nên lòng con loài người chuyên làm điều ác.
Though a sinner does evil a hundred times and his life is long, I am certain that it will be well for those who go in fear of God and are in fear before him.|Vì kẻ có tội làm ác một trăm lần vẫn được trường thọ; dầu vậy, ta biết rằng kẻ kính sợ trước mặt Đức Chúa Trời, sau rất ắt được phước.
But it will not be well for the evil-doer; he will not make his days long like a shade, because he has no fear before God.|Nhưng kẻ ác chẳng sẽ được phước; cũng sẽ không được sống lâu, vì đời nó giống như bóng qua; ấy tại nó không kính sợ trước mặt Đức Chúa Trời.
There is a thing which is to no purpose done on the earth: that there are good men to whom is given the same punishment as those who are evil, and there are evil men who get the reward of the good. I say that this again is to no purpose.|Lại còn có một sự hư không khác trên thế gian: lắm người công bình bị đãi theo công việc kẻ ác, và lắm kẻ ác lại được đãi theo công việc người công bình. Ta nói rằng điều đó cũng là sự hư không.
So I gave praise to joy, because there is nothing better for a man to do under the sun than to take meat and drink and be happy; for that will be with him in his work all the days of his life which God gives him under the sun.|Ta bèn khen sự vui mừng, bởi vì dưới mặt trời chẳng có điều gì tốt cho loài người hơn là ăn, uống, và vui sướng; vì ấy là điều còn lại cho mình về công lao trọn trong các ngày của đời mình, mà Đức Chúa Trời ban cho mình dưới mặt trời.
When I gave my mind to the knowledge of wisdom and to seeing the business which is done on the earth (and there are those whose eyes see not sleep by day or by night),|Khi ta chuyên lòng để học biết sự khôn ngoan, để hiểu mọi việc làm ra trên đất, thì ta thấy có người ngày và đêm không cho mắt ngủ,
Then I saw all the work of God, and that man may not get knowledge of the work which is done under the sun; because, if a man gives hard work to the search he will not get knowledge, and even if the wise man seems to be coming to the end of his search, still he will be without knowledge.|cũng thấy mọi công việc Đức Chúa Trời, và hiểu biết người ta không thể dò được mọi việc làm ra dưới mặt trời, dầu chịu cực nhọc ngần nào đặng tìm biết, cũng chẳng tìm được; và dầu cho người khôn ngoan tưởng rằng sẽ chắc biết, thì cũng chẳng tìm được.

					Ecclesiastes 9				|
						Giảng Sư 9					
All this I took to heart, and my heart saw it all: that the upright and the wise and their works are in the hand of God; and men may not be certain if it will be love or hate; all is to no purpose before them.|Nầy là các việc khác mà ta đã suy nghĩ và chuyên lòng hiểu rõ ràng: ta thấy người công bình và khôn ngoan, luôn với việc làm của họ, đều ở trong tay Đức Chúa Trời; hoặc sự yêu hay là sự ghét, loài người chẳng biết rõ: thảy đều thuộc về cuộc tương lai.
Because to all there is one event, to the upright man and to the evil, to the clean and to the unclean, to him who makes an offering and to him who makes no offering; as is the good so is the sinner; he who takes an oath is as he who has fear of it.|Mọi sự xảy đến cho mọi người như nhau: người công bình hay là kẻ hung ác, người hiền lành, thanh sạch, người dâng của tế lễ hay là người không dâng, người thiện hay là kẻ có tội, kẻ phát thề hay là người sợ lời thề, cả thảy đều đồng hưởng một số phận.
This is evil in all things which are done under the sun: that there is one fate for all, and the hearts of the sons of men are full of evil; while they have life their hearts are foolish, and after that--to the dead.|Tai nạn lớn hơn dưới mặt trời, ấy là mọi người đồng gặp một số phận, lòng loài người đầy dẫy sự hung ác, và sự điên cuồng choán trong lòng họ đương khi sống, rồi họ đi về cùng kẻ chết.
For him who is joined to all the living there is hope; a living dog is better than a dead lion.|Một người ở trong hội kẻ sống, còn có sự trông mong; vì con chó sống hơn là sư tử chết.
The living are conscious that death will come to them, but the dead are not conscious of anything, and they no longer have a reward, because there is no memory of them.|Kẻ sống biết mình sẽ chết; nhưng kẻ chết chẳng biết chi hết, chẳng được phần thưởng gì hết; vì sự kỷ niệm họ đã bị quên đi.
Their love and their hate and their envy are now ended; and they have no longer a part for ever in anything which is done under the sun.|Sự yêu, sự ghét, sự ganh gỗ của họ thảy đều tiêu mất từ lâu; họ chẳng hề còn có phần nào về mọi điều làm ra dưới mặt trời.
Come, take your bread with joy, and your wine with a glad heart. God has taken pleasure in your works.|Hãy đi ăn bánh cách vui mừng, và uống rượu cách hớn hở; vì Đức Chúa Trời đã nhận các công việc ngươi.
Let your clothing be white at all times, and let not your head be without oil.|Khá hằng mặc áo trắng, chớ thiếu dầu thơm trên đầu ngươi.
Have joy with the woman of your love all the days of your foolish life which he gives you under the sun. Because that is your part in life and in your work which you do under the sun.|Trọn các ngày của đời hư không ngươi, mà Đức Chúa Trời ban cho ngươi dưới mặt trời, hãy ở vui vẻ cùng vợ yêu dấu; vì đó là phần của ngươi trong đời nầy, và là điều ngươi được bởi công lao mình làm ở dưới mặt trời.
Whatever comes to your hand to do with all your power, do it because there is no work, or thought, or knowledge, or wisdom in the place of the dead to which you are going.|Mọi việc tay ngươi làm được, hãy làm hết sức mình; vì dưới âm phủ, là nơi ngươi đi đến, chẳng có việc làm, chẳng có mưu kế, cũng chẳng có tri thức, hay là sự khôn ngoan.
And again I saw under the sun that the reward goes not to him who is quick, or the fruits of war to the strong; and there is no bread for the wise, or wealth for men of learning, or respect for those who have knowledge; but time and chance come to all.|Ta xây lại thấy dưới mặt trời có kẻ lẹ làng chẳng được cuộc chạy đua, người mạnh sức chẳng được thắng trận, kẻ khôn ngoan không đặng bánh, kẻ thông sáng chẳng hưởng của cải, và người khôn khéo chẳng được ơn; vì thời thế và cơ hội xảy đến cho mọi người.
Even man has no knowledge of his time; like fishes taken in an evil net, or like birds taken by deceit, are the sons of men taken in an evil time when it comes suddenly on them.|Lại, loài người chẳng hiểu biết thời thế của mình: như cá mắc lưới, chỉ phải bẫy dò thể nào, thì loài người cũng bị vấn vương trong thời tai họa xảy đến thình lình thể ấy.
This again I have seen under the sun as wisdom and it seemed great to me.|Ta cũng đã thấy sự khôn ngoan nầy dưới mặt trời, thật lấy làm cả thể.
There was a little town and the number of its men was small, and there came a great king against it and made an attack on it, building works of war round about it.|Có thành nhỏ kia được một ít dân sự, một vua cường thạnh đến vây hãm nó, đắp những lũy cao lớn cùng nó.
Now there was in the town a poor, wise man, and he, by his wisdom, kept the town safe. But no one had any memory of that same poor man.|Vả, trong thành ấy có một người nghèo mà khôn, dùng sự khôn ngoan mình giải cứu thành ấy; song về sau không ai nhớ đến người nghèo đó.
Then I said, Wisdom is better than strength, but the poor man's wisdom is not respected, and his words are not given a hearing.|Ta bèn nói rằng: Sự khôn ngoan hơn sức mạnh; nhưng mà sự khôn ngoan của người nghèo bị khinh dể, và lời nói của người không ai nghe.
The words of the wise which come quietly to the ear are noted more than the cry of a ruler among the foolish.|Lời của người khôn ngoan được nghe tại nơi êm lặng còn hơn tiếng kỳ lạ của kẻ cai trị trong đám dại dột.
Wisdom is better than instruments of war, but one sinner is the destruction of much good.|Sự khôn ngoan hơn đồ binh khí; nhưng chỉ một người có tội phá hủy được nhiều sự lành.

					Ecclesiastes 10				|
						Giảng Sư 10					
Dead flies make the oil of the perfumer give out an evil smell; more valued is a little wisdom than the great glory of the foolish.|Con ruồi chết làm cho thúi dầu thơm của thợ hòa hương; cũng vậy, một chút điên dại làm nhẹ danh một người khôn ngoan sang trọng.
The heart of the wise man goes in the right direction; but the heart of a foolish man in the wrong.|Trái tim của người khôn ở bên hữu; còn trái tim của kẻ dại ở bên tả.
And when the foolish man is walking in the way, he has no sense and lets everyone see that he is foolish.|Lại khi kẻ dại đi đường, rõ ra là thiếu mất lẽ phải; nó nói cho mọi người rằng mình là kẻ dại.
If the wrath of the ruler is against you, keep in your place; in him who keeps quiet even great sins may be overlooked.|Nếu người cai quản nổi giận cùng ngươi, chớ lìa khỏi chỗ mình; vì sự mềm mại ngăn ngừa được tội lỗi lớn.
There is an evil which I have seen under the sun, like an error which comes by chance from a ruler:|Có một tai nạn ta đã thấy dưới mặt trời, như một sự lỗi lầm do quan trưởng phạm:
The foolish are placed in high positions, but men of wealth are kept low.|ấy là kẻ ngu muội được đặt ở nơi cao, còn người giàu lại ngồi chỗ thấp.
I have seen servants on horses, and rulers walking on the earth as servants.|Ta đã thấy kẻ tôi tớ đi ngựa, còn quan trưởng đi bộ như tôi tớ vậy.
He who makes a hole for others will himself go into it, and for him who makes a hole through a wall the bite of a snake will be a punishment.|Kẻ nào đào hầm sẽ sa xuống đó, còn kẻ phá vách tường phải bị rắn cắn.
He who gets out stones from the earth will be damaged by them, and in the cutting of wood there is danger.|Ai lăn đã khỏi chỗ nó, sẽ bị thương; kẻ bửa củi có khi phải hiểm nghèo.
If the iron has no edge, and he does not make it sharp, then he has to put out more strength; but wisdom makes things go well.|Cái rìu lụt mà không mài lưỡi nó lại, ắt phải rán sức còng nhiều; nhưng sự khôn ngoan có ích đặng dẫn dắt.
If a snake gives a bite before the word of power is said, then there is no longer any use in the word of power.|Nếu rắn cắn trước khi bị ếm chú, thì thầy ếm chú chẳng làm ích gì.
The words of a wise man's mouth are sweet to all, but the lips of a foolish man are his destruction.|Lời của miệng người khôn ngoan có ơn; nhưng môi của kẻ khờ dại lại nuốt lấy nó.
The first words of his mouth are foolish, and the end of his talk is evil crime.|Lời nói của miệng nó, khởi đầu là ngược đãi, cuối cùng vẫn điên cuồng nguy hiểm.
The foolish are full of words; man has no knowledge of what will be; and who is able to say what will be after him?|Kẻ ngu muội hay nói nhiều lời; dầu vậy, người ta chẳng biết điều sẽ xảy đến; và ai là kẻ tỏ ra được cho nó sự sẽ có sau mình?
The work of the foolish will be a weariness to him, because he has no knowledge of the way to the town.|Công lao kẻ ngu muội làm cho mệt nhọc chúng nó, vì chẳng biết phải bắt đường nào đặng đi đến thành.
Unhappy is the land whose king is a boy, and whose rulers are feasting in the morning.|Hỡi xứ, khốn thay cho mầy khi có vua còn thơ ấu, và các quan trưởng mầy ăn từ lúc buổi sáng.
Happy is the land whose ruler is of noble birth, and whose chiefs take food at the right time, for strength and not for feasting.|Hỡi xứ, phước cho mầy khi có vua là dòng cao sang, và các quan trưởng mầy ăn theo giờ xứng đáng, để bổ sức lại, chớ chẳng phải để đắm say!
When no work is done the roof goes in, and when the hands do nothing water comes into the house.|Tại tay làm biếng nên rường nhà sụp; vì tay nhác nhớn nên nhà dột.
A feast is for laughing, and wine makes glad the heart; but by the one and the other money is wasted.|Người ta bày tiệc đặng vui chơi; rượu khiến cho đời vui; có tiền bạc thì ứng cho mọi sự.
Say not a curse against the king, even in your thoughts; and even secretly say not a curse against the man of wealth; because a bird of the air will take the voice, and that which has wings will give news of it.|Dầu trong tư tưởng ngươi cũng chớ nguyền rủa vua; dầu trong phòng ngủ ngươi cũng chớ rủa sả kẻ giàu có; vì chim trời sẽ đến ra tiếng ngươi, và loài có cánh sẽ thuật việc ra.

					Ecclesiastes 11				|
						Giảng Sư 11					
Put out your bread on the face of the waters; for after a long time it will come back to you again.|Hãy liệng bánh ngươi nơi mặt nước, vì khỏi lâu ngày ngươi sẽ tìm nó lại.
Give a part to seven or even to eight, because you have no knowledge of the evil which will be on the earth.|Hãy phân phát nó cho bảy hoặc cho tám người; vì ngươi không biết tai nạn nào sẽ xảy ra trên đất.
If the clouds are full of rain, they send it down on the earth; and if a tree comes down to the south, or the north, in whatever place it comes down, there it will be.|Khi mây đầy nước, nó bèn mưa xuống đất; khi một cây ngã về hướng nam hay về hướng bắc, hễ ngã chỗ nào nó phải ở chỗ đó.
He who is watching the wind will not get the seed planted, and he who is looking at the clouds will not get in the grain.|Ai xem gió sẽ không gieo; ai xem mây sẽ không gặt.
As you have no knowledge of the way of the wind, or of the growth of the bones in the body of her who is with child, even so you have no knowledge of the works of God who has made all.|Người không biết đường của gió đi, cũng không biết xương cốt kết cấu trong bụng đờn bà mang thai thể nào, thì cũng một thể ấy, ngươi chẳng hiểu biết công việc của Đức Chúa Trời, là Đấng làm nên muôn vật.
In the morning put your seed into the earth, and till the evening let not your hand be at rest; because you are not certain which will do well, this or that--or if the two will be equally good.|Vừa sáng sớm, khá gieo giống ngươi, và buổi chiều, chớ nghỉ tay ngươi; vì ngươi chẳng biết giống nào sẽ mọc tốt, hoặc giống nầy, hoặc giống kia, hoặc là cả hai đều sẽ ra tốt.
Truly the light is sweet, and it is good for the eyes to see the sun.|Anh sáng thật là êm dịu; con mắt thấy mặt trời lấy làm vui thích.
But even if a man's life is long and he has joy in all his years, let him keep in mind the dark days, because they will be great in number. Whatever may come is to no purpose.|Nếu một người được sống lâu năm, thì khá vui vẻ trong trọn các năm ấy; song cũng chớ quên những ngày tối tăm, vì những ngày ấy nhiều. Phàm việc gì xảy đến đều là sự hư không.
Have joy, O young man, while you are young; and let your heart be glad in the days of your strength, and go in the ways of your heart, and in the desire of your eyes; but be certain that for all these things God will be your judge.|Hỡi kẻ trẻ kia, hãy vui mừng trong buổi thiếu niên, khá đem lòng hớn hở trong khi còn thơ ấu, hãy đi theo đường lối lòng mình muốn, và nhìn xem sự mắt mình ưa thích, nhưng phải biết rằng vì mọi việc ấy, Đức Chúa Trời sẽ đòi ngươi đến mà đoán xét.
So put away trouble from your heart, and sorrow from your flesh; because the early years and the best years are to no purpose.|Vậy, khá giải sầu khỏi lòng ngươi, và cất điều tai hại khỏi xác thịt ngươi; vì lúc thiếu niên và thì xuân xanh là sự hư không mà thôi.

					Ecclesiastes 12				|
						Giảng Sư 12					
Let your mind be turned to your Maker in the days of your strength, while the evil days come not, and the years are far away when you will say, I have no pleasure in them;|Trong buổi còn thơ ấu hãy tưởng nhớ Đấng Tạo hóa ngươi, trước khi người ngày gian nan chưa đến, trước khi những năm tới mà ngươi nói rằng: Ta không lấy làm vui lòng;
While the sun, or the light, or the moon, or the stars, are not dark, and the clouds come not back after the rain;|trước khi ánh sáng mặt trời, mặt trăng, và các ngôi sao chưa tối tăm, và mây chưa lại tuôn đến sau cơn mưa;
In the day when the keepers of the house are shaking for fear, and the strong men are bent down, and the women who were crushing the grain are at rest because their number is small, and those looking out of the windows are unable to see;|trong ngày ấy kẻ giữ nhà run rẩy, những người mạnh sức cong khom, kẻ xay cối ngừng lại bởi vì số ít, nhiều kẻ trông xem qua cửa sổ đã làng mắt,
When the doors are shut in the street, and the sound of the crushing is low, and the voice of the bird is soft, and the daughters of music will be made low;|hai cánh cửa bên đường đóng lại, và tiếng xay mỏn lần; lúc ấy người ta nghe tiếng chim kêu bèn chờ dậy, và tiếng con gái hát đều hạ hơi;
And he is in fear of that which is high, and danger is in the road, and the tree is white with flower, and the least thing is a weight, and desire is at an end, because man goes to his last resting-place, and those who are sorrowing are in the streets;|lại người ta sợ sệt mà lên cao, và hãi hùng lúc đi đường; lúc ấy cây hạnh trổ bông, cào cào trở nên nặng, và sự ước ao chẳng còn nữa; vì bấy giờ người đi đến nơi ở đời đời của mình, còn những kẻ tang chế đều đi vòng quanh các đường phố:
Before ever the silver cord is cut, or the vessel of gold is broken, or the pot is broken at the fountain, or the wheel broken at the water-hole;|lại hãy tưởng nhớ Đấng Tạo hóa trước khi dây bạc đất, và chén vàng bể, trước khi vò vỡ ra bên suối, và bánh xe gãy ra trên giếng;
And the dust goes back to the earth as it was, and the spirit goes back to God who gave it.|và bụi tro trở vào đất y như nguyên cũ, và thần linh trở về nơi Đức Chúa Trời, là Đấng đã ban nó.
All things are to no purpose, says the Preacher, all is to no purpose.|Kẻ truyền đạo nói: Hư không của sự hư không; mọi sự đều hư không.
And because the Preacher was wise he still gave the people knowledge; searching out, testing, and putting in order a great number of wise sayings.|Vả lại, bởi vì kẻ truyền đạo là người khôn ngoan, nên cũng cứ dạy sự tri thức cho dân sự; người đã cân nhắc, tra soát, và sắp đặt thứ tự nhiều câu châm ngôn.
The Preacher made search for words which were pleasing, but his writing was in words upright and true.|Kẻ truyền đạo có chuyên lo tìm kiếm những câu luận tốt đẹp; và các lời đã viết ra đều là chánh trực và chơn thật.
The words of the wise are pointed, and sayings grouped together are like nails fixed with a hammer; they are given by one guide.|Lời của người khôn ngoan giống như đót; sắp chọn các câu châm ngôn khác nào đinh đóng chặt: nó do một đấng chăn chiên mà truyền ra.
And further, my son, take note of this: of the making of books there is no end, and much learning is a weariness to the flesh.|Lại, hỡi con, hãy chịu dạy: người ta chép nhiều sách chẳng cùng; còn học quá thật làm mệt nhọc cho xác thịt.
This is the last word. All has been said. Have fear of God and keep his laws; because this is right for every man.|Chúng ta hãy nghe lời kết của lý thuyết nầy: Khá kính sợ Đức Chúa Trời và giữ các điều răn Ngài; ấy là trọn phận sự của ngươi.
God will be judge of every work, with every secret thing, good or evil.|Vì Đức Chúa Trời sẽ đem đoán xét các công việc, đến đỗi việc kín nhiệm hơn hết, hoặc thiện hoặc ác cũng vậy.
