
					Esther 1				|
But all this is nothing to me while I see Mordecai the Jew seated by the king's doorway.|Song mọi điều đó chẳng ích gì cho ta cả hễ lâu chừng nào ta thấy Mạc-đô-chê, người Giu-đa, ngồi tại cửa vua.
Then his wife Zeresh and all his friends said to him, Let a pillar, fifty cubits high, be made ready for hanging him, and in the morning get the king to give orders for the hanging of Mordecai: then you will be able to go to the feast with the king with a glad heart. And Haman was pleased with the suggestion, and he had the pillar made.|Xê-rết, vợ người, và các bạn hữu người đều nói rằng: Hãy biểu dựng một mộc hình, cao năm mươi thước; rồi sớm mai, hãy cầu vua khiến cho người ta treo Mạc-đô-chê tại đó; đoạn ông hãy khoái lạc đi dự yến tiệc cùng vua. Điều đó lấy làm đẹp lòng Ha-man; người bèn truyền dựng cây mộc hình.

					Esther 6				|
						Ê-xơ-tê 6					
That night the king was unable to get any sleep; and he sent for the books of the records; and while some one was reading them to the king,|Đêm đó, vua không ngủ được; nên truyền đem sách sử ký, đọc tại trước mặt vua.
It came out that it was recorded in the book how Mordecai had given word of the designs of Bigthana and Teresh, two of the king's servants, keepers of the door, by whom an attack on the king had been designed.|Người ta thấy có chép rằng Mạc-đô-chê đã tỏ ra mưu của Bích-than và Thê-rết, hai hoạn quan của vua, trong bọn kẻ giữ cửa, toan tra tay vào vua A-suê-ru.
And the king said, What honour and reward have been given to Mordecai for this? Then the servants who were waiting on the king said, Nothing has been done for him.|Vua nói: Vì công sự ấy, Mạc-đô-chê có được sự vinh hiển và tước vị gì chăng? Các người cận thần của vua đáp rằng: Người chẳng được gì hết.
Then the king said, Who is in the outer room? Now Haman had come into the outer room to get the king's authority for the hanging of Mordecai on the pillar which he had made ready for him.|Vua hỏi: Ai ở nơi viện trung? Vả, Ha-man đến ngoài viện của cung vua, đặng cầu vua truyền treo cổ Mạc-đô-chê nơi mộc hình, mà người đã dựng cho Mạc-đô-chê.
And the king's servants said to him, See, Haman is waiting in the outer room. And the king said, Let him come in.|Các thần bộc của vua thưa rằng: Kìa, Ha-man đứng nơi viện trung. Vua bèn nói: Người hãy vào.
So Haman came in. And the king said to him, What is to be done to the man whom the king has delight in honouring? Then the thought came into Haman's mind, Whom, more than myself, would the king have pleasure in honouring?|Ha-man bèn vào. Vua nói với người rằng: Phải làm chi cho người nào vua muốn tôn trọng? Ha-man nghĩ thầm rằng: Vua há muốn tôn trọng người nào khác hơn ta sao?
And Haman, answering the king, said, For the man whom the king has delight in honouring,|Vậy, Ha-man bèn tâu rằng: Hễ người nào vua muốn tôn trọng,
Let them take the robes which the king generally puts on, and the horse on which the king goes, and the crown which is on his head:|khá đem cho áo triều của vua mặc, ngựa của vua cỡi, và đội mão triều thiên vua trên đầu người đó;
And let the robes and the horse be given to one of the king's most noble captains, so that they may put them on the man whom the king has delight in honouring, and let him go on horseback through the streets of the town, with men crying out before him, So let it be done to the man whom the king has delight in honouring.|áo triều và ngựa thì hãy giao vào tay của một triều thần tối tôn của vua, để mặc cho người mà vua muốn tôn trọng, dẫn người cỡi ngựa dạo chơi các đường phố của thành nội, và la lên rằng: Người mà vua muốn tôn trọng được đãi như vậy.
Then the king said to Haman, Go quickly, and take the robes and the horse, as you have said, and do even so to Mordecai the Jew, who is seated at the king's doorway: see that you do everything as you have said.|Vua nói với Ha-man rằng: Hãy mau mau đem áo triều và ngựa, y như lời ngươi nói, mà mặc cho Mạc-đô-chê, người Giu-đa, đương ngồi tại nơi cửa vua; chớ bỏ qua gì hết về mọi điều người đã nói.
Then Haman took the robes and the horse, and dressing Mordecai in the robes, he made him go on horseback through the streets of the town, crying out before him, So let it be done to the man whom the king has delight in honouring.|Ha-man bèn lấy áo triều và ngựa, mặc cho Mạc-đô-chê, rồi dẫn người cỡi ngựa dạo qua các đường phố của thành nội, mà hô lên trước mặt người rằng: Người mà vua muốn tôn trọng được đãi như vậy!
And Mordecai came back to the king's doorway. But Haman went quickly back to his house, sad and with his head covered.|Đoạn, Mạc-đô-chê trở về cửa vua. Còn Ha-man lật đật trở về nhà mình, thảm buồn và trùm đầu lại.
And Haman gave his wife Zeresh and all his friends an account of what had taken place. Then his wise men and his wife Zeresh said to him, If Mordecai, who is starting to get the better of you, is of the seed of the Jews, you will not be able to do anything against him, but you will certainly go down before him.|Ha-man thuật lại cho Xê-rết, vợ mình, và các bạn hữu mình hay mọi điều đã xảy đến cho mình. Khi ấy các người khôn ngoan và Xê-rết, vợ người, nói rằng: Ong đã khởi mòi sa bại trước mặt Mạc-đô-chê rồi; nếu hắn quả thuộc về dòng dõi Giu-đa, thì ông sẽ chẳng thắng hẳn được đâu, nhưng sẽ sa bại quả hẳn trước mặt người.
While they were still talking, the king's servants came to take Haman to the feast which Esther had made ready.|Khi chúng còn đương nói chuyện với người, các hoạn quan của vua đến, lật đật đưa Ha-man đến dự tiệc yến mà bà Ê-xơ-tê đã dọn.

					Esther 7				|
						Ê-xơ-tê 7					
So the king and Haman came to take wine with Esther the queen.|Vậy, vua và Ha-man đến dự tiệc rượu với hoàng hậu Ê-xơ-tê.
And the king said to Esther again on the second day, while they were drinking, What is your prayer, Queen Esther? for it will be given to you; and what is your request? for it will be done, even to the half of my kingdom.|Ngày thứ hai, trong khi dự tiệc rượu, vua cũng nói với bà Ê-xơ-tê rằng: Hỡi hoàng hậu Ê-xơ-tê, người muốn xin sự gì? tất sẽ ban cho ngươi; muốn cầu gì? dầu cho đến phân nửa nước, tất cũng ban cho.
Then Esther the queen, answering, said, If I have your approval, O king, and if it is the king's pleasure, let my life be given to me in answer to my prayer, and my people at my request:|Hoàng hậu Ê-xơ-tê thưa lại rằng: Oi vua! nếu tôi được ơn trước mặt vua, và nếu vua vừa ý, xin vua hãy nhậm lời cầu khẩn tôi mà ban mạng sống cho tôi, và theo sự nài xin tôi mà ban cho tôi dân tộc tôi.
For we are given up, I and my people, to destruction and death and to be cut off. If we had been taken as men-servants and women-servants for a price, I would have said nothing, for our trouble is little in comparison with the king's loss.|Vì tôi và dân tộc tôi đã bị bán để hủy diệt, giết chết, và làm cho hư mất đi. Vả, nếu chúng tôi bị bán để làm nô lệ, tất tôi đã nín lặng, mặc dầu kẻ thù nghịch chẳng bồi thường sự thiệt hại cho vua lại được.
Then King Ahasuerus said to Esther the queen, Who is he and where is he who has had this evil thought in his heart?|Vua A-suê-ru nói với hoàng hậu Ê-xơ-tê rằng: Kẻ dám toan lòng làm như vậy là ai, và nó ở đâu?
And Esther said, Our hater and attacker is this evil Haman. Then Haman was full of fear before the king and the queen.|Bà Ê-xơ-tê thưa: Kẻ cừu thù, ấy là Ha-man độc ác kia. Ha-man bèn lấy làm khiếp vía trước mặt vua và hoàng hậu.
And the king in his wrath got up from the feast and went into the garden: and Haman got to his feet to make a prayer for his life to Esther the queen: for he saw that the king's purpose was evil against him.|Vua nổi thạnh nộ, đứng dậy khỏi bữa tiệc, đi ra nơi ngự viện. Còn Ha-man vì thấy rõ vua nhất định giáng họa cho mình, bèn ở lại nài khẩn hoàng hậu Ê-xơ-tê cứu sanh mạng mình.
Then the king came back from the garden into the room where they had been drinking; and Haman was stretched out on the seat where Esther was. Then the king said, Is he taking the queen by force before my eyes in my house? And while the words were on the king's lips, they put a cloth over Haman's face.|Khi vua ở ngoài ngự viện trở vào nhà tiệc, thì Ha-man đã phục dưới ghế dài nơi bà Ê-xơ-tê đương ngồi. Vua bèn nói: Trong cung tại trước mặt ta, nó còn dám lăng nhục hoàng hậu sao? Lời vừa ra khỏi miệng vua, người ta liền che mặt Ha-man lại.
Then Harbonah, one of the unsexed servants waiting before the king, said, See, the pillar fifty cubits high, which Haman made for Mordecai, who said a good word for the king, is still in its place in Haman's house. Then the king said, Put him to death by hanging him on it.|Hạt-bô-na, một hoạn quan chầu chực vua, rằng: Kìa, cây mộc hình, cao năm mươi thước, mà Ha-man đã sắm dựng tại trong nhà mình cho Mạc-đô-chê, là người đã nói trung tín để cứu vua. Vua rằng: Hãy treo nó lên đó!
So Haman was put to death by hanging him on the pillar he had made for Mordecai. Then the king's wrath became less.|Người ta bèn treo Ha-man nơi mộc hình mà hắn đã dựng lên cho Mạc-đô-chê. Rồi cơn giận của vua bèn nguôi đi.

					Esther 8				|
						Ê-xơ-tê 8					
That day the king gave all the family of Haman, the hater of the Jews, to Esther the queen. And Mordecai came before the king, for Esther had made clear what he was to her.|Ngày đó, vua A-suê-ru ban cho hoàng hậu Ê-xơ-tê cái nhà của Ha-man, kẻ ức hiếp dân Giu-đa. Còn Mạc-đô-chê đi vào trước mặt vua; vì bà Ê-xơ-tê đã bày tỏ người là thân thuộc mình.
And the king took off his ring, which he had taken from Haman, and gave it to Mordecai. And Esther put Mordecai over the family of Haman.|Vua cổi chiếc nhẫn mà người đã lấy nơi Ha-man và ban cho Mạc-đô-chê. Bà Ê-xơ-tê đặt Mạc-đô-chê trên nhà Ha-man.
Then Esther again came before the king, falling down at his feet, and made request to him with weeping, that he would put a stop to the evil purposes of Haman the Agagite and the designs which he had made against the Jews.|Bà Ê-xơ-tê lại nói trước mặt vua, và phục xuống dưới chơn người mà khóc lóc, cầu xin vua diệt mưu ác mà Ha-man, người A-gát, đã toan ý hại dân Giu-đa.
Then the king put out the rod of gold to Esther, and she got up before the king.|Vua đưa cây phủ việt vàng ra cho bà Ê-xơ-tê. Đoạn, bà chổi dậy và đứng trước mặt vua,
And she said, If it is the king's pleasure and if I have his approval and this thing seems right to the king and I am pleasing to him, then let letters be sent giving orders against those which Haman, the son of Hammedatha the Agagite, sent out for the destruction of the Jews in all divisions of the kingdom:|mà rằng: Nếu vừa ý vua, nếu tôi được ơn trước mặt vua, nếu vua lấy việc ấy làm tiện ích, và tôi được đẹp ý vua, thì xin vua hãy hạ chiếu đặng bãi các thơ mưu mẹo của Ha-man, con trai Ham-mê-đa-tha, người A-gát, viết thư đặng truyền giết những dân Giu-đa ở trong các tỉnh của vua.
For how is it possible for me to see the evil which is to overtake my nation? how may I see the destruction of my people?|Vì nỡ nào tôi thấy được tai nạn xảy đến cho dân tộc tôi, và lòng nào nỡ xem được sự hủy diệt dòng dõi tôi?
Then King Ahasuerus said to Esther the queen and to Mordecai the Jew, See now, I have given Esther the family of Haman, and he has come to his death by hanging, because he made an attack on the Jews.|Vua A-suê nói với hoàng hậu Ê-xơ-tê và Mạc-đô-chê, người Giu-đa, rằng: Nầy ta đã ban cho bà Ê-xơ-tê nhà của Ha-man, còn hắn, người ta đã xử treo mộc hình, bởi vì hắn đã tra tay ra làm hại người Giu-đa.
So now send a letter about the Jews, writing whatever seems good to you, in the king's name, and stamping it with the king's ring: for a writing signed in the king's name and stamped with the king's ring may not be changed.|Vậy, hai ngươi cũng hãy nhơn danh vua mà viết về dân Giu-đa điều gì vừa ý hai ngươi, rồi lấy chiếc nhẫn của vua mà ấn dấu. Vì một tờ chiếu chỉ nào viết nhơn danh vua và ấn dấu với chiếc nhẫn của vua không thể bãi được.
Then at that time, on the twenty-third day of the third month, which is the month Sivan, the king's scribes were sent for; and everything ordered by Mordecai was put in writing and sent to the Jews and the captains and the rulers and the chiefs of all the divisions of the kingdom from India to Ethiopia, a hundred and twenty-seven divisions, to every division in the writing commonly used there, and to every people in their language, and to the Jews in their writing and their language.|Bấy giờ, nhằm tháng ba, là tháng Si-van, ngày hai mươi ba; những thầy thơ ký được gọi vào, họ y theo mọi điều Mạc-đô-chê dạy biểu mà viết cho dân Giu-đa, các quan trấn thủ, các quan cai quản và những đầu trưởng của các tỉnh, từ An-độ cho đến Ê-thi-ô-bi, tức một trăm hai mươi bảy tỉnh, viết cho tỉnh nào dùng chữ nấy, cho dân tộc nào theo thổ âm nấy, và cho dân Giu-đa, thì theo chữ và tiếng của họ.
The letters were sent in the name of King Ahasuerus and stamped with his ring, and they were taken by men on horseback, going on the quick-running horses used for the king's business, the offspring of his best horses:|Mạc-đô-chê viết nhơn danh vua A-suê-ru và ấn dấu bằng chiếc nhẫn của vua; rồi sai lính trạm đem thơ đi cỡi ngựa hăng và ngựa nòi, bởi ngựa để giống sanh ra.
In these letters the king gave authority to the Jews in every town to come together and make a fight for their lives, and to send death and destruction on the power of any people in any part of the kingdom attacking them or their children or their women, and to take their goods from them by force,|Chiếu chỉ ấy tỏ rằng vua ban phép cho dân Giu-đa ở trong các tỉnh các thành của nước A-suê-ru hiệp lại
On one day in every division of the kingdom of Ahasuerus, that is, on the thirteenth day of the twelfth month, the month Adar.|nội trong một ngày, là ngày mười ba tháng mười hai, tức là tháng A-đa, đặng binh vực sanh mạng mình, tuyệt diệt, đánh giết, và làm cho hư mất quyền năng của dân cừu địch toan hãm hiếp mình, vợ và con cái mình, cùng cho phép đoạt lấy tài sản của chúng nó.
A copy of the writing, to be made public as an order in every division of the kingdom, was given out to all the peoples, so that the Jews might be ready when that day came to give punishment to their haters.|Để cho chiếu chỉ được công bố trong mỗi tỉnh, một tờ sao lục chiếu đem rao cho các dân tộc biết, hầu cho người Giu-đa sẵn sàng về ngày đó, mà trả thù các cừu địch mình.
So the men went out on the quick-running horses used on the king's business, wasting no time and forced on by the king's order; and the order was given out in Shushan, the king's town.|Vậy những lính trạm cỡi ngựa hăng và ngựa nòi, vâng mạng vua thúc giục lật đật đi. Đoạn chiếu chỉ ấy được truyền ra trong kinh đô Su-sơ.
And Mordecai went out from before the king, dressed in king-like robes of blue and white, and with a great crown of gold and clothing of purple and the best linen: and all the town of Shushan gave loud cries of joy.|Mạc-đô-chê từ trước mặt vua trở ra, mặc đồ triều phục xanh và trắng, đội một các mão triều thiên lớn bằng vàng, và mặc một cái áo dài bằng bố gai mịn màu tím; thành Su-sơ cất tiếng reo mừng và hớn hở.
And the Jews had light and joy and honour.|Về phần dân Giu-đa, thì có sự sáng sủa, vui vẻ, khoái lạc và vinh hiển.
And in every part of the kingdom and in every town, wherever the king's letter and his order came, the Jews were glad with great joy, and had a feast and a good day. And a great number of the people of the land became Jews: for the fear of the Jews had come on them.|Trong mỗi tỉnh mỗi thành, phàm nơi nào có mạng lịnh và chiếu chỉ của vua thấu đến, thì có sự vui mừng và sự khoái lạc cho dân Giu-đa, bữa tiệc yến và một ngày ăn lễ. Có nhiều kẻ trong các dân tộc của xứ nhập bọn lại với dân Giu-đa; bởi vì chúng nó bắt sợ hãi dân Giu-đa lắm.

					Esther 9				|
						Ê-xơ-tê 9					
Now on the thirteenth day of the twelfth month, which is the month Adar, when the time came for the king's order to be put into effect, on the very day when the haters of the Jews had been hoping to have rule over them; though the opposite had come about, and the Jews had rule over their haters;|Tháng mười hai là tháng A-đa, ngày mười ba, khi hầu gần ngày giờ phải thi hành mạng lịnh và chiếu chỉ của vua, tức nhằm ngày ấy mà kẻ cừu địch dân Giu-đa ham hố lấn lướt họ ,
On that day, the Jews came together in their towns through all the divisions of the kingdom of Ahasuerus, for the purpose of attacking all those who were attempting evil against them: and everyone had to give way before them, for the fear of them had come on all the peoples.|thì dân Giu-đa hiệp lại tại các thành, trong khắp các tỉnh của vua A-suê-ru, đặng tra tay vào những kẻ tìm làm hại mình; chẳng có ai chống trả nổi chúng, bởi vì các dân tộc bắt sợ hãi dân Giu-đa lắm.
And all the chiefs and the captains and the rulers and those who did the king's business gave support to the Jews; because the fear of Mordecai had come on them.|Các đầu trưởng của những tỉnh, các quan trấn thủ, các quan cai quản, cùng những người coi việc vua, đều giúp đỡ dân Giu-đa, vì họ kính sợ Mạc-đô-chê.
For Mordecai was great in the king's house, and word of him went out through every part of the kingdom: for the man Mordecai became greater and greater.|Vì Mạc-đô-chê vốn cao trọng trong cung vua, danh tiếng người đồn ra khắp các tỉnh, bởi người Mạc-đô-chê càng ngày càng cao trọng.
So the Jews overcame all their attackers with the sword and with death and destruction, and did to their haters whatever they had a desire to do.|Dân Giu-đa hãm đánh các thù nghịch mình bằng mũi gươm, giết chết và tuyệt diệt chúng nó; phàm kẻ nào ghét họ, thì họ đãi theo mặc ý mình muốn.
And in Shushan the Jews put to death five hundred men.|Tại kinh đô Su-sơ, dân Giu-đa đánh giết năm trăm người,
They put to death Parshandatha, Dalphon, Aspatha,|và họ cũng giết Phạt-san-đa-tha, Đanh-phông, A-ba-tha,
Poratha, Adalia, Aridatha,|Phô-ra-tha, A-đa-lia, A-ri-đa-tha,
Parmashta, Arisai, Aridai, and Vaizatha,|Phạt-ma-sa-ta, A-ri-sai, A-ri-đai, và Va-giê-xa-tha,
The ten sons of Haman the son of Hammedatha, the hater of the Jews; but they put not a hand on any of their goods.|tức là mười người con trai của Ha-man, cháu Ham-mê-đa-tha, là kẻ hãm hiếp dân Giu-đa; nhưng chúng không tra tay vào hóa tài.
On that day the number of those who had been put to death in the town of Shushan was given to the king.|Trong ngày đó, người ta đem cho vua hay số những kẻ bị giết trong kinh đô Su-sơ.
And the king said to Esther the queen, The Jews have put five hundred men to death in Shushan, as well as the ten sons of Haman: what then have they done in the rest of the kingdom! Now what is your prayer? for it will be given to you; what other request have you? and it will be done.|Vua nói với hoàng hậu Ê-xơ-tê rằng: Dân Giu-đa đã giết chết tại trong kinh đô Su-sơ năm trăm người, và mười người con trai của Ha-man thay; lại trong các tỉnh của vua chúng còng đã làm chi nữa! Bây giờ nàng xin gì? Tất ta sẽ ban cho. Nàng còn cầu chi nữa, tất sẽ làm cho.
Then Esther said, If it is the king's pleasure, let authority be given to the Jews in Shushan to do tomorrow as has been done today, and let orders be given for the hanging of Haman's ten sons.|Bà Ê-xơ-tê thưa rằng: Nếu đẹp ý vua; xin hãy nhậm cho ngày mai dân Giu-đa ở tại Su-sơ cũng làm như chiếu chỉ về ngày nay; và cho phép treo nơi mộc hình mười con trai của Ha-man.
And the king said that this was to be done, and the order was given out in Shushan, and the hanging of Haman's ten sons was effected.|Vua bèn truyền lịnh làm như vậy; có hạ chiếu chỉ truyền ra trong Su-sơ, và người ta treo mười con trai của Ha-man.
For the Jews who were in Shushan came together again on the fourteenth day of the month Adar and put to death three hundred men in Shushan; but they put not a hand on their goods.|Dân Giu-đa ở tại Su-sơ cũng hiệp lại trong ngày mười bốn thánh của A-đa, và giết ba trăm người tại Su-sơ; nhưng chúng không tra tay vào hóa tài.
And the other Jews in every division of the kingdom came together, fighting for their lives, and got salvation from their haters and put seventy-five thousand of them to death; but they did not put a hand on their goods.|Những dân Giu-đa khác ở trong các tỉnh vua, bèn hiệp lại binh vực cho sanh mạng mình, hãm đánh kẻ thù nghịch mình, giết bảy mươi lăm ngàn người ghen ghét mình; nhưng họ không tra tay vào hóa tài.
This they did on the thirteenth day of the month Adar; and on the fourteenth day of the same month they took their rest, and made it a day of feasting and joy.|Việc ấy xảy ra nhằm ngày mười ba tháng A-đa; còn ngày mười bốn tháng ấy, chúng an nghỉ, lập thành một ngày tiệc yến vui vẻ.
But the Jews in Shushan came together on the thirteenth and on the fourteenth day of the month; and on the fifteenth day they took their rest, and made it a day of feasting and joy.|Nhưng dân Giu-đa ở tại Su-rơ nhóm hiệp trong ngày mười ba và mười bốn của tháng ấy; còn ngày mười lăm tháng ấy, chúng an nghỉ và lập thành một ngày tiệc yến vui vẻ.
So the Jews of the country places living in unwalled towns make the fourteenth day of the month Adar a day of feasting and joy and a good day, a day for sending offerings one to another.|Bởi cớ ấy, những người Giu-đa ở nơi các hương thôn, lấy ngày mười bốn thánh A-đa làm một ngày vui mừng, tiệc yến, một ngày lễ để gởi cho lẫn nhau những lễ vật.
And Mordecai sent letters to all the Jews in every division of the kingdom of Ahasuerus, near and far,|Mạc-đô-chê ghi chép các điều nầy, và gởi thơ cho hết thảy dân Giu-đa ở trong các tỉnh của vua A-suê-ru, hoặc gần hay xa,
Ordering them to keep the fourteenth day of the month Adar and the fifteenth day of the same month, every year,|để khiến cho họ hằng năm giữ ngày mười bốn và mười lăm của tháng A-đa,
As days on which the Jews had rest from their haters, and the month which for them was turned from sorrow to joy, and from weeping to a good day: and that they were to keep them as days of feasting and joy, of sending offerings to one another and good things to the poor.|vì trong ngày và tháng ấy dân Giu-đa đã thoát khỏi kẻ thù nghịch mình và được bình an, sự đau đớn đổi ra mừng rỡ, và ngày buồn thảm hóa ra ngày lễ; lại bảo họ lập thành ngày tiệc yến và vui mừng, gởi cho lẫn nhau những lễ vật, và bố thí cho người nghèo khổ.
And the Jews gave their word to go on as they had been doing and as Mordecai had given them orders in writing;|Dân Giu-đa nhận làm theo việc mình đã khởi làm, và theo điều Mạc-đô-chê đã viết gởi cho mình;
Because Haman, the son of Hammedatha the Agagite, the hater of all the Jews, had made designs for their destruction, attempting to get a decision by Pur (that is, chance) with a view to putting an end to them and cutting them off;|vì Ha-man, con trai Ha-mê-đa-tha, dân A-gát, kẻ hãm hiếp hết thảy dân Giu-đa, có lập mưu hại dân Giu-đa đặng tuyệt diệt đi, và có bỏ Phu-rơ, nghĩa là bỏ thăm, để trừ diệt và phá hủy chúng đi.
But when the business was put before the king, he gave orders by letters that the evil design which he had made against the Jews was to be turned against himself; and that he and his sons were to be put to death by hanging.|Song khi bà Ê-xơ-tê đến trước mặt vua để tỏ việc ấy, thì vua ra chiếu chỉ truyền bảo rằng các mưu ác mà Ha-man đã toan hại dân Giu-đa hãy đổ lại trên đầu của hắn, và người ta treo hắn với các con trai hắn nơi mộc hình.
So these days were named Purim, after the name of Pur. And so, because of the words of this letter, and of what they had seen in connection with this business, and what had come to them,|Bởi cớ đó, người ta cứ theo chữ Phu-rơ, mà gọi các ngày đó là Phu-rim. Lại vì có lời của thơ nầy, và vì cớ các điều chúng đã thấy, cùng bị xảy đến cho mình,
The Jews made a rule and gave an undertaking, causing their seed and all those who were joined to them to do the same, so that it might be in force for ever, that they would keep those two days, as ordered in the letter, at the fixed time every year;|nên dân Giu-đa nhận và định thường lệ cho mình, cho dòng giống mình, và cho những người sẽ nhập bọn với mình, mỗi năm phải giữ hai ngày nầy tùy cái thơ nầy và theo thì nhứt định, chẳng ai nên bỏ bê;
And that those days were to be kept in memory through every generation and every family, in every division of the kingdom and every town, that there might never be a time when these days of Purim would not be kept among the Jews, or when the memory of them would go from the minds of their seed.|lại người ta phải nhớ lại hai ngày ấy, và mỗi gia tộc trong mỗi tỉnh mỗi thành phải giữ nó trải qua các đời; chẳng được bỏ bê ngày Phu-rim nầy khỏi giữa dân Giu-đa, và kỷ niệm nó chớ hề mất khỏi dòng dõi họ.
Then Esther the queen, daughter of Abihail, and Mordecai the Jew, sent a second letter giving the force of their authority to the order about the Purim.|Hoàng hậu Ê-xơ-tê, con gái của A-bi-hai, và Mạc-đô-chê, người Giu-đa, lại viết thơ thứ nhì đặng khuyên dân Giu-đa gìn giữ lễ Phu-rim;
And he sent letters to all the Jews in the hundred and twenty-seven divisions of the kingdom of Ahasuerus, with true words of peace,|người lấy lời hòa bình và chơn thật mà gởi thơ cho hết thảy dân Giu-đa ở trong một trăm hai mươi bảy tỉnh của nước A-suê-ru,
Giving the force of law to these days of Purim at their fixed times, as they had been ordered by Mordecai the Jew and Esther the queen, and in keeping with the rules they had made for themselves and their seed, in connection with their time of going without food and their cry for help.|đặng làm chứng quyết định các ngày Phu-rim ấy theo thì tiết nhứt định, y như Mạc-đô-chê, người Giu-đa, và hoàng hậu Ê-xơ-tê đã dạy biểu chúng, và y như chúng đã lập lấy cho mình và cho dòng dõi mình, về kỳ kiêng ăn và ai khóc.
The order given by Esther gave the force of law to the rules about the Purim; and it was recorded in the book.|Lịnh mạng của bà Ê-xơ-tê định việc giữ các ngày Phu-rim; đoạn điều đó được chép vào sách.

					Esther 10				|
						Ê-xơ-tê 10					
And King Ahasuerus put a tax on the land and on the islands of the sea.|Vua A-suê-ru bắt xứ và các cù lao của biển nộp thuế.
And all his acts of power and his great strength and the full story of the high place which the king gave Mordecai, are they not recorded in the book of the history of the kings of Media and Persia?|Các công sự về quyền thế và năng lực người, cả sự cao trọng của Mạc-đô-chê, vua thăng chức người lên làm sao, thảy đều có chép vào sách sử ký các vua nước Mê-đi và Phe-rơ-sơ.
For Mordecai the Jew was second only to King Ahasuerus, and great among the Jews and respected by the body of his countrymen; working for the good of his people, and saying words of peace to all his seed.|Vì Mạc-đô-chê, người Giu-đa, làm tể tướng của vua A-suê-ru; trong vòng dân Giu-đa người được tôn trọng, đẹp lòng các anh em mình, tìm việc tốt lành cho dân tộc mình, và nói sự hòa bình cho cả dòng dõi mình.
