
					Job 1				|
Was I not drained out like milk, becoming hard like cheese?|Chúa há chẳng có rót tôi chảy như sữa, Làm tôi ra đặc như bánh sữa ư?
By you I was clothed with skin and flesh, and joined together with bones and muscles.|Chúa đã mặc cho tôi da và thịt, Lấy xương và gân đương tréo tôi.
You have been kind to me, and your grace has been with me, and your care has kept my spirit safe.|Chúa đã ban cho tôi mạng sống và điều nhân từ; Sự Chúa đoái hoài tôi đã gìn giữ tâm hồn tôi.
But you kept these things in the secret of your heart; I am certain this was in your thoughts:|Dầu vậy, Chúa giấu các điều nầy nơi lòng Chúa; Tôi biết điều ấy ở trong tư tưởng của Ngài.
That, if I did wrong, you would take note of it, and would not make me clear from sin:|Nếu tôi phạm tội, Chúa sẽ xem xét tôi, Chẳng dung tha gian ác tôi.
That, if I was an evil-doer, the curse would come on me; and if I was upright, my head would not be lifted up, being full of shame and overcome with trouble.|Nếu tôi làm hung ác, thì khốn cho tôi thay! Còn nếu tôi ăn ở công bình, tôi cũng chẳng dám ngước đầu lên, Vì đã bị đầy dẫy sỉ nhục, và thấy sự khổ nạn tôi.
And that if there was cause for pride, you would go after me like a lion; and again put out your wonders against me:|Ví bằng tôi ngước đầu lên, hẳn quả Chúa sẽ săn tôi như sư tử, và tỏ ra nơi tôi quyền diệu kỳ của Ngài.
That you would send new witnesses against me, increasing your wrath against me, and letting loose new armies on me.|Chúa đặt chứng mới đối nghịch tôi, Và gia thêm sự giận cùng tôi: Đau đớn liên tiếp, và thì khốn khó theo tôi.
Why then did you make me come out of my mother's body? It would have been better for me to have taken my last breath, and for no eye to have seen me,|Nhơn sao Chúa đem tôi ra khỏi lòng mẹ tôi? Phải chi đã tắt hơi, thì chẳng con mắt nào thấy tôi!
And for me to have been as if I had not been; to have been taken from my mother's body straight to my last resting-place.|Bằng vậy, tôi sẽ như đã không hề có; Vì mới lọt lòng mẹ, bèn bị đem đến mồ mã!
Are not the days of my life small in number? Let your eyes be turned away from me, so that I may have a little pleasure,|Các ngày tôi há chẳng phải ít ỏi sao? Vậy, Chúa ôi, khá ngưng dứt đi, Hãy dời khỏi tôi đi, để tôi được an ủy một chút,
Before I go to the place from which I will not come back, to the land where all is dark and black,|Trước khi tôi đi đến xứ tối tăm và bóng sự chết, không hề trở lại;
A land of thick dark, without order, where the very light is dark.|Tức đất tối đen như mực, Là miền có bóng sự chết, chỉ có sự hỗn độn tại đó, Và ánh sáng không khác hơn tối tăm.

					Job 11				|
						Gióp 11					
Then Zophar the Naamathite made answer and said,|Sô-pha, người Na -a-ma, đáp lại, mà rằng:
Are all these words to go unanswered? and is a man seen to be right because he is full of talk?|Há chẳng nên đáp lại lời nói nhiều sao? Người già miệng há sẽ được xưng là công bình ư?
Are your words of pride to make men keep quiet? and are you to make sport, with no one to put you to shame?|Chớ thì các lời khoe khoang của ông khiến người ta nín sao? Khi ông nhạo báng, há không có ai bỉ mặt ông ư?
You may say, My way is clean, and I am free from sin in your eyes.|Vì ông thưa cùng Đức Chúa Trời rằng: Đạo lý tôi là thanh tịnh; Tôi không nhơ bợn trước mặt Chúa.
But if only God would take up the word, opening his lips in argument with you;|À! Chớ gì đẹp lòng Đức Chúa Trời mà phán, Và mở miệng Ngài đáp lời nghịch cùng ông,
And would make clear to you the secrets of wisdom, and the wonders of his purpose!|Ước chi Ngài chỉ tỏ cho ông biết sự bí mật của sự khôn ngoan! Vì Ngài thông hiểu bội phần. Vậy, khá biết rằng Đức Chúa Trời phạt ông lại không xứng với tội gian ác của ông.
Are you able to take God's measure, to make discovery of the limits of the Ruler of all?|Nếu ông dò xét, há có thể hiểu biết được sự mầu nhiệm của Đức Chúa Trời, Và thấu rõ Đấng Toàn năng sao?
They are higher than heaven; what is there for you to do? deeper than the underworld, and outside your knowledge;|Sự ấy vốn cao bằng các từng trời: Vậy ông sẽ làm gì? Sâu hơn âm phủ: ông hiểu biết sao đặng?
Longer in measure than the earth, and wider than the sea.|Bề dài sự ấy lại hơn cỡ trái đất, Và rộng lớn hơn biển cả.
If he goes on his way, shutting a man up and putting him to death, who may make him go back from his purpose?|Nếu Đức Chúa Trời đi ngang qua, bắt người ta cầm tù, Và đòi ứng hầu đoán xét, thì ai sẽ ngăn trở Ngài được?
For in his eyes men are as nothing; he sees evil and takes note of it.|Vì Ngài biết những người giả hình, Xem thấy tội ác mà loài người không cảm biết đến.
And so a hollow-minded man will get wisdom, when a young ass of the field gets teaching.|Nhưng chừng nào lừa con rừng sanh ra làm người, Thì chừng nấy người hư không mới trở nên thông sáng!
But if you put your heart right, stretching out your hands to him;|Vậy, nếu dọn lòng cho xứng đáng, Và giơ tay mình ra hướng về Chúa;
If you put far away the evil of your hands, and let no wrongdoing have a place in your tent;|Bằng có tội ác trong tay ông, mà ông bỏ xa khỏi mình, Chẳng để sự bất công ở trong trại mình,
Then truly your face will be lifted up, with no mark of sin, and you will be fixed in your place without fear:|Bấy giờ, ông hẳn sẽ ngước mắt lên không tì vít gì, Thật sẽ được vững vàng, chẳng sợ chi;
For your sorrow will go from your memory, like waters flowing away:|Ong sẽ quên các điều hoạn nạn mình, Và nhớ đến nó như nước đã chảy qua.
And your life will be brighter than day; though it is dark, it will become like the morning.|Đời ông sẽ sáng sủa hơn ban trưa; Dẫu nay tối tăm, sau sẽ hóa ra như buổi sáng.
And you will be safe because there is hope; after looking round, you will take your rest in quiet;|Ong sẽ bình an vô sự, vì có sự trông cậy; Ong sẽ tìm tòi bốn bên, rôi nghỉ ngơi yên hàn vô sự.
Sleeping with no fear of danger; and men will be desiring to have grace in your eyes;|Lại ông sẽ nằm, không ai làm cho mình sợ hãi, Và lắm người sẽ tìm ơn của ông.
But the eyes of the evil-doers will be wasting away; their way of flight is gone, and their only hope is the taking of their last breath.|Nhưng kẻ hung ác sẽ bị hao mòn; Nó chẳng có nơi ẩn núp, Và điều nó sẽ trông mong, ấy là sự tắt hơi.

					Job 12				|
						Gióp 12					
And Job made answer and said,|Gióp đáp lại rằng:
No doubt you have knowledge, and wisdom will come to an end with you.|Hẳn chi các ngươi thật là người, Sự khôn ngoan sẽ đồng chết mất với các ngươi mà chớ!
But I have a mind as well as you; I am equal to you: yes, who has not knowledge of such things as these?|Song ta cũng có sự thông sáng như các ngươi, Chẳng kém hơn đâu; mà lại ai là người không biết những việc như thế?
It seems that I am to be as one who is a cause of laughing to his neighbour, one who makes his prayer to God and is answered! the upright man who has done no wrong is to be made sport of!|Ta đã cầu khẩn Đức Chúa Trời, và Đức Chúa Trời đáp lời cho ta; Nay ta thành ra trò cười của bầu bạn ta; Người công bình, người trọn vẹn đã trở nên một vật chê cười!
In the thought of him who is in comfort there is no respect for one who is in trouble; such is the fate of those whose feet are slipping.|Lòng người nào ở an nhiên khinh bỉ sự tai họa. Tai họa thường sẵn giáng trên kẻ nào trợt chơn vấp ngã.
There is wealth in the tents of those who make destruction, and those by whom God is moved to wrath are safe; even those whose god is their strength.|Trại của kẻ cướp được may mắn, Những kẻ chọc giận Đức Chúa trời ở bình an vô sự, Và được Đức Chúa Trời phó vào tay mình nhiều tài sản dư dật.
But put now a question to the beasts, and get teaching from them; or to the birds of the heaven, and they will make it clear to you;|Nhưng khá hỏi loài thú, chúng nó sẽ dạy dỗ ngươi, Hỏi các chim trời, thì chúng nó sẽ bảo cho ngươi;
Or to the things which go flat on the earth, and they will give you wisdom; and the fishes of the sea will give you news of it.|Hoặc nữa, hãy nói với đất, nó sẽ giảng dạy cho ngươi; Còn những cá biển sẽ thuật rõ cho ngươi biết.
Who does not see by all these that the hand of the Lord has done this?|Trong các loài này, loài nào chẳng biết Rằng tay của Đức Chúa Trời đã làm ra những vật ấy?
In whose hand is the soul of every living thing, and the breath of all flesh of man.|Trong tay Ngài cầm hồn của mọi vật sống, Và hơi thở của cả loài người.
Are not words tested by the ear, even as food is tasted by the mouth?|Lỗ tai há chẳng xét lời nói, Như ổ gà nếm những thực vật sao?
Old men have wisdom, and a long life gives knowledge.|Người già cả có sự khôn ngoan, Kẻ hưởng trường thọ được điều thông sáng.
With him there is wisdom and strength; power and knowledge are his.|Nơi Đức Chúa Trời có sự khôn ngoan và quyền năng; Mưu luận và thông minh điều thuộc về Ngài.
Truly, there is no building up of what is pulled down by him; when a man is shut up by him, no one may let him loose.|Kìa, Ngài phá hủy, loài người không cất lại được; Ngài giam cầm người nào, không ai mở ra cho.
Truly, he keeps back the waters and they are dry; he sends them out and the earth is overturned.|Nầy, Ngài ngăn nước lại, nước bèn khô cạn; Đoạn, Ngài mở nó ra, nó bèn làm đồi tàn đất,
With him are strength and wise designs; he who is guided into error, together with his guide, are in his hands;|Tại nơi Ngài có quyền năng và khôn ngoan; Kẻ bị lầm lạc và kẻ làm cho lầm lạc đều thuộc về Ngài.
He takes away the wisdom of the wise guides, and makes judges foolish;|Ngài bắt dẫn tù những kẻ bày mưu, Khiến các quan xét ra điên dại.
He undoes the chains of kings, and puts his band on them;|Ngài mở trói cho các vua, Và thắt xiềng xích nơi chơn họ;
He makes priests prisoners, overturning those in safe positions;|Ngài bắt tù dẫn những thầy tế lễ, Đánh đổ các kẻ cường quyền.
He makes the words of responsible persons without effect, and takes away the good sense of the old;|Ngài cất lời khỏi kẻ nói thành tín, Làm cho kẻ già cả mất trí khôn.
He puts shame on chiefs, and takes away the power of the strong;|Ngài giáng điều sỉ nhục trên kẻ sang trọng, Tháo dây lưng của người mạnh bạo.
Uncovering deep things out of the dark, and making the deep shade bright;|Ngài bày tỏ những sự mầu nhiệm ẩn trong tăm tối, Và khiến bóng sự chết hóa ra sáng sủa.
Increasing nations, and sending destruction on them; making wide the lands of peoples, and then giving them up.|Ngài khiến các dân tộc hưng thạnh, rồi lại phá diệt đi; Mở rộng giới hạn cho các nước, đoạn thâu nó lại.
He takes away the wisdom of the rulers of the earth, and sends them wandering in a waste where there is no way.|Ngài cất thông sáng khỏi những trưởng của các dân tộc thế gian, Khiến chúng đi dông dài trong đồng vắng không đường lối.
They go feeling about in the dark without light, wandering without help like those overcome with wine.|Chúng rờ đi trong tối tăm, không có sự sáng, Và Ngài làm cho họ đi ngả nghiêng như kẻ say.

					Job 13				|
						Gióp 13					
Truly, my eye has seen all this, word of it has come to my ear, and I have knowledge of it.|Nầy, mắt ta đã thấy các điều đó, Tai ta có nghe và hiểu đến.
The same things are in my mind as in yours; I am equal to you.|Điều gì các ngươi biết, ta cũng biết với. Ta chẳng kém hơn các người đâu.
But I would have talk with the Ruler of all, and my desire is to have an argument with God.|Song ta muốn thưa với Đấng Toàn năng, Ước ao biện luận cùng Đức Chúa Trời:
But you put a false face on things; all your attempts to put things right are of no value.|Còn các ngươi là kẻ đúc rèn lời dối trá; Thảy đều là thầy thuốc không ra gì hết.
If only you would keep quiet, it would be a sign of wisdom!|Chớ chi các ngươi nín lặng! Đó sẽ là sự khôn ngoan của các ngươi.
Give ear to the argument of my mouth, and take note of the words of my lips.|Vậy, hãy nghe lời biện luận của ta, Khá chăm chỉ về lẽ đối nại của miệng ta.
Will you say in God's name what is not right, and put false words into his mouth?|Có phải các ngươi dám nói lời bất công với Đức Chúa Trời chăng? Các ngươi há sẽ nói điều dối trá vì Ngài sao?
Will you have respect for God's person in this cause, and put yourselves forward as his supporters?|Các ngươi há muốn tây vị Đức Chúa Trời, Và cãi lẽ cho Ngài sao?
Will it be good for you to be searched out by him, or have you the thought that he may be guided into error like a man?|Nếu Ngài dò xét lòng các ngươi, các ngươi vừa ý điều đó sao? Các ngươi há muốn phỉnh gạt Ngài như phỉnh gạt loài người sao?
He will certainly put you right, if you have respect for persons in secret.|Quả thật Ngài sẽ trách phạt các ngươi. Nếu các ngươi lén tây vị người.
Will not his glory put you in fear, so that your hearts will be overcome before him?|Chớ thì sự oai nghi Ngài sẽ chẳng khiến các ngươi bối rối sao? Sự hoảng kinh Ngài há sẽ chẳng giáng trên các ngươi ư,
Your wise sayings are only dust, and your strong places are only earth.|Châm ngôn của các ngươi chỉ như châm ngôn loài tro bụi; Những thành lũy của các ngươi thật là thành lũy bùn đất,
Keep quiet, and let me say what is in my mind, whatever may come to me.|Vậy, hãy nín đi, khá lìa khỏi ta, để ta biện luận, Mặc dầu xảy đến cho ta điều gì.
I will take my flesh in my teeth, and put my life in my hand.|Cớ sao ta lấy răng cắn thịt mình Và liều sanh mạng mình?
Truly, he will put an end to me; I have no hope; but I will not give way in argument before him;|Dẫu Chúa giết ta, ta cũng còn nhờ cậy nơi Ngài; Nhưng ta sẽ binh vực tánh hạnh ta trước mặt Ngài.
And that will be my salvation, for an evil-doer would not come before him,|Chánh điều đó sẽ là sự cứu rỗi ta; Vì một kẻ vô đạo chẳng được đến trước mặt Chúa.
Give ear with care to my words, and keep what I say in your minds.|Hãy nghe kỹ càng các lời ta, Lời trần cáo ta khá lọt vào tai các ngươi!
See now, I have put my cause in order, and I am certain that I will be seen to be right.|Kìa, ta đã bày tỏ việc cáo tụng ta, Ta biết ta sẽ được xưng công bình.
Is any one able to take up the argument against me? If so, I would keep quiet and give up my breath.|Có ai sẽ tranh luận với ta chăng? Ví bằng ta nín lặng, quả ta tắt hơi.
Only two things do not do to me, then I will come before your face:|Có hai điều cầu xin Chúa chớ làm cho tôi, Thì tôi sẽ không ẩn mình tôi khỏi mặt Chúa:
Take your hand far away from me; and let me not be overcome by fear of you.|Xin Chúa rút tay Chúa khỏi mình tôi, Và sự hoảng kinh của Chúa chớ làm bối rối tôi nữa.
Then at the sound of your voice I will give answer; or let me put forward my cause for you to give me an answer.|Đoạn, hãy gọi tôi, tôi sẽ thưa lại, Hoặc tôi nói thì Chúa sẽ trả lời cho tôi.
What is the number of my evil-doings and my sins? give me knowledge of them.|Số gian ác và tội lỗi tôi bao nhiêu? Cầu xin Chúa cho tôi biết sự phạm luật và tội lỗi tôi.
Why is your face veiled from me, as if I was numbered among your haters?|Nhân sao Chúa giấu mặt Chúa, Và cầm bằng tôi là kẻ cừu địch Chúa?
Will you be hard on a leaf in flight before the wind? will you make a dry stem go more quickly on its way?|Chúa há muốn khiến kinh hãi chiếc lá bị gió đưa đi, Và đuổi theo cộng rạ khô sao?
For you put bitter things on record against me, and send punishment on me for the sins of my early years;|Vì Chúa làm cho tôi bị điều cay đắng, Và khiến cho tôi gánh các tội ác phạm lúc thanh niên,
And you put chains on my feet, watching all my ways, and making a limit for my steps;|Đặt chơn tôi trong xiềng tỏa, Xét các đường lối tôi, Và ghi ranh hạng chung quanh bước chơn tôi,
Though a man comes to nothing like a bit of dead wood, or like a robe which has become food for the worm.|Còn tôi bị bể nát ra như vật mục, Như một cái áo sâu cắn nát vậy.

					Job 14				|
						Gióp 14					
As for man, the son of woman, his days are short and full of trouble.|Loài người bởi người nữ sanh ra, sống tạm ít ngày, Bị đầy dẫy sự khốn khổ.
He comes out like a flower, and is cut down: he goes in flight like a shade, and is never seen again.|Người sanh ra như cỏ hoa, rồi bị phát; Người chạy qua như bóng, không ở lâu dài.
Is it on such a one as this that your eyes are fixed, with the purpose of judging him?|Dầu vậy, Chúa còn để mắt trên người ấy, Và khiến tôi đến chịu Chúa xét đoán sao?
If only a clean thing might come out of an unclean! But it is not possible.|Ai có thể từ sự ô uế mà lấy ra được điều thanh sạch? Chẳng một ai!
If his days are ordered, and you have knowledge of the number of his months, having given him a fixed limit past which he may not go;|Nếu ngày của loài người đã định rồi, Nếu số tháng người ở nơi Chúa, Và Chúa đã định giới hạn cho người, mà không qua khỏi được,
Let your eyes be turned away from him, and take your hand from him, so that he may have pleasure at the end of his day, like a servant working for payment.|Thì xin Chúa hãy xây mắt Ngài khỏi người, để người đặng yên nghỉ, Cho đến khi mãn ngày mình như kẻ làm mướn vậy.
For there is hope of a tree; if it is cut down, it will come to life again, and its branches will not come to an end.|Vì cây cối dẫu bị đốn còn trông cậy Sẽ còn mọc lên nữa, Không thôi nức chồi.
Though its root may be old in the earth, and its cut-off end may be dead in the dust;|Dẫu rễ nó già dưới đất, Thân nó chết trong bụi cát,
Still, at the smell of water, it will make buds, and put out branches like a young plant.|Vừa có hơi nước, nó sẽ mọc chồi, Và đâm nhành như một cây tơ;
But man comes to his death and is gone: he gives up his spirit, and where is he?|Nhưng loài người chết, thì nằm tại đó, Loài người tắt hơi, thì đã đi đâu?
The waters go from a pool, and a river becomes waste and dry;|Nước hồ chảy mất đi, Sông cạn và khô:
So man goes down to his last resting-place and comes not again: till the heavens come to an end, they will not be awake or come out of their sleep.|Cũng vậy, loài người nằm, rồi không hề chổi dậy: Người chẳng hề thức dậy cho đến khi không còn các từng trời, Và chẳng ai sẽ khiến cho người tỉnh lại khỏi giấc ngủ mình.
If only you would keep me safe in the underworld, putting me in a secret place till your wrath is past, giving me a fixed time when I might come to your memory again!|Oi! Chớ gì Chúa giấu tôi nơi âm phủ, che khuất tôi cho đến khi cơn giận Chúa đã nguôi, Định cho tôi một kỳ hẹn, đoạn nhớ lại tôi!
If death takes a man, will he come to life again? All the days of my trouble I would be waiting, till the time came for me to be free.|Nếu loài người chết, có được sống lại chăng! Trọn ngày giặc giã tôi, tôi đợi chờ, Cho đến chừng tôi được buông thả,
At the sound of your voice I would give an answer, and you would have a desire for the work of your hands.|Chúa sẽ gọi, tôi sẽ thưa lại; Chúa sẽ đoái đến công việc của tay Chúa;
For now my steps are numbered by you, and my sin is not overlooked.|Nhưng bây giờ, Chúa đếm các bước tôi, Chúa há chẳng xem xét các tội lỗi tôi sao?
My wrongdoing is corded up in a bag, and my sin is shut up safe.|Các tội phạm tôi bị niêm phong trong một cái túi, Và Chúa có thắt các sự gian ác tôi lại.
But truly a mountain falling comes to dust, and a rock is moved from its place;|Song núi lở ta thành ra bụi, Và hòn đá bị nhắc dời khỏi chổ nó.
The stones are crushed small by the force of the waters; the dust of the earth is washed away by their overflowing: and so you put an end to the hope of man.|Nước làm mòn đá, Lụt trôi bụi đất: Cũng một thể ấy, Chúa hủy sự hy vọng của loài người.
You overcome him for ever, and he is gone; his face is changed in death, and you send him away.|Chúa hãm đánh và thắng hơn loài người luôn, đoạn nó đi qua mất; Chúa đổi sắc mặt nó, và đuổi nó đi.
His sons come to honour, and he has no knowledge of it; they are made low, but he is not conscious of it.|Các con trai người được tôn trọng, còn người nào biết đến; Chúng bị hạ xuống, nhưng người cũng chẳng để ý vào.
Only his flesh still has pain, and his soul is sad.|Thịt người chỉ đau đớn vì một mình người, Và linh hồn người chỉ buồn rầu vì chính mình người mà thôi.

					Job 15				|
						Gióp 15					
And Eliphaz the Temanite made answer and said,|Ê-li-pha, người Thê-man, đáp rằng:
Will a wise man make answer with knowledge of no value, or will he give birth to the east wind?|Người khôn ngoan há đáp bằng lời tri thức hư không, Và phình bụng mình bằng gió đông sao?
Will he make arguments with words in which is no profit, and with sayings which have no value?|Người há có nên lấy lời vô ích mà chữa mình, Dùng câu giảng luận vô dụng mà binh vực sao?.
Truly, you make the fear of God without effect, so that the time of quiet worship before God is made less by your outcry.|Thật ông hủy điều kính sợ Đức chứa Trời, Ngăn trở sự suy gẫm trước mặt Ngài.
For your mouth is guided by your sin, and you have taken the tongue of the false for yourself.|Vì sự gian ác ông dạy dỗ cho miệng mình nói, Và ông chọn lưỡi của kẻ quỉ quyệt.
It is by your mouth, even yours, that you are judged to be in the wrong, and not by me; and your lips give witness against you.|Miệng ông định tội cho ông, chớ chẳng phải tôi; Và môi ông làm chứng dối nghịch cùng ông.
Were you the first man to come into the world? or did you come into being before the hills?|Có phải ông sanh ra đầu trước hết chăng? Há đã được dựng nên trước non núi sao?
Were you present at the secret meeting of God? and have you taken all wisdom for yourself?|Chớ thì ông có nghe điều bàn định trong ý nhiệm của Đức chúa Trời sao? Há chỉ một mình ông được khôn ngoan ư?
What knowledge have you which we have not? is there anything in your mind which is not in ours?|Ong biết chi, mà chúng tôi chẳng biết? Ong thông hiểu gì mà chúng tôi lại không thông hiểu?
With us are men who are grey-haired and full of years, much older than your father.|Giữa vòng chúng tôi cũng có người tóc bạc, kẻ già cả, Được tuổi cao tác lớn hơn cha của ông.
Are the comforts of God not enough for you, and the gentle word which was said to you?|Sự an ủy của Đức chúa Trời, và lời êm dịu nói cho ông nghe, Há là điều nhỏ mọn cho ông sao?
Why is your heart uncontrolled, and why are your eyes lifted up;|Nhân sao lòng ông bức tức, Và mắt ông ngó chớp lách?
So that you are turning your spirit against God, and letting such words go out of your mouth?|Cớ gì mà tâm thần ông phản đối cùng Đức Chúa Trời, Khiến những lời dường ấy ra khỏi miệng ông?
What is man, that he may be clean? and how may the son of woman be upright?|Loài người là chi, mà lại là thanh sạch? Kẻ do người nữ sanh ra là gì, mà lại là công bình?
Truly, he puts no faith in his holy ones, and the heavens are not clean in his eyes;|Kìa, Đức Chúa Trời không tin cậy các thánh đồ Ngài, Đến đỗi các từng trời cũng chẳng trong sạch trước mặt Ngài thay:
How much less one who is disgusting and unclean, a man who takes in evil like water!|Phương chi một người gớm ghiếc và hư nát, Kẻ hay uống gian ác như nước!
Take note and give ear to my words; and I will say what I have seen:|Tôi sẽ dạy ông, ông hãy nghe tôi; Tôi sẽ thuật cho ông điều tôi đã thấy,
(The things which wise men have got from their fathers, and have not kept secret from us;|Là điều kẻ khôn ngoan tỏ ra theo tổ phụ mình, Không giấu giếm;
For only to them was the land given, and no strange people were among them:)|Xứ đã được ban cho chúng mà thôi, Không có người ngoại bang nào được vào giữa bọn họ:
The evil man is in pain all his days, and the number of the years stored up for the cruel is small.|Trọn đời người hung ác bị đau đớn cực lòng, Số ít năm để dành cho kẻ hà hiếp.
A sound of fear is in his ears; in time of peace destruction will come on him:|Tiếng hoảng kinh vang nơi lỗ tai người; Đương chừng lợi đặt, bẻ phá hoại sẽ xông vào người.
He has no hope of coming safe out of the dark, and his fate will be the sword;|Người tưởng không ra khỏi tăm tối được, Và có gươm rình giết người đi.
He is wandering about in search of bread, saying, Where is it? and he is certain that the day of trouble is ready for him:|Người đi chỗ nầy qua nơi nọ để tìm bánh, mà rằng: Bánh tìm ở đâu? Người biết rằng ngày tăm tối đã sẵn bên mình.
He is greatly in fear of the dark day, trouble and pain overcome him:|Sự gian nan buồn thảm làm cho người kinh hãi, Xông áp vào người như một vua sẵn sàng chinh chiến
Because his hand is stretched out against God, and his heart is lifted up against the Ruler of all,|Vì người có giơ tay lên chống cự Đức Chúa Trời, Và cư xử cách kiêu ngạo với Đấng Toàn năng.
Running against him like a man of war, covered by his thick breastplate; even like a king ready for the fight,|Người núp dưới gu khiên, ngước thẳng cổ, và xông đến Chúa;
Because his face is covered with fat, and his body has become thick;|Vì người lấy sự phì béo che mặt mình, Làm cho hai hông mình ra mập mạp.
And he has made his resting-place in the towns which have been pulled down, in houses where no man had a right to be, whose fate was to become masses of broken walls.|Người đã ở những thành bị phá hoại, Ở những nhà bỏ hoang, gần trở nên đổ đống;
He does not get wealth for himself, and is unable to keep what he has got; the heads of his grain are not bent down to the earth.|Người sẽ không trở nên giàu; của cải người cũng sẽ chẳng bền lâu, Và sản nghiệp người sẽ chẳng lan ra trên đất.
He does not come out of the dark; his branches are burned by the flame, and the wind takes away his bud.|Người sẽ chẳng được ra khỏi tối tăm; Ngọn lửa làm khô héo chồi của người, Và người sẽ bị hơi thở miệng Chúa đem đi mất.
Let him not put his hope in what is false, falling into error: for he will get deceit as his reward.|Ngươi chớ nên cậy sự hư không mà bị lừa dối; Vì sự hư không sẽ là phần thưởng của người.
His branch is cut off before its time, and his leaf is no longer green.|Sự nầy sẽ trọn vẹn trước nhựt kỳ người chưa xảy đến, Còn các nhành người sẽ chẳng xanh tươi.
He is like a vine whose grapes do not come to full growth, or an olive-tree dropping its flowers.|Người bỏ quây trái cây xanh mình như một cây nho; Người làm rụng hoa mình như cây Ô li-ve.
For the band of the evil-doers gives no fruit, and the tents of those who give wrong decisions for reward are burned with fire.|Vì dòng dõi kẻ vô đạo không sanh sản, Lửa sẽ tiêu diệt nhà trại kẻ ăn hối lộ.
Evil has made them with child, and they give birth to trouble; and the fruit of their body is shame for themselves.|Họ thọ thai sự ác, bèn sanh ra điều hại tàn, Lòng họ sắm sẵn những chước gian.

					Job 16				|
						Gióp 16					
And Job made answer and said,|Gióp đáp rằng:
Such things have frequently come to my ears: you are comforters who only give trouble.|Ta thường nghe nhiều lời giảng luận như vậy; Các ngươi hết thảy đều là kẻ an ủy bực bội.
May words which are like the wind be stopped? or what is troubling you to make answer to them?|Các lời hư không nầy há chẳng hề hết sao? Điều thúc giục ngươi đáp lời là gì?
It would not be hard for me to say such things if your souls were in my soul's place; joining words together against you, and shaking my head at you:|Ta cũng dễ nói được như các ngươi nói; Nếu linh hồn các ngươi thế cho linh hồn ta, Tất ta cũng sẽ kể thêm lời trách các nguơi, Và lắc đầu về các ngươi.
I might give you strength with my mouth, and not keep back the comfort of my lips.|Nhưng ta sẽ lấy miệng ta giục lòng các ngươi mạnh mẽ, Lời an ủy của môi ta sẽ giảm bớt nơi đau đớn các ngươi.
If I say what is in my mind, my pain becomes no less: and if I keep quiet, how much of it goes from me?|Dẫu ta nói, đau đớn ta không được bớt; Tuy ta nín lặng, nó lìa khỏi ta đâu?
But now he has overcome me with weariness and fear, and I am in the grip of all my trouble.|Nhưng bây giờ, Đức Chúa Trời khiến ta mệt mỏi. Chúa đã tàn hại hết nhà của tôi.
It has come up as a witness against me, and the wasting of my flesh makes answer to my face.|Chúa đã làm tôi đầy nhăn nhíu, ấy làm chứng đối nghịch cùng tôi; Sự ốm yếu tôi dấy nghịch cùng tôi, cáo kiện tôi tại ngay mặt tôi.
I am broken by his wrath, and his hate has gone after me; he has made his teeth sharp against me: my haters are looking on me with cruel eyes;|Trong cơn thạnh nộ người xé tôi và bắt bớ tôi; Người nghiến răng nghịch tôi, Kẻ cừu địch tôi trừng ngó tôi.
Their mouths are open wide against me; the blows of his bitter words are falling on my face; all of them come together in a mass against me.|Chúng há miệng nghịch tôi, Vả má tôi cách khinh thị; Chúng hiệp nhau hãm đánh tôi.
God gives me over to the power of sinners, sending me violently into the hands of evil-doers.|Đức Chúa Trời đã phó tôi cho kẻ vô đạo, Trao tôi vào tay kẻ gian ác.
I was in comfort, but I have been broken up by his hands; he has taken me by the neck, shaking me to bits; he has put me up as a mark for his arrows.|Tôi xưa bình tịnh, Ngài bèn tàn hại tôi; Ngài có nắm cổ tôi, và bể nát tôi, Cũng đặt tôi làm tấm bia cho Ngài.
His bowmen come round about me; their arrows go through my body without mercy; my life is drained out on the earth.|Các mũi tên Ngài vây phủ tôi, Ngài bắn lưng hông tôi, không thương tiếc, Đổ mặt tôi xuống đất.
I am broken with wound after wound; he comes rushing on me like a man of war.|Ngài làm cho tôi thương tích này trên thương tích kia, Xông vào tôi như một kẻ mạnh bạo.
I have made haircloth the clothing of my skin, and my horn is rolled in the dust.|Tôi đã may cái bao trên da tôi, Tôi hạ mặt tôi xuống bụi đất.
My face is red with weeping, and my eyes are becoming dark;|Mặt tôi sưng đỏ lên vì cớ khóc, Bóng sự chết ở nơi mí mắt tôi;
Though my hands have done no violent acts, and my prayer is clean.|Mặc dầu tại trong tay tôi không có sự hung dữ, Và lời cầu nguyện tôi vốn tinh sạch.
O earth, let not my blood be covered, and let my cry have no resting-place!|Oi đất, chớ lấp huyết ta! Ước gì tiếng than kêu tôi không có chỗ ngưng lại!
Even now my witness is in heaven, and the supporter of my cause is on high.|Chánh giờ này, Đấng chứng tôi ở trên trời, Và Đấng bảo lãnh cho tôi ở tại nơi cao.
My friends make sport of me; to God my eyes are weeping,|Các bạn hữu tôi nhạo báng tôi. Tôi còn hướng về Đức Chúa Trời mà khóc,
So that he may give decision for a man in his cause with God, and between a son of man and his neighbour.|Để Ngài phân xử giữa loài người và Đức Chúa Trời, Giữa con cái loài người và đồng loại nó!
