
					Joshua 1				|
The men of Ai put to death about thirty-six of them, driving them from before the town as far as the stoneworks, and overcoming them on the way down: and the hearts of the people became like water.|Người A-hi giết chừng ba mươi sáu người, rượt theo họ từ cửa thành cho đến Sê-ba-rim, và đánh họ lúc đi xuống dốc. Lòng dân sự bèn ta ra như nước.
Then Joshua, in great grief, went down on the earth before the ark of the Lord till the evening, and all the chiefs of Israel with him, and they put dust on their heads.|Giô-suê bèn xé áo mình, rồi người và các trưởng lão Y-sơ-ra-ên sấp mặt xuống đất trước hòm của Đức Giê-hô-va cho đến chiều tối, và vải bụi đất trên đầu mình.
And Joshua said, O Lord God, why have you taken us over Jordan only to give us up into the hands of the Amorites for our destruction? If only it had been enough for us to keep on the other side of Jordan!|Giô-suê nói: Oi! Chúa Giê-hô-va, sao Ngài đem dân này qua sông Giô-đanh đặng phó chúng tôi vào tay dân A-mô-rít mà làm cho diệt đi? Oi! chớ chi chúng tôi chọn phần ở lại bên kia sông Giô-đanh!
O Lord, what am I to say now that Israel have given way before their attackers?|Than ôi! hỡi Chúa, sau khi Y-sơ-ra-ên đã xây lưng trước mặt kẻ thù nghịch mình, tôi còn nói làm sao?
For when the news comes to the Canaanites and all the people of the land, they will come up, shutting us in and cutting off our name from the earth: and what will you do for the honour of your great name?|Dân Ca-na-an và cả dân ở xứ này sẽ hay điều đó, sẽ vây chúng tôi, và diệt danh chúng tôi khỏi đất; rồi Chúa sẽ làm sao cho danh lớn Chúa?
Then the Lord said to Joshua, Get up; what are you doing with your face to the earth?|Bấy giờ, Đức Giê-hô-va phán cùng Giô-suê rằng: Hãy đứng dậy; sao ngươi sấp mặt xuống đất như vậy?
Israel has done wrong, sinning against the agreement which I made with them: they have even taken of the cursed thing; acting falsely like thieves they have put it among their goods.|Y-sơ-ra-ên có phạm tội; chúng nó bội nghịch giao ước ta đã truyền cho đến nỗi dám lấy vật đáng diệt, ăn cắp vật đó, làm dối trá, và để trong bao mình.
For this reason the children of Israel have given way, turning their backs in flight before their attackers, because they are cursed: I will no longer be with you, if you do not put the cursed thing away from among you.|Bởi cớ đó, dân Y-sơ-ra-ên không thế chống cự nổi trước mặt kẻ thù nghịch mình, phải xây lưng trước mặt chúng nó, vì Y-sơ-ra-ên đã trở nên kẻ bị rủa sả. Nếu các ngươi không cất khỏi giữa mình vật đáng diệt ấy, thì ta không còn ở cùng các ngươi nữa.
Up! make the people holy; say to them, Make yourselves holy before tomorrow, for the Lord, the God of Israel, has said, There is a cursed thing among you, O Israel, and you will give way before your attackers in the fight till the cursed thing has been taken away from among you.|Hãy đứng dậy làm cho dân sự nên thánh, và hãy nói rằng: Các ngươi khá làm cho mình nên thánh về ngày mai; vì Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên có phán như vầy: Hỡi Y-sơ-ra-ên, ngươi có vật đáng diệt tại giữa ngươi! ngươi không thế chống cự nổi trước mặt kẻ thù nghịch mình cho đến chừng nào các ngươi đã cất khỏi giữa mình vật đáng diệt ấy.
So in the morning you are to come near, tribe by tribe; and the tribe marked out by the Lord is to come near, family by family; and the family marked out by the Lord is to come near, house by house; and the house marked out by the Lord is to come near, man by man.|Vậy, sáng mai các ngươi sẽ đi đến gần từng chi phái; chi phái nào mà Đức Giê-hô-va chỉ ra sẽ đến gần từng họ hàng; họ hàng nào mà Đức Giê-hô-va chỉ ra sẽ đến gần từng nhà; nhà nào mà Đức Giê-hô-va chỉ ra sẽ đến gần từng người.
Then the man who is taken with the cursed thing is to be burned, with everything which is his; because he has gone against the agreement of the Lord and has done an act of shame in Israel.|Người nào bị chỉ ra là kẻ có của đáng diệt đó, sẽ bị thiêu nơi lửa, cùng các món thuộc về người; vì người đã bội giao ước của Đức Giê-hô-va, và phạm sự xấu hổ trong Y-sơ-ra-ên.
So Joshua got up early in the morning, and made Israel come before him by their tribes; and the tribe of Judah was taken;|Vậy, Giô-suê dậy sớm, biểu Y-sơ-ra-ên đến gần từng chi phái; và chi phái Giu-đa bị chỉ ra.
Then he made Judah come forward, and the family of the Zerahites was taken; and he made the family of the Zerahites come forward man by man; and Zabdi was taken;|Đoạn, người biểu các họ hàng Giu-đa đến gần; và họ hàng Xê-rách bị chỉ ra. Đoạn, người biểu họ hàng Xê-rách lại gần từng gia trưởng; và Xáp-đi bị chỉ ra.
Then the house of Zabdi came forward man by man, and Achan, the son of Carmi, the son of Zabdi, the son of Zerah, of the tribe of Judah, was taken.|Người biểu nhà Xáp-đi đến gần từng người; thì A-can, con trai của Cạt-ni, cháu của Xáp-đi, bị chỉ ra.
And Joshua said to Achan, My son, give glory and praise to the Lord, the God of Israel; give me word now of what you have done, and keep nothing back from me.|Giô-suê bèn nói cùng A-can rằng: Hỡi con, xin hãy tôn vinh Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên, và ngợi khen Ngài; hãy thú thật cho ta điều con đã làm, chớ giấu chút nào.
And Achan, answering, said to Joshua, Truly I have done wrong against the Lord, the God of Israel, and this is what I have done:|A-can thưa cùng Giô-suê rằng: Phải, tôi đã phạm tội cùng Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên, và này là điều tôi đã làm:
When I saw among their goods a fair robe of Babylon and two hundred shekels of silver, and a mass of gold, fifty shekels in weight, I was overcome by desire and took them; and they are put away in the earth in my tent, and the silver is under it.|Tôi có thấy trong của cướp một cái áo choàng Si-nê -a tốt đẹp, hai trăm siếc lơ bạc, và một ném vàng nặng năm mươi siếc lơ; tôi tham muốn các món đó, và lấy nó; kìa, các vật ấy đã giấu dưới đất giữa trại tôi, còn bạc thì ở dưới.
So Joshua sent men quickly, and looking in his tent, they saw where the robe had been put away secretly with the silver under it.|Giô-suê bèn sai người chạy đến trại, thấy áo choàng giấu tại đó, và bạc thì ở dưới.
And they took them from the tent and came back with them to Joshua and the children of Israel, and put them before the Lord.|Họ lấy các vật đó giữa trại, đem về cho Giô-suê và cho hết thảy dân Y-sơ-ra-ên, rồi để trước mặt Đức Giê-hô-va.
Then Joshua and all Israel took Achan, the son of Zerah, and the silver and the robe and the mass of gold, and his sons and his daughters and his oxen and his asses and his sheep and his tent and everything he had; and they took them up into the valley of Achor.|Bấy giờ, Giô-suê và cả Y-sơ-ra-ên bắt A-can, con cháu Xê-rách, cùng lấy bạc, áo choàng, nén vàng, con trai, con gái của người, bò, lừa, chiên, trại, và mọi vật chi thuộc về người, mà dẫn đến trong trũng A-cô.
And Joshua said, Why have you been a cause of trouble to us? Today the Lord will send trouble on you. And all Israel took part in stoning him; they had him stoned to death and then burned with fire.|Giô-suê nói: Sao ngươi có khuấy rối chúng ta? Đức Giê-hô-va chắc sẽ khuấy rối ngươi ngày nay. Rồi cả Y-sơ-ra-ên ném đá người; họ thiêu các người ấy trong lửa, và lấy đá lấp chúng nó lại.
And over him they put a great mass of stones, which is there to this day; then the heat of the Lord's wrath was turned away. So that place was named, The Valley of Achor, to this day.|Kế ấy, chúng chất trên thây người một đống đá lớn, hãy còn cho đến ngày nay. Đức Giê-hô-va bèn nguôi cơn thạnh nộ Ngài. Bởi cớ đó, người ta gọi chỗ này là A-cô cho đến ngày nay.

					Joshua 8				|
						Giô-sua 8					
Then the Lord said to Joshua, Have no fear and do not be troubled: take with you all the fighting-men and go up against Ai: for I have given into your hands the king of Ai and his people and his town and his land:|Kế đó, Đức Giê-hô-va phán cùng Giô-suê rằng: Ngươi chớ sợ, chớ ái ngại. Hãy đem theo mình hết thảy quân lính, chổi dậy đi lên hãm đánh thành A-hi. Kìa, ta đã phó vào tay ngươi vua A-hi, dân sự, thành, và xứ của người.
And you are to do to Ai and its king as you did to Jericho and its king: but their goods and their cattle you may take for yourselves: let a secret force be stationed to make a surprise attack on the town from the back.|Ngươi phải đãi A-hi và vua nó như ngươi đã đãi Giê-ri-cô và vua nó; nhưng các ngươi sẽ đoạt lấy hóa tài và súc vật cho mình. Hãy phục binh sau thành.
So Joshua and the fighting-men got ready to go up against Ai; and Joshua took thirty thousand men of war, and sent them out by night.|Vậy, Giô-suê đứng dậy cùng các quân lính đặng lên đánh A-hi. Người chọn ba muôn người mạnh dạn, sai đi ban đêm,
And he gave them their orders, saying, Go and take up your position secretly at the back of the town: do not go very far away, and let all of you be ready:|và truyền lịnh này rằng: Hãy coi, các ngươi sẽ phục binh sau thành; chớ dang ra xa thành quá, hãy dàn cho sẵn.
And I and all the people with me will come near the town, and when they come out against us as they did before, we will go in flight from them;|Còn ta với cả dân sự theo ta, sẽ đi gần lại thành. Khi chúng nó ra đón đánh chúng ta như lần trước, thì chúng ta sẽ chạy trốn trước mặt chúng nó.
And they will come out after us, till we have got them away from the town; for they will say, They have gone in flight from us as before; so we will go in flight before them;|Chúng nó sẽ rượt theo chúng ta cho đến chừng chúng ta dụ chúng nó ra cách xa khỏi thành; vì họ nói rằng: Chúng nó chạy trốn ta như lần trước. Trong lúc chúng ta chạy trốn trước mặt chúng nó,
Then you will get up from your secret position and take the town, for the Lord your God will give it up into your hands.|thì các ngươi sẽ ra khỏi nơi phục binh mà hãm lấy thành; Giê-hô-va Đức Chúa Trời các ngươi sẽ phó thành vào tay các ngươi.
And when you have taken the town, put fire to it, as the Lord has said: see, I have given you your orders.|Khi các ngươi chiếm thành rồi, thì phải phóng hỏa nó; hãy làm theo lời của Đức Giê-hô-va. Hãy coi, này là lịnh ta truyền cho các ngươi.
So Joshua sent them out: and they took up a secret position between Beth-el and Ai, on the west side of Ai: but Joshua kept with the people that night.|Vậy, Giô-suê sai các người đó đi; họ phục giữa khoảng Bê-tên và A-hi, về phía tây của A-hi; còn Giô-suê đêm đó ngủ tại giữa dân sự.
And early in the morning Joshua got up, and put the people in order, and he and the chiefs of Israel went up before the people to Ai.|Kế ấy, Giô-suê dậy sớm, điểm dân sự; người cùng các trưởng lão đi lên trước mặt dân đến thành A-hi.
And all the fighting-men who were with him went up and came near the town, and took up a position on the north side of Ai facing the town, with a valley between him and the town.|Hết thảy quân lính theo người đi lên đến gần trước mặt thành, và đóng trại về phía bắc A-hi: có cái trũng chạy dài giữa họ và thành A-hi.
And taking about five thousand men, he put them in position for a surprise attack on the west side of Ai, between Beth-el and Ai.|Giô-suê bèn đem chừng năm ngàn lính phục giữa khoảng Bê-tên và A-hi, về phía tây của thành.
So all the people were in their places, the army on the north side of the town and the secret force on the west; and that night Joshua went down into the valley.|Khi dân sự đã đóng trại nơi phía bắc của thành, và phục binh về phía tây rồi, thì đêm đó Giô-suê đi xớm tới trong trũng.
Now when the king of Ai saw it, he got up quickly and went out to war against Israel, he and all his people, to the slope going down to the valley; but he had no idea that a secret force was waiting at the back of the town.|Vua thành ấy vừa thấy điều đó, người ta bèn lật đật dậy sớm, vua và cả dân sự người đều đi ra đón Y-sơ-ra-ên tại nơi đã chỉ bảo, về phía đồng bằng, đặng giao chiến; song vua không biết rằng có một đạo binh phục ở phía sau thành.
Then Joshua and all Israel, acting as if they were overcome before them, went in flight by way of the waste land.|Giô-suê và cả Y-sơ-ra-ên để cho chúng nó đánh bại mình, và chạy trốn về phía đồng vắng.
And all the people in Ai came together to go after them; and they went after Joshua, moving away from the town.|Hết thảy dân sự trong thành đều hiệp lại đặng đuổi theo. Vậy chúng rượt theo Giô-suê và bị dụ cách xa khỏi thành;
There was not a man in Ai and Beth-el who did not go out after Israel; and the town was open and unwatched while they went after Israel.|chẳng có một ai ở thành A-hi hay là ở Bê-tên mà không ra đuổi theo Y-sơ-ra-ên; họ bỏ thành trống không để đuổi theo Y-sơ-ra-ên.
And the Lord said to Joshua, Let your spear be stretched out against Ai; for I will give it into your hands. So Joshua took up his spear, stretching it out in the direction of the town.|Bấy giờ, Đức Giê-hô-va phán cùng Giô-suê rằng: Hãy giơ giáo ngươi cầm nơi tay ra về hướng thành A-hi, vì ta sẽ phó thành vào tay ngươi. Giô-suê bèn giơ giáo mình cầm nơi tay ra về hướng thành.
Then the secret force came quickly from their place, and running forward when they saw his hand stretched out, went into the town and took it, and put fire to it straight away.|Vừa giơ tay lên, binh phục lập tức đứng dậy khỏi chỗ mình núp mà chạy vào thành, chiếm lấy và phóng hỏa nó.
Then the men of Ai, looking back, saw the smoke of the town going up to heaven, and were unable to go this way or that: and the people who had gone in flight to the waste land were turned back on those who were coming after them.|Người thành A-hi quay lại, nhìn thấy khói đốt thành bay lên trời; họ chẳng một phương thế nào đặng trốn về phía này hay là phía kia. Vả, dân sự chạy trốn về phía đồng vắng trở lộn lại đánh những kẻ rượt đuổi theo mình.
And when Joshua and all Israel saw that the town had been taken by the surprise attack, and that the smoke of the town had gone up, turning round they overcame the men of Ai.|Khi Giô-suê và cả Y-sơ-ra-ên thấy binh phục đã lấy thành, và khói đốt thành bay lên, bèn trở về đánh người A-hi.
Then the other force came out of the town against them, so that they were being attacked on this side and on that: and Israel overcame them and let not one of them get away with his life.|Các binh khác cũng ra khỏi thành đón đánh dân A-hi; như vậy chúng nó bị dân Y-sơ-ra-ên vây phủ, bên này có đạo này, bên kia có quân kia. Người ta đánh chúng nó đến đỗi không còn để lại kẻ nào sống hay là cho ai thoát được.
But the king of Ai they made prisoner, and took him to Joshua.|Binh bắt sống vua A-hi, và dẫn đến cùng Giô-suê.
Then, after the destruction of all the people of Ai in the field and in the waste land where they went after them, and when all the people had been put to death without mercy, all Israel went back to Ai, and put to death all who were in it without mercy.|Khi dân Y-sơ-ra-ên đã giết xong hết thảy người thành A-hi, hoặc trong đồng ruộng hay là trong đồng vắng, là nơi chúng nó bị đuổi theo, và khi hết thảy, đến đỗi người chót, đã ngã rạp dưới lưỡi gươm rồi, thì dân Y-sơ-ra-ên trở về A-hi và giết bằng lưỡi gươm những kẻ còn ở tại đó.
On that day twelve thousand were put to death, men and women, all the people of Ai.|Trong ngày đó, hết thảy người A-hi, nam và nữ, đều bị ngã chết, số là mười hai ngàn người.
For Joshua did not take back his hand with the outstretched spear till the destruction of the people of Ai was complete.|Giô-suê chẳng rút lại tay mình đã cầm giơ thẳng ra với cây giáo, cho đến chừng nào người ta đã diệt hết thảy người thành A-hi.
But the cattle and the goods from that town, Israel took for themselves, as the Lord had given orders to Joshua.|Song dân Y-sơ-ra-ên cướp cho mình những súc vật và hóa tài của thành này, y như Đức Giê-hô-va đã phán dặn Giô-suê.
So Joshua gave Ai to the flames, and made it a waste mass of stones for ever, as it is to this day.|Vậy, Giô-suê phóng hỏa thành A-hi, và làm cho nó ra một đống hư tàn đời đời, y như hãy còn đến ngày nay.
And he put the king of Ai to death, hanging him on a tree till evening: and when the sun went down, Joshua gave them orders to take his body down from the tree, and put it in the public place of the town, covering it with a great mass of stones, which is there to this day.|Người biểu treo vua A-hi lên trên một cây và để đó cho đến chiều; nhưng khi mặt trời lặn, Giô-suê biểu người ta hạ thây xuống khỏi cây. Người ta đem liệng thây đó nơi cửa thành, và chất lên trên một đống đá lớn, hãy còn đến ngày nay.
Then Joshua put up an altar to the Lord, the God of Israel, in Mount Ebal,|Bấy giờ, Giô-suê lập một bàn thờ cho Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên tại trên núi Ê-banh,
In the way ordered by Moses, the servant of the Lord, as it is recorded in the book of the law of Moses, an altar of uncut stones, untouched by any iron instrument: and on it they made burned offerings and peace-offerings to the Lord.|y như Môi-se, tôi tớ của Đức Giê-hô-va, đã dặn biểu dân Y-sơ -r-ên, và đã có chép trong sách luật pháp Môi-se: ấy là một bàn thờ bằng đá nguyên khối, sắt chưa đụng đến. Ở đó dân sự dâng của lễ thiêu cho Đức Giê-hô-va, và dâng của lễ thù ân.
And he made there on the stones a copy of the law of Moses, writing it before the eyes of the children of Israel.|Tại đó Giô-suê cũng khắc trên đá một bản luật pháp mà Môi-se đã chép trước mặt dân Y-sơ-ra-ên.
And all Israel, those who were Israelites by birth, as well as the men from other lands living with them, and their responsible men and their overseers and judges, took their places round the ark, in front of the priests, the Levites, whose work it was to take up the ark of the Lord's agreement; half of them were stationed in front of Mount Gerizim and half in front of Mount Ebal, in agreement with the orders for the blessing of the children of Israel which Moses, the servant of the Lord, had given.|Cả Y-sơ-ra-ên, các trưởng lão, các quan cai, và các quan xét đứng hai bên hòm trước mặt những thầy tế lễ, người Lê-vi, là người khiêng hòm giao ước ủa Đức Giê-hô-va. Những khách lạ luôn với dân Y-sơ-ra-ên đều có mặt tại đó, phân nửa này ở về phía núi Ga-ri-xim, và phân nửa kia ở về phía núi Ê-banh, tùy theo lịnh mà Môi-se, tôi tớ của Đức Giê-hô-va, trước đã truyền cho chúc phước dân Y-sơ-ra-ên.
And after, he gave them all the words of the law, the blessing and the curse, as it is all recorded in the book of the law;|Đoạn, Giô-suê đọc hết các lời luật pháp, sự chúc lành và sự chúc dữ, y như đã chép trong sách luật pháp.
Reading to all the meeting of Israel, with the women and the children and the men from other lands who were living among them, every word of the orders which Moses had given.|Chẳng có lời nào về mọi điều Môi-se đã truyền dặn mà Giô-suê không đọc tại trước mặt cả hội chúng Y-sơ-ra-ên, trước mặt đờn bà, con nít, và khách lạ ở giữa họ.

					Joshua 9				|
						Giô-sua 9					
Now on hearing the news of these things, all the kings on the west side of Jordan, in the hill-country and the lowlands and by the Great Sea in front of Lebanon, the Hittites and the Amorites, the Canaanites, the Perizzites, the Hivites, and the Jebusites,|Khi hay được việc này, hết thảy các vua ở bên này sông Giô-đanh, hoặc ở trong núi, dưới đồng bằng, hay là dọc bãi biển lớn đối ngang Li-ban, tức là các vua dân Hê-tít, dân A-mô-rít, dân Ca-na-an, dân Phê-rê-sít, và dân Giê-bu-sít,
Came together with one purpose, to make war against Joshua and Israel.|đều rập một ý hiệp với nhau đặng giao chiến với Giô-suê và Y-sơ-ra-ên.
And the men of Gibeon, hearing what Joshua had done to Jericho and Ai,|Khi dân Ga-ba-ôn đã hay điều Giô-suê làm cho Giê-ri-cô và A-hi,
Acting with deceit, got food together as if for a long journey; and took old food-bags for their asses, and old and cracked wine-skins kept together with cord;|bèn tính dùng mưu kế. Chúng nó giả bộ đi sứ, lấy bao cũ chất cho lừa mình, và bầu chứa rượu cũ rách vá lại,
And put old stitched-up shoes on their feet, and old clothing on their backs; and all the food they had with them was dry and broken up.|dưới chơn mang giày cũ vá, và trên mình quần áo cũ mòn; hết thảy bánh về lương bị họ đều khô và miếng vụn.
And they came to Joshua to the tent-circle at Gilgal, and said to him and to the men of Israel, We have come from a far country: so now make an agreement with us.|Chúng nó đi đến gần Giô-suê tại trại quân Ghinh-ganh, mà nói cùng người và dân Y-sơ-ra-ên rằng: Chúng tôi ở xứ xa đến; vậy bây giờ, hãy lập giao ước cùng chúng tôi.
And the men of Israel said to the Hivites, It may be that you are living among us; how then may we make an agreement with you?|Dân Y-sơ-ra-ên đáp cùng dân Hê-vít rằng: Có lẽ các ngươi ở giữa chúng ta chăng; vậy làm thế nào lập giao ước đặng?
And they said to Joshua, We are your servants. Then Joshua said to them, Who are you and where do you come from?|Nhưng chúng nó nói cùng Giô-suê rằng: Chúng tôi là tôi tớ của ông. Giô-suê hỏi: Các ngươi là ai, ở đâu đến?
And they said to him, Your servants have come from a very far country, because of the name of the Lord your God: for the story of his great name, and of all he did in Egypt has come to our ears,|Đáp rằng: Tôi tớ của ông ở từ xứ rất xa đến để tôn trọng danh Giê-hô-va là Đức Chúa Trời của ông; vì chúng tôi có nghe nói về Ngài, và mọi điều Ngài đã làm trong xứ Ê-díp-tô;
And what he did to the two kings of the Amorites east of Jordan, to Sihon, king of Heshbon, and to Og, king of Bashan, at Ashtaroth.|lại cũng nghe về mọi điều Ngài đã làm cho hai vua A-mô-rít ở bên kia sông Giô-đanh, là Si-hôn, vua Hết-bôn, và Oc, vua Ba-san, ở tại Ach-ta-rốt.
So the responsible men and all the people of our country said to us, Take food with you for the journey and go to them, and say to them, We are your servants: so now make an agreement with us.|Các trưởng lão và hết thảy dân sự ở xứ chúng tôi có nói cùng chúng tôi rằng: Hãy lấy lương thực dùng dọc đường, đi đến trước mặt dân đó, mà nói rằng: Chúng tôi là tôi tớ các ông; và bây giờ, hãy lập giao ước cùng chúng tôi.
This bread which we have with us for our food, we took warm and new from our houses when starting on our journey to you; but now see, it has become dry and broken up.|Kìa, bánh của chúng tôi; ngày chúng tôi ra khỏi nhà đặng đi đến cùng các ông, chúng tôi lấy nó đem theo làm lương thực vẫn nóng hổi, mà ngày nay đã khô và bể vụn.
And these wine-skins were new when we put the wine in them, and now they are cracked as you see; and our clothing and our shoes have become old because of our very long journey here.|Những bầu rượu này chúng tôi đổ đầy rượu hãy còn mới tinh, kìa nay đã rách; còn quần áo và giày chúng tôi đã cũ mòn, bởi vì đi đường xa.
And the men took some of their food, without requesting directions from the Lord.|Người Y-sơ-ra-ên bèn nhậm lương thực chúng nó, không cầu hỏi Đức Giê-hô-va.
So Joshua made peace with them, and made an agreement with them that they were not to be put to death: and the chiefs of the people took an oath to them.|Giô-suê lập hòa cùng chúng nó, và kết ước cho chúng nó sống; rồi các trưởng lão của hội chúng bèn thề cùng chúng nó.
Now three days after, when they had made this agreement with them, they had word that these men were their neighbours, living near them.|Nhưng ba ngày sau khi đã lập giao ước cùng chúng nó, dân Y-sơ-ra-ên hay rằng các người này vốn lân cận mình, và ở tại giữa mình.
And the children of Israel went forward on their journey, and on the third day came to their towns. Now their towns were Gibeon and Chephirah and Beeroth and Kiriath-jearim.|Dân Y-sơ-ra-ên lên đường, và ngày thứ ba đến thành chúng nó. Vả, các thành của chúng nó là Ga-ba-ôn, Kê-phi-ra, Bê-ê-rốt, và Ki-ri-át-Giê -a-rim.
And the children of Israel did not put them to death, because the chiefs of the people had taken an oath to them by the Lord, the God of Israel. And all the people made an outcry against the chiefs.|Dân Y-sơ-ra-ên không giao chiến cùng dân đó, vì cớ các trưởng lão của hội chúng đã chỉ danh Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên mà thề cùng dân đó; nhưng cả hội chúng lằm bằm cùng các quan trưởng.
But all the chiefs said to the people, We have taken an oath to them by the Lord, the God of Israel, and so we may not put our hands on them.|Các quan trưởng bèn nói cùng cả hội chúng rằng: Chúng ta đã chỉ danh Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên mà thề cùng dân đó; vậy, từ bây giờ chúng ta không thế hại chúng nó được.
This is what we will do to them: we will not put them to death, for fear that wrath may come on us because of our oath to them.|Chúng ta phải đãi dân đó như vầy: Phải để cho chúng nó sống, hầu cho chớ vì cớ lời thề đã lập, mà chúng ta khiến cơn thạnh nộ của Đức Giê-hô-va giáng trên chúng ta.
Keep them living, and let them be servants, cutting wood and getting water for all the people. And all the people did as the chiefs had said to them.|Vậy, các quan trưởng tỏ rằng chúng nó được sống, nhưng phải bị dùng để đốn củi xách nước cho cả hội chúng, y như các quan trưởng đã nói cùng chúng nó.
Then Joshua sent for them, and said to them, Why have you been false to us, saying, We are very far from you, when you are living among us?|Giô-suê bèn gọi dân đó mà nói như vầy: Sao các ngươi đã gạt chúng ta, nói rằng: Chúng tôi ở rất xa các ông, té ra các ngươi ở giữa chúng ta?
Now because of this you are cursed, and you will for ever be our servants, cutting wood and getting water for the house of my God.|Vậy, bây giờ, các ngươi bị rủa sả, không dứt làm tôi mọi, cứ đốn củi và xách nước cho nhà của Đức Chúa Trời ta.
And, answering Joshua, they said, Because it came to the ears of your servants that the Lord your God had given orders to his servant Moses to give you all this land, and to send destruction on all the people living in it, because of you; so, fearing greatly for our lives because of you, we have done this.|Chúng nó bèn thưa cùng Giô-suê rằng: Ay là điều kẻ tôi tớ ông có hay rõ ràng Giê-hô-va Đức Chúa Trời của ông đã phán dặn Môi-se, tôi tớ Ngài, biểu ban toàn xứ cho các ông, và diệt hết thảy dân ở trước mặt mình: ấy vậy, chúng tôi vì cớ các ông lấy làm rất sợ hãi cho sự sống mình, nên mới làm như vậy.
And now we are in your hands: do to us whatever seems good and right to you.|Bây giờ chúng tôi ở trong tay ông, hãy đãi chúng tôi tùy ý ông cho là tốt lành và công bình.
So he kept them safe from the children of Israel, and did not let them be put to death.|Giô-suê bèn làm như người đã nói, và giải cứu chúng nó khỏi bị tay dân Y-sơ-ra-ên giết.
And that day Joshua made them servants, cutting wood and getting water for the people and for the altar of the Lord, in the place marked out by him, to this day.|Trong ngày đó, người cắt chúng nó làm kẻ đốn củi và xách nước cho hội chúng và cho bàn thờ của Đức Giê-hô-va tại trong nơi Ngài chọn lựa; ấy là điều dân đó hãy còn làm đến ngày nay.

					Joshua 10				|
						Giô-sua 10					
Now when it came to the ears of Adoni-zedek, king of Jerusalem, that Joshua had taken Ai, and had given it up to the curse (for as he had done to Jericho and its king, so he had done to Ai and its king); and that the people of Gibeon had made peace with Israel and were living among them;|Khi A-đô-ni-Xê-đéc, vua Giê-ru-sa-lem, hay rằng Giô-suê đã chiếm lấy thành A-hi, và tận diệt nó đi, đãi thành A-hi và vua nó như người đã đãi Giê-ri-cô và vua nó, lại hay rằng dân Ga-ba-ôn đã lập hòa với dân Y-sơ-ra-ên và ở cùng họ,
He was in great fear, because Gibeon was a great town, like one of the king's towns, greater than Ai, and all the men in it were men of war.|thì người lấy làm sợ hãi lắm; vì Ga-ba-ôn là một thành lớn, một đế đô thật; lại lớn hơn thành A-hi, và cả dân sự nó đều là người mạnh dạn.
So Adoni-zedek, king of Jerusalem, sent to Hoham, king of Hebron, and to Piram, king of Jarmuth, and to Japhia, king of Lachish, and to Debir, king of Eglon, saying,|Vậy, A-đô-ni-Xê-đéc, vua thành Giê-ru-sa-lem, sai người đi nói cùng Hô-ham, vua Hếp-rôn, cùng Phi-ram, vua Giạt-mút, cùng Gia-phia, vua La-ki, cùng Đê-bia, vua Ec-lôn, mà rằng:
Come up to me and give me help, and let us make an attack on Gibeon: for they have made peace with Joshua and the children of Israel.|Hãy đi lên đến ta mà tiếp cứu ta, và đánh thành Ga-ba-ôn; vì nó đã lập hòa cùng Giô-suê và dân Y-sơ-ra-ên.
So the five kings of the Amorites, the king of Jerusalem, the king of Hebron, the king of Jarmuth, the king of Lachish, and the king of Eglon, were banded together, and went up with all their armies and took up their position before Gibeon and made war against it.|Vậy, năm vua A-mô-rít, tức là vua Giê-ru-sa-lem, vua Hếp-rôn, vua Giạt-mút, vua La-ki, và vua Ec-lôn nhóm hiệp, kéo lên cùng hết thảy quân lính mình, đóng trại trước Ga-ba-ôn, và hãm đành thành.
And the men of Gibeon sent to Joshua to the tent-circle at Gilgal, saying, Be not slow to send help to your servants; come up quickly to our support and keep us safe: for all the kings of the Amorites from the hill-country have come together against us.|Người Ga-ba-ôn sai kẻ đến nói cùng Giô-suê tại trại quân Ghinh-ganh, mà rằng: Xin chớ bỏ tôi tớ ông; hãy mau lên đến cùng chúng tôi, giải thoát và tiếp cứu chúng tôi vì hết thảy vua A-mô-rít trong núi đã hiệp lại nghịch chúng tôi.
So Joshua went up from Gilgal with all his army and all his men of war.|Vậy, Giô-suê ở Ghinh-ganh đi lên với hết thảy quân lính và những người mạnh dân.
And the Lord said to Joshua, Have no fear of them, for I have given them into your hands; they will all give way before you.|Đức Giê-hô-va phán cùng Giô-suê rằng: Chớ sợ, vì ta đã phó chúng nó vào tay ngươi, chẳng còn một ai đứng nổi trước mặt ngươi được.
So Joshua, having come up from Gilgal all night, made a sudden attack on them.|Vậy, Giô-suê ở Ghinh-ganh đi trọn đêm, rồi chợt đến áp chúng nó.
And the Lord made them full of fear before Israel, and they put great numbers of them to death at Gibeon, and went after them by the way going up to Beth-horon, driving them back to Azekah and Makkedah|Đức Giê-hô-va làm cho chúng nó vỡ chạy trước mặt Y-sơ-ra-ên, khiến cho bị đại bại gần Ga-ba-ôn; Y-sơ-ra-ên rượt đuổi chúng nó theo đường dốc Bết-Hô-rôn, và đánh họ cho đến A-xê-ca và Ma-kê-đa.
