
					Proverbs 1				|
Take my teaching and be wise; do not let it go.|Khá nghe lời khuyên dạy, và ở khôn ngoan, Chớ nên từ chối nó.
Happy is the man who gives ear to me, watching at my doors day by day, keeping his place by the pillars of my house.|Người nào nghe lời ta, Hằng ngày tỉnh thức tại nơi cửa ta, Và chờ đợi ở bên các trụ cửa ta, lấy làm có phước thay.
For whoever gets me gets life, and grace from the Lord will come to him.|Vì hễ ai tìm được ta, thì gặp sự sống, Và sẽ được ơn của Đức Giê-hô-va;
But he who does evil to me, does wrong to his soul: all my haters are in love with death.|Nhưng ai phạm đến ta, làm hại cho linh hồn mình; Còn kẻ nào ghét ta, ắt ưa thích sự chết.

					Proverbs 9				|
						Châm Ngôn 9					
Wisdom has made her house, putting up her seven pillars.|Sự khôn ngoan đã xây dựng nhà mình; Tạc thành bảy cây trụ của người;
She has put her fat beasts to death; her wine is mixed, her table is ready.|Giết các con thú mình, pha rượu nho mình, Và dọn bàn tiệc mình rồi.
She has sent out her women-servants; her voice goes out to the highest places of the town, saying,|Người đã sai các tớ gái mình đi; Ở trên các nơi cao của thành người la rằng:
Whoever is simple, let him come in here; and to him who has no sense, she says:|Ai ngu dốt, hãy rút vào đấy; Với kẻ thiếu trí hiểu, sự khôn ngoan nói rằng:
Come, take of my bread, and of my wine which is mixed.|Hãy đến ăn bánh của ta, Và uống rượu ta đã pha lộn.
Give up the simple ones and have life, and go in the way of knowledge.|Khá bỏ sự ngây dại đi, thì sẽ được sống; Hãy đi theo con đường thông sáng.
He who gives teaching to a man of pride gets shame for himself; he who says sharp words to a sinner gets a bad name.|Ai trách dạy kẻ nhạo báng mắc phải điều sỉ nhục, Ai quở kẻ hung ác bị điếm ố.
Do not say sharp words to a man of pride, or he will have hate for you; make them clear to a wise man, and you will be dear to him.|Chớ trách kẻ nhạo báng, e nó ghét con; Hãy trách người khôn ngoan, thì người sẽ yêu mến con.
Give teaching to a wise man, and he will become wiser; give training to an upright man, and his learning will be increased.|Hãy khuyên giáo người khôn ngoan, thì người sẽ được nên khôn ngoan hơn; Khá dạy dỗ người công bình, thì người sẽ thêm tri thức nữa.
The fear of the Lord is the start of wisdom, and the knowledge of the Holy One gives a wise mind|Kính sợ Đức Giê-hô-va, ấy là khởi đầu sự khôn ngoan; Sự nhìn biết Đấng Thánh, đó là sự thông sáng.
For by me your days will be increased, and the years of your life will be long.|Vì nhờ ta, các ngày con sẽ được thêm nhiều lên, Và các năm tuổi con sẽ đặng gia tăng.
If you are wise, you are wise for yourself; if your heart is full of pride, you only will have the pain of it.|Nếu con khôn ngoan, thì có ích cho chính mình con; Nếu con nhạo báng, tất một mình con phải gánh lấy.
The foolish woman is full of noise; she has no sense at all.|Đờn bà điên cuồng hay la lối, Nàng là ngu muội chẳng biết chi cả.
Seated at the door of her house, in the high places of the town,|Nàng ngồi nơi cửa nhà mình, Trên một cái ghế tại nơi cao của thành,
Crying out to those who go by, going straight on their way, she says:|Đặng kêu gọi những kẻ đi đường, Tức những kẻ đi thẳng đường mình mà rằng:
Whoever is simple, let him come in here: and to him who is without sense, she says:|Ai ngu dốt hãy rút vào đây; Và nàng nói với kẻ thiếu trí hiểu rằng:
Drink taken without right is sweet, and food in secret is pleasing.|Nước ăn cắp lấy làm ngọt ngào, Bánh ăn vụng là ngon thay.
But he does not see that the dead are there, that her guests are in the deep places of the underworld.|Những người chẳng biết rằng kẻ chết ở đó, Và những người khách của nàng đều ở dưới chốn sâu của âm phủ.

					Proverbs 10				|
						Châm Ngôn 10					
A wise son makes a glad father, but a foolish son is a sorrow to his mother.|Con trai khôn ngoan làm vui cha mình; Nhưng đứa ngu muội gây buồn cho mẹ nó.
Wealth which comes from sin is of no profit, but righteousness gives salvation from death.|Của phi nghĩa chẳng được ích chi; Song sự công bình giải cứu khỏi chết.
The Lord will not let the upright be in need of food, but he puts far from him the desire of the evil-doers.|Đức Giê-hô-va không để linh hồn người công bình chịu đói khát; Nhưng Ngài xô đuổi ước ao của kẻ ác đi.
He who is slow in his work becomes poor, but the hand of the ready worker gets in wealth.|Kẻ làm việc tay biếng nhác trở nên nghèo hèn; Còn tay kẻ siêng năng làm cho được giàu có.
He who in summer gets together his store is a son who does wisely; but he who takes his rest when the grain is being cut is a son causing shame.|Ai thâu trử trong mùa hè là con trai khôn ngoan; Song kẻ ngủ lúc mùa gặt là con trai gây cho sỉ nhục.
Blessings are on the head of the upright, but the face of sinners will be covered with sorrow.|Có phước lành giáng trên đầu kẻ công bình; Nhưng miệng kẻ ác giấu sự cường bạo.
The memory of the upright is a blessing, but the name of the evil-doer will be turned to dust.|Kỷ niệm người công bình được khen ngợi; Song tên kẻ gian ác rục đi.
The wise-hearted man will let himself be ruled, but the man whose talk is foolish will have a fall.|Người có lòng khôn ngoan, nhận tiếp những điều răn; Nhưng kẻ có miệng ngu muội phải bị sa ngã.
He whose ways are upright will go safely, but he whose ways are twisted will be made low.|Người nào theo sự ngay thẳng đi vững chắc; Còn kẻ làm cong vạy đường lối mình bị chúng biết.
He who makes signs with his eyes is a cause of trouble, but he who makes a man see his errors is a cause of peace.|Kẻ nào nheo mắt làm cho ưu sầu; Còn ai có miệng ngu muội bị sa ngã.
The mouth of the upright man is a fountain of life, but the mouth of the evil-doer is a bitter cup.|Miệng người công bình là một nguồn sự sống; Nhưng miệng kẻ hung ác giấu sự cường bạo.
Hate is a cause of violent acts, but all errors are covered up by love.|Sự ghen ghét xui điều cãi lộn; Song lòng thương yêu lấp hết các tội phạm.
In the lips of him who has knowledge wisdom is seen; but a rod is ready for the back of him who is without sense.|Trên môi miệng người thông sáng có sự khôn ngoan; Nhưng roi vọt dành cho lưng kẻ thiếu trí hiểu.
Knowledge is stored up by the wise, but the mouth of the foolish man is a destruction which is near.|Người khôn ngoan dành để sự tri thức; Nhưng tại cớ miệng kẻ ngu muội sự bại hoại hòng đến.
The property of the man of wealth is his strong town: the poor man's need is his destruction.|Tài sản kẻ giàu có là cái thành kiên cố của người; Song sự hư nát của người khốn khổ là sự nghèo nàn của họ.
The work of the upright gives life: the increase of the evil-doer is a cause of sin.|Lao khổ của người công bình hướng về sự sống; Còn hoa lợi kẻ hung ác chiều về tội lỗi.
He who takes note of teaching is a way of life, but he who gives up training is a cause of error.|Kẻ nghe lời khuyên dạy ở trong đường sự sống; Nhưng ai quên sự quở trách phải lầm lạc.
Hate is covered up by the lips of the upright man, but he who lets out evil about another is foolish.|Người giấu sự ghen ghét có môi dối giả; Và ai rải điều nói hành là kẻ ngu dại.
Where there is much talk there will be no end to sin, but he who keeps his mouth shut does wisely.|Hễ lắm lời, vi phạm nào có thiếu; Nhưng ai cầm giữ miệng mình là khôn ngoan.
The tongue of the upright man is like tested silver: the heart of the evil-doer is of little value.|Lưỡi người công bình giống như bạc cao; Còn lòng kẻ hung ác không ra gì.
The lips of the upright man give food to men, but the foolish come to death for need of sense.|Môi miệng người công bình nuôi dạy nhiều người; Nhưng kẻ ngu dại chết, vì thiếu trí hiểu.
The blessing of the Lord gives wealth: hard work makes it no greater.|Phước lành của Đức Giê-hô-va làm cho giàu có; Ngài chẳng thêm sự đau lòng gì lẫn vào.
It is sport to the foolish man to do evil, but the man of good sense takes delight in wisdom.|Kẻ thiếu trí hiểu coi sự làm ác như chơi; Nhưng người thông sáng thích sự khôn ngoan.
The thing feared by the evil-doer will come to him, but the upright man will get his desire.|Điều gì kẻ hung ác sợ sệt, ắt sẽ xảy đến cho nó; Nhưng kẻ công bình sẽ được như ý mình ước ao.
When the storm-wind is past, the sinner is seen no longer, but the upright man is safe for ever.|Khi gió trốt thổi qua, kẻ hung ác không còn nữa; Song nền của người công bình còn đến đời đời.
Like acid drink to the teeth and as smoke to the eyes, so is the hater of work to those who send him.|Như giấm ghê răng, như khói cay mắt, Kẻ làm biếng nhác đối với người sai khiến nó là vậy.
The fear of the Lord gives long life, but the years of the evil-doer will be cut short.|Sự kính sợ Đức Giê-hô-va gia thêm ngày tháng; Còn năm tuổi kẻ ác sẽ bị giảm bớt đi.
The hope of the upright man will give joy, but the waiting of the evil-doer will have its end in sorrow.|Sự trông mong của người công bình giáp sự vui vẻ; Còn sự trông đợi của kẻ ác sẽ hư mất đi.
The way of the Lord is a strong tower for the upright man, but destruction to the workers of evil.|Con đường của Đức Giê-hô-va như một đồn lũy cho người ngay thẳng; Nhưng nó là sự bại hoại cho kẻ làm ác.
The upright man will never be moved, but evil-doers will not have a safe resting-place in the land.|Người công bình chẳng hề bị rúng động; Song kẻ ác không được ở trên đất.
The mouth of the upright man is budding with wisdom, but the twisted tongue will be cut off.|Miệng người công bình sanh sự khôn ngoan; Duy lưỡi của kẻ gian tà sẽ bị truất.
The lips of the upright man have knowledge of what is pleasing, but twisted are the mouths of evil-doers.|Môi người công bình biết điều đẹp ý; Nhưng miệng kẻ hung ác chỉ nói sự gian tà.

					Proverbs 11				|
						Châm Ngôn 11					
Scales of deceit are hated by the Lord, but a true weight is his delight.|Cây cân giả lấy làm gớm ghiếc cho Đức Giê-hô-va; Nhưng trái cân đúng được đẹp lòng Ngài.
When pride comes, there comes shame, but wisdom is with the quiet in spirit.|Khi kiêu ngạo đến, sỉ nhục cũng đến nữa; Nhưng sự khôn ngoan vẫn ở với người khiêm nhượng.
The righteousness of the upright will be their guide, but the twisted ways of the false will be their destruction.|Sự thanh liêm của người ngay thẳng dẫn dắt họ; Còn sự gian tà của kẻ bất trung sẽ hủy diệt chúng nó.
Wealth is of no profit in the day of wrath, but righteousness keeps a man safe from death.|Trong ngày thạnh nộ, tài sản chẳng ích chi cả; Duy công bình giải cứu khỏi sự chết.
The righteousness of the good man will make his way straight, but the sin of the evil-doer will be the cause of his fall.|Sự công bình của người trọn vẹn ban bằng đường lối người; Nhưng kẻ hung ác vì gian ác mình mà sa ngã.
The righteousness of the upright will be their salvation, but the false will themselves be taken in their evil designs.|Sự công bình của người ngay thẳng sẽ giải cứu họ; Song kẻ bất trung bị mắc trong sự gian ác của mình.
At the death of an upright man his hope does not come to an end, but the hope of the evil-doer comes to destruction.|Khi kẻ ác chết, sự trông mong nó mất; Và sự trông đợi của kẻ cường bạo bị duyệt.
The upright man is taken out of trouble, and in his place comes the sinner.|Người công bình được cứu khỏi hoạn nạn; Rồi kẻ hung ác sa vào đó thế cho người.
With his mouth the evil man sends destruction on his neighbour; but through knowledge the upright are taken out of trouble.|Kẻ ác lấy lời nói mà làm tàn hại người lân cận mình; Còn các người công bình nhờ tri thức mà được cứu khỏi.
When things go well for the upright man, all the town is glad; at the death of sinners, there are cries of joy.|Cả thành đều vui vẻ về sự may mắn của người công bình; Nhưng khi kẻ ác bị hư mất, bèn có tiếng reo mừng.
By the blessing of the upright man the town is made great, but it is overturned by the mouth of the evil-doer.|Nhờ người ngay thẳng chúc phước cho, thành được cao trọng; Song tại miệng kẻ tà ác, nó bị đánh đổ.
He who has a poor opinion of his neighbour has no sense, but a wise man keeps quiet.|Kẻ nào khinh dể người lân cận mình thiếu trí hiểu; Nhưng người khôn sáng làm thinh.
He who goes about talking of others makes secrets public, but the true-hearted man keeps things covered.|Kẻ đi thèo lẻo tỏ ra điều kín đáo; Còn ai có lòng trung tín giữ kín công việc.
When there is no helping suggestion the people will have a fall, but with a number of wise guides they will be safe.|Dân sự sa ngã tại không chánh trị; Song nếu có nhiều mưu sĩ, bèn được yên ổn.
He who makes himself responsible for a strange man will undergo much loss; but the hater of such undertakings will be safe.|Người nào bảo lãnh cho người ngoại, ắt bị hại; Nhưng ai ghét cuộc bảo lãnh, bèn được bình an vô sự.
A woman who is full of grace is honoured, but a woman hating righteousness is a seat of shame: those hating work will undergo loss, but the strong keep their wealth.|Người đờn bà có duyên được sự tôn trọng; Còn người đờn ông hung bạo được tài sản.
The man who has mercy will be rewarded, but the cruel man is the cause of trouble to himself.|Người nhơn từ làm lành cho linh hồn mình; Còn kẻ hung bạo xui khổ cực cho thịt mình.
The sinner gets the payment of deceit; but his reward is certain who puts in the seed of righteousness.|Kẻ dữ ăn được công giá hư giả; Song ai gieo đều công bình hưởng phần thưởng chắc chắn.
So righteousness gives life; but he who goes after evil gets death for himself.|Người nào vững lòng ở công bình được đến sự sống; Còn kẻ săn theo ác gây sự chết cho mình.
The uncontrolled are hated by the Lord, but those whose ways are without error are his delight|Kẻ có lòng gian tà lấy làm gớm ghiếc cho Đức Giê-hô-va; Nhưng ai có tánh hạnh trọn vẹn được đẹp lòng Ngài.
Certainly the evil-doer will not go free from punishment, but the seed of the upright man will be safe.|Quả thật kẻ gian ác chẳng hề khỏi bị hình phạt; Song dòng dõi người công bình sẽ được cứu khỏi.
Like a ring of gold in the nose of a pig, is a beautiful woman who has no sense.|Một người đờn bà đẹp đẽ mà thiếu dẽ dặt, Khác nào một vòng vàng đeo nơi mũi heo.
The desire of the upright man is only for good, but wrath is waiting for the evil-doer.|Sự ao ước của người công bình chỉ là điều thiện; Còn điều kẻ ác trông đợi, ấy là cơn thạnh nộ.
A man may give freely, and still his wealth will be increased; and another may keep back more than is right, but only comes to be in need.|Có người rải của mình ra, lại càng thêm nhiều lên; Cũng có người chắt lót quá bực, nhưng chỉ được sự thiếu thốn.
He who gives blessing will be made fat, but the curser will himself be cursed.|Lòng rộng rãi sẽ được no nê; Còn ai nhuần gội, chính người sẽ được nhuần gội.
He who keeps back grain will be cursed by the people; but a blessing will be on the head of him who lets them have it for a price.|Kẻ nào cầm giữ lúa thóc, bị dân sự rủa sả; Song sự chúc phước sẽ giáng trên đầu người bán nó ra.
He who, with all his heart, goes after what is good is searching for grace; but he who is looking for trouble will get it.|Ai tìm cầu sự thiện, tìm kiếm ân điển; Nhưng ai tìm cầu điều ác, tất ác sẽ xảy đến cho nó.
He who puts his faith in wealth will come to nothing; but the upright man will be full of growth like the green leaf.|Kẻ nào tin cậy nơi của cải mình sẽ bị xiêu ngã; Còn người công bình được xanh tươi như lá cây.
The troubler of his house will have the wind for his heritage, and the foolish will be servant to the wise-hearted.|Ai khuấy rối nhà mình sẽ được gió làm cơ nghiệp; Còn kẻ điên cuồng trở nên tôi tớ cho người có lòng khôn ngoan.
The fruit of righteousness is a tree of life, but violent behaviour takes away souls.|Kết quả của người công bình giống như cây sự sống; Người khôn ngoan có tài được linh hồn người ta.
If the upright man is rewarded on earth, how much more the evil-doer and the sinner!|Kìa, người công bình được báo đáp nơi thế thượng; Phương chi kẻ hung ác và kẻ có tội!

					Proverbs 12				|
						Châm Ngôn 12					
A lover of training is a lover of knowledge; but a hater of teaching is like a beast.|Ai ưa điều sửa phạt ưa sự tri thức; Nhưng kẻ ghét sự quở trách là ngây dại.
A good man has grace in the eyes of the Lord; but the man of evil designs gets punishment from him.|Người lành được ơn của Đức Giê-hô-va; Nhưng Đức Chúa Trời định tội cho người toan mưu ác.
No man will make himself safe through evil-doing; but the root of upright men will never be moved.|Loài người chẳng phải vì hung ác mà được lập vững bền; Song rễ người công bình chẳng bị lay động.
A woman of virtue is a crown to her husband; but she whose behaviour is a cause of shame is like a wasting disease in his bones.|Người đờn bà nhơn đức là mão triều thiên cho chồng nàng; Còn vợ làm xấu hổ khác nào sự mục trong xương cốt người.
The purposes of upright men are right, but the designs of evil-doers are deceit.|Tư tưởng người nghĩa chỉ là công bình; Song mưu luận kẻ ác đều là giả dối.
The words of sinners are destruction for the upright; but the mouth of upright men is their salvation.|Các lời kẻ hung ác rình rập làm đổ huyết ra; Song miệng người ngay thẳng giải cứu người khỏi.
Evil-doers are overturned and never seen again, but the house of upright men will keep its place.|Đánh đổ kẻ hung ác thì họ chẳng còn nữa; Nhưng nhà người công bình còn đứng vững.
A man will be praised in the measure of his wisdom, but a wrong-minded man will be looked down on.|Người ta được khen ngợi tùy theo sự khôn sáng mình; Còn kẻ có lòng tà vạy sẽ bị khinh dể.
He who is of low position and has a servant, is better than one who has a high opinion of himself and is in need of bread.|Thà một người ở bực hèn hạ và có tôi tớ, Còn hơn kẻ tự tôn mà lại thiếu ăn.
An upright man has thought for the life of his beast, but the hearts of evil-doers are cruel.|Người công bình coi sóc sự sống của súc vật mình; Còn lòng thương xót của kẻ dữ khác nào sự hung bạo.
He who does work on his land will not be short of bread; but he who goes after foolish men is without sense.|Ai cày đất mình sẽ được vật thực dư dật; Còn ai theo kẻ biếng nhác thiếu trí hiểu.
The resting-place of the sinner will come to destruction, but the root of upright men is for ever.|Kẻ hung ác tham lam của hoạch tài; Song rễ của người công bình sanh bông trái.
In the sin of the lips is a net which takes the sinner, but the upright man will come out of trouble.|Trong sự vi phạm của môi miệng có một cái bẫy tàn hại; Nhưng người công bình được thoát khỏi sự hoạn nạn.
From the fruit of his mouth will a man have good food in full measure, and the work of a man's hands will be rewarded.|Nhờ bông trái của môi miệng mình, người sẽ được no đầy phước; Và người ta sẽ được báo lại tùy theo việc tay mình đã làm.
The way of the foolish man seems right to him? but the wise man gives ear to suggestions.|Đường lối của kẻ ngu muội vốn ngay thẳng theo mắt nó; Còn người khôn ngoan nghe lời khuyên dạy.
A foolish man lets his trouble be openly seen, but a sharp man keeps shame secret.|Sự giận dữ của kẻ ngu muội liền lộ ra tức thì; Còn người khôn khéo che lấp sỉ nhục mình.
The breathing out of true words gives knowledge of righteousness; but a false witness gives out deceit.|Kẻ nào nói thật, rao truyền sự công bình; Song kẻ làm chứng gian, phô sự giả dối.
There are some whose uncontrolled talk is like the wounds of a sword, but the tongue of the wise makes one well again.|Lời vô độ đâm xoi khác nào gươm; Nhưng lưỡi người khôn ngoan vốn là thuốc hay.
True lips are certain for ever, but a false tongue is only for a minute.|Môi chân thật được bền đỗ đời đời; Song lưỡi giả dối chỉ còn một lúc mà thôi.
Deceit is in the heart of those whose designs are evil, but for those purposing peace there is joy.|Sự phỉnh gạt ở trong lòng kẻ toan mưu hại; Nhưng sự vui vẻ thuộc về người khuyên lơn sự hòa bình.
No trouble will come to upright men, but sinners will be full of evil.|Chẳng một tai họa nào xảy đến cho người công bình; Song kẻ hung ác sẽ bị đầy đau đớn.
False lips are hated by the Lord, but those whose acts are true are his delight.|Môi miệng nói dối giả lấy làm gớm ghiếc cho Đức Giê-hô-va; Song ai ăn ở trung thành được đẹp lòng Ngài.
A sharp man keeps back his knowledge; but the heart of foolish men makes clear their foolish thoughts.|Người khôn khéo giấu điều mình biết; Còn lòng kẻ ngu muội xưng ra sự điên dại mình.
The hand of the ready worker will have authority, but he who is slow in his work will be put to forced work.|Tay người siêng năng sẽ cai trị; Nhưng tay kẻ biếng nhác phải phục dịch.
Care in the heart of a man makes it weighted down, but a good word makes it glad.|Sự buồn rầu ở nơi lòng người làm cho nao sờn; Nhưng một lời lành khiến lòng vui vẻ.
The upright man is a guide to his neighbour, but the way of evil-doers is a cause of error to them.|Người công bình dẫn đường cho kẻ lân cận mình; Còn các nẻo kẻ dữ làm sai lạc chúng.
He who is slow in his work does not go in search of food; but the ready worker gets much wealth.|Kẻ biếng nhác không chiên nướng thịt mình đã săn; Song người siêng năng được tài vật quí báu của loài người.
In the road of righteousness is life, but the way of the evil-doer goes to death.|Sự sống ở nơi đường công bình; Trên lối nó không có sự chết.

					Proverbs 13				|
						Châm Ngôn 13					
A wise son is a lover of teaching, but the ears of the haters of authority are shut to sharp words.|Con khôn ngoan nghe sự khuyên dạy của cha; Song kẻ nhạo báng không khứng nghe lời quở trách.
A man will get good from the fruit of his lips, but the desire of the false is for violent acts.|Nhờ bông trái của miệng mình, người hưởng lấy sự lành; Còn linh hồn kẻ gian ác sẽ ăn điều cường bạo.
He who keeps a watch on his mouth keeps his life; but he whose lips are open wide will have destruction.|Kẻ canh giữ miệng mình, giữ được mạng sống mình; Nhưng kẻ hở môi quá, bèn bị bại hoại.
The hater of work does not get his desires, but the soul of the hard workers will be made fat.|Lòng kẻ biếng nhác mong ước, mà chẳng có chi hết; Còn lòng người siêng năng sẽ được no nê.
The upright man is a hater of false words: the evil-doer gets a bad name and is put to shame.|Người công bình ghét lời dối trá; Song kẻ hung ác đáng gớm ghê và bị hổ thẹn.
Righteousness keeps safe him whose way is without error, but evil-doers are overturned by sin.|Sự công bình bảo hộ người ăn ở ngay thẳng; Nhưng sự gian ác đánh đổ kẻ phạm tội.
A man may be acting as if he had wealth, but have nothing; another may seem poor, but have great wealth.|Có kẻ làm bộ giàu, mà chẳng có gì hết; Cũng có người làm bộ nghèo, lại có của cải nhiều.
A man will give his wealth in exchange for his life; but the poor will not give ear to sharp words.|Giá chuộc mạng sống loài người, ấy là của cải mình; Còn kẻ nghèo chẳng hề nghe lời hăm dọa.
There is a glad dawn for the upright man, but the light of the sinner will be put out.|Sự sáng của kẻ lành soi rạng ngời; Nhưng đèn kẻ ác lại bị tắt đi.
The only effect of pride is fighting; but wisdom is with the quiet in spirit.|Sự kiêu ngạo chỉ sanh ra điều cãi lộn; Còn sự khôn ngoan ở với người chịu lời khuyên dạy.
Wealth quickly got will become less; but he who gets a store by the work of his hands will have it increased.|Hoạch tài ắt phải hao bớt; Còn ai lấy tay thâu góp sẽ được thêm của nhiều lên.
Hope put off is a weariness to the heart; but when what is desired comes, it is a tree of life.|Sự trông cậy trì hưỡn khiến lòng bị đau đớn; Nhưng khi sự ước ao được thành, thì giống như một cây sự sống.
He who makes sport of the word will come to destruction, but the respecter of the law will be rewarded.|Kẻ nào khinh lời dạy, ắt bị hư bại; Còn ai kính sợ giới mạng, nấy được ban thưởng.
The teaching of the wise is a fountain of life, turning men away from the nets of death.|Sự dạy dỗ của người khôn ngoan vốn một nguồn sự sống, Đặng khiến người ta tránh khỏi bẫy sự chết.
Wise behaviour gets approval, but the way of the false is their destruction.|Sự thông sáng thật được ân điển; Song con đường kẻ phạm tội lấy làm khốn cực thay.
A sharp man does everything with knowledge, but a foolish man makes clear his foolish thoughts.|Phàm người khôn khéo làm việc cứ theo sự hiểu biết; Nhưng kẻ ngu muội bày tỏ ra sự điên dại mình.
A man taking false news is a cause of trouble, but he who gives news rightly makes things well.|Sứ giả gian ác sa vào tai họa; Còn khâm sai trung tín khác nào thuốc hay.
Need and shame will be the fate of him who is uncontrolled by training; but he who takes note of teaching will be honoured.|Ai chối sự khuyên dạy sẽ bị nghèo khổ và sỉ nhục; Nhưng kẻ nào nhận tiếp lời quở trách sẽ được tôn trọng.
To get one's desire is sweet to the soul, but to give up evil is disgusting to the foolish.|Sự ước ao mà được thành lấy làm êm dịu cho linh hồn; Còn lìa bỏ điều dữ, quả là sự gớm ghiếc cho kẻ ngu muội.
Go with wise men and be wise: but he who keeps company with the foolish will be broken.|Ai giao tiếp với người khôn ngoan, trở nên khôn ngoan; Nhưng kẻ làm bạn với bọn điên dại sẽ bị tàn hại.
Evil will overtake sinners, but the upright will be rewarded with good.|Tai họa đuổi theo kẻ có tội; Còn phước lành là phần thưởng của người công bình.
The heritage of the good man is handed down to his children's children; and the wealth of the sinner is stored up for the upright man.|Người lành lưu truyền gia sản cho con cháu mình; Song của cải kẻ có tội dành cho người công bình.
There is much food in the ploughed land of the poor; but it is taken away by wrongdoing.|Chỗ người nghèo khai phá sanh nhiều lương thực; Nhưng có kẻ bị tiêu mất tại vì thiếu sự công bình;
He who keeps back his rod is unkind to his son: the loving father gives punishment with care.|Người nào kiêng roi vọt ghét con trai mình; Song ai thương con ắt cần lo sửa trị nó.
The upright man has food to the full measure of his desire, but there will be no food for the stomach of evil-doers.|Người công bình ăn cho phỉ dạ mình; Còn bụng kẻ ác bị đói.

					Proverbs 14				|
						Châm Ngôn 14					
Wisdom is building her house, but the foolish woman is pulling it down with her hands.|Người nữ khôn ngoan xây cất nhà mình; Song kẻ ngu dại lấy tay mình mà phá hủy nó đi.
He who goes on his way in righteousness has before him the fear of the Lord; but he whose ways are twisted gives him no honour.|Ai đi theo sự ngay thẳng kính sợ Đức Giê-hô-va; Còn ai ăn ở tà vạy khinh bỉ Ngài,
In the mouth of the foolish man is a rod for his back, but the lips of the wise will keep them safe.|Trong miệng kẻ ngu dại có cây roi đánh phạt sự kiêu ngạo nó; Song môi người khôn ngoan giữ lấy người.
Where there are no oxen, their food-place is clean; but much increase comes through the strength of the ox.|Đâu không có bò, đó máng cỏ trống không; Nhưng nhiều hoa lợi do nơi sức bò đực mà ra.
A true witness does not say what is false, but a false witness is breathing out deceit.|Người chứng trung thành không hề nói dối; Còn kẻ làm chứng gian buông lời dối trá.
The hater of authority, searching for wisdom, does not get it; but knowledge comes readily to the open-minded man.|Kẻ nhạo báng tìm khôn ngoan, mà không gặp; Song sự tri thức lấy làm dễ cho người thông sáng.
Go away from the foolish man, for you will not see the lips of knowledge.|Hãy dan xa khỏi mặt kẻ ngu muội, Con sẽ chẳng tìm được môi khôn ngoan nơi nó.
The wisdom of the man of good sense makes his way clear; but the unwise behaviour of the foolish is deceit.|Sự trí huệ của người khôn khéo, ấy là hiểu rõ đường lối mình; Nhưng sự điên cuồng của kẻ ngu muội là sự phỉnh gạt.
In the tents of those hating authority there is error, but in the house of the upright man there is grace.|Kẻ ngu dại bỉ báng tội lỗi; Nhưng người ngay thẳng có được ơn của Đức Chúa Trời.
No one has knowledge of a man's grief but himself; and a strange person has no part in his joy.|Lòng nhìn biết sự cay đắng của lòng; Một người ngoại không chia vui với nó được.
The house of the sinner will be overturned, but the tent of the upright man will do well.|Nhà kẻ gian ác sẽ bị đánh đổ; Song trại người ngay thẳng sẽ được hưng thạnh.
There is a way which seems straight before a man, but its end is the ways of death.|Có một con đường coi dường chánh đáng cho loài người; Nhưng đến cuối cùng nó thành ra nẻo sự chết.
Even while laughing the heart may be sad; and after joy comes sorrow.|Dầu trong lúc cười cợt lòng vẫn buồn thảm; Và cuối cùng sự vui, ấy là điều sầu não.
He whose heart is turned away will have the reward of his ways in full measure; but a good man will have the reward of his doings.|Lòng kẻ nào lìa xa Đức Chúa Trời sẽ được no nê sự kết quả của mình; Còn người lành nhờ chính mình mà được thỏa nguyện.
The simple man has faith in every word, but the man of good sense gives thought to his footsteps.|Kẻ ngu dốt tin hết mọi lời; Nhưng người khôn khéo xem xét các bước mình.
The wise man, fearing, keeps himself from evil; but the foolish man goes on in his pride, with no thought of danger.|Người khôn ngoan sợ và tránh khỏi điều ác; Song kẻ ngu muội ở xấc xược, và có lòng cậy mình.
He who is quickly angry will do what is foolish, but the man of good sense will have quiet.|Người nóng nảy làm điên làm dại; Và kẻ toan mưu ác bị ghét.
Foolish behaviour is the heritage of the simple, but men of good sense are crowned with knowledge.|Kẻ ngu muội được sự điên dại làm cơ nghiệp; Song người khôn ngoan được đội mão triều thiên bằng tri thức.
The knees of the evil are bent before the good; and sinners go down in the dust at the doors of the upright.|Người ác phục trước mặt người thiện; Và kẻ dữ cúi lạy ở ngoài cửa người công bình.
The poor man is hated even by his neighbour, but the man of wealth has numbers of friends.|Người nghèo khó dầu láng giềng cũng ghét bỏ; Nhưng bằng hữu của người giàu thì nhiều thay.
He who has no respect for his neighbour is a sinner, but he who has pity for the poor is happy.|Ai khinh bỉ kẻ lân cận mình phạm tội; Còn ai thương xót người khốn khó lấy làm có phước thay.
Will not the designers of evil come into error? But mercy and good faith are for the designers of good.|Kẻ toan mưu ác há chẳng lầm lạc sao? Còn nhơn từ và chân thật thuộc về người toan mưu thiện.
In all hard work there is profit, but talk only makes a man poor.|Trong các thứ công việc đều có ích lợi; Nhưng miệng nói nhiều chỉ dẫn đến sự thiếu thốn.
Their wisdom is a crown to the wise, but their foolish behaviour is round the head of the unwise.|Giàu có là mão triều thiên cho người khôn ngoan; Còn điên cuồng của kẻ ngây dại chỉ là điên cuồng.
A true witness is the saviour of lives; but he who says false things is a cause of deceit.|Kẻ làm chứng chơn thật giải cứu linh hồn người ta; Song kẻ nào nói dối gây sự phỉnh gạt.
