
					Isaiah 1				|
Make ready a place of death for his children, because of the evil-doing of their father; so that they may not come up and take the earth for their heritage, covering the face of the world with waste places.|Hãy sắm sẳn sự chém giết cho con cháu vì tội ác của tổ phụ; hầu cho họ không dấy lên nữa đặng được đất làm cơ nghiệp, lập thành ấp khắp thế gian!
For I will come up against them, says the Lord of armies, cutting off from Babylon name and offspring, son and son's son, says the Lord.|Đức Giê-hô-va vạn quân phán: Ta sẽ dấy lên nghịch cùng chúng nó. Ta sẽ làm tiêu diệt tên Ba-by-lôn và dân sót lại, ca đến con và cháu nữa, Đức Giê-hô-va phán vậy.
And I will make you a heritage for the hedgehog, and pools of water: and I will go through it with the brush of destruction, says the Lord of armies.|Ta sẽ làm cho đất nó thuộc về con nhiếm, biến ra ao nước; và ta sẽ dùng chuổi hủy diệt mà quét nó, Đức Giê-hô-va vạn quân phán vậy.
The Lord has taken an oath, saying, My design will certainly come about, and my purpose will be effected:|Đức Giê-hô-va vạn quân đã thề rằng: Chắc thật, sự ta đã định sẽ xảy đến, điều ta đã toan sẽ đứng vững.
To let the Assyrian be broken in my land, and crushed under foot on my mountains: there will his yoke be taken away from them, and his rule over them come to an end.|Ta sẽ đánh phá người A-si-ri trong đất ta; sẽ giày đạp nó trên núi ta. Ach nó sẽ cổi khỏi chúng nó; gánh nó sẽ cất khỏi vai chúng nó.
This is the purpose for all the earth: and this is the hand stretched out over all nations.|Đó là ý chỉ đã định nghịch cùng cả đất; đó là tay đã giá trên hết thảy các nước.
For it is the purpose of the Lord of armies, and who will make it of no effect? when his hand is stretched out, by whom may it be turned back?|Vì Đức Giê-hô-va vạn quân đã toan định, thì ai bãi đi được? Tay Ngài đã giang ra, thì ai day lại được?
In the year of the death of King Ahaz this word came to the prophet:|Nhằm năm vua A-cha băng, gánh nặng nầy đã được rao ra:
Be not glad, O Philistia, all of you, because the rod which was on you is broken: for out of the snake's root will come a poison-snake, and its fruit will be a winged poison-snake.|Hỡi cả đất Phi-li-tin, chớ vui mừng bởi cớ roi đánh ngươi đã gãy; vì từ giống rắn sẽ sanh ra thuồng luồng, thuồng luồng sẽ sanh ra rắn lửa bay.
And the poorest of the land will have food, and those in need will be given a safe resting-place: but your seed will come to an end for need of food, and the rest of you will be put to the sword.|Bấy giờ con cả của kẻ nghèo sẽ tìm được đồ ăn, kẻ túng sẽ nằm yên ổn; nhưng ta sẽ khiến dòng dõi ngươi chết đói, và kẻ thuộc về ngươi cón sót lại sẽ bị giết.
Send out a cry, O door! Make sounds of sorrow, O town! All your land has come to nothing, O Philistia; for there comes a smoke out of the north, and everyone keeps his place in the line.|Hỡi cửa, hãy than khóc! Hỡi thành, hãy kêu la! Hỡi cả đất Phi-li-tin, hết thảy hãy đều tan chảy! Vì có luồng khói từ phương bắc đến, chẳng ai lìa khỏi hàng ngũ mình.
What answer, then, will my people give to the representatives of the nation? That the Lord is the builder of Zion, and she will be a safe place for the poor of his people.|Lấy chi trả lời cho sứ giả của nước nầy? Trả lời rằng: Đức Giê-hô-va đã lập Si-ôn, và kẻ sầu khổ trong dân Ngài sẽ được ẩn náu trong nó.

					Isaiah 15				|
						I-sai-a 15					
The word about Moab. For in a night Ar of Moab has become waste, and is seen no longer; for in a night Kir of Moab has become waste, and is seen no longer.|Gánh nặng về Mô-áp. Đương ban đêm, A-Mô-áp bị tàn phá và diệt mất; phải, trong ban đêm, Kiệt Mô-áp bị tàn phá và diệt mất!
The daughter of Dibon has gone up to the high places, weeping: Moab is sounding her cry of sorrow over Nebo, and over Medeba: everywhere the hair of the head and of the face is cut off.|Kìa, chúng lên nơi miếu các thần, đến Đi-hôn, trên các nơi cao mà khóc. Dân Mô-áp than vãn vì Nê-bô và Mê-đê-ba; mọi đầu đều sói, mọi râu đều cắt.
In their streets they are covering themselves with haircloth: on the tops of their houses, and in their public places, there is crying and bitter weeping.|Thảy đều thắt bao gai trong các đường phố; thảy đều khóc lóc, sa nhiều nước mắt, trên nóc nhà và nơi sân chợ.
Heshbon is crying out, and Elealeh; their voice is sounding even to Jahaz: for this cause the heart of Moab is shaking; his soul is shaking with fear.|Hết-bôn và Ê-lê -a-lê kêu la, tiếng nghe thấu đến Gia-hát. Vậy nên linh chiến của Mô-áp đều than khóc, trong tâm thần run rẩy.
My heart is crying out for Moab; her people go in flight to Zoar, and to Eglath-shelishiyah: for they go up with weeping by the slope of Luhith; on the way to Horonaim they send up a cry of destruction.|Lòng ta ngậm ngùi vì Mô-áp; kẻ sang nó trốn chạy đến Xoa, và đến Ê-lát-Sê-li-sia. Vì họ vừa trèo lên đèo Lu-hít vừa khóc; vì bại hoại mà kêu van trên con đường Hô-rô-na-im.
The waters of Nimrim will become dry: for the grass is burned up, the young grass is coming to an end, every green thing is dead.|Các dòng nước ở Nim-rim cạn tắt; cỏ khô, cỏ non chẳng có, không còn một vật xanh nào.
For this cause they will take away their wealth, and the stores they have got together, over the stream of the water-plants.|Vậy nên, những của cải đã được, và những đồ báu đã chứa, họ đều mang sang khe liêu.
For the cry has gone round the limits of Moab; as far as to Eglaim and Beer-elim.|Tiếng kêu khóc thảm thương nghe khắp chung quanh bờ cõi Mô-áp; tiếng van la thấu đến Ê-la-im, và đến Bê -e-Ê-lim.
For the waters of Dimon are full of blood: and I'm sending even more on Moab, a lion on those of Moab who go in flight, and on the rest of the land.|Sông ngòi ở Đi-môn đầy những máu; vì ta sẽ còn thêm tai vạ cho Đi-môn, sai sư tử đuổi kịp những người Nô-áp thoát nạn, và những kẻ còn sót lại trong xứ.

					Isaiah 16				|
						I-sai-a 16					
And they will send ... to the mountain of the daughter of Zion.|Hãy gởi chiên con phải dâng cho quan cai trị đất nầy, từ Sê-la sang đồng vắng, đến núi của con gái Si-ôn.
For the daughters of Moab will be like wandering birds, like a place from which the young birds have gone in flight, at the ways across the Arnon.|Các con gái Mô-áp tại bến đò At-nôn sẽ giống như chim bay tán loạn, và như một lứa chim con bị quăng ra ngoài ổ.
Give wise directions, make a decision; let your shade be as night in full day: keep safe those who are in flight; do not give up the wandering ones.|Ngươi hãy lập mưu, hãy làm sự công bình, đang lúc giữa trưa hãy phủ bóng ngươi như ban đêm; hãy che giấu kẻ bị đuổi; chớ bươi móc kẻ trốn tránh!
Let those who have been forced out of Moab have a resting-place with you; be a cover to them from him who is making waste their land: till the cruel ones are cut off, and wasting has come to an end, and those who take pleasure in crushing the poor are gone from the land.|Hãy cho phép những kẻ bị đuổi của ta trú ngụ nơi ngươi! Hãy làm nơi ẩn náu cho Mô-áp khỏi mặt kẻ tàn hại! Vì kẻ cướp giựt đã mất, sự tàn hại đã hết, kẻ giày đạy đã bị diệt khỏi đất nầy.
Then a king's seat will be based on mercy, and one will be seated on it in the tent of David for ever; judging uprightly, and quick to do righteousness.|Ay vậy, ngôi sẽ bởi sự nhơn từ mà bền lập; và trong trại Đa-vít sẽ có một Đấng lấy lẽ thật ngồi lên, sẽ đoán xét, sẽ tìm sự ngay thẳng, và vội vàng làm sự công bình.
We have had word of the pride of Moab, how great it is; how he is lifted up in pride and passion: his high words about himself are false.|Chúng ta có nghe sự kiêu ngạo của Mô-áp, nó kiêu ngạo lắm, cũng nghe nó xấc xược, kiêu căng, giận dữ; sự khoe khoang của nó là vô ích.
For this cause everyone in Moab will give cries of grief for Moab: crushed to the earth, they will be weeping for the men of Kir-hareseth.|Vậy nên Mô-áp sẽ than khóc vì Mô-áp, ai nấy đều than khóc; các ngươi hãy khóc, hãy thở than vì sự mất bánh trái nho của Kiệt-Ha-rê-sết!
For the fields of Heshbon are waste, the vine of Sibmah is dead; the lords of nations were overcome by the produce of her vines; her vine-plants went as far as Jazer, and came even to the waste land; her branches were stretched out to the sea.|Vì ruộng nương của Hết-bôn và cây nho của Síp-ma đều mòn mỏi; ngày trước nó giàng ra tới Gia-ê-xe, lan ra tới đồng vắng, chồi tược đâm ra tới bên kia biển, mà bây giờ vua chúa các nước đã bẻ gãy nhánh tốt.
For this cause my sorrow for the vine of Sibmah will be like the weeping for Jazer: my eyes are dropping water on you, O Heshbon and Elealeh! For they are sounding the war-cry over your summer fruits and the getting in of your grain;|Vậy nên ta vì cây nho của Síp-ma mà khóc lóc như Gia-ê-xe. Hỡi Hết-bôn, hỡi Ê-lê -a-lê, ta sẽ tưới nước mắt ta trên các ngươi; vì đương lúc trái mùa hạ và màu gặt thì có tiếng reo của giặc xảy đến.
And all joy is gone; no longer are they glad for the fertile field; and in the vine-gardens there are no songs or sounds of joy: the crushing of grapes has come to an end, and its glad cry has been stopped.|Sự vui mừng hớn hở đã cất khỏi ruộng tốt; trong vườn nho chẳng còn hò hát, reo vui, kẻ đạp rượu chẳng còn đạp trong thùng; ta đã làm dứt tiếng reo vui.
For this cause the cords of my heart are sounding for Moab, and I am full of sorrow for Kir-heres.|Cho nên lòng ta vì Mô-áp kêu vang như đờn cầm, ruột ta vì Kiệt-Hê-re cũng vậy.
And when Moab goes up to the high place, and makes prayer in the house of his god, it will have no effect.|Vì dầu Mô-áp chịu mệt nhọc đặng đi đến nơi cao, dầu vào trong nơi thánh mình để cầu nguyện, cũng chẳng được nhậm!
This is the word which the Lord said about Moab in the past.|Ay là lời mà xua kia Đức Giê-hô-va đã phán về Mô-áp.
But now the Lord has said, In three years, the years of a servant working for payment, the glory of Moab, all that great people, will be turned to shame, and the rest of Moab will be very small and without honour.|Bây giờ thì Đức Giê-hô-va phán như vầy: Trong ba năm, kể như năm kẻ ở mướn, sự vinh hiển của Mô-áp với cả đoàn dân đông của nó sẽ bị khinh hèn; và số còn sót lại sẽ ít lắm, không kể ra gì.

					Isaiah 17				|
						I-sai-a 17					
The word about Damascus. See, they have made Damascus a town no longer; it has become a waste place.|Gánh nặng về Đa-mách. Nầy, Đa-mách bị trừ ra, không kể làm thành nữa, và sẽ trở nên một đống đổ nát.
Her towns are unpeopled for ever; there the flocks take their rest in peace, without fear.|Các thành A-rô -e bị bỏ hoang, sẽ làm chỗ cho bầy chiên nằm nghỉ, chẳng ai kinh động.
The strong tower has gone from Ephraim, and the kingdom from Damascus: the rest of Aram will come to destruction, and be made like the glory of the children of Israel, says the Lord of armies.|Đồn lũy của Ep-ra-im sẽ chẳng còn, ngôi nước của Đa-mách và dân sót của Sy-ri cũng vậy, khác nào sự vinh hiển của con cái Y-sơ-ra-ên, Đức Giê-hô-va vạn quân phán vậy.
And it will be in that day that the glory of Jacob will be made small, and the strength of his body will become feeble.|Xảy ra trong ngày đó, sự vinh hiển của Gia-cốp sẽ giảm đi, xác thịt mập mạp đổi ra gầy ốm.
And it will be like a man cutting the growth of his grain, pulling together the heads of the grain with his arm; even as when they get in the grain in the valley of Rephaim.|Sẽ xảy ra như con gặt túm các ngọn lúa, rồi dùng cánh tay cắt lấy bông; lại như những gié lúa mót được ở nơi trũng Rê-pha-im vậy.
But it will be like a man shaking an olive-tree, something will still be there, two or three berries on the top of the highest branch, four or five on the outside branches of a fertile tree, says the Lord, the God of Israel.|Nhưng sẽ còn sót lại như là của mót, khác nào khi người ta rung cây ô-li-ve, còn hai ba trái trên chót nhánh rất cao, hoặc bốn năm trái trên những nhành xa của cây sai tríu. Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên phán vậy.
In that day a man's heart will be turned to his Maker, and his eyes to the Holy One of Israel.|Trong ngày đó, người ta sẽ ngó về Đấng tạo mình, và mắt trông thẳng đến Đấng Thánh của Y-sơ-ra-ên.
He will not be looking to the altars, the work of his hands, or to the wood pillars or to the sun-images which his fingers have made.|Họ sẽ không còn xây mắt về các bàn thờ, là công việc của tay mình; và không còn ngó các đồ vật bởi ngón tay mình chế ra, hoặc các tượng At-tạt-tê, hoặc các trụ mặt trời.
In that day your towns will be like the waste places of the Hivites and the Amorites which the children of Israel took for a heritage, and they will come to destruction.|Trong ngày đó, các thành bền vững của nó sẽ giống như những nơi đổ nát, hoặc trong rừng, hoặc trên đỉnh núi, là những nơi đã bị bỏ hoang trước mặt con cái Y-sơ-ra-ên; xứ nầy sẽ bị bỏ hoang vậy.
For you have not given honour to the God of your salvation, and have not kept in mind the Rock of your strength; for this cause you made a garden of Adonis, and put in it the vine-cuttings of a strange god;|Vì ngươi đã quên Đức Chúa Trời của sự cứu ngươi, chẳng nhớ đến vầng đá sức mạnh ngươi. Vậy nên ngươi trồng cây tốt, lại trồng những gốc nho khác giống.
In the day of your planting you were watching its growth, and in the morning your seed was flowering: but its fruit is wasted away in the day of grief and bitter sorrow.|Đang ngày ngươi trồng thì rào giậu, vừa lúc ban mai làm cho hột giống nở hoa; nhưng trong ngày buồn bực rầu rĩ thì mùa màng mất ráo!
Ah! the voice of peoples, like the loud sounding of the seas, and the thundering of great nations rushing on like the bursting out of waters!|Oi! các dân đông đảo làm xôn xao là dường nào, khác nào như biển gầm! Các dân tộc chạy xông tới như nhiều nước đổ mạnh!
But he will put a stop to them, and make them go in flight far away, driving them like the waste of the grain on the tops of the mountains before the wind, and like the circling dust before the storm.|Thật, các dân tộc chạy xông tới như nhiều nước đổ ầm ạc; nhưng Ngài sẽ quở trách họ, thì đều trốn xa, bị đùa đi như rơm rác trên núi khi gió thổi, như luồng bụi gặp cơn bão.
In the evening there is fear, and in the morning they are gone. This is the fate of those who take our goods, and the reward of those who violently take our property for themselves.|Đương buổi chiều, nầy, có sự sợ hãi; kíp trước khi ban mai đã thành ra hư không. Ay là phần của kẻ đã bóc lột chúng ta, là số phận xảy đến cho kẻ cướp chúng ta vậy.

					Isaiah 18				|
						I-sai-a 18					
Ho! land of the sounding of wings, on the other side of the rivers of Ethiopia:|Oi! đất đập cánh ào ào kia, là đất ở bên kia các sông của Cút;
Which sends its representatives by the sea, even in ships of papyrus on the waters. Go back quickly, O representatives, to a nation tall and smooth, to a people causing fear through all their history; a strong nation, crushing down its haters, whose land is cut through by rivers.|sai sứ vượt biển, cỡi thuyền bằng lau đi trên mặt nước! Hỡi các sứ giả nhặm lẹ kia, hãy đi đến nước người cao da mởn, đến dân đáng kính sợ từ khi lập nước trở đi, đến dân hay cân lường và giày đạp, là nước mà có những sông chia đất nó.
All you peoples of the world, and you who are living on the earth, when a flag is lifted up on the mountains, give attention; and when the horn is sounded, give ear.|Hỡi các ngươi hết thảy, là dân thiên hạ ở trên đất kia, vừa khi cờ dựng trên núi, hãy xem; vừa khi kèn thổi, hãy nghe!
For this is what the Lord has said to me: I will be quiet, watching from my place; like the clear heat when the sun is shining, like a mist of dew in the heat of summer.|Vả, Đức Giê-hô-va đã phán cùng ta như vầy: Ta sẽ ở yên lặng, và ở từ chỗ ta ngự mà xem, như ánh nắng sáng sủa, như mây ngút trong nắng mùa gặt.
For before the time of getting in the grapes, after the opening of the bud, when the flower has become a grape ready for crushing, he will take away the small branches with knives, cutting down and taking away the wide-stretching branches.|Nhưng, trước ngày gặt, khi mùa hoa đã cuối, và hoa nho thành trái hầu chín, thì Ngài sẽ dùng liềm cắt những nhánh, tỉa bỏ những nhánh rậm lá.
They will be for the birds of the mountains, and for the beasts of the earth: the birds will come down on them in the summer, and the beasts of the earth in the winter.|Chúng nó sẽ cùng nhau bị bỏ lại cho chim ăn thịt trong núi, và cho cả thú vật trên đất sẽ dùng mà qua mùa đông.
In that time an offering will be made to the Lord of armies from a people tall and smooth, causing fear through all their history; a strong nation, crushing down its haters, whose land is cut through by rivers, an offering taken to the place of the name of the Lord of armies, even Mount Zion.|Trong lúc đó, dân người cao da mởn, tức là dân đáng kinh sợ từ khi lập nước trở đi, là dân hay cân lường và giày đạp, là nước mà có những sông chia đất nó, chính dân ấy sẽ đem lễ vật dâng cho Đức Giê-hô-va vạn quân, trong nơi danh Đức Giê-hô-va vạn quân ngự, là núi Si-ôn.

					Isaiah 19				|
						I-sai-a 19					
The word about Egypt. See, the Lord is seated on a quick-moving cloud, and is coming to Egypt: and the false gods of Egypt will be troubled at his coming, and the heart of Egypt will be turned to water.|Gánh nặng về Ê-díp-tô. Nầy, Đức Giê-hô-va cỡi đám mây mau kíp đến Ê-díp-tô; các thần tượng của Ê-díp-tô đều run rẩy trước mặt Ngài, lòng Ê-díp-tô sẽ tan chảy giữa nó.
And I will send the Egyptians against the Egyptians: and they will be fighting every one against his brother, and every one against his neighbour; town against town, and kingdom against kingdom.|Ta sẽ xui người Ê-díp-tô đánh người Ê-díp-tô: anh em nghịch cùng anh em, lân cận nghịch cùng lân cận, thành nghịch cùng thành, nước nghịch cùng nước.
And the spirit of Egypt will be troubled in her, and I will make her decisions without effect: and they will be turning to the false gods, and to those who make hollow sounds, and to those who have control of spirits, and to those who are wise in secret arts.|Tâm thần Ê-díp-tô sẽ lụn bại giữa nó, ta sẽ phá tan mưu chước nó. Bấy giờ chúng nó sẽ cầu hỏi các thần tượng cùng thuật sĩ, kẻ kêu hồn cùng thầy bói.
And I will give the Egyptians into the hand of a cruel lord; and a hard king will be their ruler, says the Lord, the Lord of armies.|Ta sẽ phó dân Ê-díp-tô trong tay chúa hung dữ, và một vua bạo ngược sẽ cai trị chúng nó; Chúa, là Đức Giê-hô-va vạn quân, phán vậy.
And the waters of the sea will be cut off, and the river will become dry and waste:|Nước biển sẽ tắt, sông cạn và khô.
And the rivers will have an evil smell; the stream of Egypt will become small and dry: all the water-plants will come to nothing.|Các sông sẽ trở nên hôi thối; ngòi rạch rặc xuống và khan đi; sậy lau đều chết héo.
The grass-lands by the Nile, and everything planted by the Nile, will become dry, or taken away by the wind, and will come to an end.|Các đồng cỏ ở bờ sông Ni-lơ cùng hết thảy đồng ruộng đã gieo của nó, đều héo khô, bị thổi đi, không còn nữa.
The fishermen will be sad, and all those who put fishing-lines into the Nile will be full of grief, and those whose nets are stretched out on the waters will have sorrow in their hearts.|Những người đánh cá sẽ than vãn, mọi kẻ buông câu nơi sông Ni-lơ đều rên siết, và kẻ thả lưới trên các dòng nước đều âu sầu.
And all the workers in linen thread, and those who make cotton cloth, will be put to shame.|Những kẻ làm vải gai mịn và những kẻ dệt vải trắng đều xấu hổ.
And the makers of twisted thread will be crushed, and those who ... will be sad in heart.|Các trụ của Ê-díp-tô đều bị gãy, hết thảy thợ thầy đều có lòng lo.
The chiefs of Zoan are completely foolish; the wisest guides of Pharaoh have become like beasts: how do you say to Pharaoh, I am the son of the wise, the offspring of early kings?|Các quan trưởng ở Xô-an rất đần độn; mưu sĩ rất khôn ngoan của Pha-ra-ôn, chỉ bày ra những kế dại khờ. Sao các ngươi nói cùng Pha-ra-ôn rằng: Tôi là con các bậc hiền triết, con các vua đời xưa?
Where, then, are your wise men? let them make clear to you, let them give you knowledge of the purpose of the Lord of armies for Egypt.|Vậy thì các bậc hiền triết ngươi ở đâu? Các bật ấy hãy cho ngươi biết đi; các bậc ấy nên biết Đức Giê-hô-va vạn quân đã định gì về Ê-díp-tô.
The chiefs of Zoan have become foolish, the chiefs of Noph are tricked, the heads of her tribes are the cause of Egypt's wandering out of the way.|Các quan trưởng ở Xô-an đã nên dại dột; các quan trưởng ở Nốp bị lừa dối; những người làm hòn đá góc của các chi phái Ê-díp-tô đã làm cho nó lầm lạc.
The Lord has sent among them a spirit of error: and by them Egypt is turned out of the right way in all her doings, as a man overcome by wine is uncertain in his steps.|Đức Giê-hô-va đã xen sự trái ngược vào giữa nó, nên chúng nó làm cho Ê-díp-tô sai lầm trong mọi việc, như người say vừa mửa vừa đi xiêu tó.
And in Egypt there will be no work for any man, head or tail, high or low, to do.|Chẳng có việc gì mà đầu và đuôi, cây kè và cây lau sẽ làm ra được cho Ê-díp-tô cả.
In that day the Egyptians will be like women: and the land will be shaking with fear because of the waving of the Lord's hand stretched out over it.|Trong ngày đó, người Ê-díp-tô sẽ giống như đờn bà; thấy tay Đức Giê-hô-va vạn quân vung lên trên mình, thì run rẩy sợ hãi.
And the land of Judah will become a cause of great fear to Egypt; whenever its name comes to mind, Egypt will be in fear before the Lord of armies because of his purpose against it.|Bấy giờ đất Giu-đa sẽ nên sự kinh hoàng cho Ê-díp-tô; hễ khi người ta xưng tên ấy ra trước mặt ai thì nấy sợ khiếp, vì ý chỉ của Đức Giê-hô-va vạn quân đã định nghịch cùng nó.
In that day there will be five towns in the land of Egypt using the language of Canaan, and making oaths to the Lord of armies; and one of them will be named, The Town of the Sun.|Trong ngày đó, tại xứ Ê-díp-tô, sẽ có năm thành nói tiếng Ca-na-an, và chỉ Đức Giê-hô-va vạn quân mà thề. Trong đó có một thành gọi là thành hủy diệt.
In that day there will be an altar to the Lord in the middle of the land of Egypt, and a pillar to the Lord at the edge of the land.|Trong ngày đó, sẽ có một bàn thờ cho Đức Giê-hô-va ở giữa xứ Ê-díp-tô, và có một trụ cho Đức Giê-hô-va nơi bờ cõi nói.
And it will be a sign and a witness to the Lord of armies in the land of Egypt: when they are crying out to the Lord because of their cruel masters, then he will send them a saviour and a strong one to make them free.|Ay là dấu và chứng cho Đức Giê-hô-va vạn quân tại xứ Ê-díp-tô; bởi chưng chúng sẽ kêu đến Đức Giê-hô-va vì cứ kẻ bạo ngược, và Ngài sẽ sai một Đấng cứu và binh vực để giải thoát họ.
And the Lord will give the knowledge of himself to Egypt, and the Egyptians will give honour to the Lord in that day; they will give him worship with offerings and meal offerings, and will take an oath to the Lord and give effect to it.|Đức Giê-hô-va sẽ cho Ê-díp-tô biết Ngài; trong ngày đó người Ê-díp-tô sẽ biết Đức Giê-hô-va; ắt họ sẽ dâng hi sinh và của lễ mà thờ phượng Ngài, lại khấn nguyện cùng Đức Giê-hô-va, và hoàn nguyện.
And the Lord will send punishment on Egypt, and will make them well again; and when they come back to the Lord he will give ear to their prayer and take away their disease.|Đức Giê-hô-va sẽ đánh Ê-díp-tô, đánh rồi lại chữa lành; họ sẽ trở về cùng Đức Giê-hô-va, Ngài sẽ nghe lời họ cầu nguyện và chữa lành cho.
In that day there will be a highway out of Egypt to Assyria, and Assyria will come into Egypt, and Egypt will come into Assyria; and the Egyptians will give worship to the Lord together with the Assyrians.|Trong ngày đó, sẽ có con đường cái đi từ Ê-díp-tô đến A-si-ri; người A-si-ri sẽ đến Ê-díp-tô, người Ê-díp-tô sẽ đến A-si-ri; người Ê-díp-tô và người A-si-ri đều cùng nhau thờ phượng Đức Giê-hô-va.
In that day Israel will be the third together with Egypt and Assyria, a blessing in the earth:|Trong ngày đó, Y-sơ-ra-ên sẽ hiệp cùng Ê-díp-tô và A-si-ri làm ba, đặng làm nên nguồn phước giữa thiên hạ;
Because of the blessing of the Lord of armies which he has given them, saying, A blessing on Egypt my people, and on Assyria the work of my hands, and on Israel my heritage.|vì Đức Giê-hô-va vạn quân đã chúc phước cho họ, mà rằng Ê-díp-tô dân ta, A-si-ri công trình của tay ta, Y-sơ-ra-ên gia tài ta, đều hãy được phước!

					Isaiah 20				|
						I-sai-a 20					
In the year when the Tartan came to Ashdod, sent by Sargon, king of Assyria, and made war against it and took it;|Nhằm năm mà Sa-gôn, vua A-si-ri, sai Ta-tân đến Ach-đốt, vây thành và chiếm lấy,
At that time the word of the Lord came to Isaiah, the son of Amoz, saying, Go, and take off your robe, and your shoes from your feet; and he did so, walking unclothed and without shoes on his feet.|trong lúc đó, Đức Giê-hô-va nhờ con trai A-mốt, là Ê-sai, mà phán rằng: Hãy đi, cổi bao gai khỏi lưng ngươi, và lột giày khỏi chơn ngươi. Ê-sai vâng lời, đi trần, và chơn không.
And the Lord said, As my servant Isaiah has gone unclothed and without shoes for three years as a sign and a wonder to Egypt and Ethiopia,|Đức Giê-hô-va bèn phán rằng: Như đầy tớ ta là Ê-sai đã đi trần và chơn không trong ba năm, làm dấu và điềm chỉ về Ê-díp-tô và Ê-thi-ô-bi thể nào,
So will the king of Assyria take away the prisoners of Egypt and those forced out of Ethiopia, young and old, unclothed and without shoes, and with backs uncovered, to the shame of Egypt.|thì những phu tù của Ê-díp-tô và lưu tù của Ê-thi-ô-bi, cả trẻ lẫn già, cũng bị vua A-si-ri giải đi trần và chơn không, bày mông ra thể ấy, để làm nhục nước Ê-díp-tô.
And they will be full of fear, and will no longer have faith in Ethiopia which was their hope, or in Egypt which was their glory.|Bấy giờ chúng nó sẽ sợ sệt và hổ thẹn vì cớ Ê-thi-ô-bi, là sự trông cậy mình, và Ê-díp-tô, là sự vinh hiển mình.
And those living by the sea will say in that day, See the fate of our hope to whom we went for help and salvation from the king of Assyria: what hope have we then of salvation?|Trong ngày đó, kẻ ở gần biển sẽ nói rằng: Kìa, dân tộc mà chúng ta vốn đem lòng trông cậy, và chạy đến cầu cứu để được giải thoát khỏi vua A-si-ri, thì nay đã trở nên thể ấy rồi! Chúng ta làm sao trốn khỏi được?

					Isaiah 21				|
						I-sai-a 21					
The word about the waste land. As storm-winds in the South go rushing through, it comes from the waste land, from the land greatly to be feared.|Gánh nặng về đồng vắng ở gần biển. Nó đến từ đồng vắng, là đất đáng kinh khiếp, khác nào cơn gió lốc vụt qua trong phương nam.
A vision of fear comes before my eyes; the worker of deceit goes on in his false way, and the waster goes on making waste. Up! Elam; to the attack! Media; I have put an end to her sorrow.|Có sự hiện thấy hãi hùng đã tỏ ra cho tôi: kẻ gian dối ở gian dối, kẻ tàn hại làm tàn hại! Hỡi người Ê-lam, hãy lên; Hỡi người Mê-đi, hãy vây đi! Ta sẽ làm cho dứt mọi tiếng than thở nó.
For this cause I am full of bitter grief; pains like the pains of a woman in childbirth have come on me: I am bent down with sorrow at what comes to my ears; I am shocked by what I see.|Vậy nên lưng ta đau lắm, quặn thắt như đờn bà đang sanh đẻ; sự đau đớn mà ta chịu, làm cho ta không thấy!
My mind is wandering, fear has overcome me: the evening of my desire has been turned into shaking for me.|Lòng ta mê muội, rất nên khiếp sợ; vốn là chiều hôm ta ưa thích, đã đổi ra sự run rẩy cho ta.
They make ready the table, they put down the covers, they take food and drink. Up! you captains; put oil on your breastplates.|Người ta đặt bàn tiệc, cắt kẻ canh giữ; người ta ăn và uống. Hỡi các quan trưởng, hãy chờ dậy! Hãy thoa dầu cho cái thuẫn!
For so has the Lord said to me, Go, let a watchman be placed; let him give word of what he sees:|Vì Chúa phán cùng tôi như vầy: Hãy đi, sắp đặt vọng canh, thấy việc gì thì báo.
And when he sees war-carriages, horsemen by twos, war-carriages with asses, war-carriages with camels, let him give special attention.|Khi nó thấy quân lính cỡi ngựa đi từng cặp, và có lừa cùng lạc đà từng bầy, thì nó phải chăm chỉ mà nghe.
And the watchman gave a loud cry, O my lord, I am on the watchtower all day, and am placed in my watch every night:|Đoạn nó kêu lên như sư tử, mà rằng: Hỡi Chúa, tôi đứng rình nơi chòi trông cả ngày, và đứng tại chỗ tôi canh cả đêm.
See, here come war-carriages with men, horsemen by twos: and in answer he said, Babylon is made low, is made low, and all her images are broken on the earth.|Nầy, có quân lính cỡi ngựa đi từng cặp mà đến. Nó đáp rằng: Ba-by-lôn đổ xuống rồi, đổ xuống rồi! Mọi hình tượng tà thần của nó đã bể nát trên đất rồi!
O my crushed ones, the grain of my floor! I have given you the word which came to me from the Lord of armies, the God of Israel.|Hỡi lúa bị đạp của ta, là thóc trên sân kia! sự ta đã nghe từ Đức Giê-hô-va vạn quân, tức là Đức Chúa Trời của Y-sơ-ra-ên, thì ta đã bảo cho ngươi biết.
The word about Edom. A voice comes to me from Seir, Watchman, how far gone is the night? how far gone is the night?|Gánh nặng về Đu-ma. Có người từ Sê -i-rơ kêu tôi rằng: Hỡi người canh, đêm thể nào? Hỡi người canh, đêm thể nào?
The watchman says, The morning has come, but night is still to come: if you have questions to put, put them, and come back again.|Người canh đáp rằng: Buổi sáng đến; đêm cũng đến. Nếu muốn hỏi thì hỏi đi; hãy trở lại, hãy đến.
