
					Ezra 1				|
At the same time, Tattenai, ruler of the land across the river, and Shethar-bozenai, and their men, came to them and said, Who gave you orders to go on building this house and this wall?|Trong lúc đó, Tát-tê-nai, quan tổng đốc của xứ phía bên nầy sông, Sê-ta-Bô-xê-nai, và các đồng liêu họ, đến tìm dân Giu-đa, mà nói cùng chúng như vầy: Ai ban lịnh cho các ngươi cất cái đền nầy và xây vách thành nầy lên?
Then they said these words to them: What are the names of the men who are at work on this building?|Chúng ta bèn nói cùng họ tên những người xây cất cái đền nầy.
But the eye of their God was on the chiefs of the Jews, and they did not make them give up working till the question had been put before Darius and an answer had come by letter about it.|Con mắt Đức Chúa Trời của chúng đoái xem các trưởng lão dân Giu-đa, nên họ không ngăn cấm chúng làm công việc, đành lòng đem việc ấy tâu lại vua Đa-ri-út, đợi đến khi vua giáng chiếu về sự ấy.
This is a copy of the letter which Tattenai, the ruler of the land across the river, and Shethar-bozenai and his friends the Apharsachites, living across the river, sent to Darius the king:|Nầy bổn sao lục tờ biểu mà Tát-tê-nai, quan tổng đốc của xứ phía bên nầy sông, Sê-ta-Bô-xê-nai, và các đồng liêu người, tức người A-phạt-sác ở bên nầy sông, tấu lên vua Đa-ri-út,
They sent him a letter saying, To Darius the king, all peace:|như lời sau nầy: Chúc vua Đa-ri-út thái bình mọi vẻ!
This is to give the king word that we went into the land of Judah, to the house of the great God, which is made of great stones, and has its walls supported with wood, and the work is going on with industry, and they are doing it well.|Chúng tôi muốn vua hay rằng chúng tôi có đi trong tỉnh Giu-đa, đến đền thờ của Đức Chúa Trời rất lớn, thấy người Giu-đa xây cất cái đền thờ ấy bằng đá nguyên khối; sườn nhà đã gác ngang qua vách rồi, và công việc làm cách kỹ lưỡng và tấn tới trong tay họ.
Then we said to the men responsible, who gave you authority for the building of this house and these walls?|Chúng tôi có hỏi các trưởng lão ấy rằng: Ai ban lịnh cho các ngươi xây cất cái đền nầy và xây vách thành nầy lên?
And we made request for their names, so that we might send you word, and give you the names of the men at the head of them.|Chúng tôi cũng hỏi danh tánh họ, đặng tâu cho vua biết các tên của những người quản suất chúng.
And they made answer to us, saying, We are the servants of the God of heaven and earth, and we are building the house which was put up in times long past and was designed and made complete by a great king of Israel.|Chúng đáp lời như vầy: Chúng tôi vốn là kẻ tôi tớ của Đức Chúa Trời, Chúa tể của trời và đất; chúng tôi đang xây cất lại cái đền thờ, đã lâu năm trước đây có một vua sang trọng của Y-sơ-ra-ên lập lên và làm cho hoàn thành.
But when the God of heaven was moved to wrath by our fathers, he gave them up into the hands of Nebuchadnezzar, king of Babylon, the Chaldaean, who sent destruction on this house and took the people away into Babylon.|Song các tổ phụ chúng tôi chọc giận Đức Chúa Trời, nên Ngài phó chúng vào tay Nê-bu-cát-nết-sa, vua Ba-by-lôn, là người Canh-đê; vua ấy phá hủy đền nầy và bắt dân sự đem qua Ba-by-lôn.
But in the first year of Cyrus, king of Babylon, Cyrus the king gave an order for the building of this house of God;|Nhưng năm đời Si-ru, vua Ba-by-lôn, trị vì, vua Si-ru truyền lịnh cất lại cái đền của Đức Chúa Trời.
And the gold and silver vessels of the house of God, which Nebuchadnezzar took from the Temple which was in Jerusalem, and put into the house of his god in Babylon, these Cyrus the king took from the house of his god in Babylon, and gave to one named Sheshbazzar, whom he had made ruler;|Vua Si-ru cũng rút ra khỏi đền thờ Ba-by-lôn những chậu vàng và bạc của đền Đức Chúa Trời, mà Nê-bu-cát-nết-sa đã đoạt lấy khỏi đền thờ tại Giê-ru-sa-lem, đem về trong đền thờ Ba-by-lôn; Si-ru giao các vật ấy cho danh Sết-ba-xa, mà người lập làm quan tổng đốc,
And he said to him, Go, take these vessels, and put them in the Temple in Jerusalem, and let the house of God be put up again in its place.|và nói với người rằng: Hãy lấy các khí dụng nầy, đi để trong đền thờ tại Giê-ru-sa-lem, để xây cất lại nhà của Đức Chúa Trời trên chỗ cũ nó.
Then this same Sheshbazzar came and put the house of God in Jerusalem on its bases: and from that time till now the building has been going on, but it is still not complete.|Bấy giờ, Sết-ba-xa nầy đến, lập nền đền thờ của Đức Chúa Trời tại Giê-ru-sa-lem; và từ lúc đó đến rày người ta đương xây cất nó, song chưa hoàn thành.
So now, if it seems good to the king, let search be made in the king's store-house at Babylon, to see if it is true that an order was given by Cyrus the king for the building of this house of God at Jerusalem, and let the king send us word of his pleasure in connection with this business.|Vậy bây giờ, nếu đẹp ý vua, xin hãy tra khảo trong kho vua tại Ba-by-lôn, xem thử thật Si-ru có ra chiếu chỉ xây cất lại cái đền của Đức Chúa Trời tại Giê-ru-sa-lem chăng. Đoạn, cầu vua giáng chiếu dạy chúng tôi ý vua về việc ấy.

					Ezra 6				|
						Ê-xơ-ra 6					
Then Darius the king gave an order and a search was made in the house of the records, where the things of value were stored up in Babylon.|Vua Đa-ri-út bèn truyền tra khảo trong tàng thơ viện là nơi chứa các bửu vật tại Ba-by-lôn.
And at Achmetha, in the great house of the king in the land of Media, they came across a roll, in which this statement was put on record:|Người ta tìm được trong đồn ở Ec-ba-tan tại tỉnh Mê-đi, một cuốn giấy trên đó có di tích như vầy:
In the first year of Cyrus the king, Cyrus the king made an order: In connection with the house of God at Jerusalem, let the house be put up, the place where they make offerings, and let the earth for the bases be put in place; let it be sixty cubits high and sixty cubits wide;|Năm thứ nhứt đời Si-ru, vua Si-ru ra chiếu chỉ về đền của Đức Chúa Trời tại Giê-ru-sa-lem rằng: Khá xây cất lại đền của Đức Chúa Trời, đặng làm nơi dâng những của lễ; các nền nó phải lập cho vững bền. Đền thờ sẽ sáu mươi thước bề cao, và sáu mươi thước bề dài;
With three lines of great stones and one line of new wood supports; and let the necessary money be given out of the king's store-house;|nó sẽ có ba hàng đá nguyên khối và một hàng đòn tay gỗ mới; còn tiền sở phí thì phải cấp phát từ trong nhà vua.
And let the gold and silver vessels from the house of God, which Nebuchadnezzar took from the Temple at Jerusalem to Babylon, be given back and taken again to the Temple at Jerusalem, every one in its place, and put them in the house of God.|Lại, các khí dụng bằng vàng và bạc của nhà Đức Chúa Trời, mà Nê-bu-cát-nết-sa đã lấy trong đền thờ tại Giê-ru-sa-lem và đem qua Ba-by-lôn, thì phải trả lại, và đem về trong đền thờ tại Giê-ru-sa-lem, khí dụng nầy trong chỗ nấy; ngươi phải để nó tại chỗ cũ trong nhà Đức Chúa Trời.
So now, Tattenai, ruler of the land across the river, and Shethar-bozenai and your people the Apharsachites across the river, keep far from that place:|Vậy bây giờ, hỡi Tát-tê-nai, tổng đốc của xứ bên kia sông, Sê-ta-Bô-xê-nai, và các đồng liêu người ở A-phạt-sác bên kia sông, hãy dan ra;
Let the work of this house of God go on; let the ruler of the Jews and their responsible men put up this house of God in its place.|khá để cho quan cai của người Giu-đa và những người trưởng lão của chúng xây cất lại đền thờ của Đức Chúa Trời tại nơi cũ nó.
Further, I give orders as to what you are to do for the responsible men of the Jews in connection with the building of this house of God: that from the king's wealth, that is, from the taxes got together in the land over the river, the money needed is to be given to these men readily, so that their work may not be stopped.|Nầy ta ra lịnh, truyền các ngươi phải làm gì đối với các trưởng lão dân Giu-đa, đặng giúp việc cất lại cái đền của Đức Chúa Trời: Hãy lấy thuế khóa thâu ở bên kia sông, vội cấp phát các tiền chi phí cho những người đó, để công việc chẳng bị dứt chừng.
And whatever they have need of, young oxen and sheep and lambs, for burned offerings to the God of heaven, grain, salt, wine, and oil, whatever the priests in Jerusalem say is necessary, is to be given to them day by day regularly:|Phàm vật chi cần kíp, hoặc bò tơ đực, chiên đực hay là chiên con, để dùng làm của lễ thiêu dâng cho Đức Chúa Trời trên trời; hoặc lúa mì, muối, rượu, hay là dầu, theo lời của những thầy tế lễ ở tại Giê-ru-sa-lem, khá giao cho họ mỗi ngày, chớ thiếu,
So that they may make offerings of a sweet smell to the God of heaven, with prayers for the life of the king and of his sons.|hầu cho họ dâng những của lễ có mùi thơm cho Đức Chúa Trời trên trời, và cầu nguyện cho sanh mạng của vua và của các vương tử.
And I have given orders that if anyone makes any change in this word, one of the supports is to be pulled out of his house, and he is to be lifted up and fixed to it; and his house is to be made waste for this;|Ta cũng truyền lịnh rằng: Nếu ai cải chiếu chỉ nầy, thì khá rút một cây đòn tay trong nhà kẻ ấy, rồi treo nó tại đó. và vì cớ tội ấy, làm cho nhà nó thành ra một chỗ đổ rác.
And may the God who has made it a resting-place for his name send destruction on all kings and peoples whose hands are outstretched to make any change in this or to do damage to this house of God at Jerusalem. I, Darius, have given this order, let it be done with all care.|Nguyện Đức Chúa Trời, là Đấng đã khiến danh Ngài ngự trong đền thờ ấy, hủy diệt vua nào, dân tộc nào dám giơ tay ra cải chiếu này đặng phá hủy đền thờ của Đức Chúa Trời tại Giê-ru-sa-lem. Ta là Đa-ri-út ban chiếu chỉ nầy; khá làm theo nó cách cần mẫn!
Then Tattenai, the ruler across the river, and Shethar-bozenai and their people, because of the order given by King Darius, did as he had said with all care.|Tát-tê-nai, quan tổng đốc của xứ phía bên nầy sông, Sê-ta-Bô-xê-nai và các đồng liêu họ, bèn cần mẫn tuân theo chiếu chỉ mà vua Đa-ri-út đã sai đến.
And the responsible men of the Jews went on with their building, and did well, helped by the teaching of Haggai the prophet and Zechariah, the son of Iddo. They went on building till it was complete, in keeping with the word of the God of Israel, and the orders given by Cyrus, and Darius, and Artaxerxes, king of Persia.|Ay vậy, các trưởng lão của dân Giu-đa bắt tay cất lại đền thờ, công việc được may mắn, y lời tiên tri của tiên tri A-ghê, và của Xa-cha-ri, con trai của Y-đô. Vậy, chúng làm xong công việc cất đền thờ, tùy theo mạng lịnh của Đức Chúa Trời của Y-sơ-ra-ên, và theo chiếu chỉ của Si-ru, Đa-ri-út, và At-ta-xét-xe, vua nước Phe-rơ-sơ.
And the building of this house was complete on the third day of the month Adar, in the sixth year of the rule of Darius the king.|Ngày thứ ba tháng A-đa, nhằm năm thứ sáu đời vua Đa-ri-út, cái đền nầy được xây cất xong.
And the children of Israel, the priests and the Levites, and the rest of those who had come back, kept the feast of the opening of this house of God with joy.|Dân Y-sơ-ra-ên, những thầy tế lễ, người Lê-vi, và những người khác đã bị bắt làm phu tù được về, đều giữ lễ khánh thành đền thờ của Đức Chúa Trời cách vui mừng.
And they gave as offerings at the opening of this house of God a hundred oxen, two hundred sheep, four hundred lambs; and for a sin-offering for all Israel, twelve he-goats, being the number of the tribes of Israel.|Về lễ khánh thành đền thờ nầy, chúng dâng một trăm con bò đực, hai trăm con chiên đực, bốn trăm con chiên con, và tùy theo số các chi phái Y-sơ-ra-ên, chúng dâng mười hai con dê đực làm của lễ chuộc tội cho cả dân Y-sơ-ra-ên.
And they put the priests in their divisions and the Levites in their order, for the worship of God at Jerusalem; as it is recorded in the book of Moses.|Chúng lập lên những thầy tế lễ và các người Lê-vi tùy theo ban thứ của họ, đặng phục sự Đức Chúa Trời tại Giê-ru-sa-lem, y như đã chép trong sách Môi-se.
And the children of Israel who had come back kept the Passover on the fourteenth day of the first month.|Đoạn, ngày mười bốn tháng giêng, các người đã bị bắt làm phu tù được về, dự lễ Vượt qua.
For the priests and the Levites had made themselves clean together; they were all clean: and they put the Passover lamb to death for all those who had come back, and for their brothers the priests and for themselves.|Vì những thầy tế lễ và người Lê-vi, cả thảy đã dọn mình cho thanh sạch, không trừ ai; rồi chúng vì hết thảy người đã bị bắt làm phu tù được trở về, vì những thầy tế lễ, là anh em mình, và vì chính mình, mà giết con sinh dùng về lễ Vượt qua.
And the children of Israel, who had come back, and all those who were joined to them, after separating themselves from the evil ways of the people of the land to become the servants of the Lord, the God of Israel, took food together,|Những người Y-sơ-ra-ên đã bị bắt làm phu tù được về, bèn ăn lễ Vượt qua, luôn với những người đã tự chia rẽ ra sự ô uế của các dân tộc trong xứ đó, đến theo dân Y-sơ-ra-ên, đặng tìm kiếm Đức Chúa Trời của Y-sơ-ra-ên.
And kept the feast of unleavened bread for seven days with joy: for the Lord had made them full of joy, by turning the heart of the king of Assyria to them to give them help in the work of the house of God, the God of Israel.|Trong bảy ngày chúng giữ lễ bánh không men cách vui vẻ; vì Đức Giê-hô-va đã làm cho lòng chúng được khoái lạc, và có cảm động lòng vua A-si-ri đoái xem chúng, đặng giúp đỡ trong cuộc xây cất đền của Đức Chúa Trời, tức là Đức Chúa Trời ở Y-sơ-ra-ên

					Ezra 7				|
						Ê-xơ-ra 7					
Now after these things, when Artaxerxes was king of Persia, Ezra, the son of Seraiah, the son of Azariah, the son of Hilkiah,|Sau các việc ấy, nhằm đời At-ta-xét-xe, vua Phe-rơ-sơ, có E-xơ-ra, là con trai Sê-ra-gia;
The son of Shallum, the son of Zadok, the son of Ahitub,|Sê-ra-gia con trai của Hinh-kia, Hinh-kia con trai của Sa-lum, Sa-lum con trai của Xa-đốc, Xa-đốc con trai của A-hi-túp.
The son of Amariah, the son of Azariah, the son of Meraioth,|A-hi-túp con trai của A-ma-ria, A-ma-ria con trai của A-xa-ria, A-xa-ria con trai của Mê-ra-giốt.
The son of Zerahiah, the son of Uzzi, the son of Bukki,|Mê-ra-giốt con trai của Xê-ra-hi-gia, Xê-ra-hi-gia con trai của U-xi,
The son of Abishua, the son of Phinehas, the son of Eleazar, the son of Aaron the chief priest:|U-xi con trai của Bu-ki, Bu-ki con trai của A-bi-sua, A-bi-sua con trai của Phi-nê -a, Phi-nê -a con trai của Ê-lê -a-sa, Ê-lê -a-sa con trai của A-rôn, là thầy tế lễ thượng phẩm.
This Ezra went up from Babylon; and he was a scribe, expert in the law of Moses which the Lord, the God of Israel, had given: and the king, moved by the Lord his God, gave him whatever he made request for.|E-xơ-ra nầy từ Ba-by-lôn đi lên. Người là một văn sĩ thạo luật pháp của Môi-se, mà Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên đã truyền cho. Vì tay của Đức Giê-hô-va phù trợ người, nên vua ban cho người mọi điều người xin.
And some of the children of Israel went up, with some of the priests and the Levites and the music-makers and the door-keepers and the Nethinim, to Jerusalem, in the seventh year of Artaxerxes the king.|Nhằm năm thứ bảy đời vua At-ta-xét-xe, có mấy người trong dân Y-sơ-ra-ên, trong bọn thầy tế lễ, và người Lê-vi, kẻ ca hát, người giữ cửa, và người Nê-thi-min, đều đi cùng người trở lên Giê-ru-sa-lem.
And he came to Jerusalem in the fifth month, in the seventh year of the king's rule.|Tháng năm năm thứ bảy đời vua ấy, E-xơ-ra đến thành Giê-ru-sa-lem.
For, starting his journey from Babylon on the first day of the first month, he came to Jerusalem on the first day of the fifth month, by the good help of his God.|Vả, ngày mồng một tháng giêng, người ở Ba-by-lôn khởi hành; rồi ra nhờ tay nhân lành của Đức Chúa Trời phù trợ, người đến Giê-ru-sa-lem ngày mồng một tháng thứ năm.
For Ezra had given his mind to learning the law of the Lord and doing it, and to teaching his rules and decisions in Israel.|Vì E-xơ-ra đã định chí tra xét luật pháp của Đức Giê-hô-va, giữ làm theo, và dạy cho dân Y-sơ-ra-ên biết những luật pháp và giới mạng.
Now this is a copy of the letter which King Artaxerxes gave to Ezra, the priest and the scribe, who put into writing the words of the orders of the Lord, and of his rules for Israel:|Nầy lá bổn sao lại chiếu chỉ mà vua At-ta-xét-xe giao cho E-xơ-ra, thầy tế lễ và văn sĩ, thạo biết trong những điều răn luật lệ của Đức Chúa Trời đã truyền cho Y-sơ-ra-ên.
Artaxerxes, king of kings, to Ezra the priest, scribe of the law of the God of heaven, all peace;|Vua At-ta-xét-xe, vua của các vua, gởi thơ cho E-xơ-ra, thầy tế lễ và văn sĩ, thạo biết luật pháp của Đức Chúa Trời trên trời. Nguyện ngươi được trọn bình an.
And now it is my order that all those of the people of Israel, and their priests and Levites in my kingdom, who are ready and have a desire to go to Jerusalem, are to go with you.|Ta ra chiếu chỉ định rằng phàm người nào trong nước ta, thuộc về dân Y-sơ-ra-ên, thầy cả và người Lê-vi, sẵn muốn đi đến Giê-ru-sa-lem, thì hãy đi chung với người.
Because you are sent by the king and his seven wise men, to get knowledge about Judah and Jerusalem, as you are ordered by the law of your God which is in your hand;|Ta và bảy mưu thần ta sai ngươi đi tra xét về Giu-đa và về Giê-ru-sa-lem, chiếu theo luật pháp của Đức Chúa Trời ngươi có trong tay ngươi.
And to take with you the silver and gold freely offered by the king and his wise men to the God of Israel, whose Temple is in Jerusalem,|Ngươi sẽ đem theo mình vàng và bạc mà vua và các mưu thần lạc ý dâng cho Đức Chúa Trời của Y-sơ-ra-ên, có nơi ở tại Giê-ru-sa-lem,
As well as all the silver and gold which you get from the land of Babylon, together with the offering of the people and of the priests, freely given for the house of their God, which is in Jerusalem:|luôn các bạc và vàng mà ngươi có được trong tỉnh Ba-by-lôn, và những lễ vật lạc ý của dân sự cùng thầy tế lễ dâng cho đền của Đức Chúa Trời mình tại Giê-ru-sa-lem.
So with this money get with care oxen, sheep, and lambs, with their meal offerings and their drink offerings, to be offered on the altar of the house of your God, which is in Jerusalem.|Ngươi hãy dùng bạc nầy cần mẫn mua những bò đực, chiên đực, chiên con, luôn của lễ chay, và của lễ quán cặp theo, rồi dâng lên trên bàn thờ ở nơi đền của Đức Chúa Trời các người, ở tại Giê-ru-sa-lem.
And whatever seems right to you and to your brothers to do with the rest of the silver and gold, that do, as may be pleasing to your God.|Còn bạc và vàng dư lại, hễ muốn dùng việc gì phải, khá theo ý ngươi và anh em ngươi cho là tốt mà làm thuận ý chỉ của Đức Chúa Trời các ngươi.
And the vessels which have been given to you for the uses of the house of your God, you are to give to the God of Jerusalem.|Về các khí dụng đã giao cho ngươi để dùng vào cuộc thờ phượng trong đền của Đức Chúa Trời ngươi, hãy để nó tại trước mặt Đức Chúa Trời tại Giê-ru-sa-lem.
And whatever more is needed for the house of your God, and which you may have to give, take it from the king's store-house.|Còn các vật gì khác ngươi cần dùng về chi phí đền thờ của Đức Chúa Trời ngươi, khá lấy các vật ấy nơi kho tàng vua.
And I, even I, Artaxerxes the king, now give orders to all keepers of the king's money across the river, that whatever Ezra the priest, the scribe of the law of the God of heaven, may have need of from you, is to be done with all care,|Vậy, ta là vua At-ta-xét-xe ra chiếu chỉ truyền cho các quan cai kho ở bên phía kia sông rằng hễ vật gì E-xơ-ra, thầy tế lễ và văn sĩ, thạo biết luật pháp của Đức Chúa Trời trên trời, sẽ cầu cùng các ngươi, các ngươi khá cần mẫn cung cấp cho,
Up to a hundred talents of silver, a hundred measures of grain, a hundred measures of wine, and a hundred measures of oil, and salt without measure.|đến một trăm ta lâng bạc, một trăm bao lúa miến, một trăm thùng rượu, một trăm thùng dầu, và muối không hạn.
Whatever is ordered by the God of heaven, let it be done completely for the house of the God of heaven; so that there may not be wrath against the kingdom of the king and his sons.|Phàm điều gì Đức Chúa Trời trên trời truyền dạy về đền thờ của Ngài, khá làm cho cần mẫn, e sự tai họa giáng trên nước, trên vua, và trên các vương tử chăng.
In addition, we make it clear to you, that it will be against the law to put any tax or payment in goods or forced payment on any of the priests or Levites, the music-makers, door-keepers, Nethinim, or any servants of this house of God.|Lại, ta truyền cho các ngươi biết rằng chẳng được phép thâu thuế hay là tiền mãi lộ nơi thầy tế lễ, người Lê-vi, kẻ ca hát, người giữ cửa, người Nê-thi-nim, hay là nơi những tôi tớ đền thờ của Đức Chúa Trời.
And you, Ezra, by the wisdom of your God which is in you, are to put rulers and judges to have authority over all the people across the river who have knowledge of the laws of your God; and you are to give teaching to him who has no knowledge of them.|Còn ngươi, hỡi E-xơ-ra, tùy theo sự khôn ngoan của Đức Chúa Trời ngươi, đã có trong tay ngươi, hãy lập những quan phủ, quan án, là những kẻ thạo biết luật pháp của Đức Chúa Trời ngươi để chúng xét đoán cả dân sự ở bên kia sông; còn người nào chẳng biết luật pháp, các ngươi khá dạy cho nó biết.
And if anyone does not keep the law of your God and the law of the king, take care that punishment is given to him, by death or by driving him from his country or by taking away his goods or by putting him in prison.|Nếu có ai không tuân luật pháp của Đức Chúa Trời ngươi và luật lệ của vua, thì các ngươi hãy đoán phạt họ liền, hoặc xử tử, hoặc lưu đày, hoặc tịch biên gia tài, hay là cầm tù.
Praise be to the Lord, the God of our fathers, who has put such a thing into the heart of the king, to make fair the house of the Lord which is in Jerusalem;|E-xơ-ra bèn nói rằng: Đáng ngợi khen thay Giê-hô-va Đức Chúa Trời tổ phụ chúng tôi, vì đã cảm lòng vua toan trang điểm đền thờ của Đức Giê-hô-va tại Giê-ru-sa-lem,
And has given mercy to me before the king and his government and before all the king's great captains. And I was made strong by the hand of the Lord my God which was on me, and I got together out of Israel chief men to go up with me.|và khiến cho tôi được ơn trước mặt vua, cùng trước mặt các mưu thần và các quan trưởng có quyền của vua! Vậy, tôi hứng chí, vì tay Giê-hô-va Đức Chúa Trời tôi phù trợ tôi, và tôi chiêu-tập các trưởng tộc Y-sơ-ra-ên đặng đồng đi lên với tôi.

					Ezra 8				|
						Ê-xơ-ra 8					
Now these are the heads of families who were listed of those who went up with me from Babylon, when Artaxerxes was king.|Nầy những trưởng tộc và gia phổ của các ngươi từ Ba-by-lôn đi lên với ta, trong đời vua At-ta-xét-xe trị vì.
Of the sons of Phinehas, Gershom; of the sons of Ithamar, Daniel; of the sons of David, Hattush;|Về con cháu Phi-nê -a có Ghẹt-sôn; về con cháu Y-tha-ma có Đa-ni-ên; về con cháu Đa-vít có Hát-túc;
Of the sons of Shecaniah; of the sons of Parosh, Zechariah; and with him were listed a hundred and fifty males.|về con cháu Sê-ca-nia, con cháu Pha-rốt có Xa-cha-ri, và những kẻ ở với người; theo gia phổ sổ được một trăm năm mươi nam đinh;
Of the sons of Pahath-moab, Eliehoenai, the son of Zerahiah; and with him two hundred males.|về con cháu Pha-hát-Mô-áp có Ê-li-ô-ê-nai, co trai của Xê-ra-hi-gai, và với người được hai trăm nam đinh;
Of the sons of Shecaniah, the son of Jahaziel; and with him three hundred males.|về con cháu Se-ca-nia có con trai Gia-ha-xi-ên, và với người được ba trăm nam đinh;
And of the sons of Adin, Ebed, the son of Jonathan; and with him fifty males.|về con cháu A-đin có Ê-bết, con trai Giô-na-than, và với người được năm mươi nam đinh;
And of the sons of Elam, Jeshaiah; the son of Athaliah; and with him seventy males.|về con cháu Ê-lam có Ê-sai, con trai A-tha-lia, và với người được bảy mươi nam đinh;
And of the sons of Shephatiah, Zebadiah, the son of Michael; and with him eighty males.|về con cháu Sê-pha-ti -a có Xê-ba-đia, con trai Mi-ca-ên, và với người được tám mươi nam đinh;
Of the sons of Joab, Obadiah, the son of Jehiel; and with him two hundred and eighteen males.|về con cháu Giô-áp có Ap-đia, con trai Giê-hi-ên, và với người được hai trăm mưới tám nam đinh;
And of the sons of Shelomith, the son of Josiphiah; and with him a hundred and sixty males.|về con cháu Sê-lô-mít có con trai Giô-si-phia, và với người được một trăm sáu mươi nam đinh;
And of the sons of Bebai, Zechariah, the son of Bebai; and with him twenty-eight males.|về con cháu Bê-bai có Xa-cha-ri, con trai của Bê-bai, và với người được hai mươi tám nam đinh.
And of the sons of Azgad, Johanan, the son of Hakkatan; and with him a hundred and ten males.|về con cháu A-gát có Giô-ha-ham, con trai của Ha-ca-tan, và với người được một trăm mười nam đinh;
And of the sons of Adonikam, the last, whose names were Eliphelet, Jeuel, and Shemaiah; and with them sixty males.|nhưng kẻ thuộc về con cháu A-đô-ni-cam đến sau hết; tên chúng là Ê-li-phê-lết, Giê-hi-ên, và Sa-ma-gia, và với họ được sáu mươi nam đinh;
And of the sons of Bigvai, Uthai and Zabbud; and with them seventy males.|về con cháu Biết-vai có U-tai cùng Xáp-bút, và với họ được bảy mươi nam đinh.
And I made them come together by the river flowing to Ahava; and we were there in tents for three days: and after viewing the people and the priests I saw that no sons of Levi were there.|Ta nhóm hiệp chúng gần bên sông chảy về A-ha-va, rồi chúng ta hạ trại tại đó ba ngày. Đoạn ta xem xét dân sự và thầy tế lễ, song chẳng thấy một người Lê-vi nào hết.
Then I sent for Eliezer and Ariel and Shemaiah and Elnathan Jarib and Elnathan and Nathan and Zechariah and Meshullam, all responsible men; and for Joiarib and Elnathan, who were wise men.|Ta bèn sai gọi các trưởng tộc Ê-li-ê-xe, A-ri-ên, Sê-ma-gia, Ê-na-than, Gia-ríp, En-na-than, Na-than, Xa-cha-ri, và Mê-su-lam, luôn Giô-gia-ríp và En-na-than, là thầy giáo sư;
And I sent them to Iddo the chief at the place Casiphia, and gave them orders what to say to Iddo and his brothers the Nethinim at the place Casiphia, so that they might come back to us with men to do the work of the house of our God.|Ta sai các người ấy đi đến trưởng tộc Y-đô ở tại Ca-si-phia, biểu họ phải dạy Y-đô và các anh em người, tức người Nê-thi-nim, ở tại Ca-si-phia, phải dẫn đến cùng chúng ta những kẻ giúp việc nơi đền thờ của Đức Chúa Trời chúng ta.
And by the help of our God they got for us Ish-sechel, one of the sons of Mahli, the son of Levi, the son of Israel; and Sherebiah with his sons and brothers, eighteen;|Vì nhờ tay Đức Chúa Trời chúng ta phù trợ, các người ấy dẫn đến cùng chúng ta một người khôn ngoan, thuộc về dòng Mách-li, là hậu tự của Lê-vi, con trai của Y-sơ-ra-ên, luôn Sê-rê-bia, và các con trai cùng anh em người, số được mười tám tên;
And Hashabiah, and with him Jeshaiah of the sons of Merari, his brothers and their sons, twenty;|lại được Ha-sa-bia và Ê-sai, thuộc về dòng Mê-ra-ri, cùng các anh em và các con trai người, số là hai mươi tên;
And of the Nethinim, to whom David and the captains had given the work of helping the Levites, two hundred and twenty Nethinim, all of them specially named.|còn trong những người Nê-thi-nim mà Đa-vít và các quan trưởng đã đặt giúp việc người Lê-vi, thì có được hai trăm hai mươi người, thảy đều gọi đích danh.
Then I gave orders for a time of going without food, there by the river Ahava, so that we might make ourselves low before our God in prayer, requesting from him a straight way for us and for our little ones and for all our substance.|Tại đó, gần bên sông A-ha-va, ta truyền kiêng cữ ăn, để chúng hạ mình xuống trước mặt Đức Chúa Trời chúng ta, và cầu xin Ngài chỉ cho biết đường chánh đáng chúng ta, con cái chúng ta, và tài sản mình phải đi.
For I would not, for shame, make request to the king for a band of armed men and horsemen to give us help against those who might make attacks on us on the way: for we had said to the king, The hand of our God is on his servants for good, but his power and his wrath are against all those who are turned away from him.|Vả lại, ta lấy làm thẹn, chẳng dám xin vua một đạo quân và lính kỵ binh vực chúng ta khỏi kẻ thù nghịch trong lúc đi đường; vì chúng ta có nói với vua rằng: Tay của Đức Chúa Trời chúng tôi phù trợ mọi kẻ nào tìm kiếm Ngài; nhưng quyền năng và thạnh nộ Ngài kháng cự nhũng kẻ nào lìa bỏ Ngài.
So we went without food, requesting our God for this: and his ear was open to our prayer.|Ay vậy, chúng ta kiêng cữ ăn và cầu xin Ngài điều ấy; Ngài bèn nhậm lời chúng ta.
So I put on one side twelve of the chiefs of the priests, Sherebiah, Hashabiah, and ten of their brothers with them,|Trong những thầy tế lễ, ta bèn chọn mười hai người trưởng, là Sê-rê-bia, Ha-sa-bia và mười người anh em họ;
And gave to them by weight the silver and the gold and the vessels, all the offering for the house of our God which the king and his wise men and his captains and all Israel there present had given:|đoạn, ta cân cho chúng các bạc, vàng, và những khí dụng mà vua, các mưu thần, các quan trưởng vua, cùng cả dân Y-sơ-ra-ên có mặt tại đó, đã dâng cho đền của Đức Chúa Trời chúng ta.
Measuring into their hands six hundred and fifty talents of silver, and silver vessels, a hundred talents' weight, and a hundred talents of gold,|Vậy, ta cân giao cho họ sáu trăm năm mươi ta lâng bạc, khí dụng bằng bạc giá một trăm ta lâng, và một trăm ta ta lâng vàng,
And twenty gold basins, of a thousand darics, and two vessels of the best bright brass, equal in value to gold.|hai mươi cái chén bằng vàng giá một ngàn đa-riếc, và hai cái chậu vằng đồng bóng láng tốt nhứt, cũng quí như vàng.
