
					II Samuel 1				|
But you took and made strong for yourself your people Israel, to be your people for ever; and you, Lord, became their God.|Vì Chúa đã lập dân Y-sơ-ra-ên làm dân của Chúa đời đời; còn Chúa, ôi Đức Giê-hô-va! làm Đức Chúa Trời của dân đó.
And now, O Lord God, may the word which you have said about your servant and about his family, be made certain for ever, and may you do as you have said!|Vậy, bây giờ, Giê-hô-va Đức Chúa Trời ôi! xin hãy làm cho vững chắc đến đời đời những lời Chúa đã phán về kẻ tôi tớ Chúa và về nhà nó, cùng làm y như Chúa đã phán vậy.
And let your name be made great for ever, and let men say, The Lord of armies is God over Israel: and let the family of David your servant be made strong before you!|Nguyện danh Chúa được ngợi khen mãi mãi, và người ta nói rằng: Giê-hô-va vạn quân là Đức Chúa Trời của Y-sơ-ra-ên. Nguyện nhà Đa-vít, là kẻ tôi tớ Chúa, được vững bền trước mặt Chúa!
For you, O Lord of armies, the God of Israel, have clearly said to your servant, I will make you the head of a family of kings: and so it has come into your servant's heart to make this prayer to you.|Vả lại, hỡi Giê-hô-va vạn quân! là Đức Chúa Trời của Y-sơ-ra-ên, chính Chúa đã phán lời hứa nầy cùng kẻ tôi tớ Chúa rằng: Ta sẽ dựng nhà cho ngươi. Bởi cớ đó, kẻ tôi tớ Chúa nói dạn dĩ mà cầu xin Chúa mấy lời nầy.
And now, O Lord God, you are God and your words are true and you have said you will give your servant this good thing;|Vậy bây giờ, hỡi Chúa Giê-hô-va! Ngài là Đức Chúa Trời, và các lời của Ngài là chơn thật; Chúa đã hứa cùng kẻ tôi tớ Chúa làm cho nó những ơn phước nầy.
So may it be your pleasure to give your blessing to the family of your servant, so that it may go on for ever before you: (for you, O Lord God, have said it,) and may your blessing be on your servant's family line for ever!|Vậy, xin Chúa ban phước cho nhà kẻ tôi tớ Chúa, để nó còn tại trước mặt Chúa đến đời đời; vì, hỡi Chúa Giê-hô-va! ấy là Chúa đã phán; nguyện nhà kẻ tôi tớ Chúa được hưởng phước của Chúa đến mãi mãi.

					II Samuel 8				|
						II Sa-mu-ên 8					
And it came about after this that David made an attack on the Philistines and overcame them; and David took the authority of the mother-town from the hands of the Philistines.|Sau điều đó, Đa-vít đánh bại dân Phi-li-tin, bắt phục chúng nó, và cất quyền kinh đô khỏi chúng nó.
And he overcame the Moabites, and he had them measured with a line when they were stretched out on the earth; marking out two lines for death and one full line for life. So the Moabites became servants to David and gave him offerings.|Người cũng đánh dân Mô-áp, bắt chúng nằm dài trên đất mà lấy dây đo: đo hai dây để giết, rồi đo một dây để sống. Như vậy, dân Mô-áp phải phục Đa-vít và đóng thuế cho người.
And David overcame Hadadezer, the son of Rehob, king of Zobah, when he went to make his power seen by the River.|Đa-vít cũng đánh Ha-đa-đê-xe, con trai của Rê-hốp, vua Xô-ba, đương khi người đi đặng lấy lại quyền quản hạt trên sông Ơ-phơ-rát.
And David took from him one thousand, seven hundred horsemen and twenty thousand footmen: and David had the leg-muscles of the horses cut, only keeping enough of them for a hundred war-carriages.|Đa-vít bắt của người một ngày bảy trăm lính kị và hai mươi ngày lính bộ, cắt nhượng ngựa của các xe, chỉ để dành cho chúng nó một trăm cổ xe mà thôi.
And when the Aramaeans of Damascus came to the help of Hadadezer, king of Zobah, David put to the sword twenty-two thousand of the Aramaeans.|Dân Sy-ri ở Đa-mách đến tiếp trợ Ha-đa-đê-xe, vua Xô-ba; Đa-vít bèn giết chúng nó hai mươi hai ngàn ngươi.
And David put armed forces in Aram of Damascus: and the Aramaeans became servants to David and gave him offerings. And the Lord made David overcome wherever he went.|Kế đó, người lập đồn trong Đa-mách xứ Sy-ri; dân Sy-ri phục dịch Đa-vít và nộp thuế. Hễ nơi nào Đa-vít đi đến, thì Đức Giê-hô-va cho người được thắng.
And David took their gold body-covers from the servants of Hadadezer and took them to Jerusalem.|Đa-vít lấy những thuẫn bằng vàng của các đầy tớ Ha-đa-đê-xe mang, mà gởi đến Giê-ru-sa-lem.
And from Tebah and Berothai, towns of Hadadezer, King David took a great store of brass.|Ở Bê-tách và Bê-rô-tôi, hai thành của Ha-đa-đê-xe, vua cũng đoạt lấy đồng rất nhiều.
And when Tou, king of Hamath, had news that David had overcome all the army of Hadadezer,|Thôi, vua Ha-mát, hay rằng vua Đa-vít đánh bại cả đạo binh của Ha-đa-đê-xe,
He sent his son Hadoram to David, with words of peace and blessing, because he had overcome Hadadezer in the fight, for Hadadezer had wars with Tou; and Hadoram took with him vessels of silver and gold and brass:|bèn sai Giô-ram, con trai mình, đến vua Đa-vít đặng chào mừng, và tặng khen người đã đánh bại Ha-đa-đê-xe. Vì Ha-đa-đê-xe hằng đánh giặc cùng Thôi. Giô-ra đem dâng những chậu bằng bạc, bằng vàng và bằng đồng.
These King David made holy to the Lord, together with the silver and gold which he had taken from the nations he had overcome--|Vua Đa-vít cũng biệt các món nầy riêng ra thánh cho Đức Giê-hô-va, y như người đã biệt riêng ra thánh bạc và vàng của các dân tộc mà người đã bắt phục:
The nations of Edom and Moab, and the children of Ammon and the Philistines and the Amalekites and the goods he had taken from Hadadezer, the son of Rehob, king of Zobah.|tức là dân Sy-ri, dân Mô-áp, dân Am-môn, dân Phi-li-tin, và dân A-ma-léc. Người cũng làm như vậy về của giặc, lấy nơi Ha-đa-đê-xe, con trai của Rê-hốp, vua xứ Xô-ba.
And David got great honour for himself, when he came back, by the destruction of Edom in the valley of Salt, to the number of eighteen thousand men.|Sau khi thắng dân Sy-ri trở về, Đa-vít lại nổi danh tiếng, vì đánh giết một vạn tám ngàn dân Ê-đôm trong trũng muối.
And he put armed forces in Edom; all through Edom he had armed forces stationed, and all the Edomites became servants to David. And the Lord made David overcome wherever he went.|Người lập đồn trong khắp xứ Ê-đôm, và cả xứ Ê-đôm phải phục Đa-vít. Như vậy, Đức Giê-hô-va khiến cho Đa-vít được thắng khắp nơi nào người đi đến.
And David was king over all Israel, judging and giving right decisions for all his people.|Đa-vít làm vua trên cả Y-sơ-ra-ên, cai trị cả dân sự mình cách ngay thẳng và công bình.
And Joab, the son of Zeruiah, was chief of the army; and Jehoshaphat, the son of Ahilud, was keeper of the records;|Giô-áp, con trai Xê-ru-gia, làm quan tổng binh; Giô-sa-phát, con trai A-hi-lút, làm quan thái sử;
And Zadok and Abiathar, the son of Ahimelech, the son of Ahitub, were priests; and Seraiah was the scribe;|Xa-đốc, con trai A-bia-tha, làm thầy tế lễ; và Se-ra-gia làm ký lục;
And Benaiah, the son of Jehoiada, was over the Cherethites and the Pelethites; and David's sons were priests.|Bê-na-gia, con trai Giê-hô-gia-đa, làm quan trưởng dân Kê-rê-thít và dân Phê-lê-thít; còn các con trai Đa-vít làm tể tướng vua.

					II Samuel 9				|
						II Sa-mu-ên 9					
And David said, Is there still anyone of Saul's family living, so that I may be a friend to him, because of Jonathan?|Bấy giờ, Đa-vít nói rằng: Có người nào của nhà Sau-lơ còn sống chăng? Ta muốn vì cớ Giô-na-than mà làm ơn cho người.
Now there was of Saul's people a servant named Ziba, and they sent him to David; and the king said to him, Are you Ziba? And he said, I am.|Vả, có một tôi tớ của nhà Sau-lơ, tên là Xíp-ba; người ta gọi nó đến cùng Đa-vít. Vua hỏi: Ngươi là Xíp-ba chăng? Người thưa: Phải, ấy là tôi, kẻ đầy tớ vua.
And the king said, Is there anyone of Saul's family still living, to whom I may be a friend in God's name? And Ziba said, There is a son of Jonathan, whose feet are damaged.|Vua tiếp rằng: Chẳng còn có người nào về nhà Sau-lơ sao? Ta muốn lấy ơn của Đức Chúa Trời mà đãi người. Xíp-ba thưa cùng vua rằng: Còn một người con trai của Giô-na-than bị tật hai chơn.
And the king said to him, Where is he? And Ziba said to the king, He is in the house of Machir, the son of Ammiel, in Lo-debar.|Vua hỏi rằng: Người ở đâu? Xíp-ba thưa rằng: Người ở trong nhà Ma-ki, con trai A-mi-ên, tại Lô-đê-ba.
Then King David sent, and had him taken from Lo-debar, from the house of Machir, the son of Ammiel.|Vua Đa-vít bèn sai tới nhà Ma-ki, con trai A-mi-ên, tại Lô-đê-ba, mà đòi người đến.
And Mephibosheth, the son of Jonathan, came to David, and falling down on his face, gave him honour. And David said, Mephibosheth. And answering he said, Your servant is here.|Khi Mê-phi-bô-sết, con trai của Giô-na-than, cháu Sau-lơ, đã đến bên Đa-vít, thì sấp mình xuống đất và lạy. Đa-vít nói: Ớ Mê-phi-bô-sết! Người thưa: Có tôi tớ vua đây.
And David said to him, Have no fear: for truly I will be good to you, because of your father Jonathan, and I will give back to you all the land which was Saul's; and you will have a place at my table at all times.|Đa-vít nói cũng người rằng: Chớ sợ; ta muốn làm ơn cho ngươi vì cớ Giô-na-than, cha ngươi; ta sẽ trả lại cho ngươi những đất của Sau-lơ, ông nội ngươi, và ngươi sẽ ăn chung bàn ta luôn luôn.
And he went down on his face before the king, and said, What is your servant, for you to take note of a dead dog such as I am?|Mê-phi-bô-sết bèn lạy, mà nói rằng: Kẻ tôi tớ vua là gì, mà vua lại đoái mắt đến một con chó chết, như tôi đây?
Then the king sent for Ziba, Saul's servant, and said to him, All the property of Saul and of his family I have given to your master's son.|Vua bèn gọi Xíp-ba, tôi tớ của Sau-lơ, mà nói rằng: Ta đã ban cho con trai chủ ngươi mọi tài sản thuộc về Sau-lơ và nhà người.
And you and your sons and your servants are to take care of the land for him, and get in the fruit of it, so that your master's son may have food: but Mephibosheth, your master's son, will have a place at my table at all times. Now Ziba had fifteen sons and twenty servants.|Vậy, ngươi cùng các con trai và tôi tớ ngươi phải cày đất đó cho người, rồi nộp hoa lợi đất sanh sản, hầu cho con trai chủ ngươi có bánh ăn. Mê-phi-bô-sết, con trai chủ ngươi, sẽ ăn chung bàn ta luôn luôn. Vả Xíp-ba có mười lăm con trai và hai mươi tôi tớ.
Then Ziba said to the king, Every order which you have given to your servant will be done. As for Mephibosheth, he had a place at David's table, like one of the king's sons.|Xíp-ba thưa cùng vua rằng: Kẻ tôi tớ vua sẽ làm mọi điều vua chúa tôi dặn biểu. Ay vậy, Mê-phi-bô-sết ăn chung bàn Đa-vít như một con trai của vua vậy.
And Mephibosheth had a young son named Mica. And all the people living in the house of Ziba were servants to Mephibosheth.|Mê-phi-bô-sết có một con trai nhỏ, tên là Mi-ca; và hết thảy những người ở trong nhà Xíp-ba đều là tôi tớ của Mê-phi-bô-sết.
So Mephibosheth went on living in Jerusalem; for he took all his meals at the king's table; and he had not the use of his feet.|Mê-phi-bô-sết ở tại Giê-ru-sa-lem, bởi vì ngươi ăn luôn chung bàn của vua. Người bị què hai chơn.

					II Samuel 10				|
						II Sa-mu-ên 10					
Now after this, death came to the king of the children of Ammon, and Hanun, his son, became king in his place.|Sau việc ấy, vua dân Am-môn băng, và Ha-nun, con trai người, kế vị.
And David said, I will be a friend to Hanun, the son of Nahash, as his father was a friend to me. So David sent his servants, to give him words of comfort on account of his father. And David's servants came into the land of the children of Ammon.|Đa-vít nói: Ta muốn làm ơn cho Ha-nun, con trai của Na-hách, như cha người đã làm ơn cho ta. Vậy, Đa-vít sai tôi tớ mình đi đến an ủy người về sự chết của cha người; các tôi tớ của Đa-vít đến trong xứ của dân Am-môn.
But the chiefs of the children of Ammon said to Hanun their lord, Does it seem to you that David is honouring your father by sending comforters to you? has he not sent his servants to go through the town and make secret observation of it, and overcome it?|Nhưng các quan trưởng của dân Am-môn nói cùng Ha-nun, chúa mình, rằng: Ong tưởng rằng Đa-vít sai những kẻ an ủy đến cùng ông là vì tôn kính cha ông sao? Đa-vít sai những tôi tớ người đến cùng ông, há chẳng phải vì muốn xem xét thành, do thám nó đặng phá diệt đi chăng?
So Hanun took David's servants, and after cutting off half the hair on their chins, and cutting off the skirts of their robes up to the middle, he sent them away.|Vậy, Ha-nun bắt các tôi tớ của Đa-vít, cạo phân nửa râu họ, cắt phân nửa quần áo cho đến nửa thân mình; đoạn cho họ đi về.
When David had news of it, he sent men out with the purpose of meeting them on their way, for the men were greatly shamed: and the king said, Go to Jericho till your hair is long again, and then come back.|Có người thuật lại việc ấy cùng Đa-vít; người bèn sai kẻ đi đón mấy người ấy, vì họ lấy làm hổ thẹn lắm. Vua sai bảo rằng: Hãy ở tại Giê-ri-cô cho đến chừng râu của các ngươi đã mọc lại; đoạn các ngươi sẽ trở về.
And when the children of Ammon saw that they had made themselves hated by David, they sent to the Aramaeans of Beth-rehob and Zobah, and got for payment twenty thousand footmen, and they got from the king of Maacah a thousand men, and from Tob twelve thousand.|Khi dân Am-môn thấy mình bị Đa-vít gớm ghét, bèn sai người đi chiêu mộ dân Sy-ri ở Bết-Rê-hốt và ở Xô-ba, số chừng hai vạn lính bộ; lại chiêu mộ vua Ma -a-ca với một ngàn người, và một vạn hai ngàn người ở xứ Tóp.
And hearing of this, David sent Joab and all the army and the best fighting-men.|Đa-vít hay được điều đó, liền sai Giô-áp với các dõng sĩ của đạo binh mình đi đánh chúng nó.
And the children of Ammon came out and put their forces in position at the way into the town: and the Aramaeans of Zobah and of Rehob, with the men of Tob and Maacah, were by themselves in the field.|Dân Am-môn kéo ra, dàn trận tại nơi cửa thành, còn dân Sy-ri ở Xô-ba và ở Rê-hóp, những người ở Tóp và ở Ma -a-ca đều đóng riêng ra trong đồng bằng.
Now when Joab saw that their forces were in position against him in front and at his back, he took the best of the men of Israel and put them in line against the Aramaeans;|Giô-áp thấy quân giặc hãm đánh đằng trước và đằng sau, bèn chọn người lính trong đạo tinh binh Y-sơ-ra-ên, và dàn binh đó ra cùng dân Sy-ri;
And the rest of the people he put in position against the children of Ammon, with Abishai, his brother, at their head.|còn binh còn lại, người trao cho A-bi-sai, em mình, đặng bày trận đối cùng dân Am-môn.
And he said, If the Aramaeans are stronger and get the better of me, then you are to come to my help; but if the children of Ammon get the better of you, I will come to your help.|Người nói cùng A-bi-sai rằng: Nếu dân Sy-ri mạnh hơn anh, em sẽ đến giúp anh; nhưng nếu dân Am-môn mạnh hơn em, anh sẽ đến giúp em.
Take heart, and let us be strong for our people and for the towns of our God, and may the Lord do what seems good to him.|Hãy vững lòng bền chí, đánh giặc cách can đảm, vì dân sự ta và vì các thành của Đức Chúa Trời chúng ta; nguyện Đức Giê-hô-va làm theo ý Ngài lấy làm tốt!
Then Joab and the people with him went forward to the fight against the Aramaeans, and they went in flight before him.|Đoạn, Giô-áp với quân lính theo người đều đến gần, giao chiến cùng dân Sy-ri; chúng chạy trốn trước mặt người.
And when the children of Ammon saw the flight of the Aramaeans, they themselves went in flight from Abishai, and came into the town. So Joab went back from fighting the children of Ammon and came to Jerusalem.|Bấy giờ, vì dân Am-môn thấy dân Sy-ri chạy trốn, thì chúng cũng chạy trốn khỏi trước mặt A-bi-sai, và vào trong thành. Giô-áp lìa khỏi dân Am-môn mà trở về Giê-ru-sa-lem.
And when the Aramaeans saw that Israel had overcome them, they got themselves together.|Dân Sy-ri thấy mình bị dân Y-sơ-ra-ên đánh bại, bèn nhóm hiệp lại.
And Hadadezer sent for the Aramaeans who were on the other side of the River: and they came to Helam, with Shobach, the captain of Hadadezer's army, at their head.|Ha-đa-rê-xe sai chiêu dân Sy-ri ở bên kia sông; chúng nó đến Hê-lam, có Sô-bác làm tổng binh của Ha-đa-rê-xe, quản suất.
And word of this was given to David: and he got all Israel together and went over Jordan and came to Helam. And the Aramaeans put their forces in position against David, and made an attack on him.|Nghe tin nầy, Đa-vít hiệp lại hết thảy Y-sơ-ra-ên, đi ngang qua Giô-đanh, kéo đến Hê-lam. Dân Sy-ri dàn trận đối cùng Đa-vít, và giao chiến cùng người.
And the Aramaeans went in flight before Israel; and David put to the sword the men of seven hundred Aramaean war-carriages and forty thousand footmen, and Shobach, the captain of the army, was wounded, and came to his death there.|Nhưng chúng chạy trốn trước mặt Y-sơ-ra-ên. Đa-vít giết bảy trăm xe binh của dân Sy-ri, và bốn muôn lính kị. Người cũng giết Sô-bác, tổng binh của chúng nó, và nó chết tại đó.
And when all the kings who were servants of Hadadezer saw that they were overcome by Israel, they made peace with Israel and became their servants. So the Aramaeans, in fear, gave no more help to the children of Ammon.|Khi các vua chư hầu của Y-sơ-ra-ên thấy mình bị Y-sơ-ra-ên đánh bại, thì lập hòa cùng Y-sơ-ra-ên và phục dịch họ; dân Sy-ri không còn dám giúp dân Am-môn nữa.

					II Samuel 11				|
						II Sa-mu-ên 11					
Now in the spring, at the time when kings go out to war, David sent Joab and his servants and all Israel with him; and they made waste the land of the children of Ammon, and took up their position before Rabbah, shutting it in. But David was still at Jerusalem.|Qua năm mới, khi các vua thường ra tranh chiến, Đa-vít sai Giô-áp cùng các tôi tớ mình và cả đạo binh Y-sơ-ra-ên đánh giặc; chúng cướp phá xứ dân Am-môn và vây thành Ráp-ba. Nhưng vua Đa-vít ở lại Giê-ru-sa-lem.
Now one evening, David got up from his bed, and while he was walking on the roof of the king's house, he saw from there a woman bathing; and the woman was very beautiful.|Một buổi chiều kia, Đa-vít chổi dậy khỏi giường mình, đi dạo chơi trên nóc đền vua, bèn thấy một người nữ đương tắm; người nữ ấy rất là lịch sự.
And David sent to get knowledge who the woman was. And one said, Is this not Bath-sheba, the daughter of Eliam and wife of Uriah the Hittite?|Đa-vít sai hỏi người nữ ấy là ai, thì người ta thưa rằng: Ay là Bát-Sê-ba, con gái của Ê-li-am, vợ của U-ri, người Hê-tít.
And David sent and took her; and she came to him, and he took her to his bed: (for she had been made clean;) then she went back to her house.|Đa-vít sai người đem nàng đến. Nàng đến nhà vua và vua ngủ với nàng. Sau khi nàng làm cho sạch sự ô uế mình, bèn trở về nhà.
And the woman became with child; and she sent word to David that she was with child.|Người nữ nầy thọ thai, sai người tâu cùng Đa-vít rằng: Tôi có thai.
And David sent to Joab saying, Send Uriah the Hittite to me. And Joab sent Uriah to David.|Đa-vít bèn truyền lịnh cho Giô-áp rằng: Hãy sai U-ri, người Hê-tít, đến cùng ta. Vậy, Giô-áp sau U-ri đến cùng Đa-vít.
And when Uriah came to him, David put questions to him about how Joab and the people were, and how the war was going.|U-ri đến, Đa-vít hỏi thăm về Giô-áp và đạo binh có bình an chăng, cùng chiến trận ra thể nào.
And David said to Uriah, Go down to your house and let your feet be washed. And Uriah went away from the king's house, and an offering from the king was sent after him.|Đoạn, vua nói cùng U-ri rằng: Hãy đi xuống nhà ngươi và rửa chơn đi. Vậy, U-ri đi ra khỏi đền vua, có người đem theo người một của ăn nhà vua.
But Uriah took his rest at the door of the king's house, with all the servants of his lord, and did not go down to his house.|Nhưng U-ri không về nhà mình, ngủ tại cửa đền vua cùng các tôi tớ vua.
And when word was given to David that Uriah had not gone down to his house, David said to Uriah, Have you not come from a journey? why did you not go down to your house?|Người ta thuật điều đó cho Đa-vít và nói rằng: U-ri không có đi xuống nhà người. Đa-vít hỏi U-ri rằng: Chớ thì ngươi chẳng đi đường trở về sao? Cớ sao không đi xuống nhà ngươi?
And Uriah said to David, Israel and Judah with the ark are living in tents, and my lord Joab and the other servants of my lord are sleeping in the open field; and am I to go to my house and take food and drink, and go to bed with my wife? By the living Lord, and by the life of your soul, I will not do such a thing.|U-ri thưa cùng Đa-vít rằng: Hòm giao ước, Y-sơ-ra-ên, và Giu-đa, vẫn ở dưới trại, Giô-áp, là chúa tôi, luôn với các tôi tớ chúa tôi đương hạ trại nơi đồng trống, còn tôi lại vào nhà mình đặng ăn, uống, và ngủ cùng vợ mình sao? Tôi chỉ mạng sống và linh hồn của vua mà thề rằng, tôi chẳng biết làm một sự như vậy!
And David said to Uriah, Be here today, and after that I will let you go. So Uriah was in Jerusalem that day and the day after.|Đa-vít nói cùng U-ri rằng: Hãy còn ở đây ngày nay, rồi mai ta sẽ sai ngươi đi. Vậy, U-ri ở lại tại Giê-ru-sa-lem ngày ấy và ngày sau.
And when David sent for him, he took meat and drink with him, and David made him the worse for drink: and when evening came, he went to rest on his bed with the servants of his lord, but he did not go down to his house.|Đoạn, Đa-vít vời người ăn uống tại trước mặt mình, và làm cho người say; nhưng chiều tối, U-ri đi ra ngủ trên giường mình với các tôi tớ của người, chớ không có đi xuống nhà mình.
Now in the morning, David gave Uriah a letter to take to Joab.|Sáng ngày mai, Đa-vít viết một cái thơ cho Giô-áp, và gởi nơi tay U-ri.
And in the letter he said, Take care to put Uriah in the very front of the line, where the fighting is most violent, and go back from him, so that he may be overcome and put to death.|Người viết như vầy: Hãy đặt U-ri tại hàng đầu, nơi hiểm nguy hơn hết của chiến trận, rồi hãy rút ra xa người, để người bị đánh và chết đi.
So while Joab was watching the town, he put Uriah in the place where it was clear to him the best fighters were.|Vậy, khi Giô-áp vây thành, bèn đặt U-ri tại chỗ đã biết có lính mạnh bạo của thù nghịch gìn giữ.
And the men of the town went out and had a fight with Joab: and a number of David's men came to their death in the fight, and with them Uriah the Hittite.|Người trong thành kéo ra đánh Giô-áp, có mấy người trong bọn tôi tớ Đa-vít ngã chết. U-ri, người Hê-tít, cũng chết.
Then Joab sent David news of everything which had taken place in the war:|Giô-áp bèn sai sứ giả đến cùng Đa-vít đặng thuật cho người biết đầu đuôi của sự chinh chiến.
And he gave orders to the man who took the news, saying, After you have given the king all the news about the war,|Và người truyền lịnh cho sứ giả rằng: Khi ngươi đã thuật xong cho vua mọi điều đã xảy ra nơi chiến trận,
If the king is angry and says, Why did you go so near the town for the fight? was it not certain that their archers would be on the wall?|nếu vua nổi giận nói cùng ngươi rằng: Cớ sao các ngươi đi tới gần quá đặng hãm thành vậy? Các ngươi há chẳng biết rằng người ta ở trên chót vách thành bắn tên xuống sao?
Who put Abimelech, the son of Jerubbaal, to death? did not a woman send a great stone down on him from the wall, putting him to death at Thebez? why did you go so near the wall? Then say to him, Your servant Uriah the Hittite is among the dead.|Xưa ai giết A-bi-mê-léc, con trai của Giê-rút-bê-sết? Há chẳng phải một người nữ ở trên chót vách thành ném một thớt cối xuống trên người làm cho người chết tại Tê-bết sao? Vì sao các ngươi đến gần vách thành như vậy? thì bấy giờ ngươi sẽ tiếp rằng: U-ri, kẻ tôi tớ vua, người Hê-tít, cũng chết nữa.
So the man went, and came to David, and gave him all the news which Joab had sent him to give; then David was angry with Joab and said, Why did you go so near the town for the fight? was it not certain that their archers would be on the wall? who put Abimelech, the son of Jerubbaal, to death? did not a woman send a great stone down on him from the wall, putting him to death at Thebez? why did you go so near the wall?|Như vậy, sứ giả đi; khi người đến nơi, thuật cho Đa-vít biết mọi điều Giô-áp đã dặn người.
And the man said to David, Truly the men got the better of us, and came out against us into the open country, but we sent them back to the very doors of the town.|Sứ giả tâu cùng Đa-vít rằng: Ban đầu những quân đó mạnh hơn chúng tôi, kéo ra đến ngoài đồng; nhưng chúng tôi đánh đuổi chúng nó đến cửa thành.
And the archers sent their arrows at your servants from the wall, and some of the king's servants are dead, and among them is your servant Uriah the Hittite.|Các lính cầm cung ở trên vách thành có bắn những tôi tớ vua, có vài người bị chết; U-ri, người Hê-tít, là tôi tớ vua, cũng chết nữa.
Then David said to the man, Go and say to Joab, Do not let this be a grief to you; for one man may come to his death by the sword like another: put up an even stronger fight against the town, and take it: and do you put heart into him.|Đa-vít đáp cùng sứ giả rằng: Ngươi hãy nói cùng Giô-áp: Chớ lấy làm cực lòng quá về điều đó; gươm, khi giết kẻ nầy, khi giết kẻ khác. Hãy rán sức hãm thành và hủy diệt nó đi. Còn ngươi hãy giục người vững lòng bền chí.
And when the wife of Uriah had news that her husband was dead, she gave herself up to weeping for him.|Khi vợ U-ri hay rằng chồng mình đã thác, thì than khóc U-ri.
And when the days of weeping were past, David sent for her, and took her into his house, and she became his wife and gave him a son. But the Lord was not pleased with the thing David had done.|Khi đã mãn tang, Đa-vít sai vời nàng vào cung; nàng trở nên vợ người, sanh cho người một con trai. Nhưng điều Đa-vít đã làm đó không đẹp lòng Đức Giê-hô-va.

					II Samuel 12				|
						II Sa-mu-ên 12					
And the Lord sent Nathan to David. And Nathan came to him and said, There were two men in the same town: one a man of great wealth, and the other a poor man.|Đức Giê-hô-va sai Na-than đến cùng Đa-vít. Vậy, Na-than đến cùng người mà rằng: Trong một thành kia có hai người, người nầy giàu, còn người kia nghèo.
The man of wealth had great numbers of flocks and herds;|Người giàu có chiên bò rất nhiều;
But the poor man had only one little she-lamb, which he had got and taken care of: from its birth it had been with him like one of his children; his meat was its food, and from his cup it took its drink, resting in his arms, and it was like a daughter to him.|nhưng người nghèo, nếu chẳng kể một con chiên cái nhỏ mà người đã mua, thì chẳng có gì hết. Người nuôi nó; nó cùng lớn lên với con cái người tại nhà người, ăn đồ người ăn, uống đồ người uống, và ngủ trên lòng người; nó như một con gái của người vậy.
Now a traveller came to the house of the man of wealth, but he would not take anything from his flock or his herd to make a meal for the traveller who had come to him, but he took the poor man's lamb and made it ready for the man who had come.|Vả, có người khách đến người giàu; người giàu tiếc không muốn đụng đến chiên bò của mình đặng dọn một bữa ăn cho người khách đã đến, bèn bắt con chiên con của người nghèo và dọn cho kẻ khác đã đến thăm mình.
And David was full of wrath against that man; and he said to Nathan, By the living Lord, death is the right punishment for the man who has done this:|Đa-vít bèn nổi giận lắm cùng người ấy, và nói cùng Na-than rằng: Ta chỉ Đức Giê-hô-va hằng sống mà thề, người đã phạm điều ấy thật đáng chết!
And he will have to give back four times the value of the lamb, because he has done this and because he had no pity.|Hắn phải thường bốn lần giá chiên con, vì đã làm như vậy, và vì không có lòng thương xót.
And Nathan said to David, You are that man. The Lord God of Israel says, I made you king over Israel, putting holy oil on you, and I kept you safe from the hands of Saul;|Bấy giờ, Na-than nói cùng Đa-vít rằng: Vua là người đó! Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên có phán như vầy: Ta đã xức dầu lập ngươi làm vua Y-sơ-ra-ên, ta đã giải cứu ngươi khỏi tay Sau-lơ.
I gave you your master's daughter and your master's wives for yourself, and I gave you the daughters of Israel and Judah; and if that had not been enough, I would have given you such and such things.|Ta cũng ban cho ngươi nhà của chủ ngươi, lập ngươi làm vua của nhà Y-sơ-ra-ên và Giu-đa, và nếu điều đó không đủ, ắt ta sẽ thêm cho ơn khác nữa.
Why then have you had no respect for the word of the Lord, doing what is evil in his eyes? You have put Uriah the Hittite to death with the sword, and have taken his wife to be your wife; you have put him to death with the sword of the children of Ammon.|Cớ sau ngươi đã khinh bỉ lời của Đức Giê-hô-va, mà làm điều không đẹp lòng Ngài? Ngươi đã dùng gươm giết U-ri, người Hê-tít, lấy vợ nó làm vợ ngươi, còn nó thì ngươi đã giết bởi gươm của dân Am-môn.
So now the sword will never be turned away from your family; because you have had no respect for me, and have taken the wife of Uriah the Hittite to be your wife.|Nên bây giờ, gươm chẳng hề thôi hủy hoại nhà ngươi, bởi vì ngươi đã khinh ta, cướp vợ U-ri, người Hê-tít, đặng nàng làm vợ ngươi.
The Lord says, From those of your family I will send evil against you, and before your very eyes I will take your wives and give them to your neighbour, and he will take your wives to his bed by the light of this sun.|Đức Giê-hô-va phán như vầy: Ta sẽ khiến từ nhà ngươi nổi lên những tai họa giáng trên ngươi; ta sẽ bắt các vợ ngươi tại trước mắt ngươi trao cho một người lân cận ngươi, nó sẽ làm nhục chúng nó tại nơi bạch nhựt.
You did it secretly; but I will do this thing before all Israel and in the light of the sun.|Vì ngươi đã làm sự kia cách kín nhiệm, nhưng ta sẽ làm việc nầy trước mặt cả Y-sơ-ra-ên và tại nơi bạch nhựt.
And David said to Nathan, Great is my sin against the Lord. And Nathan said to David, The Lord has put away your sin; death will not come on you.|Đa-vít bèn nói cùng Na-than rằng: Ta đã phạm tội cùng Đức Giê-hô-va. Na-than đáp cùng Đa-vít rằng: Đức Giê-hô-va cũng đã xóa tội vua; vua không chết đâu.
But still, because you have had no respect for the Lord, death will certainly overtake the child who has newly come to birth.|Nhưng vì việc nầy vua đã gây dịp cho những kẻ thù nghịch Đức Giê-hô-va nói phạm đến Ngài, nên con trai đã sanh cho ngươi hẳn sẽ chết.
