
					Jeremiah 1				|
This is what the Lord has said: Take your place looking out on the ways; make search for the old roads, saying, Where is the good way? and go in it that you may have rest for your souls. But they said, We will not go in it.|Đức Giê-hô-va phán như vầy: Hãy đứng trên các đường cái và nhìn xem; tra xét những đường lối cũ, xem thử đường tốt ở đâu: hãy đi đường ấy, thì các ngươi sẽ được sự an nghỉ cho linh hồn mình. Nhưng chúng nó đáp rằng: Chúng tôi không khứng đi đường ấy.
And I put watchmen over you, saying, Give attention to the sound of the horn; but they said, We will not give attention.|Ta đã lập vọng canh kề các ngươi; hãy chăm chỉ nghe tiếng kèn. Nhưng chúng nó đáp rằng: Chúng tôi không khứng nghe.
So then, give ear, you nations, and ...|Vì vậy, hỡi các nước, hãy nghe; hỡi hội chúng, hãy biết điều xảy đến giữa chúng nó!
Give ear, O earth: see, I will make evil come on this people, even the fruit of their thoughts, because they have not given attention to my words, and they would have nothing to do with my law.|Hỡi đất, hãy nghe: Nầy, ta sẽ khiến tai vạ đến trên dân nầy, tức là quả báo của ý tưởng nó, vì nó chẳng chăm nghe lời ta, và đã bỏ luật pháp ta.
To what purpose does sweet perfume come to me from Sheba, and spices from a far country? your burned offerings give me no pleasure, your offerings of beasts are not pleasing to me.|Nào ta có cần gì nhũ hương đến từ Sê-ba, xương bồ đến từ xứ xa mà dâng cho ta? Của lễ thiêu của các ngươi chẳng đẹp lòng ta, ta chẳng lấy tế lễ của các ngươi làm vừa ý.
For this reason the Lord has said, See, I will put stones in the way of this people: and the fathers and the sons together will go falling over them; the neighbour and his friend will come to destruction.|Vậy nên, Đức Giê-hô-va phán như vầy: Nầy, ta sẽ đặt sự ngăn trở trước mặt dân nầy; cha và con sẽ cùng nhau vấp ngã; xóm riềng bạn hữu đều chết mất.
The Lord has said, See, a people is coming from the north country, a great nation will be put in motion from the inmost parts of the earth.|Đức Giê-hô-va phán như vầy: Nầy, một dân đến từ xứ phương bắc; một nước lớn dấy lên từ nơi đầu cùng đất.
Bows and spears are in their hands; they are cruel and have no mercy; their voice is like the thunder of the sea, and they go on horses; everyone in his place like men going to the fight, against you, O daughter of Zion.|Chúng nó thảy đều cầm cung và giáo, thật là dữ tợn, chẳng có lòng thương xót. Tiếng chúng nó rống lên như biển, họ đều cỡi ngựa; ai nấy sắp hàng như người lính chiến mà nghịch cùng ngươi, hỡi con gái Si-ôn!
The news of it has come to our ears; our hands have become feeble: trouble has come on us and pain, like the pain of a woman in childbirth.|Chúng ta đã nghe tin ấy, tay đều yếu đuối; buồn rầu thảm thiết, cơn quặn thắt như đờn bà đẻ con đã xông vào chúng ta.
Go not out into the field or by the way; for there is the sword of the attacker, and fear on every side.|Chớ ra nơi đồng ruộng, chớ đi trên đường, vì gươm của giặc ở đó, khắp mọi nơi đều có sự kinh hãi.
O daughter of my people, put on haircloth, rolling yourself in the dust: give yourself to sorrow, as for an only son, with most bitter cries of grief; for he who makes waste will come on us suddenly.|Hỡi con gái của dân ta, hãy thắt lưng bằng bao gai, và lăng trong tro bụi. Hãy phát tang như mất con trai một, làm cho nghe tiếng than khóc đắng cay; vì kẻ tàn phá sẽ xông tới trên chúng ta thình lình.
I have made you a tester among my people, so that you may have knowledge of their way and put it to the test.|Ta đã lập ngươi làm kẻ thử và đồn lũy giữa dân ta, đặng ngươi nhận biết và dò xem đường lối nó.
All of them are turned away, going about with false stories; they are brass and iron: they are all workers of deceit.|Chúng nó thảy đều bạn nghịch quá lắm, đi dạo nói xấu, cứng như đồng như sắt, làm những sự bại hoại.
The blower is blowing strongly, the lead is burned away in the fire: they go on heating the metal to no purpose, for the evil-doers are not taken away.|Ong bễ thổi mạnh, chì đã tiêu bởi lửa; chúng nó luyện đi luyện lại cũng là luống công: vì kẻ gian ác vẫn chưa trừ khỏi.
They will be named waste silver, because the Lord has given them up.|Nó sẽ bị gọi là bạc bỏ, vì Đức Giê-hô-va từ bỏ nó.

					Jeremiah 7				|
						Giê-rê-mi-a 7					
The word which came to Jeremiah from the Lord, saying,|Từ nơi Đức Giê-hô-va có lời phán cùng Giê-rê-mi rằng:
Take your place in the doorway of the Lord's house, and give out this word there, and say, Give ear to the word of the Lord, all you of Judah who come inside these doors to give worship to the Lord.|Hãy đứng nơi cửa nhà Đức Giê-hô-va, tại đó hãy rao lời nầy: Các ngươi, là người Giu-đa hết thảy, là những kẻ do các cửa nầy vào đặng thờ lạy Đức Giê-hô-va, hãy nghe lời Đức Giê-hô-va.
The Lord of armies, the God of Israel, says, Let your ways and your doings be changed for the better and I will let you go on living in this place.|Đức Giê-hô-va vạn quân, Đức Chúa Trời của Y-sơ-ra-ên, phán như vầy: Hãy sửa lại đường lối và việc làm của các ngươi; thì ta sẽ khiến các ngươi ở trong xứ nầy.
Put no faith in false words, saying, The Temple of the Lord, the Temple of the Lord, the Temple of the Lord, are these.|Chớ nhờ cậy những lời dối trá rằng: Chính đây là đền thờ của Đức Giê-hô-va, đền thờ của Đức Giê-hô-va, đền thờ của Đức Giê-hô-va.
For if your ways and your doings are truly changed for the better; if you truly give right decisions between a man and his neighbour;|Vì nếu các ngươi sửa lại kỹ càng đường lối và việc làm của mình, nếu các ngươi làm trọn sự công bình giữa người và kẻ lân cận nó;
If you are not cruel to the man from a strange country, and to the child without a father, and to the widow, and do not put the upright to death in this place, or go after other gods, causing damage to yourselves:|nếu các ngươi không hiếp đáp khách lạ, kẻ mồ côi, người góa bụa, và không làm đổ máu vô tội trong nơi nầy; cũng chẳng đi theo các thần khác để làm hại mình,
Then I will let you go on living in this place, in the land which I gave to your fathers in the past and for ever.|thì ta sẽ khiến các ngươi ăn ở trong nơi nầy và trong đất mà ta đã ban cho tổ phụ các ngươi từ thuở xưa cho đến đời đời.
See, you put your faith in false words which are of no profit.|Nầy, các ngươi cậy những lời phỉnh phờ chẳng có ích gì.
Will you take the goods of others, put men to death, and be untrue to your wives, and take false oaths, and have perfumes burned to the Baal, and go after other gods which are strange to you;|Các ngươi há chẳng trộm cướp, giết người, phạm tội tà dâm, thề dối, dâng hương cho Ba-anh, đi theo thần khác, là thần mình không biết hay sao?
And come and take your place before me in this house, which is named by my name, and say, We have been made safe; so that you may do all these disgusting things?|Rồi các ngươi đến chầu ta trong nhà nầy, là nơi được xưng bằng danh ta, và nói rằng: Kìa, chúng tôi được thả rồi! hầu cho các ngươi được phạm mọi sự gớm ghiếc ấy.
Has this house, which is named by my name, become a hole of thieves to you? Truly I, even I, have seen it, says the Lord.|Vậy thì các ngươi xem nhà nầy, là nơi được xưng bằng danh ta, như hang trộm cướp sao? Nầy, ta, chính ta xem thấy mọi điều đó, Đức Giê-hô-va phán vậy.
But go now to my place which was in Shiloh, where I put my name at first, and see what I did to it because of the evil-doing of my people Israel.|Thế thì, hãy đi đến chỗ ở cũ của ta tạo Si-lô, là nơi trước kia ta đã gởi danh ta, mà xem, vì tội ác của dân Y-sơ-ra-ên ta, ta đã làm cho nó thể nào.
And now, because you have done all these works, says the Lord, and I sent my word to you, getting up early and sending, but you did not give ear; and my voice came to you, but you gave no answer:|Đức Giê-hô-va phán: Hiện bây giờ, vì các ngươi đã làm những việc ấy, ta đã dậy sớm phán dạy các ngươi, mà các ngươi không nghe; lại gọi các ngươi mà các ngươi không trả lời,
For this reason I will do to the house which is named by my name, and in which you have put your faith, and to the place which I gave to you and to your fathers, as I have done to Shiloh.|thì ta sẽ làm cho nhà nầy, tức là nhà được xưng bằng danh ta, là nhà mà các ngươi nhờ cậy, và làm cho nơi mà ta đã ban cho các ngươi cùng tổ phụ các ngươi, cũng như ta đã làm cho Si-lô;
And I will send you away from before my face, as I have sent away all your brothers, even all the seed of Ephraim.|ta lại bỏ các ngươi khỏi trước mắt ta, cũng như ta đã bỏ anh em các ngươi hết thảy, tức là cả dòng dõi Ep-ra-im.
And as for you (Jeremiah), make no prayers for this people, send up no cry or prayer for them, make no request for them to me: for I will not give ear.|Cho nên ngươi chớ vì dân nầy mà cầu thay; đừng vì nó mà cất tiếng khấn vái cầu nguyện, cũng đừng cầu thay cùng ta, vì ta sẽ chẳng nghe ngươi.
Do you not see what they are doing in the towns of Judah and in the streets of Jerusalem?|Ngươi há chẳng thấy điều họ làm trong các thành của Giu-đa và trong các đường phố Giê-ru-sa-lem sao?
The children go for wood, the fathers get the fire burning, the women are working the paste to make cakes for the queen of heaven, and drink offerings are drained out to other gods, moving me to wrath.|Con lượm củi, cha nhen lửa, đờn bà nhồi bột, đặng làm bánh dâng cho nữ vương trên trời, và làm lễ quán cho các thần khác, để chọc giận ta.
Are they moving me to wrath? says the Lord; are they not moving themselves to their shame?|Đức Giê-hô-va phán: Có phải chúng nó chọc giận ta chăng? Há chẳng phải chúng nó tự chọc mình, chuốc lấy điều hổ mặt cho mình sao?
So this is what the Lord God has said: See, my wrath and my passion will be let loose on this place, on man and beast, and on the trees of the field, and on the produce of the earth; it will be burning and will not be put out.|Vậy nên, Chúa Giê-hô-va phán như vầy: Nầy, cơn giận và sự thạnh nộ của ta sẽ đổ xuống trên xứ nầy, trên người ta và thú vật, trên cây cối ngoài đồng và hoa quả của đất, sẽ đốt cháy hết, chẳng tắt bao giờ.
These are the words of the Lord of armies, the God of Israel: Put your burned offerings with your offerings of beasts, and take flesh for your food.|Đức Giê-hô-va vạn quân, Đức Chúa Trời của Y-sơ-ra-ên, phán như vầy: Hãy thêm của lễ thiêu của các ngươi vào các của lễ khác, và ăn thịt đi!
For I said nothing to your fathers, and gave them no orders, on the day when I took them out of Egypt, about burned offerings or offerings of beasts:|Vì khi ta đem tổ phụ các ngươi ra khỏi đất Ê-díp-tô, ta chẳng hề phán, và chẳng hề truyền mạng lịnh gì về của lễ thiêu và các của lễ.
But this was the order I gave them, saying, Give ear to my voice, and I will be your God, and you will be my people: go in all the way ordered by me, so that all may be well for you.|Nhưng, nầy là mạng lịnh mà ta đã truyền cho họ: Hãy nghe tiếng ta, thì ta sẽ làm Đức Chúa Trời các ngươi, các ngươi sẽ làm dân ta; hãy đi theo cả đường lối ta dạy cho, để các ngươi được phước.
But they took no note and did not give ear, but were guided by the thoughts and the pride of their evil hearts, going back and not forward.|Nhưng họ chẳng nghe, và chẳng ghé tai vào, cứ bước đi trong mưu của mình, theo sự cứng cỏi của lòng ác mình, thụt lùi chẳng bước tới.
From the day when your fathers came out of Egypt till this day, I have sent my servants the prophets to you, getting up early every day and sending them:|Từ ngày tổ phụ các ngươi ra khỏi đất Ê-díp-tô cho đến ngày nay, ta đã sai mọi đầy tớ ta, tức các tiên tri, đến cùng các ngươi; mỗi ngày ta dậy sớm sai họ đến.
But still they took no note and would not give ear, but they made their necks stiff, doing worse than their fathers.|Nhưng chúng nó chẳng nghe ta, chẳng hề để tai vào, song lại cứng cổ, ăn ở càng xấu hơn tổ phụ mình.
And you are to say all these words to them, but they will not give ear to you: you will send out your voice to them, but they will give no answer.|Vậy ngươi sẽ nói với chúng nó mọi lời nầy, nhưng chúng nó không nghe ngươi. Ngươi sẽ kêu, những chúng nó không trả lời.
And you are to say to them, This is the nation which has not given ear to the voice of their God, or taken his teaching to heart: good faith is dead and is cut off from their mouths.|Vậy nên ngươi khá bảo chúng nó rằng: Nầy là dân chẳng nghe tiếng Giê-hô-va Đức Chúa Trời mình, và không chịu nhận sự dạy dỗ. Sự chơn thật mất rồi, đã dứt khỏi miệng chúng nó.
Let your hair be cut off, O Jerusalem, and let it go, and let a song of grief go up on the open hilltops; for the Lord is turned away from the generation of his wrath and has given them up.|Hỡi Giê-ru-sa-lem, hãy cắt tóc mà ném cho xa đi; hãy cất tiếng thảm sầu trên các gò trọi! Vì Đức Giê-hô-va đã chê-chối lìa bỏ dòng dõi nầy, mà Ngài tức giận.
For the children of Judah have done what is evil in my eyes, says the Lord: they have put their disgusting images in the house which is named by my name, making it unclean.|Đức Giê-hô-va phán: Con cái Giu-đa đã làm điều ác trước mắt ta, chúng nó đặt những vật gớm ghiếc trong nhà được xưng bằng danh ta, để làm cho ô uế.
And they have put up the high place of Topheth in the valley of the son of Hinnom, burning their sons and their daughters there in the fire; a thing which was not ordered by me and never came into my mind.|Chúng nó đã xây các nơi cao của Tô-phết, trong trũng của con trai Hi-nôm, đặng đốt con trai con gái mình trong lửa, ấy là điều ta chẳng từng dạy, là điều ta chẳng hề nghĩ đến.
For this cause, the days are coming, says the Lord, when it will no longer be named Topheth, or, The valley of the son of Hinnom, but, The valley of Death: for they will put the dead into the earth in Topheth till there is no more room.|Vậy nên, Đức Giê-hô-va phán: Nầy, những ngày đến, bấy giờ sẽ không gọi là Tô-phết và trũng của con trai Hi-nôm nữa, mà gọi là trũng của sự chém giết; vì người ta sẽ chôn kẻ chết tại Tô-phết, cho đến thiếu chỗ chôn.
And the bodies of this people will be food for the birds of heaven and for the beasts of the earth; and there will be no one to send them away.|Những thây của dân nầy sẽ làm đồ ăn cho chim trời và thú vật dưới đất, chẳng ai xua đuổi.
And in the towns of Judah and in the streets of Jerusalem, I will put an end to the laughing voices, the voice of joy and the voice of the newly-married man and the voice of the bride: for the land will become a waste.|Bấy giờ ta sẽ làm cho các thành của Giê-ru-sa-lem hết tiếng kêu vui reo mừng tiếng của rể mới và dâu mới, vì đất nầy sẽ trở nên hoang vu.

					Jeremiah 8				|
						Giê-rê-mi-a 8					
At that time, says the Lord, they will take the bones of the kings of Judah, and the bones of his rulers, and the bones of the priests, and the bones of the prophets, and the bones of the people of Jerusalem out of their resting-places:|Đức Giê-hô-va phán: Trong thời đó, người ta sẽ bới xương của các vua Giu-đa, xương của các quan trưởng, xương của các thầy tế lễ, xương của các tiên tri, và xương của các dân cư Giê-ru-sa-lem ra khỏi mồ mả.
And they will put them out before the sun and the moon and all the stars of heaven, whose lovers and servants they have been, after whom they have gone, to whom they have made prayers, and to whom they have given worship: they will not be put together or placed in the earth; they will be waste on the face of the earth.|Người ta sẽ phơi những xương ấy ra dưới mặt trời, mặt trăng, và cơ binh trên trời, tức là những vật mà họ đã yêu mến, hầu việc, bước theo, tìm cầu, và thờ lạy. Những xương ấy sẽ chẳng được thâu lại, chẳng được chôn lại; sẽ như phân trên mặt đất.
And death will be desired more than life by the rest of this evil family who are still living in all the places where I have sent them away, says the Lord of armies.|Mọi kẻ sót của họ hàng gian ác ấy còn lại trong mọi nơi ta đã đuổi chúng nó đến, chúng nó sẽ cầu chết hơn là sống, Đức Giê-hô-va vạn quân phán vậy.
Further, you are to say to them, This is what the Lord has said: Will those who are falling not be lifted up again? will he who has gone away not come back?|Vậy ngươi khá bảo chúng nó rằng: Đức Giê-hô-va phán như vầy: Người ta vấp ngã, há chẳng đứng dậy sao? Kẻ nào trở đi, há chẳng trở về sao?
Why do these people of Jerusalem go back, for ever turning away? they will not give up their deceit, they will not come back.|Vậy thì làm sao mà dân sự Giê-ru-sa-lem nầy cứ mài miệt trong sự bội nghịch đời đời? Chúng nó khăng khăng giữ điều gian trá, chẳng chịu trở lại.
I took note and gave ear, but no one said what is right: no man had regret for his evil-doing, saying, What have I done? everyone goes off on his way like a horse rushing to the fight.|Ta đã lắng tai và nghe: chúng nó chẳng nói ngay thẳng, chẳng có ai ăn năn điều ác của mình, mà rằng: Ta đã làm gì? Thảy đều dong ruổi như ngựa xông vào trận.
Truly, the stork in the heavens is conscious of her fixed times; the dove and the swallow and the crane keep to the times of their coming; but my people have no knowledge of the law of the Lord.|Chim hạc giữa khoảng không tự biết các mùa nhất định cho nó; chim cu, chim yến, chim nhạn, giữ kỳ dời chỗ ở. Nhưng dân ta chẳng biết luật pháp của Đức Giê-hô-va!
How is it that you say, We are wise and the law of the Lord is with us? But see, the false pen of the scribes has made it false.|Sao các ngươi nói được rằng: Chúng ta là khôn sáng, có luật pháp Đức Giê-hô-va ở với chúng ta? Nhưng, nầy, ngọn bút giả dối của bọn thông giáo đã làm cho luật pháp ấy ra sự nói dối!
The wise men are shamed, they are overcome with fear and taken: see, they have given up the word of the Lord; and what use is their wisdom to them?|Những kẻ khôn sáng bị xấu hổ, sợ hãi, và bị bắt. Chúng nó đã bỏ lời của Đức Giê-hô-va; thì sự khôn ngoan nó là thể nào?
So I will give their wives to others, and their fields to those who will take them for themselves: for everyone, from the least to the greatest, is given up to getting money; from the priest even to the prophet, everyone is false.|Vậy nên, ta sẽ ban vợ chúng nó cho kẻ khác, ruộng chúng nó cho chủ mới; vì từ kẻ rất nhỏ cho đến người rất lớn, ai nầy đều tham lam; từ tiên tri cho đến thầy tế lễ, ai nầy đều làm sự gian dối.
And they have made little of the wounds of the daughter of Zion, saying, Peace, peace; when there is no peace.|Chúng nó rịt vết thương cho con gái dân ta cách sơ sài, nói rằng: Bình an, bình an! mà không bình an chi hết.
Let them be put to shame because they have done disgusting things. They had no shame, they were not able to become red with shame: so they will come down with those who are falling: in the time of their punishment they will be made low, says the Lord.|Chúng nó làm ra sự gớm ghiếc, há lấy làm xấu hổ ư? đã chẳng xấu hổ chút nào, lại cũng không thẹn đỏ mặt. Vậy nên chúng nó sẽ ngã với những người vấp ngã. Đến ngày thăm phạt, chúng nó sẽ bị lật đổ, Đức Giê-hô-va phán vậy.
I will put an end to them completely, says the Lord: there are no grapes on the vine and no figs on the fig-tree, and the leaf is dry.|Đức Giê-hô-va phán: Thật, ta sẽ diệt hết chúng nó. Chẳng còn trái nho trên cây nho; chẳng còn trái vả trên cây vả; lá sẽ khô rụng; những điều ta đã ban cho, sẽ bị cất lấy!
Why are we seated doing nothing? come together, and let us go to the walled towns, and let destruction overtake us there, for the Lord our God has sent destruction on us, and given us bitter water for our drink, because we have done evil against the Lord.|Sao chúng ta cứ ngồi yên? Hãy nhóm lại và vào các thành bền vững, và nín lặng tại đó! Vì Giê-hô-va Đức Chúa Trời chúng ta đã khiến chúng ta nín lặng, Ngài cho chúng ta uống mật đắng, vì chúng ta đã phạm tội nghịch cùng Đức Giê-hô-va.
We were looking for peace, but no good came; and for a time of well-being, but there is only a great fear.|Chúng ta trông sự bình an, nhưng chẳng có sự tốt gì đến; trông kỳ chữa lành, và sự sợ hãi đây nầy!
The loud breathing of the horses comes to our ears from Dan: at the sound of the outcry of his war-horses, all the land is shaking with fear; for they have come, and have made a meal of the land and everything in it; the town and the people living in it.|Về phía thành Đan, nghe tiếng thét của ngựa nó; nghe tiếng ngựa chiến nó hí lên, khắp đất đều run rẩy; vì chúng nó đã đến; nuốt đất và mọi vật trong nó, nuốt thành và dân cư nó.
See, I will send snakes and poison-snakes among you, against which the wonder-worker has no power; and they will give you wounds which may not be made well, says the Lord.|Nầy, ta sẽ sai rắn, bọ cạp đến giữa các ngươi, chẳng ai ếm chú được nó; chúng nó sẽ cắn các ngươi, Đức Giê-hô-va phán vậy.
Sorrow has come on me! my heart in me is feeble.|Ước gì tôi được yên ủi, khỏi sự lo buồn! Lòng tôi mỏi mệt trong tôi!
The voice of the cry of the daughter of my people comes from a far land: Is the Lord not in Zion? is not her King in her? Why have they made me angry with their images and their strange gods which are no gods?|Nầy, có tiếng kêu la của con gái dân ta, kêu từ đất xa lắm, rằng: Đức Giê-hô-va không còn ở trong Si-ôn sao? Vua của thành ấy không còn ở giữa thành sao? Sao chúng nó dùng tượng chạm của mình và vật hư không của dân ngoại mà chọc giận ta vậy?
The grain-cutting is past, the summer is ended, and no salvation has come to us.|Mùa gặt đã qua, mùa hạ đã hết, mà chúng ta chưa được cứu rỗi!
For the destruction of the daughter of my people I am broken: I am dressed in the clothing of grief; fear has taken me in its grip.|Con gái dân ta bị thương, ta vì đó bị thương; ta đương sầu thảm; bị sự kinh hãi bắt lấy.
Is there no life-giving oil in Gilead? is there no expert in medical arts? why then have my people not been made well?|Trong Ga-la-át há chẳng có nhũ hương sao? há chẳng có thầy thuốc ở đó sao? Vậy thì làm sao mà bịnh con gái dân ta chẳng chữa lành?

					Jeremiah 9				|
						Giê-rê-mi-a 9					
If only my head was a stream of waters and my eyes fountains of weeping, so that I might go on weeping day and night for the dead of the daughter of my people!|Oi! ước gì đầu tôi là suối nước, mắt tôi là nguồn lụy! hầu cho tôi vì những kẻ bị giết của con gái dân ta mà khóc suốt ngày đêm.
If only I had in the waste land a night's resting-place for travellers, so that I might go away, far from my people! for they are all untrue, a band of false men.|Oi! ước gì tôi có một cái quán khách bộ hành trong đồng vắng! để tôi được bỏ dân ta mà đi xa khỏi họ; vì họ thảy điều là kẻ tà dâm, ấy là một bọn quỉ trá.
Their tongues are bent like a bow to send out false words: they have become strong in the land, but not for good faith: they go on from evil to evil, and they have no knowledge of me, says the Lord.|Chúng nó giương lưỡi mình như cái cung, đặng phát lời dối trá ra. Chúng nó ở trong xứ là mạnh lớn, mà chẳng làm sự chơn thật; bởi chúng nó làm ác càng thêm ác, và chẳng nhìn biết ta, Đức Giê-hô-va phán vậy.
Let everyone keep watch on his neighbour, and put no faith in any brother: for every brother will certainly be tricking his brother, and every neighbour will go about saying evil.|Ai nấy phải giữ gìn vì người lân cận mình, chớ tin cậy một người nào trong vòng anh em mình; vì mỗi người anh em sẽ lừa phỉnh anh em lắm, mỗi người lân cận đều đi dạo nói xấu.
Everyone will make sport of his neighbour with deceit, not saying what is true: their tongues have been trained to say false words; they are twisted, hating to come back.|Ai nấy gạt gẫm kẻ lân cận mình, chẳng nói sự chơn thật. Chúng nó luyện tập lưỡi mình mà nói dối, chăm chỉ làm điều ác.
There is wrong on wrong, deceit on deceit; they have given up the knowledge of me, says the Lord.|Đức Giê-hô-va phán: Ngươi ăn ở giữa sự dối trá; ấy cũng vì cớ sự dối trá mà chúng nó chẳng khứng nhìn biết ta.
So the Lord of armies has said, See, I will make them soft in the fire and put them to the test; this I will do because of their evil-doing.|Vậy nên Đức Giê-hô-va vạn quân phán như vầy: Nầy, ta sẽ làm cho tan chảy và thử chúng nó; vì nếu chẳng vậy thì xử với con gái dân ta thể nào?
His tongue is an arrow causing death; the words of his mouth are deceit: he says words of peace to his neighbour, but in his heart he is waiting secretly for him.|Lưỡi chúng nó là tên độc, hay buông lời dối trá. Ngoài miệng thì chúc bình an cho kẻ lân cận mình, mà trong lòng thì gài bẫy.
Am I not to send punishment for these things? says the Lord: will not my soul take payment from such a nation as this?|Đức Giê-hô-va phán: Ta há chẳng thăm phạt chúng nó về mọi điều ấy sao? Thần ta há chẳng trả thù một nước dường ấy sao?
Give yourselves to weeping, crying out in sorrow for the mountains; and for the fields of the waste land send up a song of grief, because they are burned up, so that no one goes through; there is no sound of cattle; the bird of the heavens and the beast are in flight and are gone.|Ta sẽ khóc lóc thở than về các núi, sẽ xướng bài ca sầu não về nội cỏ nơi đồng vắng, vì thảy đều bị đốt cháy, đến nỗi chẳng còn ai đi qua đó nữa. Tại đó chẳng còn nghe tiếng bầy súc vật, chim trời và loài thú đều trốn đi cả rồi.
And I will make Jerusalem a mass of broken stones, the living-place of jackals; and I will make the towns of Judah a waste, with no man living there.|Ta sẽ khiến Giê-ru-sa-lem thành đồng đổ nát, nơi ở của chó rừng; sẽ làm cho các thành của Giu-đa ra hoang vu không người ở.
Who is the wise man able to see this? who is he to whom the word of the Lord has come, so that he may make it clear? why is the land given to destruction and burned up like a waste place, so that no one goes through?|Ai là người khôn ngoan đặng hiểu những sự nầy? và miệng Đức Giê-hô-va nói cùng ai, để người báo tin? vì làm sao xứ nầy bị diệt bị cháy như đồng vắng, đến nỗi không ai qua lại?
And the Lord said, Because they have given up my law which I put before them, giving no attention to my voice and not being guided by it;|Đức Giê-hô-va đáp rằng: Ay là vì chúng nó bỏ luật pháp ta mà ta đã đặt cho; không vâng tiếng ta, và không bước theo.
But they have been walking in the pride of their hearts, going after the Baals, as their fathers gave them teaching.|Nhưng chúng nó bước theo sự cứng cỏi của lòng mình, theo các thần Ba-anh mà tổ phụ mình đã dạy.
So the Lord of armies, the God of Israel, has said, I will give them, even this people, bitter plants for food and bitter water for drink.|Vậy nên, Đức Giê-hô-va vạn quân, Đức Chúa Trời của Y-sơ-ra-ên, phán như vầy: Nầy, ta sẽ cho dân nầy ăn ngải cứu, và cho uống mật đắng.
And I will send them wandering among the nations, among people strange to them and to their fathers: and I will send the sword after them till I have put an end to them.|Ta sẽ làm cho chúng nó tan lạc trong các dân tộc mà chúng nó và tổ phụ mình chưa từng biết; ta sẽ sai gươm đuổi theo, cho đến chừng nào đã diệt chúng nó.
This is what the Lord of armies has said: Take thought and send for the weeping women, so that they may come; and send for the wise women, so that they may come:|Đức Giê-hô-va vạn quân phán như vầy: Hãy lo gọi những đờn bà hay khóc mướn, cho chúng nó đến; hãy gọi những người đờn bà rất khéo, cho chúng nó đến.
Let them quickly make cries of sorrow for us, so that drops may be flowing from our eyes till they are streaming with water.|Chúng nó hãy vội vàng vì chúng ta rơi lụy, mí mắt chúng ta tràn nước ra!
For a sound of weeping goes up from Zion, a cry, How has destruction come on us? we are overcome with shame because we have gone away from our land; he has sent us out from our house.|Vả, có tiếng phàn nàn nghe từ Si-ôn, rằng: Chúng ta bị hủy phá dường nào! Chúng ta bị xấu hổ lắm, vì chúng ta bỏ đất; vì họ đã phá đổ chỗ ở chúng ta!
But even now, give ear to the word of the Lord, O you women; let your ears be open to the word of his mouth, training your daughters to give cries of sorrow, everyone teaching her neighbour a song of grief.|Hỡi các đờn bà, hãy nghe lời của Đức Giê-hô-va, tai các ngươi hãy nghe lời miệng Ngài phán! Hãy dạy cho các con gái các ngươi bài ca vãn; mỗi người hãy dạy cho kẻ lân cận mình khóc than!
For death has come up into our windows, forcing its way into our great houses; cutting off the children in the streets and the young men in the wide places.|Vì sự chết đã lên vào cửa sổ chúng ta, đã sấn vào trong cung chúng ta, giết con cái tại ngoài đường, và kẻ trai trẻ giữa chợ.
The bodies of men will be falling like waste on the open fields, and like grain dropped by the grain-cutter, and no one will take them up.|Ngươi hãy bảo rằng: Đức Giê-hô-va phán như vầy: Thây người ta sẽ ngã xuống như phân đổ đồng ruộng, và như nắm lúa đổ ra sau lưng con gặt; chẳng ai sẽ lượm chúng nó lại!
This is the word of the Lord: Let not the wise man take pride in his wisdom, or the strong man in his strength, or the man of wealth in his wealth:|Đức Giê-hô-va phán như vầy: Người khôn chớ khoe sự khôn mình; người mạnh chớ khoe sự mạnh mình; người giàu chớ khoe sự giàu mình.
But if any man has pride, let it be in this, that he has the wisdom to have knowledge of me, that I am the Lord, working mercy, giving true decisions, and doing righteousness in the earth: for in these things I have delight, says the Lord.|Nhưng kẻ nào khoe, hãy khoe về trí khôn mình biết ta là Đức Giê-hô-va, là Đấng làm ra sự thương xót, chánh trực, và công bình trên đất; vì ta ưa thích những sự ấy, Đức Giê-hô-va phán vậy.
See, the day is coming, says the Lord, when I will send punishment on all those who have circumcision in the flesh;|Đức Giê-hô-va phán: Nầy, ngày đến, bấy giờ ta sẽ phạt mọi kẻ chịu cắt bì mà lòng chưa cắt bì:
On Egypt and on Judah and on Edom and on the children of Ammon and on Moab and on all who have the ends of their hair cut, who are living in the waste land: for all these nations and all the people of Israel are without circumcision in their hearts.|tức là Ê-díp-tô, Giu-đa, Ê-đôm, con cháu Am-môn, Mô-áp, và hết thảy những dân cạo tóc màng tang và ở nơi đồng vắng. Vì mọi dân tộc đều không cắt bì, còn cả nhà Y-sơ-ra-ên chẳng cắt bì trong lòng.

					Jeremiah 10				|
						Giê-rê-mi-a 10					
Give ear to the word which the Lord says to you, O people of Israel:|Hỡi nhà Y-sơ-ra-ên, hãy nghe lời Đức Giê-hô-va phán cho ngươi.
This is what the Lord has said: Do not go in the way of the nations; have no fear of the signs of heaven, for the nations go in fear of them.|Đức Giê-hô-va phán như vầy: Chớ tập theo tục của các dân ngoại, chớ sợ các dấu trên trời, mặc dầu dân ngoại nghi sợ các dấu ấy.
For that which is feared by the people is foolish: it is the work of the hands of the workman; for a tree is cut down by him out of the woods with his axe.|Vì thói quen của các dân ấy chỉ là hư không. Người ta đốn cây trong rừng, tay thợ lấy búa mà đẽo;
