
					I Samuel 1				|
Then he said, And what did Samuel say to you?|Chú Sau-lơ tiếp rằng: Xin cháu hãy tỏ cho chú biết điều Sa-mu-ên đã nói cùng hai ngươi.
And Saul, answering him, said, He gave us word that the asses had come back. But he said nothing to him of Samuel's words about the kingdom.|Sau-lơ thưa cùng chú mình rằng: Người đã dạy tỏ cho chúng tôi rằng lừa cái đã tìm được rồi. Nhưng Sau-lơ không tỏ gì về Sa-mu-ên đã nói về việc nước.
Then Samuel sent for the people to come together before the Lord at Mizpah;|Sa-mu-ên nhóm hiệp dân sự trước mặt Đức Giê-hô-va tại Mích-ba,
And he said to the children of Israel, The Lord, the God of Israel, has said, I took Israel out of Egypt, and made you free from the hands of the Egyptians and from all the kingdoms which kept you down:|rồi nói cùng dân Y-sơ-ra-ên rằng: Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên có phán như vầy: Ta đã đem Y-sơ-ra-ên ra khỏi Ê-díp-tô; ta đã giải cứu các ngươi khỏi tay dân Ê-díp-tô và khỏi tay mọi vua hà hiếp các ngươi.
But today you are turned away from your God, who himself has been your saviour from all your troubles and sorrows; and you have said to him, Put a king over us. So now, take your places before the Lord by your tribes and by your thousands.|Ngày nay các ngươi từ chối Đức Chúa Trời của các ngươi, là Đấng đã giải cứu các ngươi khỏi mọi sự hoạn nạn và nguy hiểm; các ngươi đã thưa cùng Ngài rằng: Xin hãy lập một vua quản trị chúng tôi! Vậy bây giờ, hãy ứng hầu trước mặt Đức Giê-hô-va từ chi phái và từ hằng ngàn người.
So Samuel made all the tribes of Israel come near, and the tribe of Benjamin was taken.|Sa-mu-ên biểu mọi chi phái Y-sơ-ra-ên đến gần, rồi chi phái Bên-gia-min được chỉ định.
Then he made the tribe of Benjamin come near by families, and the family of the Matrites was taken: and from them, Saul, the son of Kish, was taken: but when they went in search of him he was nowhere to be seen.|Người biểu chi phái Bên-gia-min đến gần từ họ hàng, rồi họ Mát-ri được chỉ định. Đoạn, Sau-lơ, con trai của Kích được chỉ định. Người ta tìm Sau-lơ nhưng không thấy.
So they put another question to the Lord, Is the man present here? And the answer of the Lord was, He is keeping himself from view among the goods.|Chúng bèn hỏi lại Đức Giê-hô-va rằng: Còn có người nào khác sẽ đến đây chăng? Đức Giê-hô-va đáp: Kìa, nó ẩn trong đồ đạc kia.
So they went quickly and made him come out; and when he took his place among the people, he was taller by a head than any of the people.|Người ta chạy tìm người tại chỗ đó. Sau-lơ ra mặt giữa dân sự, người cao hơn cả chúng từ vai trở lên.
And Samuel said to all the people, Do you see the man of the Lord's selection, how there is no other like him among all the people? And all the people with loud cries said, Long life to the king!|Sa-mu-ên nói cùng cả dân sự rằng: Các người có thấy người mà Đức Giê-hô-va đã chọn chăng? Trong cả dân sự không có ai giống như người. Hết thảy đều tung hô mà la lên rằng: Nguyện vua vạn tuế!
Then Samuel gave the people the laws of the kingdom, writing them in a book which he put in a safe place before the Lord. And Samuel sent all the people away, every man to his house.|Sa-mu-ên tuyên giảng luật pháp của nước tại trước mặt dân sự, chép trong một cuốn sách mà người để trước mặt Đức Giê-hô-va. Đoạn, Sa-mu-ên cho cả dân sự ai về nhà nấy.
And Saul went to Gibeah, to his house; and with him went the men of war whose hearts had been touched by God.|Sau-lơ cũng về nhà mình tại Ghi-bê -a, có những người dõng sĩ chịu Đức Chúa Trời cảm động lòng đều đi theo người.
But certain good-for-nothing persons said, How is this man to be our saviour? And having no respect for him, they gave him no offering.|Song có mấy ngươi phỉ đồ nói rằng: Hắn đó cứu giúp chúng ta được việc chi? Chúng nó khinh dể người, không đem lễ vật gì cho người hết. Nhưng Sau-lơ giả đò không nghe.

					I Samuel 11				|
						I Sa-mu-ên 11					
Then about a month after this, Nahash the Ammonite came up and put his forces in position for attacking Jabesh-gilead: and all the men of Jabesh said to Nahash, Make an agreement with us and we will be your servants.|Na-hách, người Am-môn, đi ra đến vây Gia-be trong Ga-la-át. Cả dân Gia-be nói cùng Na-hách rằng: Hãy lập ước cùng chúng tôi, thì chúng tôi sẽ phục sự ông.
And Nahash the Ammonite said to them, I will make an agreement with you on this condition, that all your right eyes are put out; so that I may make it a cause of shame to all Israel.|Na-hách, người Am-môn, đáp rằng: Ta sẽ lập ước cùng các ngươi theo cách nầy: phải khoét hết thảy con mắt hữu của các ngươi, để gieo sự sỉ nhục cho cả Y-sơ-ra-ên.
Then the responsible men of Jabesh said to him, Give us seven days, so that we may send men to every part of Israel: and then, if no one comes to our help, we will come out to you.|Các trưởng lão Gia-be nói cùng người rằng: Xin hãy cho chúng tôi bảy ngày đình chiến, chúng tôi sẽ sai sứ giả đến khắp địa phận Y-sơ-ra-ên; nếu không ai giải cứu chúng tôi, thì chúng tôi sẽ đi ra hàng đầu.
So they sent representatives to Saul's town Gibeah, and these gave the news to the people: and all the people gave themselves to weeping.|Vậy, những sứ giả đi đến Ghi-bê -a, thành của Sau-lơ, thuật lại các lời ấy cho dân sự nghe. Cả dân sự bèn cất tiếng lên khóc.
Now Saul came from the field, driving the oxen before him; and he said, Why are the people weeping? And they gave him word of what the men of Jabesh had said.|Lúc ấy, Sau-lơ ở ruộng trở về, đi sau bò mình; người hỏi rằng: Cớ chi dân sự khóc như vậy? Người ta thuật lại lời các người Gia-be đã nói.
And at their words, the spirit of God came on Saul with power, and he became very angry.|Vừa nghe tin nầy, Sau-lơ được Thần của Đức Chúa Trời cảm động, và cơn giận người nổi phừng phừng.
And he took two oxen and, cutting them up, sent them through all the land of Israel by the hand of runners, saying, If any man does not come out after Saul and Samuel, this will be done to his oxen. And the fear of the Lord came on the people and they came out like one man.|Người bắt một cặp bò, sả ra từng miếng, gởi cho sứ giả đem đến khắp địa phận Y-sơ-ra-ên với lời rao nầy: Phàm ai không ra theo Sau-lơ và Sa-mu-ên, thì các con bò nó tất sẽ bị làm như vậy. Sự kinh khủng của Đức Giê-hô-va giáng trên dân sự, nên hết thảy chúng đều đi ra như chỉ một người.
And he had them numbered in Bezek: the children of Israel were three hundred thousand, and the men of Judah thirty thousand.|Sau-lơ kiểm điểm chúng tại Bê-xéc; có ba trăm ngàn người Y-sơ-ra-ên và ba mươi ngàn người Giu-đa.
Then he said to the representatives who had come, Say to the men of Jabesh-gilead, Tomorrow, by the time the sun is high, you will be made safe. And the representatives came and gave the news to the men of Jabesh; and they were glad.|Chúng nói cùng sứ giả đã đến rằng: Hãy nói cùng người Gia-be trong Ga-la-át: Đến mai, khi mặt trời đã nắng nóng, thì anh em sẽ được giải cứu. Những sứ giả đi về thuật lại các lời nầy cho dân Gia-be. Dân nầy lấy làm vui mừng,
So the men of Jabesh said, Tomorrow we will come out to you, and you may do to us whatever seems good to you.|và nói cùng người Am-môn rằng: Ngày mai, chúng ta sẽ đi ra cùng các ngươi, các ngươi sẽ đãi chúng ta theo ý mình lấy làm phải.
Now on the day after, Saul put the people into three bands, and in the morning watch they came to the tents of the Ammonites, and they went on attacking them till the heat of the day: and those who were not put to death were put to flight in every direction, so that no two of them were together.|Nhưng sáng ngày mai, Sau-lơ chia dân sự ra làm ba đạo, hãm dinh dân Am-môn vừa lúc canh năm, và đánh dân Am-môn cho đến gần đứng bóng. Những người thoát khỏi thì bị tản lạc đến đỗi không có hai người chung nhau.
And the people said to Samuel, Who was it who said, Is Saul to be our king? give the men up, so that we may put them to death.|Dân sự nói cùng Sa-mu-ên rằng: Ai đã nói: Sau-lơ há sẽ trị vì trên chúng ta sao? Hãy phó những người đó cho chúng tôi giết đi.
And Saul said, Not a man is to be put to death today: for today the Lord has made Israel safe.|Nhưng Sau-lơ đáp: Chẳng ai sẽ bị xử tử trong ngày nay; vì ngày nay Đức Giê-hô-va đã làm sự giải cứu trong Y-sơ-ra-ên.
Then Samuel said to the people, Come, let us go to Gilgal and there make the kingdom strong in the hands of Saul.|Sa-mu-ên nói cùng dân sự rằng: Chúng ta hãy đi đến Ghinh-ganh đặng lập nước lại.
So all the people went to Gilgal; and there in Gilgal they made Saul king before the Lord; and peace-offerings were offered before the Lord; and there Saul and all the men of Israel were glad with great joy.|Cả dân sự đều đi đến Ghinh-ganh; tại đó, trước mặt Đức Giê-hô-va, chúng lập Sau-lơ làm vua. Tại đó chúng dâng của lễ thù ân cho Đức Giê-hô-va. Đoạn, Sau-lơ và hết thảy người Y-sơ-ra-ên vui mừng khôn xiết.

					I Samuel 12				|
						I Sa-mu-ên 12					
And Samuel said to all Israel, You see that I have given ear to everything you said to me, and have made a king over you.|Bấy giờ, Sa-mu-ên nói cùng cả Y-sơ-ra-ên rằng: Ta đã vâng theo mọi lời các ngươi nói cùng ta; ta đã lập một vua trên các ngươi;
And now, see, the king is before you: and I am old and grey-headed, and my sons are with you: I have been living before your eyes from my early days till now.|rày vua ấy sẽ đi trước đầu các ngươi. Còn ta đã già, tóc bạc, các con trai ta ở cùng các ngươi. Ta đã đi trước đầu các ngươi từ khi ta còn thơ ấu cho đến ngày nay.
Here I am: give witness against me before the Lord and before the man on whom he has put the holy oil: whose ox or ass have I taken? to whom have I been untrue? who has been crushed down by me? from whose hand have I taken a price for the blinding of my eyes? I will give it all back to you.|Vậy, ta đây; hãy làm chứng về ta tại trước mặt Đức Giê-hô-va và trước kẻ chịu xức dầu Ngài. Ta có bắt bò ai chăng? Bắt lừa ai chăng? Ta có lừa dối ai chăng? Hành hung cùng ai chăng? Ta có nhận của hối lộ nơi tay ai đặng vì nó mà nhắm mắt ta chăng? Ví bằng có làm vậy, ắt ta sẽ trả lại cho các ngươi.
And they said, You have never been untrue to us or cruel to us; you have taken nothing from any man.|Chúng đáp rằng: Ong không có lừa dối chúng tôi, không hành hung cùng chúng tôi, và không nhận lấy chi nơi tay ai hết.
Then he said, The Lord is witness against you, and the man on whom he has put the holy oil is witness this day that you have seen no wrong in me. And they said, He is witness.|Người tiếp rằng: Đức Giê-hô-va chứng cho các ngươi; kẻ chịu xức dầu của Ngài cũng chứng rằng ngày nay các ngươi không tìm thấy gì trong tay ta. Chúng đáp: Nguyện Ngài làm chứng cho!
And Samuel said to the people, The Lord is witness, who gave authority to Moses and Aaron, and who took your fathers up out of the land of Egypt.|Sa-mu-ên nói cùng dân sự rằng: Đức Giê-hô-va là Đấng đã lập Môi-se và A-rôn, đem tổ phụ của các ngươi ra khỏi xứ Ê-díp-tô.
Keep your places now, while I take up the argument with you before the Lord, and give you the story of the righteousness of the Lord, which he has made clear by his acts to you and to your fathers.|Vậy bây giờ, hãy ra mắt trước mặt Đức Giê-hô-va, ta sẽ luận cùng các ngươi về hết thảy những việc công bình mà Đức Giê-hô-va đã làm cho các ngươi và cho tổ phụ các ngươi.
When Jacob and his sons had come into Egypt, and were crushed by the Egyptians, the prayers of your fathers came up to the Lord, and the Lord sent Moses and Aaron, who took your fathers out of Egypt, and he put them into this place.|Sau khi Gia-cốp đến xứ Ê-díp-tô, tổ phụ các ngươi có kêu cầu cùng Đức Giê-hô-va; Đức Giê-hô-va sai Môi-se và A-rôn đem tổ phụ các ngươi ra khỏi xứ Ê-díp-tô, mà lập họ ở trong chỗ nầy.
But they were false to the Lord their God, and he gave them up into the hands of Sisera, captain of the army of Jabin, king of Hazor, and into the hands of the Philistines, and into the hands of the king of Moab, who made war against them.|Nhưng họ quên Giê-hô-va Đức Chúa Trời mình, nên Ngài phó họ cho Si-sê-ra, tổng binh của Hát-so, cho dân Phi-li-tin, và cho dân Mô-áp; chúng nó đều tranh chiến cùng họ.
Then crying out to the Lord, they said, We have done evil, because we have been turned away from the Lord, worshipping the Baals and the Astartes: but now, make us safe from those who are against us and we will be your servants.|Họ bèn kêu cầu Đức Giê-hô-va mà rằng: Chúng tôi đã phạm tội, vì chúng tôi có lìa bỏ Đức Giê-hô-va, mà hầu việc những Ba-anh và At-tát-tê; nhưng bây giờ, xin giải cứu chúng tôi khỏi tay kẻ thù nghịch chúng tôi, thì chúng tôi sẽ phục sự Ngài.
So the Lord sent Jerubbaal and Barak and Jephthah and Samuel and took you out of the power of those who were fighting against you on every side, and made you safe.|Đức Giê-hô-va đã sai Giê-ru-ba-anh, Bê-đan, Giép-thê, và Sa-mu-ên; Ngài giải cứu các ngươi khỏi kẻ thù nghịch xung quanh các ngươi, và các ngươi đã ở được an ổn vô sự.
And when you saw that Nahash, the king of the Ammonites, was coming against you, you said to me, No more of this; we will have a king for our ruler: when the Lord your God was your king.|Song thấy Na-hách, vua dân Am-môn, đến đánh các ngươi, các ngươi nói cùng ta rằng: Không được; phải có một vua cai trị chúng tôi; mà thật Giê-hô-va Đức Chúa Trời các ngươi đã là Vua các ngươi.
Here, then, is the king marked out by you: the Lord has put a king over you.|Bây giờ, kìa vua các ngươi đã chọn, và đã cầu xin. Đức Giê-hô-va đã lập người làm vua trên các ngươi.
If in the fear of the Lord you are his servants, hearing his voice and not going against the orders of the Lord, but being true to the Lord your God, you and the king ruling over you, then all will be well:|Nếu các ngươi kính sợ Đức Giê-hô-va, phục sự Ngài, vâng theo lời phán Ngài, chẳng nghịch mạng lịnh của Ngài; nếu các ngươi và vua cai trị các ngươi vâng theo Giê-hô-va Đức Chúa Trời các ngươi, thì chắc các ngươi sẽ được may mắn.
But if you do not give ear to the voice of the Lord, but go against his orders, then the hand of the Lord will be against you and against your king for your destruction, as it was against your fathers.|Còn nếu các ngươi không vâng theo lời phán của Đức Giê-hô-va, bội nghịch mạng lịnh của Ngài, thì tay của Đức Giê-hô-va ắt sẽ giáng họa trên các ngươi như đã giáng họa trên tổ phụ các ngươi.
Now keep where you are and see this great thing which the Lord will do before your eyes.|Vậy, bây giờ hãy đứng tại đây, đặng xem việc lớn mà Đức Giê-hô-va sẽ làm trước mắt các ngươi.
Is it not now the time of the grain cutting? My cry will go up to the Lord and he will send thunder and rain: so that you may see and be conscious of your great sin which you have done in the eyes of the Lord in desiring a king for yourselves.|Ngày nay, há chẳng phải là mùa gặt lúa mì sao? Ta sẽ cầu khẩn Đức Giê-hô-va; Ngài sẽ làm sấm sét và mưa, để các ngươi biết và thấy mình đã phạm sự ác lớn trước mặt Đức Giê-hô-va, bởi vì đã xin một vua.
So Samuel made prayer to the Lord; and the Lord sent thunder and rain that day: and all the people were in fear of the Lord and of Samuel.|Sa-mu-ên bèn cầu khẩn Đức Giê-hô-va; trong ngày đó Đức Giê-hô-va làm sấm sét và mưa; cả dân sự lấy làm sợ Đức Giê-hô-va và Sa-mu-ên lắm.
And all the people said to Samuel, Make prayer for us to the Lord your God so that death may not overtake us: for in addition to all our sins we have done this evil, in desiring a king.|Hết thảy đều nói cùng Sa-mu-ên rằng: Xin hãy vì những đầy tớ của ông mà cầu xin Giê-hô-va Đức Chúa Trời ông, hầu cho chúng tôi không chết; vì chúng tôi đã thêm lỗi xin một vua vào các tội khác của chúng tôi.
Then Samuel said to the people, Have no fear: truly you have done evil, but do not be turned away from the Lord; be his servants with all your heart;|Sa-mu-ên đáp cùng dân sự rằng: Chớ sợ chi. Thật các ngươi có làm mọi điều gian ác nầy; song chớ xây bỏ Đức Giê-hô-va, phải hết lòng phục sự Ngài,
And do not go from the right way turning to those false gods in which there is no profit and no salvation, for they are false.|chớ lìa bỏ Ngài đặng đi theo những hình tượng hư không, chẳng có ích chi, cũng không biết cứu; vì hình tượng chỉ là hư không mà thôi.
For the Lord will not give his people up, because of the honour of his name; for it was the Lord's pleasure to make of you a people for himself.|Đức Giê-hô-va vì cớ danh lớn mình, sẽ chẳng từ bỏ dân sự Ngài: chỉn thật, Đức Giê-hô-va đã định các người làm dân sự của Ngài.
And as for me, never will I go against the orders of the Lord by giving up my prayers for you: but I will go on teaching you the good and right way.|Còn ta đây, cũng chẳng phạm tội cùng Đức Giê-hô-va mà thôi cầu nguyện cho các ngươi. Ta sẽ dạy các ngươi biết con đường lành và ngay.
Only go in the fear of the Lord, and be his true servants with all your heart, keeping in mind what great things he has done for you.|Chỉ hãy kính sợ Đức Giê-hô-va, lấy hết lòng trung tín phục sự Ngài; vì khá xem những việc lớn lao mà Ngài làm cho các ngươi là dường nào!
But if you still do evil, destruction will overtake you and your king.|Nhưng nếu các ngươi cứ làm ác, thì các ngươi và vua các ngươi chắc sẽ bị diệt vong.

					I Samuel 13				|
						I Sa-mu-ên 13					
***|Khi Sau-lơ lên ngôi vua, thì đã được bốn mươi tuổi. Người đã cai trị trên Y-sơ-ra-ên hai năm,
And Saul took for himself three thousand men of Israel, of whom he kept two thousand with him in Michmash and in the mountain of Beth-el, and a thousand were with Jonathan in Gibeah in the land of Benjamin: the rest of the people he sent back to their tents.|bèn chọn ba ngàn người Y-sơ-ra-ên: hai ngàn người đặng ở cùng mình tại Mích-ma và trên núi Bê-tên, còn một ngàn người thì ở với Giô-na-than tại Ghi-bê -a trong xứ Bên-gia-min. Dân sự còn lại, người cho về, ai nấy vào trong trại mình.
And Jonathan made an attack on the armed force of the Philistines stationed at Gibeah; and news was given to the Philistines that the Hebrews were turned against them. And Saul had a horn sounded through all the land,|Giô-na-than đánh đồn Phi-li-tin ở tại Ghê-ba. Dân Phi-li-tin hay điều đó; Sau-lơ hạ lịnh thổi kèn khắp xứ, mà rằng: Dân Hê-bơ-rơ khá nghe biết!
And all Israel had the news that Saul had made an attack on the Philistines, and that Israel was bitterly hated by the Philistines. And the people came together after Saul to Gilgal.|Vậy, cả Y-sơ-ra-ên đều hay rằng Sau-lơ đã đánh đồn Phi-li-tin và Y-sơ-ra-ên bị dân Phi-li-tin ghen ghét. Bấy giờ, dân sự bị nhóm hiệp lại bên Sau-lơ tại Ghinh-ganh.
And the Philistines came together to make war on Israel, three thousand war-carriages and six thousand horsemen and an army of people like the sands of the sea in number: they came up and took up their position in Michmash, to the east of Beth-aven.|Khi ấy, dân Phi-li-tin hiệp lại đặng đánh Y-sơ-ra-ên: chúng có ba vạn cỗ xe, sáu ngàn lính kỵ, và quân lính đông như cát trên bờ biển. Vậy, chúng nó đi lên, đóng trại tại Mích-ma, về hướng đông của Bết -A-ven.
When the men of Israel saw the danger they were in, (for the people were troubled,) they took cover in cracks in the hillsides and in the woods and in rocks and holes and hollows.|Dân Y-sơ-ra-ên thấy mình nguy cấp vì bị chúng theo riết gần, bèn trốn ẩn trong hang đá, trong bờ bụi, trong gành đá, trong đồn lũy, và trong hầm hố.
And a great number of the people had gone over Jordan to the land of Gad and Gilead; but Saul was still in Gilgal, and all the people went after him shaking in fear.|Mấy người Hê-bơ-rơ sang qua sông Giô-đanh, đến xứ Gát và Ga-la-át. Song Sau-lơ còn ở tại Ghinh-ganh và hết thảy dân sự đi theo người đều run sợ.
And he went on waiting there for seven days, the time fixed by Samuel: but Samuel did not come to Gilgal; and the people were starting to go away from him.|Sau-lơ đợi bảy ngày, là kỳ của Sa-mu-ên đã định; song vì Sa-mu-ên không đến Ghinh-ganh, dân sự bèn tan đi.
Then Saul said, Come here and give me the burned offering and the peace-offerings. And he made a burned offering to the Lord.|Bấy giờ, Sau-lơ nói: Hãy đem đến cho ta của lễ thiêu và của lễ thù ân; rồi người dâng của lễ thiêu.
And when the burned offering was ended, Samuel came; and Saul went out to see him and to give him a blessing.|Khi người dâng xong, kìa Sa-mu-ên bèn đến. Sau-lơ đi ra đón đặng chào người.
And Samuel said, What have you done? And Saul said, Because I saw that the people were going away from me, and you had not come at the time which had been fixed, and the Philistines had come together at Michmash;|Nhưng Sa-mu-ên bèn hỏi: Ngươi đã làm chi? Sau-lơ đáp rằng: Khi tôi thấy dân sự tan đi, ông không đến theo ngày đã định, và dân Phi-li-tin đã hiệp lại tại Mích-ma,
I said, Now the Philistines will come down on me at Gilgal, and I have made no prayer for help to the Lord: and so, forcing myself to do it, I made a burned offering.|thì tôi nói rằng: Dân Phi-li-tin chắc sẽ hãm đánh tôi tại Ghinh-ganh, và tôi chưa cầu khẩn Đức Giê-hô-va. Vì vậy, tôi miễn cưỡng dâng của lễ thiêu.
And Samuel said to Saul, You have done a foolish thing: you have not kept the rules which the Lord your God gave you; it was the purpose of the Lord to make your authority over Israel safe for ever.|Sa-mu-ên nói cùng Sau-lơ rằng: Ngươi thật có làm ngu dại, không vâng theo mạng lịnh của Giê-hô-va Đức Chúa Trời ngươi đã truyền cho. Ví bằng có vâng theo, thì Đức Giê-hô-va ắt đã lập nước ngươi vững đời đời nơi Y-sơ-ra-ên;
But now, your authority will not go on: the Lord, searching for a man who is pleasing to him in every way, has given him the place of ruler over his people, because you have not done what the Lord gave you orders to do.|nhưng bây giờ, nước ngươi sẽ không bền lâu. Đức Giê-hô-va đã chọn lấy cho mình một người theo lòng Ngài, đặt người ấy làm trưởng của dân sự Ngài, bởi vì ngươi không giữ theo mạng lịnh của Đức Giê-hô-va.
Then Samuel went up from Gilgal and the rest of the people went up after Saul against the men of war, and they came from Gilgal to Gibeah in the land of Benjamin: and Saul took the number of the people who were with him, about six hundred men.|Đoạn, Sa-mu-ên đứng dậy, đi từ Ghinh-ganh đến Ghi-bê -a trong xứ Bên-gia-min, rồi Sau-lơ kiểm điểm dân ở cùng mình: có ước chừng sáu trăm người.
And Saul, with Jonathan his son and the people who were with them, was waiting in Geba in the land of Benjamin: but the tents of the Philistines were in Michmash.|Sau-lơ và Giô-na-than, con trai người, cùng quân lính đi theo, đều đóng tại Ghi-bê -a trong xứ Bên-gia-min, còn dân Phi-li-tin hạ trại tại Mích-ma.
And three bands of men came out from the Philistines to make an attack; one band went by the road which goes to Ophrah, into the land of Shual:|Từ trong dinh Phi-li-tin có một toán quân cướp phá đi ra, chia làm ba đội: đội này theo con đường Op-ra, đi về xứ Su-anh;
And another went in the direction of Beth-horon: and another went by the hill looking down on the valley of Zeboiim, in the direction of the waste land.|đội kia noi con đường Bết-hô-rôn; còn đội thứ ba theo con đường ranh nằm trên trũng Sê-bô-im, về hướng đồng vắng.
Now there was no iron-worker in all the land of Israel: for the Philistines said, For fear the Hebrews make themselves swords or spears:|Vả, trong cả xứ Y-sơ-ra-ên không có thợ rèn, bởi vì dân Phi-li-tin đã nói rằng: Hãy cấm người Hê-bơ-rơ rèn gươm và giáo.
But all the Israelites had to go to the Philistines to get their ploughs and blades and axes and hooks made sharp;|Hết thảy Y-sơ-ra-ên ai nấy đều đi xuống nơi Phi-li-tin đặng mướn rèn lưỡi cày, cuốc, rìu, và lưỡi hái mình;
For they had instruments for putting an edge on their ploughs and blades and forks and axes, and for putting iron points on their ox-driving rods.|lại khi nào lưỡi cày, cuốc, chĩa ba, hay là rìu bị mẻ sứt, thì đi xuống đặng mài và sửa cái đót lại.
So on the day of the fight at Michmash, not a sword or a spear was to be seen in the hands of any of the people with Saul and Jonathan: only Saul and his son Jonathan had them.|Nên trong ngày tranh chiến chẳng có gươm cũng không có giáo nơi tay của cả dân sự đi theo Sau-lơ và Giô-na-than; chỉ có cho Sau-lơ và Giô-na-than, là con trai người, dùng mà thôi.
And the armed force of the Philistines went out to the narrow way of Michmash.|Một đồn quân Phi-li-tin kéo ra đặng đón đèo Mích-ma.

					I Samuel 14				|
						I Sa-mu-ên 14					
Now one day Jonathan, the son of Saul, said to the young man who was with him, looking after his arms, Come, let us go over to the Philistine force over there. But he said nothing to his father.|Một ngày kia, Giô-na-than, con trai của Sau-lơ, nói cùng gã trai trẻ vác binh khí mình, mà rằng: Hè, chúng ta hãy đi qua đồn quân Phi-li-tin, đóng ở phía bên kia. Nhưng người chẳng nói cho cha mình hay.
And Saul was still waiting in the farthest part of Geba, under the fruit-tree in Migron: there were about six hundred men with him;|Bấy giờ, Sau-lơ ở tại đầu ranh Ghi-bê -a, dưới cây lựu của Mi-gơ-rôn, còn đạo quân theo người ước chừng sáu trăm người.
And Ahijah, the son of Ahitub, brother of Ichabod, the son of Phinehas, the son of Eli, the priest of the Lord in Shiloh, who had the ephod. And the people had no idea that Jonathan had gone.|A-hi-gia, con trai A-hi-túp, anh của Y-ca-bốt, con trai Phi-nê -a, cháu Hê-li, mặc áo ê-phót, làm thầy tế lễ tại Si-lô. Dân sự không biết Giô-na-than đi.
Now between the narrow roads over the mountains by which Jonathan was making his way to the Philistines' forces, there was a sharp overhanging rock on one side, and a sharp rock on the other side: one was named Bozez and the other Seneh.|Ở giữa đèo mà Giô-na-than gắng sức đi đặng đến đồn Phi-li-tin, có một răng đá ở bên nầy, và một răng ở bên kia; cái nầy gọi là Bốt-sết, còn cái kia gọi là Sê-nê.
The one rock went up on the north in front of Michmash and the other on the south in front of Geba.|Một cái răng đá mọc lên về phía bắc, đối ngang Mích-ma, còn cái kia ở tại phía nam, đối ngang Ghê-ba.
And Jonathan said to his young servant who had his arms, Come, let us go over to the armies of these men who have no circumcision: it may be that the Lord will give us help, for there is no limit to his power; the Lord is able to give salvation by a great army or by a small band.|Giô-na-than nói cùng kẻ vác binh khí mình rằng: Hè, chúng ta hãy hãm đồn của những kẻ chẳng chịu cắt bì kia. Hoặc giả Đức Giê-hô-va sẽ hành sự vì chúng ta chăng; vì Đức Giê-hô-va khiến cho số ít người được thắng cũng như số đông người vậy.
And his servant said to him, Do whatever is in your mind: see, I am with you in every impulse of your heart.|Kẻ vác binh khí của người thưa rằng: Hãy làm điều ông ước, và đi nơi nào ông muốn; lòng ông dẫn ông đi đâu, tôi sẽ theo đó.
Then Jonathan said, Now we will go over to these men and let them see us.|Giô-na-than tiếp: Nầy, chúng ta hãy đi đến những người ấy, tỏ mình ra cho chúng nó.
If they say to us, Keep quiet where you are till we come to you; then we will keep our places and not go up to them.|Nếu chúng nó nói: Hãy đợi chúng ta đến cùng các ngươi, thì chúng ta sẽ đứng lại chỗ mình và không lên đến cùng chúng nó.
But if they say, Come up to us; then we will go up, for the Lord has given them into our hands: and this will be the sign to us.|Còn nếu chúng nó nói rằng: Hãy lên đến chúng ta; thì chúng ta sẽ lên; vì Đức Giê-hô-va đã phó chúng nó vào tay chúng ta: điều đó sẽ dùng làm dấu hiệu cho chúng ta.
And they let the Philistine force see the two of them: and the Philistines said, Look! the Hebrews are coming out of the holes where they have taken cover.|Vậy hai người đều đi lên đồn Phi-li-tin. Dân Phi-li-tin nói: Kìa, những người Hê-bơ-rơ ra từ hang đá là nơi chúng nó ẩn trốn kia.
And the armed men of the force gave Jonathan and his servant their answer, saying, Come up here to us, and we will let you see something. Then Jonathan said to his servant, Come up after me: for the Lord has given them up into the hands of Israel.|Lính của đồn nói cùng Giô-na-than và kẻ vác binh khí mà rằng: Hãy đi đến chúng ta, chúng ta có chuyện tỏ cùng hai ngươi. Giô-na-than nói với kẻ vác binh khí mình rằng: Hãy theo ta, vì Đức Giê-hô-va đã phó chúng nó vào tay Y-sơ-ra-ên.
And Jonathan went up, gripping with his hands and his feet, his servant going up after him; and the Philistines gave way before Jonathan when he made an attack on them, and his servant put them to death after him.|Giô-na-than dùng tay và chơn leo lên, và kẻ cầm binh khí leo theo. Người Phi-li-tin ngã trước mặt Giô-na-than, và kẻ vác binh khí giết chúng nó chết ở đằng sau người.
And at their first attack, Jonathan and his servant put to the sword about twenty men, all inside the space of half an acre of land.|Trong trận thứ nhứt nầy, Giô-na-than và kẻ vác binh khí người giết chừng hai mươi người, trong một khoảng nửa công đất.
And there was great fear in the tents and in the field and among all the men of the armed force, and the attackers were shaking with fear; even the earth was moved with a great shaking and there was a fear as from God.|Sự hãi hùng tràn ra trong trại quân, trong đồng, và trong cả dân Phi-li-tin. Quân đồn và đảng cướp giựt đều bị kinh khủng; đất bị rúng động; ấy như một sự kinh khiếp của Đức Chúa Trời vậy.
And the watchmen of Saul, looking out from Geba in the land of Benjamin, saw all the army flowing away and running here and there.|Lính canh của Sau-lơ ở tại Ghi-bê -a trong xứ Bên-gia-min, đều thấy quân chúng Phi-li-tin tản lạc và chạy trốn lộn xộn.
