
					Judges 1				|
She put out her hand to the tent-pin, and her right hand to the workman's hammer; and she gave Sisera a blow, crushing his head, wounding and driving through his brow.|Một tay nàng nắm lấy cây nọc, Còn tay hữu cầm-cái búa của người thợ; Nàng đánh Si-sê-ra, bửa đầu hắn ra, Đập bể đầu và đâm thủng màng tang.
Bent at her feet he went down, he was stretched out; bent at her feet he went down; where he was bent down, there he went down in death.|Hắn xỉu, té, nằm tại nơi chơn nàng. Hắn xỉu, té tại chơn nàng; Và tại chỗ hắn xỉu, hắn té chết cứng.
Looking out from the window she gave a cry, the mother of Sisera was crying out through the window, Why is his carriage so long in coming? When will the noise of his wheels be sounding?|Mẹ của Si-sê-ra ở cửa sổ xem thấy, Bèn kêu qua song mặt vỏng mà rằng: "Vì sao xe con đến chậm-trể? Tại sao các xe con đi chậm dường ấy!"
Her wise women gave answer to her, yes, she made answer again to herself,|Những kẻ khôn ngoan trong bọn hầu người trả lời, Mà mẹ hắn cũng nói thầm, rằng:
Are they not getting, are they not parting the goods among them: a young girl or two to every man; and to Sisera robes of coloured needlework, worked in fair colours on this side and on that, for the neck of the queen?|"Chúng há chẳng tìm được của cướp sao? Họ há chẳng phải chia phân của đó ư? Một vài con gái cho mỗi người chiến sĩ, Một của cướp bằng vải nhuộm thêu! Một cái áo vải nhuộm, hai cái áo vải thêu, Cho cổ của người thắng trận!"
So may destruction come on all your haters, O Lord; but let your lovers be like the sun going out in his strength. And for forty years the land had peace.|Oi, Đức Giê-hô-va! nguyện hết thảy kẻ cừu địch Ngài đều hư mất như vậy! Nguyện những kẻ yêu mến Ngài được giống như mặt trời, Khi mọc lên rực rỡ! Đoạn, xứ được hòa bình trong bốn mươi năm.

					Judges 6				|
						Các Thủ Lãnh 6					
And the children of Israel did evil in the eyes of the Lord; and the Lord gave them up into the hand of Midian for seven years.|Dân Y-sơ-ra-ên làm điều ác trước mặt Đức Giê-hô-va, nên Đức Giê-hô-va phó chúng vào tay dân Ma-đi-an trong bảy năm.
And Midian was stronger than Israel; and because of the Midianites, the children of Israel made holes for themselves in the mountains, and hollows in the rocks, and strong places.|Tay của người Ma-đi-an thắng hơn Y-sơ-ra-ên. Vì sợ người Ma-đi-an, nên dân Y-sơ-ra-ên làm cho mình những nơi ẩn náu trong núi, trong các hầm và đồn.
And whenever Israel's grain was planted, the Midianites and the Amalekites and the people of the east came up against them;|Khi Y-sơ-ra-ên đã gieo giống, dân Ma-đi-an với dân A-mê-léc, và người phương Đông đi lên đánh Y-sơ-ra-ên,
And put their army in position against them; and they took all the produce of the earth as far as Gaza, till there was no food in Israel, or any sheep or oxen or asses.|đóng trại đối ngang người, phá hại mùa màng của xứ cho đến Ga-xa, và không để lại trong Y-sơ-ra-ên lương thực gì, hoặc chiên, bò hay là lừa.
For they came up regularly with their oxen and their tents; they came like the locusts in number; they and their camels were without number; and they came into the land for its destruction.|Vì chúng nó đi lên đem theo bầy súc vật và trại mình, loán đến khác nào một đám cào cào. Người và lạc đà vô số đến trong xứ đặng phá hại.
And Israel was in great need because of Midian; and the cry of the children of Israel went up to the Lord.|Vậy, vì cớ dân Ma-đi-an, Y-sơ-ra-ên bị nghèo khổ bẩn chật, nên họ kêu cầu cùng Đức Giê-hô-va.
And when the cry of the children of Israel, because of Midian, came before the Lord,|Bấy giờ, vì dân Y-sơ-ra-ên đã kêu cầu Đức Giê-hô-va về việc dân Ma-đi-an,
The Lord sent a prophet to the children of Israel, who said to them, The Lord the God of Israel, has said, I took you up from Egypt, out of the prison-house;|nên Đức Giê-hô-va sai một đấng tiên tri đến cùng dân Y-sơ-ra-ên. Người nói cùng chúng rằng: Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên phán như vầy: Ta đã đem các ngươi lên khỏi xứ Ê-díp-tô, rút các ngươi khỏi nhà nô lệ,
And I took you out of the hands of the Egyptians and out of the hands of all who were cruel to you, and I sent them out by force from before you and gave you their land;|giải cứu các ngươi khỏi tay người Ê-díp-tô, và khỏi tay hết thảy kẻ hà hiếp các ngươi, và đuổi chúng nó khỏi trước mặt các ngươi; ta đã ban cho các ngươi xứ của chúng nó,
And I said to you, I am the Lord your God; you are not to give worship to the gods of the Amorites in whose land you are living, but you did not give ear to my voice.|và có phán rằng: Ta là Giê-hô-va Đức Chúa Trời các ngươi, chớ sợ các thần của dân A-mô-rít tại trong xứ mà các ngươi ở. Nhưng các ngươi nào có nghe tiếng ta!
Now the angel of the Lord came and took his seat under the oak-tree in Ophrah, in the field of Joash the Abiezrite; and his son Gideon was crushing grain in the place where the grapes were crushed, so that the Midianites might not see it.|Đoạn, thiên sứ của Đức Giê-hô-va đến ngồi dưới cây thông Op-ra thuộc về Giô-ách, người A-bi-ê-xê-rít. Ghê-đê-ôn, con trai người, đương đập lúa mạch trong bàn ép, đặng giấu khỏi dân Ma-đi-an.
And the angel of the Lord came before his eyes, and said to him, The Lord is with you, O man of war.|Thiên sứ của Đức Giê-hô-va hiện đến cùng người mà rằng: Hỡi người dõng sĩ! Đức Giê-hô-va ở cùng người.
Then Gideon said to him, O my lord, if the Lord is with us why has all this come on us? And where are all his works of power, of which our fathers have given us word, saying, Did not the Lord take us out of Egypt? But now he has given us up, handing us over to the power of Midian.|Ghê-đê-ôn thưa rằng: Oi! Chúa, nếu Đức Giê-hô-va ở cùng chúng tôi, sao các điều nầy xảy đến cho chúng tôi? Các phép lạ kia ở đâu mà tổ phụ chúng tôi đã thuật lại rằng: Đức Giê-hô-va há chẳng có đem chúng ta ra khỏi xứ Ê-díp-tô sao? Vì bây giờ Đức Giê-hô-va từ bỏ chúng tôi, và phó chúng tôi vào tay dân Ma-đi-an.
And the Lord, turning to him, said, Go in the strength you have and be Israel's saviour from Midian: have I not sent you?|Đức Giê-hô-va xây lại cùng người mà phán rằng: Hãy dùng sức của ngươi vẫn có mà đi giải cứu Y-sơ-ra-ên khỏi tay dân Ma-đi-an. Ta há chẳng sai ngươi đi sao?
And he said to him, O Lord, how may I be the saviour of Israel? See, my family is the poorest in Manasseh, and I am the least in my father's house.|Người thưa rằng: Than ôi! hỡi Chúa, tôi sẽ lấy chi giải cứu Y-sơ-ra-ên? Kìa, trong chi phái Ma-na-se, họ tôi vốn nghèo hơn hết; còn tôi là nhỏ hơn hết trong nhà cha tôi.
Then the Lord said to him, Truly, I will be with you, and you will overcome the Midianites as if they were one man.|Đức Giê-hô-va phán rằng: Ta sẽ ở cùng ngươi, và ngươi sẽ đánh bại dân Ma-đi-an như đánh một người vậy.
So he said to him, If now I have grace in your eyes, then give me a sign that it is you who are talking to me.|Ghê-đê-ôn thưa lại rằng: Nếu tôi được ơn trước mặt Chúa, xin ban cho tôi một dấu rằng chính Chúa phán cùng tôi.
Do not go away till I come with my offering and put it before you. And he said, I will not go away before you come back.|Xin chớ dan khỏi đây cho đến khi tôi trở lại cùng Ngài, đem của lễ tôi, để trước mặt Ngài. Ngài đáp: Ta sẽ ở đây cho đến khi ngươi trở lại.
Then Gideon went in and made ready a young goat, and with an ephah of meal he made unleavened cakes: he put the meat in a basket and the soup in which it had been cooked he put in a pot, and he took it out to him under the oak-tree and gave it to him there.|Ghê-đê-ôn bèn đi vô, dọn sẵn một con dê con, lấy một ê-pha bột làm những bánh nhỏ không men. Người để thịt trong rổ, đổ nước thịt vào nồi, rồi đem ra dâng các món ấy cho Ngài ở dưới cây thông.
And the angel of God said to him, Take the meat and the unleavened cakes and put them down on the rock over there, draining out the soup over them. And he did so.|Thiên sứ của Đức Chúa Trời phán rằng: Hãy lấy thịt và bánh nhỏ không men, để trên hòn đá nầy, rồi đổ nước thịt ra. Ghê-đê-ôn bèn làm như vậy.
Then the angel of the Lord put out the stick which was in his hand, touching the meat and the cakes with the end of it; and a flame came up out of the rock, burning up the meat and the cakes: and the angel of the Lord was seen no longer.|Bấy giờ, thiên sứ của Đức Giê-hô-va giơ đầu gậy Ngài đương cầm nơi tay mình ra, đụng đến thịt và bánh nhỏ không men. Lửa từ hòn đá bốc lên, thiêu hóa thịt và bánh nhỏ không men; đoạn, thiên sứ của Đức Giê-hô-va biến đi khỏi mắt người.
Then Gideon was certain that he was the angel of the Lord; and Gideon said, I am in fear, O Lord God! for I have seen the angel of the Lord face to face.|Ghê-đê-ôn thấy rằng ấy là thiên sứ của Đức Giê-hô-va, bèn la rằng: Oi, Chúa Giê-hô-va! khốn nạn cho tôi, vì tôi thấy đối diện thiên sứ của Đức Giê-hô-va!
But the Lord said to him, Peace be with you; have no fear: you are in no danger of death.|Nhưng Đức Giê-hô-va phán cùng người rằng: Khá yên lòng, chớ sợ chi, ngươi sẽ không chết đâu.
Then Gideon made an altar there to the Lord, and gave it the name Yahweh-shalom; to this day it is in Ophrah of the Abiezrites.|Ghê-đê-ôn bèn lập tại đó một cái bàn thờ cho Đức Giê-hô-va, và đặt tên là Giê-hô-va-Sa-lam. Tại Op-ra, thành của người A-bi-ê-xê-rít, cái bàn thờ ấy vẫn còn đến ngày nay.
The same night the Lord said to him, Take ten men of your servants and an ox seven years old, and after pulling down the altar of Baal which is your father's, and cutting down the holy tree by its side,|Trong cũng một đêm ấy, Đức Giê-hô-va phán cùng Ghê-đê-ôn rằng: Hãy bắt con bò đực tơ của cha ngươi, và một con bò đực thứ nhì bảy tuổi, rồi phá dỡ bàn thờ thần Ba-anh tại nhà cha ngươi, và đánh hạ hình tượng A-sê-ra ở trên đó.
Make an altar to the Lord your God on the top of this rock, in the ordered way and take the ox and make a burned offering with the wood of the holy tree which has been cut down.|Đoạn, tại nơi chót hòn đá nầy, ngươi sẽ lập một bàn thờ cho Giê-hô-va Đức Chúa Trời ngươi, và sắp đặt mọi việc; rồi hãy bắt con bò đực thứ nhì, dâng làm của lễ thiêu với gỗ hình tượng A-sê-ra mà ngươi đã đánh hạ.
Then Gideon took ten of his servants and did as the Lord had said to him; but fearing to do it by day, because of his father's people and the men of the town, he did it by night.|Ghê-đê-ôn chọn lấy mười người trong bọn đầy tớ mình, và làm theo điều Đức Giê-hô-va đã phán dặn; và vì người sợ nhà cha mình cùng kẻ trong thành, nên không dám làm theo lịnh ấy ban ngày, bèn làm ban đêm.
And the men of the town got up early in the morning, and they saw the altar of Baal broken down, and the holy tree which was by it cut down, and the ox offered on the altar which had been put up there.|Sớm mai, khi dân trong thành thức giấc, thấy bàn thờ của thần Ba-anh đã bị phá dỡ, hình tượng A-sê-ra ở trên bị đánh hạ, và con bò đực thứ nhì đã dâng làm của lễ thiêu trên bàn thờ mới lập đó.
And they said to one another, Who has done this thing? And after searching with care, they said, Gideon, the son of Joash, has done this thing.|Chúng hỏi nhau rằng: Ai làm điều đó? Đoạn, hỏi thăm và tra xét. Có người nói cùng chúng rằng: Ay là Ghê-đê-ôn, con trai Giô-ách, đã làm điều đó.
Then the men of the town said to Joash, Make your son come out to be put to death, for pulling down the altar of Baal and cutting down the holy tree which was by it.|Dân trong thành bèn nói cùng Giô-ách rằng: Hãy biểu con ngươi ra, nó phải chết, vì nó đã phá dỡ bàn thờ thần Ba-anh, và đánh hạ hình tượng A-sê-ra ở trên.
But Joash said to all those who were attacking him, Will you take up the cause of Baal? will you be his saviour? Let anyone who will take up his cause be put to death while it is still morning: if he is a god, let him take up his cause himself because of the pulling down of his altar.|Giô-ách đáp với những kẻ dấy nghịch cùng mình rằng: Các ngươi há có ý binh vực Ba-anh sao? Há có phải các ngươi muốn tiếp cứu nó ư? Ai theo phe của Ba-anh sẽ bị xử tử kể từ sáng nay. Nếu hắn là chúa, thì chính hắn hãy tranh luận lấy chớ, bởi vì người ta đã phá dỡ bàn thờ của hắn.
So that day he gave him the name of Jerubbaal, saying, Let Baal take up his cause against him because his altar has been broken down.|Vậy, trong ngày đó người ta gọi Ghê-đê-ôn là Giê-ru-ba-anh mà rằng: Ba-anh phải tranh luận cùng người, vì Ghê-đê-ôn có phá dỡ bàn thờ của hắn!
Then all the Midianites and the Amalekites and the people of the east, banding themselves together, went over and put up their tents in the valley of Jezreel.|Hết thảy dân Ma-đi-an, dân A-ma-léc, và người phương Đông đều hiệp lại, đi ngang qua sông Giô-đanh, và đóng trại tại trũng Gít-rê-ên.
But the spirit of the Lord came on Gideon; and at the sound of his horn all Abiezer came together after him.|Thần của Đức Giê-hô-va cảm hóa Ghê-đê-ôn; người thổi kèn, các người A-bi-ê-xê-rít bèn hiệp lại đặng theo người.
And he sent through all Manasseh, and they came after him; and he sent to Asher and Zebulun and Naphtali, and they came up and were joined to the others.|Người cũng sai sứ giả đi khắp Ma-na-se; người Ma-na-se bèn nhóm hiệp đặng theo người. Đoạn, người sai sứ giả đến chi phái A-se, Sa-bu-lôn và Nép-ta-li; họ cũng đi lên mà hiệp với người nữa.
Then Gideon said to God, If you are going to give Israel salvation by my hand, as you have said,|Ghê-đê-ôn thưa cùng Đức Chúa Trời rằng: Nếu Chúa muốn dùng tay tôi giải cứu Y-sơ-ra-ên, y như lời Chúa đã phán,
See, I will put the wool of a sheep on the grain-floor; if there is dew on the wool only, while all the earth is dry, then I will be certain that it is your purpose to give Israel salvation by my hand as you have said.|thì tôi sẽ để một lốt chiên trong sân đạp lúa; nếu sương chỉ đóng trên lốt chiên, còn đất lại khô ráo, thì tôi sẽ nhận biết Chúa dùng tay tôi giải cứu Y-sơ-ra-ên, y như Chúa đã hứa vậy.
And it was so: for he got up early on the morning after, and twisting the wool in his hands, he got a basin full of water from the dew on the wool.|Việc bèn xảy ra như vậy: ngày mai Ghê-đê-ôn dậy sớm, ép vắt lốt chiên, thì sương chảy ra đầy một chén nước.
Then Gideon said to God, Do not be moved to wrath against me if I say only this: let me make one more test with the wool; let the wool now be dry, while the earth is covered with dew.|Ghê-đê-ôn lại thưa cùng Đức Chúa Trời rằng: Xin cơn thạnh nộ Chúa chớ nổi phừng cùng tôi, tôi chỉ sẽ nói lần nầy thôi. Xin Chúa để tôi làm thử với lốt chiên chỉ một lần nầy thôi: Xin cho một mình lốt chiên phải khô, còn sương lại đóng khắp trên đất.
And that night God did so; for the wool was dry, and there was dew on all the earth round it.|Trong đêm đó, Đức Chúa Trời bèn làm như vậy; chỉ một mình lốt chiên thì khô, còn khắp trên đất lại bị sương phủ.

					Judges 7				|
						Các Thủ Lãnh 7					
Then Jerubbaal, that is, Gideon, and all the people with him, got up early and put up their tents by the side of the water-spring of Harod; the tents of Midian were on the north side of him, under the hill of Moreh in the valley.|Qua ngày sau, Giê-ru-ba-anh, tức là Ghê-đê-ôn, và cả dân sự đồng theo người đều dậy sớm, đi đến đóng trại gần bên suối Ha-rốt. Dinh của Ma-đi-an ở phía bắc về lối nổng Mô-rê, trong trũng.
And the Lord said to Gideon, So great is the number of your people, that if I give the Midianites into their hands they will be uplifted in pride over me and will say, I myself have been my saviour.|Đức Giê-hô-va phán cùng Ghê-đê-ôn rằng: Đạo binh đi theo ngươi lấy làm đông quá, ta chẳng phó dân Ma-đi-an vào tay nó đâu, e Y-sơ-ra-ên đối cùng ta tự khoe mà rằng: Tay tôi đã cứu tôi.
So now, let it be given out to the people that anyone who is shaking with fear is to go back from Mount Galud. So twenty-two thousand of the people went back, but there were still ten thousand.|Vậy bây giờ, hãy truyền lịnh nầy cho bá tánh nghe: Ai là người sợ hãi run rẩy, khá trở về khỏi núi Ga-la-át! Hai vạn hai ngàn người bèn trở về, còn một vạn người ở lại.
Then the Lord said to Gideon, There are still more people than is necessary; take them down to the water so that I may put them to the test for you there; then whoever I say is to go with you will go, and whoever I say is not to go will not go.|Đức Giê-hô-va phán cùng Ghê-đê-ôn rằng: Dân hãy còn đông quá, phải biểu chúng xuống nơi mé nước, rồi ta sẽ vì ngươi thử chúng nó tại đó. Hễ kẻ nào ta phán với ngươi rằng: "Nó khá đi với ngươi," thì nó sẽ đi theo ngươi; còn kẻ nào ta phán cùng ngươi rằng: "Nó chớ đi với ngươi," thì kẻ đó không đi.
So he took the people down to the water; and the Lord said to Gideon, Put on one side by themselves all those drinking up the water with their tongues like a dog; and in the same way, all those who go down on their knees to the water while drinking.|Vậy, người biểu dân sự xuống mé nước; rồi Đức Giê-hô-va phán cùng Ghê-đê-ôn rằng: Phàm kẻ nào dùng lưỡi liếm nước như chó, và kẻ nào quì gối cúi xuống mà uống, thì ngươi phải để riêng ra.
Now the number of those who took up the water with their tongues was three hundred; all the rest of the people went down on their knees to the water.|Số người bụm nước trong tay rồi kê miệng liếm là ba trăm, còn lại bao nhiêu đều quì gối cúi xuống mà uống.
And the Lord said to Gideon, By those three hundred who were drinking with their tongues I will give you salvation and give the Midianites into your hands; let the rest of the people go away, every man to his place.|Bấy giờ, Đức Giê-hô-va bèn phán cùng Ghê-đê-ôn rằng: Ta sẽ dùng ba trăm người đã liếm nước đó mà giải cứu các ngươi, và ta sẽ phó dân Ma-đi-an vào tay ngươi. Còn dân sự khác, ai nấy đều phải trở về nhà mình!
So they took the vessels of the people, and their horns from their hands, and he sent them away, every man to his tent, keeping only the three hundred; and the tents of Midian were lower down in the valley.|Ghê-đê-ôn cho cả người Y-sơ-ra-ên, ai trở về trại nấy, nhưng giữ lại ba trăm người kia; chúng lấy lương thực và cây kèn trong tay. Vả, dinh Ma-đi-an ở thân dưới người, tại trong trũng.
The same night the Lord said to him, Up! go down now against their army, for I have given them into your hands.|Xảy trong đêm đó, Đức Giê-hô-va phán cùng Ghê-đê-ôn rằng: Hãy chổi dậy, đi xuống hãm dinh Ma-đi-an, vì ta đã phó nó vào tay ngươi.
But if you have fear of going down, take your servant Purah with you and go down to the tents;|Còn nếu ngươi sợ hãm nó, thì hãy đi xuống đó với Phu-ra, đầy tớ ngươi.
And after hearing what they are saying, you will get strength to go down against the army. So he went down with his servant Purah to the outer line of the tents of the armed men.|Người sẽ nghe điều chúng nó nói, rồi ngươi sẽ cảm biết rằng mình có sức mạnh mà hãm dinh chúng nó. Vậy, Ghê-đê-ôn đi xuống cùng Phu-ra, đầy tớ mình, đến gần nơi lính canh ở đầu dinh.
Now the Midianites and the Amalekites and all the people of the east were covering the valley like locusts; and their camels were like the sand by the seaside, without number.|Vả, dân Ma-đi-an, dân A-ma-léc, và hết thảy người phương Đông bủa ra trong trũng đông như cào cào, còn lạc đà của chúng nó thì đông vô số, khác nào cát nơi bờ biển.
When Gideon came there, a man was giving his friend an account of his dream, saying, See, I had a dream about a cake of barley bread which, falling into the tents of Midian, came on to the tent, overturning it so that it was stretched out flat on the earth.|Trong lúc Ghê-đê-ôn đến, có một người thuật điềm chiêm bao cho bạn mình nghe, rằng: Nầy, tôi có một điềm chiêm bao, thấy một cái bánh nhỏ bẳng bột lúa mạch lăn vào trại quân Ma-đi-an: nó lăn đến một trại, đụng làm cho trại ngã, lật ngược trên lộn dưới, nên trại bị đánh đổ.
And his friend in answer said, This is certainly the sword of Gideon, the son of Joash, the men of Israel: into their hands God has given up all the army of Midian.|Bọn người đáp rằng: Đó nào khác hơn là gươm của Ghê-đê-ôn, con trai Giô-ách, người Y-sơ-ra-ên. Đức Chúa Trời đã phó Ma-đi-an và cả trại quân vào tay người.
Then Gideon, hearing the story of the dream and the sense in which they took it, gave worship; then he went back to the tents of Israel, and said, Up! for the Lord has given the army of Midian into your hands.|Khi Ghê-đê-ôn nghe lời thuật điềm chiêm bao nầy và sự bàn điềm đó, thì thờ lạy Đức Chúa Trời; rồi trở về trại quân Y-sơ-ra-ên, mà rằng: Hãy chổi dậy, vì Đức Giê-hô-va đã phó trại quân Ma-đi-an vào tay các ngươi!
Then separating the three hundred men into three bands, he gave every man a horn, and a vessel in which was a flaming branch.|Đoạn, người chia ba trăm người làm ba đội, phát cho mỗi tên những kèn, bình không, và đuốc ở trong bình,
And he said to them, Keep your eyes on me, and do what I do; when I come to the outer line of tents, whatever I do, you are to do the same.|mà dặn rằng: Hãy ngó ta, và làm y như ta làm; khi ta đến đầu trại quân, các ngươi sẽ làm theo điều ta làm.
At the sound of my horn, and the horns of those who are with me, let your horns be sounded all round the tents, and say, For the Lord and for Gideon.|Khi ta và những kẻ theo ta thổi kèn, thì các ngươi cũng sẽ thổi kèn ở khắp xung quanh trại quân, và reo lên rằng: Vì Đức Giê-hô-va và vì Ghê-đê-ôn!
So Gideon and the three hundred men who were with him came to the outer line of tents, at the start of the middle watch, when the watchmen had only then taken their stations; and the horns were sounded and the vessels broken.|Ghê-đê-ôn và một trăm quân theo người đi đến đầu trại quân vào lúc canh ba, hồi mới giao canh. Chúng thổi kèn, và đập bể bình cầm nơi tay.
So the three bands all gave a loud note on their horns, and when the vessels had been broken, they took the flaming branches in their left hands, and the horns in their right hands ready for blowing, crying out, For the Lord and for Gideon.|Bấy giờ, ba đội quân thổi kèn, và đập bể bình, tay tả cầm đuốc, tay hữu nắm kèn đặng thổi; đoạn cất tiếng reo lên rằng: Gươm của Đức Giê-hô-va và của Ghê-đê-ôn!
Then they made a line round the tents, every man in his place; and all the army, awaking from sleep, came running out, and with loud cries went in flight.|Chúng đứng vây quanh trại quân, ai cứ chỗ nấy; cả trại quân bèn vỡ chạy, cất tiếng la và trốn đi.
And the three hundred gave a loud note on their horns, and every man's sword was turned by the Lord against his brother all through the army; and the army went in flight as far as Beth-shittah in the direction of Zeredah, to the edge of Abel-meholah by Tabbath.|Ba trăm người cứ thổi kèn, và khắp trại quân, Đức Giê-hô-va khiến trở gươm của mỗi người chém lẫn bạn mình. Đạo-binh chạy trốn đến Bết-si-ta, về hướng Xê-rê-ra, cho đến bờ cõi A-bên-Mê-hô-la gần Ta-bát.
And the men of Israel came together from Naphtali and from Asher and all Manasseh, and went after Midian.|Người Y-sơ-ra-ên, tức những người chi phái Nép-ta-li, A-se và Ma-na-se hiệp lại mà đuổi theo dân Ma-đi-an.
Then Gideon sent through all the hill-country of Ephraim saying, Come down against Midian, and keep the ways across Jordan before they come. So all the men of Ephraim, massing themselves together, kept the ways across Jordan.|Bấy giờ, Ghê-đê-ôn sai sứ vào khắp núi Ep-ra-im đặng nói rằng: Hãy xuống đón dân Ma-đi-an, chận đường chúng nó qua sông, cho đến Bết-Ba-ra và các chỗ cạn của Giô-đanh. Vậy, các người Ep-ra-im hiệp lại, chiếm các bến cho đến Bết-Ba-ra, cùng những chỗ cạn của Giô-đanh.
And they took the two chiefs of Midian, Oreb and Zeeb; and they put Oreb to death at the rock of Oreb, and Zeeb they put to death at the place of the grape-crushing in Zeeb, and they went after Midian; but the heads of Oreb and Zeeb they took across Jordan to Gideon.|Chúng cũng bắt được hai quan trưởng của dân Ma-đi-an, là Ô-rép và Xê-ép; giết Ô-rép tại nơi hòn đá Ô-rép, và Xê-ép tại nơi máy ép rượu Xê-ép. Đoạn, họ đuổi theo dân Ma-đi-an, cùng đem đầu Ô-rép và đầu Xê-ép đến Ghê-đê-ôn ở phía bên kia sông Giô-đanh.

					Judges 8				|
						Các Thủ Lãnh 8					
And the men of Ephraim came and said to him, Why did you not send for us when you went to war against Midian? And they said sharp and angry words to him.|Người Ep-ra-im bèn nói cùng Ghê-đê-ôn rằng: Vì sao ông đã đãi chúng tôi như vậy? Khi ông đi giao chiến cùng dân Ma-đi-an, sao không gọi chúng tôi đi với? Chúng cãi cùng người cách dữ dội.
And he said to them, What have I done in comparison with you? Is not that which Ephraim took up after the grape-cutting better than all the grapes which Abiezer got in from the grape-cutting?|Nhưng người đáp cùng chúng rằng: Sánh với anh em, tôi há có làm được điều chi? Sự mót nho của Ep-ra-im há chẳng hơn mùa gặt nho của A-bi-ê-xe sao?
God has given into your hands the chiefs of Midian, Oreb and Zeeb; what have I been able to do in comparison with you? And when he said this, their feeling about him became kinder.|Đức Chúa Trời đã phó Ô-rép và Xê-ép là hai quan trưởng dân Ma-đi-an, vào tay anh em. Đem sánh với anh em, tôi nào có làm được điều gì? Khi người nói lời ấy rồi, cơn giận của chúng bèn nguôi.
Then Gideon came to Jordan and went over it with his three hundred, overcome with weariness and in need of food.|Ghê-đê-ôn đi tới sông Giô-đanh, sang qua cùng ba trăm nguời đồng theo mình; dẫu mệt nhọc, họ cũng cứ rượt theo quân nghịch.
And he said to the men of Succoth, Give bread cakes to my people, for they are overcome with weariness, and I am going on after Zebah and Zalmunna, the kings of Midian.|Người bèn nói cùng dân Su-cốt rằng: Ta xin các ngươi hãy cấp một vài ổ bánh cho dân theo ta, vì chúng mệt nhọc; ta đương đuổi theo Xê-bách và Xanh-mu-na, hai vua Ma-đi-an.
But the chiefs of Succoth said, Are the hands of Zebah and Zalmunna even now in your hand that we are to give bread to your army?|Nhưng các quan trưởng Su-cốt đáp rằng: Chớ thì ông đã cầm nơi tay mình cườm tay của Xê-bách và Xanh-mu-na chưa, nên chúng tôi phải cấp bánh cho đạo binh ông?
Then Gideon said, Because of this, when the Lord has given Zebah and Zalmunna into my hands, I will have you stretched on a bed of thorns of the waste land and on sharp stems, and have you crushed as grain is crushed on a grain-floor.|Ghê-đê-ôn la lên rằng: Thế thì, khi Đức Giê-hô-va đã phó Xê-bách và Xanh-mu-na vào tay ta, ta sẽ lấy chông đồng vắng và nhánh gai mà đánh thịt các ngươi!
So he went up from there to Penuel and made the same request to the men of Penuel; but they gave him the same answer as the men of Succoth had given.|Từ đó, người đi lên đến Phê-nu-ên và cũng nói một cách ấy với dân Phê-nê-ên. Dân Phê-nu-ên đáp cùng người y như dân Su-cốt đã đáp.
So he said to the men of Penuel, When I come back in peace, I will have this tower broken down.|Vậy, người cũng nói với dân Phê-nu-ên rằng: Khi ta trở về bình an, ắt sẽ phá hủy cái tháp nầy.
Now Zebah and Zalmunna were in Karkor and their armies with them, about fifteen thousand men, those of all the army of the children of the east who were still living; for a hundred and twenty thousand of their swordsmen had been put to death.|Xê-bách và Xanh-mu-na ở lại Cạt-cô với quân binh mình, số chừng mười lăm ngàn người, là kẻ còn sót lại trong đạo binh của các người phương Đông; vì một trăm hai mươi ngàn người có tài cầm gươm đã bị giết.
And Gideon went up by the way used by the people living in tents on the east of Nobah and Jogbehah, and made an attack on the army when they had no thought of danger.|Ghê-đê-ôn đi lên theo đường của những dân ở dưới trại, tại hướng đông Nô-bách và Giô-bê-ha, đánh bại đạo binh vẫn tưởng rằng mình bình an vô-sự.
And Zebah and Zalmunna went in flight; and he went after them, and took the two kings of Midian, Zebah and Zalmunna, and put all the army to the curse.|Khi Xê-bách và Xanh-mu-na chạy trốn, người đuổi theo bắt được hai vua Ma-đi-an, là Xê-bách và Xanh-mu-na, và đánh cả đạo binh vỡ chạy.
Then Gideon, the son of Joash, went back from the fight:|Đoạn, Ghê-đê-ôn, con trai Giô-ách, ở trận trở về qua dốc Hê-re,
And taking prisoner a young man of the people of Succoth, he got from him, in answer to his questions, a list of the chiefs of Succoth and the responsible men, seventy-seven men.|bắt một đứa con trai trẻ ở Su-cốt, tra hỏi nó, rồi nó viết khai tên những quan trưởng và trưởng lão của Su-cốt, số được bảy mươi bảy người.
So he came to the men of Succoth and said, Here are Zebah and Zalmunna, on account of whom you made sport of me, saying, Are the hands of Zebah and Zalmunna even now in your hand, that we are to give bread to your army who are overcome with weariness?|Kế đó, người đến cùng dân Su-cốt, mà nói rằng: Nầy Xê-bách và Xanh-mu-na mà các ngươi đã mắng ta rằng: Chớ thì ông đã cầm cườm tay Xê-bách và Xanh-mu-na nơi tay mình chưa, nên chúng tôi phải cấp bánh cho dân mệt nhọc của ông?
Then he took the responsible men of the town and had them crushed on a bed of thorns and sharp stems.|Vậy, người bắt các trưởng lão của thành, lấy chông gai nơi đồng vắng mà đánh phạt những người Su-cốt;
And he had the tower of Penuel broken down and the men of the town put to death.|cũng phá hủy tháp Phê-nu-ên và giết những người của thành ấy.
