
					II Chronicles 1				|
Then Solomon made burned offerings to the Lord on the altar of the Lord which he had put up in front of the covered way,|Bấy giờ, Sa-lô-môn dâng của lễ thiêu cho Đức Giê-hô-va tại trên bàn thờ của Giê-hô-va mà người đã xây trước hiên cửa;
Offering every day what had been ordered by Moses, on the Sabbaths and at the new moon and at the regular feasts three times a year, that is at the feast of unleavened bread, the feast of weeks, and the feast of tents.|lại tùy theo lệ luật của Môi-se, người dâng mỗi ngày của lễ phải dâng, cùng trong các ngày sa-bát, ngày mồng một, và hằng năm nhằm ba lễ trọng thể, tức lễ bánh không men, lễ các tuần lễ, và lễ lều tạm.
And he gave the divisions of the priests their places for their work, as ordered by his father David, and to the Levites he gave their work of praise and waiting on the priests, to do what was needed day by day; and he gave the door-keepers their places in turn at every door; for so David, the man of God, had given orders.|Tùy theo lịnh truyền của Đa-vít, cha mình, người phân định ban thứ của những thầy tế lễ trong phần việc họ, và lập người Lê-vi trong chức sự họ, đặng ngợi khen Chúa và hầu việc tại trước mặt những thầy tế lễ, cứ công việc ngày nào theo ngày nấy; tại mỗi cửa cũng đặt kẻ giữ cửa, cứ theo phiên mình, vì Đa-vít, người của Đức Chúa Trời, đã truyền lịnh như vậy.
All the orders given by the king to the priests and Levites, in connection with any business or stores, were done with care.|Phàm điều gì vua đã phán dạy hững thầy tế lễ và người Lê-vi, hoặc về kho tàng hay là về việc khác, thì họ chẳng bỏ bê chút nào.
And all the work of Solomon was complete, from the day when he put the base of the Lord's house in position, till Solomon had come to the end of building the Lord's house.|Vả, các tài liệu mà Sa-lô-môn dùng về việc cất đền của Đức Giê-hô-va, đều đã sắm sửa từ ngày đặt nền cho đến khi công việc xong. Đền của Đức Giê-hô-va đã cất xong là như vậy.
Then Solomon went to Ezion-geber and to Eloth by the sea in the land of Edom.|Khi ấy Sa-lô-môn đi đến Ê-xi-ôn-Ghê-be và Ê-lốt, tại trên mé biển, trong xứ Ê-đôm.
And Huram sent him, by his servants, ships and experienced seamen, who went with the servants of Solomon to Ophir and came back with four hundred and fifty talents of gold, which they took to King Solomon.|Hu-ram bởi tay các tôi tớ mình, gởi đến cho người những tàu và các thủy thủ thạo nghề đi biển; chúng đi với các tôi tớ của Sa-lô-môn đến Ô-phia, lấy tại đó bốn trăm năm mươi ta lâng vàng, và chở về cho vua Sa-lô-môn.

					II Chronicles 9				|
						II Sử Ký 9					
Now the queen of Sheba, hearing great things of Solomon, came to Jerusalem to put his wisdom to the test with hard questions; and with her came a very great train, and camels weighted down with spices, and great stores of gold and jewels: and when she came to Solomon she had talk with him of everything in her mind.|Khi nữ vương nước Sê-ba nghe đồn danh tiếng của Sa-lô-môn, bèn đi đến Giê-ru-sa-lem, lấy những câu đố mà thử người, bà có hầu hạ theo rất đông, có những lạc đà chở thuốc thơm, rất nhiều vàng, và đá quí; bà đến cùng Sa-lô-môn, nói với người mọi điều có ở trong lòng mình.
And Solomon gave her answers to all her questions; there was no secret which he did not make clear to her.|Sa-lô-môn đáp các câu hỏi của bà, chẳng câu nào ẩn bí quá cho Sa-lô-môn mà người không giải nghĩa nổi cho bà.
And when the queen of Sheba had seen the wisdom of Solomon, and the house which he had made,|Khi nữ vương Sê-ba thấy sự khôn ngoan của Sa-lô-môn, cung điện người đã xây cất,
And the food at his table, and all his servants seated there, and those who were waiting on him in their places, and their robes, and his wine-servants and their robes, and the burned offerings which he made in the house of the Lord, there was no more spirit in her.|những món ăn trên bàn người, nhà cửa các tôi tớ, thứ tự công việc của các quan, và đồ mặc của họ, các quan chước tửu và áo xống của họ, cùng các của lễ thiêu người dâng trong đền Đức Giê-hô-va, thì mất vía,
And she said to the king, The account which was given to me in my country of your acts and your wisdom was true.|bèn nói với vua rằng: Điều tôi nghe nói trong xứ tôi về các lời nói và sự khôn ngoan của vua, thì thật lắm.
But I had no faith in what was said about you, till I came and saw for myself; and truly, word was not given me of half your great wisdom; you are much greater than they said.|Song trước khi tôi chưa đến đây và chưa thấy tận mắt những điều này, thì tôi chẳng tin lời họ; và kìa, người ta chẳng thuật cho tôi nghe đến phân nửa sự khôn ngoan lớn lao của vua; vua thật trổi hơn tiếng đồn tôi đã nghe.
Happy are your wives and happy these your servants whose place is ever before you, hearing your words of wisdom.|Các quần thần của vua thật có phước thay! Các tôi tớ vua, hằng đứng chầu trước mặt vua, nghe sự khôn ngoan của vua, thật có phước thay!
Praise be to the Lord your God whose pleasure it was to put you on the seat of his kingdom to be king for the Lord your God: because, in his love for Israel, it was the purpose of your God to make them strong for ever, he made you king over them, to be their judge in righteousness.|Đáng ngợi khen thay Giê-hô-va Đức Chúa Trời của vua, vì Ngài vui thích vua, đặt vua ngồi trên ngôi của Ngài đặng làm vua cho Giê-hô-va Đức Chúa Trời của vua! Bởi vì Đức Chúa Trời của vua yêu mến Y-sơ-ra-ên, đặng làm cho chúng vững bền đến đời đời, nên Ngài đã lập vua làm vua trên chúng, để làm theo sự ngay thẳng và sự công bình.
And she gave the king a hundred and twenty talents of gold, and a great store of spices and jewels: never had such spices been seen as the queen of Sheba gave to Solomon.|Đoạn, bà dâng cho vua một trăm hai mươi ta lâng vàng, và rất nhiều thuốc thơm, cùng đá quí; chẳng hề có thuốc thơm nào giống như thuốc thơm của nữ vương nước Sê-ba dâng cho vua Sa-lô-môn.
And the servants of Huram and the servants of Solomon, in addition to gold from Ophir, came back with sandal-wood and jewels.|(Các tôi tớ của Hu-ram và tôi tớ của Sa-lô-môn từ Ô-phia chở vàng đến, cũng có chở về gỗ bạch đàn hương và đá quí.
And with the sandal-wood the king made steps for the house of the Lord and for the king's house, and instruments of music for the makers of melody; never before had such been seen in the land of Judah.|Vua dùng gỗ bạch đàn hương ấy mà làm cái thang trong đền của Đức Giê-hô-va, và trong cung điện vua, cùng những đờn cầm đờn sắt cho con hát: trước khi trong nước Giu-đa, người ta chẳng hề thấy có giống như vậy).
And King Solomon gave the queen of Sheba all her desire, whatever she made request for, in addition to what she had taken to the king. So she went back to her country with her servants.|Vua Sa-lô-môn tặng cho nữ vương nước Sê-ba mọi đồ bà ước ao và xin, gấp nhiều hơn đồ bà đã đem dâng cho vua. Đoạn, bà và các đầy tớ bà trở về xứ mình.
Now the weight of gold which came to Solomon in one year was six hundred and sixty-six talents;|Vàng mà vua Sa-lô-môn nhận được mỗi năm cân đến sáu trăm bảy mươi ta lâng,
And in addition to what he got from traders of different sorts, all the kings of Arabia and the rulers of the country gave gold and silver to Solomon.|không kể vàng mà các nhà buôn bán, kẻ buôn bán dong đem vào, cùng vàng và bạc mà các vua A-ra-bi và quan tổng trấn của xứ đem nộp cho Sa-lô-môn.
And King Solomon made two hundred body-covers of hammered gold, every one having six hundred shekels of gold in it.|Sa-lô-môn làm hai trăm cái khiên lớn bằng vàng đánh giát cứ mỗi cái dùng sáu trăm siếc lơ vàng đánh giát,
And he made three hundred smaller body-covers of hammered gold, using three hundred shekels of gold for every cover, and the king put them in the house of the Woods of Lebanon.|và ba trăm cái khiên nhỏ bằng vàng đánh giát, cứ mỗi cái dùng ba trăm siếc lơ vàng; đoạn vua để các khiên ấy nơi cung rừng Li-ban.
Then the king made a great ivory seat, plated with the best gold.|Vua cũng làm một cái ngai lớn bằng ngà, và bọc vàng ròng;
There were six steps up to it, and a foot-rest of gold fixed to it, and arms on the two sides of the seat, with two lions at the side of the arms.|cái ngai có sáu nấc lên, và một cái bệ bằng vàng liền với cái ngai; cũng có thanh nâng tay bên này và bên kia của chỗ ngồi, gần thanh nâng tay có hai con sư tử.
And twelve lions were placed on one side and on the other side on the six steps: there was nothing like it in any kingdom.|Lại có mười hai con sư tử đứng trên sáu nấc, bên hữu và bên tả: chẳng có nước nào làm ngai giống như vậy.
All King Solomon's drinking-vessels were of gold, and all the vessels of the house of the Woods of Lebanon were of the best gold: no one gave a thought to silver in the days of Solomon.|Các đồ dùng để uống của vua Sa-lô-môn đều bằng vàng, và những khí dụng của cung rừng Li-ban cũng đều bằng vàng ròng: trong đời Sa-lô-môn, chẳng kể bạc ra gì,
For the king had Tarshish-ships sailing with the servants of Huram: once every three years the Tarshish-ships came back with gold and silver, ivory and monkeys and peacocks.|vì vua có đoàn tàu vượt sang Ta-rê-si với các tôi tớ của Hi-ram: mỗi ba năm một lần đoàn tàu Ta-rê-si chở đến vàng, bạc ngà voi, con khỉ và con công.
And King Solomon was greater than all the kings of the earth in wealth and in wisdom.|Ay vậy, vua Sa-lô-môn trổi hơn các vua trên đất về sự khôn ngoan.
And all the kings of the earth came to see Solomon and to give ear to his wisdom, which God had put into his heart.|Các vua trên đất đều cầu thấy mặt Sa-lô-môn, đặng nghe sự khôn ngoan của người mà Đức Chúa Trời đã để trong lòng người.
And everyone took with him an offering, vessels of silver and vessels of gold, and robes, and coats of metal, and spices, and horses and beasts for transport, regularly year by year.|Cứ hằng năm theo lệ định, chúng đều đem đến vật mình tiến cống, nào những khí dụng bằng bạc, bằng vàng, nào áo xống, binh khí, nào thuốc thơm, ngựa và la.
Solomon had four thousand buildings for his horses and his war-carriages, and twelve thousand horsemen whom he kept, some in the carriage-towns and some with the king in Jerusalem.|Vua Sa-lô-môn có được bốn ngàn tàu ngựa và xe, cùng một vạn hai ngàn lính kỵ, để trong các thành chứa xe, và gần bên vua, tại Giê-ru-sa-lem.
And he was ruler over all the kings from the River to the land of the Philistines, as far as the limit of Egypt.|Người quản trị trên các vua, từ sông cái cho đến xứ Phi-li-tin, và cho đến bờ cõi Ê-díp-tô.
The king made silver as common as stones in Jerusalem and cedars like the sycamore-trees of the lowlands in number.|Tại Giê-ru-sa-lem, vua làm cho bạc ra thường như đá sỏi, và cây bá hương nhiều như cây sung mọc ở nơi đồng bằng.
They got horses for Solomon from Egypt and from every land.|Có người đem cho Sa-lô-môn những ngựa từ xứ Ê-díp-tô và từ các nước mà đến. Sa-lô-môn qua đời
Now the rest of the acts of Solomon, first and last, are they not recorded in the history of Nathan the prophet, and in the words of Ahijah the prophet of Shiloh, and in the visions of Iddo the seer about Jeroboam, the son of Nebat?|Các công việc khác của Sa-lô-môn làm từ đầu đến cuối đều chép trong sách truyện Na-than, là đấng tiên tri, và trong sách tiên tri của A-hi-gia, người Si-lô, cùng trong sách dị tượng của Giê-đô, đấng tiên kiến luận về việc Giê-rô-bô-am, con trai của Nê-bát.
Solomon was king over Israel in Jerusalem for forty years.|Sa-lô-môn trị vì trên cả Y-sơ-ra-ên trong bốn mươi năm tại Giê-ru-sa-lem.
And Solomon went to rest with his fathers, and was put into the earth in the town of David his father; and Rehoboam his son became king in his place.|Sa-lô-môn an giấc cùng tổ phụ mình, được chôn trong thành của Đa-vít, là cha người; Rô-bô-am, con trai người, cai trị thế cho người.

					II Chronicles 10				|
						II Sử Ký 10					
And Rehoboam went to Shechem, where all Israel had come together to make him king.|Rô-bô-am đi đến Si-chem, vì cả Y-sơ-ra-ên đều đã tới Si-chem đặng tôn người làm vua.
And when Jeroboam, the son of Nebat, had news of it, (for he was in Egypt where he had gone in flight from King Solomon,) he came back from Egypt.|Khi Giê-rô-bô-am, con trai Nê-bát, hay điều đó, thì còn ở Ê-díp-tô, là nơi người đã trốn, để thoát khỏi mặt Sa-lô-môn; người bèn từ Ê-díp-tô trở về.
And they sent for him; and Jeroboam and all Israel came to Rehoboam and said,|Người ta sai kẻ đi gọi người về; đoạn Giê-rô-bô-am và cả Y-sơ-ra-ên đều đến tâu với Rô-bô-am rằng:
Your father put a hard yoke on us: if you will make the conditions under which your father kept us down less cruel, and the weight of the yoke he put on us less hard, then we will be your servants.|Thân phụ vua đã gán ách nặng cho chúng tôi, vậy bây giờ, hãy giảm nhẹ sự phục dịch khó nhọc này và cái ách nặng nề mà thân phụ vua đã gán trên chúng tôi, thì chúng tôi sẽ phục sự vua.
And he said to them, Come to me again after three days. So the people went away.|Người đáp với chúng rằng: Khỏi ba ngày, các ngươi hãy trở lại cùng ta. Dân sự bèn lui về.
Then King Rehoboam took the opinion of the old men who had been with Solomon his father when he was living, and said, In your opinion, what answer am I to give to this people?|Vua Rô-bô-am bàn nghị cùng các trưởng lão đã chầu trước mặt Sa-lô-môn, cha người, trong lúc Sa-lô-môn còn sống, mà rằng: Các ngươi bàn luận cho ta phải trả lời với dân sự này làm sao?
And they said to him, If you are kind to this people, pleasing them and saying good words to them, then they will be your servants for ever.|Các trưởng lão thưa lại với vua rằng: Nếu vua đãi dân sự này tử tế, ăn ở vui lòng cùng chúng nó, và lấy lời hiền lành nói với chúng nó, ắt chúng nó sẽ làm tôi tớ vua mãi mãi.
But he gave no attention to the opinion of the old men, but went to the young men of his generation who were waiting before him.|Song Rô-bô-am chẳng theo mưu của các trưởng lão đã bàn cho mình, bèn hội nghị với các người trai trẻ đã đồng sanh trưởng với mình, và chầu trước mặt mình,
And he said to them, What is your opinion? What answer are we to give to this people who have said to me, Make less the weight of the yoke which your father put on us?|mà rằng: Dân sự này đã tâu với ta rằng: Hãy giảm nhẹ cái ách mà thân phụ vua đã gán cho chúng tôi; vậy các ngươi bàn luận cho ta phải đáp với chúng nó làm sao?
And the young men of his generation said to him, This is the answer to give to the people who came to you saying, Your father put a hard yoke on us, but will you make it less; say to them, My little finger is thicker than my father's body;|Các gã trai trẻ đồng lớn lên với người thưa rằng: Dân sự đã thưa với vua rằng: Thân phụ vua khiến cho ách chúng tôi nặng nề; vua hãy làm cho nó ra nhẹ; vua phải đáp lại cùng chúng như vầy: Ngón tay út ta lớn hơn lưng của cha ta.
If my father put a hard yoke on you, I will make it harder: my father gave you punishment with whips, but I will give you blows with snakes.|Vậy, bây giờ, cha ta đã gán một cái ách nặng trên các ngươi, ắt ta sẽ làm cho ách các ngươi thêm nặng hơn; cha ta đã sửa phạt các ngươi bằng roi, còn ta sẽ sửa phạt các ngươi bằng roi bò cạp.
So Jeroboam and all the people came to Rehoboam on the third day, as the king had given orders, saying, Come to me again on the third day.|Ngày thứ ba, Giê-rô-bô-am và cả dân sự đều đến cùng Rô-bô-am y như vua đã biểu rằng: Hãy trở lại cùng ta trong ngày thứ ba.
And the king gave them a rough answer. So King Rehoboam gave no attention to the suggestion of the old men,|Vua Rô-bô-am đáp với dân sự cách xẳng xớm, bỏ mưu của các trưởng lão đã bàn,
But gave them the answer put forward by the young men, saying, My father made your yoke hard, but I will make it harder; my father gave you punishment with whips, but I will give it with snakes.|theo lời bàn của những kẻ trai trẻ, và đáp cùng chúng rằng: Cha ta khiến cho ách các ngươi nặng nề; ta sẽ làm cho ách các ngươi thêm nặng hơn; cha ta sửa phạt các ngươi bằng roi, ta sẽ sửa phạt các ngươi bằng roi bò cạp.
So the king did not give ear to the people; for this came about by the purpose of God, so that the Lord might give effect to his word which he had said by Ahijah the Shilonite to Jeroboam, the son of Nebat.|Như vậy, vua không nghe lời dân sự, vì ấy là bởi Đức Chúa Trời dẫn đến, hầu cho Đức Giê-hô-va làm ứng nghiệm lời của Ngài đã nhờ A-hi-gia, người Si-lô, mà phán cùng Giê-rô-bô-am, con trai của Nê-bát.
And when all Israel saw that the king would give no attention to them, the people in answer said to the king, What part have we in David? what is our heritage in the son of Jesse? every man to your tents, O Israel; now see to your house, David. So all Israel went to their tents.|Khi cả Y-sơ-ra-ên thấy vua không nghe lời họ, bèn đáp cùng người, mà rằng: Chúng ta có phần gì với Đa-vít? Chúng ta chẳng có cơ nghiệp gì với con trai Y-sai. Hỡi Y-sơ-ra-ên! mỗi người hãy trở về trại mình đi. Ớ Đa-vít! từ rày khá coi chừng nhà của ngươi. Cả Y-sơ-ra-ên bằn trở về trại mình.
But Rehoboam was still king over those of the children of Israel who were living in the towns of Judah.|Nhưng còn dân Y-sơ-ra-ên ở tại các thành Giu-đa thì Rô-bô-am cai trị trên chúng.
Then Rehoboam sent Adoniram, the overseer of the forced work; and he was stoned to death by all Israel. And King Rehoboam went quickly and got into his carriage to go in flight to Jerusalem.|Bấy giờ, vua Rô-bô-am sai Ha-đô-ram, là người cai quản việc cống thuế, đến cùng dân Y-sơ-ra-ên; song dân Y-sơ-ra-ên ném đá người, thì người chết. Vua Rô-bô-am lật đật lên xe trốn về Giê-ru-sa-lem.
So Israel was turned away from the family of David to this day.|Ay vậy, Y-sơ-ra-ên phản nghịch cùng nhà Đa-vít cho đến ngày nay.

					II Chronicles 11				|
						II Sử Ký 11					
And Rehoboam came to Jerusalem, and got together the men of Judah and Benjamin, a hundred and eighty thousand of his best fighting-men, to make war against Israel and get the kingdom back for Rehoboam.|Rô-bô-am trở về thành Giê-ru-sa-lem, bèn nhóm nhà Giu-đa và nhà Bên-gia-min, được mười tám vạn chiến sĩ kén chọn, toan đánh giặc với Y-sơ-ra-ên, để đem nước về Rô-bô-am lại.
But the word of the Lord came to Shemaiah, the man of God, saying,|Nhưng có lời của Đức Giê-hô-va phán cùng Sê-ma-gia, người của Đức Chúa Trời, rằng:
Say to Rehoboam, the son of Solomon, king of Judah, and to all Israel in Judah and Benjamin,|Hãy nói với Rô-bô-am, con trai của Sa-lô-môn, vua Giu-đa, và với cả Y-sơ-ra-ên trong Giu-đa, cùng Bên-gia-min, mà rằng:
The Lord has said, You are not to go to war against your brothers: let every man go back to his house, for this thing is my purpose. So they gave ear to the words of the Lord and were turned back from fighting against Jeroboam.|Đức Giê-hô-va phán như vầy: Các ngươi chớ đi lên chinh chiến với anh em mình; mỗi người hãy trở về nhà mình, vì việc này tại ta mà xảy đến. Chúng nghe theo lời của Đức Giê-hô-va, và trở về, không đi đánh Giê-rô-bô-am.
Now Rehoboam kept in Jerusalem, building walled towns in Judah.|Rô-bô-am ở tại Giê-ru-sa-lem, xây các thành trong đất Giu-đa làm nên đồn lũy.
He was the builder of Beth-lehem and Etam and Tekoa|Người xây Bết-lê-hem, Ê-tam, Thê-cô -a,
And Beth-zur and Soco and Adullam|Bết-xu-rơ, Sô-cô, A-đu-lam,
And Gath and Mareshah and Ziph|Gát, Ma-rê-sa, Xíp
And Adoraim and Lachish and Azekah|A-đô-ra-im, La-ki, A-xê-ka,
And Zorah and Aijalon and Hebron, walled towns in Judah and Benjamin.|Xô-rê -a A-gia-lôn, và Hếp-rôn, là những thành bền vững ở trong đất Giu-đa và đất Bên-gia-min.
And he made the walled towns strong, and he put captains in them and stores of food, oil, and wine.|Người làm cho các đồn lũy ấy vững chắc, đặt những quan tướng ở đó, chứa lương thực, dầu, và rượu;
And in every town he put stores of body-covers and spears, and made them very strong. And Judah and Benjamin were his.|còn trong mỗi thành, người sắm khiên và giáo, làm cho các thành ấy rất bền vững. Đất Giu-đa và đất Bên-gia-min đều thuộc về người.
And the priests and Levites who were in all Israel came together to him from every part of their country.|Những thầy tế lễ và người Lê-vi trong khắp xứ Y-sơ-ra-ên, đều từ các miền họ ở, đến cùng Rô-bô-am
For the Levites gave up their living-places and their property, and came to Judah and Jerusalem; for Jeroboam and his sons had sent them away, not letting them be priests to the Lord;|vì các người Lê-vi lìa bỏ địa hạt các thành mình và sản nghiệp mình, mà đến đất Giu-đa và thành Giê-ru-sa-lem; bởi Giê-rô-bô-am và các con trai người đuổi họ đi, không cho làm chức thầy tế lễ của Đức Giê-hô-va nữa;
And he himself made priests for the high places, and for the images of he-goats and oxen which he had made.|Giê-rô-bô-am bèn lập những thầy tế lễ cho các nơi cao, cho các hình tượng dê đực, và bò con mà người đã làm.
And after them, from all the tribes of Israel, all those whose hearts were fixed and true to the Lord, the God of Israel, came to Jerusalem to make offerings to the Lord, the God of their fathers.|Lại trong các chi phái Y-sơ-ra-ên, phàm ai rắp lòng tìm kiếm Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên, thì đều theo những thầy tế lễ và người Lê-vi mà đến Giê-ru-sa-lem đặng tế lễ cho Giê-hô-va Đức Chúa Trời của tổ phụ mình.
So they went on increasing the power of the kingdom of Judah, and made Rehoboam, the son of Solomon, strong for three years; and for three years they went in the ways of David and Solomon.|Trong ba năm, chúng làm cho nước Giu-đa vững chắc, giúp đỡ Rô-bô-am, con trai của Sa-lô-môn, trở nên cường thạnh; vì trong ba năm ấy chúng đi theo con đường của Đa-vít và Sa-lô-môn.
And Rehoboam took as his wife Mahalath, the daughter of Jerimoth, the son of David and of Abihail, the daughter of Eliab, the son of Jesse;|Rô-bô-am lấy Ma-ha-lát, con gái của Giê-ri-mốt, cháu của Đa-vít, làm vợ; lại cưới A-bi-hai, con gái Ê-li-áp, cháu của Y-sai;
And she had sons by him, Jeush, Shemariah, and Zaham.|nàng sanh cho người những con trai, là Giê-úc, Sê-ma-ria, và Xa-ham.
And after her he took Maacah, the daughter of Absalom; and she had Abijah and Attai and Ziza and Shelomith by him.|Sau nàng, người lại cưới Ma -a-ca, con gái Ap-sa-lôn; nàng sanh cho người, A-bi-gia, At-thai Xi-xa, và Sê-lô-mít.
Maacah, the daughter of Absalom, was dearer to Rehoboam than all his wives and his servant-wives: (for he had eighteen wives and sixty servant-wives, and was the father of twenty-eight sons and sixty daughters.)|Vả, Rô-bô-am yêu mến Ma -a-ca con gái Ap-sa-lôm hơn các hậu phi khác .
Rehoboam made Abijah, the son of Maacah, chief and ruler among his brothers, for it was his purpose to make him king.|Rô-bô-am lập A-bi-gia, con trai Ma -a-ca, làm trưởng, làm thái tử giữa anh em mình; vì người toan lập con ấy làm vua.
And in his wisdom he had his sons stationed in every walled town through all the lands of Judah and Benjamin; and he gave them a great store of food, and took wives for them.|Rô-bô-am cư xử cách khôn ngoan, phân tản các con trai mình đi ở khắp trong cõi Giu-đa và Bên-gia-min, nơi các thành bền vững, cấp cho chúng lương thực dư dật, và cưới nhiều vợ cho.

					II Chronicles 12				|
						II Sử Ký 12					
Now when Rehoboam's position as king had been made certain, and he was strong, he gave up the law of the Lord, and all Israel with him.|Xảy khi nước của Rô-bô-am vừa được lập vững bền, và người được cường thạnh, thì người và cả Y-sơ-ra-ên liền bỏ luật pháp của Đức Giê-hô-va.
Now in the fifth year of King Rehoboam, Shishak, king of Egypt, came up against Jerusalem, because of their sin against the Lord,|Vì chúng có phạm tội cùng Đức Giê-hô-va, nên xảy ra trong năm thứ năm đời vua Rô-bô-am, Si-sắc, vua Ê-díp-tô, kéo lên hãm đánh Giê-ru-sa-lem;
With twelve hundred war-carriages and sixty thousand horsemen: and the people who came with him out of Egypt were more than might be numbered: Lubim and Sukkiim and Ethiopians.|có dẫn theo một ngàn hai trăm cỗ xe và sáu vạn lính kỵ; lại có dân Li-by, dân Su-ri, và dân Ê-thi-ô-bi từ Ê-díp-tô kéo lên với người, số không thể đếm đặng.
And he took the walled towns of Judah, and came as far as Jerusalem.|Si-sắc bèn chiếm lấy các thành bền vững thuộc về Giu-đa, rồi đến tận Giê-ru-sa-lem.
Now Shemaiah the prophet came to Rehoboam and the chiefs of Judah, who had come together in Jerusalem because of Shishak, and said to them, The Lord has said, Because you have given me up, I have given you up into the hands of Shishak.|Tiên tri Sê-ma-gia đến cùng Rô-bô-am và các kẻ làm đầu Giu-đa, đương nhóm tại Giê-ru-sa-lem để trốn khỏi Si-sắc, mà nói rằng: Đức Giê-hô-va phán như vầy: Các ngươi đã bỏ ta, nên ta cũng đã bỏ các ngươi vào tay Si-sắc.
Then the chiefs of Israel and the king made themselves low and said, The Lord is upright.|Bấy giờ, các kẻ làm đầu của Y-sơ-ra-ên và vua đều hạ mình xuống, mà nói rằng: Đức Giê-hô-va là công bình.
And the Lord, seeing that they had made themselves low, said to Shemaiah, They have made themselves low: I will not send destruction on them, but in a short time I will give them salvation, and will not let loose my wrath on Jerusalem by the hand of Shishak.|Khi Đức Giê-hô-va thấy chúng hạ mình xuống, thì có lời Đức Giê-hô-va phán cùng Sê-ma-gia rằng: Chúng nó đã hạ mình xuống, ta sẽ không hủy diệt chúng nó; song sẽ giải cứu chúng một chút, và cơn giận ta sẽ chẳng cậy tay Si-sắc mà đổ ra trên Giê-ru-sa-lem;
But still they will become his servants, so that they may see how different my yoke is from the yoke of the kingdoms of the lands.|song chúng nó sẽ bị phục dịch hắn, hầu cho biết phục sự ta và phục dịch nước khác là có phân biệt thể nào.
So Shishak, king of Egypt, came up against Jerusalem and took away all the stored wealth of the house of the Lord and the king's house: he took everything away, and with the rest the gold body-covers which Solomon had made.|Si-sắc, vua Ê-díp-tô, kéo lên hãm đánh Giê-ru-sa-lem, đoạt lấy các bửu vật của đền Đức Giê-hô-va và cung vua: người đoạt lấy hết thảy; cũng đoạt lấy những khiên bằng vàng mà Sa-lô-môn đã làm.
And in their place King Rehoboam had other body-covers made of brass and gave them into the care of the captains of the armed men who were stationed at the door of the king's house.|Vua Rô-bô-am bèn làm những khiên bằng đồng thế cho, và giao nơi tay các quan chánh thị vệ canh giữ cửa của cung điện vua.
And whenever the king went into the house of the Lord, the armed men went with him taking the body-covers, and then took them back to their room.|Hễ khi nào vua vào trong đền của Đức Giê-hô-va, thì các quan thị vệ cầm khiên đến, đoạn đem nó lại vào phòng của quan thị vệ.
And when he made himself low, the wrath of the Lord was turned back from him, and complete destruction did not come on him, for there was still some good in Judah.|Khi vua hạ mình xuống, cơn giận của Đức Giê-hô-va lánh khỏi người, không diệt hết thảy; và lại trong Giu-đa còn có sự lành.
So King Rehoboam made himself strong in Jerusalem and was ruling there. Rehoboam was forty-one years old when he became king, and he was ruling for seventeen years in Jerusalem, the town which the Lord had made his out of all the tribes of Israel, to put his name there; and his mother's name was Naamah, an Ammonite woman.|Ay vậy vua Rô-bô-am làm cho mình ra bền vững trong Giê-ru-sa-lem và trị vì. Vả khi Rô-bô-am lên ngôi, tuổi đã bốn mươi mốt; người cai trị mười bảy năm tại Giê-ru-sa-lem, tức là thành mà Đức Giê-hô-va đã chọn trong các chi phái Y-sơ-ra-ên, đặng đặt danh Ngài tại đó; còn mẹ người tên là Na -a-ma, người đàn bà Am-môn.
And he did evil because his heart was not true to the Lord.|Rô-bô-am làm điều ác, vì không rắp lòng tìm cầu Đức Giê-hô-va.
Now the acts of Rehoboam, first and last, are they not recorded in the words of Shemaiah the prophet and Iddo the seer? And there were wars between Rehoboam and Jeroboam all their days.|Các công việc của Rô-bô-am từ đầu đến cuối, đều chép trong sách truyện của Sê-ma-gia, đấng tiên tri, trong sách Y-đô, đấng tiên kiến, luận về gia phổ. Rô-bô-am và Giê-rô-bô-am hằng đánh giặc với nhau luôn luôn.
And Rehoboam went to rest with his fathers, and was put into the earth in the town of David; and Abijah his son became king in his place.|Rô-bô-am an giấc cùng tổ phụ mình, được chôn trong thành Đa-vít; A-bi-gia, con trai người, cai trị thế cho người.

					II Chronicles 13				|
						II Sử Ký 13					
In the eighteenth year of King Jeroboam, Abijah became king over Judah.|Năm thứ mười tám đời vua Giê-rô-bô-am, A-bi-gia lên ngôi làm vua Giu-đa.
He was king in Jerusalem for three years; his mother's name was Maacah, the daughter of Uriel of Gibeah. And there was war between Abijah and Jeroboam.|Người cai trị ba năm tại Giê-ru-sa-lem; tên mẹ người là Mi-ca-gia, con gái của U-ri-ên ở Ghi-bê -a. A-bi-gia và Giê-rô-bô-am đánh giặc với nhau.
And Abijah went out to the fight with an army of men of war, four hundred thousand of his best men; and Jeroboam put his forces in line against him, eight hundred thousand of his best men of war.|A-bi-gia ra trận với một đạo chiến sĩ, bốn mươi vạn người kén chọn; còn Giê-rô-bô-am dàn trận đối với người, có tám mươi vạn người kén chọn, là lính chiến mạnh dạn.
And Abijah took up his position on Mount Zemaraim, in the hill-country of Ephraim, and said, Give ear to me, O Jeroboam and all Israel:|A-bi-gia đứng trên núi Xê-ma-ra-im trong miền núi Ep-ra-im, mà nói rằng: Hỡi Giê-rô-bô-am và cả Y-sơ-ra-ên, khá nghe!
