
					Psalms 1				|
How long is my soul to be in doubt, with sorrow in my heart all the day? how long will he who is against me be given power over me?|Tôi phải lo lắng nơi linh hồn tôi, Hằng ngày buồn thảm nơi lòng tôi cho đến bao giờ? Kẻ thù nghịch tôi sẽ trổi hơn tôi cho đến chừng nào?
Let my voice come before you, and give me an answer, O Lord my God; let your light be shining on me, so that the sleep of death may not overtake me;|Hỡi Giê-hô-va, Đức Chúa Trời tôi, xin hãy xem xét, nhậm lời tôi, Và làm cho mắt tôi được sáng, Kẻo tôi phải ngủ chết chăng.
And he who is against me may not say, I have overcome him; and those who are troubling me may not be glad when I am moved.|Kẻ thù nghịch nói rằng: Ta đã thắng hơn nó, Và kẻ cừu địch mừng rỡ khi tôi xiêu tó.
But I have had faith in your mercy; my heart will be glad in your salvation.|Nhưng tôi đã tin cậy nơi sự nhơn từ Chúa; Lòng tôi khoái lạc về sự cứu rỗi của Chúa.
I will make a song to the Lord, because he has given me my reward.|Tôi sẽ hát ngợi khen Đức Giê-hô-va, vì Ngài đã làm ơn cho tôi.

					Psalms 14				|
						Thánh Thi 14					
To the chief music-maker. Of David. The foolish man has said in his heart, God will not do anything. They are unclean, they have done evil works; there is not one who does good.|Kẻ ngu dại nói trong lòng rằng: chẳng có Đức Chúa Trời. Chúng nó đều bại hoại, đã làm những việc gớm ghiếc; Chẳng có ai làm đều lành.
The Lord was looking down from heaven on the children of men, to see if there were any who had wisdom, searching after God.|Đức Giê-hô-va từ trên trời ngó xuống các con loài người, Đặng xem thử có ai khôn ngoan, Tìm kiếm Đức Chúa Trời chăng.
They have all gone out of the way together; they are unclean, there is not one who does good, no, not one.|Chúng nó thay thảy đều bội nghịch, cùng nhau trở nên ô uế; chẳng có ai làm điều lành, Dầu một người cũng không.
Have all the workers of evil no knowledge? they take my people for food as they would take bread; they make no prayer to the Lord.|Các kẻ làm ác há chẳng hiểu biết sao? Chúng nó ăn nuốt dân ta khác nào ăn bánh, và cũng chẳng kề cầu khẩn Đức Giê-hô-va.
Then were they in great fear: for God is in the generation of the upright.|Chúng nó bị cơn kinh khiếp áp bắt, Vì Đức Chúa Trời ở giữa dòng dõi kẻ công bình.
You have put to shame the thoughts of the poor, but the Lord is his support.|Các ngươi làm bại mưu kẻ khốn cùng, Bởi vì Đức Giê-hô-va là nơi nương náu của người.
May the salvation of Israel come out of Zion! when the fate of his people is changed by the Lord, Jacob will have joy and Israel will be glad.|Oi! chớ chi từ Si-ôn sự cứu rỗi của Y-sơ-ra-ên đã đến! Khi Đức Giê-hô-va đem về những phu tù của dân sự Ngài, Thì Gia-cốp sẽ mừng rỡ và Y-sơ-ra-ên vui vẻ.

					Psalms 15				|
						Thánh Thi 15					
A Psalm. Of David. Lord, who may have a resting-place in your tent, a living-place on your holy hill?|Hỡi Đức Giê-hô-va, ai sẽ ngụ trong đền tạm Ngài? Ai sẽ ở trên núi thánh Ngài?
He who goes on his way uprightly, doing righteousness, and saying what is true in his heart;|Ay là kẻ đi theo sự ngay thẳng, làm điều công bình, Và nói chân thật trong lòng mình;
Whose tongue is not false, who does no evil to his friend, and does not take away the good name of his neighbour;|Kẻ nào có lưỡi không nói hành, Chẳng làm hại cho bạn hữu mình, Không gieo sỉ nhục cho kẻ lân cận mình;
Who gives honour to those who have the fear of the Lord, turning away from him who has not the Lord's approval. He who takes an oath against himself, and makes no change.|Người nào khinh dể kẻ gian ác, Nhưng tôn trọng kẻ kính sợ Đức Giê-hô-va; Kẻ nào thề nguyện, dầu phải tổn hại cũng không đổi dời gì hết;
He who does not put out his money at interest, or for payment give false decisions against men who have done no wrong. He who does these things will never be moved.|Người nào không cho vay tiền lấy lời, Chẳng lãnh hối lộ đặng hại người vô tội. Kẻ nào làm các điều ấy sẽ không hề rúng động.
