
					Genesis 1				|
For we are about to send destruction on this place, because a great outcry against them has come to the ears of the Lord; and the Lord has sent us to put an end to the town.|Chúng ta sẽ hủy diệt chỗ nầy, vì tiếng kêu oan về dân thành nầy đã thấu lên đến Đức Giê-hô-va, nên Ngài sai chúng ta xuống mà hủy diệt.
And Lot went out and said to his sons-in-law, who were married to his daughters, Come, let us go out of this place, for the Lord is about to send destruction on the town. But his sons-in-law did not take him seriously.|Lót bèn đi ra và nói cùng rể đã cưới con gái mình rằng: Hãy chổi dậy, đi ra khỏi chốn nầy, vì Đức Giê-hô-va sẽ hủy diệt thành. Nhưng các chàng rể tưởng người nói chơi.
And when morning came, the angels did all in their power to make Lot go, saying, Get up quickly and take your wife and your two daughters who are here, and go, for fear that you come to destruction in the punishment of the town.|Đến sáng, hai thiên sứ hối Lót và phán rằng: Hãy thức dậy, dẫn vợ và hai con gái ngươi đương ở đây ra, e khi ngươi cũng chết lây về việc hình phạt của thành nữa chăng.
But while he was waiting, the men took him and his wife and his daughters by the hand, for the Lord had mercy on them, and put them outside the town.|Nhưng Lót lần lữa; vì cớ Đức Giê-hô-va thương xót Lót, nên hai thiên sứ nắm lấy tai kéo người, vợ cùng hai con gái người, và dẫn ra khỏi thành.
And when they had put them out, he said, Go for your life, without looking back or waiting in the lowland; go quickly to the mountain or you will come to destruction.|Vả, khi hai thiên sứ dẫn họ ra khỏi rồi, một trong hai vì nói rằng: Hãy chạy trốn cứu lấy mạng, đừng ngó lại sau và cũng đừng dừng bước lại nơi nào ngoài đồng bằng; hãy chạy trốn lên núi, kẻo phải bỏ mình chăng.
And Lot said to them, Not so, O my Lord;|Lót đáp lại rằng: Lạy Chúa, không được!
See now, your servant has had grace in your eyes and great is your mercy in keeping my life from destruction, but I am not able to get as far as the mountain before evil overtakes me and death;|Nầy, tôi tớ đã được ơn trước mặt Chúa; Chúa đã tỏ lòng nhơn từ rất lớn cùng tôi mà cứu tròn sự sống tôi. Nhưng tôi chạy trốn lên núi không kịp trước khi tai nạn đến, thì tôi phải chết.
This town, now, is near, and it is a little one: O, let me go there (is it not a little one?) so that my life may be safe.|Kìa, thành kia đã nhỏ, lại cũng gần đặng tôi có thế ẩn mình. Oi! chớ chi Chúa cho tôi ẩn đó đặng cứu tròn sự sống tôi. Thành nầy há chẳng phải nhỏ sao?
And he said, See, I have given you your request in this one thing more: I will not send destruction on this town.|Thiên sứ phán rằng: Đây, ta ban ơn nầy cho ngươi nữa, sẽ không hủy diệt thành của ngươi đã nói đó đâu.
Go there quickly, for I am not able to do anything till you have come there. For this reason, the town was named Zoar.|Mau mau hãy lại ẩn đó, vì ta không làm chi được khi ngươi chưa vào đến nơi. Bởi cớ ấy, nên người ta gọi tên thành nầy là Xoa.
The sun was up when Lot came to Zoar.|Khi mặt trời mọc lên khỏi đất, thì Lót vào đến thành Xoa.
Then the Lord sent fire and flaming smoke raining down from heaven on Sodom and Gomorrah.|Đoạn, Đức Giê-hô-va giáng mưa diêm sanh và lửa từ nơi Ngài trên trời sa xuống Sô-đôm và Gô-mô-rơ,
And he sent destruction on those towns, with all the lowland and all the people of those towns and every green thing in the land.|hủy diệt hai thành nầy, cả đồng bằng, hết thảy dân sự cùng các cây cỏ ở nơi đất đó.
But Lot's wife, looking back, became a pillar of salt.|Nhưng vợ của Lót quay ngó lại đặng sau mình, nên hóa ra một tượng muối.
And Abraham got up early in the morning and went to the place where he had been talking with the Lord:|Ap-ra-ham dậy sớm, đi đến nơi mà người đã đứng chầu Đức Giê-hô-va,
And looking in the direction of Sodom and Gomorrah and the lowland, he saw the smoke of the land going up like the smoke of an oven.|ngó về hướng Sô-đôm và Gô-mô-rơ, cùng khắp xứ ở đồng bằng, thì thấy từ dưới đất bay lên một luồng khói, như khói của một lò lửa lớn.
So it came about that when God sent destruction on the towns of the lowland, he kept his word to Abraham, and sent Lot safely away when he put an end to the towns where he was living.|Vả, khi Đức Chúa Trời hủy diệt các thành nơi đồng bằng, tức là thành Lót ở, thì nhớ đến Ap-ra-ham, cứu Lót ra khỏi chốn phá tan đó.
Then Lot went up out of Zoar to the mountain, and was living there with his two daughters, for fear kept him from living in Zoar: and he and his daughters made their living-place in a hole in the rock.|Lót ở Xoa thì sợ hãi, nên cùng hai con gái mình bỏ đó mà lên núi, ở trong một hang đá kia.
And the older daughter said to her sister, Our father is old, and there is no man to be a husband to us in the natural way:|Cô lớn nói cùng em mình rằng: Cha ta đã già, mà không còn ai trên mặt đất đến sánh duyên cùng ta theo như thế thường thiên hạ.
Come, let us give our father much wine, and we will go into his bed, so that we may have offspring by our father,|Hè! chúng ta hãy phục rượu cho cha, và lại nằm cùng người, để lưu truyền dòng giống cha lại.
And that night they made their father take much wine; and the older daughter went into his bed; and he had no knowledge of when she went in or when she went away.|Đêm đó, hai nàng phục rượu cho cha mình; nàng lớn đến nằm cùng cha; nhưng người chẳng hay lúc nào nàng nằm, lúc nào nàng dậy hết.
And on the day after, the older daughter said to the younger, Last night I was with my father; let us make him take much wine this night again, and do you go to him, so that we may have offspring by our father.|Qua ngày mai, chị nói cùng em rằng: Nầy, đêm hôm qua ta đã nằm cùng cha rồi; hôm nay chúng ta hãy phục rượu cho cha nữa, rồi em hãy lại nằm cùng người, để lưu truyền dòng giống cha lại.
And that night again they made their father take much wine; and the younger daughter went into his bed; and he had no knowledge of when she went in or when she went away.|Đêm đó, hai nàng lại phục rượu cho cha mình nữa, rồi nàng nhỏ thức dậy lại nằm cùng cha; nhưng người chẳng hay lúc nào nàng nằm, lúc nào nàng dậy hết.
And so the two daughters of Lot were with child by their father.|Vậy, hai con gái của Lót do nơi cha mình mà thọ thai.
And the older daughter had a son, and she gave him the name Moab: he is the father of the Moabites to this day.|Nàng lớn sanh được một con trai, đặt tên là Mô-áp; ấy là tổ phụ của dân Mô-áp đến bây giờ.
And the younger had a son and gave him the name Ben-ammi: from him come the children of Ammon to this day.|Người em cũng sanh đặng một con trai, đặt trên là Bên-Am-mi; ấy là tổ phụ của dân Am-môn đến bây giờ.

					Genesis 20				|
						Sáng Thế 20					
And Abraham went on his way from there to the land of the South, and was living between Kadesh and Shur, in Gerar.|Ap-ra-ham từ đó đi đến miền Nam, kiều ngụ tại Ghê-ra, ở về giữa khoảng Ca-đe và Su-rơ.
And Abraham said of Sarah, his wife, She is my sister: and Abimelech, king of Gerar, sent and took Sarah.|Ap-ra-ham nói về Sa-ra, vợ mình rằng: Nó là em gái tôi. A-bi-mê-léc, vua Ghê-ra sai người bắt Sa-ra.
But God came to Abimelech in a dream in the night, and said to him, Truly you are a dead man because of the woman whom you have taken; for she is a man's wife.|Nhưng trong cơn chiêm bao ban đêm, Đức Chúa Trời hiện đến cùng vua A-bi-mê-léc mà phán rằng: Nầy, ngươi sẽ chết bởi cớ người đờn bà mà ngươi đã bắt đến; vì nàng có chồng rồi.
Now Abimelech had not come near her; and he said, Lord, will you put to death an upright nation?|Vả, vua A-bi-mê-léc chưa đến gần người đó, nên thưa rằng: Lạy Chúa, Chúa há sẽ hủy diệt cả một dân công bình chăng?
Did he not say to me himself, She is my sister? and she herself said, He is my brother: with an upright heart and clean hands have I done this.|Người đó há chẳng nói với tôi rằng: ấy là em gái tôi chăng? và chánh người nữ há chẳng nói rằng: ấy là anh tôi sao? Tôi làm sự nầy bởi lòng ngay thẳng và tay thanh khiết của tôi.
And God said to him in the dream, I see that you have done this with an upright heart, and I have kept you from sinning against me: for this reason I did not let you come near her.|Trong cơn chiêm bao, Đức Chúa Trời phán nữa rằng: Ta cũng biết ngươi vì lòng ngay thẳng mà làm điều đó; bởi cớ ấy, ta mới ngăn trở ngươi phạm tội cùng ta, và không cho động đến người đó.
So now, give the man back his wife, for he is a prophet, and let him say a prayer for you, so your life may be safe: but if you do not give her back, be certain that death will come to you and all your house.|Bây giờ, hãy giao đờn bà đó lại cho chồng nó, vì chồng nó là một đấng tiên tri, sẽ cầu nguyện cho ngươi, thì ngươi mới được sống. Còn như không giao lại, thì phải biết rằng ngươi và hết thảy ai thuộc về ngươi quả hẳn sẽ chết.
So Abimelech got up early in the morning and sent for all his servants and gave them word of these things, and they were full of fear.|Vua A-bi-mê-léc dậy sớm, đòi các tôi tớ mình đến, thuật lại hết mọi lời, thì họ lấy làm kinh ngạc.
Then Abimelech sent for Abraham, and said, What have you done to us? what wrong have I done you that you have put on me and on my kingdom so great a sin? You have done to me things which are not to be done.|Rồi, A-bi-mê-léc đòi Ap-ra-ham mà nói rằng: Ngươi đã làm gì cho ta vậy? Ta có làm điều chi mất lòng chăng mà ngươi làm cho ta và cả nước phải bị một việc phạm tội lớn dường nầy? Đối cùng ta, ngươi đã làm những việc không nên làm đó.
And Abimelech said to Abraham, Why did you do this thing?|Vua A-bi-mê-léc lại nói cùng Ap-ra-ham rằng: Ngươi có ý gì mà làm như vậy?
And Abraham said, Because it seemed to me that there was no fear of God in this place, and that they might put me to death because of my wife.|Ap-ra-ham đáp: Tôi tự nghĩ rằng: Trong xứ nầy thật không có ai kính sợ Đức Chúa Trời, thì họ sẽ vì cớ vợ tôi mà giết tôi chăng.
And, in fact, she is my sister, the daughter of my father, but not the daughter of my mother; and she became my wife:|Nhưng nó cũng thật là em gái tôi, em một cha khác mẹ; và tôi cưới nó làm vợ.
And when God sent me wandering from my father's house, I said to her, Let this be the sign of your love for me; wherever we go, say of me, He is my brother.|Khi Đức Chúa Trời làm cho tôi phải lưu lạc xa nhà cha, thì tôi có nói với nàng rằng: Nầy là ơn của ngươi sẽ làm cho ta: Hễ chỗ nào chúng ta sẽ đi đến, hãy nói về ta: Ay là anh tôi.
Then Abimelech gave to Abraham sheep and oxen and men-servants and women-servants, and gave him back his wife Sarah.|Đoạn, vua A-bi-mê-léc đem chiên và bò, tôi trai cùng tớ gái cho Ap-ra-ham, và trả Sa-ra vợ người lại, mà phán rằng:
And Abimelech said, See, all my land is before you; take whatever place seems good to you.|Nầy, xứ ta sẵn dành cho ngươi; ngươi thích đâu thì ở đó.
And he said to Sarah, See, I have given to your brother a thousand bits of silver so that your wrong may be put right; now your honour is clear in the eyes of all.|Rồi vua phán cùng Sa-ra rằng: Đây, ta ban cho anh ngươi một ngàn miếng bạc; số tiền đó dùng cho ngươi như một bức màn che trước mắt về mọi việc đã xảy ra cùng ngươi; và mọi người đều sẽ cho ngươi là công bình.
Then Abraham made prayer to God, and God made Abimelech well again, and his wife and his women-servants, so that they had children.|Ap-ra-ham cầu xin Đức Chúa Trời, thì Ngài chữa bịnh cho vua A-bi-mê-léc, vợ cùng các con đòi người; vậy, họ đều có con.
For the Lord had kept all the women of the house of Abimelech from having children, because of Sarah, Abraham's wife.|Vả, lúc trước, vì vụ Sa-ra, vợ Ap-ra-ham, nên Đức Giê-hô-va làm cho cả nhà A-bi-mê-léc đều son sẻ.

					Genesis 21				|
						Sáng Thế 21					
And the Lord came to Sarah as he had said and did to her as he had undertaken.|Đức Giê-hô-va đến viếng Sa-ra, theo như lời Ngài đã phán, và làm cho nàng như lời Ngài đã nói.
And Sarah became with child, and gave Abraham a son when he was old, at the time named by God.|Sa-ra thọ thai, sanh một con trai cho Ap-ra-ham trong khi tuổi đã già, đúng kỳ Đức Chúa Trời đã định.
And Abraham gave to his son, to whom Sarah had given birth, the name Isaac.|Ap-ra-ham đặt tên đứa trai mà Sa-ra đã sanh cho mình là Y-sác.
And when his son Isaac was eight days old, Abraham made him undergo circumcision, as God had said to him.|Đúng tám ngày, Ap-ra-ham làm phép cắt bì cho Y-sác theo như lời Đức Chúa Trời đã phán dặn.
Now Abraham was a hundred years old when the birth of Isaac took place.|Vả, khi Y-sác ra đời, thì Ap-ra-ham đã được một trăm tuổi.
And Sarah said, God has given me cause for laughing, and everyone who has news of it will be laughing with me.|Sa-ra nói rằng: Đức Chúa Trời làm cho tôi một việc vui cười; hết thảy ai hay được cũng sẽ vui cười về sự của tôi.
And she said, Who would have said to Abraham that Sarah would have a child at her breast? for see, I have given him a son now when he is old.|Lại nói rằng: Há ai dám nói với Ap-ra-ham rằng Sa-ra sẽ cho con bú ư? vì tôi đã sanh một đứa trai trong lúc người già yếu rồi.
And when the child was old enough to be taken from the breast, Abraham made a great feast.|Đứa trẻ lớn lên, thì thôi bú. Chánh ngày Y-sác thôi bú, Ap-ra-ham bày một tiệc lớn ăn mừng.
And Sarah saw the son of Hagar the Egyptian playing with Isaac.|Sa-ra thấy đứa trai của A-ga, người Ê-díp-tô, đã sanh cho Ap-ra-ham, cười cợt,
So she said to Abraham, Send away that woman and her son: for the son of that woman is not to have a part in the heritage with my son Isaac.|thì người nói với Ap-ra-ham rằng: Hãy đuổi con đòi với con nó đi đi, vì đứa trai của con đòi nầy sẽ chẳng được kế nghiệp cùng con trai tôi là Y-sác đâu.
And this was a great grief to Abraham because of his son.|Lời nầy lấy làm buồn lòng Ap-ra-ham lắm, vì cớ con trai mình.
But God said, Let it not be a grief to you because of the boy and Hagar his mother; give ear to whatever Sarah says to you, because it is from Isaac that your seed will take its name.|Nhưng Đức Chúa Trời phán cùng Ap-ra-ham rằng: Ngươi chớ buồn bực vì con trai và con đòi ngươi. Sa-ra nói thể nào, hãy nghe theo tiếng người nói; vì do nơi Y-sác sẽ sanh ra dòng dõi lưu danh ngươi.
And I will make a nation of the son of your servant-woman, because he is your seed.|Ta cũng sẽ làm cho đứa trai của con đòi trở nên một dân, vì nó cũng do một nơi ngươi mà ra.
And early in the morning Abraham got up, and gave Hagar some bread and a water-skin, and put the boy on her back, and sent her away: and she went, wandering in the waste land of Beer-sheba.|Ap-ra-ham dậy sớm, lấy bánh và một bầu nước, đưa cho A-ga; để các món đó trên vai nàng, và giao đứa trai cho nàng, rồi đuổi đi. Nàng ra đi, đi dông dài trong đồng vắng Bê -e-Sê-ba.
And when all the water in the skin was used up, she put the child down under a tree.|Khi nước trong bầu đã hết, nàng để đứa trẻ dưới một cội cây nhỏ kia,
And she went some distance away, about an arrow flight, and seating herself on the earth, she gave way to bitter weeping, saying, Let me not see the death of my child.|đi ngồi đối diện cách xa xa dài chừng một khoảng tên bắn; vì nói rằng: Oi! tôi nỡ nào thấy đứa trẻ phải chết! Nàng ngồi đối diện đó, cất tiếng la khóc.
And the boy's cry came to the ears of God; and the angel of God said to Hagar from heaven, Hagar, why are you weeping? have no fear, for the child's cry has come to the ears of God.|Đức Chúa Trời nghe tiếng đứa trẻ khóc, thì thiên sứ của Đức Chúa Trời từ trên trời kêu nàng A-ga mà phán rằng: Hỡi A-ga! Ngươi có điều gì vậy? Chớ sợ chi, vì Đức Chúa Trời đã nghe tiếng đứa trẻ ở đâu đó rồi.
Come, take your child in your arms, for I will make of him a great nation.|Hãy đứng dậy đỡ lấy đứa trẻ và giơ tay nắm nó, vì ta sẽ làm cho nó nên một dân lớn.
Then God made her eyes open, and she saw a water-spring, and she got water in the skin and gave the boy a drink.|Đoạn, Đức Chúa Trời mở mắt nàng ra; nàng bèn thấy một cái giếng nước, và đi lại múc đầy bầu cho đứa trẻ uống.
And God was with the boy, and he became tall and strong, and he became a bowman, living in the waste land.|Đức Chúa Trời vùa giúp đứa trẻ; nó lớn lên, ở trong đồng vắng, có tài bắn cung.
And while he was in the waste land of Paran, his mother got him a wife from the land of Egypt.|Nó ở tại trong đồng vắng Pha-ran; mẹ cưới cho nó một người vợ quê ở xứ Ê-díp-tô.
Now at that time, Abimelech and Phicol, the captain of his army, said to Abraham, I see that God is with you in all you do.|Về thuở đó, vua A-bi-mê-léc và Phi-côn, quan tổng binh mình, nói cùng Ap-ra-ham rằng: Đức Chúa Trời vùa giúp ngươi trong mọi việc ngươi làm.
Now, then, give me your oath, in the name of God, that you will not be false to me or to my sons after me, but that as I have been good to you, so you will be to me and to this land where you have been living.|Vậy bây giờ, hãy chỉ danh Đức Chúa Trời mà thề rằng: Ngươi sẽ chẳng gạt ta, con ta cùng dòng giống ta. Nhưng ngươi sẽ đãi ta và xứ ngươi đương trú ngụ, một lòng tử tế như ta đã đãi ngươi vậy.
And Abraham said, I will give you my oath.|Ap-ra-ham đáp rằng: Tôi xin thề.
But Abraham made a protest to Abimelech because of a water-hole which Abimelech's servants had taken by force.|Ap-ra-ham phàn nàn cùng vua A-bi-mê-léc về vụ một giếng kia bị đầy tớ người chiếm đoạt.
But Abimelech said, I have no idea who has done this thing; you never gave me word of it, and I had no knowledge of it till this day.|Vua A-bi-mê-léc bèn nói rằng: Ta chẳng hay ai đã làm nên nông nổi đó; chính ngươi chẳng cho ta hay trước; ngày nay ta mới rõ đây mà thôi.
And Abraham took sheep and oxen and gave them to Abimelech, and the two of them made an agreement together.|Đoạn, Ap-ra-ham bắt chiên và bò, dâng cho vua A-bi-mê-léc; rồi hai người kết ước cùng nhau.
And Abraham put seven young lambs of the flock on one side by themselves.|Ap-ra-ham lựa để riêng ra bảy con chiên tơ trong bầy;
Then Abimelech said, What are these seven lambs which you have put on one side?|thì vua A-bi-mê-léc hỏi rằng: Làm chi để bảy con chiên tơ đó riêng ra vậy?
And he said, Take these seven lambs from me as a witness that I have made this water-hole.|Đáp rằng: Xin vua hãy nhận lấy bảy con chiên tơ nầy mà chánh tay tôi dâng cho, đặng làm chứng rằng tôi đã đào cái giếng nầy.
So he gave that place the name Beer-sheba, because there the two of them had given their oaths.|Bởi cớ ấy, nên họ đặt tên chỗ nầy là Bê -e-Sê-ba; vì tại đó hai người đều đã thề nguyện cùng nhau.
So they made an agreement at Beer-sheba, and Abimelech and Phicol, the captain of his army, went back to the land of the Philistines.|Vậy, hai người kết ước cùng nhau tại Bê -e-Sê-ba. Đoạn vua A-bi-mê-léc cùng quan tổng binh Phi-côn đứng dậy, trở về xứ Phi-li-tin.
And Abraham, after planting a holy tree in Beer-sheba, gave worship to the name of the Lord, the Eternal God.|Ap-ra-ham trồng một cây me tại Bê -e-Sê-ba, và ở đó người cầu khẩn danh Đức Giê-hô-va, là Đức Chúa Trời hằng-hữu.
And Abraham went on living in the land of the Philistines as in a strange country.|Ap-ra-ham trú ngụ lâu ngày tại xứ Phi-li-tin.

					Genesis 22				|
						Sáng Thế 22					
Now after these things, God put Abraham to the test, and said to him, Abraham; and he said, Here am I.|Khi mọi việc kia đã xong, thì Đức Chúa Trời thử Ap-ra-ham; Ngài phán rằng: Hỡi Ap-ra-ham! Người thưa rằng: Có tôi đây.
And he said to him, Take your son, your dearly loved only son Isaac, and go to the land of Moriah and give him as a burned offering on one of the mountains of which I will give you knowledge.|Đức Chúa Trời phán rằng: Hãy bắt đứa con một ngươi yêu dấu, là Y-sác, và đi đến xứ Mô-ri -a, nơi đó dâng đứa con làm của lễ thiêu ở trên một hòn núi kia mà ta sẽ chỉ cho.
And Abraham got up early in the morning, and made ready his ass, and took with him two of his young men and Isaac, his son, and after the wood for the burned offering had been cut, he went on his way to the place of which God had given him word.|Ap-ra-ham dậy sớm, thắng lừa, đem hai đầy tớ và con mình, là Y-sác, cùng đi; người cũng chặt củi để dùng về của lễ thiêu, rồi đi đến nơi mà Đức Chúa Trời đã truyền dạy.
And on the third day, Abraham, lifting up his eyes, saw the place a long way off.|Qua đến ngày thứ ba, Ap-ra-ham nhướng mắt lên thấy nơi đó ở lối đằng xa,
Then he said to his young men, Keep here with the ass; and I and the boy will go on and give worship and come back again to you.|thì nói cùng hai kẻ đầy tớ rằng: Hãy ở lại đây với con lừa; ta cùng đứa trẻ sẽ đi đến chốn kia đặng thờ phượng, rồi sẽ trở lại với hai ngươi.
And Abraham put the wood for the burned offering on his son's back, and he himself took the fire and the knife in his hand, and the two of them went on together.|Ap-ra-ham lấy củi về của lễ thiêu, chất trên Y-sác, con mình; rồi người cầm lửa và dao trong tay, và cả hai cha con đồng đi.
Then Isaac said to Abraham, My father; and he said, Here am I, my son. And he said, We have wood and fire here, but where is the lamb for the burned offering?|Y-sác bèn nói cùng Ap-ra-ham, cha mình rằng: Hỡi Cha! Người đáp: Con ơi! cha đây. Y-sác nói: Củi đây, lửa đây, nhưng chiên con đây có đặng làm của lễ thiêu?
And Abraham said, God himself will give the lamb for the burned offering: so they went on together.|Ap-ra-ham rằng: Con ơi! chính Đức Chúa Trời sẽ sắm sẵn lấy chiên con đặng dùng làm của lễ thiêu; rồi cả hai cha con cứ đồng đi.
And they came to the place of which God had given him knowledge; and there Abraham made the altar and put the wood in place on it, and having made tight the bands round Isaac his son, he put him on the wood on the altar.|Họ đến chốn Đức Chúa Trời đã phán dạy; tại đó, Ap-ra-ham lập bàn thờ, chất củi lên, trói Y-sác con mình lại, để lên đống củi trên bàn thờ.
And stretching out his hand, Abraham took the knife to put his son to death.|Ap-ra-ham bèn giơ tay ra cầm lấy dao đặng giết con mình.
But the voice of the angel of the Lord came from heaven, saying, Abraham, Abraham: and he said, Here am I.|Thiên sứ của Đức Giê-hô-va từ trên trời kêu xuống mà rằng: Hỡi Ap-ra-ham, Ap-ra-ham! Người thưa rằng: Có tôi đây.
And he said, Let not your hand be stretched out against the boy to do anything to him; for now I am certain that the fear of God is in your heart, because you have not kept back your son, your only son, from me.|Thiên sứ phán rằng: Đừng tra tay vào mình con trẻ và chớ làm chi hại đến nó; vì bây giờ ta biết rằng ngươi thật kính sợ Đức Chúa Trời, bởi cớ không tiếc với ta con ngươi, tức con một ngươi.
And lifting up his eyes, Abraham saw a sheep fixed by its horns in the brushwood: and Abraham took the sheep and made a burned offering of it in place of his son.|Ap-ra-ham nhướng mắt lên, xem thấy sau lưng một con chiên đực, sừng mắc trong bụi cây, bèn bắt con chiên đực đó dâng làm của lễ thiêu thay cho con mình.
And Abraham gave that place the name Yahweh-yireh: as it is said to this day, In the mountain the Lord is seen.|Ap-ra-ham gọi chỗ đó là Giê-hô-va Di-rê. Bởi cớ ấy, ngày nay có tục ngữ rằng: Trên núi của Đức Giê-hô-va sẽ có sắm sẵn.
And the voice of the angel of the Lord came to Abraham a second time from heaven,|Thiên sứ của Đức Giê-hô-va từ trên trời kêu Ap-ra-ham lần thứ nhì mà rằng:
Saying, I have taken an oath by my name, says the Lord, because you have done this and have not kept back from me your dearly loved only son,|Đức Giê-hô-va phán rằng: Vì ngươi đã làm điều đó, không tiếc con ngươi, tức con một ngươi, thì ta lấy chánh mình ta mà thề rằng:
That I will certainly give you my blessing, and your seed will be increased like the stars of heaven and the sand by the seaside; your seed will take the land of those who are against them;|sẽ ban phước cho ngươi, thêm dòng dõi ngươi nhiều như sao trên trời, đông như cát bờ biển, và dòng dõi đó sẽ chiếm được cửa thành quân nghịch.
And your seed will be a blessing to all the nations of the earth, because you have done what I gave you orders to do.|Bởi vì ngươi đã vâng theo lời dặn ta, nên các dân thế gian đều sẽ nhờ dòng dõi ngươi mà được phước.
Then Abraham went back to his young men and they went together to Beer-sheba, the place where Abraham was living.|Đoạn Ap-ra-ham trở về nơi hai người đầy tớ; họ đứng dậy, đồng nhau đi về Bê -e-Sê-ba. Ap-ra-ham cứ ở tại Bê -e-Sê-ba.
After these things, Abraham had news that Milcah, the wife of his brother Nahor, had given birth to children;|Sau các việc đó, người ta thuật lại với Ap-ra-ham tin nầy rằng: Nầy, nàng Minh-ca cũng sanh con cho em ngươi, là Na-cô.
Uz the oldest, and Buz his brother, and Kemuel, the father of Aram,|Con trưởng nam là Ut-xơ, em trai là Bu-xơ, Kê-mu-ên, cha của A-ram;
And Chesed and Hazo and Pildash and Jidlaph and Bethuel.|Kê-sết, Ha-xô, Phin-đát, Díp-láp và Bê-tu-ên;
Bethuel was the father of Rebekah: these eight were the children of Milcah and Nahor, Abraham's brother.|Bê-tu-ên là người sanh Rê-be-ca. Minh-ca sanh tám người con trai đó cho Na-cô, em của Ap-ra-ham.
And his servant Reumah gave birth to Tebah and Gaham and Tahash and Maacah.|Còn người vợ nhỏ, tên là Rê -u-ma, cũng sanh con, là Tê-la, Ga-ham, Ta-hách và Ma -a-ca.

					Genesis 23				|
						Sáng Thế 23					
Now the years of Sarah's life were a hundred and twenty-seven.|Sa-ra hưởng thọ được một trăm hai mươi bảy tuổi. Ay là bao nhiêu năm của đời Sa-ra.
And Sarah's death took place in Kiriath-arba, that is, Hebron, in the land of Canaan: and Abraham went into his house, weeping and sorrowing for Sarah.|Sa-ra qua đời tại Ki-ri-át -A-ra-ba, tức là Hếp-rôn, thuộc về xứ Ca-na-an. Ap-ra-ham đến chịu tang cho Sa-ra và than khóc người.
And Abraham came from his dead and said to the children of Heth,|Đoạn, Ap-ra-ham đứng dậy trước người chết mình và nói cùng dân họ Hếch rằng:
I am living among you as one from a strange country: give me some land here as my property, so that I may put my dead to rest.|Ta là một khách kiều ngụ trong vòng các ngươi; xin hãy cho một nơi mộ địa trong xứ các ngươi, để chôn người thác của ta.
And in answer the children of Heth said to Abraham,|Dân họ Hếch đáp rằng:
My lord, truly you are a great chief among us; take the best of our resting-places for your dead; not one of us will keep back from you a place where you may put your dead to rest.|Lạy Chúa, xin hãy nghe chúng tôi: giữa chúng tôi, chúa tức là một quân trưởng của Đức Chúa Trời; hãy chôn người chết của chúa nơi mộ địa nào tốt hơn hết của chúng tôi. Trong bọn chúng tôi chẳng có ai tiếc mộ địa mình, đặng chôn người chết của chúa đâu.
And Abraham got up and gave honour to the children of Heth, the people of that land.|Ap-ra-ham bèn đứng dậy, sấp mình xuống trước mặt các dân của xứ, tức dân họ Hếch,
And he said to them, If you will let me put my dead to rest here, make a request for me to Ephron, the son of Zohar,|mà nói rằng: Nếu các ngươi bằng lòng cho chôn người chết ta, thì hãy nghe lời, và cầu xin Ep-rôn, con của Xô-ha giùm ta,
That he will give me the hollow in the rock named Machpelah, which is his property at the end of his field; let him give it to me for its full price as a resting-place for my dead among you.|đặng người nhượng cho ta hang đá Mặc-bê-la, ở về tận đầu đồng người, để lại cho đúng giá, hầu cho ta được trong vòng các ngươi một nơi mộ địa.
Now Ephron was seated among the children of Heth: and Ephron the Hittite gave Abraham his answer in the hearing of the children of Heth, and of all those who came into his town, saying,|Vả, Ep-rôn, người Hê-tít, đương ngồi trong bọn dân họ Hếch, đáp lại cùng Ap-ra-ham trước mặt dân họ Hếch vẫn nghe và trước mặt mọi người đến nơi cửa thành, mà rằng:
No, my lord, I will give you the field with the hollow in the rock; before all the children of my people will I give it to you for a resting-place for your dead.|Không, thưa chúa, hãy nghe lời tôi: Hiện trước mặt dân tôi, tôi xin dâng cho chúa cánh đồng, và cũng dâng luôn cái hang đá ở trong đó nữa; hãy chôn người chết của chúa đi.
And Abraham went down on his face before the people of the land.|Ap-ra-ham sấp mình xuống trước mặt dân của xứ,
And Abraham said to Ephron, in the hearing of the people of the land, If only you will give ear to me, I will give you the price of the field; take it, and let me put my dead to rest there.|và nói lại cùng Ep-rôn hiện trước mặt dân của xứ đương nghe, mà rằng: Xin hãy nghe, ta trả giá tiền cái đồng, hãy nhận lấy đi, thì ta mới chôn người chết ta,
So Ephron said to Abraham,|Ep-rôn đáp rằng:
My lord, give ear to me: the value of the land is four hundred shekels; what is that between me and you? so put your dead to rest there.|Thưa Chúa, hãy nghe lời tôi: một miếng đất giá đáng bốn trăm siếc-lơ bạc, mà tôi cùng chúa, thì có giá chi đâu? Xin hãy chôn người chết của chúa đi.
And Abraham took note of the price fixed by Ephron in the hearing of the children of Heth, and gave him four hundred shekels in current money.|Ap-ra-ham nghe theo lời Ep-rôn, trước mặt dân họ Hếch cân bốn trăm siếc-lơ bạc cho người, là bạc thông dụng nơi các tay buôn bán.
So Ephron's field at Machpelah near Mamre, with the hollow in the rock and all the trees in the field and round it,|Vậy, cái đồng của Ep-rôn, tại Mặc-bê-la, nằm ngang Mam-rê, nghĩa là cái đồng ruộng hang đá, các cây cối ở trong và chung quanh theo giới hạn đồng,
Became the property of Abraham before the eyes of the children of Heth and of all who came into the town.|đều trước mặt có các dân họ Hếch cùng mọi người đến cửa thành, nhận chắc cho Ap-ra-ham làm sản nghiệp.
