
					Leviticus 1				|
Then let him take to the Lord the offering for his wrongdoing; giving to the priest for his offering, a male sheep from the flock, without any mark, of the value fixed by you:|Tùy theo sự đánh giá của ngươi, người ấy phải bắt trong bầy một chiên đực không tì vít chi, dẫn đến thầy tế lễ mà dâng cho Đức Giê-hô-va đặng làm của lễ chuộc sự mắc lỗi mình;
And the priest will take away his sin from before the Lord, and he will have forgiveness for whatever crime he has done|thầy tế lễ sẽ làm lễ chuộc tội cho người trước mặt Đức Giê-hô-va, thì lỗi người sẽ được tha, bất luận lỗi nào người đã mắc.
And the Lord said to Moses,|Đức Giê-hô-va lại phán cùng Môi-se rằng:
Give orders to Aaron and to his sons, saying, This is the law for the burned offering: the offering is to be on the fire-wood on the altar all night till the morning; and the fire of the altar is to be kept burning.|Hãy truyền lịnh nầy cho A-rôn cùng các con trai người: Nầy là luật về của lễ thiêu: Của lễ thiêu phải ở trên đống lửa tại bàn thờ trọn đêm cho đến sáng mai, và lửa của bàn thờ giữ cho cháy luôn.
And the priest is to put on his linen robes and his linen trousers, and take up what is over of the offering after it has been burned on the altar, and put it by the side of the altar.|Thầy tế lễ sẽ mặc áo lá trong và quần bằng vải gai che thân mình, rồi hốt tro của lửa đã đốt của lễ thiêu trên bàn thờ, và đổ gần bên bàn thờ;
Then having taken off his linen robes and put on other clothing, he is to take it away into a clean place, outside the tent-circle.|đoạn cổi áo nầy, mặc áo khác, đem tro nầy ra ngoài trại quân, đổ trong một nơi tinh sạch.
The fire on the altar is to be kept burning; it is never to go out; every morning the priest is to put wood on it, placing the burned offering in order on it, and there the fat of the peace-offering is to be burned.|Lửa trên bàn thờ phải cháy luôn luôn, không nên tắt. Mỗi buổi sáng thầy tế lễ sẽ lấy củi chụm lửa thêm, sắp của lễ thiêu lên trên, và xông những mỡ về của lễ thù ân tại đó.
Let the fire be kept burning on the altar at all times; it is never to go out.|Lửa hằng cháy luôn luôn trên bàn thờ, chẳng nên tắt.
And this is the law for the meal offering: it is to be offered to the Lord before the altar by the sons of Aaron.|Đây là luật về của lễ chay: Các con trai A-rôn phải dâng của lễ nầy tại phía trước bàn thờ, trước mặt Đức Giê-hô-va.
The priest is to take in his hand some of the meal of the meal offering and of the oil of it, and all the perfume on it, burning it on the altar as a sign, for a sweet smell to the Lord.|Họ sẽ lấy một nắm bột lọc trong của lễ chay và dầu, cùng hết thảy nhũ hương ở trên, đem xông trên bàn thờ làm kỷ niệm về một của lễ có mùi thơm cho Đức Giê-hô-va.
And whatever is over Aaron and his sons may have for their food, taking it without leaven in a holy place; in the open space of the Tent of meeting they may take a meal of it.|Phần còn dư lại, A-rôn và các con trai người sẽ ăn không pha men, tại một nơi thánh, tức là ăn tại hành lang của hội mạc.
It is not to be cooked with leaven. I have given it to them as their part of the offerings made by fire to me; it is most holy, as are the sin-offerings and the offerings for error.|Họ không nên nấu bột đó với men; ấy là phần ta cho họ do trong các của lễ ta, dùng lửa dâng lên; thật là một vật chí thánh như của lễ chuộc tội và của lễ chuộc sự mắc lỗi.
Every male among the children of Aaron may have it for food; it is their right for ever through all your generations, from the offerings made by fire to the Lord: anyone touching them will be holy.|Phàm người nam trong vòng con cái A-rôn, sẽ ăn lấy; ấy là một luật lệ đời đời cho dòng dõi các ngươi về những của lễ dùng lửa dâng cho Đức Giê-hô-va: ai đụng đến những của lễ đó sẽ nên thánh.
And the Lord said to Moses,|Đức Giê-hô-va lại phán cùng Môi-se rằng:
This is the offering which Aaron and his sons are to make to the Lord on the day when he is made a priest: the tenth part of an ephah of the best meal for a meal offering for ever; half of it in the morning and half in the evening.|Nầy là của lễ A-rôn và các con trai người phải dâng cho Đức Giê-hô-va trong ngày họ chịu phép xức dầu: Một phần mười ê-pha bột lọc làm của lễ chay thường thường; sáng một phân nửa, chiều một phân nửa.
Let it be made with oil on a flat plate; when it is well mixed and cooked, let it be broken and taken in as a meal offering, for a sweet smell to the Lord.|Của lễ đó sẽ chiên sẵn trên chảo trộn với dầu; chín rồi, ngươi phải đem đến cắt ra từ miếng sẵn dâng lên có mùi thơm cho Đức Giê-hô-va.
And the same offering is to be given by that one of his sons who takes his place as priest; by an order for ever, all of it is to be burned before the Lord.|Con trai nào của A-rôn chịu xức dầu đặng thế cho người làm thầy tế lễ cũng phải dâng của lễ nầy. Ay là một luật lệ đời đời trước mặt Đức Giê-hô-va: họ phải xông hết trọn của lễ nầy.
Every meal offering offered for the priest is to be completely burned: nothing of it is to be taken for food.|Phàm của lễ chay của thầy tế lễ nào thì phải đốt hết, không nên ăn.
And the Lord said to Moses,|Đức Giê-hô-va lại phán cùng Môi-se rằng:
Say to Aaron and his sons, This is the law for the sin-offering: the sin-offering is to be put to death before the Lord in the same place as the burned offering; it is most holy.|Hãy truyền cho A-rôn và các con trai người rằng: Đây là luật về của lễ chuộc tội: Phải giết con sinh tế chuộc tội trước mặt Đức Giê-hô-va tại nơi người ta giết con sinh về của lễ thiêu; ấy là một vật chí thánh.
The priest by whom it is offered for sin, is to take it for his food in a holy place, in the open space of the Tent of meeting.|Thầy tế lễ đứng dâng con sinh tế chuộc tội, phải ăn thịt nó trong một nơi thánh, tức là trong hành lang của hội mạc.
Anyone touching the flesh of it will be holy: and if any of the blood is dropped on any clothing, the thing on which the blood has been dropped is to be washed in a holy place.|Hễ ai đụng đến thịt con sinh sẽ nên thánh, và nếu huyết nó văng trên áo nào, thì phải giặt áo đó trong một nơi thánh.
But the vessel of earth in which the flesh was cooked is to be broken; or if a brass vessel was used, it is to be rubbed clean and washed out with water.|Nồi đất dùng nấu thịt đó sẽ đập bể đi, nếu nồi nấu bằng đồng thì sẽ cạo và rửa nước cho sạch.
Every male among the priests may take it for his food: it is most holy.|Hễ người nam trong vòng những thầy tế lễ sẽ ăn thịt đó: ấy là một vật chí thánh.
No sin-offering, the blood of which is taken into the Tent of meeting, to take away sin in the holy place, may be used for food: it is to be burned with fire.|Nhưng chẳng nên ăn thịt con sinh tế chuộc tội có huyết nó đem vào hội mạc đặng làm lễ chuộc tội nơi đền thánh: hãy đốt nó đi.

					Leviticus 7				|
						Lê-vi 7					
And this is the law of the offering for wrongdoing: it is most holy.|Đây là luật lệ về của lễ chuộc sự mắc lỗi, ấy là một vật chí thánh:
They are to put to death the offering for wrongdoing in the same place as the burned offering; and the priest is to put the blood on and round the altar.|Trong nơi người ta giết con sinh dùng làm của lễ thiêu, thì hãy giết con sinh tế chuộc sự mắc lỗi, rồi rưới huyết ở chung quanh trên bàn thờ.
And all the fat of it, the fat tail and the fat covering the inside parts, is to be given as an offering.|Đoạn dâng hết thảy mỡ, đuôi và mỡ chài,
And the two kidneys, and the fat on them, which is by the top of the legs, and the fat joining the liver and the kidneys, he is to take away:|hai trái cật và mỡ hai trái cật nơi cạnh hông và tấm da mỏng bọc gan, gỡ gần nơi hai trái cật.
They are to be burned by the priest on the altar for an offering made by fire to the Lord: it is an offering for wrongdoing.|Thầy tế lễ sẽ xông hết trên bàn thờ làm của lễ dùng lửa dâng cho Đức Giê-hô-va: ấy là một của lễ chuộc sự mắc lối.
Every male among the priests may have it as food in a holy place: it is most holy.|Mọi người nam trong vòng những thầy tế lễ sẽ ăn thịt đó tại trong một nơi thánh; ấy là một vật chí thánh.
As is the sin-offering, so is the offering for wrongdoing; there is one law for them: the priest who makes the offering to take away sin, he is to have it.|Của lễ chuộc sự mắc lỗi cũng như của lễ chuộc tội, đồng một luật lệ nhau; con sinh sẽ thuộc về thầy tế lễ nào đã dùng nó làm lễ chuộc tội.
And the priest offering any man's burned offering for him, may have the skin of the burned offering which is offered by him.|Còn thầy tế lễ dâng của lễ thiêu cho ai, sẽ được miếng da của con sinh dùng làm của lễ thiêu đó.
And every meal offering which is cooked in the oven and everything made in a cooking pot or on a flat plate, is for the priest by whom it is offered.|Phàm của lễ chay nào, hoặc nấu trong lò, hoặc chiên trên chảo hay là nướng trên vĩ, thì thuộc về thầy tế lễ đã đứng dâng.
And every meal offering, mixed with oil or dry, is for all the sons of Aaron in equal measure.|Phàm của lễ chay, hoặc chế dầu, hoặc khô, phải cứ một mực phân cho các con trai A-rôn.
And this is the law for the peace-offerings offered to the Lord.|Đây là luật lệ về của lễ thù ân mà người ta phải dâng cho Đức Giê-hô-va.
If any man gives his offering as a praise-offering, then let him give with the offering, unleavened cakes mixed with oil and thin unleavened cakes covered with oil and cakes of the best meal well mixed with oil.|Nếu ai dâng của lễ đó đặng cảm tạ, thì phải dâng chung với của lễ thù ân những bánh nhỏ không pha men, chế dầu, bánh tráng không pha men thoa dầu, bột lọc trộn làm bánh nhỏ chế dầu;
With his peace-offering let him give cakes of leavened bread, as a praise-offering.|lại phải thêm bánh có pha men mà dâng với của lễ thù ân cảm tạ.
And let him give one out of every offering to be lifted up before the Lord; that it may be for the priest who puts the blood of the peace-offering on the altar.|Họ sẽ lấy một phần trong mỗi lễ vật làm của lễ chay giơ lên dâng cho Đức Giê-hô-va; của lễ đó sẽ thuộc về thầy tế lễ đã rưới huyết của con sinh tế thù ân.
And the flesh of the praise-offering is to be taken as food on the day when it is offered; no part of it may be kept till the morning.|Thịt của con sinh tế cảm tạ thù ân thì phải ăn hết nội ngày đã dâng lên, không nên để sót chi lại đến sáng mai.
But if his offering is made because of an oath or given freely, it may be taken as food on the day when it is offered; and the rest may be used up on the day after:|Nếu của lễ dâng về việc thường nguyện hay là lạc ý, thì phải ăn con sinh đó nội trong ngày đã dâng lên; còn dư lại thì ăn ngày mai.
But if any of the flesh of the offering is still unused on the third day, it is to be burned with fire.|Nhưng phần còn dư lại đến ngày thứ ba thì phải thiêu đi.
And if any of the flesh of the peace-offering is taken as food on the third day, it will not be pleasing to God and will not be put to the account of him who gives it; it will be unclean and a cause of sin to him who takes it as food.|Nếu ai ăn thịt của lễ thù ân trong ngày thứ ba, thì người nào dâng của lễ đó sẽ chẳng được nhậm và chẳng kể chi của lễ đó cho người nữa; ấy là một điều gớm ghê, ai ăn thịt đó sẽ mang lấy tội mình.
And flesh touched by any unclean thing may not be taken for food: it is to be burned with fire; and as for the flesh of the peace-offerings, everyone who is clean may take it as food:|Cũng chẳng nên ăn thịt đã đụng đến vật chi ô uế; phải thiêu đi. Còn thịt nào ăn được, ai tinh sạch mới nên ăn.
But he who is unclean when he takes as food the flesh of the peace-offerings, which are the Lord's, will be cut off from his people.|Ai đã bị ô uế, lại ăn thịt của lễ thù ân vẫn thuộc về Đức Giê-hô-va, thì sẽ bị truất khỏi dân sự mình.
And anyone who, after touching any unclean thing of man or an unclean beast or any unclean and disgusting thing, takes as food the flesh of the peace-offerings, which are the Lord's, will be cut off from his people.|Nếu ai đụng đến sự ô uế, hoặc của loài người, hoặc của loài vật hay là điều gì ghê gớm, mà lại ăn thịt của lễ thù ân vẫn thuộc về Đức Giê-hô-va, thì sẽ bị truất khỏi dân sự mình.
And the Lord said to Moses,|Đức Giê-hô-va lại phán cùng Môi-se rằng:
Say to the children of Israel: You are not to take any fat, of ox or sheep or goat, for food.|Hãy truyền cho dân Y-sơ-ra-ên rằng: Chẳng nên ăn một thứ mỡ nào của bò, chiên hay là dê.
And the fat of that which comes to a natural death, and the fat of that which is attacked by beasts, may be used for other purposes, but not in any way for food.|Mỡ của con thú nào chết hay là bị xé sẽ được dùng về mọi việc, nhưng các ngươi không nên ăn;
For anyone who takes as food the fat of any beast of which men make an offering by fire to the Lord, will be cut off from his people.|vì ai ăn mỡ của những thú người ta dùng lửa dâng cho Đức Giê-hô-va, sẽ bị truất khỏi dân sự mình.
And you are not to take for food any blood, of bird or of beast, in any of your houses.|Trong nơi nào các ngươi ở chẳng nên ăn huyết, hoặc của loài chim hay là của loài súc vật.
Whoever takes any blood for food will be cut off from his people.|Phàm ai ăn một thứ huyết nào sẽ bị truất khỏi dân sự mình.
And the Lord said to Moses,|Đức Giê-hô-va còn phán cùng Môi-se rằng:
Say to the children of Israel: He who makes a peace-offering to the Lord, is to give an offering to the Lord out of his peace-offering:|Hãy truyền cho dân Y-sơ-ra-ên rằng: Người nào dâng của lễ thù ân cho Đức Giê-hô-va, phải đem đến cho Ngài lễ vật do trong của lễ thù ân mình.
He himself is to take to the Lord the offering made by fire, even the fat with the breast, so that the breast may be waved for a wave offering before the Lord.|Chánh tay người sẽ đem phần phải dùng lửa dâng cho Đức Giê-hô-va; tức là mỡ và cái o, cái o để đặng dùng làm của lễ đưa qua đưa lại trước mặt Đức Giê-hô-va;
And the fat is to be burned by the priest on the altar, but the breast is for Aaron and his sons.|rồi thầy tế lễ sẽ xông mỡ trên bàn thờ, còn cái o thì thuộc về phần A-rôn và các con trai người.
And the right leg you are to give to the priest for an offering to be lifted up out of what is given for your peace-offerings.|Các ngươi cũng sẽ cho thầy tế lễ cái giò hữu về của lễ thù ân đặng làm của lễ giơ lên.
That man, among the sons of Aaron, by whom the blood of the peace-offering and the fat are offered, is to have the right leg for his part.|Còn ai trong vòng các con trai A-rôn dâng huyết và mỡ của con sinh tế thù ân, thì sẽ được phần cái giò hữu.
For the breast which is waved and the right leg which is lifted up on high I have taken from the children of Israel, from their peace-offerings, and have given them to Aaron the priest and to his sons as their right for ever from the children of Israel.|Vì trong những của lễ thù ân của dân Y-sơ-ra-ên ta lấy cái o mà họ đưa qua đưa lại trước mặt ta, và cái giò mà họ dâng giơ lên, đặng ban cho thầy tế lễ A-rôn và các con trai người, chiếu theo luật lệ đời đời mà dân Y-sơ-ra-ên phải giữ theo.
This is the holy part given to Aaron and to his sons, out of the offerings made to the Lord by fire, on the day when they were made priests before the Lord;|Ay là phần trong những của lễ dùng lửa dâng cho Đức Giê-hô-va mà phép xức dầu sẽ truyền cho A-rôn và các con trai người trong ngày nào lập họ làm chức tế lễ trước mặt Đức Giê-hô-va;
Which the Lord said the children of Israel were to give them, on the day when he made them his priests. It is their right for ever from generation to generation.|ấy là điều Đức Giê-hô-va đã phán dặn dân Y-sơ-ra-ên phải ban cho họ từ ngày họ chịu phép xức dầu. Ay là một luật lệ đời đời trải qua các thế đại.
These are the laws for the burned offering, the meal offering, and the offering for wrongdoing; and for the making of priests, and for the giving of peace-offerings;|Đó là luật về của lễ thiêu, về của lễ chay, về của lễ chuộc tội, về của lễ chuộc sự mắc lỗi, về của lễ phong chức và về của lễ thù ân,
As they were given by the Lord to Moses on Mount Sinai, on the day when the Lord gave orders to the children of Israel to make their offerings to the Lord, in the waste land of Sinai.|mà Đức Giê-hô-va đã truyền cho Môi-se tại trên núi Si-na -i khi Ngài dặn biểu dân Y-sơ-ra-ên dâng của lễ mình cho Đức Giê-hô-va trong đồng vắng Si-na -i.

					Leviticus 8				|
						Lê-vi 8					
And the Lord said to Moses,|Đức Giê-hô-va phán cùng Môi-se rằng:
Take Aaron, and his sons with him, and the robes and the holy oil and the ox of the sin-offering and the two male sheep and the basket of unleavened bread;|Hãy đem A-rôn cùng các con trai người, áo xống, dầu xức, con bò tơ làm của lễ chuộc tội, hai con chiên đực, và giỏ bánh không men;
And let all the people come together at the door of the Tent of meeting.|rồi nhóm hiệp cả hội chúng tại cửa hội mạc.
And Moses did as the Lord said, and all the people came together at the door of the Tent of meeting.|Môi-se bèn làm y như lời Đức Giê-hô-va phán dặn, hội chúng nhóm hiệp tại nơi cửa hội mạc.
And Moses said to the people, This is what the Lord has given orders to be done.|Môi-se nói cùng hội chúng rằng: Đây là các điều Đức Giê-hô-va đã phán dặn làm theo.
Then Moses took Aaron and his sons; and after washing them with water,|Đoạn, Môi-se biểu A-rôn và các con trai người lại gần, rồi lấy nước rửa họ.
He put the coat on him, making it tight with its band, and then the robe, and over it the ephod, with its band of needlework to keep it in place.|Người mặc áo lá trong cho A-rôn, cột đai lưng, mặc áo dài, mặc ê-phót và cột đai ê-phót.
And he put the priest's bag on him, and in the bag he put the Urim and Thummim.|Người cũng đeo bảng đeo ngực và gắn vào bảng u-rim và thu-mim,
And on his head he put the head-dress, and in front of the head-dress the plate of gold, the holy crown, as the Lord gave orders to Moses.|đội cái mão lên đầu, phía trước mão buộc thẻ vàng, tức là tràng thánh, y như lời Đức Giê-hô-va đã phán dặn Môi-se.
And Moses took the holy oil and put it on the House and on all the things in it, to make them holy.|Kế đó, Môi-se lấy dầu xức, xức cho đền tạm và các vật ở tại đó biệt riêng ra thánh,
Seven times he put oil on the altar and on all its vessels, and on the washing-basin and its base, to make them holy.|rảy dầu bảy lần trên bàn thờ và xức dầu cho bàn thờ cùng các đồ phụ tùng của bàn thờ, cái thùng và chân thùng, đặng biệt riêng ra thánh.
And some of the oil he put on Aaron's head, to make him holy.|Người cũng đổ dầu xức trên đầu A-rôn, xức cho người đặng biệt riêng ra thánh.
Then he took Aaron's sons, clothing them with the coats, and putting the bands round them, and the head-dresses on their heads, as the Lord had given him orders.|Đoạn, Môi-se biểu các con trai A-rôn lại gần, mặc áo lá trong cho, cột đai, đội mão lên đầu, y như Đức Giê-hô-va đã phán dặn Môi-se.
And he took the ox of the sin-offering: and Aaron and his sons put their hands on the head of the ox,|Người biểu đem con bò tơ dùng làm của lễ chuộc tội lại gần, A-rôn và các con trai người nhận tay mình trên đầu nó.
And he put it to death; and Moses took the blood and put it on the horns of the altar and round it with his finger, and made the altar clean, draining out the blood at the base of the altar; so he made it holy, taking away what was unclean.|Môi-se giết nó, lấy huyết, rồi dùng ngón tay bôi huyết trên chung quanh sừng của bàn thờ, làm cho bàn thờ nên thanh sạch; đoạn đổ huyết dưới chân bàn thờ; như vậy, người biệt bàn thờ riêng ra thánh, để làm lễ chuộc tội tại đó.
And he took all the fat on the inside parts, and the fat on the liver, and the two kidneys with their fat, to be burned on the altar;|Người lấy hết thảy mỡ chài, tấm da mỏng bọc gan, hai trái cật với mỡ của hai trái cật, rồi đem xông trên bàn thờ.
But the ox, with its skin and its flesh and its waste, was burned with fire outside the tent-circle, as the Lord gave orders to Moses.|Còn con bò, da, thịt và phẩn nó, thì người đem thiêu ở ngoài trại quân, y như Đức Giê-hô-va đã phán dặn Môi-se.
And he put the male sheep of the burned offering before the Lord, and Aaron and his sons put their hands on its head,|Người cũng biểu đem con chiên đực dùng làm của lễ thiêu lại gần, A-rôn và các con trai người nhận tay mình trên đầu nó;
And he put it to death; and Moses put some of the blood on and round the altar.|rồi Môi-se giết nó và rưới huyết chung quanh trên bàn thờ;
And when the sheep had been cut into parts, the head and the parts and the fat were burned by Moses.|đoạn sả thịt ra từ miếng, đem xông cái đầu, mấy miếng đó và mỡ.
And the inside parts and the legs were washed with water and all the sheep was burned by Moses on the altar; it was a burned offering for a sweet smell: it was an offering made by fire to the Lord, as the Lord gave orders to Moses.|Người lấy nước rửa bộ lòng và giò, rồi xông trọn con chiên đực trên bàn thờ; ấy là một của lễ thiêu có mùi thơm, tức một của lễ dùng lửa dâng cho Đức Giê-hô-va, y như Đức Giê-hô-va đã phán dặn Môi-se.
And he put the other sheep before the Lord, the sheep with which they were made priests; and Aaron and his sons put their hands on the head of the sheep,|Người cũng biểu đem con chiên đực thứ nhì lại gần, tức là con chiên đực về lễ phong chức; A-rôn và các con trai người nhận tay mình trên đầu con chiên đực đó.
And he put it to death; and Moses took some of the blood and put it on the point of Aaron's right ear and on the thumb of his right hand and on the great toe of his right foot.|Môi-se giết nó, lấy huyết bôi trên trái tai hữu của A-rôn, trên ngón cái của bàn tay mặt và trên ngón cái của bàn chân mặt.
Then he took Aaron's sons, and Moses put some of the blood on the point of their right ears and on the thumbs of their right hands and on the great toes of their right feet: and Moses put the blood on and round the altar.|Môi-se cũng biểu các con trai A-rôn đến gần, bôi huyết nơi trái tai hữu họ, trên ngón cái của bàn tay mặt và trên ngón cái của bàn chân mặt; đoạn, Môi-se rưới huyết chung quanh trên bàn thờ.
And he took the fat, and the fat tail, and the fat on the inside parts, and the fat on the liver, and the two kidneys with their fat, and the right leg;|Kế đó, người lấy mỡ, đuôi, hết thảy mỡ chài, tấm da mỏng bọc gan, hai trái cật với mỡ của hai trái cật và cái giò hữu;
And out of the basket of unleavened bread which was before the Lord he took one unleavened cake, and one cake of bread with oil on it, and one thin cake, and put them on the fat and on the right leg:|lại lấy trong giỏ bánh không men để trước mặt Đức Giê-hô-va, một cái bánh nhỏ không men, một cái bánh nhỏ có dầu, và một cái bánh tráng, để mấy bánh đó trên những mỡ và giò hữu,
And he put them all on the hands of Aaron and on the hands of his sons, waving them for a wave offering before the Lord.|đoạn để hết thảy trong tay A-rôn và tay các con trai người; họ đưa qua đưa lại trước mặt Đức Giê-hô-va.
And Moses took them from their hands, and they were burned on the altar on the burned offering, as a priest's offering for a sweet smell, an offering made by fire to the Lord.|Môi-se lấy các món đó khỏi tay họ, đem xông nơi bàn thờ tại trên của lễ thiêu; ấy là của lễ về sự phong chức có mùi thơm, tức là của lễ dùng lửa dâng cho Đức Giê-hô-va.
And Moses took the breast, waving it for a wave offering before the Lord; it was Moses' part of the sheep of the priest's offering, as the Lord gave orders to Moses.|Môi-se cũng lấy cái o của con chiên đực về lễ phong chức và đưa qua đưa lại trước mặt Đức Giê-hô-va; ấy là phần thuộc về Môi-se, y như Đức Giê-hô-va đã phán dặn người.
And Moses took some of the holy oil and of the blood which was on the altar and put it on Aaron and on his robes, and on his sons and on his sons' robes; and made Aaron holy, and his robes and his sons and his sons' robes with him.|Kế ấy, Môi-se lấy dầu xức và huyết trên bàn thờ rảy trên A-rôn và trên quần áo người, trên các con trai người và trên quần áo họ, biệt A-rôn và quần áo người, các con trai người và quần áo họ riêng ra thánh.
And Moses said to Aaron and to his sons, The flesh is to be cooked in water at the door of the Tent of meeting, and there you are to take it as food, together with the bread in the basket, as I have given orders, saying, It is the food of Aaron and his sons.|Đoạn, Môi-se nói cùng A-rôn và các con trai người rằng: Các người hãy nấu thịt tại cửa hội mạc, và ăn tại đó với bánh ở trong giỏ về lễ phong chức, y như ta đã phán dặn rằng: A-rôn và các con trai người sẽ ăn thịt đó.
And that which is over of the flesh and of the bread is to be burned with fire.|Nhưng các ngươi phải thiêu thịt và bánh còn dư lại.
And you are not to go out from the door of the Tent of meeting for seven days, till the days for making you priest are ended; for this will be the work of seven days.|Trong bảy ngày các ngươi không nên đi ra khỏi cửa hội mạc cho đến chừng nào những ngày phong chức mình được trọn rồi, vì việc phong chức các ngươi sẽ trải qua bảy ngày.
What has been done this day, has been ordered by the Lord to take away your sin.|Đức Giê-hô-va đã phán dặn làm y như hôm nay người ta đã làm, để làm lễ chuộc tội cho các ngươi.
And you are to keep watch for the Lord at the door of the Tent of meeting day and night for seven days, so that death may not come to you: for so he has given me orders.|Vậy, hãy ở trọn ngày cả đêm tại cửa hội mạc trong bảy bữa, gìn giữ mạng lịnh của Đức Giê-hô-va, hầu cho các ngươi khỏi thác, vì Ngài đã truyền dặn ta như vậy.
And Aaron and his sons did all the things about which the Lord had given orders through Moses.|A-rôn và các con trai người làm mọi điều y như Đức Giê-hô-va cậy Môi-se truyền dặn vậy.

					Leviticus 9				|
						Lê-vi 9					
And on the eighth day Moses sent for Aaron and his sons and the responsible men of Israel;|Qua ngày thứ tám, Môi-se gọi A-rôn và các con trai người cùng những trưởng lão của Y-sơ-ra-ên,
And he said to Aaron, Take a young ox for a sin-offering and a male sheep for a burned offering, without a mark, and make an offering of them before the Lord.|rồi dạy A-rôn rằng: Hãy bắt một con bò con đực đặng làm của lễ chuộc tội, một con chiên đực làm của lễ thiêu, đều không tì vít chi, và dâng lên trước mặt Đức Giê-hô-va.
And say to the children of Israel: Take a he-goat for a sin-offering, and a young ox and a lamb, in their first year, without any mark on them, for a burned offering;|Ngươi hãy nói cùng dân Y-sơ-ra-ên rằng: Các ngươi hãy bắt một con dê đực làm của lễ chuộc tội, một con bò con và một con chiên con không tì vít chi, một tuổi, đặng dùng làm của lễ thiêu,
And an ox and a male sheep for peace-offerings, to be put to death before the Lord; and a meal offering mixed with oil: for this day you are to see the Lord.|một con bò tơ, một con chiên đực đặng dùng làm của lễ thù ân, để dâng lên trước mặt Đức Giê-hô-va, và một của lễ chay chế dầu; vì ngày nay Đức Giê-hô-va sẽ hiện ra cùng các ngươi.
And they took the things ordered by Moses, before the Tent of meeting, and all the people came near, waiting before the Lord.|Vậy, họ dẫn đến trước hội mạc những vật Môi-se đã dặn biểu; rồi cả hội chúng đến gần đứng trước mặt Đức Giê-hô-va.
And Moses said, This is what the Lord has said you are to do; and you will see the glory of the Lord.|Môi-se nói rằng: Đây là các điều Đức Giê-hô-va phán dặn; hãy làm đi, thì sự vinh quang của Đức Giê-hô-va sẽ hiện ra cùng các ngươi.
And Moses said to Aaron, Come near to the altar and make your sin-offering and your burned offering to take away your sin and the sin of the people, and make the people's offering to take away their sin; as the Lord has given orders.|Đoạn, Môi-se nói cùng A-rôn rằng: Ngươi hãy đến gần bàn thờ dâng của lễ chuộc tội và của lễ thiêu của ngươi đi, để vì ngươi và vì dân sự làm lễ chuộc tội; lại cùng hãy dâng của lễ của dân sự và làm lễ chuộc tội cho họ, y như Đức Giê-hô-va đã phán dặn vậy.
So Aaron came near to the altar and put to death the ox for the sin-offering for himself;|A-rôn bèn lại gần bàn thờ, giết bò con đực dùng làm của lễ chuộc tội.
And the sons of Aaron gave him the blood and he put his finger in the blood and put it on the horns of the altar, draining out the blood at the base of the altar;|Các con trai người đem huyết đến; người nhúng ngón tay vào, bôi trên các sừng bàn thờ, rồi đổ huyết dưới chân bàn thờ.
But the fat and the kidneys and the fat on the liver of the sin-offering were burned by him on the altar as the Lord gave orders to Moses.|Người lấy đem xông trên bàn thờ mỡ, hai trái cật và tấm da mỏng bọc gan của con sinh tế chuộc tội, y như Đức Giê-hô-va đã phán dặn Môi-se.
And the flesh and the skin were burned with fire outside the tent-circle;|Còn thịt và da, người đem ra thiêu ngoài trại quân.
And he put to death the burned offering; and Aaron's sons gave him the blood and he put some of it on and round the altar;|Đoạn, người giết con sinh dùng làm của lễ thiêu. Các con trai A-rôn đem huyết đến, người rưới chung quanh trên bàn thờ.
And they gave him the parts of the burned offering, in their order, and the head, to be burned on the altar.|Họ cũng đem cho A-rôn thịt của lễ thiêu sả ra từ miếng và dầu, rồi người xông hết trên bàn thờ.
And the inside parts and the legs, when they had been washed with water, were burned on the burned offering on the altar.|Đoạn, người rửa bộ lòng và các giò, đem xông trên của lễ thiêu nơi bàn thờ.
And he made an offering for the people and took the goat of the sin-offering for the people and put it to death, offering it for sin, in the same way as the first.|Người cũng dâng của lễ của dân sự; bắt con dê đực dùng làm của lễ chuộc tội cho dân sự, giết nó và dâng lên đặng chuộc tội, y như của lễ đầu tiên;
And he took the burned offering, offering it in the ordered way;|lại người cũng dâng của lễ thiêu theo luật lệ đã định.
And he put the meal offering before the Lord, and taking some of it in his hand he had it burned on the altar, separately from the burned offering of the morning.|Kế đó, người dâng của lễ chay, trút đầy bụm tay mình đem xông trên bàn thờ, ngoại trừ của lễ thiêu hồi ban mai.
And he put to death the ox and the sheep, which were the peace-offerings for the people; and Aaron's sons gave him the blood and he put some of it on and round the altar;|Người cũng vì dân sự giết con bò tơ và con chiên đực làm của lễ thù ân. Các con trai A-rôn đem huyết đến, và người rưới chung quanh trên bàn thờ.
And as for the fat of the ox and the fat tail of the sheep and the fat covering the inside parts and the kidneys and the fat on the liver;|Họ cũng đem đến cho người mỡ của con bò tơ và con chiên đực, đuôi, mỡ trên bộ lòng, hai trái cật, và tấm da mỏng bọc gan;
They put the fat on the breasts, and the fat was burned on the altar.|để những mỡ nầy trên o, rồi xông mỡ nơi bàn thờ.
And Aaron took the breasts and the right leg, waving them for a wave offering before the Lord, as Moses gave orders.|Đoạn, A-rôn lấy cái o và giò hữu đưa qua đưa lại trước mặt Đức Giê-hô-va, y như Môi-se đã dặn biểu.
