
					Exodus 1				|
And the heart of Pharaoh was hard, and he did not let the people go, as the Lord had said by the mouth of Moses.|Vậy Pha-ra-ôn cứng lòng, không tha dân Y-sơ-ra-ên đi, y như lời Đức Giê-hô-va đã cậy Môi-se mà phán.

					Exodus 10				|
						Xuất Hành 10					
And the Lord said to Moses, Go in to Pharaoh: for I have made his heart and the hearts of his servants hard, so that I may let my signs be seen among them:|Đức Giê-hô-va phán cùng Môi-se rằng: Hãy đi đến Pha-ra-ôn, vì ta đã làm rắn lòng người và lòng quần thần, để làm cho các dấu lạ của ta tỏ ra giữa họ,
And so that you may be able to give to your son and to your son's son the story of my wonders in Egypt, and the signs which I have done among them; so that you may see that I am the Lord.|hầu cho ngươi thuật cùng con và cháu mình những công việc to tát ta đã làm trên dân Ê-díp-tô, các dấu lạ ta đã làm giữa vòng họ, đặng các ngươi biết rằng ta là Đức Giê-hô-va.
Then Moses and Aaron went in to Pharaoh, and said to him, This is what the Lord, the God of the Hebrews, says: How long will you be lifted up in your pride before me? let my people go so that they may give me worship.|Môi-se và A-rôn bèn đi đến Pha-ra-ôn mà tâu rằng: Giê-hô-va là Đức Chúa Trời dân Hê-bơ-rơ, có phán như vầy: Ngươi không chịu hạ mình trước mặt ta cho đến chừng nào? Hãy tha dân ta đi, để chúng nó hầu việc ta.
For if you will not let my people go, tomorrow I will send locusts into your land:|Nếu từ chối, không cho dân ta đi, nầy, ngày mai ta sẽ sai cào cào đến địa phận ngươi;
And the face of the earth will be covered with them, so that you will not be able to see the earth: and they will be the destruction of everything which up to now has not been damaged, everything which was not crushed by the ice-storm, and every tree still living in your fields.|nó sẽ phủ rợp trên mặt đất, người ta chẳng còn thấy đất nữa; nó sẽ cắn xả những vật chi còn lại, tức vật nào trận mưa đá còn chừa lại; nó cũng cắn xả những cây mọc ngoài đồng ruộng các ngươi,
And your houses will be full of them, and the houses of your servants and of all the Egyptians; it will be worse than anything your fathers have seen or their fathers, from the day when they were living on the earth till this day. And so he went out from Pharaoh.|vào đầy cung điện ngươi, dinh thất của quần thần ngươi, và nhà cửa của người Ê-díp-tô: ấy là một điều tổ phụ ngươi, đến nỗi thỉ tổ ngươi, cũng chẳng bao giờ thấy từ khi họ đã có trên mặt đất cho đến ngày nay. Đoạn, Môi-se xây mặt lui ra khỏi Pha-ra-ôn.
And Pharaoh's servants said to him, How long is this man to be the cause of evil to us? let the men go so that they may give worship to the Lord their God: are you not awake to Egypt's danger?|Quần thần Pha-ra-ôn tâu rằng: Đến chừng nào người nầy mới thôi gài bẫy ta? Hãy tha dân ấy đi, để chúng nó hầu việc Giê-hô-va Đức Chúa Trời chúng nó! Bệ hạ chưa biết rằng nước Ê-díp-tô đã bị nguy vong sao?
Then Moses and Aaron came in again before Pharaoh: and he said to them, Go and give worship to the Lord your God: but which of you are going?|Họ bèn truyền đòi Môi-se và A-rôn trở lại cùng Pha-ra-ôn; người nói rằng: Hãy đi hầu việc Giê-hô-va Đức Chúa Trời các ngươi. Hết thảy những ai là người phải đi?
And Moses said, We will go with our young and our old, with our sons and our daughters, with our flocks and our herds; for we are to keep a feast to the Lord.|Môi-se tâu rằng: Chúng tôi đi, sẽ đem nam phụ lão ấu và chiên bò theo, vì về phần chúng tôi, ấy là một lễ của Đức Giê-hô-va.
And he said to them, May the Lord be with you, if I will let you and your little ones go! take care, for your purpose clearly is evil.|Pha-ra-ôn nói rằng: Cầu xin Đức Giê-hô-va ở cùng các ngươi! Hồ dễ ta cho các ngươi cùng con cái đều đi sao! Không! quả thật không cho đâu, vì các ngươi có mưu ác!
Not so; but let your males go and give worship to the Lord, as your desire is. This he said, driving them out from before him.|Không được vậy đâu, chỉ các ngươi, là đàn ông, phải đi hầu việc Đức Giê-hô-va, vì là điều các ngươi đã xin. Đoạn, họ bèn đuổi Môi-se và A-rôn khỏi trước mặt Pha-ra-ôn.
And the Lord said to Moses, Let your hand be stretched out over the land of Egypt so that the locusts may come up on the land for the destruction of every green plant in the land, even everything untouched by the ice-storm.|Đức Giê-hô-va bèn phán cùng Môi-se rằng: Hãy giơ tay ngươi ra trên xứ Ê-díp-tô, đặng khiến cào cào tràn lên xứ đó, cắn xả rau cỏ và mọi vật chi trên đất mưa đá còn chừa lại.
And Moses' rod was stretched out over the land of Egypt, and the Lord sent an east wind over the land all that day and all the night; and in the morning the locusts came up with the east wind.|Vậy, Môi-se bèn giơ gậy mình ra trên xứ Ê-díp-tô, thì Đức Giê-hô-va dẫn ngọn gió đông thổi trên xứ sòng ngày và đêm đó; qua sáng mai gió đông đã dẫn cào cào đến.
And the locusts went up over all the land of Egypt, resting on every part of the land, in very great numbers; such an army of locusts had never been seen before, and never will be again.|Cào cào tràn lên khắp cả xứ Ê-díp-tô, và sa xuống trong địa hạt xứ ấy nhiều vô số. Trước kia chẳng bao giờ có bằng số đó, sau nầy cũng chẳng hề sẽ có bằng như vậy.
For all the face of the earth was covered with them, so that the land was black; and every green plant and all the fruit of the trees which was untouched by the ice-storm they took for food: not one green thing, no plant or tree, was to be seen in all the land of Egypt.|Cào cào bao phủ khắp mặt đất của cả xứ, và xứ thành ra tối tăm, cắn xả các rau cỏ ngoài đồng cùng trái cây mà mưa đá còn chừa lại; trong khắp xứ Ê-díp-tô chẳng còn chút xanh tươi chi cho cây cối hay là cho cỏ rau ở ngoài đồng ruộng nữa.
Then Pharaoh quickly sent for Moses and Aaron, and said, I have done evil against the Lord your God and against you.|Pha-ra-ôn vội đòi Môi-se và A-rôn đến mà phán rằng: Trẫm đã phạm tội cùng Giê-hô-va Đức Chúa Trời các ngươi, và cùng các ngươi nữa.
Let me now have forgiveness for my sin this time only, and make prayer to the Lord your God that he will take away from me this death only.|Nhưng bây giờ, xin xá tội cho trẫm lần nầy; và hãy cầu giùm Giê-hô-va Đức Chúa Trời các ngươi, hầu cho ít nữa Ngài khiến xa trẫm cái vạ chết nầy.
So he went out from Pharaoh and made prayer to the Lord.|Môi-se bèn lui ra khỏi Pha-ra-ôn, và khẩn nguyện Đức Giê-hô-va.
And the Lord sent a very strong west wind, which took up the locusts, driving them into the Red Sea; not one locust was to be seen in any part of Egypt.|Đức Giê-hô-va dẫn ngọn gió tây đến rất mạnh, đem cào cào đi đuổi xuống Biển đỏ; khắp địa hạt Ê-díp-tô chẳng còn một con cào cào nào.
But the Lord made Pharaoh's heart hard, and he did not let the children of Israel go.|Nhưng Đức Giê-hô-va làm cho Pha-ra-ôn cứng lòng: người chẳng tha dân Y-sơ-ra-ên đi.
And the Lord said to Moses, Let your hand be stretched out to heaven, and all the land of Egypt will be dark, so that men will be feeling their way about in the dark.|Đức Giê-hô-va bèn phán cùng Môi-se rằng: Hãy giơ tay ngươi lên trời, hầu cho trên xứ Ê-díp-tô có sự tối tăm dày đến nỗi người ta rờ đụng đến được.
And when Moses' hand was stretched out, dark night came over all the land of Egypt for three days;|Vậy, Môi-se giơ tay mình lên trời, bèn có sự tối tăm rất dày trong ba ngày tại xứ Ê-díp-tô;
They were not able to see one another, and no one got up from his place for three days: but where the children of Israel were living it was light.|trong ba ngày đó người ta không thấy nhau được, không ai nhớm khỏi chỗ mình được. Nhưng trong chốn dân Y-sơ-ra-ên ở thì có ánh sáng cho họ.
Then Pharaoh sent for Moses, and said, Go and give worship to the Lord; only let your flocks and your herds be kept here: your little ones may go with you.|Pha-ra-ôn bèn đòi Môi-se mà phán rằng: Hãy đi hầu việc Đức Giê-hô-va; con trẻ các ngươi đi theo nữa; chỉ bầy chiên và bò ở lại thôi.
But Moses said, You will have to let us take burned offerings to put before the Lord our God.|Nhưng Môi-se tâu rằng: Chính bệ hạ hãy cấp cho chúng tôi các con sinh và vật chi dùng làm của lễ thiêu để dâng cho Giê-hô-va Đức Chúa Trời chúng tôi.
So our cattle will have to go with us, not one may be kept back; for they are needed for the worship of the Lord our God; we have no knowledge what offering we have to give till we come to the place.|Các bầy lục súc sẽ theo chúng tôi nữa, không còn để lại một móng chân nào; vì chúng tôi sẽ dùng mấy con thú đó mà hầu việc Giê-hô-va Đức Chúa Trời chúng tôi. Chúng tôi biết vật chi dùng để thờ phượng Đức Giê-hô-va, chỉ khi nào sẽ đến nơi đó.
But the Lord made Pharaoh's heart hard, and he would not let them go.|Nhưng Đức Giê-hô-va làm cho Pha-ra-ôn cứng lòng, nên người không khứng cho dân Y-sơ-ra-ên đi.
And Pharaoh said to him, Go away from me, take care that you come not again before me; for the day when you see my face again will be your last.|Pha-ra-ôn nói rằng: Hãy lui ra khỏi ta cho rảnh! Khá giữ mình đừng thấy mặt ta nữa, vì ngày nào ngươi thấy mặt ta thì sẽ chết!
And Moses said, You say truly; I will not see your face again.|Môi-se bèn nói rằng: Bệ hạ nói phải lắm; tôi chẳng hề thấy mặt bệ hạ nữa đâu.

					Exodus 11				|
						Xuất Hành 11					
And the Lord said to Moses, I will send one more punishment on Pharaoh and on Egypt; after that he will let you go; and when he does let you go, he will not keep one of you back, but will send you out by force.|Vả, Đức Giê-hô-va có phán cùng Môi-se rằng: Ta sẽ giáng cho Pha-ra-ôn và xứ Ê-díp-tô một tai vạ nữa; đoạn, người sẽ tha các ngươi đi khỏi đây. Khi người định tha đi, thì sẽ đuổi các ngươi ra khỏi đây.
So go now and give orders to the people that every man and every woman is to get from his or her neighbour ornaments of silver and of gold.|Vậy, hãy nói cùng dân sự và dặn rằng mỗi người bất luận nam hay nữ phải xin kẻ lân cận mình những đồ bằng bạc và bằng vàng.
And the Lord gave the people grace in the eyes of the Egyptians. For the man Moses was highly honoured in the land of Egypt, by Pharaoh's servants and the people.|Đức Giê-hô-va làm cho dân sự được ơn trước mặt người Ê-díp-tô; Môi-se cũng là một người rất tôn trọng trong xứ Ê-díp-tô, trước mắt quần thần của Pha-ra-ôn và trước mắt dân ấy.
And Moses said, This is what the Lord says: About the middle of the night I will go out through Egypt:|Môi-se nói: Đức Giê-hô-va có phán như vầy: Chừng giữa đêm ta sẽ ra tuần hành xứ Ê-díp-tô.
And death will come to every mother's first male child in all the land of Egypt, from the child of Pharaoh on his seat of power, to the child of the servant-girl crushing the grain; and the first births of all the cattle.|Hết thảy con trưởng nam trong xứ Ê-díp-tô sẽ chết, từ thái tử của Pha-ra-ôn ngồi trên ngai mình, cho đến con cả của người đòi ở sau cối, và luôn mọi con đầu lòng của súc vật nữa.
And there will be a great cry through all the land of Egypt, such as never has been or will be again.|Trong cả xứ Ê-díp-tô sẽ có tiếng kêu la inh ỏi, cho đến đỗi chưa hề có, và cũng sẽ chẳng bao giờ có giống như vậy nữa.
But against the children of Israel, man or beast, not so much as the tongue of a dog will be moved: so that you may see how the Lord makes a division between Israel and the Egyptians.|Nhưng, trong cả dân Y-sơ-ra-ên dầu đến một con chó cũng sẽ chẳng sủa hoặc người, hoặc vật; hầu cho các ngươi biết rằng Đức Giê-hô-va phân biệt dân Y-sơ-ra-ên cùng người Ê-díp-tô là dường nào.
And all these your servants will come to me, going down on their faces before me and saying, Go out, and all your people with you: and after that I will go out. And he went away from Pharaoh burning with wrath.|Nầy, quần thần của bệ hạ sẽ xuống cùng tôi, sấp mình trước mặt tôi mà rằng: Ngươi và cả dân sự theo ngươi hãy đi đi! Đoạn, tôi sẽ đi ra. Môi-se bèn lui ra khỏi Pha-ra-ôn lấy làm giận lắm.
And the Lord said to Moses, Pharaoh will not give ear to you, so that my wonders may be increased in the land of Egypt.|Vả, Đức Giê-hô-va có phán cùng Môi-se rằng: Pha-ra-ôn chẳng khứng nghe ngươi đâu, hầu cho các dấu lạ ta thêm lên trong xứ Ê-díp-tô.
All these wonders Moses and Aaron did before Pharaoh: but the Lord made Pharaoh's heart hard, and he did not let the children of Israel go out of his land.|Môi-se và A-rôn bèn làm các dấu lạ trước mặt Pha-ra-ôn; nhưng Đức Giê-hô-va làm cho Pha-ra-ôn cứng lòng, nên người chẳng tha dân Y-sơ-ra-ên đi khỏi xứ mình.

					Exodus 12				|
						Xuất Hành 12					
And the Lord said to Moses and Aaron in the land of Egypt,|Tại xứ Ê-díp-tô, Đức Giê-hô-va phán cùng Môi-se rằng:
Let this month be to you the first of months, the first month of the year.|Tháng nầy định làm tháng đầu cho các ngươi, tức là tháng giêng trong quanh năm.
Say to all the children of Israel when they are come together, In the tenth day of this month every man is to take a lamb, by the number of their fathers' families, a lamb for every family:|Hãy nói cho toàn hội chúng Y-sơ-ra-ên rằng: Đến ngày mồng mười tháng nầy, mỗi gia trưởng tùy theo nhà mình phải bắt một con chiên con.
And if the lamb is more than enough for the family, let that family and its nearest neighbour have a lamb between them, taking into account the number of persons and how much food is needed for every man.|Nếu nhà ít người quá ăn không hết một chiên con, hãy chung cùng người rất lân cận mình, tùy theo số người; và hãy tính cho mỗi chiên con tùy sức người ăn hết.
Let your lamb be without a mark, a male in its first year: you may take it from among the sheep or the goats:|Các ngươi hãy bắt hoặc trong bầy chiên, hoặc trong bầy dê, chiên con đực hay là dê con đực, tuổi giáp niên, chẳng tì vít chi,
Keep it till the fourteenth day of the same month, when everyone who is of the children of Israel is to put it to death between sundown and dark.|đoạn để dành cho đến ngày mười bốn tháng nầy; rồi cả hội chúng Y-sơ-ra-ên sẽ giết nó, vào lối chiều tối.
Then take some of the blood and put it on the two sides of the door and over the door of the house where the meal is to be taken.|Họ sẽ lấy huyết đem bôi trên hai cây cột và mày cửa của nhà nào ăn thịt chiên con đó.
And let your food that night be the flesh of the lamb, cooked with fire in the oven, together with unleavened bread and bitter-tasting plants.|Đêm ấy họ sẽ ăn thịt chiên quay với bánh không men và rau đắng.
Do not take it uncooked or cooked with boiling water, but let it be cooked in the oven; its head with its legs and its inside parts.|Chớ ăn thịt nửa chín nửa sống hay là luộc trong nước, nhưng phải quay trên lửa cả và đầu, giò, với bộ lòng.
Do not keep any of it till the morning; anything which is not used is to be burned with fire.|Các ngươi chớ để chi còn lại đến sáng mai; nếu còn lại, hãy thiêu đi.
And take your meal dressed as if for a journey, with your shoes on your feet and your sticks in your hands: take it quickly: it is the Lord's Passover.|Vậy, ăn thịt đó, phải như vầy: Dây lưng cột, chân mang giày, tay cầm gậy, ăn hối hả; ấy là lễ Vượt-qua của Đức Giê-hô-va.
For on that night I will go through the land of Egypt, sending death on every first male child, of man and of beast, and judging all the gods of Egypt: I am the Lord.|Đêm đó ta sẽ đi qua xứ Ê-díp-tô, hành hại mọi con đầu lòng xứ Ê-díp-tô, từ người ta cho đến súc vật; ta sẽ xét đoán các thần của xứ Ê-díp-tô; ta là Đức Giê-hô-va.
And the blood will be a sign on the houses where you are: when I see the blood I will go over you, and no evil will come on you for your destruction, when my hand is on the land of Egypt.|Huyết bôi trên nhà các ngươi ở, sẽ dùng làm dấu hiệu; khi ta hành hại xứ Ê-díp-tô, thấy huyết đó, thì sẽ vượt qua, chẳng có tai nạn hủy diệt các ngươi.
And this day is to be kept in your memories: you are to keep it as a feast to the Lord through all your generations, as an order for ever.|Các ngươi hãy ghi ngày đó làm kỷ niệm; trải các đời hãy giữ làm một lễ cho Đức Giê-hô-va, tức là một lễ lập ra đời đời.
For seven days let your food be unleavened bread; from the first day no leaven is to be seen in your houses: whoever takes bread with leaven in it, from the first till the seventh day, will be cut off from Israel.|Trong bảy ngày phải ăn bánh không men: vừa đến ngày thứ nhất, hãy dẹp men khỏi nhà đi; vì hễ ai ăn bánh có men từ ngày thứ nhất cho đến ngày thứ bảy, thì sẽ bị truất ra khỏi Y-sơ-ra-ên.
And on the first day there is to be a holy meeting and on the seventh day a holy meeting; no sort of work may be done on those days but only to make ready what is necessary for everyone's food.|Ngày thứ nhất, sẽ có một sự nhóm hiệp thánh; qua ngày thứ bảy các ngươi cũng sẽ có một sự nhóm hiệp thánh nữa. Trong mấy ngày đó chẳng nên làm công việc chi, chỉ lo sắm đồ ăn cho mỗi người cần ăn mà thôi.
So keep the feast of unleavened bread; for on this very day I have taken your armies out of the land of Egypt: this day, then, is to be kept through all your generations by an order for ever.|Vậy, các ngươi hãy giữ lễ bánh không men, vì chánh ngày đó ta rút quân đội các ngươi ra khỏi xứ Ê-díp-tô; nên chi, trải các đời phải giữ ngày đó như một lễ lập ra đời đời.
In the first month, from the evening of the fourteenth day, let your food be unleavened bread till the evening of the twenty-first day of the month.|Ngày mười bốn tháng giêng, chiều lại, các ngươi sẽ ăn bánh không men cho đến chiều ngày hai mươi mốt tháng đó.
For seven days no leaven is to be seen in your houses: for whoever takes bread which is leavened will be cut off from the people of Israel, if he is from another country or if he is an Israelite by birth.|Trong bảy ngày không nên còn thấy men tại nhà các ngươi; vì bất luận người ngoại bang hay là người bổn xứ, hễ ai ăn bánh có men sẽ bị truất khỏi hội chúng Y-sơ-ra-ên.
Take nothing which has leaven in it; wherever you are living let your food be unleavened cakes.|Chớ nên ăn bánh có men; khắp nơi các ngươi ở đều phải ăn bánh không men.
Then Moses sent for the chiefs of Israel, and said to them, See that lambs are marked out for yourselves and your families, and let the Passover lamb be put to death.|Vậy, Môi-se nhóm lại các trưởng lão Y-sơ-ra-ên mà nói rằng: Hãy đi bắt một con trong bầy cho mọi nhà các ngươi, và giết nó làm lễ Vượt-qua.
And take some hyssop and put it in the blood in the basin, touching the two sides and the top of the doorway with the blood from the basin; and let not one of you go out of his house till the morning.|Rồi hãy lấy một chùm kinh giới nhúng vào huyết trong chậu, bôi lên mây và hai cây cột cửa, đoạn, trong các ngươi chớ ai ra khỏi cửa nhà mình cho đến sáng mai.
For the Lord will go through the land, sending death on the Egyptians; and when he sees the blood on the two sides and the top of the door, the Lord will go over your door and will not let death come in for your destruction.|Đức Giê-hô-va sẽ đi qua đặng hành hại xứ Ê-díp-tô; khi thấy huyết nơi mày và hai cây cột cửa, Ngài sẽ vượt qua, không cho kẻ tiêu diệt vào nhà các ngươi đặng hành hại.
And you are to keep this as an order to you and to your sons for ever.|Hãy giữ lễ nầy như một lệ lập ra đời đời cho các ngươi và con cháu các ngươi.
And when you come into the land which the Lord will make yours, as he gave his word, you are to keep this act of worship.|Khi nào các ngươi vào xứ mà Đức Giê-hô-va sẽ ban cho, như lời Ngài đã phán, thì hãy giữ lễ nầy.
And when your children say to you, What is the reason of this act of worship?|Khi con cháu các ngươi hỏi rằng: Lễ nầy là nghĩa chi?
Then you will say, This is the offering of the Lord's Passover; for he went over the houses of the children of Israel in Egypt, when he sent death on the Egyptians, and kept our families safe. And the people gave worship with bent heads.|Hãy đáp rằng: Ay là của tế lễ Vượt-qua của Đức Giê-hô-va, vì khi Ngài hành hại xứ Ê-díp-tô thì Ngài đi vượt qua các nhà dân Y-sơ-ra-ên, và cứu nhà chúng ta đó.
And the children of Israel went and did so; as the Lord had given orders to Moses and Aaron, so they did.|Dân Y-sơ-ra-ên bèn cúi đầu lạy, rồi đi, làm theo như lời Đức Giê-hô-va đã phán dặn Môi-se và A-rôn.
And in the middle of the night the Lord sent death on every first male child in the land of Egypt, from the child of Pharaoh on his seat of power to the child of the prisoner in the prison; and the first births of all the cattle.|Vả, khi giữa đêm, Đức Giê-hô-va hành hại mọi con đầu lòng tại xứ Ê-díp-tô, từ thái tử của Pha-ra-ôn ngồi trên ngai mình, cho đến con cả người bị tù, và hết thảy con đầu lòng của súc vật.
Then Pharaoh got up in the night, he and all his servants and all the Egyptians; and a great cry went up from Egypt; for there was not a house where someone was not dead.|Đang lúc ban đêm, Pha-ra-ôn, quần thần cùng hết thảy người Ê-díp-tô đều chờ dậy; có tiếng kêu la inh ỏi trong xứ Ê-díp-tô, vì chẳng một nhà nào là không có người chết.
And he sent for Moses and Aaron by night, and said, Get up and go out from among my people, you and the children of Israel; go and give worship to the Lord as you have said.|Trong đêm đó, Pha-ra-ôn bèn đòi Môi-se và A-rôn mà phán rằng: Hai ngươi và dân Y-sơ-ra-ên hãy chờ dậy, ra khỏi giữa vòng dân ta mà đi hầu việc Đức Giê-hô-va, như các ngươi đã nói.
And take your flocks and your herds as you have said, and be gone; and give me your blessing.|Cũng hãy dẫn bò và chiên đi, như lời các ngươi đã nói, và cầu phước cho ta nữa.
And the Egyptians were forcing the people on, to get them out of the land quickly; for they said, We are all dead men.|Người Ê-díp-tô thúc giục dân Y-sơ-ra-ên ra khỏi xứ mau mau, vì nói rằng: Chúng ta đều chết hết!
And the people took their bread-paste before it was leavened, putting their basins in their clothing on their backs.|Vậy, dân sự đều đem bột nhồi rồi chưa men đi, và bọc những thùng nhồi bột trong áo tơi vác lên vai mình.
And the children of Israel had done as Moses had said; and they got from the Egyptians ornaments of silver and of gold, and clothing:|Vả, dân Y-sơ-ra-ên có làm y theo lời Môi-se đã dặn, xin người Ê-díp-tô những đồ bằng bạc và bằng vàng cùng áo xống.
And the Lord had given the people grace in the eyes of the Egyptians so that they gave them whatever was requested. So they took away all their goods from the Egyptians.|Đức Giê-hô-va làm cho dân sự được ơn trước mắt người Ê-díp-tô, nên họ bằng lòng cho; và dân Y-sơ-ra-ên lột trần người Ê-díp-tô vậy.
And the children of Israel made the journey from Rameses to Succoth; there were about six hundred thousand men on foot, as well as children.|Dân Y-sơ-ra-ên đi từ Ram-se đến Su-cốt, số không kể con nít, được chừng sáu mươi vạn người đàn ông đi bộ.
And a mixed band of people went with them; and flocks and herds in great numbers.|Lại có vô số người ngoại bang đi lên chung luôn với chiên, bò, súc vật rất nhiều.
And they made unleavened cakes from the paste which they had taken out of Egypt; it was not leavened, for they had been sent out of Egypt so quickly, that they had no time to make any food ready.|Chúng bèn hấp bánh không men bằng bột của mình đã đem theo từ xứ Ê-díp-tô; bột không men, vì cớ bị đuổi khỏi xứ Ê-díp-tô không thế chậm trễ, và cũng chẳng sắm kịp lương thực chi được.
Now the children of Israel had been living in Egypt for four hundred and thirty years.|Vả, thì kiều ngụ của dân Y-sơ-ra-ên tại xứ Ê-díp-tô được bốn trăm ba mươi năm.
And at the end of four hundred and thirty years, to the very day, all the armies of the Lord went out of the land of Egypt.|Khi mãn bốn trăm ba mươi năm rồi, thì, cũng trong ngày đó, các quân đội của Đức Giê-hô-va ra khỏi xứ Ê-díp-tô.
It is a watch-night before the Lord who took them out of the land of Egypt: this same night is a watch-night to the Lord for all the children of Israel, through all their generations.|Ay là một đêm người ta phải giữ cho Đức Giê-hô-va, vì Ngài rút dân Y-sơ-ra-ên khỏi xứ Ê-díp-tô. Trải các đời, cả dân Y-sơ-ra-ên phải giữ đêm đó, để tôn trọng Đức Giê-hô-va.
And the Lord said to Moses and Aaron, This is the law of the Passover: no man who is not an Israelite is to take of it:|Đức Giê-hô-va phán cùng Môi-se và A-rôn rằng: Đây là luật lệ về lễ Vượt-qua: Phàm người ngoại bang chẳng được ăn lễ đó.
But every man's servant, whom he has got for money, may take of it, when he has had circumcision.|Còn về phần kẻ tôi mọi, là người bỏ tiền ra mua, ngươi hãy làm phép cắt bì cho, thì họ mới được ăn.
A man from a strange country living among you, and a servant working for payment, may not take part in it.|Khách ngoại bang và kẻ làm thuê cũng chẳng được phép ăn lễ đâu.
It is to be taken in one house; not a bit of the flesh is to be taken out of the house, and no bone of it may be broken.|Lễ đó chỉ ăn nội trong nhà; ngươi đừng đem thịt ra ngoài, và cũng đừng làm gãy một cái xương nào.
All Israel is to keep the feast.|Hết thảy hội chúng Y-sơ-ra-ên phải giữ lễ Vượt-qua.
And if a man from another country is living with you, and has a desire to keep the Passover to the Lord, let all the males of his family undergo circumcision, and then let him come near and keep it; for he will then be as one of your people; but no one without circumcision may keep it.|Khi một khách ngoại bang nào kiều ngụ nhà ngươi, muốn giữ lễ Vượt-qua của Đức Giê-hô-va, thì mọi người nam của họ phải chịu phép cắt bì; đoạn, họ mới được đến gần giữ lễ nầy, và được coi như người sanh trong xứ. Nhưng ai không chịu phép cắt bì, thì chẳng được ăn đâu.
The law is the same for him who is an Israelite by birth and for the man from a strange country who is living with you.|Cũng đồng một luật cho người sanh trong xứ cùng khách ngoại bang nào đến kiều ngụ giữa các ngươi.
So the children of Israel did as the Lord gave orders to Moses and Aaron.|Toàn dân Y-sơ-ra-ên đều làm như lời Đức Giê-hô-va đã phán dặn Môi-se và A-rôn.
And on that very day the Lord took the children of Israel out of the land of Egypt by their armies.|Cũng trong ngày đó, Đức Giê-hô-va rút dân Y-sơ-ra-ên, tùy theo quân đội, ra khỏi xứ Ê-díp-tô.

					Exodus 13				|
						Xuất Hành 13					
And the Lord said to Moses,|Đức Giê-hô-va phán cùng Môi-se rằng:
Let the first male child of every mother among the children of Israel be kept holy for me, even the first male birth among man or beast; for it is mine.|Trong vòng dân Y-sơ-ra-ên bất luận người hay vật, hãy vì ta biệt riêng ra thánh mọi con đầu lòng; bởi con đầu lòng thuộc về ta.
And Moses said to the people, Let this day, on which you came out of Egypt, out of your prison-house, be kept for ever in memory; for by the strength of his hand the Lord has taken you out from this place; let no leavened bread be used.|Môi-se nói cùng dân sự rằng: Hãy kỷ niệm ngày nầy, vì là ngày Đức Giê-hô-va dùng tay quyền năng rút các ngươi ra khỏi xứ Ê-díp-tô, tức là khỏi nhà nô lệ; nên chớ ai ăn bánh có men.
On this day, in the month Abib, you are going out.|Ngày nay, nhằm tháng lúa trỗ, các ngươi ra đi.
And it will be that, when the Lord takes you into the land of the Canaanite and the Hittite and the Amorite and the Hivite and the Jebusite, the land which he made an oath to your fathers that he would give you, a land flowing with milk and honey, you will do this act of worship in this month.|Vậy khi nào Đức Giê-hô-va đưa ngươi vào bờ cõi xứ dân Ca-na-an, dân Hê-tít, dân A-mô-rít, dân Hê-vít, và dân Giê-bu-sít rồi, là một xứ đượm sữa và mật, và là xứ Ngài đã thề cùng tổ phụ sẽ ban cho ngươi, thì đến trong tháng nầy hãy giữ lễ thánh đó.
For seven days let your food be unleavened cakes; and on the seventh day there is to be a feast to the Lord.|Trong bảy ngày hãy ăn bánh không men; đến ngày thứ bảy sẽ có lễ kính Đức Giê-hô-va.
Unleavened cakes are to be your food through all the seven days; let no leavened bread be seen among you, or any leaven, in any part of your land.|Phải ăn bánh không men trong bảy ngày; khắp cả địa hạt ngươi sẽ không thấy bánh có men, hoặc men tại nơi ngươi nữa.
And you will say to your son in that day, It is because of what the Lord did for me when I came out of Egypt.|Trong ngày đó hãy giải nghĩa cho con trai ngươi rằng: Ay vì việc Đức Giê-hô-va làm cho ta, khi ta ra khỏi xứ Ê-díp-tô.
And this will be for a sign to you on your hand and for a mark on your brow, so that the law of the Lord may be in your mouth: for with a strong hand the Lord took you out of Egypt.|Điều đó sẽ làm một dấu hiệu nơi tay ngươi, làm một kỷ niệm ghi nơi trán ở giữa cặp mắt ngươi, hầu cho luật pháp của Đức Giê-hô-va ở nơi miệng ngươi, vì Đức Giê-hô-va đã dùng tay quyền năng rút ngươi ra khỏi xứ Ê-díp-tô.
So let this order be kept, at the right time, from year to year.|Hằng năm, đến kỳ, ngươi phải giữ lễ nầy.
And when the Lord takes you into the land of Canaan, as he made his oath to you and to your fathers, and gives it to you,|Khi Đức Giê-hô-va đã đưa ngươi vào bờ cõi xứ Ca-na-an, như Ngài đã thề cùng ngươi, và tổ phụ ngươi, khi Ngài đã ban xứ đó cho rồi,
You are to put on one side for the Lord every mother's first male child, the first-fruit of her body, and the first young one of every beast; every male is holy to the Lord.|thì hãy đem dâng cho Đức Giê-hô-va những con trưởng nam cùng cả con đầu lòng đực của súc vật ngươi, vì chúng nó đều sẽ thuộc về Đức Giê-hô-va.
And for the young of an ass you may give a lamb in payment, or if you will not make payment for it, its neck is to be broken; but for all the first sons among your children, let payment be made.|Nhưng mỗi con lừa đầu lòng, ngươi phải bắt chiên con hay là dê con mà chuộc; bằng không, ngươi hãy vặn cổ nó. Ngươi cũng chuộc mọi trưởng nam trong vòng con trai ngươi.
