
					Mi-ca 1				|
Hỡi dân ta, khá nhớ lại mưu của Ba-lác là vua Mô-áp đã mưu và lời của Ba-la-am con trai Bê-ô đáp cùng nó; và nhớ lại sự ta đã làm từ Si-tim đến Ghinh-ganh, hầu cho ngươi biết việc công bình của Đức Giê-hô-va!|我 的 百 姓 阿 、 你 們 當 追 念 摩 押 王 巴 勒 所 設 的 謀 和 比 珥 的 兒 子 巴 蘭 回 答 他 的 話 、 並 你 們 從 什 亭 到 吉 甲 所 遇 見 的 事 、 好 使 你 們 知 道 耶 和 華 公 義 的 作 為 。
Ta sẽ đem vật gì chầu trước mặt Đức Giê-hô-va và quì lạy trước mặt Đức Chúa Trời rất cao? Ta sẽ đến trước mặt Ngài với những của lễ thiêu và với những bò con giáp niên sao?|我 朝 見 耶 和 華 、 在 至 高 　 神 面 前 跪 拜 、 當 獻 上 甚 麼 呢 。 豈 可 獻 一 歲 的 牛 犢 為 燔 祭 麼 。
Đức Giê-hô-va há có thích những hàng ngàn chiên đực hay là hàng vạn sông dầu sao? Ta há nên dâng con đầu lòng của ta vì sự phạm pháp ta, và trái của thân thể ta vì tội lỗi linh hồn ta sao?|耶 和 華 豈 喜 悅 千 千 的 公 羊 、 或 是 萬 萬 的 油 河 麼 。 我 豈 可 為 自 己 的 罪 過 獻 我 的 長 子 麼 。 為 心 中 的 罪 惡 獻 我 身 所 生 的 麼 。
Hỡi người! Ngài đã tỏ cho ngươi điều gì là thiện; cái điều mà Đức Giê-hô-va đòi ngươi há chẳng phải là làm sự công bình, ưa sự nhơn từ và bước đi cách khiêm nhường với Đức Chúa Trời ngươi sao?|世 人 哪 、 耶 和 華 已 指 示 你 何 為 善 。 他 向 你 所 要 的 是 甚 麼 呢 。 只 要 你 行 公 義 、 好 憐 憫 、 存 謙 卑 的 心 、 與 你 的 　 神 同 行 。
Tiếng của Đức Giê-hô-va kêu lên nghịch cùng thành nầy, người khôn phải kính sợ danh Ngài. Hãy nghe gậy, mà biết là ai đã định.|耶 和 華 向 這 城 呼 叫 、 智 慧 人 必 敬 畏 他 的 名 ． 你 們 當 聽 是 誰 派 定 刑 杖 的 懲 罰 。
Trong nhà kẻ ác há chẳng phải còn có của báu gian ác và lường non đáng gớm ghiếc sao?|惡 人 家 中 不 仍 有 非 義 之 財 、 和 可 惡 的 小 升 斗 麼 。
Ta có những cân gian và trái cân giả dối trong bao, thì ta sao được tinh sạch?|我 若 用 不 公 道 的 天 平 和 囊 中 詭 詐 的 法 碼 、 豈 可 算 為 清 潔 呢 。
Vì những kẻ giàu của thành nầy đầy sự cường bạo, dân cư nó dùng sự nói dối, và trong miệng chúng nó có lưỡi hay phỉnh phờ.|城 裡 的 富 戶 滿 行 強 暴 、 其 中 的 居 民 也 說 謊 言 、 口 中 的 舌 頭 是 詭 詐 的 。
Vậy nên ta đánh ngươi, làm cho ngươi bị thương nặng, và khiến ngươi hoang vu vì cớ tội lỗi ngươi.|因 此 、 我 擊 打 你 、 使 你 的 傷 痕 甚 重 ． 使 你 因 你 的 罪 惡 荒 涼 。
Ngươi sẽ ăn, song không được no đâu; sự sỉ nhục sẽ ở giữa ngươi. Ngươi sẽ chuyên của ngươi, song không cứu được; còn cái gì ngươi cứu được, thì ta sẽ phó nó cho gươm.|你 要 喫 、 卻 喫 不 飽 ． 你 的 虛 弱 必 顯 在 你 中 間 ． 你 必 挪 去 、 卻 不 得 救 護 ． 所 救 護 的 、 我 必 交 給 刀 劍 。
Ngươi sẽ gieo, nhưng không được gặt; sẽ ép ô-li-ve, nhưng không được xức dầu; sẽ đạp nho, nhưng không được uống rượu.|你 必 撒 種 、 卻 不 得 收 割 ． 踹 橄 欖 、 卻 不 得 油 抹 身 ． 踹 葡 萄 、 卻 不 得 酒 喝 ．
Vì người ta còn giữ những lề luật của Om-ri, và cả việc làm của nhà A-háp; các ngươi bước đi trong mưu chúng nó, hầu cho ta khiến ngươi trở nên hoang vu, dân cư nó sẽ bị xuỵt, và các ngươi sẽ mang lấy sự sỉ nhục của dân ta.|因 為 你 守 暗 利 的 惡 規 、 行 亞 哈 家 一 切 所 行 的 、 順 從 他 們 的 計 謀 ． 因 此 、 我 必 使 你 荒 涼 、 使 你 的 居 民 令 人 嗤 笑 ． 你 們 也 必 擔 當 我 民 的 羞 辱 。

					Mi-ca 7				|
						彌迦書 7					
Khốn nạn cho ta! vì ta như khi đã hái trái mùa hạ rồi, và như nho đã mót lại, không có một buồng nho để ăn, trái vả đầu mùa mà linh hồn ta vẫn ước ao cũng không có.|哀 哉 。 我 〔 或 指 以 色 列 〕 好 像 夏 天 的 果 子 已 被 收 盡 、 又 像 摘 了 葡 萄 所 剩 下 的 ． 沒 有 一 掛 可 喫 的 ． 我 心 羨 慕 初 熟 的 無 花 果 ．
Người tin kính đã mất đi khỏi đất; không còn có kẻ ngay thẳng trong loài người. Chúng nó thảy đều rình rập để làm đổ máu; ai nấy đều lấy lưới săn anh em mình.|地 上 虔 誠 人 滅 盡 、 世 間 沒 有 正 直 人 ． 各 人 埋 伏 要 殺 人 流 血 ． 都 用 網 羅 獵 取 弟 兄 。
Tay chúng nó chúng nó chăm làm sự dữ. Quan trưởng thì đòi của, quan xét thì tham hối lộ, còn người lớn thì nói sự ưa muốn dữ của lòng mình; vậy thì cùng nhau đan dệt.|他 們 雙 手 作 惡 ． 君 王 徇 情 面 、 審 判 官 要 賄 賂 ． 位 分 大 的 吐 出 惡 意 ． 都 彼 此 結 聯 行 惡 。
Người lành hơn hết trong chúng nó giống như chà chuôm, còn kẻ rất ngay thẳng lại xấu hơn hàng rào gai gốc. Ngày của kẻ canh giữ ngươi, tức là ngày thăm phạt ngươi, đã đến rồi, nay chúng nó sẽ bối rối.|他 們 最 好 的 、 不 過 是 蒺 藜 ． 最 正 直 的 、 不 過 是 荊 棘 籬 笆 。 你 守 望 者 說 降 罰 的 日 子 已 經 來 到 ． 他 們 必 擾 亂 不 安 。
Chớ tin người lân cận của các ngươi, và chớ để lòng tin cậy nơi bạn hữu mình; hãy giữ đừng mở miệng ra cùng người đờn bà ngủ trong lòng ngươi.|不 要 倚 賴 鄰 舍 ． 不 要 信 靠 密 友 ． 要 守 住 你 的 口 、 不 要 向 你 懷 中 的 妻 題 說 。
Vì con trai sỉ nhục cha, con gái dấy lên nghịch cùng mẹ, dâu nghịch cùng bà gia, và kẻ thù nghịch của người tức là người nhà mình.|因 為 兒 子 藐 視 父 親 、 女 兒 抗 拒 母 親 、 媳 婦 抗 拒 婆 婆 ． 人 的 仇 敵 、 就 是 自 己 家 裡 的 人 。
Nhưng ta, ta sẽ nhìn xem Đức Giê-hô-va, chờ đợi Đức Chúa Trời của sự cứu rỗi ta; Đức Chúa Trời ta sẽ nghe ta.|至 於 我 、 我 要 仰 望 耶 和 華 、 要 等 候 那 救 我 的 　 神 ． 我 的 　 神 必 應 允 我 。
Hỡi kẻ thù ta, chớ vui mừng vì cớ ta. Ta dầu bị ngã, sẽ lại dậy; dầu ngồi trong nơi tối tăm, Đức Giê-hô-va sẽ làm sự sáng cho ta.|我 的 仇 敵 阿 、 不 要 向 我 誇 耀 ． 我 雖 跌 倒 、 卻 要 起 來 ． 我 雖 坐 在 黑 暗 裡 、 耶 和 華 卻 作 我 的 光 。
Ta chịu lấy sự thạnh nộ của Đức Giê-hô-va vì ta đã phạm tội nghịch cùng Ngài, cho đến chừng Ngài đã binh vực lẽ ta và phán xét cho ta, thì Ngài sẽ dắt ta đến sự sáng và ta sẽ thấy sự công bình của Ngài.|我 要 忍 受 耶 和 華 的 惱 怒 ． 因 我 得 罪 了 他 ． 直 等 他 為 我 辨 屈 、 為 我 伸 冤 ． 他 必 領 我 到 光 明 中 、 我 必 得 見 他 的 公 義 。
Kẻ thù ta sẽ thấy sự ấy và sẽ bị xấu hổ. Nó là kẻ đã bảo ta rằng: Chớ nào Giê-hô-va Đức Chúa Trời ngươi ở đâu? Mắt ta sẽ thấy sự ta ước ao xuống trên nó; nay nó sẽ bị giày đạp như bùn ngoài đường.|那 時 我 的 仇 敵 、 就 是 曾 對 我 說 耶 和 華 你 　 神 在 那 裡 的 、 他 一 看 見 這 事 、 就 被 羞 愧 遮 蓋 ． 我 必 親 眼 見 他 遭 報 ． 他 必 被 踐 踏 、 如 同 街 上 的 泥 土 。
Ngày đến, là khi các tường thành của ngươi sẽ được xây đắp, trong ngày đó luật lịnh sẽ bị dời xa.|以 色 列 阿 、 日 子 必 到 、 你 的 牆 垣 必 重 修 ． 到 那 日 你 的 境 界 必 開 展 、 〔 或 作 命 令 必 傳 到 遠 方 〕
Trong ngày đó người ta sẽ đến cùng ngươi, từ A-si-ri và từ các thành Ê-díp-tô, từ Ê-díp-tô cho đến Sông cái, từ biển nầy cho đến biển kia, từ núi nầy cho đến núi khác.|當 那 日 、 人 必 從 亞 述 、 從 埃 及 的 城 邑 、 從 埃 及 到 大 河 、 從 這 海 到 那 海 、 從 這 山 到 那 山 、 都 歸 到 你 這 裡 。
Nhưng đất nầy sẽ trở nên hoang vu vì cớ sự báo trả về việc làm của dân cư nó.|然 而 、 這 地 因 居 民 的 緣 故 、 又 因 他 們 行 事 的 結 果 、 必 然 荒 涼 。
Hãy dùng gậy chăn dân ngươi, tức là bầy của sản nghiệp ngươi, ở một mình trong rừng giữa Cạt-mên; hãy cho nó ăn cỏ trong Ba-san và Ga-la-át, như trong những ngày xưa.|求 耶 和 華 在 迦 密 山 的 樹 林 中 、 用 你 的 杖 牧 放 你 獨 居 的 民 、 就 是 你 產 業 的 羊 群 。 求 你 容 他 們 在 巴 珊 和 基 列 得 食 物 、 像 古 時 一 樣 。
Ta sẽ tỏ ra cho chúng nó những sự lạ, như trong những ngày mà ngươi ra khỏi đất Ê-díp-tô.|耶 和 華 說 、 我 要 把 奇 事 顯 給 他 們 看 、 好 像 出 埃 及 地 的 時 候 一 樣 。
Các nước thấy sự đó, sẽ bị xấu hổ về cả sức mạnh mình; chúng nó sẽ đặt tay trên miệng, và tai chúng nó sẽ điếc.|列 國 看 見 這 事 、 就 必 為 自 己 的 勢 力 慚 愧 ． 他 們 必 用 手 摀 口 、 掩 耳 不 聽 。
Chúng nó sẽ liếm bụi như con rắn, và run rẩy mà ra khỏi hang mình như loài bò trên đất; sẽ kinh hãi mà đến cùng Giê-hô-va Đức Chúa Trời chúng ta, và vì Ngài mà khiếp sợ.|他 們 必 話 土 如 蛇 、 又 如 土 中 腹 行 的 物 、 戰 戰 兢 兢 的 出 他 們 的 營 寨 ． 他 們 必 戰 懼 投 降 耶 和 華 、 也 必 因 我 們 的 　 神 而 懼 怕 。
Ai là Đức Chúa Trời giống như Ngài, tha thứ sự gian ác, và bỏ qua sự phạm pháp của dân sót của sản nghiệp Ngài? Ngài không cưu giận đời đời, vì Ngài lấy sự nhơn từ làm vui thích.|　 神 阿 、 有 何 神 像 你 、 赦 免 罪 孽 、 饒 恕 你 產 業 之 餘 民 的 罪 過 ． 不 永 遠 懷 怒 、 喜 愛 施 恩 。
Ngài sẽ còn thương xót chúng tôi, giập sự gian ác chúng tôi dưới chơn Ngài; và ném hết thảy tội lỗi chúng nó xuống đáy biển.|必 再 憐 憫 我 們 、 將 我 們 的 罪 孽 踏 在 腳 下 、 又 將 我 們 的 一 切 罪 投 於 深 海 。
Ngài sẽ làm ra sự chơn thật cho Gia-cốp, và sự nhơn từ cho Ap-ra-ham, là điều Ngài đã thề hứa cùng tổ phụ chúng tôi từ những ngày xưa.|你 必 按 古 時 起 誓 應 許 我 們 列 祖 的 話 、 向 雅 各 發 誠 實 、 向 亞 伯 拉 罕 施 慈 愛 。
