
					I Giăng 1				|
Vì nầy là sự yêu mến Đức Chúa Trời, tức là chúng ta vâng giữ điều răn Ngài. Điều răn của Ngài chẳng phải là nặng nề,|我 們 遵 守 　 神 的 誡 命 、 這 就 是 愛 他 了 ． 並 且 他 的 誡 命 不 是 難 守 的 。
vì hễ sự gì sanh bởi Đức Chúa Trời, thì thắng hơn thế gian; và sự thắng hơn thế gian, ấy là đức tin của chúng ta.|因 為 凡 從 　 神 生 的 、 就 勝 過 世 界 ． 使 我 們 勝 了 世 界 的 、 就 是 我 們 的 信 心 。
Ai là người thắng hơn thế gian, há chẳng phải kẻ tin Đức Chúa Jêsus là Con Đức Chúa Trời hay sao?|勝 過 世 界 的 是 誰 呢 ． 不 是 那 信 耶 穌 是 　 神 兒 子 的 麼 ．
Ay chính Đức Chúa Jêsus Christ đã lấy nước và huyết mà đến, chẳng những lấy nước mà thôi, bèn là lấy nước và huyết;|這 藉 著 水 和 血 而 來 的 就 是 耶 穌 基 督 ． 不 是 單 用 水 、 乃 是 用 水 又 用 血 。
ấy là Đức Thánh Linh đã làm chứng, vì Đức Thánh Linh tức là lẽ thật.|並 且 有 聖 靈 作 見 證 、 因 為 聖 靈 就 是 真 理 。
Vì có ba làm chứng: Đức Thánh Linh, nước và huyết; ba ấy hiệp một.|作 見 證 的 原 來 有 三 、 就 是 聖 靈 、 水 、 與 血 這 三 樣 也 都 歸 於 一 。
Ví bằng chúng ta nhận chứng của loài người, thì chứng của Đức Thánh Linh trọng hơn; vả, chứng của Đức Chúa Trời ấy là chứng mà Ngài làm về Con Ngài.|我 們 既 領 受 人 的 見 證 、 　 神 的 見 證 更 該 領 受 了 ． 〔 該 領 受 原 文 作 大 〕 因 　 神 的 見 證 、 是 為 他 兒 子 作 的 。
Ai tin đến Con Đức Chúa Trời, thì có chứng ấy trong mình; còn ai không tin Đức Chúa Trời, thì cho Ngài là nói dối, vì chẳng tin đến chứng Đức Chúa Trời đã làm về Con Ngài.|信 　 神 兒 子 的 、 就 有 這 見 證 在 他 心 裡 ． 不 信 　 神 的 、 就 是 將 　 神 當 作 說 謊 的 ． 因 不 信 　 神 為 他 兒 子 作 的 見 證 。
Chừng ấy tức là Đức Chúa Trời đã ban sự sống đời đời cho chúng ta, và sự sống ấy ở trong Con Ngài.|這 見 證 、 就 是 　 神 賜 給 我 們 永 生 、 這 永 生 也 是 在 他 兒 子 裡 面 。
Ai có Đức Chúa Con thì có sự sống; ai không có Con Đức Chúa Trời thì không có sự sống.|人 有 了 　 神 的 兒 子 就 有 生 命 ． 沒 有 　 神 的 兒 子 就 沒 有 生 命 。
Ta đã viết những điều nầy cho các con, hầu cho các con biết mình có sự sống đời đời, là kẻ nào tin đến danh Con Đức Chúa Trời.|我 將 這 些 話 寫 給 你 們 信 奉 　 神 兒 子 之 名 的 人 、 要 叫 你 們 知 道 自 己 有 永 生 。
Nầy là điều chúng ta dạn dĩ ở trước mặt Chúa, nếu chúng ta theo ý muốn Ngài mà cầu xin việc gì, thì Ngài nghe chúng ta.|我 們 若 照 他 的 旨 意 求 甚 麼 、 他 就 聽 我 們 ． 這 是 我 們 向 他 所 存 坦 然 無 懼 的 心 。
Nếu chúng ta biết không cứ mình xin điều gì, Ngài cũng nghe chúng ta, thì chúng ta biết mình đã nhận lãnh điều mình xin Ngài.|既 然 知 道 他 聽 我 們 一 切 所 求 的 、 就 知 道 我 們 所 求 於 他 的 無 不 得 著 。
Vì có kẻ thấy anh em mình phạm tội, mà tội không đến nỗi chết, thì hãy cầu xin, và Đức Chúa Trời sẽ ban sự sống cho, tức là ban cho những kẻ phạm tội mà chưa đến nỗi chết. Cũng có tội đến nỗi chết; ấy chẳng phải vì tội đó mà ta nói nên cầu xin.|人 若 看 見 弟 兄 犯 了 不 至 於 死 的 罪 、 就 當 為 他 祈 求 、 　 神 必 將 生 命 賜 給 他 ． 有 至 於 死 的 罪 、 我 不 說 當 為 這 罪 祈 求 。
Mọi sự không công bình đều là tội; mà cũng có tội không đến nỗi chết.|凡 不 義 的 事 都 是 罪 ． 也 有 不 至 於 死 的 罪 。
Chúng ta biết rằng ai sanh bởi Đức Chúa Trời, thì hẳn chẳng phạm tội; nhưng ai sanh bởi Đức Chúa Trời, thì tự giữ lấy mình, ma quỉ chẳng làm hại người được.|我 們 知 道 凡 從 　 神 生 的 必 不 犯 罪 ． 從 　 神 生 的 必 保 守 自 己 、 〔 有 古 卷 作 那 從 　 神 生 的 必 保 護 他 〕 那 惡 者 也 就 無 法 害 他 。
Chúng ta biết mình thuộc về Đức Chúa Trời, còn cả thế gian đều phục dưới quyền ma quỉ.|我 們 知 道 我 們 是 屬 　 神 的 、 全 世 界 都 臥 在 那 惡 者 手 下 。
Nhưng chúng ta biết Con Đức Chúa Trời đã đến, Ngài đã ban trí khôn cho chúng ta đặng chúng ta biết Đấng chân thật, và chúng ta ở trong Đấng chân thật, là ở trong Đức Chúa Jêsus Christ, Con của Ngài. Ay chính Ngài là Đức Chúa Trời chân thật và là sự sống đời đời.|我 們 也 知 道 　 神 的 兒 子 已 經 來 到 、 且 將 智 慧 賜 給 我 們 、 使 我 們 認 識 那 位 真 實 的 、 我 們 也 在 那 位 真 實 的 裡 面 、 就 是 在 他 兒 子 耶 穌 基 督 裡 面 。 這 是 真 　 神 、 也 是 永 生 。
Hỡi các con cái bé mọn, hãy giữ mình về hình tượng!|小 子 們 哪 、 你 們 要 自 守 、 遠 避 偶 像 。
