
					I Sa-mu-ên 1				|
Chúng sẽ chào ngươi và cho ngươi hai ổ bánh mà ngươi phải nhận lấy nơi tay chúng.|他 們 必 問 你 安 、 給 你 兩 個 餅 、 你 就 從 他 們 手 中 接 過 來 。
Kế sau, ngươi sẽ đến Ghi-bê -a-Ê-lô-him, là nơi có một cái đồn của dân Phi-li-tin; khi đã vào thành, ngươi sẽ gặp một đoàn tiên tri từ nơi cao xuống, có đờn sắt, trống cơm, ống sáo, và đờn cầm đi trước; họ sẽ nói tiên tri.|此 後 你 到 　 神 的 山 、 在 那 裡 有 非 利 士 人 的 防 兵 ． 你 到 了 城 的 時 候 、 必 遇 見 一 班 先 知 從 邱 壇 下 來 、 前 面 有 鼓 瑟 的 、 擊 鼓 的 、 吹 笛 的 、 彈 琴 的 、 他 們 都 受 感 說 話 。
Thần của Đức Giê-hô-va sẽ cảm động ngươi nói tiên tri cùng chúng, rồi ngươi sẽ hóa ra một người khác.|耶 和 華 的 靈 必 大 大 感 動 你 、 你 就 與 他 們 一 同 受 感 說 話 ． 你 要 變 為 新 人 ．
Khi ngươi thấy các dấu hiệu nầy xảy ra, thì tùy cơ mà làm; Vì Đức Chúa Trời ở cùng ngươi!|這 兆 頭 臨 到 你 、 你 就 可 以 趁 時 而 作 、 因 為 　 神 與 你 同 在 。
Đoạn hãy đi xuống trước ta đến Ghinh-ganh, ta sẽ theo ngươi ở đó đặng dâng của lễ thiêu và của lễ thù ân. Ngươi sẽ đợi bảy ngày cho đến chừng ta tới; bấy giờ ta sẽ dạy ngươi điều phải làm.|你 當 在 我 以 先 下 到 吉 甲 、 我 也 必 下 到 那 裡 獻 燔 祭 和 平 安 祭 ． 你 要 等 候 七 日 、 等 我 到 了 那 裡 、 指 示 你 當 行 的 事 。
Sau-lơ vừa xây lưng lìa khỏi Sa-mu-ên, Đức Chúa Trời bèn đổi lòng người ra khác, và các dấu hiệu đã bảo trước điều ứng nghiệm nội ngày ấy.|掃 羅 轉 身 離 別 撒 母 耳 、 　 神 就 賜 他 一 個 新 心 ． 當 日 這 一 切 兆 頭 都 應 驗 了 。
Khi Sau-lơ đến Ghi-bê -a, có một đoàn tiên tri đến đón người. Thần của Đức Giê-hô-va cảm động người, người nói tiên tri giữa chúng.|掃 羅 到 了 那 山 、 有 一 班 先 知 遇 見 他 、 　 神 的 靈 大 大 感 動 他 、 他 就 在 先 知 中 受 感 說 話 。
Khi những kẻ vốn quen biết Sau-lơ trước, thấy người nói tiên tri với các đấng tiên tri, thì hỏi nhau rằng: Con trai của Kích đã xảy ra làm sao? Sau-lơ cũng vào số các tiên tri ư?|素 來 認 識 掃 羅 的 、 看 見 他 和 先 知 一 同 受 感 說 話 、 就 彼 此 說 、 基 士 的 兒 子 遇 見 甚 麼 了 、 掃 羅 也 列 在 先 知 中 麼 。
Có người ở Ghi-bê -a đáp rằng: Mà cha họ là ai? Bởi đó có câu ngạn ngữ rằng: Sau-lơ há cũng vào số các tiên tri ư?|那 地 方 有 一 個 人 說 、 這 些 人 的 父 親 是 誰 呢 、 此 後 有 句 俗 語 說 、 掃 羅 也 列 在 先 知 中 麼 。
Khi Sau-lơ thôi nói tiên tri, thì đi lên nơi cao.|掃 羅 受 感 說 話 已 畢 、 就 上 邱 壇 去 了 。
Chú Sau-lơ hỏi người và kẻ tôi tớ rằng: Hai ngươi đi đâu? Sau-lơ thưa rằng: Đi kiếm những lừa cái; và vì không gặp được, chúng tôi có cầu vấn Sa-mu-ên.|掃 羅 的 叔 叔 問 掃 羅 和 他 僕 人 說 、 你 們 往 那 裡 去 了 ． 回 答 說 、 找 驢 去 了 ． 我 們 見 沒 有 驢 、 就 到 了 撒 母 耳 那 裡 。
Chú Sau-lơ tiếp rằng: Xin cháu hãy tỏ cho chú biết điều Sa-mu-ên đã nói cùng hai ngươi.|掃 羅 的 叔 叔 說 、 請 將 撒 母 耳 向 你 們 所 說 的 話 告 訴 我 。
Sau-lơ thưa cùng chú mình rằng: Người đã dạy tỏ cho chúng tôi rằng lừa cái đã tìm được rồi. Nhưng Sau-lơ không tỏ gì về Sa-mu-ên đã nói về việc nước.|掃 羅 對 他 叔 叔 說 、 他 明 明 的 告 訴 我 們 驢 已 經 找 著 了 ． 至 於 撒 母 耳 所 說 的 國 事 、 掃 羅 卻 沒 有 告 訴 叔 叔 。
Sa-mu-ên nhóm hiệp dân sự trước mặt Đức Giê-hô-va tại Mích-ba,|撒 母 耳 將 百 姓 招 聚 到 米 斯 巴 耶 和 華 那 裡 ．
rồi nói cùng dân Y-sơ-ra-ên rằng: Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên có phán như vầy: Ta đã đem Y-sơ-ra-ên ra khỏi Ê-díp-tô; ta đã giải cứu các ngươi khỏi tay dân Ê-díp-tô và khỏi tay mọi vua hà hiếp các ngươi.|對 他 們 說 、 耶 和 華 以 色 列 的 　 神 如 此 說 、 我 領 你 們 以 色 列 人 出 埃 及 、 救 你 們 脫 離 埃 及 人 的 手 、 又 救 你 們 脫 離 欺 壓 你 們 各 國 之 人 的 手 。
Ngày nay các ngươi từ chối Đức Chúa Trời của các ngươi, là Đấng đã giải cứu các ngươi khỏi mọi sự hoạn nạn và nguy hiểm; các ngươi đã thưa cùng Ngài rằng: Xin hãy lập một vua quản trị chúng tôi! Vậy bây giờ, hãy ứng hầu trước mặt Đức Giê-hô-va từ chi phái và từ hằng ngàn người.|你 們 今 日 卻 厭 棄 了 救 你 們 脫 離 一 切 災 難 的 　 神 、 說 、 求 你 立 一 個 王 治 理 我 們 、 現 在 你 們 應 當 按 著 支 派 宗 族 、 都 站 在 耶 和 華 面 前 。
Sa-mu-ên biểu mọi chi phái Y-sơ-ra-ên đến gần, rồi chi phái Bên-gia-min được chỉ định.|於 是 撒 母 耳 使 以 色 列 眾 支 派 近 前 來 掣 籤 、 就 掣 出 便 雅 憫 支 派 來 。
Người biểu chi phái Bên-gia-min đến gần từ họ hàng, rồi họ Mát-ri được chỉ định. Đoạn, Sau-lơ, con trai của Kích được chỉ định. Người ta tìm Sau-lơ nhưng không thấy.|又 使 便 雅 憫 支 派 按 著 宗 族 近 前 來 、 就 掣 出 瑪 特 利 族 、 從 其 中 又 掣 出 基 士 的 兒 子 掃 羅 ． 眾 人 尋 找 他 卻 尋 不 著 、
Chúng bèn hỏi lại Đức Giê-hô-va rằng: Còn có người nào khác sẽ đến đây chăng? Đức Giê-hô-va đáp: Kìa, nó ẩn trong đồ đạc kia.|就 問 耶 和 華 說 、 那 人 到 這 裡 來 了 沒 有 、 耶 和 華 說 、 他 藏 在 器 具 中 了 。
Người ta chạy tìm người tại chỗ đó. Sau-lơ ra mặt giữa dân sự, người cao hơn cả chúng từ vai trở lên.|眾 人 就 跑 去 從 那 裡 領 出 他 來 ． 他 站 在 百 姓 中 間 、 身 體 比 眾 民 高 過 一 頭 。
Sa-mu-ên nói cùng cả dân sự rằng: Các người có thấy người mà Đức Giê-hô-va đã chọn chăng? Trong cả dân sự không có ai giống như người. Hết thảy đều tung hô mà la lên rằng: Nguyện vua vạn tuế!|撒 母 耳 對 眾 民 說 、 你 們 看 耶 和 華 所 揀 選 的 人 、 眾 民 中 有 可 比 他 的 麼 ． 眾 民 就 大 聲 歡 呼 說 、 願 王 萬 歲 。
Sa-mu-ên tuyên giảng luật pháp của nước tại trước mặt dân sự, chép trong một cuốn sách mà người để trước mặt Đức Giê-hô-va. Đoạn, Sa-mu-ên cho cả dân sự ai về nhà nấy.|撒 母 耳 將 國 法 對 百 姓 說 明 、 又 記 在 書 上 放 在 耶 和 華 面 前 ． 然 後 遣 散 眾 民 、 各 回 各 家 去 了 。
Sau-lơ cũng về nhà mình tại Ghi-bê -a, có những người dõng sĩ chịu Đức Chúa Trời cảm động lòng đều đi theo người.|掃 羅 往 基 比 亞 回 家 去 、 有 　 神 感 動 的 一 群 人 跟 隨 他 。
Song có mấy ngươi phỉ đồ nói rằng: Hắn đó cứu giúp chúng ta được việc chi? Chúng nó khinh dể người, không đem lễ vật gì cho người hết. Nhưng Sau-lơ giả đò không nghe.|但 有 些 匪 徒 說 、 這 人 怎 能 救 我 們 呢 ． 就 藐 視 他 、 沒 有 送 他 禮 物 ． 掃 羅 卻 不 理 會 。

					I Sa-mu-ên 11				|
						撒母耳記上 11					
Na-hách, người Am-môn, đi ra đến vây Gia-be trong Ga-la-át. Cả dân Gia-be nói cùng Na-hách rằng: Hãy lập ước cùng chúng tôi, thì chúng tôi sẽ phục sự ông.|亞 捫 人 的 王 拿 轄 上 來 、 對 著 基 列 雅 比 安 營 ． 雅 比 眾 人 對 拿 轄 說 、 你 與 我 們 立 約 、 我 們 就 服 事 你 。
Na-hách, người Am-môn, đáp rằng: Ta sẽ lập ước cùng các ngươi theo cách nầy: phải khoét hết thảy con mắt hữu của các ngươi, để gieo sự sỉ nhục cho cả Y-sơ-ra-ên.|亞 捫 人 拿 轄 說 、 你 們 若 由 我 剜 出 你 們 各 人 的 右 眼 、 以 此 凌 辱 以 色 列 眾 人 、 我 就 與 你 們 立 約 。
Các trưởng lão Gia-be nói cùng người rằng: Xin hãy cho chúng tôi bảy ngày đình chiến, chúng tôi sẽ sai sứ giả đến khắp địa phận Y-sơ-ra-ên; nếu không ai giải cứu chúng tôi, thì chúng tôi sẽ đi ra hàng đầu.|雅 比 的 長 老 對 他 說 、 求 你 寬 容 我 們 七 日 、 等 我 們 打 發 人 往 以 色 列 的 全 境 去 、 若 沒 有 人 救 我 們 、 我 們 就 出 來 歸 順 你 。
Vậy, những sứ giả đi đến Ghi-bê -a, thành của Sau-lơ, thuật lại các lời ấy cho dân sự nghe. Cả dân sự bèn cất tiếng lên khóc.|使 者 到 了 掃 羅 住 的 基 比 亞 、 將 這 話 說 給 百 姓 聽 、 百 姓 就 都 放 聲 而 哭 。
Lúc ấy, Sau-lơ ở ruộng trở về, đi sau bò mình; người hỏi rằng: Cớ chi dân sự khóc như vậy? Người ta thuật lại lời các người Gia-be đã nói.|掃 羅 正 從 田 間 趕 牛 回 來 、 問 說 、 百 姓 為 甚 麼 哭 呢 。 眾 人 將 雅 比 人 的 話 告 訴 他 。
Vừa nghe tin nầy, Sau-lơ được Thần của Đức Chúa Trời cảm động, và cơn giận người nổi phừng phừng.|掃 羅 聽 見 這 話 、 就 被 　 神 的 靈 大 大 感 動 、 甚 是 發 怒 。
Người bắt một cặp bò, sả ra từng miếng, gởi cho sứ giả đem đến khắp địa phận Y-sơ-ra-ên với lời rao nầy: Phàm ai không ra theo Sau-lơ và Sa-mu-ên, thì các con bò nó tất sẽ bị làm như vậy. Sự kinh khủng của Đức Giê-hô-va giáng trên dân sự, nên hết thảy chúng đều đi ra như chỉ một người.|他 將 一 對 牛 切 成 塊 子 、 託 付 使 者 傳 送 以 色 列 的 全 境 、 說 、 凡 不 出 來 跟 隨 掃 羅 和 撒 母 耳 的 、 也 必 這 樣 切 開 他 的 牛 ． 於 是 耶 和 華 使 百 姓 懼 怕 、 他 們 就 都 出 來 如 同 一 人 。
Sau-lơ kiểm điểm chúng tại Bê-xéc; có ba trăm ngàn người Y-sơ-ra-ên và ba mươi ngàn người Giu-đa.|掃 羅 在 比 色 數 點 他 們 ． 以 色 列 人 有 三 十 萬 、 猶 大 人 有 三 萬 。
Chúng nói cùng sứ giả đã đến rằng: Hãy nói cùng người Gia-be trong Ga-la-át: Đến mai, khi mặt trời đã nắng nóng, thì anh em sẽ được giải cứu. Những sứ giả đi về thuật lại các lời nầy cho dân Gia-be. Dân nầy lấy làm vui mừng,|眾 人 對 那 使 者 說 、 你 們 要 回 覆 基 列 雅 比 人 說 、 明 日 太 陽 近 午 的 時 候 、 你 們 必 得 解 救 。 使 者 回 去 告 訴 雅 比 人 、 他 們 就 歡 喜 了 。
và nói cùng người Am-môn rằng: Ngày mai, chúng ta sẽ đi ra cùng các ngươi, các ngươi sẽ đãi chúng ta theo ý mình lấy làm phải.|於 是 雅 比 人 對 亞 捫 人 說 、 明 日 我 們 出 來 歸 順 你 們 、 你 們 可 以 隨 意 待 我 們 。
Nhưng sáng ngày mai, Sau-lơ chia dân sự ra làm ba đạo, hãm dinh dân Am-môn vừa lúc canh năm, và đánh dân Am-môn cho đến gần đứng bóng. Những người thoát khỏi thì bị tản lạc đến đỗi không có hai người chung nhau.|第 二 日 、 掃 羅 將 百 姓 分 為 三 隊 、 在 晨 更 的 時 候 入 了 亞 捫 人 的 營 、 擊 殺 他 們 直 到 太 陽 近 午 、 剩 下 的 人 都 逃 散 、 沒 有 二 人 同 在 一 處 的 。
Dân sự nói cùng Sa-mu-ên rằng: Ai đã nói: Sau-lơ há sẽ trị vì trên chúng ta sao? Hãy phó những người đó cho chúng tôi giết đi.|百 姓 對 撒 母 耳 說 、 那 說 掃 羅 豈 能 管 理 我 們 的 、 是 誰 呢 ． 可 以 將 他 交 出 來 、 我 們 好 殺 死 他 。
Nhưng Sau-lơ đáp: Chẳng ai sẽ bị xử tử trong ngày nay; vì ngày nay Đức Giê-hô-va đã làm sự giải cứu trong Y-sơ-ra-ên.|掃 羅 說 、 今 日 耶 和 華 在 以 色 列 中 施 行 拯 救 、 所 以 不 可 殺 人 。
Sa-mu-ên nói cùng dân sự rằng: Chúng ta hãy đi đến Ghinh-ganh đặng lập nước lại.|撒 母 耳 對 百 姓 說 、 我 們 要 往 吉 甲 去 、 在 那 裡 立 國 。
Cả dân sự đều đi đến Ghinh-ganh; tại đó, trước mặt Đức Giê-hô-va, chúng lập Sau-lơ làm vua. Tại đó chúng dâng của lễ thù ân cho Đức Giê-hô-va. Đoạn, Sau-lơ và hết thảy người Y-sơ-ra-ên vui mừng khôn xiết.|眾 百 姓 就 到 了 吉 甲 那 裡 、 在 耶 和 華 面 前 立 掃 羅 為 王 、 又 在 耶 和 華 面 前 獻 平 安 祭 ． 掃 羅 和 以 色 列 眾 人 大 大 歡 喜 。

					I Sa-mu-ên 12				|
						撒母耳記上 12					
Bấy giờ, Sa-mu-ên nói cùng cả Y-sơ-ra-ên rằng: Ta đã vâng theo mọi lời các ngươi nói cùng ta; ta đã lập một vua trên các ngươi;|撒 母 耳 對 以 色 列 眾 人 說 、 你 們 向 我 所 求 的 、 我 已 應 允 了 、 為 你 們 立 了 一 個 王 。
rày vua ấy sẽ đi trước đầu các ngươi. Còn ta đã già, tóc bạc, các con trai ta ở cùng các ngươi. Ta đã đi trước đầu các ngươi từ khi ta còn thơ ấu cho đến ngày nay.|現 在 有 這 王 在 你 們 前 面 行 ． 我 已 年 老 髮 白 、 我 的 兒 子 都 在 你 們 這 裡 ． 我 從 幼 年 直 到 今 日 、 都 在 你 們 前 面 行 。
Vậy, ta đây; hãy làm chứng về ta tại trước mặt Đức Giê-hô-va và trước kẻ chịu xức dầu Ngài. Ta có bắt bò ai chăng? Bắt lừa ai chăng? Ta có lừa dối ai chăng? Hành hung cùng ai chăng? Ta có nhận của hối lộ nơi tay ai đặng vì nó mà nhắm mắt ta chăng? Ví bằng có làm vậy, ắt ta sẽ trả lại cho các ngươi.|我 在 這 裡 ． 你 們 要 在 耶 和 華 和 他 的 受 膏 者 面 前 、 給 我 作 見 證 、 我 奪 過 誰 的 牛 、 搶 過 誰 的 驢 、 欺 負 過 誰 、 虐 待 過 誰 、 從 誰 手 裡 受 過 賄 賂 因 而 眼 瞎 呢 ． 若 有 、 我 必 償 還 。
Chúng đáp rằng: Ong không có lừa dối chúng tôi, không hành hung cùng chúng tôi, và không nhận lấy chi nơi tay ai hết.|眾 人 說 、 你 未 曾 欺 負 我 們 、 虐 待 我 們 、 也 未 曾 從 誰 手 裡 受 過 甚 麼 。
Người tiếp rằng: Đức Giê-hô-va chứng cho các ngươi; kẻ chịu xức dầu của Ngài cũng chứng rằng ngày nay các ngươi không tìm thấy gì trong tay ta. Chúng đáp: Nguyện Ngài làm chứng cho!|撒 母 耳 對 他 們 說 、 你 們 在 我 手 裡 沒 有 找 著 甚 麼 、 有 耶 和 華 和 他 的 受 膏 者 今 日 為 證 ． 他 們 說 、 願 他 為 證 。
Sa-mu-ên nói cùng dân sự rằng: Đức Giê-hô-va là Đấng đã lập Môi-se và A-rôn, đem tổ phụ của các ngươi ra khỏi xứ Ê-díp-tô.|撒 母 耳 對 百 姓 說 、 從 前 立 摩 西 、 亞 倫 、 又 領 你 們 列 祖 出 埃 及 地 的 、 是 耶 和 華 。
Vậy bây giờ, hãy ra mắt trước mặt Đức Giê-hô-va, ta sẽ luận cùng các ngươi về hết thảy những việc công bình mà Đức Giê-hô-va đã làm cho các ngươi và cho tổ phụ các ngươi.|現 在 你 們 要 站 住 、 等 我 在 耶 和 華 面 前 對 你 們 講 論 耶 和 華 向 你 們 和 你 們 列 祖 、 所 行 一 切 公 義 的 事 。
Sau khi Gia-cốp đến xứ Ê-díp-tô, tổ phụ các ngươi có kêu cầu cùng Đức Giê-hô-va; Đức Giê-hô-va sai Môi-se và A-rôn đem tổ phụ các ngươi ra khỏi xứ Ê-díp-tô, mà lập họ ở trong chỗ nầy.|從 前 雅 各 到 了 埃 及 ． 後 來 你 們 列 祖 呼 求 耶 和 華 、 耶 和 華 就 差 遣 摩 西 、 亞 倫 領 你 們 列 祖 出 埃 及 、 使 他 們 在 這 地 方 居 住 。
Nhưng họ quên Giê-hô-va Đức Chúa Trời mình, nên Ngài phó họ cho Si-sê-ra, tổng binh của Hát-so, cho dân Phi-li-tin, và cho dân Mô-áp; chúng nó đều tranh chiến cùng họ.|他 們 卻 忘 記 耶 和 華 他 們 的 　 神 、 他 就 把 他 們 付 與 夏 瑣 將 軍 西 西 拉 的 手 裡 、 和 非 利 士 人 並 摩 押 王 的 手 裡 ． 於 是 這 些 人 常 來 攻 擊 他 們 。
Họ bèn kêu cầu Đức Giê-hô-va mà rằng: Chúng tôi đã phạm tội, vì chúng tôi có lìa bỏ Đức Giê-hô-va, mà hầu việc những Ba-anh và At-tát-tê; nhưng bây giờ, xin giải cứu chúng tôi khỏi tay kẻ thù nghịch chúng tôi, thì chúng tôi sẽ phục sự Ngài.|他 們 就 呼 求 耶 和 華 、 說 、 我 們 離 棄 耶 和 華 、 事 奉 巴 力 、 和 亞 斯 他 錄 、 是 有 罪 了 ． 現 在 求 你 救 我 們 脫 離 仇 敵 的 手 、 我 們 必 事 奉 你 。
Đức Giê-hô-va đã sai Giê-ru-ba-anh, Bê-đan, Giép-thê, và Sa-mu-ên; Ngài giải cứu các ngươi khỏi kẻ thù nghịch xung quanh các ngươi, và các ngươi đã ở được an ổn vô sự.|耶 和 華 就 差 遣 耶 路 巴 力 、 比 但 、 耶 弗 他 、 撒 母 耳 、 救 你 們 脫 離 四 圍 仇 敵 的 手 、 你 們 纔 安 然 居 住 。
Song thấy Na-hách, vua dân Am-môn, đến đánh các ngươi, các ngươi nói cùng ta rằng: Không được; phải có một vua cai trị chúng tôi; mà thật Giê-hô-va Đức Chúa Trời các ngươi đã là Vua các ngươi.|你 們 見 亞 捫 人 的 王 拿 轄 來 攻 擊 你 們 、 就 對 我 說 、 我 們 定 要 一 個 王 治 理 我 們 ． 其 實 耶 和 華 你 們 的 　 神 是 你 們 的 王 。
Bây giờ, kìa vua các ngươi đã chọn, và đã cầu xin. Đức Giê-hô-va đã lập người làm vua trên các ngươi.|現 在 你 們 所 求 所 選 的 王 在 這 裡 、 看 哪 、 耶 和 華 已 經 為 你 們 立 王 了 。
Nếu các ngươi kính sợ Đức Giê-hô-va, phục sự Ngài, vâng theo lời phán Ngài, chẳng nghịch mạng lịnh của Ngài; nếu các ngươi và vua cai trị các ngươi vâng theo Giê-hô-va Đức Chúa Trời các ngươi, thì chắc các ngươi sẽ được may mắn.|你 們 若 敬 畏 耶 和 華 、 事 奉 他 、 聽 從 他 的 話 、 不 違 背 他 的 命 令 、 你 們 和 治 理 你 們 的 王 也 都 順 從 耶 和 華 你 們 的 　 神 就 好 了 。
Còn nếu các ngươi không vâng theo lời phán của Đức Giê-hô-va, bội nghịch mạng lịnh của Ngài, thì tay của Đức Giê-hô-va ắt sẽ giáng họa trên các ngươi như đã giáng họa trên tổ phụ các ngươi.|倘 若 不 聽 從 耶 和 華 的 話 、 違 背 他 的 命 令 、 耶 和 華 的 手 必 攻 擊 你 們 、 像 從 前 攻 擊 你 們 列 祖 一 樣 。
Vậy, bây giờ hãy đứng tại đây, đặng xem việc lớn mà Đức Giê-hô-va sẽ làm trước mắt các ngươi.|現 在 你 們 要 站 住 、 看 耶 和 華 在 你 們 眼 前 要 行 一 件 大 事 。
Ngày nay, há chẳng phải là mùa gặt lúa mì sao? Ta sẽ cầu khẩn Đức Giê-hô-va; Ngài sẽ làm sấm sét và mưa, để các ngươi biết và thấy mình đã phạm sự ác lớn trước mặt Đức Giê-hô-va, bởi vì đã xin một vua.|這 不 是 割 麥 子 的 時 候 麼 ． 我 求 告 耶 和 華 、 他 必 打 雷 降 雨 、 使 你 們 又 知 道 又 看 出 、 你 們 求 立 王 的 事 、 是 在 耶 和 華 面 前 犯 大 罪 了 。
Sa-mu-ên bèn cầu khẩn Đức Giê-hô-va; trong ngày đó Đức Giê-hô-va làm sấm sét và mưa; cả dân sự lấy làm sợ Đức Giê-hô-va và Sa-mu-ên lắm.|於 是 撒 母 耳 求 告 耶 和 華 ． 耶 和 華 就 在 這 日 打 雷 降 雨 、 眾 民 便 甚 懼 怕 耶 和 華 和 撒 母 耳 。
Hết thảy đều nói cùng Sa-mu-ên rằng: Xin hãy vì những đầy tớ của ông mà cầu xin Giê-hô-va Đức Chúa Trời ông, hầu cho chúng tôi không chết; vì chúng tôi đã thêm lỗi xin một vua vào các tội khác của chúng tôi.|眾 民 對 撒 母 耳 說 、 求 你 為 僕 人 們 禱 告 耶 和 華 你 的 　 神 、 免 得 我 們 死 亡 、 因 為 我 們 求 立 王 的 事 、 正 是 罪 上 加 罪 了 。
Sa-mu-ên đáp cùng dân sự rằng: Chớ sợ chi. Thật các ngươi có làm mọi điều gian ác nầy; song chớ xây bỏ Đức Giê-hô-va, phải hết lòng phục sự Ngài,|撒 母 耳 對 百 姓 說 、 不 要 懼 怕 ． 你 們 雖 然 行 了 這 惡 、 卻 不 要 偏 離 耶 和 華 、 只 要 盡 心 事 奉 他 。
chớ lìa bỏ Ngài đặng đi theo những hình tượng hư không, chẳng có ích chi, cũng không biết cứu; vì hình tượng chỉ là hư không mà thôi.|若 偏 離 耶 和 華 去 順 從 那 不 能 救 人 的 虛 神 、 是 無 益 的 。
Đức Giê-hô-va vì cớ danh lớn mình, sẽ chẳng từ bỏ dân sự Ngài: chỉn thật, Đức Giê-hô-va đã định các người làm dân sự của Ngài.|耶 和 華 既 喜 悅 選 你 們 作 他 的 子 民 、 就 必 因 他 的 大 名 不 撇 棄 你 們 。
Còn ta đây, cũng chẳng phạm tội cùng Đức Giê-hô-va mà thôi cầu nguyện cho các ngươi. Ta sẽ dạy các ngươi biết con đường lành và ngay.|至 於 我 、 斷 不 停 止 為 你 們 禱 告 、 以 致 得 罪 耶 和 華 ． 我 必 以 善 道 正 路 指 教 你 們 。
Chỉ hãy kính sợ Đức Giê-hô-va, lấy hết lòng trung tín phục sự Ngài; vì khá xem những việc lớn lao mà Ngài làm cho các ngươi là dường nào!|只 要 你 們 敬 畏 耶 和 華 、 誠 誠 實 實 的 盡 心 事 奉 他 、 想 念 他 向 你 們 所 行 的 事 何 等 大 。
Nhưng nếu các ngươi cứ làm ác, thì các ngươi và vua các ngươi chắc sẽ bị diệt vong.|你 們 若 仍 然 作 惡 、 你 們 和 你 們 的 王 、 必 一 同 滅 亡 。

					I Sa-mu-ên 13				|
						撒母耳記上 13					
Khi Sau-lơ lên ngôi vua, thì đã được bốn mươi tuổi. Người đã cai trị trên Y-sơ-ra-ên hai năm,|掃 羅 登 基 年 四 十 歲 ． 作 以 色 列 王 二 年 的 時 候 、
bèn chọn ba ngàn người Y-sơ-ra-ên: hai ngàn người đặng ở cùng mình tại Mích-ma và trên núi Bê-tên, còn một ngàn người thì ở với Giô-na-than tại Ghi-bê -a trong xứ Bên-gia-min. Dân sự còn lại, người cho về, ai nấy vào trong trại mình.|就 從 以 色 列 中 揀 選 了 三 千 人 ． 二 千 跟 隨 掃 羅 在 密 抹 、 和 伯 特 利 山 ． 一 千 跟 隨 約 拿 單 在 便 雅 憫 的 基 比 亞 、 其 餘 的 人 掃 羅 都 打 發 各 回 各 家 去 了 。
Giô-na-than đánh đồn Phi-li-tin ở tại Ghê-ba. Dân Phi-li-tin hay điều đó; Sau-lơ hạ lịnh thổi kèn khắp xứ, mà rằng: Dân Hê-bơ-rơ khá nghe biết!|約 拿 單 攻 擊 迦 巴 、 非 利 士 人 的 防 營 、 非 利 士 人 聽 見 了 ． 掃 羅 就 在 遍 地 吹 角 、 意 思 說 、 要 使 希 伯 來 人 聽 見 。
Vậy, cả Y-sơ-ra-ên đều hay rằng Sau-lơ đã đánh đồn Phi-li-tin và Y-sơ-ra-ên bị dân Phi-li-tin ghen ghét. Bấy giờ, dân sự bị nhóm hiệp lại bên Sau-lơ tại Ghinh-ganh.|以 色 列 眾 人 聽 見 掃 羅 攻 擊 非 利 士 人 的 防 營 ． 又 聽 見 以 色 列 人 為 非 利 士 人 所 憎 惡 、 就 跟 隨 掃 羅 聚 集 在 吉 甲 。
Khi ấy, dân Phi-li-tin hiệp lại đặng đánh Y-sơ-ra-ên: chúng có ba vạn cỗ xe, sáu ngàn lính kỵ, và quân lính đông như cát trên bờ biển. Vậy, chúng nó đi lên, đóng trại tại Mích-ma, về hướng đông của Bết -A-ven.|非 利 士 人 聚 集 要 與 以 色 列 人 爭 戰 、 有 車 三 萬 輛 、 馬 兵 六 千 、 步 兵 像 海 邊 的 沙 那 樣 多 、 就 上 來 在 伯 亞 文 東 邊 的 密 抹 安 營 。
Dân Y-sơ-ra-ên thấy mình nguy cấp vì bị chúng theo riết gần, bèn trốn ẩn trong hang đá, trong bờ bụi, trong gành đá, trong đồn lũy, và trong hầm hố.|以 色 列 百 姓 見 自 己 危 急 窘 迫 、 就 藏 在 山 洞 、 叢 林 、 石 穴 、 隱 密 處 、 和 坑 中 。
Mấy người Hê-bơ-rơ sang qua sông Giô-đanh, đến xứ Gát và Ga-la-át. Song Sau-lơ còn ở tại Ghinh-ganh và hết thảy dân sự đi theo người đều run sợ.|有 些 希 伯 來 人 過 了 約 但 河 、 逃 到 迦 得 和 基 列 地 ． 掃 羅 還 是 在 吉 甲 、 百 姓 都 戰 戰 兢 兢 的 跟 隨 他 。
Sau-lơ đợi bảy ngày, là kỳ của Sa-mu-ên đã định; song vì Sa-mu-ên không đến Ghinh-ganh, dân sự bèn tan đi.|掃 羅 照 著 撒 母 耳 所 定 的 日 期 、 等 了 七 日 ． 撒 母 耳 還 沒 有 來 到 吉 甲 、 百 姓 也 離 開 掃 羅 散 去 了 。
Bấy giờ, Sau-lơ nói: Hãy đem đến cho ta của lễ thiêu và của lễ thù ân; rồi người dâng của lễ thiêu.|掃 羅 說 、 把 燔 祭 和 平 安 祭 帶 到 我 這 裡 來 ． 掃 羅 就 獻 上 燔 祭 。
Khi người dâng xong, kìa Sa-mu-ên bèn đến. Sau-lơ đi ra đón đặng chào người.|剛 獻 完 燔 祭 、 撒 母 耳 就 到 了 ． 掃 羅 出 去 迎 接 他 要 問 他 好 。
Nhưng Sa-mu-ên bèn hỏi: Ngươi đã làm chi? Sau-lơ đáp rằng: Khi tôi thấy dân sự tan đi, ông không đến theo ngày đã định, và dân Phi-li-tin đã hiệp lại tại Mích-ma,|撒 母 耳 說 、 你 作 的 是 甚 麼 事 呢 ． 掃 羅 說 、 因 為 我 見 百 姓 離 開 我 散 去 、 你 也 不 照 所 定 的 日 期 來 到 、 而 且 非 利 士 人 聚 集 在 密 抹 ．
