
					Sáng Thế 1				|
Vả, Ap-ra-ham cùng Sa-ra đã già, tuổi tác đã cao; Sa-ra không còn chi nữa như thế thường người đờn bà.|亞 伯 拉 罕 和 撒 拉 年 紀 老 邁 、 撒 拉 的 月 經 已 斷 絕 了 。
Sa-ra cười thầm mà rằng: Già như tôi thế nầy, dễ còn được điều vui đó sao? Còn chúa tôi cũng đã già rồi!|撒 拉 心 裡 暗 笑 、 說 、 我 既 已 衰 敗 、 我 主 也 老 邁 、 豈 能 有 這 喜 事 呢 。
Đức Giê-hô-va phán hỏi Ap-ra-ham rằng: Cớ sao Sa-ra cười như vậy mà rằng: Có quả thật rằng tôi già đến thế nầy lại còn sanh sản chăng?|耶 和 華 對 亞 伯 拉 罕 說 、 撒 拉 為 甚 麼 暗 笑 、 說 、 我 既 已 年 老 、 果 真 能 生 養 嗎 。
Há điều chi Đức Giê-hô-va làm không được chăng? Đến kỳ đã định, trong một năm nữa, ta sẽ trở lại cùng ngươi, và Sa-ra sẽ có một con trai.|耶 和 華 豈 有 難 成 的 事 麼 ． 到 了 日 期 、 明 年 這 時 候 、 我 必 回 到 你 這 裡 、 撒 拉 必 生 一 個 兒 子 。
Vì Sa-ra sợ, nên chối mà thưa rằng: Tôi có cười đâu! Nhưng Ngài phán rằng: Thật ngươi có cười đó!|撒 拉 就 害 怕 、 不 承 認 、 說 、 我 沒 有 笑 ． 那 位 說 、 不 然 、 你 實 在 笑 了 。
Các đấng đều đứng dậy mà đi, ngó về phía, Sô-đôm. Ap-ra-ham cũng theo để tiễn bước các đấng.|三 人 就 從 那 裡 起 行 、 向 所 多 瑪 觀 看 、 亞 伯 拉 罕 也 與 他 們 同 行 、 要 送 他 們 一 程 。
Đức Giê-hô-va phán rằng: Lẽ nào ta giấu Ap-ra-ham điều chi ta sẽ làm sao?|耶 和 華 說 、 我 所 要 作 的 事 、 豈 可 瞞 著 亞 伯 拉 罕 呢 ．
vì Ap-ra-ham chắc sẽ được trở nên một dân lớn và cường thạnh; các dân tộc trên thế gian đều sẽ nhờ người mà được phước.|亞 伯 拉 罕 必 要 成 為 強 大 的 國 、 地 上 的 萬 國 都 必 因 他 得 福 。
Ta đã chọn người đặng người khiến dạy các con cùng nội nhà người giữ theo đạo Đức Giê-hô-va, làm các điều công bình và ngay thẳng; thế thì, Đức Giê-hô-va sẽ làm cho ứng nghiệm lời Ngài đã hứa cùng Ap-ra-ham.|我 眷 顧 他 、 為 要 叫 他 吩 咐 他 的 眾 子 、 和 他 的 眷 屬 、 遵 守 我 的 道 、 秉 公 行 義 、 使 我 所 應 許 亞 伯 拉 罕 的 話 都 成 就 了 。
Đức Giê-hô-va phán rằng: Tiếng kêu oan về Sô-đôm và Gô-mô-rơ thật là quá, tội lỗi các thành đó thật là trọng.|耶 和 華 說 、 所 多 瑪 和 蛾 摩 拉 的 罪 惡 甚 重 、 聲 聞 於 我 。
Ta muốn ngự xuống, để xem xét chúng nó ăn ở có thật như tiếng đã kêu thấu đến ta chăng; nếu chẳng thật, thì ta sẽ biết.|我 現 在 要 下 去 、 察 看 他 們 所 行 的 、 果 然 盡 像 那 達 到 我 耳 中 的 聲 音 一 樣 麼 ． 若 是 不 然 、 我 也 必 知 道 。
Vậy, thì đấng bèn từ đó đi qua hướng Sô-đôm; nhưng Ap-ra-ham hãy còn đứng chầu trước mặt Đức Giê-hô-va.|二 人 轉 身 離 開 那 裡 、 向 所 多 瑪 去 、 但 亞 伯 拉 罕 仍 舊 站 在 耶 和 華 面 前 。
Ap-ra-ham lại gần và thưa rằng: Chúa sẽ diệt người công bình luôn với người độc ác sao?|亞 伯 拉 罕 近 前 來 說 、 無 論 善 惡 、 你 都 要 剿 滅 麼 。
Ngộ trong thành có năm mươi người công bình, Chúa cũng sẽ diệt họ hết sao? Há chẳng tha thứ cho thành đó vì cớ năm mươi người công bình ở trong sao?|假 若 那 城 裡 有 五 十 個 義 人 、 你 還 剿 滅 那 地 方 麼 。 不 為 城 裡 這 五 十 個 義 人 饒 恕 其 中 的 人 麼 。
Không lẽ nào Chúa làm điều như vậy, diệt người công bình luôn với kẻ độc ác; đến đỗi kể người công bình cũng như người độc ác. Không, Chúa chẳng làm điều như vậy bao giờ! Đấng đoán xét toàn thế gian, há lại không làm sự công bình sao?|將 義 人 與 惡 人 同 殺 、 將 義 人 與 惡 人 一 樣 看 待 、 這 斷 不 是 你 所 行 的 ． 審 判 全 地 的 主 、 豈 不 行 公 義 麼 。
Đức Giê-hô-va phán rằng: Nếu ta tìm được trong Sô-đôm năm mươi người công bình, vì tình thương bấy nhiêu người đó ta sẽ tha hết cả thành.|耶 和 華 說 、 我 若 在 所 多 瑪 城 裡 見 有 五 十 個 義 人 、 我 就 為 他 們 的 緣 故 、 饒 恕 那 地 方 的 眾 人 。
Ap-ra-ham lại thưa rằng: mặc dầu tôi đây vốn là tro bụi, song tôi cũng dám cả gan thưa lại cùng Chúa.|亞 伯 拉 罕 說 、 我 雖 然 是 灰 塵 、 還 敢 對 主 說 話 ．
Hãy trong năm mươi người công bình rủi thiếu hết năm; vì cớ năm người thiếu Chúa sẽ diệt hết cả thành chăng? Ngài trả lời rằng: Nếu ta tìm được có bốn mươi lăm người, ta chẳng diệt thành đâu.|假 若 這 五 十 個 義 人 短 了 五 個 、 你 就 因 為 短 了 五 個 毀 滅 全 城 麼 ． 他 說 、 我 在 那 裡 若 見 有 四 十 五 個 、 也 不 毀 滅 那 城 。
Ap-ra-ham cứ thưa rằng: Ngộ trong thành chỉ có bốn mươi người công bình, thì sẽ ra sao? Ngài phán rằng: Ta sẽ chẳng diệt đâu, vì tình thương bốn mươi nầy.|亞 伯 拉 罕 又 對 他 說 、 假 若 在 那 裡 見 有 四 十 個 怎 麼 樣 呢 ． 他 說 、 為 這 四 十 個 的 緣 故 、 我 也 不 作 這 事 。
Ap-ra-ham cứ tiếp: Tôi xin Chúa đừng giận, thì tôi sẽ thưa: Ngộ trong đó chỉ có ba mươi người, thì sẽ ra sao? Ngài phán: Nếu ta tìm trong đó có ba mươi người, thì ta chẳng diệt đâu.|亞 伯 拉 罕 說 、 求 主 不 要 動 怒 、 容 我 說 ． 假 若 在 那 裡 見 有 三 十 個 怎 麼 樣 呢 ． 他 說 、 我 在 那 裡 若 見 有 三 十 個 、 我 也 不 作 這 事 。
Ap-ra-ham thưa rằng: Tôi đây cũng cả gan thưa cùng Chúa: Nếu chỉ có hai mươi người, thì lại làm sao? Ngài rằng: Vì tình thương hai mươi người đó, ta sẽ chẳng diệt thành đâu.|亞 伯 拉 罕 說 、 我 還 敢 對 主 說 話 、 假 若 在 那 裡 見 有 二 十 個 怎 麼 樣 呢 ． 他 說 、 為 這 二 十 個 的 緣 故 、 我 也 不 毀 滅 那 城 。
Ap-ra-ham lại thưa: Xin Chúa đừng giận, để cho tôi thưa chỉ một lần nầy nữa: Ngộ chỉ có mười người, thì nghĩ làm sao? Ngài phán rằng: Ta cũng sẽ chẳng diệt thành đâu, vì tình thương mười người đó.|亞 伯 拉 罕 說 、 求 主 不 要 動 怒 、 我 再 說 這 一 次 、 假 若 在 那 裡 見 有 十 個 呢 ． 他 說 、 為 這 十 個 的 緣 故 、 我 也 不 毀 滅 那 城 。
Khi Đức Giê-hô-va phán xong cùng Ap-ra-ham, thì Ngài ngự đi; còn Ap-ra-ham trở về trại mình.|耶 和 華 與 亞 伯 拉 罕 說 完 了 話 就 走 了 ． 亞 伯 拉 罕 也 回 到 自 己 的 地 方 去 了 。

					Sáng Thế 19				|
						創世記 19					
Lối chiều, hai thiên sứ đến Sô-đôm; lúc đó, Lót đương ngồi tại cửa thành. Khi Lót thấy hai thiên sứ đến, đứng dậy mà đón rước và sấp mình xuống đất.|那 兩 個 天 使 晚 上 到 了 所 多 瑪 ． 羅 得 正 坐 在 所 多 瑪 城 門 口 ． 看 見 他 們 、 就 起 來 迎 接 、 臉 伏 於 地 下 拜 、
Người thưa rằng: Nầy, lạy hai chúa, xin hãy đến ở nhà của kẻ tôi tớ, và hãy nghỉ đêm tại đó. Hai chúa hãy rửa chơn, rồi sáng mai thức dậy lên đường. Hai thiên sứ phán rằng: Không, đêm nầy ta sẽ ở ngoài đường.|說 、 我 主 阿 、 請 你 們 到 僕 人 家 裡 洗 洗 腳 、 住 一 夜 、 清 早 起 來 再 走 ． 他 們 說 、 不 、 我 們 要 在 街 上 過 夜 。
Nhưng Lót cố mời cho đến đỗi hai thiên sứ phải đi lại vào nhà mình. Người dâng một bữa tiệc, làm bánh không men, và hai thiên sứ bèn dùng tiệc.|羅 得 切 切 的 請 他 們 、 他 們 這 纔 進 去 到 他 屋 裡 ． 羅 得 為 他 們 豫 備 筵 席 、 烤 無 酵 餅 、 他 們 就 喫 了 。
Hai thiên sứ chưa đi nằm, mà các người nam ở Sô-đôm, từ trẻ đến già, tức cả dân, đều chạy đến bao chung quanh nhà.|他 們 還 沒 有 躺 下 、 所 多 瑪 城 裡 各 處 的 人 、 連 老 帶 少 、 都 來 圍 住 那 房 子 ．
Bọn đó gọi Lót mà hỏi rằng: Những khác đã vào nhà ngươi buổi chiều tối nay ở đâu? Hãy dẫn họ ra đây, hầu cho chúng ta được biết.|呼 叫 羅 得 說 、 今 日 晚 上 到 你 這 裡 來 的 人 在 那 裡 呢 ． 把 他 們 帶 出 來 、 任 我 們 所 為 。
Lót bèn ra đến cùng dân chúng ở ngoài cửa, rồi đóng cửa lại,|羅 得 出 來 、 把 門 關 上 、 到 眾 人 那 裡 、
và nói cùng họ rằng: Nầy, tôi xin anh em đừng làm điều ác đó!|說 、 眾 弟 兄 請 你 們 不 要 作 這 惡 事 。
Đây, tôi sẵn có hai con gái chưa chồng, tôi sẽ đưa chúng nó cho anh em, rồi mặc tình anh em tính làm sao tùy ý; miễn đừng làm cho hại cho hai người kia; vì cớ đó, nên họ đến núp bóng mái nhà tôi.|我 有 兩 個 女 兒 、 還 是 處 女 、 容 我 領 出 來 任 憑 你 們 的 心 願 而 行 、 只 是 這 兩 個 人 既 然 到 我 舍 下 、 不 要 向 他 們 作 甚 麼 。
Bọn dân chúng nói rằng: Ngươi hãy tránh chỗ khác! Lại tiếp rằng: Người nầy đến đây như kẻ kiều ngụ, lại muốn đoán xét nữa sao! Vậy, thôi! chúng ta sẽ đãi ngươi bạc-tệ hơn hai khách kia. Đoạn, họ lấn ép Lót mạnh quá, và tràn đến đặng phá cửa.|眾 人 說 、 退 去 罷 ． 又 說 、 這 個 人 來 寄 居 、 還 想 要 作 官 哪 ． 現 在 我 們 要 害 你 比 害 他 們 更 甚 、 眾 人 就 向 前 擁 擠 羅 得 、 要 攻 破 房 門 。
Nhưng hai thiên sứ giơ tay ra, đem Lót vào nhà, và đóng cửa lại,|只 是 那 二 人 伸 出 手 來 、 將 羅 得 拉 進 屋 去 、 把 門 關 上 ．
đoạn, hành phạt bọn dân chúng ở ngoài cửa, từ trẻ đến già, đều quáng lòa mắt, cho đến đỗi tìm cửa mệt mà không được.|並 且 使 門 外 的 人 、 無 論 老 少 、 眼 都 昏 迷 ． 他 們 摸 來 摸 去 、 總 尋 不 著 房 門 。
Hai thiên sứ bèn hỏi Lót rằng: Ngươi còn có ai tại đây nữa chăng? Rể, con trai, con gái và ai trong thành thuộc về ngươi, hãy đem ra khỏi hết đi!|二 人 對 羅 得 說 、 你 這 裡 還 有 甚 麼 人 麼 ． 無 論 是 女 婿 、 是 兒 女 、 和 這 城 中 一 切 屬 你 的 人 、 你 都 要 將 他 們 從 這 地 方 帶 出 去 。
Chúng ta sẽ hủy diệt chỗ nầy, vì tiếng kêu oan về dân thành nầy đã thấu lên đến Đức Giê-hô-va, nên Ngài sai chúng ta xuống mà hủy diệt.|我 們 要 毀 滅 這 地 方 、 因 為 城 內 罪 惡 的 聲 音 、 在 耶 和 華 面 前 甚 大 、 耶 和 華 差 我 們 來 、 要 毀 滅 這 地 方 。
Lót bèn đi ra và nói cùng rể đã cưới con gái mình rằng: Hãy chổi dậy, đi ra khỏi chốn nầy, vì Đức Giê-hô-va sẽ hủy diệt thành. Nhưng các chàng rể tưởng người nói chơi.|羅 得 就 出 去 、 告 訴 娶 了 他 女 兒 的 女 婿 們 、 〔 娶 了 或 作 將 要 娶 〕 說 、 你 們 起 來 離 開 這 地 方 、 因 為 耶 和 華 要 毀 滅 這 城 ． 他 女 婿 們 卻 以 為 他 說 的 是 戲 言 。
Đến sáng, hai thiên sứ hối Lót và phán rằng: Hãy thức dậy, dẫn vợ và hai con gái ngươi đương ở đây ra, e khi ngươi cũng chết lây về việc hình phạt của thành nữa chăng.|天 明 了 、 天 使 催 逼 羅 得 說 、 起 來 、 帶 著 你 的 妻 子 、 和 你 在 這 裡 的 兩 個 女 兒 出 去 、 免 得 你 因 這 城 裡 的 罪 惡 、 同 被 剿 滅 。
Nhưng Lót lần lữa; vì cớ Đức Giê-hô-va thương xót Lót, nên hai thiên sứ nắm lấy tai kéo người, vợ cùng hai con gái người, và dẫn ra khỏi thành.|但 羅 得 遲 延 不 走 ． 二 人 因 為 耶 和 華 憐 恤 羅 得 、 就 拉 著 他 的 手 、 和 他 妻 子 的 手 、 並 他 兩 個 女 兒 的 手 、 把 他 們 領 出 來 、 安 置 在 城 外 。
Vả, khi hai thiên sứ dẫn họ ra khỏi rồi, một trong hai vì nói rằng: Hãy chạy trốn cứu lấy mạng, đừng ngó lại sau và cũng đừng dừng bước lại nơi nào ngoài đồng bằng; hãy chạy trốn lên núi, kẻo phải bỏ mình chăng.|領 他 們 出 來 以 後 、 就 說 、 逃 命 罷 ． 不 可 回 頭 看 、 也 不 可 在 平 原 站 住 、 要 往 山 上 逃 跑 、 免 得 你 被 剿 滅 。
Lót đáp lại rằng: Lạy Chúa, không được!|羅 得 對 他 們 說 、 我 主 阿 、 不 要 如 此 ．
Nầy, tôi tớ đã được ơn trước mặt Chúa; Chúa đã tỏ lòng nhơn từ rất lớn cùng tôi mà cứu tròn sự sống tôi. Nhưng tôi chạy trốn lên núi không kịp trước khi tai nạn đến, thì tôi phải chết.|你 僕 人 已 經 在 你 眼 前 蒙 恩 、 你 又 向 我 顯 出 莫 大 的 慈 愛 、 救 我 的 性 命 、 我 不 能 逃 到 山 上 去 、 恐 怕 這 災 禍 臨 到 我 、 我 便 死 了 。
Kìa, thành kia đã nhỏ, lại cũng gần đặng tôi có thế ẩn mình. Oi! chớ chi Chúa cho tôi ẩn đó đặng cứu tròn sự sống tôi. Thành nầy há chẳng phải nhỏ sao?|看 哪 、 這 座 城 又 小 又 近 、 容 易 逃 到 、 這 不 是 一 個 小 的 麼 ． 求 你 容 我 逃 到 那 裡 、 我 的 性 命 就 得 存 活 。
Thiên sứ phán rằng: Đây, ta ban ơn nầy cho ngươi nữa, sẽ không hủy diệt thành của ngươi đã nói đó đâu.|天 使 對 他 說 、 這 事 我 也 應 允 你 、 我 不 傾 覆 你 所 說 的 這 城 、
Mau mau hãy lại ẩn đó, vì ta không làm chi được khi ngươi chưa vào đến nơi. Bởi cớ ấy, nên người ta gọi tên thành nầy là Xoa.|你 要 速 速 的 逃 到 那 城 、 因 為 你 還 沒 有 到 那 裡 我 不 能 作 甚 麼 。 因 此 那 城 名 叫 瑣 珥 。 〔 瑣 珥 就 是 小 的 意 思 〕
Khi mặt trời mọc lên khỏi đất, thì Lót vào đến thành Xoa.|羅 得 到 了 瑣 珥 、 日 頭 已 經 出 來 了 。
Đoạn, Đức Giê-hô-va giáng mưa diêm sanh và lửa từ nơi Ngài trên trời sa xuống Sô-đôm và Gô-mô-rơ,|當 時 耶 和 華 將 硫 磺 與 火 、 從 天 上 耶 和 華 那 裡 、 降 與 所 多 瑪 和 蛾 摩 拉 、
hủy diệt hai thành nầy, cả đồng bằng, hết thảy dân sự cùng các cây cỏ ở nơi đất đó.|把 那 些 城 、 和 全 平 原 、 並 城 裡 所 有 的 居 民 、 連 地 上 生 長 的 、 都 毀 滅 了 。
Nhưng vợ của Lót quay ngó lại đặng sau mình, nên hóa ra một tượng muối.|羅 得 的 妻 子 在 後 邊 回 頭 一 看 、 就 變 成 了 一 根 鹽 柱 。
Ap-ra-ham dậy sớm, đi đến nơi mà người đã đứng chầu Đức Giê-hô-va,|亞 伯 拉 罕 清 早 起 來 、 到 了 他 從 前 站 在 耶 和 華 面 前 的 地 方 、
ngó về hướng Sô-đôm và Gô-mô-rơ, cùng khắp xứ ở đồng bằng, thì thấy từ dưới đất bay lên một luồng khói, như khói của một lò lửa lớn.|向 所 多 瑪 、 和 蛾 摩 拉 、 與 平 原 的 全 地 觀 看 ． 不 料 、 那 地 方 煙 氣 上 騰 、 如 同 燒 ? 一 般 。
Vả, khi Đức Chúa Trời hủy diệt các thành nơi đồng bằng, tức là thành Lót ở, thì nhớ đến Ap-ra-ham, cứu Lót ra khỏi chốn phá tan đó.|當 　 神 毀 滅 平 原 諸 城 的 時 候 、 他 記 念 亞 伯 拉 罕 、 正 在 傾 覆 羅 得 所 住 之 城 的 時 候 、 就 打 發 羅 得 從 傾 覆 之 中 出 來 。
Lót ở Xoa thì sợ hãi, nên cùng hai con gái mình bỏ đó mà lên núi, ở trong một hang đá kia.|羅 得 因 為 怕 住 在 瑣 珥 、 就 同 他 兩 個 女 兒 從 瑣 珥 上 去 住 在 山 裡 ． 他 和 兩 個 女 兒 住 在 一 個 洞 裡 。
Cô lớn nói cùng em mình rằng: Cha ta đã già, mà không còn ai trên mặt đất đến sánh duyên cùng ta theo như thế thường thiên hạ.|大 女 兒 對 小 女 兒 說 、 我 們 的 父 親 老 了 、 地 上 又 無 人 按 著 世 上 的 常 規 、 進 到 我 們 這 裡 ．
Hè! chúng ta hãy phục rượu cho cha, và lại nằm cùng người, để lưu truyền dòng giống cha lại.|來 、 我 們 可 以 叫 父 親 喝 酒 、 與 他 同 寢 ． 這 樣 、 我 們 好 從 他 存 留 後 裔 。
Đêm đó, hai nàng phục rượu cho cha mình; nàng lớn đến nằm cùng cha; nhưng người chẳng hay lúc nào nàng nằm, lúc nào nàng dậy hết.|於 是 那 夜 他 們 叫 父 親 喝 酒 、 大 女 兒 就 進 去 和 他 父 親 同 寢 ． 他 幾 時 躺 下 、 幾 時 起 來 、 父 親 都 不 知 道 。
Qua ngày mai, chị nói cùng em rằng: Nầy, đêm hôm qua ta đã nằm cùng cha rồi; hôm nay chúng ta hãy phục rượu cho cha nữa, rồi em hãy lại nằm cùng người, để lưu truyền dòng giống cha lại.|第 二 天 、 大 女 兒 對 小 女 兒 說 、 我 昨 夜 與 父 親 同 寢 、 今 夜 我 們 再 叫 他 喝 酒 、 你 可 以 進 去 與 他 同 寢 ． 這 樣 、 我 們 好 從 父 親 存 留 後 裔 ．
Đêm đó, hai nàng lại phục rượu cho cha mình nữa, rồi nàng nhỏ thức dậy lại nằm cùng cha; nhưng người chẳng hay lúc nào nàng nằm, lúc nào nàng dậy hết.|於 是 那 夜 他 們 又 叫 父 親 喝 酒 、 小 女 兒 起 來 與 他 父 親 同 寢 ． 他 幾 時 躺 下 、 幾 時 起 來 、 父 親 都 不 知 道 。
Vậy, hai con gái của Lót do nơi cha mình mà thọ thai.|這 樣 、 羅 得 的 兩 個 女 兒 、 都 從 他 父 親 懷 了 孕 。
Nàng lớn sanh được một con trai, đặt tên là Mô-áp; ấy là tổ phụ của dân Mô-áp đến bây giờ.|大 女 兒 生 了 兒 子 、 給 他 起 名 叫 摩 押 、 就 是 現 今 摩 押 人 的 始 祖 。
Người em cũng sanh đặng một con trai, đặt trên là Bên-Am-mi; ấy là tổ phụ của dân Am-môn đến bây giờ.|小 女 兒 也 生 了 兒 子 、 給 他 起 名 叫 便 亞 米 、 就 是 現 今 亞 捫 人 的 始 祖 。

					Sáng Thế 20				|
						創世記 20					
Ap-ra-ham từ đó đi đến miền Nam, kiều ngụ tại Ghê-ra, ở về giữa khoảng Ca-đe và Su-rơ.|亞 伯 拉 罕 從 那 裡 向 南 地 遷 去 、 寄 居 在 加 低 斯 和 書 珥 中 間 的 基 拉 耳 。
Ap-ra-ham nói về Sa-ra, vợ mình rằng: Nó là em gái tôi. A-bi-mê-léc, vua Ghê-ra sai người bắt Sa-ra.|亞 伯 拉 罕 稱 他 的 妻 撒 拉 為 妹 子 、 基 拉 耳 王 亞 比 米 勒 差 人 把 撒 拉 取 了 去 。
Nhưng trong cơn chiêm bao ban đêm, Đức Chúa Trời hiện đến cùng vua A-bi-mê-léc mà phán rằng: Nầy, ngươi sẽ chết bởi cớ người đờn bà mà ngươi đã bắt đến; vì nàng có chồng rồi.|但 夜 間 　 神 來 在 夢 中 、 對 亞 比 米 勒 說 、 你 是 個 死 人 哪 、 因 為 你 取 了 那 女 人 來 、 他 原 是 別 人 的 妻 子 。
Vả, vua A-bi-mê-léc chưa đến gần người đó, nên thưa rằng: Lạy Chúa, Chúa há sẽ hủy diệt cả một dân công bình chăng?|亞 比 米 勒 卻 還 沒 有 親 近 撒 拉 ． 他 說 、 主 阿 、 連 有 義 的 國 你 也 要 毀 滅 麼 。
Người đó há chẳng nói với tôi rằng: ấy là em gái tôi chăng? và chánh người nữ há chẳng nói rằng: ấy là anh tôi sao? Tôi làm sự nầy bởi lòng ngay thẳng và tay thanh khiết của tôi.|那 人 豈 不 是 自 己 對 我 說 、 他 是 我 的 妹 子 麼 ． 就 是 女 人 也 自 己 說 、 他 是 我 的 哥 哥 ． 我 作 這 事 、 是 心 正 手 潔 的 。
Trong cơn chiêm bao, Đức Chúa Trời phán nữa rằng: Ta cũng biết ngươi vì lòng ngay thẳng mà làm điều đó; bởi cớ ấy, ta mới ngăn trở ngươi phạm tội cùng ta, và không cho động đến người đó.|　 神 在 夢 中 對 他 說 、 我 知 道 你 作 這 事 是 心 中 正 直 、 我 也 攔 阻 了 你 、 免 得 你 得 罪 我 、 所 以 我 不 容 你 沾 著 他 。
Bây giờ, hãy giao đờn bà đó lại cho chồng nó, vì chồng nó là một đấng tiên tri, sẽ cầu nguyện cho ngươi, thì ngươi mới được sống. Còn như không giao lại, thì phải biết rằng ngươi và hết thảy ai thuộc về ngươi quả hẳn sẽ chết.|現 在 你 把 這 人 的 妻 子 歸 還 他 、 因 為 他 是 先 知 、 他 要 為 你 禱 告 、 使 你 存 活 ． 你 若 不 歸 還 他 、 你 當 知 道 、 你 和 你 所 有 的 人 、 都 必 要 死 。
Vua A-bi-mê-léc dậy sớm, đòi các tôi tớ mình đến, thuật lại hết mọi lời, thì họ lấy làm kinh ngạc.|亞 比 米 勒 清 早 起 來 、 召 了 眾 臣 僕 來 、 將 這 些 事 都 說 給 他 們 聽 、 他 們 都 甚 懼 怕 。
Rồi, A-bi-mê-léc đòi Ap-ra-ham mà nói rằng: Ngươi đã làm gì cho ta vậy? Ta có làm điều chi mất lòng chăng mà ngươi làm cho ta và cả nước phải bị một việc phạm tội lớn dường nầy? Đối cùng ta, ngươi đã làm những việc không nên làm đó.|亞 比 米 勒 召 了 亞 伯 拉 罕 來 、 對 他 說 、 你 怎 麼 向 我 這 樣 行 呢 、 我 在 甚 麼 事 上 得 罪 了 你 、 你 竟 使 我 和 我 國 裡 的 人 陷 在 大 罪 裡 ． 你 向 我 行 不 當 行 的 事 了 。
Vua A-bi-mê-léc lại nói cùng Ap-ra-ham rằng: Ngươi có ý gì mà làm như vậy?|亞 比 米 勒 又 對 亞 伯 拉 罕 說 、 你 見 了 甚 麼 纔 作 這 事 呢 。
Ap-ra-ham đáp: Tôi tự nghĩ rằng: Trong xứ nầy thật không có ai kính sợ Đức Chúa Trời, thì họ sẽ vì cớ vợ tôi mà giết tôi chăng.|亞 伯 拉 罕 說 、 我 以 為 這 地 方 的 人 總 不 懼 怕 　 神 、 必 為 我 妻 子 的 緣 故 殺 我 。
Nhưng nó cũng thật là em gái tôi, em một cha khác mẹ; và tôi cưới nó làm vợ.|況 且 他 也 實 在 是 我 的 妹 子 、 他 與 我 是 同 父 異 母 、 後 來 作 了 我 的 妻 子 。
Khi Đức Chúa Trời làm cho tôi phải lưu lạc xa nhà cha, thì tôi có nói với nàng rằng: Nầy là ơn của ngươi sẽ làm cho ta: Hễ chỗ nào chúng ta sẽ đi đến, hãy nói về ta: Ay là anh tôi.|當 　 神 叫 我 離 開 父 家 飄 流 在 外 的 時 候 、 我 對 他 說 、 我 們 無 論 走 到 甚 麼 地 方 、 你 可 以 對 人 說 、 他 是 我 的 哥 哥 ． 這 就 是 你 待 我 的 恩 典 了 。
Đoạn, vua A-bi-mê-léc đem chiên và bò, tôi trai cùng tớ gái cho Ap-ra-ham, và trả Sa-ra vợ người lại, mà phán rằng:|亞 比 米 勒 把 牛 羊 、 僕 婢 賜 給 亞 伯 拉 罕 、 又 把 他 的 妻 子 撒 拉 歸 還 他 。
Nầy, xứ ta sẵn dành cho ngươi; ngươi thích đâu thì ở đó.|亞 比 米 勒 又 說 、 看 哪 、 我 的 地 都 在 你 面 前 、 你 可 以 隨 意 居 住 。
Rồi vua phán cùng Sa-ra rằng: Đây, ta ban cho anh ngươi một ngàn miếng bạc; số tiền đó dùng cho ngươi như một bức màn che trước mắt về mọi việc đã xảy ra cùng ngươi; và mọi người đều sẽ cho ngươi là công bình.|又 對 撒 拉 說 、 我 給 你 哥 哥 一 千 銀 子 、 作 為 你 在 閤 家 人 面 前 遮 羞 的 、 〔 羞 原 文 作 眼 〕 你 就 在 眾 人 面 前 沒 有 不 是 了 。
Ap-ra-ham cầu xin Đức Chúa Trời, thì Ngài chữa bịnh cho vua A-bi-mê-léc, vợ cùng các con đòi người; vậy, họ đều có con.|亞 伯 拉 罕 禱 告 　 神 、 　 神 就 醫 好 了 亞 比 米 勒 和 他 的 妻 子 、 並 他 的 眾 女 僕 、 他 們 便 能 生 育 。
Vả, lúc trước, vì vụ Sa-ra, vợ Ap-ra-ham, nên Đức Giê-hô-va làm cho cả nhà A-bi-mê-léc đều son sẻ.|因 耶 和 華 為 亞 伯 拉 罕 的 妻 子 撒 拉 的 緣 故 、 已 經 使 亞 比 米 勒 家 中 的 婦 人 、 不 能 生 育 。

					Sáng Thế 21				|
						創世記 21					
Đức Giê-hô-va đến viếng Sa-ra, theo như lời Ngài đã phán, và làm cho nàng như lời Ngài đã nói.|耶 和 華 按 著 先 前 的 話 、 眷 顧 撒 拉 、 便 照 他 所 說 的 給 撒 拉 成 就 。
Sa-ra thọ thai, sanh một con trai cho Ap-ra-ham trong khi tuổi đã già, đúng kỳ Đức Chúa Trời đã định.|當 亞 伯 拉 罕 年 老 的 時 候 、 撒 拉 懷 了 孕 ． 到 　 神 所 說 的 日 期 、 就 給 亞 伯 拉 罕 生 了 一 個 兒 子 。
Ap-ra-ham đặt tên đứa trai mà Sa-ra đã sanh cho mình là Y-sác.|亞 伯 拉 罕 給 撒 拉 所 生 的 兒 子 起 名 叫 以 撒 。
Đúng tám ngày, Ap-ra-ham làm phép cắt bì cho Y-sác theo như lời Đức Chúa Trời đã phán dặn.|以 撒 生 下 來 第 八 日 、 亞 伯 拉 罕 照 著 　 神 所 吩 咐 的 、 給 以 撒 行 了 割 禮 。
Vả, khi Y-sác ra đời, thì Ap-ra-ham đã được một trăm tuổi.|他 兒 子 以 撒 生 的 時 候 、 亞 伯 拉 罕 年 一 百 歲 。
Sa-ra nói rằng: Đức Chúa Trời làm cho tôi một việc vui cười; hết thảy ai hay được cũng sẽ vui cười về sự của tôi.|撒 拉 說 、 　 神 使 我 喜 笑 、 凡 聽 見 的 必 與 我 一 同 喜 笑 。
Lại nói rằng: Há ai dám nói với Ap-ra-ham rằng Sa-ra sẽ cho con bú ư? vì tôi đã sanh một đứa trai trong lúc người già yếu rồi.|又 說 、 誰 能 豫 先 對 亞 伯 拉 罕 說 、 撒 拉 要 乳 養 嬰 孩 呢 、 因 為 在 他 年 老 的 時 候 、 我 給 他 生 了 一 個 兒 子 。
