
					Lê-vi 1				|
lại phải thêm bánh có pha men mà dâng với của lễ thù ân cảm tạ.|要 用 有 酵 的 餅 、 和 為 感 謝 獻 的 平 安 祭 、 與 供 物 一 同 獻 上 。
Họ sẽ lấy một phần trong mỗi lễ vật làm của lễ chay giơ lên dâng cho Đức Giê-hô-va; của lễ đó sẽ thuộc về thầy tế lễ đã rưới huyết của con sinh tế thù ân.|從 各 樣 的 供 物 中 、 他 要 把 一 個 餅 獻 給 耶 和 華 為 舉 祭 、 是 要 歸 給 灑 平 安 祭 牲 血 的 祭 司 。
Thịt của con sinh tế cảm tạ thù ân thì phải ăn hết nội ngày đã dâng lên, không nên để sót chi lại đến sáng mai.|為 感 謝 獻 平 安 祭 牲 的 肉 、 要 在 獻 的 日 子 喫 、 一 點 不 可 留 到 早 晨 。
Nếu của lễ dâng về việc thường nguyện hay là lạc ý, thì phải ăn con sinh đó nội trong ngày đã dâng lên; còn dư lại thì ăn ngày mai.|若 所 獻 的 、 是 為 還 願 、 或 是 甘 心 獻 的 、 必 在 獻 祭 的 日 子 喫 、 所 剩 下 的 第 二 天 也 可 以 喫 。
Nhưng phần còn dư lại đến ngày thứ ba thì phải thiêu đi.|但 所 剩 下 的 祭 肉 、 到 第 三 天 要 用 火 焚 燒 ．
Nếu ai ăn thịt của lễ thù ân trong ngày thứ ba, thì người nào dâng của lễ đó sẽ chẳng được nhậm và chẳng kể chi của lễ đó cho người nữa; ấy là một điều gớm ghê, ai ăn thịt đó sẽ mang lấy tội mình.|第 三 天 若 喫 了 平 安 祭 的 肉 、 這 祭 必 不 蒙 悅 納 、 人 所 獻 的 也 不 算 為 祭 、 反 為 可 憎 嫌 的 、 喫 這 祭 肉 的 、 就 必 擔 當 他 的 罪 孽 。
Cũng chẳng nên ăn thịt đã đụng đến vật chi ô uế; phải thiêu đi. Còn thịt nào ăn được, ai tinh sạch mới nên ăn.|挨 了 污 穢 物 的 肉 、 就 不 可 喫 、 要 用 火 焚 燒 ． 至 於 平 安 祭 的 肉 、 凡 潔 淨 的 人 都 要 喫 ．
Ai đã bị ô uế, lại ăn thịt của lễ thù ân vẫn thuộc về Đức Giê-hô-va, thì sẽ bị truất khỏi dân sự mình.|只 是 獻 與 耶 和 華 平 安 祭 的 肉 、 人 若 不 潔 淨 而 喫 了 、 這 人 必 從 民 中 剪 除 。
Nếu ai đụng đến sự ô uế, hoặc của loài người, hoặc của loài vật hay là điều gì ghê gớm, mà lại ăn thịt của lễ thù ân vẫn thuộc về Đức Giê-hô-va, thì sẽ bị truất khỏi dân sự mình.|有 人 摸 了 甚 麼 不 潔 淨 的 物 、 或 是 人 的 不 潔 淨 、 或 是 不 潔 淨 的 牲 畜 、 或 是 不 潔 可 憎 之 物 、 喫 了 獻 與 耶 和 華 平 安 祭 的 肉 、 這 人 必 從 民 中 剪 除 。
Đức Giê-hô-va lại phán cùng Môi-se rằng:|耶 和 華 對 摩 西 說 、
Hãy truyền cho dân Y-sơ-ra-ên rằng: Chẳng nên ăn một thứ mỡ nào của bò, chiên hay là dê.|你 曉 諭 以 色 列 人 說 、 牛 的 脂 油 、 綿 羊 的 脂 油 、 山 羊 的 脂 油 、 你 們 都 不 可 喫 。
Mỡ của con thú nào chết hay là bị xé sẽ được dùng về mọi việc, nhưng các ngươi không nên ăn;|自 死 的 、 和 被 野 獸 撕 裂 的 、 那 脂 油 可 以 作 別 的 使 用 、 只 是 你 們 萬 不 可 喫 。
vì ai ăn mỡ của những thú người ta dùng lửa dâng cho Đức Giê-hô-va, sẽ bị truất khỏi dân sự mình.|無 論 何 人 喫 了 獻 給 耶 和 華 當 火 祭 牲 畜 的 脂 油 、 那 人 必 從 民 中 剪 除 。
Trong nơi nào các ngươi ở chẳng nên ăn huyết, hoặc của loài chim hay là của loài súc vật.|在 你 們 一 切 的 住 處 、 無 論 是 雀 鳥 的 血 、 是 野 獸 的 血 、 你 們 都 不 可 喫 。
Phàm ai ăn một thứ huyết nào sẽ bị truất khỏi dân sự mình.|無 論 是 誰 喫 血 、 那 人 必 從 民 中 剪 除 。
Đức Giê-hô-va còn phán cùng Môi-se rằng:|耶 和 華 對 摩 西 說 、
Hãy truyền cho dân Y-sơ-ra-ên rằng: Người nào dâng của lễ thù ân cho Đức Giê-hô-va, phải đem đến cho Ngài lễ vật do trong của lễ thù ân mình.|你 曉 諭 以 色 列 人 說 、 獻 平 安 祭 給 耶 和 華 的 、 要 從 平 安 祭 中 取 些 來 、 奉 給 耶 和 華 ．
Chánh tay người sẽ đem phần phải dùng lửa dâng cho Đức Giê-hô-va; tức là mỡ và cái o, cái o để đặng dùng làm của lễ đưa qua đưa lại trước mặt Đức Giê-hô-va;|他 親 手 獻 給 耶 和 華 的 火 祭 、 就 是 脂 油 和 胸 、 要 帶 來 、 好 把 胸 在 耶 和 華 面 前 作 搖 祭 、 搖 一 搖 。
rồi thầy tế lễ sẽ xông mỡ trên bàn thờ, còn cái o thì thuộc về phần A-rôn và các con trai người.|祭 司 要 把 脂 油 在 壇 上 焚 燒 、 但 胸 要 歸 亞 倫 和 他 的 子 孫 。
Các ngươi cũng sẽ cho thầy tế lễ cái giò hữu về của lễ thù ân đặng làm của lễ giơ lên.|你 們 要 從 平 安 祭 中 把 右 腿 作 舉 祭 、 奉 給 祭 司 。
Còn ai trong vòng các con trai A-rôn dâng huyết và mỡ của con sinh tế thù ân, thì sẽ được phần cái giò hữu.|亞 倫 子 孫 中 、 獻 平 安 祭 牲 血 和 脂 油 的 、 要 得 這 右 腿 為 分 ．
Vì trong những của lễ thù ân của dân Y-sơ-ra-ên ta lấy cái o mà họ đưa qua đưa lại trước mặt ta, và cái giò mà họ dâng giơ lên, đặng ban cho thầy tế lễ A-rôn và các con trai người, chiếu theo luật lệ đời đời mà dân Y-sơ-ra-ên phải giữ theo.|因 為 我 從 以 色 列 人 的 平 安 祭 中 、 取 了 這 搖 的 胸 和 舉 的 腿 、 給 祭 司 亞 倫 和 他 子 孫 、 作 他 們 從 以 色 列 人 中 所 永 得 的 分 。
Ay là phần trong những của lễ dùng lửa dâng cho Đức Giê-hô-va mà phép xức dầu sẽ truyền cho A-rôn và các con trai người trong ngày nào lập họ làm chức tế lễ trước mặt Đức Giê-hô-va;|這 是 從 耶 和 華 火 祭 中 、 作 亞 倫 受 膏 的 分 、 和 他 子 孫 受 膏 的 分 、 正 在 摩 西 〔 原 文 作 他 〕 叫 他 們 前 來 給 耶 和 華 供 祭 司 職 分 的 日 子 、
ấy là điều Đức Giê-hô-va đã phán dặn dân Y-sơ-ra-ên phải ban cho họ từ ngày họ chịu phép xức dầu. Ay là một luật lệ đời đời trải qua các thế đại.|就 是 在 摩 西 〔 原 文 作 他 〕 膏 他 們 的 日 子 、 耶 和 華 吩 咐 以 色 列 人 給 他 們 的 ． 這 是 他 們 世 世 代 代 永 得 的 分 。
Đó là luật về của lễ thiêu, về của lễ chay, về của lễ chuộc tội, về của lễ chuộc sự mắc lỗi, về của lễ phong chức và về của lễ thù ân,|這 就 是 燔 祭 、 素 祭 、 贖 罪 祭 、 贖 愆 祭 、 和 平 安 祭 的 條 例 、 並 承 接 聖 職 的 禮 ．
mà Đức Giê-hô-va đã truyền cho Môi-se tại trên núi Si-na -i khi Ngài dặn biểu dân Y-sơ-ra-ên dâng của lễ mình cho Đức Giê-hô-va trong đồng vắng Si-na -i.|都 是 耶 和 華 在 西 乃 山 所 吩 咐 摩 西 的 、 就 是 他 在 西 乃 曠 野 吩 咐 以 色 列 人 獻 供 物 給 耶 和 華 之 日 所 說 的 。

					Lê-vi 8				|
						利未記 8					
Đức Giê-hô-va phán cùng Môi-se rằng:|耶 和 華 曉 諭 摩 西 說 、
Hãy đem A-rôn cùng các con trai người, áo xống, dầu xức, con bò tơ làm của lễ chuộc tội, hai con chiên đực, và giỏ bánh không men;|你 將 亞 倫 和 他 兒 子 一 同 帶 來 、 並 將 聖 衣 、 膏 油 、 與 贖 罪 祭 的 一 隻 公 牛 、 兩 隻 公 綿 羊 、 一 筐 無 酵 餅 、 都 帶 來 ．
rồi nhóm hiệp cả hội chúng tại cửa hội mạc.|又 招 聚 會 眾 到 會 幕 門 口 。
Môi-se bèn làm y như lời Đức Giê-hô-va phán dặn, hội chúng nhóm hiệp tại nơi cửa hội mạc.|摩 西 就 照 耶 和 華 所 吩 咐 的 行 了 ． 於 是 會 眾 聚 集 在 會 幕 門 口 。
Môi-se nói cùng hội chúng rằng: Đây là các điều Đức Giê-hô-va đã phán dặn làm theo.|摩 西 告 訴 會 眾 說 、 這 就 是 耶 和 華 所 吩 咐 當 行 的 事 。
Đoạn, Môi-se biểu A-rôn và các con trai người lại gần, rồi lấy nước rửa họ.|摩 西 帶 了 亞 倫 和 他 兒 子 來 、 用 水 洗 了 他 們 。
Người mặc áo lá trong cho A-rôn, cột đai lưng, mặc áo dài, mặc ê-phót và cột đai ê-phót.|給 亞 倫 穿 上 內 袍 、 束 上 腰 帶 、 穿 上 外 袍 、 又 加 上 以 弗 得 、 用 其 上 巧 工 織 的 帶 子 、 把 以 弗 得 繫 在 他 身 上 ．
Người cũng đeo bảng đeo ngực và gắn vào bảng u-rim và thu-mim,|又 給 他 戴 上 胸 牌 、 把 烏 陵 、 和 土 明 、 放 在 胸 牌 內 、
đội cái mão lên đầu, phía trước mão buộc thẻ vàng, tức là tràng thánh, y như lời Đức Giê-hô-va đã phán dặn Môi-se.|把 冠 冕 戴 在 他 頭 上 、 在 冠 冕 的 前 面 釘 上 金 牌 、 就 是 聖 冠 ． 都 是 照 耶 和 華 所 吩 咐 摩 西 的 。
Kế đó, Môi-se lấy dầu xức, xức cho đền tạm và các vật ở tại đó biệt riêng ra thánh,|摩 西 用 膏 油 抹 帳 幕 、 和 其 中 所 有 的 、 使 他 成 聖 ．
rảy dầu bảy lần trên bàn thờ và xức dầu cho bàn thờ cùng các đồ phụ tùng của bàn thờ, cái thùng và chân thùng, đặng biệt riêng ra thánh.|又 用 膏 油 在 壇 上 彈 了 七 次 、 又 抹 了 壇 、 和 壇 的 一 切 器 皿 、 並 洗 濯 盆 、 和 盆 座 、 使 他 成 聖 ．
Người cũng đổ dầu xức trên đầu A-rôn, xức cho người đặng biệt riêng ra thánh.|又 把 膏 油 倒 在 亞 倫 的 頭 上 膏 他 、 使 他 成 聖 。
Đoạn, Môi-se biểu các con trai A-rôn lại gần, mặc áo lá trong cho, cột đai, đội mão lên đầu, y như Đức Giê-hô-va đã phán dặn Môi-se.|摩 西 帶 了 亞 倫 的 兒 子 來 、 給 他 們 穿 上 內 袍 、 束 上 腰 帶 、 包 上 裹 頭 巾 ． 都 是 照 耶 和 華 所 吩 咐 摩 西 的 。
Người biểu đem con bò tơ dùng làm của lễ chuộc tội lại gần, A-rôn và các con trai người nhận tay mình trên đầu nó.|他 牽 了 贖 罪 祭 的 公 牛 來 、 亞 倫 和 他 兒 子 、 按 手 在 贖 罪 祭 公 牛 的 頭 上 、
Môi-se giết nó, lấy huyết, rồi dùng ngón tay bôi huyết trên chung quanh sừng của bàn thờ, làm cho bàn thờ nên thanh sạch; đoạn đổ huyết dưới chân bàn thờ; như vậy, người biệt bàn thờ riêng ra thánh, để làm lễ chuộc tội tại đó.|就 宰 了 公 牛 ． 摩 西 用 指 頭 蘸 血 、 抹 在 壇 上 四 角 的 周 圍 、 使 壇 潔 淨 、 把 血 倒 在 壇 的 腳 那 裡 、 使 壇 成 聖 、 壇 就 潔 淨 了 。
Người lấy hết thảy mỡ chài, tấm da mỏng bọc gan, hai trái cật với mỡ của hai trái cật, rồi đem xông trên bàn thờ.|又 取 臟 上 所 有 的 脂 油 、 和 肝 上 的 網 子 、 並 兩 個 腰 子 、 與 腰 子 上 的 脂 油 、 都 燒 在 壇 上 。
Còn con bò, da, thịt và phẩn nó, thì người đem thiêu ở ngoài trại quân, y như Đức Giê-hô-va đã phán dặn Môi-se.|惟 有 公 牛 、 連 皮 帶 肉 、 並 糞 、 用 火 燒 在 營 外 ． 都 是 照 耶 和 華 所 吩 咐 摩 西 的 。
Người cũng biểu đem con chiên đực dùng làm của lễ thiêu lại gần, A-rôn và các con trai người nhận tay mình trên đầu nó;|他 奉 上 燔 祭 的 公 綿 羊 ． 亞 倫 和 他 兒 子 、 按 手 在 羊 的 頭 上 、
rồi Môi-se giết nó và rưới huyết chung quanh trên bàn thờ;|就 宰 了 公 羊 ． 摩 西 把 血 灑 在 壇 的 周 圍 ．
đoạn sả thịt ra từ miếng, đem xông cái đầu, mấy miếng đó và mỡ.|把 羊 切 成 塊 子 、 把 頭 、 和 肉 塊 、 並 脂 油 、 都 燒 了 。
Người lấy nước rửa bộ lòng và giò, rồi xông trọn con chiên đực trên bàn thờ; ấy là một của lễ thiêu có mùi thơm, tức một của lễ dùng lửa dâng cho Đức Giê-hô-va, y như Đức Giê-hô-va đã phán dặn Môi-se.|用 水 洗 了 臟 腑 、 和 腿 、 就 把 全 羊 燒 在 壇 上 、 為 馨 香 的 燔 祭 、 是 獻 給 耶 和 華 的 火 祭 ． 都 是 照 耶 和 華 所 吩 咐 摩 西 的 。
Người cũng biểu đem con chiên đực thứ nhì lại gần, tức là con chiên đực về lễ phong chức; A-rôn và các con trai người nhận tay mình trên đầu con chiên đực đó.|他 又 奉 上 第 二 隻 公 綿 羊 、 就 是 承 接 聖 職 之 禮 的 羊 、 亞 倫 和 他 兒 子 、 按 手 在 羊 的 頭 上 、
Môi-se giết nó, lấy huyết bôi trên trái tai hữu của A-rôn, trên ngón cái của bàn tay mặt và trên ngón cái của bàn chân mặt.|就 宰 了 羊 ． 摩 西 把 些 血 抹 在 亞 倫 的 右 耳 垂 上 、 和 右 手 的 大 拇 指 上 、 並 右 腳 的 大 拇 指 上 ．
Môi-se cũng biểu các con trai A-rôn đến gần, bôi huyết nơi trái tai hữu họ, trên ngón cái của bàn tay mặt và trên ngón cái của bàn chân mặt; đoạn, Môi-se rưới huyết chung quanh trên bàn thờ.|又 帶 了 亞 倫 的 兒 子 來 、 把 些 血 抹 在 他 們 的 右 耳 垂 上 、 和 右 手 的 大 拇 指 上 、 並 右 腳 的 大 拇 指 上 ． 又 把 血 灑 在 壇 的 周 圍 。
Kế đó, người lấy mỡ, đuôi, hết thảy mỡ chài, tấm da mỏng bọc gan, hai trái cật với mỡ của hai trái cật và cái giò hữu;|取 脂 油 、 和 肥 尾 巴 、 並 臟 上 一 切 的 脂 油 、 與 肝 上 的 網 子 、 兩 個 腰 子 、 和 腰 子 上 的 脂 油 、 並 右 腿 ．
lại lấy trong giỏ bánh không men để trước mặt Đức Giê-hô-va, một cái bánh nhỏ không men, một cái bánh nhỏ có dầu, và một cái bánh tráng, để mấy bánh đó trên những mỡ và giò hữu,|再 從 耶 和 華 面 前 盛 無 酵 餅 的 筐 子 裡 、 取 出 一 個 無 酵 餅 、 一 個 油 餅 、 一 個 薄 餅 、 都 放 在 脂 油 和 右 腿 上 。
đoạn để hết thảy trong tay A-rôn và tay các con trai người; họ đưa qua đưa lại trước mặt Đức Giê-hô-va.|把 這 一 切 放 在 亞 倫 的 手 上 、 和 他 兒 子 的 手 上 、 作 搖 祭 、 在 耶 和 華 面 前 搖 一 搖 。
Môi-se lấy các món đó khỏi tay họ, đem xông nơi bàn thờ tại trên của lễ thiêu; ấy là của lễ về sự phong chức có mùi thơm, tức là của lễ dùng lửa dâng cho Đức Giê-hô-va.|摩 西 從 他 們 的 手 上 拿 下 來 、 燒 在 壇 上 的 燔 祭 上 ． 都 是 為 承 接 聖 職 獻 給 耶 和 華 馨 香 的 火 祭 。
Môi-se cũng lấy cái o của con chiên đực về lễ phong chức và đưa qua đưa lại trước mặt Đức Giê-hô-va; ấy là phần thuộc về Môi-se, y như Đức Giê-hô-va đã phán dặn người.|摩 西 拿 羊 的 胸 作 為 搖 祭 、 在 耶 和 華 面 前 搖 一 搖 、 是 承 接 聖 職 之 禮 、 歸 摩 西 的 分 ． 都 是 照 耶 和 華 所 吩 咐 摩 西 的 。
Kế ấy, Môi-se lấy dầu xức và huyết trên bàn thờ rảy trên A-rôn và trên quần áo người, trên các con trai người và trên quần áo họ, biệt A-rôn và quần áo người, các con trai người và quần áo họ riêng ra thánh.|摩 西 取 點 膏 油 、 和 壇 上 的 血 、 彈 在 亞 倫 和 他 的 衣 服 上 、 並 他 兒 子 和 他 兒 子 的 衣 服 上 、 使 他 和 他 們 的 衣 服 、 一 同 成 聖 。
Đoạn, Môi-se nói cùng A-rôn và các con trai người rằng: Các người hãy nấu thịt tại cửa hội mạc, và ăn tại đó với bánh ở trong giỏ về lễ phong chức, y như ta đã phán dặn rằng: A-rôn và các con trai người sẽ ăn thịt đó.|摩 西 對 亞 倫 和 他 兒 子 說 、 把 肉 煮 在 會 幕 門 口 、 在 那 裡 喫 、 又 喫 承 接 聖 職 筐 子 裡 的 餅 、 按 我 所 吩 咐 的 說 、 〔 或 作 按 所 吩 咐 我 的 說 〕 這 是 亞 倫 和 他 兒 子 要 喫 的 。
Nhưng các ngươi phải thiêu thịt và bánh còn dư lại.|剩 下 的 肉 和 餅 、 你 們 要 用 火 焚 燒 。
Trong bảy ngày các ngươi không nên đi ra khỏi cửa hội mạc cho đến chừng nào những ngày phong chức mình được trọn rồi, vì việc phong chức các ngươi sẽ trải qua bảy ngày.|你 們 七 天 不 可 出 會 幕 的 門 、 等 到 你 們 承 接 聖 職 的 日 子 滿 了 、 因 為 主 叫 你 們 七 天 承 接 聖 職 。
Đức Giê-hô-va đã phán dặn làm y như hôm nay người ta đã làm, để làm lễ chuộc tội cho các ngươi.|像 今 天 所 行 的 、 都 是 耶 和 華 吩 咐 行 的 、 為 你 們 贖 罪 。
Vậy, hãy ở trọn ngày cả đêm tại cửa hội mạc trong bảy bữa, gìn giữ mạng lịnh của Đức Giê-hô-va, hầu cho các ngươi khỏi thác, vì Ngài đã truyền dặn ta như vậy.|七 天 你 們 要 晝 夜 住 在 會 幕 門 口 、 遵 守 耶 和 華 的 吩 咐 、 免 得 你 們 死 亡 、 因 為 所 吩 咐 我 的 就 是 這 樣 。
A-rôn và các con trai người làm mọi điều y như Đức Giê-hô-va cậy Môi-se truyền dặn vậy.|於 是 亞 倫 和 他 兒 子 行 了 耶 和 華 藉 著 摩 西 所 吩 咐 的 一 切 事 。

					Lê-vi 9				|
						利未記 9					
Qua ngày thứ tám, Môi-se gọi A-rôn và các con trai người cùng những trưởng lão của Y-sơ-ra-ên,|到 了 第 八 天 、 摩 西 召 了 亞 倫 和 他 兒 子 、 並 以 色 列 的 眾 長 老 來 、
rồi dạy A-rôn rằng: Hãy bắt một con bò con đực đặng làm của lễ chuộc tội, một con chiên đực làm của lễ thiêu, đều không tì vít chi, và dâng lên trước mặt Đức Giê-hô-va.|對 亞 倫 說 、 你 當 取 牛 群 中 的 一 隻 公 牛 犢 作 贖 罪 祭 、 一 隻 公 綿 羊 作 燔 祭 、 都 要 沒 有 殘 疾 的 、 獻 在 耶 和 華 面 前 。
Ngươi hãy nói cùng dân Y-sơ-ra-ên rằng: Các ngươi hãy bắt một con dê đực làm của lễ chuộc tội, một con bò con và một con chiên con không tì vít chi, một tuổi, đặng dùng làm của lễ thiêu,|你 也 要 對 以 色 列 人 說 、 你 們 當 取 一 隻 公 山 羊 作 贖 罪 祭 、 又 取 一 隻 牛 犢 、 和 一 隻 綿 羊 羔 、 都 要 一 歲 沒 有 殘 疾 的 、 作 燔 祭 。
một con bò tơ, một con chiên đực đặng dùng làm của lễ thù ân, để dâng lên trước mặt Đức Giê-hô-va, và một của lễ chay chế dầu; vì ngày nay Đức Giê-hô-va sẽ hiện ra cùng các ngươi.|又 取 一 隻 公 牛 、 一 隻 公 綿 羊 、 作 平 安 祭 、 獻 在 耶 和 華 面 前 ． 並 取 調 油 的 素 祭 、 因 為 今 天 耶 和 華 要 向 你 們 顯 現 。
Vậy, họ dẫn đến trước hội mạc những vật Môi-se đã dặn biểu; rồi cả hội chúng đến gần đứng trước mặt Đức Giê-hô-va.|於 是 他 們 把 摩 西 所 吩 咐 的 、 帶 到 會 幕 前 、 全 會 眾 都 近 前 來 、 站 在 耶 和 華 面 前 。
Môi-se nói rằng: Đây là các điều Đức Giê-hô-va phán dặn; hãy làm đi, thì sự vinh quang của Đức Giê-hô-va sẽ hiện ra cùng các ngươi.|摩 西 說 、 這 是 耶 和 華 吩 咐 你 們 所 當 行 的 、 耶 和 華 的 榮 光 就 要 向 你 們 顯 現 。
Đoạn, Môi-se nói cùng A-rôn rằng: Ngươi hãy đến gần bàn thờ dâng của lễ chuộc tội và của lễ thiêu của ngươi đi, để vì ngươi và vì dân sự làm lễ chuộc tội; lại cùng hãy dâng của lễ của dân sự và làm lễ chuộc tội cho họ, y như Đức Giê-hô-va đã phán dặn vậy.|摩 西 對 亞 倫 說 、 你 就 近 壇 前 、 獻 你 的 贖 罪 祭 、 和 燔 祭 、 為 自 己 與 百 姓 贖 罪 ． 又 獻 上 百 姓 的 供 物 、 為 他 們 贖 罪 、 都 照 耶 和 華 所 吩 咐 的 。
A-rôn bèn lại gần bàn thờ, giết bò con đực dùng làm của lễ chuộc tội.|於 是 亞 倫 就 近 壇 前 、 宰 了 為 自 己 作 贖 罪 祭 的 牛 犢 。
Các con trai người đem huyết đến; người nhúng ngón tay vào, bôi trên các sừng bàn thờ, rồi đổ huyết dưới chân bàn thờ.|亞 倫 的 兒 子 把 血 奉 給 他 、 他 就 把 指 頭 蘸 在 血 中 、 抹 在 壇 的 四 角 上 、 又 把 血 倒 在 壇 腳 那 裡 。
Người lấy đem xông trên bàn thờ mỡ, hai trái cật và tấm da mỏng bọc gan của con sinh tế chuộc tội, y như Đức Giê-hô-va đã phán dặn Môi-se.|惟 有 贖 罪 祭 的 脂 油 、 和 腰 子 、 並 肝 上 取 的 網 子 、 都 燒 在 壇 上 ． 是 照 耶 和 華 所 吩 咐 摩 西 的 。
Còn thịt và da, người đem ra thiêu ngoài trại quân.|又 用 火 將 肉 和 皮 燒 在 營 外 。
Đoạn, người giết con sinh dùng làm của lễ thiêu. Các con trai A-rôn đem huyết đến, người rưới chung quanh trên bàn thờ.|亞 倫 宰 了 燔 祭 牲 、 他 兒 子 把 血 遞 給 他 、 他 就 灑 在 壇 的 周 圍 。
Họ cũng đem cho A-rôn thịt của lễ thiêu sả ra từ miếng và dầu, rồi người xông hết trên bàn thờ.|又 把 燔 祭 一 塊 一 塊 的 、 連 頭 遞 給 他 、 他 都 燒 在 壇 上 。
Đoạn, người rửa bộ lòng và các giò, đem xông trên của lễ thiêu nơi bàn thờ.|又 洗 了 臟 腑 和 腿 、 燒 在 壇 上 的 燔 祭 上 。
Người cũng dâng của lễ của dân sự; bắt con dê đực dùng làm của lễ chuộc tội cho dân sự, giết nó và dâng lên đặng chuộc tội, y như của lễ đầu tiên;|他 奉 上 百 姓 的 供 物 、 把 那 給 百 姓 作 贖 罪 祭 的 公 山 羊 宰 了 、 為 罪 獻 上 、 和 先 獻 的 一 樣 。
lại người cũng dâng của lễ thiêu theo luật lệ đã định.|也 奉 上 燔 祭 、 照 例 而 獻 。
Kế đó, người dâng của lễ chay, trút đầy bụm tay mình đem xông trên bàn thờ, ngoại trừ của lễ thiêu hồi ban mai.|他 又 奉 上 素 祭 、 從 其 中 取 一 滿 把 、 燒 在 壇 上 、 這 是 在 早 晨 的 燔 祭 以 外 。
Người cũng vì dân sự giết con bò tơ và con chiên đực làm của lễ thù ân. Các con trai A-rôn đem huyết đến, và người rưới chung quanh trên bàn thờ.|亞 倫 宰 了 那 給 百 姓 作 平 安 祭 的 公 牛 、 和 公 綿 羊 、 他 兒 子 把 血 遞 給 他 、 他 就 灑 在 壇 的 周 圍 。
Họ cũng đem đến cho người mỡ của con bò tơ và con chiên đực, đuôi, mỡ trên bộ lòng, hai trái cật, và tấm da mỏng bọc gan;|又 把 公 牛 和 公 綿 羊 的 脂 油 、 肥 尾 巴 、 並 蓋 臟 的 脂 油 、 與 腰 子 、 和 肝 上 的 網 子 、 都 遞 給 他 ．
để những mỡ nầy trên o, rồi xông mỡ nơi bàn thờ.|把 脂 油 放 在 胸 上 、 他 就 把 脂 油 燒 在 壇 上 。
Đoạn, A-rôn lấy cái o và giò hữu đưa qua đưa lại trước mặt Đức Giê-hô-va, y như Môi-se đã dặn biểu.|胸 和 右 腿 、 亞 倫 當 作 搖 祭 、 在 耶 和 華 面 前 搖 一 搖 ． 都 是 照 摩 西 所 吩 咐 的 。
A-rôn giơ tay mình trên dân sự chúc phước cho; sau khi dâng của lễ chuộc tội, của lễ thiêu, và của lễ thù ân, thì người bước xuống khỏi bàn thờ.|亞 倫 向 百 姓 舉 手 、 為 他 們 祝 福 ． 他 獻 了 贖 罪 祭 、 燔 祭 、 平 安 祭 、 就 下 來 了 。
Môi-se và A-rôn bèn vào hội mạc, kế lại ra chúc phước cho dân sự; sự vinh quang của Đức Giê-hô-va hiện ra cùng cả dân sự:|摩 西 亞 倫 進 入 會 幕 、 又 出 來 為 百 姓 祝 福 、 耶 和 華 的 榮 光 就 向 眾 民 顯 現 。
một ngọn lửa từ trước mặt Đức Giê-hô-va lóe ra thiêu hóa của lễ thiêu và mỡ trên bàn thờ. Cả dân sự thấy, đều cất tiếng reo mừng và sấp mặt xuống đất.|有 火 從 耶 和 華 面 前 出 來 、 在 壇 上 燒 盡 燔 祭 、 和 脂 油 ． 眾 民 一 見 、 就 都 歡 呼 、 俯 伏 在 地 。

					Lê-vi 10				|
						利未記 10					
Hai con trai A-rôn, Na-đáp và A-bi-hu, mỗi người đều cầm lư hương mình, để lửa vào, bỏ hương lên và dâng một thứ lửa lạ trước mặt Đức Giê-hô-va; ấy là điều Ngài không phán dặn họ.|亞 倫 的 兒 子 拿 答 、 亞 比 戶 、 各 拿 自 己 的 香 爐 、 盛 上 火 、 加 上 香 、 在 耶 和 華 面 前 獻 上 凡 火 、 是 耶 和 華 沒 有 吩 咐 他 們 的 ．
Một ngọn lửa từ trước mặt Đức Giê-hô-va lòe ra, nuốt tiêu họ và họ chết trước mặt Đức Giê-hô-va.|就 有 火 從 耶 和 華 面 前 出 來 、 把 他 們 燒 滅 、 他 們 就 死 在 耶 和 華 面 前 。
Môi-se bèn nói cùng A-rôn rằng: Ay là điều Đức Giê-hô-va đã tỏ ra khi Ngài phán rằng: Ta sẽ nhờ những kẻ lại gần ta mà được tôn thánh và được vinh hiển trước mặt cả dân sự. A-rôn nín lặng.|於 是 摩 西 對 亞 倫 說 、 這 就 是 耶 和 華 所 說 、 我 在 親 近 我 的 人 中 、 要 顯 為 聖 、 在 眾 民 面 前 、 我 要 得 榮 耀 ． 亞 倫 就 默 默 不 言 。
Môi-se gọi Mi-sa-ên và En-sa-phan, hai con trai của U-xi-ên, chú của A-rôn, mà dạy rằng: Hãy lại gần khiêng thây hai anh em các ngươi khỏi trước nơi thánh, đem ra ngoài trại quân.|摩 西 召 了 亞 倫 叔 父 烏 薛 的 兒 子 米 沙 利 、 以 利 撒 反 來 、 對 他 們 說 、 上 前 來 把 你 們 的 親 屬 從 聖 所 前 抬 到 營 外 。
Vậy, họ đến gần khiêng thây còn mặc áo lá trong ra ngoài trại quân, y như lời Môi-se đã biểu.|於 是 二 人 上 前 來 、 把 他 們 穿 著 袍 子 抬 到 營 外 ． 是 照 摩 西 所 吩 咐 的 。
