
					Thánh Thi 1				|
Vì Ngài đã lập đất trên các biển, Và đặt nó vững trên các nước lớn.|他 把 地 建 立 在 海 上 、 安 定 在 大 水 之 上 。
Ai sẽ được lên núi Đức Giê-hô-va? Ai sẽ được đứng nổi trong nơi thánh của Ngài?|誰 能 登 耶 和 華 的 山 ． 誰 能 站 在 他 的 聖 所 ．
Ay là người có tay trong sạch và lòng thanh khiết, Chẳng hướng linh hồn mình về sự hư không, Cũng chẳng thề nguyện giả dối.|就 是 手 潔 心 清 、 不 向 虛 妄 、 起 誓 不 懷 詭 詐 的 人 。
Người ấy sẽ được phước từ nơi Đức Giê-hô-va, Và sự công bình từ nơi Đức Chúa Trời về sự cứu rỗi người.|他 必 蒙 耶 和 華 賜 福 、 又 蒙 救 他 的 　 神 使 他 成 義 。
Ay là dòng dõi của những người tìm kiếm Đức Giê-hô-va, Tức là những người tìm kiếm mặt Đức Chúa Trời của Gia-cốp.|這 是 尋 求 耶 和 華 的 族 類 、 是 尋 求 你 面 的 雅 各 。 〔 細 拉 〕
Hỡi các cửa, hãy cất đầu lên! Hỡi các cửa đời đời, hãy mở cao lên! Thì Vua vinh hiển sẽ vào.|眾 城 門 哪 、 你 們 要 抬 起 頭 來 ． 永 久 的 門 戶 、 你 們 要 被 舉 起 ． 那 榮 耀 的 王 將 要 進 來 。
Vua vinh hiển nầy là ai? Ay là Đức Giê-hô-va có sức lực và quyền năng, Đức Giê-hô-va mạnh dạn trong chiến trận.|榮 耀 的 王 是 誰 呢 ． 就 是 有 力 有 能 的 耶 和 華 、 在 戰 場 上 有 能 的 耶 和 華 。
Hỡi các cửa, hãy cất đầu lên! Hỡi các cửa đời đời, hãy mở cao lên, Thì vua vinh hiển sẽ vào.|眾 城 門 哪 、 你 們 要 抬 起 頭 來 ． 永 久 的 門 戶 、 你 們 要 把 頭 抬 起 ． 那 榮 耀 的 王 將 要 進 來 。
Vua vinh hiển nầy là ai? Ay là Đức Giê-hô-va vạn quân, Chính Ngài là Vua vinh hiển.|榮 耀 的 王 是 誰 呢 ． 萬 軍 之 耶 和 華 、 他 是 榮 耀 的 王 。 〔 細 拉 〕

					Thánh Thi 25				|
						詩篇 25					
Hỡi Đức Giê-hô-va, linh hồn tôi hướng về Ngài.|〔 大 衛 的 詩 。 〕 耶 和 華 阿 、 我 的 心 仰 望 你 。
Đức Chúa Trời tôi ôi! tôi để lòng tin cậy nơi Ngài; nguyện tôi chớ bị hổ thẹn, Chớ để kẻ thù nghịch tôi thắng hơn tôi.|我 的 　 神 阿 、 我 素 來 倚 靠 你 ． 求 你 不 要 叫 我 羞 愧 ． 不 要 叫 我 的 仇 敵 向 我 誇 勝 。
Thật, chẳng ai trông cậy Ngài mà lại bị hổ thẹn; Còn những kẻ làm gian trá vô cớ, chúng nó sẽ bị hổ thẹn.|凡 等 候 你 的 必 不 羞 愧 ． 惟 有 那 無 故 行 奸 詐 的 、 必 要 羞 愧 。
Hỡi Đức Giê-hô-va, xin cho tôi biết các đường lối Ngài, Và dạy dỗ tôi các nẻo đàng Ngài.|耶 和 華 阿 、 求 你 將 你 的 道 指 示 我 、 將 你 的 路 教 訓 我 。
Xin hãy dẫn tôi trong lẽ thật của Ngài, và dạy dỗ tôi, Vì Ngài là Đức Chúa Trời về sự cứu rỗi tôi; Hằng ngày tôi trông đợi Ngài.|求 你 以 你 的 真 理 引 導 我 、 教 訓 我 ． 因 為 你 是 救 我 的 　 神 ． 我 終 日 等 候 你 。
Hỡi Đức Giê-hô-va, xin hãy nhớ lại sự thương xót và sự nhơn từ của Ngài; Vì hai điều ấy hằng có từ xưa.|耶 和 華 阿 、 求 你 記 念 你 的 憐 憫 和 慈 愛 ． 因 為 這 是 亙 古 以 來 所 常 有 的 。
Xin chớ nhớ các tội lỗi của buổi đang thì tôi, hoặc các sự vi phạm tôi; Hỡi Đức Giê-hô-va, xin hãy nhớ đến tôi tùy theo sự thương xót và lòng nhơn từ của Ngài.|求 你 不 要 記 念 我 幼 年 的 罪 愆 、 和 我 的 過 犯 。 耶 和 華 阿 、 求 你 因 你 的 恩 惠 、 按 你 的 慈 愛 記 念 我 。
Đức Giê-hô-va là thiện và ngay thẳng, Bởi cớ ấy Ngài sẽ chỉ dạy con đường cho kẻ có tội.|耶 和 華 是 良 善 正 直 的 ． 所 以 他 必 指 示 罪 人 走 正 路 。
Ngài sẽ dẫn kẻ hiền từ cách chánh trực, Chỉ dạy con đường Ngài cho người nhu mì.|他 必 按 公 平 引 領 謙 卑 人 、 將 他 的 道 教 訓 他 們 。
Các đường lối Đức Giê-hô-va đều là nhơn từ và chơn thật. Cho kẻ nào giữ gìn giao ước và chứng cớ của Ngài.|凡 遵 守 他 的 約 和 他 法 度 的 人 、 耶 和 華 都 以 慈 愛 誠 實 待 他 。
Đức Giê-hô-va ôi! Nhơn danh Ngài, Xin hãy tha tội ác tôi, vì nó trọng.|耶 和 華 阿 、 求 你 因 你 的 名 赦 免 我 的 罪 、 因 為 我 的 罪 重 大 。
Ai là người kính sợ Đức Giê-hô-va? Ngài sẽ chỉ dạy cho người ấy con đường mình phải chọn.|誰 敬 畏 耶 和 華 、 耶 和 華 必 指 示 他 當 選 擇 的 道 路 。
Linh hồn người sẽ được ở nơi bình an. Và con cháu người sẽ được đất làm sản nghiệp.|他 必 安 然 居 住 ． 他 的 後 裔 必 承 受 地 土 。
Đức Giê-hô-va kết bạn thiết cùng người kính sợ Ngài, Tỏ cho người ấy biết giao ước của Ngài.|耶 和 華 與 敬 畏 他 的 人 親 密 ． 他 必 將 自 己 的 約 指 示 他 們 。
Mắt tôi hằng ngưỡng vọng Đức Giê-hô-va; Vì Ngài sẽ xở chơn tôi ra khỏi lưới.|我 的 眼 目 時 常 仰 望 耶 和 華 ． 因 為 他 必 將 我 的 腳 從 網 裡 拉 出 來 。
Cầu xin Chúa hãy đoái xem tôi và thương xót tôi, Vì tôi một mình và khốn khổ.|求 你 轉 向 我 、 憐 恤 我 、 因 為 我 是 孤 獨 困 苦 。
Sự bối rối nơi lòng tôi đã thêm nhiều; Xin Chúa cứu tôi khỏi sự hoạn nạn.|我 心 裡 的 愁 苦 甚 多 ． 求 你 救 我 脫 離 我 的 禍 患 。
Khá xem xét sự khốn khổ và sự cực nhọc tôi, Và tha các tội lỗi tôi.|求 你 看 顧 我 的 困 苦 、 我 的 艱 難 、 赦 免 我 一 切 的 罪 。
Hãy xem xét kẻ thù nghịch tôi, vì chúng nó nhiều; Chúng nó ghét tôi cách hung bạo.|求 你 察 看 我 的 仇 敵 、 因 為 他 們 人 多 ． 並 且 痛 痛 的 恨 我 。
Xin Chúa hãy giữ linh hồn tôi, và giải cứu tôi; Chớ để tôi bị hổ thẹn, Vì tôi nương náu mình nơi Chúa.|求 你 保 護 我 的 性 命 、 搭 救 我 、 使 我 不 至 羞 愧 、 因 為 我 投 靠 你 。
Nguyện sự thanh liêm và sự ngay thẳng bảo hộ tôi, Vì tôi trông đợi Chúa.|願 純 全 正 直 保 守 我 、 因 為 我 等 候 你 。
Đức Chúa Trời ôi! Xin cứu chuộc Y-sơ-ra-ên Khỏi hết thảy sự gian truân người.|　 神 阿 、 求 你 救 贖 以 色 列 脫 離 他 一 切 的 愁 苦 。

					Thánh Thi 26				|
						詩篇 26					
Hỡi Đức Giê-hô-va, xin hãy đoán xét tôi, vì tôi đã bước đi trong sự thanh liêm, Tôi cũng nhờ cậy Đức Giê-hô-va, không xiêu tó.|〔 大 衛 的 詩 。 〕 耶 和 華 阿 、 求 你 為 我 伸 冤 、 因 我 向 來 行 事 純 全 、 我 又 倚 靠 耶 和 華 並 不 搖 動 。
Đức Giê-hô-va ôi! xin hãy dò xét và thử thách tôi, Rèn luyện lòng dạ tôi,|耶 和 華 阿 、 求 你 察 看 我 、 試 驗 我 、 熬 煉 我 的 肺 腑 心 腸 。
Vì sự nhơn từ Chúa ở trước mặt tôi, Tôi đã đi theo lẽ thật của Chúa.|因 為 你 的 慈 愛 常 在 我 眼 前 ． 我 也 按 你 的 真 理 而 行 。
Tôi không ngồi chung cùng người dối trá, Cũng chẳng đi với kẻ giả hình.|我 沒 有 和 虛 謊 人 同 坐 ． 也 不 與 瞞 哄 人 的 同 群 。
Tôi ghét bọn làm ác, Chẳng chịu ngồi chung với kẻ dữ.|我 恨 惡 惡 人 的 會 、 必 不 與 惡 人 同 坐 。
Hỡi Đức Giê-hô-va, tôi sẽ rửa tay tôi trong sự vô tội, Và đi vòng xung quanh bàn thờ của Ngài;|耶 和 華 阿 、 我 要 洗 手 表 明 無 辜 、 纔 環 繞 你 的 祭 壇 ．
Hầu cho nức tiếng tạ ơn, Và thuật các công việc lạ lùng của Chúa.|我 好 發 稱 謝 的 聲 音 ． 也 要 述 說 你 一 切 奇 妙 的 作 為 。
Hỡi Đức Giê-hô-va, tôi ưa nơi ở của nhà Ngài, Và chốn ngự của sự vinh hiển Ngài.|耶 和 華 阿 、 我 喜 愛 你 所 住 的 殿 、 和 你 顯 榮 耀 的 居 所 。
Cầu Chúa chớ cất linh hồn tôi chung với tội nhơn, Cũng đừng trừ mạng sống tôi với người đổ huyết;|不 要 把 我 的 靈 魂 和 罪 人 一 同 除 掉 ． 不 要 把 我 的 性 命 和 流 人 血 的 一 同 除 掉 。
Trong tay chúng nó có gian ác, Tay hữu họ đầy dẫy hối lộ.|他 們 的 手 中 有 奸 惡 、 右 手 滿 有 賄 賂 。
Còn tôi, tôi sẽ bước đi trong sự thanh liêm, Xin hãy chuộc tôi, và thương xót tôi.|至 於 我 、 卻 要 行 事 純 全 ． 求 你 救 贖 我 、 憐 恤 我 。
Chơn tôi đứng trên đường bằng thẳng; Tôi sẽ ngợi khen Đức Giê-hô-va trong các hội chúng.|我 的 腳 站 在 平 坦 地 方 ． 在 眾 會 中 我 要 稱 頌 耶 和 華 。

					Thánh Thi 27				|
						詩篇 27					
Đức Giê-hô-va là ánh sáng và là sự cứu rỗi tôi: Tôi sẽ sợ ai? Đức Giê-hô-va là đồn lũy của mạng sống tôi: Tôi sẽ hãi hùng ai?|〔 大 衛 的 詩 。 〕 耶 和 華 是 我 的 亮 光 、 是 我 的 拯 救 ． 我 還 怕 誰 呢 ． 耶 和 華 是 我 性 命 的 保 障 ． 〔 保 障 或 作 力 量 〕 我 還 懼 誰 呢 。
Khi kẻ làm ác, kẻ cừu địch và thù nghịch tôi, xông vào tôi, Đặng ăn nuốt thịt tôi, Thì chúng nó đều vấp ngã.|那 作 惡 的 、 就 是 我 的 仇 敵 、 前 來 喫 我 肉 的 時 候 、 就 絆 跌 仆 倒 。
Dầu một đạo binh đóng đối cùng tôi, Lòng tôi sẽ chẳng sợ; Dầu giặc giã dấy nghịch cùng tôi, Khi ấy tôi cũng có lòng tin cậy vững bền.|雖 有 軍 兵 安 營 攻 擊 我 、 我 的 心 也 不 害 怕 ． 雖 然 興 起 刀 兵 攻 擊 我 、 我 必 仍 舊 安 穩 。
Tôi đã xin Đức Giê-hô-va một điều, và sẽ tìm kiếm điều ấy! Ay là tôi muốn trọn đời được ở trong nhà Đức Giê-hô-va, Để nhìn xem sự tốt đẹp của Đức Giê-hô-va, Và cầu hỏi trong đền của Ngài.|有 一 件 事 、 我 曾 求 耶 和 華 、 我 仍 要 尋 求 ． 就 是 一 生 一 世 住 在 耶 和 華 的 殿 中 、 瞻 仰 他 的 榮 美 、 在 他 的 殿 裡 求 問 。
Vì trong ngày tai họa, Ngài sẽ che khuất tôi trong lều Ngài, Giấu tôi nơi kín mật của trại Ngài; Cũng sẽ đỡ tôi lên trên một hòn đá.|因 為 我 遭 遇 患 難 、 他 必 暗 暗 地 保 守 我 ． 在 他 亭 子 裡 、 把 我 藏 在 他 帳 幕 的 隱 密 處 、 將 我 高 舉 在 磐 石 上 。
Bây giờ đầu tôi sẽ được ngước cao hơn các kẻ thù nghịch vây quanh tôi; Trong trại Ngài tôi sẽ dâng của lễ bằng sự vui vẻ; Tôi sẽ hát mừng, và ca tụng Đức Giê-hô-va.|現 在 我 得 以 昂 首 、 高 過 四 面 的 仇 敵 ． 我 要 在 他 的 帳 幕 裡 歡 然 獻 祭 ． 我 要 唱 詩 、 歌 頌 耶 和 華 。
Hỡi Đức Giê-hô-va, xin hãy nghe; tiếng tôi kêu cầu cùng Ngài: hãy thương xót tôi, và nhậm lời tôi.|耶 和 華 阿 、 我 用 聲 音 呼 籲 的 時 候 、 求 你 垂 聽 ． 並 求 你 憐 恤 我 、 應 允 我 。
Khi Chúa phán rằng: Các ngươi hãy tim mặt ta; Thì lòng tôi thưa cùng Chúa rằng: Đức Giê-hô-va ôi! tôi sẽ tìm mặt Ngài.|你 說 、 你 們 當 尋 求 我 的 面 ． 那 時 我 心 向 你 說 、 耶 和 華 阿 、 你 的 面 我 正 要 尋 求 。
Hỡi Đức Chúa Trời về sự cứu rỗi tôi, Xin chớ ẩn mặt Chúa với tôi, Chớ xô đuổi kẻ tôi tớ Chúa trong khi Chúa nổi giận. Khi trước Chúa là sự tiếp trợ tôi, xin chớ lìa tôi, chớ bỏ tôi.|不 要 向 我 掩 面 ． 不 要 發 怒 趕 逐 僕 人 ． 你 向 來 是 幫 助 我 的 ． 救 我 的 　 神 阿 、 不 要 丟 掉 我 、 也 不 要 離 棄 我 。
Khi cha mẹ bỏ tôi đi, Thì Đức Giê-hô-va sẽ tiếp nhận tôi.|我 父 母 離 棄 我 、 耶 和 華 必 收 留 我 。
Hỡi Đức Giê-hô-va, xin chỉ dạy tôi con đường Ngài; Nhơn vì các kẻ thù nghịch tôi, Xin hỡi dẫn tôi vào lối bằng thẳng.|耶 和 華 阿 、 求 你 將 你 的 道 指 教 我 、 因 我 仇 敵 的 緣 故 引 導 我 走 平 坦 的 路 。
Chớ phó tôi cho ý muốn kẻ cừu địch tôi; Vì những chứng dối, Và kẻ buông ra sự hung bạo, đã dấy nghịch cùng tôi.|求 你 不 要 把 我 交 給 敵 人 、 遂 其 所 願 ． 因 為 妄 作 見 證 的 、 和 口 吐 兇 言 的 、 起 來 攻 擊 我 。
Oi! Nếu tôi không tin chắc rằng sẽ thấy ơn của Đức Giê-hô-va tại đất kẻ sống, Thì tôi hẳn đã ngã lòng rồi!|我 若 不 信 在 活 人 之 地 得 見 耶 和 華 的 恩 惠 、 就 早 已 喪 膽 了 。
Hãy trông đợi Đức Giê-hô-va; Hãy vững lòng bền chí! Phải, hãy trông đợi Đức Giê-hô-va.|要 等 候 耶 和 華 ． 當 壯 膽 、 堅 固 你 的 心 ． 我 再 說 、 要 等 候 耶 和 華 。

					Thánh Thi 28				|
						詩篇 28					
Hỡi Đức Giê-hô-va, tôi kêu cầu Ngài; Hỡi hòn Đá tôi, chớ bịt tai cùng tôi; Kẻo nếu Ngài làm thinh với tôi, Tôi phải giống như những kẻ xuống huyệt chăng.|〔 大 衛 的 詩 。 〕 耶 和 華 阿 、 我 要 求 告 你 ． 我 的 磐 石 阿 、 不 要 向 我 緘 默 ． 倘 若 你 向 我 閉 口 、 我 就 如 將 死 的 人 一 樣 。
Khi tôi giơ tay lên hướng về nơi chí thánh Chúa mà kêu cầu cùng Chúa, Xin hãy nghe tiếng khẩn cầu của tôi.|我 呼 求 你 、 向 你 至 聖 所 舉 手 的 時 候 、 求 你 垂 聽 我 懇 求 的 聲 音 。
Xin chớ cất tôi đi mất chung với kẻ dữ, Hoặc với kẻ làm ác, Là những kẻ nói hòa bình cùng người lân cận mình, Song trong lòng lại có gian tà.|不 要 把 我 和 惡 人 、 並 作 孽 的 、 一 同 除 掉 ． 他 們 與 鄰 舍 說 和 平 話 、 心 裡 卻 是 奸 惡 。
Xin Chúa hãy phạt chúng nó tùy công việc tay chúng nó đã làm, Báo lại điều chúng nó xứng đáng.|願 你 按 著 他 們 所 作 的 、 並 他 們 所 行 的 惡 事 待 他 們 ． 願 你 照 著 他 們 手 所 作 的 待 他 們 ． 將 他 們 所 應 得 的 報 應 加 給 他 們 。
Vì chúng nó không để ý vào các công việc của Đức Giê-hô-va, Cũng chẳng coi chừng việc tay Ngài làm; Nên Ngài sẽ phá đổ chúng nó, không dựng chúng nó lên đâu.|他 們 既 然 不 留 心 耶 和 華 所 行 的 、 和 他 手 所 作 的 、 他 就 必 毀 壞 他 們 、 不 建 立 他 們 。
Đáng ngợi khen Đức Giê-hô-va thay! Vì Ngài đã nghe tiếng cầu khẩn của tôi.|耶 和 華 是 應 當 稱 頌 的 、 因 為 他 聽 了 我 懇 求 的 聲 音 。
Đức Giê-hô-va là sức mạnh và là cái khiên của tôi; Lòng tôi đã nhờ cậy nơi Ngài, và tôi được cứu tiếp; Vì vậy, lòng tôi rất mừng rỡ, Tôi sẽ lấy bài ca mà ngợi khen Ngài.|耶 和 華 是 我 的 力 量 、 是 我 的 盾 牌 ． 我 心 裡 倚 靠 他 、 就 得 幫 助 ． 所 以 我 心 中 歡 樂 ． 我 必 用 詩 歌 頌 讚 他 。
Đức Giê-hô-va là sức lực của dân Ngài, Đồn lũy cứu rỗi cho người chịu xức dầu của Ngài.|耶 和 華 是 他 百 姓 的 力 量 、 又 是 他 受 膏 者 得 救 的 保 障 。
Xin hãy cứu dân Chúa, và ban phước cho cơ nghiệp Ngài; Cũng hãy chăn nuôi và nâng đỡ họ đời đời.|求 你 拯 救 你 的 百 姓 、 賜 福 給 你 的 產 業 、 牧 養 他 們 、 扶 持 他 們 、 直 到 永 遠 。

					Thánh Thi 29				|
						詩篇 29					
Hỡi các con của Đức Chúa Trời, Hãy tôn Đức Giê-hô-va vinh hiển và quyền năng.|〔 大 衛 的 詩 。 〕 　 神 的 眾 子 阿 、 你 們 要 將 榮 耀 能 力 、 歸 給 耶 和 華 、 歸 給 耶 和 華 。
Hãy tôn Đức Giê-hô-va vinh hiển xứng đáng cho danh Ngài; Hãy mặc trang sức thánh mà thờ lạy Đức Giê-hô-va.|要 將 耶 和 華 的 名 所 當 得 的 榮 耀 歸 給 他 ． 以 聖 潔 的 妝 飾 〔 的 或 作 為 〕 敬 拜 耶 和 華 。
Tiếng Đức Giê-hô-va dội trên các nước; Giê-hô-va Đức Chúa Trời vinh hiển sấm sét Trên các nước sâu.|耶 和 華 的 聲 音 發 在 水 上 ． 榮 耀 的 　 神 打 雷 、 耶 和 華 打 雷 在 大 水 之 上 。
Tiếng Đức Giê-hô-va rất mạnh; Tiếng Đức Giê-hô-va có sự oai nghiêm.|耶 和 華 的 聲 音 大 有 能 力 ． 耶 和 華 的 聲 音 滿 有 威 嚴 。
Tiếng Đức Giê-hô-va bẻ gãy cây hương nam: Phải Đức Giê-hô-va bẻ gãy cây hương nam Li-ban,|耶 和 華 的 聲 音 震 破 香 柏 樹 ． 耶 和 華 震 碎 利 巴 嫩 的 香 柏 樹 。
Ngài khiến nó nhảy như bò con, Li-ban và Si-ri-ôn nhảy như bò tót tơ.|他 也 使 之 跳 躍 如 牛 犢 、 使 利 巴 嫩 和 西 連 跳 躍 如 野 牛 犢 。
Tiếng Đức Giê-hô-va khiến những lằn lửa văng ra.|耶 和 華 的 聲 音 使 火 焰 分 岔 。
Tiếng Đức Giê-hô-va làm cho đồng vắng rúng động; Đức Giê-hô-va khiến đồng vắng Ca-đe rúng động.|耶 和 華 的 聲 音 震 動 曠 野 ． 耶 和 華 震 動 加 低 斯 的 曠 野 。
Tiếng Đức Giê-hô-va khiến con nai cái sanh đẻ, Và làm cho trụi các rừng; Trong đền Ngài thay thảy đều hô rằng: Vinh hiển thay!|耶 和 華 的 聲 音 驚 動 母 鹿 落 胎 、 樹 木 也 脫 落 淨 光 。 凡 在 他 殿 中 的 、 都 稱 說 他 的 榮 耀 。
Đức Giê-hô-va ngự trên nước lụt; Phải, Đức Giê-hô-va ngự ngôi vua đến đời đời.|洪 水 泛 濫 之 時 、 耶 和 華 坐 著 為 王 ． 耶 和 華 坐 著 為 王 、 直 到 永 遠 。
Đức Giê-hô-va sẽ ban sức mạnh cho dân sự Ngài; Đức Giê-hô-va sẽ chúc phước bình an cho dân sự Ngài.|耶 和 華 必 賜 力 量 給 他 的 百 姓 ． 耶 和 華 必 賜 平 安 的 福 給 他 的 百 姓 。

					Thánh Thi 30				|
						詩篇 30					
Hỡi Đức Giê-hô-va, tôi tôn trọng Ngài, vì Ngài nâng tôi lên, Không cho phép kẻ thù nghịch vui mừng vì cớ tôi.|〔 大 衛 在 獻 殿 的 時 候 、 作 這 詩 歌 。 〕 耶 和 華 阿 、 我 要 尊 崇 你 、 因 為 你 曾 提 拔 我 、 不 叫 仇 敵 向 我 誇 耀 。
Giê-hô-va Đức Chúa Trời tôi ôi! Tôi kêu cầu cùng Chúa, và Chúa chữa lành tôi.|耶 和 華 我 的 　 神 阿 、 我 曾 呼 求 你 、 你 醫 治 了 我 。
Hỡi Đức Giê-hô-va, Ngài đã đem linh hồn tôi khỏi âm phủ, Gìn giữ mạng sống tôi, hầu tôi không xuống cái huyệt.|耶 和 華 阿 、 你 曾 把 我 的 靈 魂 從 陰 間 救 上 來 、 使 我 存 活 、 不 至 於 下 坑 。
Hỡi các thánh của Đức Giê-hô-va, hãy hát ngợi khen Ngài, Cảm tạ sự kỷ niệm thánh của Ngài.|耶 和 華 的 聖 民 哪 、 你 們 要 歌 頌 他 、 稱 讚 他 可 記 念 的 聖 名
Vì sự giận Ngài chỉ trong một lúc, Còn ơn của Ngài có trọn một đời: Sự khóc lóc đến trọ ban đêm, Nhưng buổi sáng bèn có sự vui mừng.|因 為 他 的 怒 氣 不 過 是 轉 眼 之 間 ． 他 的 恩 典 乃 是 一 生 之 久 ． 一 宿 雖 然 有 哭 泣 、 早 晨 便 必 歡 呼 。
Còn tôi, trong lúc may mắn tôi có nói rằng: Tôi chẳng hề bị rúng động.|至 於 我 、 我 凡 事 平 順 、 便 說 、 我 永 不 動 搖 。
Hỡi Đức Giê-hô-va, nhờ ơn Ngài núi tôi được lập vững bền; Ngài ẩn mặt đi, tôi bèn bối rối.|耶 和 華 阿 、 你 曾 施 恩 、 叫 我 的 江 山 穩 固 ． 你 掩 了 面 、 我 就 驚 惶 。
Đức Giê-hô-va ôi! tôi đã kêu cầu cùng Ngài, Và nài xin cùng Đức Giê-hô-va mà rằng:|耶 和 華 阿 、 我 曾 求 告 你 ． 我 向 耶 和 華 懇 求 、 說 、
Làm đổ huyết tôi ra, Khiến tôi xuống mồ mả có ích chi chăng? Bụi tro há sẽ ngợi khen Chúa ư? Há sẽ truyền bá sự chơn thật của Ngài sao?|我 被 害 流 血 、 下 到 坑 中 、 有 甚 麼 益 處 呢 ． 塵 土 豈 能 稱 讚 你 、 傳 說 你 的 誠 實 麼 。
Hỡi Đức Giê-hô-va, xin hãy nghe và thương xót tôi; Đức Giê-hô-va ôi! khá giúp đỡ tôi.|耶 和 華 阿 、 求 你 應 允 我 、 憐 恤 我 。 耶 和 華 阿 、 求 你 幫 助 我 。
Ngài đã đổi sự buồn rầu tôi ra sự khoái lạc, Mở áo tang tôi, và thắt lưng tôi bằng vui mừng;|你 已 將 我 的 哀 哭 變 為 跳 舞 、 將 我 的 麻 衣 脫 去 、 給 我 披 上 喜 樂 ．
Hầu cho linh hồn tôi hát ngợi khen Chúa không nín lặng. Hỡi Giê-hô-va Đức Chúa Trời tôi, tôi sẽ cảm tạ Chúa đến đời đời.|好 叫 我 的 靈 〔 原 文 作 榮 耀 〕 歌 頌 你 、 並 不 住 聲 。 耶 和 華 我 的 　 神 阿 、 我 要 稱 謝 你 、 直 到 永 遠 。

					Thánh Thi 31				|
						詩篇 31					
Hỡi Đức Giê-hô-va, tôi nương náu mình nơi Ngài; Chớ hề để tôi bị hổ thẹn; Xin hay lấy công bình Ngài mà giải cứu tôi.|〔 大 衛 的 詩 、 交 與 伶 長 。 〕 耶 和 華 阿 、 我 投 靠 你 ． 求 你 使 我 永 不 羞 愧 、 憑 你 的 公 義 搭 救 我 。
Khá nghiêng tai qua tôi, mau mau giải cứu tôi. Hãy làm hòn đá vững chắc cho tôi, Một đồn lũy để cứu tôi.|求 你 側 耳 而 聽 、 快 快 救 我 、 作 我 堅 固 的 磐 石 、 拯 救 我 的 保 障 。
Vì Chúa là hòn đá và đồn lũy tôi; Xin dẫn dắt tôi nhơn danh Chúa.|因 為 你 是 我 的 巖 石 、 我 的 山 寨 ． 所 以 求 你 為 你 名 的 緣 故 、 引 導 我 、 指 點 我 。
Xin Chúa gỡ tôi khỏi lưới mà chúng nó gài kín tôi; Vì Chúa là nơi bảo hộ tôi.|求 你 救 我 脫 離 人 為 我 暗 設 的 網 羅 ． 因 為 你 是 我 的 保 障 。
Tôi phó thác thần linh tôi vào tay Chúa: Hỡi Giê-hô-va, là Đức Chúa Trời chơn thật, Ngài đã chuộc tôi.|我 將 我 的 靈 魂 交 在 你 手 裡 ． 耶 和 華 誠 實 的 　 神 阿 、 你 救 贖 了 我 。
Tôi ghét những kẻ thờ hình tượng hư không; Nhưng tôi tin cậy nơi Đức Giê-hô-va.|我 恨 惡 那 信 奉 虛 無 之 神 的 人 ． 我 卻 倚 靠 耶 和 華 。
Tôi sẽ vui mừng và khoái lạc bởi sự nhơn từ của Chúa; Vì Chúa đã đoái đến sự hoạn nạn tôi, biết nỗi sầu khổ linh hồn tôi.|我 要 為 你 的 慈 愛 高 興 歡 喜 ． 因 為 你 見 過 我 的 困 苦 、 知 道 我 心 中 的 艱 難 。
Chúa không nộp tôi vào tay kẻ thù nghịch, Song đặt chơn tôi nơi rộng rãi.|你 未 曾 把 我 交 在 仇 敵 手 裡 ． 你 使 我 的 腳 站 在 寬 闊 之 處 。
Đức Giê-hô-va ôi! xin hãy thương xót tôi, vì tôi bị gian truân. Con mắt tôi hao mòn vì cớ buồn rầu, Linh hồn và thân thể tôi cũng vậy.|耶 和 華 阿 、 求 你 憐 恤 我 、 因 為 我 在 急 難 之 中 ． 我 的 眼 睛 因 憂 愁 而 乾 癟 、 連 我 的 身 心 、 也 不 安 舒 。
Mạng sống tôi tiêu hao vì cớ buồn bực, Các năm tôi sút kém tại than thở; Vì cớ tội ác tôi, Sức mạnh tôi mỏn yếu, và xương cốt tôi tiêu tàn.|我 的 生 命 為 愁 苦 所 消 耗 ． 我 的 年 歲 為 歎 息 所 曠 廢 ． 我 的 力 量 因 我 的 罪 孽 衰 敗 ． 我 的 骨 頭 也 枯 乾 。
Bởi cớ các cừu địch tôi, tôi trở nên sự ô nhục, Thật một sự ô nhục lớn cho kẻ lân cận tôi, và một vật sợ hãi cho những kẻ quen biết tôi; Kẻ nào thấy tôi ở ngoài đều trốn khỏi tôi.|我 因 一 切 敵 人 成 了 羞 辱 、 在 我 的 鄰 舍 跟 前 更 甚 ． 那 認 識 我 的 都 懼 怕 我 ． 在 外 頭 看 見 我 的 都 躲 避 我 。
Tôi bị chúng quên đi như kẻ chết mà lòng không còn nhớ đến; Tôi giống như một cái bình bể nát.|我 被 人 忘 記 、 如 同 死 人 、 無 人 記 念 ． 我 好 像 破 碎 的 器 皿 。
Tôi đã nghe lời phao vu của nhiều kẻ, Tứ phía có sự kinh khủng: Đương khi chúng nó bàn nhau nghịch tôi, Bèn toan cất mạng sống tôi.|我 聽 見 了 許 多 人 的 讒 謗 、 四 圍 都 是 驚 嚇 ． 他 們 一 同 商 議 攻 擊 我 的 時 候 、 就 圖 謀 要 害 我 的 性 命 。
Nhưng Đức Giê-hô-va ôi! tôi tin cậy nơi Ngài; Tôi nói: Ngài là Đức Chúa Trời tôi.|耶 和 華 阿 、 我 仍 舊 倚 靠 你 ． 我 說 、 你 是 我 的 　 神 。
Kỳ mạng tôi ở nơi tay Chúa; Xin giải cứu tôi khỏi tay kẻ thù nghịch, và khỏi tay kẻ bắt bớ tôi.|我 終 身 的 事 在 你 手 中 ． 求 你 救 我 脫 離 仇 敵 的 手 、 和 那 些 逼 迫 我 的 人 。
