
					Gia-cơ 1				|
Anh em biết rằng những kẻ nhịn nhục chịu khổ thì chúng ta xưng là có phước. Anh em đã nghe nói về sự nhịn nhục của Gióp, và thấy cái kết cuộc mà Chúa ban cho người; vì Chúa đầy lòng thương xót và nhơn từ.|那 先 前 忍 耐 的 人 、 我 們 稱 他 們 是 有 福 的 ． 你 們 聽 見 過 約 伯 的 忍 耐 、 也 知 道 主 給 他 的 結 局 、 明 顯 主 是 滿 心 憐 憫 、 大 有 慈 悲 。
Hỡi Anh em, trước hết chớ có thề, chớ chỉ trời, chỉ đất, cũng chớ chỉ vật khác mà thề; nhưng phải thì nói phải, không thì nói không, hầu cho khỏi bị xét đoán.|我 的 弟 兄 們 、 最 要 緊 的 是 不 可 起 誓 ． 不 可 指 著 天 起 誓 、 也 不 可 指 著 地 起 誓 、 無 論 何 誓 都 不 可 起 ． 你 們 說 話 、 是 就 說 是 、 不 是 就 說 不 是 、 免 得 你 們 落 在 審 判 之 下 。
Trong anh em có ai chịu khổ chăng? Người ấy hãy cầu nguyện. Có ai vui mừng chăng? hãy hát ngợi khen.|你 們 中 間 有 受 苦 的 呢 、 他 就 該 禱 告 。 有 喜 樂 的 呢 、 他 就 該 歌 頌 。
Trong anh em có ai đau ốm chăng? hãy mời các trưởng lão hội thánh đến, sau khi nhơn danh Chúa xức dầu cho người bịnh đoạn, thì các trưởng lão hãy cầu nguyện cho người.|你 們 中 間 有 病 了 的 呢 、 他 就 該 請 教 會 的 長 老 來 ． 他 們 可 以 奉 主 的 名 用 油 抹 他 、 為 他 禱 告 ．
Sự cầu nguyện bởi đức tin sẽ cứu kẻ bịnh, Chúa sẽ đỡ kẻ ấy dậy; nếu kẻ bịnh có phạm tội, cũng sẽ được tha.|出 於 信 心 的 祈 禱 、 要 救 那 病 人 、 主 必 叫 他 起 來 ． 他 若 犯 了 罪 、 也 必 蒙 赦 免 。
Vậy, hãy xưng tội cùng nhau, và cầu nguyện cho nhau, hầu cho anh em được lành bịnh: người công bình lấy lòng sốt sắng cầu nguyện, thật có linh nghiệm nhiều.|所 以 你 們 要 彼 此 認 罪 、 互 相 代 求 、 使 你 們 可 以 得 醫 治 。 義 人 祈 禱 所 發 的 力 量 、 是 大 有 功 效 的 。
Ê-li vốn là người yếu đuối như chúng ta. Người cầu nguyện, cố xin cho đừng mưa, thì không mưa xuống đất trong ba năm rưỡi.|以 利 亞 與 我 們 是 一 樣 性 情 的 人 、 他 懇 切 禱 告 、 求 不 要 下 雨 、 雨 就 三 年 零 六 個 月 不 下 在 地 上 。
Đoạn, người cầu nguyện lại, trời bèn mưa, và đất sanh sản hoa màu.|他 又 禱 告 、 天 就 降 下 兩 來 、 地 也 生 出 土 產 。
Hỡi anh em, trong vòng anh em nếu có ai lầm lạc cách xa lẽ thật, mà có người khác làm cho nó trở lại,|我 的 弟 兄 們 、 你 們 中 間 若 有 失 迷 真 道 的 、 有 人 使 他 回 轉 ．
thì phải biết rằng kẻ làm cho người có tội trở lại, bỏ đường lầm lạc, ấy là cứu linh hồn người khỏi sự chết và che đậy vô số tội lỗi.|這 人 該 知 道 叫 一 個 罪 人 從 迷 路 上 轉 回 、 便 是 救 一 個 靈 魂 不 死 、 並 且 遮 蓋 許 多 的 罪 。 彼 前
