
					I Cô-rinh-tô 1				|
Có tin đồn ra khắp nơi rằng trong anh em có sự dâm loạn, dâm loạn đến thế, dẫu người ngoại đạo cũng chẳng có giống như vậy: là đến nỗi trong anh em có kẻ lấy vợ của cha mình.|風 聞 在 你 們 中 間 有 淫 亂 的 事 ． 這 樣 的 淫 亂 、 連 外 邦 人 中 也 沒 有 、 就 是 有 人 收 了 他 的 繼 母 。
Anh em còn lên mình kiêu ngạo! Anh em chẳng từng buồn rầu, hầu cho kẻ phạm tội đó bị trừ bỏ khỏi vòng anh em thì hơn!|你 們 還 是 自 高 自 大 、 並 不 哀 痛 、 把 行 這 事 的 人 從 你 們 中 間 趕 出 去 。
Về phần tôi, thân dầu xa cách mà lòng ở tại đó, ,|我 身 子 雖 不 在 你 們 那 裡 、 心 卻 在 你 們 那 裡 、 好 像 我 親 自 與 你 們 同 在 、 已 經 判 斷 了 行 這 事 的 人 、
nên tôi đã dường như có mặt ở đó, nhơn danh Đức Chúa Jêsus là Chúa chúng ta, tuyên án kẻ phạm tội đó₫|就 是 你 們 聚 會 的 時 候 、 我 的 心 也 同 在 、 奉 我 們 主 耶 穌 的 名 、 並 用 我 們 主 耶 穌 的 權 能 、
rằng, một người như thế phải phó cho quỉ Sa tan, để hủy hoại phần xác thịt, hầu cho linh hồn được cứu trong ngày Đức Chúa Jêsus.|要 把 這 樣 的 人 交 給 撒 但 、 敗 壞 他 的 肉 體 、 使 他 的 靈 魂 在 主 耶 穌 的 日 子 可 以 得 救 。
Thật anh em chẳng có cớ mà khoe mình đâu! Anh em há chẳng biết rằng một chút men làm cho cả đống bột dậy lên sao?|你 們 這 自 誇 是 不 好 的 ． 豈 不 知 一 點 麵 酵 能 使 全 團 發 起 來 麼 。
Hãy làm cho mình sạch men cũ đi, hầu cho anh em trở nên bột nhồi mới không men, như anh em là bánh không men vậy. Vì Đấng Christ là con sinh lễ Vượt Qua của chúng ta, đã bị giết rồi.|你 們 既 是 無 酵 的 麵 、 應 當 把 舊 酵 除 淨 、 好 使 你 們 成 為 新 團 ． 因 為 我 們 逾 越 節 的 羔 羊 基 督 、 已 經 被 殺 獻 祭 了 。
Vậy thì, chúng ta hãy giữ lễ, chớ dùng men cũ, chớ dùng men gian ác, độc dữ, nhưng dùng bánh không men của sự thật thà và của lẽ thật.|所 以 我 們 守 這 節 不 可 用 舊 酵 、 也 不 可 用 惡 毒 〔 或 作 陰 毒 〕 邪 惡 的 酵 、 只 用 誠 實 真 正 的 無 酵 餅 。
Trong thơ tôi viết cho anh em, có dặn đừng làm bạn với kẻ gian dâm,|我 先 前 寫 信 給 你 們 說 、 不 可 與 淫 亂 的 人 相 交 ．
đó tôi chẳng có ý nói chung về kẻ gian dâm đời nầy, hay là kẻ tham lam, kẻ chắt bóp, kẻ thờ hình tượng, vì nếu vậy thì anh em phải lìa khỏi thế gian.|此 話 不 是 指 這 世 上 一 概 行 淫 亂 的 、 或 貪 婪 的 、 勒 索 的 、 或 拜 偶 像 的 、 若 是 這 樣 、 你 們 除 非 離 開 世 界 方 可 ．
Nhưng tôi viết khuyên anh em đừng làm bạn với kẻ nào tự xưng là anh em, mà là gian dâm, hoặc tham lam, hoặc thờ hình tượng, hoặc chưởi rủa, hoặc say sưa, hoặc chắt bóp, cũng không nên ăn chung với người thể ấy.|但 如 今 我 寫 信 給 你 們 說 、 若 有 稱 為 弟 兄 、 是 行 淫 亂 的 、 或 貪 婪 的 、 或 拜 偶 像 的 、 或 辱 罵 的 、 或 醉 酒 的 、 或 勒 索 的 ． 這 樣 的 人 不 可 與 他 相 交 ． 就 是 與 他 喫 飯 都 不 可 。
Vì chưng có phải tôi nên đoán xét kẻ ở ngoài sao? Há chẳng phải anh em nên đoán xét những người ở trong sao?|因 為 審 判 教 外 的 人 與 我 何 干 ． 教 內 的 人 豈 不 是 你 們 審 判 的 麼 ．
Còn như kẻ ở ngoài, thì Đức Chúa Trời sẽ đoán xét họ. Hãy trừ bỏ kẻ gian ác khỏi anh em.|至 於 外 人 有 　 神 審 判 他 們 ． 你 們 應 當 把 那 惡 人 從 你 們 中 間 趕 出 去 。

					I Cô-rinh-tô 6				|
						哥林多前書 6					
Khi trong anh em ai có sự nghịch cùng người khác, sao dám để cho kẻ không công bình đoán xét hơn là cho các thánh đồ?|你 們 中 間 有 彼 此 相 爭 的 事 、 怎 敢 在 不 義 的 人 面 前 求 審 、 不 在 聖 徒 面 前 求 審 呢 。
Anh em há chẳng biết các thánh đồ sẽ xét đoán thế gian sao? Ví bằng thế gian sẽ bị anh em xét đoán, thì anh em há chẳng đáng xét đoán việc nhỏ mọn hơn sao?|豈 不 知 聖 徒 要 審 判 世 界 麼 ． 若 世 界 為 你 們 所 審 、 難 道 你 們 不 配 審 判 這 最 小 的 事 麼 。
Anh em chẳng biết chúng ta sẽ xét đoán các thiên sứ sao? Huống chi việc đời nầy!|豈 不 知 我 們 要 審 判 天 使 麼 、 何 況 今 生 的 事 呢 。
Vậy khi anh em có sự nghịch cùng nhau về việc đời nầy, sao lấy những kẻ không kể ra chi trong Hội thánh làm người xét đoán!|既 是 這 樣 、 你 們 若 有 今 生 的 事 當 審 判 、 是 派 教 會 所 輕 看 的 人 審 判 麼 。
Tôi nói thế làm cho anh em hổ thẹn. Ay vậy, trong vòng anh em chẳng có một kẻ khôn ngoan nào phân xử được giữa anh em mình hay sao?|我 說 這 話 、 是 要 叫 你 們 羞 恥 。 難 道 你 們 中 間 沒 有 一 個 智 慧 人 、 能 審 斷 弟 兄 的 事 麼 。
Nhưng anh em kiện anh em, lại đem đến trước mặt kẻ chẳng tin!|你 們 竟 是 弟 兄 與 弟 兄 告 狀 、 而 且 告 在 不 信 主 的 人 面 前 。
Thật vậy, anh em có sự kiện cáo nhau, là phải tội rồi. Sao chẳng chịu sự trái lẽ là hơn? Sao chẳng đành sự gian lận là hơn!|你 們 彼 此 告 狀 、 這 已 經 是 你 們 的 大 錯 了 ． 為 甚 麼 不 情 願 受 欺 呢 ． 為 其 麼 不 情 願 喫 虧 呢 。
Nhưng chính anh em làm ra sự trái lẽ, chính anh em gian lận, lại làm thể ấy cho người anh em nữa!|你 們 倒 是 欺 壓 人 、 虧 負 人 、 況 且 所 欺 壓 所 虧 負 的 就 是 弟 兄 。
Anh em há chẳng biết những kẻ không công bình chẳng bao giờ hưởng được nước Đức Chúa Trời sao?|你 們 豈 不 知 、 不 義 的 人 不 能 承 受 　 神 的 國 麼 。 不 要 自 欺 ． 無 論 是 淫 亂 的 、 拜 偶 像 的 、 姦 淫 的 、 作 孌 童 的 、 親 男 色 的 、
Chớ tự dối mình: phàm những kẻ tà dâm, kẻ thờ hình tượng, kẻ ngoại tình, kẻ làm giáng yểu điệu, kẻ đắm nam sắc, kẻ trộm cướp, kẻ hà tiện, kẻ say sưa, kẻ chưởi rủa, kẻ chắt bóp, đều chẳng hưởng được nước Đức Chúa Trời đâu.|偷 竊 的 、 貪 婪 的 、 醉 酒 的 、 辱 罵 的 、 勒 索 的 、 都 不 能 承 受 　 神 的 國 。
Trước kia anh em ít nữa cũng có một đôi người như thế; nhưng nhơn danh Đức Chúa Jêsus Christ, và nhờ Thánh Linh của Đức Chúa Trời chúng ta, thì anh em được rửa sạch, được nên thánh, được xưng công bình rồi.|你 們 中 間 也 有 人 從 前 是 這 樣 ． 但 如 今 你 們 奉 主 耶 穌 基 督 的 名 、 並 藉 著 我 們 　 神 的 靈 、 已 經 洗 淨 、 成 聖 稱 義 了 。
Mọi sự tôi có phép làm, nhưng chẳng phải mọi sự đều có ích; mọi sự tôi có phép làm, nhưng chẳng để sự gì bắt phục được tôi.|凡 事 我 都 可 行 ． 但 不 都 有 益 處 。 凡 事 我 都 可 行 、 但 無 論 那 一 件 、 我 總 不 受 他 的 轄 制 。
Đồ ăn vì bụng, bụng vì đồ ăn, Đức Chúa Trời sẽ hủy hoại cái nọ và cái kia. Nhưng thân thể chẳng phải vì sự dâm dục đâu, bèn là vì Chúa, và Chúa vì thân thể;|食 物 是 為 肚 腹 、 肚 腹 是 為 食 物 ． 但 　 神 要 叫 這 兩 樣 都 廢 壞 。 身 子 不 是 為 淫 亂 、 乃 是 為 主 ． 主 也 是 為 身 子 ．
và Đức Chúa Trời là Đấng đã khiến Chúa sống lại, cũng sẽ lấy quyền phép mình khiến chúng ta sống lại nữa.|並 且 　 神 已 經 叫 主 復 活 、 也 要 用 自 己 的 能 力 叫 我 們 復 活 。
Anh em há chẳng biết thân thể mình là chi thể của Đấng Christ sao? Vậy thì mình có nên lấy chi thể của Đấng Christ mà làm thành chi thể của điếm đĩ chăng? Đức Chúa Trời nào nỡ vậy!|豈 不 知 你 們 的 身 子 是 基 督 的 肢 體 麼 ． 我 可 以 將 基 督 的 肢 體 作 為 娼 妓 的 肢 體 麼 ． 斷 乎 不 可 。
Anh em há chẳng biết người nào kết hiệp với điếm đĩ, thì trở nên một xác với nó sao? Vì có chép rằng: Hai người sẽ đồng nên một thịt.|豈 不 知 與 娼 妓 聯 合 的 、 便 是 與 他 成 為 一 體 麼 ． 因 為 主 說 、 『 二 人 要 成 為 一 體 。 』
Còn ai kết hiệp với Chúa thì trở nên một tánh thiêng liêng cùng Ngài.|但 與 主 聯 合 的 、 便 是 與 主 成 為 一 靈 。
Hãy tránh sự dâm dục. Mặc dầu người ta phạm tội gì, tội ấy còn là ngoài thân thể; nhưng kẻ buông mình vào sự dâm dục, thì phạm đến chính thân thể mình.|你 們 要 逃 避 淫 行 。 人 所 犯 的 、 無 論 甚 麼 罪 、 都 在 身 子 以 外 ． 惟 有 行 淫 的 、 是 得 罪 自 己 的 身 子 。
Anh em há chẳng biết rằng thân thể mình là đền thờ của Đức Thánh Linh đang ngự trong anh em, là Đấng mà anh em đã nhận bởi Đức Chúa Trời, và anh em chẳng phải thuộc về chính mình sao?|豈 不 知 你 們 的 身 子 就 是 聖 靈 的 殿 麼 ． 這 聖 靈 是 從 　 神 而 來 、 住 在 你 們 裡 頭 的 ． 並 且 你 們 不 是 自 己 的 人 ．
Vì chưng anh em đã được chuộc bằng giá cao rồi. Vậy, hãy lấy thân thể mình làm sáng danh Đức Chúa Trời.|因 為 你 們 是 重 價 買 來 的 ． 所 以 要 在 你 們 的 身 子 上 榮 耀 　 神 。

					I Cô-rinh-tô 7				|
						哥林多前書 7					
Luận đến các điều hỏi trong thơ anh em, tôi tưởng rằng đờn ông không đụng đến đờn bà là hay hơn.|論 到 你 們 信 上 所 題 的 事 、 我 說 男 不 近 女 倒 好 。
Song, cho được tránh khỏi mọi sự dâm dục, thì mỗi người đờn ông phải có vợ, mỗi người đờn bà phải có chồng.|但 要 免 淫 亂 的 事 、 男 子 當 各 有 自 己 的 妻 子 、 女 子 也 當 各 有 自 己 的 丈 夫 。
Chồng phải làm hết bổn phận đối với vợ, và đối với chồng cũng vậy.|丈 夫 當 用 合 宜 之 分 待 妻 子 、 妻 子 待 丈 夫 也 要 如 此 。
Vợ không có quyền tự chủ về thân mình, bèn là chồng; chồng cũng vậy, không có quyền tự chủ về thân mình bèn là vợ.|妻 子 沒 有 權 柄 主 張 自 己 的 身 子 、 乃 在 丈 夫 ． 丈 夫 也 沒 有 權 柄 主 張 自 己 的 身 子 、 乃 在 妻 子 。
Đừng từ chối nhau, trừ ra khi hai bên ưng thuận tạm thời, để chuyên việc cầu nguyện; rồi trở lại hiệp cùng nhau, kẻo quỉ Sa-tan thừa khi anh em không thìn mình mà cám dỗ chăng.|夫 妻 不 可 彼 此 虧 負 、 除 非 兩 相 情 願 、 暫 時 分 房 、 為 要 專 心 禱 告 方 可 、 以 後 仍 要 同 房 、 免 得 撒 但 趁 著 你 們 情 不 自 禁 、 引 誘 你 們 。
Ay đó là sự tôi thuận cho phép, chớ chẳng phải sự tôi truyền biểu.|我 說 這 話 、 原 是 准 你 們 的 、 不 是 命 你 們 的 。
Tôi muốn mọi người đều được giống như tôi; song mỗi người đã được ban riêng cho mình bởi Đức Chúa Trời, người nầy thể nầy, kẻ kia thể khác.|我 願 意 眾 人 像 我 一 樣 ． 只 是 各 人 領 受 　 神 的 恩 賜 、 一 個 是 這 樣 、 一 個 是 那 樣 。
Vậy, tôi nói với những kẻ chưa cưới gả, và kẻ góa bụa rằng ở được như tôi thì hơn.|我 對 著 沒 有 嫁 娶 的 和 寡 婦 說 、 若 他 們 常 像 我 就 好 。
Song nếu họ chẳng thìn mình được, thì hãy cưới gả; vì thà cưới gả còn hơn để cho lửa tình un đốt.|倘 若 自 己 禁 止 不 住 、 就 可 以 嫁 娶 。 與 其 慾 火 攻 心 、 倒 不 如 嫁 娶 為 妙 。
Về những kẻ đã cưới gả rồi, thì tôi, nhưng chẳng phải tôi, bèn là Chúa, truyền rằng vợ không nên lìa bỏ chồng,|至 於 那 已 經 嫁 娶 的 、 我 吩 咐 他 們 、 其 實 不 是 我 吩 咐 、 乃 是 主 吩 咐 、 說 、 妻 子 不 可 離 開 丈 夫 。
, còn chồng cũng không nên để vợ.|若 是 離 開 了 、 不 可 再 嫁 ． 或 是 仍 同 丈 夫 和 好 ． 丈 夫 也 不 可 離 棄 妻 子 。
Đến như những kẻ khác, chẳng phải Chúa, song là chính tôi bảo họ rằng: Nếu người anh em nào có vợ ngoại đạo bằng lòng ở đời với mình, thì không nên để bỏ.|我 對 其 餘 的 人 說 、 不 是 主 說 、 倘 若 某 弟 兄 有 不 信 的 妻 子 、 妻 子 也 情 願 和 他 同 住 、 他 就 不 要 離 棄 妻 子 。
Lại nếu một người đờn bà có chồng ngoại đạo bằng lòng ở đời với mình, thì vợ cũng không nên lìa chồng.|妻 子 有 不 信 的 丈 夫 、 丈 夫 也 情 願 和 他 同 住 、 他 就 不 要 離 棄 丈 夫 。
Bởi vì, chồng không tin Chúa, nhơn vợ mình được nên thánh, vợ không tin Chúa, nhơn chồng mình tin Chúa được nên thánh; bằng chẳng vậy, con cái anh em nên chẳng sạch, song nay đều là thánh.|因 為 不 信 的 丈 夫 、 就 因 著 妻 子 成 了 聖 潔 ． 並 且 不 信 的 妻 子 、 就 因 著 丈 夫 成 了 聖 潔 ． 〔 丈 夫 原 文 作 弟 兄 〕 不 然 、 你 們 的 兒 女 就 不 潔 淨 ． 但 如 今 他 們 是 聖 潔 的 了 。
Nếu kẻ không tin Chúa muốn phân rẽ, thì cho phân rẽ: trong cơn đó, người anh em hay là người chị em chẳng phải cầm buộc gì. Đức Chúa Trời đã gọi anh em ăn ở trong sự bình an.|倘 若 那 不 信 的 人 要 離 去 、 就 由 他 離 去 罷 ． 無 論 是 弟 兄 、 是 姐 妹 、 遇 著 這 樣 的 事 、 都 不 必 拘 束 ． 　 神 召 我 們 原 是 要 我 們 和 睦 。
Hỡi kẻ làm vợ kia, biết đâu ngươi sẽ cứu được chồng mình? Hỡi kẻ làm chồng kia, biết đâu ngươi sẽ cứu được vợ mình?|你 這 作 妻 子 的 、 怎 麼 知 道 不 能 救 你 的 丈 夫 呢 ． 你 這 作 丈 夫 的 、 怎 麼 知 道 不 能 救 你 的 妻 子 呢 。
Rốt lại, ai nấy phải ăn ở theo ơn Chúa đã ban cho mình, và theo như Đức Chúa Trời đã gọi. Ay đó là điều tôi dạy trong hết thảy các Hội thánh.|只 要 照 主 所 分 給 各 人 的 、 和 　 神 所 召 各 人 的 而 行 。 我 吩 咐 各 教 會 都 是 這 樣 。
Có người nào đã chịu phép cắt bì rồi được gọi chăng? nên cứ giữ cắt bì vậy. Có người nào chưa chịu phép cắt bì mà được gọi chăng? thì chớ chịu phép cắt bì.|有 人 已 受 割 禮 蒙 召 呢 、 就 不 要 廢 割 禮 ． 有 人 未 受 割 禮 蒙 召 呢 、 就 不 要 受 割 禮 。
Chịu cắt bì chẳng hề gì, không chịu cắt bì cũng chẳng hề gì; sự quan hệ là giữ các điều răn của Đức Chúa Trời.|受 割 禮 算 不 得 甚 麼 、 不 受 割 禮 也 算 不 得 甚 麼 、 只 要 守 　 神 的 誡 命 就 是 了 。
Ai nầy khi được gọi ở đấng bậc nào, thì phải cứ theo đấng bậc ấy.|各 人 蒙 召 的 時 候 是 甚 麼 身 分 、 仍 要 守 住 這 身 分 。
Ngươi đương làm tôi mọi mà được gọi chăng? Chớ lấy làm lo; song nếu ngươi có thể được tự do, thì hãy nhơn dịp đó là hơn.|你 是 作 奴 隸 蒙 召 的 麼 、 不 要 因 此 憂 慮 ． 若 能 以 自 由 、 就 求 自 由 更 好 。
Vì kẻ tôi mọi được Chúa gọi, ấy là kẻ Chúa đã buông tha; cũng một lẽ ấy, ai đương tự do mà được gọi, thì làm tôi mọi của Đấng Christ.|因 為 作 奴 僕 蒙 召 於 主 的 、 就 是 主 所 釋 放 的 人 ． 作 自 由 之 人 蒙 召 的 、 就 是 基 督 的 奴 僕 。
Anh em đã được chuộc bằng giá cao, chớ trở nên tôi mọi của người ta làm chi.|你 們 是 重 價 買 來 的 ． 不 要 作 人 的 奴 僕 。
Hỡi anh em, ai nầy khi được gọi ở đấng bậc nào, thì phải cứ ở theo đấng bậc ấy trước mặt Đức Chúa Trời.|弟 兄 們 、 你 們 各 人 蒙 召 的 時 候 是 甚 麼 身 分 、 仍 要 在 　 神 面 前 守 住 這 身 分 。
Về những kẻ đồng thân, tôi chẳng có lời Chúa truyền; song nhờ ơn thương xót của Chúa, tôi được làm người đáng tin, nên tôi ban lời khuyên bảo.|論 到 童 身 的 人 、 我 沒 有 主 的 命 令 、 但 我 既 蒙 主 憐 恤 、 能 作 忠 心 的 心 人 、 就 把 自 己 的 意 見 告 訴 你 們 。
Vậy tôi tưởng vì cớ tai vạ hầu đến, một người nam cứ ở vậy là nên.|因 現 今 的 艱 難 、 據 我 看 來 、 人 不 如 守 素 安 常 纔 好 。
Có phải ngươi đã bị vấn vương với vợ chăng? Chớ tìm cách mà lìa mình ra. Có phải ngươi chưa bị vấn vương với vợ chăng? Đừng kiếm vợ.|你 有 妻 子 纏 著 呢 、 就 不 要 求 脫 離 ． 你 沒 有 妻 子 纏 著 呢 、 就 不 要 求 妻 子 。
Nhưng nếu ngươi lấy vợ, thì chẳng phạm tội gì; và nếu người nữ đồng trinh lấy chồng, thì cũng chẳng phạm tội gì. Song những người cưới gả sẽ có sự khó khăn về xác thịt, và tôi muốn cho anh em khỏi sự đó.|你 若 娶 妻 、 並 不 是 犯 罪 ． 處 女 若 出 嫁 、 也 是 犯 罪 ． 然 而 這 等 人 肉 身 必 受 苦 難 ． 我 卻 願 意 你 們 免 這 苦 難 。
Hỡi anh em, vậy thì tôi bảo nầy: thì giờ ngắn ngủi. Từ nay về sau, kẻ có vợ hãy nên như kẻ không có;|弟 兄 們 、 我 對 你 們 說 、 時 候 減 少 了 ． 從 此 以 後 、 那 有 妻 子 的 、 要 像 沒 有 妻 子 ．
kẻ đương khóc, nên như kẻ không khóc; kẻ đương vui, nên như kẻ chẳng vui; kẻ đương mua, nên như kẻ chẳng được của gì;|哀 哭 的 、 要 像 不 哀 哭 ． 快 樂 的 、 要 像 不 快 樂 、 置 買 的 、 要 像 無 有 所 得 ．
và kẻ dùng của thế gian, nên như kẻ chẳng dùng vậy; vì hình trạng thế gian nầy qua đi.|用 世 物 的 、 要 像 不 用 世 物 ． 因 為 這 世 界 的 樣 子 將 要 過 去 了 。
Vả, tôi muốn anh em được thong thả chẳng phải lo lắng gì. Ai không cưới vợ thì chăm lo việc Chúa, tìm phương cho Chúa đẹp lòng.|我 願 你 們 無 所 罣 慮 。 沒 有 娶 妻 的 、 是 為 主 的 事 罣 慮 、 想 怎 樣 叫 主 喜 悅 。
Song ai cưới vợ rồi thì chăm lo việc đời nầy, tìm cách cho vợ mình thỏa dạ.|娶 了 妻 的 、 是 為 世 上 的 事 罣 慮 、 想 怎 樣 叫 妻 子 喜 悅 。
Người nữ có chồng và đồng trinh cũng khác nhau như vậy: ai không chồng thì chăm lo việc Chúa, đặng cho thân thể và tinh thần đều được thánh; nhưng ai có chồng thì chăm lo các việc đời nầy, tìm cách cho đẹp lòng chồng mình.|婦 人 和 處 女 也 有 分 別 。 沒 有 出 嫁 的 、 是 為 主 的 事 罣 慮 、 要 身 體 靈 魂 都 聖 潔 ． 已 經 出 嫁 的 、 是 為 世 上 的 事 罣 慮 、 想 怎 樣 叫 丈 夫 喜 悅 。
Tôi nói điều đó vì sự ích lợi cho anh em, chớ chẳng phải để gài bẫy, song để dắt anh em theo lẽ phải, hầu cho không phân tâm mà hầu việc Chúa.|我 說 這 話 、 是 為 你 們 的 益 處 ． 不 是 要 牢 籠 你 們 、 乃 是 要 叫 你 們 行 合 宜 的 事 、 得 以 殷 勤 服 事 主 、 沒 有 分 心 的 事 。
Nếu có ai tưởng chẳng nên cho con gái đồng trinh mình lỡ thì, và phải gả đi, thì người đó có thể tùy ý mình mà làm, không phạm tội gì; trong cơn đó, người con gái nên lấy chồng.|若 有 人 以 為 自 己 待 他 的 女 兒 不 合 宜 、 女 兒 也 過 了 年 歲 、 事 又 當 行 、 他 就 可 隨 意 辦 理 、 不 算 有 罪 、 叫 二 人 成 親 就 是 了 。
Song có ai được tự chủ về việc mình làm, không bị sự gì bắt buộc, mà trong lòng đã quyết định cách vững vàng giữ con gái mình đồng trinh, thì nấy làm phải lẽ mà cứ theo như mình đã quyết chí.|倘 若 人 心 裡 堅 定 、 沒 有 不 得 已 的 事 、 並 且 由 得 自 己 作 主 、 心 裡 又 決 定 了 留 下 女 兒 不 出 嫁 、 如 此 行 也 好 。
Thế thì kẻ gả con gái mình làm phải lẽ; song kẻ không gả, còn làm phải lẽ hơn nữa.|這 樣 看 來 、 叫 自 己 的 女 兒 出 嫁 是 好 ． 不 叫 他 出 嫁 更 是 好 。
Chồng còn sống bao lâu, thì vợ phải buột chặt với chồng bấy lâu; nếu chồng chết, vợ được tự do, muốn lấy ai tùy ý, miễn là theo ý Chúa.|丈 夫 活 著 的 時 候 、 妻 子 是 被 約 束 的 ． 丈 夫 若 死 了 、 妻 子 就 可 以 自 由 、 隨 意 再 嫁 ． 只 是 要 嫁 這 在 主 裡 面 的 人 。
Nhưng, theo ý tôi, nếu cứ ở vậy, thì có phước hơn. Vả, tôi tưởng tôi cũng có Thánh Linh của Đức Chúa Trời.|然 而 按 我 的 意 見 、 若 常 守 節 更 有 福 氣 ． 我 也 想 自 己 是 被 　 神 的 靈 感 動 了 。

					I Cô-rinh-tô 8				|
						哥林多前書 8					
Luận đến của cùng các thần tượng thì chúng ta biết mình đều có sự hay biết cả. Song sự hay biết sanh kiêu căng, còn sự yêu thương làm gương tốt.|論 到 祭 偶 像 之 物 、 我 們 曉 得 我 們 都 有 知 識 ． 但 知 識 是 叫 人 自 高 自 大 、 惟 有 愛 心 能 造 就 人 。
Nếu có ai tưởng mình biết điều gì, thật người ấy chưa biết như mình nên biết.|若 有 人 以 為 自 己 知 道 甚 麼 、 按 他 所 當 知 道 的 、 他 仍 是 不 知 道 ．
Nhưng nếu có một người yêu mến Đức Chúa Trời, thì Đức Chúa Trời biết người đó.|若 有 人 愛 　 神 、 這 人 乃 是 　 神 所 知 道 的 。
Vậy, về sự ăn ở của cúng tế các thần tượng, chúng ta biết thần tượng trong thế gian thật là hư không, chỉ có một Đức Chúa Trời, chớ không có thần nào khác.|論 到 喫 祭 偶 像 之 物 、 我 們 知 道 偶 像 在 世 上 算 不 得 甚 麼 ． 也 知 道 　 神 只 有 一 位 、 再 沒 有 別 的 　 神 。
Thật người ta xưng có các thần khác, hoặc ở trên trời, hoặc ở dưới đất, ,|雖 有 稱 為 　 神 的 、 或 在 天 、 或 在 地 ． 就 如 那 許 多 的 　 神 、 許 多 的 主 ．
về phần chúng ta, chỉ có một Đức Chúa Trời mà thôi, là Đức Chúa Cha, muôn vật bởi Ngài mà ra, và chúng ta hướng về Ngài; lại chỉ có một Chúa mà thôi, là Đức Chúa Jêsus Christ, muôn vật đều nhờ Ngài mà có, và chúng ta cũng vậy.|然 而 我 們 只 有 一 位 　 神 、 就 是 父 萬 物 都 本 於 他 、 我 們 也 歸 於 他 ． 並 有 一 位 主 、 就 是 耶 穌 基 督 、 萬 物 都 是 藉 著 他 有 的 、 我 們 也 是 藉 著 他 有 的 。
Nhưng chẳng phải mọi người đều có sự hay biết đó. Một đôi người vì nghĩ thường có thần tượng, nên khi ăn của cúng tế đó cho là của cúng tế thần tượng; thì lương tâm yếu đuối của họ bởi đó ra ô uế.|但 人 不 都 有 這 等 知 識 ． 有 人 到 如 今 因 拜 慣 了 偶 像 、 就 以 為 所 喫 的 是 祭 偶 像 之 物 ． 他 們 的 良 心 既 然 軟 弱 、 也 就 污 穢 了 。
Vả, ấy chẳng phải là đồ ăn làm cho chúng ta được đẹp lòng Đức Chúa Trời; nếu chúng ta ăn, chẳng được ích gì, bằng không ăn, cũng chẳng tổn gì.|其 實 食 物 不 能 叫 　 神 看 中 我 們 ． 因 為 我 們 不 喫 也 無 損 、 喫 也 無 益 。
Nhưng hãy giữ lấy, kẻo sự tự do mình làm dịp cho kẻ yếu đuối vấp phạm.|只 是 們 們 要 謹 慎 、 恐 怕 你 們 這 自 由 、 竟 成 了 那 軟 弱 人 的 絆 腳 石 。
Bởi vì, nếu có kẻ lương tâm yếu đuối thấy ngươi là người có sự hay biết ngồi ăn trong miếu tà thần, thì há chẳng cũng bắt chước mà ăn của cúng tế sao?|若 有 人 見 你 這 有 知 識 的 、 在 偶 像 的 廟 裡 坐 席 、 這 人 的 良 心 、 若 是 軟 弱 、 豈 不 放 膽 去 喫 那 祭 偶 像 之 物 麼 。
Thế thì ngươi lấy sự hay biết mình mà làm hư mất kẻ yếu đuối, là người anh em mà Đấng Christ đã chết thế cho!|因 此 、 基 督 為 他 死 的 那 軟 弱 弟 兄 、 也 就 因 你 的 知 識 沉 淪 了 。
Khi nào mình phạm tội cùng anh em như vậy, làm cho lương tâm yếu đuối của họ bị thương, thì là phạm tội cùng Đấng Christ.|你 們 這 樣 得 罪 弟 兄 們 、 傷 了 他 們 軟 弱 的 良 心 、 就 是 得 罪 基 督 。
Cho nên, nếu đồ ăn xui anh em tôi vấp phạm, thì tôi sẽ chẳng hề ăn thịt, hầu cho khỏi làm dịp vấp phạm cho anh em tôi.|所 以 食 物 若 叫 我 弟 兄 跌 倒 、 我 就 永 遠 不 喫 肉 、 免 得 叫 我 弟 兄 跌 倒 了 。

					I Cô-rinh-tô 9				|
						哥林多前書 9					
Tôi chẳng được tự do sao? Tôi chẳng phải là sứ đồ sao? Tôi há chẳng từng thấy Đức Chúa Jêsus là Chúa chúng ta sao? Anh em há chẳng phải là công việc tôi trong Chúa sao?|我 不 是 自 由 的 麼 ． 我 不 是 使 徒 麼 ． 我 不 是 見 過 我 們 的 主 耶 穌 麼 ． 你 們 不 是 我 在 主 裡 面 所 作 之 工 麼 。
Nếu tôi không phải là sứ đồ cho kẻ khác, ít nữa cũng là sứ đồ cho anh em; vì chính anh em là ấn tín của chức sứ đồ tôi trong Chúa.|假 若 在 別 人 我 不 是 使 徒 、 在 你 們 我 總 是 使 徒 ． 因 為 你 們 在 主 裡 面 正 是 我 作 使 徒 的 印 證 。
Ay là lẽ binh vực của tôi đối với kẻ kiện cáo mình.|我 對 那 盤 問 我 的 人 、 就 是 這 樣 分 訴 。
Chúng tôi há không có phép ăn uống sao?|難 道 我 們 沒 有 權 柄 靠 福 音 喫 喝 麼 。
Há không có phép dắt một người chị em làm vợ đi khắp nơi với chúng tôi như các sứ đồ khác cùng các anh em Chúa và Sê-pha đã làm, hay sao?|難 道 我 們 沒 有 權 柄 娶 信 主 的 姊 妹 為 妻 、 帶 著 一 同 往 來 、 彷 彿 其 餘 的 使 徒 、 和 主 的 弟 兄 、 並 磯 法 一 樣 麼 。
