
					I Phi-rơ 1				|
Trong anh em chớ có ai chịu khổ như kẻ giết người, như kẻ trộm cướp, như kẻ hung ác, như kẻ thày lay việc người khác.|你 們 中 間 卻 不 可 有 人 、 因 為 殺 人 、 偷 竊 、 作 惡 、 好 管 閒 事 而 受 苦 ．
Nhưng nếu có ai vì làm tín đồ Đấng Christ mà chịu khổ, thì đừng hổ thẹn; thà hãy vì danh ấy ngợi khen Đức Chúa Trời là hơn.|若 為 作 基 督 徒 受 苦 、 卻 不 要 羞 恥 ． 倒 要 因 這 名 歸 榮 耀 給 　 神 。
Vì thời kỳ đã đến, là khi sự phán xét sẽ khởi từ nhà Đức Chúa Trời; vả, nếu khởi từ chúng ta, thì sự cuối cùng của những kẻ chẳng vâng theo Tin Lành Đức Chúa Trời sẽ ra thế nào?|因 為 時 候 到 了 、 審 判 要 從 　 神 的 家 起 首 ． 若 是 先 從 我 們 起 首 、 那 不 信 從 　 神 福 音 的 人 、 將 有 何 等 的 結 局 呢 。
Lại nếu người công bình còn khó được rỗi, thì những kẻ nghịch đạo và có tội sẽ trở nên thế nào?|若 是 義 人 僅 僅 得 救 、 那 不 虔 敬 和 犯 罪 的 人 、 將 有 何 地 可 站 呢 。
Vậy những kẻ chịu khổ theo ý muốn Đức Chúa Trời, hãy cứ làm lành mà phó linh hồn mình cho Đấng Tạo hóa thành tín.|所 以 那 照 　 神 旨 意 受 苦 的 人 、 要 一 心 為 善 、 將 自 己 靈 魂 交 與 那 信 實 的 造 化 之 主 。

					I Phi-rơ 5				|
						彼得前書 5					
Tôi gởi lời khuyên nhủ nầy cho các bậc trưởng lão trong anh em, tôi đây cũng là trưởng lão như họ, là người chứng kiến sự đau đớn của Đấng Christ, và cũng có phần về sự vinh hiển sẽ hiện ra:|我 這 作 長 老 、 作 基 督 受 苦 的 見 證 、 同 享 後 來 所 要 顯 現 之 榮 耀 的 、 勸 你 們 中 間 與 我 同 作 長 老 的 人 。
hãy chăn bầy của Đức Chúa Trời đã giao phó cho anh em; làm việc đó chẳng phải bởi ép tình, bèn là bởi vui lòng, chẳng phải vì lợi dơ bẩn, bèn là hết lòng mà làm,|務 要 牧 養 在 你 們 中 間 　 神 的 群 羊 、 按 著 　 神 旨 意 照 管 他 們 ． 不 是 出 於 勉 強 、 乃 是 出 於 甘 心 ． 也 不 是 因 為 貪 財 、 乃 是 出 於 樂 意 。
chẳng phải quản trị phần trách nhậm chia cho anh em, song để làm gương tốt cho cả bầy.|也 不 是 轄 制 所 託 付 你 們 的 、 乃 是 作 群 羊 的 榜 樣 。
Khi Đấng làm đầu các kẻ chăn chiên hiện ra, anh em sẽ được mão triều thiên vinh hiển, chẳng hề tàn héo.|到 了 牧 長 顯 現 的 時 候 、 你 們 必 得 那 永 不 衰 殘 的 榮 耀 冠 冕 。
Cũng khuyên bọn trẻ tuổi, hãy phục theo các trưởng lão. Hết thảy đối đãi với nhau phải trang sức bằng khiêm nhường; vì Đức Chúa Trời chống cự kẻ kiêu ngạo, mà ban ơn cho kẻ khiêm nhường.|你 們 年 幼 的 、 也 要 順 服 年 長 的 。 就 是 你 們 眾 人 、 也 都 要 以 謙 卑 束 腰 、 彼 此 順 服 ． 因 為 　 神 阻 擋 驕 傲 的 人 、 賜 恩 給 謙 卑 的 人 。
Vậy, hãy hạ mình xuống dưới tay quyền phép của Đức Chúa Trời, hầu cho đến ký thuận hiệp Ngài nhắc anh em lên;|所 以 你 們 要 自 卑 、 服 在 　 神 大 能 的 手 下 、 到 了 時 候 他 必 叫 你 們 升 高 。
lại hãy trao mọi điều lo lắng mình cho Ngài, vì Ngài hay săn sóc anh em.|你 們 要 將 一 切 的 憂 慮 卸 給 　 神 、 因 為 他 顧 念 你 們 。
Hãy tiết độ và tỉnh thức: kẻ thù nghịch anh em là ma quỉ, như sư tử rống, đi rình mò chung quanh anh em, tìm kiếm người nào nó có thể nuốt được.|務 要 謹 守 、 儆 醒 ． 因 為 你 們 的 仇 敵 魔 鬼 、 如 同 吼 叫 的 獅 子 、 遍 地 游 行 、 尋 找 可 吞 喫 的 人 ．
Hãy đứng vững trong đức tin mà chống cự nó, vì biết rằng anh em mình ở rải khắp thế gian, cũng đồng chịu hoạn nạn như mình.|你 們 要 用 堅 固 的 信 心 抵 擋 他 、 因 為 知 道 你 們 在 世 上 的 眾 弟 兄 、 也 是 經 歷 這 樣 的 苦 難 。
Đức Chúa Trời ban mọi ơn đã gọi anh em đến sự vinh hiển đời đời của Ngài trong Đấng Christ, thì sau khi anh em tạm chịu khổ, chính Ngài sẽ làm cho anh em trọn vẹn, vững vàng, và thêm sức cho.|那 賜 諸 般 恩 典 的 　 神 、 曾 在 基 督 裡 召 你 們 、 得 享 他 永 遠 的 榮 耀 、 等 你 們 暫 受 苦 難 之 後 、 必 要 親 自 成 全 你 們 、 堅 固 你 們 、 賜 力 量 給 你 們 。
Nguyền xin quyền phép về nơi Ngài, đời đời vô cùng! A-men.|願 權 能 歸 給 他 、 直 到 永 永 遠 遠 。 阿 們 。
Tôi cậy Sin-vanh, là kẻ tôi coi như một người anh em trung tín, viết mấy chữ nầy đặng khuyên anh em, và làm chứng với anh em rằng ấy là ơn thật của Đức Chúa Trời, anh em phải đứng vững trong đó.|我 略 略 的 寫 了 這 信 、 託 我 所 看 為 忠 心 的 兄 弟 西 拉 轉 交 你 們 、 勸 勉 你 們 、 又 證 明 這 恩 是 　 神 的 真 恩 ． 你 們 務 要 在 這 恩 上 站 立 得 住 。
Hội thánh của các người được chọn, tại thành Ba-by-lôn, chào anh em, con tôi là Mác cũng vậy.|在 巴 比 倫 與 你 們 同 蒙 揀 選 的 教 會 問 你 們 安 ． 我 兒 子 馬 可 也 問 你 們 安 。
Anh em hãy lấy cái hôn yêu thương mà chào nhau. Nguyền xin sự bình an ở cùng hết thảy anh em trong Đấng Christ!|你 們 要 用 愛 心 彼 此 親 嘴 問 安 。 願 平 安 歸 與 你 們 凡 在 基 督 裡 的 人 。
