
					Phục Truyền Luật Lệ 1				|
Nếu ngươi nói trong lòng rằng: Các dân tộc nầy đông hơn ta, làm sao đuổi chúng nó ra được?|你 若 心 裡 說 、 這 些 國 的 民 比 我 更 多 、 我 怎 能 趕 出 他 們 呢 。
thì chớ sợ, hãy nhớ lại điều Giê-hô-va Đức Chúa Trời ngươi đã làm cho Pha-ra-ôn và cả xứ Ê-díp-tô,|你 不 要 懼 怕 他 們 、 要 牢 牢 記 念 耶 和 華 你 　 神 向 法 老 和 埃 及 全 地 所 行 的 事 ．
tức là những sự thử thách lớn lao mắt ngươi đã thấy, những dấu kỳ phép lạ, cánh tay quyền năng giơ thẳng ra, mà Giê-hô-va Đức Chúa Trời ngươi đã cậy lấy, đem ngươi ra khỏi xứ Ê-díp-tô: Giê-hô-va Đức Chúa Trời ngươi sẽ đãi như vậy các dân tộc mà ngươi sợ hãi đó.|就 是 你 親 眼 所 看 見 的 大 試 驗 、 神 蹟 、 奇 事 、 和 大 能 的 手 、 並 伸 出 來 的 膀 臂 、 都 是 耶 和 華 你 　 神 領 你 出 來 所 用 的 ． 耶 和 華 你 　 神 必 照 樣 待 你 所 懼 怕 的 一 切 人 民 。
Vả lại, Giê-hô-va Đức Chúa Trời ngươi sẽ sai những ong lỗ đến hại chúng nó, cho tới chừng nào những kẻ đã thoát khỏi và trốn núp, bị diệt hết trước mặt ngươi.|並 且 耶 和 華 你 　 神 必 打 發 黃 蜂 、 飛 到 他 們 中 間 、 直 到 那 剩 下 而 藏 躲 的 人 、 從 你 面 前 滅 亡 。
Chớ vì cớ chúng nó mà sợ hãi chi; vì Giê-hô-va Đức Chúa Trời ngươi ngự tại giữa ngươi, là Đức Chúa Trời rất lớn và đáng sợ.|你 不 要 因 他 們 驚 恐 、 因 為 耶 和 華 你 　 神 在 你 們 中 間 是 大 而 可 畏 的 　 神 。
Nhưng Giê-hô-va Đức Chúa Trời ngươi sẽ lần lần đuổi các dân tộc nầy khỏi trước mặt ngươi; ngươi không thế diệt chúng nó mau, e những thú rừng thêm nhiều lên mà hại ngươi chăng;|耶 和 華 你 　 神 必 將 這 些 國 的 民 、 從 你 面 前 漸 漸 趕 出 、 你 不 可 把 他 們 速 速 滅 盡 、 恐 怕 野 地 的 獸 多 起 來 害 你 。
song Giê-hô-va Đức Chúa Trời ngươi sẽ phó chúng nó cho ngươi, và khiến cho sa vào sự kinh hoàng dữ dội, cho đến chừng nào chúng nó bị diệt mất.|耶 和 華 你 　 神 必 將 他 們 交 給 你 、 大 大 的 擾 亂 他 們 、 直 到 他 們 滅 絕 了 。
Ngài sẽ phó các vua chúng nó vào tay ngươi, ngươi phải xóa danh các vua đó khỏi dưới trời, chẳng còn một ai chống cự trước mặt ngươi, cho đến chừng nào ngươi đã diệt chúng nó.|又 要 將 他 們 的 君 王 交 在 你 手 中 、 你 就 使 他 們 的 名 從 天 下 消 滅 ． 必 無 一 人 能 在 你 面 前 站 立 得 住 、 直 到 你 將 他 們 滅 絕 了 。
Các ngươi phải thiêu đốt những tượng chạm về các thần chúng nó. Chớ tham lam, cũng chớ lấy cho mình bạc hay vàng bọc các tượng ấy, e ngươi phải mắc bẫy chăng; vì vật ấy lấy làm gớm ghiếc cho Giê-hô-va Đức Chúa Trời ngươi.|他 們 雕 刻 的 神 像 、 你 們 要 用 火 焚 燒 、 其 上 的 金 銀 你 不 可 貪 圖 、 也 不 可 收 取 、 免 得 你 因 此 陷 入 網 羅 ． 這 原 是 耶 和 華 你 　 神 所 憎 惡 的 。
Chớ đem vàng gớm ghiếc nầy vào nhà mình, e ngươi cũng đáng bị diệt như nó. Khá gớm ghê và hiềm nó đến đều, vì là một vật đáng diệt.|可 憎 的 物 、 你 不 可 帶 進 家 去 、 不 然 、 你 就 成 了 當 毀 滅 的 、 與 那 物 一 樣 ． 你 要 十 分 厭 惡 、 十 分 憎 嫌 、 因 為 這 是 當 毀 滅 的 物 。

					Phục Truyền Luật Lệ 8				|
						申命記 8					
Hãy cẩn thận làm theo hết thảy điều răn mà ta truyền cho các ngươi ngày nay, để các ngươi được sống, được gia thêm, và được vào nhận lấy xứ mà Đức Giê-hô-va đã thề cùng tổ phụ các ngươi, để ban cho các ngươi.|我 今 日 所 吩 咐 的 一 切 誡 命 、 你 們 要 謹 守 遵 行 、 好 叫 你 們 存 活 、 人 數 增 多 、 且 進 去 得 耶 和 華 向 你 們 列 祖 起 誓 應 許 的 那 地 。
Hãy nhớ trọn con đường nơi đồng vắng mà Giê-hô-va Đức Chúa Trời ngươi đã dẫn ngươi đi trong bốn mươi năm nầy, để hạ ngươi xuống và thử ngươi, đặng biết điều có ở trong lòng ngươi, hoặc ngươi có gìn giữ những điều răn của Ngài hay chăng.|你 也 要 記 念 耶 和 華 你 的 　 神 在 曠 野 引 導 你 、 這 四 十 年 、 是 要 苦 煉 你 、 試 驗 你 、 要 知 道 你 心 內 如 何 、 肯 守 他 的 誡 命 不 肯 。
Vậy, Ngài có hạ ngươi xuống, làm cho ngươi bị đói, đoạn cho ăn ma-na mà ngươi và tổ phụ ngươi chưa hề biết, để khiến ngươi biết rằng loài người sống chẳng phải nhờ bánh mà thôi, nhưng loài người sống nhờ mọi lời bởi miệng Đức Giê-hô-va mà ra.|他 苦 煉 你 、 任 你 飢 餓 、 將 你 和 你 列 祖 所 不 認 識 的 嗎 哪 賜 給 你 喫 、 使 你 知 道 人 活 著 、 不 是 單 靠 食 物 、 乃 是 靠 耶 和 華 口 裡 所 出 的 一 切 話 。
Trong bốn mươi năm nầy áo xống ngươi không hư mòn, chân ngươi chẳng phù lên.|這 四 十 年 、 你 的 衣 服 沒 有 穿 破 、 你 的 腳 也 沒 有 腫 。
Vậy, khá nhận biết trong lòng rằng Giê-hô-va Đức Chúa Trời ngươi sửa phạt ngươi như một người sửa phạt con mình vậy.|你 當 心 裡 思 想 、 耶 和 華 你 　 神 管 教 你 、 好 像 人 管 教 兒 子 一 樣 。
Hãy kính sợ Giê-hô-va Đức Chúa Trời ngươi, gìn giữ những điều răn của Ngài, đi theo các đường lối Ngài;|你 要 謹 守 耶 和 華 你 　 神 的 誡 命 、 遵 行 他 的 道 、 敬 畏 他 ．
vì Giê-hô-va Đức Chúa Trời ngươi sẽ khiến ngươi vào xứ tốt tươi, có nhiều khe, suối, nước sâu phun lên trong trũng và trên núi;|因 為 耶 和 華 你 　 神 領 你 進 入 美 地 、 那 地 有 河 、 有 泉 、 有 源 、 從 山 谷 中 流 出 水 來 。
xứ có lúa mì, lúa mạch, dây nho, cây vả, cây lựu; dầu ô-li-ve và mật;|那 地 有 小 麥 、 大 麥 、 葡 萄 樹 、 無 花 果 樹 、 石 榴 樹 、 橄 欖 樹 、 和 蜜 。
xứ đó ngươi sẽ ăn bánh đầy đủ, chẳng thiếu món chi; đá xứ đó là sắt, và từ trong núi ngươi lấy đồng ra.|你 在 那 地 不 缺 食 物 、 一 無 所 缺 ． 那 地 的 石 頭 是 鐵 、 山 內 可 以 挖 銅 。
Vậy, ngươi sẽ ăn no nê, và khong khen Giê-hô-va Đức Chúa Trời ngươi, vì cớ xứ tốt tươi mà Ngài đã ban cho.|你 喫 得 飽 足 、 就 要 稱 頌 耶 和 華 你 的 　 神 、 因 他 將 那 美 地 賜 給 你 了 。
Ngươi khá cẩn thận, e quên Giê-hô-va Đức Chúa Trời ngươi, không giữ gìn những điều răn, mạng lịnh và luật lệ của Ngài, mà ngày nay ta truyền cho ngươi chăng;|你 要 謹 慎 、 免 得 忘 記 耶 和 華 你 的 　 神 、 不 守 他 的 誡 命 、 典 章 、 律 例 、 就 是 我 今 日 所 吩 咐 你 的 。
lại e sau khi đã ăn no nê, cất nhà tốt đặng ở,|恐 怕 你 喫 得 飽 足 、 建 造 美 好 的 房 屋 居 住 ．
thấy bò chiên của mình thêm nhiều lên, bạc, vàng, và mọi tài sản mình dư dật rồi,|你 的 牛 羊 加 多 、 你 的 金 銀 增 添 、 並 你 所 有 的 全 都 加 增 、
thì bấy giờ lòng ngươi tự cao, quên Giê-hô-va Đức Chúa Trời ngươi, là Đấng đã đem ngươi ra khỏi xứ Ê-díp-tô, tức khỏi nhà nô lệ chăng.|你 就 心 高 氣 傲 、 忘 記 耶 和 華 你 的 　 神 、 就 是 將 你 從 埃 及 地 為 奴 之 家 領 出 來 的 、
Ay là Ngài đã dẫn ngươi đi ngang qua đồng vắng mênh mông gớm ghiếc nầy, đầy những rắn lửa, bò kẹp, đất khô khan, chẳng có nước; Ngài khiến nước từ hòn đá rất cứng phun ra cho ngươi;|引 你 經 過 那 大 而 可 怕 的 曠 野 、 那 裡 有 火 蛇 、 蠍 子 、 乾 旱 無 水 之 地 ． 他 曾 為 你 使 水 從 堅 硬 的 磐 石 中 流 出 來 ．
lại trong đồng vắng, Ngài ban cho ngươi ăn ma-na mà tổ phụ chưa hề biết, để hạ ngươi xuống và thử ngươi, hầu về sau làm ơn cho ngươi.|又 在 曠 野 、 將 你 列 祖 所 不 認 識 的 嗎 哪 賜 給 你 喫 、 是 要 苦 煉 你 、 試 驗 你 、 叫 你 終 久 享 福 。
Vậy, khá coi chừng, chớ nói trong lòng rằng: Ay nhờ quyền năng ta và sức lực của tay ta mà đoạt được những sản nghiệp nầy.|恐 怕 你 心 裡 說 、 這 貨 財 是 我 力 量 我 能 力 得 來 的 。
Hãy nhớ lại Giê-hô-va Đức Chúa Trời ngươi, vì ấy là Ngài ban cho ngươi sức lực đoạt được những sản nghiệp, để làm trọn sự giao ước Ngài đã thề cùng tổ phụ ngươi, y như Ngài đã làm ngày nay.|你 要 記 念 耶 和 華 你 的 　 神 、 因 為 得 貨 財 的 力 量 是 他 給 你 的 、 為 要 堅 定 他 向 你 列 祖 起 誓 所 立 的 約 、 像 今 日 一 樣 。
Nếu ngươi quên Giê-hô-va Đức Chúa Trời ngươi mà theo các thần khác, hầu việc và quì lạy trước các thần ấy, thì ngày nay ta cáo quyết rằng: Các ngươi hẳn sẽ bị diệt mất!|你 若 忘 記 耶 和 華 你 的 　 神 、 隨 從 別 神 、 事 奉 敬 拜 、 你 們 必 定 滅 亡 、 這 是 我 今 日 警 戒 你 們 的 。
Các ngươi sẽ bị diệt mất như những dân tộc kia mà Đức Giê-hô-va tuyệt diệt trước mặt các ngươi, bởi vì không nghe theo tiếng Giê-hô-va, Đức Chúa Trời của các ngươi.|耶 和 華 在 你 們 面 前 怎 樣 使 列 國 的 民 滅 亡 、 你 們 也 必 照 樣 滅 亡 、 因 為 你 們 不 聽 從 耶 和 華 你 們 　 神 的 話 。

					Phục Truyền Luật Lệ 9				|
						申命記 9					
Hỡi Y-sơ-ra-ên, hãy nghe! ngày nay ngươi sẽ đi ngang qua sông Giô-đanh, đặng chiếm lấy các dân tộc lớn và mạnh hơn ngươi, những thành lớn và tường cao đến trời,|以 色 列 阿 、 你 當 聽 ． 你 今 日 要 過 約 但 河 、 進 去 趕 出 比 你 強 大 的 國 民 、 得 著 廣 大 堅 固 、 高 得 頂 天 的 城 邑 。
một dân to lớn và tác cao, là con cháu A-na-kim, mà ngươi đã biết, và có nghe mói rằng: "Ai sẽ đương địch nổi trước mặt con cháu A-nác?"|那 民 是 亞 衲 族 的 人 、 又 大 又 高 、 是 你 所 知 道 的 、 也 曾 聽 見 有 人 指 著 他 們 說 、 誰 能 在 亞 衲 族 人 面 前 站 立 得 住 呢 。
Vậy, ngày nay phải biết rằng Giê-hô-va Đức Chúa Trời ngươi đi trước ngươi, như một đám lửa hừng, sẽ tiêu diệt và hạ xuống các dân nầy trước mặt ngươi; ngươi sẽ đuổi ra và diệt chúng nó cách mau, y như Đức Giê-hô-va đã phán cùng ngươi.|你 今 日 當 知 道 、 耶 和 華 你 的 　 神 在 你 前 面 過 去 、 如 同 烈 火 、 要 滅 絕 他 們 、 將 他 們 制 伏 在 你 面 前 、 這 樣 你 就 要 照 耶 和 華 所 說 的 趕 出 他 們 、 使 他 們 速 速 滅 亡 。
Khi Giê-hô-va Đức Chúa Trời ngươi đã đuổi chúng nó khỏi trước mặt ngươi, chớ nói trong lòng rằng: Ay vì cớ sự công bình tôi mà Đức Giê-hô-va khiến tôi vào nhận lấy xứ nầy; thật là bởi sự gian ác của các dân tộc đó, nên Đức Giê-hô-va mới đuổi chúng nó ra khỏi trước mặt ngươi.|耶 和 華 你 的 　 神 將 這 些 國 民 從 你 面 前 攆 出 以 後 、 你 心 裡 不 可 說 、 耶 和 華 將 我 領 進 來 得 這 地 是 因 我 的 義 ． 其 實 耶 和 華 將 他 們 從 你 面 前 趕 出 去 、 是 因 他 們 的 惡 。
Ngươi vào nhận lấy xứ của các dân tộc ấy, chẳng phải vì cớ sự công bình ngươi, hay là lòng chánh trực của ngươi đâu, nhưng vì cớ sự gian ác của chúng nó, nên Giê-hô-va Đức Chúa Trời ngươi sẽ đuổi chúng nó ra khỏi trước mặt ngươi, để làm cho ứng nghiệm lời hứa Ngài đã thề cùng các tổ phụ người, là Ap-ra-ham, Y-sác và Gia-cốp.|你 進 去 得 他 們 的 地 、 並 不 是 因 你 的 義 、 也 不 是 因 你 心 裡 正 直 、 乃 是 因 這 些 國 民 的 惡 、 耶 和 華 你 的 　 神 將 他 們 從 你 面 前 趕 出 去 、 又 因 耶 和 華 要 堅 定 他 向 你 列 祖 亞 伯 拉 罕 、 以 撒 、 雅 各 、 起 誓 所 應 許 的 話 。
Vậy, khá biết rằng chẳng phải vì cớ sự công bình ngươi mà Giê-hô-va Đức Chúa Trời ngươi cho ngươi nhận lấy xứ tốt tươi nầy đâu; bởi ngươi vẫn là một dân cứng cổ.|你 當 知 道 、 耶 和 華 你 　 神 將 這 美 地 賜 你 為 業 、 並 不 是 因 你 的 義 、 你 本 是 硬 著 頸 項 的 百 姓 。
Hãy nhớ lại, chớ quên rằng, trong đồng vắng ngươi đã chọc giận Giê-hô-va Đức Chúa Trời ngươi. Từ ngày ra khỏi xứ Ê-díp-tô cho đến chốn nầy, ngươi thường phản nghịch cùng Đức Giê-hô-va.|你 當 記 念 不 忘 、 你 在 曠 野 怎 樣 惹 耶 和 華 你 　 神 發 怒 ． 自 從 你 出 了 埃 及 地 的 那 日 、 直 到 你 們 來 到 這 地 方 、 你 們 時 常 悖 逆 耶 和 華 。
Tại Hô-rếp, các ngươi cũng đã chọc giận Đức Giê-hô-va; nên Ngài nổi thạnh nộ toan diệt các ngươi.|你 們 在 何 烈 山 又 惹 耶 和 華 發 怒 、 他 惱 怒 你 們 、 要 滅 絕 你 們 。
Khi ta đi lên núi đặng lãnh hai bảng đá, tức là hai bảng về sự giao ước mà Đức Giê-hô-va đã lập cùng các ngươi, ta ở trên núi bốn mươi ngày và bốn mươi đêm, không ăn bánh, chẳng uống nước;|我 上 了 山 、 要 領 受 兩 塊 石 版 、 就 是 耶 和 華 與 你 們 立 約 的 版 ． 那 時 我 在 山 上 住 了 四 十 晝 夜 、 沒 有 喫 飯 、 也 沒 有 喝 水 。
và Đức Giê-hô-va trao cho ta hai bảng đá, bởi ngón tay Đức Chúa Trời viết ra, có đủ những lời mà Đức Giê-hô-va từ giữa lửa, tại trên núi, có phán ra cùng các ngươi, trong ngày nhóm hiệp.|耶 和 華 把 那 兩 塊 石 版 交 給 我 、 是 　 神 用 指 頭 寫 的 、 版 上 所 寫 的 、 是 照 耶 和 華 在 大 會 的 日 子 、 在 山 上 、 從 火 中 對 你 們 所 說 的 一 切 話 。
Xảy khi bốn mươi ngày và bốn mươi đêm mãn rồi, Đức Giê-hô-va ban cho ta hai bảng đá, tức là hai bảng về sự giao ước.|過 了 四 十 晝 夜 、 耶 和 華 把 那 兩 塊 石 版 、 就 是 約 版 、 交 給 我 ．
Đoạn, Đức Giê-hô-va phán cùng ta rằng: Hãy đứng dậy, mau mau xuống khỏi đây, vì dân mà ngươi đem ra khỏi xứ Ê-díp-tô đã tự bại hoại, vội bỏ đạo của ta đã truyền cho, mà chế cho mình một tượng đúc.|對 我 說 、 你 起 來 、 趕 快 下 去 、 因 為 你 從 埃 及 領 出 來 的 百 姓 、 已 經 敗 壞 了 自 己 、 他 們 快 快 的 偏 離 了 我 所 吩 咐 的 道 、 為 自 己 鑄 成 了 偶 像 。
Đức Giê-hô-va lại phán cùng ta rằng: Ta nhìn xem dân nầy, kìa là một dân cứng cổ.|耶 和 華 又 對 我 說 、 我 看 這 百 姓 是 硬 著 頸 項 的 百 姓 。
Hãy để mặc ta diệt chúng nó, và xóa tên chúng nó khỏi dưới trời, rồi ta sẽ làm cho ngươi thành một dân tộc mạnh và lớn hơn dân ấy.|你 且 由 著 我 、 我 要 滅 絕 他 們 、 將 他 們 的 名 從 天 下 塗 抹 、 使 你 的 後 裔 比 他 們 成 為 更 大 更 強 的 國 。
Vậy, ta bèn xây lại đi xuống núi, cả núi vẫn có lửa cháy: hai tay ta cầm hai bảng đá về sự giao ước.|於 是 我 轉 身 下 山 、 山 被 火 燒 ? ． 兩 塊 約 版 在 我 兩 手 之 中 。
Bấy giờ, ta nhìn xem, kìa các ngươi đã phạm tội cùng Giê-hô-va. Đức Chúa Trời các ngươi, rất vội bỏ đạo Ngài đã truyền cho, mà làm cho mình một con bò con đúc.|我 一 看 見 你 們 得 罪 了 耶 和 華 你 們 的 　 神 、 鑄 成 了 牛 犢 、 快 快 的 偏 離 了 耶 和 華 所 吩 咐 你 們 的 道 、
Ta bèn nắm hai bảng đá, liệng ra khỏi tay, đập bể trước mặt các ngươi.|我 就 把 那 兩 塊 版 從 我 手 中 扔 下 去 、 在 你 們 眼 前 摔 碎 了 。
Đoạn, vì cớ các ngươi làm dữ, phạm tội trọng trước mắt Đức Giê-hô-va, chọc cho Ngài giận, nên ta lại sấp mình xuống trước mặt Đức Giê-hô-va, trong bốn mươi ngày và bốn mươi đêm như lần trước, không ăn bánh và chẳng uống nước.|因 你 們 所 犯 的 一 切 罪 、 行 了 耶 和 華 眼 中 看 為 惡 的 事 、 惹 他 發 怒 、 我 就 像 從 前 俯 伏 在 耶 和 華 面 前 四 十 晝 夜 、 沒 有 喫 飯 、 也 沒 有 喝 水 。
Vì ta sợ cơn thạnh nộ và tức giận của Đức Giê-hô-va đã nổi phừng lên, đặng diệt các ngươi; nhưng Đức Giê-hô-va còn nhậm lời ta lần nầy nữa.|我 因 耶 和 華 向 你 們 大 發 烈 怒 、 要 滅 絕 你 們 、 就 甚 害 怕 、 但 那 次 耶 和 華 又 應 允 了 我 。
Đức Giê-hô-va cũng nổi nóng phừng cùng A-rôn, đến đỗi muốn giết người; song ta cũng cầu nguyện cho A-rôn trong lúc đó.|耶 和 華 也 向 亞 倫 甚 是 發 怒 、 要 滅 絕 他 、 那 時 我 又 為 亞 倫 祈 禱 。
Đoạn, ta lấy vật tội lỗi của các ngươi, tức là con bò con mà các ngươi đã làm, đem đốt trong lửa, đập bể ra từng miếng, nghiền cho đến đỗi nó tan ra bụi, rồi đổ bụi ấy nơi khe ở trên núi chảy xuống.|我 把 那 叫 你 們 犯 罪 所 鑄 的 牛 犢 、 用 火 焚 燒 、 又 搗 碎 磨 得 很 細 、 以 至 細 如 灰 塵 ． 我 就 把 這 灰 塵 撒 在 從 山 上 流 下 來 的 溪 水 中 。
Các ngươi cũng có chọc giận Đức Giê-hô-va tại Tha-bê-ra, tại Ma-sa, và tại Kíp-rốt-Ha-tha-va.|你 們 在 他 備 拉 、 瑪 撒 、 基 博 羅 哈 他 瓦 、 又 惹 耶 和 華 發 怒 。
Khi Đức Giê-hô-va sai các ngươi đi từ Ca-đe-Ba-nê -a, có dặn rằng: Hãy đi lên nhận lấy xứ ta ban cho các ngươi, thì các ngươi đã bội nghịch mạng của Giê-hô-va Đức Chúa Trời các ngươi, không tin Ngài và không nghe theo tiếng Ngài.|耶 和 華 打 發 你 們 離 開 加 低 斯 巴 尼 亞 說 、 你 們 上 去 、 得 我 所 賜 給 你 們 的 地 、 那 時 你 們 違 背 了 耶 和 華 你 們 　 神 的 命 令 、 不 信 服 他 、 不 聽 從 他 的 話 。
Từ ngày ta biết các ngươi cho đến bây giờ, các ngươi thường phản nghịch cùng Đức Giê-hô-va.|自 從 我 認 識 你 們 以 來 、 你 們 常 常 悖 逆 耶 和 華 。
Vậy, vì cớ Đức Giê-hô-va có phán rằng Ngài toan diệt các ngươi, nên ta cứ sấp mình xuống trước mặt Đức Giê-hô-va trong bốn mươi ngày và bốn mươi đêm,|我 因 耶 和 華 說 要 滅 絕 你 們 、 就 在 耶 和 華 面 前 照 舊 俯 伏 四 十 晝 夜 。
cầu khẩn Ngài mà rằng: Chúa Giê-hô-va ôi! xin chớ diệt dân sự của Chúa, là cơ nghiệp của Chúa, mà Chúa đã lấy sự oai nghiêm Ngài chuộc lại, và nhờ tay quyền năng rút ra khỏi xứ Ê-díp-tô.|我 祈 禱 耶 和 華 說 、 主 耶 和 華 阿 、 求 你 不 要 滅 絕 你 的 百 姓 、 他 們 是 你 的 產 業 、 是 你 用 大 力 救 贖 的 、 用 大 能 從 埃 及 領 出 來 的 。
Xin hãy nhớ đến những tôi tớ của Chúa là Ap-ra-ham, Y-sác, và Gia-cốp, chớ chấp sự cứng lòng, hung dữ, và tội ác của dân nầy,|求 你 記 念 你 的 僕 人 亞 伯 拉 罕 、 以 撒 、 雅 各 、 不 要 想 念 這 百 姓 的 頑 梗 、 邪 惡 、 罪 過 ．
e dân của xứ mà Chúa đã đem chúng tôi ra khỏi đó, nói rằng: Bởi vì Đức Giê-hô-va không thế đem dân ấy vào xứ Ngài đã hứa, và vì Ngài ghét chúng nó, nên dẫn chúng nó ra khỏi xứ đặng giết đi trong đồng vắng.|免 得 你 領 我 們 出 來 的 那 地 之 人 說 、 耶 和 華 因 為 不 能 將 這 百 姓 領 進 他 所 應 許 之 地 、 又 因 恨 他 們 、 所 以 領 他 們 出 去 、 要 在 曠 野 殺 他 們 。
Song chúng vốn là dân sự và cơ nghiệp của Chúa, mà Chúa đã dùng quyền năng lớn và cánh tay giơ thẳng ra, rút ra khỏi xứ Ê-díp-tô.|其 實 他 們 是 你 的 百 姓 、 你 的 產 業 、 是 你 用 大 能 、 和 伸 出 來 的 膀 臂 領 出 來 的 。

					Phục Truyền Luật Lệ 10				|
						申命記 10					
Trong lúc đó, Đức Giê-hô-va phán cùng ta rằng: Hãy đục bai bảng đá như hai bảng trước, và hãy lên đến ta trên núi; ngươi cũng phải đóng một cái hòm bằng cây.|那 時 耶 和 華 吩 咐 我 說 、 你 要 鑿 出 兩 塊 石 版 、 和 先 前 的 一 樣 、 上 山 到 我 這 裡 來 、 又 要 作 一 木 櫃 。
Ta sẽ viết trên hai bảng nầy những lời đã có trên hai bảng trước mà ngươi đã đập bể, rồi để hai bảng nầy trong hòm.|你 先 前 摔 碎 的 那 版 、 其 上 的 字 我 要 寫 在 這 版 上 、 你 要 將 這 版 放 在 櫃 中 。
Vậy, ta đóng một cái hòm bằng cây si-tim, đục hai bảng đá, y như hai bảng trước, rồi đi lên trên núi, cầm hai bảng đó trong tay.|於 是 我 用 皂 莢 木 作 了 一 櫃 、 又 鑿 出 兩 塊 石 版 和 先 前 的 一 樣 、 手 裡 拿 這 兩 塊 版 上 山 去 了 。
Ngài viết trên hai bảng nầy lời Ngài đã viết lần trước, tức là mười điều răn mà Đức Giê-hô-va từ giữa lửa tại trên núi, có phán cùng các ngươi, trong ngày nhóm hiệp; rồi Đức Giê-hô-va trao cho ta.|耶 和 華 將 那 大 會 之 日 、 在 山 上 從 火 中 所 傳 與 你 們 的 十 條 誡 、 照 先 前 所 寫 的 、 寫 在 這 版 上 、 將 版 交 給 我 了 。
Ta trở đi xuống núi, để hai bảng vào hòm mà ta đã đóng, và hai bảng ấy còn ở tại đó, y như Đức Giê-hô-va đã phán dặn ta vậy.|我 轉 身 下 山 、 將 這 版 放 在 我 所 作 的 櫃 中 、 現 今 還 在 那 裡 、 正 如 耶 和 華 所 吩 咐 我 的 。
Vả, dân Y-sơ-ra-ên đi từ Bê-rốt Bê-nê-Gia-can đến Mô-sê-ra. A-rôn qua đời và được chôn tại đó; Ê-lê -a-sa, con trai người, làm chức tế lễ thế cho người.|（ 以 色 列 人 從 比 羅 比 尼 亞 干 〔 或 作 亞 干 井 〕 起 行 、 到 了 摩 西 拉 。 亞 倫 死 在 那 裡 、 就 葬 在 那 裡 ． 他 兒 子 以 利 亞 撒 、 接 續 他 供 祭 司 的 職 分 。
Từ đó, dân Y-sơ-ra-ên đi đến Gút-gô-đa, rồi từ Gút-gô-đa đến Dốt-ba-tha, là xứ có nhiều sông rạch.|他 們 從 那 裡 起 行 、 到 了 谷 歌 大 、 又 從 谷 歌 大 到 了 有 溪 水 之 地 的 約 巴 他 。
Trong lúc ấy, Đức Giê-hô-va biệt chi phái Lê-vi riêng ra, đặng khiêng hòm giao ước của Đức Giê-hô-va, chầu chực trước mặt Đức Giê-hô-va, phục sự Ngài, và nhân danh Ngài chức phước, cho đến ngày nay.|那 時 耶 和 華 將 利 未 支 派 分 別 出 來 、 抬 耶 和 華 的 約 櫃 、 又 侍 立 在 耶 和 華 面 前 事 奉 他 、 奉 他 的 名 祝 福 、 直 到 今 日 。
Bởi cớ đó, Lê-vi không phần, không nghiệp với anh em mình; Đức Giê-hô-va là cơ nghiệp của ngươi y như Giê-hô-va Đức Chúa Trời ngươi đã phán cùng người.|所 以 利 未 人 在 他 弟 兄 中 無 分 無 業 、 耶 和 華 是 他 的 產 業 、 正 如 耶 和 華 你 　 神 所 應 許 他 的 。 ）
Vậy, ta ở trên núi trong bốn mươi ngày và bốn mươi đêm như lần đầu, và lần nầy Đức Giê-hô-va lại nhậm lời ta, bằng lòng không diệt ngươi.|我 又 像 從 前 在 山 上 住 了 四 十 晝 夜 ． 那 次 耶 和 華 也 應 允 我 、 不 忍 將 你 滅 絕 。
Nhưng Đức Giê-hô-va phán cùng ta rằng: Hãy đứng dậy, đi đầu dân sự, đặng chúng nó vào nhận lấy xứ mà ta đã thề cùng tổ phụ chúng nó, để ban cho chúng nó.|耶 和 華 吩 咐 我 說 、 你 起 來 引 導 這 百 姓 、 使 他 們 進 去 得 我 向 他 們 列 祖 起 誓 應 許 所 賜 之 地 。
Vậy, hỡi Y-sơ-ra-ên, bây giờ Giê-hô-va Đức Chúa Trời ngươi đòi ngươi điều chi? há chẳng phải đòi ngươi kính sợ Giê-hô-va, Đức Chúa Trời ngươi, đi theo các đạo Ngài, hết lòng hết ý kính mến và phục sự Giê-hô-va Đức Chúa Trời ngươi,|以 色 列 阿 、 現 在 耶 和 華 你 　 神 向 你 所 要 的 是 甚 麼 呢 、 只 要 你 敬 畏 耶 和 華 你 的 　 神 、 遵 行 他 的 道 、 愛 他 、 盡 心 盡 性 事 奉 他 、
giữ các điều răn và luật lệ của Đức Giê-hô-va, mà ta truyền cho ngươi ngày nay, để ngươi được phước?|遵 守 他 的 誡 命 、 律 例 、 就 是 我 今 日 所 吩 咐 你 的 、 為 要 叫 你 得 福 。
Kìa, trời và các từng trời cao hơn trời, đất và mọi vật ở nơi đất đều thuộc về Giê-hô-va Đức Chúa Trời ngươi.|看 哪 、 天 和 天 上 的 天 、 地 和 地 上 所 有 的 、 都 屬 耶 和 華 你 的 　 神 。
Chỉn Đức Giê-hô-va ưa-đẹp các tổ phụ ngươi và yêu mến; rồi trong muôn dân, Ngài đã chọn dòng dõi họ, tức là các ngươi, y như các ngươi thấy ngày nay.|耶 和 華 但 喜 悅 你 的 列 祖 、 愛 他 們 、 從 萬 民 中 揀 選 他 們 的 後 裔 就 是 你 們 、 像 今 日 一 樣 。
Vậy, hãy trừ sự ô uế của lòng mình đi, chớ cứng cổ nữa;|所 以 你 們 要 將 心 裡 的 污 穢 除 掉 。 不 可 再 硬 著 頸 項 ．
