
					Lu-ca 1				|
Song đến ngày nào chàng rể phải đem đi khỏi họ, thì trong những ngày ấy họ mới kiêng ăn vậy.|但 日 子 將 到 、 新 郎 要 離 開 他 們 、 那 日 他 們 就 要 禁 食 了 。
Ngài lại lấy thí dụ mà phán cùng họ rằng: Không ai xé một miếng áo mới mà và áo cũ. Nếu vậy, áo mới phải rách, và miếng giẻ mới cũng không xứng với áo cũ.|耶 穌 又 設 一 個 比 喻 、 對 他 們 說 、 沒 有 人 把 新 衣 服 撕 下 一 塊 來 、 補 在 舊 衣 服 上 ． 若 是 這 樣 、 就 把 新 的 撕 破 了 、 並 且 所 撕 下 來 的 那 塊 新 的 、 和 舊 的 也 不 相 稱 。
Cũng không ai đổ rượu mới vào bầu da cũ, nếu vậy, rượu mới làm nứt bầu ra; rượu chảy mất và bầu cũng phải hư đi.|也 沒 有 人 把 新 酒 裝 在 舊 皮 袋 裡 ． 若 是 這 樣 、 新 酒 必 將 皮 袋 裂 開 、 酒 便 漏 出 來 、 皮 袋 也 就 壞 了 。
Song rượu mới phải đổ vào bầu mới.|但 新 酒 必 須 裝 在 新 皮 袋 裡 。
Lại cũng không ai uống rượu cũ lại đòi rượu mới; vì người nói rằng: Rượu cũ ngon hơn.|沒 有 人 喝 了 陳 酒 又 想 喝 新 的 、 他 總 說 陳 的 好 。

					Lu-ca 6				|
						路加福音 6					
Nhằm ngày Sa-bát, Đức Chúa Jêsus đi qua giữa đồng lúa mì, môn đồ bứt bông lúa, lấy tay vò đi và ăn.|有 一 個 安 息 日 、 耶 穌 從 麥 地 經 過 ． 他 的 門 徒 掐 了 麥 穗 、 用 手 搓 著 喫 。
Có mấy người Pha-ri-si nói rằng: Sao các ngươi làm điều không nên làm trong ngày Sa-bát?|有 幾 個 法 利 賽 人 說 、 你 們 為 甚 麼 作 安 息 日 不 可 作 的 事 呢 。
Đức Chúa Jêsus phán rằng: Vậy các ngươi chưa đọc chuyện vua Đa-vít làm trong khi vua cùng kẻ đi theo bị đói sao?|耶 穌 對 他 們 說 、 經 上 記 著 大 衛 和 跟 從 他 的 人 、 飢 餓 之 時 所 作 的 事 、 連 這 個 你 們 也 沒 有 念 過 麼 ．
Thể nào vua vào đền Đức Chúa Trời, lấy bánh bày ra mà ăn, và cho kẻ đi theo ăn nữa, dầu là bánh chỉ các thầy tế lễ mới được phép ăn thôi?|他 怎 麼 進 了 　 神 的 殿 、 拿 陳 設 餅 喫 、 又 給 跟 從 的 人 喫 ． 這 餅 除 了 祭 司 以 外 、 別 人 都 不 可 喫 。
Ngài lại phán rằng: Con người cũng là Chúa ngày Sa-bát.|又 對 他 們 說 、 人 子 是 安 息 日 的 主 。
Một ngày Sa-bát khác, Đức Chúa Jêsus vào nhà hội dạy dỗ. Tại đó, có một người bàn tay hữu bị teo.|又 有 一 個 安 息 日 、 耶 穌 進 了 會 堂 教 訓 人 ． 在 那 裡 有 一 個 人 右 手 枯 乾 了 。
Vả, các thầy thông giáo và người Pha-ri-si chăm chỉ xem Ngài, coi thử Ngài có chữa bịnh trong ngày Sa-bát chăng, để tìm dịp mà cáo Ngài.|文 士 和 法 利 賽 人 窺 探 耶 穌 、 在 安 息 日 治 病 不 治 病 ． 要 得 把 柄 去 告 他 。
Nhưng Ngài biết ý tưởng họ, nên phán cùng người teo tay rằng: Hãy chờ dậy, đứng giữa chúng ta. Người ấy chờ dậy, và đứng lên.|耶 穌 卻 知 道 他 們 的 意 念 ． 就 對 那 枯 乾 一 隻 手 的 人 說 、 起 來 、 站 在 當 中 。 那 人 就 起 來 站 著 。
Đức Chúa Trời liền phán cùng họ rằng: Ta hỏi các ngươi: Trong ngày Sa-bát, nên làm điều lành hay là làm điều dữ, nên cứu người hay là giết người?|耶 穌 對 他 們 說 、 我 問 你 們 、 在 安 息 日 行 善 行 惡 、 救 命 害 命 、 那 樣 是 可 以 的 呢 。
Đoạn, Ngài lấy mắt liếc khắp mọi người xung quanh mình, rồi phán cùng người bịnh rằng: Hãy giơ tay ra. Người giơ ra, thì được lành.|他 就 周 圍 看 著 他 們 眾 人 、 對 那 人 說 、 伸 出 手 來 ． 他 把 手 一 伸 、 手 就 復 了 原 。
Nhưng họ giận lắm, bèn bàn cùng nhau về việc mình có thể xử với Đức Chúa Jêsus cách nào.|他 們 就 滿 心 大 怒 、 彼 此 商 議 、 怎 樣 處 治 耶 穌 。
Trong lúc đó, Đức Chúa Jêsus đi lên núi để cầu nguyện; và thức thâu đêm cầu nguyện Đức Chúa Trời.|那 時 、 耶 穌 出 去 上 山 禱 告 ． 整 夜 禱 告 　 神 。
Đến sáng ngày, Ngài đòi môn đồ đến, chọn mười hai người, gọi là sứ đồ:|到 了 天 亮 、 叫 他 的 門 徒 來 ． 就 從 他 們 中 間 挑 選 十 二 個 人 、 稱 他 們 為 使 徒 ．
Si-môn, Ngài đặt tên là Phi -e-rơ, Anh-rê em ruột của Phi -e-rơ, Gia-cơ và Giăng, Phi-líp và Ba-thê-lê-my,|這 十 二 個 人 有 西 門 、 耶 穌 又 給 他 起 名 彼 得 、 還 有 他 兄 弟 安 得 烈 、 又 有 雅 各 和 約 翰 、 腓 力 和 巴 多 羅 買 、
Ma-thi -ơ và Thô-ma, Gia-cơ con của A-phê, Si-môn gọi là Xê-lốt,|馬 太 和 多 馬 、 亞 勒 腓 的 兒 子 雅 各 、 和 奮 銳 黨 的 西 門 、
Giu-đê con của Gia-cơ và Giu-đa Ích-ca-ri-ốt là kẻ phản Ngài.|雅 各 的 兒 子 猶 大 、 〔 兒 子 或 作 兄 弟 〕 和 賣 主 的 加 略 人 猶 大 。
Kế đó, Ngài cùng môn đồ xuống, dừng lại nơi đồng bằng. Ở đó, có nhiều môn đồ Ngài cùng đoàn dân rất đông từ khắp xứ Giu-đê, thành Giê-ru-sa-lem, và miền biển Ty-rơ, Si-đôn mà đến, để nghe Ngài dạy và cho được chữa lành bịnh mình.|耶 穌 和 他 們 下 了 山 、 站 在 一 塊 平 地 上 ． 同 站 的 有 許 多 門 徒 、 又 有 許 多 百 姓 、 從 猶 太 全 地 、 和 耶 路 撒 冷 、 並 推 羅 西 頓 的 海 邊 來 ． 都 要 聽 他 講 道 、 又 指 望 醫 治 他 們 的 病 ．
Những kẻ mắc tà ma khuấy hại cũng đều được lành.|還 有 被 污 鬼 纏 磨 的 、 也 得 了 醫 治 。
Cả đoàn dân đến kiếm cách rờ Ngài, vì từ Ngài có quyền phép ra, chữa lành hết mọi người.|眾 人 都 想 要 摸 他 ． 因 為 有 能 力 從 他 身 上 發 出 來 、 醫 好 了 他 們 。
Đức Chúa Jêsus bèn ngước mắt ngó môn đồ, mà phán rằng: Phước cho các ngươi nghèo khó, vì nước Đức Chúa Trời thuộc về các ngươi!|耶 穌 舉 目 看 著 門 徒 說 、 你 們 貧 窮 的 人 有 福 了 ． 因 為 　 神 的 國 是 你 們 的 。
Phước cho các ngươi hiện đương đói, vì sẽ được no đủ! Phước cho các ngươi hiện đương khóc lóc, vì sẽ được vui mừng!|你 們 飢 餓 的 人 有 福 了 ． 因 為 你 們 將 要 飽 足 。 你 們 哀 哭 的 人 有 福 了 ． 因 為 你 們 將 要 喜 笑 。
Phước cho các ngươi khi vì cớ Con người, thiên hạ sẽ ghét, đuổi, mắng nhiếc các ngươi, bỏ tên các ngươi như đồ ô uế!|人 為 人 子 恨 惡 你 們 、 拒 絕 你 們 、 辱 罵 你 們 、 棄 掉 你 們 的 名 、 以 為 是 惡 、 你 們 就 有 福 了 。
Ngày đó, hãy vui vẻ, nhảy nhót và mừng rỡ, vì phần thưởng các ngươi trên trời sẽ lớn lắm; bởi tổ phụ họ cũng đối đãi các đấng tiên tri dường ấy.|當 那 日 你 們 要 歡 喜 跳 躍 ． 因 為 你 們 在 天 上 的 賞 賜 是 大 的 ． 他 們 的 祖 宗 待 先 知 也 是 這 樣 。
Song, khốn cho các ngươi và người giàu có, vì đã được sự yên ủi của mình rồi!|但 你 們 富 足 的 人 有 禍 了 ． 因 為 你 們 受 過 你 們 的 安 慰 。
Khốn cho các ngươi là kẻ hiện đương no, vì sẽ đói! Khốn cho các ngươi là kẻ hiện đương cười, vì sẽ để tang và khóc lóc!|你 們 飽 足 的 人 有 禍 了 ． 因 為 你 們 將 要 飢 餓 。 你 們 喜 笑 的 人 有 禍 了 ． 因 為 你 們 將 要 哀 慟 哭 泣 。
Khốn cho các ngươi, khi mọi người sẽ khen các ngươi, vì tổ phụ họ cũng xử với các tiên tri giả như vậy!|人 都 說 你 們 好 的 時 候 、 你 們 就 有 禍 了 ． 因 為 他 們 的 祖 宗 待 假 先 知 也 是 這 樣 。
Nhưng ta phán cùng các ngươi, là người nghe ta: Hãy yêu kẻ thù mình, làm ơn cho kẻ ghét mình,|只 是 我 告 訴 你 們 這 聽 道 的 人 、 你 們 的 仇 敵 要 愛 他 、 恨 你 們 的 要 待 他 好 。
chúc phước cho kẻ rủa mình, và cầu nguyện cho kẻ sỉ nhục mình.|咒 詛 你 們 的 要 為 他 祝 福 、 凌 辱 你 們 的 要 為 他 禱 告 。
Ai vả ngươi má bên nầy, hãy đưa luôn má bên kia cho họ; còn nếu ai dựt áo ngoài của ngươi, thì cũng đừng ngăn họ lấy luôn áo trong.|有 人 打 你 這 邊 的 臉 、 連 那 邊 的 臉 也 由 他 打 ． 有 人 奪 你 的 外 衣 、 連 裡 衣 也 由 他 拿 去 。
Hễ ai xin, hãy cho, và nếu có ai đoạt lấy của các ngươi, thì đừng đòi lại.|凡 求 你 的 、 就 給 他 ． 有 人 奪 你 的 東 西 去 、 不 用 再 要 回 來 。
Các ngươi muốn người ta làm cho mình thể nào, hãy làm cho người ta thể ấy.|你 們 願 意 人 怎 樣 待 你 們 、 你 們 也 要 怎 樣 待 人 。
Nếu các ngươi yêu kẻ yêu mình, thì có ơn chi? Người có tội cũng yêu kẻ yêu mình.|你 們 若 單 愛 那 愛 你 們 的 人 、 有 甚 麼 可 酬 謝 的 呢 ． 就 是 罪 人 也 愛 那 愛 他 們 的 人 。
Nếu các ngươi làm ơn cho kẻ làm ơn mình, thì có ơn chi? Người có tội cũng làm như vậy.|你 們 若 善 待 那 善 待 你 們 的 人 、 有 甚 麼 可 酬 謝 的 呢 ． 就 是 罪 人 也 是 這 樣 行 。
Nếu các ngươi cho ai mượn mà mong họ trả, thì có ơn chi? Người có tội cũng cho người có tội mượn, để được thâu lại y số.|你 們 若 借 給 人 、 指 望 從 他 收 回 、 有 甚 麼 可 酬 謝 的 呢 ． 就 是 罪 人 也 借 給 罪 人 、 要 如 數 收 回 。
Song các ngươi hãy yêu kẻ thù mình; hãy làm ơn, hãy cho mượn, mà đừng ngã lòng. Vậy, phần thưởng của các ngươi sẽ lớn, và các ngươi sẽ làm con của Đấng Rất Cao, vì Ngài lấy nhơn từ đối đãi kẻ bạc và kẻ dữ.|你 們 倒 要 愛 仇 敵 、 也 要 善 待 他 們 、 並 要 借 給 人 不 指 望 償 還 ． 你 們 的 賞 賜 就 必 大 了 、 你 們 也 必 作 至 高 者 的 兒 子 ． 因 為 他 恩 待 那 忘 恩 的 和 作 惡 的 。
Hãy thương xót như Cha các ngươi hay thương xót.|你 們 要 慈 悲 、 像 你 們 的 父 慈 悲 一 樣 。
Đừng đoán xét ai, thì các ngươi khỏi bị đoán xét; đừng lên án ai, thì các ngươi khỏi bị lên án; hãy tha thứ, người sẽ tha thứ mình.|你 們 不 要 論 斷 人 、 就 不 被 論 斷 ． 你 們 不 要 定 人 的 罪 、 就 不 被 定 罪 ． 你 們 要 饒 恕 人 、 就 必 蒙 饒 恕 ． 〔 饒 恕 原 文 作 釋 放 〕
Hãy cho, người sẽ cho mình; họ sẽ lấy đấu lớn, nhận, lắc cho đầy tràn, mà nộp trong lòng các ngươi; vì các ngươi lường mực nào, thì họ cũng lường lại cho các ngươi mực ấy.|你 們 要 給 人 、 就 必 有 給 你 們 的 ． 並 且 用 十 足 的 升 斗 、 連 搖 帶 按 、 上 尖 下 流 的 、 倒 在 你 們 懷 裡 ． 因 為 你 們 用 甚 麼 量 器 量 給 人 、 也 必 用 甚 麼 量 器 量 給 你 們 。
Ngài cũng phán cùng họ một thí dụ rằng: Kẻ mù có thể dắt kẻ mù được chăng? Cả hai há chẳng cùng té xuống hố sao?|耶 穌 又 用 比 喻 對 他 們 說 、 瞎 子 豈 能 領 瞎 子 、 兩 個 人 不 是 都 要 掉 在 坑 裡 麼 。
Môn đồ không hơn thầy; nhưng hễ môn đồ được trọn vẹn thì sẽ bằng thầy mình.|學 生 不 能 高 過 先 生 ． 凡 學 成 了 的 不 過 和 先 生 一 樣 。
Sao ngươi nhìn thấy cái rác trong mắt anh em mình, mà không thấy cây đà trong mắt ngươi?|為 甚 麼 看 見 你 弟 兄 眼 中 有 刺 、 卻 不 想 自 己 眼 中 有 梁 木 呢 。
Sao ngươi nói được với anh em rằng: Anh ơi, để tôi lấy cái rác trong mắt anh ra, còn ngươi, thì không thấy cây đà trong mắt mình? Hỡi kẻ giả hình, hãy lấy cây đà ra khỏi mắt mình trước đã, rồi mới thấy rõ mà lấy cái rác ra khỏi mắt anh em.|你 不 見 自 己 眼 中 有 梁 木 ． 怎 能 對 你 弟 兄 說 、 容 我 去 掉 你 眼 中 的 刺 呢 ． 你 這 假 冒 為 善 的 人 、 先 去 掉 自 己 眼 中 的 梁 木 、 然 後 纔 能 看 得 清 楚 、 去 掉 你 弟 兄 眼 中 的 刺 。
Cây sanh trái xấu không phải là cây tốt, cây sanh trái tốt không phải là cây xấu;|因 為 沒 有 好 樹 結 壞 果 子 ． 也 沒 有 壞 樹 結 好 果 子 。
vì hễ xem trái thì biết cây. Người ta không hái được trái vả nơi bụi gai, hay là trái nho nơi chòm kinh cước.|凡 樹 木 看 果 子 、 就 可 以 認 出 他 來 。 人 不 是 從 荊 棘 上 摘 無 花 果 、 也 不 是 從 蒺 蔾 裡 摘 葡 萄 。
Người lành bởi lòng chứa điều thiện mà phát ra điều thiện, kẻ dữ bởi lòng chứa điều ác mà phát ra điều ác; vì do sự đầy dẫy trong lòng mà miệng nói ra.|善 人 從 他 心 裡 所 存 的 善 、 就 發 出 善 來 ． 惡 人 從 他 心 裡 所 存 的 惡 、 就 發 出 惡 來 ． 因 為 心 裡 所 充 滿 的 、 口 裡 就 說 出 來 。
Sao các ngươi gọi ta: Chúa, Chúa, mà không làm theo lời ta phán?|你 們 為 甚 麼 稱 呼 我 主 阿 、 主 阿 、 卻 不 遵 我 的 話 行 呢 。
Ta sẽ chỉ cho các ngươi biết kẻ nào đến cùng ta, nghe lời ta, và làm theo, thì giống ai.|凡 到 我 這 裡 來 、 聽 見 我 的 話 就 去 行 的 、 我 要 告 訴 你 們 他 像 甚 麼 人 、
Kẻ ấy giống như một người kia cất nhà, đào đất cho sâu, xây nền trên vầng đá: nước tràn lan, dòng nước chảy mạnh xô vào nhà đó, nhưng không xô động được, vì đã cất chắc chắn.|他 像 一 個 人 蓋 房 子 、 深 深 的 挖 地 、 把 根 基 安 在 磐 石 上 ． 到 發 大 水 的 時 候 、 水 沖 那 房 子 、 房 子 總 不 能 搖 動 ． 因 為 根 基 立 在 磐 石 上 。 〔 有 古 卷 作 因 為 蓋 造 得 好 〕
Song kẻ nào nghe lời ta mà không làm theo, thì giống như một người kia cất nhà trên đất không xây nền: dòng nước chảy mạnh xô vào nhà đó, tức thì nhà sụp xuống, và sự hư hại lớn lao.|惟 有 聽 見 不 去 行 的 、 就 像 一 個 人 在 土 地 上 蓋 房 子 、 沒 有 根 基 ． 水 一 沖 、 隨 即 倒 塌 了 、 並 且 那 房 子 壞 的 很 大 。

					Lu-ca 7				|
						路加福音 7					
Khi Đức Chúa Jêsus rao giảng xong mọi lời ấy trước mặt dân chúng nghe rồi, thì Ngài vào thành Ca-bê-na-um.|耶 穌 對 百 姓 講 完 了 這 一 切 的 話 、 就 進 了 迦 百 農 。
Vả, một thầy đội kia có đứa đầy tớ rất thiết nghĩa đau gần chết,|有 一 個 百 夫 長 所 寶 貴 的 僕 人 、 害 病 快 要 死 了 。
nghe nói Đức Chúa Jêsus, bèn sai mấy trưởng lão trong dân Giu-đa xin Ngài đến chữa cho đầy tớ mình.|百 夫 長 風 聞 耶 穌 的 事 、 就 託 猶 太 人 的 幾 個 長 老 、 去 求 耶 穌 來 救 他 的 僕 人 。
Mấy người đó đến cùng Đức Chúa Jêsus, mà nài xin rằng: Thầy đội thật đáng cho thầy nhậm điều nầy;|他 們 到 了 耶 穌 那 裡 、 就 切 切 的 求 他 說 、 你 給 他 行 這 事 、 是 他 所 配 得 的 ．
vì người yêu dân ta, và đã cất nhà hội cho chúng tôi.|因 為 他 愛 我 們 的 百 姓 、 給 我 們 建 造 會 堂 。
Đức Chúa Jêsus bèn đi với họ. Khi Ngài gần tới nhà, thầy đội sai bạn hữu mình đi thưa Ngài rằng: Lạy Chúa, xin đừng tự phiền đến thế, vì tôi không đáng rước Chúa vào nhà tôi.|耶 穌 就 和 他 們 同 去 。 離 那 家 不 遠 、 百 夫 長 託 幾 個 朋 友 去 見 耶 穌 、 對 他 說 、 主 阿 、 不 要 勞 動 ． 因 你 到 我 舍 下 、 我 不 敢 當 ．
Tôi cũng nghĩ mình không đáng đến cùng Chúa; song xin phán một lời, thì đầy tớ tôi sẽ được lành.|我 也 自 以 為 不 配 去 見 你 、 只 要 你 說 一 句 話 、 我 的 僕 人 就 必 好 了 。
Vì chính mình tôi là người thuộc dưới quyền kẻ khác, tôi cũng có quân lính dưới quyền tôi; tôi biểu tên nầy rằng: Hãy đi! thì nó đi; và biểu tên khác rằng: Hãy đến! thì nó đến; và biểu đầy tớ tôi rằng: Hãy làm việc nầy! thì nó làm.|因 為 我 在 人 的 權 下 、 也 有 兵 在 我 以 下 、 對 這 個 說 去 、 他 就 去 ． 對 那 個 說 來 、 他 就 來 ． 對 我 的 僕 人 說 、 你 作 這 事 、 他 就 去 作 。
Đức Chúa Jêsus nghe những lời ấy, lấy làm lạ cho thầy đội, bèn xây lại cùng đoàn dân theo mình, mà phán rằng: Ta nói cùng các ngươi, dầu trong dân Y-sơ-ra-ên, ta cũng chưa thấy một đức tin lớn dường ấy.|耶 穌 聽 見 這 話 、 就 希 奇 他 、 轉 身 對 跟 隨 的 眾 人 說 、 我 告 訴 你 們 、 這 麼 大 的 信 心 、 就 是 在 以 色 列 中 我 也 沒 有 遇 見 過 。
Những kẻ sai đến trở về nhà, thấy đầy tớ lành mạnh.|那 託 來 的 人 回 到 百 夫 長 家 裡 、 看 見 僕 人 已 經 好 了 。
Bữa sau, Đức Chúa Jêsus đi đến một thành, gọi là Na-in có nhiều môn đồ và một đoàn dân đông cùng đi với Ngài.|過 了 不 多 時 、 〔 有 古 卷 作 次 日 〕 耶 穌 往 一 座 城 去 、 這 城 名 叫 拿 因 、 他 的 門 徒 和 極 多 的 人 與 他 同 行 。
Khi Ngài đến gần cửa thành, họ vừa khiêng ra một người chết, là con trai một của mẹ góa kia; có nhiều người ở thành đó đi đưa với bà góa ấy.|將 近 城 門 、 有 一 個 死 人 被 抬 出 來 ． 這 人 是 他 母 親 獨 生 的 兒 子 、 他 母 親 又 是 寡 婦 ． 有 城 裡 的 許 多 人 同 著 寡 婦 送 殯 。
Chúa thấy, động lòng thương xót người, mà phán rằng: Đừng khóc!|主 看 見 那 寡 婦 就 憐 憫 他 、 對 他 說 、 不 要 哭 。
Đoạn, Ngài lại gần, rờ quan tài, thì kẻ khiêng dừng lại. Ngài bèn phán rằng: Hỡi người trẻ kia, ta biểu ngươi chờ dậy.|於 是 進 前 按 著 槓 、 抬 的 人 就 站 住 了 。 耶 穌 說 、 少 年 人 、 我 吩 咐 你 起 來 。
Người chết vùng ngồi dậy và khởi sự nói. Đức Chúa Jêsus giao người lại cho mẹ.|那 死 人 就 坐 起 、 並 且 說 話 ． 耶 穌 便 把 他 交 給 他 母 親 。
Ai nấy đều sợ hãi, và ngợi khen Đức Chúa Trời rằng: Có đấng tiên tri lớn đã dấy lên giữa chúng tôi, và Đức Chúa Trời đã thăm viếng dân Ngài.|眾 人 都 驚 奇 、 歸 榮 耀 與 　 神 說 、 有 大 先 知 在 我 們 中 間 興 起 來 了 ． 又 說 、 神 眷 顧 了 他 的 百 姓 。
Tin nầy đồn ra khắp xứ Giu-đê, và khắp xứ xung quanh nơi đó nữa.|他 這 事 的 風 聲 就 傳 遍 了 猶 太 、 和 周 圍 地 方 。
Môn đồ của Giăng trình lại hết cả chuyện đó với người.|約 翰 的 門 徒 把 這 些 事 都 告 訴 約 翰 。
Người bèn gọi hai môn đồ mình, sai đến thưa cùng Chúa rằng: Thầy có phải là Đấng phải đến, hay chúng tôi còn phải đợi Đấng khác?|他 便 叫 了 兩 個 門 徒 來 、 打 發 他 們 到 主 那 裡 去 、 說 、 那 將 要 來 的 是 你 麼 。 還 是 我 們 等 候 別 人 呢 。
Hai người đã đến cùng Đức Chúa Jêsus, thưa rằng: Giăng Báp-tít sai chúng tôi đến hỏi thầy: Thầy có phải là Đấng phải đến, hay chúng tôi còn phải đợi Đấng khác?|那 兩 個 人 來 到 耶 穌 那 裡 、 說 、 施 洗 的 約 翰 打 發 我 們 來 問 你 、 那 將 要 來 的 是 你 麼 ． 還 是 我 們 等 候 別 人 呢 。
Vả, chính giờ đó, Đức Chúa Jêsus chữa lành nhiều kẻ bịnh, kẻ tàn tật, kẻ mắc quỉ dữ, và làm cho nhiều người đui được sáng.|正 當 那 時 候 、 耶 穌 治 好 了 許 多 有 疾 病 的 、 受 災 患 的 、 被 惡 鬼 附 著 的 ． 又 開 恩 叫 好 些 瞎 子 能 看 見 。
Đoạn, Ngài đáp rằng: hãy về báo cho Giăng sự các ngươi đã thấy và đã nghe: kẻ đui được sáng, kẻ què được đi, kẻ phung được sạch, kẻ điếc được nghe, kẻ chết được sống lại, Tin Lành đã rao giảng cho kẻ nghèo.|耶 穌 回 答 說 、 你 們 去 把 所 看 見 所 聽 見 的 事 告 訴 約 翰 ． 就 是 瞎 子 看 見 、 瘸 子 行 走 、 長 大 痳 瘋 的 潔 淨 、 聾 子 聽 見 、 死 人 復 活 、 窮 人 有 福 音 傳 給 他 們 。
Phước cho kẻ không vấp phạm vì cớ ta!|凡 不 因 我 跌 倒 的 、 就 有 福 了 。
Hai người của Giăng sai đến đã đi rồi, Đức Chúa Jêsus mới phán cùng đoàn dân về việc Giăng rằng: Các ngươi đã đi xem chi nơi đồng vắng? Xem cây sậy bị gió rung chăng?|約 翰 所 差 來 的 人 既 走 了 、 耶 穌 就 對 眾 人 講 論 約 翰 說 、 你 們 從 前 出 去 到 曠 野 、 是 要 看 甚 麼 呢 ． 要 看 風 吹 動 的 蘆 葦 麼 。
Lại các ngươi còn đi xem gì? Xem người ăn mặc tốt đẹp chăng? Kìa, những người mặc áo sang trọng, và ăn ở sung sướng, thì ở trong đền đài các vua!|你 們 出 去 到 底 是 要 看 甚 麼 ． 要 看 穿 細 軟 衣 服 的 人 麼 。 那 穿 華 麗 衣 服 宴 樂 度 日 的 人 、 是 在 王 宮 裡 。
Song, rốt lại, các ngươi đi xem gì? Xem một đấng tiên tri ư? Phải, ta nói, một đấng trọng hơn tiên tri nữa.|你 們 出 去 究 竟 是 要 看 甚 麼 ． 要 看 先 知 麼 ． 我 告 訴 你 們 、 是 的 、 他 比 先 知 大 多 了 。
Ay về đấng đó mà có lời chép rằng: Nầy, ta sẽ sai sứ ta đến trước mặt ngươi, Người sẽ dọn đường trước ngươi.|經 上 記 著 說 、 『 我 要 差 遣 我 的 使 者 在 你 前 面 、 豫 備 道 路 。 』 所 說 的 就 是 這 個 人 。
Ta nói cùng các ngươi, trong những người bởi đờn bà sanh ra, không có ai lớn hơn Giăng Báp-tít đâu; nhưng trong nước Đức Chúa Trời, kẻ rất nhỏ còn lớn hơn Giăng vậy.|我 告 訴 你 們 、 凡 婦 人 所 生 的 、 沒 有 一 個 大 過 約 翰 的 ． 然 而 　 神 國 裡 最 小 的 比 他 還 大 。
Cả dân chúng cùng kẻ thâu thuế chịu Giăng làm phép báp-tem, đều xưng Đức Chúa Trời là công bình.|眾 百 姓 和 稅 吏 、 既 受 過 約 翰 的 洗 、 聽 見 這 話 、 就 以 　 神 為 義 。
Song người Pha-ri-si cùng các thầy dạy luật không chịu Giăng làm phép báp-tem, nên chê bỏ ý Đức Chúa Trời định về mình.|但 法 利 賽 人 和 律 法 師 、 沒 有 受 過 約 翰 的 洗 、 竟 為 自 己 廢 棄 了 　 神 的 旨 意 。 〔 二 十 九 三 十 兩 節 或 作 眾 百 姓 和 稅 吏 聽 見 了 約 翰 的 話 就 受 了 他 的 洗 便 以 　 神 為 義 但 法 利 賽 人 和 律 法 師 不 受 約 翰 的 洗 竟 為 自 己 廢 棄 了 　 神 的 旨 意 〕
Vậy, ta sẽ sánh người đời nầy với gì, họ giống như ai?|主 又 說 、 這 樣 、 我 可 用 甚 麼 比 這 世 代 的 人 呢 ． 他 們 好 像 甚 麼 呢 。
Họ giống như con trẻ ngồi ngoài chợ, nói cùng nhau rằng: Ta đã thổi sáo, mà bay không nhảy múa; ta đã than vãn, mà bay không khóc.|好 像 孩 童 坐 在 街 市 上 、 彼 此 呼 叫 說 、 我 們 向 你 們 吹 笛 、 你 們 不 跳 舞 、 我 們 向 你 們 舉 哀 、 你 們 不 啼 哭 。
Vả, Giăng Báp-tít đã đến, không ăn bánh, không uống rượu; thì các ngươi nói rằng: Người mắc quỉ dữ.|施 洗 的 約 翰 來 、 不 喫 餅 、 不 喝 酒 ． 你 們 說 他 是 被 鬼 附 著 的 。
Con người đến, ăn và uống, thì các ngươi nói rằng: Ay đó là người ham ăn mê uống, bạn với người thâu thuế và kẻ có tội.|人 子 來 、 也 喫 也 喝 ． 你 們 說 他 是 貪 食 好 酒 的 人 、 是 稅 吏 和 罪 人 的 朋 友 。
Song sự khôn ngoan được xưng công bình nhờ những việc làm của nó.|但 智 慧 之 子 、 都 以 智 慧 為 是 。
Có một người Pha-ri-si mời Đức Chúa Jêsus ăn tại nhà mình. Vậy, khi đã vào nhà người Pha-ri-si thì Ngài ngồi bàn.|有 一 個 法 利 賽 人 、 請 耶 穌 和 他 喫 飯 ． 耶 穌 就 到 法 利 賽 人 家 裡 去 坐 席 。
Vả, có một người đờn bà xấu nết ở thành đó, nghe nói Đức Chúa Jêsus đương ngồi bàn tại nhà người Pha-ri-si, bèn đem đến một bình ngọc trắng đựng đầy dầu thơm.|那 城 裡 有 一 個 女 人 、 是 個 罪 人 ． 知 道 耶 穌 在 法 利 賽 人 家 裡 坐 席 、 就 拿 著 盛 香 膏 的 玉 瓶 、
Người đứng đằng sau, nơi chơn Đức Chúa Jêsus, khóc, sa người mắt trên chơn Ngài, rồi lấy tóc mình mà chùi; lại hôn chơn Ngài, và xức dầu thơm cho.|站 在 耶 穌 背 後 、 挨 著 他 的 腳 哭 、 眼 淚 溼 了 耶 穌 的 腳 、 就 用 自 己 的 頭 髮 擦 乾 、 又 用 嘴 連 連 親 他 的 腳 、 把 香 膏 抹 上 。
Người Pha-ri-si đã mời Ngài, thấy vậy, tự nghĩ rằng: Nếu người nầy là đấng tiên tri, chắc biết người đờn bà rờ đến mình đó là ai, cùng biết ấy là người đờn bà xấu nết.|請 耶 穌 的 法 利 賽 人 看 見 這 事 、 心 裡 說 、 這 人 若 是 先 知 、 必 知 道 摸 他 的 是 誰 、 是 個 怎 樣 的 女 人 、 乃 是 個 罪 人 。
Đức Chúa Jêsus bèn cất tiếng phán cùng người rằng: Hỡi Si-môn, ta có vài lời nói cùng ngươi. Người thưa rằng: Thưa thầy, xin cứ nói.|耶 穌 對 他 說 、 西 門 ． 我 有 句 話 要 對 你 說 ． 西 門 說 、 夫 子 、 請 說 。
