
					Ða-ni-ên 1				|
Hỡi vua, chính vua đã ra lịnh, hễ người nào nghe tiếng còi, kèn, đờn cầm, đờn sắt, quyển, sáo và các thứ nhạc khí, thì phải sấp mình xuống để thờ lạy tượng vàng;|王 阿 、 你 曾 降 旨 說 、 凡 聽 見 角 、 笛 、 琵 琶 、 琴 、 瑟 、 笙 、 和 各 樣 樂 器 聲 音 的 、 都 當 俯 伏 敬 拜 金 像 。
và kẻ nào không sấp mình xuống để thờ lạy tượng đó, sẽ phải quăng vào giữa lò lửa hực.|凡 不 俯 伏 敬 拜 的 、 必 扔 在 烈 火 的 ? 中 ．
Vả, ở đây có mấy người Giu-đa kia mà vua đã lập lên cai trị tỉnh Ba-by-lôn, tức là Sa-đơ-rắc, Mê-sác và A-bết-Nê-gô; hỡi vua, những người ấy không kiêng nể vua một chút nào. Họ không thờ các thần của vua, và chẳng lạy tượng vàng vua đã dựng.|現 在 有 幾 個 猶 大 人 、 就 是 王 所 派 管 理 巴 比 倫 省 事 務 的 沙 得 拉 、 米 煞 、 亞 伯 尼 歌 、 王 阿 、 這 些 人 不 理 你 、 不 事 奉 你 的 神 、 也 不 敬 拜 你 所 立 的 金 像 。
Bấy giờ, vua Nê-bu-cát-nết-sa tức mình nổi giận, truyền điệu Sa-đơ-rắc, Mê-sác và A-bết-Nê-gô đến, thì những người đó bị điệu đến trước mặt vua.|當 時 尼 布 甲 尼 撒 沖 沖 大 怒 、 吩 咐 人 把 沙 得 拉 、 米 煞 、 亞 伯 尼 歌 帶 過 來 、 他 們 就 把 那 些 人 帶 到 王 面 前 。
Vua Nê-bu-cát-nết-sa cất tiếng nói cùng họ rằng: Hỡi Sa-đơ-rắc, Mê-sác, A-bết-Nê-gô, có phải các ngươi cố ý không thờ thần ta và không lạy tượng vàng mà ta đã dựng lên chăng?|尼 布 甲 尼 撒 問 他 們 說 、 沙 得 拉 、 米 煞 、 亞 伯 尼 歌 、 你 們 不 事 奉 我 的 神 、 也 不 敬 拜 我 所 立 的 金 像 、 是 故 意 的 麼 ．
Vậy bây giờ, khi các ngươi nghe tiếng còi, kèn, đờn cầm, đờn sắt, quyển, sáo và các thứ nhạc khí, mà các ngươi sẵn sàng sấp mình xuống đất để quì lạy pho tượng mà ta đã làm nên, thì được; nhưng nếu các ngươi không quì lạy, thì chính giờ đó các ngươi sẽ phải quăng vào giữa lò lửa hực. Rồi thần nào có thể giải cứu các ngươi khỏi tay ta?|你 們 再 聽 見 角 、 笛 、 琵 琶 、 琴 、 瑟 、 笙 、 和 各 樣 樂 器 的 聲 音 、 若 俯 伏 敬 拜 我 所 造 的 像 、 卻 還 可 以 、 若 不 敬 拜 、 必 立 時 扔 在 烈 火 的 ? 中 、 有 何 神 能 救 你 們 脫 離 我 手 呢 。
Sa-đơ-rắc, Mê-sác và A-bết-Nê-gô tâu lại cùng vua rằng: Hỡi Nê-bu-cát-nết-sa, về sự nầy, không cần chi chúng tôi tâu lại cho vua.|沙 得 拉 、 米 煞 、 亞 伯 尼 歌 、 對 王 說 、 尼 布 甲 尼 撒 阿 、 這 件 事 我 們 不 必 回 答 你 ．
Nầy, hỡi vua! Đức Chúa Trời mà chúng tôi hầu việc, có thể cứu chúng tôi thoát khỏi lò lửa hực, và chắc cứu chúng tôi khỏi tay vua.|即 便 如 此 、 我 們 所 事 奉 的 　 神 、 能 將 我 們 從 烈 火 的 ? 中 救 出 來 ． 王 阿 、 他 也 必 救 我 們 脫 離 你 的 手 ．
Dầu chẳng vậy, hỡi vua, xin biết rằng chúng tôi không hầu việc các thần của vua, và không thờ phượng pho tượng vàng mà vua đã dựng.|即 或 不 然 、 王 阿 、 你 當 知 道 我 們 決 不 事 奉 你 的 神 、 也 不 敬 拜 你 所 立 的 金 像 。
Bấy giờ, vua Nê-bu-cát-nết-sa cả giận, biến sắc mặt mình nghịch cùng Sa-đơ-rắc, Mê-sác và A-bết-Nê-gô; và cất tiếng truyền đốt lò lửa nóng gấp bảy lần hơn lúc bình thường đã đốt.|堂 時 尼 布 甲 尼 撒 怒 氣 填 胸 、 向 沙 得 拉 、 米 煞 、 亞 伯 尼 歌 、 變 了 臉 色 、 吩 咐 人 把 ? 燒 熱 、 比 尋 常 更 加 七 倍 ．
Vua sai mấy người mạnh bạo kia trong đạo binh mình trói Sa-đơ-rắc, Mê-sác và A-bết-Nê-gô, mà quăng vào lò lửa hực.|又 吩 咐 他 軍 中 的 幾 個 壯 士 、 將 沙 得 拉 、 米 煞 、 亞 伯 尼 歌 捆 起 來 、 扔 在 烈 火 的 ? 中 。
Tức thì các người ấy bị trói luôn với quần trong, áo dài, áo ngắn và các áo xống khác, rồi người ta quăng họ vào giữa lò lửa hực.|這 三 人 穿 著 褲 子 、 內 袍 、 外 衣 、 和 別 的 衣 服 、 被 捆 起 來 扔 在 烈 火 的 ? 中 。
Nhơn vì mạng vua truyền kíp lắm, mà lò lửa thì đốt nóng lạ thường, nên những người quăng Sa-đơ-rắc, Mê-sác và A-bết-Nê-gô bị ngọn lửa cháy chết.|因 為 王 命 緊 急 、 ? 又 甚 熱 、 那 抬 沙 得 拉 、 米 煞 、 亞 伯 尼 歌 的 人 、 都 被 火 燄 燒 死 。
Còn ba người, Sa-đơ-rắc, Mê-rác, A-bết-Nê-gô, vẫn bị trói mà rơi vào giữa lò lửa hực.|沙 得 拉 、 米 煞 、 亞 伯 尼 歌 、 這 三 個 人 、 都 被 捆 著 落 在 烈 火 的 ? 中 。
Bấy giờ, vua Nê-bu-cát-nết-sa lấy làm lạ, vội vàng đứng dậy, cất tiếng nói cùng các nghị viên rằng: Những kẻ bị ta trói mà quăng vào giữa lửa có phải là ba người không? Họ tâu cùng vua rằng: Tâu vua, phải.|那 時 尼 布 甲 尼 撒 王 驚 奇 、 急 忙 起 來 、 對 謀 士 說 、 我 捆 起 來 扔 在 火 裡 的 不 是 三 個 人 麼 ． 他 們 回 答 王 說 、 王 阿 、 是 ．
Vua lại nói, Nầy, ta thấy bốn người không có bị trói, bước đi giữa lửa mà chẳng bị thương; và hình dong của người thứ tư giống như một con trai của các thần.|王 說 、 看 哪 、 我 見 有 四 個 人 、 並 沒 有 捆 綁 、 在 火 中 遊 行 、 也 沒 有 受 傷 、 那 第 四 個 的 相 貌 、 好 像 神 子 。
Đoạn, vua Nê-bu-cát-nết-sa đến gần cửa lò lửa hực, cất tiếng nói rằng: Hỡi Sa-đơ-rắc, Mê-sác và A-bết-Nê-gô, là tôi tớ của Đức Chúa Trời Rất Cao, hãy ra và lại đây! Sa-đơ-rắc, Mê-sác và A-bết-Nê-gô bèn từ giữa đám lửa mà ra.|於 是 尼 布 甲 尼 撒 就 近 烈 火 ? 門 、 說 、 至 高 　 神 的 僕 人 沙 得 拉 、 米 煞 、 亞 伯 尼 歌 出 來 、 上 這 裡 來 罷 ． 沙 得 拉 、 米 煞 、 亞 伯 尼 歌 、 就 從 火 中 出 來 了 。
Các quan trấn thủ, lãnh binh, các người cai trị và các nghị viên của vua đều nhóm lại, thấy lửa không có quyền làm hại thân thể ba người ấy được, cũng chẳng có một sợi tóc nào trên đầu họ bị sém; áo xống họ chẳng bị si sứt chút nào, và mùi lửa cũng chẳng qua trên họ.|那 些 總 督 、 欽 差 、 巡 撫 、 和 王 的 謀 士 、 一 同 聚 集 看 這 三 個 人 、 見 火 無 力 傷 他 們 的 身 體 、 頭 髮 也 沒 有 燒 焦 、 衣 裳 也 沒 有 變 色 、 並 沒 有 火 燎 的 氣 味 。
Vua Nê-bu-cát-nết-sa lại cất tiếng nói rằng: Đáng ngợi khen Đức Chúa Trời của Sa-đơ-rắc, Mê-sác và A-bết-Nê-gô! Ngài đã sai thiên sứ Ngài và giải cứu các tôi tớ Ngài nhờ cậy Ngài, họ đã trái mạng vua, và liều bỏ thân thể mình, hầu để không hầu việc và không thờ phượng thần nào khác ngoài Đức Chúa Trời mình.|尼 布 甲 尼 撒 說 、 沙 得 拉 、 米 煞 、 亞 伯 尼 歌 的 　 神 、 是 應 當 稱 頌 的 、 他 差 遣 使 者 救 護 倚 靠 他 的 僕 人 、 他 們 不 遵 王 命 、 捨 去 己 身 、 在 他 們 　 神 以 外 不 肯 事 奉 敬 拜 別 神 ．
Cho nên ta ban chiếu chỉ nầy: Bất kỳ dân nào, nước nào, thứ tiếng nào, hễ có người nói xấu đến Đức Chúa Trời của Sa-đơ-rắc, Mê-sác và A-bết-Nê-gô, thì sẽ bị phân thây, nhà nó sẽ phải thành ra đống phân, vì không có thần nào khác có thể giải cứu được thể nầy.|現 在 我 降 旨 、 無 論 何 方 何 國 何 族 的 人 、 謗 讟 沙 得 拉 、 米 煞 、 亞 伯 尼 歌 之 　 神 的 、 必 被 凌 遲 、 他 的 房 屋 必 成 糞 堆 、 因 為 沒 有 別 神 能 這 樣 施 行 拯 救 。
Vua bèn thăng chức cho Sa-đơ-rắc, Mê-sác và A-bết-Nê-gô trong tỉnh Ba-by-lôn.|那 時 王 在 巴 比 倫 省 、 高 升 了 沙 得 拉 、 米 煞 、 亞 伯 尼 歌 。

					Ða-ni-ên 4				|
						但以理書 4					
Vua Nê-bu-cát-nết-sa truyền cho hết thảy các dân, các nước, các thứ tiếng, ở trên khắp đất, rằng: Nguyền cho sự bình an các ngươi được thêm lên!|尼 布 甲 尼 撒 王 、 曉 諭 住 在 全 地 各 方 各 國 各 族 的 人 說 、 願 你 們 大 享 平 安 ．
Ta lấy làm tốt lành mà rao cho các ngươi những dấu lạ và sự lạ mà Đức Chúa Trời Rất Cao đã làm ra đối với ta.|我 樂 意 將 至 高 的 　 神 向 我 所 行 的 神 蹟 奇 事 、 宣 揚 出 來 ．
Oi! Những dấu lạ của Ngài lớn lao là dường nào! những sự lạ của Ngài mạnh sức là dường nào! nước Ngài là nước còn mãi mãi, và quyền thế Ngài từ đời nọ đến đời kia.|他 的 神 蹟 何 其 大 、 他 的 奇 事 何 其 盛 、 他 的 國 是 永 遠 的 、 他 的 權 柄 存 到 萬 代 。
Ta, Nê-bu-cát-nết-sa, ở yên lặng trong cung ta, và thạnh vượng trong đền ta.|我 尼 布 甲 尼 撒 安 居 在 宮 中 、 平 順 在 殿 內 、
Ta thấy một điềm chiêm bao làm cho ta sợ sệt; những ý tưởng của ta ở trên giường, và những sự hiện thấy của đầu ta làm cho ta bối rối.|我 作 了 一 夢 、 使 我 懼 怕 ． 我 在 床 上 的 思 念 、 並 腦 中 的 異 象 、 使 我 驚 惶 ．
Vậy ta truyền chiếu chỉ, đem hết thảy những bác sĩ của Ba-by-lôn đến trước mặt ta, hầu cho họ giải nghĩa điềm chiêm bao cho ta.|所 以 我 降 旨 召 巴 比 倫 的 一 切 哲 士 到 我 面 前 、 叫 他 們 把 夢 的 講 解 告 訴 我 ．
Bấy giờ, những đồng bóng, thuật sĩ, người Canh-đê và thầy bói đều đến, ta kể điềm chiêm bao trước mặt họ.|於 是 那 些 術 士 、 用 法 術 的 、 迦 勒 底 人 、 觀 兆 的 、 都 進 來 、 我 將 那 夢 告 訴 了 他 們 、 他 們 卻 不 能 把 夢 的 講 解 告 訴 我 ．
Sau hết, có Đa-ni-ên, gọi là Bên-tơ-xát-sa theo tên thần của ta, người được linh của các thần thánh cảm động, thì đến ra mắt ta. Ta kể chiêm bao ta cho người mà rằng:|末 後 那 照 我 神 的 名 、 稱 為 伯 提 沙 撒 的 但 以 理 、 來 到 我 面 前 、 他 裡 頭 有 聖 神 的 靈 、 我 將 夢 告 訴 他 說 、
Hỡi Bên-tơ-xát-sa, người làm đầu các thuật sĩ, bởi ta biết rằng linh của các thần thánh ở trong người, và không có một điều kín nhiệm nào là khó cho ngươi, vậy hãy bảo cho ta những sự hiện thấy trong chiêm bao ta đã thấy, và hãy giải nghĩa.|術 士 的 領 袖 伯 提 沙 撒 阿 、 因 我 知 道 你 裡 頭 有 聖 神 的 靈 、 甚 麼 奧 秘 的 事 、 都 不 能 使 你 為 難 、 現 在 要 把 我 夢 中 所 見 的 異 象 、 和 夢 的 講 解 告 訴 我 ．
Nầy là những sự hiện thấy đã tỏ ra trong đầu ta khi ta nằm trên giường: Ta nhìn xem, và nầy, ở giữa đất có một cây cao lạ thường.|我 在 床 上 腦 中 的 異 象 是 這 樣 ． 我 看 見 地 當 中 有 一 棵 樹 、 極 其 高 大 、
Cây đó lớn lên và trở nên cứng mạnh; ngọn nó chấm đến trời, và ở nơi cuối cùng khắp đất đều xem thấy nó.|那 樹 漸 長 、 而 且 堅 固 、 高 得 頂 天 、 從 地 極 都 能 看 見 、
Lá nó thì đẹp và trái thì sai, có đủ cho mọi loài ăn; các thú đồng núp dưới bóng nó; chim trời ở trên nhành nó, và mọi loài xác thịt nhờ nó mà nuôi mình.|葉 子 華 美 、 果 子 甚 多 、 可 作 眾 生 的 食 物 、 田 野 的 走 獸 、 臥 在 蔭 下 、 天 空 的 飛 鳥 、 宿 在 枝 上 、 凡 有 血 氣 的 、 都 從 這 樹 得 食 ．
Ta nhìn xem những sự hiện thấy trong đầu ta, khi ta nằm trên giường, và nầy, có một đấng thánh canh giữ từ trên trời xuống,|我 在 床 上 腦 中 的 異 象 、 見 有 一 位 守 望 的 聖 者 、 從 天 而 降 、
Người kêu lớn tiếng và nói rằng: Hãy đốn cây và chặt nhành nó; hãy làm rụng lá và vãi trái nó ra; hãy cho thú vật tránh khỏi dưới nó, và chim chóc khỏi nhành nó!|大 聲 呼 叫 說 、 伐 倒 這 樹 、 砍 下 枝 子 、 搖 掉 葉 子 、 拋 散 果 子 、 使 走 獸 離 開 樹 下 、 飛 鳥 躲 開 樹 枝 、
Dầu vậy, hãy để lại gốc của rễ nó trong đất, mà cột nó bằng một dây xích sắt và đồng, nơi giữa cỏ xanh trong đồng ruộng; cho nó bị sương trên trời thấm ướt; và cho người cùng các loài thú chia phần cỏ dưới đất!|樹 ? 卻 要 留 在 地 內 、 用 鐵 圈 和 銅 圈 箍 住 、 在 田 野 的 青 草 中 、 讓 天 露 滴 濕 、 使 他 與 地 上 的 獸 一 同 喫 草 、
Cho lòng người bị đổi đi, và người được ban cho lòng thú; và trải qua bảy kỳ trên người.|使 他 的 心 改 變 、 不 如 人 心 、 給 他 一 個 獸 心 、 使 他 經 過 七 期 ． 〔 期 或 作 年 本 章 同 〕
An đó là bởi các đấng canh giữ đã định, và lời các thánh đã truyền, hầu cho những kẻ sống biết rằng Đấng Rất Cao cai trị trong nước của loài người; Ngài muốn ban cho ai tùy ý, và lập kẻ rất hèn hạ trong loài người lên đó.|這 是 守 望 者 的 所 發 的 命 、 聖 者 所 出 的 令 、 好 叫 世 人 知 道 、 至 高 者 在 人 的 國 中 掌 權 、 要 將 國 賜 與 誰 、 就 賜 與 誰 ． 或 立 極 卑 微 的 人 執 掌 國 權 ．
Ta đây và vua Nê-bu-cát-nết-sa, đã thấy điềm chiêm bao ấy. Vậy, hỡi Bên-tơ-xát-sa, ngươi hãy giải nghĩa cho ta được, vì hết thảy bác sĩ trong nước ta không có thể giải nghĩa cho ta được; nhưng ngươi giải được, vì linh của các thần thánh ở trong ngươi.|這 是 我 尼 布 甲 尼 撒 王 所 作 的 夢 、 伯 提 沙 撒 阿 、 你 要 說 明 這 夢 的 講 解 、 因 為 我 國 中 的 一 切 哲 士 、 都 不 能 將 夢 的 講 解 告 訴 我 、 惟 獨 你 能 、 因 你 裡 頭 有 聖 神 的 靈 。
Bấy giờ Đa-ni-ên, gọi tên là Bên-tơ-xát-sa, bị câm trong giây lâu, và những ý tưởng làm cho người bối rối. Vua lại cất tiếng nói rằng: Hỡi Bên-tơ-xát-sa, đừng cho điềm chiêm bao và sự giải nghĩa làm rối ngươi. Bên-tơ-xát-sa nói rằng: Thưa chúa, nguyền cho điềm chiêm bao đến cho những kẻ ghét chúa và sự giải nghĩa cho kẻ thù nghịch chúa!|於 是 稱 為 伯 提 沙 撒 的 但 以 理 、 驚 訝 片 時 、 心 意 驚 惶 。 王 說 、 伯 提 沙 撒 阿 、 不 要 因 夢 和 夢 的 講 解 驚 惶 。 伯 提 沙 撒 回 答 說 、 我 主 阿 、 願 這 夢 歸 與 恨 惡 你 的 人 、 講 解 歸 與 你 的 敵 人 。
Cây mà vua đã thấy, trở nên lớn và mạnh ngọn chấm đến trời, và khắp đất đều xem thấy,|你 所 見 的 樹 漸 長 、 而 且 堅 固 、 高 得 頂 天 、 從 地 極 都 能 看 見 、
lá thì đẹp và trái thì sai, có đủ cho mọi loài ăn, các thú đồng ở dưới bóng nó, các loài chim trời làm ổ trên nhành nó,|葉 子 華 美 、 果 子 甚 多 、 可 作 眾 生 的 食 物 、 田 野 的 走 獸 、 住 在 其 下 、 天 空 的 飛 鳥 、 宿 在 枝 上 ．
hỡi vua, ấy là chính mình vua, vua đã trở nên lớn và mạnh, sự cao cả của vua tăng thêm và thấu đến trời, quyền thế vua đến đầu cùng đất.|王 阿 、 這 漸 長 又 堅 固 的 樹 就 是 你 、 你 的 威 勢 漸 長 及 天 、 你 的 權 柄 管 到 地 極 ．
Song đến điều vua thấy một đấng thánh canh giữ từ trời mà xuống, và nói rằng: Hãy đốn cây và hủy phá đi; song, hãy để lại gốc của rễ nó trong đất, rồi hãy buộc nó bằng một dây xích sắt và đồng ở giữa đám cỏ xanh trong đồng ruộng, cho nó bị nhuần thấm bởi sương móc trên trời; và cho người có phần với các thú đồng, cho đến khi đã trải qua trên người bảy kỳ.|王 既 看 見 一 位 守 望 的 聖 者 從 天 而 降 、 說 、 將 這 樹 砍 伐 毀 壞 、 樹 ? 卻 要 留 在 地 內 、 用 鐵 圈 如 銅 圈 箍 住 、 在 田 野 的 青 草 中 、 讓 天 露 滴 濕 、 使 他 與 地 上 的 獸 一 同 喫 草 、 直 到 經 過 七 期 。
Hỡi vua, nầy là lời giải, và nầy là mạng định của Đấng Rất Cao, đã đến trên vua, chúa tôi:|王 阿 、 講 解 就 是 這 樣 ． 臨 到 我 主 我 王 的 事 、 是 出 於 至 高 者 的 命 ．
Người ta sẽ đuổi vua ra khỏi giữa loài người, và chỗ ở vua sẽ ở giữa những thú vật trong đồng. Vua sẽ bị buộc phải ăn cỏ như bò, và sẽ được thấm nhuần sương móc trên trời; bảy kỳ sẽ trải qua trên vua, cho đến khi vua nhận biết rằng Đấng Rất Cao cai trị trong nước loài người, và Ngài muốn ban cho ai tùy ý.|你 必 被 趕 出 離 開 世 人 、 與 野 地 的 獸 同 居 、 喫 草 如 牛 、 被 天 露 滴 濕 、 且 要 經 過 七 期 。 等 你 知 道 至 高 者 在 人 的 國 中 掌 權 、 要 將 國 賜 與 誰 、 就 賜 與 誰 ．
Còn như đã truyền rằng chừa lại gốc của rễ cây đó, tức là khi nào vua đã nhận biết các từng trời cầm quyền, thì nước vua chắc sẽ thuộc về vua.|守 望 者 既 吩 咐 存 留 樹 ? 、 等 你 知 道 諸 天 掌 權 、 以 後 你 的 國 必 定 歸 你 ．
Vậy nên, hỡi vua, xin hãy nghe lời tôi khuyên vua: hãy lấy sự công bình mà chuộc tội lỗi, hãy thương xót những kẻ nghèo khó để chuộc những điều gian ác mình. Như vậy sự bình an vua còn có thể lâu dài hơn nữa.|王 阿 、 求 你 悅 納 我 的 諫 言 、 以 施 行 公 義 斷 絕 罪 過 、 以 憐 憫 窮 人 除 掉 罪 孽 、 或 者 你 的 平 安 可 以 延 長 。
Hết thảy những sự đó đều đến cho vua Nê-bu-cát-nết-sa.|這 事 都 臨 到 尼 布 甲 尼 撒 王 。
Khi khỏi mười hai tháng, vua đi dạo trong hoàng cung Ba-by-lôn,|過 了 十 二 個 月 、 他 遊 行 在 巴 比 倫 王 宮 裡 、 〔 原 文 作 上 〕
thì cất tiếng mà nói rằng: Đây chẳng phải là Ba-by-lôn lớn mà ta đã dựng, bởi quyền cao cả ta, để làm đế đô ta, và làm sự vinh hiển oai nghi của ta sao?|他 說 、 這 大 巴 比 倫 不 是 我 用 大 能 大 力 建 為 京 都 、 要 顯 我 威 嚴 的 榮 耀 麼 。
Lời chưa ra khỏi miệng vua, thì có tiếng từ trên trời xuống rằng: Hỡi Nê-bu-cát-nết-sa, đã báo cho ngươi biết rằng: Ngôi nước đã lìa khỏi ngươi.|這 話 在 王 口 中 尚 未 說 完 、 有 聲 音 從 天 降 下 、 說 、 尼 布 甲 尼 撒 王 阿 、 有 話 對 你 說 、 你 的 國 位 離 開 你 了 ．
Ngươi sẽ bị đuổi khỏi giữa loài người, sẽ ở với thú đồng; sẽ bị buộc phải ăn cỏ như bò, rồi bảy kỳ sẽ trải qua trên ngươi, cho đến khi ngươi nhận biết rằng Đấng Rất Cao cai trị trong nước của loài người, và Ngài muốn ban cho ai tùy ý.|你 必 被 趕 出 離 開 世 人 、 與 野 地 的 獸 同 居 、 喫 草 如 牛 、 且 要 經 過 七 期 ． 等 你 知 道 至 高 者 在 人 的 國 中 掌 權 、 要 將 國 賜 與 誰 、 就 賜 與 誰 。
Trong chính giờ đó, lời nói ấy đã ứng nghiệm cho vua Nê-bu-cát-nết-sa, vua bị đuổi khỏi giữa loài người; ăn cỏ như bò; thân thể vua phải thấm nhuần sương móc trên trời, cho đến tóc vua cũng mọc như lông chim ưng, móng vua thì giống như móng loài chim chóc.|當 時 這 話 就 應 驗 在 尼 布 甲 尼 撒 的 身 上 、 他 被 趕 出 離 開 世 人 、 喫 草 如 牛 、 身 被 天 露 滴 濕 、 頭 髮 長 長 、 好 像 鷹 毛 、 指 甲 長 長 、 如 同 鳥 爪 。
Đến cuối cùng những ngày đó, ta đây, Nê-bu-cát-nết-sa, ngước mắt lên trời, trí khôn đã phục lại cho ta, và ta xưng tạ Đấng Rất Cao. Ta bèn ngợi khen và làm sáng danh Đấng sống đời đời, uy quyền Ngài là uy quyền còn mãi mãi, nước Ngài từ đời nọ đến đời kia.|日 子 滿 足 、 我 尼 布 甲 尼 撒 舉 目 望 天 、 我 的 聰 明 復 歸 於 我 、 我 便 稱 頌 至 高 者 、 讚 美 尊 敬 活 到 永 遠 的 　 神 、 他 的 權 柄 是 永 有 的 、 他 的 國 存 到 萬 代 。
Hết thảy dân cư trên đất thảy đều cầm như là không có; Ngài làm theo ý mình trong cơ binh trên trời, và ở giữa cư dân trên đất; chẳng ai có thể cản tay Ngài và hỏi rằng: Ngài làm chi vậy?|世 上 所 有 的 居 民 、 都 算 為 虛 無 、 在 天 上 的 萬 軍 、 和 世 上 的 居 民 中 、 他 都 憑 自 己 的 意 旨 行 事 ． 無 人 能 攔 住 他 手 、 或 問 他 說 、 你 作 甚 麼 呢 。
Trong lúc đó, trí khôn phục lại cho ta, ta lại được sự vinh hiển của ngôi nước ta, sự oai nghi chói sáng trở lại cho ta; những nghị viên và đại thần ta lại chầu ta. Ta lại được lập lên trên ngôi nước, và sự uy nghi quyền thế ta càng thêm.|那 時 我 的 聰 明 復 歸 於 我 、 為 我 國 的 榮 耀 威 嚴 和 光 耀 、 也 都 復 歸 於 我 、 並 且 我 的 謀 士 和 大 臣 、 也 來 朝 見 我 ． 我 又 得 堅 立 在 國 位 上 、 至 大 的 權 柄 加 增 於 我 。
Bây giờ, ta, Nê-bu-cát-nết-sa, ngợi khen, tôn vinh, và làm cả sáng Vua trên trời; mọi công việc Ngài đều chơn thật, các đường lối Ngài đều công bình; và kẻ nào bước đi kiêu ngạo, Ngài có thể hạ nó xuống.|現 在 我 尼 布 甲 尼 撒 讚 美 尊 崇 恭 敬 天 上 的 王 、 因 為 他 所 作 的 全 都 誠 實 、 他 所 行 的 也 都 公 平 ． 那 行 動 驕 傲 的 、 他 能 降 為 卑 。

					Ða-ni-ên 5				|
						但以理書 5					
Vua Bên-xát-sa dọn tiệc lớn đãi một ngàn đại thần mình, và vua uống rượu trước mặt họ.|伯 沙 撒 王 為 他 的 一 千 大 臣 、 設 擺 盛 筵 、 與 這 一 千 人 對 面 飲 酒 ．
Vua Bên-xát-sa đương nhấm rượu, truyền đem những khí mạnh bằng vàng và bạc mà vua Nê-bu-cát-nết-sa, cha mình, đã lấy trong đền thờ tại Giê-ru-sa-lem, hầu cho vua và các đại thần, cùng các hoàng hậu và cung phi vua dùng mà uống.|伯 沙 撒 歡 飲 之 間 、 吩 咐 人 將 他 父 〔 父 或 作 袓 下 同 〕 尼 布 甲 尼 撒 、 從 耶 路 撒 冷 殿 中 所 掠 的 金 銀 器 皿 拿 來 、 王 與 大 臣 皇 后 妃 嬪 、 好 用 這 器 皿 飲 酒 ．
Người ta bèn đem đến những khí mạnh bằng vàng đã lấy từ trong đền thờ của nhà Đức Chúa Trời, tại Giê-ru-sa-lem; và vua cùng các đại thần, các hoàng hậu và cung phi mình dùng mà uống.|於 是 他 們 把 耶 路 撒 冷 　 神 殿 庫 房 中 所 掠 的 金 器 皿 拿 來 、 王 和 大 臣 皇 后 妃 嬪 、 就 用 這 器 皿 飲 酒 。
Vậy họ uống rượu và ngợi khen các thần bằng vàng, bằng bạc, bằng đồng, bằng sắt, bằng gỗ và bằng đá.|他 們 飲 酒 、 讚 美 金 銀 銅 鐵 木 石 所 造 的 神 。
Chính giờ đó, co những ngón tay của bàn tay người hiện ra, viết trên vôi tường cung vua, đối ngay chỗ để chơn đèn; và vua trông thấy phần bàn tay đó đương viết.|當 時 忽 有 人 的 指 頭 顯 出 、 在 王 宮 與 燈 臺 相 對 的 粉 牆 上 寫 字 ． 王 看 見 寫 字 的 指 頭 、
Bấy giờ vua biến sắc mặt, các ý tưởng làm cho vua bối rối; các xương lưng rời khớp ra, và hai đầu gối chạm vào nhau.|就 變 了 臉 色 、 心 意 驚 惶 、 腰 骨 好 像 脫 節 、 雙 膝 彼 此 相 碰 、
Vua kêu lớn tiếng truyền vời các thuật sĩ, người Canh-đê, và thầy bói đến. Đoạn, vua cất tiếng và nói cùng những bác sĩ của Ba-by-lôn rằng: Ai đọc được chữ nầy và giải nghĩa ra cho ta, thì sẽ được mặc màu tía, được đeo vòng vàng vào cổ, và được dự bật thứ ba trong việc chánh trị nhà nước.|大 聲 吩 咐 將 用 法 術 的 、 和 迦 勒 底 人 、 並 觀 兆 的 領 進 來 、 對 巴 比 倫 的 哲 士 說 、 誰 能 讀 這 文 字 、 把 講 解 告 訴 我 、 他 必 身 穿 紫 袍 、 項 帶 金 鍊 、 在 我 國 中 位 列 第 三 ．
Bấy giờ hết thảy bác sĩ của vua đều vào; nhưng họ không đọc được chữ, cũng không thể cắt nghĩa cho vua được.|於 是 王 的 一 切 哲 士 都 進 來 、 卻 不 能 讀 那 文 字 、 也 不 能 把 講 解 告 訴 王 。
Vua Bên-xát-sa lấy làm bối rối lắm; sắc mặt người đổi đi; các quan đại thần đều bỡ ngỡ.|伯 沙 撒 王 就 甚 驚 惶 、 臉 色 改 變 、 他 的 大 臣 也 都 驚 奇 。
Bà thái hậu, vì cớ lời của vua và các quan đại thần đã nói, bèn vào trong phòng tiệc, cất tiếng nói rằng: Hỡi vua, chúc vua sống đời đời! Xin vua chớ để tư tưởng bối rối, chớ đổi sắc mặt đi!|太 后 〔 或 作 皇 后 下 同 〕 因 王 和 他 大 臣 所 說 的 話 、 就 進 入 宴 宮 、 說 、 願 王 萬 歲 。 你 心 意 不 要 驚 惶 、 臉 面 不 要 變 色 ．
