
					I Ti-mô-thê 1				|
Nhưng, hỡi con, là người của Đức Chúa Trời, hãy tránh những sự đó đi, mà tìm điều công bình, tôn kính, đức tin, yêu thương, nhịn nhục, mềm mại.|但 你 這 屬 　 神 的 人 、 要 逃 避 這 些 事 、 追 求 公 義 、 敬 虔 、 信 心 、 愛 心 、 忍 耐 、 溫 柔 。
Hãy vì đức tin mà đánh trận tốt lành, bắt lấy sự sống đời đời, là sự mà con đã được gọi đến, và vì đó mà con đã làm chứng tốt lành trước mặt nhiều người chứng kiến.|你 要 為 真 道 打 那 美 好 的 仗 、 持 定 永 生 ． 你 為 此 被 召 ． 也 在 許 多 見 證 人 面 前 、 已 經 作 了 那 美 好 的 見 證 。
Trước mặt Đức Chúa Trời là Đấng ban sự sống cho mọi vật, và trước mặt Đức Chúa Jêsus Christ là Đấng làm chứng tốt nơi Bôn-xơ Phi-lát, ta khuyên con|我 在 叫 萬 物 生 活 的 　 神 面 前 、 並 在 向 本 丟 彼 拉 多 作 過 那 美 好 見 證 的 基 督 耶 穌 面 前 囑 咐 你 、
phải giữ điều răn, ở cho không vết tích và không chỗ trách được, cho đến kỳ sự hiện ra của Đức Chúa Jêsus Christ chúng ta,|要 守 這 命 令 、 毫 不 玷 污 、 無 可 指 責 、 直 到 我 們 的 主 耶 穌 基 督 顯 現 ．
là sự mà Đấng Chủ tể hạnh phước và có một đến kỳ sẽ tỏ ra, là Vua của mọi vua, Chúa của mọi chúa,|到 了 日 期 、 那 可 稱 頌 獨 有 權 能 的 、 萬 王 之 王 、 萬 主 之 主 、
một mình Ngài có sự sáng không thể đến gần được, chẳng người nào từng thấy Ngài và cũng không thấy được, danh vọng, quyền năng thuộc về Ngài đời đời! A-men.|就 是 那 獨 一 不 死 、 住 在 人 不 能 靠 近 的 光 裡 、 是 人 未 曾 看 見 、 也 是 不 能 看 見 的 、 要 將 他 顯 明 出 來 。 但 願 尊 貴 和 永 遠 的 權 能 、 都 歸 給 他 。 阿 們 。
Hãy răn bảo kẻ giàu ở thế gian nầy đừng kiêu ngạo và đừng để lòng trông cậy nơi của cải không chắc chắn, nhưng hãy để lòng trông cậy nơi Đức Chúa Trời, là được mỗi ngày ban mọi vật dư dật cho chúng ta được hưởng.|你 要 囑 咐 那 些 今 世 富 足 的 人 、 不 要 自 高 、 也 不 要 倚 靠 無 定 的 錢 財 ． 只 要 倚 靠 那 厚 賜 百 物 給 我 們 享 受 的 　 神 。
Hãy răn bảo họ làm điều lành, làm nhiều việc phước đức, kíp ban phát và phân chia của mình có,|又 要 囑 咐 他 們 行 善 、 在 好 事 上 富 足 、 甘 心 施 捨 、 樂 意 供 給 人 、 〔 供 給 或 作 體 貼 〕
vậy thì dồn chứa về ngày sau một cái nền tốt và bền vững cho mình, để được cầm lấy sự sống thật.|為 自 己 積 成 美 好 的 根 基 、 豫 備 將 來 、 叫 他 們 持 定 那 真 正 的 生 命 。
Hỡi Ti-mô-thê, hãy giữ lấy sự giao phó đã nấy cho con, tránh những lời hư không phàm tục và những sự cãi lẽ bằng tri thức ngụy xưng là tri thức.|提 摩 太 阿 、 你 要 保 守 所 託 付 你 的 、 躲 避 世 俗 的 虛 談 、 和 那 敵 真 道 似 是 而 非 的 學 問 。
Ay vì muốn luyện tập tri thức đó, nên có người bội đạo. Nguyền xin ân điển ở cùng các anh em!|已 經 有 人 自 稱 有 這 學 問 、 就 偏 離 了 真 道 。 願 恩 惠 常 與 你 們 同 在 。
