
					I-sai-a 1				|
Nhưng ngươi phải xuống nơi âm phủ, sa vào nơi vực thẳm!|然 而 你 必 墜 落 陰 間 、 到 坑 中 極 深 之 處 。
Những kẻ thấy ngươi sẽ ngó chăm ngươi; và nhìn ngươi cách ý tứ, mà rằng: Có phải người nầy là kẻ đã làm rung rinh đất, day động các nước,|凡 看 見 你 的 、 都 要 定 睛 看 你 、 留 意 看 你 、 說 、 使 大 地 戰 抖 、 使 列 國 震 動 、
làm cho thế gian thành đồng vắng, lật đổ các thành, và chẳng hề buông tha kẻ bị tù về nhà mình đó chăng?|使 世 界 如 同 荒 野 、 使 城 邑 傾 覆 、 不 釋 放 被 擄 的 人 歸 家 、 是 這 個 人 麼 。
Hết thảy vua các nước đều ngủ nơi lăng tẩm mình cách vinh hiển.|列 國 的 君 王 俱 各 在 自 己 陰 宅 的 榮 耀 中 安 睡 。
Nhưng ngươi thì bị ném xa khỏi mồ mả, như nhánh cây thúi, như áo người bị giết, bị gươm đâm, bị xô xuống trong những đá nơi hố, khác nào thây chết bị giày đạp dưới chơn!|惟 獨 你 被 拋 棄 、 不 得 入 你 的 墳 墓 、 好 像 可 憎 的 枝 子 ． 以 被 殺 的 人 為 衣 、 就 是 被 刀 刺 透 、 墜 落 坑 中 石 頭 那 裡 的 ． 你 又 像 被 踐 踏 的 屍 首 一 樣 。
Ngươi sẽ không được hội hiệp cùng các vua trong lăng; vì ngươi đã diệt nước mình và giết dân mình! Dòng dõi kẻ hung ác sẽ không được xưng đến danh nó nữa.|你 不 得 與 君 王 同 葬 、 因 為 你 敗 壞 你 的 國 、 殺 戮 你 的 民 ． 惡 人 後 裔 的 名 、 必 永 不 題 說 。
Hãy sắm sẳn sự chém giết cho con cháu vì tội ác của tổ phụ; hầu cho họ không dấy lên nữa đặng được đất làm cơ nghiệp, lập thành ấp khắp thế gian!|先 人 既 有 罪 孽 、 就 要 豫 備 殺 戮 他 的 子 孫 、 免 得 他 們 興 起 來 、 得 了 遍 地 、 在 世 上 修 滿 城 邑 。
Đức Giê-hô-va vạn quân phán: Ta sẽ dấy lên nghịch cùng chúng nó. Ta sẽ làm tiêu diệt tên Ba-by-lôn và dân sót lại, ca đến con và cháu nữa, Đức Giê-hô-va phán vậy.|萬 軍 之 耶 和 華 說 、 我 必 興 起 攻 擊 他 們 、 將 巴 比 倫 的 名 號 、 和 所 餘 剩 的 人 、 連 子 帶 孫 一 並 剪 除 ． 這 是 耶 和 華 說 的 。
Ta sẽ làm cho đất nó thuộc về con nhiếm, biến ra ao nước; và ta sẽ dùng chuổi hủy diệt mà quét nó, Đức Giê-hô-va vạn quân phán vậy.|我 必 使 巴 比 倫 為 箭 豬 所 得 、 又 變 為 水 池 ． 我 要 用 滅 亡 的 掃 帚 掃 淨 他 ． 這 是 萬 軍 之 耶 和 華 說 的 。
Đức Giê-hô-va vạn quân đã thề rằng: Chắc thật, sự ta đã định sẽ xảy đến, điều ta đã toan sẽ đứng vững.|萬 軍 之 耶 和 華 起 誓 、 說 、 我 怎 樣 思 想 、 必 照 樣 成 就 ． 我 怎 樣 定 意 、 必 照 樣 成 立 ．
Ta sẽ đánh phá người A-si-ri trong đất ta; sẽ giày đạp nó trên núi ta. Ach nó sẽ cổi khỏi chúng nó; gánh nó sẽ cất khỏi vai chúng nó.|就 是 在 我 地 上 打 折 亞 述 人 、 在 我 山 上 將 他 踐 踏 ． 他 加 的 軛 、 必 離 開 以 色 列 人 ． 他 加 的 重 擔 、 必 離 開 他 們 的 肩 頭 。
Đó là ý chỉ đã định nghịch cùng cả đất; đó là tay đã giá trên hết thảy các nước.|這 是 向 全 地 所 定 的 旨 意 ． 這 是 向 萬 國 所 伸 出 的 手 。
Vì Đức Giê-hô-va vạn quân đã toan định, thì ai bãi đi được? Tay Ngài đã giang ra, thì ai day lại được?|萬 軍 之 耶 和 華 既 然 定 意 、 誰 能 廢 棄 呢 ． 他 的 手 已 經 伸 出 、 誰 能 轉 回 呢 。
Nhằm năm vua A-cha băng, gánh nặng nầy đã được rao ra:|亞 哈 斯 王 崩 的 那 年 、 就 有 以 下 的 默 示 。
Hỡi cả đất Phi-li-tin, chớ vui mừng bởi cớ roi đánh ngươi đã gãy; vì từ giống rắn sẽ sanh ra thuồng luồng, thuồng luồng sẽ sanh ra rắn lửa bay.|非 利 士 全 地 阿 、 不 要 因 擊 打 你 的 杖 折 斷 就 喜 樂 ． 因 為 從 蛇 的 根 、 必 生 出 毒 蛇 ． 他 所 生 的 、 是 火 焰 的 飛 龍 。
Bấy giờ con cả của kẻ nghèo sẽ tìm được đồ ăn, kẻ túng sẽ nằm yên ổn; nhưng ta sẽ khiến dòng dõi ngươi chết đói, và kẻ thuộc về ngươi cón sót lại sẽ bị giết.|貧 寒 人 的 長 子 、 必 有 所 食 、 窮 乏 人 必 安 然 躺 臥 ． 我 必 以 飢 荒 治 死 你 的 根 、 你 所 餘 剩 的 人 、 必 被 殺 戮 。
Hỡi cửa, hãy than khóc! Hỡi thành, hãy kêu la! Hỡi cả đất Phi-li-tin, hết thảy hãy đều tan chảy! Vì có luồng khói từ phương bắc đến, chẳng ai lìa khỏi hàng ngũ mình.|門 哪 、 應 當 哀 號 ． 城 阿 、 應 當 呼 喊 ． 非 利 士 全 地 阿 、 你 都 消 化 了 ． 因 為 有 煙 從 北 方 出 來 、 他 行 伍 中 並 無 亂 隊 的 。
Lấy chi trả lời cho sứ giả của nước nầy? Trả lời rằng: Đức Giê-hô-va đã lập Si-ôn, và kẻ sầu khổ trong dân Ngài sẽ được ẩn náu trong nó.|可 怎 樣 回 答 外 邦 的 使 者 呢 ． 〔 外 邦 或 指 非 利 士 〕 必 說 、 耶 和 華 建 立 了 錫 安 、 他 百 姓 中 的 困 苦 人 、 必 投 奔 在 其 中 。

					I-sai-a 15				|
						以賽亞書 15					
Gánh nặng về Mô-áp. Đương ban đêm, A-Mô-áp bị tàn phá và diệt mất; phải, trong ban đêm, Kiệt Mô-áp bị tàn phá và diệt mất!|論 摩 押 的 默 示 。 一 夜 之 間 、 摩 押 的 亞 珥 、 變 為 荒 廢 、 歸 於 無 有 ． 一 夜 之 間 、 摩 押 的 基 珥 、 變 為 荒 廢 、 歸 於 無 有 ．
Kìa, chúng lên nơi miếu các thần, đến Đi-hôn, trên các nơi cao mà khóc. Dân Mô-áp than vãn vì Nê-bô và Mê-đê-ba; mọi đầu đều sói, mọi râu đều cắt.|他 們 上 巴 益 、 又 往 底 本 、 到 高 處 去 哭 泣 ． 摩 押 人 因 尼 波 和 米 底 巴 哀 號 、 各 人 頭 上 光 禿 、 鬍 鬚 剃 淨 。
Thảy đều thắt bao gai trong các đường phố; thảy đều khóc lóc, sa nhiều nước mắt, trên nóc nhà và nơi sân chợ.|他 們 在 街 市 上 都 腰 束 麻 布 、 在 房 頂 上 和 寬 闊 處 、 俱 各 哀 號 、 眼 淚 汪 汪 。
Hết-bôn và Ê-lê -a-lê kêu la, tiếng nghe thấu đến Gia-hát. Vậy nên linh chiến của Mô-áp đều than khóc, trong tâm thần run rẩy.|希 實 本 和 以 利 亞 利 悲 哀 的 聲 音 、 達 到 雅 雜 ． 所 以 摩 押 帶 兵 器 的 高 聲 喊 嚷 ． 人 心 戰 兢 。
Lòng ta ngậm ngùi vì Mô-áp; kẻ sang nó trốn chạy đến Xoa, và đến Ê-lát-Sê-li-sia. Vì họ vừa trèo lên đèo Lu-hít vừa khóc; vì bại hoại mà kêu van trên con đường Hô-rô-na-im.|我 心 為 摩 押 悲 哀 ． 他 的 貴 冑 、 〔 或 作 逃 民 〕 逃 到 瑣 珥 、 到 伊 基 拉 、 施 利 施 亞 ． 他 們 上 魯 希 坡 隨 走 隨 哭 ． 在 何 羅 念 的 路 上 、 因 毀 滅 舉 起 哀 聲 。
Các dòng nước ở Nim-rim cạn tắt; cỏ khô, cỏ non chẳng có, không còn một vật xanh nào.|因 為 寧 林 的 水 成 為 乾 涸 ． 青 草 枯 乾 、 嫩 草 滅 沒 、 青 綠 之 物 、 一 無 所 有 。
Vậy nên, những của cải đã được, và những đồ báu đã chứa, họ đều mang sang khe liêu.|因 此 、 摩 押 人 所 得 的 財 物 、 和 所 積 蓄 的 、 都 要 運 過 柳 樹 河 。
Tiếng kêu khóc thảm thương nghe khắp chung quanh bờ cõi Mô-áp; tiếng van la thấu đến Ê-la-im, và đến Bê -e-Ê-lim.|哀 聲 遍 聞 摩 押 的 四 境 ． 哀 號 的 聲 音 、 達 到 以 基 蓮 ． 哀 號 的 聲 音 、 達 到 比 珥 以 琳 。
Sông ngòi ở Đi-môn đầy những máu; vì ta sẽ còn thêm tai vạ cho Đi-môn, sai sư tử đuổi kịp những người Nô-áp thoát nạn, và những kẻ còn sót lại trong xứ.|底 們 的 水 充 滿 了 血 ． 我 還 要 加 增 底 們 的 災 難 、 叫 獅 子 來 追 上 摩 押 逃 脫 的 民 、 和 那 地 上 所 餘 剩 的 人 。

					I-sai-a 16				|
						以賽亞書 16					
Hãy gởi chiên con phải dâng cho quan cai trị đất nầy, từ Sê-la sang đồng vắng, đến núi của con gái Si-ôn.|你 們 當 將 羊 羔 奉 給 那 地 掌 權 的 、 從 西 拉 往 曠 野 、 送 到 錫 安 城 的 山 。 〔 城 原 文 作 女 子 〕
Các con gái Mô-áp tại bến đò At-nôn sẽ giống như chim bay tán loạn, và như một lứa chim con bị quăng ra ngoài ổ.|摩 押 的 居 民 、 〔 居 民 原 文 作 女 子 〕 在 亞 嫩 渡 口 、 必 像 遊 飛 的 鳥 、 如 拆 窩 的 雛 。
Ngươi hãy lập mưu, hãy làm sự công bình, đang lúc giữa trưa hãy phủ bóng ngươi như ban đêm; hãy che giấu kẻ bị đuổi; chớ bươi móc kẻ trốn tránh!|求 你 獻 謀 略 、 行 公 平 、 使 你 的 影 子 在 午 間 如 黑 夜 、 隱 藏 被 趕 散 的 人 ． 不 可 顯 露 逃 民 。
Hãy cho phép những kẻ bị đuổi của ta trú ngụ nơi ngươi! Hãy làm nơi ẩn náu cho Mô-áp khỏi mặt kẻ tàn hại! Vì kẻ cướp giựt đã mất, sự tàn hại đã hết, kẻ giày đạy đã bị diệt khỏi đất nầy.|求 你 容 我 這 被 趕 散 的 人 和 你 同 居 ． 至 於 摩 押 、 求 你 作 他 的 隱 密 處 、 脫 離 滅 命 者 的 面 。 勒 索 人 的 歸 於 無 有 、 毀 滅 的 事 止 息 了 、 欺 壓 人 的 從 國 中 除 滅 了 。
Ay vậy, ngôi sẽ bởi sự nhơn từ mà bền lập; và trong trại Đa-vít sẽ có một Đấng lấy lẽ thật ngồi lên, sẽ đoán xét, sẽ tìm sự ngay thẳng, và vội vàng làm sự công bình.|必 有 寶 座 因 慈 愛 堅 立 ． 必 有 一 位 誠 誠 實 實 坐 在 其 上 、 在 大 衛 帳 幕 中 施 行 審 判 、 尋 求 公 平 、 速 行 公 義 。
Chúng ta có nghe sự kiêu ngạo của Mô-áp, nó kiêu ngạo lắm, cũng nghe nó xấc xược, kiêu căng, giận dữ; sự khoe khoang của nó là vô ích.|我 們 聽 說 摩 押 人 驕 傲 、 是 極 其 驕 傲 、 聽 說 他 狂 妄 、 驕 傲 、 忿 怒 、 他 誇 大 的 話 、 是 虛 空 的 。
Vậy nên Mô-áp sẽ than khóc vì Mô-áp, ai nấy đều than khóc; các ngươi hãy khóc, hãy thở than vì sự mất bánh trái nho của Kiệt-Ha-rê-sết!|因 此 、 摩 押 人 必 為 摩 押 哀 號 ． 人 人 都 要 哀 號 ． 你 們 摩 押 人 要 為 吉 珥 哈 列 設 的 葡 萄 餅 哀 歎 、 極 其 憂 傷 。
Vì ruộng nương của Hết-bôn và cây nho của Síp-ma đều mòn mỏi; ngày trước nó giàng ra tới Gia-ê-xe, lan ra tới đồng vắng, chồi tược đâm ra tới bên kia biển, mà bây giờ vua chúa các nước đã bẻ gãy nhánh tốt.|因 為 希 實 本 的 田 地 、 和 西 比 瑪 的 葡 萄 樹 、 都 衰 殘 了 ． 列 國 的 君 主 折 斷 其 上 美 好 的 枝 子 ． 這 枝 子 長 到 雅 謝 延 到 曠 野 ． 嫩 枝 向 外 探 出 、 直 探 過 鹽 海 。
Vậy nên ta vì cây nho của Síp-ma mà khóc lóc như Gia-ê-xe. Hỡi Hết-bôn, hỡi Ê-lê -a-lê, ta sẽ tưới nước mắt ta trên các ngươi; vì đương lúc trái mùa hạ và màu gặt thì có tiếng reo của giặc xảy đến.|因 此 、 我 要 為 西 比 瑪 的 葡 萄 樹 哀 哭 、 與 雅 謝 人 哀 哭 一 樣 ． 希 實 本 、 以 利 亞 利 阿 、 我 要 以 眼 淚 澆 灌 你 ． 因 為 有 交 戰 吶 喊 的 聲 音 、 臨 到 你 夏 天 的 果 子 、 並 你 收 割 的 莊 稼 。
Sự vui mừng hớn hở đã cất khỏi ruộng tốt; trong vườn nho chẳng còn hò hát, reo vui, kẻ đạp rượu chẳng còn đạp trong thùng; ta đã làm dứt tiếng reo vui.|從 肥 美 的 田 中 、 奪 去 了 歡 喜 快 樂 ． 在 葡 萄 園 裡 、 必 無 歌 唱 、 也 無 歡 呼 的 聲 音 ． 踹 酒 的 在 酒 醡 中 不 得 踹 出 酒 來 ． 我 使 他 歡 呼 的 聲 音 止 息 。
Cho nên lòng ta vì Mô-áp kêu vang như đờn cầm, ruột ta vì Kiệt-Hê-re cũng vậy.|因 此 、 我 心 腹 為 摩 押 哀 鳴 如 琴 ． 我 心 腸 為 吉 珥 哈 列 設 、 也 是 如 此 。
Vì dầu Mô-áp chịu mệt nhọc đặng đi đến nơi cao, dầu vào trong nơi thánh mình để cầu nguyện, cũng chẳng được nhậm!|摩 押 人 朝 見 的 時 候 、 在 高 處 疲 乏 、 又 到 他 聖 所 祈 禱 、 也 不 蒙 應 允 。
Ay là lời mà xua kia Đức Giê-hô-va đã phán về Mô-áp.|這 是 耶 和 華 從 前 論 摩 押 的 話 。
Bây giờ thì Đức Giê-hô-va phán như vầy: Trong ba năm, kể như năm kẻ ở mướn, sự vinh hiển của Mô-áp với cả đoàn dân đông của nó sẽ bị khinh hèn; và số còn sót lại sẽ ít lắm, không kể ra gì.|但 現 在 耶 和 華 說 、 三 年 之 內 、 照 雇 工 的 年 數 、 摩 押 的 榮 耀 、 與 他 的 群 眾 、 必 被 藐 視 、 餘 剩 的 人 、 甚 少 無 幾 。

					I-sai-a 17				|
						以賽亞書 17					
Gánh nặng về Đa-mách. Nầy, Đa-mách bị trừ ra, không kể làm thành nữa, và sẽ trở nên một đống đổ nát.|論 大 馬 色 的 默 示 。 看 哪 、 大 馬 色 已 被 廢 棄 、 不 再 為 城 、 必 變 作 亂 堆 。
Các thành A-rô -e bị bỏ hoang, sẽ làm chỗ cho bầy chiên nằm nghỉ, chẳng ai kinh động.|亞 羅 珥 的 城 邑 、 已 被 撇 棄 ． 必 成 為 牧 羊 之 處 、 羊 在 那 裡 躺 臥 、 無 人 驚 嚇 。
Đồn lũy của Ep-ra-im sẽ chẳng còn, ngôi nước của Đa-mách và dân sót của Sy-ri cũng vậy, khác nào sự vinh hiển của con cái Y-sơ-ra-ên, Đức Giê-hô-va vạn quân phán vậy.|以 法 蓮 不 再 有 保 障 、 大 馬 色 不 再 有 國 權 、 亞 蘭 所 剩 下 的 、 必 像 以 色 列 人 的 榮 耀 消 滅 一 樣 ． 這 是 萬 軍 之 耶 和 華 說 的 。
Xảy ra trong ngày đó, sự vinh hiển của Gia-cốp sẽ giảm đi, xác thịt mập mạp đổi ra gầy ốm.|到 那 日 雅 各 的 榮 耀 、 必 至 枵 薄 、 他 肥 胖 的 身 體 、 必 漸 瘦 弱 。
Sẽ xảy ra như con gặt túm các ngọn lúa, rồi dùng cánh tay cắt lấy bông; lại như những gié lúa mót được ở nơi trũng Rê-pha-im vậy.|就 必 像 收 割 的 人 、 收 斂 禾 稼 、 用 手 割 取 穗 子 ． 又 像 人 在 利 乏 音 谷 拾 取 遺 落 的 穗 子 。
Nhưng sẽ còn sót lại như là của mót, khác nào khi người ta rung cây ô-li-ve, còn hai ba trái trên chót nhánh rất cao, hoặc bốn năm trái trên những nhành xa của cây sai tríu. Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên phán vậy.|其 間 所 剩 下 的 不 多 、 好 像 人 打 橄 欖 樹 、 在 儘 上 的 枝 梢 上 、 只 剩 兩 三 個 果 子 、 在 多 果 樹 的 旁 枝 上 、 只 剩 四 五 個 果 子 ． 這 是 耶 和 華 以 色 列 的 　 神 說 的 。
Trong ngày đó, người ta sẽ ngó về Đấng tạo mình, và mắt trông thẳng đến Đấng Thánh của Y-sơ-ra-ên.|當 那 日 人 必 仰 望 造 他 們 的 主 、 眼 目 重 看 以 色 列 的 聖 者 。
Họ sẽ không còn xây mắt về các bàn thờ, là công việc của tay mình; và không còn ngó các đồ vật bởi ngón tay mình chế ra, hoặc các tượng At-tạt-tê, hoặc các trụ mặt trời.|他 們 必 不 仰 望 祭 壇 、 就 是 自 己 手 所 築 的 、 也 不 重 看 自 己 指 頭 所 作 的 、 無 論 是 木 偶 、 是 日 像 。
Trong ngày đó, các thành bền vững của nó sẽ giống như những nơi đổ nát, hoặc trong rừng, hoặc trên đỉnh núi, là những nơi đã bị bỏ hoang trước mặt con cái Y-sơ-ra-ên; xứ nầy sẽ bị bỏ hoang vậy.|在 那 日 他 們 的 堅 固 城 、 必 像 樹 林 中 和 山 頂 上 所 撇 棄 的 地 方 、 就 是 從 前 在 以 色 列 人 面 前 被 人 撇 棄 的 ． 這 樣 、 地 就 荒 涼 了 。
Vì ngươi đã quên Đức Chúa Trời của sự cứu ngươi, chẳng nhớ đến vầng đá sức mạnh ngươi. Vậy nên ngươi trồng cây tốt, lại trồng những gốc nho khác giống.|因 你 忘 記 救 你 的 　 神 、 不 記 念 你 能 力 的 磐 石 ． 所 以 你 栽 上 佳 美 的 樹 秧 子 、 插 上 異 樣 的 栽 子 。
Đang ngày ngươi trồng thì rào giậu, vừa lúc ban mai làm cho hột giống nở hoa; nhưng trong ngày buồn bực rầu rĩ thì mùa màng mất ráo!|栽 種 的 日 子 、 你 周 圍 圈 上 籬 笆 、 又 到 早 晨 使 你 所 種 的 開 花 ． 但 在 愁 苦 極 其 傷 痛 的 日 子 、 所 收 割 的 、 都 飛 去 了 。
Oi! các dân đông đảo làm xôn xao là dường nào, khác nào như biển gầm! Các dân tộc chạy xông tới như nhiều nước đổ mạnh!|唉 、 多 民 鬨 嚷 、 好 像 海 浪 匉 訇 ． 列 邦 奔 騰 、 好 像 猛 水 滔 滔 ．
Thật, các dân tộc chạy xông tới như nhiều nước đổ ầm ạc; nhưng Ngài sẽ quở trách họ, thì đều trốn xa, bị đùa đi như rơm rác trên núi khi gió thổi, như luồng bụi gặp cơn bão.|列 邦 奔 騰 、 好 像 多 水 滔 滔 ． 但 　 神 斥 責 他 們 、 他 們 就 遠 遠 逃 避 、 又 被 追 趕 、 如 同 山 上 的 風 前 糠 、 又 如 暴 風 前 的 旋 風 土 ．
Đương buổi chiều, nầy, có sự sợ hãi; kíp trước khi ban mai đã thành ra hư không. Ay là phần của kẻ đã bóc lột chúng ta, là số phận xảy đến cho kẻ cướp chúng ta vậy.|到 晚 上 有 驚 嚇 、 未 到 早 晨 、 他 們 就 沒 有 了 ． 這 是 擄 掠 我 們 之 人 所 得 的 分 、 是 搶 奪 我 們 之 人 的 報 應 。

					I-sai-a 18				|
						以賽亞書 18					
Oi! đất đập cánh ào ào kia, là đất ở bên kia các sông của Cút;|唉 、 古 實 河 外 翅 膀 刷 刷 響 聲 之 地 、
sai sứ vượt biển, cỡi thuyền bằng lau đi trên mặt nước! Hỡi các sứ giả nhặm lẹ kia, hãy đi đến nước người cao da mởn, đến dân đáng kính sợ từ khi lập nước trở đi, đến dân hay cân lường và giày đạp, là nước mà có những sông chia đất nó.|差 遣 使 者 在 水 面 上 、 坐 蒲 草 船 過 海 ． 先 知 說 、 你 們 快 行 的 使 者 、 要 到 高 大 光 滑 的 民 那 裡 去 ． 自 從 開 國 以 來 那 民 極 其 可 畏 、 是 分 地 界 踐 踏 人 的 、 他 們 的 地 有 江 河 分 開 。
Hỡi các ngươi hết thảy, là dân thiên hạ ở trên đất kia, vừa khi cờ dựng trên núi, hãy xem; vừa khi kèn thổi, hãy nghe!|世 上 一 切 的 居 民 、 和 地 上 所 住 的 人 哪 、 山 上 豎 立 大 旗 的 時 候 、 你 們 要 看 ． 吹 角 的 時 候 、 你 們 要 聽 。
Vả, Đức Giê-hô-va đã phán cùng ta như vầy: Ta sẽ ở yên lặng, và ở từ chỗ ta ngự mà xem, như ánh nắng sáng sủa, như mây ngút trong nắng mùa gặt.|耶 和 華 對 我 這 樣 說 、 我 要 安 靜 、 在 我 的 居 所 觀 看 、 如 同 日 光 中 的 清 熱 、 又 如 露 水 的 雲 霧 在 收 割 的 熱 天 。
Nhưng, trước ngày gặt, khi mùa hoa đã cuối, và hoa nho thành trái hầu chín, thì Ngài sẽ dùng liềm cắt những nhánh, tỉa bỏ những nhánh rậm lá.|收 割 之 先 、 花 開 已 謝 、 花 也 成 了 將 熟 的 葡 萄 、 他 必 用 鐮 刀 削 去 嫩 枝 、 又 砍 掉 蔓 延 的 枝 條 。
Chúng nó sẽ cùng nhau bị bỏ lại cho chim ăn thịt trong núi, và cho cả thú vật trên đất sẽ dùng mà qua mùa đông.|都 要 撇 給 山 間 的 鷙 鳥 、 和 地 上 的 野 獸 ． 夏 天 鷙 鳥 要 宿 在 其 上 、 冬 天 野 獸 都 臥 在 其 中 。
Trong lúc đó, dân người cao da mởn, tức là dân đáng kinh sợ từ khi lập nước trở đi, là dân hay cân lường và giày đạp, là nước mà có những sông chia đất nó, chính dân ấy sẽ đem lễ vật dâng cho Đức Giê-hô-va vạn quân, trong nơi danh Đức Giê-hô-va vạn quân ngự, là núi Si-ôn.|到 那 時 這 高 大 光 滑 的 民 、 就 是 從 開 國 以 來 極 其 可 畏 、 分 地 界 踐 踏 人 的 、 他 們 的 地 有 江 河 分 開 、 他 們 必 將 禮 物 奉 給 萬 軍 之 耶 和 華 、 就 是 奉 到 錫 安 山 、 耶 和 華 安 置 他 名 的 地 方 。

					I-sai-a 19				|
						以賽亞書 19					
Gánh nặng về Ê-díp-tô. Nầy, Đức Giê-hô-va cỡi đám mây mau kíp đến Ê-díp-tô; các thần tượng của Ê-díp-tô đều run rẩy trước mặt Ngài, lòng Ê-díp-tô sẽ tan chảy giữa nó.|論 埃 及 的 默 示 。 看 哪 、 耶 和 華 乘 駕 快 雲 、 臨 到 埃 及 ． 埃 及 的 偶 像 在 他 面 前 戰 兢 ． 埃 及 人 的 心 在 裡 面 消 化 。
Ta sẽ xui người Ê-díp-tô đánh người Ê-díp-tô: anh em nghịch cùng anh em, lân cận nghịch cùng lân cận, thành nghịch cùng thành, nước nghịch cùng nước.|我 必 激 動 埃 及 人 攻 擊 埃 及 人 、 弟 兄 攻 擊 弟 兄 、 鄰 舍 攻 擊 鄰 舍 、 這 城 攻 擊 那 城 、 這 國 攻 擊 那 國 。
Tâm thần Ê-díp-tô sẽ lụn bại giữa nó, ta sẽ phá tan mưu chước nó. Bấy giờ chúng nó sẽ cầu hỏi các thần tượng cùng thuật sĩ, kẻ kêu hồn cùng thầy bói.|埃 及 人 的 心 神 、 必 在 裡 面 耗 盡 ． 我 必 敗 壞 他 們 的 謀 略 ． 他 們 必 求 問 偶 像 、 和 念 咒 的 、 交 鬼 的 、 行 巫 術 的 。
Ta sẽ phó dân Ê-díp-tô trong tay chúa hung dữ, và một vua bạo ngược sẽ cai trị chúng nó; Chúa, là Đức Giê-hô-va vạn quân, phán vậy.|我 必 將 埃 及 人 交 在 殘 忍 主 的 手 中 ． 強 暴 王 必 轄 制 他 們 ． 這 是 主 萬 軍 之 耶 和 華 說 的 。
Nước biển sẽ tắt, sông cạn và khô.|海 中 的 水 必 絕 盡 、 河 也 消 沒 乾 涸 。
Các sông sẽ trở nên hôi thối; ngòi rạch rặc xuống và khan đi; sậy lau đều chết héo.|江 河 要 變 臭 ． 埃 及 的 河 水 、 都 必 減 少 枯 乾 ． 葦 子 和 蘆 荻 、 都 必 衰 殘 。
Các đồng cỏ ở bờ sông Ni-lơ cùng hết thảy đồng ruộng đã gieo của nó, đều héo khô, bị thổi đi, không còn nữa.|靠 尼 羅 河 旁 的 草 田 、 並 沿 尼 羅 河 所 種 的 田 、 都 必 枯 乾 、 莊 稼 被 風 吹 去 、 歸 於 無 有 。
Những người đánh cá sẽ than vãn, mọi kẻ buông câu nơi sông Ni-lơ đều rên siết, và kẻ thả lưới trên các dòng nước đều âu sầu.|打 魚 的 必 哀 哭 、 在 尼 羅 河 一 切 釣 魚 的 必 悲 傷 、 在 水 上 撒 網 的 、 必 都 衰 弱 。
Những kẻ làm vải gai mịn và những kẻ dệt vải trắng đều xấu hổ.|用 梳 好 的 麻 造 物 的 、 和 織 白 布 的 、 都 必 羞 愧 。
Các trụ của Ê-díp-tô đều bị gãy, hết thảy thợ thầy đều có lòng lo.|國 柱 必 被 打 碎 、 所 有 傭 工 的 、 心 必 愁 煩 。
Các quan trưởng ở Xô-an rất đần độn; mưu sĩ rất khôn ngoan của Pha-ra-ôn, chỉ bày ra những kế dại khờ. Sao các ngươi nói cùng Pha-ra-ôn rằng: Tôi là con các bậc hiền triết, con các vua đời xưa?|瑣 安 的 首 領 、 極 其 愚 昧 、 法 老 大 有 智 慧 的 謀 士 、 所 籌 劃 的 、 成 為 愚 謀 ． 你 們 怎 敢 對 法 老 說 、 我 是 智 慧 人 的 子 孫 、 我 是 古 王 的 後 裔 。
Vậy thì các bậc hiền triết ngươi ở đâu? Các bật ấy hãy cho ngươi biết đi; các bậc ấy nên biết Đức Giê-hô-va vạn quân đã định gì về Ê-díp-tô.|你 的 智 慧 人 在 那 裡 呢 ． 萬 軍 之 耶 和 華 向 埃 及 所 定 的 旨 意 、 他 們 可 以 知 道 、 可 以 告 訴 你 罷 。
Các quan trưởng ở Xô-an đã nên dại dột; các quan trưởng ở Nốp bị lừa dối; những người làm hòn đá góc của các chi phái Ê-díp-tô đã làm cho nó lầm lạc.|瑣 安 的 首 領 、 都 變 為 愚 昧 、 挪 弗 的 首 領 、 都 受 了 迷 惑 ． 當 埃 及 支 派 房 角 石 的 使 埃 及 人 走 錯 了 路 。
Đức Giê-hô-va đã xen sự trái ngược vào giữa nó, nên chúng nó làm cho Ê-díp-tô sai lầm trong mọi việc, như người say vừa mửa vừa đi xiêu tó.|耶 和 華 使 乖 謬 的 靈 、 攙 入 埃 及 中 間 ． 首 領 使 埃 及 一 切 所 作 的 都 有 差 錯 、 好 像 醉 酒 之 人 嘔 吐 的 時 候 、 東 倒 西 歪 一 樣 。
Chẳng có việc gì mà đầu và đuôi, cây kè và cây lau sẽ làm ra được cho Ê-díp-tô cả.|埃 及 中 、 無 論 是 頭 與 尾 、 棕 枝 與 蘆 葦 、 所 作 之 工 、 都 不 成 就 。
Trong ngày đó, người Ê-díp-tô sẽ giống như đờn bà; thấy tay Đức Giê-hô-va vạn quân vung lên trên mình, thì run rẩy sợ hãi.|到 那 日 、 埃 及 人 必 像 婦 人 一 樣 ． 他 們 必 因 萬 軍 之 耶 和 華 在 埃 及 以 上 所 掄 的 手 、 戰 兢 懼 怕 。
Bấy giờ đất Giu-đa sẽ nên sự kinh hoàng cho Ê-díp-tô; hễ khi người ta xưng tên ấy ra trước mặt ai thì nấy sợ khiếp, vì ý chỉ của Đức Giê-hô-va vạn quân đã định nghịch cùng nó.|猶 大 地 必 使 埃 及 驚 恐 ． 向 誰 提 起 猶 大 地 、 誰 就 懼 怕 ． 這 是 因 萬 軍 之 耶 和 華 向 埃 及 所 定 的 旨 意 。
