
					A-mốt 1				|
Ví như một người tránh khỏi sư tử, lại gặp con gấu; hay là như kẻ vào trong nhà, dựa tay trên vách, bị rắn cắn nhằm.|景 況 好 像 人 躲 避 獅 子 又 遇 見 熊 、 或 是 進 房 屋 以 手 靠 牆 、 就 被 蛇 咬 。
Ngày của Đức Giê-hô-va há chẳng phải tối tăm, không sáng láng, và mù mịt, không chói lói hay sao?|耶 和 華 的 日 子 、 不 是 黑 暗 沒 有 光 明 麼 ． 不 是 幽 暗 毫 無 光 輝 麼 。
Ta ghét; ta khinh dể những kỳ lễ của các ngươi; ta không đẹp lòng về những hội trọng thể của các ngươi đâu.|我 厭 惡 你 們 的 節 期 、 也 不 喜 悅 你 們 的 嚴 肅 會 。
Dầu các ngươi dâng những của lễ thiêu và của lễ chay cho ta, ta sẽ không nhận lấy; ta chẳng đoái xem những con thú mập về của lễ thù ân các ngươi.|你 們 雖 然 向 我 獻 燔 祭 、 和 素 祭 、 我 卻 不 悅 納 ． 也 不 顧 你 們 用 肥 畜 獻 的 平 安 祭 。
Hãy làm cho tiếng của các bái hát các ngươi xa khỏi ta! Ta không khứng nghe tiếng đờn cầm của các ngươi.|要 使 你 們 歌 唱 的 聲 音 遠 離 我 ． 因 為 我 不 聽 你 們 彈 琴 的 響 聲 。
Thà hãy làm cho sự chánh trực chảy xuống như nước, và sự công bình như sông lớn cuồn cuộn.|惟 願 公 平 如 大 水 滾 滾 、 使 公 義 如 江 河 滔 滔 。
Hỡi nhà Y-sơ-ra-ên, các ngươi há chẳng từng dâng hi sinh và của lễ chay cho ta trong bốn mươi năm nơi đồng vắng sao?|以 色 列 家 阿 、 你 們 在 曠 野 四 十 年 、 豈 是 將 祭 物 和 供 物 獻 給 我 呢 。
Trái lại, các ngươi đã khiêng nhà tạm của vua mình, khám của thần tượng mình, và ngôi sao của thần các ngươi mà các ngươi đã làm cho mình.|你 們 抬 著 為 自 己 所 造 之 摩 洛 的 帳 幕 和 偶 像 的 龕 、 並 你 們 的 神 星 。
Vậy nên, ta sẽ làm cho các ngươi bị đày qua làm phu tù bên kia Đa-mách, Đức Giê-hô-va phán vậy, danh Ngài là Đức Chúa Trời vạn quân.|所 以 我 要 把 你 們 擄 到 大 馬 色 以 外 ． 這 是 耶 和 華 名 為 萬 軍 之 　 神 說 的 。

					A-mốt 6				|
						阿摩司書 6					
Khốn thay cho những kẻ ăn ở nể trong Si-ôn, và cho những kẻ tưởng mình an ổn trên núi Sa-ma-ri! Khốn thay cho những kẻ sang trọng của các nước làm đầu, là những kẻ mà nhà Y-sơ-ra-ên về cùng!|國 為 列 國 之 首 、 人 最 著 名 、 且 為 以 色 列 家 所 歸 向 、 在 錫 安 和 撒 瑪 利 亞 山 安 逸 無 慮 的 、 有 禍 了 。
Vậy hãy qua Ca-ne, và hãy xem; hãy đi từ đó đến thành Ha-mát lớn, đoạn xuống thành Gát của người Phi-li-tin. những thành ấy hát tốt hơn những nước nầy sao? Bờ cõi chúng nó há lớn hơn bờ cõi các ngươi sao?|你 們 要 過 到 甲 尼 察 看 、 從 那 裡 往 大 城 哈 馬 去 、 又 下 到 非 利 士 人 的 迦 特 、 看 那 些 國 比 你 們 的 國 還 強 麼 ． 境 界 比 你 們 的 境 界 還 寬 麼 。
Các ngươi làm cho ngày hoạn nạn xa ra, và làm cho ngôi bạo ngược gần lại!|你 們 以 為 降 禍 的 日 子 還 遠 、 坐 在 位 上 盡 行 強 暴 〔 或 作 行 強 暴 使 審 判 臨 近 〕 。
Các ngươi nằm ngủ trên giường ngà và duỗi dài trên ghế dài mình; ăn những chiên con chọn ra trong bầy và những bò con mập trong chuồng.|你 們 躺 臥 在 象 牙 床 上 、 舒 身 在 榻 上 、 喫 群 中 的 羊 羔 、 棚 裡 的 牛 犢 ．
Thật, các ngươi hát bài bậy bạ họa theo đờn cầm, bày vẽ ra những đồ nhạc khí cho mình như vua Đa-vít.|彈 琴 鼓 瑟 唱 消 閑 的 歌 曲 、 為 自 己 製 造 樂 器 、 如 同 大 衛 所 造 的 ．
Các ngươi uống rượu trong những chén lớn, dùng dầu rất quí xức cho thơm mình, mà không lo đến tai nạn của Giô-sép!|以 大 碗 喝 酒 、 用 上 等 的 油 抹 身 ． 卻 不 為 約 瑟 的 苦 難 擔 憂 。
Vậy nên chúng nó sẽ bị bắt làm phu tù đầu nhứt trong những kẻ bị bắt, và bấy giờ sẽ dứt tiếng reo vui của những kẻ buông tuồng ấy!|所 以 這 些 人 必 在 被 擄 的 人 中 首 先 被 擄 ． 舒 身 的 人 荒 宴 之 樂 必 消 滅 了 。
Đức Giê-hô-va là Đức Chúa Trời vạn quân phán rằng: Chúa Giê-hô-va đã chỉ mình mà thề rằng: Ta gớm ghiếc sự kiêu ngạo của Gia-cốp, và ghét cung đền nó; vậy nên ta sẽ phó thành nầy cùng những vật chứa ở trong.|主 耶 和 華 萬 軍 之 　 神 指 著 自 己 起 誓 說 、 我 憎 惡 雅 各 的 榮 華 、 厭 棄 他 的 宮 殿 ． 因 此 、 我 必 將 城 、 和 其 中 所 有 的 、 都 交 付 敵 人 。
Nếu trong một nhà còn lại mười người, thì chúng nó cũng sẽ chết hết.|那 時 、 若 在 一 房 之 內 剩 下 十 個 人 、 也 都 必 死 。
Một người bà con gần là kẻ phải đốt xác chết, sẽ cất người lên để đem xương ra khỏi nhà; người ấy sẽ hỏi kẻ ở nhà trong rằng: Còn có ai ở với ngươi không? Kẻ ấy đáp rằng: Không có ai hết! Bấy giờ người bà con nói rằng: Hãy im đi! chớ nói đến danh Đức Giê-hô-va!|死 人 的 伯 叔 、 就 是 燒 他 屍 首 的 、 要 將 這 屍 首 搬 到 房 外 、 問 房 屋 內 間 的 人 說 、 你 那 裡 還 有 人 沒 有 。 他 必 說 、 沒 有 ． 又 說 、 不 要 作 聲 、 因 為 我 們 不 可 題 耶 和 華 的 名 。
Vì, Đức Giê-hô-va truyền lịnh, nầy, nhà lớn sẽ bị ngã xuống mà đổ nát, nhà nhỏ sẽ bị tan ra từng mảnh.|看 哪 、 耶 和 華 出 令 、 大 房 就 被 攻 破 、 小 屋 就 被 打 裂 。
Người ta há cho ngựa chạy trên vầng đá sao! Người ta há đem bò cày tại đó? Nhưng các ngươi đã đổi sự chánh trực làm cay đắng, và đổi trái công bình ra ngải cứu.|馬 豈 能 在 崖 石 上 奔 跑 ． 人 豈 能 在 那 裡 用 牛 耕 種 呢 。 你 們 卻 使 公 平 變 為 苦 膽 、 使 公 義 的 果 子 變 為 茵 蔯 。
Các ngươi ưa thích sự hư không, và nói rằng: Há chẳng phải nhờ sức mạnh cẩu thả mà chúng ta đã được sừng sao?|你 們 喜 愛 虛 浮 的 事 、 自 誇 說 、 我 們 不 是 憑 自 己 的 力 量 取 了 角 麼 。
Giê-hô-va Đức Chúa Trời vạn quân phán: Nầy, hỡi nhà Y-sơ-ra-ên, ta sẽ dấy lên một nước nghịch cùng các ngươi, nó sẽ hà hiếp các ngươi, từ lối vào Ha-mát cho đến khe A-ra-ba.|耶 和 華 萬 軍 之 　 神 說 、 以 色 列 家 阿 、 我 必 興 起 一 國 攻 擊 你 們 ． 他 們 必 欺 壓 你 們 、 從 哈 馬 口 直 到 亞 拉 巴 的 河 。

					A-mốt 7				|
						阿摩司書 7					
Nầy là điều mà Chúa Giê-hô-va khiến ta xem thấy: Nầy, Ngài làm nên những cào cào trong lúc cỏ bắt đầu mọc lại; ấy là cỏ mọc lại sau các kỳ cắt cỏ của vua.|主 耶 和 華 指 示 我 一 件 事 ． 為 王 割 菜 之 後 〔 菜 或 作 草 〕 菜 又 發 生 、 剛 發 生 的 時 候 、 主 造 蝗 蟲 。
Khi cào cào đã cắn nuốt cỏ trong đất rồi, ta nói rằng: Hỡi Chúa Giê-hô-va, tôi cầu xin Ngài hãy tha thứ! Gia-cốp há có thể đứng được sao? vì nó là nhỏ.|蝗 蟲 喫 盡 那 地 的 青 物 、 我 就 說 主 耶 和 華 阿 、 求 你 赦 免 ． 因 為 雅 各 微 弱 、 他 怎 能 站 立 得 住 呢 。
Đức Giê-hô-va bèn ăn năn về việc nầy. Đức Giê-hô-va phán rằng: Điều đó sẽ không xảy ra đâu.|耶 和 華 就 後 悔 、 說 、 這 災 可 以 免 了 。
Chúa Giê-hô-va cho ta xem thấy như sau nầy: Nầy, Chúa Giê-hô-va khiến lấy lửa mà chống trả. Lửa ấy thiêu nuốt vực lớn, đoạn hầu ăn nuốt đất.|主 耶 和 華 又 指 示 我 一 件 事 ． 他 命 火 來 懲 罰 以 色 列 、 火 就 吞 滅 深 淵 、 險 些 將 地 燒 滅 。
Bấy giờ ta nói rằng: Hỡi Chúa Giê-hô-va, tôi cầu xin Ngài hãy thôi đi! Gia-cốp há có thể đứng được sao? vì nó là nhỏ.|我 就 說 、 主 耶 和 華 阿 、 求 你 止 息 ． 因 為 雅 各 微 弱 、 他 怎 能 站 立 得 住 呢 。
Đức Giê-hô-va bèn ăn năn việc nầy. Chúa Giê-hô-va phán rằng: Điều đó cũng sẽ không xảy đến.|耶 和 華 就 後 悔 說 、 這 災 也 可 免 了 。
Ngài bèn cho ta xem thấy như sau nầy: Nầy, Chúa đứng trên một bức tường thẳng nảy mực, và tay Ngài cầm một dây chuẩn mực.|他 又 指 示 我 一 件 事 ． 有 一 道 牆 是 按 準 繩 建 築 的 、 主 手 拿 準 繩 站 在 其 上 。
Đức Giê-hô-va phán cùng ta rằng: A-mốt, ngươi thấy gì? Ta thưa rằng: Một dây chuẩn mực. Chúa bèn phán: Nầy, ta sẽ đặt dây chuẩn mực giữa dân Y-sơ-ra-ên ta; ta sẽ không còn đi qua nó nữa.|耶 和 華 對 我 說 、 阿 摩 司 阿 、 你 看 見 甚 麼 ． 我 說 、 看 見 準 繩 。 主 說 、 我 要 弔 起 準 繩 在 我 民 以 色 列 中 ． 我 必 不 再 寬 恕 他 們 ．
Các nơi cao của Y-sác sẽ bị hoang vu, các nơi thánh của Y-sơ-ra-ên sẽ bị hủy phá, và ta sẽ dấy lên dùng gươm đánh nhà Giê-rô-bô-am.|以 撒 的 邱 壇 必 然 淒 涼 、 以 色 列 的 聖 所 必 然 荒 廢 ． 我 必 興 起 、 用 刀 攻 擊 耶 羅 波 安 的 家 。
Bấy giờ, A-ma-xia, thầy tế lễ của Bê-tên, khiến nói cùng Giê-rô-bô-am là vua Y-sơ-ra-ên rằng: A-mốt tập lập nghịch cùng vua, ở giữa nhà Y-sơ-ra-ên; đất chẳng chịu nổi mọi lời của nó.|伯 特 利 的 祭 司 亞 瑪 謝 打 發 人 到 以 色 列 王 耶 羅 波 安 那 裡 、 說 、 阿 摩 司 在 以 色 列 家 中 、 圖 謀 背 叛 你 ． 他 所 說 的 一 切 話 、 這 國 擔 當 不 起 。
Thật vậy, nầy, A-mốt nói rằng: Giê-rô-bô-am sẽ chết bởi gươm, và Y-sơ-ra-ên chắc sẽ bị đày đi làm phu tù khỏi đất mình!|因 為 阿 摩 司 如 此 說 、 耶 羅 波 安 必 被 刀 殺 、 以 色 列 民 定 被 擄 去 離 開 本 地 。
A-ma-xia nói cùng A-mốt rằng: Hỡi kẻ tiên kiến, khá đi khỏi đây. Hãy trốn trong đất Giu-đa, tại đó ăn bánh và nói tiên tri.|亞 瑪 謝 又 對 阿 摩 司 說 、 你 這 先 見 哪 、 要 逃 往 猶 大 地 去 、 在 那 裡 餬 口 、 在 那 裡 說 豫 言 ．
Nhưng chớ cứ nói tiên tri tại Bê-tên nữa; vì ấy là một nơi thánh của vua, và ấy là nhà vua.|卻 不 要 在 伯 特 利 再 說 豫 言 ． 因 為 這 裡 有 王 的 聖 所 、 有 王 的 宮 殿 。
A-mốt trả lời cho A-ma-xia rằng: Ta không phải là đấng tiên tri, cũng không phải con đấng tiên tri; nhưng ta là một kẻ chăn, sửa soạn những cây vả rừng.|阿 摩 司 對 亞 瑪 謝 說 、 我 原 不 是 先 知 、 也 不 是 先 知 的 門 徒 〔 原 文 作 兒 子 〕 我 是 牧 人 、 又 是 修 理 桑 樹 的 ．
Đức Giê-hô-va đã bắt lấy ta từ sau bầy, và Đức Giê-hô-va phán cùng ta rằng: Hãy đi nói tiên tri cho dân Y-sơ-ra-ên ta.|耶 和 華 選 召 我 、 使 我 不 跟 從 羊 群 、 對 我 說 、 你 去 向 我 民 以 色 列 說 豫 言 。
Vả, hãy nghe lời của Đức Giê-hô-va: Ngươi nói rằng: Chớ nói tiên tri nghịch cùng Y-sơ-ra-ên, và đừng nhỏ lời xuống nghịch cùng nhà Y-sác.|亞 瑪 謝 阿 、 現 在 你 要 聽 耶 和 華 的 話 ． 你 說 、 不 要 向 以 色 列 說 豫 言 、 也 不 要 向 以 撒 家 滴 下 豫 言 。
Cho nên Đức Giê-hô-va phán như vầy: Vợ ngươi sẽ buông dâm trong thành; con trai và con gái ngươi sẽ ngã bởi gươm; đất ngươi sẽ bị chia bởi dây, còn ngươi, ngươi sẽ chết trong một đất ô uế, và Y-sơ-ra-ên chắc sẽ bị đày đi làm phu tù khỏi đất mình.|所 以 耶 和 華 如 此 說 、 你 的 妻 子 必 在 城 中 作 妓 女 、 你 的 兒 女 必 倒 在 刀 下 、 你 的 地 必 有 人 用 繩 子 量 了 分 取 ． 你 自 己 必 死 在 污 穢 之 地 、 以 色 列 民 定 被 擄 去 離 開 本 地 。

					A-mốt 8				|
						阿摩司書 8					
Nầy là điều mà Chúa Giê-hô-va cho ta xem thấy: Nầy, có một giỏ trái mùa hạ.|主 耶 和 華 又 指 示 我 一 件 事 ． 我 看 見 一 筐 夏 天 的 果 子 。
Bấy giờ Ngài phán rằng: A-mốt, ngươi thấy gì? Ta thưa rằng: Một giỏ trái mùa hạ. Đức Giê-hô-va lại phán cùng ta rằng: Sự cuối cùng đã đến trên dân Y-sơ-ra-ên ta; ta sẽ không vượt qua nó nữa.|他 說 、 阿 摩 司 阿 、 你 看 見 甚 麼 ． 我 說 、 看 見 一 筐 夏 天 的 果 子 ． 耶 和 華 說 、 我 民 以 色 列 的 結 局 到 了 ． 我 必 不 再 寬 恕 他 們 。
Trong ngày đó, những bài hát trong cung đền sẽ là tiếng khóc than, Chúa Giê-hô-va phán vậy. Sẽ có nhiều xác chết mà người ta làm thinh quăng ra mọi nơi.|主 耶 和 華 說 、 那 日 殿 中 的 詩 歌 變 為 哀 號 ． 必 有 許 多 屍 首 在 各 處 拋 棄 、 無 人 作 聲 。
Các ngươi là người nuốt những kẻ nghèo nàn, làm hao mòn những kẻ khốn cùng trong đất, hãy nghe điều nầy.|你 們 這 些 要 吞 喫 窮 乏 人 、 使 困 苦 人 衰 敗 的 、 當 聽 我 的 話 ．
Các ngươi nói rằng: Khi nào trăng mới sẽ qua, cho chúng ta có thể bán lúa miến, và ngày sa-bát qua, đặng chúng ta mở kho lúa mì, mà bớt ê-pha, thêm nặng siếc-lơ, và dùng cân dối giả đặng phỉnh gạt;|你 們 說 、 月 朔 幾 時 過 去 、 我 們 好 賣 糧 ． 安 息 日 幾 時 過 去 、 我 們 好 擺 開 麥 子 、 賣 出 用 小 升 斗 、 收 銀 用 大 戥 子 、 用 詭 詐 的 天 平 欺 哄 人 ．
đặng chúng ta lấy bạc mua kẻ khốn nạn, lấy một đôi dép mua kẻ nghèo nàn, và bán cho đến lép lừng của lúa mì?|好 用 銀 子 買 貧 寒 人 、 用 一 雙 鞋 換 窮 乏 人 、 將 壞 了 的 麥 子 賣 給 人 。
Đức Giê-hô-va lấy sự vinh hiển của Gia-cốp mà phán lời thề nầy: Ta chắc sẽ chẳng hề quên những việc làm của chúng nó!|耶 和 華 指 著 雅 各 的 榮 耀 起 誓 、 說 、 他 們 的 一 切 行 為 、 我 必 永 遠 不 忘 。
Đất há chẳng rúng động về việc đó, hết thảy dân cư nó há chẳng than khóc sao? Trọn cả đất sẽ dậy lên như Sông cái, nó sẽ lung lay và lún xuống như Sông của Ê-díp-tô vậy.|地 豈 不 因 這 事 震 動 、 其 上 的 居 民 不 也 悲 哀 麼 。 地 必 全 然 像 尼 羅 河 漲 起 、 如 同 埃 及 河 湧 上 落 下 。
Chúa Giê-hô-va phán: Sẽ xảy ra trong ngày đó, ta sẽ khiến mặt trời lặn đi trong lúc giữa trưa, và khiến đất tối tăm trong giữa ban ngày.|主 耶 和 華 說 、 到 那 日 、 我 必 使 日 頭 在 午 間 落 下 、 使 地 在 白 晝 黑 暗 。
Ta sẽ đổi ngày lễ các ngươi ra sầu thảm, và hết thảy bài ca tụng các ngươi ra ca thương. Ta sẽ thắt bao gai trên mọi lưng, và làm cho mọi đầu đều sói. Ta sẽ đặt đất nầy trong sự sầu thảm, như là mất con trai một, và sự cuối cùng nó sẽ như ngày đắng cay.|我 必 使 你 們 的 節 期 變 為 悲 哀 、 歌 曲 變 為 哀 歌 ． 眾 人 腰 束 麻 布 、 頭 上 光 禿 ． 使 這 場 悲 哀 如 喪 獨 生 子 、 至 終 如 痛 苦 的 日 子 一 樣 。
Chúa Giê-hô-va phán: Nầy, những ngày sẽ đến, là khi ta khiến sự đói kém đến trong đất, chẳng phải là đói về bánh, cũng chẳng phải khát về nước, bèn là về nghe lời của Đức Giê-hô-va.|主 耶 和 華 說 、 日 子 將 到 、 我 必 命 飢 荒 降 在 地 上 ． 人 飢 餓 非 因 無 餅 、 乾 渴 非 因 無 水 、 乃 因 不 聽 耶 和 華 的 話 。
Bấy giờ chúng nó sẽ đi dông dài từ biển nầy đến biển khác, từ phương bắc đến phương đông; chạy đi đây đi đó đặng tìm lời Đức Giê-hô-va mà không tìm được.|他 們 必 飄 流 、 從 這 海 到 那 海 、 從 北 邊 到 東 邊 、 往 來 奔 跑 尋 求 耶 和 華 的 話 、 卻 尋 不 著 。
Trong ngày đó, những gái đồng trinh đẹp đẽ và những trai trẻ sẽ mòn mỏi vì khát.|當 那 日 、 美 貌 的 處 女 、 和 少 年 的 男 子 必 因 乾 渴 發 昏 。
Hết thảy những kẻ chỉ tội lỗi của Sa-ma-ri mà thề rằng: Hỡi Đan, thật như thần ngươi sống! hết thảy những kẻ ấy sẽ ngã xuống, và không dậy được nữa.|那 指 著 撒 瑪 利 亞 牛 犢 〔 原 文 作 罪 〕 起 誓 的 說 、 但 哪 、 我 們 指 著 你 那 裡 的 活 神 起 誓 ． 又 說 、 我 們 指 著 別 是 巴 的 神 道 〔 神 原 文 作 活 〕 起 誓 ． 這 些 人 都 必 仆 倒 、 永 不 再 起 來 。

					A-mốt 9				|
						阿摩司書 9					
Ta thấy Chúa đứng gần bàn thờ và phán rằng: Hãy đánh các đầu cột, hầu cho những ngạch cửa bị rúng động; hãy đập bể ra trên đầu hết thảy chúng nó! Kẻ nào sót lại trong chúng nó thì ta sẽ giết bằng gươm, không một người nào trốn được, không một người nào lánh khỏi.|我 看 見 主 站 在 祭 壇 旁 邊 ． 他 說 、 你 要 擊 打 柱 頂 、 使 門 檻 震 動 、 打 碎 柱 頂 落 在 眾 人 頭 上 ． 所 剩 下 的 人 我 必 用 刀 殺 戮 ． 無 一 人 能 逃 避 、 無 一 人 能 逃 脫 。
Dầu chúng nó đào đến âm phủ, tay ta cũng sẽ móc chúng nó ra; dầu chúng nó trèo lên trên trời, ta cũng sẽ làm cho chúng nó từ đó xuống.|他 們 雖 然 挖 透 陰 間 、 我 的 手 必 取 出 他 們 來 ． 雖 然 爬 上 天 去 、 我 必 拿 下 他 們 來 。
Dầu chúng nó ẩn mình nơi chót núi Cạt-mên, ta cũng sẽ đi tìm đặng kéo chúng nó ra; dầu chúng nó lánh khuất mắt ta nơi đáy biển, ta cũng sẽ rắn cắn chúng nó tại đó.|雖 然 藏 在 迦 密 山 頂 、 我 必 搜 尋 捉 出 他 們 來 ． 雖 然 從 我 眼 前 藏 在 海 底 、 我 必 命 蛇 咬 他 們 。
Ví bằng chúng nó đi làm phu tù trước mặt kẻ thù nghịch mình, ở đó ta cũng sẽ sai gươm giết chúng nó đi. Thật, ta để mắt trên chúng nó đặng làm họa cho, chẳng phải để làm phước cho.|雖 被 仇 敵 擄 去 、 我 必 命 刀 劍 殺 戮 他 們 ． 我 必 向 他 們 定 住 眼 目 ． 降 禍 不 降 福 。
Vì Chúa, Đức Giê-hô-va vạn quân, là Đấng rờ đến đất thì đất liền tan chảy, hết thảy dân cư nó khóc than; trọn cả đất dậy lên như Sông cái và lún xuống như Sông của Ê-díp-tô.|主 萬 軍 之 耶 和 華 摸 地 、 地 就 消 化 、 凡 住 在 地 上 的 都 必 悲 哀 ． 地 必 全 然 像 尼 羅 河 漲 起 、 如 同 埃 及 河 落 下 。
Chúa đã xây dựng cung đền Ngài trong các từng trời, đã lập vòng khung Ngài trên đất. Ngài kêu gọi nước biển và đổ ra trên mặt đất. Danh Ngài là Đức Giê-hô-va.|那 在 天 上 建 造 樓 閣 、 在 地 上 安 定 穹 蒼 、 命 海 水 澆 在 地 上 的 、 耶 和 華 是 他 的 名 。
Đức Giê-hô-va có phán: Hỡi con cái Y-sơ-ra-ên, ta há chẳng coi các ngươi như con cái của Ê-thi-ô-bi sao? Ta há chẳng từng đem Y-sơ-ra-ên ra khỏi đất Ê-díp-tô, người Phi-li-tin khỏi Cáp-tô, và người Sy-ri khỏi Ki-rơ, hay sao?|耶 和 華 說 、 以 色 列 人 哪 、 我 豈 不 看 你 們 如 古 實 人 麼 。 我 豈 不 是 領 以 色 列 人 出 埃 及 地 、 領 非 利 士 人 出 迦 斐 託 、 領 亞 蘭 人 出 吉 珥 麼 。
Nầy, con mắt Chúa Giê-hô-va để trên nước có tội nầy, và ta sẽ hủy phá nó khỏi mặt đất; nhưng ta sẽ không diệt sạch nhà Gia-cốp, Đức Giê-hô-va phán vậy.|主 耶 和 華 的 眼 目 察 看 這 有 罪 的 國 ． 必 將 這 國 從 地 上 滅 絕 、 卻 不 將 雅 各 家 滅 絕 淨 盡 ． 這 是 耶 和 華 說 的 。
Vì nầy, ta sẽ truyền lịnh, và sẽ rải tan nhà Y-sơ-ra-ên ra giữa mọi dân, như lúa mì bị rải tan trong cái sàng, mà không có một hột nào rơi xuống đất.|我 必 出 令 、 將 以 色 列 家 分 散 在 列 國 中 、 好 像 用 篩 子 篩 穀 、 連 一 粒 也 不 落 在 地 上 。
Phải, phàm những kẻ có tội trong dân ta, phàm những kẻ nói rằng: Hoạn nạn sẽ không gần chúng ta, cũng không kịp đến chúng ta, thì chúng nó sẽ chết bởi gươm.|我 民 中 的 一 切 罪 人 說 、 災 禍 必 追 不 上 我 們 、 也 迎 不 著 我 們 。 他 們 必 死 在 刀 下 。
Trong ngày đó, ta sẽ dựng lại nhà tạm của Đa-vít, là nhà đã đổ, và tu bổ lại những chỗ rách nát của nó. Ta sẽ dựng lại những nơi đổ nát và xây nó lại như ngày xưa;|到 那 日 、 我 必 建 立 大 衛 倒 塌 的 帳 幕 、 堵 住 其 中 的 破 口 、 把 那 破 壞 的 建 立 起 來 、 重 新 修 造 、 像 古 時 一 樣 ．
đến nỗi chúng nó sẽ thâu được những dân sót của Ê-đôm và hết thảy các nước được xưng bởi danh ta, Đức Giê-hô-va là Đấng làm trọn mọi điều ấy phán vậy.|使 以 色 列 人 得 以 東 所 餘 剩 的 和 所 有 稱 為 我 名 下 的 國 ． 此 乃 行 這 事 的 耶 和 華 說 的 。
Đức Giê-hô-va phán: Nầy, những ngày đến, kẻ cày sẽ theo kịp kẻ gặt, kẻ đạp nho theo kịp kẻ gieo giống. Các núi sẽ nhỏ rượu ngọt ra và mọi đồi sẽ tan chảy.|耶 和 華 說 、 日 子 將 到 、 耕 種 的 必 接 續 收 割 的 、 踹 葡 萄 的 必 接 續 撒 種 的 ． 大 山 要 滴 下 甜 酒 ． 小 山 都 必 流 奶 〔 原 文 作 消 化 見 約 珥 三 章 十 八 節 〕
Ta sẽ đem phu tù của dân Y-sơ-ra-ên ta trở về; chúng nó sẽ lập lại các thành bị phá, và ở đó. Chúng nó sẽ trồng vườn nho và uống rượu nó, sẽ cày cấy vườn mình và ăn trái nó.|我 必 使 我 民 以 色 列 被 擄 的 歸 回 、 他 們 必 重 修 荒 廢 的 城 邑 居 住 、 栽 種 葡 萄 園 、 喝 其 中 所 出 的 酒 ． 修 造 果 木 園 、 喫 其 中 的 果 子 。
Ta sẽ lại trồng chúng nó trên đất chúng nó, và chúng nó sẽ không hề bị nhổ khỏi đất mình mà ta đã ban cho, Đức Giê-hô-va là Đức Chúa Trời ngươi phán vậy.|我 要 將 他 們 栽 於 本 地 、 他 們 不 再 從 我 所 賜 給 他 們 的 地 上 拔 出 來 ． 這 是 耶 和 華 你 的 　 神 說 的 。
