
					Ê-phê-sô 1				|
Chớ nói lời tục tỉu, chớ giễu cợt, chớ giả ngộ tầm phào, là những điều không đáng, những thà cảm tạ ơn Chúa thì hơn.|淫 詞 、 妄 語 、 和 戲 笑 的 話 、 都 不 相 宜 、 總 要 說 感 謝 的 話 。
Vì anh em phải biết rõ rằng kẻ gian dâm, ô uế, tham lam, tức là kẻ thờ hình tượng, không một kẻ nào được dự phần kế nghiệp của nước Đấng Christ và Đức Chúa Trời.|因 為 你 們 確 實 的 知 道 、 無 論 是 淫 亂 的 、 是 污 穢 的 、 有 貪 心 的 、 在 基 督 和 　 神 的 國 裡 、 都 是 無 分 的 ． 有 貪 心 的 、 就 與 拜 偶 像 的 一 樣 。
Đừng để cho ai lấy lời giả trá phỉnh dổ anh em; vì ấy là nhơn những điều đó mà cơn thạnh nộ của Đức Chúa Trời giáng trên các con bạn nghịch.|不 要 被 人 虛 浮 的 話 欺 哄 ． 因 這 些 事 、 　 神 的 忿 怒 必 臨 到 那 悖 逆 之 子 。
Vậy, chớ có thông đồng điều chi với họ hết.|所 以 你 們 不 要 與 他 們 同 夥 。
Vả, lúc trước anh em đương còn tối tăm, nhưng bây giờ đã nên người sáng láng trong Chúa. Hãy bước đi như các con sáng láng;|從 前 你 們 是 暗 昧 的 、 但 如 今 在 主 裡 面 是 光 明 的 、 行 事 為 人 就 當 像 光 明 的 子 女 ．
vì trái của sự sáng láng ở tại mọi điều nhơn từ, công bình và thành thật.|光 明 所 結 的 果 子 、 就 是 一 切 良 善 、 公 義 、 誠 實 ．
Hãy xét điều chi vừa lòng Chúa,|總 要 察 驗 何 為 主 所 喜 悅 的 事 。
và chớ dự vào công việc vô ích của sự tối tăm, thà quở trách chúng nó thì hơn;|那 暗 昧 無 益 的 事 、 不 要 與 人 同 行 、 倒 要 責 備 行 這 事 的 人 ．
vì dầu nói đến điều mà những người đó làm cách kín giấu, cũng đã là hổ thẹn rồi.|因 為 他 們 暗 中 所 行 的 、 就 是 題 起 來 、 也 是 可 恥 的 。
Nhưng hết thảy mọi sự đã bị quở trách đều được tỏ ra bởi sự sáng; phàm điều chi đã tỏ ra thì trở nên sự sáng vậy.|凡 事 受 了 責 備 、 就 被 光 顯 明 出 來 ． 因 為 一 切 能 顯 明 的 、 就 是 光 。
Cho nên có chép rằng: Ngươi đương ngủ, hãy thức, hãy vùng dậy từ trong đám người chết, thì Đấng Christ sẽ chiếu sáng ngươi.|所 以 主 說 、 你 這 睡 著 的 人 、 當 醒 過 來 、 從 死 裡 復 活 、 基 督 就 要 光 照 你 了 。
Vậy, hãy giữ cho khéo về sự ăn ở của anh em, chớ xử mình như người dại dột, nhưng như người khôn ngoan.|你 們 要 謹 慎 行 事 、 不 要 像 愚 昧 人 、 當 像 智 慧 人 ．
Hãy lợi dụng thì giờ, vì những ngày là xấu.|要 愛 惜 光 陰 、 因 為 現 今 的 世 代 邪 惡 。
Vậy chớ nên như kẻ dại dột, nhưng phải hiểu rõ ý muốn của Chúa là thế nào.|不 要 作 糊 塗 人 、 要 明 白 主 的 旨 意 如 何 。
Đừng say rượu, vì rượu xui cho luông tuồng; nhưng phải đầy dẫy Đức Thánh Linh.|不 要 醉 酒 、 酒 能 使 人 放 蕩 、 乃 要 被 聖 靈 充 滿 。
Hãy lấy ca vịnh, thơ thánh, và bài hát thiêng liêng mà đối đáp cùng nhau, và hết lòng hát mừng ngợi khen Chúa.|當 用 詩 章 、 頌 詞 、 靈 歌 、 彼 此 對 說 、 口 唱 心 和 的 讚 美 主 ．
Hãy thường thường nhơn danh Đức Chúa Jêsus Christ chúng ta, vì mọi sự tạ ơn Đức Chúa Trời, là Cha chúng ta.|凡 事 要 奉 我 們 主 耶 穌 基 督 的 名 、 常 常 感 謝 父 　 神 。
Hãy kính sợ Đấng Christ mà vâng phục nhau.|又 當 存 敬 畏 基 督 的 心 、 彼 此 順 服 。
Hỡi kẻ làm vợ, phải vâng phục chồng mình như vâng phục Chúa,|你 們 作 妻 子 的 、 當 順 服 自 己 的 丈 夫 、 如 同 順 服 主 ．
vì chồng là đầu vợ, khác nào Đấng Christ là đầu Hội thánh, Hội thánh là thân thể Ngài, và Ngài là Cứu Chúa của Hội thánh.|因 為 丈 夫 是 妻 子 的 頭 、 如 同 基 督 是 教 會 的 頭 ． 他 又 是 教 會 全 體 的 救 主 。
Ay vậy, như Hội thánh phục dưới Đấng Christ, thì đờn bà cũng phải phục dưới quyền chồng mình trong mọi sự.|教 會 怎 樣 順 服 基 督 、 妻 子 也 要 怎 樣 凡 事 順 服 丈 夫 。
Hỡi người làm chồng, hãy yêu vợ mình, như Đấng Christ đã yêu Hội thánh, phó chính mình vì Hội thánh,|你 們 作 丈 夫 的 、 要 愛 你 們 的 妻 子 、 正 如 基 督 愛 教 會 、 為 教 會 捨 己 ．
để khiến Hội nên thánh sau khi lấy nước rửa và dùng Đạo làm cho Hội tinh sạch,|要 用 水 藉 著 道 、 把 教 會 洗 淨 、 成 為 聖 潔 、
đặng tỏ ra hội thánh đầy vinh hiển, không vết, không nhăn, không chi giống như vậy, nhưng thánh sạch không chỗ trách được ở trước mặt Ngài.|可 以 獻 給 自 己 、 作 個 榮 耀 的 教 會 、 毫 無 玷 污 皺 紋 等 類 的 病 、 乃 是 聖 潔 沒 有 瑕 疵 的 。
Cũng một thể ấy, chồng phải yêu vợ như chính thân mình. Ai yêu vợ mình thì yêu chính mình vậy.|丈 夫 也 當 照 樣 愛 妻 子 、 如 同 愛 自 己 的 身 子 ． 愛 妻 子 、 便 是 愛 自 己 了 。
Vì chẳng hề có người nào ghét chính thân mình, nhưng nuôi nấng săn sóc nó như Đấng Christ đối với Hội thánh,|從 來 沒 有 人 恨 惡 自 己 的 身 子 、 總 要 保 養 顧 惜 、 正 像 基 督 待 教 會 一 樣 ．
vì chúng ta là các chi thể của thân Ngài.|因 我 們 是 他 身 上 的 肢 體 。 〔 有 古 卷 在 此 有 就 是 他 的 骨 他 的 肉 〕
Vậy nên người đờn ông phải lìa cha mẹ mà dính díu với vợ mình, hai người cùng nên một thịt.|為 這 個 緣 故 、 人 要 離 開 父 母 、 與 妻 子 連 合 、 二 人 成 為 一 體 。
Sự mầu nhiệm ấy là lớn, tôi nói về Đấng Christ và Hội thánh vậy.|這 是 極 大 的 奧 秘 、 但 我 是 指 著 基 督 和 教 會 說 的 。
Thế thì mỗi người trong anh em phải yêu vợ mình như mình, còn vợ thì phải kính chồng.|然 而 你 們 各 人 都 當 愛 妻 子 、 如 同 愛 自 己 一 樣 ． 妻 子 也 當 敬 重 他 的 丈 夫 。

					Ê-phê-sô 6				|
						以弗所書 6					
Hỡi kẻ làm con cái, hãy vâng phục cha mẹ mình trong Chúa, vì điều đó là phải lắm.|你 們 作 兒 女 的 、 要 在 主 裡 聽 從 父 母 、 這 是 理 所 當 然 的 。
Hãy tôn kính cha mẹ ngươi ,|要 考 敬 父 母 、 使 你 得 福 、 在 世 長 壽 ． 這 是 第 一 條 帶 應 許 的 誡 命 。
hầu cho ngươi được phước và sống lâu trên đất.|見 上 節
Hỡi các người làm cha, chớ chọc cho con cái mình giận dữ, hãy dùng sự sửa phạt khuyên bảo của Chúa mà nuôi nấng chúng nó.|你 們 作 父 親 的 、 不 要 惹 兒 女 的 氣 、 只 要 照 著 主 的 教 訓 和 警 戒 、 養 育 他 們 。
Hỡi kẻ làm tôi tớ, hãy run sợ, lấy lòng thật thà mà vâng phục kẻ làm chủ mình theo phần xác, như vâng phục Đấng Christ,|你 們 作 僕 人 的 、 要 懼 怕 戰 兢 、 用 誠 實 的 心 聽 從 你 們 肉 身 的 主 人 、 好 像 聽 從 基 督 一 般 。
không phải vâng phục trước mặt người mà thôi, như các ngươi kiếm cách làm đẹp lòng người ta, nhưng phải như tôi tớ của Đấng Christ, lấy lòng tốt làm theo ý muốn Đức Chúa Trời.|不 要 只 在 眼 前 事 奉 、 像 是 討 人 喜 歡 的 、 要 像 基 督 的 僕 人 、 從 心 裡 遵 行 　 神 的 旨 意 ．
Hãy đem lòng yêu mến hầu việc chủ, cũng như hầu việc Chúa, chẳng phải như hầu việc người ta,|甘 心 事 奉 、 好 像 服 事 主 、 不 像 服 事 人 。
vì biết rằng bất luận tôi mọi hay tự chủ, mỗi người đều sẽ nhận lãnh của Chúa tùy việc lành mình đã làm.|因 為 曉 得 各 人 所 行 的 善 事 、 不 論 是 為 奴 的 、 是 自 主 的 、 都 必 按 所 行 的 得 主 的 賞 賜 。
Hỡi anh em là người làm chủ, hãy đối đãi kẻ tôi tớ mình đồng một thể ấy, đừng có ngăm dọa chúng nó, vì biết rằng mình với chúng nó đều có một chủ chung ở trên trời, và trước mặt Ngài chẳng có sự tây vị ai hết.|你 們 作 主 人 的 待 僕 人 、 也 是 一 理 、 不 要 威 嚇 他 們 ． 因 為 知 道 他 們 和 你 們 、 同 有 一 位 主 在 天 上 、 他 並 不 偏 待 人 。
Vả lại, anh em phải làm mạnh dạn trong Chúa, nhờ sức toàn năng của Ngài.|我 還 有 末 了 的 話 、 你 們 要 靠 著 主 、 倚 賴 他 的 大 能 大 力 、 作 剛 強 的 人 。
Hãy mang lấy mọi khí giới của Đức Chúa Trời, để được đứng vững mà địch cùng mưu kế của ma quỉ.|要 穿 戴 　 神 所 賜 的 全 副 軍 裝 、 就 能 抵 擋 魔 鬼 的 詭 計 。
Vì chúng ta đánh trận, chẳng phải cùng thịt và huyết, bèn là cùng chủ quyền, cùng thế lực, cùng vua chúa của thế gian mờ tối nầy, cùng các thần dữ ở các miền trên trời vậy.|因 我 們 並 不 是 與 屬 血 氣 的 爭 戰 、 乃 是 與 那 些 執 政 的 、 掌 權 的 、 管 轄 這 幽 暗 世 界 的 、 以 及 天 空 屬 靈 氣 的 惡 魔 爭 戰 。 〔 兩 爭 戰 原 文 都 作 摔 跤 〕
Vậy nên, hãy lấy mọi khí giới của Đức Chúa Trời, hầu cho trong ngày khốn nạn, anh em có thể cự địch lại và khi thắng hơn mọi sự rồi, anh em được đứng vững vàng.|所 以 要 拿 起 　 神 所 賜 的 全 副 軍 裝 、 好 在 磨 難 的 日 子 、 抵 擋 仇 敵 、 並 且 成 就 了 一 切 、 還 能 站 立 得 住 。
Vậy, hãy đứng vững, lấy lẽ thật làm dây nịt lưng, mặc lấy giáp bằng sự công bình,|所 以 要 站 穩 了 、 用 真 理 當 作 帶 子 束 腰 、 用 公 義 當 作 護 心 鏡 遮 胸 ．
dùng sự sẵn sàng của Tin Lành bình an mà làm giày dép.|又 用 平 安 的 福 音 、 當 作 豫 備 走 路 的 鞋 穿 在 腳 上 ．
Lại phải lấy thêm đức tin làm thuẫn, nhờ đó anh em có thể dập tắt được các tên lửa của kẻ dữ.|此 外 又 拿 著 信 德 當 作 籐 牌 、 可 以 滅 盡 那 惡 者 一 切 的 火 箭 ．
Cũng hãy lấy sự cứu chuộc làm mão trụ, và cầm gươm của Đức Thánh Linh, là lời Đức Chúa Trời.|並 戴 上 救 恩 的 頭 盔 、 拿 著 聖 靈 的 寶 劍 、 就 是 　 神 的 道 ．
Hãy nhờ Đức Thánh Linh, thường thường làm đủ mọi thứ cầu nguyện và nài xin. Hãy dùng sự bền đổ trọn vẹn mà tỉnh thức về điều đó, và cầu nguyện cho hết thảy các thánh đồ.|靠 著 聖 靈 、 隨 時 多 方 禱 告 祈 求 、 並 要 在 此 儆 醒 不 倦 、 為 眾 聖 徒 祈 求 、
Cũng hãy vì tôi mà cầu nguyện, để khi tôi mở miệng ra, Chúa ban cho tôi tự do mọi bề, bày tỏ lẽ mầu nhiệm của đạo Tin Lành,|也 為 我 祈 求 、 使 我 得 著 口 才 、 能 以 放 膽 、 開 口 講 明 福 音 的 奧 秘 、
mà tôi vì đạo ấy làm sứ giả ở trong vòng xiềng xích, hầu cho tôi nói cách dạn dĩ như tôi phải nói.|（ 我 為 這 福 音 的 奧 秘 、 作 了 帶 鎖 鍊 的 使 者 ） 並 使 我 照 著 當 盡 的 本 分 、 放 膽 講 論 。
Vả, muốn cho anh em cùng biết những sự thuộc về tôi và việc tôi làm, thì có Ti-chi-cơ, anh em rất yêu dấu của chúng ta, là tôi tớ trung thành của Chúa, sẽ báo tin mọi sự cho anh em.|今 有 所 親 愛 忠 心 事 奉 主 的 兄 弟 推 基 古 、 他 要 把 我 的 事 情 並 我 的 景 況 如 何 、 全 告 訴 你 們 叫 你 們 知 道 。
Tôi đã sai người đi, có ý cho anh em biết tình cảnh chúng tôi là thể nào, để yên ủi lòng anh em.|我 特 意 打 發 他 到 你 們 那 裡 去 、 好 叫 你 們 知 道 我 們 的 光 景 、 又 叫 他 安 慰 你 們 的 心 。
Nguyền xin anh em được sự bình an, sự yêu thương cùng đức tin ban cho bởi Đức Chúa Trời, là Cha, và bởi Đức Chúa Jêsus Christ!|願 平 安 、 仁 愛 、 信 心 、 從 父 　 神 和 主 耶 穌 基 督 、 歸 與 弟 兄 們 。
Nguyền xin ân điển ở với hết thảy những kẻ lấy lòng yêu thương chẳng phai mà kính mến Đức Chúa Jêsus Christ chúng ta!|並 願 所 有 誠 心 愛 我 們 主 耶 穌 基 督 的 人 、 都 蒙 恩 惠 。
