
					Ai Ca 1				|
Những kẻ vô cớ thù nghịch tôi đã đuổi tôi như đuổi chim.|無 故 與 我 為 仇 的 追 逼 我 、 像 追 雀 鳥 一 樣 。
Họ muốn giết tôi nơi ngục tối, và ném đá trên tôi.|他 們 使 我 的 命 在 牢 獄 中 斷 絕 、 並 將 一 塊 石 頭 拋 在 我 身 上 。
Nước lên ngập đầu tôi, tôi nói: Ta phải chết mất!|眾 水 流 過 我 頭 ． 我 說 、 我 命 斷 絕 了 。
Hỡi Đức Giê-hô-va, tôi từ nơi ngục tối rất sâu kêu cầu danh Ngài.|耶 和 華 阿 、 我 從 深 牢 中 求 告 你 的 名 。
Ngài chúng con đã nghe tiếng tôi, xin đừng bịt tai khỏi hơi thở và lời kêu van tôi.|你 曾 聽 見 我 的 聲 音 ． 我 求 你 解 救 、 你 不 要 掩 耳 不 聽 。
Ngày tôi cầu Ngài, Ngài đã đến gần tôi, đã phán cùng tôi: Chớ sợ hãi chi!|我 求 告 你 的 日 子 、 你 臨 近 我 、 說 、 不 要 懼 怕 。
Hỡi Chúa, Ngài đã đối nại việc hồn tôi, là Đấng chuộc mạng tôi.|主 阿 、 你 伸 明 了 我 的 冤 ． 你 救 贖 了 我 的 命 。
Hỡi Đức Giê-hô-va, Ngài đã thấy người ta hiếp đáp tôi: xin đoán xét việc tôi!|耶 和 華 阿 、 你 見 了 我 受 的 委 屈 ． 求 你 為 我 伸 冤 。
Chúng nó báo thù, lập mưu hại tôi, thì Ngài đã thấy hết.|他 們 仇 恨 我 、 謀 害 我 、 你 都 看 見 了 。
Hỡi Đức Giê-hô-va, Ngài đã nghe chúng nó sỉ nhục, bày mọi mưu chước nghịch cùng tôi.|耶 和 華 阿 、 你 聽 見 他 們 辱 罵 我 的 話 、 知 道 他 們 向 我 所 設 的 計 、
Những môi miếng của kẻ dấy nghịch cùng tôi và mưu kế lập ra hại tôi cả ngày.|並 那 些 起 來 攻 擊 我 的 人 、 口 中 所 說 的 話 、 以 及 終 日 向 我 所 設 的 計 謀 。
Xin Ngài xem sự ngồi xuống và đứng dậy của chúng nó; tôi là bài hát của chúng nó.|求 你 觀 看 、 他 們 坐 下 起 來 、 都 以 我 為 歌 曲 。
Hỡi Đức Giê-hô-va, Ngài sẽ báo trả chúng nó tùy theo việc tay chúng nó làm.|耶 和 華 阿 、 你 要 按 著 他 們 手 所 作 的 、 向 他 們 施 行 報 應 。
Ngài sẽ ban lòng cứng cỏi cho chúng nó, sự rủa sả giáng trên chúng nó.|你 要 使 他 們 心 裡 剛 硬 、 使 你 的 咒 詛 臨 到 他 們 。
Ngài sẽ lấy cơn giận và đuổi theo, hủy hoại chúng nó khỏi dưới trời của Đức Giê-hô-va.|你 要 發 怒 追 趕 他 們 、 從 耶 和 華 的 天 下 除 滅 他 們 。

					Ai Ca 4				|
						耶利米哀歌 4					
Than ôi! vàng mờ tối, vàng ròng biến đổi dường nào! Đá nơi thánh đổ ra nơi mọi góc đường phố!|黃 金 何 其 失 光 ． 純 金 何 其 變 色 ． 聖 所 的 石 頭 倒 在 各 市 口 上 。
Các con trai của Si-ôn quí báu khác nào vàng ròng, Nay coi như bình đất sét là việc của tay thợ gốm làm!|錫 安 寶 貴 的 眾 子 、 好 比 精 金 、 現 在 何 竟 算 為 ? 匠 手 所 作 的 瓦 缾 。
Chính các chó rừng còn đưa vú ra cho con nó đặng cho bú; Song con gái dân ta trở nên hung dữ như chim đà ở nơi đồng vắng.|野 狗 尚 且 把 奶 乳 哺 其 子 、 我 民 的 婦 人 倒 成 為 殘 忍 、 好 像 曠 野 的 鴕 鳥 一 般 。
Con mới đẻ khao khát lắm, lưỡi nó dính với cúa họng. Trẻ nhỏ đòi bánh chẳng ai bẻ cho.|喫 奶 孩 子 的 舌 頭 、 因 乾 渴 貼 住 上 膛 ． 孩 童 求 餅 、 無 人 擘 給 他 們 。
Những người quen nếm mùi cao lương đơn chiếc trong các đường phố; Những kẻ dưỡng nuôi trong đồ điều đỏ, nay ôm lấy đống phân tro.|素 來 喫 美 好 食 物 的 、 現 今 在 街 上 變 為 孤 寒 ． 素 來 臥 朱 紅 褥 子 的 、 現 今 躺 臥 糞 堆 ．
Tội lỗi con gái dân ta lớn hơn tội lỗi Sô-đôm, Là thành bị đổ như trong giây phút, chẳng ai giơ tay ra trên nó.|都 因 我 眾 民 的 罪 孽 、 比 所 多 瑪 的 罪 還 大 ． 所 多 瑪 雖 然 無 人 加 手 於 他 、 還 是 轉 眼 之 間 被 傾 覆 。
Các người sang trọng của nó tinh hơn tuyết, trắng hơn sữa. Nước da đỏ hồng hơn san hô, mình mẩy sáng ngời như bích ngọc.|錫 安 的 貴 冑 、 素 來 比 雪 純 淨 、 比 奶 更 白 ． 他 們 的 身 體 、 比 紅 寶 玉 〔 或 作 珊 瑚 〕 更 紅 、 像 光 潤 的 藍 寶 石 一 樣 。
Nay mặt đen hơn than: chẳng ai nhận biết trong đường phố; Còn xương bọc lấy da; khô ran như khúc gỗ.|現 在 他 們 的 面 貌 比 煤 炭 更 黑 、 以 致 在 街 上 無 人 認 識 ． 他 們 的 皮 膚 、 緊 貼 骨 頭 、 枯 乾 如 同 槁 木 。
Những người bị gươm giết may hơn kẻ bị chết đói: Vì thiếu sản vật ngoài đồng, người lần lần hao mòn như bị đâm.|餓 死 的 、 不 如 被 刀 殺 的 、 因 為 這 是 缺 了 田 間 的 土 產 、 就 身 體 衰 弱 、 漸 漸 消 滅 。
Chính tay người đờn bà vẫn có lòng thương xót, nấu chín con cái mình, Dùng làm đồ ăn cho mình giữa khi con gái dân ta bị phá hại.|慈 悲 的 婦 人 、 當 我 眾 民 被 毀 滅 的 時 候 、 親 手 煮 自 己 的 兒 女 作 為 食 物 。
Đức Giê-hô-va đã làm trọn sự giận của Ngài, đổ cơn thạnh nộ Ngài ra; Ngài đã đốt lửa tại Si-ôn, thiêu nuốt nền nó.|耶 和 華 發 怒 成 就 他 所 定 的 、 倒 出 他 的 烈 怒 ． 在 錫 安 使 火 ? 起 、 燒 燬 錫 安 的 根 基 。
Các vua trên đất, cả dân cư thế gian, vốn chẳng ngờ Kẻ thù quân nghịch sẽ tràn vào các cửa thành Giê-ru-sa-lem.|地 上 的 君 王 、 和 世 上 的 居 民 、 都 不 信 敵 人 和 仇 敵 能 進 耶 路 撒 冷 的 城 門 。
Ay là vì cớ tội lỗi của các tiên tri nó, và sự gian ác của các thầy tế lễ nó. Họ đã đổ giữa nó huyết của người công bình.|這 都 因 他 先 知 的 罪 惡 、 和 祭 司 的 罪 孽 ． 他 們 在 城 中 流 了 義 人 的 血 。
Họ đi quanh dọc đường như kẻ mù, bị máu làm ô uế, Đến nỗi không ai có thể rờ đến áo xống họ.|他 們 在 街 上 如 瞎 子 亂 走 、 又 被 血 玷 污 、 以 致 人 不 能 摸 他 們 的 衣 服 。
Người ta kêu bảo chúng rằng: Hãy xê ra, chẳng sạch. Hãy xê ra! xê ra! đừng rờ đến! Khi họ trốn tránh đi lưu lạc, dân ngoại kêu rằng: Chúng nó sẽ không trú ngụ ở đây nữa.|人 向 他 們 喊 著 說 、 不 潔 淨 的 ． 躲 開 、 躲 開 、 不 要 挨 近 我 ． 他 們 逃 走 飄 流 的 時 候 、 列 國 中 有 人 說 、 他 們 不 可 仍 在 這 裡 寄 居 。
Cơn giận Đức Giê-hô-va đã làm tan lạc chúng, Ngài chẳng đoái xem nữa. Chúng nó chẳng nể mặt thầy tế lễ, cũng chẳng kính người già cả.|耶 和 華 發 怒 、 將 他 們 分 散 、 不 再 眷 顧 他 們 ． 人 不 重 看 祭 司 、 也 不 厚 待 長 老 。
Mắt chúng ta mòn mỏi trông sự cứu luống công! Chúng ta trông đợi hướng về một dân không thể cứu.|我 們 仰 望 人 來 幫 助 、 以 致 眼 目 失 明 、 還 是 枉 然 ． 我 們 所 盼 望 的 、 竟 盼 望 一 個 不 能 救 人 的 國 。
Chúng nó dòm ngó chơn chúng ta, đến nỗi chúng ta không bước ra nơi đường phố. Sự cuối cùng chúng ta đã gần! Ngày chúng ta đã trọn! phải, sự cuối cùng chúng ta đã đến!|仇 敵 追 趕 我 們 的 腳 步 像 打 獵 的 、 以 致 我 們 不 敢 在 自 己 的 街 上 行 走 ． 我 們 的 結 局 臨 近 、 我 們 的 日 子 滿 足 、 我 們 的 結 局 來 到 了 。
Kẻ đuổi theo chúng ta thật lẹ hơn con chim ưng trên trời. Đuổi theo chúng ta trên các núi, rình rập chúng ta trong đồng vắng.|追 趕 我 們 的 、 比 空 中 的 鷹 更 快 ． 他 們 在 山 上 追 逼 我 們 、 在 曠 野 埋 伏 、 等 候 我 們 。
Hơi thở của mũi chúng ta, tức là kẻ chịu xức dầu của Đức Giê-hô-va, thì đã mắc bẫy rồi, Về người, chúng ta thường nói rằng: Chúng ta nấp dưới bóng người mà sống giữa các nước.|耶 和 華 的 受 膏 者 、 好 比 我 們 鼻 中 的 氣 、 在 他 們 的 坑 中 被 捉 住 ． 我 們 曾 論 到 他 說 、 我 們 必 在 他 蔭 下 、 在 列 國 中 存 活 。
Hỡi con gái Ê-đôm, ở đất Ut-xơ! Hãy vui mừng hớn hở, Cái chén cũng sẽ trao đến mầy, mầy sẽ say mê và trần truồng.|在 烏 斯 地 的 以 東 民 哪 、 只 管 歡 喜 快 樂 ． 苦 杯 也 必 傳 到 你 那 裡 ． 你 必 喝 醉 、 以 致 露 體 。
Hỡi con gái Si-ôn, sự phạt tội lỗi mầy đã trọn, Ngài không đày mầy đi làm phu tù nữa! Hỡi con gái Ê-đôm, Ngài sẽ thăm phạt tội mầy; phô bày gian ác mầy!|錫 安 的 民 哪 、 你 罪 孽 的 刑 罰 受 足 了 ． 耶 和 華 必 不 使 你 再 被 擄 去 。 以 東 的 民 哪 、 他 必 追 討 你 的 罪 孽 、 顯 露 你 的 罪 惡 。

					Ai Ca 5				|
						耶利米哀歌 5					
Hỡi Đức Giê-hô-va, xin nhớ sự đã giáng trên chúng tôi; Hãy đoái xem sự sỉ nhục chúng tôi!|耶 和 華 阿 、 求 你 記 念 我 們 所 遭 遇 的 事 ． 觀 看 我 們 所 受 的 凌 辱 。
Sản nghiệp chúng tôi đã sang tay dân ngoại, Nhà cửa thuộc về người giống khác.|我 們 的 產 業 、 歸 與 外 邦 人 ． 我 們 的 房 屋 、 歸 與 外 路 人 。
Chúng tôi mất cha, phải mồ côi, Mẹ chúng tôi trở nên góa bụa.|我 們 是 無 父 的 孤 兒 ． 我 們 的 母 親 、 好 像 寡 婦 。
Chúng tôi uống nước phải trả tiền, Phải mua mới có củi.|我 們 出 錢 纔 得 水 喝 ． 我 們 的 柴 是 人 賣 給 我 們 的 。
Kẻ đuổi theo kịp chúng tôi, chận cổ chúng tôi; Chúng tôi đã mỏi mệt rồi, chẳng được nghỉ!|追 趕 我 們 的 、 到 了 我 們 的 頸 項 上 ． 我 們 疲 乏 不 得 歇 息 。
Chúng tôi giang tay hướng về những người Ê-díp-tô Và A-si-ri, đặng có bánh ăn no nê.|我 們 投 降 埃 及 人 、 和 亞 述 人 、 為 要 得 糧 喫 飽 。
Tổ phụ chúng tôi đã phạm tội, nay không còn nữa. Chúng tôi đã mang lấy sự gian ác họ.|我 們 列 祖 犯 罪 、 而 今 不 在 了 ． 我 們 擔 當 他 們 的 罪 孽 。
Kẻ đầy tớ cai trị chúng tôi, Chẳng ai cứu chúng tôi khỏi tay họ.|奴 僕 轄 制 我 們 ． 無 人 救 我 們 脫 離 他 們 的 手 。
Chúng tôi liều mạng mới có bánh mà ăn, Vì cớ mũi gươm nơi đồng vắng.|因 為 曠 野 的 刀 劍 、 我 們 冒 著 險 、 纔 得 糧 食 。
Da chúng tôi nóng như lò lửa, Vì cơn đói thiêu đốt chúng tôi!|因 飢 餓 燥 熱 、 我 們 的 皮 膚 就 黑 如 爐 。
Chúng nó đã làm nhục đờn bà tại Si-ôn, Và gái đồng trinh trong các thành Giu-đa.|敵 人 在 錫 安 玷 污 婦 人 、 在 猶 大 的 城 邑 玷 污 處 女 。
Tay chúng nó đã treo các quan trưởng lên, Chẳng kính trọng mặt các người già cả.|他 們 吊 起 首 領 的 手 、 也 不 尊 敬 老 人 的 面 。
Kẻ trai tráng đã phải mang cối, Trẻ con vấp ngã dưới gánh củi.|少 年 人 扛 磨 石 、 孩 童 背 木 柴 、 都 絆 跌 了 。
Các người già cả không còn ngồi nơi cửa thành, Bọn trai trẻ không còn chơi đờn hát.|少 年 人 在 城 門 口 斷 絕 、 少 年 人 不 再 作 樂 。
Lòng chúng tôi hết cả sự vui; Cuộc nhảy múa đổi ra tang chế.|我 們 心 中 的 快 樂 止 息 、 跳 舞 變 為 悲 哀 。
Mão triều thiên rơi khỏi đầu chúng tôi, Khốn cho chúng tôi, vì chúng tôi phạm tội!|冠 冕 從 我 們 的 頭 上 落 下 ． 我 們 犯 罪 了 、 我 們 有 禍 了 。
Vì vậy lòng chúng tôi mòn mỏi, Mắt chúng tôi mờ tối,|這 些 事 我 們 心 裡 發 昏 ． 我 們 的 眼 睛 昏 花 。
Vì núi Si-ôn đã trở nên hoang vu, Chồn cáo đi lại trên đó.|錫 安 山 荒 涼 、 野 狗 〔 或 作 狐 狸 〕 行 在 其 上 。
Hỡi Đức Giê-hô-va, Ngài còn đời đời, Ngôi Ngài còn từ đời nầy sang đời kia!|耶 和 華 阿 、 你 存 到 永 遠 、 你 的 寶 座 、 存 到 萬 代 。
Sao Ngài quên chúng tôi mãi mãi, Lìa bỏ chúng tôi lâu vậy?|你 為 何 永 遠 忘 記 我 們 、 為 何 許 久 離 棄 我 們 。
Hỡi Đức Giê-hô-va, hãy xây chúng tôi trở về Ngài thì chúng tôi sự trở về Làm những ngày chúng tôi lại mới như thuở xưa!|耶 和 華 阿 、 求 你 使 我 們 向 你 回 轉 、 我 們 便 得 回 轉 ． 求 你 復 新 我 們 的 日 子 、 像 古 時 一 樣 。
Nhưng Ngài lại bỏ hết chúng tôi, Ngài giận chúng tôi quá lắm.|你 竟 全 然 棄 絕 我 們 、 向 我 們 大 發 烈 怒 。
