
					Xê-ca-ri-a 1				|
Những kẻ ở xa sẽ đến, xây đền thờ Đức Giê-hô-va; và các ngươi sẽ biết rằng Đức Giê-hô-va vạn quân sai ta đến cùng các ngươi; nếu các ngươi siêng năng vâng theo tiếng Giê-hô-va Đức Chúa Trời mình thì sự đó sẽ xảy đến.|遠 方 的 人 也 要 來 建 造 耶 和 華 的 殿 。 你 們 就 知 道 萬 軍 之 耶 和 華 差 遣 我 到 你 們 這 裡 來 。 你 們 若 留 意 聽 從 耶 和 華 你 們 　 神 的 話 、 這 事 必 然 成 就 。

					Xê-ca-ri-a 7				|
						撒迦利亞書 7					
Xảy ra trong năm thứ tư vua Đa-ri-út, có lời của Đức Giê-hô-va phán cùng Xa-cha-ri nhằm ngày mồng bốn tháng chín, là tháng Kít-lêu.|大 利 烏 王 第 四 年 九 月 、 就 是 基 斯 流 月 、 初 四 日 、 耶 和 華 的 話 臨 到 撒 迦 利 亞 。
Khi ấy những người ở Bê-tên có sai Sa-rết-se và Rê-ghem-Mê-léc cùng những kẻ theo họ đặng nài xin ơn Đức Giê-hô-va,|那 時 伯 特 利 人 已 經 打 發 沙 利 色 、 和 利 堅 米 勒 、 並 跟 從 他 們 的 人 、 去 懇 求 耶 和 華 的 恩 、
và nói cùng các thầy tế lễ của nhà Đức Giê-hô-va vạn quân, và cùng các đấng tiên tri mà rằng: Tôi có nên khóc lóc và biệt mình riêng ra trong tháng năm như tôi đã làm trong nhiều năm chăng?|並 問 萬 軍 之 耶 和 華 殿 中 的 祭 司 、 和 先 知 說 、 我 歷 年 以 來 、 在 五 月 間 哭 泣 齋 戒 、 現 在 還 當 這 樣 行 麼 。
Bấy giờ có lời của Đức Giê-hô-va vạn quân phán cùng ta rằng:|萬 軍 之 耶 和 華 的 話 就 臨 到 我 說 、
Hãy nói cùng cả dân sự trong đất và cùng các thầy tế lễ mà rằng: Các ngươi kiêng ăn và khóc lóc trong tháng năm tháng bảy đã bảy mươi năm nay, có phải các ngươi vì ta, thật là vì ta, mà giữ lễ kiêng ăn đó chăng?|你 要 宣 告 國 內 的 眾 民 、 和 祭 司 、 說 、 你 們 這 七 十 年 在 五 月 七 月 禁 食 悲 哀 、 豈 是 絲 毫 向 我 禁 食 麼 ．
Khi các ngươi uống và ăn, há chẳng phải vì mình mà ăn, vì mình mà uống hay sao?|你 們 喫 喝 、 不 是 為 自 己 喫 、 為 自 己 喝 麼 。
Ay há chẳng phải những lời mà Đức Giê-hô-va cậy các đấng tiên tri đời trước rao ra, khi Giê-ru-sa-lem và những thành chung quanh nó có dân cư được thạnh vượng, và khi phương nam và đồng bằng có dân cư hay sao?|當 耶 路 撒 冷 和 四 圍 的 城 邑 有 居 民 、 正 興 盛 、 南 地 高 原 有 人 居 住 的 時 候 、 耶 和 華 藉 從 前 的 先 知 所 宣 告 的 話 、 你 們 不 當 聽 麼 。
Đoạn, có lời của Đức Giê-hô-va phán cùng Xa-cha-ri, mà rằng:|耶 和 華 的 話 又 臨 到 撒 迦 利 亞 說 、
Đức Giê-hô-va vạn quân phán như vầy: Hãy làm điều gì thật công bình, và ai nấy khá lấy sự nhơn từ, thương xót đối với anh em mình;|萬 軍 之 耶 和 華 曾 對 你 們 的 列 祖 如 此 說 、 要 按 至 理 判 斷 、 各 人 以 慈 愛 憐 憫 弟 兄 。
chớ ức hiếp đờn bà góa, hoặc kẻ mồ côi, hoặc người trú ngụ, hay là kẻ nghèo khó, và ai nấy chớ mưu một sự dữ nào trong lòng nghịch cùng anh em mình.|不 可 欺 壓 寡 婦 、 孤 兒 、 寄 居 的 、 和 貧 窮 人 ． 誰 都 不 可 心 裡 謀 害 弟 兄 。
Nhưng chúng nó không chịu nghe, xây vai lại đặng sau, và bịt lỗ tai lại đặng không nghe.|他 們 卻 不 肯 聽 從 、 扭 轉 肩 頭 、 塞 耳 不 聽 ．
Chúng nó làm cho lòng mình cứng như đá kim cương, để không nghe luật pháp và những lời mà Đức Giê-hô-va vạn quân đã bởi Thần Ngài cậy các tiên tri đời xưa sai đến; vậy nên có sự thạnh nộ lớn lắm đến từ Đức Giê-hô-va vạn quân.|使 心 硬 如 金 鋼 石 、 不 聽 律 法 、 和 萬 軍 之 耶 和 華 用 靈 藉 從 前 的 先 知 所 說 的 話 ． 故 此 、 萬 軍 之 耶 和 華 大 發 烈 怒 。
Xảy ra như khi người kêu, chúng nó không chịu nghe, thì khi chúng nó kêu, ta cũng không nghe, Đức Giê-hô-va vạn quân phán vậy.|萬 軍 之 耶 和 華 說 、 我 曾 呼 喚 他 們 、 他 們 不 聽 ． 將 來 他 們 呼 求 我 、 我 也 不 聽 ．
Ta đã làm tan tác chúng nó như bởi một cơn gió lốc trong khắp các nước mà chúng nó chưa từng biết; vậy đất đã trở nên hoang vu sau chúng nó, đến nỗi không ai trải qua hoặc trở về; vì chúng nó đã làm cho đất vui thích thành ra hoang vu.|我 必 以 旋 風 吹 散 他 們 到 素 不 認 識 的 萬 國 中 。 這 樣 、 他 們 的 地 就 荒 涼 、 甚 至 無 人 來 往 經 過 ． 因 為 他 們 使 美 好 之 地 荒 涼 了 。

					Xê-ca-ri-a 8				|
						撒迦利亞書 8					
Lại có lời của Đức Giê-hô-va vạn quân phán cùng ta rằng:|萬 軍 之 耶 和 華 的 話 臨 到 我 說 、
Đức Giê-hô-va vạn quân có phán như vầy: Ta đã nổi ghen vì Si-ôn bởi một cơn ghen lớn, ta đã nổi ghen vì nó bởi cơn tức giận lớn.|萬 軍 之 耶 和 華 如 此 說 、 我 為 錫 安 心 裡 極 其 火 熱 ． 我 為 他 火 熱 、 向 他 的 仇 敵 發 烈 怒 。
Đức Giê-hô-va phán như vầy: Ta đã xây lại cùng Si-ôn, và ta sẽ ở giữa Giê-ru-sa-lem; Giê-ru-sa-lem sẽ được gọi là thành chơn thật; núi của Đức Giê-hô-va vạn quân sẽ được gọi là núi thánh.|耶 和 華 如 此 說 、 我 現 在 回 到 錫 安 、 要 住 在 耶 路 撒 冷 中 ． 耶 路 撒 冷 必 稱 為 誠 實 的 城 ． 萬 軍 之 耶 和 華 的 山 必 稱 為 聖 山 。
Đức Giê-hô-va vạn quân phán như vầy: Sẽ còn có những ông già, bà già ở trong các đường phố Giê-ru-sa-lem, ai nấy sẽ cầm gậy nơi tay, vì cớ mình cao tuổi.|萬 軍 之 耶 和 華 如 此 說 、 將 來 必 有 年 老 的 男 女 、 坐 在 耶 路 撒 冷 街 上 ． 因 為 年 紀 老 邁 就 手 拿 ? 杖 。
Các đường phố trong thành sẽ đầy những con trai con gái vui chơi trong đó.|城 中 街 上 必 滿 有 男 孩 女 孩 玩 耍 。
Đức Giê-hô-va vạn quân phán như vầy: Trong những ngày đó, dầu những sự ấy coi như lạ lùng cho mắt ta sao? Đức Giê-hô-va vạn quân phán vậy.|萬 軍 之 耶 和 華 如 此 說 、 到 那 日 、 這 事 在 餘 剩 的 民 眼 中 看 為 希 奇 、 在 我 眼 中 也 看 為 希 奇 麼 ． 這 是 萬 軍 之 耶 和 華 說 的 。
Đức Giê-hô-va vạn quân phán như vầy: Nầy, ta sẽ giải cứu dân ta từ phương đông phương tây,|萬 軍 之 耶 和 華 如 此 說 、 我 要 從 東 方 、 從 西 方 、 救 回 我 的 民 ．
và đem chúng nó đến, chúng nó sẽ ở giữa Giê-ru-sa-lem, làm dân của ta, còn ta sẽ làm Đức Chúa Trời chúng nó trong sự chơn thật và công bình.|我 要 領 他 們 來 、 使 他 們 住 在 耶 路 撒 冷 中 ． 他 們 要 作 我 的 子 民 、 我 要 作 他 們 的 　 神 、 都 憑 誠 實 和 公 義 。
Đức Giê-hô-va vạn quân phán như vầy: Các ngươi là kẻ, đương những ngày nầy, nghe các lời ấy từ miệng các tiên tri trong ngày mà nhà Đức Giê-hô-va vạn quân, tức là đền thờ, đã được lập nền để xây lên, thì các ngươi khá làm tay mình nên mạnh.|萬 軍 之 耶 和 華 如 此 說 、 當 建 造 萬 軍 之 耶 和 華 的 殿 、 立 根 基 之 日 的 先 知 所 說 的 話 、 現 在 你 們 聽 見 、 應 當 手 裡 強 壯 。
Vì chưng trước những ngày đó chẳng có tiền công cho người ta, cũng chẳng có tiền công cho thú vật; và vì cớ kẻ cừu địch, thì chẳng có sự bình an cho kẻ ra người vào; vì ta đã khiến mọi người ai nầy nghịch cùng kẻ lân cận mình.|那 日 以 先 人 得 不 著 雇 價 、 牲 畜 也 是 如 此 ． 且 因 敵 人 的 緣 故 、 出 入 之 人 、 不 得 平 安 ． 乃 因 我 使 眾 人 互 相 攻 擊 。
Nhưng bây giờ ta sẽ không đãi những kẻ sót lại của dân nầy như trước, Đức Giê-hô-va vạn quân phán vậy.|但 如 今 我 待 這 餘 剩 的 民 、 必 不 像 從 前 ． 這 是 萬 軍 之 耶 和 華 說 的 。
Vì ở đó sẽ có hột giống bình an; cây nho sẽ sanh trái, và đất sẽ sanh hoa lợi, các từng trời sẽ sa móc xuống, ta sẽ làm cho những kẻ sót lại của dân nầy được hưởng mọi sự đó.|因 為 他 們 必 平 安 撒 種 ． 葡 萄 樹 必 結 果 子 、 地 土 必 有 出 產 、 天 也 必 降 甘 露 ． 我 要 使 這 餘 剩 的 民 、 享 受 這 一 切 的 福 。
Hỡi nhà Giu-đa và nhà Y-sơ-ra-ên! sẽ xảy ra như các ngươi đã làm sự rủa sả trong các nước thể nào, thì ta sẽ cứu các ngươi, và các ngươi sẽ làm sự chúc phước thể ấy. Các ngươi chớ sợ hãi, song hãy làm cho tay mình nên mạnh!|猶 大 家 和 以 色 列 家 阿 、 你 們 從 前 在 列 國 中 怎 樣 成 為 可 咒 詛 的 、 照 樣 、 我 要 拯 救 你 們 、 使 人 稱 你 們 為 有 福 的 ． 〔 或 作 使 你 們 叫 人 得 福 〕 你 們 不 要 懼 怕 、 手 要 強 壯 。
Vì Đức Giê-hô-va vạn quân phán như vầy: Như ta đã toan giáng tai vạ cho các ngươi, khi tổ phụ các ngươi chọc giận ta, và ta không ăn năn, Đức Giê-hô-va vạn quân phán vậy,|萬 軍 之 耶 和 華 如 此 說 、 你 們 列 祖 惹 我 發 怒 的 時 候 、 我 怎 樣 定 意 降 禍 、 並 不 後 悔 ．
thì ngày nay cũng vậy, ta lại đã toan làm ơn cho Giê-ru-sa-lem và cho nhà Giu-đa: các ngươi chớ sợ chi!|現 在 我 照 樣 定 意 施 恩 與 耶 路 撒 冷 和 猶 大 家 、 你 們 不 要 懼 怕 。
Nầy là những sự các ngươi phải làm: Ai nấy khá lấy điều thật nói cùng kẻ lân cận mình; hãy làm sự chơn thật và sự phán xét bình an trong cửa thành các ngươi.|你 們 所 當 行 的 是 這 樣 ． 各 人 與 鄰 舍 說 話 誠 實 、 在 城 門 口 按 至 理 判 斷 、 使 人 和 睦 ．
Chớ toan sự dữ trong lòng nghịch cùng kẻ lân cận; và chớ ưa sự thề dối, vì ấy đó là những điều mà ta ghét, Đức Giê-hô-va phán vậy.|誰 都 不 可 心 裡 謀 害 鄰 舍 、 也 不 可 喜 愛 起 假 誓 ． 因 為 這 些 事 都 為 我 所 恨 惡 ． 這 是 耶 和 華 說 的 。
Đoạn, có lời của Đức Giê-hô-va vạn quân phán cùng ta, mà rằng:|萬 軍 之 耶 和 華 的 話 臨 到 我 說 、
Đức Giê-hô-va vạn quân có phán như vầy: Sự kiêng ăn về tháng tư, sự kiêng ăn về tháng năm, sự kiêng ăn về tháng bảy, sự kiêng ăn về tháng mười sẽ làm sự vui mừng hớn hở, và ngày lễ vui chơi cho nhà Giu-đa. Vậy hãy ưa sự chơn thật và bình an.|萬 軍 之 耶 和 華 如 此 說 、 四 月 五 月 禁 食 的 日 子 、 七 月 十 月 禁 食 的 日 子 、 必 變 為 猶 大 家 歡 喜 快 樂 的 日 子 、 和 歡 樂 的 節 期 ． 所 以 你 們 要 喜 愛 誠 實 與 和 平 。
Đức Giê-hô-va vạn quân phán như vầy: Sẽ xảy ra các dân và dân cư nhiều thành đều đến,|萬 軍 之 耶 和 華 如 此 說 、 將 來 必 有 列 國 的 人 、 和 多 城 的 居 民 來 到 ．
và dân cư thành nầy đi đến thành khác mà nói rằng: Chúng ta hãy đi mau, đặng nài xin ơn Đức Giê-hô-va, và tìm kiếm Đức Giê-hô-va vạn quân; ta cũng sẽ đi.|這 城 的 居 民 、 必 到 那 城 、 說 、 我 們 要 快 去 懇 求 耶 和 華 的 恩 、 尋 求 萬 軍 之 耶 和 華 ． 我 也 要 去 。
Như vậy có nhiều dân và nhiều nước mạnh sẽ đến tìm kiếm Đức Giê-hô-va vạn quân tại Giê-ru-sa-lem, và ở đó nài xin ơn Đức Giê-hô-va.|必 有 列 邦 的 人 、 和 強 國 的 民 、 來 到 耶 路 撒 冷 、 尋 求 萬 軍 之 耶 和 華 、 懇 求 耶 和 華 的 恩 。
Đức Giê-hô-va vạn quân phán như vầy: Sẽ xảy ra trong những ngày đó, có mười người từ mọi thứ tiếng trong các nước ra, nắm chặt vạt áo của một người Giu-đa, mà nói rằng: Chúng ta sẽ đi cùng các ngươi, vì chúng ta có nghe rằng Đức Giê-hô-va ở cùng các ngươi.|萬 軍 之 耶 和 華 如 此 說 、 在 那 些 日 子 、 必 有 十 個 人 、 從 列 國 諸 族 中 出 來 、 〔 族 原 文 作 方 言 〕 拉 住 一 個 猶 大 人 的 衣 襟 、 說 、 我 們 要 與 你 們 同 去 、 因 為 我 們 聽 見 　 神 與 你 們 同 在 了 。

					Xê-ca-ri-a 9				|
						撒迦利亞書 9					
Gánh nặng lời Đức Giê-hô-va nghịch cùng đất Ha-đơ-rắc, nó sẽ đỗ trên Đa-mách: vì con mắt loài người và mọi chi phái Y-sơ-ra-ên đều ngó lên Đức Giê-hô-va.|耶 和 華 的 默 示 、 應 驗 在 哈 得 拉 地 大 馬 色 （ 世 人 和 以 色 列 各 支 派 的 眼 目 、 都 仰 望 耶 和 華 ）
Lời ấy cũng phán về Ha-mát, láng giềng của Đa-mách, về Ty-rơ và Si-đôn, vì các thành ấy là rất khôn sáng.|和 靠 近 的 哈 馬 、 並 推 羅 、 西 頓 、 因 為 這 二 城 的 人 、 大 有 智 慧 。
Vì Ty-rơ đã xây một đồn lũy cho mình, và thâu chứa bạc như bụi đất, vàng ròng như bùn ngoài đường.|推 羅 為 自 己 修 築 保 障 、 積 蓄 銀 子 如 塵 沙 、 堆 起 精 金 如 街 上 的 泥 土 。
Nầy, Chúa sẽ cất lấy của cải nó, xô quyền thế nó xuống biển, nó sẽ bị lửa thiêu nuốt.|主 必 趕 出 他 、 打 敗 他 海 上 的 權 力 ． 他 必 被 火 燒 滅 。
Ach-ca-lôn sẽ thấy và sợ; Ga-xa cũng thấy và rất đau đớn, Ec-rôn cũng vậy, vì sự nó trông mong sẽ nên xấu hổ; vua Ga-xa sẽ bị diệt và Ach-ca-lôn sẽ không có dân cư.|亞 實 基 倫 看 見 必 懼 怕 ． 迦 薩 看 見 甚 痛 苦 ． 以 革 倫 因 失 了 盼 望 蒙 羞 ． 迦 薩 必 不 再 有 君 王 ． 亞 實 基 倫 也 不 再 有 居 民 。
Con ngoại tình sẽ làm vua trong Ach-đốt; ta sẽ trừ sự kiêu ngạo của người Phi-li-tin.|私 生 子 〔 或 作 外 族 人 〕 必 住 在 亞 實 突 ． 我 必 除 滅 非 利 士 人 的 驕 傲 。
Nhưng ta sẽ cất máu nó khỏi miệng nó, và sự gớm ghiếc nó khỏi giữa răng nó; nó cũng sẽ được sót lại cho Đức Chúa Trời chúng ta, nó sẽ như tộc trưởng trong Giu-đa, và Ec-rôn sẽ như người Giê-bu-sít.|我 必 除 去 他 口 中 帶 血 之 肉 、 和 牙 齒 內 可 憎 之 物 ． 他 必 作 為 餘 剩 的 人 、 歸 與 我 們 的 　 神 ． 必 在 猶 大 像 族 長 、 以 革 倫 人 必 如 耶 布 斯 人 。
Ta sẽ đóng trại chung quanh nhà ta nghịch cùng cơ binh, hầu cho chẳng ai qua lại. Kẻ hà hiếp sẽ chẳng đi qua trong chúng nó nữa, vì bây giờ ta đã lấy mắt nhìn xem nó.|我 必 在 我 家 的 四 圍 安 營 、 使 敵 軍 不 得 任 意 往 來 ． 暴 虐 的 人 也 不 再 經 過 ． 因 為 我 親 眼 看 顧 我 的 家 。
Hỡi con gái Si-ôn, hãy mừng rỡ cả thể! Hỡi con gái Giê-ru-sa-lem, hãy trổi tiếng reo vui! Nầy, Vua ngươi đến cùng ngươi, Ngài là công bình và ban sự cứu rỗi, nhu mì và cỡi lừa, tức là con của lừa cái.|錫 安 的 民 哪 、 應 當 大 大 喜 樂 ． 耶 路 撒 冷 的 民 哪 、 應 當 歡 呼 ． 看 哪 、 你 的 王 來 到 你 這 裡 ． 他 是 公 義 的 、 並 且 施 行 拯 救 、 謙 謙 和 和 的 騎 著 驢 、 就 是 騎 著 驢 的 駒 子 。
Ta sẽ trừ tiệt xe cộ khỏi Ep-ra-im, và ngựa khỏi Giê-ru-sa-lem; cung của chiến trận cũng sẽ bị trừ tiệt, và Ngài sẽ phán sự bình an cho các nước; quyền thế Ngài sẽ trải từ biển nầy đến biển kia, từ Sông cái cho đến các đầu cùng đất.|我 必 除 滅 以 法 蓮 的 戰 車 、 和 耶 路 撒 冷 的 戰 馬 ． 爭 戰 的 弓 也 必 除 滅 ． 他 必 向 列 國 講 和 平 ． 他 的 權 柄 必 從 這 海 管 到 那 海 、 從 大 河 管 到 地 極 。
Còn ngươi cũng vậy, vì cớ máu của sự giao ước ngươi, thì ta tha những kẻ tù ngươi ra khỏi hố không có nước.|錫 安 哪 、 我 因 與 你 立 約 的 血 、 將 你 中 間 被 擄 而 囚 的 人 、 從 無 水 的 坑 中 釋 放 出 來 。
Hỡi những kẻ tù có trông cậy, các ngươi khá trở về nơi đồn lũy, chính ngày nay ta rao rằng sẽ báo trả cho ngươi gấp hai.|你 們 被 囚 而 有 指 望 的 人 、 都 要 轉 回 保 障 ． 我 今 日 說 明 、 我 必 加 倍 賜 福 給 你 們 。
Ta giương Giu-đa ra cho ta như cái cung, và Ep-ra-im như tên của nó; ta sẽ thúc giục con trai ngươi, hỡi Si-ôn, nghịch cùng con trai ngươi, hỡi Gia-van; và ta sẽ khiến ngươi như gươm của người mạnh bạo.|我 拿 猶 大 作 上 弦 的 弓 、 我 拿 以 法 蓮 為 張 弓 的 箭 ． 錫 安 哪 、 我 要 激 發 你 的 眾 子 、 攻 擊 希 臘 〔 原 文 作 雅 完 〕 的 眾 子 、 使 你 如 勇 士 的 刀 。
Bấy giờ Đức Giê-hô-va sẽ được thấy trên chúng nó, tên Ngài sẽ phát ra như chớp; Chúa Giê-hô-va sẽ thổi kèn, và đi với gió lốc phương nam.|耶 和 華 必 顯 現 在 他 們 以 上 ． 他 的 箭 必 射 出 像 閃 電 ． 主 耶 和 華 必 吹 角 、 乘 南 方 的 旋 風 而 行 。
Đức Giê-hô-va vạn quân sẽ bảo hộ chúng nó, chúng nó sẽ nuốt và giày đạp những đá ném bởi trành; chúng nó sẽ uống và làm ồn ào như người say, sẽ được đầy dẫy như bát, như các góc bàn thờ.|萬 軍 之 耶 和 華 必 保 護 他 們 ． 他 們 必 吞 滅 仇 敵 、 踐 踏 彈 石 。 他 們 必 喝 血 吶 喊 、 猶 如 飲 酒 ． 他 們 必 像 盛 滿 血 的 碗 、 又 像 壇 的 四 角 、 滿 了 血 。
Trong ngày đó, Giê-hô-va Đức Chúa Trời chúng nó sẽ giải cứu dân mình như là bầy chiên, như những đá của mũ triều thiên sẽ được cất lên trên đất.|當 那 日 耶 和 華 他 們 的 　 神 必 看 他 的 民 、 如 群 羊 拯 救 他 們 ． 因 為 他 們 必 像 冠 冕 上 的 寶 石 、 高 舉 在 他 的 地 以 上 〔 高 舉 云 云 或 作 在 他 的 地 上 發 光 輝 〕
Sự nhơn từ Ngài và sự tốt đẹp Ngài sẽ lớn là dường nào! Lúa miến sẽ làm cho những trai trẻ lớn lên, và rượu mới sẽ làm cho gái đồng trinh thạnh vượng.|他 的 恩 慈 何 等 大 、 他 的 榮 美 何 其 盛 ． 五 穀 健 壯 少 男 、 新 酒 培 養 處 女 。

					Xê-ca-ri-a 10				|
						撒迦利亞書 10					
Hãy cầu mưa nơi Đức Giê-hô-va trong kỳ mưa cuối mùa, thì Đức Giê-hô-va sẽ làm chớp và ban mưa xuống dồi dào, cho ai nấy được rau cỏ ngoài đồng.|當 春 雨 的 時 候 、 你 們 要 向 發 閃 電 的 耶 和 華 求 雨 ． 他 必 為 眾 人 降 下 甘 霖 、 使 田 園 生 長 菜 蔬 。
Vì các thần tượng nói sự hư không, các thầy bói thấy sự dối trá; chúng nó rao chiêm bao phỉnh dối, và ban sự yên ủi luống nhưng. Vậy nên dân tan đi như những con chiên, vì không có người chăn thì bị khốn nạn.|因 為 家 神 所 言 的 是 虛 空 、 卜 士 所 見 的 是 虛 假 、 作 夢 者 所 說 的 是 假 夢 ． 他 們 白 白 的 安 慰 人 ． 所 以 眾 人 如 羊 流 離 、 因 無 牧 人 就 受 苦 。
Cơn giận ta đã hừng lên nghịch cùng những kẻ chăn, ta sẽ phạt những dê đực; vì Đức Giê-hô-va vạn quân đã thăm viếng bầy chiên Ngài, tức là nhà Giu-đa; và sẽ dàn chúng nó ra trận như ngựa danh tiếng.|我 的 怒 氣 向 牧 人 發 作 、 我 必 懲 罰 公 山 羊 ． 因 我 萬 軍 之 耶 和 華 眷 顧 自 己 的 羊 群 、 就 是 猶 大 家 、 必 使 他 們 如 駿 馬 在 陣 上 。
Đá góc sẽ ra từ nó, đinh ra từ nó, cung chiến trận ra từ nó; và hết thảy các quan cai trị cũng ra từ nó.|房 角 石 、 釘 子 、 爭 戰 的 弓 、 和 一 切 掌 權 的 、 都 從 他 而 出 。
Nhưng chúng nó sẽ như những người mạnh dạn giày đạp bùn trên đường trong cơn chiến trận; chúng nó sẽ đánh; vì Đức Giê-hô-va ở cùng chúng nó, thì những người cỡi ngựa sẽ bị xấu hổ.|他 們 必 如 勇 士 、 在 陣 上 將 仇 敵 踐 踏 在 街 上 的 泥 土 中 ． 他 們 必 爭 戰 、 因 為 耶 和 華 與 他 們 同 在 ． 騎 馬 的 也 必 羞 愧 。
Ta sẽ làm cho nhà Giu-đa nên mạnh, và cứu nhà Giô-sép. Ta sẽ đem chúng nó trở về, vì thương xót chúng nó, và chúng nó sẽ như là chưa từng bị ta chê bỏ, vì ta là Giê-hô-va Đức Chúa Trời chúng nó, ta sẽ nhậm lời chúng nó.|我 要 堅 固 猶 大 家 、 拯 救 約 瑟 家 、 要 領 他 們 歸 回 ． 我 要 憐 恤 他 們 ． 他 們 必 像 未 曾 棄 絕 的 一 樣 ． 都 因 我 是 耶 和 華 他 們 的 　 神 ． 我 必 應 允 他 們 的 禱 告 。
Người Ep-ra-im sẽ như kẻ mạnh dạn, lòng chúng nó sẽ vui vẻ như bởi rượu; con cái nó sẽ thấy và vui mừng, lòng chúng nó được vui thích trong Đức Giê-hô-va.|以 法 蓮 人 必 如 勇 士 ． 他 們 心 中 暢 快 如 同 喝 酒 ． 他 們 的 兒 女 必 看 見 而 快 活 ． 他 們 的 心 必 因 耶 和 華 喜 樂 。
Ta sẽ xuýt gọi và nhóm hiệp chúng nó, vì, ta đã chuộc chúng nó lại; chúng nó sẽ thêm nhiều ra cũng như đã thêm ngày xưa.|我 要 發 ? 聲 、 聚 集 他 們 ． 因 我 已 經 救 贖 他 們 ． 他 們 的 人 數 必 加 增 、 如 從 前 加 增 一 樣 。
Ta sẽ gieo chúng nó ra giữa các dân, chúng nó ở các nước xa sẽ nhớ lại ta; chúng nó sẽ sống với con cái mình và trở về.|我 雖 然 〔 或 作 必 〕 播 散 他 們 在 列 國 中 、 他 們 必 在 遠 方 記 念 我 ． 他 們 與 兒 女 都 必 存 活 、 且 得 歸 回 。
Như vậy ta sẽ đem chúng nó về từ đất Ê-díp-tô, nhóm chúng nó lại từ A-si-ri, đem chúng nó vào đất Ga-la-át và Li-ban, và chúng nó sẽ không có đủ chỗ ở.|我 必 再 領 他 們 出 埃 及 地 、 招 聚 他 們 出 亞 述 、 領 他 們 到 基 列 和 利 巴 嫩 ． 這 地 尚 且 不 彀 他 們 居 住 。
Nó sẽ vượt qua biển khổ, xông đánh sóng biển; hết thảy những nơi sâu của sông Ni-lơ sẽ cạn khô, sự kiêu ngạo của A-si-ri sẽ bị đánh đổ, và cây trượng của Ê-díp-tô sẽ mất đi.|耶 和 華 必 經 過 苦 海 、 擊 打 海 浪 、 使 尼 羅 河 的 深 處 都 枯 乾 ． 亞 述 的 驕 傲 、 必 至 卑 微 ． 埃 及 的 權 柄 必 然 滅 沒 。
Ta sẽ làm cho chúng nó nên mạnh trong Đức Giê-hô-va, và chúng nó sẽ qua lại trong danh Ngài, Đức Giê-hô-va phán vậy.|我 必 使 他 們 倚 靠 我 、 得 以 堅 固 ． 一 舉 一 動 必 奉 我 的 名 ． 這 是 耶 和 華 說 的 。

					Xê-ca-ri-a 11				|
						撒迦利亞書 11					
Hỡi Li-ban, khá mở các cửa ngươi, cho lửa thiêu nuốt những cây bá hương ngươi!|利 巴 嫩 哪 、 開 開 你 的 門 、 任 火 燒 滅 你 的 香 柏 樹 。
Hỡi cây thông, hãy kêu la! vì cây bá hương đã ngã, những cây tốt đẹp đã bị hủy phá. Hỡi cây dẽ ở Ba-san, khá kêu la, vì rừng rậm đã bị chặt.|松 樹 阿 、 應 當 哀 號 、 因 為 香 柏 樹 傾 倒 、 佳 美 的 樹 毀 壞 ． 巴 珊 的 橡 樹 阿 、 應 當 哀 號 、 因 為 茂 盛 的 樹 林 已 經 倒 了 。
Có tiếng than khóc của những kẻ chăn chiên! vì sự vinh hiển của chúng nó đã bị hủy phá; có tiếng gầm thét của những sư tử con! vì sự kiêu ngạo của Giô-đanh đã bị tồi tàn.|聽 阿 、 有 牧 人 哀 號 的 聲 音 、 因 他 們 榮 華 的 草 場 毀 壞 了 。 有 少 壯 獅 子 咆 哮 的 聲 音 、 因 約 但 河 旁 的 叢 林 荒 廢 了 。
Giê-hô-va Đức Chúa Trời ta phán như vầy: Hãy cho những con chiên sắp giết ăn cỏ;|耶 和 華 我 的 　 神 如 此 說 、 你 撒 迦 利 亞 要 牧 養 這 將 宰 的 群 羊 ．
những kẻ mua nó giết đi, chẳng lấy làm phạm tội; còn kẻ bán thì nói rằng: Đức Giê-hô-va đáng ngợi khen, vì ta giàu có; và trong những kẻ chăn chẳng một người nào tiếc chúng nó.|買 他 們 的 宰 了 他 們 、 以 自 己 為 無 罪 ． 賣 他 們 的 說 、 耶 和 華 是 應 當 稱 頌 的 、 因 我 成 為 富 足 。 牧 養 他 們 的 、 並 不 憐 恤 他 們 。
Đức Giê-hô-va phán: Vì ta chẳng tiếc dân cư đất nầy nữa; nhưng, nầy, ta sẽ phó ai nấy vào trong tay kẻ lân cận mình, và trong tay vua mình; chúng nó sẽ đánh đất, và ta sẽ không giải cứu khỏi tay chúng nó đâu.|耶 和 華 說 、 我 不 再 憐 恤 這 地 的 居 民 ． 必 將 這 民 交 給 各 人 的 鄰 舍 、 和 他 們 王 的 手 中 。 他 們 必 毀 滅 這 地 、 我 也 不 救 這 民 脫 離 他 們 的 手 。
Vậy ta cho những chiên sắp giết ăn cỏ, là những chiên rất khốn nạn trong bầy. Đoạn, ta lấy hai cây gậy: một cây gọi là Tốt đẹp, một cây gọi là Dây buộc; và ta cho bầy chiên ăn.|於 是 我 牧 養 這 將 宰 的 群 羊 、 就 是 群 中 最 困 苦 的 羊 。 我 拿 著 兩 根 杖 ． 一 根 我 稱 為 榮 美 、 一 根 我 稱 為 聯 索 ． 這 樣 、 我 牧 養 了 群 羊 。
