
					Hô-sê-a 1				|
Nhưng, theo cách người ta, chúng nó đã phạm lời giao ước, và ở đó chúng nó đã phỉnh dối ta.|他 們 卻 如 亞 當 背 約 、 在 境 內 向 我 行 事 詭 詐 。
Ga-la-át là thành của kẻ làm ác, đầy những dấu máu.|基 列 是 作 孽 之 人 的 城 、 被 血 沾 染 。
Như bọn trộm cướp rình người đi qua, thì bọn thầy tế lễ cũng giết người trên con đường đi về Si-chem, chúng nó phạm biết bao là tội ác!|強 盜 成 群 、 怎 樣 埋 伏 殺 人 ． 祭 司 結 黨 、 也 照 樣 在 示 劍 的 路 上 殺 戮 、 行 了 邪 惡 。
Trong nhà Y-sơ-ra-ên, ta đã thấy một việc gớm ghiếc, ở đó Ep-ra-im thì làm sự gian dâm, Y-sơ-ra-ên thì bị ô uế!|在 以 色 列 家 、 我 見 了 可 憎 的 事 、 在 以 法 蓮 那 裡 有 淫 行 、 以 色 列 被 玷 污 。
Hỡi Giu-đa, ngươi cũng vậy, có mùa gặt đã định cho ngươi, khi ta đem phu tù của dân ta trở về.|猶 大 阿 、 我 使 被 擄 之 民 歸 回 的 時 候 、 必 有 為 你 所 命 定 的 收 場 。

					Hô-sê-a 7				|
						何西阿書 7					
Khi ta muốn chữa lành cho Y-sơ-ra-ên, thì tội lỗi của Ep-ra-im và sự gian ác của Sa-ma-ri bày tỏ; vì chúng nó đã làm sự giả dối; kẻ trộm vào trong và bọn cướp đánh giựt ở ngoài.|我 想 醫 治 以 色 列 的 時 候 、 以 法 蓮 的 罪 孽 、 和 撒 瑪 利 亞 的 罪 惡 、 就 顯 露 出 來 ． 他 們 行 事 虛 謊 、 內 有 賊 人 入 室 偷 竊 、 外 有 強 盜 成 群 騷 擾 。
Chúng nó không nghĩ trong lòng rằng ta nhớ mọi sự gian ác của chúng nó. Bây giờ tội phạm chúng nó ràng rịt lấy mình; chúng nó ở trước mặt ta.|他 們 心 裡 並 不 思 想 我 記 念 他 們 的 一 切 惡 、 他 們 所 行 的 現 在 纏 繞 他 們 、 都 在 我 面 前 。
Chúng nó lấy sự gian ác mình làm vui lòng vua, lấy sự dối trá mình làm đẹp lòng các quan trưởng.|他 們 行 惡 使 君 王 歡 喜 、 說 謊 使 首 領 喜 樂 。
Hết thảy chúng nó đều tà dâm, giống như lò của người nướng bánh đốt lửa, thôi chụm lửa từ khi nhồi bột cho đến chừng bột dậy men.|他 們 都 是 行 淫 的 、 像 火 爐 被 烤 餅 的 燒 熱 、 從 摶 麵 到 發 麵 的 時 候 、 暫 不 使 火 著 旺 。
Đến ngày vua chúng ta, các quan trưởng vì sự nóng của rượu mà đau ốm: vua cũng bắt tay những kẻ hay nhạo báng.|在 我 們 王 宴 樂 的 日 子 、 首 領 因 酒 的 烈 性 成 病 ． 王 與 褻 慢 人 拉 手 。
Chúng nó rình rập, lòng cháy như là lửa mà kẻ nướng bánh đã ngủ cả đêm; đến sáng sớm thì lò chánh như lửa phun ra những ngọn.|首 領 埋 伏 的 時 候 、 心 中 熱 如 火 爐 、 就 如 烤 餅 的 整 夜 睡 臥 、 到 了 早 晨 火 氣 炎 炎 。
Chúng nó thảy đều nóng hừng như lò lửa, nuốt các quan xét mình. Hết thảy các vua chúng nó đều bị úp đổ, và trong đám họ chẳng ai kêu với ta.|眾 民 也 熱 如 火 爐 、 燒 滅 他 們 的 官 長 ． 他 們 的 君 王 都 仆 倒 而 死 ． 他 們 中 間 無 一 人 求 告 我 。
Ep-ra-im xen lộn với các dân khác; Ep-ra-im khác nào bánh chưa quay.|以 法 蓮 與 列 邦 人 攙 雜 ． 以 法 蓮 是 沒 有 翻 過 的 餅 。
Các dân ngoại đã nuốt sức mạnh nó, mà nó không biết! Tọc đầu nó bạc lém đém, mà nó chẳng ngờ!|外 邦 人 吞 喫 他 勞 力 得 來 的 、 他 卻 不 知 道 、 頭 髮 斑 白 、 他 也 不 覺 得 。
Sự kiêu ngạo của Y-sơ-ra-ên làm chứng trước mặt nó; chúng nó dầu gặp sự đó cũng không trở lại cùng Giê-hô-va Đức Chúa Trời mình, và cũng chẳng tìm kiếm Ngài!|以 色 列 的 驕 傲 當 面 見 證 自 己 、 雖 遭 遇 這 一 切 、 他 們 仍 不 歸 向 耶 和 華 他 們 的 　 神 、 也 不 尋 求 他 。
Ep-ra-im như bò câu ngây dại, không có trí khôn: vì chúng nó kêu Ê-díp-tô, đi đến cùng A-si-ri.|以 法 蓮 好 像 鴿 子 愚 蠢 無 知 、 他 們 求 告 埃 及 、 投 奔 亞 述 。
Đang khi chúng nó đi đó, ta sẽ giăng lưới trên chúng nó, ta sẽ làm cho chúng nó ngã xuống như những chim trời; ta sẽ sửa phạt chúng nó y như giữa hội chúng nó đã nghe.|他 們 去 的 時 候 、 我 必 將 我 的 網 撒 在 他 們 身 上 、 我 要 打 下 他 們 、 如 同 空 中 的 鳥 、 我 必 按 他 們 會 眾 所 聽 見 的 、 懲 罰 他 們 。
Khốn cho chúng nó! vì chúng nó lìa xa ta; nguyền sự hư nát đổ trên chúng nó! vì chúng nó đã phạm tội nghịch cùng ta: dầu ta muốn cứu chuộc chúng nó, nhưng chúng nó nói những điều dối trá nghịch cùng ta.|他 們 因 離 棄 我 、 必 定 有 禍 、 因 違 背 我 、 必 被 毀 滅 ． 我 雖 要 救 贖 他 們 、 他 們 卻 向 我 說 謊 。
Chúng nó chẳng lấy lòng kêu cầu ta, song chúng nó kêu van trên giường mình; chúng nó thâu mùa lúa mì và rượu mới của mình, và bạn nghịch cùng ta.|他 們 並 不 誠 心 哀 求 我 、 乃 在 床 上 呼 號 ． 他 們 為 求 五 榖 新 酒 聚 集 、 仍 然 悖 逆 我 。
chính ta đã dạy chúng nó, đã làm cho mạnh cánh tay chúng nó, dầu vậy, chúng nó cũng toan sự dữ nghịch cùng ta.|我 雖 教 導 他 們 、 堅 固 他 們 的 膀 臂 、 他 們 竟 圖 謀 抗 拒 我 。
Chúng nó xây lại, song không hướng về Đấng Rất Cao. Chúng nó giống như cung giở trái. Quan trưởng chúng nó sẽ ngã bởi gươm, vì lưỡi chúng nó nổi giận. Kìa, chúng nó sẽ làm trò cười trong đất Ê-díp-tô.|他 們 歸 向 、 卻 不 歸 向 至 上 者 ． 他 們 如 同 翻 背 的 弓 ． 他 們 的 首 領 必 因 舌 頭 的 狂 傲 倒 在 刀 下 ． 這 在 埃 及 地 必 作 人 的 譏 笑 。

					Hô-sê-a 8				|
						何西阿書 8					
Miệng ngươi khá thổi kèn! Nó như chim ưng đến nghịch cùng nhà Đức Giê-hô-va, vì chúng nó đã trái lời giao ước ta, va đã phạm luật pháp ta.|你 用 口 吹 角 罷 ． 敵 人 如 鷹 來 攻 打 耶 和 華 的 家 、 因 為 這 民 違 背 我 的 約 、 干 犯 我 的 律 法 。
Chúng nó sẽ kêu đến ta rằng: Hỡi Đức Chúa Trời tôi, chúng tôi là Y-sơ-ra-ên, nhận biết Ngài!|他 們 必 呼 叫 我 說 、 我 的 　 神 阿 、 我 們 以 色 列 認 識 你 了 。
Y-sơ-ra-ên đã bỏ điều lành, kẻ nghịch sẽ đuổi theo nó.|以 色 列 丟 棄 良 善 、 〔 或 作 福 分 〕 仇 敵 必 追 逼 他 。
Chúng nó đã lập vua mà không bởi ta, lập quan trọng mà ta không biết. Chúng nó lấy bạc vàng của mình làm thần tượng cho mình, để chúng nó bị dứt đi.|他 們 立 君 王 、 卻 不 由 我 、 他 們 立 首 領 、 我 卻 不 認 ． 他 們 用 金 銀 為 自 己 製 造 偶 像 、 以 致 被 剪 除 。
Hỡi Sa-ma-ri, bò con của ngươi đã bị bỏ rồi! Cơn giận của ta đã phừng lên nghịch cùng chúng nó. Chúng nó chẳng được khỏi tội cho đến khi nào?|撒 瑪 利 亞 阿 、 耶 和 華 已 經 丟 棄 你 的 牛 犢 ． 我 的 怒 氣 向 拜 牛 犢 的 人 發 作 ． 他 們 到 幾 時 方 能 無 罪 呢 。
Vì bò con đó thật là việc của Y-sơ-ra-ên làm ra; một người thợ đã chế ra, nó không phải là Đức Chúa Trời. Thật, bò con của Sa-ma-ri sẽ bị bể nát.|這 牛 犢 出 於 以 色 列 、 是 匠 人 所 造 的 、 並 不 是 神 ． 撒 瑪 利 亞 的 牛 犢 、 必 被 打 碎 。
Vì chúng nó đã gieo gió và sẽ gặt bão lốc. Chúng nó không có lúa đứng; cây lúa sẽ không sanh ra bột; mà dầu có sanh ra nữa, thì dân ngoại sẽ nuốt lấy.|他 們 所 種 的 是 風 、 所 收 的 是 暴 風 、 ． 所 種 的 不 成 禾 稼 、 就 是 發 苗 也 不 結 實 、 即 便 結 實 、 外 邦 人 必 吞 喫 。
Y-sơ-ra-ên đã bị nuốt. Bây giờ chúng nó ở giữa các dân, như khí mạnh chẳng ai ưa thích.|以 色 列 被 吞 喫 ． 現 今 在 列 國 中 、 好 像 人 不 喜 悅 的 器 皿 。
Vì chúng nó đã lên A-si-ri, như con lừa rừng đi một mình; Ep-ra-im đã hối lộ cho những kẻ yêu nó.|他 們 投 奔 亞 述 、 如 同 獨 行 的 野 驢 ． 以 法 蓮 賄 買 朋 黨 。
Dầu chúng nó hối lộ giữa các nước, nay ta sẽ nhóm họp chúng nó; chúng nó bắt đầu giảm bớt đi, vì cớ sự gánh nặng bởi vua của các quan trưởng.|他 們 雖 在 列 邦 中 賄 買 人 、 現 在 我 卻 要 聚 集 懲 罰 他 們 ． 他 們 因 君 王 和 首 領 所 加 的 重 擔 、 日 漸 衰 微 。
Vì Ep-ra-im đã thêm nhiều bàn thờ đặng phạm tội, thì những bàn thờ nó đã khiến nó sa vào tội lỗi.|以 法 蓮 增 添 祭 壇 取 罪 、 因 此 、 祭 壇 使 他 犯 罪 。
Ta đã chép lệ luật ta cho nó một vạn điều, nhưng nó coi những chẳng can gì đến mình.|我 為 他 寫 了 律 法 萬 條 、 他 卻 以 為 與 他 毫 無 關 涉 。
Còn như của lễ dâng cho ta, thì chúng nó dâng thịt và ăn; nhưng Đức Giê-hô-va chẳng nhận chúng nó đâu. Bây giờ Ngài nhớ lại sự gian ác chúng nó, và sẽ thăm phạt tội lỗi chúng nó; chúng nó sẽ trở về trong Ê-díp-tô!|至 於 獻 給 我 的 祭 物 、 他 們 自 食 其 肉 、 耶 和 華 卻 不 悅 納 他 們 ． 現 在 必 記 念 他 們 的 罪 孽 、 追 討 他 們 的 罪 惡 、 他 們 必 歸 回 埃 及 。
Y-sơ-ra-ên đã quên Đấng tạo mình, và dựng những cung đền; Giu-đa đã thêm nhiều các thành bền vững. Nhưng ta sẽ sai lửa trên các thành nó, và lửa ấy sẽ thiêu cháy cung đền nó.|以 色 列 忘 記 造 他 的 主 、 建 造 宮 殿 ． 猶 大 多 造 堅 固 城 、 我 卻 要 降 火 焚 燒 他 的 城 邑 、 燒 滅 其 中 的 宮 殿 。

					Hô-sê-a 9				|
						何西阿書 9					
Hỡi Y-sơ-ra-ên, chớ vui mừng; chớ nức lòng mừng rỡ như các dân; vì ngươi đã phạm tội tà dâm và cách xa Đức Chúa Trời ngươi. ngươi đã ưa thích tiền công mình trên mọi sân đạp lúa|以 色 列 阿 、 不 要 像 外 邦 人 歡 喜 快 樂 、 因 為 你 行 邪 淫 離 棄 你 的 　 神 、 在 各 榖 場 上 如 妓 女 喜 愛 賞 賜 。
Hoặc sân đạp lúa, hoặc hầm ép rượu, cũng được chẳng nuôi chúng nó; rượu mới sẽ thiếu thốn cho nó.|榖 場 和 酒 醡 、 都 不 彀 以 色 列 人 使 用 、 新 酒 也 必 缺 乏 。
Chúng nó sẽ không ở trong đất của Đức Giê-hô-va nữa; nhưng Ep-ra-im sẽ trở về Ê-díp-tô, và sẽ ăn đồ ăn ô uế trong A-si-ri.|他 們 必 不 得 住 耶 和 華 的 地 、 以 法 蓮 卻 要 歸 回 埃 及 、 必 在 亞 述 喫 不 潔 淨 的 食 物 。
Chúng nó sẽ không làm lễ quán bằng rượu cho Đức Giê-hô-va nữa, và các của lễ chúng nó cũng sẽ chẳng đẹp lòng Ngài; song sẽ như bánh kẻ có tang: hễ ai ăn đến thì bị ô uế; vì bánh chúng nó sẽ đỡ đói cho chúng nó, chẳng được vào nhà Đức Giê-hô-va.|他 們 必 不 得 向 耶 和 華 奠 酒 、 即 便 奠 酒 、 也 不 蒙 悅 納 ． 他 們 的 祭 物 、 必 如 居 喪 者 的 食 物 、 凡 喫 的 必 被 玷 污 、 因 他 們 的 食 物 、 只 為 自 己 的 口 腹 、 必 不 奉 入 耶 和 華 的 殿 。
Các ngươi sẽ làm gì trong ngày lễ trọng thể, trong ngày lễ của Đức Giê-hô-va?|在 大 會 的 日 子 、 到 耶 和 華 的 節 期 、 你 們 怎 樣 行 呢 。
Thật, nầy, chúng nó đã đi trốn khỏi tai họa. Ê-díp-tô sẽ liệm chúng nó, Mem-phi sẽ chôn chúng nó. Những đồ bằng bạc rất quí của chúng nó sẽ trở nên mồi của chà-chuôm; gai gốc sẽ loán nơi nhà tạm chúng nó.|看 哪 、 他 們 逃 避 災 難 、 埃 及 人 必 收 殮 他 們 的 屍 首 、 摩 弗 人 必 葬 埋 他 們 的 骸 骨 ． 他 們 用 銀 子 作 的 美 物 上 必 長 蒺 藜 ． 他 們 的 帳 棚 中 必 生 荊 棘 。
Những ngày thăm phạt đã đến rồi! Những ngày báo trả đã tới rồi! Y-sơ-ra-ên sẽ biết. Kẻ tiên tri là dư dật, người được cảm động bởi thần linh là điên cuồng, vì sự gian ác dư dật của ngươi, và sự hờn ghét lớn lắm.|以 色 列 人 必 知 道 降 罰 的 日 子 臨 近 、 報 應 的 時 候 來 到 ． （ 民 說 、 作 先 知 的 是 愚 昧 、 受 靈 感 的 是 狂 妄 ． ） 皆 因 他 們 多 多 作 孽 、 大 懷 怨 恨 。
Ep-ra-im là kẻ rình nghịch cùng Đức Chúa Trời ta; còn kẻ tiên tri là lưới bắt chim trên mọi đường lối mình, nó là sự ghen ghét trong nhà Đức Chúa Trời mình.|以 法 蓮 曾 作 我 　 神 守 望 的 、 至 於 先 知 、 在 他 一 切 的 道 上 作 為 捕 鳥 人 的 網 羅 、 在 他 　 神 的 家 中 懷 怨 恨 。
Chúng nó bại hoại rất sâu như đương những ngày Ghi-bê -a. Đức Chúa Trời sẽ nhớ lại sự gian ác chúng nó, sẽ thăm phạt tội lỗi chúng nó.|以 法 蓮 深 深 地 敗 壞 、 如 在 基 比 亞 的 日 子 一 樣 ． 耶 和 華 必 記 念 他 們 的 罪 孽 、 追 討 他 們 的 罪 惡 。
Ta đã gặp Y-sơ-ra-ên, như gặp trái nho trong đồng vắng; ta đã thấy tổ phụ các ngươi như trái chín đầu trên cây vả tơ. Nhưng chúng nó đã vào nơi Ba-anh-Phê-rô; dâng mình cho vật xấu hổ, và cũng trở nên gớm ghiếc như vật chúng nó đã yêu.|主 說 、 我 遇 見 以 色 列 如 葡 萄 在 曠 野 、 我 看 見 你 們 的 列 祖 如 無 花 果 樹 上 春 季 初 熟 的 果 子 ． 他 們 卻 來 到 巴 力 毘 珥 專 拜 那 可 羞 恥 的 、 就 成 為 可 憎 惡 的 、 與 他 們 所 愛 的 一 樣 。
Sự vinh hiển của Ep-ra-im sẽ bay đi như chim: sẽ không đẻ, không thai, không nghén nữa!|至 於 以 法 蓮 人 、 他 們 的 榮 耀 必 如 鳥 飛 去 、 必 不 生 產 、 不 懷 胎 、 不 成 孕 。
Vì dầu chúng nó được nuôi con cái, ta cũng cất lấy đi, đến nỗi không một người nam nào còn lại. Thật, khi ta lìa bỏ chúng nó, thì kinh niên thay cho chúng nó!|縱 然 養 大 兒 女 、 我 卻 必 使 他 們 喪 子 、 甚 至 不 留 一 個 ． 我 離 棄 他 們 、 他 們 就 有 禍 了 。
Ep-ra-im được trồng trong nơi xinh tốt, như ta đã xem thấy Ty-rơ; dầu vậy, Ep-ra-im sẽ dắt các con cái nó đến kẻ giết lát!|我 看 以 法 蓮 如 推 羅 栽 於 美 地 ． 以 法 蓮 卻 要 將 自 己 的 兒 女 帶 出 來 、 交 與 行 殺 戮 的 人 。
Hỡi Đức Giê-hô-va, xin hãy ban cho chúng nó. Ngài sẽ cho chúng nó cái gì? Hãy cho chúng nó cái dạ sút sảo vào vú khô khan!|耶 和 華 阿 、 求 你 加 給 他 們 加 甚 麼 呢 、 要 使 他 們 胎 墜 乳 乾 。
Cả sự hung ác chúng nó đều ở Ghinh-ganh; ấy tại đó mà ta ghét chúng nó. Vì cớ những việc ác chúng nó, ta sẽ đuổi chúng nó khỏi nhà ta; ta sẽ chẳng thương yêu chúng nó nữa. Hết thảy quan trưởng chúng nó là kẻ bạn nghịch.|耶 和 華 說 、 他 們 一 切 的 惡 事 都 在 吉 甲 、 我 在 那 裡 憎 惡 他 們 、 因 他 們 所 行 的 惡 、 我 必 從 我 地 上 趕 出 他 們 去 、 不 再 憐 愛 他 們 ． 他 們 的 首 領 都 是 悖 逆 的 。
Ep-ra-im bị đánh; rễ nó đã khô. Chúng nó sẽ không ra trái nữa; dầu đẻ ra, ta cũng sẽ giết trái thương yêu của bụng chúng nó.|以 法 蓮 受 責 罰 、 根 本 枯 乾 、 必 不 能 結 果 、 即 或 生 產 、 我 必 殺 他 們 所 生 的 愛 子 。
Đức Chúa Trời ta sẽ bỏ chúng nó, vì chúng nó không nghe Ngài; và chúng nó sẽ đi dông dài trong các nước.|我 的 　 神 必 棄 絕 他 們 、 因 為 他 們 不 聽 從 他 ． 他 們 也 必 飄 流 在 列 國 中 。

					Hô-sê-a 10				|
						何西阿書 10					
Y-sơ-ra-ên là một cây nho tươi tốt, sanh ra trái nó. Trái nó càng sai tríu chừng nào, nó càng thêm nhiều bàn thờ ra chừng nấy; đất nó càng tốt bao nhiêu, những trụ tượng nó lập lên càng đẹp bấy nhiêu.|以 色 列 是 茂 盛 的 葡 萄 樹 、 結 果 繁 多 、 果 子 越 多 、 就 越 增 添 祭 壇 ． 地 土 越 肥 美 、 就 越 造 美 麗 的 柱 像 。
Lòng chúng nó phân hai; bây giờ chúng nó sẽ bị định tội. Đức Chúa Trời sẽ đánh bàn thờ chúng nó; sẽ phá trụ tượng chúng nó.|他 們 心 懷 二 意 、 現 今 要 定 為 有 罪 ． 耶 和 華 必 拆 毀 他 們 的 祭 壇 、 毀 壞 他 們 的 柱 像 。
Chắc bây giờ chúng nó sẽ nói rằng: Chúng ta không có vua, vì chúng ta không kính sợ Đức Giê-hô-va; và vua, vua có thể làm gì cho chúng ta?|他 們 必 說 、 我 們 沒 有 王 、 因 為 我 們 不 敬 畏 耶 和 華 。 王 能 為 我 們 作 甚 麼 呢 。
Chúng nó nói những lời hư không và thề dối khi lập giao ước; cho nên sự đoán phạt sẽ nứt mầm, nhạy như có độc mọc lên trong luống cày nơi ruộng.|他 們 為 立 約 說 謊 言 、 起 假 誓 、 因 此 、 災 罰 如 苦 菜 滋 生 在 田 間 的 犁 溝 中 。
Dân cư Sa-ma-ri sẽ kinh hãi vì những bò con của Bết -A-ven; dân sự sẽ vì nó than khóc, các thầy tế lễ nó vốn ưa thích nó cũng vậy, vì sự vinh hiển nó đã biến mất khỏi nó.|撒 瑪 利 亞 的 居 民 必 因 伯 亞 文 的 牛 犢 驚 恐 、 崇 拜 牛 犢 的 民 、 和 喜 愛 牛 犢 的 祭 司 、 都 必 因 榮 耀 離 開 他 、 為 他 悲 哀 。
Nó cũng được bị dời qua A-si-ri lảm lễ vật dâng cho vua Gia-rép. Bấy giờ Ep-ra-im sẽ mang xấu hổ, Y-sơ-ra-ên sẽ hổ thẹn về mưu kế mình.|人 必 將 牛 犢 帶 到 亞 述 、 當 作 禮 物 、 獻 給 耶 雷 布 王 ． 以 法 蓮 必 蒙 羞 、 以 色 列 必 因 自 己 的 計 謀 慚 愧 。
Về phần Sa-ma-ri, vua nó bị trừ đi giống như bọt trên mặt nước.|至 於 撒 瑪 利 亞 、 他 的 王 必 滅 沒 、 如 水 面 的 沫 子 一 樣 。
Các nơi cao của A-ven, tức là tội lỗi của Y-sơ-ra-ên, sẽ bị phá hủy; gai gốc và chà chuôm sẽ mọc trên các bàn thờ chúng nó. Bấy giờ người ta sẽ nói cùng các núi rằng: Hãy bao bọc lấy chúng ta! và nói với các đồi rằng: Hãy đổ xuống trên chúng ta!|伯 亞 文 的 邱 壇 、 就 是 以 色 列 取 罪 的 地 方 、 必 被 毀 滅 、 荊 棘 和 蒺 藜 必 長 在 他 們 的 祭 壇 上 、 他 們 必 對 大 山 說 、 遮 蓋 我 們 。 對 小 山 說 、 倒 在 我 們 身 上 。
Hỡi Y-sơ-ra-ên, từ ngày Ghi-bê -a, ngươi đã phạm tội rồi! Chúng nó đều đứng đó; sự tranh chiến nghịch cùng con cái sự gian ác chẳng theo kịp chúng nó trong Ghi-bê -a.|以 色 列 阿 、 你 從 基 比 亞 的 日 子 以 來 、 時 常 犯 罪 ． 你 們 的 先 人 曾 站 在 那 裡 、 現 今 住 基 比 亞 的 人 以 為 攻 擊 罪 孽 之 輩 的 戰 事 臨 不 到 自 己 。
Ta sẽ sửa phạt chúng nó khi ta muốn, và các dân sẽ nhóm lại nghịch cùng chúng nó, khi chúng nó bị buộc vào hai tội mình.|我 必 隨 意 懲 罰 他 們 ． 他 們 為 兩 樣 的 罪 所 纏 、 列 邦 的 民 必 聚 集 攻 擊 他 們 。
Ep-ra-im như bò cái tơ khéo dạy, ưa thích đạp lúa; nhưng ta đã qua trên cổ béo tốt nó. Ta sẽ đặt người cỡi trên Ep-ra-im; Giu-đa sẽ cày, và Gia-cốp sẽ đập vỡ cục đất.|以 法 蓮 是 馴 良 的 母 牛 犢 、 喜 愛 踹 榖 、 我 卻 將 軛 加 在 牠 肥 美 的 頸 項 上 、 我 要 使 以 法 蓮 拉 套 、 〔 或 作 被 騎 〕 猶 大 必 耕 田 、 雅 各 必 耙 地 。
Hãy gieo cho mình trong sự công bình, hãy gặt theo sự nhơn từ; hãy vỡ đất mới! Vì là kỳ tìm kiếm Đức Giê-hô-va, cho đến chừng nào Ngài đến và sa mưa công bình trên các ngươi.|你 們 要 為 自 己 栽 種 公 義 、 就 能 收 割 慈 愛 、 現 今 正 是 尋 求 耶 和 華 的 時 候 、 你 們 要 開 墾 荒 地 、 等 他 臨 到 、 使 公 義 如 雨 降 在 你 們 身 上 。
Các ngươi đã cày sự gian ác, gặt sự gian ác, ăn trái của sự nói dối; vì ngươi đã nhờ cậy trong đường lối ngươi, trong muôn vàn người mạnh bạo của ngươi.|你 們 耕 種 的 是 奸 惡 、 收 割 的 是 罪 孽 、 喫 的 是 謊 話 的 果 子 ． 因 你 倚 靠 自 己 的 行 為 、 仰 賴 勇 士 眾 多 、
Vậy nên sự rối loạn sẽ sanh ra trong dân ngươi: người ta sẽ hủy phá mọi đồn lũy của ngươi, như San-man đã hủy phá Bết-At-bên, trong ngày có trận đánh mà mẹ bị nghiền nát với các con cái.|所 以 在 這 民 中 必 有 鬨 嚷 之 聲 、 你 一 切 的 保 障 必 被 拆 毀 、 就 如 沙 勒 幔 在 爭 戰 的 日 子 拆 毀 伯 亞 比 勒 、 將 其 中 的 母 子 、 一 同 摔 死 。
Bê-tên cũng sẽ làm cho các ngươi như vậy, vì sự gian ác lớn lắm của các ngươi. Vua Y-sơ-ra-ên sẽ bị diệt cả trong khi hừng sáng.|因 他 們 的 大 惡 、 伯 特 利 必 使 你 們 遭 遇 如 此 ． 到 了 黎 明 、 以 色 列 的 王 必 全 然 滅 絕 。

					Hô-sê-a 11				|
						何西阿書 11					
Khi Y-sơ-ra-ên còn thơ ấy, ta yêu dấu nó; ta gọi con trai ta ra khỏi Ê-díp-tô.|以 色 列 年 幼 的 時 候 我 愛 他 、 就 從 埃 及 召 出 我 的 兒 子 來 。
Các tiên tri càng gọi nó chừng nào, nó càng trốn tránh chừng nấy. Chúng nó đã dâng của lễ cho các tượng Ba-anh, và đốt hương cho tượng chạm.|先 知 越 發 招 呼 他 們 、 他 們 越 發 走 開 、 向 諸 巴 力 獻 祭 、 給 雕 刻 的 偶 像 燒 香 。
Dầu vậy, ta đã dạy Ep-ra-im bước đi, lấy cánh tay mà nâng đỡ nó. Song chúng nó chẳng hiểu biết rằng ta đã chữa lành cho.|我 原 教 導 以 法 蓮 行 走 、 用 膀 臂 抱 著 他 們 、 他 們 卻 不 知 道 是 我 醫 治 他 們 。
Ta đã dùng dây nhơn tình, dùng xích yêu thương kéo chúng nó đến. Ta đã như những kẻ cởi ách khỏi hàm chúng nó, và để đồ ăn trước mặt chúng nó.|我 用 慈 繩 〔 慈 原 文 是 人 的 〕 愛 索 牽 引 他 們 、 我 待 他 們 如 人 放 鬆 牛 的 兩 恉 夾 板 、 把 糧 食 放 在 他 們 面 前 。
Chúng nó sẽ không trở về trong đất Ê-díp-tô nữa, nhưng người A-si-ri sẽ làm vua chúng nó, vì chúng nó chẳng khứng trở lại với ta.|他 們 必 不 歸 回 埃 及 地 、 亞 述 人 卻 要 作 他 們 的 王 、 因 他 們 不 肯 歸 向 我 。
Gươm sẽ rơi trên các thành chúng nó, hủy phá then cửa chúng nó, nuốt hết chúng nó, vì cớ mưu chước chúng nó.|刀 劍 必 臨 到 他 們 的 城 邑 、 毀 壞 門 閂 、 把 人 吞 滅 、 都 因 他 們 隨 從 自 己 的 計 謀 。
Thật, dân ta quyết ý trái bỏ ta. Người ta khuyên chúng nó đến cùng Đấng cao; song trong chúng nó chẳng một người nào dấy lên.|我 的 民 偏 要 背 道 離 開 我 、 眾 先 知 雖 然 招 呼 他 們 歸 向 至 上 的 主 、 卻 無 人 尊 崇 主 。
Hỡi Ep-ra-im, thể nào ta bỏ được ngươi? Hỡi Y-sơ-ra-ên, thể nào ta lìa được ngươi? Thể nào ta sẽ đãi ngươi được như At-ma, hay là làm cho ngươi như Sê-bô-im? Lòng ta rung động trong ta; lòng thương xót của ta cả đều nóng nảy.|以 法 蓮 哪 、 我 怎 能 捨 棄 你 、 以 色 列 阿 、 我 怎 能 棄 絕 你 、 我 怎 能 使 你 如 押 瑪 、 怎 能 使 你 如 洗 扁 、 我 回 心 轉 意 、 我 的 憐 愛 大 大 發 動 。
Ta cầm sự nóng giận lại, và sẽ chẳng lại hủy diệt Ep-ra-im. Vì ta là Đức Chúa Trời, không phải là người; ta là Đấng Thánh ở giữa ngươi, chẳng lấy cơn giận đến cùng ngươi.|我 必 不 發 猛 烈 的 怒 氣 、 也 不 再 毀 滅 以 法 蓮 、 因 我 是 　 神 、 並 非 世 人 、 是 你 們 中 間 的 聖 者 、 我 必 不 在 怒 中 臨 到 你 們 。
Chúng nó sẽ theo sau Đức Giê-hô-va, Ngài gầm thét như sư tử; Ngài sẽ gầm thét, các con cái sẽ từ phương tây run rẩy mà đến.|耶 和 華 必 如 獅 子 吼 叫 、 子 民 必 跟 隨 他 、 他 一 吼 叫 、 他 們 就 從 西 方 急 速 而 來 。
Chúng nó sẽ run rẩy mà đến từ Ê-díp-tô như chim bay, và từ đất A-si-ri như bò câu; và ta sẽ khiến chúng nó ở trong các nhà chúng nó, Đức Giê-hô-va phán vậy.|他 們 必 如 雀 鳥 從 埃 及 急 速 而 來 、 又 如 鴿 子 從 亞 述 地 來 到 ． 我 必 使 他 們 住 自 己 的 房 屋 、 這 是 耶 和 華 說 的 。
Ep-ra-im lấy sự nói dối bao bọc ta, còn nhà Y-sơ-ra-ên thì lấy sự lừa phỉnh; Giu-đa cai trị với Đức Chúa Trời, và có lòng trung tín với Đấng Thánh.|以 法 蓮 用 謊 話 、 以 色 列 家 用 詭 計 圍 繞 我 、 猶 大 卻 靠 　 神 掌 權 、 向 聖 者 有 忠 心 。 〔 或 作 猶 大 向 　 神 向 誠 實 的 聖 者 猶 疑 不 定 〕

					Hô-sê-a 12				|
						何西阿書 12					
