
					Ê-xê-ki-ên 1				|
Bấy giờ, các chê-ru-bin sè cánh lên, và có các bánh xe ở bên nó; sự vinh hiển của Đức Chúa Trời Y-sơ-ra-ên cũng ở trên chúng nó.|於 是 ? ? ? 展 開 翅 膀 、 輪 子 都 在 他 們 旁 邊 ． 在 他 們 以 上 、 有 以 色 列 　 神 的 榮 耀 。
Sự vinh hiển của Đức Giê-hô-va dấy lên từ giữa thành, và đứng trên núi phía đông thành.|耶 和 華 的 榮 耀 從 城 中 上 升 、 停 在 城 東 的 那 座 山 上 。
Thần cất ta lên, và trong sự hiện thấy ta bị Thần của Đức Chúa Trời đem đi trong Canh-đê, đến nơi những kẻ phu tù; sự hiện thấy đã hiện ra cho ta bèn lên khỏi ta.|靈 將 我 舉 起 、 在 異 象 中 藉 著 　 神 的 靈 、 將 我 帶 進 迦 勒 底 地 、 到 被 擄 的 人 那 裡 ． 我 所 見 的 異 象 就 離 我 上 升 去 了 。
Bấy giờ ta thuật lại cho những kẻ phu tù mọi sự mà Đức Giê-hô-va đã tỏ cho ta biết.|我 便 將 耶 和 華 所 指 示 我 的 一 切 事 、 都 說 給 被 擄 的 人 聽 。

					Ê-xê-ki-ên 12				|
						以西結書 12					
Có lời Đức Giê-hô-va lại phán cùng ta rằng:|耶 和 華 的 話 又 臨 到 我 說 、
Hỡi con người, ngươi ở giữa nhà bạn nghịch, chúng nó có mắt để thấy mà không thấy, có tai để nghe mà không nghe; vì ấy là nhà bạn nghịch.|人 子 阿 、 你 住 在 悖 逆 的 家 中 、 他 們 有 眼 睛 看 不 見 、 有 耳 朵 聽 不 見 、 因 為 他 們 是 悖 逆 之 家 。
Vậy, hỡi con người, ngươi khá sửa soạn đồ vật dời đi, và dời đi giữa ban ngày cho chúng nó xem. Trước mắt chúng nó hãy từ nơi ngươi ở mà dời đi chỗ khác; chúng nó dầu là nhà bạn nghịch có lẽ sẽ nghĩ lại chăng.|所 以 人 子 阿 、 你 要 豫 備 擄 去 使 用 的 物 件 、 在 白 日 當 他 們 眼 前 從 你 所 住 的 地 方 移 到 別 處 去 ． 他 們 雖 是 悖 逆 之 家 、 或 者 可 以 揣 摩 思 想 。
Ngươi khá đem đồ vật mình như đồ vật của kẻ dời đi, giữa ban ngày, trước mắt chúng nó; chính mình ngươi đi về buổi chiều, trước mắt chúng nó, như kẻ đi đày.|你 要 在 白 日 當 他 們 眼 前 帶 出 你 的 物 件 去 、 好 像 豫 備 擄 去 使 用 的 物 件 ． 到 了 晚 上 、 你 要 在 他 們 眼 前 親 自 出 去 、 像 被 擄 的 人 出 去 一 樣 。
Cũng ở trước mắt chúng nó, ngươi khá xoi một cái lỗ qua tường, rồi từ lỗ đó đem đồ vật ra.|你 要 在 他 們 眼 前 挖 通 了 牆 、 從 其 中 將 物 件 帶 出 去 。
Trước mắt chúng nó, ngươi để đồ vật lên vai, và đem đi lúc trời tối. Ngươi khá che mặt, đặng không thấy đất nầy; vì ta đã đặt ngươi làm một dấu cho nhà Y-sơ-ra-ên.|到 天 黑 時 、 你 要 當 他 們 眼 前 搭 在 肩 頭 上 帶 出 去 、 並 要 蒙 住 臉 看 不 見 地 、 因 為 我 立 你 作 以 色 列 家 的 豫 兆 。
Ta làm theo lời Chúa đã phán dặn: mang đồ vật đi giữa ban ngày như đồ vật kẻ dời đi, đến chiều ta lấy chính tay mình mà xoi tường. Ta đem đồ vật đi trong lúc tối, và vác trên vai ta trước mắt chúng nó.|我 就 照 著 所 吩 咐 的 去 行 、 白 日 帶 出 我 的 物 件 、 好 像 豫 備 擄 去 使 用 的 物 件 ． 到 了 晚 上 、 我 用 手 挖 通 了 牆 ． 天 黑 的 時 候 、 就 當 他 們 眼 前 搭 在 肩 頭 上 帶 出 去 。
Sớm mai có lời Đức Giê-hô-va phán cùng ta rằng:|次 日 早 晨 、 耶 和 華 的 話 臨 到 我 說 、
Hỡi con người, nhà Y-sơ-ra-ên, là nhà bạn nghịch ấy, há chẳng từng hỏi ngươi rằng: Ngươi làm gì?|人 子 阿 、 以 色 列 家 、 就 是 那 悖 逆 之 家 、 豈 不 是 問 你 說 、 你 作 什 麼 呢 。
Hãy trả lời cho chúng rằng: Chúa Giê-hô-va phán như vầy: Gánh nặng nầy chỉ về vua trong Giê-ru-sa-lem, cùng cả nhà Y-sơ-ra-ên ở trong đó.|你 要 對 他 們 說 、 主 耶 和 華 如 此 說 、 這 是 關 乎 耶 路 撒 冷 的 君 王 、 和 他 周 圍 以 色 列 全 家 的 豫 表 。 〔 原 文 作 擔 子 〕
Ngươi khá nói rằng: Ta là điềm cho các ngươi. Chúng nó sẽ gặp điều như ta đã làm; sẽ đi đày, sẽ đi làm phu tù.|你 要 說 、 我 作 你 們 的 豫 兆 、 我 怎 樣 行 、 他 們 所 遭 遇 的 也 必 怎 樣 、 他 們 必 被 擄 去 。
Vua giữa chúng nó sẽ vác trên vai mình mà đi ra trong lúc tối. Chúng nó sẽ đục lỗ qua tường để mang đồ ra; người sẽ che mặt, vì mắt người sẽ không thấy đất nầy.|他 們 中 間 的 君 王 、 也 必 在 天 黑 的 時 候 將 物 件 搭 在 肩 頭 上 帶 出 去 ． 他 們 要 挖 通 了 牆 、 從 其 中 帶 出 去 ． 他 必 蒙 住 臉 、 眼 看 不 見 地 。
Ta cũng sẽ giăng lưới ta trên người, người sẽ mắc vào bẫy ta; và ta sẽ đem người qua Ba-by-lôn, là đất của người Canh-đê. Nhưng người sẽ thấy đất ấy, dầu chết tại đó.|我 必 將 我 的 網 撒 在 他 身 上 、 他 必 在 我 的 網 羅 中 纏 住 、 我 必 帶 他 到 迦 勒 底 人 之 地 的 巴 比 倫 、 他 雖 死 在 那 裡 、 卻 看 不 見 那 地 。
Những kẻ ở xung quanh người để giúp người, và các đạo binh người, thì ta sẽ làm cho tan ra mọi gió, và ta sẽ tuốt gươm mà đuổi theo.|周 圍 一 切 幫 助 他 的 、 和 他 所 有 的 軍 隊 、 我 必 分 散 四 方 、 〔 方 原 文 作 風 〕 也 要 拔 刀 追 趕 他 們 。
Khi ta làm tan tác chúng nó trong các dân tộc và rải ra trong các nước, chúng nó sẽ biết ta là Đức Giê-hô-va.|我 將 他 們 四 散 在 列 國 、 分 散 在 列 邦 的 時 候 、 他 們 就 知 道 我 是 耶 和 華 。
Dầu vậy, ta sẽ chừa lại một số ít trong chúng nó thoát khỏi gươm dao, đói kém, ôn dịch; đặng chúng nó có thể thuật lại mọi sự gớm ghiếc của mình trong các dân mà chúng nó sẽ đến ở; và chúng nó sẽ biết rằng ta là Đức Giê-hô-va.|我 卻 要 留 下 他 們 幾 個 人 得 免 刀 劍 、 飢 荒 、 瘟 疫 、 使 他 們 在 所 到 的 各 國 中 、 述 說 他 們 一 切 可 憎 的 事 ． 人 就 知 道 我 是 耶 和 華 。
Đoạn, có lời Đức Giê-hô-va phán cho ta như vầy:|耶 和 華 的 話 又 臨 到 我 說 、
Hỡi con người, ngươi khá ăn bánh trong sự kinh khủng, uống nước với sự run rẩy và sợ hãi.|人 子 阿 、 你 喫 飯 必 膽 戰 、 喝 水 必 惶 惶 憂 慮 。
Ngươi khá nói cùng dân trong đất rằng: Nầy là điều mà Chúa Giê-hô-va phán về dân cư Giê-ru-sa-lem, về đất của Y-sơ-ra-ên: Chúng nó sẽ ăn bánh trong sự sợ hãi, và uống nước trong sự kinh khủng, đặng đất nầy bị hoang vu, mất hết của cải, bởi cớ sự cường bạo của cả dân cư đó.|你 要 對 這 地 的 百 姓 說 、 主 耶 和 華 論 耶 路 撒 冷 、 和 以 色 列 地 的 居 民 、 如 此 說 、 他 們 喫 飯 必 憂 慮 、 喝 水 必 驚 惶 ． 因 其 中 居 住 的 眾 人 所 行 強 暴 的 事 、 這 地 必 然 荒 廢 、 一 無 所 存 。
Các thành đông dân sẽ trở nên gò đống, đất sẽ bị hoang vu; và các ngươi sẽ biết rằng ta là Đức Giê-hô-va.|有 居 民 的 城 邑 必 變 為 荒 場 、 地 也 必 變 為 荒 廢 ． 你 們 就 知 道 我 是 耶 和 華 。
Lại có lời Đức Giê-hô-va phán cho ta rằng:|耶 和 華 的 話 臨 到 我 說 、
Hỡi con người, các ngươi có một lời tục ngữ trong đất của Y-sơ-ra-ên, rằng: Những ngày kéo dài, mọi sự hiện thấy chẳng ứng nghiệm! lời ấy nghĩa là gì?|人 子 阿 、 在 你 們 以 色 列 地 、 怎 麼 有 這 俗 語 說 、 日 子 遲 延 、 一 切 異 象 都 落 了 空 呢 。
Ay vậy, hãy nói cùng chúng nó rằng: Chúa Giê-hô-va phán như vầy: Ta sẽ làm cho lời tục ngữ ấy dứt đi, không ai dùng nó làm tục ngữ nữa trong Y-sơ-ra-ên. Song khá nói cùng chúng nó rằng: Những ngày gần đến, mọi sự hiện thấy hầu ứng nghiệm.|你 要 告 訴 他 們 說 、 主 耶 和 華 如 此 說 、 我 必 使 這 俗 語 止 息 、 以 色 列 中 不 再 用 這 俗 語 、 你 卻 要 對 他 們 說 、 日 子 臨 近 、 一 切 的 異 象 必 都 應 驗 。
Thật, sẽ chẳng còn có một sự hiện thấy nào là giả dối, hoặc một sự bói khoa nào là a dua trong nhà Y-sơ-ra-ên.|從 此 、 在 以 色 列 家 中 必 不 再 有 虛 假 的 異 象 、 和 奉 承 的 占 卜 ．
Vì ta là Đức Giê-hô-va, ta sẽ nói, và lời ta nói sẽ làm thành, không hoãn lại nữa. Hỡi nhà bạn nghịch! Ay là đương ngày các ngươi mà ta sẽ rao lời tiên tri và sẽ làm thành, Chúa Giê-hô-va phán vậy.|我 耶 和 華 說 話 、 所 說 的 必 定 成 就 、 不 再 耽 延 ． 你 們 這 悖 逆 之 家 、 我 所 說 的 話 、 必 趁 你 們 在 世 的 日 子 成 就 ． 這 是 主 耶 和 華 說 的 。
Lại có lời Đức Giê-hô-va phán cho ta như vầy:|耶 和 華 的 話 又 臨 到 我 說 、
Hỡi con người, nầy, nhà Y-sơ-ra-ên có kẻ nói rằng: Sự hiện thấy của người nầy thấy là chỉ về lâu ngày về sau, và người nói tiên tri về thời còn xa.|人 子 阿 、 以 色 列 家 的 人 說 、 他 所 見 的 異 象 、 是 關 乎 後 來 許 多 的 日 子 、 所 說 的 豫 言 、 是 指 著 極 遠 的 時 候 。
Vậy nên, hãy nói cùng chúng nó: Chúa Giê-hô-va phán như vầy: Chẳng có lời nào của ta sẽ hoãn lại nữa, song lời ta nói sẽ làm thành, Chúa Giê-hô-va phán vậy.|所 以 你 要 對 他 們 說 、 主 耶 和 華 如 此 說 、 我 的 話 沒 有 一 句 再 耽 延 的 、 我 所 說 的 必 定 成 就 ． 這 是 主 耶 和 華 說 的 。

					Ê-xê-ki-ên 13				|
						以西結書 13					
Có lời Đức Giê-hô-va phán cho ta như vầy:|耶 和 華 的 話 臨 到 我 說 、
Hỡi con người, hãy nói tiên tri nghịch cùng các tiên tri của Y-sơ-ra-ên, là những kẻ đương nói tiên tri, và hãy bảo cho những kẻ nói tiên tri bởi lòng riêng mình rằng: Hãy nghe lời của Đức Giê-hô-va.|人 子 阿 、 你 要 說 豫 言 攻 擊 以 色 列 中 說 豫 言 的 先 知 、 對 那 些 本 己 心 發 豫 言 的 說 、 你 們 當 聽 耶 和 華 的 話 。
Chúa Giê-hô-va phán như vầy: Khốn cho những tiên tri dại dột, theo thần riêng minh, mà chưa từng thấy gì cả.|主 耶 和 華 如 此 說 、 愚 頑 的 先 知 有 禍 了 、 他 們 隨 從 自 己 的 心 意 、 卻 一 無 所 見 。
Hỡi Y-sơ-ra-ên, các tiên tri ngươi cũng như những con cáo trong chốn hoang vu!|以 色 列 阿 、 你 的 先 知 好 像 荒 場 中 的 狐 狸 ．
Các ngươi chưa lên nơi phá tan, và không xây tường cho nhà Y-sơ-ra-ên, đặng đứng vững trong cơn chiến trận nơi ngày Đức Giê-hô-va.|沒 有 上 去 堵 擋 破 口 、 也 沒 有 為 以 色 列 家 重 修 牆 垣 、 使 他 們 當 耶 和 華 的 日 子 、 在 陣 上 站 立 得 住 。
Chúng nó đã thấy sự phỉnh phờ, và sự bói khoa giả dối. Chúng nó nói rằng: Đức Giê-hô-va phán, , và chúng nó khiến người ta mong cho lời mình được ứng nghiệm.|這 些 人 所 見 的 是 虛 假 、 是 謊 詐 的 占 卜 、 他 們 說 、 是 耶 和 華 說 的 、 其 實 耶 和 華 並 沒 有 差 遣 他 們 、 他 們 倒 使 人 指 望 那 話 必 然 立 定 。
Khi ta chưa từng phán, mà các ngươi nói rằng: Đức Giê-hô-va có phán, vậy các ngươi há chẳng thấy sự hiện thấy phỉnh phờ và nói sự bói khoa giả dối, hay sao?|你 們 豈 不 是 見 了 虛 假 的 異 象 麼 ． 豈 不 是 說 了 謊 詐 的 占 卜 麼 ． 你 們 說 、 這 是 耶 和 華 說 的 、 其 實 我 沒 有 說 。
Vậy nên, Chúa Giê-hô-va có phán như vầy: Vì các ngươi nói những lời giả dối, thấy những sự phỉnh phờ, nầy, ta nghịch cùng các ngươi, Chúa Giê-hô-va phán vậy.|所 以 主 耶 和 華 如 此 說 、 因 你 們 說 的 是 虛 假 、 見 的 是 謊 詐 、 我 就 與 你 們 反 對 ． 這 是 主 耶 和 華 說 的 。
Tay ta sẽ nghịch cùng những tiên tri thấy sự hiện thấy phỉnh phờ, bói những sự giả dối. Chúng nó sẽ không dự vào hội bàn dân ta nữa, không được ghi vào sổ nhà Y-sơ-ra-ên nữa, và không vào trong đất của Y-sơ-ra-ên; các ngươi sẽ biết ta là Chúa Giê-hô-va.|我 的 手 必 攻 擊 那 見 虛 假 異 象 、 用 謊 詐 占 卜 的 先 知 、 他 們 必 不 列 在 我 百 姓 的 會 中 、 不 錄 在 以 色 列 家 的 冊 上 、 也 不 進 入 以 色 列 地 ． 你 們 就 知 道 我 是 主 耶 和 華 。
Thật vậy, bởi chúng nó lừa dối dân ta mà rằng: Bình an; mà chẳng có bình an chi hết. Khi có ai xây tường, nầy, chúng nó trét vôi chưa sùi bọt lên!|因 為 他 們 誘 惑 我 的 百 姓 、 說 、 平 安 、 其 實 沒 有 平 安 、 就 像 有 人 立 起 牆 壁 、 他 們 倒 用 未 泡 透 的 灰 抹 上 。
Hãy nói cùng những kẻ trét vôi chưa sùi bọt rằng tường ấy sẽ xiêu đổ. Mưa to sẽ xảy đến. Hỡi mưa đá lớn, bay sẽ sa xuống; và gió bão sẽ xé rách nó.|所 以 你 要 對 那 些 抹 上 未 泡 透 灰 的 人 說 、 牆 要 倒 塌 、 必 有 暴 雨 漫 過 ． 大 冰 雹 阿 、 你 們 要 降 下 、 狂 風 也 要 吹 裂 這 牆 。
Nầy, khi tường sụp xuống, người ta há chẳng nói cùng các ngươi rằng: Chớ nào vội mà các ngươi đã trét trên tường ở đâu?|這 牆 倒 塌 之 後 、 人 豈 不 問 你 們 說 、 你 們 抹 上 未 泡 透 的 灰 在 那 裡 呢 。
Vậy nên, Chúa Giê-hô-va phán như vầy: Ta sẽ nhơn giận khiến gió bão xé rách nó; ta sẽ nhơn cơn thạnh nộ sai mưa dầm đến, và nhơn sự tức giận sai mưa đá lớn phá diệt nó.|所 以 主 耶 和 華 如 此 說 、 我 要 發 怒 、 使 狂 風 吹 裂 這 牆 、 在 怒 中 使 暴 雨 漫 過 、 又 發 怒 降 下 大 冰 雹 、 毀 滅 這 牆 。
Cũng vậy, ta sẽ dỡ cái tường mà các ngươi đã trét vôi chưa sùi bọt, xô nó suốt đất, đến nỗi chơn nền bày ra. Tường sẽ đổ, các ngươi sẽ bị diệt giữa nó, và biết rằng ta là Đức Giê-hô-va.|我 要 這 樣 拆 毀 你 們 那 未 泡 透 灰 所 抹 的 牆 、 拆 平 到 地 、 以 致 根 基 露 出 、 牆 必 倒 塌 、 你 們 也 必 在 其 中 滅 亡 ． 你 們 就 知 道 我 是 耶 和 華 。
Ta sẽ làm trọn cơn giận nghịch cùng tường và kẻ trét vôi chưa sùi bọt như vầy: và ta sẽ nói cùng các ngươi rằng: Tường chẳng còn nữa, kẻ trét vôi cũng vậy;|我 要 這 樣 向 牆 、 和 用 未 泡 透 灰 抹 牆 的 人 成 就 我 怒 中 所 定 的 、 並 要 對 你 們 說 、 牆 和 抹 牆 的 人 都 沒 有 了 。
tức là các tiên tri của Y-sơ-ra-ên nói tiên tri về Giê-ru-sa-lem, xem sự hiện thấy bình an cho thành ấy, mà không có bình an, Chúa Giê-hô-va phán vậy.|這 抹 牆 的 就 是 以 色 列 的 先 知 、 他 們 指 著 耶 路 撒 冷 說 豫 言 、 為 這 城 見 了 平 安 的 異 象 、 其 實 沒 有 平 安 ． 這 是 主 耶 和 華 說 的 。
Hỡi con người, ngươi khá xây mặt nghịch cùng các con gái của dân ngươi, là những kẻ nói tiên tri bởi lòng riêng mình; và ngươi khá nói tiên tri nghịch cùng chúng nó.|人 子 阿 、 你 要 面 向 本 民 中 、 從 己 心 發 豫 言 的 女 子 說 豫 言 、 攻 擊 他 們 、
Bảo chúng nó rằng: Chúa Giê-hô-va phán như vầy: Khốn cho những đờn bà vì mọi cùi tay may gối, và y theo tầm thước mà làm khăn cho đầu, để săn linh hồn. Ua, kìa! các ngươi muốn săn linh hồn dân ta, và giữ linh hồn nó để làm lợi cho mình hay sao?|說 、 主 耶 和 華 如 此 說 、 這 些 婦 女 有 禍 了 ． 他 們 為 眾 人 的 膀 臂 縫 靠 枕 、 給 高 矮 之 人 作 下 垂 的 頭 巾 、 為 要 獵 取 人 的 性 命 ． 難 道 你 們 要 獵 取 我 百 姓 的 性 命 、 為 利 己 將 人 救 活 麼 。
Các ngươi vì mấy nhắm mạch nha, mấy miếng bánh mà làm nhục ta giữa dân ta, các ngươi nói dối dân ta, là kẻ nghe lời dối trá các ngươi, để mà giết những kẻ không đáng chết, cho sống những kẻ không đáng sống.|你 們 為 兩 把 大 麥 、 為 幾 塊 餅 、 在 我 民 中 褻 瀆 我 、 對 肯 聽 謊 言 的 民 說 謊 、 殺 死 不 該 死 的 人 、 救 活 不 該 活 的 人 。
Vậy nên, Chúa Giê-hô-va phán như vầy: Nầy, ta ghét những cái gối của các ngươi, vì bởi đó các ngươi săn linh hồn như đánh bẫy chim; ta sẽ xé ra khỏi cánh tay các ngươi, và thả linh hồn mà các ngươi đã săn, như chim bay đi.|所 以 主 耶 和 華 如 此 說 、 看 哪 、 我 與 你 們 的 靠 枕 反 對 、 就 是 你 們 用 以 獵 取 人 、 使 人 的 性 命 如 鳥 飛 的 ． 我 要 將 靠 枕 從 你 們 的 膀 臂 上 扯 去 、 釋 放 你 們 獵 取 如 鳥 飛 的 人 。
Ta cũng sẽ xé khăn các ngươi, cứu dân ta ra khỏi tay các ngươi, chúng nó sẽ không ở trong tay các ngươi để bị săn nữa; bấy giờ các ngươi sẽ biết ta là Đức Giê-hô-va.|我 也 必 撕 裂 你 們 下 垂 的 頭 巾 、 救 我 百 姓 脫 離 你 們 的 手 、 不 再 被 獵 取 、 落 在 你 們 手 中 ． 你 們 就 知 道 我 是 耶 和 華 。
Vì các ngươi lấy sự dối trá làm buồn lòng kẻ công bình mà ta chưa từng làm cho lo phiền, và các ngươi làm mạnh tay kẻ dữ đặng nó không xây bỏ đường xấu mình để được sống,|我 不 使 義 人 傷 心 、 你 們 卻 以 謊 話 使 他 傷 心 、 又 堅 固 惡 人 的 手 、 使 他 不 回 頭 離 開 惡 道 得 以 救 活 ．
vì cớ đó, các ngươi sẽ không thấy sự hiện thấy thỉnh phờ, và không bói khoa nữa. Ta sẽ cứu dân ta thoát khỏi tay các ngươi, và các ngươi sẽ biết ta là Đức Giê-hô-va.|你 們 就 不 再 見 虛 假 的 異 象 、 也 不 再 行 占 卜 的 事 、 我 必 救 我 的 百 姓 脫 離 你 們 的 手 ． 你 們 就 知 道 我 是 耶 和 華 。

					Ê-xê-ki-ên 14				|
						以西結書 14					
Một vài trưởng lão kia của Y-sơ-ra-ên đến cùng ta, ngồi trước mặt ta.|有 幾 個 以 色 列 長 老 到 我 這 裡 來 、 坐 在 我 面 前 。
Bấy giờ có lời Đức Giê-hô-va phán cho ta như vầy:|耶 和 華 的 話 就 臨 到 我 說 、
Hỡi con người, những kẻ nầy mang thần tượng mình vào trong lòng, và đặt rồi mặt mình sự gian ác mình làm cho vấp phạm; vậy ta há để cho chúng nó cầu hỏi ta một chút nào sao?|人 子 阿 、 這 些 人 已 將 他 們 的 假 神 接 到 心 裡 、 把 陷 於 罪 的 絆 腳 石 放 在 面 前 、 我 豈 能 絲 毫 被 他 們 求 問 麼 。
Cho nên, hãy nói cùng chúng nó mà bảo rằng: Chúa Giê-hô-va phán như vầy: Hễ người nào trong nhà Y-sơ-ra-ên mang thần tượng mình vào lòng, và đặt trước mặt mình sự gian ác mình làm cho vấp phạm, nầy người ấy đến cùng kẻ tiên tri, thì ta, Đức Giê-hô-va, chính ta sẽ trả lời cho nó y như thần tượng đông nhiều của nó,|所 以 你 要 告 訴 他 們 、 主 耶 和 華 如 此 說 、 以 色 列 家 的 人 中 、 凡 將 他 的 假 神 接 到 心 裡 、 把 陷 於 罪 的 絆 腳 石 放 在 面 前 、 又 就 了 先 知 來 的 、 我 耶 和 華 在 他 所 求 的 事 上 、 必 按 他 眾 多 的 假 神 回 答 他 、 〔 或 作 必 按 他 拜 許 多 假 神 的 罪 報 應 他 〕
hầu cho ta bắt được nhà Y-sơ-ra-ên trong chính lòng nó, vì chúng nó nhơn thần tượng mình mà xa lạ ta.|好 在 以 色 列 家 的 心 事 上 捉 住 他 們 、 因 為 他 們 都 藉 著 假 神 與 我 生 疏 。
Vậy nên, hãy nói cùng nhà Y-sơ-ra-ên rằng: Chúa Giê-hô-va phán như vầy: Hãy trở lại, xây bỏ thần tượng các ngươi, xây mặt khỏi mọi sự gớm ghiếc của các ngươi.|所 以 你 要 告 訴 以 色 列 家 說 、 主 耶 和 華 如 此 說 、 回 頭 罷 、 離 開 你 們 的 偶 像 、 轉 臉 莫 從 你 們 一 切 可 憎 的 事 ．
Thật vậy, hết thảy những người nhà Y-sơ-ra-ên, hết thảy khách lạ trú ngụ trong Y-sơ-ra-ên, hệ ai lìa xa ta, mà mang thần tượng mình vào lòng, và đặt trước mặt mình sự gian ác mình làm cho vấp phạm, đến cùng kẻ tiên tri để vì chính mình cầu hỏi ta, thì chính ta, Đức Giê-hô-va, sẽ trả lời cho nó.|因 為 以 色 列 家 的 人 、 或 在 以 色 列 中 寄 居 的 外 人 、 凡 與 我 隔 絕 、 將 他 的 假 神 接 到 心 裡 、 把 陷 於 罪 的 絆 腳 石 放 在 面 前 、 又 就 了 先 知 來 要 為 自 己 的 事 求 問 我 的 、 我 耶 和 華 必 親 自 回 答 他 ．
Ta sẽ sấp mặt lại nghịch cùng người ấy, khiến nó nên gở lạ, dấu, và tục ngữ, và dứt nó khỏi giữa dân ta. Bấy giờ các ngươi sẽ biết ta là Đức Giê-hô-va.|我 必 向 那 人 變 臉 、 使 他 作 了 警 戒 、 笑 談 、 令 人 驚 駭 、 並 且 我 要 將 他 從 我 民 中 剪 除 ． 你 們 就 知 道 我 是 耶 和 華 。
Nếu kẻ tiên tri bị dỗ mà nói lời nào, ấy chính ta, Đức Giê-hô-va, đã để tiên tri đó bị dỗ, và ta sẽ giá tay trên nó, diệt nó khỏi giữa dân Y-sơ-ra-ên của ta.|先 知 若 被 迷 惑 說 一 句 豫 言 、 是 我 耶 和 華 任 那 先 知 受 迷 惑 、 我 也 必 向 他 伸 手 、 將 他 從 我 民 以 色 列 中 除 滅 。
Cả hai sẽ đều chịu tội mình: tội của kẻ tiên tri sẽ giống như tội của kẻ cầu hỏi,|他 們 必 擔 當 自 己 的 罪 孽 、 先 知 的 罪 孽 、 和 求 問 之 人 的 罪 孽 、 都 是 一 樣 ．
để cho nhà Y-sơ-ra-ên chẳng còn lầm lạc xa ta nữa, và chẳng làm ô uế mình nữa bởi mọi sự phạm phép của nó; nhưng đặng chúng nó được làm dân ta, và ta làm Đức Chúa Trời chúng nó, Chúa Giê-hô-va phán vậy.|好 使 以 色 列 家 不 再 走 迷 離 開 我 、 不 再 因 各 樣 的 罪 過 玷 污 自 己 、 只 要 作 我 的 子 民 、 我 作 他 們 的 　 神 ． 這 是 主 耶 和 華 說 的 。
Đoạn, có lời Đức Giê-hô-va phán cùng ta rằng:|耶 和 華 的 話 臨 到 我 說 、
Hỡi con người, nếu đất nào làm sự trái phép mà phạm tội nghịch cùng ta, và nếu ta giá tay trên nó, bẻ gậy bánh của nó, giáng cho sự đói kém, và diệt hết người và vật trong nó,|人 子 阿 、 若 有 一 國 犯 罪 干 犯 我 、 我 也 向 他 伸 手 折 斷 他 們 的 杖 、 就 是 斷 絕 他 們 的 糧 、 使 飢 荒 臨 到 那 地 、 將 人 與 牲 畜 從 其 中 剪 除 。
thì dẫu trong đất đó có ba người nầy, là Nô-ê, Đa-ni-ên, và Gióp, cũng chỉ cứu được linh hồn mình bởi sự công bình mình, Chúa Giê-hô-va phán vậy.|其 中 雖 有 挪 亞 、 但 以 理 、 約 伯 這 三 人 、 他 們 只 能 因 他 們 的 義 救 自 己 的 性 命 ． 這 是 主 耶 和 華 說 的 。
Nếu ta khiến các thú dữ trải qua trong đất, làm cho hủy hoại, trở nên hoang vu, đến nỗi chẳng ai đi qua nữa vì cớ các thú ấy,|我 若 使 惡 獸 經 過 糟 踐 那 地 、 使 地 荒 涼 、 以 致 因 這 些 獸 、 人 都 不 得 經 過 ．
thì dẫu trong đất có ba người đó, Chúa Giê-hô-va phán, thật như ta hằng sống, họ cũng chẳng cứu được con trai con gái; chỉ một mình họ được cứu, nhưng đất sẽ hoang vu.|雖 有 這 三 人 在 其 中 、 主 耶 和 華 說 、 我 指 著 我 的 永 生 起 誓 、 他 們 連 兒 帶 女 都 不 能 得 救 、 只 能 自 己 得 救 、 那 地 仍 然 荒 涼 。
Hay là, nếu ta sai gươm dao đến trên đất đó, mà rằng: Gươm dao hãy trải qua đất, đến nỗi ta diệt người và vật nó,|或 者 我 使 刀 劍 臨 到 那 地 、 說 、 刀 劍 哪 、 要 經 過 那 地 、 以 致 我 將 人 與 牲 畜 從 其 中 剪 除 ．
thì dẫu trong đất có ba người đó, Chúa Giê-hô-va phán, thật như ta hằng sống, họ cũng chẳng cứu được con trai con gái, nhưng chỉ một mình họ được cứu.|雖 有 這 三 人 在 其 中 、 主 耶 和 華 說 、 我 指 著 我 的 永 生 起 誓 、 他 們 連 兒 帶 女 都 不 能 得 救 、 只 能 自 己 得 救 。
Hay là, nếu ta sai ôn dịch đến trong đất đó, nếu ta đổ cơn giận mà làm chảy máu nó đặng diệt hết người và vật khỏi nó,|或 者 我 叫 瘟 疫 流 行 那 地 、 使 我 滅 命 〔 原 文 作 帶 血 〕 的 忿 怒 傾 在 其 上 、 好 將 人 與 牲 畜 從 其 中 剪 除 ．
thì dẫu có Nô-ê, Đa-ni-ên và Gióp ở đó, Chúa Giê-hô-va phán, thật như ta hằng sống, họ cũng chẳng cứu được nào con trai nào con gái, chỉ một mình họ cứu được linh hồn mình bởi sự công bình mình thôi.|雖 有 挪 亞 、 但 以 理 、 約 伯 在 其 中 、 主 耶 和 華 說 、 我 指 著 我 的 永 生 起 誓 、 他 們 連 兒 帶 女 都 不 能 救 、 只 能 因 他 們 的 義 救 自 己 的 性 命 。
Vậy, Chúa Giê-hô-va phán như vầy: Ta lấy bốn sự đoán phạt nặng nề, tức là gươm dao, đói kém, thú dự, và ôn dịch mà giáng cho Giê-ru-sa-lem, đặng hủy diệt khỏi nó người và thú vật, sự đó quá hơn là dường nào!|主 耶 和 華 如 此 說 、 我 將 這 四 樣 大 災 、 就 是 刀 劍 、 飢 荒 、 惡 獸 、 瘟 疫 、 降 在 耶 路 撒 冷 、 將 人 與 牲 畜 從 其 中 剪 除 、 豈 不 更 重 麼 。
