
					Giê-rê-mi-a 1				|
Vậy ta sẽ làm cho các ngươi tan lạc như rơm rác bị gió nơi đồng vắng đùa đi.|所 以 我 必 用 曠 野 的 風 、 吹 散 他 們 、 像 吹 過 的 碎 秸 一 樣 。
Đức Giê-hô-va phán: Đó là phần ngươi, phần ta lường cho ngươi, vì ngươi đã quên ta và trông cậy sự giả dối.|耶 和 華 說 、 這 是 你 所 當 得 的 、 是 我 量 給 你 的 分 ． 因 為 你 忘 記 我 、 倚 靠 虛 假 。 〔 或 作 偶 像 〕
Ta cũng sẽ tốc vạt áo ngươi lên trên mặt ngươi, thì sự xấu hổ ngươi sẽ bày tỏ.|所 以 我 要 揭 起 你 的 衣 襟 、 蒙 在 你 臉 上 、 顯 出 你 的 醜 陋 。
Những sự gớm ghiếc, tức là sự dâm dục, và tiếng hí ngươi, tội ác tà dâm ngươi trên các gò đồng ruộng, thì ta đã thấy hết. Hỡi Giê-ru-sa-lem, khiến thay cho ngươi! Ngươi chẳng khứng làm sạch mình cho đến chừng nào?|你 那 些 可 憎 惡 之 事 、 就 是 在 田 野 的 山 上 行 姦 淫 、 發 嘶 聲 、 做 淫 亂 的 事 、 我 都 看 見 了 。 耶 路 撒 冷 阿 、 你 有 禍 了 ． 你 不 肯 潔 淨 、 還 要 到 幾 時 呢 。

					Giê-rê-mi-a 14				|
						耶利米書 14					
Có lời Đức Giê-hô-va phán cùng Giê-rê-mi về sự hạn hán.|耶 和 華 論 到 乾 旱 之 災 的 話 、 臨 到 耶 利 米 。
Giu-đa đương sầu thảm, cửa thành suy bại, chúng nó đều mặc áo đen ngồi trên đất; và tiếng kêu của Giê-ru-sa-lem vang lên.|猶 大 悲 哀 、 城 門 衰 敗 、 眾 人 披 上 黑 衣 坐 在 地 上 ． 耶 路 撒 冷 的 哀 聲 上 達 。
Những người sang sai kẻ hèn đi tìm nước; đi đến hồ và tìm không được, xách bình không mà trở về; thẹn thuồng xấu hổ, và che đầu lại.|他 們 的 貴 冑 打 發 家 僮 打 水 ． 他 們 來 到 水 池 、 見 沒 有 水 、 就 拿 著 空 器 皿 、 蒙 羞 慚 愧 、 抱 頭 而 回 。
Vì cớ đất đều nẻ hết, bởi không có mưa xuống trong xứ, người cầm cày xấu hổ và trùm đầu lại.|耕 地 的 也 蒙 羞 抱 頭 ． 因 為 無 雨 降 在 地 上 、 地 都 乾 裂 。
Nai cái đẻ con ra trong đồng và bỏ đi, vì không có cỏ.|田 野 的 母 鹿 、 生 下 小 鹿 、 就 撇 棄 、 因 為 無 草 。
Những lừa rừng đứng trên các gò trọi, hít hơi như chó đồng, vì không cỏ nên mắt lòa.|野 驢 站 在 淨 光 的 高 處 、 喘 氣 好 像 野 狗 ． 因 為 無 草 、 眼 目 失 明 。
Hỡi Đức Giê-hô-va, dầu tội ác chúng tôi làm chứng nghịch cùng chúng tôi, xin Ngài vì danh mình mà làm! Sự bội nghịch của chúng tôi nhiều lắm; chúng tôi đã phạm tội nghịch cùng Ngài.|耶 和 華 阿 、 我 們 的 罪 孽 、 雖 然 作 見 證 告 我 們 、 還 求 你 為 你 名 的 緣 故 行 事 ． 我 們 本 是 多 次 背 道 、 得 罪 了 你 。
Ngài là sự trông cậy của Y-sơ-ra-ên, là Đấng cứu trong khi hoạn nạn, sao Ngài như một người trú ngụ ở trong đất, như người bộ hành căng trại ngủ đậu một đêm?|以 色 列 所 盼 望 在 患 難 時 作 他 救 主 的 阿 、 你 為 何 在 這 地 像 寄 居 的 、 又 像 行 路 的 只 住 一 宵 呢 。
Sao Ngài như người thất kinh, như người mạnh dạn chẳng có thể giải cứu? Hỡi Đức Giê-hô-va! dầu vậy, Ngài vẫn ở giữa chúng tôi! Chúng tôi được xưng bằng danh Ngài, xin đừng lìa bỏ chúng tôi!|你 為 何 像 受 驚 的 人 、 像 不 能 救 人 的 勇 士 呢 ． 耶 和 華 阿 、 你 仍 在 我 們 中 間 、 我 們 也 稱 為 你 名 下 的 人 ． 求 你 不 要 離 開 我 們 。
Đức Giê-hô-va phán với dân nầy như vầy: Chúng nó ưa đi dông dài, chẳng ngăn cấm chơn mình, nên Đức Giê-hô-va chẳng nhận lấy chúng nó. Bây giờ Ngài nhớ đến sự hung ác chúng nó và thăm phạt tội lỗi.|耶 和 華 對 這 百 姓 如 此 說 、 這 百 姓 喜 愛 妄 行 、 〔 原 文 作 飄 流 〕 不 禁 止 腳 步 ． 所 以 耶 和 華 不 悅 納 他 們 ． 現 今 要 記 念 他 們 的 罪 孽 、 追 討 他 們 的 罪 惡 。
Đức Giê-hô-va lại phán cùng tôi rằng: Chớ cầu sự lành cho dân nầy.|耶 和 華 又 對 我 說 、 不 要 為 這 百 姓 祈 禱 求 好 處 。
Khi chúng nó kiêng ăn, ta sẽ chẳng nghe lời khấn nguyện của chúng nó; khi chúng nó dâng của lễ thiêu và của lễ chay, ta chẳng nhậm đâu; nhưng ta sẽ diệt chúng nó bởi gươm dao, đói kém, và ôn dịch.|他 們 禁 食 的 時 候 、 我 不 聽 他 們 的 呼 求 ． 他 們 獻 燔 祭 和 素 祭 、 我 也 不 悅 納 ． 我 卻 要 用 刀 劍 、 飢 荒 、 瘟 疫 、 滅 絕 他 們 。
Tôi bèn thưa rằng: Oi! hỡi Chúa Giê-hô-va, nầy các tiên tri bảo họ rằng: Các ngươi sẽ không thấy gươm dao, sẽ chẳng có đói kém; nhưng ta sẽ ban sự bình an bần lâu cho các ngươi ở trong miền nầy.|我 就 說 、 唉 、 主 耶 和 華 阿 、 那 些 先 知 常 對 他 們 說 、 你 們 必 不 看 見 刀 劍 、 也 不 遭 遇 飢 荒 ． 耶 和 華 要 在 這 地 方 賜 你 們 長 久 的 平 安 。
Đức Giê-hô-va lại phán cùng tôi rằng: Ay là những lời nói dối, mà các tiên tri đó nhơn danh ta truyền ra. Ta chẳng từng sai họ đi, chẳng từng truyền lịnh và chẳng từng phán cùng họ. Họ nói tiên tri đó là theo những sự hiện thấy giả dối, sự bói khoa, sự hư không, và sự lừa gạt bởi lòng riêng mình!|耶 和 華 對 我 說 、 那 些 先 知 託 我 的 名 說 假 豫 言 ． 我 並 沒 有 打 發 他 們 、 沒 有 吩 咐 他 們 、 也 沒 有 對 他 們 說 話 ． 他 們 向 你 們 豫 言 的 、 乃 是 虛 假 的 異 象 、 和 占 卜 、 並 虛 無 的 事 、 以 及 本 心 的 詭 詐 。
Vậy nên, Đức Giê-hô-va phán về những kẻ tiên tri chẳng bởi ta sai đến, mà nói tiên tri nhơn danh ta, rằng: Trong đất nầy sẽ chẳng có gươm dao và đói kém! Chính các tiên tri đó sẽ bị diệt bởi gươm dao và đói kém.|所 以 耶 和 華 如 此 說 、 論 到 託 我 名 說 豫 言 的 那 些 先 知 、 我 並 沒 有 打 發 他 們 、 他 們 還 說 這 地 不 能 有 刀 劍 飢 荒 ． 其 實 那 些 先 知 必 被 刀 劍 飢 荒 滅 絕 。
Những kẻ mà họ truyền lời tiên tri ấy cho, sẽ cùng vợ, con trai, con gái mình vì gươm dao đói kém bị ném ngoài đường phố Giê-ru-sa-lem, chẳng có ai chôn cất, vì ta sẽ khiến điều ác chúng nó đã làm lại đổ về mình!|聽 他 們 說 豫 言 的 百 姓 、 必 因 飢 荒 刀 劍 拋 在 耶 路 撒 冷 的 街 道 上 、 無 人 葬 埋 ． 他 們 連 妻 子 帶 兒 女 、 都 是 如 此 ． 我 必 將 他 們 的 惡 、 倒 在 他 們 身 上 。 〔 或 作 我 必 使 他 們 罪 惡 的 報 應 臨 到 他 們 身 上 〕
Ngươi khá bảo cho chúng nó lời nầy: Mắt ta rơi lụy đêm ngày chẳng thôi; vì gái đồng trinh của dân ta bị tồi tàn, bị thương rất là đau đớn.|你 要 將 這 話 對 他 們 說 、 願 我 眼 淚 汪 汪 、 晝 夜 不 息 ． 因 為 我 百 姓 〔 原 文 作 民 的 處 女 〕 受 了 裂 口 破 壞 的 大 傷 。
Nếu ta ra nơi đồng ruộng, thì thấy những người bị gươm đâm; nếu ta vào trong thành, thì thấy những kẻ đau ốm vì sự đói kém. Chính các đấng tiên tri và các thầy tế lễ đi dạo trong đất mình, cũng không có sự hiểu biết.|我 若 出 往 田 間 、 就 見 有 被 刀 殺 的 ． 我 若 進 入 城 內 、 就 見 有 因 飢 荒 患 病 的 ． 連 先 知 帶 祭 司 在 國 中 往 來 、 也 是 毫 無 知 識 。 〔 或 作 不 知 怎 樣 纔 好 〕
Vậy thì Ngài đã bỏ hết Giu-đa sao? Lòng Ngài đã gớm ghét Si-ôn sao? Làm sao Ngài đã đánh chúng tôi, không phương chữa lành? Đương đợi sự bình an mà chẳng có sự lành; đương trông kỳ lành bịnh, mà gặp sự kinh hãi.|你 全 然 棄 掉 猶 大 麼 ． 你 心 厭 惡 錫 安 麼 ． 為 何 擊 打 我 們 、 以 致 無 法 醫 治 呢 ． 我 們 指 望 平 安 、 卻 得 不 著 好 處 ． 指 望 痊 癒 、 不 料 、 受 了 驚 惶 。
Hỡi Đức Giê-hô-va, chúng tôi nhìn biết điều ác chúng tôi và tội lỗi của tổ phụ chúng tôi, vì chúng tôi đều phạm tội nghịch cùng Ngài.|耶 和 華 阿 、 我 們 承 認 自 己 的 罪 惡 、 和 我 們 列 祖 的 罪 孽 ． 因 我 們 得 罪 了 你 。
Xin hãy vì danh Ngài, chớ chán chúng tôi, và chớ để nhục ngôi vinh hiển của Ngài! Xin Ngài nhớ lời giao ước với chúng tôi mà chớ hủy.|求 你 為 你 名 的 緣 故 、 不 厭 惡 我 們 、 不 辱 沒 你 榮 耀 的 寶 座 ． 求 你 追 念 、 不 要 背 了 與 我 們 所 立 的 約 。
Trong những sự hư vô của dân ngoại, há có quyền làm mưa được sao? có phải từ trời xuống mưa được chăng? Hỡi Giê-hô-va Đức Chúa Trời chúng tôi, Ngài há chẳng phải là Đấng đó? Vậy nên chúng tôi sẽ trông đợi Ngài, vì Ngài đã làm ra mọi sự ấy.|外 邦 人 虛 無 的 神 中 、 有 能 降 雨 的 麼 。 天 能 自 降 甘 霖 麼 ． 耶 和 華 我 們 的 　 神 阿 、 能 如 此 的 、 不 是 你 麼 ． 所 以 我 們 仍 要 等 候 你 、 因 為 這 一 切 都 是 你 所 造 的 。

					Giê-rê-mi-a 15				|
						耶利米書 15					
Đức Giê-hô-va bèn phán cùng tôi rằng: Dầu Môi-se và Sa-mu-ên đứng trước mặt ta, nhưng lòng ta cũng chẳng hướng về dân nầy. Hãy đuổi chúng nó khỏi trước mặt ta, cho chúng nó đi ra.|耶 和 華 對 我 說 、 雖 有 摩 西 和 撒 母 耳 站 在 我 面 前 代 求 、 我 的 心 也 不 顧 惜 這 百 姓 ． 你 將 他 們 從 我 眼 前 趕 出 、 叫 他 們 去 罷 。
Sẽ xảy ra khi chúng nó khỏi ngươi rằng: Chúng tôi sẽ đi đâu? thì hãy bảo chúng nó rằng: Đức Giê-hô-va phán như vầy: Ai đã được định cho chết, hãy chịu chết; ai đã được định cho phải gươm dao, hãy chịu gươm dao; ai đã được định cho phải đói kém, hãy chịu đói kém; ai đã được định cho sự phu tù, hãy chịu phu tù.|他 們 問 你 說 、 我 們 往 那 裡 去 呢 ． 你 便 告 訴 他 們 、 耶 和 華 如 此 說 、 定 為 死 亡 的 、 必 至 死 亡 ． 定 為 刀 殺 的 、 必 交 刀 殺 ． 定 為 飢 荒 的 、 必 遭 飢 荒 ． 定 為 擄 掠 的 、 必 被 擄 掠 。
Đức Giê-hô-va phán: Ta sẽ giáng cho chúng nó bốn thứ tai vạ; gươm để giết, chó để xé, chim trời và loài thú trên đất để nuốt và diệt đi.|耶 和 華 說 、 我 命 定 四 樣 害 他 們 、 就 是 刀 劍 殺 戮 、 狗 類 撕 裂 、 空 中 的 飛 鳥 、 和 地 上 的 野 獸 吞 喫 毀 滅 。
Vì cớ Ma-na-se, con trai Ê-xê-chia, vua Giu-đa, và vì những sự nó đã làm trong thành Giê-ru-sa-lem, ta sẽ khiến chúng nó bị ném đi ném lại trong các nước thiên hạ.|又 必 使 他 們 在 天 下 萬 國 中 、 拋 來 拋 去 ． 都 因 猶 大 王 希 西 家 的 兒 子 瑪 拿 西 在 耶 路 撒 冷 所 行 的 事 。
Hỡi Giê-ru-sa-lem, ai sẽ thương xót ngươi được sao? ai sẽ than tiếc? ai sẽ xây lại mà hỏi thăm ngươi?|耶 路 撒 冷 阿 、 誰 可 憐 你 呢 ． 誰 為 你 悲 傷 呢 ． 誰 轉 身 問 你 的 安 呢 。
Đức Giê-hô-va phán: Ngươi đã bỏ ta, đã xây lại đằng sau, nên ta đã giang tay trên ngươi, để diệt ngươi. Ta đã chán sự đổi ý.|耶 和 華 說 、 你 棄 絕 了 我 、 轉 身 退 後 ． 因 此 我 伸 手 攻 擊 你 、 毀 壞 你 ． 我 後 悔 甚 不 耐 煩 。
Ta đã lấy nia sảy chúng nó nơi cửa các thành đất nầy. Ta đã cất mất con cái chúng nó và diệt dân ta, mà chúng nó cũng chẳng trở lại khỏi đường lối mình.|我 在 境 內 各 城 門 口 、 〔 或 作 我 在 這 地 邊 界 的 關 口 〕 用 簸 箕 簸 了 我 的 百 姓 、 使 他 們 喪 掉 兒 女 ． 我 毀 滅 他 們 、 他 們 仍 不 轉 離 所 行 的 道 。
Những đờn bà góa nó thêm lên nhiều hơn cát biển. Ta đã khiến kẻ thù hủy diệt giữa ban ngày, nghịch cùng mẹ kẻ trai trẻ. Ta đã khiến sự sầu não kinh hãi lắm trên nó thình lình.|他 們 的 寡 婦 在 我 面 前 、 比 海 沙 更 多 ． 我 使 滅 命 的 午 間 來 、 攻 擊 少 年 人 的 母 親 、 使 痛 苦 驚 嚇 忽 然 臨 到 他 身 上 。
Đờn bà đã sanh bảy con, thấy mình mòn mỏi, hầu trút linh hồn; khi còn ban ngày, mặt trời nó đã lặn; nó phải sỉ nhục và hổ thẹn; còn những con cái sót lại, thì ta sẽ phó cho gươm của kẻ nghịch thù chúng nó, Đức Giê-hô-va phán vậy.|生 過 七 子 的 婦 人 、 力 衰 氣 絕 、 尚 在 白 晝 、 日 頭 忽 落 ． 他 抱 愧 蒙 羞 ． 其 餘 的 人 、 我 必 在 他 們 敵 人 跟 前 、 交 與 刀 劍 ． 這 是 耶 和 華 說 的 。
Hỡi mẹ tôi ơi, khốn nạn cho tôi! Mẹ đã sanh ra tôi làm người mắc phải sự tranh đua cãi lẫy trong cả đất? Tôi vốn không cho ai vay mượn, cũng chẳng vay mượn ai; dầu vậy, mọi người nguyền rủa tôi.|我 的 母 親 哪 、 我 有 禍 了 、 因 你 生 我 作 為 遍 地 相 爭 相 競 的 人 ． 我 素 來 沒 有 借 貸 與 人 、 人 也 沒 有 借 貸 與 我 、 人 人 卻 都 咒 罵 我 。
Nhưng Đức Giê-hô-va phán: Thật ta sẽ bổ sức cho ngươi được phước. Trong khi gặp tai vạ hoạn nạn, thật ta sẽ khiến kẻ thù nghịch đến cầu xin ngươi.|耶 和 華 說 、 我 必 要 堅 固 你 、 使 你 得 好 處 ． 災 禍 苦 難 臨 到 的 時 候 、 我 必 要 使 仇 敵 央 求 你 。
Sắt và đồng của phương bắc, người ta có thể bẻ gãy được sao?|人 豈 能 將 銅 與 鐵 、 就 是 北 方 的 鐵 、 折 斷 呢 ．
Vì cớ mọi tội lỗi các ngươi, trong cả địa phận mình, ta sẽ phó của cải châu báu các ngươi cho sự cướp bóc, chẳng trả giá lại.|我 必 因 你 在 四 境 之 內 所 犯 的 一 切 罪 、 把 你 的 貨 物 財 寶 當 掠 物 、 白 白 的 交 給 仇 敵 。
Ta sẽ làm cho những đồ ấy đi với kẻ thù ngươi qua một đất mà ngươi không biết, vì lửa giận của ta đã cháy lên, đặng thiêu hủy các ngươi.|我 也 必 使 仇 敵 帶 這 掠 物 到 你 所 不 認 識 的 地 去 ． 因 我 怒 中 起 的 火 要 將 你 們 焚 燒 。
Hỡi Đức Giê-hô-va! Ngài hiểu biết. Xin hãy nhớ đến tôi, thăm viếng tôi, và trả thù những kẻ bắt bớ cho tôi. Xin chớ cất tôi đi trong sự nhịn nhục Ngài; xin biết cho rằng tôi vì Ngài chịu nhuốc nha!|耶 和 華 阿 、 你 是 知 道 的 ． 求 你 記 念 我 、 眷 顧 我 、 向 逼 迫 我 的 人 為 我 報 仇 ． 不 要 向 他 們 忍 怒 取 我 的 命 ． 要 知 道 我 為 你 的 緣 故 、 受 了 凌 辱 。
Tôi vừa nghe những lời Ngài, thì đã ăn lấy rồi; lời Ngài là sự vui mừng hớn hở của lòng tôi vậy. Hỡi Giê-hô-va Đức Chúa Trời vạn quân, vì tôi được xưng bằng danh Ngài!|耶 和 華 萬 軍 之 　 神 阿 、 我 得 著 你 的 言 語 、 就 當 食 物 喫 了 ． 你 的 言 語 、 是 我 心 中 的 歡 喜 快 樂 ． 因 我 是 稱 為 你 名 下 的 人 。
Tôi chẳng ngồi trong đám hội kẻ vui chơi mừng rỡ; nhưng tôi ngồi một mình vì tay Ngài; vì Ngài đã làm cho tôi đầy sự giận.|我 沒 有 坐 在 宴 樂 人 的 會 中 、 也 沒 有 歡 樂 ． 我 因 你 的 感 動 、 〔 感 動 原 文 作 手 〕 獨 自 靜 坐 ． 因 你 使 我 滿 心 憤 恨 。
Cớ sao sự đau đớn của tôi cứ còn hoài? Cớ sao vết thương của tôi không chữa được mà nó không chịu khỏi? Ngài đối với tôi hằn như cái khe giả dối, cái suốt tắt mạch hay sao?|我 的 痛 苦 、 為 何 長 久 不 止 呢 ． 我 的 傷 痕 、 為 何 無 法 醫 治 、 不 能 痊 癒 呢 ． 難 道 你 待 我 有 詭 詐 、 像 流 乾 的 河 道 麼 。
Vậy nên, Đức Giê-hô-va phán như vầy: Nếu ngươi trở lại, thì ta sẽ lại đem ngươi đứng trước mặt ta; nếu ngươi làm cho sự quí lìa khỏi sự hèn, thì ngươi sẽ như miệng ta, chúng nó sẽ trở về cùng ngươi; nhưng ngươi chẳng trở về cùng chúng nó.|耶 和 華 如 此 說 、 你 若 歸 回 、 我 就 將 你 再 帶 來 、 使 你 站 在 我 面 前 ． 你 若 將 寶 貴 的 、 和 下 賤 的 分 別 出 來 、 你 就 可 以 當 作 我 的 口 、 他 們 必 歸 向 你 、 你 卻 不 可 歸 向 他 們 。
Ta sẽ khiến ngươi làm tường đồng vững bền cho dân nầy, họ sẽ đánh với ngươi, nhưng không thắng ngươi được, vì ta ở cùng ngươi đặng cứu ngươi và giải thoát ngươi, Đức Giê-hô-va phán vậy.|我 必 使 你 向 這 百 姓 成 為 堅 固 的 銅 牆 ． 他 們 必 攻 擊 你 、 卻 不 能 勝 你 ． 因 我 與 你 同 在 、 要 拯 救 你 、 搭 救 你 ． 這 是 耶 和 華 說 的 。
Ta sẽ rút ngươi ra khỏi tay kẻ ác, sẽ chuộc ngươi khỏi tay kẻ bạo tàn.|我 必 搭 救 你 脫 離 惡 人 的 手 、 救 贖 你 脫 離 強 暴 人 的 手 。

					Giê-rê-mi-a 16				|
						耶利米書 16					
Lời Đức Giê-hô-va phán cùng tôi như vầy:|耶 和 華 的 話 又 臨 到 我 說 、
Ngươi chớ cưới vợ, chớ có con trai con gái trong chốn nầy.|你 在 這 地 方 不 可 娶 妻 、 生 兒 養 女 。
Vì Đức Giê-hô-va phán về những con trai con gái sẽ sanh tại đây, và về những cha mẹ đã sanh đẻ chúng nó trong đất nầy như vầy:|因 為 論 到 在 這 地 方 所 生 的 兒 女 、 又 論 到 在 這 國 中 生 養 他 們 的 父 母 、 耶 和 華 如 此 說 、
Chúng nó sẽ bị dịch lệ mà chết; chẳng ai khóc cũng chẳng ai chôn; xác chúng nó còn lại như phân trên đất. Chúng nó sẽ bị diệt bởi gươm dao và đói kém; thây chúng nó sẽ làm đồ ăn cho chim trời và loài thú trên đất.|他 們 必 死 得 甚 苦 、 無 人 哀 哭 、 必 不 得 葬 埋 ． 必 在 地 上 像 糞 土 ． 必 被 刀 劍 和 飢 荒 滅 絕 ． 他 們 的 屍 首 必 給 空 中 的 飛 鳥 、 和 地 上 的 野 獸 作 食 物 。
Đức Giê-hô-va phán: Chớ vào nhà có tang, chớ đi điếu, và chớ than khóc chúng nó; vì ta đã rút sự bình an ơn huệ, thương xót của ta ra khỏi dân nầy, Đức Giê-hô-va phán vậy.|耶 和 華 如 此 說 、 不 要 進 入 喪 家 、 不 要 去 哀 哭 、 也 不 要 為 他 們 悲 傷 ． 因 我 已 將 我 的 平 安 、 慈 愛 、 憐 憫 、 從 這 百 姓 奪 去 了 ． 這 是 耶 和 華 說 的 。
Người lớn kẻ nhỏ đều sẽ chết trong đất nầy; chẳng được chôn, chẳng ai khóc chúng nó; người ta không tự cắt thịt và hớt tóc vì chúng nó.|連 大 帶 小 、 都 必 在 這 地 死 亡 、 不 得 葬 埋 ． 人 必 不 為 他 們 哀 哭 、 不 用 刀 劃 身 、 也 不 使 頭 光 禿 。
Không ai vì kẻ ở tang bẻ bánh, để yên ủi chúng nó vì kẻ chết; chẳng ai vì sự chết của cha hoặc mẹ mà trao chén chia buồn.|他 們 有 喪 事 、 人 必 不 為 他 們 擘 餅 、 因 死 人 安 慰 他 們 ． 他 們 喪 父 喪 母 、 人 也 不 給 他 們 一 杯 酒 安 慰 他 們 。
Cũng đừng vào trong phòng tiệc, đặng ngồi ăn uống với chúng nó.|你 不 可 進 入 宴 樂 的 家 、 與 他 們 同 坐 喫 喝 。
Vì, Đức Giê-hô-va vạn quân, Đức Chúa Trời của Y-sơ-ra-ên, phán như vầy: Nầy, dưới mắt các ngươi, đương đời các ngươi, ta sẽ làm cho trong xứ nầy hết tiếng vui mừng hỉ hạ, hết tiếng của chàng rể và nàng dâu.|因 為 萬 軍 之 耶 和 華 以 色 列 的 　 神 如 此 說 、 你 們 還 活 著 的 日 子 在 你 們 眼 前 、 我 必 使 歡 喜 和 快 樂 的 聲 音 、 新 郎 和 新 婦 的 聲 音 、 從 這 地 方 止 息 了 。
Khi ngươi đem lời nầy truyền cho dân, chúng nó chắc hỏi ngươi rằng: Sao Đức Giê-hô-va rao những tai nạn nầy cho chúng tôi? hoặc chúng tôi có tội gì? hoặc chúng tôi đã phạm tội gì nghịch cùng Giê-hô-va Đức Chúa Trời chúng tôi?|你 將 這 一 切 的 話 、 指 示 這 百 姓 、 他 們 問 你 說 、 耶 和 華 為 甚 麼 說 、 要 降 這 大 災 禍 攻 擊 我 們 呢 ． 我 們 有 甚 麼 罪 孽 呢 ． 我 們 向 耶 和 華 我 們 的 　 神 犯 了 甚 麼 罪 呢 ．
Ngươi bèn khá đáp rằng: Đức Giê-hô-va phán: Ay là tại tổ phụ các ngươi đã bỏ ta, mà theo các thần khác, đặng hầu việc và quì lạy các thần ấy, mà đã lìa bỏ ta, và không giữ luật pháp ta.|你 就 對 他 們 說 、 耶 和 華 說 、 因 為 你 們 列 祖 離 棄 我 、 隨 從 別 神 、 事 奉 敬 拜 、 不 遵 守 我 的 律 法 ．
Còn các ngươi lại làm xấu hơn tổ phụ mình; vì, nầy, các ngươi ai nầy đều theo sự cứng cỏi của lòng ác mình, chẳng lo nghe ta.|而 且 你 們 行 惡 、 比 你 們 列 祖 更 甚 ． 因 為 各 人 隨 從 自 己 頑 梗 的 惡 心 行 事 、 甚 至 不 聽 從 我 。
Cho nên ta sẽ ném các ngươi ra khỏi đất nầy, vào trong một xứ mà các ngươi và tổ phụ các ngươi cũng chưa từng biết, tại đó các ngươi sẽ hầu việc các thần khác đêm ngày; vì ta sẽ không ban ơn cho các ngươi.|所 以 我 必 將 你 們 從 這 地 趕 出 、 直 趕 到 你 們 和 你 們 列 祖 素 不 認 識 的 地 ． 你 們 在 那 裡 必 晝 夜 事 奉 別 神 ． 因 為 我 必 不 向 你 們 施 恩 。
Vậy nên, Đức Giê-hô-va phán: Nầy, ngày đến, là khi người ta sẽ chẳng nói rằng: Thật như Đức Giê-hô-va hằng sống, là Đấng đã đem con cái Y-sơ-ra-ên lên khỏi xứ Ê-díp-tô.|耶 和 華 說 、 日 子 將 到 、 人 必 不 再 指 著 那 領 以 色 列 人 從 埃 及 地 上 來 之 永 生 的 耶 和 華 起 誓 ．
Nhưng nói rằng: Thật như Đức Giê-hô-va hằng-sống, là Đấng đã đem con cái Y-sơ-ra-ên lên từ phương bắc, và từ các nước mà họ đã bị đuổi đến. Ta sẽ lại dẫn chúng nó về trong đất mà ta đã ban cho tổ phụ chúng nó.|卻 要 指 著 那 領 以 色 列 人 從 北 方 之 地 ． 並 趕 他 們 到 的 各 國 上 來 之 永 生 的 耶 和 華 起 誓 ． 並 且 我 要 領 他 們 再 入 我 從 前 賜 給 他 們 列 祖 之 地 。
Đức Giê-hô-va phán: Nầy, ta sẽ sai tìm nhiều kẻ đánh cá, họ sẽ bắt chúng nó; sau lại, ta sẽ sai tìm nhiều thợ săn, họ sẽ săn chúng nó từ mọi núi, mọi gò, và các kẻ vầng đá.|耶 和 華 說 、 我 要 召 許 多 打 魚 的 、 把 以 色 列 人 打 上 來 ． 然 後 我 要 召 許 多 打 獵 的 、 從 各 山 上 、 各 岡 上 、 各 石 穴 中 、 獵 取 他 們 。
Vì mắt ta chăm chỉ mọi đường lối chúng nó, không giấu khỏi trước mặt ta được, tội lỗi chúng nó không khuất khỏi mắt ta đâu.|因 我 的 眼 目 察 看 他 們 的 一 切 行 為 ． 他 們 不 能 在 我 面 前 遮 掩 、 他 們 的 罪 孽 、 也 不 能 在 我 眼 前 隱 藏 。
Trước hết ta sẽ báo sự gian ác và tội lỗi chúng nó gấp hai, vì chúng nó đã làm ô uế đất ta bởi những sự gớm ghiếc làm đầy dẫy sản nghiệp ta.|我 先 要 加 倍 報 應 他 們 的 罪 孽 、 和 罪 惡 、 因 為 他 們 用 可 憎 之 屍 、 玷 污 我 的 地 土 、 又 用 可 厭 之 物 、 充 滿 我 的 產 業 。
Hỡi Đức Giê-hô-va, Ngài là sức mạnh tôi, đồn lũy tôi, và là nơi ẩn náu của tôi trong ngày khốn nạn! Các nước sẽ từ nơi đầu cùng đất mà đến cùng Ngài, và nói rằng: Tổ phụ chúng tôi chỉ hưởng những lời giả dối, là sự hư không, và vậy thì chẳng có ích gì.|耶 和 華 阿 、 你 是 我 的 力 量 、 是 我 的 保 障 、 在 苦 難 之 日 、 是 我 的 避 難 所 ． 列 國 人 必 從 地 極 來 到 你 這 裡 、 說 、 我 們 列 祖 所 承 受 的 、 不 過 是 虛 假 、 是 虛 空 無 益 之 物 。
Có lẽ nào người ta tự làm cho mình những thần không phải là thần được sao?|人 豈 可 為 自 己 製 造 神 呢 ． 其 實 這 不 是 神 。
Vậy nên, nầy, ta sẽ cho chúng nó biết tay ta và quyền năng ta; và chúng nó sẽ biết danh ta là Giê-hô-va.|耶 和 華 說 、 我 要 使 他 們 知 道 、 就 是 這 一 次 使 他 們 知 道 我 的 手 、 和 我 的 能 力 ． 他 們 就 知 道 我 的 名 是 耶 和 華 了 。

					Giê-rê-mi-a 17				|
						耶利米書 17					
Tội của Giu-đa đã chép bằng bút sắt, bằng dùi kim cương; đã chạm trên bảng trong lòng chúng nó, và trên sừng những bàn thờ các ngươi.|猶 大 的 罪 、 是 用 鐵 筆 、 用 金 鋼 鑽 記 錄 的 ． 銘 刻 在 他 們 的 心 版 上 、 和 壇 角 上 。
Con cái chúng nó nhớ lại bàn thờ và hình tượng chúng nó đã lập lên gần các cây xanh và trên gò cao.|他 們 的 兒 女 、 記 念 他 們 高 岡 上 青 翠 樹 旁 的 壇 、 和 木 偶 。
