
					I Các Vua 1				|
Vua Sa-lô-môn chiêu mộ trong cả Y-sơ-ra-ên những người làm xâu, số là ba vạn người,|所 羅 門 王 從 以 色 列 人 中 、 挑 取 服 苦 的 人 、 共 有 三 萬 ．
sai họ đi đến Li-ban, thay phiên mỗi tháng mười ngàn người họ ở một tháng tại Li-ban, thay phiên mỗi tháng mười ngàn người họ ở một tháng tại Li-ban và hai tháng nơi nhà mình; A-đô-ni-gia quản xuất người làm xâu.|派 他 們 輪 流 、 每 月 一 萬 人 上 利 巴 嫩 去 ． 一 個 月 在 利 巴 嫩 、 兩 個 月 在 家 裡 ． 亞 多 尼 蘭 掌 管 他 們 。
Sa-lô-môn còn có bảy vạn người khiêng gánh, và tám vạn người đẽo đá trong|所 羅 門 用 七 萬 扛 抬 的 、 八 萬 在 山 上 鑿 石 頭 的 ．
không kể những đốc công, số là ba ngàn ba trăm người, mà Sa-lô-môn đã đặt coi sóc công việc và sai khiến dân làm việc.|此 外 所 羅 門 用 三 千 三 百 督 工 的 、 監 管 工 人 。
Vua truyền họ lấy đá lớn, đá quí giá mà đẽo đi, đặng dùng làm nền của đền thờ.|王 下 令 、 人 就 鑿 出 又 大 又 寶 貴 的 石 頭 來 、 用 以 立 殿 的 根 基 。
Các thợ của Sa-lô-môn và của Hi-ram với người Ghi-bê-lít, đẽo đá và dọn cây cùng đá đặng cất đền.|所 羅 門 的 匠 人 、 和 希 蘭 的 匠 人 、 並 迦 巴 勒 人 、 都 將 石 頭 鑿 好 、 豫 備 木 料 和 石 頭 建 殿 。

					I Các Vua 6				|
						列王紀上 6					
Xảy ra năm bốn trăm tám mươi, sau khi dân Y-sơ-ra-ên ra khỏi xứ Ê-díp-tô, là năm thứ tư của Sa-lô-môn trị vì trên Y-sơ-ra-ên, nhằm tháng Xíp, nghĩa là tháng thứ hai, thì người cất đền của Đức Giê-hô-va.|以 色 列 人 出 埃 及 地 後 四 百 八 十 年 、 所 羅 門 作 以 色 列 王 、 第 四 年 西 弗 月 、 就 是 二 月 、 開 工 建 造 耶 和 華 的 殿 。
Cái đền mà vua Sa-lô-môn cất cho Đức Giê-hô-va, bề dài có sáu mươi thước, bề ngang hai mươi thước.|所 羅 門 王 為 耶 和 華 所 建 的 殿 、 長 六 十 肘 、 寬 二 十 肘 、 高 三 十 肘 。
Cái hiên cửa ở trước đền bề dài hai mươi thước, bằng bề ngang của đền, và rộng mười thước ở trước đền.|殿 前 的 廊 子 長 二 十 肘 、 與 殿 的 寬 窄 一 樣 、 闊 十 肘 。
Vua cũng làm cho đến những cửa sổ có song, khuôn cây.|又 為 殿 作 了 嚴 緊 的 窗 櫺 。
Người cất những từng lầu, dựa vào vách từ phía đền, tức là dựa vào vách chung quanh đền thờ và nơi thánh; cũng làm những phòng chung quanh đền.|靠 著 殿 牆 、 圍 著 外 殿 內 殿 、 造 了 三 層 旁 屋 。
Từng dưới rộng năm thước, từng giữa rộng sáu thước; và từng trên rộng bảy thước, vì vua cất sụt lui các vách vòng ngoài nhà, đặng tránh sườn xà hoành đâm vào vách đền.|下 層 寬 五 肘 、 中 層 寬 六 肘 、 上 層 寬 七 肘 ． 殿 外 旁 屋 的 梁 木 ． 擱 在 殿 牆 坎 上 、 免 得 插 入 殿 牆 。
Khi cất đền, người ta dùng đá đã đẽo sẵn nơi hầm, nên không nghe tiếng búa, rìu hay là khí dụng khác bằng sắt tại nơi đền đương khi cất.|建 殿 是 用 山 中 鑿 成 的 石 頭 ． 建 殿 的 時 候 、 鎚 子 、 斧 子 、 和 別 樣 鐵 器 的 響 聲 都 沒 有 聽 見 。
Cửa vào các phòng từng thứ nhì, ở bên phía hữu của đền; người ta đi lên từng giữa bởi một cái thang khu ốc; rồi từ từng giữa lên từng thứ ba.|在 殿 右 邊 當 中 的 旁 屋 有 門 、 門 內 有 旋 螺 的 樓 梯 、 可 以 上 到 第 二 層 、 從 第 二 層 可 以 上 到 第 三 層 。
Khi cất đền xong; thì Sa-lô-môn lợp nó bằng đòn tay và ván gỗ bá hương,|所 羅 門 建 殿 、 安 置 香 柏 木 的 棟 梁 、 又 用 香 柏 木 板 遮 蓋 。
cũng cất những từng lầu năm thước dựa vào tứ phía đền, dính với nhà bởi cây đà bá hương.|靠 著 殿 所 造 的 旁 屋 、 每 層 高 五 肘 、 香 柏 木 的 棟 梁 、 擱 在 殿 牆 坎 上 。
Bấy giờ có lời Đức Giê-hô-va phán với Sa-lô-môn rằng:|耶 和 華 的 話 臨 到 所 羅 門 說 、
về nhà này mà ngươi đương xây cất, nếu ngươi vâng theo các luật lệ ta, noi theo các mạng lịnh ta, giữ và đi trong hết thảy các điều răn của ta, thì ta sẽ vì ngươi làm hoàn thành lời ta đã hứa cùng Đa-vít, cha ngươi.|論 到 你 所 建 的 這 殿 、 你 若 遵 行 我 的 律 例 、 謹 守 我 的 典 章 、 遵 從 我 的 一 切 誡 命 、 我 必 向 你 應 驗 我 所 應 許 你 父 親 大 衛 的 話 。
Ta sẽ ngự giữa dân Y-sơ-ra-ên, chẳng hề bỏ Y-sơ-ra-ên, là dân ta.|我 必 住 在 以 色 列 人 中 間 、 並 不 丟 棄 我 民 以 色 列 。
Ay vậy, Sa-lô-môn xây đền và làm cho hoàn thành.|所 羅 門 建 造 殿 宇 、
Người lấy ván bá hương đóng vách phía trong đền, từ đất cho đến trần, và lót nền đất bằng ván cây tùng.|殿 裡 面 用 香 柏 木 板 貼 牆 、 從 地 到 棚 頂 、 都 用 木 板 遮 蔽 、 又 用 松 木 板 鋪 地 。
Từ cuối phía trong đền hai mươi thước, người đóng ngăn bằng ván bá hương, từ nền cho đến trần, đặng làm nơi chí thánh.|內 殿 、 就 是 至 聖 所 、 長 二 十 肘 、 從 地 到 棚 頂 、 用 香 柏 木 板 遮 蔽 。 〔 或 作 隔 斷 〕
Còn bốn mươi thước kia, làm tiền đường của đền thờ.|內 殿 前 的 外 殿 、 長 四 十 肘 。
Ở phía trong đền, có gỗ bà hương chạm hình dưa ác và hoa mới nở; toàn là gỗ bá hương, không thấy đá.|殿 裡 一 點 石 頭 都 不 顯 露 、 一 概 用 香 柏 木 遮 蔽 ． 上 面 刻 著 野 瓜 和 初 開 的 花 。
Còn nơi chí thánh, Sa-lô-môn đặt ở phía trong đền, tận cuối trong, đặng để hòm giao ước của Đức Giê-hô-va tại đó.|殿 裡 豫 備 了 內 殿 、 好 安 放 耶 和 華 的 約 櫃 。
Phía trong nơi chí thánh có hai mươi thước bề dài, hai mươi thước bề ngang, bọc nó bằng vàng ròng, và cũng bọc vàng bàn thờ bằng cây bá hương nữa.|內 殿 長 二 十 肘 、 寬 二 十 肘 、 高 二 十 肘 、 牆 面 都 貼 上 精 金 ． 又 用 香 柏 木 作 壇 、 包 上 精 金 。
Sa-lô-môn bọc vàng ròng tuồng trong của nhà, và lấy xiềng vàng giăng trước nơi chí thánh và bọc bằng vàng.|所 羅 門 用 精 金 貼 了 殿 內 的 牆 ． 又 用 金 鍊 子 掛 在 內 殿 前 門 扇 、 用 金 包 裹 。
Người cũng bọc vàng toàn cả nhà; người cũng lót vàng khắp mặt bàn thờ ở đằng trước nơi chí thánh.|全 殿 都 貼 上 金 子 、 直 到 貼 完 ． 內 殿 前 的 壇 、 也 都 用 金 包 裹 。
Người làm cho nơi chí thánh hai chê-ru-bin bằng gỗ ô-li-ve, bề cao mười thước.|他 用 橄 欖 木 作 兩 個 ? ? ? 、 各 高 十 肘 、 安 在 內 殿 。
Cánh này và cánh kia của mỗi chê-ru-bin có năm thước, thế là mười thước từ chót cánh này tới chót cánh kia.|這 一 個 ? ? ? 有 兩 個 翅 膀 、 各 長 五 肘 、 從 這 翅 膀 尖 到 那 翅 膀 尖 、 共 有 十 肘 。
Chê-ru-bin thứ nhì cũng có mười thước. Hai chê-ru-bin đều đồng một cỡ và một dáng với nhau.|那 一 個 ? ? ? 的 兩 個 翅 膀 也 是 十 肘 、 兩 個 ? ? ? 的 尺 寸 、 形 像 、 都 是 一 樣 。
Chê-ru-bin này có mười thước bề cao, và chê-ru-bin kia cũng vậy.|這 ? ? ? 高 十 肘 、 那 ? ? ? 也 是 如 此 。
Sa-lô-môn để hai chê-ru-bin tại nơi chí thánh, ở trong cùng của đền cánh của chê-ru-bin thứ nhất đụng nhau tại giữa nơi chí thánh.|他 將 兩 個 ? ? ? 安 在 內 殿 裡 ． ? ? ? 的 翅 膀 是 張 開 的 、 這 ? ? ? 的 一 個 翅 膀 挨 著 這 邊 的 牆 、 那 ? ? ? 的 一 個 翅 膀 挨 著 那 邊 的 牆 ． 裡 邊 的 兩 個 翅 膀 、 在 殿 中 間 彼 此 相 接 。
Người cũng bọc vàng cho hai chê-ru-bin.|又 用 金 子 包 裹 二 ? ? ? 。
Bốn phía vách đền, phía trong và phía ngoài, Sa-lô-môn khiến chạm nổi lên hình chê-ru-bin, cây chà là và hoa nở;|內 殿 外 殿 周 圍 的 牆 上 、 都 刻 著 ? ? ? 、 棕 樹 、 和 初 開 的 花 。
cũng phủ đất nhà bằng vàng, bề trong và bề ngoài.|內 殿 外 殿 的 地 板 、 都 貼 上 金 子 。
Tại chỗ vào nơi chí thánh, người làm một cái cửa hai cánh bằng gỗ ô-li-ve; thanh và cột choán một phần năm của mặt tiền.|又 用 橄 欖 木 製 造 內 殿 的 門 扇 、 門 楣 、 門 框 、 門 口 有 牆 的 五 分 之 一 。
Người khiến chạm nổi lên trên hai cánh cửa bằng gỗ ô-li-ve ấy những hình chê-ru-bin, cây chà là và hoa nở; rồi bọc bằng vàng, tráng vàng ra trên hình chê-ru-bin và hình cây chà là.|在 橄 欖 木 作 的 兩 門 扇 上 、 刻 著 ? ? ? 、 棕 樹 、 和 初 開 的 花 、 都 貼 上 金 子 。
Về cửa đền thờ, người cũng làm cột bằng gỗ ô-li-ve, choán hết một phần tư của vách,|又 用 橄 欖 木 、 製 造 外 殿 的 門 框 、 門 口 有 牆 的 四 分 之 一 。
lại làm hai cánh cửa bằng gỗ tòng; mỗi cánh có hai miếng trá khép lại được.|用 松 木 作 門 兩 扇 、 這 扇 分 兩 扇 、 是 摺 疊 的 、 那 扇 分 兩 扇 、 也 是 摺 疊 的 。
Sa-lô-môn khiến chạm nổi lên những hình chê-ru-bin, cây chà là và hoa nở; rồi bọc bằng vàng, tráng vàng ra trên các vật chạm trổ.|上 面 刻 著 ? ? ? 、 棕 樹 、 和 初 開 的 花 ． 都 用 金 子 貼 了 。
Người xây tường hành lang phía trong bằng ba hàng đá chạm, và một hàng cây xà gỗ bá hương.|他 又 用 鑿 成 的 石 頭 三 層 、 香 柏 木 一 層 、 建 築 內 院 。
Năm thứ tư, năm tháng Xíp, cái nền của đền thờ Đức Giê-hô-va đã đặt;|所 羅 門 在 位 、 第 四 年 、 西 弗 月 、 立 了 耶 和 華 殿 的 根 基 。
năm thứ mười một, nhằm tháng Bu-lơ, nghĩa là tháng tám, đền thờ hoàn thành trong mọi phần nó, theo kiểu đã ra. Sa-lô-môn cất đền hết bảy năm.|到 十 一 年 、 布 勒 月 、 就 是 八 月 、 殿 和 一 切 屬 殿 的 、 都 按 著 樣 式 造 成 。 他 建 殿 的 工 夫 、 共 有 七 年 。

					I Các Vua 6				|
						列王紀上 6					
Xảy ra năm bốn trăm tám mươi, sau khi dân Y-sơ-ra-ên ra khỏi xứ Ê-díp-tô, là năm thứ tư của Sa-lô-môn trị vì trên Y-sơ-ra-ên, nhằm tháng Xíp, nghĩa là tháng thứ hai, thì người cất đền của Đức Giê-hô-va.|以 色 列 人 出 埃 及 地 後 四 百 八 十 年 、 所 羅 門 作 以 色 列 王 、 第 四 年 西 弗 月 、 就 是 二 月 、 開 工 建 造 耶 和 華 的 殿 。
Cái đền mà vua Sa-lô-môn cất cho Đức Giê-hô-va, bề dài có sáu mươi thước, bề ngang hai mươi thước.|所 羅 門 王 為 耶 和 華 所 建 的 殿 、 長 六 十 肘 、 寬 二 十 肘 、 高 三 十 肘 。
Cái hiên cửa ở trước đền bề dài hai mươi thước, bằng bề ngang của đền, và rộng mười thước ở trước đền.|殿 前 的 廊 子 長 二 十 肘 、 與 殿 的 寬 窄 一 樣 、 闊 十 肘 。
Vua cũng làm cho đến những cửa sổ có song, khuôn cây.|又 為 殿 作 了 嚴 緊 的 窗 櫺 。
Người cất những từng lầu, dựa vào vách từ phía đền, tức là dựa vào vách chung quanh đền thờ và nơi thánh; cũng làm những phòng chung quanh đền.|靠 著 殿 牆 、 圍 著 外 殿 內 殿 、 造 了 三 層 旁 屋 。
Từng dưới rộng năm thước, từng giữa rộng sáu thước; và từng trên rộng bảy thước, vì vua cất sụt lui các vách vòng ngoài nhà, đặng tránh sườn xà hoành đâm vào vách đền.|下 層 寬 五 肘 、 中 層 寬 六 肘 、 上 層 寬 七 肘 ． 殿 外 旁 屋 的 梁 木 ． 擱 在 殿 牆 坎 上 、 免 得 插 入 殿 牆 。
Khi cất đền, người ta dùng đá đã đẽo sẵn nơi hầm, nên không nghe tiếng búa, rìu hay là khí dụng khác bằng sắt tại nơi đền đương khi cất.|建 殿 是 用 山 中 鑿 成 的 石 頭 ． 建 殿 的 時 候 、 鎚 子 、 斧 子 、 和 別 樣 鐵 器 的 響 聲 都 沒 有 聽 見 。
Cửa vào các phòng từng thứ nhì, ở bên phía hữu của đền; người ta đi lên từng giữa bởi một cái thang khu ốc; rồi từ từng giữa lên từng thứ ba.|在 殿 右 邊 當 中 的 旁 屋 有 門 、 門 內 有 旋 螺 的 樓 梯 、 可 以 上 到 第 二 層 、 從 第 二 層 可 以 上 到 第 三 層 。
Khi cất đền xong; thì Sa-lô-môn lợp nó bằng đòn tay và ván gỗ bá hương,|所 羅 門 建 殿 、 安 置 香 柏 木 的 棟 梁 、 又 用 香 柏 木 板 遮 蓋 。
cũng cất những từng lầu năm thước dựa vào tứ phía đền, dính với nhà bởi cây đà bá hương.|靠 著 殿 所 造 的 旁 屋 、 每 層 高 五 肘 、 香 柏 木 的 棟 梁 、 擱 在 殿 牆 坎 上 。
Bấy giờ có lời Đức Giê-hô-va phán với Sa-lô-môn rằng:|耶 和 華 的 話 臨 到 所 羅 門 說 、
về nhà này mà ngươi đương xây cất, nếu ngươi vâng theo các luật lệ ta, noi theo các mạng lịnh ta, giữ và đi trong hết thảy các điều răn của ta, thì ta sẽ vì ngươi làm hoàn thành lời ta đã hứa cùng Đa-vít, cha ngươi.|論 到 你 所 建 的 這 殿 、 你 若 遵 行 我 的 律 例 、 謹 守 我 的 典 章 、 遵 從 我 的 一 切 誡 命 、 我 必 向 你 應 驗 我 所 應 許 你 父 親 大 衛 的 話 。
Ta sẽ ngự giữa dân Y-sơ-ra-ên, chẳng hề bỏ Y-sơ-ra-ên, là dân ta.|我 必 住 在 以 色 列 人 中 間 、 並 不 丟 棄 我 民 以 色 列 。
Ay vậy, Sa-lô-môn xây đền và làm cho hoàn thành.|所 羅 門 建 造 殿 宇 、
Người lấy ván bá hương đóng vách phía trong đền, từ đất cho đến trần, và lót nền đất bằng ván cây tùng.|殿 裡 面 用 香 柏 木 板 貼 牆 、 從 地 到 棚 頂 、 都 用 木 板 遮 蔽 、 又 用 松 木 板 鋪 地 。
Từ cuối phía trong đền hai mươi thước, người đóng ngăn bằng ván bá hương, từ nền cho đến trần, đặng làm nơi chí thánh.|內 殿 、 就 是 至 聖 所 、 長 二 十 肘 、 從 地 到 棚 頂 、 用 香 柏 木 板 遮 蔽 。 〔 或 作 隔 斷 〕
Còn bốn mươi thước kia, làm tiền đường của đền thờ.|內 殿 前 的 外 殿 、 長 四 十 肘 。
Ở phía trong đền, có gỗ bà hương chạm hình dưa ác và hoa mới nở; toàn là gỗ bá hương, không thấy đá.|殿 裡 一 點 石 頭 都 不 顯 露 、 一 概 用 香 柏 木 遮 蔽 ． 上 面 刻 著 野 瓜 和 初 開 的 花 。
Còn nơi chí thánh, Sa-lô-môn đặt ở phía trong đền, tận cuối trong, đặng để hòm giao ước của Đức Giê-hô-va tại đó.|殿 裡 豫 備 了 內 殿 、 好 安 放 耶 和 華 的 約 櫃 。
Phía trong nơi chí thánh có hai mươi thước bề dài, hai mươi thước bề ngang, bọc nó bằng vàng ròng, và cũng bọc vàng bàn thờ bằng cây bá hương nữa.|內 殿 長 二 十 肘 、 寬 二 十 肘 、 高 二 十 肘 、 牆 面 都 貼 上 精 金 ． 又 用 香 柏 木 作 壇 、 包 上 精 金 。
Sa-lô-môn bọc vàng ròng tuồng trong của nhà, và lấy xiềng vàng giăng trước nơi chí thánh và bọc bằng vàng.|所 羅 門 用 精 金 貼 了 殿 內 的 牆 ． 又 用 金 鍊 子 掛 在 內 殿 前 門 扇 、 用 金 包 裹 。
Người cũng bọc vàng toàn cả nhà; người cũng lót vàng khắp mặt bàn thờ ở đằng trước nơi chí thánh.|全 殿 都 貼 上 金 子 、 直 到 貼 完 ． 內 殿 前 的 壇 、 也 都 用 金 包 裹 。
Người làm cho nơi chí thánh hai chê-ru-bin bằng gỗ ô-li-ve, bề cao mười thước.|他 用 橄 欖 木 作 兩 個 ? ? ? 、 各 高 十 肘 、 安 在 內 殿 。
Cánh này và cánh kia của mỗi chê-ru-bin có năm thước, thế là mười thước từ chót cánh này tới chót cánh kia.|這 一 個 ? ? ? 有 兩 個 翅 膀 、 各 長 五 肘 、 從 這 翅 膀 尖 到 那 翅 膀 尖 、 共 有 十 肘 。
Chê-ru-bin thứ nhì cũng có mười thước. Hai chê-ru-bin đều đồng một cỡ và một dáng với nhau.|那 一 個 ? ? ? 的 兩 個 翅 膀 也 是 十 肘 、 兩 個 ? ? ? 的 尺 寸 、 形 像 、 都 是 一 樣 。
Chê-ru-bin này có mười thước bề cao, và chê-ru-bin kia cũng vậy.|這 ? ? ? 高 十 肘 、 那 ? ? ? 也 是 如 此 。
Sa-lô-môn để hai chê-ru-bin tại nơi chí thánh, ở trong cùng của đền cánh của chê-ru-bin thứ nhất đụng nhau tại giữa nơi chí thánh.|他 將 兩 個 ? ? ? 安 在 內 殿 裡 ． ? ? ? 的 翅 膀 是 張 開 的 、 這 ? ? ? 的 一 個 翅 膀 挨 著 這 邊 的 牆 、 那 ? ? ? 的 一 個 翅 膀 挨 著 那 邊 的 牆 ． 裡 邊 的 兩 個 翅 膀 、 在 殿 中 間 彼 此 相 接 。
Người cũng bọc vàng cho hai chê-ru-bin.|又 用 金 子 包 裹 二 ? ? ? 。
Bốn phía vách đền, phía trong và phía ngoài, Sa-lô-môn khiến chạm nổi lên hình chê-ru-bin, cây chà là và hoa nở;|內 殿 外 殿 周 圍 的 牆 上 、 都 刻 著 ? ? ? 、 棕 樹 、 和 初 開 的 花 。
cũng phủ đất nhà bằng vàng, bề trong và bề ngoài.|內 殿 外 殿 的 地 板 、 都 貼 上 金 子 。
Tại chỗ vào nơi chí thánh, người làm một cái cửa hai cánh bằng gỗ ô-li-ve; thanh và cột choán một phần năm của mặt tiền.|又 用 橄 欖 木 製 造 內 殿 的 門 扇 、 門 楣 、 門 框 、 門 口 有 牆 的 五 分 之 一 。
Người khiến chạm nổi lên trên hai cánh cửa bằng gỗ ô-li-ve ấy những hình chê-ru-bin, cây chà là và hoa nở; rồi bọc bằng vàng, tráng vàng ra trên hình chê-ru-bin và hình cây chà là.|在 橄 欖 木 作 的 兩 門 扇 上 、 刻 著 ? ? ? 、 棕 樹 、 和 初 開 的 花 、 都 貼 上 金 子 。
Về cửa đền thờ, người cũng làm cột bằng gỗ ô-li-ve, choán hết một phần tư của vách,|又 用 橄 欖 木 、 製 造 外 殿 的 門 框 、 門 口 有 牆 的 四 分 之 一 。
lại làm hai cánh cửa bằng gỗ tòng; mỗi cánh có hai miếng trá khép lại được.|用 松 木 作 門 兩 扇 、 這 扇 分 兩 扇 、 是 摺 疊 的 、 那 扇 分 兩 扇 、 也 是 摺 疊 的 。
Sa-lô-môn khiến chạm nổi lên những hình chê-ru-bin, cây chà là và hoa nở; rồi bọc bằng vàng, tráng vàng ra trên các vật chạm trổ.|上 面 刻 著 ? ? ? 、 棕 樹 、 和 初 開 的 花 ． 都 用 金 子 貼 了 。
Người xây tường hành lang phía trong bằng ba hàng đá chạm, và một hàng cây xà gỗ bá hương.|他 又 用 鑿 成 的 石 頭 三 層 、 香 柏 木 一 層 、 建 築 內 院 。
Năm thứ tư, năm tháng Xíp, cái nền của đền thờ Đức Giê-hô-va đã đặt;|所 羅 門 在 位 、 第 四 年 、 西 弗 月 、 立 了 耶 和 華 殿 的 根 基 。
năm thứ mười một, nhằm tháng Bu-lơ, nghĩa là tháng tám, đền thờ hoàn thành trong mọi phần nó, theo kiểu đã ra. Sa-lô-môn cất đền hết bảy năm.|到 十 一 年 、 布 勒 月 、 就 是 八 月 、 殿 和 一 切 屬 殿 的 、 都 按 著 樣 式 造 成 。 他 建 殿 的 工 夫 、 共 有 七 年 。

					I Các Vua 8				|
						列王紀上 8					
Bấy giờ, Sa-lô-môn vời đến mình, ở tại Giê-ru-sa-lem, các trưởng lão Y-sơ-ra-ên, hết thảy các quan trưởng của chi phái, và những trưởng tộc của Y-sơ-ra-ên, đặng rước hòm giao ước của Đức Giê-hô-va từ thành của Đa-vít, tức là Si-ôn.|那 時 所 羅 門 將 以 色 列 的 長 老 、 和 各 支 派 的 首 領 、 並 以 色 列 的 族 長 、 招 聚 到 耶 路 撒 冷 、 要 把 耶 和 華 的 約 櫃 、 從 大 衛 城 就 是 錫 安 運 上 來 。
Trong lúc lễ, nhằm tháng Ê-tha-ninh, là tháng bảy, hết thảy người nam của Y-sơ-ra-ên đều nhóm lại cùng vua Sa-lô-môn.|以 他 念 月 、 就 是 七 月 、 在 節 前 、 以 色 列 人 都 聚 集 到 所 羅 門 王 那 裡 。
Khi các trưởng lão Y-sơ-ra-ên đã đến, thì những thầy tế lễ lấy hòm của Đức Giê-hô-va,|以 色 列 長 老 來 到 、 祭 司 便 抬 起 約 櫃 、
dời đi luôn với Đền tạm. Những thầy tế lễ và người Lê-vi khiêng các đồ đó lên.|祭 司 和 利 未 人 、 將 耶 和 華 的 約 櫃 運 上 來 、 又 將 會 幕 、 和 會 幕 的 一 切 聖 器 具 、 都 帶 上 來 。
Vua Sa-lô-môn và cả hội chúng Y-sơ-ra-ên đã hiệp với người, và đứng trước hòm, giết bò và chiên làm của lễ rất nhiều, không thế đếm được.|所 羅 門 王 和 聚 集 到 他 那 裡 的 以 色 列 全 會 眾 、 一 同 在 約 櫃 前 獻 牛 羊 為 祭 、 多 得 不 可 勝 數 。
Những thầy tế lễ đem hòm giao ước của Đức Giê-hô-va đến nơi nó, trong nơi chí thánh, dưới cánh chê-ru-bin.|祭 司 將 耶 和 華 的 約 櫃 抬 進 內 殿 、 就 是 至 聖 所 、 放 在 兩 個 ? ? ? 的 翅 膀 底 下 。
Vì các chê-ru-bin giương cánh ra trên nơi để hòm, che thân trên hòm và các đòn khiêng.|? ? ? 張 著 翅 膀 、 在 約 櫃 之 上 、 遮 掩 約 櫃 和 抬 櫃 的 杠 。
Các đòn khiêng dài, đến nỗi người ta, từ nơi thánh ở trước nơi chí thánh, có thể thấy được, nhưng ở ngoài thì chẳng thấy. Các đòn ấy ở đó cho đến ngày nay.|這 杠 甚 長 、 杠 頭 在 內 殿 前 的 聖 所 可 以 看 見 、 在 殿 外 卻 不 能 看 見 、 直 到 如 今 還 在 那 裡 。
Trong hòm chỉ có hai bảng đá mà Môi-se đã để, tại núi Hô-rếp, khi Đức Giê-hô-va lập giao ước với dân Y-sơ-ra-ên, lúc họ ra khỏi xứ Ê-díp-tô.|約 櫃 裡 惟 有 兩 塊 石 版 、 就 是 以 色 列 人 出 埃 及 地 後 、 耶 和 華 與 他 們 立 約 的 時 候 、 摩 西 在 何 烈 山 所 放 的 ． 除 此 以 外 、 並 無 別 物 。
Xảy ra khi những thầy tế lễ đã ra khỏi nơi thành, bèn có mây đầy dẫy nhà của Đức Giê-hô-va,|祭 司 從 聖 所 出 來 的 時 候 、 有 雲 充 滿 耶 和 華 的 殿 ．
đến nỗi những thầy tế lễ vì có mây ấy không thể đứng đó mà hầu việc được, vì sự vinh quang của Đức Giê-hô-va đầy dẫy đền của Đức Giê-hô-va.|甚 至 祭 司 不 能 站 立 供 職 、 因 為 耶 和 華 的 榮 光 充 滿 了 殿 。
Bấy giờ, Sa-lô-môn nguyện rằng: Đức Giê-hô-va có phán rằng Ngài ngự trong nơi tối tăm mờ mịt.|那 時 所 羅 門 說 、 耶 和 華 曾 說 、 他 必 住 在 幽 暗 之 處 。
Hỡi Đức Chúa Trời! tôi đã cất xong một cái đền dùng làm nơi ngự của Ngài, tức một nơi Ngài ở đời đời.|我 已 經 建 造 殿 宇 作 你 的 居 所 、 為 你 永 遠 的 住 處 。
Đoạn, vua xây lại, và chúc phước cho hội chúng Y-sơ-ra-ên. Cả hội chúng Y-sơ-ra-ên đều đứng.|王 轉 臉 為 以 色 列 會 眾 祝 福 ． 以 色 列 會 眾 就 都 站 立 。
Người nói rằng: Đáng ngợi khen Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên, vì từ miệng Ngài có phán hứa với Đa-vít, cha ta, và bởi tay Ngài đã làm ứng nghiệm lời ấy; Ngài phán rằng:|所 羅 門 說 、 耶 和 華 以 色 列 的 　 神 是 應 當 稱 頌 的 、 因 他 親 口 向 我 父 大 衛 所 應 許 的 、 也 親 手 成 就 了 。
Từ ngày ta đã đem Y-sơ-ra-ên ta ra khỏi Ê-díp-tô, ta không chọn thành nào trong các chi phái Y-sơ-ra-ên đặng cất tại đó một cái nhà cho danh ta ngự; nhưng ta đã chọn Đa-vít để người trị vì dân Y-sơ-ra-ên ta.|他 說 、 『 自 從 我 領 我 民 以 色 列 出 埃 及 以 來 、 我 未 曾 在 以 色 列 各 支 派 中 選 擇 一 城 、 建 造 殿 宇 為 我 名 的 居 所 、 但 揀 選 大 衛 治 理 我 民 以 色 列 。 』
Vả, Đa-vít, cha ta, có ý cất một cái đền cho danh Giê-hô-va, là Đức Chúa Trời của Y-sơ-ra-ên.|所 羅 門 說 、 我 父 大 衛 曾 立 意 、 要 為 耶 和 華 以 色 列 　 神 的 名 建 殿 。
Nhưng Đức Giê-hô-va có phán với Đa-vít, cha ta, rằng: Khi ngươi có ý xây đền cho danh ta, thì lấy làm thậm phải;|耶 和 華 卻 對 我 父 大 衛 說 、 你 立 意 為 我 的 名 建 殿 、 這 意 思 甚 好 。
song ngươi sẽ chẳng cất đền ấy đâu, bèn là con trai ngươi, do lòng ngươi sanh ra, sẽ cất đền cho danh ta.|只 是 你 不 可 建 殿 、 惟 你 所 生 的 兒 子 必 為 我 名 建 殿 。
Vậy, Đức Giê-hô-va đã làm ứng nghiệm lời Ngài phán; vì ta kế vị Đa-vít, cha ta, ngồi trên ngôi Y-sơ-ra-ên, y như Đức Giê-hô-va đã hứa, và ta đã cất đền này cho danh Giê-hô-va, là Đức Chúa Trời của Y-sơ-ra-ên.|現 在 耶 和 華 成 就 了 他 所 應 許 的 話 、 使 我 接 續 我 父 大 衛 、 坐 以 色 列 的 國 位 、 又 為 耶 和 華 以 色 列 　 神 的 名 建 造 了 殿 。
Tại đó, ta đã dọn một chỗ để hòm; trong hòm có sự giao ước mà Ngài đã lập với tổ phụ chúng ta, khi Ngài đem họ ra khỏi xứ Ê-díp-tô.|我 也 在 其 中 為 約 櫃 豫 備 一 處 ． 約 櫃 內 有 耶 和 華 的 約 、 就 是 他 領 我 們 列 祖 出 埃 及 地 的 時 候 、 與 他 們 所 立 的 約 。
Kế đó, Sa-lô-môn đứng trước bàn thờ của Đức Giê-hô-va, đối mặt cả hội chúng Y-sơ-ra-ên, bèn giơ tay lên trời, mà rằng:|所 羅 門 當 著 以 色 列 會 眾 、 站 在 耶 和 華 的 壇 前 、 向 天 舉 手 說 、
